Orthogroup	A_vesiculosa.proteins	L_sativa.proteins
OG0006042	Av_00006758-RA, Av_00008045-RA	Lsat_1_v5_gn_1_38321.1, Lsat_1_v5_gn_4_93560.1, Lsat_1_v5_gn_4_53121.4, Lsat_1_v5_gn_4_53121.1, Lsat_1_v5_gn_4_53121.3, Lsat_1_v5_gn_6_48260.1
OG0006044	Av_00012193-RA, Av_00005781-RA	Lsat_1_v5_gn_2_89661.1, Lsat_1_v5_gn_2_89661.2
OG0006045	Av_00018246-RA	Lsat_1_v5_gn_6_10880.3
OG0006046	Av_00014060-RA	Lsat_1_v5_gn_8_81001.1, Lsat_1_v5_gn_6_33820.3, Lsat_1_v5_gn_6_33820.1
OG0006047	Av_00008407-RA, Av_00011554-RA	Lsat_1_v5_gn_7_113221.1, Lsat_1_v5_gn_9_90540.1, Lsat_1_v5_gn_9_90540.3
OG0006048	Av_00016886-RA	Lsat_1_v5_gn_1_64561.3, Lsat_1_v5_gn_1_64561.5, Lsat_1_v5_gn_1_64561.2, Lsat_1_v5_gn_1_64561.1
OG0006049	Av_00003574-RA	Lsat_1_v5_gn_9_65321.3, Lsat_1_v5_gn_9_65321.1
OG0006050	Av_00006650-RA	Lsat_1_v5_gn_9_93121.3, Lsat_1_v5_gn_9_93121.1
OG0006051	Av_00008447-RA	Lsat_1_v5_gn_8_69500.1
OG0006052	Av_00020589-RA	Lsat_1_v5_gn_8_64801.5, Lsat_1_v5_gn_8_64781.3, Lsat_1_v5_gn_8_64781.1
OG0006053	Av_00002274-RA	Lsat_1_v5_gn_4_29701.1
OG0006054	Av_00000162-RA	Lsat_1_v5_gn_9_92360.3, Lsat_1_v5_gn_9_92360.1
OG0006055	Av_00001323-RA	Lsat_1_v5_gn_7_73480.3, Lsat_1_v5_gn_7_73480.1
OG0006056	Av_00012682-RA, Av_00014488-RA, Av_00000679-RA	Lsat_1_v5_gn_5_161320.1, Lsat_1_v5_gn_9_29201.3, Lsat_1_v5_gn_9_29201.1, Lsat_1_v5_gn_8_81220.1
OG0006057	Av_00010593-RA, Av_00010592-RA	Lsat_1_v5_gn_7_16040.1, Lsat_1_v5_gn_7_16040.2
OG0006058	Av_00015880-RA	Lsat_1_v5_gn_8_103420.2, Lsat_1_v5_gn_8_103420.3, Lsat_1_v5_gn_9_9580.2, Lsat_1_v5_gn_8_103420.1
OG0006060	Av_00016423-RA, Av_00013455-RA	Lsat_1_v5_gn_6_29660.1, Lsat_1_v5_gn_2_109641.1
OG0006061	Av_00007362-RA	Lsat_1_v5_gn_9_25661.3, Lsat_1_v5_gn_9_25661.1, Lsat_1_v5_gn_9_25641.3, Lsat_1_v5_gn_9_25641.1
OG0006062	Av_00006119-RA	Lsat_1_v5_gn_5_174441.2, Lsat_1_v5_gn_5_174441.1, Lsat_1_v5_gn_5_174421.1
OG0006063	Av_00023193-RA	Lsat_1_v5_gn_6_96480.3, Lsat_1_v5_gn_6_96480.2, Lsat_1_v5_gn_6_96480.1
OG0006064	Av_00005167-RA, Av_00018381-RA	Lsat_1_v5_gn_4_29981.2, Lsat_1_v5_gn_4_29981.1
OG0006065	Av_00023433-RA, Av_00009814-RA	Lsat_1_v5_gn_4_179580.1, Lsat_1_v5_gn_4_179580.3
OG0006066	Av_00023737-RA	Lsat_1_v5_gn_6_32361.2, Lsat_1_v5_gn_6_32361.3, Lsat_1_v5_gn_6_32361.1, Lsat_1_v5_gn_4_88760.1, Lsat_1_v5_gn_4_88760.2
OG0006068	Av_00013839-RA	Lsat_1_v5_gn_6_9040.3, Lsat_1_v5_gn_6_9040.1, Lsat_1_v5_gn_6_9040.2
OG0006069	Av_00012037-RA	Lsat_1_v5_gn_5_128740.1, Lsat_1_v5_gn_5_128740.3
OG0006070	Av_00013355-RA	Lsat_1_v5_gn_5_166580.1, Lsat_1_v5_gn_5_166580.2, Lsat_1_v5_gn_5_166580.4
OG0006071	Av_00010999-RA, Av_00017721-RA	Lsat_1_v5_gn_1_54260.1, Lsat_1_v5_gn_1_54260.3
OG0006072	Av_00002823-RA	Lsat_1_v5_gn_2_102120.1, Lsat_1_v5_gn_2_102120.2, Lsat_1_v5_gn_2_102120.3
OG0006073	Av_00018512-RA	Lsat_1_v5_gn_1_27080.1, Lsat_1_v5_gn_7_800.1
OG0006075	Av_00007828-RA, Av_00000220-RA	Lsat_1_v5_gn_7_102521.1, Lsat_1_v5_gn_7_102521.3
OG0006076	Av_00011742-RA	Lsat_1_v5_gn_6_30080.2, Lsat_1_v5_gn_6_30080.1, Lsat_1_v5_gn_1_54060.1, Lsat_1_v5_gn_1_54060.3
OG0006077	Av_00023747-RA	Lsat_1_v5_gn_5_29241.3, Lsat_1_v5_gn_5_29241.1, Lsat_1_v5_gn_5_29241.2, Lsat_1_v5_gn_7_17261.1, Lsat_1_v5_gn_1_109040.3, Lsat_1_v5_gn_1_109040.1, Lsat_1_v5_gn_1_109040.2, Lsat_1_v5_gn_3_33381.1
OG0006078	Av_00002931-RA, Av_00018030-RA	Lsat_1_v5_gn_1_48021.1, Lsat_1_v5_gn_1_48041.1
OG0006080	Av_00009521-RA, Av_00013072-RA, Av_00017593-RA	Lsat_1_v5_gn_3_23141.1
OG0006082	Av_00007676-RA, Av_00024741-RA	Lsat_1_v5_gn_7_7501.1, Lsat_1_v5_gn_7_7501.3, Lsat_1_v5_gn_7_32901.1, Lsat_1_v5_gn_7_32901.3
OG0006083	Av_00012380-RA	Lsat_1_v5_gn_8_80801.1, Lsat_1_v5_gn_8_80801.2
OG0006084	Av_00022057-RA, Av_00024817-RA	Lsat_1_v5_gn_3_13660.1
OG0006085	Av_00013122-RA	Lsat_1_v5_gn_4_65460.1
OG0006086	Av_00018004-RA, Av_00010302-RA	Lsat_1_v5_gn_9_27941.1, Lsat_1_v5_gn_9_27941.2, Lsat_1_v5_gn_8_75620.1, Lsat_1_v5_gn_9_58641.1
OG0006087	Av_00001291-RA, Av_00015094-RA	Lsat_1_v5_gn_3_53200.1, Lsat_1_v5_gn_3_53200.3
OG0006088	Av_00006223-RA, Av_00012698-RA	Lsat_1_v5_gn_9_18980.1, Lsat_1_v5_gn_9_18980.3
OG0006089	Av_00007473-RA	Lsat_1_v5_gn_7_15980.1
OG0006090	Av_00015881-RA	Lsat_1_v5_gn_2_103701.3, Lsat_1_v5_gn_2_103701.1
OG0006091	Av_00015800-RA, Av_00016484-RA	Lsat_1_v5_gn_5_154000.1, Lsat_1_v5_gn_5_154000.3
OG0006092	Av_00008185-RA, Av_00004359-RA	Lsat_1_v5_gn_2_50980.1
OG0006093	Av_00007057-RA	Lsat_1_v5_gn_9_70141.1
OG0006094	Av_00022744-RA	Lsat_1_v5_gn_3_36540.2, Lsat_1_v5_gn_3_36540.1, Lsat_1_v5_gn_3_36540.3
OG0006095	Av_00014177-RA, Av_00010638-RA	Lsat_1_v5_gn_1_130141.1
OG0006097	Av_00019605-RA	Lsat_1_v5_gn_5_136720.1, Lsat_1_v5_gn_5_136720.3
OG0006098	Av_00001826-RA	Lsat_1_v5_gn_6_15520.3, Lsat_1_v5_gn_6_15520.1
OG0006099	Av_00014123-RA, Av_00010569-RA, Av_00003675-RA	Lsat_1_v5_gn_1_123241.1
OG0006100	Av_00017152-RA	Lsat_1_v5_gn_5_164480.1, Lsat_1_v5_gn_5_164480.2, Lsat_1_v5_gn_5_164480.3
OG0006101	Av_00007060-RA	Lsat_1_v5_gn_2_112720.2, Lsat_1_v5_gn_2_112720.1
OG0006102	Av_00008440-RA	Lsat_1_v5_gn_4_146681.1, Lsat_1_v5_gn_4_146681.3, Lsat_1_v5_gn_2_108860.2
OG0006104	Av_00014331-RA, Av_00001133-RA	Lsat_1_v5_gn_8_18261.2, Lsat_1_v5_gn_8_18261.1
OG0006105	Av_00012743-RA	Lsat_1_v5_gn_7_94721.1, Lsat_1_v5_gn_7_94721.3
OG0006106	Av_00005993-RA	Lsat_1_v5_gn_8_35461.2
OG0006107	Av_00023968-RA	Lsat_1_v5_gn_6_38721.1
OG0006108	Av_00021083-RA	Lsat_1_v5_gn_8_12140.2, Lsat_1_v5_gn_8_12140.1
OG0006109	Av_00005657-RA, Av_00022431-RA	Lsat_1_v5_gn_9_39001.1, Lsat_1_v5_gn_9_39001.3
OG0006110	Av_00011762-RA	Lsat_1_v5_gn_6_109060.3, Lsat_1_v5_gn_6_109060.1
OG0006111	Av_00019631-RA, Av_00022728-RA	Lsat_1_v5_gn_2_58060.1
OG0006112	Av_00019834-RA, Av_00011959-RA	Lsat_1_v5_gn_8_129420.3, Lsat_1_v5_gn_8_129420.1, Lsat_1_v5_gn_8_129420.2
OG0006113	Av_00020195-RA	Lsat_1_v5_gn_9_60281.2, Lsat_1_v5_gn_9_60281.3, Lsat_1_v5_gn_9_60281.1
OG0006114	Av_00011975-RA	Lsat_1_v5_gn_2_125521.2, Lsat_1_v5_gn_2_125521.4, Lsat_1_v5_gn_2_125521.1
OG0006115	Av_00022222-RA	Lsat_1_v5_gn_1_48340.3, Lsat_1_v5_gn_1_48340.1, Lsat_1_v5_gn_2_22981.1, Lsat_1_v5_gn_2_22981.3
OG0006116	Av_00003026-RA	Lsat_1_v5_gn_6_1880.1, Lsat_1_v5_gn_6_1880.2, Lsat_1_v5_gn_6_109081.1
OG0006117	Av_00005157-RA	Lsat_1_v5_gn_2_59780.1, Lsat_1_v5_gn_3_103621.3, Lsat_1_v5_gn_2_133781.1, Lsat_1_v5_gn_3_103621.1
OG0006118	Av_00006481-RA	Lsat_1_v5_gn_0_10961.2, Lsat_1_v5_gn_0_10961.1
OG0006120	Av_00024922-RA, Av_00022403-RA	Lsat_1_v5_gn_8_521.1, Lsat_1_v5_gn_8_521.2
OG0006121	Av_00013449-RA, Av_00016416-RA	Lsat_1_v5_gn_9_33201.3, Lsat_1_v5_gn_9_33201.1
OG0006122	Av_00008597-RA	Lsat_1_v5_gn_4_33701.4, Lsat_1_v5_gn_4_33701.1, Lsat_1_v5_gn_4_33701.3
OG0006123	Av_00011848-RA, Av_00014906-RA	Lsat_1_v5_gn_2_29601.1, Lsat_1_v5_gn_2_29601.3
OG0006125	Av_00002977-RA, Av_00005417-RA, Av_00017243-RA, Av_00005662-RA	Lsat_1_v5_gn_9_39741.3, Lsat_1_v5_gn_9_39741.1
OG0006126	Av_00006591-RA, Av_00014864-RA, Av_00016645-RA	Lsat_1_v5_gn_2_15600.1, Lsat_1_v5_gn_2_15600.3
OG0006127	Av_00013396-RA	Lsat_1_v5_gn_2_73640.2, Lsat_1_v5_gn_5_10160.1, Lsat_1_v5_gn_2_73640.1
OG0006128	Av_00018669-RA	Lsat_1_v5_gn_9_15400.1, Lsat_1_v5_gn_9_15400.2
OG0006129	Av_00022132-RA, Av_00021912-RA	Lsat_1_v5_gn_5_160760.1
OG0006130	Av_00014515-RA, Av_00002994-RA	Lsat_1_v5_gn_3_14260.1, Lsat_1_v5_gn_6_82141.3, Lsat_1_v5_gn_6_82141.1, Lsat_1_v5_gn_6_82161.1, Lsat_1_v5_gn_6_82161.3, Lsat_1_v5_gn_6_82081.1, Lsat_1_v5_gn_6_82081.2
OG0006133	Av_00000075-RA	Lsat_1_v5_gn_9_74940.1
OG0006134	Av_00021001-RA	Lsat_1_v5_gn_3_30120.2, Lsat_1_v5_gn_3_30120.1, Lsat_1_v5_gn_8_32720.5, Lsat_1_v5_gn_8_32720.2
OG0006135	Av_00022028-RA	Lsat_1_v5_gn_3_91220.4, Lsat_1_v5_gn_3_91220.2, Lsat_1_v5_gn_3_91220.1, Lsat_1_v5_gn_4_168041.1, Lsat_1_v5_gn_4_168041.3, Lsat_1_v5_gn_3_91220.3
OG0006136	Av_00019436-RA	Lsat_1_v5_gn_5_170921.3, Lsat_1_v5_gn_5_170921.2
OG0006137	Av_00021825-RA	Lsat_1_v5_gn_4_2961.1
OG0006138	Av_00016447-RA	Lsat_1_v5_gn_4_121781.1
OG0006140	Av_00018920-RA	Lsat_1_v5_gn_6_12380.2, Lsat_1_v5_gn_6_12380.1
OG0006141	Av_00018980-RA	Lsat_1_v5_gn_4_144520.1, Lsat_1_v5_gn_4_144520.2
OG0006142	Av_00001586-RA	Lsat_1_v5_gn_5_101740.1
OG0006143	Av_00000324-RA	Lsat_1_v5_gn_1_11001.1, Lsat_1_v5_gn_1_11001.2
OG0006145	Av_00003037-RA	Lsat_1_v5_gn_5_36401.3, Lsat_1_v5_gn_5_36401.2, Lsat_1_v5_gn_5_36401.1, Lsat_1_v5_gn_2_29841.1, Lsat_1_v5_gn_2_29841.2
OG0006146	Av_00012155-RA	Lsat_1_v5_gn_2_34381.1, Lsat_1_v5_gn_2_34381.3, Lsat_1_v5_gn_2_34381.2
OG0006147	Av_00003131-RA	Lsat_1_v5_gn_3_33341.3, Lsat_1_v5_gn_3_33341.1
OG0006148	Av_00003747-RA, Av_00007428-RA	Lsat_1_v5_gn_9_48180.1, Lsat_1_v5_gn_9_48180.3, Lsat_1_v5_gn_8_26721.1, Lsat_1_v5_gn_2_3161.1
OG0006149	Av_00003014-RA	Lsat_1_v5_gn_4_42960.3, Lsat_1_v5_gn_4_42960.1
OG0006150	Av_00015015-RA	Lsat_1_v5_gn_4_76461.1
OG0006151	Av_00016015-RA, Av_00004210-RA, Av_00019117-RA, Av_00010198-RA	Lsat_1_v5_gn_2_12381.1, Lsat_1_v5_gn_2_12381.2, Lsat_1_v5_gn_9_46321.2, Lsat_1_v5_gn_9_46321.1
OG0006152	Av_00013980-RA, Av_00003181-RA, Av_00014689-RA, Av_00008656-RA	Lsat_1_v5_gn_9_75400.1
OG0006154	Av_00015072-RA	Lsat_1_v5_gn_5_159601.4
OG0006155	Av_00023921-RA	Lsat_1_v5_gn_3_29780.3, Lsat_1_v5_gn_3_29780.1
OG0006156	Av_00014651-RA, Av_00008615-RA	Lsat_1_v5_gn_4_34080.1, Lsat_1_v5_gn_3_138461.1
OG0006157	Av_00003210-RA	Lsat_1_v5_gn_7_8340.1, Lsat_1_v5_gn_7_8340.3
OG0006158	Av_00016571-RA, Av_00006507-RA	Lsat_1_v5_gn_6_52561.1, Lsat_1_v5_gn_6_52561.3, Lsat_1_v5_gn_6_51820.1, Lsat_1_v5_gn_6_51840.1
OG0006159	Av_00013371-RA, Av_00023194-RA	Lsat_1_v5_gn_8_26321.1, Lsat_1_v5_gn_8_55401.1, Lsat_1_v5_gn_8_26321.2
OG0006160	Av_00010864-RA, Av_00003325-RA	Lsat_1_v5_gn_3_54040.1
OG0006161	Av_00006662-RA	Lsat_1_v5_gn_1_29241.1, Lsat_1_v5_gn_1_29241.2, Lsat_1_v5_gn_4_76880.3, Lsat_1_v5_gn_4_76880.2, Lsat_1_v5_gn_4_76880.1
OG0006162	Av_00009851-RA, Av_00011063-RA	Lsat_1_v5_gn_0_36860.1, Lsat_1_v5_gn_1_20160.2, Lsat_1_v5_gn_1_20160.1, Lsat_1_v5_gn_2_117301.1
OG0006164	Av_00018408-RA	Lsat_1_v5_gn_3_121441.1, Lsat_1_v5_gn_3_121441.3
OG0006165	Av_00012859-RA	Lsat_1_v5_gn_9_57820.1, Lsat_1_v5_gn_9_57820.3, Lsat_1_v5_gn_9_57820.2, Lsat_1_v5_gn_8_6081.2, Lsat_1_v5_gn_8_6081.1, Lsat_1_v5_gn_2_134201.3, Lsat_1_v5_gn_2_134201.1, Lsat_1_v5_gn_2_134201.2
OG0006167	Av_00015341-RA	Lsat_1_v5_gn_3_62981.1, Lsat_1_v5_gn_3_62981.3
OG0006168	Av_00021937-RA	Lsat_1_v5_gn_8_18601.1
OG0006169	Av_00023041-RA	Lsat_1_v5_gn_7_74260.1, Lsat_1_v5_gn_7_74260.2, Lsat_1_v5_gn_7_74820.1
OG0006171	Av_00008933-RA	Lsat_1_v5_gn_9_83140.1, Lsat_1_v5_gn_9_90500.1, Lsat_1_v5_gn_9_83140.3, Lsat_1_v5_gn_4_82740.1
OG0006172	Av_00007317-RA, Av_00019043-RA	Lsat_1_v5_gn_7_85281.2, Lsat_1_v5_gn_7_85281.1
OG0006173	Av_00016132-RA, Av_00016075-RA, Av_00016753-RA, Av_00020338-RA	Lsat_1_v5_gn_8_24781.3, Lsat_1_v5_gn_8_24781.1
OG0006176	Av_00017659-RA, Av_00015009-RA, Av_00009271-RA	Lsat_1_v5_gn_1_28420.1, Lsat_1_v5_gn_1_28820.1
OG0006177	Av_00008819-RA, Av_00018760-RA	Lsat_1_v5_gn_4_67421.1, Lsat_1_v5_gn_3_44201.1
OG0006178	Av_00016280-RA	Lsat_1_v5_gn_7_74220.2, Lsat_1_v5_gn_7_74220.3, Lsat_1_v5_gn_7_74220.1
OG0006180	Av_00001673-RA	Lsat_1_v5_gn_2_136280.1, Lsat_1_v5_gn_2_136280.3
OG0006181	Av_00018361-RA	Lsat_1_v5_gn_4_38401.1
OG0006182	Av_00016007-RA, Av_00004200-RA	Lsat_1_v5_gn_6_23981.1, Lsat_1_v5_gn_6_112361.1, Lsat_1_v5_gn_6_112361.2, Lsat_1_v5_gn_6_112361.3, Lsat_1_v5_gn_4_131141.2, Lsat_1_v5_gn_4_131141.1
OG0006183	Av_00002619-RA	Lsat_1_v5_gn_8_147520.1, Lsat_1_v5_gn_8_147520.3, Lsat_1_v5_gn_8_147520.4
OG0006184	Av_00023444-RA, Av_00021774-RA	Lsat_1_v5_gn_7_65761.3, Lsat_1_v5_gn_7_65761.1
OG0006185	Av_00009345-RA, Av_00012455-RA	Lsat_1_v5_gn_8_3580.1, Lsat_1_v5_gn_2_19401.1, Lsat_1_v5_gn_2_19401.2
OG0006186	Av_00017564-RA	Lsat_1_v5_gn_8_2220.3, Lsat_1_v5_gn_8_2220.1
OG0006187	Av_00010237-RA, Av_00019740-RA, Av_00022710-RA	Lsat_1_v5_gn_3_36601.1, Lsat_1_v5_gn_4_64660.1
OG0006188	Av_00002588-RA, Av_00018440-RA	Lsat_1_v5_gn_4_15380.1
OG0006189	Av_00022117-RA	Lsat_1_v5_gn_7_10860.1
OG0006190	Av_00017035-RA	Lsat_1_v5_gn_6_23301.3, Lsat_1_v5_gn_6_23301.1, Lsat_1_v5_gn_6_23301.2
OG0006191	Av_00001110-RA	Lsat_1_v5_gn_5_21621.3, Lsat_1_v5_gn_5_21400.1, Lsat_1_v5_gn_5_21400.3, Lsat_1_v5_gn_5_21360.2, Lsat_1_v5_gn_4_108980.1, Lsat_1_v5_gn_4_108960.1
OG0006192	Av_00004721-RA, Av_00016908-RA	Lsat_1_v5_gn_3_34601.3, Lsat_1_v5_gn_3_34601.1
OG0006193	Av_00013678-RA, Av_00013684-RA, Av_00013680-RA, Av_00013679-RA, Av_00006498-RA	Lsat_1_v5_gn_6_53100.1
OG0006194	Av_00014945-RA	Lsat_1_v5_gn_2_88360.3, Lsat_1_v5_gn_2_88360.1
OG0006195	Av_00018597-RA, Av_00018525-RA	Lsat_1_v5_gn_4_170021.1, Lsat_1_v5_gn_4_170021.3, Lsat_1_v5_gn_4_170041.2, Lsat_1_v5_gn_4_170041.1
OG0006196	Av_00003920-RA, Av_00005768-RA	Lsat_1_v5_gn_2_79320.2, Lsat_1_v5_gn_2_79320.1
OG0006197	Av_00020736-RA	Lsat_1_v5_gn_3_49121.2, Lsat_1_v5_gn_3_49121.1
OG0006198	Av_00018465-RA	Lsat_1_v5_gn_8_34800.1, Lsat_1_v5_gn_8_34800.3
OG0006199	Av_00022530-RA	Lsat_1_v5_gn_2_91661.4, Lsat_1_v5_gn_2_91661.1
OG0006200	Av_00022554-RA, Av_00024733-RA	Lsat_1_v5_gn_8_69941.1
OG0006201	Av_00023278-RA, Av_00023545-RA	Lsat_1_v5_gn_6_65141.2, Lsat_1_v5_gn_6_65141.1, Lsat_1_v5_gn_3_17861.1
OG0006202	Av_00016126-RA, Av_00016083-RA	Lsat_1_v5_gn_2_71900.1, Lsat_1_v5_gn_4_136941.1
OG0006203	Av_00004753-RA	Lsat_1_v5_gn_9_104581.3, Lsat_1_v5_gn_9_104581.1
OG0006204	Av_00018376-RA	Lsat_1_v5_gn_7_27441.2, Lsat_1_v5_gn_7_27441.1
OG0006206	Av_00012931-RA, Av_00024698-RA	Lsat_1_v5_gn_3_14041.1, Lsat_1_v5_gn_8_8441.1, Lsat_1_v5_gn_8_8441.2
OG0006207	Av_00008927-RA, Av_00019273-RA	Lsat_1_v5_gn_1_116100.3, Lsat_1_v5_gn_1_116100.2, Lsat_1_v5_gn_1_116100.1
OG0006208	Av_00012836-RA, Av_00010242-RA	Lsat_1_v5_gn_3_36280.3, Lsat_1_v5_gn_3_36280.1
OG0006210	Av_00021007-RA, Av_00022618-RA	Lsat_1_v5_gn_8_150620.1
OG0006211	Av_00013863-RA	Lsat_1_v5_gn_4_106880.1
OG0006212	Av_00003922-RA, Av_00004973-RA	Lsat_1_v5_gn_3_80541.1, Lsat_1_v5_gn_2_81120.1
OG0006213	Av_00009580-RA, Av_00009568-RA	Lsat_1_v5_gn_8_340.1, Lsat_1_v5_gn_8_340.3
OG0006214	Av_00000535-RA, Av_00011252-RA	Lsat_1_v5_gn_4_10841.2, Lsat_1_v5_gn_4_10841.1
OG0006215	Av_00019805-RA, Av_00018531-RA, Av_00019806-RA	Lsat_1_v5_gn_0_13881.3, Lsat_1_v5_gn_0_13881.2, Lsat_1_v5_gn_0_13881.1
OG0006217	Av_00010721-RA	Lsat_1_v5_gn_1_34320.4, Lsat_1_v5_gn_1_34320.2, Lsat_1_v5_gn_1_34320.1
OG0006218	Av_00007592-RA	Lsat_1_v5_gn_4_21341.2, Lsat_1_v5_gn_4_21341.1
OG0006219	Av_00013938-RA	Lsat_1_v5_gn_4_34900.2, Lsat_1_v5_gn_4_34900.1, Lsat_1_v5_gn_4_34900.3
OG0006220	Av_00000907-RA	Lsat_1_v5_gn_8_158161.3, Lsat_1_v5_gn_8_158161.1, Lsat_1_v5_gn_8_158161.2, Lsat_1_v5_gn_1_10560.2, Lsat_1_v5_gn_1_10560.3, Lsat_1_v5_gn_1_10560.1
OG0006221	Av_00005319-RA	Lsat_1_v5_gn_8_159821.1
OG0006222	Av_00022594-RA, Av_00022406-RA, Av_00003934-RA	Lsat_1_v5_gn_2_79940.1, Lsat_1_v5_gn_2_79940.3, Lsat_1_v5_gn_3_81860.1, Lsat_1_v5_gn_4_156660.1, Lsat_1_v5_gn_4_156660.3
OG0006223	Av_00016737-RA, Av_00020320-RA	Lsat_1_v5_gn_5_163601.4, Lsat_1_v5_gn_5_163601.1
OG0006225	Av_00005769-RA	Lsat_1_v5_gn_3_80500.3, Lsat_1_v5_gn_3_80500.1, Lsat_1_v5_gn_2_79380.1
OG0006226	Av_00014887-RA	Lsat_1_v5_gn_1_127920.1, Lsat_1_v5_gn_1_127920.3
OG0006227	Av_00013850-RA, Av_00011299-RA	Lsat_1_v5_gn_4_75160.1
OG0006228	Av_00010155-RA	Lsat_1_v5_gn_5_121400.1, Lsat_1_v5_gn_7_99181.1
OG0006230	Av_00000262-RA	Lsat_1_v5_gn_4_13360.3, Lsat_1_v5_gn_4_13360.1
OG0006231	Av_00007644-RA, Av_00006335-RA, Av_00000273-RA	Lsat_1_v5_gn_4_13601.1, Lsat_1_v5_gn_8_44300.1
OG0006232	Av_00010983-RA	Lsat_1_v5_gn_9_17160.1
OG0006233	Av_00015928-RA, Av_00013751-RA, Av_00001809-RA	Lsat_1_v5_gn_5_24460.1, Lsat_1_v5_gn_5_24460.2, Lsat_1_v5_gn_1_15541.2, Lsat_1_v5_gn_1_15541.1
OG0006234	Av_00022640-RA	Lsat_1_v5_gn_2_86460.2, Lsat_1_v5_gn_2_86460.1
OG0006235	Av_00012579-RA, Av_00002894-RA	Lsat_1_v5_gn_1_51600.1, Lsat_1_v5_gn_6_17200.1, Lsat_1_v5_gn_1_51600.2
OG0006238	Av_00000912-RA	Lsat_1_v5_gn_4_5501.1, Lsat_1_v5_gn_4_5501.3
OG0006239	Av_00008284-RA, Av_00013597-RA	Lsat_1_v5_gn_7_112141.3, Lsat_1_v5_gn_7_112141.1
OG0006240	Av_00007557-RA, Av_00005260-RA, Av_00002708-RA	Lsat_1_v5_gn_3_52080.3, Lsat_1_v5_gn_3_52080.1, Lsat_1_v5_gn_3_52060.3, Lsat_1_v5_gn_3_52060.1
OG0006241	Av_00007435-RA	Lsat_1_v5_gn_6_102021.3, Lsat_1_v5_gn_6_102021.1
OG0006242	Av_00007641-RA, Av_00020309-RA, Av_00020310-RA	Lsat_1_v5_gn_2_46180.1, Lsat_1_v5_gn_2_46180.3
OG0006243	Av_00007562-RA, Av_00005255-RA, Av_00002718-RA	Lsat_1_v5_gn_4_109141.1
OG0006244	Av_00001987-RA, Av_00017930-RA	Lsat_1_v5_gn_4_184201.1, Lsat_1_v5_gn_0_11721.1
OG0006245	Av_00007581-RA	Lsat_1_v5_gn_8_46361.1, Lsat_1_v5_gn_8_46361.2
OG0006246	Av_00013873-RA	Lsat_1_v5_gn_5_19381.5, Lsat_1_v5_gn_5_19381.4
OG0006247	Av_00021442-RA	Lsat_1_v5_gn_8_145181.1, Lsat_1_v5_gn_8_145181.2, Lsat_1_v5_gn_7_14180.1
OG0006250	Av_00020192-RA	Lsat_1_v5_gn_1_84880.1, Lsat_1_v5_gn_1_84880.2, Lsat_1_v5_gn_1_84880.3, Lsat_1_v5_gn_8_49061.2
OG0006251	Av_00011282-RA, Av_00001728-RA	Lsat_1_v5_gn_4_73401.1
OG0006252	Av_00003303-RA	Lsat_1_v5_gn_3_58300.2, Lsat_1_v5_gn_3_58300.1
OG0006253	Av_00011278-RA	Lsat_1_v5_gn_5_17960.1, Lsat_1_v5_gn_5_17960.3
OG0006254	Av_00000928-RA, Av_00020936-RA	Lsat_1_v5_gn_4_84321.1
OG0006255	Av_00024372-RA, Av_00023191-RA, Av_00017082-RA	Lsat_1_v5_gn_6_65520.1
OG0006259	Av_00020362-RA	Lsat_1_v5_gn_4_28340.2
OG0006260	Av_00018466-RA, Av_00002563-RA, Av_00007663-RA	Lsat_1_v5_gn_4_22721.1, Lsat_1_v5_gn_4_22721.3
OG0006261	Av_00002180-RA	Lsat_1_v5_gn_5_75720.1
OG0006262	Av_00018788-RA	Lsat_1_v5_gn_2_41901.3, Lsat_1_v5_gn_2_41901.1, Lsat_1_v5_gn_1_76300.2, Lsat_1_v5_gn_0_4560.2, Lsat_1_v5_gn_0_4520.3, Lsat_1_v5_gn_0_4520.1, Lsat_1_v5_gn_0_4560.1, Lsat_1_v5_gn_1_76300.1, Lsat_1_v5_gn_1_76260.2, Lsat_1_v5_gn_1_76260.1, Lsat_1_v5_gn_1_76220.1, Lsat_1_v5_gn_1_76220.2
OG0006263	Av_00009953-RA	Lsat_1_v5_gn_8_36881.1, Lsat_1_v5_gn_8_36881.3
OG0006265	Av_00018845-RA, Av_00007200-RA	Lsat_1_v5_gn_5_120381.1
OG0006267	Av_00007533-RA	Lsat_1_v5_gn_8_54041.1
OG0006296	Av_00002200-RA, Av_00015235-RA, Av_00015237-RA	Lsat_1_v5_gn_7_7481.2, Lsat_1_v5_gn_7_7481.1
OG0006297	Av_00022796-RA	Lsat_1_v5_gn_9_4901.3, Lsat_1_v5_gn_9_4901.1
OG0006298	Av_00012599-RA	Lsat_1_v5_gn_9_7120.1
OG0006299	Av_00003863-RA	Lsat_1_v5_gn_2_121421.1
OG0006301	Av_00013781-RA	Lsat_1_v5_gn_5_125561.1, Lsat_1_v5_gn_5_125561.2
OG0006302	Av_00023758-RA, Av_00006886-RA	Lsat_1_v5_gn_0_7500.1
OG0006303	Av_00003506-RA	Lsat_1_v5_gn_6_59580.2, Lsat_1_v5_gn_6_59580.1
OG0006304	Av_00008030-RA	Lsat_1_v5_gn_5_36420.3, Lsat_1_v5_gn_5_36420.2, Lsat_1_v5_gn_5_36420.1
