Orthogroup	L_sativa.proteins	G_max.proteins
OG0002937	Lsat_1_v5_gn_1_129200.3, Lsat_1_v5_gn_1_129200.1, Lsat_1_v5_gn_7_15260.5, Lsat_1_v5_gn_7_15260.3, Lsat_1_v5_gn_7_15260.1	GmISU01.15G102900.1.p, GmISU01.17G009100.3.p, GmISU01.17G009100.7.p, GmISU01.17G009100.8.p, GmISU01.17G009100.2.p, GmISU01.17G009100.6.p, GmISU01.07G225500.1.p, GmISU01.07G225500.2.p
OG0002938	Lsat_1_v5_gn_9_88840.1	GmISU01.08G295000.1.p, GmISU01.18G068100.1.p
OG0002939	Lsat_1_v5_gn_4_66101.1, Lsat_1_v5_gn_7_22221.1	GmISU01.06G244800.1.p, GmISU01.12G103200.1.p, GmISU01.13G256400.1.p, GmISU01.12G173400.1.p, GmISU01.07G171200.1.p, GmISU01.07G171200.2.p, GmISU01.13G146100.1.p
OG0002940	Lsat_1_v5_gn_5_134080.1, Lsat_1_v5_gn_5_134080.3, Lsat_1_v5_gn_4_96020.1	GmISU01.15G021300.1.p, GmISU01.13G310400.1.p, GmISU01.07G011600.1.p, GmISU01.08G182800.1.p
OG0002941	Lsat_1_v5_gn_4_91180.3, Lsat_1_v5_gn_4_91180.1	GmISU01.08G067000.1.p, GmISU01.08G067000.2.p, GmISU01.17G041900.1.p, GmISU01.13G085500.1.p
OG0002942	Lsat_1_v5_gn_8_63081.1	GmISU01.13G130300.1.p, GmISU01.17G096600.1.p
OG0002943	Lsat_1_v5_gn_6_86141.2	GmISU01.01G182200.2.p
OG0002943	Lsat_1_v5_gn_7_1780.1, Lsat_1_v5_gn_4_33580.1	GmISU01.03G211500.4.p, GmISU01.03G211500.3.p, GmISU01.03G211500.2.p, GmISU01.19G212300.2.p, GmISU01.19G212300.1.p
OG0002944	Lsat_1_v5_gn_1_71380.1, Lsat_1_v5_gn_1_71380.2, Lsat_1_v5_gn_6_56540.2, Lsat_1_v5_gn_6_56540.3, Lsat_1_v5_gn_6_56540.1	GmISU01.02G071900.1.p, GmISU01.16G136500.1.p, GmISU01.06G174900.1.p
OG0002945	Lsat_1_v5_gn_1_90860.1, Lsat_1_v5_gn_1_90860.2, Lsat_1_v5_gn_8_12100.1	GmISU01.09G073200.1.p, GmISU01.08G119500.3.p, GmISU01.08G119500.2.p, GmISU01.08G119500.1.p
OG0002947	Lsat_1_v5_gn_7_45460.1, Lsat_1_v5_gn_5_96080.1, Lsat_1_v5_gn_8_58821.1, Lsat_1_v5_gn_8_58780.1	GmISU01.06G063400.1.p, GmISU01.04G062800.1.p
OG0002948	Lsat_1_v5_gn_3_27140.2, Lsat_1_v5_gn_3_27140.3, Lsat_1_v5_gn_3_27140.1	GmISU01.14G088000.2.p, GmISU01.14G088000.1.p, GmISU01.17G200300.1.p, GmISU01.17G200300.3.p, GmISU01.17G200300.2.p
OG0002949	Lsat_1_v5_gn_8_160721.1	GmISU01.02G022100.1.p, GmISU01.01G036900.1.p
OG0002949	Lsat_1_v5_gn_5_137500.1, Lsat_1_v5_gn_5_137500.4	GmISU01.07G003000.1.p, GmISU01.08G207300.1.p
OG0002950	Lsat_1_v5_gn_2_101681.2, Lsat_1_v5_gn_2_101681.1	GmISU01.05G129100.2.p, GmISU01.05G129100.1.p, GmISU01.05G129100.3.p, GmISU01.08G103800.1.p
OG0002951	Lsat_1_v5_gn_6_115401.1	GmISU01.17G185500.2.p, GmISU01.17G185500.1.p, GmISU01.14G103333.1.p
OG0002952	Lsat_1_v5_gn_3_136181.1, Lsat_1_v5_gn_3_136181.3	GmISU01.11G036500.1.p, GmISU01.01G161800.1.p, GmISU01.07G069300.1.p, GmISU01.03G013600.1.p, GmISU01.18G172100.1.p, GmISU01.03G013900.1.p, GmISU01.03G014100.1.p, GmISU01.07G069700.1.p, GmISU01.07G069800.1.p, GmISU01.03G014200.1.p, GmISU01.03G014000.1.p, GmISU01.07G069600.1.p, GmISU01.07G069500.1.p, GmISU01.03G013800.1.p, GmISU01.18G172000.1.p, GmISU01.07G069400.1.p, GmISU01.03G013700.1.p
OG0002953	Lsat_1_v5_gn_8_86180.3, Lsat_1_v5_gn_8_86180.1	GmISU01.17G048100.5.p, GmISU01.17G048100.8.p, GmISU01.17G048100.7.p, GmISU01.17G048100.6.p, GmISU01.13G079000.10.p, GmISU01.13G079000.14.p, GmISU01.13G079000.15.p, GmISU01.13G079000.12.p, GmISU01.13G079000.11.p, GmISU01.13G079000.17.p, GmISU01.13G079000.16.p, GmISU01.13G079000.13.p, GmISU01.13G079000.9.p, GmISU01.13G079000.8.p, GmISU01.13G079000.7.p, GmISU01.13G079000.20.p, GmISU01.13G079000.18.p, GmISU01.17G048100.9.p, GmISU01.13G079000.19.p, GmISU01.13G079000.6.p
OG0002954	Lsat_1_v5_gn_3_140041.3, Lsat_1_v5_gn_3_140041.1, Lsat_1_v5_gn_4_33080.1	GmISU01.07G051400.1.p
OG0002954	Lsat_1_v5_gn_3_10980.4	GmISU01.01G184300.1.p, GmISU01.08G021300.1.p, GmISU01.05G185300.1.p
OG0002955	Lsat_1_v5_gn_3_139941.3, Lsat_1_v5_gn_3_139941.1, Lsat_1_v5_gn_6_84040.1, Lsat_1_v5_gn_6_12401.1, Lsat_1_v5_gn_6_12401.3	GmISU01.11G016100.1.p, GmISU01.11G016100.2.p, GmISU01.11G016100.3.p, GmISU01.01G183600.1.p
OG0002956	Lsat_1_v5_gn_1_89600.2, Lsat_1_v5_gn_1_89600.3, Lsat_1_v5_gn_1_89600.1	GmISU01.03G071300.2.p, GmISU01.16G071100.2.p, GmISU01.16G071100.4.p, GmISU01.16G071100.1.p, GmISU01.16G071100.3.p, GmISU01.03G082400.1.p, GmISU01.04G001700.1.p, GmISU01.06G001700.1.p, GmISU01.06G001700.3.p, GmISU01.06G001700.2.p, GmISU01.04G001700.2.p
OG0002957	Lsat_1_v5_gn_4_34441.1	GmISU01.03G210900.1.p, GmISU01.03G210900.2.p, GmISU01.19G211600.2.p
OG0002958	Lsat_1_v5_gn_1_43861.1, Lsat_1_v5_gn_1_43861.4, Lsat_1_v5_gn_1_43861.3, Lsat_1_v5_gn_1_43861.2, Lsat_1_v5_gn_6_115440.1, Lsat_1_v5_gn_6_115440.3	GmISU01.14G103366.2.p, GmISU01.14G103366.1.p, GmISU01.17G185400.2.p, GmISU01.17G185400.1.p, GmISU01.17G185400.3.p
OG0002959	Lsat_1_v5_gn_6_2160.1, Lsat_1_v5_gn_7_6720.1	GmISU01.07G074600.1.p, GmISU01.03G017700.1.p
OG0002960	Lsat_1_v5_gn_6_5500.1, Lsat_1_v5_gn_6_86440.1	GmISU01.08G014400.1.p, GmISU01.05G177800.1.p, GmISU01.11G020800.1.p, GmISU01.01G178900.1.p
OG0002961	Lsat_1_v5_gn_9_99280.1, Lsat_1_v5_gn_9_99280.3, Lsat_1_v5_gn_7_103361.1	GmISU01.04G068400.5.p, GmISU01.04G068400.3.p, GmISU01.04G068400.4.p, GmISU01.06G069400.1.p, GmISU01.04G068400.2.p, GmISU01.04G068400.1.p, GmISU01.14G112400.1.p, GmISU01.11G141900.1.p, GmISU01.17G174300.1.p
OG0002962	Lsat_1_v5_gn_8_95961.1	GmISU01.05G196100.1.p, GmISU01.05G196100.3.p, GmISU01.08G034000.2.p, GmISU01.07G075500.1.p, GmISU01.07G016500.2.p, GmISU01.07G016500.4.p, GmISU01.07G016500.3.p, GmISU01.07G016500.5.p, GmISU01.07G016500.6.p, GmISU01.07G016500.1.p, GmISU01.08G189300.1.p, GmISU01.08G189300.2.p, GmISU01.15G016400.1.p, GmISU01.15G016400.2.p
OG0002963	Lsat_1_v5_gn_1_39601.2, Lsat_1_v5_gn_1_39601.1	GmISU01.08G207500.1.p, GmISU01.07G002800.1.p
OG0002963	Lsat_1_v5_gn_5_114741.1, Lsat_1_v5_gn_5_114741.2	GmISU01.20G096200.1.p, GmISU01.10G221700.1.p
OG0002964	Lsat_1_v5_gn_5_132621.1	GmISU01.15G010300.1.p, GmISU01.13G320500.1.p, GmISU01.08G194900.1.p
OG0002964	Lsat_1_v5_gn_6_22100.1	GmISU01.17G180400.1.p, GmISU01.14G107800.1.p, GmISU01.06G064800.1.p
OG0002965	Lsat_1_v5_gn_8_11581.1	GmISU01.01G056200.1.p, GmISU01.01G056100.1.p, GmISU01.01G056000.1.p, GmISU01.01G057500.1.p, GmISU01.02G110500.1.p
OG0002966	Lsat_1_v5_gn_9_12660.4, Lsat_1_v5_gn_9_12660.2, Lsat_1_v5_gn_9_12660.1, Lsat_1_v5_gn_3_37540.1, Lsat_1_v5_gn_8_14200.2	GmISU01.07G082500.1.p, GmISU01.09G146400.1.p
OG0002967	Lsat_1_v5_gn_5_83141.1, Lsat_1_v5_gn_5_83141.2, Lsat_1_v5_gn_7_56240.1, Lsat_1_v5_gn_7_56240.3, Lsat_1_v5_gn_8_69001.1	GmISU01.13G073200.1.p, GmISU01.13G073200.2.p, GmISU01.13G073200.3.p, GmISU01.17G054100.4.p, GmISU01.17G054100.3.p, GmISU01.17G054100.2.p
OG0002968	Lsat_1_v5_gn_7_79181.2, Lsat_1_v5_gn_7_79181.3, Lsat_1_v5_gn_7_79181.1	GmISU01.12G139000.1.p, GmISU01.08G175500.6.p, GmISU01.08G175500.5.p
OG0002969	Lsat_1_v5_gn_6_20421.3, Lsat_1_v5_gn_6_20421.1, Lsat_1_v5_gn_6_115560.1, Lsat_1_v5_gn_6_115560.3	GmISU01.04G059600.1.p, GmISU01.06G059900.1.p
OG0002971	Lsat_1_v5_gn_6_3141.1, Lsat_1_v5_gn_9_25601.1	GmISU01.11G181800.1.p, GmISU01.18G059400.1.p, GmISU01.02G188500.1.p, GmISU01.14G156800.1.p
OG0002972	Lsat_1_v5_gn_7_12320.2, Lsat_1_v5_gn_7_12320.1, Lsat_1_v5_gn_1_82540.1, Lsat_1_v5_gn_4_39281.1	GmISU01.18G194600.1.p, GmISU01.09G200300.2.p, GmISU01.09G200300.1.p, GmISU01.03G081000.2.p, GmISU01.03G081000.3.p, GmISU01.07G103300.1.p, GmISU01.07G103300.2.p
OG0002973	Lsat_1_v5_gn_1_34781.1, Lsat_1_v5_gn_1_34781.3, Lsat_1_v5_gn_1_34781.2	GmISU01.13G314000.1.p, GmISU01.15G017300.4.p, GmISU01.15G017300.3.p, GmISU01.13G313900.1.p, GmISU01.15G017300.1.p, GmISU01.15G017300.2.p
OG0002974	Lsat_1_v5_gn_6_2261.2, Lsat_1_v5_gn_6_2261.1	GmISU01.17G126400.1.p, GmISU01.05G050400.1.p, GmISU01.11G027600.1.p
OG0002975	Lsat_1_v5_gn_5_165420.2, Lsat_1_v5_gn_5_165420.1, Lsat_1_v5_gn_9_25941.1	GmISU01.19G115800.4.p, GmISU01.19G115800.2.p, GmISU01.19G115800.3.p, GmISU01.03G110700.4.p, GmISU01.03G110700.3.p, GmISU01.03G110700.1.p, GmISU01.03G110700.2.p
OG0002976	Lsat_1_v5_gn_8_54000.1, Lsat_1_v5_gn_7_93181.1, Lsat_1_v5_gn_9_19501.2, Lsat_1_v5_gn_9_19501.1	GmISU01.18G061900.1.p, GmISU01.08G297800.1.p, GmISU01.08G297800.2.p
OG0002977	Lsat_1_v5_gn_5_148460.1, Lsat_1_v5_gn_5_148460.2	GmISU01.05G070700.1.p, GmISU01.05G070700.3.p, GmISU01.05G070700.2.p, GmISU01.03G151400.3.p, GmISU01.03G151400.2.p
OG0002978	Lsat_1_v5_gn_4_50020.1	GmISU01.13G142700.1.p, GmISU01.04G113300.7.p, GmISU01.04G113300.13.p, GmISU01.04G113300.8.p, GmISU01.04G113300.1.p, GmISU01.04G113300.14.p, GmISU01.04G113300.9.p, GmISU01.04G113300.12.p, GmISU01.04G113300.6.p, GmISU01.04G113300.4.p, GmISU01.04G113300.5.p, GmISU01.04G113300.15.p, GmISU01.04G113300.17.p, GmISU01.04G113300.16.p, GmISU01.04G113300.3.p, GmISU01.04G113300.2.p, GmISU01.13G142600.1.p
OG0002980	Lsat_1_v5_gn_7_23020.1, Lsat_1_v5_gn_7_23020.3, Lsat_1_v5_gn_4_49761.1	GmISU01.07G174300.1.p, GmISU01.07G174300.2.p, GmISU01.02G125400.4.p, GmISU01.02G125400.2.p, GmISU01.02G125400.3.p
OG0002981	Lsat_1_v5_gn_4_46940.1, Lsat_1_v5_gn_4_46940.2, Lsat_1_v5_gn_4_46940.3, Lsat_1_v5_gn_7_27020.1, Lsat_1_v5_gn_7_27020.3, Lsat_1_v5_gn_7_27020.2	GmISU01.02G247800.1.p, GmISU01.14G025300.1.p
OG0002982	Lsat_1_v5_gn_4_162920.1, Lsat_1_v5_gn_4_173140.1	GmISU01.09G228100.1.p, GmISU01.18G163700.1.p
OG0002983	Lsat_1_v5_gn_9_101380.1, Lsat_1_v5_gn_9_101380.2, Lsat_1_v5_gn_5_126041.3, Lsat_1_v5_gn_5_126041.1	GmISU01.13G225400.6.p, GmISU01.13G225400.3.p, GmISU01.13G225400.5.p, GmISU01.13G225400.4.p, GmISU01.13G225400.2.p, GmISU01.13G225400.1.p, GmISU01.15G204100.1.p
OG0002984	Lsat_1_v5_gn_4_162261.1	GmISU01.18G051000.6.p, GmISU01.18G051000.4.p, GmISU01.18G051000.5.p, GmISU01.18G051000.2.p, GmISU01.18G051000.1.p, GmISU01.18G051000.3.p, GmISU01.11G171100.1.p, GmISU01.11G171100.2.p
OG0002985	Lsat_1_v5_gn_9_61260.1, Lsat_1_v5_gn_9_61260.3, Lsat_1_v5_gn_9_61260.2, Lsat_1_v5_gn_2_122961.1, Lsat_1_v5_gn_2_122961.2	GmISU01.02G218500.2.p, GmISU01.02G218500.1.p, GmISU01.14G055400.1.p, GmISU01.11G208000.1.p, GmISU01.18G026000.1.p
OG0002986	Lsat_1_v5_gn_4_66861.1, Lsat_1_v5_gn_4_66861.2, Lsat_1_v5_gn_3_41540.3	GmISU01.12G097200.3.p, GmISU01.12G097200.1.p, GmISU01.06G251300.1.p, GmISU01.12G097200.2.p, GmISU01.06G251300.2.p
OG0002987	Lsat_1_v5_gn_7_19480.1, Lsat_1_v5_gn_7_19480.2	GmISU01.13G210000.4.p, GmISU01.13G210000.3.p, GmISU01.13G210000.2.p, GmISU01.15G066200.3.p, GmISU01.15G066200.2.p
OG0002988	Lsat_1_v5_gn_6_34841.3, Lsat_1_v5_gn_6_34841.1, Lsat_1_v5_gn_1_58500.1	GmISU01.02G163400.1.p, GmISU01.10G072400.1.p, GmISU01.11G140700.1.p, GmISU01.12G086700.1.p
OG0002989	Lsat_1_v5_gn_9_68900.1, Lsat_1_v5_gn_8_20201.1, Lsat_1_v5_gn_8_20201.3	GmISU01.20G142300.1.p, GmISU01.20G142300.3.p, GmISU01.20G142300.2.p, GmISU01.10G174300.1.p, GmISU01.10G174300.3.p, GmISU01.10G174300.2.p, GmISU01.16G127800.4.p, GmISU01.16G127800.5.p, GmISU01.16G127800.6.p, GmISU01.02G066600.2.p, GmISU01.02G066600.1.p, GmISU01.02G066600.3.p
OG0002990	Lsat_1_v5_gn_3_113460.2, Lsat_1_v5_gn_3_113460.1, Lsat_1_v5_gn_2_38680.1	GmISU01.02G232900.1.p, GmISU01.14G042200.1.p, GmISU01.19G087300.1.p, GmISU01.16G033200.3.p, GmISU01.16G033200.4.p, GmISU01.16G033200.1.p
OG0002991	Lsat_1_v5_gn_9_13841.1	GmISU01.18G162200.1.p, GmISU01.09G229900.3.p, GmISU01.04G181100.1.p, GmISU01.06G130700.3.p, GmISU01.06G130700.2.p
OG0002993	Lsat_1_v5_gn_7_112081.1, Lsat_1_v5_gn_7_112081.3, Lsat_1_v5_gn_7_71280.1, Lsat_1_v5_gn_7_71280.2, Lsat_1_v5_gn_7_112340.1, Lsat_1_v5_gn_7_70200.1	GmISU01.08G157900.1.p, GmISU01.15G212700.1.p, GmISU01.07G189600.1.p, GmISU01.20G018600.1.p, GmISU01.09G019000.1.p, GmISU01.15G116900.1.p
OG0002994	Lsat_1_v5_gn_8_117141.1	GmISU01.07G189000.5.p, GmISU01.07G189000.3.p, GmISU01.07G189000.2.p, GmISU01.07G189000.1.p, GmISU01.07G189000.4.p, GmISU01.20G017100.1.p, GmISU01.20G017100.2.p, GmISU01.20G017100.3.p
OG0002995	Lsat_1_v5_gn_7_17281.1	GmISU01.11G003200.1.p
OG0002995	Lsat_1_v5_gn_7_109340.1	GmISU01.08G278900.1.p, GmISU01.18G087600.1.p
OG0002996	Lsat_1_v5_gn_8_30540.4, Lsat_1_v5_gn_8_30540.2, Lsat_1_v5_gn_2_10861.1	GmISU01.14G182600.1.p, GmISU01.17G224200.1.p
OG0002997	Lsat_1_v5_gn_2_105941.1, Lsat_1_v5_gn_2_105941.3, Lsat_1_v5_gn_8_21761.1, Lsat_1_v5_gn_8_21761.3	GmISU01.10G096900.1.p, GmISU01.10G096900.2.p, GmISU01.20G050200.1.p, GmISU01.20G050200.2.p
OG0002997	Lsat_1_v5_gn_3_115041.1, Lsat_1_v5_gn_3_115041.2, Lsat_1_v5_gn_2_35301.1	GmISU01.12G157200.1.p, GmISU01.12G157200.3.p, GmISU01.13G272200.3.p, GmISU01.13G272200.1.p
OG0002998	Lsat_1_v5_gn_3_114660.2, Lsat_1_v5_gn_3_114660.3, Lsat_1_v5_gn_3_114660.1, Lsat_1_v5_gn_3_115221.3	GmISU01.12G157300.1.p, GmISU01.12G157300.2.p, GmISU01.13G272100.3.p, GmISU01.13G272100.4.p, GmISU01.09G139500.2.p, GmISU01.09G139500.1.p, GmISU01.09G139500.3.p
OG0002999	Lsat_1_v5_gn_1_56540.2, Lsat_1_v5_gn_1_56540.1	GmISU01.02G146700.4.p, GmISU01.02G146700.2.p, GmISU01.02G146700.1.p, GmISU01.10G074700.2.p, GmISU01.10G074700.3.p, GmISU01.19G167100.1.p, GmISU01.03G165100.1.p, GmISU01.03G165100.3.p
OG0003000	Lsat_1_v5_gn_8_54241.1, Lsat_1_v5_gn_8_54261.1, Lsat_1_v5_gn_9_2360.1, Lsat_1_v5_gn_9_47281.1	GmISU01.02G137900.1.p, GmISU01.10G019600.1.p, GmISU01.19G171300.1.p, GmISU01.03G169500.1.p
OG0003001	Lsat_1_v5_gn_0_27001.1, Lsat_1_v5_gn_2_93821.1	GmISU01.05G066400.1.p, GmISU01.19G058600.1.p
OG0003001	Lsat_1_v5_gn_1_29640.1, Lsat_1_v5_gn_5_13421.1, Lsat_1_v5_gn_4_77881.1	GmISU01.04G156100.1.p, GmISU01.06G158000.1.p, GmISU01.17G117900.1.p, GmISU01.05G042000.1.p
OG0003002	Lsat_1_v5_gn_6_117721.1, Lsat_1_v5_gn_6_112181.3, Lsat_1_v5_gn_6_112181.1	GmISU01.09G141700.1.p, GmISU01.07G089500.1.p, GmISU01.05G208400.1.p
OG0003002	Lsat_1_v5_gn_2_84821.1, Lsat_1_v5_gn_2_84821.3, Lsat_1_v5_gn_4_164841.1	GmISU01.17G156600.1.p, GmISU01.05G078200.1.p
OG0003003	Lsat_1_v5_gn_2_8501.1	GmISU01.06G022100.1.p, GmISU01.04G024100.1.p
OG0003003	Lsat_1_v5_gn_2_78861.1, Lsat_1_v5_gn_2_78861.3	GmISU01.02G045200.2.p, GmISU01.02G045200.1.p, GmISU01.02G045200.3.p, GmISU01.02G045200.4.p
OG0003005	Lsat_1_v5_gn_8_55640.1, Lsat_1_v5_gn_8_55640.3, Lsat_1_v5_gn_9_7580.1	GmISU01.03G120900.1.p, GmISU01.19G125000.3.p, GmISU01.19G125000.2.p, GmISU01.19G125000.1.p, GmISU01.10G027800.1.p
OG0003006	Lsat_1_v5_gn_1_130380.3, Lsat_1_v5_gn_1_130380.1	GmISU01.10G142500.3.p, GmISU01.10G142500.9.p, GmISU01.10G142500.5.p, GmISU01.10G142500.7.p, GmISU01.10G142500.8.p, GmISU01.10G142500.6.p, GmISU01.10G142500.1.p, GmISU01.20G174200.1.p, GmISU01.20G174200.2.p, GmISU01.09G123300.2.p, GmISU01.09G123300.3.p, GmISU01.09G123300.1.p, GmISU01.16G176700.2.p, GmISU01.16G176700.1.p
OG0003007	Lsat_1_v5_gn_4_117401.1	GmISU01.14G066900.4.p, GmISU01.14G066900.3.p, GmISU01.17G220400.2.p, GmISU01.17G220400.1.p, GmISU01.14G066900.5.p
OG0003008	Lsat_1_v5_gn_6_96701.1	GmISU01.06G111600.1.p, GmISU01.04G198400.1.p, GmISU01.14G132200.4.p
OG0003009	Lsat_1_v5_gn_5_120240.1, Lsat_1_v5_gn_5_120240.3, Lsat_1_v5_gn_7_91881.1, Lsat_1_v5_gn_9_107620.1	GmISU01.12G035500.4.p, GmISU01.12G035500.3.p, GmISU01.12G035500.1.p, GmISU01.12G035500.2.p, GmISU01.11G104600.1.p
OG0003009	Lsat_1_v5_gn_1_16460.3, Lsat_1_v5_gn_1_16460.1, Lsat_1_v5_gn_1_16460.2	GmISU01.06G024500.1.p
OG0003010	Lsat_1_v5_gn_8_94021.1, Lsat_1_v5_gn_5_185821.2, Lsat_1_v5_gn_5_185821.1	GmISU01.20G114900.1.p, GmISU01.20G114900.3.p, GmISU01.20G114900.2.p, GmISU01.10G205800.3.p, GmISU01.10G205800.1.p, GmISU01.10G205800.2.p
OG0003011	Lsat_1_v5_gn_2_34761.2, Lsat_1_v5_gn_2_34761.1	GmISU01.18G241600.1.p, GmISU01.08G322200.1.p, GmISU01.20G205600.1.p, GmISU01.20G205600.2.p, GmISU01.10G253700.2.p, GmISU01.10G253700.3.p, GmISU01.10G253700.1.p, GmISU01.20G205600.4.p, GmISU01.20G205600.5.p, GmISU01.10G253700.4.p, GmISU01.10G253700.5.p
OG0003012	Lsat_1_v5_gn_7_87121.1	GmISU01.07G179400.1.p, GmISU01.02G119400.1.p
OG0003012	Lsat_1_v5_gn_1_20380.1, Lsat_1_v5_gn_1_20380.3, Lsat_1_v5_gn_1_20300.1, Lsat_1_v5_gn_1_20300.2, Lsat_1_v5_gn_8_2421.3, Lsat_1_v5_gn_8_2421.1	GmISU01.06G035000.1.p, GmISU01.04G035600.1.p, GmISU01.04G035600.3.p, GmISU01.04G035600.2.p
OG0003013	Lsat_1_v5_gn_8_152201.2, Lsat_1_v5_gn_8_152201.1	GmISU01.02G035600.1.p, GmISU01.01G024300.1.p, GmISU01.01G024300.2.p
OG0003014	Lsat_1_v5_gn_1_69961.1, Lsat_1_v5_gn_6_58161.1	GmISU01.05G123400.2.p, GmISU01.05G123400.1.p, GmISU01.08G097000.1.p, GmISU01.18G004200.2.p, GmISU01.18G004200.1.p, GmISU01.11G230000.3.p, GmISU01.11G230000.2.p, GmISU01.11G230000.1.p
OG0003014	Lsat_1_v5_gn_8_35241.1	GmISU01.08G043800.1.p, GmISU01.08G043800.2.p, GmISU01.05G206100.1.p
OG0003015	Lsat_1_v5_gn_9_5980.1, Lsat_1_v5_gn_9_5980.3	GmISU01.19G176300.1.p, GmISU01.19G176300.2.p, GmISU01.19G176300.3.p, GmISU01.03G175100.1.p
OG0003016	Lsat_1_v5_gn_3_123981.1, Lsat_1_v5_gn_3_123981.3	GmISU01.10G129900.3.p, GmISU01.10G129900.1.p, GmISU01.10G129900.4.p, GmISU01.10G129900.2.p, GmISU01.20G183500.1.p, GmISU01.20G183500.2.p, GmISU01.20G183500.3.p, GmISU01.19G205300.2.p, GmISU01.19G205400.1.p, GmISU01.19G205300.3.p
OG0003017	Lsat_1_v5_gn_2_54721.1	GmISU01.03G159400.1.p, GmISU01.19G161100.1.p
OG0003018	Lsat_1_v5_gn_3_30600.4, Lsat_1_v5_gn_3_30600.3, Lsat_1_v5_gn_3_30600.1, Lsat_1_v5_gn_4_4140.1	GmISU01.01G023600.1.p, GmISU01.02G036200.1.p, GmISU01.08G252500.1.p, GmISU01.18G114300.1.p
OG0003020	Lsat_1_v5_gn_4_183661.3, Lsat_1_v5_gn_4_183661.1	GmISU01.19G049600.2.p, GmISU01.19G049600.1.p
OG0003021	Lsat_1_v5_gn_3_98161.1, Lsat_1_v5_gn_3_98161.3	GmISU01.19G025500.1.p, GmISU01.19G025500.3.p, GmISU01.13G036500.1.p
OG0003022	Lsat_1_v5_gn_2_4960.1, Lsat_1_v5_gn_2_4960.3	GmISU01.13G142200.1.p, GmISU01.19G009300.1.p
OG0003023	Lsat_1_v5_gn_8_10281.3, Lsat_1_v5_gn_8_10281.1	GmISU01.09G188100.3.p, GmISU01.09G188100.5.p, GmISU01.09G188100.1.p, GmISU01.09G188100.2.p, GmISU01.12G005800.1.p, GmISU01.12G005800.3.p, GmISU01.12G005800.4.p, GmISU01.12G005800.2.p, GmISU01.12G005800.5.p
OG0003024	Lsat_1_v5_gn_3_45801.1, Lsat_1_v5_gn_3_45840.1	GmISU01.05G123600.1.p, GmISU01.08G097200.1.p
OG0003025	Lsat_1_v5_gn_5_23221.3, Lsat_1_v5_gn_5_23221.2, Lsat_1_v5_gn_5_23221.1, Lsat_1_v5_gn_5_23221.4	GmISU01.05G020000.5.p, GmISU01.05G020000.14.p, GmISU01.05G020000.13.p, GmISU01.05G020000.4.p, GmISU01.05G020000.1.p, GmISU01.05G020000.7.p, GmISU01.05G020000.3.p, GmISU01.05G020000.11.p, GmISU01.05G020000.10.p, GmISU01.05G020000.9.p, GmISU01.05G020000.2.p, GmISU01.05G020000.12.p, GmISU01.05G020000.6.p, GmISU01.05G020000.8.p, GmISU01.05G020000.15.p
OG0003026	Lsat_1_v5_gn_3_23181.1	GmISU01.09G173600.1.p, GmISU01.01G113900.1.p, GmISU01.16G089600.1.p
OG0003027	Lsat_1_v5_gn_2_79441.3, Lsat_1_v5_gn_2_79441.1	GmISU01.09G145400.1.p, GmISU01.09G145400.3.p, GmISU01.09G145400.4.p, GmISU01.07G083500.1.p, GmISU01.13G025600.1.p, GmISU01.19G039600.5.p, GmISU01.19G039600.4.p, GmISU01.19G039600.1.p, GmISU01.19G039600.2.p
OG0003028	Lsat_1_v5_gn_4_74501.2, Lsat_1_v5_gn_4_74501.1, Lsat_1_v5_gn_4_74501.3, Lsat_1_v5_gn_2_37820.1	GmISU01.18G120700.2.p, GmISU01.18G120700.3.p
OG0003029	Lsat_1_v5_gn_3_51541.2, Lsat_1_v5_gn_3_51541.1, Lsat_1_v5_gn_3_51541.3	GmISU01.01G041600.1.p, GmISU01.02G094500.2.p, GmISU01.08G267600.1.p, GmISU01.18G100900.1.p
OG0003029	Lsat_1_v5_gn_4_108900.2	GmISU01.04G139000.1.p, GmISU01.06G175600.1.p, GmISU01.17G090600.1.p, GmISU01.05G025100.1.p
OG0003030	Lsat_1_v5_gn_6_17640.1, Lsat_1_v5_gn_6_17640.2, Lsat_1_v5_gn_4_62320.1	GmISU01.09G169700.2.p, GmISU01.09G169700.3.p, GmISU01.09G169700.4.p, GmISU01.09G169700.1.p, GmISU01.09G169700.5.p, GmISU01.01G010500.2.p, GmISU01.01G010500.1.p, GmISU01.01G010500.4.p, GmISU01.01G010500.3.p, GmISU01.01G010500.6.p, GmISU01.01G010500.7.p, GmISU01.01G010500.5.p
OG0003031	Lsat_1_v5_gn_8_162680.1, Lsat_1_v5_gn_8_162680.4	GmISU01.02G026300.1.p, GmISU01.01G033700.1.p
OG0003032	Lsat_1_v5_gn_6_45240.3, Lsat_1_v5_gn_6_45240.1	GmISU01.13G283700.1.p, GmISU01.12G144900.1.p
OG0003033	Lsat_1_v5_gn_1_83741.1	GmISU01.08G303600.2.p, GmISU01.08G303600.3.p, GmISU01.08G303600.1.p, GmISU01.01G074400.1.p
OG0003033	Lsat_1_v5_gn_7_12581.2, Lsat_1_v5_gn_7_12581.1, Lsat_1_v5_gn_4_38180.1, Lsat_1_v5_gn_1_83741.3	GmISU01.07G105100.1.p, GmISU01.07G105100.2.p, GmISU01.03G079000.1.p
