Orthogroup	L_sativa.proteins	A_hypochondriacus.proteins
OG0004079	Lsat_1_v5_gn_1_112921.1, Lsat_1_v5_gn_1_112921.2, Lsat_1_v5_gn_1_112921.3	AH019834-RA
OG0004080	Lsat_1_v5_gn_1_59281.3, Lsat_1_v5_gn_6_38800.3, Lsat_1_v5_gn_6_38800.1	AH001930-RA, AH013250-RA
OG0004081	Lsat_1_v5_gn_4_139341.1	AH007770-RA, AH010838-RA
OG0004082	Lsat_1_v5_gn_7_76501.2, Lsat_1_v5_gn_7_76501.1	AH009468-RA
OG0004083	Lsat_1_v5_gn_5_48701.1, Lsat_1_v5_gn_5_48701.3	AH006002-RA
OG0004084	Lsat_1_v5_gn_1_74141.1, Lsat_1_v5_gn_1_74360.1, Lsat_1_v5_gn_1_74401.1, Lsat_1_v5_gn_1_74380.1	AH011114-RA, AH007476-RA, AH011710-RA
OG0004085	Lsat_1_v5_gn_3_46681.3, Lsat_1_v5_gn_3_46681.1	AH002258-RA
OG0004086	Lsat_1_v5_gn_7_77041.1, Lsat_1_v5_gn_7_77041.2, Lsat_1_v5_gn_9_121780.1, Lsat_1_v5_gn_9_121780.2	AH005281-RA
OG0004087	Lsat_1_v5_gn_3_120241.1, Lsat_1_v5_gn_3_120241.2	AH003294-RA
OG0004088	Lsat_1_v5_gn_6_105381.2, Lsat_1_v5_gn_6_105381.1, Lsat_1_v5_gn_1_2480.4, Lsat_1_v5_gn_1_2480.1	AH008807-RA
OG0004089	Lsat_1_v5_gn_6_8860.2, Lsat_1_v5_gn_6_8860.1	AH018132-RA, AH011338-RA
OG0004090	Lsat_1_v5_gn_4_164500.1	AH006135-RA
OG0004090	Lsat_1_v5_gn_4_127841.2, Lsat_1_v5_gn_4_127841.1	AH016665-RA
OG0004091	Lsat_1_v5_gn_4_76620.1, Lsat_1_v5_gn_1_2461.1, Lsat_1_v5_gn_1_2461.3	AH008808-RA
OG0004093	Lsat_1_v5_gn_9_112100.1, Lsat_1_v5_gn_9_112160.1, Lsat_1_v5_gn_9_112561.2, Lsat_1_v5_gn_9_112561.1	AH000985-RA, AH001684-RA, AH001685-RA
OG0004094	Lsat_1_v5_gn_8_34760.1, Lsat_1_v5_gn_8_34760.3	AH005865-RA
OG0004095	Lsat_1_v5_gn_4_162340.1, Lsat_1_v5_gn_4_162340.2, Lsat_1_v5_gn_2_83781.1	AH003886-RA
OG0004096	Lsat_1_v5_gn_2_116140.5, Lsat_1_v5_gn_2_116140.2	AH022832-RA
OG0004097	Lsat_1_v5_gn_1_8361.1	AH008866-RA
OG0004098	Lsat_1_v5_gn_2_67341.1, Lsat_1_v5_gn_2_67341.3	AH003679-RA
OG0004099	Lsat_1_v5_gn_7_87840.1	AH001898-RA
OG0004100	Lsat_1_v5_gn_9_47660.2, Lsat_1_v5_gn_9_47660.1	AH007267-RA
OG0004101	Lsat_1_v5_gn_9_121240.2, Lsat_1_v5_gn_9_121240.1, Lsat_1_v5_gn_5_104780.1	AH003279-RA, AH010366-RA
OG0004102	Lsat_1_v5_gn_9_111000.1	AH002308-RA
OG0004103	Lsat_1_v5_gn_5_26901.1, Lsat_1_v5_gn_5_26901.2, Lsat_1_v5_gn_4_116980.1	AH008964-RA
OG0004104	Lsat_1_v5_gn_5_103901.1, Lsat_1_v5_gn_9_120180.1, Lsat_1_v5_gn_9_120180.2, Lsat_1_v5_gn_5_103901.3, Lsat_1_v5_gn_5_103901.2, Lsat_1_v5_gn_5_103901.4	AH004205-RA, AH005291-RA
OG0004105	Lsat_1_v5_gn_7_79840.3, Lsat_1_v5_gn_7_79840.1, Lsat_1_v5_gn_9_117540.1, Lsat_1_v5_gn_9_117540.2	AH000639-RA
OG0004106	Lsat_1_v5_gn_4_152080.2, Lsat_1_v5_gn_4_152080.1, Lsat_1_v5_gn_3_76401.2, Lsat_1_v5_gn_3_76401.1	AH003839-RA
OG0004107	Lsat_1_v5_gn_2_73761.1, Lsat_1_v5_gn_7_1541.1	AH003589-RA
OG0004108	Lsat_1_v5_gn_8_121800.2, Lsat_1_v5_gn_8_121800.1, Lsat_1_v5_gn_8_121800.3	AH002337-RA
OG0004109	Lsat_1_v5_gn_4_158640.3, Lsat_1_v5_gn_4_158640.1, Lsat_1_v5_gn_2_80441.3, Lsat_1_v5_gn_2_80441.1, Lsat_1_v5_gn_3_84881.1	AH005613-RA
OG0004110	Lsat_1_v5_gn_8_139620.1, Lsat_1_v5_gn_9_31941.1, Lsat_1_v5_gn_2_72140.3, Lsat_1_v5_gn_2_72140.1	AH001409-RA
OG0004111	Lsat_1_v5_gn_2_83081.1, Lsat_1_v5_gn_3_87201.1	AH005695-RA, AH003878-RA
OG0004112	Lsat_1_v5_gn_5_46500.1, Lsat_1_v5_gn_5_46500.3	AH001585-RA, AH000920-RA
OG0004113	Lsat_1_v5_gn_2_73661.3, Lsat_1_v5_gn_2_73661.1	AH005078-RA
OG0004114	Lsat_1_v5_gn_7_32801.3, Lsat_1_v5_gn_7_32801.1, Lsat_1_v5_gn_7_32741.1, Lsat_1_v5_gn_7_32841.2, Lsat_1_v5_gn_7_32841.3, Lsat_1_v5_gn_7_32841.1, Lsat_1_v5_gn_7_32940.1, Lsat_1_v5_gn_7_32940.2	AH014737-RA, AH021320-RA
OG0004115	Lsat_1_v5_gn_1_41100.1	AH011594-RA
OG0004116	Lsat_1_v5_gn_4_178480.1, Lsat_1_v5_gn_3_93020.1, Lsat_1_v5_gn_2_87161.1	AH005902-RA
OG0004117	Lsat_1_v5_gn_8_122001.1, Lsat_1_v5_gn_6_34280.1, Lsat_1_v5_gn_3_47821.1	AH002348-RA, AH000744-RA
OG0004118	Lsat_1_v5_gn_7_87961.1, Lsat_1_v5_gn_7_87961.3	AH001878-RA
OG0004118	Lsat_1_v5_gn_1_58400.1, Lsat_1_v5_gn_6_34861.1	AH018875-RA
OG0004119	Lsat_1_v5_gn_7_13800.3, Lsat_1_v5_gn_7_13800.1, Lsat_1_v5_gn_4_63420.2, Lsat_1_v5_gn_4_63420.1, Lsat_1_v5_gn_9_117501.1	AH021446-RA, AH014900-RA
OG0004120	Lsat_1_v5_gn_1_43921.1, Lsat_1_v5_gn_6_114300.1	AH007110-RA, AH007111-RA, AH007114-RA
OG0004121	Lsat_1_v5_gn_7_22140.2, Lsat_1_v5_gn_7_22140.3, Lsat_1_v5_gn_7_22140.1	AH015268-RA
OG0004122	Lsat_1_v5_gn_7_114900.3, Lsat_1_v5_gn_7_114900.1, Lsat_1_v5_gn_3_17641.1	AH009786-RA
OG0004123	Lsat_1_v5_gn_4_116461.1	AH015067-RA, AH015064-RA, AH015065-RA, AH015069-RA, AH015070-RA, AH015066-RA, AH006845-RA, AH006846-RA, AH006844-RA, AH021553-RA
OG0004124	Lsat_1_v5_gn_8_167161.1, Lsat_1_v5_gn_8_167161.3, Lsat_1_v5_gn_5_108021.3, Lsat_1_v5_gn_5_108021.1	AH002272-RA, AH023231-RA
OG0004125	Lsat_1_v5_gn_7_54281.1, Lsat_1_v5_gn_7_54281.2	AH014384-RA
OG0004126	Lsat_1_v5_gn_4_65921.1	AH000305-RA, AH001380-RA
OG0004127	Lsat_1_v5_gn_1_113160.2, Lsat_1_v5_gn_1_113160.1	AH014746-RA
OG0004128	Lsat_1_v5_gn_1_129281.1	AH021193-RA
OG0004128	Lsat_1_v5_gn_7_114400.1	AH008223-RA
OG0004130	Lsat_1_v5_gn_9_37901.1, Lsat_1_v5_gn_9_37901.3, Lsat_1_v5_gn_1_30140.2, Lsat_1_v5_gn_1_30140.1	AH017408-RA
OG0004131	Lsat_1_v5_gn_5_166580.3	AH012629-RA
OG0004132	Lsat_1_v5_gn_3_10601.1, Lsat_1_v5_gn_3_10601.3	AH003329-RA, AH018087-RA
OG0004134	Lsat_1_v5_gn_8_6441.1, Lsat_1_v5_gn_2_131520.1	AH012084-RA
OG0004135	Lsat_1_v5_gn_5_135281.1, Lsat_1_v5_gn_5_135281.2	AH013307-RA, AH013306-RA
OG0004136	Lsat_1_v5_gn_5_130860.3, Lsat_1_v5_gn_5_130860.1, Lsat_1_v5_gn_5_130781.1, Lsat_1_v5_gn_5_130801.1	AH002098-RA, AH000470-RA
OG0004137	Lsat_1_v5_gn_4_71961.1	AH002293-RA
OG0004138	Lsat_1_v5_gn_7_44361.2, Lsat_1_v5_gn_7_44361.1, Lsat_1_v5_gn_6_113460.1	AH023237-RA
OG0004139	Lsat_1_v5_gn_7_84001.1, Lsat_1_v5_gn_7_82800.1	AH002899-RA, AH002734-RA
OG0004141	Lsat_1_v5_gn_8_87701.3, Lsat_1_v5_gn_8_87701.1	AH014229-RA
OG0004142	Lsat_1_v5_gn_4_96000.3, Lsat_1_v5_gn_4_96000.1, Lsat_1_v5_gn_4_96000.2	AH000356-RA
OG0004143	Lsat_1_v5_gn_4_103420.1	AH002051-RA
OG0004144	Lsat_1_v5_gn_0_36001.1, Lsat_1_v5_gn_4_180301.3, Lsat_1_v5_gn_4_180301.1	AH012991-RA, AH022031-RA
OG0004144	Lsat_1_v5_gn_4_8180.1	AH012990-RA
OG0004145	Lsat_1_v5_gn_6_8180.2, Lsat_1_v5_gn_6_8180.1, Lsat_1_v5_gn_6_78800.1	AH018715-RA
OG0004146	Lsat_1_v5_gn_4_43721.1, Lsat_1_v5_gn_4_43721.3, Lsat_1_v5_gn_4_43721.2	AH009056-RA
OG0004147	Lsat_1_v5_gn_7_44320.2, Lsat_1_v5_gn_7_44320.1	AH013972-RA
OG0004148	Lsat_1_v5_gn_5_174560.1, Lsat_1_v5_gn_5_174560.2, Lsat_1_v5_gn_8_111360.1, Lsat_1_v5_gn_8_111360.3	AH011803-RA
OG0004149	Lsat_1_v5_gn_3_54960.1, Lsat_1_v5_gn_3_54960.2	AH014642-RA
OG0004150	Lsat_1_v5_gn_5_78640.3, Lsat_1_v5_gn_5_78640.2, Lsat_1_v5_gn_5_78640.1	AH017107-RA
OG0004151	Lsat_1_v5_gn_7_5481.3, Lsat_1_v5_gn_7_5481.1	AH018661-RA
OG0004153	Lsat_1_v5_gn_5_132480.1, Lsat_1_v5_gn_5_132480.2, Lsat_1_v5_gn_5_132480.3	AH001997-RA
OG0004153	Lsat_1_v5_gn_5_30500.3, Lsat_1_v5_gn_5_30500.1	AH019252-RA
OG0004154	Lsat_1_v5_gn_6_115861.1	AH023242-RA, AH016263-RA
OG0004155	Lsat_1_v5_gn_8_61061.1, Lsat_1_v5_gn_8_61061.2	AH020696-RA
OG0004156	Lsat_1_v5_gn_1_16981.1, Lsat_1_v5_gn_1_16981.2, Lsat_1_v5_gn_7_561.1	AH009512-RA, AH009514-RA
OG0004157	Lsat_1_v5_gn_6_17960.1	AH018294-RA
OG0004158	Lsat_1_v5_gn_9_56521.1, Lsat_1_v5_gn_9_56521.3	AH012104-RA
OG0004159	Lsat_1_v5_gn_1_52741.1, Lsat_1_v5_gn_1_52741.3	AH012698-RA
OG0004160	Lsat_1_v5_gn_4_92321.1, Lsat_1_v5_gn_5_137860.1, Lsat_1_v5_gn_5_137860.3	AH013435-RA, AH022309-RA, AH022308-RA
OG0004161	Lsat_1_v5_gn_6_9340.1, Lsat_1_v5_gn_6_9340.2, Lsat_1_v5_gn_6_81860.1, Lsat_1_v5_gn_6_81860.2	AH011365-RA, AH018181-RA
OG0004162	Lsat_1_v5_gn_1_36540.2, Lsat_1_v5_gn_1_36540.1, Lsat_1_v5_gn_5_134160.1	AH001530-RA
OG0004163	Lsat_1_v5_gn_8_5100.1, Lsat_1_v5_gn_2_136060.1, Lsat_1_v5_gn_2_136060.3	AH019679-RA, AH011989-RA
OG0004164	Lsat_1_v5_gn_6_32161.3, Lsat_1_v5_gn_6_32161.1, Lsat_1_v5_gn_6_32161.2	AH014001-RA
OG0004165	Lsat_1_v5_gn_5_62200.3, Lsat_1_v5_gn_5_62200.2, Lsat_1_v5_gn_5_62200.1, Lsat_1_v5_gn_3_25440.2, Lsat_1_v5_gn_3_25440.1, Lsat_1_v5_gn_3_25440.3	AH015314-RA
OG0004166	Lsat_1_v5_gn_9_81361.1, Lsat_1_v5_gn_9_81361.3	AH004246-RA
OG0004167	Lsat_1_v5_gn_3_1101.4, Lsat_1_v5_gn_3_1101.1, Lsat_1_v5_gn_3_1101.3	AH001217-RA
OG0004168	Lsat_1_v5_gn_9_50221.3, Lsat_1_v5_gn_9_50221.1, Lsat_1_v5_gn_9_50181.1, Lsat_1_v5_gn_9_50181.3, Lsat_1_v5_gn_9_50221.4	AH011918-RA
OG0004169	Lsat_1_v5_gn_2_129680.2, Lsat_1_v5_gn_2_129680.1	AH019487-RA
OG0004169	Lsat_1_v5_gn_3_3161.1, Lsat_1_v5_gn_3_3161.3	AH003120-RA, AH018737-RA
OG0004170	Lsat_1_v5_gn_8_110501.1, Lsat_1_v5_gn_8_110501.3	AH012443-RA, AH021707-RA
OG0004172	Lsat_1_v5_gn_2_103340.2, Lsat_1_v5_gn_2_103340.1, Lsat_1_v5_gn_8_17681.1, Lsat_1_v5_gn_8_17681.2	AH007918-RA
OG0004173	Lsat_1_v5_gn_3_43840.3, Lsat_1_v5_gn_3_43840.1, Lsat_1_v5_gn_4_68320.1, Lsat_1_v5_gn_4_68320.3	AH000259-RA
OG0004174	Lsat_1_v5_gn_1_7960.2, Lsat_1_v5_gn_1_7960.1, Lsat_1_v5_gn_2_49000.1, Lsat_1_v5_gn_2_49000.3	AH001322-RA, AH006505-RA
OG0004175	Lsat_1_v5_gn_7_30541.1, Lsat_1_v5_gn_4_28981.1	AH014732-RA, AH021315-RA
OG0004176	Lsat_1_v5_gn_2_38340.3, Lsat_1_v5_gn_2_38340.1, Lsat_1_v5_gn_2_38340.2	AH020792-RA
OG0004178	Lsat_1_v5_gn_2_120321.1, Lsat_1_v5_gn_2_120321.2	AH007047-RA
OG0004179	Lsat_1_v5_gn_2_126301.1	AH015393-RA
OG0004179	Lsat_1_v5_gn_5_151941.1	AH021708-RA
OG0004180	Lsat_1_v5_gn_5_176641.1	AH015386-RA
OG0004181	Lsat_1_v5_gn_8_166560.3, Lsat_1_v5_gn_8_166560.2, Lsat_1_v5_gn_8_166560.5	AH016005-RA
OG0004182	Lsat_1_v5_gn_9_90520.1, Lsat_1_v5_gn_9_90520.3	AH008217-RA
OG0004183	Lsat_1_v5_gn_6_96581.1, Lsat_1_v5_gn_6_96581.2	AH016171-RA, AH006119-RA
OG0004184	Lsat_1_v5_gn_2_99761.3, Lsat_1_v5_gn_2_99761.1, Lsat_1_v5_gn_2_103060.2, Lsat_1_v5_gn_2_103060.1	AH005286-RA
OG0004185	Lsat_1_v5_gn_4_138380.1, Lsat_1_v5_gn_4_138380.2	AH005676-RA
OG0004186	Lsat_1_v5_gn_9_94960.1, Lsat_1_v5_gn_9_94960.2, Lsat_1_v5_gn_5_4500.1, Lsat_1_v5_gn_5_4500.3	AH008140-RA
OG0004187	Lsat_1_v5_gn_1_106241.1, Lsat_1_v5_gn_1_106241.3	AH022725-RA, AH023792-RA, AH016646-RA
OG0004188	Lsat_1_v5_gn_7_31141.2, Lsat_1_v5_gn_7_31141.1	AH015638-RA
OG0004189	Lsat_1_v5_gn_8_129901.1	AH000431-RA, AH001269-RA
OG0004190	Lsat_1_v5_gn_6_29641.2, Lsat_1_v5_gn_6_29641.1, Lsat_1_v5_gn_6_29641.3	AH012792-RA
OG0004191	Lsat_1_v5_gn_5_182920.3, Lsat_1_v5_gn_5_182920.1, Lsat_1_v5_gn_8_92540.1, Lsat_1_v5_gn_8_92540.2	AH009356-RA
OG0004192	Lsat_1_v5_gn_5_98841.1	AH020852-RA
OG0004193	Lsat_1_v5_gn_1_6720.1, Lsat_1_v5_gn_1_6720.3	AH022592-RA
OG0004194	Lsat_1_v5_gn_2_104441.1, Lsat_1_v5_gn_2_104441.2, Lsat_1_v5_gn_5_153041.1	AH020816-RA
OG0004195	Lsat_1_v5_gn_4_51560.1	AH015270-RA
OG0004196	Lsat_1_v5_gn_1_127601.3, Lsat_1_v5_gn_1_127601.4	AH015037-RA
OG0004197	Lsat_1_v5_gn_7_105640.1, Lsat_1_v5_gn_7_105640.2, Lsat_1_v5_gn_9_95120.1, Lsat_1_v5_gn_9_95120.3	AH010009-RA, AH008092-RA
OG0004198	Lsat_1_v5_gn_7_16480.2, Lsat_1_v5_gn_7_16480.1	AH014974-RA, AH021494-RA
OG0004199	Lsat_1_v5_gn_4_138820.1, Lsat_1_v5_gn_4_138820.3, Lsat_1_v5_gn_4_138820.2	AH022243-RA
OG0004200	Lsat_1_v5_gn_9_68761.3, Lsat_1_v5_gn_9_68761.1, Lsat_1_v5_gn_5_81981.3, Lsat_1_v5_gn_5_178821.1, Lsat_1_v5_gn_5_81981.4, Lsat_1_v5_gn_5_81981.1, Lsat_1_v5_gn_5_178821.2	AH023399-RA
OG0004201	Lsat_1_v5_gn_2_106801.1, Lsat_1_v5_gn_2_106801.3, Lsat_1_v5_gn_2_16440.3	AH022010-RA
OG0004202	Lsat_1_v5_gn_2_98501.1	AH000169-RA
OG0004203	Lsat_1_v5_gn_4_186380.2, Lsat_1_v5_gn_4_186380.1	AH014770-RA, AH021350-RA
OG0004204	Lsat_1_v5_gn_7_27720.1, Lsat_1_v5_gn_6_102941.2, Lsat_1_v5_gn_6_102941.1	AH011695-RA
OG0004205	Lsat_1_v5_gn_7_102241.1, Lsat_1_v5_gn_7_102241.2, Lsat_1_v5_gn_3_64401.1	AH010152-RA
OG0004206	Lsat_1_v5_gn_9_30580.1, Lsat_1_v5_gn_9_30580.3	AH006761-RA
OG0004207	Lsat_1_v5_gn_7_85001.1, Lsat_1_v5_gn_7_85001.2	AH000106-RA
OG0004208	Lsat_1_v5_gn_6_11281.2, Lsat_1_v5_gn_6_11281.1	AH000086-RA, AH000087-RA
OG0004209	Lsat_1_v5_gn_2_100281.1, Lsat_1_v5_gn_2_100281.2, Lsat_1_v5_gn_2_100281.3, Lsat_1_v5_gn_1_64080.3, Lsat_1_v5_gn_1_64080.1, Lsat_1_v5_gn_1_64080.2	AH000179-RA
OG0004210	Lsat_1_v5_gn_5_161220.1, Lsat_1_v5_gn_9_31341.1	AH020402-RA
OG0004211	Lsat_1_v5_gn_4_153581.1, Lsat_1_v5_gn_4_153581.2	AH014637-RA
OG0004213	Lsat_1_v5_gn_3_7360.2, Lsat_1_v5_gn_3_7360.1	AH018622-RA
OG0004214	Lsat_1_v5_gn_3_31200.3, Lsat_1_v5_gn_3_31200.1, Lsat_1_v5_gn_3_31200.2	AH005202-RA, AH004531-RA
OG0004216	Lsat_1_v5_gn_6_113680.2, Lsat_1_v5_gn_6_113680.3, Lsat_1_v5_gn_6_113680.1, Lsat_1_v5_gn_4_125000.1, Lsat_1_v5_gn_1_20960.1	AH016970-RA, AH008609-RA
OG0004217	Lsat_1_v5_gn_1_18740.1, Lsat_1_v5_gn_5_27540.1	AH008429-RA
OG0004218	Lsat_1_v5_gn_9_51940.1, Lsat_1_v5_gn_9_51940.2	AH012170-RA, AH012184-RA
OG0004219	Lsat_1_v5_gn_3_140760.2, Lsat_1_v5_gn_3_140760.1	AH009470-RA
OG0004222	Lsat_1_v5_gn_5_103340.3, Lsat_1_v5_gn_5_103340.1, Lsat_1_v5_gn_5_103340.2	AH015997-RA
OG0004223	Lsat_1_v5_gn_2_73301.1	AH018194-RA, AH011906-RA
OG0004224	Lsat_1_v5_gn_6_96620.1	AH000585-RA, AH008447-RA
OG0004225	Lsat_1_v5_gn_9_38740.2, Lsat_1_v5_gn_9_38740.1	AH011709-RA
OG0004226	Lsat_1_v5_gn_5_74281.1, Lsat_1_v5_gn_5_74281.3	AH020107-RA, AH007076-RA
OG0004228	Lsat_1_v5_gn_9_26680.1, Lsat_1_v5_gn_5_162941.1, Lsat_1_v5_gn_5_162941.2	AH020330-RA
OG0004229	Lsat_1_v5_gn_2_93981.2	AH012281-RA, AH019478-RA
OG0004230	Lsat_1_v5_gn_7_11360.3, Lsat_1_v5_gn_7_11360.2, Lsat_1_v5_gn_7_11360.1	AH011439-RA
OG0004231	Lsat_1_v5_gn_3_111601.2, Lsat_1_v5_gn_3_111601.1	AH017077-RA
OG0004232	Lsat_1_v5_gn_2_91041.2, Lsat_1_v5_gn_2_91041.1, Lsat_1_v5_gn_5_13821.3, Lsat_1_v5_gn_5_13821.1	AH013569-RA, AH016715-RA, AH022379-RA
OG0004233	Lsat_1_v5_gn_5_176500.4, Lsat_1_v5_gn_5_58860.3, Lsat_1_v5_gn_5_176500.1, Lsat_1_v5_gn_8_98521.1	AH002558-RA
OG0004235	Lsat_1_v5_gn_8_150420.2, Lsat_1_v5_gn_8_150420.1, Lsat_1_v5_gn_8_150540.1	AH004899-RA
OG0004236	Lsat_1_v5_gn_2_107961.1, Lsat_1_v5_gn_2_107961.3, Lsat_1_v5_gn_8_2820.1, Lsat_1_v5_gn_0_401.1	AH007883-RA, AH010753-RA
OG0004238	Lsat_1_v5_gn_1_9041.1	AH008656-RA
OG0004239	Lsat_1_v5_gn_9_110121.2, Lsat_1_v5_gn_9_110121.1	AH003221-RA
OG0004240	Lsat_1_v5_gn_8_147861.1, Lsat_1_v5_gn_3_30801.1	AH004542-RA
OG0004241	Lsat_1_v5_gn_7_49520.2, Lsat_1_v5_gn_7_49520.1	AH019426-RA
OG0004243	Lsat_1_v5_gn_3_43860.2, Lsat_1_v5_gn_3_43860.3, Lsat_1_v5_gn_3_43860.1	AH001760-RA
OG0004244	Lsat_1_v5_gn_7_89621.2, Lsat_1_v5_gn_7_89621.1	AH001505-RA
OG0004245	Lsat_1_v5_gn_2_36940.1, Lsat_1_v5_gn_2_36940.3, Lsat_1_v5_gn_2_36940.2	AH007362-RA
OG0004246	Lsat_1_v5_gn_9_5860.1, Lsat_1_v5_gn_9_5860.2, Lsat_1_v5_gn_9_5901.1, Lsat_1_v5_gn_9_5901.2	AH012927-RA
OG0004247	Lsat_1_v5_gn_6_8380.3, Lsat_1_v5_gn_6_8380.1	AH018106-RA, AH011329-RA
OG0004248	Lsat_1_v5_gn_4_67601.1, Lsat_1_v5_gn_4_67601.2	AH020248-RA, AH006935-RA
OG0004249	Lsat_1_v5_gn_6_118141.3, Lsat_1_v5_gn_6_118141.1	AH011778-RA
OG0004250	Lsat_1_v5_gn_2_95161.2, Lsat_1_v5_gn_2_95161.1, Lsat_1_v5_gn_3_105260.1, Lsat_1_v5_gn_3_105260.2	AH005242-RA, AH004252-RA
OG0004251	Lsat_1_v5_gn_1_13101.4, Lsat_1_v5_gn_1_13101.3, Lsat_1_v5_gn_1_13101.1, Lsat_1_v5_gn_1_13101.5	AH009363-RA
OG0004252	Lsat_1_v5_gn_5_108760.1, Lsat_1_v5_gn_5_108780.1, Lsat_1_v5_gn_9_107661.1	AH003501-RA, AH008445-RA
OG0004253	Lsat_1_v5_gn_4_117601.3, Lsat_1_v5_gn_4_117601.1, Lsat_1_v5_gn_5_27881.3, Lsat_1_v5_gn_5_27881.1	AH009715-RA
OG0004254	Lsat_1_v5_gn_4_179181.1, Lsat_1_v5_gn_3_93761.3, Lsat_1_v5_gn_3_93761.1	AH003976-RA
OG0004255	Lsat_1_v5_gn_6_17581.1, Lsat_1_v5_gn_6_17581.3, Lsat_1_v5_gn_6_73140.3, Lsat_1_v5_gn_6_73140.2, Lsat_1_v5_gn_6_73140.1	AH018492-RA, AH011573-RA
OG0004256	Lsat_1_v5_gn_4_12740.1, Lsat_1_v5_gn_4_12740.2, Lsat_1_v5_gn_4_12680.1	AH021036-RA, AH014268-RA, AH021037-RA
OG0004257	Lsat_1_v5_gn_7_54241.3, Lsat_1_v5_gn_7_54241.1	AH002508-RA, AH017953-RA
OG0004258	Lsat_1_v5_gn_3_27560.1	AH003388-RA
OG0004259	Lsat_1_v5_gn_3_80041.3, Lsat_1_v5_gn_3_80041.1, Lsat_1_v5_gn_4_153841.2, Lsat_1_v5_gn_4_153841.1	AH016536-RA, AH005392-RA
OG0004260	Lsat_1_v5_gn_7_6501.1	AH014367-RA, AH020998-RA
OG0004261	Lsat_1_v5_gn_2_78460.1, Lsat_1_v5_gn_2_78460.2, Lsat_1_v5_gn_2_78460.3	AH005823-RA
OG0004262	Lsat_1_v5_gn_5_15041.2, Lsat_1_v5_gn_5_15041.1	AH002500-RA
OG0004263	Lsat_1_v5_gn_2_87760.1, Lsat_1_v5_gn_4_170520.5	AH015821-RA, AH019139-RA
OG0004265	Lsat_1_v5_gn_4_39420.1, Lsat_1_v5_gn_4_39420.3, Lsat_1_v5_gn_4_39420.2	AH023138-RA, AH021550-RA, AH015057-RA
OG0004266	Lsat_1_v5_gn_8_157680.1, Lsat_1_v5_gn_4_6960.1	AH023433-RA
OG0004267	Lsat_1_v5_gn_4_7021.1, Lsat_1_v5_gn_8_158360.1, Lsat_1_v5_gn_8_158360.3	AH004409-RA, AH004760-RA
OG0004268	Lsat_1_v5_gn_9_113141.1, Lsat_1_v5_gn_3_18841.3, Lsat_1_v5_gn_3_18841.1, Lsat_1_v5_gn_6_80320.1	AH018415-RA
OG0004269	Lsat_1_v5_gn_5_21860.1, Lsat_1_v5_gn_4_110681.1	AH017528-RA
OG0004270	Lsat_1_v5_gn_4_73600.1	AH017326-RA
OG0004270	Lsat_1_v5_gn_4_180561.1, Lsat_1_v5_gn_4_180561.2	AH022947-RA
OG0004271	Lsat_1_v5_gn_6_17501.1	AH018524-RA, AH003243-RA
OG0004272	Lsat_1_v5_gn_3_28600.2, Lsat_1_v5_gn_4_5201.3, Lsat_1_v5_gn_4_5201.1, Lsat_1_v5_gn_3_28600.1	AH004800-RA
OG0004273	Lsat_1_v5_gn_4_76300.1, Lsat_1_v5_gn_1_28101.1	AH017944-RA
OG0004274	Lsat_1_v5_gn_9_47720.3, Lsat_1_v5_gn_9_47720.1	AH007242-RA
OG0004275	Lsat_1_v5_gn_4_3300.2, Lsat_1_v5_gn_4_3300.1	AH005174-RA
OG0004276	Lsat_1_v5_gn_5_14161.2, Lsat_1_v5_gn_5_14161.1	AH002513-RA
OG0004278	Lsat_1_v5_gn_7_26661.3, Lsat_1_v5_gn_7_26661.2, Lsat_1_v5_gn_7_26661.1, Lsat_1_v5_gn_7_26820.2, Lsat_1_v5_gn_7_26820.1, Lsat_1_v5_gn_7_26780.2, Lsat_1_v5_gn_7_26780.1, Lsat_1_v5_gn_1_112541.1, Lsat_1_v5_gn_1_112541.3	AH014781-RA, AH021358-RA
OG0004279	Lsat_1_v5_gn_2_41960.1, Lsat_1_v5_gn_2_40980.1, Lsat_1_v5_gn_2_40980.3, Lsat_1_v5_gn_9_13221.1, Lsat_1_v5_gn_9_13241.1, Lsat_1_v5_gn_9_13201.1, Lsat_1_v5_gn_9_12461.1, Lsat_1_v5_gn_9_13181.1, Lsat_1_v5_gn_9_13181.2	AH013095-RA
OG0004280	Lsat_1_v5_gn_6_38640.3, Lsat_1_v5_gn_6_38640.1	AH013256-RA
OG0004281	Lsat_1_v5_gn_1_34180.1, Lsat_1_v5_gn_1_34180.2	AH001947-RA
OG0004294	Lsat_1_v5_gn_8_95720.1, Lsat_1_v5_gn_4_6581.4, Lsat_1_v5_gn_4_6581.1	AH002177-RA
OG0004296	Lsat_1_v5_gn_5_188880.1, Lsat_1_v5_gn_5_188880.3	AH012873-RA
OG0004297	Lsat_1_v5_gn_7_65741.3, Lsat_1_v5_gn_7_65741.1	AH020099-RA
OG0004298	Lsat_1_v5_gn_8_6421.1	AH009059-RA
OG0004299	Lsat_1_v5_gn_5_78680.4	AH016053-RA
OG0004300	Lsat_1_v5_gn_5_161660.1, Lsat_1_v5_gn_5_161660.2, Lsat_1_v5_gn_9_28661.1, Lsat_1_v5_gn_9_28661.2	AH020389-RA, AH006770-RA
OG0004301	Lsat_1_v5_gn_6_63460.1	AH003335-RA, AH020244-RA, AH006947-RA
