Orthogroup	V_vinifera.proteins	D_spatulata.proteins
OG0004202	VIT_206s0004g02890.2, VIT_206s0004g02890.1	Ds_00004118-RA
OG0004203	VIT_214s0068g00940.5, VIT_214s0068g00940.2, VIT_214s0068g00940.4	Ds_00008092-RA
OG0004204	VIT_212s0028g03940.1, VIT_212s0028g03940.7, VIT_212s0028g03940.6, VIT_212s0028g03940.5, VIT_212s0028g03940.4, VIT_212s0028g03940.3, VIT_212s0028g03940.2	Ds_00012218-RA
OG0004205	VIT_219s0014g01010.6, VIT_219s0014g01010.7, VIT_219s0014g01010.5, VIT_219s0014g01010.4, VIT_219s0014g01010.2, VIT_219s0014g01010.3, VIT_219s0014g01010.1	Ds_00014541-RA
OG0004206	VIT_208s0007g08590.4, VIT_208s0007g08590.3, VIT_208s0007g08590.2, VIT_208s0007g08590.1	Ds_00000830-RA
OG0004207	VIT_206s0004g06910.2, VIT_206s0004g06910.5, VIT_206s0004g06910.3, VIT_206s0004g06910.4, VIT_206s0004g06910.1	Ds_00005198-RA
OG0004208	VIT_201s0182g00070.2, VIT_201s0182g00070.3, VIT_201s0182g00070.1, VIT_214s0030g01670.1	Ds_00015740-RA, Ds_00015739-RA, Ds_00000157-RA
OG0004209	VIT_206s0004g02730.4, VIT_206s0004g02730.3, VIT_206s0004g02730.2, VIT_206s0004g02730.1, VIT_206s0004g02730.5	Ds_00005841-RA
OG0004210	VIT_208s0007g08840.5, VIT_208s0007g08840.4, VIT_208s0007g08840.1, VIT_208s0007g08840.2, VIT_208s0007g08840.3	Ds_00009594-RA
OG0004211	VIT_214s0083g00120.1	Ds_00010369-RA
OG0004213	VIT_202s0025g03560.1, VIT_202s0025g03560.4, VIT_202s0025g03560.3, VIT_202s0025g03560.6, VIT_202s0025g03560.2, VIT_202s0025g03560.9, VIT_202s0025g03560.8, VIT_202s0025g03560.7, VIT_202s0025g03560.5	Ds_00001306-RA
OG0004214	VIT_214s0068g01720.1, VIT_201s0010g03960.1, VIT_201s0010g03960.2	Ds_00009170-RA
OG0004215	VIT_200s0769g00010.3, VIT_200s0769g00010.1, VIT_200s0769g00010.2	Ds_00007428-RA
OG0004216	VIT_218s0001g10700.2, VIT_218s0001g10700.3, VIT_218s0001g10700.4, VIT_218s0001g10700.1, VIT_218s0001g10700.5	Ds_00014360-RA
OG0004217	VIT_218s0001g12510.1, VIT_218s0001g12510.3, VIT_218s0001g12510.2, VIT_218s0001g12510.4, VIT_218s0001g12510.6, VIT_218s0001g12510.5	Ds_00007865-RA, Ds_00015348-RA
OG0004218	VIT_216s0013g00495.1	Ds_00004203-RA
OG0004218	VIT_216s0013g02050.1	Ds_00004202-RA
OG0004219	VIT_215s0048g02380.3, VIT_215s0048g02380.2, VIT_215s0048g02380.1	Ds_00015014-RA
OG0004220	VIT_216s0022g00450.2, VIT_216s0022g00450.1, VIT_216s0022g00450.3	Ds_00015629-RA, Ds_00012924-RA
OG0004221	VIT_202s0025g00100.1, VIT_202s0025g00100.2	Ds_00001293-RA
OG0004223	VIT_202s0025g02790.2, VIT_202s0025g02790.1	Ds_00002777-RA, Ds_00001387-RA
OG0004224	VIT_218s0001g15550.1, VIT_218s0001g15550.2, VIT_212s0055g00820.1	Ds_00011417-RA, Ds_00003752-RA
OG0004225	VIT_205s0094g00120.2, VIT_205s0094g00120.1, VIT_205s0094g00120.3	Ds_00003073-RA
OG0004226	VIT_205s0020g02910.2, VIT_205s0020g02910.1	Ds_00004640-RA
OG0004227	VIT_218s0076g00310.2, VIT_218s0076g00310.1	Ds_00001209-RA, Ds_00014849-RA
OG0004228	VIT_213s0156g00340.1	Ds_00006095-RA
OG0004229	VIT_216s0022g01830.2, VIT_216s0022g01830.1	Ds_00006703-RA
OG0004230	VIT_215s0021g02155.5, VIT_215s0021g02155.7, VIT_215s0021g02155.6, VIT_215s0021g02155.4, VIT_215s0021g02155.3, VIT_215s0021g02155.1, VIT_215s0021g02155.2	Ds_00001565-RA
OG0004231	VIT_204s0008g03080.1	Ds_00003399-RA
OG0004232	VIT_214s0066g00140.1, VIT_217s0000g09680.2, VIT_217s0000g09680.1	Ds_00003818-RA, Ds_00013781-RA
OG0004233	VIT_207s0151g00650.1	Ds_00007781-RA
OG0004234	VIT_214s0081g00050.1	Ds_00006148-RA
OG0004234	VIT_214s0081g00030.1	Ds_00012888-RA
OG0004236	VIT_214s0036g00420.1	Ds_00006147-RA
OG0004237	VIT_204s0023g03240.1, VIT_204s0023g03240.2, VIT_204s0023g03240.3, VIT_204s0023g03240.4, VIT_204s0023g03240.5, VIT_204s0023g03240.6	Ds_00014483-RA
OG0004238	VIT_218s0001g01180.2, VIT_218s0001g01180.1	Ds_00010869-RA
OG0004239	VIT_203s0088g01212.1, VIT_203s0063g00600.1	Ds_00003151-RA
OG0004240	VIT_201s0010g03730.1, VIT_201s0010g03730.2	Ds_00004797-RA, Ds_00010768-RA
OG0004241	VIT_217s0000g02240.5, VIT_217s0000g02240.1, VIT_217s0000g02240.7, VIT_217s0000g02240.8, VIT_217s0000g02240.6, VIT_217s0000g02240.9, VIT_217s0000g02240.11, VIT_217s0000g02240.2, VIT_217s0000g02240.3, VIT_217s0000g02240.4, VIT_217s0000g02240.10	Ds_00012710-RA
OG0004242	VIT_207s0130g00310.1, VIT_207s0130g00310.2	Ds_00001313-RA
OG0004243	VIT_203s0038g00380.2, VIT_203s0038g00380.5, VIT_203s0038g00380.4, VIT_203s0038g00380.1, VIT_203s0038g00380.6	Ds_00011274-RA
OG0004244	VIT_203s0063g02280.2, VIT_203s0063g02280.1	Ds_00006504-RA
OG0004245	VIT_207s0031g02420.3, VIT_207s0031g02420.1, VIT_207s0031g02420.2, VIT_207s0031g02420.5, VIT_207s0031g02420.6, VIT_207s0031g02420.4	Ds_00003964-RA
OG0004246	VIT_207s0005g00280.1	Ds_00004702-RA, Ds_00016828-RA
OG0004247	VIT_202s0025g01650.1	Ds_00016379-RA, Ds_00016380-RA
OG0004248	VIT_217s0000g04310.1, VIT_217s0000g04310.2	Ds_00006816-RA
OG0004249	VIT_205s0020g00830.1	Ds_00005027-RA
OG0004250	VIT_214s0068g00640.1, VIT_214s0068g00640.2	Ds_00008096-RA
OG0004251	VIT_218s0076g00210.5, VIT_218s0076g00210.2, VIT_218s0076g00210.4, VIT_218s0076g00210.3, VIT_218s0076g00210.1	Ds_00005450-RA
OG0004252	VIT_218s0001g15510.1, VIT_218s0001g15470.1	Ds_00010933-RA
OG0004253	VIT_218s0001g12680.3, VIT_218s0001g12680.2, VIT_218s0001g12680.1	Ds_00008884-RA
OG0004255	VIT_202s0033g00080.2, VIT_202s0033g00080.1, VIT_202s0033g00120.1	Ds_00011145-RA
OG0004256	VIT_201s0011g05610.1	Ds_00005922-RA
OG0004257	VIT_217s0000g08850.1, VIT_217s0000g08850.3, VIT_217s0000g08850.7, VIT_217s0000g08850.10, VIT_217s0000g08850.9, VIT_217s0000g08850.8, VIT_217s0000g08850.2, VIT_217s0000g08850.6, VIT_217s0000g08850.4, VIT_217s0000g08850.5, VIT_217s0000g08850.11	Ds_00011390-RA
OG0004258	VIT_201s0010g01800.1, VIT_201s0010g01800.2, VIT_201s0010g01800.6, VIT_201s0010g01800.4, VIT_201s0010g01800.3, VIT_201s0010g01800.5	Ds_00005437-RA
OG0004259	VIT_214s0006g02950.1, VIT_201s0011g03540.1	Ds_00016697-RA
OG0004260	VIT_201s0011g03520.2, VIT_201s0011g03520.1	Ds_00008579-RA
OG0004261	VIT_204s0023g02990.4, VIT_204s0023g02990.1, VIT_204s0023g02990.3, VIT_204s0023g02990.2, VIT_200s0199g00120.3, VIT_200s0199g00120.1, VIT_200s0199g00160.1, VIT_200s0199g00120.2	Ds_00014490-RA
OG0004262	VIT_217s0000g08610.8, VIT_217s0000g08610.7, VIT_217s0000g08610.3, VIT_217s0000g08610.2, VIT_217s0000g08610.6, VIT_217s0000g08610.4, VIT_217s0000g08610.1, VIT_217s0000g08610.5	Ds_00013804-RA
OG0004263	VIT_214s0108g01520.7, VIT_214s0108g01520.6, VIT_214s0108g01520.3, VIT_214s0108g01520.1, VIT_214s0108g01520.2	Ds_00013173-RA, Ds_00017509-RA
OG0004264	VIT_214s0006g01440.1, VIT_214s0006g01440.2, VIT_214s0006g01440.3	Ds_00011047-RA, Ds_00013487-RA
OG0004265	VIT_204s0008g02950.1, VIT_204s0008g02950.2, VIT_204s0008g02950.3	Ds_00012617-RA
OG0004266	VIT_214s0066g01450.1, VIT_214s0066g01450.3, VIT_214s0066g01450.2	Ds_00003302-RA
OG0004267	VIT_201s0026g00240.1	Ds_00009023-RA
OG0004268	VIT_216s0039g01700.1	Ds_00017435-RA
OG0004268	VIT_202s0012g01640.1	Ds_00013513-RA
OG0004269	VIT_217s0000g06970.1, VIT_217s0000g06970.2, VIT_217s0000g06970.4, VIT_217s0000g06970.3	Ds_00014118-RA
OG0004270	VIT_217s0000g07640.1	Ds_00003749-RA, Ds_00011421-RA
OG0004271	VIT_202s0087g00340.2, VIT_202s0087g00340.1	Ds_00004845-RA, Ds_00013104-RA
OG0004272	VIT_201s0127g00230.2, VIT_201s0127g00230.4, VIT_201s0127g00230.1, VIT_201s0127g00230.3	Ds_00009060-RA, Ds_00009056-RA
OG0004273	VIT_217s0000g08940.2, VIT_217s0000g08940.1	Ds_00003795-RA
OG0004274	VIT_216s0039g01810.7, VIT_216s0039g01810.5, VIT_216s0039g01810.6, VIT_216s0039g01810.2, VIT_216s0039g01810.3, VIT_216s0039g01810.1, VIT_216s0039g01810.4	Ds_00007653-RA
OG0004275	VIT_201s0010g03540.3, VIT_201s0010g03540.11, VIT_201s0010g03540.1, VIT_201s0010g03540.8, VIT_201s0010g03540.5, VIT_201s0010g03540.10, VIT_201s0010g03540.2, VIT_201s0010g03540.4, VIT_201s0010g03540.9, VIT_201s0010g03540.7, VIT_201s0010g03540.6	Ds_00004806-RA
OG0004276	VIT_210s0116g00430.1	Ds_00016729-RA
OG0004279	VIT_207s0185g00050.1	Ds_00014330-RA
OG0004280	VIT_206s0080g00330.5, VIT_206s0080g00330.1, VIT_206s0080g00330.2, VIT_206s0080g00330.4, VIT_206s0080g00330.3	Ds_00001262-RA
OG0004281	VIT_209s0002g07520.2, VIT_209s0002g07520.1, VIT_209s0002g07520.3, VIT_204s0043g00730.1	Ds_00010391-RA
OG0004284	VIT_219s0015g02580.1	Ds_00013475-RA, Ds_00013836-RA, Ds_00008701-RA, Ds_00007080-RA, Ds_00018078-RA, Ds_00017408-RA, Ds_00002985-RA
OG0004294	VIT_211s0016g03530.1, VIT_211s0016g03530.2	Ds_00011913-RA, Ds_00001093-RA
OG0004295	VIT_213s0067g02900.2	Ds_00010023-RA
OG0004296	VIT_207s0104g01290.1	Ds_00000910-RA
OG0004297	VIT_205s0020g03090.3, VIT_205s0020g03090.4, VIT_205s0020g03090.1, VIT_205s0020g03090.2	Ds_00006389-RA
OG0004298	VIT_216s0050g01570.5, VIT_216s0050g01570.1, VIT_216s0050g01570.3, VIT_216s0050g01570.2, VIT_216s0050g01570.6, VIT_216s0050g01570.4, VIT_216s0098g01620.2, VIT_216s0098g01620.1	Ds_00017592-RA
OG0004299	VIT_204s0008g01480.3, VIT_204s0008g01480.4, VIT_204s0008g01480.1, VIT_204s0008g01480.2	Ds_00003442-RA
OG0004300	VIT_208s0007g08375.1	Ds_00000823-RA
OG0004301	VIT_205s0051g00460.2, VIT_205s0051g00460.1	Ds_00013249-RA, Ds_00007137-RA
OG0004302	VIT_207s0104g00670.1	Ds_00004711-RA
OG0004303	VIT_217s0000g10050.6, VIT_217s0000g10050.7, VIT_217s0000g10050.2, VIT_217s0000g10050.1, VIT_217s0000g10050.4, VIT_217s0000g10050.3, VIT_217s0000g10050.5	Ds_00003836-RA
OG0004305	VIT_214s0060g02250.1	Ds_00003891-RA
OG0004306	VIT_200s0220g00120.2, VIT_200s0220g00120.1	Ds_00016752-RA
OG0004307	VIT_205s0049g01940.2, VIT_205s0049g01940.1, VIT_205s0049g01940.6, VIT_205s0049g01940.3, VIT_205s0049g01940.5, VIT_205s0049g01940.4, VIT_205s0049g01940.7	Ds_00007604-RA
OG0004308	VIT_205s0020g01790.1	Ds_00017786-RA
OG0004309	VIT_205s0077g01510.1, VIT_205s0077g01510.2	Ds_00005078-RA, Ds_00003216-RA
OG0004311	VIT_214s0066g02210.1, VIT_214s0108g00475.1	Ds_00016690-RA, Ds_00007089-RA
OG0004311	VIT_214s0108g00470.1	Ds_00016689-RA, Ds_00016688-RA
OG0004312	VIT_207s0005g04700.3, VIT_207s0005g04700.1, VIT_207s0005g04700.2	Ds_00011567-RA
OG0004313	VIT_202s0087g00630.2, VIT_202s0087g00630.1	Ds_00002457-RA
OG0004314	VIT_203s0038g01440.1	Ds_00013025-RA
OG0004315	VIT_214s0060g02110.3, VIT_214s0060g02110.2, VIT_214s0060g02110.4, VIT_214s0060g02110.1, VIT_214s0060g02110.5, VIT_205s0020g01480.1, VIT_205s0020g01480.2	Ds_00004707-RA, Ds_00009195-RA
OG0004316	VIT_208s0007g05970.1, VIT_205s0029g00940.1, VIT_208s0007g05950.1	Ds_00000845-RA
OG0004317	VIT_207s0005g00580.6, VIT_207s0005g00580.4, VIT_207s0005g00580.10, VIT_207s0005g00580.7, VIT_207s0005g00580.8, VIT_207s0005g00580.9, VIT_207s0005g00580.11, VIT_207s0005g00580.3, VIT_207s0005g00580.5, VIT_207s0005g00580.2, VIT_207s0005g00580.1	Ds_00004696-RA
OG0004318	VIT_208s0007g08370.1	Ds_00000824-RA
OG0004319	VIT_208s0007g06870.1	Ds_00007610-RA
OG0004320	VIT_214s0128g00710.2, VIT_214s0128g00710.3, VIT_214s0128g00710.1	Ds_00003874-RA
OG0004321	VIT_200s0231g00040.1, VIT_200s0231g00040.2	Ds_00007446-RA
OG0004322	VIT_206s0004g04590.1, VIT_206s0004g04590.3, VIT_206s0004g04590.4, VIT_206s0004g04590.2	Ds_00010079-RA
OG0004323	VIT_215s0021g02410.1	Ds_00001568-RA, Ds_00001569-RA
OG0004323	VIT_207s0005g03350.2, VIT_207s0005g03350.1	Ds_00006452-RA
OG0004325	VIT_214s0030g01270.3, VIT_214s0030g01270.1, VIT_214s0030g01270.2	Ds_00006929-RA
OG0004326	VIT_207s0104g00040.2, VIT_207s0104g00040.9, VIT_207s0104g00040.8, VIT_207s0104g00040.4, VIT_207s0104g00040.7, VIT_207s0104g00040.6, VIT_207s0104g00040.5, VIT_207s0104g00040.3, VIT_207s0104g00040.1	Ds_00000930-RA
OG0004327	VIT_207s0104g00050.2, VIT_207s0104g00050.1	Ds_00012399-RA
OG0004328	VIT_212s0055g01090.1, VIT_212s0034g02510.1	Ds_00017927-RA
OG0004329	VIT_208s0007g05090.1	Ds_00012675-RA
OG0004330	VIT_215s0046g00320.1	Ds_00012517-RA, Ds_00011641-RA
OG0004331	VIT_205s0077g02050.1	Ds_00003120-RA
OG0004332	VIT_214s0030g01890.1, VIT_214s0030g01890.4, VIT_214s0030g01890.2, VIT_214s0030g01890.3	Ds_00006172-RA
OG0004334	VIT_210s0042g00070.2, VIT_210s0042g00070.1	Ds_00004759-RA, Ds_00000880-RA
OG0004335	VIT_213s0158g00180.3, VIT_213s0158g00180.6, VIT_213s0158g00180.8, VIT_213s0158g00180.4, VIT_213s0158g00180.7, VIT_213s0158g00180.5, VIT_213s0158g00180.2, VIT_213s0158g00180.1	Ds_00011076-RA
OG0004336	VIT_206s0061g01160.1	Ds_00010171-RA
OG0004338	VIT_201s0011g01820.2, VIT_219s0027g00710.1	Ds_00003316-RA
OG0004339	VIT_205s0049g01330.1, VIT_205s0049g01330.2	Ds_00003200-RA
OG0004340	VIT_208s0040g02670.1, VIT_208s0040g02670.2, VIT_208s0040g02670.3	Ds_00010338-RA, Ds_00015415-RA
OG0004341	VIT_208s0007g01140.2, VIT_208s0007g01140.1, VIT_208s0007g01140.3, VIT_208s0007g01140.4	Ds_00014898-RA, Ds_00010787-RA
OG0004343	VIT_213s0139g00170.1	Ds_00008946-RA
OG0004344	VIT_208s0040g00430.2, VIT_208s0040g00430.1, VIT_208s0040g00430.4, VIT_208s0040g00430.3, VIT_208s0040g00430.5	Ds_00017158-RA
OG0004345	VIT_205s0062g01180.2, VIT_205s0062g01180.1	Ds_00015295-RA, Ds_00010806-RA
OG0004346	VIT_218s0001g10380.1	Ds_00000568-RA
OG0004346	VIT_206s0009g02730.1	Ds_00013919-RA
OG0004347	VIT_208s0007g00700.1	Ds_00014900-RA
OG0004348	VIT_204s0023g00600.5, VIT_204s0023g00600.6, VIT_204s0023g00600.3, VIT_204s0023g00600.1, VIT_204s0023g00600.4, VIT_204s0023g00600.2, VIT_204s0023g00600.7	Ds_00013744-RA
OG0004349	VIT_214s0060g02240.1, VIT_207s0005g00230.3, VIT_207s0005g00230.4, VIT_207s0005g00230.1, VIT_207s0005g00230.2	Ds_00017956-RA, Ds_00011997-RA
OG0004351	VIT_214s0060g01910.2, VIT_214s0060g01910.3, VIT_214s0060g01910.5, VIT_214s0060g01910.4, VIT_214s0060g01910.1	Ds_00003896-RA
OG0004352	VIT_208s0007g02960.1, VIT_208s0007g02960.3, VIT_208s0007g02960.4	Ds_00015559-RA
OG0004353	VIT_207s0005g02180.1	Ds_00013658-RA, Ds_00005447-RA, Ds_00013657-RA
OG0004354	VIT_205s0062g00110.1, VIT_205s0062g00110.2, VIT_205s0062g00110.3	Ds_00005717-RA
OG0004355	VIT_200s0215g00010.1	Ds_00016804-RA
OG0004356	VIT_214s0060g02350.1, VIT_214s0060g02350.7, VIT_214s0060g02350.6, VIT_214s0060g02350.8	Ds_00003885-RA
OG0004357	VIT_207s0005g00490.1	Ds_00004697-RA
OG0004359	VIT_213s0047g01210.2, VIT_213s0047g01210.1, VIT_213s0047g01210.3	Ds_00007030-RA
OG0004360	VIT_213s0084g00670.1	Ds_00000480-RA
OG0004361	VIT_207s0095g00740.1, VIT_207s0095g00740.3, VIT_207s0095g00740.2	Ds_00003125-RA
OG0004363	VIT_204s0008g04520.1, VIT_204s0008g04520.3, VIT_204s0008g04520.2, VIT_204s0008g04520.4, VIT_204s0008g04520.7, VIT_204s0008g04520.6, VIT_204s0008g04520.5	Ds_00014260-RA
OG0004364	VIT_208s0007g05880.2, VIT_208s0007g05880.1	Ds_00005790-RA
OG0004365	VIT_204s0008g05810.2, VIT_204s0008g05810.1	Ds_00002675-RA
OG0004366	VIT_213s0019g03950.3, VIT_213s0019g03950.4, VIT_213s0019g03950.2, VIT_213s0019g03950.1	Ds_00005964-RA
OG0004367	VIT_206s0080g00830.1, VIT_206s0080g00830.4, VIT_206s0080g00830.3, VIT_206s0080g00830.5, VIT_206s0080g00830.2	Ds_00001256-RA
OG0004368	VIT_208s0007g06770.4, VIT_208s0007g06770.5, VIT_208s0007g06770.3, VIT_208s0007g06770.1, VIT_208s0007g06770.2	Ds_00002695-RA
OG0004370	VIT_213s0084g00690.1	Ds_00005768-RA
OG0004371	VIT_207s0031g00180.5, VIT_207s0031g00180.4, VIT_207s0031g00180.3, VIT_207s0031g00180.2, VIT_207s0031g00180.1	Ds_00006762-RA
OG0004372	VIT_200s0211g00070.1, VIT_200s0211g00120.1	Ds_00011246-RA
OG0004373	VIT_203s0063g00480.1	Ds_00013527-RA
OG0004373	VIT_218s0001g10540.1	Ds_00014358-RA
OG0004375	VIT_200s0144g00240.1, VIT_204s0069g01150.1	Ds_00001441-RA
OG0004376	VIT_212s0035g00760.2, VIT_212s0035g00760.3, VIT_212s0035g00760.1	Ds_00003231-RA
OG0004377	VIT_200s0783g00010.1, VIT_200s0961g00020.1, VIT_200s0379g00020.1	Ds_00009476-RA
OG0004378	VIT_203s0091g00200.1, VIT_203s0091g00200.2	Ds_00000304-RA
OG0004379	VIT_218s0001g08140.1	Ds_00000577-RA, Ds_00000578-RA
OG0004380	VIT_218s0001g08720.3, VIT_218s0001g08720.4	Ds_00010396-RA
OG0004380	VIT_218s0001g08720.2, VIT_218s0001g08720.1	Ds_00010397-RA
OG0004381	VIT_203s0063g02590.2, VIT_203s0063g02590.6, VIT_203s0063g02590.7, VIT_203s0063g02590.5, VIT_203s0063g02590.3, VIT_203s0063g02590.8, VIT_203s0063g02590.1, VIT_203s0063g02590.4	Ds_00016520-RA
OG0004382	VIT_207s0130g00370.5, VIT_207s0130g00370.1, VIT_207s0130g00370.4, VIT_207s0130g00370.6, VIT_207s0130g00370.3, VIT_207s0130g00370.7, VIT_207s0130g00370.2	Ds_00003725-RA
OG0004384	VIT_201s0010g03510.1, VIT_201s0010g03490.1, VIT_201s0010g03470.1, VIT_201s0010g03460.1	Ds_00009111-RA, Ds_00008291-RA
OG0004385	VIT_218s0001g15090.1, VIT_218s0001g15090.2, VIT_218s0001g15090.3	Ds_00003637-RA
OG0004386	VIT_208s0056g00120.2, VIT_208s0056g00120.4, VIT_208s0056g00120.3, VIT_208s0056g00120.1	Ds_00006818-RA
OG0004387	VIT_203s0097g00490.1, VIT_203s0097g00490.2	Ds_00013548-RA
OG0004389	VIT_207s0031g02120.1, VIT_207s0031g02120.2	Ds_00013431-RA, Ds_00001431-RA
OG0004390	VIT_207s0031g01970.1	Ds_00002289-RA
OG0004391	VIT_213s0019g01690.1	Ds_00004670-RA
OG0004392	VIT_204s0023g03430.1	Ds_00016553-RA
OG0004393	VIT_213s0064g00435.1, VIT_208s0007g08520.1	Ds_00016739-RA, Ds_00016693-RA
OG0004394	VIT_200s0313g00030.1	Ds_00003619-RA
OG0004394	VIT_218s0001g07490.1	Ds_00011953-RA
OG0004395	VIT_218s0001g05020.1, VIT_200s0357g00010.1, VIT_200s1003g00010.1	Ds_00000176-RA
OG0004396	VIT_207s0031g02700.1	Ds_00003988-RA
OG0004397	VIT_207s0031g01190.2, VIT_207s0031g01190.1, VIT_207s0031g01190.3	Ds_00014031-RA
OG0004398	VIT_200s0851g00020.1, VIT_200s2681g00005.1	Ds_00005390-RA
OG0004399	VIT_201s0026g00380.1	Ds_00014417-RA
OG0004400	VIT_207s0255g00020.1, VIT_218s0001g11310.1	Ds_00006786-RA, Ds_00005391-RA, Ds_00011859-RA
OG0004401	VIT_207s0130g00080.2, VIT_207s0130g00080.1, VIT_207s0130g00080.3	Ds_00003398-RA
OG0004402	VIT_200s1679g00010.1	Ds_00010952-RA
OG0004403	VIT_207s0205g00060.1, VIT_207s0205g00050.1	Ds_00011230-RA
OG0004404	VIT_212s0035g00660.2, VIT_212s0035g00660.1	Ds_00009151-RA, Ds_00010538-RA
OG0004405	VIT_218s0089g01340.6, VIT_218s0089g01340.1, VIT_218s0089g01340.2, VIT_218s0089g01340.4, VIT_218s0089g01340.7, VIT_218s0089g01340.5, VIT_218s0089g01340.3	Ds_00014876-RA
OG0004406	VIT_212s0035g00270.1	Ds_00016220-RA, Ds_00010418-RA
OG0004407	VIT_210s0003g04280.1	Ds_00002626-RA
OG0004408	VIT_218s0001g01810.1	Ds_00010881-RA, Ds_00010880-RA
OG0004409	VIT_203s0063g00610.1, VIT_203s0063g00610.2, VIT_203s0063g00610.3	Ds_00015309-RA
OG0004411	VIT_205s0020g04140.1, VIT_204s0008g00750.3, VIT_204s0008g00750.5, VIT_204s0008g00750.1, VIT_204s0008g00750.2, VIT_204s0008g00750.4, VIT_204s0008g00750.6	Ds_00011304-RA
OG0004412	VIT_200s2393g00010.1, VIT_200s0287g00040.1	Ds_00005134-RA
OG0004413	VIT_219s0014g00180.2, VIT_219s0014g00180.3, VIT_219s0014g00180.1	Ds_00007788-RA
OG0004415	VIT_201s0011g03090.1, VIT_214s0083g00110.1	Ds_00006483-RA
OG0004416	VIT_210s0003g04030.1	Ds_00014162-RA
OG0004417	VIT_219s0014g03170.2, VIT_219s0014g03170.1	Ds_00017006-RA, Ds_00002176-RA, Ds_00001773-RA
OG0004418	VIT_219s0027g01640.1, VIT_219s0027g01640.2	Ds_00017469-RA, Ds_00017470-RA
OG0004419	VIT_212s0035g00830.1	Ds_00004574-RA
OG0004420	VIT_219s0090g01580.1, VIT_219s0090g01580.4, VIT_219s0090g01580.3, VIT_219s0090g01580.2	Ds_00001703-RA
OG0004421	VIT_214s0219g00020.1, VIT_208s0032g00040.1, VIT_204s0008g04590.1, VIT_201s0010g02260.1	Ds_00018063-RA
OG0004422	VIT_219s0090g00350.5, VIT_219s0090g00350.8, VIT_219s0090g00350.7, VIT_219s0090g00350.9, VIT_219s0090g00350.10, VIT_219s0090g00350.4, VIT_219s0090g00350.3, VIT_219s0090g00350.1, VIT_219s0090g00350.2, VIT_219s0090g00350.6	Ds_00005046-RA
OG0004423	VIT_212s0028g03650.1, VIT_212s0028g03650.2, VIT_212s0028g03650.4, VIT_212s0028g03650.3	Ds_00014816-RA
OG0004423	VIT_212s0028g03700.3, VIT_212s0028g03700.5, VIT_212s0028g03700.2, VIT_212s0028g03700.4, VIT_212s0028g03700.1	Ds_00014815-RA
OG0004424	VIT_219s0093g00550.1	Ds_00009497-RA
OG0004425	VIT_212s0059g02050.1	Ds_00012284-RA
OG0004426	VIT_216s0050g00700.3, VIT_216s0050g00700.5, VIT_216s0050g00700.4, VIT_216s0050g00700.2, VIT_216s0050g00700.1	Ds_00007298-RA
OG0004427	VIT_216s0100g01280.1	Ds_00009954-RA
OG0004428	VIT_202s0025g01380.1	Ds_00011902-RA
OG0004429	VIT_204s0008g02440.1	Ds_00010435-RA
OG0004430	VIT_209s0002g05250.3, VIT_209s0002g05250.2, VIT_209s0002g05250.1	Ds_00010382-RA
OG0004430	VIT_204s0008g04250.1, VIT_204s0008g04250.2, VIT_204s0008g04250.3, VIT_204s0008g04250.4	Ds_00009927-RA
OG0004431	VIT_216s0050g01140.1	Ds_00016384-RA
OG0004432	VIT_211s0016g00600.1, VIT_209s0002g00790.1	Ds_00008233-RA, Ds_00016997-RA
OG0004433	VIT_209s0002g04260.2, VIT_209s0002g04260.1	Ds_00002417-RA
OG0004433	VIT_211s0016g03810.1	Ds_00013052-RA
OG0004434	VIT_209s0002g00390.1	Ds_00010618-RA
OG0004435	VIT_211s0016g02070.4, VIT_211s0016g02070.5, VIT_211s0016g02070.3, VIT_211s0016g02070.2, VIT_211s0016g02070.1	Ds_00016006-RA
OG0004436	VIT_206s0004g06880.1, VIT_208s0217g00030.1	Ds_00010000-RA, Ds_00005197-RA
OG0004438	VIT_204s0008g03770.1	Ds_00014247-RA
OG0004438	VIT_211s0016g03720.1	Ds_00000257-RA
OG0004439	VIT_217s0000g01690.1	Ds_00003853-RA
OG0004440	VIT_204s0008g00640.1, VIT_204s0008g00640.2	Ds_00003463-RA
OG0004441	VIT_202s0025g03410.1, VIT_202s0025g03410.2, VIT_202s0025g03410.3	Ds_00001300-RA
OG0004442	VIT_216s0050g01060.2, VIT_216s0050g01060.1	Ds_00012076-RA, Ds_00016387-RA
OG0004445	VIT_202s0012g02420.1, VIT_202s0012g02420.5, VIT_202s0012g02420.6, VIT_202s0012g02420.2, VIT_202s0012g02420.7, VIT_202s0012g02420.4, VIT_202s0012g02420.3	Ds_00011310-RA
OG0004446	VIT_201s0026g02110.1, VIT_217s0000g05970.1, VIT_214s0108g00460.1	Ds_00016174-RA, Ds_00017246-RA, Ds_00012429-RA
OG0004447	VIT_211s0052g00930.1, VIT_211s0052g00930.5, VIT_211s0052g00930.7, VIT_211s0052g00930.6, VIT_211s0052g00930.2, VIT_211s0052g00930.4, VIT_211s0052g00930.3, VIT_211s0052g00930.8, VIT_211s0052g00930.9	Ds_00007962-RA
OG0004448	VIT_215s0021g02660.1, VIT_215s0021g02660.2	Ds_00009204-RA
OG0004449	VIT_209s0002g08460.3, VIT_209s0002g08460.2, VIT_209s0002g08460.1	Ds_00002610-RA
