Orthogroup	V_vinifera.proteins	D_muscipula.proteins
OG0004226	VIT_205s0020g02910.2, VIT_205s0020g02910.1	Dm_00017718-RA, Dm_00020486-RA
OG0004227	VIT_218s0076g00310.2, VIT_218s0076g00310.1	Dm_00011439-RA
OG0004228	VIT_213s0156g00340.1	Dm_00007257-RA, Dm_00009019-RA, Dm_00007258-RA
OG0004229	VIT_216s0022g01830.2, VIT_216s0022g01830.1	Dm_00019933-RA
OG0004230	VIT_215s0021g02155.5, VIT_215s0021g02155.7, VIT_215s0021g02155.6, VIT_215s0021g02155.4, VIT_215s0021g02155.3, VIT_215s0021g02155.1, VIT_215s0021g02155.2	Dm_00011255-RA, Dm_00006161-RA, Dm_00011254-RA
OG0004231	VIT_204s0008g03080.1	Dm_00013072-RA
OG0004232	VIT_214s0066g00140.1, VIT_217s0000g09680.2, VIT_217s0000g09680.1	Dm_00001434-RA
OG0004233	VIT_207s0151g00650.1	Dm_00008206-RA
OG0004234	VIT_214s0081g00050.1	Dm_00003547-RA
OG0004236	VIT_214s0036g00420.1	Dm_00003498-RA
OG0004237	VIT_203s0038g00960.1	Dm_00003440-RA
OG0004237	VIT_204s0023g03240.1, VIT_204s0023g03240.2, VIT_204s0023g03240.3, VIT_204s0023g03240.4, VIT_204s0023g03240.5, VIT_204s0023g03240.6	Dm_00006340-RA
OG0004238	VIT_218s0001g01180.2, VIT_218s0001g01180.1	Dm_00009238-RA, Dm_00009237-RA
OG0004239	VIT_203s0088g01212.1, VIT_203s0063g00600.1	Dm_00018810-RA
OG0004240	VIT_201s0010g03730.1, VIT_201s0010g03730.2	Dm_00009460-RA, Dm_00015269-RA
OG0004241	VIT_217s0000g02240.5, VIT_217s0000g02240.1, VIT_217s0000g02240.7, VIT_217s0000g02240.8, VIT_217s0000g02240.6, VIT_217s0000g02240.9, VIT_217s0000g02240.11, VIT_217s0000g02240.2, VIT_217s0000g02240.3, VIT_217s0000g02240.4, VIT_217s0000g02240.10	Dm_00001928-RA
OG0004242	VIT_207s0130g00310.1, VIT_207s0130g00310.2	Dm_00008529-RA
OG0004243	VIT_203s0038g00380.2, VIT_203s0038g00380.5, VIT_203s0038g00380.4, VIT_203s0038g00380.1, VIT_203s0038g00380.6	Dm_00014062-RA
OG0004244	VIT_203s0063g02280.2, VIT_203s0063g02280.1	Dm_00016820-RA
OG0004245	VIT_207s0031g02420.3, VIT_207s0031g02420.1, VIT_207s0031g02420.2, VIT_207s0031g02420.5, VIT_207s0031g02420.6, VIT_207s0031g02420.4	Dm_00004465-RA
OG0004246	VIT_207s0005g00280.1	Dm_00018008-RA
OG0004248	VIT_217s0000g04310.1, VIT_217s0000g04310.2	Dm_00012411-RA
OG0004249	VIT_205s0020g00830.1	Dm_00012216-RA
OG0004250	VIT_214s0068g00640.1, VIT_214s0068g00640.2	Dm_00010967-RA
OG0004251	VIT_218s0076g00210.5, VIT_218s0076g00210.2, VIT_218s0076g00210.4, VIT_218s0076g00210.3, VIT_218s0076g00210.1	Dm_00006271-RA
OG0004252	VIT_218s0001g15510.1, VIT_218s0001g15470.1	Dm_00011181-RA
OG0004253	VIT_218s0001g12680.3, VIT_218s0001g12680.2, VIT_218s0001g12680.1	Dm_00005953-RA, Dm_00014306-RA
OG0004255	VIT_202s0033g00080.2, VIT_202s0033g00080.1, VIT_202s0033g00120.1	Dm_00007550-RA
OG0004259	VIT_214s0006g02950.1, VIT_201s0011g03540.1	Dm_00018430-RA
OG0004260	VIT_201s0011g03520.2, VIT_201s0011g03520.1	Dm_00001708-RA
OG0004261	VIT_204s0023g02990.4, VIT_204s0023g02990.1, VIT_204s0023g02990.3, VIT_204s0023g02990.2, VIT_200s0199g00120.3, VIT_200s0199g00120.1, VIT_200s0199g00160.1, VIT_200s0199g00120.2	Dm_00005015-RA
OG0004262	VIT_217s0000g08610.8, VIT_217s0000g08610.7, VIT_217s0000g08610.3, VIT_217s0000g08610.2, VIT_217s0000g08610.6, VIT_217s0000g08610.4, VIT_217s0000g08610.1, VIT_217s0000g08610.5	Dm_00003324-RA, Dm_00008787-RA
OG0004263	VIT_214s0108g01520.7, VIT_214s0108g01520.6, VIT_214s0108g01520.3, VIT_214s0108g01520.1, VIT_214s0108g01520.2	Dm_00006641-RA
OG0004264	VIT_214s0006g01440.1, VIT_214s0006g01440.2, VIT_214s0006g01440.3	Dm_00006180-RA
OG0004265	VIT_204s0008g02950.1, VIT_204s0008g02950.2, VIT_204s0008g02950.3	Dm_00010229-RA
OG0004266	VIT_214s0066g01450.1, VIT_214s0066g01450.3, VIT_214s0066g01450.2	Dm_00013900-RA
OG0004267	VIT_201s0026g00240.1	Dm_00012565-RA
OG0004268	VIT_202s0012g01640.1	Dm_00012167-RA
OG0004269	VIT_217s0000g06970.1, VIT_217s0000g06970.2, VIT_217s0000g06970.4, VIT_217s0000g06970.3	Dm_00014587-RA
OG0004270	VIT_217s0000g07640.1	Dm_00009090-RA
OG0004271	VIT_202s0087g00340.2, VIT_202s0087g00340.1	Dm_00011333-RA
OG0004272	VIT_201s0127g00230.2, VIT_201s0127g00230.4, VIT_201s0127g00230.1, VIT_201s0127g00230.3	Dm_00017000-RA
OG0004274	VIT_216s0039g01810.7, VIT_216s0039g01810.5, VIT_216s0039g01810.6, VIT_216s0039g01810.2, VIT_216s0039g01810.3, VIT_216s0039g01810.1, VIT_216s0039g01810.4	Dm_00000237-RA
OG0004279	VIT_207s0185g00050.1	Dm_00018539-RA, Dm_00007070-RA, Dm_00010438-RA
OG0004280	VIT_206s0080g00330.5, VIT_206s0080g00330.1, VIT_206s0080g00330.2, VIT_206s0080g00330.4, VIT_206s0080g00330.3	Dm_00009162-RA
OG0004281	VIT_209s0002g07520.2, VIT_209s0002g07520.1, VIT_209s0002g07520.3, VIT_204s0043g00730.1	Dm_00002513-RA
OG0004284	VIT_219s0015g02580.1	Dm_00018044-RA, Dm_00008861-RA, Dm_00008860-RA, Dm_00015077-RA, Dm_00019698-RA, Dm_00014816-RA, Dm_00017290-RA, Dm_00015985-RA, Dm_00017889-RA, Dm_00014985-RA, Dm_00013029-RA, Dm_00008169-RA, Dm_00008168-RA, Dm_00019184-RA, Dm_00012946-RA, Dm_00013716-RA
OG0004294	VIT_211s0016g03530.1, VIT_211s0016g03530.2	Dm_00000855-RA
OG0004295	VIT_213s0067g02900.2	Dm_00005580-RA
OG0004296	VIT_207s0104g01290.1	Dm_00009907-RA
OG0004297	VIT_205s0020g03090.3, VIT_205s0020g03090.4, VIT_205s0020g03090.1, VIT_205s0020g03090.2	Dm_00004363-RA
OG0004298	VIT_216s0050g01570.5, VIT_216s0050g01570.1, VIT_216s0050g01570.3, VIT_216s0050g01570.2, VIT_216s0050g01570.6, VIT_216s0050g01570.4, VIT_216s0098g01620.2, VIT_216s0098g01620.1	Dm_00004008-RA
OG0004301	VIT_205s0051g00460.2, VIT_205s0051g00460.1	Dm_00014937-RA, Dm_00020469-RA, Dm_00010102-RA
OG0004302	VIT_207s0104g00670.1	Dm_00018143-RA
OG0004303	VIT_217s0000g10050.6, VIT_217s0000g10050.7, VIT_217s0000g10050.2, VIT_217s0000g10050.1, VIT_217s0000g10050.4, VIT_217s0000g10050.3, VIT_217s0000g10050.5	Dm_00005990-RA, Dm_00005989-RA
OG0004305	VIT_214s0060g02250.1	Dm_00000613-RA
OG0004306	VIT_200s0220g00120.2, VIT_200s0220g00120.1	Dm_00010306-RA
OG0004307	VIT_205s0049g01940.2, VIT_205s0049g01940.1, VIT_205s0049g01940.6, VIT_205s0049g01940.3, VIT_205s0049g01940.5, VIT_205s0049g01940.4, VIT_205s0049g01940.7	Dm_00012453-RA, Dm_00018693-RA
OG0004308	VIT_205s0020g01790.1	Dm_00009967-RA
OG0004309	VIT_205s0077g01510.1, VIT_205s0077g01510.2	Dm_00017742-RA, Dm_00008408-RA
OG0004310	VIT_208s0007g03580.1, VIT_208s0007g03580.4, VIT_208s0007g03580.5, VIT_208s0007g03580.7, VIT_208s0007g03580.2, VIT_208s0007g03580.3, VIT_208s0007g03580.6	Dm_00012318-RA
OG0004311	VIT_214s0066g02210.1, VIT_214s0108g00475.1	Dm_00000960-RA
OG0004312	VIT_207s0005g04700.3, VIT_207s0005g04700.1, VIT_207s0005g04700.2	Dm_00018427-RA, Dm_00002931-RA, Dm_00018304-RA
OG0004313	VIT_202s0087g00630.2, VIT_202s0087g00630.1	Dm_00002634-RA
OG0004314	VIT_203s0038g01440.1	Dm_00008605-RA
OG0004315	VIT_214s0060g02110.3, VIT_214s0060g02110.2, VIT_214s0060g02110.4, VIT_214s0060g02110.1, VIT_214s0060g02110.5, VIT_205s0020g01480.1, VIT_205s0020g01480.2	Dm_00013606-RA
OG0004316	VIT_208s0007g05970.1, VIT_205s0029g00940.1, VIT_208s0007g05950.1	Dm_00001179-RA
OG0004317	VIT_207s0005g00580.6, VIT_207s0005g00580.4, VIT_207s0005g00580.10, VIT_207s0005g00580.7, VIT_207s0005g00580.8, VIT_207s0005g00580.9, VIT_207s0005g00580.11, VIT_207s0005g00580.3, VIT_207s0005g00580.5, VIT_207s0005g00580.2, VIT_207s0005g00580.1	Dm_00012610-RA
OG0004318	VIT_208s0007g08370.1	Dm_00009297-RA
OG0004320	VIT_214s0128g00710.2, VIT_214s0128g00710.3, VIT_214s0128g00710.1	Dm_00000580-RA
OG0004322	VIT_206s0004g04590.1, VIT_206s0004g04590.3, VIT_206s0004g04590.4, VIT_206s0004g04590.2	Dm_00004544-RA
OG0004323	VIT_207s0005g03350.2, VIT_207s0005g03350.1	Dm_00015626-RA
OG0004325	VIT_214s0030g01270.3, VIT_214s0030g01270.1, VIT_214s0030g01270.2	Dm_00000538-RA, Dm_00013156-RA
OG0004326	VIT_207s0104g00040.2, VIT_207s0104g00040.9, VIT_207s0104g00040.8, VIT_207s0104g00040.4, VIT_207s0104g00040.7, VIT_207s0104g00040.6, VIT_207s0104g00040.5, VIT_207s0104g00040.3, VIT_207s0104g00040.1	Dm_00002930-RA
OG0004327	VIT_207s0104g00050.2, VIT_207s0104g00050.1	Dm_00002479-RA
OG0004328	VIT_212s0055g01090.1, VIT_212s0034g02510.1	Dm_00019038-RA
OG0004329	VIT_208s0007g05090.1	Dm_00003127-RA, Dm_00001275-RA
OG0004330	VIT_215s0046g00320.1	Dm_00003237-RA, Dm_00004196-RA
OG0004331	VIT_205s0077g02050.1	Dm_00010644-RA
OG0004334	VIT_210s0042g00070.2, VIT_210s0042g00070.1	Dm_00011028-RA
OG0004335	VIT_213s0158g00180.3, VIT_213s0158g00180.6, VIT_213s0158g00180.8, VIT_213s0158g00180.4, VIT_213s0158g00180.7, VIT_213s0158g00180.5, VIT_213s0158g00180.2, VIT_213s0158g00180.1	Dm_00009527-RA
OG0004336	VIT_206s0061g01160.1	Dm_00008762-RA
OG0004338	VIT_201s0011g01820.2, VIT_219s0027g00710.1	Dm_00019383-RA, Dm_00002978-RA
OG0004339	VIT_205s0049g01330.1, VIT_205s0049g01330.2	Dm_00009165-RA
OG0004340	VIT_208s0040g02670.1, VIT_208s0040g02670.2, VIT_208s0040g02670.3	Dm_00009117-RA
OG0004341	VIT_208s0007g01140.2, VIT_208s0007g01140.1, VIT_208s0007g01140.3, VIT_208s0007g01140.4	Dm_00014596-RA
OG0004343	VIT_213s0139g00170.1	Dm_00009074-RA
OG0004344	VIT_208s0040g00430.2, VIT_208s0040g00430.1, VIT_208s0040g00430.4, VIT_208s0040g00430.3, VIT_208s0040g00430.5	Dm_00007113-RA
OG0004345	VIT_205s0062g01180.2, VIT_205s0062g01180.1	Dm_00008127-RA, Dm_00002985-RA
OG0004346	VIT_218s0001g10380.1	Dm_00003393-RA
OG0004347	VIT_208s0007g00700.1	Dm_00010946-RA, Dm_00014771-RA
OG0004348	VIT_204s0023g00600.5, VIT_204s0023g00600.6, VIT_204s0023g00600.3, VIT_204s0023g00600.1, VIT_204s0023g00600.4, VIT_204s0023g00600.2, VIT_204s0023g00600.7	Dm_00013128-RA, Dm_00001212-RA
OG0004349	VIT_214s0060g02240.1, VIT_207s0005g00230.3, VIT_207s0005g00230.4, VIT_207s0005g00230.1, VIT_207s0005g00230.2	Dm_00009324-RA
OG0004352	VIT_208s0007g02960.1, VIT_208s0007g02960.3, VIT_208s0007g02960.4	Dm_00000811-RA
OG0004354	VIT_205s0062g00110.1, VIT_205s0062g00110.2, VIT_205s0062g00110.3	Dm_00020676-RA
OG0004355	VIT_200s0215g00010.1	Dm_00002454-RA, Dm_00002392-RA
OG0004356	VIT_214s0060g02350.1, VIT_214s0060g02350.7, VIT_214s0060g02350.6, VIT_214s0060g02350.8	Dm_00013067-RA
OG0004359	VIT_213s0047g01210.2, VIT_213s0047g01210.1, VIT_213s0047g01210.3	Dm_00010528-RA, Dm_00013202-RA
OG0004360	VIT_213s0084g00670.1	Dm_00017632-RA
OG0004361	VIT_207s0095g00740.1, VIT_207s0095g00740.3, VIT_207s0095g00740.2	Dm_00006914-RA
OG0004363	VIT_204s0008g04520.1, VIT_204s0008g04520.3, VIT_204s0008g04520.2, VIT_204s0008g04520.4, VIT_204s0008g04520.7, VIT_204s0008g04520.6, VIT_204s0008g04520.5	Dm_00003338-RA
OG0004364	VIT_208s0007g05880.2, VIT_208s0007g05880.1	Dm_00001169-RA
OG0004365	VIT_204s0008g05810.2, VIT_204s0008g05810.1	Dm_00018909-RA
OG0004366	VIT_213s0019g03950.3, VIT_213s0019g03950.4, VIT_213s0019g03950.2, VIT_213s0019g03950.1	Dm_00009544-RA
OG0004367	VIT_206s0080g00830.1, VIT_206s0080g00830.4, VIT_206s0080g00830.3, VIT_206s0080g00830.5, VIT_206s0080g00830.2	Dm_00013142-RA, Dm_00020072-RA
OG0004368	VIT_208s0007g06770.4, VIT_208s0007g06770.5, VIT_208s0007g06770.3, VIT_208s0007g06770.1, VIT_208s0007g06770.2	Dm_00012172-RA, Dm_00016026-RA
OG0004370	VIT_213s0084g00690.1	Dm_00001282-RA
OG0004371	VIT_207s0031g00180.5, VIT_207s0031g00180.4, VIT_207s0031g00180.3, VIT_207s0031g00180.2, VIT_207s0031g00180.1	Dm_00013515-RA
OG0004372	VIT_200s0211g00070.1, VIT_200s0211g00120.1	Dm_00012405-RA
OG0004373	VIT_218s0001g10540.1	Dm_00013031-RA, Dm_00014286-RA
OG0004375	VIT_200s0144g00240.1, VIT_204s0069g01150.1	Dm_00016284-RA
OG0004376	VIT_212s0035g00760.2, VIT_212s0035g00760.3, VIT_212s0035g00760.1	Dm_00008306-RA
OG0004377	VIT_200s0783g00010.1, VIT_200s0961g00020.1, VIT_200s0379g00020.1	Dm_00003216-RA
OG0004378	VIT_203s0091g00200.1, VIT_203s0091g00200.2	Dm_00003491-RA
OG0004379	VIT_218s0001g08140.1	Dm_00002491-RA
OG0004381	VIT_203s0063g02590.2, VIT_203s0063g02590.6, VIT_203s0063g02590.7, VIT_203s0063g02590.5, VIT_203s0063g02590.3, VIT_203s0063g02590.8, VIT_203s0063g02590.1, VIT_203s0063g02590.4	Dm_00004878-RA
OG0004382	VIT_207s0130g00370.5, VIT_207s0130g00370.1, VIT_207s0130g00370.4, VIT_207s0130g00370.6, VIT_207s0130g00370.3, VIT_207s0130g00370.7, VIT_207s0130g00370.2	Dm_00001912-RA
OG0004383	VIT_204s0023g02830.5, VIT_204s0023g02830.4, VIT_204s0023g02830.2, VIT_204s0023g02830.1, VIT_204s0023g02830.3, VIT_218s0001g13500.1	Dm_00010454-RA
OG0004384	VIT_201s0010g03510.1, VIT_201s0010g03490.1, VIT_201s0010g03470.1, VIT_201s0010g03460.1	Dm_00005316-RA
OG0004386	VIT_208s0056g00120.6, VIT_208s0056g00120.5	Dm_00007489-RA
OG0004387	VIT_203s0097g00490.1, VIT_203s0097g00490.2	Dm_00016553-RA
OG0004389	VIT_207s0031g02120.1, VIT_207s0031g02120.2	Dm_00002266-RA, Dm_00009805-RA
OG0004390	VIT_207s0031g01970.1	Dm_00009004-RA
OG0004391	VIT_213s0019g01690.1	Dm_00010806-RA
OG0004392	VIT_204s0023g03430.1	Dm_00006185-RA
OG0004393	VIT_213s0064g00435.1	Dm_00005628-RA
OG0004394	VIT_200s0313g00030.1	Dm_00008708-RA
OG0004395	VIT_218s0001g05020.1, VIT_200s0357g00010.1, VIT_200s1003g00010.1	Dm_00018439-RA
OG0004397	VIT_207s0031g01190.2, VIT_207s0031g01190.1, VIT_207s0031g01190.3	Dm_00017916-RA, Dm_00017915-RA, Dm_00017913-RA
OG0004398	VIT_200s0851g00020.1, VIT_200s2681g00005.1	Dm_00002756-RA
OG0004399	VIT_201s0026g00380.1	Dm_00001870-RA
OG0004400	VIT_207s0255g00020.1, VIT_218s0001g11310.1	Dm_00002754-RA, Dm_00001074-RA
OG0004401	VIT_207s0130g00080.2, VIT_207s0130g00080.1, VIT_207s0130g00080.3	Dm_00012042-RA, Dm_00012041-RA
OG0004403	VIT_207s0205g00060.1, VIT_207s0205g00050.1	Dm_00009325-RA
OG0004404	VIT_212s0035g00660.2, VIT_212s0035g00660.1	Dm_00017321-RA
OG0004405	VIT_218s0089g01340.6, VIT_218s0089g01340.1, VIT_218s0089g01340.2, VIT_218s0089g01340.4, VIT_218s0089g01340.7, VIT_218s0089g01340.5, VIT_218s0089g01340.3	Dm_00012025-RA
OG0004406	VIT_212s0035g00270.1	Dm_00003242-RA
OG0004407	VIT_210s0003g04280.1	Dm_00013375-RA
OG0004408	VIT_218s0001g01810.1	Dm_00011824-RA, Dm_00011825-RA
OG0004410	VIT_218s0001g10430.4, VIT_218s0001g10430.8, VIT_218s0001g10430.7, VIT_218s0001g10430.6, VIT_218s0001g10430.3, VIT_218s0001g10430.1, VIT_218s0001g10430.5, VIT_218s0001g10430.2, VIT_209s0018g01550.1	Dm_00003390-RA
OG0004411	VIT_205s0020g04140.1, VIT_204s0008g00750.3, VIT_204s0008g00750.5, VIT_204s0008g00750.1, VIT_204s0008g00750.2, VIT_204s0008g00750.4, VIT_204s0008g00750.6	Dm_00012864-RA, Dm_00012865-RA
OG0004412	VIT_200s2393g00010.1, VIT_200s0287g00040.1	Dm_00018552-RA
OG0004413	VIT_219s0014g00180.2, VIT_219s0014g00180.3, VIT_219s0014g00180.1	Dm_00018688-RA, Dm_00019618-RA
OG0004415	VIT_201s0011g03090.1, VIT_214s0083g00110.1	Dm_00012383-RA
OG0004416	VIT_210s0003g04030.1	Dm_00010001-RA
OG0004417	VIT_219s0014g03170.2, VIT_219s0014g03170.1	Dm_00009642-RA, Dm_00005444-RA
OG0004418	VIT_219s0027g01640.1, VIT_219s0027g01640.2	Dm_00012386-RA
OG0004419	VIT_212s0035g00830.1	Dm_00005922-RA
OG0004420	VIT_219s0090g01580.1, VIT_219s0090g01580.4, VIT_219s0090g01580.3, VIT_219s0090g01580.2	Dm_00004125-RA
OG0004421	VIT_214s0219g00020.1, VIT_208s0032g00040.1, VIT_204s0008g04590.1, VIT_201s0010g02260.1	Dm_00013395-RA
OG0004422	VIT_219s0090g00350.5, VIT_219s0090g00350.8, VIT_219s0090g00350.7, VIT_219s0090g00350.9, VIT_219s0090g00350.10, VIT_219s0090g00350.4, VIT_219s0090g00350.3, VIT_219s0090g00350.1, VIT_219s0090g00350.2, VIT_219s0090g00350.6	Dm_00016858-RA
OG0004423	VIT_212s0028g03700.3, VIT_212s0028g03700.5, VIT_212s0028g03700.2, VIT_212s0028g03700.4, VIT_212s0028g03700.1	Dm_00003156-RA
OG0004424	VIT_219s0093g00550.1	Dm_00000332-RA, Dm_00005907-RA
OG0004426	VIT_216s0050g00700.3, VIT_216s0050g00700.5, VIT_216s0050g00700.4, VIT_216s0050g00700.2, VIT_216s0050g00700.1	Dm_00003307-RA, Dm_00002960-RA
OG0004427	VIT_216s0100g01280.1	Dm_00005497-RA, Dm_00003082-RA
OG0004428	VIT_202s0025g01380.1	Dm_00014513-RA
OG0004429	VIT_204s0008g02440.1	Dm_00009092-RA, Dm_00014772-RA
OG0004430	VIT_209s0002g05250.3, VIT_209s0002g05250.2, VIT_209s0002g05250.1	Dm_00020616-RA
OG0004431	VIT_216s0050g01140.1	Dm_00002055-RA
OG0004432	VIT_211s0016g00600.1, VIT_209s0002g00790.1	Dm_00001021-RA
OG0004433	VIT_209s0002g04260.2, VIT_209s0002g04260.1	Dm_00021062-RA
OG0004433	VIT_211s0016g03810.1	Dm_00008882-RA
OG0004434	VIT_209s0002g00390.1	Dm_00006607-RA
OG0004435	VIT_211s0016g02070.4, VIT_211s0016g02070.5, VIT_211s0016g02070.3, VIT_211s0016g02070.2, VIT_211s0016g02070.1	Dm_00003018-RA, Dm_00003017-RA
OG0004436	VIT_206s0004g06880.1, VIT_208s0217g00030.1	Dm_00006205-RA, Dm_00006228-RA
OG0004437	VIT_211s0016g05380.1	Dm_00000078-RA
OG0004438	VIT_204s0008g03770.2	Dm_00013628-RA
OG0004438	VIT_204s0008g03770.1	Dm_00000645-RA
OG0004439	VIT_217s0000g01690.1	Dm_00001854-RA
OG0004440	VIT_204s0008g00640.1, VIT_204s0008g00640.2	Dm_00009415-RA
OG0004441	VIT_202s0025g03410.1, VIT_202s0025g03410.2, VIT_202s0025g03410.3	Dm_00017378-RA
OG0004442	VIT_216s0050g01060.2, VIT_216s0050g01060.1	Dm_00010706-RA, Dm_00002057-RA
OG0004444	VIT_209s0070g00030.1, VIT_209s0070g00030.3, VIT_209s0070g00030.2	Dm_00004926-RA
OG0004445	VIT_202s0012g02420.1, VIT_202s0012g02420.5, VIT_202s0012g02420.6, VIT_202s0012g02420.2, VIT_202s0012g02420.7, VIT_202s0012g02420.4, VIT_202s0012g02420.3	Dm_00007188-RA
OG0004446	VIT_201s0026g02110.1, VIT_217s0000g05970.1, VIT_214s0108g00460.1	Dm_00010767-RA, Dm_00004750-RA
OG0004447	VIT_211s0052g00930.1, VIT_211s0052g00930.5, VIT_211s0052g00930.7, VIT_211s0052g00930.6, VIT_211s0052g00930.2, VIT_211s0052g00930.4, VIT_211s0052g00930.3, VIT_211s0052g00930.8, VIT_211s0052g00930.9	Dm_00000750-RA
OG0004448	VIT_215s0021g02660.1, VIT_215s0021g02660.2	Dm_00020502-RA
OG0004449	VIT_209s0002g08460.3, VIT_209s0002g08460.2, VIT_209s0002g08460.1	Dm_00018834-RA
OG0004450	VIT_211s0103g00660.5, VIT_211s0103g00660.7, VIT_211s0103g00660.6, VIT_211s0103g00660.3, VIT_211s0103g00660.4, VIT_211s0103g00660.1, VIT_211s0103g00660.2	Dm_00006714-RA, Dm_00002247-RA
OG0004451	VIT_209s0002g01530.4, VIT_209s0002g01530.1, VIT_209s0002g01530.2, VIT_209s0002g01530.3	Dm_00012908-RA
OG0004452	VIT_211s0052g00170.3, VIT_211s0052g00170.1, VIT_211s0052g00170.2	Dm_00002246-RA
OG0004453	VIT_207s0005g04550.1, VIT_207s0005g04550.2, VIT_207s0005g04550.3, VIT_207s0005g04550.6, VIT_207s0005g04550.4, VIT_207s0005g04550.5	Dm_00014777-RA
OG0004454	VIT_216s0022g00750.1	Dm_00016072-RA, Dm_00000395-RA
OG0004455	VIT_202s0025g02690.1, VIT_215s0048g02680.4, VIT_215s0048g02680.3, VIT_215s0048g02680.1, VIT_215s0048g02680.5, VIT_215s0048g02680.2	Dm_00013878-RA
OG0004456	VIT_215s0021g02780.5, VIT_215s0021g02780.6, VIT_215s0021g02780.7, VIT_215s0021g02780.4, VIT_215s0021g02780.3, VIT_215s0021g02780.2, VIT_215s0021g02780.1, VIT_215s0021g02780.9, VIT_215s0021g02780.8	Dm_00004112-RA
OG0004457	VIT_201s0011g01150.3, VIT_201s0011g01150.5, VIT_201s0011g01150.4, VIT_201s0011g01150.6, VIT_201s0011g01150.7, VIT_201s0011g01150.2, VIT_201s0011g01150.1	Dm_00020192-RA
OG0004458	VIT_209s0002g06430.1	Dm_00006486-RA
OG0004459	VIT_216s0098g01260.1	Dm_00018049-RA
OG0004460	VIT_204s0008g04330.1	Dm_00000631-RA
OG0004461	VIT_209s0002g05790.1, VIT_209s0002g05790.2	Dm_00014240-RA
OG0004461	VIT_211s0016g04710.1	Dm_00000104-RA
OG0004463	VIT_202s0025g05160.1	Dm_00008007-RA
OG0004464	VIT_219s0085g00720.3	Dm_00019978-RA
OG0004467	VIT_212s0035g02160.1	Dm_00020739-RA
OG0004468	VIT_216s0022g00540.2, VIT_216s0022g00540.3, VIT_216s0022g00540.1	Dm_00016052-RA
OG0004469	VIT_209s0002g00150.1, VIT_209s0002g00150.2, VIT_209s0002g00150.7, VIT_209s0002g00150.4, VIT_209s0002g00150.3	Dm_00010703-RA
OG0004470	VIT_209s0002g02070.4, VIT_209s0002g02070.3, VIT_209s0002g02070.1, VIT_209s0002g02070.2	Dm_00009042-RA
OG0004471	VIT_211s0037g00130.1	Dm_00014103-RA, Dm_00011504-RA
OG0004472	VIT_204s0008g05780.1, VIT_204s0008g05780.2	Dm_00012975-RA
OG0004473	VIT_208s0007g04270.1	Dm_00013439-RA
OG0004474	VIT_203s0063g02630.1	Dm_00007097-RA, Dm_00004874-RA
OG0004475	VIT_216s0050g01460.1, VIT_216s0050g01460.3, VIT_216s0050g01460.2	Dm_00010833-RA, Dm_00006262-RA
OG0004476	VIT_200s0250g00030.1, VIT_200s0250g00030.3, VIT_200s0250g00030.6, VIT_200s0250g00030.5, VIT_200s0250g00030.7, VIT_200s0250g00030.2, VIT_200s0250g00030.4	Dm_00009509-RA
OG0004477	VIT_219s0135g00060.2, VIT_219s0135g00060.1, VIT_219s0135g00060.3	Dm_00010542-RA
OG0004478	VIT_210s0003g00120.2, VIT_210s0003g00120.3, VIT_210s0003g00120.4, VIT_210s0003g00120.1	Dm_00003850-RA
OG0004479	VIT_218s0122g00260.1, VIT_218s0122g00260.2, VIT_218s0122g00260.3, VIT_218s0122g00260.4	Dm_00012356-RA
OG0004480	VIT_206s0004g03630.2, VIT_206s0004g03630.3, VIT_206s0004g03630.1	Dm_00008219-RA
OG0004481	VIT_212s0059g01900.1, VIT_210s0116g00630.1, VIT_200s0445g00040.1	Dm_00014243-RA, Dm_00001465-RA
OG0004484	VIT_219s0015g01200.4, VIT_219s0015g01200.1, VIT_219s0015g01200.3, VIT_219s0015g01200.5, VIT_219s0015g01200.6, VIT_219s0015g01200.2	Dm_00001906-RA
OG0004485	VIT_206s0061g01060.8, VIT_206s0061g01060.7, VIT_206s0061g01060.6, VIT_206s0061g01060.4, VIT_206s0061g01060.2, VIT_206s0061g01060.1, VIT_206s0061g01060.3, VIT_206s0061g01060.5	Dm_00012956-RA
OG0004486	VIT_208s0040g01460.1	Dm_00006690-RA
OG0004487	VIT_217s0000g01780.1, VIT_217s0000g01780.2	Dm_00000308-RA
OG0004489	VIT_218s0001g08180.1, VIT_218s0001g08180.7, VIT_218s0001g08180.5, VIT_218s0001g08180.4, VIT_218s0001g08180.2, VIT_218s0001g08180.3, VIT_218s0001g08180.6	Dm_00002493-RA
OG0004492	VIT_200s0508g00030.2, VIT_200s0508g00030.1	Dm_00017294-RA
OG0004493	VIT_213s0064g01190.2, VIT_213s0064g01190.3, VIT_213s0064g01190.4, VIT_202s0012g02590.1, VIT_213s0064g01190.1	Dm_00007876-RA, Dm_00011075-RA
OG0004494	VIT_219s0090g00340.1	Dm_00013985-RA, Dm_00007213-RA
OG0004495	VIT_208s0007g07160.1	Dm_00014919-RA
OG0004496	VIT_212s0028g03740.1	Dm_00010146-RA, Dm_00016293-RA
OG0004497	VIT_206s0004g02030.2, VIT_206s0004g02030.1, VIT_206s0004g02030.4, VIT_206s0004g02030.3	Dm_00007281-RA
OG0004498	VIT_213s0064g01350.2, VIT_213s0064g01350.3, VIT_213s0064g01350.1, VIT_213s0064g01350.4	Dm_00001880-RA
