Orthogroup	B_vulgaris.proteins	S_lycopersicum.proteins
OG0004276	Bevul.5G219600.1.p	Solyc06g071725.1.1, Solyc06g071730.3.1, Solyc03g112330.3.1
OG0004278	Bevul.8G074300.1.p	Solyc02g071880.3.1, Solyc02g071870.3.1
OG0004279	Bevul.7G127900.1.p	Solyc05g053700.2.1
OG0004280	Bevul.7G227900.1.p	Solyc01g009480.3.1, Solyc01g009500.3.1, Solyc06g074330.3.1
OG0004281	Bevul.9G190300.1.p, Bevul.9G190300.2.p, Bevul.9G190300.5.p, Bevul.9G190300.9.p, Bevul.9G190300.8.p, Bevul.9G190300.4.p, Bevul.9G190300.3.p, Bevul.9G190300.6.p, Bevul.9G190300.7.p, Bevul.9G190300.10.p	Solyc03g117510.3.1
OG0004294	Bevul.9G146900.1.p	Solyc05g051790.3.1, Solyc03g025570.2.1
OG0004294	Bevul.1G203600.1.p	Solyc05g053510.2.1
OG0004295	Bevul.7G224100.1.p	Solyc06g049040.3.1, Solyc06g048630.3.1
OG0004296	Bevul.7G087100.1.p	Solyc09g074510.3.1
OG0004297	Bevul.3G139700.1.p	Solyc09g075800.3.1
OG0004298	Bevul.1G140900.1.p	Solyc03g007680.3.1
OG0004299	Bevul.2G138700.3.p, Bevul.2G138700.2.p, Bevul.2G138700.1.p	Solyc08g062440.2.1, Solyc08g062560.3.1
OG0004300	Bevul.3G193900.1.p	Solyc04g015540.1.1
OG0004300	Bevul.9G182100.1.p	Solyc01g108330.2.1
OG0004301	Bevul.4G192900.1.p, Bevul.3G169500.1.p	Solyc09g091260.3.1, Solyc12g098100.2.1
OG0004302	Bevul.4G134100.1.p	Solyc01g080340.3.1, Solyc09g074060.3.1
OG0004303	Bevul.1G132400.1.p	Solyc08g080920.3.1, Solyc12g056270.2.1
OG0004304	Bevul.3G019800.1.p	Solyc07g041325.1.1, Solyc07g041330.2.1, Solyc02g022870.3.1
OG0004305	Bevul.4G203500.1.p	Solyc01g099745.1.1
OG0004306	Bevul.4G215500.1.p, Bevul.5G228800.1.p	Solyc06g082920.3.1, Solyc07g006480.3.1
OG0004307	Bevul.3G161800.1.p	Solyc09g090940.3.1
OG0004308	Bevul.3G152800.1.p	Solyc01g067380.3.1, Solyc06g054550.3.1
OG0004309	Bevul.3G001600.1.p	Solyc01g065560.3.1
OG0004310	Bevul.7G031900.1.p, Bevul.7G031900.2.p, Bevul.7G031900.6.p, Bevul.7G031900.4.p, Bevul.7G031900.3.p, Bevul.7G031900.5.p	Solyc10g085600.2.1
OG0004311	Bevul.4G103000.1.p	Solyc11g007010.2.1
OG0004312	Bevul.7G182300.1.p	Solyc10g079830.2.1
OG0004313	Bevul.5G047300.1.p, Bevul.5G047100.1.p	Solyc08g075260.1.1, Solyc08g075250.1.1, Solyc08g075240.3.1, Solyc08g075270.1.1, Solyc08g005630.3.1
OG0004314	Bevul.9G143600.1.p	Solyc01g111060.3.1
OG0004315	Bevul.4G187300.2.p, Bevul.4G187300.1.p	Solyc04g074910.3.1, Solyc04g074900.3.1, Solyc01g066840.3.1
OG0004316	Bevul.6G241600.1.p, Bevul.3G201800.1.p	Solyc04g016490.3.1
OG0004317	Bevul.7G098200.4.p, Bevul.7G098200.3.p, Bevul.7G098200.2.p, Bevul.7G098200.1.p, Bevul.7G098200.5.p	Solyc06g009130.3.1
OG0004318	Bevul.8G114400.1.p, Bevul.3G194100.1.p	Solyc04g063290.3.1, Solyc04g074300.3.1
OG0004319	Bevul.3G178400.1.p	Solyc10g080600.2.1, Solyc10g078970.1.1, Solyc10g078990.1.1, Solyc03g058160.3.1
OG0004320	Bevul.4G155700.1.p	Solyc01g099090.3.1
OG0004321	Bevul.3G234100.1.p	Solyc06g083390.3.1, Solyc09g059430.3.1, Solyc12g098440.2.1
OG0004322	Bevul.7G206700.1.p	Solyc01g110510.3.1, Solyc01g110500.3.1
OG0004323	Bevul.1G138600.1.p	Solyc01g090710.3.1
OG0004323	Bevul.3G009200.1.p	Solyc09g090140.3.1
OG0004324	Bevul.3G138600.1.p	Solyc09g075930.2.1, Solyc09g075940.3.1, Solyc03g005160.3.1
OG0004325	Bevul.4G144600.1.p, Bevul.8G112200.1.p	Solyc05g055880.3.1, Solyc09g083080.3.1
OG0004326	Bevul.4G079300.1.p	Solyc09g065120.3.1
OG0004327	Bevul.7G074000.2.p, Bevul.7G074000.1.p, Bevul.7G074000.3.p	Solyc09g065110.3.1
OG0004328	Bevul.7G061400.6.p, Bevul.7G061400.5.p, Bevul.7G061400.3.p, Bevul.7G061400.7.p, Bevul.7G061400.4.p, Bevul.7G061400.2.p, Bevul.7G061400.9.p, Bevul.7G061400.8.p, Bevul.7G061400.1.p, Bevul.1G166800.1.p	Solyc10g047210.1.1
OG0004329	Bevul.3G210500.1.p	Solyc12g020050.2.1
OG0004330	Bevul.1G193000.1.p	Solyc01g096050.3.1, Solyc05g050560.1.1
OG0004331	Bevul.3G158700.1.p	Solyc01g066515.1.1
OG0004332	Bevul.3G144800.1.p	Solyc09g082570.3.1
OG0004332	Bevul.4G135000.1.p	Solyc01g097470.3.1
OG0004334	Bevul.5G161000.1.p, Bevul.2G182500.1.p	Solyc02g081700.1.1
OG0004335	Bevul.2G194900.1.p, Bevul.2G194900.2.p	Solyc01g088090.3.1
OG0004336	Bevul.9G103100.1.p, Bevul.2G028100.1.p	Solyc11g066740.2.1
OG0004338	Bevul.4G027900.1.p, Bevul.6G154200.1.p	Solyc07g043360.1.1, Solyc06g073300.1.1
OG0004339	Bevul.7G107800.1.p, Bevul.3G007000.1.p	Solyc06g083810.3.1, Solyc09g090310.2.1
OG0004340	Bevul.2G085100.1.p	Solyc09g005740.2.1, Solyc10g085900.2.1
OG0004341	Bevul.5G137000.1.p	Solyc09g011310.3.1, Solyc10g084920.2.1
OG0004342	Bevul.9G098600.1.p, Bevul.6G135600.1.p	Solyc02g011800.1.1
OG0004343	Bevul.2G044400.1.p	Solyc11g068830.2.1
OG0004344	Bevul.7G035300.1.p, Bevul.1G062500.1.p	Solyc11g062430.2.1, Solyc01g008840.3.1
OG0004345	Bevul.5G131200.1.p	Solyc09g098240.3.1
OG0004346	Bevul.4G056000.1.p	Solyc04g078770.3.1
OG0004346	Bevul.4G221500.1.p	Solyc11g064990.2.1
OG0004347	Bevul.2G229300.1.p	Solyc09g011040.1.1, Solyc02g065050.1.1
OG0004348	Bevul.4G208400.1.p	Solyc04g056390.3.1, Solyc05g055760.3.1
OG0004349	Bevul.7G094700.1.p	Solyc09g065940.3.1, Solyc01g099740.3.1
OG0004350	Bevul.7G060400.1.p	Solyc02g050190.1.1, Solyc04g018147.1.1, Solyc03g065300.1.1, Solyc12g035300.1.1
OG0004351	Bevul.3G157900.1.p	Solyc01g099870.2.1
OG0004351	Bevul.4G202200.1.p	Solyc01g099880.3.1
OG0004352	Bevul.7G023000.1.p	Solyc09g010130.3.1
OG0004353	Bevul.5G259600.1.p	Solyc03g095970.3.1, Solyc01g073640.3.1, Solyc01g091660.3.1
OG0004354	Bevul.3G231300.1.p	Solyc12g098530.2.1
OG0004355	Bevul.4G216300.1.p	Solyc11g008830.2.1, Solyc03g063140.3.1
OG0004356	Bevul.4G205200.1.p	Solyc01g099485.1.1, Solyc01g099415.1.1, Solyc01g099460.2.1
OG0004357	Bevul.7G094300.1.p	Solyc09g075120.3.1
OG0004358	Bevul.3G168800.1.p	Solyc09g091200.3.1
OG0004359	Bevul.4G110200.1.p	Solyc01g096930.3.1
OG0004360	Bevul.3G209600.1.p	Solyc10g078440.1.1
OG0004360	Bevul.2G039500.1.p	Solyc01g096510.2.1
OG0004361	Bevul.7G128700.1.p	Solyc09g059583.1.1
OG0004362	Bevul.5G111600.1.p	Solyc01g006910.3.1
OG0004363	Bevul.2G014900.2.p, Bevul.2G014900.3.p, Bevul.2G014900.1.p	Solyc08g068010.2.1, Solyc08g068013.1.1
OG0004364	Bevul.3G203300.1.p	Solyc04g017690.3.1, Solyc10g079820.2.1
OG0004365	Bevul.2G169900.1.p	Solyc07g005390.3.1
OG0004366	Bevul.5G252500.1.p	Solyc09g015660.3.1, Solyc09g090370.3.1
OG0004367	Bevul.7G177000.1.p	Solyc11g068650.2.1
OG0004368	Bevul.3G179200.1.p	Solyc10g079010.2.1
OG0004369	Bevul.4G201000.1.p	Solyc01g099980.3.1
OG0004370	Bevul.3G209500.1.p	Solyc10g080760.2.1
OG0004371	Bevul.6G005400.1.p	Solyc02g093120.3.1
OG0004372	Bevul.1G172200.1.p	Solyc04g076790.3.1
OG0004373	Bevul.9G180500.1.p	Solyc01g108250.3.1
OG0004374	Bevul.9G237300.1.p	Solyc10g050060.2.1, Solyc01g107740.3.1
OG0004375	Bevul.1G027500.1.p, Bevul.6G062900.1.p, Bevul.6G063400.1.p	Solyc02g083520.2.1, Solyc02g061990.3.1
OG0004376	Bevul.6G151700.1.p	Solyc01g103750.3.1
OG0004378	Bevul.9G232400.1.p	Solyc01g107510.3.1
OG0004379	Bevul.1G021000.1.p	Solyc04g076910.3.1
OG0004380	Bevul.1G010200.1.p	Solyc04g077560.3.1
OG0004381	Bevul.9G171000.2.p, Bevul.9G171000.1.p	Solyc01g109630.3.1
OG0004382	Bevul.8G119300.1.p, Bevul.4G186100.1.p	Solyc05g056320.3.1
OG0004383	Bevul.1G163100.1.p	Solyc02g084620.3.1, Solyc07g032510.3.1
OG0004384	Bevul.6G208600.1.p, Bevul.2G178700.1.p	Solyc09g082660.3.1
OG0004385	Bevul.6G051600.1.p	Solyc04g064510.3.1
OG0004386	Bevul.7G110300.1.p	Solyc10g074700.2.1
OG0004387	Bevul.9G216400.1.p, Bevul.9G216400.2.p, Bevul.9G216400.3.p	Solyc01g106190.3.1
OG0004388	Bevul.1G004900.1.p	Solyc04g078090.3.1
OG0004389	Bevul.6G074500.1.p	Solyc03g032100.2.1, Solyc02g082570.2.1
OG0004390	Bevul.9G071500.1.p	Solyc04g051370.3.1, Solyc04g012040.3.1
OG0004391	Bevul.1G171300.1.p	Solyc11g065210.3.1, Solyc01g068240.3.1
OG0004392	Bevul.9G141900.1.p, Bevul.9G141900.2.p, Bevul.9G141900.3.p, Bevul.9G141900.4.p	Solyc01g111130.3.1
OG0004393	Bevul.2G191700.1.p	Solyc01g087570.2.1, Solyc02g071460.1.1, Solyc01g087580.3.1, Solyc08g044540.1.1
OG0004394	Bevul.6G059300.1.p	Solyc11g010600.2.1
OG0004394	Bevul.1G119000.1.p	Solyc04g076290.3.1
OG0004395	Bevul.1G062900.1.p	Solyc05g051860.3.1, Solyc04g054760.3.1, Solyc12g056950.2.1, Solyc04g072780.3.1
OG0004396	Bevul.4G183000.1.p	Solyc12g070080.2.1
OG0004397	Bevul.6G073100.1.p	Solyc04g054475.1.1
OG0004399	Bevul.4G182700.1.p	Solyc12g032950.2.1
OG0004401	Bevul.3G092400.1.p	Solyc07g017293.1.1
OG0004402	Bevul.6G097000.1.p	Solyc11g010250.1.1
OG0004403	Bevul.6G226600.1.p	Solyc06g073230.3.1
OG0004404	Bevul.2G032700.4.p, Bevul.2G032700.3.p, Bevul.2G032700.2.p, Bevul.2G032700.6.p, Bevul.2G032700.5.p, Bevul.2G032700.1.p	Solyc03g083310.3.1
OG0004405	Bevul.9G151400.3.p, Bevul.9G151400.4.p, Bevul.9G151400.5.p, Bevul.9G151400.1.p, Bevul.9G151400.2.p	Solyc11g020590.2.1
OG0004406	Bevul.8G195900.1.p, Bevul.2G237500.1.p	Solyc01g103920.3.1, Solyc10g044520.2.1, Solyc10g075160.1.1
OG0004407	Bevul.1G209000.1.p	Solyc08g023640.1.1
OG0004408	Bevul.1G089400.1.p	Solyc01g068260.3.1, Solyc01g068263.1.1, Solyc01g068267.1.1
OG0004409	Bevul.9G183400.1.p, Bevul.9G183400.5.p, Bevul.9G183400.3.p, Bevul.9G183400.4.p, Bevul.9G183400.2.p	Solyc01g108150.3.1
OG0004410	Bevul.6G118100.1.p	Solyc12g088810.2.1, Solyc01g104990.3.1
OG0004411	Bevul.2G149300.1.p	Solyc12g095920.2.1
OG0004412	Bevul.5G075000.1.p	Solyc08g007190.3.1, Solyc08g077960.3.1, Solyc06g060940.2.1
OG0004414	Bevul.2G001400.2.p, Bevul.2G001400.4.p, Bevul.2G001400.5.p, Bevul.2G001400.3.p, Bevul.2G001400.1.p	Solyc08g067240.3.1
OG0004415	Bevul.2G216900.1.p, Bevul.2G216900.2.p	Solyc02g085730.3.1
OG0004416	Bevul.4G090900.1.p	Solyc07g056030.3.1
OG0004417	Bevul.4G057100.1.p	Solyc07g063330.3.1, Solyc10g006890.3.1
OG0004418	Bevul.2G088700.8.p, Bevul.2G088700.6.p, Bevul.2G088700.3.p, Bevul.2G088700.5.p, Bevul.2G088700.4.p, Bevul.2G088700.2.p, Bevul.2G088700.7.p, Bevul.2G088700.1.p	Solyc10g005580.3.1, Solyc07g066520.3.1
OG0004419	Bevul.9G118900.1.p	Solyc06g082990.3.1
OG0004420	Bevul.4G012900.1.p	Solyc07g065180.3.1
OG0004421	Bevul.4G100000.1.p	Solyc03g005100.3.1, Solyc02g093790.3.1, Solyc05g014320.3.1
OG0004422	Bevul.4G033800.1.p	Solyc07g064570.3.1
OG0004423	Bevul.9G075800.2.p, Bevul.9G075800.1.p	Solyc07g053970.3.1
OG0004424	Bevul.4G090100.1.p	Solyc07g056570.1.1
OG0004425	Bevul.9G069100.2.p, Bevul.9G069100.1.p	Solyc12g005570.2.1
OG0004425	Bevul.4G053400.1.p	Solyc07g063540.3.1, Solyc12g013550.2.1
OG0004426	Bevul.3G066700.1.p	Solyc03g025440.3.1, Solyc06g036060.3.1
OG0004427	Bevul.3G074300.1.p	Solyc06g035870.3.1, Solyc03g025950.3.1
OG0004427	Bevul.2G187700.1.p	Solyc03g025923.1.1
OG0004428	Bevul.5G018000.1.p	Solyc12g055970.2.1, Solyc08g082250.3.1
OG0004429	Bevul.5G197400.1.p, Bevul.2G133100.1.p	Solyc08g077520.3.1
OG0004430	Bevul.9G200300.1.p	Solyc03g120450.3.1
OG0004431	Bevul.3G050700.1.p, Bevul.4G008700.1.p	Solyc03g007920.3.1, Solyc03g007900.3.1
OG0004432	Bevul.8G143300.1.p	Solyc12g009260.2.1, Solyc03g122120.3.1
OG0004433	Bevul.9G206400.1.p	Solyc03g120710.2.1
OG0004434	Bevul.7G162500.1.p	Solyc12g049580.2.1
OG0004435	Bevul.8G130700.1.p	Solyc12g008930.2.1
OG0004436	Bevul.9G061200.1.p	Solyc08g062660.3.1
OG0004437	Bevul.9G193200.1.p	Solyc03g116630.3.1
OG0004437	Bevul.8G176300.1.p	Solyc07g008280.3.1
OG0004438	Bevul.2G163500.1.p	Solyc08g068330.3.1
OG0004438	Bevul.8G195500.1.p	Solyc07g032740.3.1
OG0004439	Bevul.2G156800.1.p	Solyc05g012270.3.1
OG0004440	Bevul.2G151700.2.p, Bevul.2G151700.3.p, Bevul.2G151700.1.p, Bevul.2G151700.4.p	Solyc11g070110.2.1, Solyc08g065890.3.1
OG0004441	Bevul.6G086000.1.p	Solyc08g081170.3.1
OG0004442	Bevul.3G051500.1.p	Solyc03g007995.1.1, Solyc06g036250.1.1
OG0004443	Bevul.1G177900.1.p, Bevul.7G015500.1.p	Solyc01g094650.3.1
OG0004444	Bevul.2G170000.1.p, Bevul.9G226800.1.p	Solyc03g117020.3.1
OG0004445	Bevul.2G120800.2.p, Bevul.2G120800.4.p, Bevul.2G120800.3.p, Bevul.2G120800.1.p	Solyc07g017250.3.1
OG0004446	Bevul.6G239200.1.p, Bevul.5G192200.1.p	Solyc01g010540.3.1, Solyc01g010580.3.1
OG0004447	Bevul.4G232400.1.p, Bevul.4G231800.1.p, Bevul.8G212300.1.p	Solyc02g014520.3.1
OG0004448	Bevul.1G137400.1.p	Solyc01g095800.3.1
OG0004449	Bevul.2G174900.1.p, Bevul.7G105800.1.p	Solyc06g034150.3.1
OG0004450	Bevul.8G122900.1.p	Solyc02g069980.3.1
OG0004451	Bevul.7G171400.1.p	Solyc12g049230.2.1
OG0004452	Bevul.8G120300.1.p	Solyc07g018090.3.1
OG0004453	Bevul.9G022100.1.p	Solyc04g016380.3.1
OG0004454	Bevul.4G222100.1.p	Solyc09g010210.3.1
OG0004455	Bevul.1G198800.1.p	Solyc08g083240.3.1, Solyc10g005000.3.1
OG0004456	Bevul.1G136300.1.p	Solyc01g090860.3.1
OG0004457	Bevul.5G169800.1.p	Solyc02g081840.3.1
OG0004458	Bevul.9G194200.1.p	Solyc12g042840.2.1, Solyc03g116530.3.1
OG0004458	Bevul.8G181100.1.p	Solyc12g006640.2.1
OG0004459	Bevul.3G031300.1.p	Solyc03g082630.3.1, Solyc06g053160.3.1, Solyc08g083030.3.1
OG0004460	Bevul.2G015800.1.p	Solyc08g067870.2.1
OG0004462	Bevul.1G143300.1.p	Solyc01g090230.3.1
OG0004463	Bevul.5G043000.1.p	Solyc06g060550.3.1, Solyc08g007510.3.1
OG0004465	Bevul.2G149600.1.p, Bevul.2G149700.1.p	Solyc08g065670.3.1, Solyc08g065500.2.1, Solyc08g065680.2.1, Solyc08g065540.3.1
OG0004466	Bevul.3G100000.1.p	Solyc12g100070.2.1
OG0004467	Bevul.8G132000.1.p	Solyc03g121840.3.1
OG0004468	Bevul.3G090800.1.p	Solyc03g093140.3.1, Solyc06g034290.3.1
OG0004469	Bevul.7G160200.1.p	Solyc12g055720.2.1, Solyc03g123740.3.1, Solyc06g063150.3.1
OG0004470	Bevul.7G232400.1.p	Solyc03g121500.3.1
OG0004471	Bevul.8G159800.1.p	Solyc07g005320.3.1
OG0004472	Bevul.1G148900.1.p	Solyc06g065700.3.1
OG0004473	Bevul.8G174600.1.p	Solyc07g042220.2.1
OG0004474	Bevul.2G125600.1.p, Bevul.9G170500.1.p	Solyc01g109680.3.1
OG0004476	Bevul.8G091600.1.p	Solyc11g007840.2.1
OG0004477	Bevul.4G087800.1.p	Solyc12g011430.2.1, Solyc07g061960.3.1
OG0004478	Bevul.8G022600.1.p	Solyc03g006330.3.1, Solyc02g077850.3.1
OG0004479	Bevul.1G049100.1.p	Solyc04g082980.2.1
OG0004480	Bevul.7G220100.1.p	Solyc06g075540.3.1
OG0004481	Bevul.8G034600.1.p	Solyc10g008540.3.1, Solyc02g078720.3.1, Solyc03g006590.3.1
OG0004482	Bevul.2G244400.2.p, Bevul.2G244400.1.p	Solyc06g048450.2.1
OG0004483	Bevul.7G199600.1.p	Solyc06g076410.3.1, Solyc06g005750.3.1
OG0004484	Bevul.4G000600.1.p	Solyc10g005750.3.1
OG0004485	Bevul.9G101900.1.p	Solyc11g066660.2.1
OG0004486	Bevul.7G052800.5.p, Bevul.7G052800.2.p, Bevul.7G052800.1.p, Bevul.7G052800.4.p, Bevul.7G052800.3.p	Solyc09g008100.3.1
OG0004487	Bevul.8G046700.1.p	Solyc08g082760.3.1, Solyc08g008420.3.1, Solyc06g071890.3.1
OG0004488	Bevul.9G045800.1.p	Solyc11g069890.2.1
OG0004489	Bevul.1G015100.1.p	Solyc07g017660.2.1
OG0004491	Bevul.5G110100.1.p	Solyc01g006997.1.1, Solyc01g006993.1.1
OG0004492	Bevul.6G206200.1.p, Bevul.5G156100.1.p	Solyc05g015530.3.1
OG0004493	Bevul.2G188400.1.p	Solyc01g086980.3.1
OG0004494	Bevul.8G056100.1.p	Solyc02g080470.3.1
OG0004495	Bevul.2G038600.1.p, Bevul.2G038600.3.p	Solyc04g081430.3.1
OG0004496	Bevul.9G075700.1.p	Solyc07g053990.3.1, Solyc10g008340.3.1
OG0004497	Bevul.4G238500.1.p, Bevul.4G237500.1.p	Solyc11g065920.2.1, Solyc11g065930.2.1
OG0004498	Bevul.2G188200.1.p	Solyc01g086750.3.1
OG0004499	Bevul.4G092000.1.p, Bevul.3G172700.1.p	Solyc07g056390.3.1
OG0004500	Bevul.7G212800.1.p, Bevul.4G058500.1.p	Solyc11g073190.2.1, Solyc06g005290.3.1
OG0004501	Bevul.9G102200.4.p, Bevul.9G102200.2.p, Bevul.9G102200.3.p, Bevul.9G102200.1.p, Bevul.9G102200.5.p	Solyc06g074690.3.1
OG0004502	Bevul.5G116400.1.p, Bevul.5G116300.1.p	Solyc01g057000.3.1
OG0004503	Bevul.4G101000.1.p	Solyc11g007610.2.1
OG0004504	Bevul.5G036400.1.p	Solyc08g080220.2.1
OG0004505	Bevul.8G054000.1.p	Solyc02g080570.3.1
OG0004506	Bevul.2G237400.1.p, Bevul.2G237300.1.p	Solyc06g009690.2.1
OG0004507	Bevul.6G105700.1.p	Solyc02g068240.3.1
OG0004508	Bevul.8G106500.1.p	Solyc07g047670.3.1
OG0004509	Bevul.3G213400.1.p	Solyc10g078320.2.1
OG0004510	Bevul.7G130500.1.p	Solyc09g059510.3.1
OG0004511	Bevul.6G060700.1.p	Solyc11g010730.2.1, Solyc04g014410.3.1
OG0004512	Bevul.1G070200.1.p	Solyc12g089280.2.1, Solyc04g081280.3.1
OG0004513	Bevul.3G155100.1.p	Solyc01g066870.3.1, Solyc12g099600.2.1
OG0004514	Bevul.6G093100.1.p	Solyc02g090070.3.1
OG0004515	Bevul.4G210400.1.p	Solyc05g055810.3.1
OG0004516	Bevul.6G052500.1.p	Solyc04g063360.3.1
OG0004517	Bevul.3G028300.1.p	Solyc06g073680.3.1
OG0004518	Bevul.7G170500.1.p	Solyc12g049280.2.1
OG0004519	Bevul.5G165700.1.p, Bevul.5G165800.1.p	Solyc03g118060.3.1, Solyc03g118050.3.1
OG0004520	Bevul.9G199800.1.p	Solyc02g032330.3.1
OG0004521	Bevul.1G008000.1.p	Solyc12g088330.1.1, Solyc04g077810.1.1
OG0004522	Bevul.1G166400.1.p	Solyc01g094290.3.1
OG0004523	Bevul.1G181500.1.p	Solyc10g012060.3.1, Solyc10g012050.3.1
OG0004525	Bevul.6G004000.1.p	Solyc02g093210.3.1
OG0004526	Bevul.3G166900.1.p	Solyc09g091050.3.1
OG0004528	Bevul.3G010900.1.p, Bevul.4G131100.1.p	Solyc09g090050.3.1, Solyc04g026315.1.1
OG0004529	Bevul.7G114900.1.p	Solyc06g083710.2.1
OG0004530	Bevul.9G118700.1.p, Bevul.9G118700.2.p	Solyc01g105670.3.1
OG0004530	Bevul.1G111000.1.p	Solyc01g081297.1.1
OG0004531	Bevul.6G038000.1.p	Solyc02g094330.3.1
OG0004532	Bevul.7G068500.2.p, Bevul.7G068500.1.p	Solyc01g080850.3.1
OG0004534	Bevul.9G031200.1.p, Bevul.9G031200.7.p, Bevul.9G031200.11.p, Bevul.9G031200.4.p, Bevul.9G031200.10.p, Bevul.9G031200.5.p, Bevul.9G031200.2.p, Bevul.9G031200.6.p, Bevul.9G031200.3.p, Bevul.9G031200.9.p, Bevul.9G031200.8.p	Solyc01g104300.3.1
OG0004535	Bevul.5G241900.1.p	Solyc07g005360.3.1, Solyc12g010200.2.1
OG0004536	Bevul.2G100700.1.p	Solyc01g104260.3.1
OG0004536	Bevul.8G127800.1.p	Solyc11g012950.2.1
OG0004537	Bevul.7G116700.1.p	Solyc03g114050.3.1
OG0004538	Bevul.2G105900.3.p, Bevul.2G105900.1.p, Bevul.2G105900.2.p	Solyc09g074970.3.1
OG0004539	Bevul.9G143900.1.p	Solyc01g111040.3.1
OG0004540	Bevul.4G239300.1.p	Solyc12g100040.1.1
OG0004541	Bevul.5G204100.1.p	Solyc02g067580.3.1
OG0004541	Bevul.2G220800.1.p	Solyc03g113730.3.1
OG0004542	Bevul.7G188600.1.p	Solyc02g081680.3.1
OG0004543	Bevul.5G041600.1.p	Solyc08g066030.3.1
OG0004544	Bevul.6G053400.1.p, Bevul.1G026100.1.p, Bevul.3G233900.1.p	Solyc03g078090.3.1, Solyc11g005750.2.1, Solyc03g078100.3.1, Solyc11g005770.2.1
OG0004545	Bevul.6G003000.1.p	Solyc11g031950.1.1
OG0004545	Bevul.5G048300.1.p	Solyc01g103360.3.1
OG0004546	Bevul.9G135500.1.p	Solyc01g111620.3.1, Solyc08g005980.3.1
OG0004548	Bevul.1G208200.1.p, Bevul.4G193500.1.p	Solyc01g088550.3.1
OG0004549	Bevul.5G174100.1.p	Solyc03g114940.3.1
OG0004550	Bevul.5G171900.1.p	Solyc06g069370.3.1, Solyc03g114720.3.1
OG0004551	Bevul.6G043900.1.p	Solyc01g005010.3.1
OG0004552	Bevul.9G111600.3.p, Bevul.9G111600.2.p, Bevul.9G111600.4.p, Bevul.9G111600.1.p	Solyc04g049490.3.1
OG0004553	Bevul.5G217200.1.p	Solyc06g071610.2.1, Solyc03g112540.3.1
OG0004554	Bevul.2G199400.1.p, Bevul.2G199400.2.p, Bevul.2G199400.3.p	Solyc02g089263.1.1
OG0004555	Bevul.5G191800.1.p	Solyc06g070900.3.1, Solyc03g116320.3.1
OG0004556	Bevul.8G102600.1.p	Solyc06g072380.3.1
OG0004557	Bevul.5G147700.1.p	Solyc03g119440.3.1
OG0004558	Bevul.6G061600.1.p, Bevul.6G061700.1.p	Solyc01g090170.3.1, Solyc01g090140.2.1
OG0004559	Bevul.5G087100.1.p	Solyc02g030095.1.1
OG0004560	Bevul.9G011400.1.p	Solyc02g030170.3.1, Solyc02g069490.3.1
OG0004561	Bevul.5G214800.1.p	Solyc06g071550.3.1
OG0004562	Bevul.6G122900.1.p	Solyc05g009720.3.1
OG0004563	Bevul.8G107800.1.p	Solyc09g018970.1.1, Solyc10g037850.1.1, Solyc06g072290.3.1, Solyc03g098450.3.1
OG0004564	Bevul.3G167300.1.p	Solyc04g008680.3.1
OG0004565	Bevul.6G106800.1.p	Solyc05g012000.3.1
OG0004565	Bevul.5G172900.1.p	Solyc03g114820.3.1, Solyc06g069420.3.1
OG0004566	Bevul.6G123600.1.p	Solyc05g009680.1.1
OG0004566	Bevul.5G150000.1.p	Solyc03g119690.2.1, Solyc06g069220.1.1
OG0004567	Bevul.4G181200.1.p, Bevul.4G181300.1.p, Bevul.4G181100.1.p	Solyc10g007550.3.1
OG0004568	Bevul.6G046000.1.p	Solyc03g005000.3.1
OG0004570	Bevul.1G042100.1.p, Bevul.3G090600.1.p	Solyc08g016510.3.1, Solyc02g070510.3.1
OG0004571	Bevul.5G215200.1.p	Solyc01g099300.3.1, Solyc06g071580.3.1
OG0004572	Bevul.5G177000.1.p	Solyc03g115050.3.1
OG0004573	Bevul.9G177900.1.p	Solyc01g088820.2.1
OG0004574	Bevul.4G035600.1.p	Solyc08g075890.3.1, Solyc08g005470.3.1, Solyc08g067450.1.1
OG0004575	Bevul.4G152100.1.p, Bevul.3G019200.1.p	Solyc03g096860.3.1
OG0004576	Bevul.5G206000.1.p	Solyc03g113920.3.1
OG0004577	Bevul.5G096200.1.p	Solyc06g066340.3.1, Solyc08g005260.2.1, Solyc08g076400.3.1
OG0004578	Bevul.2G217400.1.p	Solyc03g121360.1.1, Solyc01g080363.1.1, Solyc06g062510.3.1
OG0004580	Bevul.4G185900.1.p	Solyc05g056310.3.1
OG0004581	Bevul.3G216900.1.p	Solyc06g065310.3.1
OG0004582	Bevul.2G204600.1.p	Solyc02g091340.3.1
OG0004583	Bevul.5G166600.1.p	Solyc03g119755.1.1
OG0004584	Bevul.5G075300.1.p	Solyc06g060970.2.1, Solyc08g077910.3.1
OG0004584	Bevul.5G075400.1.p	Solyc08g077900.3.1
OG0004585	Bevul.2G053500.1.p	Solyc02g067530.3.1
OG0004586	Bevul.5G045700.1.p	Solyc08g075120.3.1, Solyc12g096220.2.1
OG0004587	Bevul.1G019200.1.p	Solyc02g014380.3.1
OG0004588	Bevul.2G077900.1.p	Solyc11g011170.2.1
