Orthogroup	D_spatulata.proteins	A_hypochondriacus.proteins
OG0005963	Ds_00012344-RA	AH017679-RA
OG0005964	Ds_00017449-RA	AH021430-RA
OG0005965	Ds_00012756-RA	AH010284-RA
OG0005966	Ds_00005733-RA	AH006539-RA
OG0005968	Ds_00007561-RA, Ds_00001791-RA	AH008046-RA, AH008045-RA
OG0005969	Ds_00014916-RA	AH008148-RA, AH015203-RA, AH021556-RA
OG0005970	Ds_00008836-RA	AH008746-RA
OG0005971	Ds_00009836-RA	AH020971-RA
OG0005972	Ds_00005181-RA	AH000118-RA
OG0005973	Ds_00001420-RA	AH015974-RA
OG0005974	Ds_00002180-RA, Ds_00010639-RA	AH010003-RA, AH008084-RA
OG0005976	Ds_00013920-RA	AH011054-RA
OG0005977	Ds_00009686-RA, Ds_00018032-RA	AH020615-RA
OG0005978	Ds_00012795-RA	AH022261-RA, AH013473-RA
OG0005979	Ds_00016293-RA	AH009141-RA
OG0005982	Ds_00000242-RA	AH020891-RA, AH014494-RA
OG0005983	Ds_00012971-RA	AH019529-RA
OG0005984	Ds_00016787-RA, Ds_00006135-RA	AH017890-RA
OG0005985	Ds_00002409-RA	AH002113-RA, AH002114-RA
OG0005986	Ds_00016049-RA	AH022301-RA, AH005597-RA
OG0005987	Ds_00002312-RA	AH022302-RA, AH013440-RA
OG0005988	Ds_00017702-RA	AH017147-RA
OG0005990	Ds_00004680-RA	AH002780-RA
OG0005991	Ds_00016388-RA	AH012111-RA, AH019599-RA
OG0005992	Ds_00012045-RA, Ds_00003444-RA	AH016058-RA
OG0005993	Ds_00004986-RA	AH020009-RA
OG0005994	Ds_00000221-RA	AH014463-RA
OG0005995	Ds_00009966-RA	AH019527-RA, AH012351-RA
OG0005996	Ds_00004803-RA	AH001977-RA
OG0005997	Ds_00008129-RA	AH011467-RA
OG0005998	Ds_00006364-RA	AH009130-RA
OG0006000	Ds_00012514-RA	AH009552-RA
OG0006001	Ds_00002347-RA	AH013375-RA
OG0006002	Ds_00009284-RA	AH012256-RA
OG0006003	Ds_00000471-RA, Ds_00016999-RA	AH022345-RA
OG0006004	Ds_00009215-RA	AH000933-RA
OG0006006	Ds_00015644-RA, Ds_00016548-RA	AH020010-RA
OG0006007	Ds_00007282-RA	AH013752-RA, AH013751-RA
OG0006009	Ds_00017354-RA	AH020992-RA
OG0006010	Ds_00012962-RA	AH012331-RA
OG0006012	Ds_00005792-RA	AH012335-RA
OG0006013	Ds_00008885-RA	AH016959-RA, AH023820-RA, AH023833-RA
OG0006014	Ds_00000697-RA, Ds_00002437-RA	AH002047-RA
OG0006015	Ds_00005519-RA	AH010881-RA
OG0006016	Ds_00003482-RA	AH004830-RA
OG0006017	Ds_00017704-RA	AH008981-RA, AH019255-RA
OG0006018	Ds_00005638-RA	AH011977-RA
OG0006020	Ds_00014590-RA	AH021626-RA
OG0006021	Ds_00008241-RA	AH014281-RA
OG0006022	Ds_00009895-RA	AH003136-RA
OG0006023	Ds_00016460-RA	AH021060-RA
OG0006024	Ds_00004877-RA	AH011571-RA, AH018491-RA
OG0006025	Ds_00007203-RA	AH013937-RA, AH017933-RA
OG0006026	Ds_00014390-RA	AH020916-RA
OG0006027	Ds_00008231-RA	AH014325-RA
OG0006028	Ds_00003248-RA	AH016914-RA
OG0006029	Ds_00010220-RA	AH019559-RA
OG0006030	Ds_00011916-RA	AH020885-RA
OG0006031	Ds_00012952-RA, Ds_00012953-RA	AH019489-RA
OG0006032	Ds_00015362-RA	AH010714-RA
OG0006033	Ds_00014280-RA, Ds_00002575-RA	AH019216-RA
OG0006034	Ds_00017895-RA, Ds_00002322-RA	AH013426-RA, AH022316-RA
OG0006036	Ds_00016847-RA	AH004447-RA
OG0006037	Ds_00002450-RA	AH001946-RA
OG0006040	Ds_00015763-RA	AH021162-RA
OG0006041	Ds_00011834-RA	AH016093-RA, AH017152-RA
OG0006042	Ds_00000478-RA	AH013381-RA, AH022350-RA
OG0006044	Ds_00013496-RA	AH016588-RA
OG0006045	Ds_00009924-RA, Ds_00009921-RA	AH015332-RA
OG0006046	Ds_00010802-RA	AH011776-RA
OG0006048	Ds_00005233-RA	AH000218-RA
OG0006049	Ds_00003287-RA	AH023470-RA
OG0006050	Ds_00011769-RA	AH009924-RA
OG0006051	Ds_00012308-RA	AH001377-RA
OG0006052	Ds_00014565-RA, Ds_00009372-RA, Ds_00005751-RA	AH006638-RA
OG0006053	Ds_00011823-RA	AH002717-RA
OG0006054	Ds_00011774-RA	AH008222-RA
OG0006055	Ds_00006343-RA	AH003319-RA
OG0006056	Ds_00009586-RA	AH020398-RA
OG0006057	Ds_00006722-RA, Ds_00006723-RA	AH010015-RA
OG0006058	Ds_00007359-RA	AH018844-RA
OG0006060	Ds_00001991-RA	AH021961-RA
OG0006061	Ds_00010109-RA	AH013771-RA
OG0006061	Ds_00008248-RA	AH022709-RA
OG0006062	Ds_00014742-RA	AH005644-RA
OG0006062	Ds_00010038-RA	AH013190-RA
OG0006063	Ds_00004729-RA	AH012683-RA
OG0006064	Ds_00004237-RA	AH006383-RA, AH003369-RA
OG0006065	Ds_00017629-RA	AH008257-RA
OG0006066	Ds_00013994-RA	AH018860-RA
OG0006068	Ds_00004093-RA	AH018159-RA
OG0006069	Ds_00007553-RA	AH010108-RA
OG0006070	Ds_00014723-RA	AH013146-RA
OG0006071	Ds_00015072-RA	AH013676-RA
OG0006073	Ds_00014585-RA, Ds_00005211-RA	AH001310-RA
OG0006074	Ds_00001104-RA	AH017857-RA
OG0006075	Ds_00017535-RA	AH023243-RA
OG0006076	Ds_00010289-RA	AH000865-RA
OG0006077	Ds_00009944-RA	AH010141-RA
OG0006078	Ds_00002083-RA	AH012617-RA
OG0006080	Ds_00000447-RA	AH016360-RA, AH023058-RA
OG0006081	Ds_00015174-RA	AH016405-RA
OG0006082	Ds_00012745-RA	AH021318-RA
OG0006083	Ds_00011261-RA	AH008230-RA
OG0006084	Ds_00013126-RA	AH011350-RA
OG0006087	Ds_00006927-RA	AH007805-RA, AH007785-RA
OG0006089	Ds_00015104-RA, Ds_00011995-RA	AH014996-RA
OG0006090	Ds_00007353-RA	AH006983-RA
OG0006091	Ds_00015280-RA	AH003033-RA, AH003036-RA
OG0006093	Ds_00009101-RA, Ds_00006704-RA	AH020271-RA
OG0006094	Ds_00005434-RA	AH006249-RA
OG0006095	Ds_00011180-RA	AH014867-RA
OG0006096	Ds_00007718-RA	AH021627-RA
OG0006097	Ds_00002330-RA	AH013406-RA
OG0006098	Ds_00008008-RA	AH015685-RA, AH007164-RA
OG0006099	Ds_00015909-RA	AH021557-RA, AH015200-RA
OG0006101	Ds_00005995-RA	AH005325-RA
OG0006102	Ds_00001175-RA	AH017273-RA
OG0006104	Ds_00003265-RA	AH014918-RA
OG0006105	Ds_00005264-RA	AH000048-RA
OG0006106	Ds_00004432-RA	AH014874-RA
OG0006107	Ds_00010158-RA	AH022406-RA
OG0006108	Ds_00006595-RA	AH022703-RA, AH016376-RA
OG0006109	Ds_00015982-RA	AH012458-RA, AH021715-RA
OG0006111	Ds_00002705-RA	AH006907-RA
OG0006112	Ds_00012268-RA	AH001283-RA
OG0006113	Ds_00012616-RA, Ds_00016840-RA	AH018998-RA
OG0006115	Ds_00017762-RA	AH012633-RA
OG0006116	Ds_00010234-RA, Ds_00013469-RA	AH019095-RA, AH003028-RA
OG0006118	Ds_00006039-RA	AH008508-RA
OG0006119	Ds_00011007-RA	AH006790-RA
OG0006120	Ds_00003429-RA	AH003806-RA
OG0006121	Ds_00016922-RA	AH021059-RA
OG0006122	Ds_00011635-RA	AH009538-RA
OG0006123	Ds_00013955-RA	AH010987-RA, AH007705-RA
OG0006124	Ds_00005532-RA	AH010928-RA, AH007687-RA
OG0006125	Ds_00015991-RA	AH012435-RA, AH021692-RA
OG0006126	Ds_00017583-RA	AH013019-RA
OG0006127	Ds_00005417-RA	AH002879-RA
OG0006129	Ds_00009598-RA	AH006745-RA
OG0006130	Ds_00008995-RA, Ds_00002797-RA, Ds_00002796-RA	AH018177-RA
OG0006131	Ds_00013761-RA	AH017230-RA
OG0006132	Ds_00005601-RA	AH011902-RA
OG0006133	Ds_00008935-RA	AH002129-RA
OG0006134	Ds_00017079-RA	AH004470-RA
OG0006135	Ds_00006779-RA	AH006091-RA
OG0006136	Ds_00017973-RA, Ds_00007456-RA	AH016849-RA
OG0006139	Ds_00013777-RA	AH013553-RA
OG0006140	Ds_00000418-RA, Ds_00000410-RA	AH018085-RA
OG0006141	Ds_00001440-RA	AH003626-RA, AH009035-RA
OG0006142	Ds_00010936-RA, Ds_00010937-RA, Ds_00003622-RA	AH003535-RA
OG0006143	Ds_00017777-RA	AH005314-RA
OG0006145	Ds_00001333-RA	AH018722-RA
OG0006147	Ds_00014567-RA	AH009057-RA
OG0006148	Ds_00001394-RA, Ds_00003054-RA	AH016922-RA
OG0006149	Ds_00010239-RA	AH009140-RA
OG0006150	Ds_00009709-RA	AH017170-RA
OG0006151	Ds_00002557-RA	AH016737-RA, AH008322-RA
OG0006152	Ds_00001612-RA, Ds_00003518-RA	AH008836-RA
OG0006153	Ds_00012810-RA	AH013330-RA
OG0006155	Ds_00010759-RA	AH004525-RA
OG0006156	Ds_00015937-RA	AH009620-RA
OG0006157	Ds_00016478-RA	AH009215-RA
OG0006158	Ds_00016028-RA	AH010884-RA
OG0006160	Ds_00008554-RA	AH005497-RA
OG0006161	Ds_00003903-RA, Ds_00006337-RA	AH012089-RA, AH003020-RA
OG0006162	Ds_00007910-RA	AH001792-RA
OG0006163	Ds_00003677-RA	AH010429-RA
OG0006164	Ds_00009500-RA	AH021286-RA
OG0006165	Ds_00005674-RA	AH012034-RA
OG0006166	Ds_00001979-RA	AH021902-RA
OG0006167	Ds_00011249-RA	AH005649-RA
OG0006168	Ds_00004362-RA	AH005240-RA, AH004250-RA
OG0006169	Ds_00013993-RA	AH005277-RA
OG0006170	Ds_00003994-RA	AH003275-RA
OG0006171	Ds_00009730-RA	AH017253-RA
OG0006173	Ds_00006971-RA, Ds_00006970-RA, Ds_00006141-RA	AH010740-RA
OG0006175	Ds_00003655-RA	AH010522-RA
OG0006176	Ds_00009700-RA	AH022366-RA
OG0006177	Ds_00000322-RA	AH001729-RA
OG0006178	Ds_00003668-RA	AH010527-RA
OG0006179	Ds_00000754-RA	AH008891-RA, AH008892-RA
OG0006180	Ds_00005632-RA	AH011959-RA
OG0006181	Ds_00000938-RA	AH021221-RA
OG0006182	Ds_00000532-RA	AH016763-RA
OG0006184	Ds_00003139-RA	AH007086-RA
OG0006185	Ds_00005311-RA	AH003042-RA, AH019120-RA
OG0006186	Ds_00000150-RA	AH021235-RA
OG0006187	Ds_00002649-RA	AH001056-RA, AH001061-RA
OG0006188	Ds_00008547-RA	AH005506-RA
OG0006189	Ds_00002676-RA	AH010491-RA
OG0006190	Ds_00006434-RA	AH021220-RA
OG0006192	Ds_00005861-RA	AH021949-RA
OG0006193	Ds_00006072-RA	AH014258-RA
OG0006194	Ds_00006894-RA	AH015780-RA, AH018950-RA
OG0006195	Ds_00006876-RA	AH010976-RA
OG0006195	Ds_00005194-RA	AH005664-RA
OG0006196	Ds_00008469-RA	AH016525-RA
OG0006198	Ds_00005931-RA	AH020569-RA, AH006500-RA
OG0006199	Ds_00014173-RA	AH010776-RA
OG0006200	Ds_00011754-RA	AH023442-RA, AH021916-RA, AH003619-RA
OG0006201	Ds_00013119-RA	AH018394-RA, AH011505-RA
OG0006202	Ds_00006994-RA	AH007846-RA
OG0006204	Ds_00017681-RA	AH012833-RA
OG0006205	Ds_00009148-RA	AH005003-RA
OG0006205	Ds_00008451-RA	AH004335-RA
OG0006206	Ds_00016415-RA	AH019577-RA
OG0006207	Ds_00000160-RA	AH017188-RA
OG0006208	Ds_00017340-RA	AH000007-RA
OG0006209	Ds_00009149-RA	AH005004-RA, AH017549-RA
OG0006210	Ds_00010725-RA	AH004889-RA
OG0006211	Ds_00016249-RA	AH002788-RA
OG0006212	Ds_00008465-RA	AH016520-RA, AH022862-RA
OG0006213	Ds_00017166-RA, Ds_00000139-RA	AH008913-RA
OG0006214	Ds_00005342-RA	AH017565-RA
OG0006215	Ds_00004088-RA	AH012580-RA, AH013707-RA
OG0006216	Ds_00016784-RA, Ds_00016785-RA, Ds_00016786-RA, Ds_00013061-RA, Ds_00005324-RA	AH017516-RA
OG0006218	Ds_00008416-RA	AH019012-RA
OG0006219	Ds_00008474-RA, Ds_00008376-RA, Ds_00008377-RA	AH009627-RA
OG0006220	Ds_00009024-RA, Ds_00016037-RA	AH004410-RA
OG0006221	Ds_00009027-RA	AH004769-RA
OG0006222	Ds_00013488-RA	AH016567-RA, AH022813-RA
OG0006223	Ds_00007011-RA	AH011789-RA
OG0006224	Ds_00016800-RA, Ds_00016801-RA	AH007489-RA
OG0006225	Ds_00008467-RA, Ds_00009254-RA	AH022865-RA
OG0006226	Ds_00006667-RA	AH011113-RA
OG0006227	Ds_00013809-RA	AH002494-RA
OG0006228	Ds_00010013-RA, Ds_00005191-RA	AH001286-RA
OG0006230	Ds_00008525-RA	AH012472-RA
OG0006231	Ds_00013226-RA	AH005361-RA, AH004149-RA
OG0006232	Ds_00017940-RA, Ds_00011445-RA	AH019337-RA, AH005680-RA
OG0006233	Ds_00014133-RA	AH002913-RA, AH017452-RA
OG0006235	Ds_00013703-RA	AH012746-RA, AH022020-RA
OG0006237	Ds_00013091-RA	AH018503-RA
OG0006238	Ds_00009175-RA	AH004425-RA, AH004785-RA
OG0006239	Ds_00016343-RA	AH011650-RA
OG0006240	Ds_00008443-RA	AH005035-RA
OG0006241	Ds_00016140-RA	AH014414-RA
OG0006243	Ds_00010544-RA	AH002853-RA, AH003261-RA, AH005015-RA, AH017557-RA, AH004345-RA
OG0006244	Ds_00008032-RA	AH004191-RA
OG0006245	Ds_00010505-RA	AH004040-RA
OG0006246	Ds_00017243-RA	AH013370-RA
OG0006247	Ds_00016856-RA	AH021758-RA
OG0006248	Ds_00001557-RA, Ds_00001558-RA	AH005337-RA
OG0006250	Ds_00015007-RA, Ds_00011929-RA	AH007257-RA
OG0006251	Ds_00016262-RA	AH017321-RA
OG0006252	Ds_00009109-RA	AH005427-RA
OG0006253	Ds_00003746-RA, Ds_00003742-RA	AH017335-RA
OG0006255	Ds_00008098-RA	AH018392-RA, AH011500-RA
OG0006259	Ds_00006209-RA, Ds_00006308-RA	AH010433-RA, AH010432-RA
OG0006259	Ds_00006306-RA, Ds_00006307-RA, Ds_00006304-RA, Ds_00006303-RA	AH010544-RA, AH008689-RA, AH010543-RA
OG0006260	Ds_00012712-RA	AH007533-RA, AH010584-RA
OG0006261	Ds_00005023-RA	AH019985-RA
OG0006262	Ds_00013255-RA	AH020230-RA
OG0006263	Ds_00008641-RA	AH007338-RA
OG0006265	Ds_00000340-RA	AH001774-RA
OG0006296	Ds_00003548-RA, Ds_00003545-RA	AH009158-RA
OG0006297	Ds_00014912-RA	AH012867-RA
OG0006298	Ds_00017153-RA	AH002747-RA, AH017298-RA
OG0006299	Ds_00012955-RA	AH012309-RA
OG0006300	Ds_00003221-RA, Ds_00003917-RA	AH010404-RA
OG0006301	Ds_00002299-RA, Ds_00010304-RA	AH010283-RA
OG0006302	Ds_00000509-RA, Ds_00002553-RA	AH022401-RA, AH013264-RA
OG0006303	Ds_00005716-RA	AH020566-RA
OG0006304	Ds_00012800-RA	AH002077-RA, AH016840-RA
OG0006305	Ds_00006902-RA	AH023077-RA
OG0006306	Ds_00011089-RA	AH019504-RA
OG0006307	Ds_00013280-RA	AH002992-RA
OG0006308	Ds_00004414-RA	AH012415-RA
OG0006309	Ds_00002625-RA	AH001083-RA, AH000024-RA
OG0006312	Ds_00004553-RA	AH007096-RA, AH017850-RA
OG0006313	Ds_00010345-RA	AH001421-RA
OG0006314	Ds_00004138-RA, Ds_00005860-RA	AH009350-RA
OG0006315	Ds_00003092-RA	AH002696-RA
OG0006316	Ds_00009614-RA	AH023453-RA
OG0006317	Ds_00005762-RA	AH006673-RA
OG0006318	Ds_00014291-RA, Ds_00014290-RA	AH007933-RA
OG0006320	Ds_00016079-RA	AH011836-RA
OG0006321	Ds_00003345-RA	AH016790-RA
OG0006322	Ds_00005735-RA	AH006542-RA
OG0006323	Ds_00006037-RA, Ds_00015850-RA	AH007911-RA
OG0006325	Ds_00014558-RA	AH010954-RA
OG0006326	Ds_00000897-RA	AH012896-RA
OG0006327	Ds_00010998-RA	AH020396-RA
OG0006329	Ds_00009086-RA, Ds_00003358-RA, Ds_00003357-RA	AH018547-RA, AH003222-RA
OG0006330	Ds_00005350-RA	AH002829-RA
OG0006331	Ds_00011116-RA	AH018850-RA, AH003044-RA
OG0006332	Ds_00011989-RA	AH016811-RA
OG0006333	Ds_00005409-RA	AH006319-RA, AH003463-RA
OG0006334	Ds_00016933-RA, Ds_00016946-RA	AH023768-RA
OG0006335	Ds_00016885-RA	AH012000-RA
OG0006336	Ds_00003226-RA	AH007107-RA
OG0006337	Ds_00003025-RA	AH019168-RA
OG0006338	Ds_00014672-RA, Ds_00003159-RA	AH001689-RA
OG0006339	Ds_00006696-RA	AH022728-RA
OG0006340	Ds_00006169-RA	AH007748-RA
OG0006341	Ds_00014705-RA, Ds_00003894-RA	AH010524-RA
OG0006342	Ds_00005847-RA	AH000213-RA
OG0006343	Ds_00005028-RA	AH011773-RA
OG0006344	Ds_00004709-RA, Ds_00000895-RA	AH015724-RA, AH012900-RA
OG0006345	Ds_00004639-RA	AH007080-RA, AH020105-RA
OG0006347	Ds_00002040-RA, Ds_00008741-RA	AH012696-RA
OG0006348	Ds_00006327-RA	AH010492-RA
OG0006349	Ds_00010978-RA	AH020433-RA, AH006732-RA
OG0006351	Ds_00017953-RA	AH010596-RA, AH006516-RA, AH007652-RA
OG0006352	Ds_00003915-RA	AH010408-RA
OG0006353	Ds_00007096-RA	AH020110-RA, AH007073-RA
OG0006354	Ds_00013246-RA	AH020273-RA
OG0006355	Ds_00003332-RA	AH020074-RA
OG0006356	Ds_00009083-RA	AH005002-RA, AH004334-RA
OG0006358	Ds_00012473-RA	AH023155-RA
OG0006359	Ds_00014930-RA	AH007713-RA
OG0006360	Ds_00007413-RA	AH018243-RA, AH019229-RA
OG0006361	Ds_00000847-RA, Ds_00005788-RA	AH006718-RA, AH020415-RA
OG0006362	Ds_00013741-RA	AH011151-RA
OG0006364	Ds_00006385-RA	AH007091-RA
OG0006365	Ds_00014642-RA	AH003095-RA, AH018795-RA
OG0006366	Ds_00007158-RA	AH006337-RA, AH020076-RA
OG0006367	Ds_00006057-RA	AH009360-RA
OG0006368	Ds_00012357-RA	AH002736-RA
OG0006369	Ds_00017580-RA	AH023140-RA
OG0006370	Ds_00002708-RA	AH020285-RA
OG0006371	Ds_00006654-RA	AH007503-RA
OG0006373	Ds_00008925-RA	AH001664-RA
OG0006374	Ds_00015332-RA	AH001819-RA
OG0006375	Ds_00001868-RA	AH017398-RA
OG0006377	Ds_00016544-RA	AH023562-RA
OG0006378	Ds_00002125-RA	AH018729-RA
OG0006379	Ds_00012161-RA	AH021190-RA, AH014627-RA
OG0006381	Ds_00016215-RA	AH003747-RA
OG0006382	Ds_00003532-RA	AH008851-RA
OG0006383	Ds_00012949-RA	AH015642-RA, AH019321-RA
OG0006384	Ds_00014772-RA	AH008847-RA
OG0006385	Ds_00010894-RA	AH022178-RA
OG0006386	Ds_00003995-RA, Ds_00017220-RA	AH010367-RA, AH010368-RA
OG0006388	Ds_00001928-RA	AH018936-RA, AH005952-RA
OG0006389	Ds_00016608-RA	AH005747-RA
OG0006390	Ds_00013422-RA	AH003609-RA
OG0006392	Ds_00009423-RA	AH006168-RA
OG0006393	Ds_00009410-RA	AH003887-RA
OG0006394	Ds_00001523-RA	AH008880-RA
OG0006396	Ds_00009431-RA, Ds_00006759-RA	AH003833-RA
OG0006397	Ds_00015337-RA, Ds_00009768-RA	AH019952-RA, AH011647-RA
OG0006398	Ds_00000886-RA	AH021262-RA
OG0006400	Ds_00013279-RA	AH001519-RA
OG0006401	Ds_00005386-RA	AH006063-RA, AH003707-RA
OG0006402	Ds_00002559-RA	AH016740-RA, AH008320-RA
OG0006403	Ds_00003032-RA, Ds_00018072-RA	AH004230-RA
OG0006404	Ds_00007547-RA	AH000072-RA
OG0006405	Ds_00000516-RA	AH023657-RA, AH016767-RA
OG0006406	Ds_00007556-RA	AH009382-RA
OG0006407	Ds_00017975-RA	AH023670-RA
OG0006408	Ds_00003707-RA	AH002977-RA
OG0006409	Ds_00005793-RA, Ds_00012021-RA	AH023018-RA
OG0006410	Ds_00011873-RA	AH003984-RA, AH003985-RA, AH005916-RA
OG0006411	Ds_00007911-RA	AH008614-RA
OG0006412	Ds_00006125-RA, Ds_00014911-RA	AH005828-RA
OG0006414	Ds_00008835-RA, Ds_00003500-RA	AH008749-RA
OG0006415	Ds_00015923-RA	AH005270-RA, AH004227-RA
OG0006416	Ds_00014379-RA	AH000682-RA, AH002462-RA
OG0006417	Ds_00000411-RA, Ds_00000417-RA	AH007464-RA, AH011125-RA, AH021214-RA
OG0006418	Ds_00009808-RA	AH001053-RA
OG0006419	Ds_00000512-RA	AH016759-RA
OG0006420	Ds_00013418-RA	AH006477-RA
OG0006421	Ds_00013359-RA	AH001613-RA
OG0006422	Ds_00014773-RA, Ds_00003529-RA	AH008846-RA
OG0006423	Ds_00009789-RA, Ds_00007870-RA	AH016950-RA
OG0006424	Ds_00001734-RA	AH023687-RA
OG0006425	Ds_00012185-RA	AH002444-RA, AH002446-RA
OG0006426	Ds_00013235-RA	AH008354-RA
OG0006427	Ds_00013199-RA	AH005785-RA
OG0006428	Ds_00001497-RA	AH007477-RA, AH008499-RA, AH008498-RA
OG0006429	Ds_00000333-RA	AH000546-RA
OG0006430	Ds_00002922-RA	AH001862-RA
OG0006432	Ds_00015110-RA	AH015224-RA
OG0006433	Ds_00008122-RA	AH008036-RA
OG0006434	Ds_00000493-RA, Ds_00011509-RA	AH021403-RA
OG0006435	Ds_00015114-RA	AH015218-RA
OG0006436	Ds_00005304-RA, Ds_00016118-RA	AH008552-RA, AH023549-RA
OG0006437	Ds_00001751-RA	AH008102-RA
OG0006438	Ds_00006701-RA	AH022727-RA
OG0006439	Ds_00011756-RA	AH010180-RA
OG0006440	Ds_00006559-RA	AH007955-RA
OG0006441	Ds_00012304-RA	AH001364-RA, AH000307-RA
OG0006442	Ds_00004878-RA	AH018489-RA
OG0006443	Ds_00017439-RA	AH010128-RA, AH008019-RA
OG0006446	Ds_00005921-RA	AH009192-RA, AH002918-RA, AH009191-RA, AH009190-RA, AH009188-RA
OG0006447	Ds_00004506-RA, Ds_00015093-RA, Ds_00015097-RA	AH021505-RA, AH021505-RB, AH015009-RA
OG0006448	Ds_00016306-RA	AH001264-RA, AH000440-RA
OG0006449	Ds_00003411-RA	AH016018-RA
OG0006450	Ds_00012646-RA	AH020505-RA, AH006600-RA
OG0006451	Ds_00001071-RA	AH012209-RA
OG0006452	Ds_00011015-RA	AH020360-RA
OG0006453	Ds_00002318-RA	AH013434-RA
OG0006454	Ds_00014539-RA	AH007991-RA
OG0006455	Ds_00013194-RA	AH003813-RA
OG0006457	Ds_00013835-RA, Ds_00013834-RA	AH015276-RA
OG0006459	Ds_00004457-RA	AH021453-RA
OG0006460	Ds_00000877-RA	AH013543-RA
OG0006461	Ds_00005988-RA	AH013449-RA
OG0006462	Ds_00010357-RA	AH019965-RA
OG0006463	Ds_00007301-RA	AH012421-RA
OG0006464	Ds_00000712-RA	AH002059-RA
OG0006465	Ds_00017276-RA	AH009357-RA
OG0006466	Ds_00012180-RA	AH002432-RA
OG0006467	Ds_00014995-RA	AH015949-RA, AH023489-RA
OG0006469	Ds_00012020-RA	AH019502-RA
OG0006470	Ds_00006657-RA, Ds_00016798-RA	AH011093-RA
OG0006472	Ds_00001281-RA, Ds_00001280-RA	AH018011-RA
OG0006474	Ds_00008807-RA	AH004342-RA, AH014172-RA
OG0006475	Ds_00002357-RA	AH022295-RA
OG0006476	Ds_00000425-RA	AH010683-RA
OG0006477	Ds_00009578-RA	AH020374-RA
OG0006479	Ds_00009282-RA	AH019458-RA
OG0006480	Ds_00000205-RA	AH021905-RA
OG0006481	Ds_00009674-RA	AH010571-RA, AH019123-RA
OG0006482	Ds_00016477-RA	AH009210-RA
OG0006483	Ds_00014268-RA	AH019179-RA
OG0006484	Ds_00006292-RA	AH007527-RA
OG0006486	Ds_00011314-RA	AH017148-RA
OG0006488	Ds_00010385-RA	AH002050-RA
OG0006489	Ds_00009294-RA	AH012152-RA
OG0006490	Ds_00005675-RA	AH019638-RA
OG0006491	Ds_00009645-RA	AH020685-RA, AH005884-RA
OG0006492	Ds_00015059-RA	AH014186-RA, AH020836-RA
OG0006493	Ds_00017636-RA	AH021038-RA
OG0006494	Ds_00002396-RA	AH000506-RA
OG0006495	Ds_00009885-RA	AH003132-RA, AH018723-RA
OG0006497	Ds_00003477-RA	AH006194-RA
OG0006498	Ds_00002314-RA	AH022307-RA
OG0006500	Ds_00000220-RA	AH020925-RA, AH014447-RA
OG0006501	Ds_00002618-RA	AH023267-RB, AH016244-RA, AH023267-RA
OG0006502	Ds_00003555-RA, Ds_00008793-RA	AH009199-RA
OG0006503	Ds_00015221-RA	AH015081-RA, AH021630-RA
OG0006504	Ds_00016987-RA	AH021083-RA
OG0006505	Ds_00000674-RA	AH001985-RA
OG0006506	Ds_00007317-RA, Ds_00007319-RA	AH016182-RA, AH023329-RA
OG0006507	Ds_00000452-RA	AH013494-RA
OG0006508	Ds_00007243-RA	AH014019-RA
OG0006509	Ds_00002631-RA	AH001033-RA
OG0006511	Ds_00008800-RA	AH009181-RA
OG0006513	Ds_00012934-RA	AH012261-RA
OG0006514	Ds_00003997-RA	AH019971-RA
OG0006515	Ds_00005692-RA	AH012091-RA
OG0006516	Ds_00015736-RA	AH014003-RA
OG0006517	Ds_00009867-RA	AH014345-RA
OG0006518	Ds_00004269-RA	AH021217-RA, AH014342-RA
OG0006519	Ds_00017656-RA	AH008240-RA
OG0006520	Ds_00002406-RA	AH000486-RA, AH002128-RA
OG0006521	Ds_00012071-RA	AH014102-RA
OG0006522	Ds_00013616-RA	AH000642-RA
OG0006524	Ds_00015725-RA	AH014092-RA
OG0006525	Ds_00002800-RA	AH011355-RA
OG0006526	Ds_00009522-RA	AH020151-RA
OG0006527	Ds_00000676-RA	AH001989-RA
OG0006528	Ds_00002779-RA	AH018191-RA, AH011369-RA
OG0006529	Ds_00000954-RA	AH016070-RA
OG0006530	Ds_00017262-RA	AH017200-RA
OG0006531	Ds_00000631-RA, Ds_00002473-RA	AH021745-RA
OG0006532	Ds_00013531-RA	AH014638-RA
OG0006533	Ds_00015713-RA	AH017137-RA, AH020772-RA
OG0006534	Ds_00012937-RA	AH018758-RA
OG0006535	Ds_00006360-RA	AH009114-RA
OG0006536	Ds_00015620-RA, Ds_00018011-RA	AH019468-RA
OG0006537	Ds_00000717-RA	AH002074-RA
OG0006538	Ds_00006474-RA	AH017900-RA
OG0006539	Ds_00000228-RA	AH020909-RA
OG0006540	Ds_00004133-RA	AH000195-RA
OG0006540	Ds_00013718-RA	AH012776-RA
OG0006541	Ds_00010366-RA	AH019116-RA
OG0006542	Ds_00014837-RA	AH001452-RA
OG0006543	Ds_00014711-RA	AH022505-RA
OG0006544	Ds_00015547-RA, Ds_00016239-RA	AH007422-RA
OG0006546	Ds_00004275-RA, Ds_00004768-RA, Ds_00004276-RA	AH014013-RA
OG0006547	Ds_00009355-RA	AH006561-RA
OG0006548	Ds_00013690-RA	AH013716-RA
OG0006549	Ds_00009589-RA	AH020400-RA, AH006760-RA
OG0006550	Ds_00008321-RA	AH022594-RA
OG0006552	Ds_00004480-RA	AH014958-RA
