Orthogroup	D_spatulata.proteins	A_thaliana.proteins
OG0005437	Ds_00006904-RA, Ds_00006310-RA	AT1G54820.3, AT1G54820.4, AT1G54820.2, AT1G54820.1
OG0005438	Ds_00015789-RA, Ds_00002090-RA	AT2G36200.1, AT2G36200.2
OG0005439	Ds_00016495-RA	AT5G17620.1
OG0005441	Ds_00012986-RA	AT3G60050.2, AT3G60050.1, AT1G55630.1
OG0005442	Ds_00010024-RA	AT1G06900.1
OG0005443	Ds_00015609-RA	AT2G40090.1
OG0005444	Ds_00014161-RA	AT4G28530.1, AT4G28530.2
OG0005445	Ds_00014233-RA	AT2G25170.3, AT2G25170.2, AT2G25170.4, AT2G25170.1
OG0005447	Ds_00002062-RA, Ds_00008729-RA	AT2G36420.1, AT5G03670.1, AT5G03670.2
OG0005448	Ds_00008691-RA	AT2G40150.1, AT3G55990.1
OG0005449	Ds_00004631-RA	AT5G19010.1
OG0005450	Ds_00014557-RA	AT1G50450.1
OG0005452	Ds_00008267-RA	AT5G58770.1
OG0005453	Ds_00011036-RA	AT2G42080.1, AT3G58020.1
OG0005454	Ds_00006961-RA, Ds_00006146-RA	AT5G18480.1
OG0005455	Ds_00002045-RA	AT3G10040.1
OG0005457	Ds_00006445-RA	AT3G55850.2, AT3G55850.4, AT3G55850.3, AT3G55850.1, AT3G55850.6, AT3G55850.5
OG0005458	Ds_00011320-RA, Ds_00007166-RA	AT3G11964.2, AT3G11964.1
OG0005460	Ds_00005101-RA	AT5G44060.1, AT1G04000.1, AT3G23440.1
OG0005461	Ds_00003419-RA	AT4G31390.2, AT4G31390.1
OG0005462	Ds_00014864-RA	AT3G11820.1, AT3G11820.2
OG0005463	Ds_00017307-RA	AT1G73180.2, AT1G73180.1
OG0005464	Ds_00013885-RA	AT1G02680.1
OG0005465	Ds_00000986-RA	AT1G04020.1, AT1G04020.2
OG0005466	Ds_00001086-RA	AT3G63410.1
OG0005469	Ds_00014811-RA	AT1G75990.1, AT1G20200.1
OG0005470	Ds_00007677-RA	AT1G04635.1
OG0005471	Ds_00004144-RA	AT3G22310.1, AT3G22310.2, AT3G22330.1
OG0005472	Ds_00004855-RA	AT5G17900.1, AT4G08580.1, AT4G08580.2
OG0005473	Ds_00003454-RA	AT2G25740.1, AT2G25740.2
OG0005474	Ds_00007854-RA	AT4G34550.2, AT4G34550.1, AT2G16365.6, AT2G16365.2, AT2G16365.5, AT2G16365.4, AT2G16365.1, AT2G16365.3, AT2G16290.1, AT2G16300.1
OG0005475	Ds_00016554-RA	AT5G66230.1, AT5G66230.2, AT3G51230.1
OG0005476	Ds_00001625-RA, Ds_00012523-RA, Ds_00003542-RA	AT5G08640.1, AT5G08640.2
OG0005477	Ds_00013436-RA	AT5G42180.1
OG0005479	Ds_00008195-RA	AT4G34100.2, AT4G34100.1
OG0005480	Ds_00015649-RA	AT2G44060.1, AT2G44060.2
OG0005482	Ds_00014779-RA	AT1G58120.1
OG0005483	Ds_00004943-RA, Ds_00001685-RA	AT4G17190.3, AT4G17190.1, AT5G47770.1
OG0005484	Ds_00011083-RA	AT1G71250.1
OG0005484	Ds_00004038-RA	AT5G08460.1
OG0005486	Ds_00005908-RA	AT4G16745.1, AT4G16745.2
OG0005487	Ds_00002881-RA	AT2G46890.1
OG0005490	Ds_00017645-RA	AT5G53480.1
OG0005491	Ds_00000045-RA, Ds_00013015-RA	AT4G34970.1
OG0005492	Ds_00006545-RA	AT2G23090.1
OG0005493	Ds_00013292-RA, Ds_00011004-RA	AT2G32230.2, AT2G32230.1
OG0005494	Ds_00012774-RA	AT3G52905.1
OG0005495	Ds_00010903-RA, Ds_00011220-RA	AT3G50660.1, AT3G50660.2
OG0005496	Ds_00014189-RA	AT1G33470.2, AT1G33470.3, AT1G33470.1, AT1G22910.1, AT1G22910.4, AT1G22910.3, AT1G22910.2
OG0005497	Ds_00015929-RA	AT4G24270.4, AT4G24270.3, AT4G24270.1, AT4G24270.2
OG0005498	Ds_00003225-RA	AT3G16950.2, AT3G16950.1, AT4G16155.1
OG0005499	Ds_00000312-RA	AT3G19510.2, AT3G19510.1
OG0005501	Ds_00003536-RA	AT1G44835.2, AT1G44835.1
OG0005502	Ds_00006793-RA	AT2G23470.1
OG0005503	Ds_00009099-RA, Ds_00004256-RA	AT4G15570.3, AT4G15570.1, AT4G15570.2, AT4G15570.4
OG0005504	Ds_00004181-RA, Ds_00002637-RA	AT5G08290.2
OG0005506	Ds_00003537-RA	AT1G21920.2, AT1G21920.1, AT1G77660.1
OG0005507	Ds_00002126-RA	AT4G12110.1, AT4G22756.1, AT4G22755.1
OG0005508	Ds_00000523-RA	AT5G22370.1, AT5G22370.2, AT5G22370.3
OG0005509	Ds_00014636-RA	AT1G58230.3, AT1G58230.2, AT1G58230.1
OG0005510	Ds_00011970-RA, Ds_00007483-RA	AT1G42960.1
OG0005511	Ds_00009401-RA	AT4G37610.1, AT5G67480.1, AT5G67480.3, AT5G67480.2
OG0005514	Ds_00014997-RA	AT5G58060.1, AT5G58060.2, AT5G58180.2, AT5G58180.1
OG0005515	Ds_00011981-RA, Ds_00015039-RA	AT1G76250.1
OG0005516	Ds_00010269-RA	AT3G02870.1, AT3G02870.2, AT3G02870.3
OG0005517	Ds_00010662-RA, Ds_00016311-RA	AT4G28130.1, AT2G20900.3, AT2G20900.2, AT2G20900.4, AT2G20900.1
OG0005519	Ds_00016229-RA, Ds_00016234-RA, Ds_00016235-RA	AT1G05280.2, AT1G05280.1
OG0005520	Ds_00008818-RA	AT1G22870.1, AT1G22870.2, AT1G22870.3, AT1G22870.4, AT1G71410.1, AT1G71410.2
OG0005521	Ds_00014534-RA	AT1G78540.1, AT1G78540.2, AT1G78540.3, AT1G17040.1, AT1G17040.2, AT1G17040.3
OG0005522	Ds_00012525-RA, Ds_00002866-RA	AT4G00870.1
OG0005523	Ds_00004329-RA	AT4G28510.1
OG0005525	Ds_00011526-RA	AT1G28440.1
OG0005526	Ds_00011927-RA	AT5G24670.4, AT5G24670.1, AT5G24670.3, AT5G24670.5, AT5G24670.2
OG0005527	Ds_00001216-RA	AT2G42770.1
OG0005528	Ds_00001988-RA	AT5G40740.1
OG0005529	Ds_00009529-RA	AT4G03960.1
OG0005530	Ds_00007929-RA	AT2G46520.1
OG0005531	Ds_00009550-RA	AT3G07800.1
OG0005532	Ds_00012854-RA	AT1G12060.1
OG0005533	Ds_00000498-RA, Ds_00011513-RA	AT2G34040.3, AT2G34040.1, AT2G34040.2, AT1G29030.1, AT1G29030.2
OG0005534	Ds_00012245-RA	AT4G15410.1
OG0005534	Ds_00004470-RA	AT4G04210.1, AT4G22150.1
OG0005535	Ds_00001219-RA, Ds_00016046-RA	AT1G04170.1, AT1G04170.2
OG0005536	Ds_00001765-RA	AT5G54290.1, AT5G54290.2
OG0005537	Ds_00004295-RA	AT3G23760.1, AT4G14100.1
OG0005538	Ds_00002277-RA	AT2G26300.1, AT2G26300.2
OG0005539	Ds_00017479-RA, Ds_00003811-RA	AT5G11750.1, AT5G11750.2, AT4G11630.1, AT1G24240.2, AT1G24240.1
OG0005541	Ds_00008523-RA	AT5G10800.1, AT5G10800.3, AT5G10800.2, AT5G25060.1
OG0005542	Ds_00000650-RA	AT2G12462.1
OG0005543	Ds_00002582-RA	AT5G25450.2, AT5G25450.3, AT5G25450.1, AT4G32470.2, AT4G32470.1
OG0005544	Ds_00016986-RA	AT5G20810.1, AT5G20810.2, AT3G43120.1
OG0005545	Ds_00014792-RA	AT4G13400.1, AT4G13400.2
OG0005546	Ds_00008015-RA	AT3G56510.1, AT3G56510.3, AT3G56510.4, AT3G56510.2, AT3G56510.5
OG0005548	Ds_00012519-RA	AT4G10810.1, AT4G24026.1, AT1G64584.1
OG0005549	Ds_00016056-RA	AT3G16290.1
OG0005550	Ds_00016861-RA	AT3G10700.1, AT3G10700.2, AT3G10700.3
OG0005551	Ds_00006366-RA	AT2G45260.1
OG0005552	Ds_00012845-RA, Ds_00013631-RA	AT2G24430.2, AT2G24430.1
OG0005553	Ds_00000809-RA	AT2G42280.2, AT2G42280.3, AT2G42280.1
OG0005554	Ds_00002425-RA	AT1G80420.4, AT1G80420.1, AT1G80420.2, AT1G80420.5, AT1G80420.3
OG0005556	Ds_00005331-RA	AT4G11160.3, AT4G11160.1, AT4G11160.2
OG0005557	Ds_00000702-RA	AT3G54540.2, AT3G54540.1
OG0005558	Ds_00017814-RA, Ds_00017815-RA	AT2G35720.1
OG0005559	Ds_00013879-RA	AT5G61930.2, AT5G61930.1
OG0005560	Ds_00017633-RA	AT2G23950.1, AT2G23950.2, AT4G30520.1
OG0005562	Ds_00015695-RA, Ds_00015694-RA, Ds_00012476-RA, Ds_00015696-RA	AT4G20960.1
OG0005563	Ds_00004970-RA	AT5G07590.4, AT5G07590.2, AT5G07590.3, AT5G07590.1
OG0005564	Ds_00003421-RA	AT4G31420.1, AT4G31420.2, AT2G24500.1
OG0005565	Ds_00000741-RA	AT1G79810.2, AT1G79810.1
OG0005566	Ds_00001322-RA, Ds_00002100-RA	AT4G23030.1
OG0005567	Ds_00000263-RA	AT4G13250.2, AT4G13250.1
OG0005568	Ds_00003364-RA	AT5G58100.2, AT5G58100.1
OG0005569	Ds_00007609-RA	AT1G17410.3, AT1G17410.1, AT1G17410.2
OG0005570	Ds_00002285-RA, Ds_00013921-RA	AT3G60880.2, AT3G60880.1, AT2G45440.1
OG0005571	Ds_00000450-RA	AT3G20270.5, AT3G20270.2, AT3G20270.6, AT3G20270.4, AT3G20270.1, AT3G20270.3
OG0005572	Ds_00013076-RA	AT5G24970.2, AT5G24970.3, AT5G24970.1
OG0005573	Ds_00009855-RA	AT4G33150.1, AT4G33150.4, AT4G33150.2
OG0005574	Ds_00016496-RA	AT3G61250.1
OG0005575	Ds_00003428-RA	AT2G26330.1
OG0005576	Ds_00008358-RA, Ds_00001380-RA	AT4G16820.1
OG0005577	Ds_00004907-RA	AT4G23860.2, AT4G23860.3, AT4G23860.1, AT4G23860.4
OG0005578	Ds_00000456-RA	AT4G31320.1, AT2G24400.1
OG0005579	Ds_00005789-RA	AT3G57170.2, AT3G57170.1
OG0005580	Ds_00004517-RA	AT1G61850.2, AT1G61850.1
OG0005581	Ds_00013320-RA	AT2G06040.1
OG0005583	Ds_00012780-RA, Ds_00007330-RA	AT1G16810.1, AT1G16810.3, AT1G16810.2
OG0005584	Ds_00016410-RA	AT5G23870.4, AT5G23870.1, AT5G23870.3, AT5G23870.2
OG0005585	Ds_00001325-RA	AT4G11790.1
OG0005586	Ds_00009075-RA	AT4G32770.1
OG0005589	Ds_00002587-RA, Ds_00017705-RA	AT5G11260.2, AT5G11260.1
OG0005590	Ds_00005771-RA	AT2G41190.2, AT2G41190.1
OG0005591	Ds_00003306-RA	AT4G31830.1
OG0005592	Ds_00002308-RA, Ds_00000467-RA	AT1G53750.1
OG0005593	Ds_00001366-RA	AT4G17360.3, AT4G17360.2, AT4G17360.1, AT5G47435.2, AT5G47435.1
OG0005594	Ds_00006862-RA	AT5G11630.1, AT5G11630.3, AT5G11630.2
OG0005596	Ds_00009899-RA	AT1G12420.1, AT1G12420.2
OG0005597	Ds_00017353-RA	AT2G24765.2
OG0005598	Ds_00017792-RA, Ds_00001358-RA	AT2G35710.4, AT2G35710.3, AT2G35710.1, AT4G16600.1, AT2G35710.2
OG0005599	Ds_00018031-RA	AT4G10840.2, AT4G10840.1
OG0005600	Ds_00006533-RA	AT2G01300.1, AT1G15010.1
OG0005601	Ds_00013376-RA	AT4G16650.1, AT4G16650.2
OG0005602	Ds_00003549-RA	AT2G45480.2, AT2G45480.3, AT2G45480.1
OG0005603	Ds_00014784-RA, Ds_00007281-RA	AT2G03500.1
OG0005604	Ds_00003407-RA	AT4G31240.2, AT4G31240.1
OG0005606	Ds_00017667-RA	AT2G06005.4, AT2G06005.6, AT2G06005.5, AT2G06005.3, AT2G06005.2, AT2G06005.1, AT5G20580.1, AT5G20580.2
OG0005608	Ds_00001536-RA	AT1G08840.1, AT1G08840.5, AT1G08840.2, AT1G08840.3, AT1G08840.4
OG0005611	Ds_00001681-RA	AT3G13230.1, AT3G13230.2
OG0005612	Ds_00003481-RA	AT2G36900.2, AT2G36900.3, AT2G36900.1, AT5G50440.1, AT5G50440.2
OG0005613	Ds_00006011-RA	AT3G10370.1
OG0005614	Ds_00004892-RA, Ds_00013111-RA	AT5G05610.1, AT5G05610.2
OG0005615	Ds_00000943-RA	AT3G10380.1, AT3G10380.2
OG0005617	Ds_00016835-RA, Ds_00011678-RA	AT5G48030.1
OG0005618	Ds_00004938-RA	AT5G56020.2, AT5G56020.1, AT4G26550.1, AT4G26550.2
OG0005619	Ds_00005155-RA	AT1G06570.1, AT1G06570.2
OG0005620	Ds_00010049-RA	AT3G45830.1
OG0005621	Ds_00005752-RA, Ds_00009374-RA	AT2G40970.1
OG0005622	Ds_00017147-RA	AT2G36640.1, AT2G36640.2, AT3G53040.1
OG0005623	Ds_00004284-RA	AT2G34680.1, AT2G34680.2
OG0005624	Ds_00008049-RA	AT3G23580.1
OG0005625	Ds_00015987-RA	AT1G61670.1, AT1G61670.2
OG0005626	Ds_00015273-RA	AT3G53720.2, AT3G53720.1
OG0005629	Ds_00008522-RA	AT3G55440.1
OG0005630	Ds_00015568-RA, Ds_00015962-RA	AT3G11630.1, AT5G06290.1
OG0005631	Ds_00006370-RA	AT5G55760.1
OG0005632	Ds_00015088-RA	AT4G21540.3, AT4G21540.1, AT4G21540.2, AT4G21534.1, AT4G21534.2
OG0005633	Ds_00008271-RA	AT5G58720.3, AT5G58720.2, AT5G58720.1
OG0005634	Ds_00005837-RA, Ds_00004115-RA	AT5G60690.1
OG0005635	Ds_00004287-RA	AT1G55900.2, AT1G55900.1
OG0005636	Ds_00014316-RA	AT3G08860.2, AT3G08860.1, AT2G38400.2, AT2G38400.1
OG0005637	Ds_00016514-RA	AT4G34430.4, AT4G34430.2, AT4G34430.1, AT4G34430.3
OG0005638	Ds_00005515-RA	AT1G55320.1, AT1G55320.2
OG0005639	Ds_00008252-RA	AT3G47000.1, AT3G47050.1, AT3G47010.2, AT3G47010.1, AT3G47040.1, AT3G47040.4
OG0005640	Ds_00004461-RA, Ds_00010258-RA	AT1G62420.1, AT1G12030.1
OG0005641	Ds_00001149-RA, Ds_00016326-RA	AT4G28250.2, AT4G28250.3, AT4G28250.4, AT4G28250.1, AT2G20750.2, AT2G20750.1
OG0005643	Ds_00015301-RA	AT2G41050.3, AT2G41050.1, AT2G41050.2, AT2G41050.4, AT2G41050.5, AT4G20100.1
OG0005644	Ds_00015144-RA	AT1G16540.2, AT1G16540.1, AT1G16540.3
OG0005645	Ds_00013604-RA	AT5G60040.1, AT5G60040.2
OG0005646	Ds_00006104-RA	AT5G12920.2, AT5G12920.7, AT5G12920.8, AT5G12920.3, AT5G12920.1, AT5G12920.6, AT5G12920.5, AT5G12920.4
OG0005647	Ds_00008770-RA, Ds_00002016-RA	AT3G53250.1, AT3G53250.2, AT2G37030.1, AT5G03310.1
OG0005648	Ds_00017801-RA	AT3G53680.1, AT3G53680.2, AT2G37520.1
OG0005650	Ds_00008352-RA	AT2G27680.1
OG0005651	Ds_00002185-RA	AT5G41970.1
OG0005652	Ds_00011518-RA	AT5G45980.1, AT2G33880.2, AT2G33880.1
OG0005653	Ds_00012243-RA, Ds_00009524-RA, Ds_00005281-RA	AT3G21670.1
OG0005654	Ds_00002159-RA	AT5G53860.1, AT5G53860.5, AT5G53860.4, AT5G53860.2, AT5G53860.3
OG0005655	Ds_00005148-RA	AT5G58330.3, AT5G58330.2, AT5G58330.1
OG0005656	Ds_00006606-RA	AT2G40120.1
OG0005658	Ds_00006004-RA	AT3G10360.1
OG0005659	Ds_00009708-RA	AT3G13070.1, AT1G55930.2, AT1G55930.1, AT4G00925.1
OG0005660	Ds_00010642-RA	AT4G27390.1
OG0005661	Ds_00013914-RA	AT2G26780.1, AT2G26780.2
OG0005662	Ds_00013954-RA, Ds_00014758-RA	AT3G21055.1, AT3G21055.2, AT1G51400.1
OG0005663	Ds_00016796-RA, Ds_00006656-RA	AT2G26920.1, AT5G12120.1
OG0005664	Ds_00005518-RA	AT3G32940.1
OG0005667	Ds_00003823-RA	AT4G21105.2, AT4G21105.1, AT4G21105.3
OG0005668	Ds_00001392-RA	AT3G13410.1
OG0005669	Ds_00013073-RA	AT5G08010.1, AT5G61040.1
OG0005670	Ds_00009525-RA	AT2G32990.1
OG0005671	Ds_00014536-RA	AT1G36623.1, AT1G78510.1, AT1G78510.2, AT1G17050.1
OG0005672	Ds_00004271-RA	AT1G30540.4, AT1G30540.1, AT1G30540.2, AT1G30540.3
OG0005675	Ds_00009495-RA	AT1G30090.1
OG0005676	Ds_00000859-RA	AT3G10180.2, AT3G10180.1
OG0005677	Ds_00011757-RA, Ds_00011759-RA	AT1G50710.1
OG0005678	Ds_00017323-RA	AT3G24080.4, AT3G24080.3, AT3G24080.2, AT3G24080.1
OG0005679	Ds_00000292-RA	AT3G19420.1
OG0005680	Ds_00010708-RA	AT1G13020.1, AT3G26400.1
OG0005681	Ds_00002541-RA	AT4G37630.2, AT4G37630.3, AT4G37630.1
OG0005682	Ds_00017424-RA, Ds_00013332-RA	AT1G20580.1
OG0005683	Ds_00005178-RA	AT4G25330.1
OG0005684	Ds_00004377-RA	AT5G63140.1
OG0005685	Ds_00009817-RA	AT4G34310.3, AT4G34310.2, AT4G34310.8, AT4G34310.10, AT4G34310.6, AT4G34310.4, AT4G34310.9, AT4G34310.5, AT4G34310.7, AT4G34310.1
OG0005686	Ds_00016761-RA	AT2G02560.1, AT2G02560.2
OG0005687	Ds_00000035-RA	AT2G21070.2, AT2G21070.1, AT2G21070.3
OG0005688	Ds_00014348-RA	AT3G26670.1, AT3G26670.2, AT3G26670.4, AT3G26670.3
OG0005689	Ds_00016606-RA	AT2G18350.1
OG0005690	Ds_00012026-RA	AT5G51970.2, AT5G51970.1
OG0005692	Ds_00014127-RA	AT2G27490.1, AT2G27490.2, AT2G27490.4, AT2G27490.3
OG0005696	Ds_00012508-RA, Ds_00002837-RA	AT5G08620.1, AT5G08610.1, AT5G63630.1, AT5G63630.2
OG0005697	Ds_00014339-RA	AT4G20350.6, AT4G20350.2, AT4G20350.3, AT4G20350.11, AT4G20350.9, AT4G20350.5, AT4G20350.1, AT4G20350.4, AT4G20350.8, AT4G20350.7, AT4G20350.10
OG0005698	Ds_00012156-RA	AT3G01740.1, AT5G14290.1
OG0005700	Ds_00001907-RA	AT5G14230.2, AT5G14230.1
OG0005702	Ds_00017868-RA, Ds_00008516-RA	AT2G39630.1
OG0005704	Ds_00003293-RA	AT4G13430.1
OG0005705	Ds_00002788-RA	AT1G26665.1, AT1G26665.2, AT5G41910.2, AT5G41910.1, AT5G41910.3
OG0005706	Ds_00013669-RA, Ds_00002923-RA	AT1G77800.5, AT1G77800.6, AT1G77800.4, AT1G77800.3, AT1G77800.2, AT1G77800.1, AT1G77800.7
OG0005707	Ds_00009719-RA, Ds_00011434-RA, Ds_00013754-RA	AT3G48560.1
OG0005708	Ds_00006296-RA, Ds_00005614-RA, Ds_00016855-RA, Ds_00015899-RA, Ds_00009199-RA	AT1G72680.1
OG0005709	Ds_00003624-RA	AT4G39420.2, AT4G39420.4, AT4G39420.1, AT4G39420.3
OG0005710	Ds_00016098-RA	AT3G42860.1
OG0005711	Ds_00004804-RA	AT5G11860.3, AT5G11860.4, AT5G11860.1, AT5G11860.5, AT5G11860.2
OG0005712	Ds_00002860-RA	AT2G46620.1
OG0005713	Ds_00013419-RA	AT1G78690.5, AT1G78690.4, AT1G78690.3, AT1G78690.1, AT1G78690.2
OG0005714	Ds_00006906-RA	AT5G27410.2
OG0005715	Ds_00014491-RA	AT3G51130.1
OG0005716	Ds_00009735-RA	AT5G61790.1, AT5G07340.2, AT5G07340.1
OG0005717	Ds_00004869-RA, Ds_00004868-RA, Ds_00007271-RA	AT1G20930.1, AT1G76540.1
OG0005720	Ds_00004884-RA, Ds_00017657-RA	AT4G10430.3, AT4G10430.1, AT1G33230.2, AT1G33230.1
OG0005722	Ds_00010336-RA	AT2G48010.1
OG0005723	Ds_00001946-RA, Ds_00001944-RA	AT1G11050.1
OG0005724	Ds_00016824-RA	AT5G43940.1, AT5G43940.2
OG0005725	Ds_00005221-RA	AT2G28450.2, AT2G28450.1
OG0005726	Ds_00006774-RA	AT4G36980.4, AT4G36980.3, AT4G36980.1, AT4G36980.2
OG0005727	Ds_00013100-RA	AT2G35610.1
OG0005728	Ds_00003062-RA	AT3G06810.1
OG0005729	Ds_00011222-RA	AT5G65770.3, AT5G65770.1, AT5G65780.2, AT5G65770.2
OG0005731	Ds_00008927-RA	AT5G10940.2, AT5G10940.1
OG0005732	Ds_00003233-RA	AT4G16180.2, AT4G16180.1
OG0005735	Ds_00000533-RA	AT1G27750.1
OG0005736	Ds_00007802-RA, Ds_00001077-RA	AT2G30570.1
OG0005737	Ds_00007478-RA	AT1G20770.2, AT1G20770.1
OG0005738	Ds_00006535-RA	AT1G04010.1
OG0005739	Ds_00013830-RA, Ds_00013828-RA	AT4G11670.3, AT4G11670.2, AT4G11670.1, AT4G11670.4
OG0005740	Ds_00014453-RA, Ds_00003933-RA	AT1G09330.1
OG0005742	Ds_00017410-RA	AT3G18090.1, AT3G18090.2, AT3G18090.3, AT3G23780.1, AT3G23780.2
OG0005743	Ds_00010565-RA	AT1G14200.1
OG0005744	Ds_00014202-RA	AT5G15730.1, AT5G15730.2, AT5G15730.3
OG0005745	Ds_00014807-RA, Ds_00011060-RA, Ds_00014808-RA	AT5G15750.1
OG0005746	Ds_00015443-RA	AT1G23380.2, AT1G23380.1, AT1G70510.2, AT1G70510.1
OG0005747	Ds_00016585-RA	AT1G32340.1
OG0005748	Ds_00017881-RA	AT2G35340.2, AT2G35340.1, AT1G32490.1, AT1G32490.2
OG0005749	Ds_00017275-RA	AT1G02145.1, AT1G02145.3, AT1G02145.4, AT1G02145.2
OG0005750	Ds_00009004-RA, Ds_00018058-RA, Ds_00015474-RA	AT1G59990.2, AT1G59990.1
OG0005752	Ds_00013590-RA	AT2G44810.2, AT2G44810.1
OG0005753	Ds_00008109-RA	AT2G35330.1, AT2G35330.2, AT1G32530.1
OG0005754	Ds_00014168-RA	AT5G14550.2, AT5G14550.3, AT5G14550.4, AT5G14550.1
OG0005755	Ds_00004179-RA	AT5G23150.3, AT5G23150.1, AT5G23150.2, AT5G08230.1
OG0005757	Ds_00008487-RA	AT1G68800.1, AT1G68800.2
OG0005758	Ds_00014171-RA	AT3G01530.1, AT3G27810.1, AT3G27810.2, AT5G40350.1, AT5G40350.2
OG0005759	Ds_00008077-RA	AT3G23640.2, AT3G23640.1, AT3G23640.3
OG0005760	Ds_00012426-RA	AT1G74530.4, AT1G74530.1, AT1G74530.2, AT1G74530.3
OG0005762	Ds_00009128-RA	AT1G13700.3, AT1G13700.1, AT1G13700.2
OG0005763	Ds_00006992-RA, Ds_00006127-RA	AT1G68270.1, AT1G65880.1, AT1G65890.1, AT1G66120.1
OG0005764	Ds_00003855-RA	AT5G63420.1
OG0005765	Ds_00008592-RA	AT1G25520.1, AT1G68650.1
OG0005766	Ds_00004344-RA	AT1G27070.1
OG0005767	Ds_00005318-RA, Ds_00011388-RA, Ds_00016270-RA, Ds_00013075-RA	AT1G74210.1, AT5G08030.2, AT5G08030.1
OG0005769	Ds_00017132-RA	AT1G18660.2, AT1G18660.1, AT1G18660.4, AT1G18660.3
OG0005770	Ds_00005917-RA	AT1G67950.3, AT1G67950.1, AT1G67950.2, AT1G67950.4
OG0005771	Ds_00000166-RA	AT1G48840.1, AT3G18350.2, AT3G18350.3, AT3G18350.1
OG0005772	Ds_00003807-RA, Ds_00017245-RA	AT5G62500.1, AT3G47690.1
OG0005773	Ds_00016077-RA	AT5G23110.1
OG0005774	Ds_00012706-RA	AT2G01735.2, AT2G01735.1
OG0005776	Ds_00008103-RA	AT5G46630.1, AT5G46630.2
OG0005778	Ds_00013262-RA	AT4G17140.3, AT4G17140.2, AT4G17140.1
OG0005779	Ds_00016260-RA	AT1G19020.1, AT3G48180.1
OG0005780	Ds_00002803-RA	AT4G16840.1, AT2G35658.2, AT2G35658.1, AT2G35658.3
OG0005781	Ds_00012440-RA	AT3G18100.1, AT3G18100.3, AT3G18100.4, AT3G18100.2
OG0005783	Ds_00008994-RA	AT1G10480.1
OG0005784	Ds_00007680-RA	AT5G15550.1, AT5G15550.3, AT5G15550.2
OG0005785	Ds_00008064-RA	AT5G14100.1
OG0005786	Ds_00002798-RA	AT5G63050.1, AT5G63050.2
OG0005787	Ds_00002215-RA	AT5G19150.2, AT5G19150.1
OG0005788	Ds_00008585-RA	AT1G68580.1, AT1G68580.4, AT1G68580.3, AT1G68580.5, AT1G68580.2
OG0005789	Ds_00003790-RA	AT2G41500.1, AT2G41500.2, AT2G05720.1
OG0005790	Ds_00016068-RA	AT1G17330.1
OG0005791	Ds_00003750-RA	AT3G48170.1, AT1G74920.2, AT1G74920.1
OG0005792	Ds_00006117-RA	AT1G65690.1, AT5G36970.1
OG0005793	Ds_00008938-RA	AT5G40400.2, AT5G40400.1
OG0005795	Ds_00012887-RA, Ds_00015712-RA	AT2G26695.1, AT2G26695.2
OG0005796	Ds_00005295-RA, Ds_00016535-RA	AT3G18215.1, AT3G18215.2
OG0005799	Ds_00001570-RA	AT1G02065.2, AT1G02065.1
OG0005800	Ds_00010523-RA, Ds_00009145-RA	AT1G13930.1, AT1G13930.3, AT1G13930.2, AT2G03440.1
OG0005803	Ds_00015142-RA	AT1G43260.1, AT5G31412.1
OG0005824	Ds_00004528-RA	AT5G24400.1
OG0005825	Ds_00006695-RA	AT5G13780.1
OG0005826	Ds_00008113-RA	AT3G62450.1
OG0005827	Ds_00016653-RA, Ds_00003695-RA, Ds_00016654-RA	AT5G26760.1, AT5G26760.2
OG0005828	Ds_00013960-RA	AT4G14700.1, AT4G12620.1
OG0005829	Ds_00003870-RA	AT1G08990.1, AT1G54940.1
OG0005830	Ds_00015614-RA	AT3G55960.1
OG0005831	Ds_00001663-RA, Ds_00001664-RA	AT5G02830.1
OG0005832	Ds_00015520-RA	AT5G16480.1, AT3G02800.1
OG0005836	Ds_00016518-RA	AT1G79010.1, AT1G16700.1
OG0005837	Ds_00015787-RA	AT3G52720.4, AT3G52720.1, AT3G52720.2, AT3G52720.3
OG0005839	Ds_00010478-RA	AT1G02720.1, AT1G02720.2, AT4G02130.3, AT4G02130.1, AT4G02130.2
OG0005840	Ds_00005095-RA	AT2G33420.1, AT1G04470.1
OG0005843	Ds_00013943-RA	AT5G12430.1
OG0005845	Ds_00007023-RA	AT3G07300.3, AT3G07300.1, AT3G07300.2
OG0005846	Ds_00012794-RA	ATMG00310.1
OG0005847	Ds_00013244-RA	AT3G11950.4, AT3G11950.2, AT3G11950.5, AT3G11950.1, AT3G11950.3
OG0005848	Ds_00006682-RA	AT1G65420.1
OG0005849	Ds_00004052-RA	AT5G16530.2, AT5G16530.1
OG0005850	Ds_00008194-RA	AT3G58140.1
OG0005851	Ds_00007513-RA	AT5G06990.1
OG0005851	Ds_00016213-RA	AT4G39610.1, AT2G21990.1
OG0005852	Ds_00000247-RA	AT3G54610.1
OG0005853	Ds_00011137-RA, Ds_00004865-RA	AT5G45620.1, AT4G19006.1
OG0005854	Ds_00013739-RA	AT1G65295.1
OG0005855	Ds_00005086-RA	AT2G33340.2, AT2G33340.1, AT2G33340.3, AT1G04510.1, AT1G04510.2
OG0005858	Ds_00005537-RA	AT2G32760.3, AT2G32760.2, AT2G32760.1
OG0005859	Ds_00013575-RA	AT4G38760.1
OG0005860	Ds_00004151-RA	AT2G10550.1, AT3G18630.1
OG0005861	Ds_00007372-RA	AT3G62040.1
