Orthogroup	D_spatulata.proteins	A_coerulea.proteins
OG0005031	Ds_00010803-RA	Aqcoe2G423900.3.p, Aqcoe2G423900.1.p, Aqcoe2G423900.2.p
OG0005034	Ds_00006872-RA, Ds_00014743-RA	Aqcoe2G086800.2.p, Aqcoe2G086800.3.p, Aqcoe2G086800.4.p, Aqcoe2G086800.1.p
OG0005035	Ds_00014751-RA	Aqcoe2G024700.2.p, Aqcoe2G024700.1.p
OG0005036	Ds_00005785-RA	Aqcoe2G033300.2.p, Aqcoe2G033300.1.p, Aqcoe2G033300.3.p, Aqcoe2G033300.4.p
OG0005037	Ds_00014220-RA	Aqcoe2G017200.1.p
OG0005038	Ds_00007431-RA	Aqcoe2G403400.1.p, Aqcoe1G099400.1.p
OG0005039	Ds_00010340-RA	Aqcoe2G095900.1.p
OG0005040	Ds_00010036-RA	Aqcoe2G071700.1.p, Aqcoe2G071000.1.p
OG0005041	Ds_00000991-RA	Aqcoe2G384000.3.p, Aqcoe2G384000.1.p, Aqcoe2G384000.2.p
OG0005042	Ds_00005531-RA, Ds_00008006-RA	Aqcoe2G012000.1.p, Aqcoe2G012000.2.p, Aqcoe2G012000.3.p, Aqcoe5G117500.1.p
OG0005043	Ds_00002730-RA	Aqcoe2G021700.1.p, Aqcoe1G061200.1.p
OG0005044	Ds_00006403-RA	Aqcoe2G359500.1.p, Aqcoe2G359500.2.p, Aqcoe2G364800.1.p, Aqcoe2G364800.2.p
OG0005045	Ds_00002057-RA	Aqcoe2G126100.1.p
OG0005046	Ds_00012762-RA	Aqcoe2G231000.1.p
OG0005047	Ds_00003920-RA, Ds_00017574-RA	Aqcoe2G275100.1.p
OG0005049	Ds_00010946-RA	Aqcoe2G350000.1.p
OG0005050	Ds_00005043-RA, Ds_00014653-RA	Aqcoe2G434900.1.p
OG0005051	Ds_00010048-RA	Aqcoe2G090100.1.p
OG0005053	Ds_00007643-RA	Aqcoe2G282500.1.p
OG0005054	Ds_00013611-RA, Ds_00016134-RA	Aqcoe5G246500.2.p, Aqcoe5G246500.1.p
OG0005055	Ds_00016041-RA	Aqcoe2G296700.1.p
OG0005056	Ds_00000862-RA, Ds_00009445-RA	Aqcoe2G046600.1.p, Aqcoe3G242800.1.p, Aqcoe1G444200.1.p
OG0005058	Ds_00004174-RA	Aqcoe2G223200.1.p, Aqcoe2G223300.1.p, Aqcoe3G123400.1.p
OG0005059	Ds_00016362-RA	Aqcoe2G071500.1.p
OG0005061	Ds_00011117-RA	Aqcoe2G066500.1.p
OG0005062	Ds_00002012-RA, Ds_00010275-RA	Aqcoe2G165700.1.p, Aqcoe2G165700.3.p, Aqcoe2G165700.2.p
OG0005064	Ds_00007432-RA	Aqcoe2G404700.1.p, Aqcoe2G404500.1.p
OG0005065	Ds_00004921-RA	Aqcoe1G110400.1.p, Aqcoe2G238200.1.p
OG0005067	Ds_00005534-RA, Ds_00009332-RA	Aqcoe2G402500.1.p
OG0005068	Ds_00006634-RA, Ds_00014940-RA	Aqcoe2G043400.1.p
OG0005069	Ds_00017370-RA	Aqcoe1G063400.2.p, Aqcoe1G063400.1.p, Aqcoe2G062200.1.p
OG0005070	Ds_00018069-RA, Ds_00010883-RA, Ds_00004388-RA	Aqcoe4G028900.3.p, Aqcoe4G028900.4.p, Aqcoe4G028900.1.p, Aqcoe4G028900.2.p, Aqcoe2G165200.1.p
OG0005071	Ds_00006659-RA, Ds_00006660-RA, Ds_00006662-RA, Ds_00006663-RA, Ds_00016756-RA	Aqcoe2G431400.2.p, Aqcoe2G431400.1.p
OG0005072	Ds_00015554-RA	Aqcoe2G120900.1.p, Aqcoe2G120900.3.p, Aqcoe2G120900.2.p
OG0005073	Ds_00014712-RA	Aqcoe1G470200.1.p
OG0005073	Ds_00016779-RA	Aqcoe2G180700.1.p
OG0005074	Ds_00004971-RA	Aqcoe2G436800.1.p, Aqcoe2G436800.2.p
OG0005076	Ds_00015945-RA	Aqcoe2G013800.1.p
OG0005077	Ds_00015794-RA, Ds_00015582-RA, Ds_00001250-RA	Aqcoe2G116500.1.p
OG0005078	Ds_00000980-RA	Aqcoe2G378500.2.p, Aqcoe2G378500.1.p
OG0005079	Ds_00011713-RA	Aqcoe2G199300.1.p
OG0005080	Ds_00000956-RA	Aqcoe2G291900.1.p
OG0005081	Ds_00007058-RA	Aqcoe2G410400.1.p
OG0005082	Ds_00014314-RA	Aqcoe2G080700.1.p, Aqcoe2G080700.2.p, Aqcoe2G080700.3.p
OG0005084	Ds_00002563-RA	Aqcoe6G221400.1.p, Aqcoe6G221400.2.p, Aqcoe6G221400.3.p
OG0005085	Ds_00010555-RA	Aqcoe6G240900.1.p, Aqcoe6G205600.1.p
OG0005086	Ds_00009391-RA	Aqcoe6G273400.1.p
OG0005089	Ds_00011709-RA	Aqcoe6G265600.1.p
OG0005090	Ds_00010857-RA	Aqcoe6G024100.1.p
OG0005091	Ds_00013414-RA	Aqcoe6G050200.1.p, Aqcoe6G050200.2.p
OG0005092	Ds_00015743-RA	Aqcoe6G109100.1.p
OG0005094	Ds_00001515-RA	Aqcoe6G024900.2.p, Aqcoe6G024900.1.p
OG0005095	Ds_00001185-RA	Aqcoe1G245700.2.p, Aqcoe6G169900.3.p, Aqcoe6G169900.2.p, Aqcoe6G169900.1.p, Aqcoe1G245700.1.p
OG0005096	Ds_00008196-RA	Aqcoe6G135600.5.p, Aqcoe6G135600.4.p, Aqcoe6G135600.3.p, Aqcoe6G135600.1.p, Aqcoe6G135600.2.p
OG0005097	Ds_00001409-RA	Aqcoe6G048500.1.p
OG0005098	Ds_00005982-RA	Aqcoe6G157600.2.p, Aqcoe6G157600.1.p
OG0005099	Ds_00015164-RA, Ds_00017837-RA	Aqcoe1G208100.1.p, Aqcoe6G163900.1.p, Aqcoe6G163900.2.p
OG0005100	Ds_00014493-RA	Aqcoe6G254700.1.p, Aqcoe5G179900.1.p, Aqcoe5G179800.1.p
OG0005101	Ds_00014482-RA, Ds_00014495-RA, Ds_00014500-RA	Aqcoe6G255800.3.p, Aqcoe6G255800.2.p, Aqcoe6G255800.1.p
OG0005103	Ds_00006136-RA	Aqcoe6G007200.2.p, Aqcoe6G007200.1.p
OG0005104	Ds_00001507-RA	Aqcoe6G033300.1.p
OG0005105	Ds_00000541-RA, Ds_00000543-RA	Aqcoe4G225500.1.p, Aqcoe6G295100.1.p, Aqcoe6G295300.1.p, Aqcoe6G295500.1.p
OG0005106	Ds_00001483-RA	Aqcoe6G268200.1.p
OG0005107	Ds_00011979-RA	Aqcoe6G186900.1.p, Aqcoe6G186900.2.p
OG0005108	Ds_00007884-RA	Aqcoe5G200400.1.p
OG0005109	Ds_00006636-RA	Aqcoe6G092900.2.p, Aqcoe6G092900.1.p, Aqcoe6G092900.3.p
OG0005110	Ds_00001873-RA, Ds_00014008-RA, Ds_00014010-RA	Aqcoe6G012100.1.p
OG0005112	Ds_00008427-RA	Aqcoe6G325400.1.p
OG0005114	Ds_00000044-RA	Aqcoe6G213100.3.p, Aqcoe6G213100.5.p, Aqcoe6G213100.6.p, Aqcoe6G213100.1.p, Aqcoe6G213100.2.p, Aqcoe6G213100.4.p
OG0005115	Ds_00006520-RA	Aqcoe6G327400.3.p, Aqcoe6G327400.1.p, Aqcoe6G327400.2.p, Aqcoe6G327400.4.p, Aqcoe0705s0001.1.p, Aqcoe3G135700.1.p
OG0005116	Ds_00000183-RA	Aqcoe6G069900.1.p, Aqcoe6G069900.2.p
OG0005118	Ds_00013011-RA, Ds_00013583-RA	Aqcoe6G221900.1.p
OG0005119	Ds_00002912-RA	Aqcoe6G015600.2.p, Aqcoe6G015600.1.p
OG0005120	Ds_00014026-RA	Aqcoe6G296500.1.p
OG0005121	Ds_00013648-RA	Aqcoe5G304200.1.p
OG0005122	Ds_00007540-RA	Aqcoe6G168500.1.p, Aqcoe6G168500.2.p, Aqcoe7G273200.3.p, Aqcoe6G168500.4.p, Aqcoe6G168500.3.p, Aqcoe7G273200.1.p, Aqcoe7G273200.2.p
OG0005125	Ds_00002238-RA	Aqcoe6G062000.1.p
OG0005126	Ds_00013999-RA	Aqcoe6G004900.1.p
OG0005127	Ds_00000019-RA	Aqcoe6G063600.2.p, Aqcoe6G063600.1.p
OG0005128	Ds_00003387-RA	Aqcoe5G176700.1.p, Aqcoe5G176700.2.p, Aqcoe6G244300.1.p
OG0005129	Ds_00012164-RA	Aqcoe7G117500.2.p, Aqcoe7G117500.1.p, Aqcoe6G062900.1.p, Aqcoe7G117300.1.p, Aqcoe7G117300.2.p
OG0005130	Ds_00002663-RA	Aqcoe3G188000.2.p, Aqcoe3G188000.3.p, Aqcoe3G188000.1.p, Aqcoe6G030500.1.p
OG0005131	Ds_00000367-RA	Aqcoe6G129900.1.p
OG0005132	Ds_00006796-RA	Aqcoe6G104300.1.p
OG0005132	Ds_00004351-RA	Aqcoe5G204000.1.p
OG0005133	Ds_00006799-RA	Aqcoe5G206400.1.p, Aqcoe5G206700.1.p, Aqcoe5G199000.1.p, Aqcoe5G199100.1.p, Aqcoe6G086100.1.p, Aqcoe5G199300.1.p, Aqcoe5G206600.1.p, Aqcoe6G110800.1.p
OG0005134	Ds_00012219-RA	Aqcoe6G156500.1.p
OG0005135	Ds_00003612-RA	Aqcoe5G162500.1.p, Aqcoe6G156100.1.p
OG0005136	Ds_00001127-RA, Ds_00007761-RA	Aqcoe6G001200.2.p, Aqcoe6G001200.1.p
OG0005137	Ds_00012215-RA	Aqcoe6G093900.1.p
OG0005138	Ds_00016533-RA	Aqcoe6G056500.4.p, Aqcoe6G056500.5.p, Aqcoe6G056500.6.p, Aqcoe6G056500.2.p, Aqcoe6G056500.1.p, Aqcoe6G056500.3.p
OG0005139	Ds_00007975-RA	Aqcoe0680s0001.2.p, Aqcoe0680s0001.1.p, Aqcoe7G329300.1.p
OG0005140	Ds_00001787-RA	Aqcoe4G073100.1.p, Aqcoe4G073100.2.p
OG0005141	Ds_00010431-RA	Aqcoe4G046200.1.p, Aqcoe3G354700.1.p
OG0005143	Ds_00005707-RA	Aqcoe4G290000.1.p, Aqcoe4G291700.1.p, Aqcoe4G291700.2.p, Aqcoe4G291700.3.p
OG0005145	Ds_00005309-RA	Aqcoe4G053200.1.p, Aqcoe4G053200.2.p, Aqcoe4G053900.1.p, Aqcoe4G054400.1.p, Aqcoe4G053300.2.p, Aqcoe4G053300.4.p, Aqcoe4G053300.1.p, Aqcoe4G053300.3.p
OG0005146	Ds_00011173-RA, Ds_00011175-RA, Ds_00011171-RA, Ds_00001592-RA, Ds_00011177-RA, Ds_00005877-RA, Ds_00004431-RA	Aqcoe4G310600.1.p
OG0005147	Ds_00015384-RA, Ds_00011751-RA	Aqcoe4G197700.1.p
OG0005148	Ds_00007215-RA, Ds_00011474-RA, Ds_00007216-RA	Aqcoe7G375300.3.p, Aqcoe7G375300.2.p, Aqcoe7G375300.1.p, Aqcoe4G168600.1.p, Aqcoe3G270200.1.p
OG0005149	Ds_00002653-RA	Aqcoe3G439400.3.p, Aqcoe3G439400.4.p, Aqcoe3G439400.1.p, Aqcoe3G439400.2.p, Aqcoe4G200500.1.p
OG0005152	Ds_00013302-RA	Aqcoe4G001300.1.p, Aqcoe7G441500.1.p, Aqcoe1G232300.2.p, Aqcoe1G232300.1.p, Aqcoe1G232300.3.p, Aqcoe1G232300.4.p
OG0005153	Ds_00010652-RA	Aqcoe4G259900.1.p
OG0005154	Ds_00017529-RA, Ds_00007218-RA	Aqcoe4G311900.1.p
OG0005156	Ds_00015655-RA	Aqcoe5G250300.1.p, Aqcoe5G250200.1.p, Aqcoe4G082000.1.p
OG0005157	Ds_00009936-RA	Aqcoe4G111900.1.p, Aqcoe7G403000.2.p, Aqcoe7G403000.1.p
OG0005158	Ds_00011755-RA	Aqcoe4G209600.2.p, Aqcoe4G209600.1.p, Aqcoe4G209600.3.p, Aqcoe4G209600.4.p
OG0005160	Ds_00005312-RA	Aqcoe7G338700.1.p
OG0005161	Ds_00014271-RA	Aqcoe7G193800.1.p
OG0005162	Ds_00010176-RA	Aqcoe7G320900.1.p, Aqcoe7G035000.1.p, Aqcoe7G035000.2.p
OG0005163	Ds_00008797-RA	Aqcoe7G054300.1.p
OG0005164	Ds_00000734-RA	Aqcoe7G170900.1.p
OG0005167	Ds_00001362-RA, Ds_00014624-RA	Aqcoe7G084100.2.p, Aqcoe7G084100.1.p, Aqcoe7G084200.1.p
OG0005169	Ds_00004227-RA	Aqcoe7G088400.1.p
OG0005170	Ds_00004612-RA	Aqcoe7G043400.1.p
OG0005171	Ds_00015730-RA	Aqcoe7G267300.1.p
OG0005172	Ds_00003573-RA	Aqcoe7G039200.2.p
OG0005172	Ds_00001613-RA, Ds_00016493-RA	Aqcoe7G039200.1.p
OG0005173	Ds_00012897-RA	Aqcoe1G273400.4.p, Aqcoe1G273400.6.p, Aqcoe1G273400.5.p, Aqcoe5G414400.1.p, Aqcoe7G244700.1.p, Aqcoe1G273400.2.p, Aqcoe1G273400.1.p, Aqcoe1G273400.3.p
OG0005174	Ds_00001774-RA	Aqcoe7G245100.1.p, Aqcoe1G302900.1.p, Aqcoe1G302900.2.p, Aqcoe1G302900.3.p, Aqcoe3G092400.2.p, Aqcoe3G092400.1.p
OG0005175	Ds_00007247-RA	Aqcoe7G385900.1.p, Aqcoe7G264300.1.p
OG0005176	Ds_00009869-RA, Ds_00009870-RA, Ds_00016439-RA, Ds_00017628-RA	Aqcoe7G339000.1.p
OG0005177	Ds_00004214-RA	Aqcoe7G368200.1.p
OG0005178	Ds_00008796-RA	Aqcoe7G053700.4.p, Aqcoe7G053700.1.p, Aqcoe7G053700.2.p, Aqcoe7G053700.3.p
OG0005179	Ds_00008930-RA, Ds_00008929-RA, Ds_00008674-RA	Aqcoe7G011800.1.p
OG0005180	Ds_00004589-RA	Aqcoe7G034200.1.p, Aqcoe7G034100.1.p, Aqcoe7G034200.2.p, Aqcoe7G034200.3.p, Aqcoe7G034300.2.p, Aqcoe7G034300.1.p
OG0005182	Ds_00010638-RA	Aqcoe7G432800.1.p
OG0005183	Ds_00005080-RA	Aqcoe7G165900.3.p, Aqcoe7G165900.1.p, Aqcoe7G165900.2.p
OG0005184	Ds_00016625-RA	Aqcoe7G045700.1.p
OG0005185	Ds_00007532-RA	Aqcoe7G159900.1.p
OG0005186	Ds_00003382-RA	Aqcoe7G283600.1.p, Aqcoe7G283600.2.p
OG0005187	Ds_00008647-RA	Aqcoe7G096400.1.p
OG0005188	Ds_00007270-RA	Aqcoe7G278800.1.p
OG0005189	Ds_00002365-RA	Aqcoe7G135900.1.p
OG0005190	Ds_00008047-RA	Aqcoe7G104100.1.p, Aqcoe5G358200.1.p, Aqcoe3G096200.2.p, Aqcoe3G096200.1.p
OG0005191	Ds_00000695-RA	Aqcoe7G207500.1.p
OG0005192	Ds_00017756-RA	Aqcoe7G117600.1.p
OG0005193	Ds_00002113-RA, Ds_00007734-RA	Aqcoe7G052800.1.p
OG0005194	Ds_00017977-RA	Aqcoe7G099900.1.p
OG0005195	Ds_00000438-RA	Aqcoe7G299900.1.p
OG0005196	Ds_00000704-RA	Aqcoe7G194300.1.p
OG0005197	Ds_00017950-RA	Aqcoe7G435300.1.p
OG0005198	Ds_00007660-RA	Aqcoe7G070000.1.p
OG0005199	Ds_00003461-RA	Aqcoe7G143600.1.p
OG0005200	Ds_00009637-RA	Aqcoe7G380500.1.p
OG0005201	Ds_00015099-RA	Aqcoe7G217300.1.p, Aqcoe7G217300.2.p
OG0005202	Ds_00007619-RA	Aqcoe7G235200.1.p, Aqcoe3G071800.1.p, Aqcoe7G412100.1.p
OG0005203	Ds_00015853-RA	Aqcoe7G022800.1.p, Aqcoe7G022800.2.p
OG0005204	Ds_00000653-RA	Aqcoe7G383800.1.p
OG0005205	Ds_00003560-RA, Ds_00016476-RA	Aqcoe7G051200.1.p, Aqcoe7G051200.2.p
OG0005206	Ds_00000678-RA	Aqcoe7G391200.3.p, Aqcoe7G391200.2.p, Aqcoe7G391200.1.p
OG0005207	Ds_00004597-RA, Ds_00003570-RA	Aqcoe7G038500.1.p
OG0005209	Ds_00012782-RA	Aqcoe7G285200.1.p
OG0005210	Ds_00016456-RA	Aqcoe7G350700.1.p, Aqcoe7G350700.2.p
OG0005211	Ds_00007187-RA, Ds_00009678-RA	Aqcoe7G362300.2.p, Aqcoe7G362200.1.p, Aqcoe7G362300.1.p
OG0005212	Ds_00012051-RA	Aqcoe7G039500.2.p, Aqcoe7G039500.1.p
OG0005213	Ds_00002374-RA	Aqcoe7G427700.1.p, Aqcoe7G427700.3.p, Aqcoe7G427700.2.p, Aqcoe7G427700.4.p
OG0005214	Ds_00017345-RA	Aqcoe5G283400.1.p, Aqcoe7G338300.1.p
OG0005215	Ds_00011478-RA	Aqcoe7G282800.1.p
OG0005216	Ds_00002346-RA	Aqcoe7G430000.1.p
OG0005217	Ds_00002099-RA	Aqcoe7G040000.4.p, Aqcoe7G040000.2.p, Aqcoe7G040000.3.p, Aqcoe7G040000.1.p
OG0005218	Ds_00010434-RA	Aqcoe7G130300.2.p, Aqcoe7G130300.1.p
OG0005219	Ds_00002464-RA	Aqcoe7G295600.2.p, Aqcoe7G295600.1.p
OG0005219	Ds_00011451-RA	Aqcoe7G362400.1.p
OG0005220	Ds_00012814-RA, Ds_00002380-RA	Aqcoe7G125000.1.p
OG0005222	Ds_00009935-RA, Ds_00014592-RA	Aqcoe7G170400.1.p
OG0005223	Ds_00009364-RA, Ds_00012649-RA	Aqcoe1G006300.2.p, Aqcoe1G006300.1.p
OG0005224	Ds_00005838-RA, Ds_00010280-RA	Aqcoe1G143400.2.p, Aqcoe1G143400.1.p
OG0005225	Ds_00005208-RA, Ds_00004110-RA	Aqcoe1G490400.1.p, Aqcoe1G490500.1.p, Aqcoe1G490300.1.p
OG0005226	Ds_00016115-RA	Aqcoe1G026800.1.p
OG0005227	Ds_00007418-RA	Aqcoe1G085500.1.p
OG0005228	Ds_00014828-RA	Aqcoe1G253100.1.p, Aqcoe1G253100.2.p
OG0005230	Ds_00007747-RA	Aqcoe1G193200.2.p, Aqcoe1G193200.3.p, Aqcoe1G193200.4.p, Aqcoe1G193200.1.p
OG0005231	Ds_00010143-RA	Aqcoe1G082000.1.p
OG0005232	Ds_00015079-RA	Aqcoe1G455700.1.p, Aqcoe1G455700.6.p
OG0005232	Ds_00004438-RA	Aqcoe3G422800.1.p, Aqcoe3G422800.2.p
OG0005233	Ds_00016726-RA	Aqcoe1G107500.1.p, Aqcoe1G107500.2.p
OG0005234	Ds_00013446-RA	Aqcoe1G243100.1.p, Aqcoe1G243100.3.p, Aqcoe1G243100.4.p, Aqcoe1G243100.2.p
OG0005235	Ds_00011232-RA	Aqcoe1G432300.1.p, Aqcoe1G432300.2.p
OG0005237	Ds_00010493-RA	Aqcoe3G133800.1.p, Aqcoe3G133800.2.p, Aqcoe1G151300.1.p
OG0005238	Ds_00006262-RA, Ds_00006162-RA	Aqcoe1G310800.1.p, Aqcoe5G034000.1.p
OG0005239	Ds_00016531-RA, Ds_00015658-RA, Ds_00015659-RA	Aqcoe1G484300.1.p
OG0005240	Ds_00010788-RA, Ds_00014894-RA	Aqcoe1G069600.1.p
OG0005241	Ds_00012270-RA	Aqcoe1G365200.1.p, Aqcoe1G365200.2.p
OG0005242	Ds_00009581-RA	Aqcoe1G032500.1.p
OG0005243	Ds_00011727-RA	Aqcoe1G346800.2.p, Aqcoe1G346800.6.p, Aqcoe1G346800.3.p, Aqcoe1G346800.5.p, Aqcoe1G346800.7.p, Aqcoe1G346800.4.p, Aqcoe1G346800.1.p, Aqcoe5G248600.1.p
OG0005244	Ds_00008263-RA	Aqcoe1G428600.1.p
OG0005245	Ds_00014334-RA	Aqcoe1G051000.1.p
OG0005246	Ds_00014824-RA	Aqcoe1G260100.1.p
OG0005247	Ds_00014721-RA	Aqcoe1G472200.2.p, Aqcoe1G472200.1.p, Aqcoe1G472200.3.p
OG0005248	Ds_00004348-RA	Aqcoe1G434900.1.p
OG0005249	Ds_00007415-RA	Aqcoe1G188700.1.p
OG0005250	Ds_00004728-RA, Ds_00006804-RA	Aqcoe1G162700.2.p, Aqcoe1G162700.1.p
OG0005252	Ds_00005237-RA	Aqcoe1G133000.2.p, Aqcoe1G133000.1.p
OG0005253	Ds_00008184-RA	Aqcoe1G019300.5.p, Aqcoe1G019300.4.p, Aqcoe1G019300.2.p, Aqcoe1G019300.3.p, Aqcoe1G019300.1.p, Aqcoe3G021600.1.p
OG0005254	Ds_00012657-RA, Ds_00009373-RA	Aqcoe1G008100.2.p, Aqcoe1G008100.1.p
OG0005255	Ds_00017456-RA	Aqcoe1G406000.2.p, Aqcoe1G406000.1.p, Aqcoe5G453800.1.p, Aqcoe5G453800.2.p, Aqcoe3G293400.1.p, Aqcoe5G435300.1.p
OG0005256	Ds_00009706-RA	Aqcoe1G382500.1.p, Aqcoe1G382500.3.p, Aqcoe1G382500.2.p
OG0005257	Ds_00001732-RA	Aqcoe1G280100.3.p, Aqcoe1G280100.2.p, Aqcoe1G280100.1.p
OG0005258	Ds_00000826-RA	Aqcoe1G028300.1.p
OG0005260	Ds_00001978-RA	Aqcoe1G222600.1.p, Aqcoe1G222600.2.p
OG0005262	Ds_00001131-RA	Aqcoe1G408200.2.p, Aqcoe1G408200.3.p, Aqcoe1G408200.1.p, Aqcoe5G001900.1.p
OG0005263	Ds_00006044-RA	Aqcoe1G453000.2.p, Aqcoe1G453000.1.p
OG0005264	Ds_00004476-RA	Aqcoe1G345800.5.p, Aqcoe1G345800.4.p, Aqcoe1G345800.6.p, Aqcoe1G345800.3.p, Aqcoe1G345800.1.p, Aqcoe1G345800.2.p
OG0005265	Ds_00011027-RA	Aqcoe1G018500.1.p
OG0005266	Ds_00015261-RA	Aqcoe1G105100.1.p, Aqcoe1G105200.1.p, Aqcoe1G105200.2.p
OG0005267	Ds_00009370-RA	Aqcoe1G006800.1.p
OG0005268	Ds_00012644-RA	Aqcoe1G004800.1.p, Aqcoe1G004800.2.p
OG0005269	Ds_00015600-RA	Aqcoe1G157600.1.p
OG0005270	Ds_00004752-RA	Aqcoe1G158600.2.p, Aqcoe1G158600.1.p
OG0005271	Ds_00006234-RA	Aqcoe1G002000.1.p
OG0005272	Ds_00002049-RA, Ds_00002047-RA, Ds_00011770-RA	Aqcoe1G291100.1.p
OG0005273	Ds_00006833-RA	Aqcoe1G500500.2.p, Aqcoe1G500500.1.p
OG0005274	Ds_00010507-RA	Aqcoe3G366800.3.p, Aqcoe3G366800.1.p, Aqcoe3G366800.2.p, Aqcoe1G280200.1.p
OG0005275	Ds_00006885-RA	Aqcoe3G348200.1.p, Aqcoe1G406100.1.p, Aqcoe3G348200.2.p
OG0005276	Ds_00002684-RA	Aqcoe1G013600.1.p
OG0005277	Ds_00016676-RA, Ds_00016675-RA, Ds_00010945-RA	Aqcoe1G370300.1.p, Aqcoe1G370300.2.p
OG0005278	Ds_00007620-RA	Aqcoe1G362100.2.p, Aqcoe3G285600.1.p, Aqcoe1G362100.1.p
OG0005279	Ds_00000913-RA	Aqcoe0204s0002.1.p, Aqcoe0204s0003.1.p, Aqcoe5G081000.1.p
OG0005280	Ds_00002386-RA	Aqcoe5G469400.1.p
OG0005281	Ds_00005093-RA, Ds_00013827-RA	Aqcoe5G424500.1.p
OG0005282	Ds_00010707-RA	Aqcoe3G141400.1.p, Aqcoe5G396800.1.p
OG0005283	Ds_00008073-RA	Aqcoe5G345700.1.p
OG0005285	Ds_00000026-RA, Ds_00013022-RA	Aqcoe5G210600.2.p, Aqcoe5G210600.1.p
OG0005286	Ds_00006561-RA	Aqcoe5G182300.1.p
OG0005287	Ds_00004595-RA	Aqcoe5G404700.1.p
OG0005288	Ds_00007816-RA	Aqcoe5G031900.1.p
OG0005289	Ds_00008378-RA	Aqcoe5G438800.1.p
OG0005290	Ds_00010765-RA	Aqcoe5G360300.2.p, Aqcoe5G360300.3.p, Aqcoe5G360300.1.p
OG0005291	Ds_00002874-RA	Aqcoe5G471300.1.p
OG0005292	Ds_00002856-RA	Aqcoe5G467900.1.p, Aqcoe5G467900.3.p, Aqcoe5G467900.2.p
OG0005293	Ds_00012584-RA	Aqcoe5G459400.2.p, Aqcoe5G459400.3.p, Aqcoe5G459400.1.p
OG0005294	Ds_00004979-RA, Ds_00004985-RA	Aqcoe5G007000.3.p, Aqcoe5G007000.1.p, Aqcoe5G007000.2.p
OG0005295	Ds_00007725-RA	Aqcoe5G456100.1.p
OG0005296	Ds_00017631-RA	Aqcoe5G164400.1.p
OG0005297	Ds_00003162-RA	Aqcoe5G047400.4.p, Aqcoe5G047400.1.p, Aqcoe5G047400.3.p, Aqcoe5G047400.2.p
OG0005298	Ds_00003078-RA	Aqcoe5G074800.1.p
OG0005299	Ds_00012475-RA	Aqcoe5G428900.2.p, Aqcoe5G428900.1.p
OG0005300	Ds_00002845-RA	Aqcoe5G460200.2.p, Aqcoe5G460200.1.p, Aqcoe5G460300.2.p, Aqcoe5G460300.1.p
OG0005301	Ds_00011899-RA	Aqcoe5G459500.1.p
OG0005302	Ds_00010882-RA	Aqcoe5G283900.1.p
OG0005303	Ds_00003888-RA, Ds_00006328-RA	Aqcoe5G085100.1.p
OG0005304	Ds_00004309-RA	Aqcoe5G241100.1.p
OG0005305	Ds_00003254-RA	Aqcoe5G295300.4.p, Aqcoe5G295300.5.p, Aqcoe5G295300.3.p, Aqcoe5G295300.1.p, Aqcoe5G308800.1.p, Aqcoe5G295300.2.p
OG0005306	Ds_00006398-RA	Aqcoe5G043200.1.p, Aqcoe5G043200.2.p
OG0005307	Ds_00008620-RA	Aqcoe5G046500.1.p
OG0005308	Ds_00006457-RA, Ds_00014089-RA	Aqcoe5G025000.1.p, Aqcoe5G025000.2.p
OG0005309	Ds_00013389-RA, Ds_00013390-RA	Aqcoe5G219500.1.p
OG0005310	Ds_00005085-RA	Aqcoe5G017200.2.p, Aqcoe5G017200.1.p
OG0005312	Ds_00015254-RA	Aqcoe3G398700.1.p, Aqcoe3G398700.2.p
OG0005312	Ds_00007130-RA, Ds_00007601-RA	Aqcoe5G012300.1.p
OG0005313	Ds_00016708-RA, Ds_00001432-RA	Aqcoe5G119500.1.p
OG0005314	Ds_00010756-RA	Aqcoe5G368300.2.p, Aqcoe5G368300.1.p
OG0005315	Ds_00016561-RA	Aqcoe5G212500.1.p, Aqcoe5G212500.4.p, Aqcoe5G212500.6.p, Aqcoe5G212500.5.p, Aqcoe5G212500.2.p, Aqcoe5G212500.3.p
OG0005316	Ds_00003932-RA	Aqcoe5G298600.3.p, Aqcoe5G298600.1.p, Aqcoe5G298600.2.p
OG0005317	Ds_00006116-RA	Aqcoe3G438400.1.p
OG0005318	Ds_00010155-RA, Ds_00001096-RA	Aqcoe3G328000.1.p
OG0005319	Ds_00010526-RA	Aqcoe3G357200.2.p, Aqcoe3G357200.1.p
OG0005320	Ds_00010558-RA, Ds_00008444-RA	Aqcoe3G345900.1.p
OG0005321	Ds_00015256-RA	Aqcoe3G045600.1.p, Aqcoe3G045600.2.p
OG0005322	Ds_00013499-RA	Aqcoe3G374200.1.p, Aqcoe3G374200.2.p, Aqcoe3G374300.2.p, Aqcoe3G374300.1.p, Aqcoe3G374500.2.p, Aqcoe3G374500.1.p, Aqcoe3G374400.3.p, Aqcoe3G374400.2.p, Aqcoe3G374400.1.p
OG0005325	Ds_00011394-RA	Aqcoe3G282300.3.p, Aqcoe3G282300.2.p, Aqcoe3G282300.1.p
OG0005326	Ds_00008173-RA, Ds_00008174-RA	Aqcoe3G426200.1.p
OG0005328	Ds_00000161-RA	Aqcoe3G037700.1.p, Aqcoe3G037700.3.p, Aqcoe3G037700.4.p, Aqcoe3G037700.5.p, Aqcoe3G037700.2.p
