Orthogroup	V_vinifera.proteins	A_hypochondriacus.proteins
OG0003903	VIT_208s0040g01940.2, VIT_208s0040g01940.1, VIT_206s0004g02970.1	AH021988-RA
OG0003904	VIT_218s0001g03520.1	AH008980-RA
OG0003905	VIT_210s0116g01400.1	AH021491-RA
OG0003906	VIT_213s0074g00300.7, VIT_213s0074g00300.8, VIT_213s0074g00300.6, VIT_213s0074g00300.4, VIT_213s0074g00300.1, VIT_213s0074g00300.5, VIT_213s0074g00300.2, VIT_213s0074g00300.3	AH007922-RA
OG0003907	VIT_212s0134g00060.1, VIT_219s0014g04760.1, VIT_204s0023g03210.1	AH020920-RA, AH002465-RA, AH000678-RA
OG0003908	VIT_210s0003g00300.1, VIT_210s0003g00300.2, VIT_210s0003g00300.3	AH015258-RA
OG0003909	VIT_213s0156g00080.1	AH008306-RA
OG0003910	VIT_200s0265g00060.1, VIT_200s1787g00005.1	AH015227-RA, AH015228-RA
OG0003911	VIT_206s0004g02100.3, VIT_206s0004g02100.1, VIT_206s0004g02100.2	AH013984-RA, AH020691-RA
OG0003912	VIT_213s0073g00310.3, VIT_213s0073g00310.1, VIT_213s0073g00310.2, VIT_206s0009g00680.1, VIT_206s0009g00680.2	AH006957-RA
OG0003914	VIT_212s0028g00310.1, VIT_212s0028g00310.2	AH001151-RA
OG0003915	VIT_213s0084g00680.3, VIT_213s0084g00680.4, VIT_213s0084g00680.1, VIT_213s0084g00680.2, VIT_213s0084g00680.5	AH015662-RA
OG0003916	VIT_213s0067g00660.1, VIT_213s0067g00660.3, VIT_213s0067g00660.4, VIT_213s0067g00660.2, VIT_213s0067g00660.5, VIT_213s0067g00660.6	AH023084-RA
OG0003917	VIT_219s0093g00620.1	AH007952-RA
OG0003918	VIT_218s0001g02820.4, VIT_218s0001g02820.9, VIT_218s0001g02820.10, VIT_218s0001g02820.7, VIT_218s0001g02820.8, VIT_218s0001g02820.6, VIT_218s0001g02820.3, VIT_218s0001g02820.2, VIT_218s0001g02820.1, VIT_218s0001g02820.5, VIT_213s0019g02400.1	AH020152-RA
OG0003919	VIT_200s0220g00110.2, VIT_200s0220g00110.1	AH007479-RA, AH011106-RA
OG0003921	VIT_210s0003g05030.2, VIT_210s0003g05030.1	AH002048-RA
OG0003922	VIT_205s0029g01070.1, VIT_205s0029g01070.2, VIT_205s0029g01070.3	AH006634-RA, AH020494-RA
OG0003923	VIT_210s0003g04360.2, VIT_210s0003g04360.1, VIT_210s0003g04360.3, VIT_210s0003g04360.5, VIT_210s0003g04360.6	AH021273-RA
OG0003924	VIT_210s0116g01640.3, VIT_210s0116g01640.1, VIT_210s0116g01640.2	AH021496-RA
OG0003925	VIT_213s0019g03390.2, VIT_213s0019g03390.3, VIT_213s0019g03390.4, VIT_213s0019g03390.1	AH016357-RA, AH023050-RA, AH016356-RA
OG0003926	VIT_206s0004g02070.9, VIT_206s0004g02070.7, VIT_206s0004g02070.1, VIT_206s0004g02070.6, VIT_206s0004g02070.2, VIT_206s0004g02070.8, VIT_206s0004g02070.11, VIT_206s0004g02070.12, VIT_206s0004g02070.3, VIT_206s0004g02070.4, VIT_206s0004g02070.5, VIT_206s0004g02070.10	AH011005-RA
OG0003927	VIT_207s0005g03100.1	AH007586-RA, AH017731-RA
OG0003928	VIT_212s0057g01310.1	AH023623-RA, AH023541-RA, AH023485-RA, AH023485-RB
OG0003929	VIT_219s0014g00340.2, VIT_219s0014g00340.1, VIT_219s0014g00340.3	AH010304-RA, AH007978-RA
OG0003930	VIT_219s0014g03140.3, VIT_219s0014g03140.2, VIT_219s0014g03140.1	AH008095-RA
OG0003931	VIT_218s0164g00060.1	AH007639-RA
OG0003932	VIT_213s0019g05160.1	AH012485-RA
OG0003933	VIT_205s0094g00850.1, VIT_205s0094g00850.4, VIT_205s0094g00850.6, VIT_205s0094g00850.3, VIT_205s0094g00850.5, VIT_205s0094g00850.2	AH020037-RA
OG0003934	VIT_213s0067g00070.1, VIT_213s0067g00500.1, VIT_213s0067g00430.1	AH020500-RA
OG0003935	VIT_212s0057g00880.2, VIT_212s0057g00880.1	AH013186-RA
OG0003936	VIT_207s0095g00050.1, VIT_213s0019g01030.1	AH015707-RA
OG0003937	VIT_213s0067g03620.3, VIT_213s0067g03620.5, VIT_213s0067g03620.7, VIT_213s0067g03620.6, VIT_213s0067g03620.1, VIT_213s0067g03620.4, VIT_213s0067g03620.2	AH023513-RA
OG0003938	VIT_214s0030g01810.1	AH010784-RA, AH007729-RA
OG0003939	VIT_218s0001g01990.1	AH003081-RA
OG0003940	VIT_207s0031g00200.1, VIT_203s0063g00060.1	AH003942-RA, AH006130-RA
OG0003941	VIT_203s0038g02240.2, VIT_203s0038g02240.1, VIT_218s0001g14550.1	AH016769-RA
OG0003942	VIT_214s0068g01400.1	AH004940-RA
OG0003943	VIT_211s0052g01850.1	AH022860-RA
OG0003944	VIT_215s0048g02590.1, VIT_215s0048g02590.2	AH009487-RA
OG0003945	VIT_212s0035g02030.4, VIT_212s0035g02030.3, VIT_212s0035g02030.2, VIT_212s0035g02030.1	AH004237-RA
OG0003947	VIT_216s0098g01000.1	AH011905-RA, AH014041-RA, AH013626-RA, AH019723-RA
OG0003949	VIT_218s0122g01040.2, VIT_218s0122g01040.4, VIT_218s0122g01040.1, VIT_218s0122g01040.3	AH001688-RA, AH000978-RA, AH016886-RA
OG0003950	VIT_216s0050g00110.1, VIT_216s0050g00110.2, VIT_216s0050g00110.3	AH012387-RA
OG0003951	VIT_214s0068g01370.4, VIT_214s0068g01370.3, VIT_214s0068g01370.2, VIT_214s0068g01370.1, VIT_209s0054g00420.1	AH005151-RA, AH004286-RA
OG0003952	VIT_203s0038g02970.2, VIT_203s0038g02970.1, VIT_203s0038g02970.4, VIT_203s0038g02970.3	AH002310-RA
OG0003953	VIT_203s0063g02060.2, VIT_203s0063g02060.4, VIT_203s0063g02060.6, VIT_203s0063g02060.5, VIT_203s0063g02060.3, VIT_203s0063g02060.1	AH000551-RA
OG0003954	VIT_214s0068g02160.1	AH006282-RA
OG0003955	VIT_206s0004g00360.1, VIT_208s0040g03200.1	AH003182-RA, AH017934-RA, AH017931-RA, AH017932-RA
OG0003956	VIT_207s0104g00460.2, VIT_214s0128g00400.3, VIT_214s0128g00400.4, VIT_214s0128g00400.2, VIT_214s0128g00400.1	AH007556-RA, AH010455-RA
OG0003957	VIT_205s0020g01200.1	AH006976-RA, AH020182-RA
OG0003958	VIT_211s0016g01370.2, VIT_211s0016g01370.1	AH014564-RA
OG0003959	VIT_207s0031g00800.3, VIT_207s0031g00800.4, VIT_207s0031g00800.5, VIT_207s0031g00800.2, VIT_207s0031g00800.1, VIT_203s0063g00670.1	AH003724-RA
OG0003960	VIT_205s0094g00440.1	AH001799-RA
OG0003961	VIT_207s0185g00030.2, VIT_207s0185g00030.3, VIT_207s0185g00030.1	AH013098-RA
OG0003962	VIT_215s0024g01010.5, VIT_215s0024g01010.4, VIT_215s0024g01010.2, VIT_215s0024g01010.3, VIT_215s0024g01010.1, VIT_215s0024g00980.1, VIT_215s0024g00980.2	AH017414-RA
OG0003963	VIT_203s0063g01390.1	AH000598-RA
OG0003964	VIT_218s0001g05780.2, VIT_218s0001g05780.1	AH008733-RA
OG0003965	VIT_200s0226g00060.1, VIT_200s0226g00060.2	AH020062-RA
OG0003966	VIT_214s0128g00480.2, VIT_214s0128g00480.4, VIT_214s0128g00480.3, VIT_214s0128g00480.1	AH006274-RA
OG0003967	VIT_207s0005g03760.4	AH022057-RA
OG0003968	VIT_218s0072g00720.1, VIT_218s0072g00720.2	AH008511-RA
OG0003969	VIT_212s0034g01210.3, VIT_212s0034g01210.4, VIT_212s0034g01210.2, VIT_212s0034g01210.1, VIT_212s0034g01180.4, VIT_212s0034g01180.1, VIT_212s0034g01180.2, VIT_212s0034g01180.3	AH000148-RA
OG0003970	VIT_214s0068g02140.1, VIT_214s0068g02140.2, VIT_214s0068g02140.3	AH003415-RA, AH006284-RA
OG0003970	VIT_217s0000g01500.1	AH017231-RA
OG0003971	VIT_201s0010g02680.1	AH011180-RA
OG0003972	VIT_218s0122g00160.1, VIT_218s0122g00160.3, VIT_218s0122g00160.2, VIT_218s0122g00160.4, VIT_208s0032g00130.1, VIT_201s0010g01360.1	AH017749-RA
OG0003973	VIT_218s0001g05160.1, VIT_218s0001g05180.3, VIT_218s0001g05180.4, VIT_218s0001g05180.2, VIT_218s0001g05180.1	AH017387-RA, AH008772-RA
OG0003974	VIT_209s0002g00680.3, VIT_209s0002g00680.2, VIT_209s0002g00680.1, VIT_209s0002g00680.4, VIT_209s0002g00680.6, VIT_209s0002g00680.7, VIT_209s0002g00680.8, VIT_209s0002g00680.5	AH011464-RA
OG0003975	VIT_217s0000g06540.1	AH002848-RA
OG0003977	VIT_215s0107g00380.1	AH009291-RA, AH006930-RA
OG0003978	VIT_214s0108g01630.2, VIT_214s0108g01630.4, VIT_214s0108g01630.5, VIT_214s0108g01630.3, VIT_214s0108g01630.1	AH019142-RA
OG0003979	VIT_217s0000g05790.1, VIT_217s0000g05790.2, VIT_217s0000g05790.3, VIT_217s0000g05790.4, VIT_214s0108g00090.1	AH019383-RA
OG0003980	VIT_201s0011g02890.1	AH004077-RA, AH005420-RA, AH017432-RA, AH002930-RA
OG0003981	VIT_201s0026g00580.2, VIT_201s0026g00580.1	AH002301-RA, AH004750-RA
OG0003982	VIT_214s0006g03050.1	AH016511-RA, AH022891-RA
OG0003983	VIT_201s0026g02770.1, VIT_217s0000g06410.1	AH015794-RA
OG0003984	VIT_202s0087g00710.4, VIT_202s0087g00710.1, VIT_202s0087g00710.2, VIT_202s0087g00710.3	AH018776-RA
OG0003985	VIT_215s0021g01880.2, VIT_215s0021g01880.1	AH018311-RA
OG0003986	VIT_201s0010g01430.1, VIT_201s0010g01430.2	AH000027-RA, AH001084-RA
OG0003987	VIT_208s0032g00820.1, VIT_217s0000g04730.1	AH017454-RA
OG0003988	VIT_201s0137g00610.3, VIT_201s0137g00610.1, VIT_201s0137g00610.2, VIT_201s0137g00610.4	AH004464-RA, AH004866-RA, AH013673-RA
OG0003990	VIT_201s0127g00360.1, VIT_201s0127g00360.2	AH004794-RA, AH004434-RA
OG0003991	VIT_214s0083g00240.1	AH010649-RA
OG0003993	VIT_207s0005g01440.1, VIT_207s0005g01440.6, VIT_207s0005g01440.7, VIT_207s0005g01440.8, VIT_207s0005g01440.3, VIT_207s0005g01440.4, VIT_207s0005g01440.2, VIT_207s0005g01440.5	AH015729-RA
OG0003994	VIT_201s0011g04790.1	AH004138-RA
OG0003995	VIT_214s0108g01000.1, VIT_201s0026g02590.1	AH005042-RA, AH004371-RA, AH015789-RA
OG0003996	VIT_217s0000g04350.1	AH017067-RA
OG0003997	VIT_201s0011g06400.2, VIT_201s0011g06400.1	AH020658-RA
OG0003998	VIT_208s0040g01560.4, VIT_208s0040g01560.6, VIT_208s0040g01560.2, VIT_208s0040g01560.5, VIT_208s0040g01560.1, VIT_208s0040g01560.3, VIT_208s0040g01560.8, VIT_208s0040g01560.7	AH021999-RA
OG0003999	VIT_217s0000g02170.1, VIT_217s0000g02170.2, VIT_217s0000g02170.5, VIT_217s0000g02170.4, VIT_217s0000g02170.3, VIT_217s0000g02170.6, VIT_217s0000g02170.7	AH021236-RA
OG0004000	VIT_217s0000g06030.2, VIT_217s0000g06030.1	AH017601-RA
OG0004001	VIT_201s0011g03820.1, VIT_201s0011g03820.2, VIT_201s0011g03820.3, VIT_201s0011g03820.4, VIT_201s0011g03820.5, VIT_217s0000g03440.1	AH005471-RA, AH004128-RA
OG0004002	VIT_201s0011g00780.1	AH004045-RA, AH005554-RA
OG0004003	VIT_201s0026g00840.5, VIT_201s0026g00840.3, VIT_201s0026g00840.2, VIT_201s0026g00840.1, VIT_201s0026g00840.4	AH004635-RA, AH004715-RA
OG0004004	VIT_201s0010g01480.9, VIT_201s0010g01480.3, VIT_201s0010g01480.6, VIT_201s0010g01480.4, VIT_201s0010g01480.2, VIT_201s0010g01480.1, VIT_201s0010g01480.7, VIT_201s0010g01480.5, VIT_201s0010g01480.8	AH001104-RA
OG0004005	VIT_213s0047g00460.1, VIT_208s0007g05320.3, VIT_208s0007g05320.6, VIT_213s0047g00460.3, VIT_213s0047g00460.4, VIT_213s0047g00460.2, VIT_208s0007g05320.8, VIT_208s0007g05320.4, VIT_208s0007g05320.7, VIT_208s0007g05320.1, VIT_208s0007g05320.2, VIT_208s0007g05320.5	AH006696-RA
OG0004006	VIT_202s0033g00960.6, VIT_202s0033g00960.11, VIT_202s0033g00960.10, VIT_202s0033g00960.14, VIT_202s0033g00960.12, VIT_202s0033g00960.4, VIT_202s0033g00960.5, VIT_202s0033g00960.9, VIT_202s0033g00960.3, VIT_202s0033g00960.7, VIT_202s0033g00960.8, VIT_202s0033g00960.2, VIT_202s0033g00960.1, VIT_217s0000g04280.1	AH002927-RA
OG0004007	VIT_208s0040g01640.1	AH012771-RA, AH022001-RA
OG0004009	VIT_200s0211g00130.1, VIT_200s0211g00170.1	AH004312-RA, AH004977-RA
OG0004010	VIT_207s0205g00090.1, VIT_207s0205g00110.1	AH003105-RA
OG0004026	VIT_208s0040g02830.2	AH022493-RA
OG0004027	VIT_208s0007g05540.3, VIT_208s0007g05540.4, VIT_208s0007g05540.2, VIT_208s0007g05540.1	AH020459-RA
OG0004028	VIT_203s0038g02540.1, VIT_201s0127g00860.1	AH000798-RA
OG0004030	VIT_218s0072g00060.1, VIT_205s0020g03450.1	AH009112-RA
OG0004031	VIT_206s0004g04930.1	AH022549-RA, AH013698-RA
OG0004032	VIT_200s0404g00020.1	AH021603-RA, AH015114-RA
OG0004033	VIT_206s0004g03700.2, VIT_206s0004g03700.1	AH007282-RA, AH022714-RA
OG0004034	VIT_208s0032g00050.3, VIT_208s0032g00050.2, VIT_208s0032g00050.1, VIT_208s0032g00050.4, VIT_208s0032g00050.6	AH006506-RA
OG0004035	VIT_207s0104g00910.4, VIT_207s0104g00910.1, VIT_207s0104g00910.2, VIT_207s0104g00910.3	AH013763-RA
OG0004036	VIT_200s0304g00070.1	AH005989-RA, AH005991-RA
OG0004038	VIT_219s0027g00550.2, VIT_219s0027g00560.1, VIT_219s0027g00550.4, VIT_219s0027g00550.3, VIT_219s0027g00550.1, VIT_219s0027g00580.1, VIT_219s0027g00570.1	AH010164-RA
OG0004039	VIT_207s0005g02090.1	AH017274-RA
OG0004039	VIT_214s0060g00620.1, VIT_214s0060g00620.2	AH010462-RA, AH004075-RA, AH003567-RA, AH011247-RA
OG0004040	VIT_205s0020g03580.1	AH014769-RA
OG0004043	VIT_219s0177g00120.1, VIT_210s0092g00615.1, VIT_206s0061g01250.1	AH000383-RA, AH001502-RA
OG0004044	VIT_212s0035g00620.2, VIT_212s0035g00620.1	AH002104-RA, AH000474-RA
OG0004045	VIT_213s0067g01760.1, VIT_213s0067g01760.2	AH023132-RA, AH016339-RA
OG0004046	VIT_207s0141g00770.1	AH022206-RA
OG0004046	VIT_205s0062g00840.1	AH020552-RA
OG0004047	VIT_215s0046g02090.1, VIT_215s0046g02100.1, VIT_215s0046g02110.1	AH009631-RA
OG0004048	VIT_206s0009g03800.2, VIT_206s0009g03800.1, VIT_206s0009g03800.3	AH011012-RA
OG0004049	VIT_207s0031g01480.1	AH003748-RA
OG0004050	VIT_208s0056g00910.2, VIT_208s0056g00910.1	AH019080-RA
OG0004051	VIT_208s0040g03010.7, VIT_208s0040g03010.8, VIT_208s0040g03010.6, VIT_208s0040g03010.5, VIT_208s0040g03010.3, VIT_208s0040g03010.1, VIT_208s0040g03010.2, VIT_208s0040g03010.4, VIT_208s0040g03010.9	AH012802-RA
OG0004052	VIT_207s0005g00510.1, VIT_207s0005g00510.2	AH022102-RA
OG0004054	VIT_206s0004g01310.1	AH007674-RA
OG0004055	VIT_213s0084g00880.2, VIT_213s0084g00850.2, VIT_213s0084g00850.1, VIT_213s0084g00880.1	AH015666-RA, AH015667-RA
OG0004056	VIT_207s0005g03670.3, VIT_207s0005g03670.2, VIT_207s0005g03670.4, VIT_207s0005g03670.1	AH002661-RA
OG0004059	VIT_205s0020g01540.1	AH008069-RA, AH010039-RA, AH010036-RA
OG0004060	VIT_202s0012g00870.1	AH021308-RA
OG0004061	VIT_208s0007g07790.1, VIT_208s0007g07790.2	AH017496-RA, AH002890-RA, AH002889-RA, AH011727-RA, AH020025-RA
OG0004062	VIT_200s0505g00030.1	AH015527-RA
OG0004063	VIT_208s0007g06480.2, VIT_208s0007g06480.1	AH006860-RA
OG0004064	VIT_200s0231g00020.1, VIT_200s0574g00030.1	AH013108-RA
OG0004065	VIT_208s0007g03660.1	AH012626-RA, AH013267-RA
OG0004066	VIT_208s0007g03760.1	AH012650-RA
OG0004067	VIT_205s0029g01100.2, VIT_205s0029g01100.3, VIT_205s0029g01100.1, VIT_205s0102g00500.1	AH021336-RA
OG0004068	VIT_208s0007g04160.3, VIT_208s0007g04160.1, VIT_208s0007g04160.2	AH012676-RA
OG0004070	VIT_207s0104g01030.2, VIT_207s0104g01030.3, VIT_207s0104g01030.4	AH022619-RA
OG0004071	VIT_207s0104g00540.1, VIT_207s0104g00540.3, VIT_207s0104g00540.2	AH021940-RA
OG0004071	VIT_214s0128g00410.1	AH010456-RA
OG0004072	VIT_208s0007g00470.1, VIT_208s0007g00470.2	AH018953-RA
OG0004073	VIT_206s0061g00020.1, VIT_206s0061g00020.2, VIT_206s0061g00020.4, VIT_206s0061g00020.3	AH010952-RA
OG0004074	VIT_206s0004g04560.1, VIT_208s0007g00210.1	AH013675-RA
OG0004075	VIT_201s0150g00310.2, VIT_201s0150g00310.3	AH005139-RA, AH004262-RA
OG0004076	VIT_206s0004g03970.1	AH013159-RA
OG0004077	VIT_205s0077g00950.2, VIT_205s0077g00950.1	AH019845-RA
OG0004078	VIT_204s0023g00830.1	AH020083-RA, AH011135-RA
OG0004079	VIT_205s0020g04080.3, VIT_205s0020g04080.2, VIT_205s0020g04080.1	AH019834-RA
OG0004080	VIT_206s0080g00410.1, VIT_206s0080g00410.2, VIT_213s0147g00110.1	AH001930-RA, AH013250-RA
OG0004082	VIT_214s0036g01520.1, VIT_214s0036g01520.7, VIT_214s0036g01520.3, VIT_214s0036g01520.6, VIT_214s0036g01520.4, VIT_214s0036g01520.5, VIT_214s0036g01520.8, VIT_214s0036g01520.2, VIT_207s0031g03160.4, VIT_207s0031g03160.3, VIT_207s0031g03160.2, VIT_207s0031g03160.1	AH009468-RA
OG0004083	VIT_200s1395g00010.1, VIT_200s0665g00050.1	AH006002-RA
OG0004084	VIT_200s0499g00020.1	AH011114-RA, AH007476-RA, AH011710-RA
OG0004085	VIT_203s0038g02320.1	AH002258-RA, AH006457-RA
OG0004086	VIT_212s0035g01740.4, VIT_212s0035g01740.3, VIT_212s0035g01740.2, VIT_212s0035g01740.1	AH005281-RA
OG0004087	VIT_209s0002g04390.1, VIT_207s0130g00210.1, VIT_207s0130g00210.2, VIT_207s0130g00210.6, VIT_207s0130g00210.5, VIT_207s0130g00210.3, VIT_207s0130g00210.7, VIT_207s0130g00210.4	AH003294-RA
OG0004088	VIT_200s0199g00300.1, VIT_218s0001g07080.1, VIT_218s0001g07080.3, VIT_218s0001g07080.2	AH008807-RA
OG0004089	VIT_202s0025g02070.4, VIT_202s0025g02070.3, VIT_202s0025g02070.2, VIT_202s0025g02070.1	AH018132-RA, AH011338-RA
OG0004090	VIT_207s0031g00120.1	AH006135-RA
OG0004090	VIT_218s0001g10070.1	AH016665-RA
OG0004091	VIT_218s0001g07090.1	AH008808-RA
OG0004093	VIT_203s0091g00160.1, VIT_203s0091g00130.1	AH000985-RA, AH001684-RA, AH001685-RA
OG0004094	VIT_207s0205g00080.2, VIT_207s0205g00080.1	AH005865-RA
OG0004095	VIT_207s0129g00370.5, VIT_207s0129g00370.3, VIT_207s0129g00370.2, VIT_207s0129g00370.1, VIT_207s0129g00370.4	AH003886-RA
OG0004096	VIT_213s0019g03540.1	AH022832-RA
OG0004097	VIT_218s0001g02700.5, VIT_218s0001g02700.3, VIT_218s0001g02700.1, VIT_218s0001g02700.2, VIT_218s0001g02700.4, VIT_218s0001g02700.6	AH008866-RA
OG0004098	VIT_207s0031g01880.3, VIT_207s0031g01880.8, VIT_207s0031g01880.5, VIT_207s0031g01880.4, VIT_207s0031g01880.2, VIT_207s0031g01880.9, VIT_207s0031g01880.1, VIT_207s0031g01880.7, VIT_207s0031g01880.6, VIT_207s0031g01880.11, VIT_207s0031g01880.10	AH003679-RA
OG0004099	VIT_218s0001g11175.2, VIT_218s0001g11175.1, VIT_218s0001g11180.1, VIT_203s0063g00980.1, VIT_203s0063g00970.1, VIT_203s0063g01010.1, VIT_203s0063g00990.1	AH001898-RA
OG0004100	VIT_216s0039g02000.4, VIT_216s0039g02000.6, VIT_216s0039g02000.7, VIT_216s0039g02000.8, VIT_216s0039g02000.3, VIT_216s0039g02000.1, VIT_216s0039g02000.2, VIT_216s0039g02000.5	AH007267-RA
OG0004101	VIT_212s0035g01200.1	AH003279-RA, AH010366-RA
OG0004102	VIT_203s0063g00300.5, VIT_203s0063g00300.2, VIT_203s0063g00300.1, VIT_203s0063g00300.3, VIT_203s0063g00300.4	AH002308-RA
OG0004104	VIT_212s0035g00970.1, VIT_218s0075g00820.1, VIT_212s0035g00970.2	AH004205-RA, AH005291-RA
OG0004105	VIT_209s0002g09150.1, VIT_209s0002g09150.2, VIT_212s0055g00900.3, VIT_212s0055g00900.2, VIT_212s0055g00900.1, VIT_212s0055g00900.4	AH000639-RA
OG0004106	VIT_204s0023g01750.1, VIT_204s0023g01750.2, VIT_204s0023g01750.4, VIT_204s0023g01750.3	AH003839-RA
OG0004107	VIT_207s0031g02140.1, VIT_203s0038g03900.1	AH003589-RA
OG0004108	VIT_203s0038g03440.3, VIT_203s0038g03440.2, VIT_203s0038g03440.1	AH002337-RA
OG0004109	VIT_200s0732g00010.2, VIT_200s0732g00010.1, VIT_200s0732g00010.3	AH005613-RA
OG0004110	VIT_219s0014g01400.1	AH001409-RA
OG0004111	VIT_207s0129g00260.3, VIT_207s0129g00260.1	AH005695-RA, AH003878-RA
OG0004112	VIT_203s0017g00640.1	AH001585-RA, AH000920-RA
OG0004113	VIT_204s0044g00130.1, VIT_204s0044g00130.4, VIT_204s0044g00130.5, VIT_204s0044g00130.3, VIT_204s0044g00130.2, VIT_204s0044g00130.6	AH005078-RA
OG0004114	VIT_210s0003g02910.1	AH014737-RA, AH021320-RA
OG0004115	VIT_205s0077g00940.1	AH011594-RA
OG0004116	VIT_200s0207g00140.1, VIT_203s0017g02215.1, VIT_200s0207g00180.1	AH005902-RA
OG0004117	VIT_203s0038g03260.3, VIT_203s0038g03260.4, VIT_203s0038g03260.2, VIT_203s0038g03260.1	AH002348-RA, AH000744-RA
OG0004118	VIT_203s0063g01410.2, VIT_203s0063g01410.1, VIT_203s0063g01410.3	AH001878-RA
OG0004118	VIT_208s0032g00981.1	AH018875-RA
OG0004119	VIT_200s2269g00010.1	AH021446-RA, AH014900-RA
OG0004120	VIT_207s0005g01340.2, VIT_207s0005g01340.1, VIT_205s0077g01220.1	AH007110-RA, AH007111-RA, AH007114-RA
OG0004121	VIT_210s0003g00420.2, VIT_210s0003g00420.1, VIT_210s0003g00420.3	AH015268-RA
OG0004122	VIT_219s0015g01050.1	AH009786-RA
OG0004123	VIT_200s0429g00025.1, VIT_210s0092g00670.1	AH015067-RA, AH015064-RA, AH015065-RA, AH015069-RA, AH015070-RA, AH015066-RA, AH006845-RA, AH006846-RA, AH006844-RA, AH021553-RA
OG0004124	VIT_203s0038g02460.2, VIT_203s0038g02460.1	AH002272-RA, AH023231-RA
OG0004125	VIT_211s0052g01400.1	AH014384-RA
OG0004126	VIT_212s0028g03100.3, VIT_212s0028g03100.2, VIT_212s0028g03100.1	AH000305-RA, AH001380-RA
OG0004127	VIT_210s0003g02770.2, VIT_210s0003g02770.4, VIT_210s0003g02770.1, VIT_210s0003g02770.3, VIT_210s0003g02770.5	AH014746-RA
OG0004128	VIT_210s0116g01000.1	AH021193-RA
OG0004128	VIT_219s0090g00910.1	AH008223-RA
OG0004130	VIT_200s0283g00060.1, VIT_200s0283g00060.3, VIT_200s0283g00060.2, VIT_200s0283g00060.4, VIT_200s0283g00060.5	AH017408-RA
OG0004131	VIT_212s0059g02390.1, VIT_206s0004g04060.1	AH013145-RA, AH022496-RA, AH015815-RA, AH012629-RA
OG0004132	VIT_202s0025g01420.1, VIT_202s0025g01420.2, VIT_202s0025g01420.4, VIT_202s0025g01420.3	AH003329-RA, AH018087-RA
OG0004133	VIT_216s0022g01860.1	AH012287-RA
OG0004134	VIT_216s0050g01510.1, VIT_216s0050g01510.2, VIT_216s0050g01510.3	AH012084-RA
OG0004135	VIT_209s0002g02210.1, VIT_209s0002g02210.2	AH013307-RA, AH013306-RA
OG0004136	VIT_209s0002g04300.1	AH002098-RA, AH000470-RA
OG0004136	VIT_209s0002g04290.1	AH002097-RA
OG0004137	VIT_203s0038g02820.5, VIT_203s0038g02820.4, VIT_203s0038g02820.1, VIT_203s0038g02820.3, VIT_203s0038g02820.2	AH002293-RA
OG0004138	VIT_211s0118g00230.1, VIT_211s0118g00230.2, VIT_211s0118g00230.3, VIT_211s0118g00230.5	AH023237-RA, AH005885-RA
OG0004139	VIT_214s0006g01200.1	AH002899-RA
OG0004139	VIT_204s0023g01190.1	AH002734-RA
OG0004141	VIT_211s0016g02130.1, VIT_211s0016g02130.3, VIT_211s0016g02130.2	AH014229-RA
OG0004142	VIT_209s0002g02530.1, VIT_209s0002g02530.2, VIT_209s0002g02530.3	AH000356-RA
OG0004143	VIT_209s0002g04880.3, VIT_209s0002g04880.1, VIT_209s0002g04880.2	AH002051-RA
OG0004144	VIT_214s0066g02250.1	AH012991-RA, AH022031-RA
OG0004144	VIT_201s0026g01060.1	AH012990-RA
OG0004145	VIT_202s0025g04710.5, VIT_202s0025g04710.7, VIT_202s0025g04710.2, VIT_202s0025g04710.4, VIT_202s0025g04710.6, VIT_202s0025g04710.3, VIT_202s0025g04710.1	AH018715-RA
OG0004146	VIT_215s0021g02140.1, VIT_215s0021g02140.3, VIT_215s0021g02140.2, VIT_215s0021g02140.4, VIT_204s0043g01035.1	AH009056-RA
OG0004147	VIT_211s0118g00310.2	AH013972-RA
OG0004148	VIT_206s0004g07350.1	AH011803-RA
OG0004149	VIT_207s0130g00120.1, VIT_207s0130g00120.4, VIT_207s0130g00120.3, VIT_207s0130g00120.2	AH014642-RA
OG0004150	VIT_204s0008g01400.1, VIT_204s0008g01400.2, VIT_204s0008g01400.3	AH017107-RA
OG0004151	VIT_202s0025g04350.2, VIT_202s0025g04350.3, VIT_202s0025g04350.1	AH018661-RA
OG0004153	VIT_209s0002g06290.1	AH001997-RA
OG0004153	VIT_204s0008g05180.1	AH019252-RA
OG0004154	VIT_204s0008g06890.3, VIT_204s0008g06890.4, VIT_204s0008g06890.1, VIT_204s0008g06890.2, VIT_204s0008g06500.1	AH023242-RA, AH016263-RA
OG0004155	VIT_211s0016g05910.2, VIT_211s0016g05910.3, VIT_211s0016g05910.1	AH020696-RA
OG0004156	VIT_215s0048g02900.1	AH009512-RA, AH009514-RA
OG0004157	VIT_219s0176g00040.1, VIT_200s0229g00120.1	AH018294-RA
OG0004158	VIT_202s0025g00240.1, VIT_202s0025g00240.2, VIT_216s0050g01090.2, VIT_216s0050g01090.1, VIT_216s0050g01090.3, VIT_216s0050g01090.4	AH012104-RA
OG0004159	VIT_208s0007g04400.2, VIT_208s0007g04400.1, VIT_208s0007g04430.1, VIT_200s2262g00010.2, VIT_200s2262g00010.1, VIT_208s0007g04430.2, VIT_208s0007g04430.3	AH012698-RA
