Orthogroup	P_amilis.proteins	D_muscipula.proteins
OG0004056	FUN_051255-T1	Dm_00008893-RA
OG0004058	FUN_000659-T2	Dm_00009528-RA
OG0004059	FUN_033198-T1, FUN_033198-T2, FUN_033198-T3	Dm_00011301-RA
OG0004060	FUN_034740-T1	Dm_00009386-RA
OG0004061	FUN_049158-T1, FUN_046718-T1, FUN_011207-T1, FUN_011208-T1	Dm_00013135-RA
OG0004063	FUN_004811-T2, FUN_004811-T1, FUN_032974-T1	Dm_00012902-RA
OG0004066	FUN_039140-T1	Dm_00010831-RA
OG0004067	FUN_004146-T1	Dm_00020721-RA, Dm_00010816-RA
OG0004068	FUN_006623-T1	Dm_00019207-RA
OG0004069	FUN_006516-T1, FUN_022367-T1	Dm_00009743-RA, Dm_00006332-RA
OG0004070	FUN_024655-T3, FUN_024655-T4, FUN_024655-T1, FUN_024655-T2, FUN_042818-T2, FUN_042818-T3, FUN_042818-T1	Dm_00008414-RA
OG0004071	FUN_042770-T1	Dm_00010882-RA
OG0004071	FUN_051424-T1, FUN_000490-T1	Dm_00003140-RA
OG0004072	FUN_018727-T1	Dm_00017827-RA
OG0004074	FUN_047890-T1, FUN_009636-T1, FUN_009636-T2	Dm_00004548-RA
OG0004075	FUN_029432-T1	Dm_00018845-RA, Dm_00015341-RA
OG0004076	FUN_025917-T1, FUN_025917-T5, FUN_025917-T3, FUN_025917-T4, FUN_025917-T2	Dm_00005765-RA
OG0004077	FUN_014896-T1	Dm_00016316-RA
OG0004078	FUN_006526-T2, FUN_006526-T1, FUN_052519-T2, FUN_052519-T1	Dm_00018653-RA, Dm_00012473-RA
OG0004079	FUN_000622-T2, FUN_000622-T1	Dm_00018987-RA
OG0004080	FUN_048746-T1	Dm_00003869-RA
OG0004081	FUN_002533-T1	Dm_00000529-RA
OG0004082	FUN_037600-T2, FUN_037600-T1	Dm_00013274-RA
OG0004084	FUN_052549-T1, FUN_036240-T1	Dm_00002398-RA
OG0004084	FUN_014086-T1	Dm_00003887-RA, Dm_00011428-RA
OG0004085	FUN_031110-T1	Dm_00005810-RA
OG0004086	FUN_000826-T1	Dm_00011835-RA, Dm_00013686-RA
OG0004087	FUN_035835-T1	Dm_00018981-RA, Dm_00003812-RA
OG0004090	FUN_052814-T1	Dm_00013514-RA
OG0004090	FUN_024543-T1	Dm_00001660-RA
OG0004091	FUN_038055-T1, FUN_038056-T1	Dm_00012625-RA
OG0004091	FUN_048566-T1	Dm_00013551-RA
OG0004092	FUN_025569-T1, FUN_031067-T1	Dm_00015256-RA
OG0004093	FUN_047251-T1	Dm_00019394-RA, Dm_00019263-RA
OG0004096	FUN_016728-T1	Dm_00013151-RA
OG0004097	FUN_044276-T2, FUN_044276-T1	Dm_00019855-RA
OG0004098	FUN_004335-T1, FUN_004335-T2	Dm_00013868-RA
OG0004100	FUN_045255-T1, FUN_045255-T2	Dm_00019164-RA
OG0004101	FUN_035903-T1	Dm_00001915-RA, Dm_00003807-RA
OG0004102	FUN_028049-T1	Dm_00012028-RA
OG0004103	FUN_049762-T1, FUN_049762-T2	Dm_00008142-RA, Dm_00009536-RA, Dm_00013445-RA
OG0004104	FUN_016340-T2, FUN_016340-T3, FUN_016340-T1	Dm_00007278-RA
OG0004105	FUN_052197-T1	Dm_00004936-RA
OG0004106	FUN_009487-T1, FUN_001651-T1, FUN_009487-T2, FUN_001651-T3, FUN_001651-T2	Dm_00009207-RA
OG0004107	FUN_000599-T1	Dm_00002268-RA, Dm_00009804-RA
OG0004108	FUN_020204-T1	Dm_00015176-RA
OG0004109	FUN_003936-T1, FUN_030229-T1	Dm_00009616-RA
OG0004110	FUN_020738-T1	Dm_00019972-RA, Dm_00002501-RA
OG0004111	FUN_030556-T1	Dm_00003893-RA, Dm_00009973-RA
OG0004112	FUN_051815-T1	Dm_00008571-RA
OG0004113	FUN_028280-T2, FUN_028280-T1	Dm_00002237-RA
OG0004114	FUN_023878-T1	Dm_00000353-RA
OG0004115	FUN_014895-T2, FUN_014895-T1	Dm_00003544-RA
OG0004116	FUN_025427-T1, FUN_025428-T1, FUN_031259-T1	Dm_00001084-RA, Dm_00003359-RA
OG0004117	FUN_046139-T1	Dm_00002068-RA
OG0004118	FUN_042080-T1	Dm_00019577-RA
OG0004119	FUN_012180-T1	Dm_00010554-RA
OG0004121	FUN_043245-T1	Dm_00000712-RA
OG0004122	FUN_046391-T1, FUN_046391-T5, FUN_046391-T8, FUN_046391-T6, FUN_046391-T7, FUN_046391-T4, FUN_046391-T3, FUN_046391-T2	Dm_00001890-RA
OG0004123	FUN_035423-T1, FUN_035411-T1	Dm_00020659-RA, Dm_00005864-RA, Dm_00011828-RA
OG0004124	FUN_018781-T1	Dm_00018645-RA, Dm_00017237-RA
OG0004125	FUN_034046-T1, FUN_034046-T2	Dm_00000759-RA
OG0004126	FUN_015764-T1	Dm_00003750-RA
OG0004127	FUN_034819-T1	Dm_00008981-RA
OG0004128	FUN_012380-T2, FUN_012380-T1	Dm_00013714-RA
OG0004128	FUN_027322-T1	Dm_00004734-RA
OG0004130	FUN_011317-T1	Dm_00007635-RA
OG0004131	FUN_008075-T1, FUN_008076-T1, FUN_008076-T2	Dm_00004968-RA
OG0004132	FUN_037422-T2, FUN_037422-T1	Dm_00003570-RA
OG0004133	FUN_025907-T1	Dm_00008714-RA
OG0004134	FUN_013782-T1, FUN_013778-T1	Dm_00004009-RA, Dm_00002051-RA
OG0004135	FUN_049994-T2, FUN_049994-T1	Dm_00015608-RA, Dm_00014346-RA
OG0004136	FUN_006315-T1	Dm_00014705-RA
OG0004136	FUN_006314-T1	Dm_00014706-RA
OG0004137	FUN_052013-T1	Dm_00014386-RA
OG0004138	FUN_020948-T1	Dm_00016527-RA
OG0004138	FUN_026075-T1	Dm_00004997-RA
OG0004139	FUN_029878-T1	Dm_00017670-RA, Dm_00013530-RA
OG0004140	FUN_015439-T1, FUN_006602-T1, FUN_037002-T1, FUN_049702-T1	Dm_00010157-RA
OG0004141	FUN_009820-T1, FUN_009820-T2, FUN_009820-T3	Dm_00008779-RA
OG0004142	FUN_006504-T4	Dm_00007524-RA
OG0004143	FUN_006242-T1	Dm_00003654-RA
OG0004144	FUN_000589-T1, FUN_029853-T1	Dm_00016012-RA
OG0004145	FUN_018695-T1	Dm_00015745-RA
OG0004146	FUN_049564-T1, FUN_049564-T2	Dm_00008696-RA
OG0004147	FUN_026067-T2, FUN_026067-T1, FUN_013142-T1	Dm_00003788-RA
OG0004148	FUN_045889-T2, FUN_045889-T1	Dm_00020845-RA, Dm_00005266-RA
OG0004149	FUN_039735-T3, FUN_039735-T2, FUN_039735-T1	Dm_00007924-RA
OG0004150	FUN_005281-T1, FUN_005281-T2	Dm_00017090-RA
OG0004151	FUN_037138-T1	Dm_00009399-RA
OG0004152	FUN_005361-T1	Dm_00008601-RA
OG0004153	FUN_008425-T1	Dm_00017711-RA
OG0004154	FUN_008405-T1	Dm_00007984-RA, Dm_00006363-RA
OG0004155	FUN_013152-T1, FUN_013151-T1	Dm_00007844-RA
OG0004156	FUN_048232-T1, FUN_037537-T1, FUN_048230-T1	Dm_00018033-RA
OG0004157	FUN_019265-T1, FUN_019265-T2	Dm_00002083-RA
OG0004158	FUN_046345-T1, FUN_018116-T1, FUN_047819-T1, FUN_009090-T1, FUN_009090-T2, FUN_009090-T3	Dm_00002056-RA, Dm_00018379-RA
OG0004159	FUN_020422-T2, FUN_020422-T1, FUN_019137-T3, FUN_019137-T1, FUN_020422-T3, FUN_019137-T2	Dm_00006173-RA
OG0004160	FUN_044888-T1, FUN_024067-T1, FUN_024067-T2, FUN_050177-T1, FUN_050177-T3, FUN_050177-T2, FUN_050177-T4	Dm_00011642-RA
OG0004161	FUN_041214-T1	Dm_00001484-RA
OG0004163	FUN_013661-T1, FUN_013661-T2, FUN_008877-T1	Dm_00004278-RA
OG0004164	FUN_008280-T1	Dm_00012119-RA, Dm_00016542-RA, Dm_00015309-RA
OG0004166	FUN_033969-T1	Dm_00005853-RA
OG0004168	FUN_045032-T1	Dm_00000429-RA
OG0004169	FUN_018628-T1	Dm_00014993-RA
OG0004170	FUN_004063-T1, FUN_004063-T2, FUN_012889-T3, FUN_012889-T2, FUN_012889-T1	Dm_00001567-RA
OG0004171	FUN_000978-T1, FUN_039180-T1	Dm_00012437-RA
OG0004172	FUN_002079-T1	Dm_00013075-RA
OG0004173	FUN_009755-T1, FUN_015532-T1	Dm_00010547-RA
OG0004174	FUN_002008-T2, FUN_002008-T3, FUN_002008-T1	Dm_00001522-RA
OG0004175	FUN_034750-T1	Dm_00004058-RA, Dm_00000348-RA
OG0004176	FUN_014031-T1	Dm_00014883-RA, Dm_00014884-RA
OG0004178	FUN_033250-T1	Dm_00012926-RA
OG0004179	FUN_020258-T1	Dm_00000017-RA
OG0004180	FUN_042091-T1	Dm_00015196-RA
OG0004181	FUN_039326-T1	Dm_00013117-RA, Dm_00013116-RA
OG0004182	FUN_044077-T1	Dm_00002133-RA
OG0004183	FUN_002438-T1	Dm_00009218-RA
OG0004184	FUN_039747-T2, FUN_039747-T1	Dm_00009769-RA
OG0004185	FUN_020796-T1, FUN_020796-T2, FUN_004333-T1	Dm_00003209-RA
OG0004186	FUN_045886-T1, FUN_012066-T1	Dm_00011118-RA
OG0004187	FUN_031330-T1, FUN_034828-T1, FUN_034828-T2	Dm_00005620-RA
OG0004188	FUN_030972-T1	Dm_00016270-RA, Dm_00002991-RA
OG0004188	FUN_033971-T2, FUN_033971-T1	Dm_00005733-RA, Dm_00005942-RA
OG0004189	FUN_027436-T4, FUN_027436-T3, FUN_027436-T2, FUN_027436-T1	Dm_00007269-RA
OG0004190	FUN_039449-T1, FUN_039450-T1, FUN_039450-T3, FUN_039450-T2	Dm_00003102-RA
OG0004191	FUN_049486-T1, FUN_049486-T2	Dm_00018321-RA, Dm_00018320-RA, Dm_00013503-RA
OG0004192	FUN_014267-T1, FUN_014270-T2, FUN_014270-T4, FUN_014270-T1, FUN_014270-T3, FUN_000614-T1	Dm_00019937-RA
OG0004194	FUN_026319-T1	Dm_00021058-RA, Dm_00010731-RA
OG0004195	FUN_043240-T2, FUN_043240-T1, FUN_036721-T1	Dm_00002288-RA
OG0004196	FUN_035303-T1, FUN_035303-T2, FUN_053069-T2, FUN_053069-T4	Dm_00005090-RA
OG0004197	FUN_011986-T1, FUN_046520-T1, FUN_046520-T2	Dm_00013600-RA, Dm_00006530-RA
OG0004198	FUN_035149-T1, FUN_012333-T1	Dm_00005170-RA
OG0004199	FUN_051850-T1, FUN_045635-T3, FUN_045635-T2, FUN_045635-T1	Dm_00009287-RA
OG0004200	FUN_039360-T3, FUN_039360-T2, FUN_039360-T1	Dm_00015455-RA
OG0004201	FUN_029979-T1	Dm_00010863-RA
OG0004202	FUN_027292-T2, FUN_027292-T1	Dm_00016345-RA, Dm_00019665-RA
OG0004203	FUN_020429-T2, FUN_020429-T1	Dm_00017539-RA
OG0004205	FUN_046722-T1	Dm_00018972-RA
OG0004206	FUN_032820-T1, FUN_032820-T4	Dm_00005795-RA
OG0004208	FUN_049560-T1, FUN_034090-T1	Dm_00007341-RA, Dm_00013624-RA
OG0004209	FUN_020262-T1	Dm_00016895-RA, Dm_00004212-RA
OG0004210	FUN_032805-T1, FUN_004599-T1	Dm_00016982-RA, Dm_00011607-RA
OG0004211	FUN_039802-T1	Dm_00008012-RA, Dm_00002968-RA
OG0004212	FUN_020228-T1	Dm_00005458-RA
OG0004213	FUN_007946-T2, FUN_007946-T1	Dm_00006345-RA
OG0004214	FUN_025275-T1, FUN_031823-T2, FUN_031823-T1	Dm_00009904-RA
OG0004215	FUN_025051-T1	Dm_00010020-RA
OG0004216	FUN_001504-T1, FUN_001504-T2	Dm_00009485-RA
OG0004217	FUN_001605-T1, FUN_001603-T1	Dm_00002734-RA
OG0004218	FUN_015293-T2, FUN_015293-T1	Dm_00004754-RA, Dm_00002152-RA
OG0004219	FUN_048306-T1	Dm_00002700-RA
OG0004220	FUN_015309-T1	Dm_00011380-RA
OG0004220	FUN_036895-T1	Dm_00006631-RA
OG0004221	FUN_026721-T2, FUN_026721-T1	Dm_00019190-RA, Dm_00012797-RA
OG0004222	FUN_006002-T1	Dm_00017728-RA
OG0004223	FUN_033598-T2, FUN_033598-T3, FUN_033598-T1	Dm_00001475-RA
OG0004224	FUN_003950-T1	Dm_00014318-RA
OG0004225	FUN_035719-T1, FUN_036735-T1	Dm_00009212-RA
OG0004226	FUN_014415-T1	Dm_00017718-RA, Dm_00020486-RA
OG0004227	FUN_043970-T1, FUN_044521-T1, FUN_043969-T1, FUN_043216-T1	Dm_00011439-RA
OG0004228	FUN_000108-T1	Dm_00007257-RA
OG0004228	FUN_000305-T1	Dm_00009019-RA, Dm_00007258-RA
OG0004229	FUN_033680-T1, FUN_006596-T1, FUN_015445-T1, FUN_006593-T1, FUN_006595-T1	Dm_00019933-RA
OG0004230	FUN_049565-T1, FUN_036891-T1, FUN_036891-T2	Dm_00011255-RA, Dm_00006161-RA, Dm_00011254-RA
OG0004231	FUN_034024-T1	Dm_00013072-RA
OG0004232	FUN_050342-T1, FUN_025095-T1	Dm_00001434-RA
OG0004233	FUN_010659-T1, FUN_047263-T2, FUN_047263-T1	Dm_00008206-RA
OG0004235	FUN_032006-T2, FUN_032006-T1, FUN_032006-T3	Dm_00018723-RA
OG0004236	FUN_002684-T1	Dm_00003498-RA
OG0004237	FUN_004174-T1	Dm_00003440-RA
OG0004237	FUN_031076-T1	Dm_00006340-RA
OG0004238	FUN_038827-T3, FUN_038827-T2, FUN_038827-T1	Dm_00009238-RA, Dm_00009237-RA
OG0004239	FUN_046069-T1	Dm_00018810-RA
OG0004240	FUN_025300-T1, FUN_031856-T1	Dm_00009460-RA, Dm_00015269-RA
OG0004241	FUN_041438-T1	Dm_00001928-RA
OG0004242	FUN_021729-T2, FUN_021729-T1	Dm_00008529-RA
OG0004243	FUN_002189-T4, FUN_002189-T3, FUN_002189-T2, FUN_002189-T5, FUN_002189-T1	Dm_00014062-RA
OG0004244	FUN_036153-T1	Dm_00016820-RA
OG0004245	FUN_035950-T1, FUN_035950-T2	Dm_00004465-RA
OG0004246	FUN_042926-T1, FUN_042926-T2, FUN_024735-T1	Dm_00018008-RA
OG0004248	FUN_017498-T1, FUN_017498-T3, FUN_017498-T2, FUN_027429-T1	Dm_00012411-RA
OG0004249	FUN_014216-T3, FUN_014216-T5, FUN_014216-T2, FUN_014216-T4	Dm_00012216-RA
OG0004250	FUN_020382-T1	Dm_00010967-RA
OG0004251	FUN_037839-T1, FUN_037836-T1, FUN_037836-T2	Dm_00006271-RA
OG0004252	FUN_035215-T1, FUN_014586-T1	Dm_00011181-RA
OG0004253	FUN_049439-T1, FUN_038458-T1	Dm_00005953-RA, Dm_00014306-RA
OG0004254	FUN_031258-T1, FUN_025431-T1	Dm_00001083-RA
OG0004255	FUN_017821-T1	Dm_00007550-RA
OG0004259	FUN_029912-T1, FUN_016559-T1, FUN_033560-T1	Dm_00018430-RA
OG0004260	FUN_033562-T1, FUN_020146-T1	Dm_00001708-RA
OG0004261	FUN_025576-T1	Dm_00005015-RA
OG0004262	FUN_042658-T1, FUN_010792-T1, FUN_042659-T1, FUN_010792-T2, FUN_010792-T3	Dm_00003324-RA, Dm_00008787-RA
OG0004263	FUN_029119-T1	Dm_00006641-RA
OG0004264	FUN_016781-T1, FUN_011662-T1	Dm_00006180-RA
OG0004265	FUN_041673-T1	Dm_00010229-RA
OG0004267	FUN_009228-T1, FUN_009228-T2, FUN_032247-T1	Dm_00012565-RA
OG0004268	FUN_041606-T1, FUN_017612-T1	Dm_00012167-RA
OG0004269	FUN_045472-T1, FUN_011170-T1, FUN_011170-T2	Dm_00014587-RA
OG0004270	FUN_047485-T1	Dm_00009090-RA
OG0004271	FUN_041855-T1, FUN_041855-T2, FUN_017957-T1	Dm_00011333-RA
OG0004272	FUN_009284-T1, FUN_009284-T2, FUN_032168-T3, FUN_032168-T2, FUN_032168-T1, FUN_032168-T4	Dm_00017000-RA
OG0004274	FUN_045268-T1	Dm_00000237-RA
OG0004279	FUN_027200-T1	Dm_00018539-RA, Dm_00007070-RA, Dm_00010438-RA
OG0004280	FUN_048727-T2, FUN_048727-T1	Dm_00009162-RA
OG0004281	FUN_005442-T1	Dm_00002513-RA
OG0004284	FUN_053248-T1	Dm_00015077-RA, Dm_00019698-RA, Dm_00014816-RA, Dm_00017290-RA, Dm_00015985-RA, Dm_00017889-RA, Dm_00014985-RA, Dm_00013029-RA, Dm_00008169-RA, Dm_00008168-RA, Dm_00019184-RA, Dm_00012946-RA, Dm_00013716-RA
OG0004294	FUN_051831-T1, FUN_018845-T1, FUN_018188-T1, FUN_048332-T1	Dm_00000855-RA
OG0004295	FUN_007721-T1	Dm_00005580-RA
OG0004296	FUN_042847-T1	Dm_00009907-RA
OG0004297	FUN_041682-T1, FUN_041682-T2	Dm_00004363-RA
OG0004298	FUN_039578-T2, FUN_039578-T1	Dm_00004008-RA
OG0004300	FUN_002374-T1, FUN_046033-T1	Dm_00001724-RA
OG0004301	FUN_005737-T1	Dm_00014937-RA, Dm_00020469-RA, Dm_00010102-RA
OG0004302	FUN_005423-T1, FUN_015967-T1	Dm_00019389-RA, Dm_00018143-RA
OG0004303	FUN_021519-T1	Dm_00005990-RA, Dm_00005989-RA
OG0004305	FUN_051496-T2, FUN_051496-T1	Dm_00000613-RA
OG0004306	FUN_036250-T1	Dm_00010306-RA
OG0004307	FUN_033138-T1, FUN_033138-T2	Dm_00012453-RA, Dm_00018693-RA
OG0004308	FUN_033234-T2, FUN_033234-T3, FUN_033234-T1, FUN_020244-T2, FUN_020244-T1	Dm_00009967-RA
OG0004309	FUN_015000-T1, FUN_040329-T1	Dm_00017742-RA, Dm_00008408-RA
OG0004310	FUN_031321-T1	Dm_00012318-RA
OG0004311	FUN_001222-T1, FUN_008094-T1, FUN_000756-T1	Dm_00000960-RA
OG0004312	FUN_048928-T1	Dm_00018427-RA, Dm_00002931-RA, Dm_00018304-RA
OG0004313	FUN_041886-T1	Dm_00002634-RA
OG0004314	FUN_045640-T2, FUN_045640-T1	Dm_00008605-RA
OG0004315	FUN_019010-T2, FUN_019010-T1	Dm_00013606-RA
OG0004316	FUN_023149-T1, FUN_023151-T2, FUN_023151-T3, FUN_023151-T1, FUN_004542-T1	Dm_00001179-RA
OG0004317	FUN_042960-T1	Dm_00012610-RA
OG0004318	FUN_042784-T1, FUN_010638-T1	Dm_00009297-RA
OG0004320	FUN_000497-T3, FUN_000497-T2, FUN_051439-T1	Dm_00000580-RA
OG0004322	FUN_009644-T1, FUN_047897-T1	Dm_00004544-RA
OG0004323	FUN_015107-T1	Dm_00015626-RA
OG0004325	FUN_041309-T2, FUN_053306-T1	Dm_00000538-RA, Dm_00013156-RA
OG0004326	FUN_026359-T1, FUN_046717-T1	Dm_00002930-RA
OG0004327	FUN_024573-T1, FUN_024573-T2	Dm_00002479-RA
OG0004328	FUN_027410-T1	Dm_00019038-RA
OG0004329	FUN_033932-T1, FUN_033932-T2	Dm_00003127-RA, Dm_00001275-RA
OG0004330	FUN_048189-T1, FUN_037472-T1	Dm_00003237-RA, Dm_00004196-RA
OG0004331	FUN_024421-T1, FUN_024422-T1	Dm_00010644-RA
OG0004334	FUN_047541-T1, FUN_029267-T1	Dm_00011028-RA
OG0004335	FUN_011028-T1	Dm_00009527-RA
OG0004336	FUN_017294-T2, FUN_017294-T1	Dm_00008762-RA
OG0004338	FUN_016177-T1, FUN_024586-T1	Dm_00019383-RA, Dm_00002978-RA
OG0004339	FUN_040302-T1, FUN_015087-T1	Dm_00009165-RA
OG0004340	FUN_042617-T1	Dm_00009117-RA
OG0004341	FUN_039766-T1	Dm_00014596-RA
OG0004343	FUN_030796-T1, FUN_030796-T2, FUN_018846-T4, FUN_018846-T3, FUN_018846-T2, FUN_018846-T1	Dm_00009074-RA
OG0004344	FUN_005808-T1, FUN_020536-T1	Dm_00007113-RA
OG0004345	FUN_039866-T1, FUN_039866-T2, FUN_007785-T1	Dm_00008127-RA, Dm_00002985-RA
OG0004347	FUN_030069-T1, FUN_026938-T1	Dm_00010946-RA, Dm_00014771-RA, Dm_00018141-RA, Dm_00014926-RA
OG0004348	FUN_014932-T1, FUN_036191-T1, FUN_052501-T1	Dm_00013128-RA, Dm_00001212-RA
OG0004349	FUN_024731-T1, FUN_042919-T1	Dm_00009324-RA
OG0004350	FUN_044603-T1, FUN_053281-T1	Dm_00011547-RA, Dm_00016465-RA
OG0004352	FUN_020352-T1	Dm_00000811-RA
OG0004354	FUN_034082-T1	Dm_00020676-RA
OG0004355	FUN_036262-T1	Dm_00002454-RA, Dm_00002392-RA
OG0004356	FUN_053212-T2, FUN_053212-T1	Dm_00013067-RA
OG0004359	FUN_040359-T1, FUN_040360-T2, FUN_040360-T1	Dm_00010528-RA, Dm_00013202-RA
OG0004360	FUN_030748-T1, FUN_018880-T1	Dm_00017632-RA
OG0004361	FUN_025006-T3, FUN_025006-T1, FUN_025006-T2	Dm_00006914-RA
OG0004362	FUN_008102-T1, FUN_042083-T1	Dm_00019292-RA
OG0004363	FUN_021168-T1	Dm_00003338-RA
OG0004364	FUN_004530-T1	Dm_00001169-RA
OG0004365	FUN_004846-T1	Dm_00018909-RA
OG0004366	FUN_044693-T1	Dm_00009544-RA
OG0004367	FUN_048786-T2, FUN_048786-T1	Dm_00013142-RA, Dm_00020072-RA
OG0004368	FUN_033012-T1, FUN_033012-T2	Dm_00012172-RA, Dm_00016026-RA
OG0004370	FUN_032687-T1	Dm_00001282-RA
OG0004371	FUN_029373-T1	Dm_00013515-RA
OG0004375	FUN_025525-T1	Dm_00016284-RA
OG0004376	FUN_016445-T1, FUN_016445-T3, FUN_016445-T2	Dm_00008306-RA
OG0004377	FUN_053174-T1, FUN_053174-T2, FUN_017079-T1	Dm_00003216-RA
OG0004378	FUN_051690-T4, FUN_051690-T3, FUN_051690-T2, FUN_051690-T1	Dm_00003491-RA
OG0004379	FUN_024260-T1	Dm_00002491-RA
OG0004381	FUN_052083-T1	Dm_00004878-RA
OG0004382	FUN_035886-T2, FUN_035886-T1	Dm_00001912-RA
OG0004383	FUN_049775-T2, FUN_049775-T1	Dm_00010454-RA
OG0004384	FUN_031924-T1, FUN_031915-T1, FUN_031918-T1	Dm_00014237-RA, Dm_00005316-RA
OG0004386	FUN_024833-T4	Dm_00007489-RA
OG0004387	FUN_005677-T1	Dm_00016553-RA
OG0004389	FUN_004178-T1	Dm_00002266-RA, Dm_00009805-RA
OG0004390	FUN_003253-T2, FUN_003253-T1, FUN_003901-T2, FUN_003901-T1	Dm_00009004-RA
OG0004391	FUN_042801-T1	Dm_00010806-RA
OG0004392	FUN_031084-T1	Dm_00006185-RA
OG0004393	FUN_024300-T1	Dm_00005628-RA
OG0004394	FUN_031177-T1, FUN_025488-T1	Dm_00008708-RA
OG0004395	FUN_027203-T1	Dm_00018439-RA
OG0004397	FUN_029669-T1	Dm_00017916-RA, Dm_00017915-RA, Dm_00017913-RA
OG0004398	FUN_019235-T1, FUN_019235-T2	Dm_00002756-RA
OG0004399	FUN_035920-T1	Dm_00001870-RA
OG0004400	FUN_029527-T1	Dm_00002754-RA, Dm_00001074-RA
OG0004401	FUN_015289-T1	Dm_00012042-RA, Dm_00012041-RA
OG0004402	FUN_038104-T1	Dm_00013374-RA
OG0004403	FUN_028990-T1	Dm_00009325-RA
OG0004404	FUN_009801-T1	Dm_00017321-RA
OG0004405	FUN_051794-T1	Dm_00012025-RA
OG0004406	FUN_026474-T1, FUN_026475-T1, FUN_026473-T1	Dm_00003242-RA
OG0004407	FUN_001688-T1	Dm_00013375-RA
OG0004408	FUN_038788-T1	Dm_00011824-RA, Dm_00011825-RA
OG0004410	FUN_004621-T1	Dm_00003390-RA
OG0004411	FUN_038626-T1	Dm_00012865-RA
OG0004412	FUN_041290-T1, FUN_041289-T1, FUN_041289-T2	Dm_00018552-RA
OG0004413	FUN_047627-T1	Dm_00018688-RA, Dm_00019618-RA
OG0004415	FUN_033632-T1, FUN_033633-T1, FUN_033634-T1, FUN_023855-T1	Dm_00012383-RA
OG0004416	FUN_046780-T1, FUN_046780-T3, FUN_046780-T2	Dm_00010001-RA
OG0004417	FUN_011941-T2, FUN_011941-T1, FUN_046546-T1	Dm_00009642-RA, Dm_00005444-RA
OG0004418	FUN_002828-T1	Dm_00012386-RA
OG0004421	FUN_002001-T1	Dm_00013395-RA
OG0004422	FUN_046001-T1	Dm_00016858-RA
OG0004423	FUN_012610-T3, FUN_012610-T1, FUN_012610-T2, FUN_012609-T1	Dm_00003156-RA
OG0004424	FUN_044426-T1, FUN_001713-T1	Dm_00000332-RA, Dm_00005907-RA
OG0004426	FUN_013873-T1, FUN_013873-T2	Dm_00003307-RA, Dm_00002960-RA
OG0004427	FUN_013945-T1, FUN_022732-T1	Dm_00005497-RA, Dm_00003082-RA
OG0004428	FUN_018322-T1, FUN_041141-T1	Dm_00014513-RA
OG0004429	FUN_005346-T1, FUN_005346-T2	Dm_00009092-RA, Dm_00014772-RA
OG0004430	FUN_006218-T1	Dm_00020616-RA
OG0004431	FUN_013799-T2, FUN_013799-T3, FUN_013799-T1	Dm_00002055-RA
OG0004432	FUN_016393-T1	Dm_00001021-RA
OG0004433	FUN_000125-T1	Dm_00021062-RA
OG0004433	FUN_026484-T1	Dm_00008882-RA
OG0004434	FUN_024061-T3, FUN_024061-T2, FUN_024061-T1	Dm_00006607-RA
OG0004435	FUN_001874-T1, FUN_050361-T1	Dm_00003018-RA, Dm_00003017-RA
OG0004436	FUN_027483-T1, FUN_022410-T1	Dm_00006205-RA, Dm_00006228-RA
OG0004437	FUN_026182-T1, FUN_007892-T1	Dm_00000078-RA
OG0004438	FUN_000897-T1	Dm_00013628-RA, Dm_00000645-RA
OG0004439	FUN_005080-T2, FUN_020363-T2, FUN_020363-T1, FUN_005080-T1	Dm_00001854-RA
OG0004440	FUN_005139-T1, FUN_019360-T1, FUN_019360-T2	Dm_00009415-RA
OG0004441	FUN_007923-T1, FUN_007923-T2, FUN_007923-T3	Dm_00017378-RA
OG0004442	FUN_022895-T1	Dm_00010706-RA, Dm_00002057-RA
OG0004445	FUN_005980-T2, FUN_005980-T3, FUN_005980-T4, FUN_005980-T1	Dm_00007188-RA
OG0004446	FUN_023307-T1, FUN_015015-T1	Dm_00010767-RA, Dm_00004750-RA
OG0004447	FUN_026865-T3, FUN_026865-T2, FUN_026865-T1	Dm_00000750-RA
OG0004448	FUN_036908-T1, FUN_049597-T1	Dm_00020502-RA
OG0004449	FUN_008406-T2, FUN_008406-T1	Dm_00018834-RA
OG0004450	FUN_001955-T1	Dm_00006714-RA, Dm_00002247-RA
OG0004451	FUN_023892-T1, FUN_023904-T1, FUN_050048-T1	Dm_00012908-RA
OG0004452	FUN_007846-T1	Dm_00002246-RA
OG0004453	FUN_022274-T1	Dm_00014777-RA
OG0004454	FUN_036326-T1	Dm_00016072-RA, Dm_00000395-RA
OG0004455	FUN_037566-T1, FUN_048267-T1	Dm_00013878-RA
OG0004456	FUN_036920-T1	Dm_00004112-RA
OG0004457	FUN_047120-T1	Dm_00020192-RA
OG0004458	FUN_021518-T1, FUN_005403-T1	Dm_00006486-RA
OG0004459	FUN_008786-T1, FUN_044987-T1	Dm_00018049-RA
OG0004460	FUN_021134-T2, FUN_021134-T1, FUN_021134-T3	Dm_00000631-RA
OG0004461	FUN_012974-T1, FUN_012974-T2	Dm_00000104-RA
OG0004463	FUN_018618-T1, FUN_040622-T1	Dm_00008007-RA
OG0004464	FUN_005025-T1	Dm_00019978-RA
OG0004466	FUN_033298-T1, FUN_039658-T1	Dm_00016183-RA
