Orthogroup	L_sativa.proteins	D_muscipula.proteins
OG0006585	Lsat_1_v5_gn_5_171020.1, Lsat_1_v5_gn_8_72140.1	Dm_00003531-RA
OG0006586	Lsat_1_v5_gn_6_34681.1	Dm_00010421-RA
OG0006588	Lsat_1_v5_gn_9_20000.1, Lsat_1_v5_gn_9_20000.3	Dm_00014920-RA, Dm_00018984-RA, Dm_00018983-RA
OG0006589	Lsat_1_v5_gn_2_52420.2, Lsat_1_v5_gn_2_52420.1, Lsat_1_v5_gn_6_52980.1	Dm_00015323-RA, Dm_00002140-RA
OG0006590	Lsat_1_v5_gn_2_124020.1	Dm_00016523-RA
OG0006591	Lsat_1_v5_gn_5_173280.1, Lsat_1_v5_gn_5_173280.2	Dm_00015253-RA
OG0006592	Lsat_1_v5_gn_7_110680.1	Dm_00013101-RA
OG0006593	Lsat_1_v5_gn_4_29400.1	Dm_00005906-RA
OG0006594	Lsat_1_v5_gn_8_71240.1	Dm_00015961-RA, Dm_00007346-RA
OG0006595	Lsat_1_v5_gn_8_72241.3, Lsat_1_v5_gn_8_72241.1	Dm_00003530-RA
OG0006596	Lsat_1_v5_gn_2_54440.1, Lsat_1_v5_gn_2_54440.3	Dm_00018538-RA
OG0006597	Lsat_1_v5_gn_9_18361.1	Dm_00020088-RA, Dm_00005265-RA, Dm_00018334-RA
OG0006598	Lsat_1_v5_gn_1_41861.1	Dm_00002903-RA
OG0006599	Lsat_1_v5_gn_9_71060.3, Lsat_1_v5_gn_9_71060.1	Dm_00003762-RA
OG0006600	Lsat_1_v5_gn_2_63540.1, Lsat_1_v5_gn_2_63540.2	Dm_00018181-RA
OG0006601	Lsat_1_v5_gn_2_102920.1, Lsat_1_v5_gn_2_102920.2	Dm_00007869-RA
OG0006602	Lsat_1_v5_gn_6_113040.2, Lsat_1_v5_gn_6_113040.1, Lsat_1_v5_gn_1_58161.1, Lsat_1_v5_gn_1_58161.3	Dm_00004389-RA
OG0006604	Lsat_1_v5_gn_5_166481.2, Lsat_1_v5_gn_5_166481.1	Dm_00019716-RA
OG0006605	Lsat_1_v5_gn_5_44941.1, Lsat_1_v5_gn_5_44941.3	Dm_00003755-RA
OG0006606	Lsat_1_v5_gn_5_65341.1, Lsat_1_v5_gn_5_65341.2	Dm_00011191-RA
OG0006607	Lsat_1_v5_gn_8_77361.1, Lsat_1_v5_gn_9_20601.1, Lsat_1_v5_gn_5_164981.1	Dm_00001390-RA
OG0006608	Lsat_1_v5_gn_1_50021.1, Lsat_1_v5_gn_6_26321.1	Dm_00004641-RA, Dm_00016481-RA
OG0006609	Lsat_1_v5_gn_4_46020.1	Dm_00002976-RA
OG0006610	Lsat_1_v5_gn_4_65361.1, Lsat_1_v5_gn_7_98980.1	Dm_00012959-RA, Dm_00017944-RA
OG0006612	Lsat_1_v5_gn_3_79681.1	Dm_00015837-RA
OG0006613	Lsat_1_v5_gn_8_83700.1	Dm_00012371-RA
OG0006614	Lsat_1_v5_gn_9_24720.3, Lsat_1_v5_gn_9_24720.1	Dm_00009894-RA
OG0006615	Lsat_1_v5_gn_4_177141.1, Lsat_1_v5_gn_5_154461.1	Dm_00005176-RA
OG0006616	Lsat_1_v5_gn_1_30120.1, Lsat_1_v5_gn_4_84280.1	Dm_00020720-RA, Dm_00003265-RA
OG0006617	Lsat_1_v5_gn_4_82541.1	Dm_00000285-RA
OG0006618	Lsat_1_v5_gn_6_87160.1, Lsat_1_v5_gn_6_87160.2	Dm_00013435-RA
OG0006620	Lsat_1_v5_gn_3_28040.1	Dm_00000525-RA
OG0006621	Lsat_1_v5_gn_4_43240.3, Lsat_1_v5_gn_4_43240.2, Lsat_1_v5_gn_4_43240.1	Dm_00003833-RA
OG0006622	Lsat_1_v5_gn_6_16801.2, Lsat_1_v5_gn_6_16801.3, Lsat_1_v5_gn_6_16801.1	Dm_00012775-RA
OG0006623	Lsat_1_v5_gn_2_76041.1, Lsat_1_v5_gn_2_76041.3	Dm_00015204-RA
OG0006624	Lsat_1_v5_gn_6_110641.1	Dm_00008111-RA
OG0006625	Lsat_1_v5_gn_2_66680.2, Lsat_1_v5_gn_2_66680.1	Dm_00016476-RA
OG0006626	Lsat_1_v5_gn_2_135821.3, Lsat_1_v5_gn_2_135821.1, Lsat_1_v5_gn_8_4981.1	Dm_00014192-RA, Dm_00012484-RA, Dm_00000463-RA
OG0006627	Lsat_1_v5_gn_6_11921.1	Dm_00001557-RA
OG0006628	Lsat_1_v5_gn_5_71940.1, Lsat_1_v5_gn_3_122300.1	Dm_00020206-RA
OG0006629	Lsat_1_v5_gn_1_33020.3, Lsat_1_v5_gn_1_33020.2, Lsat_1_v5_gn_1_33020.1	Dm_00000287-RA
OG0006630	Lsat_1_v5_gn_6_14820.1, Lsat_1_v5_gn_6_14820.2	Dm_00012656-RA
OG0006631	Lsat_1_v5_gn_4_135821.2, Lsat_1_v5_gn_4_135821.1	Dm_00012843-RA, Dm_00002714-RA
OG0006632	Lsat_1_v5_gn_4_1681.1	Dm_00010352-RA, Dm_00017396-RA
OG0006633	Lsat_1_v5_gn_2_94301.1, Lsat_1_v5_gn_2_94301.3	Dm_00011580-RA
OG0006634	Lsat_1_v5_gn_2_87221.1, Lsat_1_v5_gn_4_179201.1	Dm_00001082-RA
OG0006635	Lsat_1_v5_gn_8_151441.1	Dm_00012433-RA
OG0006636	Lsat_1_v5_gn_1_25881.3, Lsat_1_v5_gn_1_25881.2, Lsat_1_v5_gn_1_25881.1	Dm_00002710-RA
OG0006637	Lsat_1_v5_gn_6_99680.1	Dm_00012674-RA
OG0006638	Lsat_1_v5_gn_2_5220.3, Lsat_1_v5_gn_2_5220.2, Lsat_1_v5_gn_3_16701.1, Lsat_1_v5_gn_2_5220.1, Lsat_1_v5_gn_2_5220.6, Lsat_1_v5_gn_2_5220.5	Dm_00000416-RA
OG0006641	Lsat_1_v5_gn_5_145741.2, Lsat_1_v5_gn_5_145741.1	Dm_00011304-RA
OG0006643	Lsat_1_v5_gn_2_67580.1, Lsat_1_v5_gn_2_67580.2	Dm_00003303-RA, Dm_00015336-RA
OG0006644	Lsat_1_v5_gn_5_169980.1, Lsat_1_v5_gn_9_3581.1, Lsat_1_v5_gn_9_3581.2, Lsat_1_v5_gn_9_3581.3	Dm_00008895-RA
OG0006646	Lsat_1_v5_gn_9_46781.1, Lsat_1_v5_gn_9_46781.3	Dm_00004894-RA
OG0006647	Lsat_1_v5_gn_4_67320.3, Lsat_1_v5_gn_4_67320.1	Dm_00004014-RA, Dm_00015166-RA
OG0006648	Lsat_1_v5_gn_4_36480.1, Lsat_1_v5_gn_4_36480.2	Dm_00010375-RA
OG0006649	Lsat_1_v5_gn_9_5920.1, Lsat_1_v5_gn_8_163780.2, Lsat_1_v5_gn_8_163780.1	Dm_00019896-RA
OG0006650	Lsat_1_v5_gn_7_1500.1, Lsat_1_v5_gn_7_30240.2	Dm_00006074-RA, Dm_00008060-RA
OG0006651	Lsat_1_v5_gn_3_10401.1, Lsat_1_v5_gn_3_10401.3, Lsat_1_v5_gn_6_12221.1, Lsat_1_v5_gn_6_12221.3	Dm_00009993-RA
OG0006652	Lsat_1_v5_gn_9_118301.1, Lsat_1_v5_gn_7_67181.1, Lsat_1_v5_gn_7_67201.1	Dm_00015733-RA
OG0006653	Lsat_1_v5_gn_4_14441.3, Lsat_1_v5_gn_4_14441.1	Dm_00010036-RA
OG0006655	Lsat_1_v5_gn_4_84620.1, Lsat_1_v5_gn_4_1580.1	Dm_00019832-RA
OG0006656	Lsat_1_v5_gn_8_2981.3, Lsat_1_v5_gn_8_2981.1	Dm_00001224-RA
OG0006657	Lsat_1_v5_gn_2_76601.1, Lsat_1_v5_gn_2_76601.2	Dm_00016276-RA
OG0006658	Lsat_1_v5_gn_6_18021.2, Lsat_1_v5_gn_6_18021.1	Dm_00005333-RA
OG0006659	Lsat_1_v5_gn_4_177820.1, Lsat_1_v5_gn_4_177820.3	Dm_00001080-RA
OG0006661	Lsat_1_v5_gn_7_83320.1, Lsat_1_v5_gn_7_83320.3	Dm_00014730-RA
OG0006662	Lsat_1_v5_gn_2_41221.1, Lsat_1_v5_gn_2_41221.2, Lsat_1_v5_gn_2_41221.4	Dm_00002632-RA
OG0006663	Lsat_1_v5_gn_3_52040.2, Lsat_1_v5_gn_3_52040.1	Dm_00001987-RA
OG0006664	Lsat_1_v5_gn_6_95721.1	Dm_00018416-RA, Dm_00011779-RA
OG0006665	Lsat_1_v5_gn_9_6900.1	Dm_00011057-RA, Dm_00000916-RA
OG0006666	Lsat_1_v5_gn_3_94181.1, Lsat_1_v5_gn_3_94181.3	Dm_00003369-RA
OG0006667	Lsat_1_v5_gn_1_10481.1	Dm_00016061-RA, Dm_00017664-RA
OG0006668	Lsat_1_v5_gn_5_50761.1	Dm_00020306-RA
OG0006669	Lsat_1_v5_gn_7_84560.1, Lsat_1_v5_gn_7_84560.2, Lsat_1_v5_gn_9_113920.3, Lsat_1_v5_gn_9_113920.1, Lsat_1_v5_gn_9_113920.2	Dm_00018211-RA
OG0006672	Lsat_1_v5_gn_7_3220.1, Lsat_1_v5_gn_7_3220.2	Dm_00005482-RA
OG0006673	Lsat_1_v5_gn_8_90281.1	Dm_00010279-RA
OG0006674	Lsat_1_v5_gn_6_56241.2, Lsat_1_v5_gn_6_56241.1, Lsat_1_v5_gn_6_56241.3	Dm_00000533-RA
OG0006676	Lsat_1_v5_gn_5_187201.1, Lsat_1_v5_gn_9_49380.4	Dm_00002589-RA
OG0006677	Lsat_1_v5_gn_2_70900.1, Lsat_1_v5_gn_3_61281.1	Dm_00020813-RA
OG0006678	Lsat_1_v5_gn_5_88220.3, Lsat_1_v5_gn_5_88220.2, Lsat_1_v5_gn_5_88220.1, Lsat_1_v5_gn_7_51181.1	Dm_00007321-RA
OG0006679	Lsat_1_v5_gn_1_221.1	Dm_00002495-RA
OG0006680	Lsat_1_v5_gn_7_89801.3, Lsat_1_v5_gn_7_89801.1, Lsat_1_v5_gn_7_89821.3, Lsat_1_v5_gn_9_109300.1, Lsat_1_v5_gn_9_109300.2, Lsat_1_v5_gn_9_109300.4	Dm_00001742-RA
OG0006682	Lsat_1_v5_gn_2_93500.3, Lsat_1_v5_gn_2_93500.1	Dm_00008771-RA
OG0006683	Lsat_1_v5_gn_2_16740.1, Lsat_1_v5_gn_2_16740.3, Lsat_1_v5_gn_2_16740.2, Lsat_1_v5_gn_2_16740.4	Dm_00004898-RA
OG0006684	Lsat_1_v5_gn_2_108321.3, Lsat_1_v5_gn_2_108321.1	Dm_00004719-RA
OG0006685	Lsat_1_v5_gn_5_118821.1, Lsat_1_v5_gn_9_108501.1	Dm_00007098-RA
OG0006686	Lsat_1_v5_gn_7_59201.3, Lsat_1_v5_gn_7_59201.1, Lsat_1_v5_gn_7_6120.1	Dm_00015746-RA
OG0006687	Lsat_1_v5_gn_4_131820.1, Lsat_1_v5_gn_9_69440.1, Lsat_1_v5_gn_9_69440.3	Dm_00010603-RA, Dm_00018776-RA
OG0006688	Lsat_1_v5_gn_5_109981.2, Lsat_1_v5_gn_5_109981.1	Dm_00013520-RA
OG0006689	Lsat_1_v5_gn_4_161681.1	Dm_00006595-RA, Dm_00013859-RA
OG0006690	Lsat_1_v5_gn_2_7381.3, Lsat_1_v5_gn_2_7381.1	Dm_00000121-RA
OG0006691	Lsat_1_v5_gn_8_150760.1, Lsat_1_v5_gn_8_150760.3	Dm_00011945-RA
OG0006692	Lsat_1_v5_gn_5_191360.2, Lsat_1_v5_gn_5_191360.1, Lsat_1_v5_gn_5_191360.4	Dm_00015466-RA
OG0006693	Lsat_1_v5_gn_5_13060.1, Lsat_1_v5_gn_5_13060.3	Dm_00001681-RA, Dm_00001682-RA
OG0006694	Lsat_1_v5_gn_3_24381.1	Dm_00001922-RA, Dm_00001921-RA
OG0006695	Lsat_1_v5_gn_7_12720.1, Lsat_1_v5_gn_7_12720.3	Dm_00012704-RA
OG0006697	Lsat_1_v5_gn_6_9421.1	Dm_00004475-RA, Dm_00004906-RA
OG0006698	Lsat_1_v5_gn_2_72161.1, Lsat_1_v5_gn_2_72161.3, Lsat_1_v5_gn_2_72161.5, Lsat_1_v5_gn_5_96540.1, Lsat_1_v5_gn_2_72121.1, Lsat_1_v5_gn_2_72121.2	Dm_00007306-RA
OG0006699	Lsat_1_v5_gn_4_77360.1	Dm_00001704-RA, Dm_00019672-RA
OG0006700	Lsat_1_v5_gn_3_57900.1, Lsat_1_v5_gn_1_95200.1	Dm_00002777-RA, Dm_00013684-RA
OG0006702	Lsat_1_v5_gn_8_9541.1	Dm_00018843-RA
OG0006703	Lsat_1_v5_gn_4_145980.3, Lsat_1_v5_gn_4_145980.1	Dm_00001996-RA
OG0006704	Lsat_1_v5_gn_4_105560.1, Lsat_1_v5_gn_4_105560.3	Dm_00009778-RA
OG0006706	Lsat_1_v5_gn_3_79201.3, Lsat_1_v5_gn_3_79201.1	Dm_00013929-RA
OG0006707	Lsat_1_v5_gn_3_58041.1, Lsat_1_v5_gn_3_58041.2, Lsat_1_v5_gn_4_19561.1	Dm_00005315-RA
OG0006708	Lsat_1_v5_gn_0_32180.3, Lsat_1_v5_gn_0_32180.2, Lsat_1_v5_gn_0_32180.1, Lsat_1_v5_gn_2_91301.3, Lsat_1_v5_gn_2_91301.2, Lsat_1_v5_gn_2_91301.1	Dm_00018964-RA
OG0006709	Lsat_1_v5_gn_1_82780.3, Lsat_1_v5_gn_1_82780.1, Lsat_1_v5_gn_4_38480.1	Dm_00020979-RA, Dm_00005253-RA
OG0006710	Lsat_1_v5_gn_5_19040.1, Lsat_1_v5_gn_5_19040.2	Dm_00013051-RA
OG0006711	Lsat_1_v5_gn_8_144040.2, Lsat_1_v5_gn_8_144040.1	Dm_00013893-RA
OG0006714	Lsat_1_v5_gn_9_32341.2, Lsat_1_v5_gn_9_32341.1	Dm_00005729-RA
OG0006715	Lsat_1_v5_gn_4_183381.2, Lsat_1_v5_gn_4_183381.1	Dm_00008867-RA
OG0006716	Lsat_1_v5_gn_9_105860.3, Lsat_1_v5_gn_9_105860.2, Lsat_1_v5_gn_9_105860.1, Lsat_1_v5_gn_2_93981.1, Lsat_1_v5_gn_2_93981.5	Dm_00013354-RA, Dm_00018586-RA
OG0006717	Lsat_1_v5_gn_3_65121.1, Lsat_1_v5_gn_3_65121.2, Lsat_1_v5_gn_8_115481.2, Lsat_1_v5_gn_8_115481.1, Lsat_1_v5_gn_8_115481.3	Dm_00014097-RA
OG0006718	Lsat_1_v5_gn_3_94961.3, Lsat_1_v5_gn_3_94961.1, Lsat_1_v5_gn_2_89480.2, Lsat_1_v5_gn_2_89480.1	Dm_00019669-RA
OG0006719	Lsat_1_v5_gn_8_147101.1	Dm_00012308-RA
OG0006720	Lsat_1_v5_gn_5_22901.1	Dm_00007314-RA
OG0006721	Lsat_1_v5_gn_3_600.1	Dm_00000229-RA
OG0006722	Lsat_1_v5_gn_2_95061.1, Lsat_1_v5_gn_2_95061.3	Dm_00020730-RA
OG0006723	Lsat_1_v5_gn_3_49320.1	Dm_00016305-RA, Dm_00002851-RA
OG0006724	Lsat_1_v5_gn_3_94620.1	Dm_00014380-RA
OG0006725	Lsat_1_v5_gn_8_9940.1, Lsat_1_v5_gn_8_9940.3	Dm_00003718-RA
OG0006726	Lsat_1_v5_gn_5_23380.1, Lsat_1_v5_gn_5_23380.3	Dm_00018715-RA
OG0006727	Lsat_1_v5_gn_8_46480.1, Lsat_1_v5_gn_8_46480.3, Lsat_1_v5_gn_8_46480.2	Dm_00003182-RA
OG0006728	Lsat_1_v5_gn_4_185320.1	Dm_00001855-RA, Dm_00017375-RA
OG0006729	Lsat_1_v5_gn_4_173241.1	Dm_00017894-RA
OG0006730	Lsat_1_v5_gn_3_106381.2, Lsat_1_v5_gn_3_106381.1, Lsat_1_v5_gn_4_25561.1, Lsat_1_v5_gn_4_25561.3	Dm_00009602-RA
OG0006731	Lsat_1_v5_gn_3_81141.1	Dm_00013407-RA
OG0006734	Lsat_1_v5_gn_3_54221.1, Lsat_1_v5_gn_3_54221.2, Lsat_1_v5_gn_4_15400.1	Dm_00007797-RA
OG0006735	Lsat_1_v5_gn_4_26421.1	Dm_00009354-RA
OG0006736	Lsat_1_v5_gn_9_47621.1, Lsat_1_v5_gn_9_47621.2	Dm_00000400-RA, Dm_00000233-RA
OG0006738	Lsat_1_v5_gn_9_47781.1, Lsat_1_v5_gn_9_47781.3	Dm_00021038-RA, Dm_00000245-RA, Dm_00021037-RA
OG0006739	Lsat_1_v5_gn_1_15601.4, Lsat_1_v5_gn_1_15601.1	Dm_00010274-RA
OG0006740	Lsat_1_v5_gn_6_88140.1, Lsat_1_v5_gn_6_64820.1	Dm_00019204-RA, Dm_00011035-RA
OG0006742	Lsat_1_v5_gn_4_42380.1, Lsat_1_v5_gn_6_3400.1	Dm_00016904-RA, Dm_00007066-RA
OG0006743	Lsat_1_v5_gn_4_241.1, Lsat_1_v5_gn_4_241.3, Lsat_1_v5_gn_8_147381.2, Lsat_1_v5_gn_8_147381.1	Dm_00012390-RA
OG0006745	Lsat_1_v5_gn_1_84561.1, Lsat_1_v5_gn_1_84561.2, Lsat_1_v5_gn_1_84561.4, Lsat_1_v5_gn_1_84561.3	Dm_00006233-RA
OG0006746	Lsat_1_v5_gn_4_75381.1, Lsat_1_v5_gn_1_27020.1	Dm_00002595-RA, Dm_00004914-RA
OG0006747	Lsat_1_v5_gn_2_114120.1, Lsat_1_v5_gn_2_114120.4	Dm_00007193-RA
OG0006748	Lsat_1_v5_gn_3_80440.1	Dm_00013025-RA, Dm_00009673-RA
OG0006749	Lsat_1_v5_gn_4_78400.1, Lsat_1_v5_gn_4_78400.2, Lsat_1_v5_gn_4_78400.3, Lsat_1_v5_gn_1_28641.1, Lsat_1_v5_gn_1_28641.3, Lsat_1_v5_gn_3_37520.1	Dm_00001688-RA
OG0006750	Lsat_1_v5_gn_1_5881.1	Dm_00014618-RA
OG0006752	Lsat_1_v5_gn_2_127180.3	Dm_00015408-RA
OG0006754	Lsat_1_v5_gn_4_109001.1, Lsat_1_v5_gn_1_13901.1	Dm_00013626-RA
OG0006755	Lsat_1_v5_gn_2_27601.3, Lsat_1_v5_gn_2_27601.1, Lsat_1_v5_gn_2_27601.2	Dm_00002402-RA
OG0006756	Lsat_1_v5_gn_0_16560.1, Lsat_1_v5_gn_4_180660.1	Dm_00003992-RA
OG0006757	Lsat_1_v5_gn_8_821.1, Lsat_1_v5_gn_8_821.4	Dm_00015287-RA
OG0006758	Lsat_1_v5_gn_5_182161.1	Dm_00000403-RA
OG0006759	Lsat_1_v5_gn_8_52761.2, Lsat_1_v5_gn_8_52761.1	Dm_00010131-RA
OG0006760	Lsat_1_v5_gn_8_163401.1, Lsat_1_v5_gn_3_49941.1	Dm_00005963-RA
OG0006761	Lsat_1_v5_gn_4_154740.1	Dm_00015075-RA
OG0006762	Lsat_1_v5_gn_1_26920.1, Lsat_1_v5_gn_1_26920.3	Dm_00004912-RA
OG0006763	Lsat_1_v5_gn_2_11841.3, Lsat_1_v5_gn_2_11841.2, Lsat_1_v5_gn_2_11841.1	Dm_00006148-RA
OG0006764	Lsat_1_v5_gn_4_13581.1, Lsat_1_v5_gn_8_44380.3, Lsat_1_v5_gn_8_44380.1, Lsat_1_v5_gn_8_44380.2, Lsat_1_v5_gn_3_55680.1, Lsat_1_v5_gn_3_55680.2	Dm_00003194-RA
OG0006766	Lsat_1_v5_gn_8_80440.1, Lsat_1_v5_gn_8_80440.3	Dm_00008147-RA
OG0006767	Lsat_1_v5_gn_8_24161.1, Lsat_1_v5_gn_8_24161.3	Dm_00018603-RA
OG0006768	Lsat_1_v5_gn_8_89360.3	Dm_00013046-RA, Dm_00013045-RA
OG0006769	Lsat_1_v5_gn_3_82901.1, Lsat_1_v5_gn_3_54021.1	Dm_00002824-RA, Dm_00002348-RA
OG0006770	Lsat_1_v5_gn_4_9740.1	Dm_00001994-RA
OG0006771	Lsat_1_v5_gn_8_36361.1	Dm_00001931-RA
OG0006772	Lsat_1_v5_gn_8_54140.1, Lsat_1_v5_gn_3_51421.1	Dm_00007003-RA
OG0006773	Lsat_1_v5_gn_8_53300.1	Dm_00005702-RA
OG0006774	Lsat_1_v5_gn_4_75421.1, Lsat_1_v5_gn_5_17200.3, Lsat_1_v5_gn_5_17200.1	Dm_00004911-RA
OG0006775	Lsat_1_v5_gn_3_22001.1, Lsat_1_v5_gn_3_22001.3	Dm_00014756-RA
OG0006776	Lsat_1_v5_gn_4_155600.1	Dm_00009610-RA
OG0006777	Lsat_1_v5_gn_6_1001.1, Lsat_1_v5_gn_6_760.1, Lsat_1_v5_gn_8_62140.1, Lsat_1_v5_gn_6_840.1	Dm_00007526-RA
OG0006778	Lsat_1_v5_gn_6_83700.2, Lsat_1_v5_gn_6_83700.3, Lsat_1_v5_gn_6_83700.1, Lsat_1_v5_gn_3_11200.1, Lsat_1_v5_gn_3_11200.3, Lsat_1_v5_gn_3_11200.2	Dm_00019994-RA
OG0006780	Lsat_1_v5_gn_4_89360.1	Dm_00013705-RA, Dm_00010457-RA
OG0006782	Lsat_1_v5_gn_5_78620.1	Dm_00015854-RA, Dm_00015096-RA, Dm_00002548-RA, Dm_00003862-RA
OG0006783	Lsat_1_v5_gn_7_27321.1, Lsat_1_v5_gn_7_27321.2, Lsat_1_v5_gn_7_27321.3, Lsat_1_v5_gn_1_42040.1	Dm_00009576-RA
OG0006787	Lsat_1_v5_gn_4_40021.1, Lsat_1_v5_gn_1_119501.1, Lsat_1_v5_gn_4_150321.2, Lsat_1_v5_gn_4_150321.1, Lsat_1_v5_gn_4_150321.3, Lsat_1_v5_gn_8_17620.1, Lsat_1_v5_gn_8_158740.3, Lsat_1_v5_gn_4_127421.4, Lsat_1_v5_gn_4_127421.1, Lsat_1_v5_gn_8_158740.1, Lsat_1_v5_gn_4_40041.1, Lsat_1_v5_gn_4_40041.2, Lsat_1_v5_gn_2_112881.4, Lsat_1_v5_gn_8_13741.2, Lsat_1_v5_gn_8_13741.1, Lsat_1_v5_gn_4_40041.3, Lsat_1_v5_gn_4_40021.3, Lsat_1_v5_gn_2_112881.2, Lsat_1_v5_gn_2_112881.1	Dm_00016764-RA
OG0006795	Lsat_1_v5_gn_7_5181.1, Lsat_1_v5_gn_4_36461.1, Lsat_1_v5_gn_4_36461.2	Dm_00014054-RA, Dm_00009981-RA
OG0006834	Lsat_1_v5_gn_3_22761.1, Lsat_1_v5_gn_6_76300.1	Dm_00002839-RA, Dm_00008137-RA
OG0006835	Lsat_1_v5_gn_0_4801.1	Dm_00018756-RA
OG0006836	Lsat_1_v5_gn_3_111800.1, Lsat_1_v5_gn_3_111800.2	Dm_00009169-RA
OG0006837	Lsat_1_v5_gn_4_171720.1, Lsat_1_v5_gn_4_171720.3, Lsat_1_v5_gn_6_4060.2, Lsat_1_v5_gn_6_4060.1, Lsat_1_v5_gn_3_18761.1	Dm_00016002-RA
OG0006838	Lsat_1_v5_gn_9_1701.1, Lsat_1_v5_gn_5_189941.1	Dm_00019949-RA, Dm_00018316-RA
OG0006840	Lsat_1_v5_gn_8_56220.1, Lsat_1_v5_gn_9_4061.2, Lsat_1_v5_gn_9_4061.1	Dm_00015911-RA
OG0006842	Lsat_1_v5_gn_2_92220.2, Lsat_1_v5_gn_2_92220.1	Dm_00014946-RA, Dm_00012560-RA
OG0006843	Lsat_1_v5_gn_7_96560.1, Lsat_1_v5_gn_5_50401.1, Lsat_1_v5_gn_8_146180.2, Lsat_1_v5_gn_5_50421.1, Lsat_1_v5_gn_2_92080.3, Lsat_1_v5_gn_6_69061.3, Lsat_1_v5_gn_2_92080.1, Lsat_1_v5_gn_0_41600.1, Lsat_1_v5_gn_5_61500.2, Lsat_1_v5_gn_7_96560.3, Lsat_1_v5_gn_3_85700.1	Dm_00005518-RA
OG0006844	Lsat_1_v5_gn_9_33021.1, Lsat_1_v5_gn_9_33021.2	Dm_00014704-RA, Dm_00014445-RA
OG0006845	Lsat_1_v5_gn_5_63100.1, Lsat_1_v5_gn_5_63100.2	Dm_00002200-RA
OG0006846	Lsat_1_v5_gn_2_123940.2, Lsat_1_v5_gn_2_123940.1	Dm_00010084-RA
OG0006847	Lsat_1_v5_gn_5_160501.3, Lsat_1_v5_gn_5_160501.1	Dm_00007442-RA
OG0006848	Lsat_1_v5_gn_4_53101.1	Dm_00007215-RA, Dm_00004983-RA, Dm_00015661-RA, Dm_00018782-RA
OG0006849	Lsat_1_v5_gn_5_76001.1	Dm_00012634-RA
OG0006850	Lsat_1_v5_gn_5_94361.1	Dm_00018491-RA
OG0006851	Lsat_1_v5_gn_5_108141.1	Dm_00008342-RA
OG0006852	Lsat_1_v5_gn_7_62281.4, Lsat_1_v5_gn_7_62281.1	Dm_00001983-RA
OG0006853	Lsat_1_v5_gn_5_64980.1, Lsat_1_v5_gn_5_64980.3	Dm_00005437-RA
OG0006855	Lsat_1_v5_gn_9_26721.1, Lsat_1_v5_gn_8_74300.3, Lsat_1_v5_gn_8_74300.1	Dm_00008020-RA
OG0006856	Lsat_1_v5_gn_7_79121.3, Lsat_1_v5_gn_7_79121.1	Dm_00015295-RA
OG0006857	Lsat_1_v5_gn_6_61961.5, Lsat_1_v5_gn_6_61961.3, Lsat_1_v5_gn_4_185280.5, Lsat_1_v5_gn_6_61961.4, Lsat_1_v5_gn_0_37861.1	Dm_00014355-RA
OG0006858	Lsat_1_v5_gn_6_21280.1	Dm_00006678-RA
OG0006859	Lsat_1_v5_gn_5_186800.2, Lsat_1_v5_gn_5_186800.1	Dm_00011214-RA
OG0006861	Lsat_1_v5_gn_1_39980.1, Lsat_1_v5_gn_4_14320.1	Dm_00011752-RA
OG0006862	Lsat_1_v5_gn_1_69581.2, Lsat_1_v5_gn_1_69581.1	Dm_00002952-RA
OG0006863	Lsat_1_v5_gn_6_14240.2, Lsat_1_v5_gn_6_14240.3, Lsat_1_v5_gn_6_14240.1	Dm_00009611-RA
OG0006866	Lsat_1_v5_gn_4_11741.1	Dm_00003180-RA
OG0006867	Lsat_1_v5_gn_1_104541.2, Lsat_1_v5_gn_1_104541.1, Lsat_1_v5_gn_4_32000.1	Dm_00005913-RA
OG0006868	Lsat_1_v5_gn_5_148721.2, Lsat_1_v5_gn_5_148721.1	Dm_00008041-RA
OG0006869	Lsat_1_v5_gn_9_65501.4, Lsat_1_v5_gn_6_29060.2, Lsat_1_v5_gn_6_29060.1, Lsat_1_v5_gn_1_51101.1	Dm_00019010-RA
OG0006871	Lsat_1_v5_gn_9_66280.4, Lsat_1_v5_gn_9_66280.3, Lsat_1_v5_gn_9_66280.5	Dm_00015882-RA
OG0006874	Lsat_1_v5_gn_1_77921.3, Lsat_1_v5_gn_1_77921.1	Dm_00013513-RA, Dm_00006330-RA
OG0006875	Lsat_1_v5_gn_5_191301.1, Lsat_1_v5_gn_9_5701.1	Dm_00008879-RA
OG0006876	Lsat_1_v5_gn_8_83000.1, Lsat_1_v5_gn_5_159820.1	Dm_00015609-RA
OG0006877	Lsat_1_v5_gn_8_75720.1, Lsat_1_v5_gn_5_170800.1, Lsat_1_v5_gn_9_23281.3, Lsat_1_v5_gn_9_23281.1	Dm_00004543-RA
OG0006879	Lsat_1_v5_gn_6_15401.1	Dm_00011329-RA
OG0006880	Lsat_1_v5_gn_6_83601.1, Lsat_1_v5_gn_6_83601.3	Dm_00009946-RA
OG0006881	Lsat_1_v5_gn_1_71660.1, Lsat_1_v5_gn_1_71660.2	Dm_00012518-RA
OG0006882	Lsat_1_v5_gn_9_13960.1	Dm_00017690-RA
OG0006883	Lsat_1_v5_gn_8_94460.2, Lsat_1_v5_gn_8_94460.1, Lsat_1_v5_gn_9_7981.1, Lsat_1_v5_gn_9_7981.2	Dm_00013299-RA
