Orthogroup	L_sativa.proteins	A_vesiculosa.proteins
OG0005139	Lsat_1_v5_gn_8_66440.2, Lsat_1_v5_gn_8_66440.4, Lsat_1_v5_gn_8_66440.1, Lsat_1_v5_gn_7_51841.2, Lsat_1_v5_gn_7_51841.1	Av_00009823-RA
OG0005140	Lsat_1_v5_gn_5_127421.3, Lsat_1_v5_gn_5_127421.1, Lsat_1_v5_gn_7_42380.4, Lsat_1_v5_gn_7_42380.1, Lsat_1_v5_gn_0_4360.1, Lsat_1_v5_gn_5_140640.1, Lsat_1_v5_gn_7_42380.3, Lsat_1_v5_gn_4_180780.1	Av_00002362-RA, Av_00017214-RA
OG0005143	Lsat_1_v5_gn_1_72081.1, Lsat_1_v5_gn_1_72081.2, Lsat_1_v5_gn_4_62761.1, Lsat_1_v5_gn_0_23521.1, Lsat_1_v5_gn_0_23521.2	Av_00022183-RA, Av_00000734-RA, Av_00005984-RA
OG0005145	Lsat_1_v5_gn_9_88160.1, Lsat_1_v5_gn_9_88160.3	Av_00012453-RA
OG0005146	Lsat_1_v5_gn_7_13001.2, Lsat_1_v5_gn_7_13001.1, Lsat_1_v5_gn_4_63880.1	Av_00003715-RA, Av_00007455-RA
OG0005147	Lsat_1_v5_gn_7_108620.1, Lsat_1_v5_gn_7_108620.2	Av_00019726-RA, Av_00003078-RA, Av_00007888-RA, Av_00024637-RA
OG0005148	Lsat_1_v5_gn_5_92700.1, Lsat_1_v5_gn_5_92700.2	Av_00007374-RA
OG0005149	Lsat_1_v5_gn_3_35260.1, Lsat_1_v5_gn_3_35260.2, Lsat_1_v5_gn_9_102941.1	Av_00018280-RA, Av_00004697-RA
OG0005152	Lsat_1_v5_gn_6_86880.1, Lsat_1_v5_gn_9_48260.1, Lsat_1_v5_gn_9_48260.2	Av_00009796-RA, Av_00008753-RA
OG0005153	Lsat_1_v5_gn_0_5240.1, Lsat_1_v5_gn_0_5260.3, Lsat_1_v5_gn_0_5240.3, Lsat_1_v5_gn_0_5260.1, Lsat_1_v5_gn_7_106621.3, Lsat_1_v5_gn_7_106621.1	Av_00022925-RA
OG0005154	Lsat_1_v5_gn_4_63581.2	Av_00005994-RA
OG0005155	Lsat_1_v5_gn_7_105861.3, Lsat_1_v5_gn_7_105861.2, Lsat_1_v5_gn_7_105861.1	Av_00007871-RA
OG0005156	Lsat_1_v5_gn_5_37781.3	Av_00013553-RA
OG0005157	Lsat_1_v5_gn_5_33400.1	Av_00018239-RA
OG0005158	Lsat_1_v5_gn_5_3960.3, Lsat_1_v5_gn_5_3960.1	Av_00002488-RA, Av_00015744-RA, Av_00018084-RA
OG0005159	Lsat_1_v5_gn_4_11720.1, Lsat_1_v5_gn_4_11720.3, Lsat_1_v5_gn_4_11720.2, Lsat_1_v5_gn_4_11720.4	Av_00002736-RA
OG0005160	Lsat_1_v5_gn_7_51941.3, Lsat_1_v5_gn_7_51941.1	Av_00021649-RA, Av_00010935-RA
OG0005161	Lsat_1_v5_gn_3_108141.3, Lsat_1_v5_gn_3_108141.1	Av_00010078-RA, Av_00014319-RA
OG0005162	Lsat_1_v5_gn_2_104100.3, Lsat_1_v5_gn_0_46661.1, Lsat_1_v5_gn_2_104060.2, Lsat_1_v5_gn_2_104100.2, Lsat_1_v5_gn_2_104060.3, Lsat_1_v5_gn_2_104100.1, Lsat_1_v5_gn_2_104060.1	Av_00017851-RA
OG0005163	Lsat_1_v5_gn_4_37380.1, Lsat_1_v5_gn_4_37380.2, Lsat_1_v5_gn_3_135300.1, Lsat_1_v5_gn_3_135300.3, Lsat_1_v5_gn_3_135300.2	Av_00010906-RA, Av_00014682-RA
OG0005164	Lsat_1_v5_gn_4_102880.1	Av_00022304-RA, Av_00018135-RA
OG0005165	Lsat_1_v5_gn_6_83921.1	Av_00006079-RA
OG0005166	Lsat_1_v5_gn_4_35681.1	Av_00014655-RA, Av_00008620-RA, Av_00011425-RA
OG0005167	Lsat_1_v5_gn_6_90880.4, Lsat_1_v5_gn_6_90880.3, Lsat_1_v5_gn_6_90880.1	Av_00010352-RA, Av_00014525-RA
OG0005169	Lsat_1_v5_gn_8_10120.1, Lsat_1_v5_gn_8_10521.2, Lsat_1_v5_gn_8_10521.1, Lsat_1_v5_gn_8_10140.1	Av_00018267-RA, Av_00004677-RA, Av_00018266-RA, Av_00004676-RA
OG0005170	Lsat_1_v5_gn_7_5621.1, Lsat_1_v5_gn_7_5621.3, Lsat_1_v5_gn_4_37041.1, Lsat_1_v5_gn_4_37041.2	Av_00011448-RA, Av_00000051-RA
OG0005171	Lsat_1_v5_gn_8_58600.1, Lsat_1_v5_gn_8_58600.3, Lsat_1_v5_gn_7_45260.1, Lsat_1_v5_gn_7_45260.2	Av_00009046-RA, Av_00021636-RA, Av_00004899-RA, Av_00012141-RA
OG0005172	Lsat_1_v5_gn_7_5261.3, Lsat_1_v5_gn_7_5261.1	Av_00014669-RA
OG0005173	Lsat_1_v5_gn_4_52780.1, Lsat_1_v5_gn_4_52780.2	Av_00008718-RA
OG0005175	Lsat_1_v5_gn_5_95081.1, Lsat_1_v5_gn_5_95081.2	Av_00004905-RA, Av_00004020-RA
OG0005176	Lsat_1_v5_gn_5_87560.1, Lsat_1_v5_gn_5_87560.3, Lsat_1_v5_gn_7_51920.1, Lsat_1_v5_gn_8_64381.3, Lsat_1_v5_gn_8_64381.1, Lsat_1_v5_gn_8_64381.2	Av_00004493-RA, Av_00012319-RA, Av_00001005-RA, Av_00018201-RA
OG0005177	Lsat_1_v5_gn_6_115360.1, Lsat_1_v5_gn_6_18481.1, Lsat_1_v5_gn_1_42940.1	Av_00023739-RA, Av_00023740-RA
OG0005178	Lsat_1_v5_gn_3_134681.3, Lsat_1_v5_gn_3_134681.1	Av_00010905-RA, Av_00010904-RA, Av_00011451-RA
OG0005179	Lsat_1_v5_gn_4_33160.1, Lsat_1_v5_gn_4_33221.1	Av_00015260-RA, Av_00010938-RA
OG0005180	Lsat_1_v5_gn_7_4420.3, Lsat_1_v5_gn_7_4420.2, Lsat_1_v5_gn_7_4420.1	Av_00000044-RA
OG0005182	Lsat_1_v5_gn_9_95861.2, Lsat_1_v5_gn_9_95861.1, Lsat_1_v5_gn_9_95861.3, Lsat_1_v5_gn_7_105721.1, Lsat_1_v5_gn_7_105721.2, Lsat_1_v5_gn_1_79880.7	Av_00003107-RA
OG0005183	Lsat_1_v5_gn_6_76141.1, Lsat_1_v5_gn_6_76141.3	Av_00023908-RA
OG0005184	Lsat_1_v5_gn_6_7140.1, Lsat_1_v5_gn_6_7120.1	Av_00014567-RA, Av_00010409-RA
OG0005185	Lsat_1_v5_gn_5_33620.1, Lsat_1_v5_gn_5_33620.2	Av_00021117-RA
OG0005186	Lsat_1_v5_gn_5_81421.2, Lsat_1_v5_gn_5_81421.1	Av_00008337-RA, Av_00017964-RA
OG0005187	Lsat_1_v5_gn_8_74380.1, Lsat_1_v5_gn_8_74380.3, Lsat_1_v5_gn_5_146100.3, Lsat_1_v5_gn_5_146100.1	Av_00017614-RA
OG0005189	Lsat_1_v5_gn_4_95921.3, Lsat_1_v5_gn_4_95921.1, Lsat_1_v5_gn_4_95921.2, Lsat_1_v5_gn_1_36421.3, Lsat_1_v5_gn_1_36421.2, Lsat_1_v5_gn_1_36421.1	Av_00006779-RA
OG0005190	Lsat_1_v5_gn_4_185060.2, Lsat_1_v5_gn_4_185060.1	Av_00011608-RA, Av_00024594-RA
OG0005192	Lsat_1_v5_gn_4_95040.1	Av_00004103-RA, Av_00016814-RA, Av_00022339-RA
OG0005193	Lsat_1_v5_gn_3_4341.1, Lsat_1_v5_gn_3_4341.2, Lsat_1_v5_gn_6_12720.1	Av_00018562-RA, Av_00023353-RA, Av_00014558-RA, Av_00010396-RA
OG0005194	Lsat_1_v5_gn_7_67461.3, Lsat_1_v5_gn_7_67461.1, Lsat_1_v5_gn_1_55601.1, Lsat_1_v5_gn_1_55601.2, Lsat_1_v5_gn_1_55601.3	Av_00021613-RA, Av_00009017-RA
OG0005195	Lsat_1_v5_gn_1_39481.1, Lsat_1_v5_gn_1_39481.2, Lsat_1_v5_gn_5_137321.1, Lsat_1_v5_gn_5_137321.3, Lsat_1_v5_gn_8_80840.5	Av_00022322-RA
OG0005196	Lsat_1_v5_gn_5_129901.1, Lsat_1_v5_gn_5_148700.1, Lsat_1_v5_gn_5_129901.4, Lsat_1_v5_gn_5_129901.3, Lsat_1_v5_gn_4_103500.2, Lsat_1_v5_gn_4_103500.1	Av_00004148-RA, Av_00015436-RA
OG0005197	Lsat_1_v5_gn_3_102740.1, Lsat_1_v5_gn_3_102740.3	Av_00006648-RA
OG0005198	Lsat_1_v5_gn_9_47601.1, Lsat_1_v5_gn_9_47601.3	Av_00017608-RA
OG0005200	Lsat_1_v5_gn_5_30141.1, Lsat_1_v5_gn_1_43440.1, Lsat_1_v5_gn_6_20721.1, Lsat_1_v5_gn_6_20721.2	Av_00005835-RA
OG0005201	Lsat_1_v5_gn_4_60640.1, Lsat_1_v5_gn_4_60640.2	Av_00022072-RA, Av_00014133-RA
OG0005202	Lsat_1_v5_gn_8_74401.5, Lsat_1_v5_gn_5_146120.2, Lsat_1_v5_gn_8_74401.3, Lsat_1_v5_gn_5_146120.1, Lsat_1_v5_gn_8_74401.1	Av_00019361-RA
OG0005203	Lsat_1_v5_gn_2_134401.2, Lsat_1_v5_gn_2_134401.1	Av_00001646-RA
OG0005204	Lsat_1_v5_gn_4_88460.1, Lsat_1_v5_gn_4_88460.3, Lsat_1_v5_gn_5_131541.1, Lsat_1_v5_gn_5_131541.3	Av_00010722-RA, Av_00018931-RA, Av_00006826-RA, Av_00007958-RA
OG0005205	Lsat_1_v5_gn_7_8061.1, Lsat_1_v5_gn_3_134960.1	Av_00015229-RA, Av_00010899-RA, Av_00013900-RA
OG0005206	Lsat_1_v5_gn_5_132201.1, Lsat_1_v5_gn_5_132201.2	Av_00004156-RA, Av_00015423-RA
OG0005207	Lsat_1_v5_gn_3_136540.1	Av_00014668-RA, Av_00008634-RA
OG0005208	Lsat_1_v5_gn_3_70920.3, Lsat_1_v5_gn_3_70920.1	Av_00010413-RA
OG0005209	Lsat_1_v5_gn_7_12700.3, Lsat_1_v5_gn_7_12700.1	Av_00018335-RA, Av_00022676-RA
OG0005210	Lsat_1_v5_gn_5_89080.2, Lsat_1_v5_gn_5_89080.1, Lsat_1_v5_gn_8_64740.1	Av_00017122-RA
OG0005211	Lsat_1_v5_gn_8_61201.1, Lsat_1_v5_gn_8_61201.3, Lsat_1_v5_gn_8_61241.1	Av_00019791-RA, Av_00012164-RA, Av_00005828-RA
OG0005212	Lsat_1_v5_gn_8_8260.1, Lsat_1_v5_gn_8_8260.2	Av_00012926-RA
OG0005213	Lsat_1_v5_gn_5_134821.2, Lsat_1_v5_gn_5_134821.1	Av_00020005-RA, Av_00020004-RA
OG0005214	Lsat_1_v5_gn_8_65560.1, Lsat_1_v5_gn_8_65560.2, Lsat_1_v5_gn_5_86980.1	Av_00018203-RA, Av_00001007-RA
OG0005215	Lsat_1_v5_gn_7_46160.3, Lsat_1_v5_gn_7_46160.1	Av_00004922-RA
OG0005216	Lsat_1_v5_gn_4_93500.2, Lsat_1_v5_gn_4_93500.3, Lsat_1_v5_gn_4_93500.1	Av_00004098-RA, Av_00021919-RA
OG0005217	Lsat_1_v5_gn_6_6941.2, Lsat_1_v5_gn_6_6941.1	Av_00023359-RA
OG0005218	Lsat_1_v5_gn_5_45900.1, Lsat_1_v5_gn_5_45900.2, Lsat_1_v5_gn_3_24441.1	Av_00018965-RA
OG0005219	Lsat_1_v5_gn_8_61181.1, Lsat_1_v5_gn_5_91381.1	Av_00022259-RA, Av_00012165-RA, Av_00005827-RA
OG0005220	Lsat_1_v5_gn_1_35720.1, Lsat_1_v5_gn_5_135480.1	Av_00018103-RA, Av_00008032-RA
OG0005222	Lsat_1_v5_gn_1_49720.2, Lsat_1_v5_gn_1_49720.1	Av_00014328-RA, Av_00010071-RA
OG0005223	Lsat_1_v5_gn_8_83880.1	Av_00020584-RA
OG0005224	Lsat_1_v5_gn_2_109081.1	Av_00012551-RA, Av_00012552-RA, Av_00002866-RA
OG0005225	Lsat_1_v5_gn_6_26361.4, Lsat_1_v5_gn_6_26361.1, Lsat_1_v5_gn_6_26361.5, Lsat_1_v5_gn_6_26361.3, Lsat_1_v5_gn_6_26361.2, Lsat_1_v5_gn_6_26340.1, Lsat_1_v5_gn_6_26340.3	Av_00018516-RA
OG0005226	Lsat_1_v5_gn_2_100781.2, Lsat_1_v5_gn_2_100781.1	Av_00014915-RA
OG0005227	Lsat_1_v5_gn_0_44361.1, Lsat_1_v5_gn_8_99901.3	Av_00015546-RA, Av_00021416-RA
OG0005228	Lsat_1_v5_gn_3_38820.1	Av_00019716-RA
OG0005231	Lsat_1_v5_gn_2_38441.2, Lsat_1_v5_gn_2_38441.1, Lsat_1_v5_gn_3_114060.1, Lsat_1_v5_gn_3_112681.1, Lsat_1_v5_gn_3_113181.1, Lsat_1_v5_gn_3_114421.1	Av_00017170-RA, Av_00007327-RA, Av_00013275-RA
OG0005232	Lsat_1_v5_gn_5_36660.1	Av_00010630-RA
OG0005233	Lsat_1_v5_gn_2_118400.1, Lsat_1_v5_gn_2_118400.3	Av_00004996-RA
OG0005234	Lsat_1_v5_gn_9_98620.1	Av_00002357-RA
OG0005235	Lsat_1_v5_gn_4_158960.1, Lsat_1_v5_gn_2_82060.1	Av_00001891-RA, Av_00000413-RA, Av_00015351-RA
OG0005237	Lsat_1_v5_gn_0_5521.1, Lsat_1_v5_gn_0_5541.1, Lsat_1_v5_gn_9_18261.1, Lsat_1_v5_gn_9_18261.2	Av_00024755-RA
OG0005238	Lsat_1_v5_gn_8_24961.1, Lsat_1_v5_gn_2_107500.3, Lsat_1_v5_gn_2_107500.1	Av_00006697-RA, Av_00016758-RA, Av_00020341-RA
OG0005239	Lsat_1_v5_gn_2_64400.1, Lsat_1_v5_gn_2_64400.3	Av_00012040-RA, Av_00012039-RA
OG0005240	Lsat_1_v5_gn_9_39661.3, Lsat_1_v5_gn_9_39661.2, Lsat_1_v5_gn_9_39661.1	Av_00014068-RA, Av_00024030-RA, Av_00017550-RA
OG0005241	Lsat_1_v5_gn_3_43721.3, Lsat_1_v5_gn_3_43721.1, Lsat_1_v5_gn_8_129400.1	Av_00017738-RA
OG0005242	Lsat_1_v5_gn_5_161480.1, Lsat_1_v5_gn_5_161480.3	Av_00012676-RA, Av_00014480-RA
OG0005243	Lsat_1_v5_gn_5_13800.1, Lsat_1_v5_gn_5_13800.2	Av_00015750-RA, Av_00002475-RA
OG0005244	Lsat_1_v5_gn_8_71080.1, Lsat_1_v5_gn_9_19520.3, Lsat_1_v5_gn_9_19520.1, Lsat_1_v5_gn_5_171460.1	Av_00025110-RA
OG0005245	Lsat_1_v5_gn_6_52101.1, Lsat_1_v5_gn_6_52121.2, Lsat_1_v5_gn_6_52121.1	Av_00006503-RA, Av_00011887-RA, Av_00013690-RA
OG0005246	Lsat_1_v5_gn_4_66800.1	Av_00017437-RA
OG0005247	Lsat_1_v5_gn_8_78640.1, Lsat_1_v5_gn_8_78640.2	Av_00019691-RA
OG0005250	Lsat_1_v5_gn_2_60861.1, Lsat_1_v5_gn_6_15800.1	Av_00016380-RA, Av_00015894-RA
OG0005251	Lsat_1_v5_gn_2_124901.1	Av_00008420-RA
OG0005252	Lsat_1_v5_gn_1_62721.1, Lsat_1_v5_gn_1_62721.3	Av_00023053-RA
OG0005253	Lsat_1_v5_gn_1_2520.1	Av_00010943-RA
OG0005254	Lsat_1_v5_gn_7_62341.1, Lsat_1_v5_gn_7_62341.3	Av_00003510-RA, Av_00014726-RA, Av_00000701-RA
OG0005255	Lsat_1_v5_gn_1_39920.1, Lsat_1_v5_gn_6_92581.3, Lsat_1_v5_gn_6_92581.1	Av_00007810-RA
OG0005256	Lsat_1_v5_gn_2_81680.1	Av_00011195-RA
OG0005257	Lsat_1_v5_gn_2_112761.3, Lsat_1_v5_gn_2_112761.1	Av_00000173-RA
OG0005258	Lsat_1_v5_gn_9_28860.3, Lsat_1_v5_gn_9_28860.1	Av_00014481-RA, Av_00012677-RA
OG0005259	Lsat_1_v5_gn_5_53421.2, Lsat_1_v5_gn_5_53421.1, Lsat_1_v5_gn_4_64800.1, Lsat_1_v5_gn_8_141920.1, Lsat_1_v5_gn_8_141920.3	Av_00012057-RA
OG0005260	Lsat_1_v5_gn_0_30781.2, Lsat_1_v5_gn_0_30781.3, Lsat_1_v5_gn_0_30781.1	Av_00021847-RA
OG0005261	Lsat_1_v5_gn_9_47141.3, Lsat_1_v5_gn_9_47141.1	Av_00008368-RA
OG0005262	Lsat_1_v5_gn_5_177621.1, Lsat_1_v5_gn_9_17281.1	Av_00003405-RA, Av_00004825-RA
OG0005263	Lsat_1_v5_gn_0_7461.2, Lsat_1_v5_gn_0_7461.1, Lsat_1_v5_gn_2_105021.1	Av_00001174-RA, Av_00014371-RA
OG0005264	Lsat_1_v5_gn_1_129581.3, Lsat_1_v5_gn_1_129581.1	Av_00007466-RA
OG0005265	Lsat_1_v5_gn_9_27821.3, Lsat_1_v5_gn_9_27821.1	Av_00022345-RA, Av_00022344-RA
OG0005267	Lsat_1_v5_gn_5_156100.3, Lsat_1_v5_gn_5_156100.1	Av_00022209-RA, Av_00023566-RA, Av_00006728-RA
OG0005268	Lsat_1_v5_gn_8_109421.1	Av_00022206-RA, Av_00023536-RA
OG0005269	Lsat_1_v5_gn_3_104341.1, Lsat_1_v5_gn_3_104341.2, Lsat_1_v5_gn_8_107021.3, Lsat_1_v5_gn_8_107021.1	Av_00023961-RA, Av_00019364-RA, Av_00005156-RA, Av_00018366-RA
OG0005270	Lsat_1_v5_gn_2_59740.3, Lsat_1_v5_gn_2_59740.1, Lsat_1_v5_gn_2_59740.2	Av_00018368-RA, Av_00018369-RA
OG0005271	Lsat_1_v5_gn_7_31321.1, Lsat_1_v5_gn_7_31321.3	Av_00001359-RA
OG0005272	Lsat_1_v5_gn_7_109781.3, Lsat_1_v5_gn_7_109781.2, Lsat_1_v5_gn_7_109781.1, Lsat_1_v5_gn_3_39761.1, Lsat_1_v5_gn_5_3561.1	Av_00022507-RA, Av_00002916-RA, Av_00022579-RA
OG0005273	Lsat_1_v5_gn_5_152101.3, Lsat_1_v5_gn_5_152101.1	Av_00010313-RA
OG0005274	Lsat_1_v5_gn_8_46541.1, Lsat_1_v5_gn_8_46541.3, Lsat_1_v5_gn_8_46541.2	Av_00006386-RA
OG0005275	Lsat_1_v5_gn_4_169480.2, Lsat_1_v5_gn_4_169480.1	Av_00022315-RA
OG0005276	Lsat_1_v5_gn_9_26081.1, Lsat_1_v5_gn_9_26081.2, Lsat_1_v5_gn_5_164460.1	Av_00017153-RA, Av_00014445-RA
OG0005277	Lsat_1_v5_gn_5_21060.2, Lsat_1_v5_gn_1_112341.1, Lsat_1_v5_gn_5_21060.1	Av_00021933-RA
OG0005278	Lsat_1_v5_gn_1_55460.1, Lsat_1_v5_gn_1_55460.3	Av_00021791-RA
OG0005280	Lsat_1_v5_gn_7_108740.1, Lsat_1_v5_gn_4_94840.1	Av_00004107-RA, Av_00020778-RA
OG0005281	Lsat_1_v5_gn_3_8340.2, Lsat_1_v5_gn_3_8340.1	Av_00024492-RA
OG0005283	Lsat_1_v5_gn_2_94401.3, Lsat_1_v5_gn_2_94401.1, Lsat_1_v5_gn_0_3501.4, Lsat_1_v5_gn_0_3501.1	Av_00020418-RA, Av_00011596-RA
OG0005285	Lsat_1_v5_gn_3_45301.1, Lsat_1_v5_gn_3_45301.2, Lsat_1_v5_gn_8_125920.1, Lsat_1_v5_gn_5_77821.1, Lsat_1_v5_gn_4_74620.1	Av_00018292-RA, Av_00007277-RA
OG0005286	Lsat_1_v5_gn_5_179901.3, Lsat_1_v5_gn_5_179901.1, Lsat_1_v5_gn_5_179901.2	Av_00009639-RA, Av_00002224-RA
OG0005287	Lsat_1_v5_gn_5_151420.1, Lsat_1_v5_gn_5_151420.3, Lsat_1_v5_gn_8_110401.1	Av_00005043-RA, Av_00003828-RA, Av_00005665-RA, Av_00017245-RA
OG0005288	Lsat_1_v5_gn_9_8981.1, Lsat_1_v5_gn_9_8981.3	Av_00001417-RA
OG0005289	Lsat_1_v5_gn_3_138600.1, Lsat_1_v5_gn_3_138600.3	Av_00003244-RA, Av_00013937-RA
OG0005290	Lsat_1_v5_gn_8_149401.1, Lsat_1_v5_gn_8_149401.3, Lsat_1_v5_gn_8_149401.2	Av_00010830-RA
OG0005291	Lsat_1_v5_gn_2_75740.1, Lsat_1_v5_gn_2_75740.3, Lsat_1_v5_gn_3_140821.1	Av_00022264-RA, Av_00000015-RA
OG0005292	Lsat_1_v5_gn_7_2761.1, Lsat_1_v5_gn_7_2761.2	Av_00008596-RA
OG0005293	Lsat_1_v5_gn_5_75160.3, Lsat_1_v5_gn_5_75160.1	Av_00009447-RA
OG0005295	Lsat_1_v5_gn_4_57340.1	Av_00003661-RA
OG0005296	Lsat_1_v5_gn_7_114200.1, Lsat_1_v5_gn_7_114200.2, Lsat_1_v5_gn_7_114200.4	Av_00000139-RA
OG0005297	Lsat_1_v5_gn_5_104320.1	Av_00000608-RA, Av_00019235-RA
OG0005298	Lsat_1_v5_gn_5_52200.3	Av_00022307-RA
OG0005299	Lsat_1_v5_gn_3_137060.1, Lsat_1_v5_gn_3_137060.3, Lsat_1_v5_gn_4_36221.1, Lsat_1_v5_gn_4_36221.2	Av_00008631-RA, Av_00014666-RA
OG0005300	Lsat_1_v5_gn_4_33100.1	Av_00003252-RA
OG0005301	Lsat_1_v5_gn_3_10900.1, Lsat_1_v5_gn_6_83941.6, Lsat_1_v5_gn_6_83941.5, Lsat_1_v5_gn_3_10900.5	Av_00022470-RA
OG0005302	Lsat_1_v5_gn_4_133761.1, Lsat_1_v5_gn_4_133761.3	Av_00009357-RA, Av_00012464-RA
OG0005303	Lsat_1_v5_gn_9_87781.1, Lsat_1_v5_gn_9_87781.3, Lsat_1_v5_gn_9_87820.1	Av_00016800-RA
OG0005304	Lsat_1_v5_gn_7_27421.2, Lsat_1_v5_gn_7_27421.1	Av_00005203-RA
OG0005305	Lsat_1_v5_gn_6_117861.2, Lsat_1_v5_gn_6_117861.1, Lsat_1_v5_gn_6_117861.3	Av_00000542-RA
OG0005306	Lsat_1_v5_gn_5_67900.2, Lsat_1_v5_gn_5_67900.1, Lsat_1_v5_gn_5_67900.3, Lsat_1_v5_gn_5_67880.2, Lsat_1_v5_gn_5_67880.1	Av_00000601-RA
OG0005307	Lsat_1_v5_gn_5_185441.2, Lsat_1_v5_gn_5_185441.1, Lsat_1_v5_gn_8_93941.2, Lsat_1_v5_gn_8_93941.1	Av_00003424-RA
OG0005309	Lsat_1_v5_gn_3_85260.1	Av_00000410-RA, Av_00015353-RA
OG0005310	Lsat_1_v5_gn_2_40700.2, Lsat_1_v5_gn_2_40700.1, Lsat_1_v5_gn_1_75620.3, Lsat_1_v5_gn_1_75620.1	Av_00002124-RA
OG0005312	Lsat_1_v5_gn_2_79701.1, Lsat_1_v5_gn_2_79701.3	Av_00004984-RA
OG0005312	Lsat_1_v5_gn_6_68341.1, Lsat_1_v5_gn_2_14620.1	Av_00013220-RA
OG0005313	Lsat_1_v5_gn_3_67961.2, Lsat_1_v5_gn_3_67961.1	Av_00022358-RA, Av_00000497-RA
OG0005314	Lsat_1_v5_gn_4_2981.1	Av_00002632-RA
OG0005315	Lsat_1_v5_gn_3_72080.1	Av_00000484-RA
OG0005316	Lsat_1_v5_gn_2_11981.1, Lsat_1_v5_gn_2_11981.2	Av_00016625-RA
OG0005317	Lsat_1_v5_gn_3_69681.1, Lsat_1_v5_gn_3_69681.2, Lsat_1_v5_gn_3_69681.3	Av_00001363-RA
OG0005318	Lsat_1_v5_gn_2_88641.1, Lsat_1_v5_gn_4_46121.1	Av_00023063-RA, Av_00009710-RA
OG0005319	Lsat_1_v5_gn_8_48101.5	Av_00002724-RA, Av_00005249-RA
OG0005320	Lsat_1_v5_gn_8_50780.1, Lsat_1_v5_gn_8_50780.3	Av_00006412-RA, Av_00007558-RA, Av_00022489-RA, Av_00024383-RA
OG0005321	Lsat_1_v5_gn_2_79721.3, Lsat_1_v5_gn_2_79721.2, Lsat_1_v5_gn_2_79721.1	Av_00003906-RA, Av_00004985-RA
OG0005322	Lsat_1_v5_gn_2_90241.1	Av_00023651-RA
OG0005323	Lsat_1_v5_gn_4_154280.1, Lsat_1_v5_gn_4_154280.2	Av_00004971-RA
OG0005325	Lsat_1_v5_gn_5_15061.3, Lsat_1_v5_gn_5_15061.1	Av_00012394-RA, Av_00014986-RA, Av_00014978-RA, Av_00014989-RA, Av_00012398-RA, Av_00014980-RA, Av_00012391-RA
OG0005326	Lsat_1_v5_gn_6_105560.1, Lsat_1_v5_gn_6_105560.2	Av_00015268-RA, Av_00003166-RA, Av_00008666-RA
OG0005329	Lsat_1_v5_gn_4_84120.3	Av_00009179-RA, Av_00014776-RA
OG0005330	Lsat_1_v5_gn_2_79400.1, Lsat_1_v5_gn_2_79400.3	Av_00009117-RA
OG0005331	Lsat_1_v5_gn_0_9420.2, Lsat_1_v5_gn_0_9420.1	Av_00009226-RA, Av_00017616-RA, Av_00013049-RA
OG0005332	Lsat_1_v5_gn_4_11761.1	Av_00005234-RA
OG0005333	Lsat_1_v5_gn_4_41580.1, Lsat_1_v5_gn_4_41620.1	Av_00008464-RA
OG0005334	Lsat_1_v5_gn_8_36981.2, Lsat_1_v5_gn_8_36981.1, Lsat_1_v5_gn_5_24600.2, Lsat_1_v5_gn_5_24600.1	Av_00013754-RA, Av_00024881-RA
OG0005335	Lsat_1_v5_gn_3_32820.1	Av_00019762-RA, Av_00022119-RA
OG0005336	Lsat_1_v5_gn_6_80100.1, Lsat_1_v5_gn_6_80100.4	Av_00021519-RA
OG0005337	Lsat_1_v5_gn_8_45140.1, Lsat_1_v5_gn_8_45201.1, Lsat_1_v5_gn_4_13401.1	Av_00010810-RA, Av_00006333-RA
OG0005338	Lsat_1_v5_gn_1_11441.1, Lsat_1_v5_gn_1_11441.3	Av_00012417-RA, Av_00009300-RA
OG0005339	Lsat_1_v5_gn_5_12561.3, Lsat_1_v5_gn_5_12561.2, Lsat_1_v5_gn_5_12561.1	Av_00009253-RA, Av_00015020-RA, Av_00013807-RA
OG0005341	Lsat_1_v5_gn_8_24940.2, Lsat_1_v5_gn_8_24940.1	Av_00023768-RA
OG0005342	Lsat_1_v5_gn_0_27901.1	Av_00015464-RA
OG0005343	Lsat_1_v5_gn_3_19920.1, Lsat_1_v5_gn_3_19920.3	Av_00019460-RA
OG0005344	Lsat_1_v5_gn_5_88241.1, Lsat_1_v5_gn_5_88241.3, Lsat_1_v5_gn_7_51160.1	Av_00001003-RA
OG0005345	Lsat_1_v5_gn_3_57741.1, Lsat_1_v5_gn_3_57741.3	Av_00007624-RA, Av_00006359-RA
OG0005346	Lsat_1_v5_gn_8_380.1	Av_00018434-RA, Av_00024055-RA, Av_00022519-RA
OG0005347	Lsat_1_v5_gn_3_67100.1	Av_00013968-RA
OG0005348	Lsat_1_v5_gn_8_146440.1, Lsat_1_v5_gn_0_37380.1, Lsat_1_v5_gn_0_37380.3	Av_00019470-RA
OG0005349	Lsat_1_v5_gn_4_175820.1, Lsat_1_v5_gn_2_86520.1	Av_00003899-RA
OG0005350	Lsat_1_v5_gn_6_79321.1	Av_00011729-RA, Av_00024450-RA
OG0005351	Lsat_1_v5_gn_9_47381.1	Av_00009504-RA, Av_00018890-RA
