Orthogroup	L_sativa.proteins	B_vulgaris.proteins
OG0003812	Lsat_1_v5_gn_3_78821.1, Lsat_1_v5_gn_3_78821.3	Bevul.6G106100.1.p
OG0003813	Lsat_1_v5_gn_9_58040.1, Lsat_1_v5_gn_8_25240.1, Lsat_1_v5_gn_8_25240.3	Bevul.5G083000.1.p
OG0003815	Lsat_1_v5_gn_2_83581.3, Lsat_1_v5_gn_2_83581.1	Bevul.6G009900.1.p
OG0003816	Lsat_1_v5_gn_7_78961.3, Lsat_1_v5_gn_7_78961.1, Lsat_1_v5_gn_5_105641.1	Bevul.6G151200.1.p
OG0003817	Lsat_1_v5_gn_6_102300.1, Lsat_1_v5_gn_6_102300.3	Bevul.1G097100.1.p
OG0003818	Lsat_1_v5_gn_5_112140.1, Lsat_1_v5_gn_0_4221.1, Lsat_1_v5_gn_9_110921.1, Lsat_1_v5_gn_9_110921.2	Bevul.9G043600.1.p, Bevul.2G183300.1.p, Bevul.3G137300.1.p
OG0003819	Lsat_1_v5_gn_3_48941.1, Lsat_1_v5_gn_5_100681.1, Lsat_1_v5_gn_5_100541.1, Lsat_1_v5_gn_5_100601.1, Lsat_1_v5_gn_5_100601.2	Bevul.6G195500.1.p
OG0003820	Lsat_1_v5_gn_7_76001.1, Lsat_1_v5_gn_7_76001.2, Lsat_1_v5_gn_1_74180.1	Bevul.6G143500.1.p
OG0003821	Lsat_1_v5_gn_4_125861.2, Lsat_1_v5_gn_4_125861.1, Lsat_1_v5_gn_6_112081.3, Lsat_1_v5_gn_6_112081.1	Bevul.4G061100.1.p
OG0003822	Lsat_1_v5_gn_6_109441.1	Bevul.1G004400.1.p
OG0003825	Lsat_1_v5_gn_2_70281.1, Lsat_1_v5_gn_2_70281.2, Lsat_1_v5_gn_8_35321.1	Bevul.2G052200.1.p, Bevul.2G052000.1.p
OG0003826	Lsat_1_v5_gn_5_27781.2, Lsat_1_v5_gn_5_27781.1	Bevul.6G021900.1.p
OG0003826	Lsat_1_v5_gn_3_76001.1	Bevul.6G021800.1.p
OG0003827	Lsat_1_v5_gn_5_45360.4	Bevul.6G095700.1.p
OG0003828	Lsat_1_v5_gn_8_61381.1, Lsat_1_v5_gn_8_61381.2	Bevul.8G168200.1.p
OG0003829	Lsat_1_v5_gn_2_83541.1, Lsat_1_v5_gn_2_83541.3, Lsat_1_v5_gn_2_83541.4	Bevul.6G009500.1.p
OG0003830	Lsat_1_v5_gn_8_63421.4, Lsat_1_v5_gn_8_63421.2	Bevul.6G230100.1.p
OG0003831	Lsat_1_v5_gn_3_47800.1, Lsat_1_v5_gn_8_121820.3, Lsat_1_v5_gn_8_121820.1	Bevul.9G125700.1.p, Bevul.9G125400.1.p, Bevul.9G125500.1.p
OG0003832	Lsat_1_v5_gn_8_29780.1	Bevul.1G026400.1.p
OG0003832	Lsat_1_v5_gn_8_124401.3, Lsat_1_v5_gn_8_124401.1	Bevul.9G135700.1.p
OG0003833	Lsat_1_v5_gn_2_84120.1, Lsat_1_v5_gn_2_84120.2, Lsat_1_v5_gn_4_166460.3, Lsat_1_v5_gn_4_166460.1, Lsat_1_v5_gn_3_90900.1	Bevul.6G002000.1.p
OG0003834	Lsat_1_v5_gn_3_72520.1, Lsat_1_v5_gn_2_75821.1	Bevul.6G033500.1.p
OG0003835	Lsat_1_v5_gn_3_90660.1, Lsat_1_v5_gn_3_90660.2, Lsat_1_v5_gn_3_90660.3	Bevul.6G002500.1.p
OG0003836	Lsat_1_v5_gn_4_59381.1, Lsat_1_v5_gn_7_16240.1	Bevul.8G052900.1.p
OG0003837	Lsat_1_v5_gn_8_1221.1, Lsat_1_v5_gn_9_50621.3, Lsat_1_v5_gn_6_22200.1, Lsat_1_v5_gn_9_50621.1	Bevul.3G033900.1.p, Bevul.7G028000.1.p
OG0003838	Lsat_1_v5_gn_6_95841.3, Lsat_1_v5_gn_6_95841.1, Lsat_1_v5_gn_8_48581.2, Lsat_1_v5_gn_2_37261.1	Bevul.1G116100.1.p
OG0003839	Lsat_1_v5_gn_2_82660.3, Lsat_1_v5_gn_2_82660.1	Bevul.6G014700.1.p
OG0003840	Lsat_1_v5_gn_3_86581.1, Lsat_1_v5_gn_3_86581.2, Lsat_1_v5_gn_3_86581.3	Bevul.6G016000.1.p
OG0003841	Lsat_1_v5_gn_2_136261.2, Lsat_1_v5_gn_2_136261.1, Lsat_1_v5_gn_9_49801.1, Lsat_1_v5_gn_9_49801.2	Bevul.3G036600.1.p
OG0003842	Lsat_1_v5_gn_4_131841.1	Bevul.5G203100.1.p, Bevul.5G244600.1.p
OG0003843	Lsat_1_v5_gn_7_18561.1, Lsat_1_v5_gn_4_58301.1	Bevul.8G065500.1.p
OG0003844	Lsat_1_v5_gn_9_97101.2, Lsat_1_v5_gn_9_97101.3, Lsat_1_v5_gn_9_97101.1, Lsat_1_v5_gn_5_127760.1	Bevul.4G059300.1.p
OG0003846	Lsat_1_v5_gn_5_126680.1	Bevul.4G071500.1.p
OG0003846	Lsat_1_v5_gn_9_99180.1, Lsat_1_v5_gn_7_103481.1	Bevul.9G088800.1.p
OG0003848	Lsat_1_v5_gn_4_50981.1	Bevul.8G017300.1.p
OG0003848	Lsat_1_v5_gn_1_120521.1, Lsat_1_v5_gn_7_21860.1, Lsat_1_v5_gn_1_120500.3, Lsat_1_v5_gn_1_120500.1	Bevul.8G017400.1.p
OG0003849	Lsat_1_v5_gn_7_27760.2, Lsat_1_v5_gn_7_27760.1, Lsat_1_v5_gn_4_29661.1	Bevul.8G092300.1.p
OG0003850	Lsat_1_v5_gn_7_19621.1, Lsat_1_v5_gn_4_57061.2, Lsat_1_v5_gn_4_57061.1	Bevul.8G011300.1.p
OG0003851	Lsat_1_v5_gn_4_85240.1, Lsat_1_v5_gn_5_9201.1	Bevul.8G212800.1.p
OG0003853	Lsat_1_v5_gn_4_62081.2, Lsat_1_v5_gn_4_62081.1, Lsat_1_v5_gn_0_26921.3, Lsat_1_v5_gn_0_26921.1	Bevul.4G014100.1.p
OG0003854	Lsat_1_v5_gn_7_27220.3, Lsat_1_v5_gn_7_27220.1	Bevul.8G087400.1.p, Bevul.3G075200.1.p
OG0003855	Lsat_1_v5_gn_8_24860.1	Bevul.2G213600.3.p, Bevul.2G213600.2.p, Bevul.2G213600.1.p, Bevul.2G213600.4.p
OG0003856	Lsat_1_v5_gn_5_7061.1	Bevul.4G054000.1.p
OG0003857	Lsat_1_v5_gn_9_99841.3, Lsat_1_v5_gn_9_99841.1, Lsat_1_v5_gn_9_99841.2	Bevul.4G076100.1.p
OG0003858	Lsat_1_v5_gn_7_24040.1	Bevul.8G004800.1.p
OG0003859	Lsat_1_v5_gn_6_104880.2, Lsat_1_v5_gn_6_104880.1, Lsat_1_v5_gn_4_165000.1, Lsat_1_v5_gn_3_11000.1	Bevul.1G208900.1.p
OG0003860	Lsat_1_v5_gn_4_53520.3, Lsat_1_v5_gn_4_53520.1	Bevul.8G025900.1.p
OG0003861	Lsat_1_v5_gn_5_131260.1, Lsat_1_v5_gn_4_89020.1, Lsat_1_v5_gn_4_88960.1	Bevul.8G177200.1.p
OG0003862	Lsat_1_v5_gn_2_129181.3, Lsat_1_v5_gn_2_129181.1, Lsat_1_v5_gn_2_129181.4	Bevul.3G090500.1.p
OG0003863	Lsat_1_v5_gn_7_19061.1, Lsat_1_v5_gn_7_19061.2	Bevul.8G030400.1.p
OG0003864	Lsat_1_v5_gn_7_53761.1, Lsat_1_v5_gn_7_53761.2, Lsat_1_v5_gn_7_53761.3	Bevul.8G211100.1.p
OG0003865	Lsat_1_v5_gn_5_135560.1	Bevul.1G125600.1.p
OG0003866	Lsat_1_v5_gn_2_130241.1, Lsat_1_v5_gn_9_53821.1, Lsat_1_v5_gn_8_7700.1	Bevul.3G079900.1.p
OG0003867	Lsat_1_v5_gn_9_55100.1	Bevul.3G067400.1.p
OG0003868	Lsat_1_v5_gn_3_35500.3, Lsat_1_v5_gn_3_35500.1, Lsat_1_v5_gn_3_35520.2, Lsat_1_v5_gn_3_35520.1, Lsat_1_v5_gn_3_35520.3	Bevul.6G213500.1.p
OG0003869	Lsat_1_v5_gn_5_132520.4, Lsat_1_v5_gn_5_132520.2, Lsat_1_v5_gn_5_132520.3	Bevul.9G196000.1.p
OG0003870	Lsat_1_v5_gn_7_10180.2, Lsat_1_v5_gn_7_10180.1, Lsat_1_v5_gn_4_44381.1	Bevul.1G137600.1.p
OG0003871	Lsat_1_v5_gn_4_88401.2, Lsat_1_v5_gn_4_88401.1	Bevul.9G208400.2.p, Bevul.9G208400.1.p, Bevul.9G208400.3.p
OG0003872	Lsat_1_v5_gn_5_103081.1, Lsat_1_v5_gn_8_105101.3, Lsat_1_v5_gn_8_105101.1	Bevul.8G194000.1.p
OG0003873	Lsat_1_v5_gn_6_90720.1	Bevul.5G008200.1.p
OG0003874	Lsat_1_v5_gn_5_170900.3, Lsat_1_v5_gn_5_170900.1, Lsat_1_v5_gn_9_25741.1	Bevul.7G195100.1.p
OG0003875	Lsat_1_v5_gn_6_11220.2, Lsat_1_v5_gn_6_11220.1	Bevul.2G166800.1.p
OG0003875	Lsat_1_v5_gn_5_130261.1	Bevul.9G204100.1.p
OG0003876	Lsat_1_v5_gn_3_10161.1, Lsat_1_v5_gn_6_85800.1	Bevul.5G020500.1.p
OG0003877	Lsat_1_v5_gn_1_34361.1, Lsat_1_v5_gn_1_34361.2	Bevul.5G002200.1.p
OG0003878	Lsat_1_v5_gn_6_87521.1, Lsat_1_v5_gn_6_87521.2	Bevul.5G034900.1.p
OG0003879	Lsat_1_v5_gn_5_103481.3, Lsat_1_v5_gn_5_103481.1	Bevul.8G195100.1.p
OG0003880	Lsat_1_v5_gn_1_43161.1, Lsat_1_v5_gn_1_43161.2	Bevul.2G017500.3.p, Bevul.2G017500.1.p, Bevul.2G017500.2.p
OG0003880	Lsat_1_v5_gn_5_99201.1	Bevul.8G186900.1.p
OG0003881	Lsat_1_v5_gn_5_146080.2, Lsat_1_v5_gn_8_88160.1, Lsat_1_v5_gn_7_38100.1, Lsat_1_v5_gn_5_146080.1	Bevul.4G175900.1.p
OG0003882	Lsat_1_v5_gn_2_98901.1, Lsat_1_v5_gn_2_98901.2	Bevul.9G046700.4.p, Bevul.9G046700.1.p, Bevul.9G046700.2.p, Bevul.9G046700.3.p
OG0003883	Lsat_1_v5_gn_2_109780.1, Lsat_1_v5_gn_9_52040.2, Lsat_1_v5_gn_2_109780.2, Lsat_1_v5_gn_9_52040.1	Bevul.3G090900.1.p
OG0003884	Lsat_1_v5_gn_8_64521.1	Bevul.8G157200.1.p
OG0003884	Lsat_1_v5_gn_4_111640.1	Bevul.5G169900.1.p
OG0003885	Lsat_1_v5_gn_3_14441.1	Bevul.3G030000.1.p, Bevul.5G062500.1.p
OG0003886	Lsat_1_v5_gn_6_2821.1, Lsat_1_v5_gn_3_1441.1	Bevul.5G005600.1.p, Bevul.5G005700.1.p
OG0003888	Lsat_1_v5_gn_3_25461.3	Bevul.2G132100.1.p
OG0003889	Lsat_1_v5_gn_5_140420.1, Lsat_1_v5_gn_5_140420.3	Bevul.8G140800.1.p, Bevul.7G168200.1.p
OG0003890	Lsat_1_v5_gn_3_11501.3, Lsat_1_v5_gn_3_11501.1, Lsat_1_v5_gn_6_84940.3, Lsat_1_v5_gn_6_84940.1, Lsat_1_v5_gn_7_2680.3, Lsat_1_v5_gn_7_2680.1, Lsat_1_v5_gn_1_81141.1	Bevul.5G024900.1.p
OG0003891	Lsat_1_v5_gn_6_21420.1	Bevul.2G180300.1.p, Bevul.2G180300.2.p
OG0003892	Lsat_1_v5_gn_7_23740.1	Bevul.8G077200.1.p, Bevul.8G077100.1.p
OG0003893	Lsat_1_v5_gn_8_68441.1, Lsat_1_v5_gn_7_55201.3, Lsat_1_v5_gn_5_84081.1	Bevul.8G092500.1.p
OG0003894	Lsat_1_v5_gn_9_105540.1, Lsat_1_v5_gn_9_105540.3	Bevul.9G026400.1.p
OG0003895	Lsat_1_v5_gn_5_172740.1, Lsat_1_v5_gn_9_18940.1, Lsat_1_v5_gn_2_124161.2, Lsat_1_v5_gn_2_124161.1	Bevul.7G187400.1.p
OG0003896	Lsat_1_v5_gn_2_32541.1, Lsat_1_v5_gn_2_32541.3	Bevul.4G221400.1.p
OG0003897	Lsat_1_v5_gn_5_35081.1, Lsat_1_v5_gn_4_184801.1, Lsat_1_v5_gn_7_111061.2, Lsat_1_v5_gn_7_111061.1, Lsat_1_v5_gn_7_111061.3, Lsat_1_v5_gn_7_61541.1	Bevul.2G093600.2.p, Bevul.2G093600.5.p, Bevul.2G093600.4.p, Bevul.2G093600.3.p, Bevul.2G093600.1.p
OG0003898	Lsat_1_v5_gn_3_63641.1, Lsat_1_v5_gn_3_63641.3	Bevul.2G078800.4.p, Bevul.2G078800.5.p, Bevul.2G078800.8.p, Bevul.2G078800.1.p, Bevul.2G078800.3.p, Bevul.2G078800.2.p, Bevul.2G078800.6.p, Bevul.2G078800.7.p
OG0003899	Lsat_1_v5_gn_1_120601.1, Lsat_1_v5_gn_1_120601.3	Bevul.7G209800.1.p
OG0003900	Lsat_1_v5_gn_8_131501.1, Lsat_1_v5_gn_9_85200.1, Lsat_1_v5_gn_8_131640.1	Bevul.9G068800.1.p
OG0003900	Lsat_1_v5_gn_5_7081.1	Bevul.4G054100.1.p
OG0003901	Lsat_1_v5_gn_5_75780.5, Lsat_1_v5_gn_5_75780.4	Bevul.7G184200.1.p
OG0003902	Lsat_1_v5_gn_2_109100.3, Lsat_1_v5_gn_2_109100.1	Bevul.2G066300.1.p
OG0003903	Lsat_1_v5_gn_2_108781.1, Lsat_1_v5_gn_2_108781.3, Lsat_1_v5_gn_6_30461.1, Lsat_1_v5_gn_6_30461.3	Bevul.7G057900.1.p
OG0003904	Lsat_1_v5_gn_3_20261.1, Lsat_1_v5_gn_3_20261.2	Bevul.1G217500.1.p, Bevul.7G160100.1.p
OG0003905	Lsat_1_v5_gn_1_129780.1, Lsat_1_v5_gn_1_129780.2	Bevul.8G051800.1.p
OG0003906	Lsat_1_v5_gn_2_102840.1, Lsat_1_v5_gn_2_102840.3, Lsat_1_v5_gn_8_23081.1	Bevul.4G097500.1.p
OG0003907	Lsat_1_v5_gn_5_4380.1, Lsat_1_v5_gn_9_94880.1, Lsat_1_v5_gn_9_94880.2	Bevul.9G222500.1.p
OG0003908	Lsat_1_v5_gn_1_120800.2	Bevul.8G020900.1.p
OG0003909	Lsat_1_v5_gn_7_33840.1, Lsat_1_v5_gn_7_33840.3	Bevul.1G020200.1.p, Bevul.1G020300.1.p
OG0003910	Lsat_1_v5_gn_7_21341.1	Bevul.8G026300.1.p
OG0003911	Lsat_1_v5_gn_5_6480.1, Lsat_1_v5_gn_8_83161.1	Bevul.8G169500.1.p, Bevul.8G169700.1.p, Bevul.8G169900.1.p, Bevul.8G169400.1.p, Bevul.8G169600.1.p, Bevul.8G169800.1.p, Bevul.8G169300.1.p, Bevul.8G170200.1.p
OG0003912	Lsat_1_v5_gn_0_21141.2	Bevul.4G077800.1.p
OG0003914	Lsat_1_v5_gn_3_35181.1, Lsat_1_v5_gn_3_35181.2	Bevul.9G018800.1.p
OG0003915	Lsat_1_v5_gn_7_31581.1, Lsat_1_v5_gn_7_31581.2	Bevul.2G039700.3.p, Bevul.2G039700.1.p, Bevul.2G039700.2.p
OG0003916	Lsat_1_v5_gn_8_12301.1, Lsat_1_v5_gn_8_12301.2, Lsat_1_v5_gn_9_61301.2, Lsat_1_v5_gn_9_61301.1	Bevul.2G241000.1.p
OG0003917	Lsat_1_v5_gn_7_101201.1, Lsat_1_v5_gn_7_101201.3, Lsat_1_v5_gn_7_101201.2, Lsat_1_v5_gn_5_119821.1, Lsat_1_v5_gn_5_119821.2	Bevul.4G089300.1.p
OG0003918	Lsat_1_v5_gn_8_14640.1	Bevul.3G131500.1.p
OG0003919	Lsat_1_v5_gn_2_108501.3, Lsat_1_v5_gn_2_108501.1, Lsat_1_v5_gn_2_108561.2	Bevul.4G215400.1.p
OG0003921	Lsat_1_v5_gn_8_133220.1, Lsat_1_v5_gn_8_133220.2, Lsat_1_v5_gn_8_133220.3	Bevul.9G202100.1.p
OG0003923	Lsat_1_v5_gn_7_31981.1, Lsat_1_v5_gn_7_31981.2	Bevul.9G056800.1.p, Bevul.9G056800.2.p, Bevul.8G095100.1.p
OG0003924	Lsat_1_v5_gn_7_16340.1, Lsat_1_v5_gn_7_16340.2	Bevul.8G052800.1.p
OG0003925	Lsat_1_v5_gn_2_121900.1	Bevul.2G238000.1.p
OG0003926	Lsat_1_v5_gn_6_47501.1, Lsat_1_v5_gn_6_47501.2	Bevul.4G236700.1.p
OG0003927	Lsat_1_v5_gn_9_8721.1	Bevul.5G246900.1.p
OG0003928	Lsat_1_v5_gn_9_102580.1, Lsat_1_v5_gn_9_102580.2	Bevul.3G110400.1.p
OG0003929	Lsat_1_v5_gn_7_101801.1, Lsat_1_v5_gn_7_101801.3	Bevul.4G083100.1.p
OG0003930	Lsat_1_v5_gn_5_6601.1, Lsat_1_v5_gn_1_44300.1, Lsat_1_v5_gn_5_6601.5, Lsat_1_v5_gn_5_6601.3	Bevul.4G057400.1.p, Bevul.4G057300.1.p
OG0003930	Lsat_1_v5_gn_8_132741.2, Lsat_1_v5_gn_8_132741.1	Bevul.8G024300.1.p
OG0003931	Lsat_1_v5_gn_6_53141.1, Lsat_1_v5_gn_6_53141.2, Lsat_1_v5_gn_6_53141.3	Bevul.4G250200.1.p
OG0003932	Lsat_1_v5_gn_2_103740.3, Lsat_1_v5_gn_2_103740.1	Bevul.7G009300.1.p
OG0003933	Lsat_1_v5_gn_7_77561.1, Lsat_1_v5_gn_7_77561.2, Lsat_1_v5_gn_7_77561.3, Lsat_1_v5_gn_1_74200.1, Lsat_1_v5_gn_1_74200.2, Lsat_1_v5_gn_1_74200.3	Bevul.3G114200.1.p
OG0003934	Lsat_1_v5_gn_8_83860.1, Lsat_1_v5_gn_9_32200.1	Bevul.3G217400.1.p
OG0003935	Lsat_1_v5_gn_5_174460.3, Lsat_1_v5_gn_5_174460.1	Bevul.7G218400.1.p
OG0003936	Lsat_1_v5_gn_4_30541.2, Lsat_1_v5_gn_4_30541.1	Bevul.2G046800.1.p, Bevul.2G046800.2.p
OG0003937	Lsat_1_v5_gn_2_115220.7, Lsat_1_v5_gn_2_115220.2, Lsat_1_v5_gn_2_115220.3	Bevul.2G109300.1.p
OG0003938	Lsat_1_v5_gn_6_94380.1, Lsat_1_v5_gn_6_94380.2, Lsat_1_v5_gn_3_15460.3, Lsat_1_v5_gn_3_15460.2, Lsat_1_v5_gn_3_15460.1	Bevul.4G134300.1.p
OG0003939	Lsat_1_v5_gn_1_5920.1, Lsat_1_v5_gn_1_5920.2, Lsat_1_v5_gn_1_5920.3, Lsat_1_v5_gn_1_5940.4	Bevul.1G066000.1.p
OG0003940	Lsat_1_v5_gn_4_164600.1, Lsat_1_v5_gn_3_89881.1, Lsat_1_v5_gn_9_110721.1, Lsat_1_v5_gn_9_110721.2	Bevul.6G005000.1.p
OG0003941	Lsat_1_v5_gn_0_1320.2, Lsat_1_v5_gn_0_1320.1	Bevul.1G025200.1.p
OG0003942	Lsat_1_v5_gn_4_82801.2, Lsat_1_v5_gn_4_82801.1	Bevul.5G160000.1.p
OG0003943	Lsat_1_v5_gn_6_3380.1, Lsat_1_v5_gn_6_3380.3, Lsat_1_v5_gn_8_11621.1	Bevul.2G209600.1.p
OG0003944	Lsat_1_v5_gn_3_140700.1, Lsat_1_v5_gn_3_140700.3, Lsat_1_v5_gn_3_140700.2	Bevul.1G199600.1.p
OG0003945	Lsat_1_v5_gn_7_69720.2, Lsat_1_v5_gn_7_69720.1, Lsat_1_v5_gn_7_69720.3, Lsat_1_v5_gn_7_69720.4	Bevul.6G160500.1.p
OG0003946	Lsat_1_v5_gn_5_109820.1	Bevul.6G059500.1.p
OG0003947	Lsat_1_v5_gn_8_4480.1, Lsat_1_v5_gn_8_4480.2	Bevul.3G027700.1.p, Bevul.3G027800.1.p
OG0003949	Lsat_1_v5_gn_8_27340.1, Lsat_1_v5_gn_8_27340.2, Lsat_1_v5_gn_9_45700.3, Lsat_1_v5_gn_9_45700.1, Lsat_1_v5_gn_9_45700.2	Bevul.1G044100.1.p
OG0003950	Lsat_1_v5_gn_9_55980.3, Lsat_1_v5_gn_9_55980.1	Bevul.3G070900.1.p
OG0003951	Lsat_1_v5_gn_0_13201.1, Lsat_1_v5_gn_0_13201.3, Lsat_1_v5_gn_0_19201.1	Bevul.6G219100.1.p, Bevul.6G219000.1.p
OG0003953	Lsat_1_v5_gn_9_109321.1, Lsat_1_v5_gn_9_109321.3	Bevul.9G175100.2.p, Bevul.9G175100.3.p, Bevul.9G175100.4.p, Bevul.9G175100.1.p
OG0003954	Lsat_1_v5_gn_2_94161.1	Bevul.6G045200.1.p
OG0003955	Lsat_1_v5_gn_2_67821.1, Lsat_1_v5_gn_2_67821.3, Lsat_1_v5_gn_4_141681.1	Bevul.5G219300.1.p, Bevul.3G193500.1.p
OG0003956	Lsat_1_v5_gn_5_188301.1, Lsat_1_v5_gn_2_67460.1, Lsat_1_v5_gn_2_67460.2, Lsat_1_v5_gn_4_139120.1	Bevul.4G154800.1.p
OG0003957	Lsat_1_v5_gn_5_62360.3, Lsat_1_v5_gn_5_62360.1	Bevul.3G156400.1.p
OG0003959	Lsat_1_v5_gn_3_91021.1, Lsat_1_v5_gn_3_91021.3, Lsat_1_v5_gn_2_84240.1, Lsat_1_v5_gn_2_84240.3, Lsat_1_v5_gn_4_166000.3, Lsat_1_v5_gn_4_166000.2, Lsat_1_v5_gn_4_166000.1	Bevul.6G000200.1.p
OG0003960	Lsat_1_v5_gn_2_46281.1, Lsat_1_v5_gn_2_46281.2	Bevul.9G168800.5.p, Bevul.9G168800.6.p, Bevul.9G168800.7.p, Bevul.9G168800.8.p, Bevul.9G168800.3.p, Bevul.9G168800.2.p, Bevul.9G168800.1.p, Bevul.9G168800.4.p
OG0003961	Lsat_1_v5_gn_9_13141.1, Lsat_1_v5_gn_9_13141.3	Bevul.7G128500.1.p
OG0003962	Lsat_1_v5_gn_5_9480.2, Lsat_1_v5_gn_5_9480.1	Bevul.5G166000.1.p
OG0003963	Lsat_1_v5_gn_7_87460.3, Lsat_1_v5_gn_7_87460.2, Lsat_1_v5_gn_7_87460.1, Lsat_1_v5_gn_5_117520.3, Lsat_1_v5_gn_5_117520.1	Bevul.9G179700.1.p
OG0003964	Lsat_1_v5_gn_6_103260.2, Lsat_1_v5_gn_6_103260.1, Lsat_1_v5_gn_6_103260.3	Bevul.1G101500.1.p
OG0003965	Lsat_1_v5_gn_3_110661.2, Lsat_1_v5_gn_3_110661.1	Bevul.3G106100.1.p
OG0003966	Lsat_1_v5_gn_2_38821.2, Lsat_1_v5_gn_2_38821.1, Lsat_1_v5_gn_2_38821.3	Bevul.6G044300.1.p
OG0003967	Lsat_1_v5_gn_5_182621.1, Lsat_1_v5_gn_5_182621.3, Lsat_1_v5_gn_8_92321.1	Bevul.7G108300.1.p, Bevul.7G108400.1.p, Bevul.7G108500.1.p
OG0003968	Lsat_1_v5_gn_7_71861.2, Lsat_1_v5_gn_7_71861.1, Lsat_1_v5_gn_7_71861.3	Bevul.1G074700.1.p
OG0003969	Lsat_1_v5_gn_9_118261.1, Lsat_1_v5_gn_9_118261.3, Lsat_1_v5_gn_9_118240.1, Lsat_1_v5_gn_9_118240.3	Bevul.9G031000.1.p
OG0003970	Lsat_1_v5_gn_4_185081.1	Bevul.6G045500.1.p
OG0003970	Lsat_1_v5_gn_1_29121.1, Lsat_1_v5_gn_1_29121.3, Lsat_1_v5_gn_1_29121.2	Bevul.5G153700.1.p
OG0003971	Lsat_1_v5_gn_8_150181.1, Lsat_1_v5_gn_8_150181.4	Bevul.6G213600.1.p
OG0003972	Lsat_1_v5_gn_7_31540.1, Lsat_1_v5_gn_7_31540.2	Bevul.5G249200.1.p
OG0003973	Lsat_1_v5_gn_9_43681.1	Bevul.3G084700.1.p
OG0003974	Lsat_1_v5_gn_8_4120.1, Lsat_1_v5_gn_8_4120.2	Bevul.5G078100.1.p
OG0003977	Lsat_1_v5_gn_4_40321.1, Lsat_1_v5_gn_4_40321.2, Lsat_1_v5_gn_4_40321.3, Lsat_1_v5_gn_1_85520.1	Bevul.1G152500.1.p, Bevul.3G171900.1.p
OG0003978	Lsat_1_v5_gn_4_170421.1, Lsat_1_v5_gn_2_87661.1	Bevul.2G072600.1.p
OG0003979	Lsat_1_v5_gn_2_88760.1, Lsat_1_v5_gn_2_88760.3	Bevul.2G057100.1.p
OG0003980	Lsat_1_v5_gn_5_24961.1, Lsat_1_v5_gn_1_15881.1	Bevul.5G167300.1.p
OG0003981	Lsat_1_v5_gn_8_158281.1, Lsat_1_v5_gn_8_158281.2	Bevul.6G195600.1.p
OG0003983	Lsat_1_v5_gn_3_99620.1, Lsat_1_v5_gn_2_89421.2, Lsat_1_v5_gn_2_89421.1	Bevul.2G064100.1.p
OG0003984	Lsat_1_v5_gn_6_77061.1, Lsat_1_v5_gn_3_20400.1	Bevul.5G047500.1.p
OG0003985	Lsat_1_v5_gn_6_93540.1	Bevul.5G070900.1.p
OG0003986	Lsat_1_v5_gn_8_33460.1, Lsat_1_v5_gn_8_33460.2, Lsat_1_v5_gn_8_33460.3, Lsat_1_v5_gn_0_9261.1, Lsat_1_v5_gn_0_9261.2	Bevul.9G011500.2.p, Bevul.9G011500.1.p
OG0003987	Lsat_1_v5_gn_5_24400.1, Lsat_1_v5_gn_1_15520.1, Lsat_1_v5_gn_4_112480.1	Bevul.5G171300.1.p
OG0003988	Lsat_1_v5_gn_3_132580.3, Lsat_1_v5_gn_3_132580.1, Lsat_1_v5_gn_4_30460.1, Lsat_1_v5_gn_8_152820.3, Lsat_1_v5_gn_8_152820.1, Lsat_1_v5_gn_8_152740.1	Bevul.6G174700.1.p
OG0003989	Lsat_1_v5_gn_4_14841.2, Lsat_1_v5_gn_4_14841.1, Lsat_1_v5_gn_8_41400.1, Lsat_1_v5_gn_8_41400.3, Lsat_1_v5_gn_8_41400.2	Bevul.6G133300.1.p
OG0003990	Lsat_1_v5_gn_4_5360.1, Lsat_1_v5_gn_0_27841.1, Lsat_1_v5_gn_0_27841.2	Bevul.6G188300.1.p
OG0003991	Lsat_1_v5_gn_2_86600.4, Lsat_1_v5_gn_2_86600.1	Bevul.2G218300.7.p, Bevul.2G218300.1.p, Bevul.2G218300.6.p, Bevul.2G218300.4.p, Bevul.2G218300.2.p, Bevul.2G218300.3.p, Bevul.2G218300.5.p
OG0003992	Lsat_1_v5_gn_1_27821.1, Lsat_1_v5_gn_5_14360.1, Lsat_1_v5_gn_5_14360.3	Bevul.5G220200.1.p
OG0003993	Lsat_1_v5_gn_1_35460.1, Lsat_1_v5_gn_1_35460.3	Bevul.5G254300.1.p
OG0003994	Lsat_1_v5_gn_5_137961.1	Bevul.6G140900.1.p
OG0003995	Lsat_1_v5_gn_8_51200.2, Lsat_1_v5_gn_8_51200.1	Bevul.6G234000.1.p
OG0003996	Lsat_1_v5_gn_1_15700.1, Lsat_1_v5_gn_1_15700.2, Lsat_1_v5_gn_4_111820.1	Bevul.2G125500.2.p, Bevul.2G125500.1.p
OG0003997	Lsat_1_v5_gn_5_34921.1, Lsat_1_v5_gn_4_22261.1, Lsat_1_v5_gn_8_34221.1, Lsat_1_v5_gn_8_34221.2	Bevul.8G102800.1.p
OG0003998	Lsat_1_v5_gn_6_27301.2, Lsat_1_v5_gn_6_27301.1	Bevul.7G056500.4.p, Bevul.7G056500.3.p, Bevul.7G056500.2.p, Bevul.7G056500.1.p
