Orthogroup	B_vulgaris.proteins	P_amilis.proteins
OG0003963	Bevul.9G179700.1.p	FUN_002352-T1, FUN_009912-T1
OG0003964	Bevul.1G101500.1.p	FUN_048630-T1, FUN_048630-T2, FUN_048630-T3, FUN_038394-T1
OG0003965	Bevul.3G106100.1.p	FUN_022331-T1, FUN_014022-T1, FUN_014097-T1, FUN_014091-T1
OG0003966	Bevul.6G044300.1.p	FUN_020699-T1, FUN_012637-T1
OG0003967	Bevul.7G108300.1.p	FUN_024819-T1, FUN_024819-T2
OG0003967	Bevul.7G108400.1.p, Bevul.7G108500.1.p	FUN_024826-T1
OG0003968	Bevul.1G074700.1.p	FUN_001254-T5, FUN_001254-T2, FUN_001254-T1, FUN_001254-T4, FUN_001254-T3
OG0003969	Bevul.9G031000.1.p	FUN_021267-T2, FUN_021267-T1
OG0003970	Bevul.6G045500.1.p	FUN_020708-T1
OG0003970	Bevul.5G153700.1.p	FUN_046904-T1, FUN_034112-T1
OG0003971	Bevul.6G213600.1.p	FUN_025359-T1
OG0003972	Bevul.5G249200.1.p	FUN_010310-T3, FUN_010310-T2, FUN_010310-T1
OG0003973	Bevul.3G084700.1.p	FUN_015446-T1
OG0003973	Bevul.1G097000.1.p	FUN_038200-T2, FUN_038200-T1
OG0003974	Bevul.5G078100.1.p	FUN_017353-T1
OG0003975	Bevul.5G184100.1.p	FUN_011131-T1, FUN_045320-T4, FUN_045320-T1, FUN_045320-T2, FUN_045320-T3
OG0003976	Bevul.8G101900.1.p, Bevul.1G020600.1.p	FUN_002012-T1
OG0003977	Bevul.1G152500.1.p, Bevul.3G171900.1.p	FUN_047820-T1, FUN_038299-T1
OG0003978	Bevul.2G072600.1.p	FUN_029104-T2, FUN_029104-T1, FUN_029109-T1, FUN_029109-T2
OG0003979	Bevul.2G057100.1.p	FUN_030917-T1
OG0003980	Bevul.6G120000.1.p	FUN_023839-T1
OG0003980	Bevul.5G167300.1.p	FUN_011293-T1
OG0003981	Bevul.6G195600.1.p	FUN_032306-T1
OG0003982	Bevul.2G214500.2.p, Bevul.2G214500.1.p	FUN_016537-T1
OG0003982	Bevul.6G124600.1.p	FUN_033591-T1
OG0003983	Bevul.2G064100.1.p	FUN_029164-T1, FUN_029164-T2
OG0003984	Bevul.5G047500.1.p	FUN_041888-T1, FUN_041888-T2, FUN_017981-T1, FUN_017981-T2
OG0003985	Bevul.5G070900.1.p	FUN_017196-T1
OG0003986	Bevul.9G011500.2.p, Bevul.9G011500.1.p	FUN_034162-T2, FUN_034162-T1
OG0003987	Bevul.5G171300.1.p	FUN_011264-T1, FUN_047128-T1
OG0003988	Bevul.6G174700.1.p	FUN_002976-T2, FUN_002976-T1, FUN_032067-T1, FUN_032078-T1
OG0003989	Bevul.6G133300.1.p	FUN_033502-T1
OG0003990	Bevul.6G188300.1.p	FUN_032185-T1
OG0003991	Bevul.2G218300.7.p, Bevul.2G218300.1.p, Bevul.2G218300.6.p, Bevul.2G218300.4.p, Bevul.2G218300.2.p, Bevul.2G218300.3.p, Bevul.2G218300.5.p	FUN_029951-T1
OG0003992	Bevul.5G220200.1.p	FUN_010734-T1, FUN_028075-T1, FUN_047368-T1, FUN_024354-T1, FUN_004586-T1, FUN_047334-T1
OG0003993	Bevul.5G254300.1.p	FUN_044729-T2, FUN_044729-T3, FUN_044729-T1
OG0003994	Bevul.6G140900.1.p	FUN_033392-T1, FUN_033392-T3, FUN_033392-T2
OG0003995	Bevul.6G234000.1.p	FUN_032593-T1, FUN_023388-T1
OG0003995	Bevul.2G063200.1.p	FUN_029171-T1, FUN_029172-T1
OG0003996	Bevul.2G125500.2.p, Bevul.2G125500.1.p	FUN_006031-T1
OG0003997	Bevul.8G102800.1.p	FUN_040447-T1
OG0003999	Bevul.8G102200.1.p	FUN_040403-T1, FUN_040403-T2
OG0004000	Bevul.5G191700.1.p	FUN_011044-T1
OG0004001	Bevul.6G131800.1.p	FUN_033528-T2, FUN_033527-T1, FUN_033528-T3, FUN_033528-T1
OG0004002	Bevul.6G081000.1.p	FUN_033882-T1, FUN_023497-T1
OG0004003	Bevul.6G183800.1.p	FUN_009126-T1
OG0004004	Bevul.9G014100.1.p	FUN_031719-T1
OG0004005	Bevul.6G026600.1.p	FUN_004468-T1
OG0004006	Bevul.5G168200.1.p	FUN_011290-T1
OG0004008	Bevul.9G010600.4.p, Bevul.9G010600.2.p, Bevul.9G010600.3.p, Bevul.9G010600.5.p, Bevul.9G010600.6.p, Bevul.9G010600.1.p, Bevul.9G010600.7.p, Bevul.9G010700.4.p, Bevul.9G010700.3.p, Bevul.9G010700.2.p, Bevul.9G010700.1.p	FUN_005673-T1, FUN_053021-T1, FUN_005669-T1
OG0004009	Bevul.6G225100.1.p	FUN_003892-T1, FUN_028973-T1
OG0004010	Bevul.5G124100.1.p	FUN_003902-T1, FUN_003902-T3, FUN_003902-T2
OG0004026	Bevul.7G213600.1.p	FUN_015470-T1
OG0004027	Bevul.3G207500.1.p	FUN_004486-T1, FUN_032723-T1
OG0004028	Bevul.9G134800.1.p	FUN_045756-T1
OG0004030	Bevul.3G138400.1.p, Bevul.1G132000.1.p	FUN_049655-T1, FUN_036983-T1
OG0004031	Bevul.7G204300.1.p	FUN_047934-T1
OG0004032	Bevul.8G001700.1.p	FUN_053041-T1
OG0004033	Bevul.7G215800.1.p	FUN_049345-T2, FUN_049345-T1
OG0004034	Bevul.3G229200.1.p	FUN_003516-T2, FUN_003516-T3, FUN_003516-T4, FUN_003516-T1
OG0004035	Bevul.7G079800.2.p, Bevul.7G079800.7.p, Bevul.7G079800.8.p, Bevul.7G079800.1.p, Bevul.7G079800.5.p, Bevul.7G079800.3.p, Bevul.7G079800.4.p, Bevul.7G079800.6.p	FUN_024642-T1
OG0004036	Bevul.6G071200.1.p	FUN_016960-T1, FUN_016961-T1
OG0004036	Bevul.6G070900.1.p	FUN_016970-T1
OG0004037	Bevul.9G138100.1.p, Bevul.4G214200.1.p	FUN_052540-T1, FUN_052531-T1
OG0004038	Bevul.2G095400.4.p, Bevul.2G095400.1.p, Bevul.2G095400.3.p, Bevul.2G095400.6.p, Bevul.2G095400.2.p, Bevul.2G095400.5.p	FUN_002890-T4, FUN_002890-T2, FUN_002890-T1, FUN_002890-T3
OG0004039	Bevul.5G260000.1.p	FUN_044941-T1
OG0004039	Bevul.4G171500.1.p	FUN_052356-T1
OG0004040	Bevul.3G148100.1.p	FUN_014490-T1
OG0004040	Bevul.3G206600.1.p	FUN_002521-T1
OG0004043	Bevul.9G104900.1.p, Bevul.9G104900.2.p	FUN_015681-T1
OG0004044	Bevul.9G207700.1.p	FUN_051386-T1
OG0004045	Bevul.2G248100.1.p	FUN_030425-T1, FUN_019065-T1
OG0004046	Bevul.7G137100.1.p	FUN_025068-T1
OG0004046	Bevul.3G228500.1.p	FUN_003552-T1, FUN_034063-T1
OG0004047	Bevul.1G183600.1.p, Bevul.1G183500.1.p, Bevul.1G183700.1.p	FUN_037315-T1
OG0004048	Bevul.4G228000.1.p	FUN_036365-T1, FUN_036365-T4, FUN_036365-T2, FUN_036365-T3
OG0004049	Bevul.6G104100.1.p	FUN_007836-T1
OG0004050	Bevul.8G096800.1.p, Bevul.5G129800.1.p	FUN_008170-T4, FUN_008170-T2, FUN_008170-T3, FUN_008170-T1
OG0004051	Bevul.7G065700.1.p, Bevul.7G065700.2.p, Bevul.7G065700.3.p	FUN_014595-T1
OG0004052	Bevul.7G094500.1.p	FUN_042949-T1, FUN_042949-T2, FUN_024751-T1
OG0004053	Bevul.4G173700.1.p	FUN_036001-T1, FUN_052340-T1
OG0004054	Bevul.4G242900.1.p	FUN_000301-T1, FUN_000100-T1
OG0004055	Bevul.2G041900.1.p	FUN_018868-T1
OG0004056	Bevul.5G249800.1.p	FUN_051255-T1
OG0004058	Bevul.5G241500.1.p	FUN_000659-T1
OG0004059	Bevul.3G156000.1.p	FUN_033198-T1, FUN_033198-T2, FUN_033198-T3
OG0004060	Bevul.8G086500.1.p	FUN_034740-T1
OG0004061	Bevul.5G176900.1.p	FUN_049158-T1, FUN_046718-T1, FUN_011207-T1
OG0004061	Bevul.3G115900.1.p	FUN_011208-T1
OG0004063	Bevul.3G182700.1.p	FUN_004811-T2, FUN_004811-T1, FUN_032974-T1
OG0004064	Bevul.7G129500.1.p	FUN_050464-T1, FUN_025021-T2, FUN_025021-T1
OG0004066	Bevul.7G032600.1.p, Bevul.7G032600.2.p	FUN_039140-T1
OG0004067	Bevul.8G079300.1.p	FUN_004146-T1
OG0004068	Bevul.7G038800.2.p, Bevul.7G038800.1.p	FUN_006623-T1
OG0004069	Bevul.3G105100.1.p	FUN_006516-T1, FUN_022367-T1
OG0004070	Bevul.7G079000.1.p, Bevul.7G079000.2.p	FUN_024655-T3, FUN_024655-T4, FUN_024655-T1, FUN_024655-T2, FUN_042818-T2, FUN_042818-T3, FUN_042818-T1
OG0004071	Bevul.7G073000.1.p	FUN_042770-T1
OG0004071	Bevul.4G154900.1.p	FUN_051424-T1, FUN_000490-T1
OG0004072	Bevul.5G141400.1.p	FUN_018727-T1
OG0004073	Bevul.4G228400.1.p	FUN_036369-T3, FUN_036369-T1, FUN_036369-T2
OG0004074	Bevul.7G207300.1.p	FUN_047890-T1, FUN_009636-T1, FUN_009636-T2
OG0004075	Bevul.6G166800.1.p	FUN_029432-T1
OG0004076	Bevul.7G214600.1.p	FUN_025917-T1, FUN_025917-T5, FUN_025917-T3, FUN_025917-T4, FUN_025917-T2
OG0004077	Bevul.3G059000.1.p	FUN_014896-T1
OG0004078	Bevul.3G105700.1.p	FUN_006526-T2, FUN_006526-T1
OG0004078	Bevul.4G212400.1.p	FUN_052519-T2, FUN_052519-T1
OG0004079	Bevul.3G148900.1.p	FUN_000622-T2, FUN_000622-T1
OG0004080	Bevul.7G227000.1.p, Bevul.8G187900.1.p	FUN_048746-T1
OG0004081	Bevul.4G140800.1.p, Bevul.4G140700.1.p	FUN_002533-T1
OG0004082	Bevul.1G201900.1.p	FUN_037600-T2, FUN_037600-T1
OG0004083	Bevul.6G069200.1.p	FUN_017012-T3, FUN_017012-T2, FUN_017012-T1
OG0004084	Bevul.4G214500.1.p	FUN_052549-T1, FUN_036240-T1
OG0004084	Bevul.3G113900.1.p	FUN_014086-T1
OG0004085	Bevul.6G033200.1.p	FUN_031110-T1
OG0004086	Bevul.6G156400.1.p	FUN_000826-T1
OG0004087	Bevul.4G188700.1.p	FUN_035835-T1
OG0004088	Bevul.3G112700.1.p	FUN_038057-T1, FUN_048571-T1
OG0004089	Bevul.5G013700.1.p	FUN_018408-T1, FUN_018408-T2, FUN_041180-T1, FUN_039999-T2, FUN_039999-T3, FUN_039999-T1
OG0004090	Bevul.6G005700.1.p	FUN_052814-T1
OG0004090	Bevul.1G002900.1.p	FUN_024543-T1
OG0004091	Bevul.1G110600.1.p	FUN_038055-T1, FUN_038056-T1, FUN_048566-T1
OG0004092	Bevul.6G029000.1.p	FUN_025569-T1, FUN_031067-T1
OG0004093	Bevul.9G232600.1.p, Bevul.9G232500.1.p	FUN_047251-T1
OG0004094	Bevul.6G096600.1.p	FUN_008640-T3, FUN_008640-T1, FUN_008640-T2
OG0004095	Bevul.6G011600.1.p	FUN_001781-T1, FUN_030530-T1
OG0004096	Bevul.2G205300.8.p, Bevul.2G205300.7.p, Bevul.2G205300.1.p, Bevul.2G205300.11.p, Bevul.2G205300.3.p, Bevul.2G205300.9.p, Bevul.2G205300.6.p, Bevul.2G205300.2.p, Bevul.2G205300.4.p, Bevul.2G205300.5.p, Bevul.2G205300.10.p	FUN_016728-T1
OG0004097	Bevul.1G117300.1.p	FUN_044276-T2, FUN_044276-T1
OG0004098	Bevul.6G057200.1.p	FUN_004335-T1, FUN_004335-T2
OG0004099	Bevul.9G182500.1.p, Bevul.9G182400.1.p	FUN_002378-T1
OG0004100	Bevul.3G015900.1.p	FUN_045255-T1, FUN_045255-T2
OG0004101	Bevul.4G185100.1.p	FUN_035903-T1
OG0004102	Bevul.9G130900.2.p, Bevul.9G130900.1.p, Bevul.9G130900.4.p, Bevul.9G130900.6.p, Bevul.9G130900.3.p, Bevul.9G130900.5.p	FUN_028049-T1
OG0004103	Bevul.1G162200.1.p	FUN_049762-T1, FUN_049762-T2
OG0004104	Bevul.8G007900.1.p	FUN_016340-T2, FUN_016340-T3, FUN_016340-T1
OG0004105	Bevul.9G228200.1.p, Bevul.9G228200.2.p, Bevul.9G228200.3.p	FUN_052197-T1
OG0004106	Bevul.6G018900.1.p	FUN_009487-T1, FUN_001651-T1, FUN_009487-T2, FUN_001651-T3, FUN_001651-T2
OG0004107	Bevul.6G074700.1.p	FUN_004180-T1
OG0004108	Bevul.9G126100.1.p, Bevul.9G126100.2.p	FUN_020204-T1
OG0004109	Bevul.6G084300.1.p	FUN_003936-T1, FUN_030229-T1
OG0004110	Bevul.9G090700.1.p	FUN_020738-T1
OG0004111	Bevul.6G012500.1.p	FUN_030556-T1
OG0004112	Bevul.9G149000.1.p, Bevul.9G149000.2.p	FUN_051815-T1
OG0004113	Bevul.6G238700.1.p	FUN_028280-T2, FUN_028280-T1
OG0004114	Bevul.8G082300.1.p	FUN_023878-T1
OG0004115	Bevul.3G059100.1.p	FUN_014895-T2, FUN_014895-T1
OG0004116	Bevul.6G092500.1.p	FUN_025427-T1, FUN_025428-T1, FUN_031259-T1
OG0004117	Bevul.9G124600.4.p, Bevul.9G124600.2.p, Bevul.9G124600.1.p, Bevul.9G124600.3.p	FUN_046139-T1
OG0004118	Bevul.9G179500.1.p	FUN_002348-T1
OG0004118	Bevul.5G111300.1.p	FUN_042080-T1
OG0004119	Bevul.8G040600.1.p	FUN_012180-T1
OG0004121	Bevul.8G019500.1.p	FUN_043245-T1
OG0004122	Bevul.4G005100.1.p	FUN_046391-T1, FUN_046391-T5, FUN_046391-T8, FUN_046391-T6, FUN_046391-T7, FUN_046391-T4, FUN_046391-T3, FUN_046391-T2
OG0004124	Bevul.9G135600.2.p, Bevul.9G135600.1.p, Bevul.7G154400.1.p	FUN_018781-T1
OG0004125	Bevul.8G213500.1.p	FUN_034046-T1, FUN_034046-T2
OG0004126	Bevul.9G080300.2.p, Bevul.9G080300.1.p	FUN_015764-T1
OG0004127	Bevul.8G080800.1.p	FUN_034819-T1
OG0004128	Bevul.8G111500.2.p, Bevul.8G111500.1.p	FUN_012380-T2, FUN_012380-T1
OG0004128	Bevul.4G026400.1.p	FUN_027322-T1
OG0004130	Bevul.5G165300.1.p	FUN_011317-T1
OG0004131	Bevul.7G213000.1.p	FUN_008075-T1, FUN_008076-T1, FUN_008076-T2
OG0004131	Bevul.7G030300.1.p	FUN_020517-T1
OG0004132	Bevul.5G017600.1.p	FUN_018334-T1
OG0004133	Bevul.3G084300.1.p	FUN_025907-T1
OG0004134	Bevul.3G048100.1.p	FUN_013782-T1, FUN_013778-T1
OG0004135	Bevul.7G176600.1.p, Bevul.7G176700.1.p	FUN_049994-T2, FUN_049994-T1
OG0004136	Bevul.9G206700.1.p	FUN_006315-T1
OG0004137	Bevul.9G132400.2.p, Bevul.9G132400.1.p	FUN_052013-T1
OG0004138	Bevul.2G176000.5.p, Bevul.2G176000.3.p, Bevul.2G176000.4.p, Bevul.2G176000.1.p	FUN_020948-T1
OG0004138	Bevul.8G168700.1.p	FUN_026075-T1
OG0004139	Bevul.7G192500.1.p	FUN_029878-T1
OG0004140	Bevul.3G086500.1.p	FUN_015439-T1
OG0004140	Bevul.3G086600.1.p	FUN_006602-T1
OG0004140	Bevul.1G131400.1.p	FUN_037002-T1, FUN_049702-T1
OG0004141	Bevul.8G128900.1.p	FUN_009820-T1, FUN_009820-T2, FUN_009820-T3
OG0004142	Bevul.9G108800.2.p, Bevul.9G108800.3.p, Bevul.9G108800.4.p, Bevul.9G108800.1.p, Bevul.9G108800.6.p, Bevul.9G108800.5.p	FUN_006504-T4
OG0004143	Bevul.9G201800.2.p, Bevul.9G201800.1.p	FUN_006242-T1
OG0004144	Bevul.7G113000.1.p	FUN_000589-T1, FUN_029853-T1
OG0004144	Bevul.6G248400.1.p	FUN_032365-T1
OG0004145	Bevul.5G039300.1.p	FUN_018695-T1
OG0004146	Bevul.1G139900.1.p	FUN_049564-T1, FUN_049564-T2
OG0004147	Bevul.8G166500.1.p	FUN_026067-T2, FUN_026067-T1, FUN_013142-T1
OG0004148	Bevul.7G217600.1.p	FUN_045889-T2, FUN_045889-T1
OG0004149	Bevul.8G114900.1.p	FUN_039735-T3, FUN_039735-T2, FUN_039735-T1
OG0004150	Bevul.2G139800.1.p, Bevul.2G139800.4.p, Bevul.2G139800.2.p, Bevul.2G139800.3.p	FUN_005281-T1, FUN_005281-T2
OG0004151	Bevul.1G167500.1.p	FUN_037138-T1
OG0004152	Bevul.2G134500.1.p	FUN_005361-T1
OG0004153	Bevul.9G195500.1.p	FUN_016255-T1
OG0004153	Bevul.2G023900.1.p	FUN_008425-T1
OG0004154	Bevul.2G175700.1.p	FUN_008405-T1
OG0004156	Bevul.1G196700.1.p	FUN_048232-T1, FUN_037537-T1
OG0004156	Bevul.1G196600.1.p	FUN_048230-T1
OG0004157	Bevul.5G066000.1.p	FUN_019265-T1, FUN_019265-T2
OG0004158	Bevul.3G051200.1.p	FUN_046345-T1, FUN_018116-T1, FUN_047819-T1, FUN_009090-T1, FUN_009090-T2, FUN_009090-T3
OG0004159	Bevul.7G043900.1.p	FUN_020422-T2, FUN_020422-T1, FUN_019137-T3, FUN_019137-T1, FUN_020422-T3, FUN_019137-T2
OG0004160	Bevul.7G161600.1.p	FUN_050177-T1, FUN_050177-T3, FUN_050177-T2, FUN_050177-T4
OG0004161	Bevul.5G062800.1.p	FUN_041214-T1
OG0004162	Bevul.9G111800.1.p, Bevul.9G111800.2.p	FUN_015869-T1
OG0004163	Bevul.3G038300.1.p	FUN_013661-T1, FUN_013661-T2, FUN_008877-T1
OG0004164	Bevul.2G004400.1.p, Bevul.2G004400.3.p	FUN_008280-T1
OG0004165	Bevul.2G003800.2.p, Bevul.2G003800.1.p, Bevul.2G003800.4.p, Bevul.2G003800.3.p	FUN_008278-T1
OG0004166	Bevul.4G006400.1.p	FUN_033969-T1
OG0004167	Bevul.1G136700.1.p	FUN_036914-T1
OG0004168	Bevul.3G029500.1.p	FUN_045032-T1
OG0004169	Bevul.3G085400.1.p	FUN_019476-T1
OG0004169	Bevul.5G042500.1.p	FUN_018628-T1
OG0004170	Bevul.7G004100.1.p	FUN_004063-T1, FUN_004063-T2, FUN_012889-T3, FUN_012889-T2, FUN_012889-T1
OG0004171	Bevul.2G105600.1.p, Bevul.2G105600.2.p	FUN_000978-T1
OG0004172	Bevul.4G100100.1.p	FUN_002079-T1
OG0004173	Bevul.4G002400.1.p	FUN_042626-T1
OG0004173	Bevul.9G067400.1.p	FUN_009755-T1, FUN_015532-T1
OG0004174	Bevul.4G003700.1.p	FUN_002008-T2, FUN_002008-T3, FUN_002008-T1
OG0004175	Bevul.8G084500.1.p	FUN_034750-T1
OG0004176	Bevul.3G109800.1.p	FUN_014031-T1
OG0004177	Bevul.1G143200.1.p	FUN_039606-T1
OG0004179	Bevul.2G027700.1.p	FUN_029240-T1, FUN_018940-T1
OG0004179	Bevul.7G004300.1.p	FUN_020258-T1
OG0004180	Bevul.3G089200.1.p	FUN_042091-T1
OG0004181	Bevul.2G086300.2.p, Bevul.2G086300.3.p, Bevul.2G086300.4.p, Bevul.2G086300.5.p, Bevul.2G086300.6.p, Bevul.2G086300.1.p	FUN_039326-T1
OG0004182	Bevul.4G028500.1.p	FUN_044077-T1
OG0004183	Bevul.2G157200.1.p, Bevul.2G157200.2.p	FUN_002438-T1
OG0004184	Bevul.6G145300.1.p	FUN_039747-T2, FUN_039747-T1
OG0004185	Bevul.6G057800.1.p	FUN_020796-T1, FUN_020796-T2, FUN_004333-T1
OG0004186	Bevul.4G046800.1.p	FUN_045886-T1, FUN_012066-T1
OG0004187	Bevul.2G190800.1.p	FUN_031330-T1, FUN_034828-T1, FUN_034828-T2
OG0004188	Bevul.2G033500.1.p, Bevul.2G033500.3.p, Bevul.2G033500.2.p	FUN_030972-T1
OG0004189	Bevul.9G064600.1.p	FUN_027436-T4, FUN_027436-T3, FUN_027436-T2, FUN_027436-T1
OG0004190	Bevul.7G062600.6.p, Bevul.7G062600.4.p, Bevul.7G062600.5.p, Bevul.7G062600.8.p, Bevul.7G062600.7.p, Bevul.7G062600.3.p, Bevul.7G062600.2.p, Bevul.7G062600.1.p	FUN_039449-T1, FUN_039450-T1, FUN_039450-T3, FUN_039450-T2
OG0004191	Bevul.1G145800.1.p	FUN_049486-T1, FUN_049486-T2
OG0004192	Bevul.3G131200.1.p	FUN_014267-T1, FUN_014270-T2, FUN_014270-T4, FUN_014270-T1, FUN_014270-T3, FUN_000614-T1
OG0004193	Bevul.2G007700.5.p, Bevul.2G007700.7.p, Bevul.2G007700.3.p, Bevul.2G007700.4.p, Bevul.2G007700.1.p, Bevul.2G007700.2.p, Bevul.2G007700.6.p	FUN_047456-T1
OG0004194	Bevul.8G187300.1.p, Bevul.8G187600.1.p	FUN_026319-T1
OG0004195	Bevul.8G019200.1.p	FUN_043240-T2, FUN_043240-T1, FUN_036721-T1
OG0004196	Bevul.8G072500.1.p	FUN_035303-T1, FUN_035303-T2, FUN_053069-T2, FUN_053069-T4
OG0004197	Bevul.4G055600.1.p	FUN_011986-T1, FUN_046520-T1, FUN_046520-T2
OG0004198	Bevul.6G008200.1.p	FUN_035149-T1, FUN_012333-T1
OG0004199	Bevul.7G150100.1.p	FUN_051850-T1, FUN_045635-T3, FUN_045635-T2, FUN_045635-T1
OG0004200	Bevul.2G085300.2.p, Bevul.2G085300.1.p	FUN_039360-T3, FUN_039360-T2, FUN_039360-T1
OG0004201	Bevul.7G052700.5.p, Bevul.7G052700.6.p, Bevul.7G052700.8.p, Bevul.7G052700.9.p, Bevul.7G052700.7.p, Bevul.7G052700.4.p, Bevul.7G052700.1.p, Bevul.7G052700.3.p, Bevul.7G052700.2.p	FUN_029979-T1
OG0004202	Bevul.2G117600.1.p, Bevul.9G050800.1.p	FUN_027292-T2, FUN_027292-T1
OG0004203	Bevul.6G215600.1.p	FUN_020429-T2, FUN_020429-T1
OG0004204	Bevul.3G111900.1.p	FUN_014073-T5, FUN_014073-T2, FUN_014073-T4, FUN_014073-T1, FUN_014073-T3
OG0004205	Bevul.9G000200.1.p, Bevul.9G000200.2.p	FUN_046722-T1
OG0004206	Bevul.3G196200.1.p	FUN_032820-T1, FUN_032820-T4
OG0004208	Bevul.5G079900.1.p, Bevul.9G028400.1.p	FUN_049560-T1, FUN_034090-T1
OG0004209	Bevul.9G048900.1.p, Bevul.9G048900.5.p, Bevul.9G048900.2.p, Bevul.9G048900.3.p, Bevul.9G048900.4.p	FUN_020262-T1
OG0004210	Bevul.3G197300.1.p	FUN_032805-T1, FUN_004599-T1
OG0004211	Bevul.5G134300.1.p	FUN_039802-T1
OG0004212	Bevul.7G078500.1.p	FUN_024629-T1
OG0004213	Bevul.5G000700.1.p	FUN_007946-T2, FUN_007946-T1
OG0004214	Bevul.6G204200.1.p	FUN_025275-T1, FUN_031823-T2, FUN_031823-T1
OG0004215	Bevul.7G135100.1.p	FUN_025051-T1
OG0004216	Bevul.1G059500.1.p	FUN_001504-T1, FUN_001504-T2
OG0004217	Bevul.1G056400.1.p	FUN_001605-T1, FUN_001603-T1
OG0004218	Bevul.3G092000.1.p	FUN_015293-T2, FUN_015293-T1
OG0004219	Bevul.1G201700.1.p	FUN_048306-T1
OG0004220	Bevul.3G091200.1.p	FUN_015309-T1
OG0004220	Bevul.1G138800.1.p	FUN_036895-T1
OG0004221	Bevul.5G028600.1.p	FUN_026721-T2, FUN_026721-T1
OG0004222	Bevul.2G122700.8.p, Bevul.2G122700.9.p, Bevul.2G122700.1.p, Bevul.2G122700.7.p, Bevul.2G122700.4.p, Bevul.2G122700.10.p, Bevul.2G122700.3.p, Bevul.2G122700.11.p, Bevul.2G122700.6.p, Bevul.2G122700.5.p, Bevul.2G122700.12.p, Bevul.2G122700.2.p	FUN_006002-T1
OG0004223	Bevul.5G064500.1.p	FUN_033598-T2, FUN_033598-T3, FUN_033598-T1
OG0004223	Bevul.3G027900.1.p	FUN_043114-T1
OG0004224	Bevul.1G080000.1.p	FUN_003950-T1
OG0004225	Bevul.4G247500.1.p	FUN_035719-T1, FUN_036735-T1
OG0004226	Bevul.3G142200.1.p	FUN_014415-T1
OG0004227	Bevul.7G205500.1.p	FUN_043970-T1, FUN_044521-T1, FUN_043969-T1, FUN_043216-T1
OG0004228	Bevul.4G242700.1.p	FUN_000108-T1
OG0004229	Bevul.3G085700.1.p	FUN_033680-T1, FUN_006596-T1
OG0004229	Bevul.3G085600.1.p	FUN_015445-T1, FUN_006593-T1, FUN_006595-T1
OG0004230	Bevul.1G139800.1.p	FUN_049565-T1, FUN_036891-T1, FUN_036891-T2
OG0004231	Bevul.2G125000.3.p, Bevul.2G125000.7.p, Bevul.2G125000.1.p, Bevul.2G125000.6.p, Bevul.2G125000.4.p, Bevul.2G125000.10.p, Bevul.2G125000.9.p, Bevul.2G125000.5.p, Bevul.2G125000.11.p, Bevul.2G125000.2.p, Bevul.2G125000.8.p	FUN_034024-T1
OG0004232	Bevul.7G140900.1.p	FUN_050342-T1, FUN_025095-T1
OG0004233	Bevul.5G228700.1.p	FUN_010659-T1, FUN_047263-T2, FUN_047263-T1
OG0004234	Bevul.4G137600.1.p, Bevul.4G069700.1.p	FUN_002555-T1, FUN_002556-T1
OG0004235	Bevul.6G169800.1.p, Bevul.6G061200.1.p	FUN_032006-T2, FUN_032006-T1, FUN_032006-T3
OG0004236	Bevul.4G131300.1.p	FUN_002684-T1
OG0004237	Bevul.6G029700.1.p	FUN_031076-T1
OG0004238	Bevul.1G085000.1.p	FUN_038827-T3, FUN_038827-T2, FUN_038827-T1
OG0004239	Bevul.9G183500.1.p, Bevul.9G183500.2.p, Bevul.9G183500.3.p, Bevul.9G183500.4.p	FUN_046069-T1
OG0004240	Bevul.6G206300.1.p	FUN_025300-T1, FUN_031856-T1
OG0004241	Bevul.3G092900.1.p	FUN_041438-T1
OG0004242	Bevul.4G186400.1.p	FUN_021729-T2
OG0004243	Bevul.9G158300.1.p, Bevul.9G158300.4.p, Bevul.9G158300.2.p, Bevul.9G158300.3.p	FUN_002189-T4, FUN_002189-T3, FUN_002189-T2, FUN_002189-T5, FUN_002189-T1
OG0004244	Bevul.9G106000.6.p, Bevul.9G106000.5.p, Bevul.9G106000.1.p, Bevul.9G106000.9.p, Bevul.9G106000.10.p, Bevul.9G106000.2.p, Bevul.9G106000.4.p, Bevul.9G106000.7.p, Bevul.9G106000.11.p, Bevul.9G106000.8.p, Bevul.9G106000.3.p, Bevul.1G020900.1.p	FUN_036153-T1
OG0004245	Bevul.4G179200.1.p	FUN_035950-T1, FUN_035950-T2
OG0004246	Bevul.7G093200.1.p, Bevul.7G093200.3.p, Bevul.7G093200.4.p, Bevul.7G093200.2.p	FUN_042926-T1, FUN_042926-T2, FUN_024735-T1
OG0004247	Bevul.5G015700.1.p	FUN_018377-T2, FUN_018377-T3, FUN_018377-T1
OG0004248	Bevul.3G171500.1.p, Bevul.5G046400.1.p	FUN_017498-T1, FUN_017498-T3, FUN_017498-T2, FUN_027429-T1
OG0004249	Bevul.3G125800.1.p	FUN_014216-T3, FUN_014216-T5, FUN_014216-T2, FUN_014216-T4
OG0004250	Bevul.6G163900.1.p	FUN_020382-T1
OG0004251	Bevul.1G211800.1.p	FUN_037839-T1, FUN_037836-T1, FUN_037836-T2
OG0004252	Bevul.6G052900.1.p, Bevul.7G108700.1.p	FUN_035215-T1, FUN_014586-T1
