Orthogroup	B_vulgaris.proteins	D_muscipula.proteins
OG0004070	Bevul.7G079000.1.p, Bevul.7G079000.2.p	Dm_00008414-RA
OG0004071	Bevul.7G073000.1.p	Dm_00010882-RA
OG0004071	Bevul.4G154900.1.p	Dm_00003140-RA
OG0004072	Bevul.5G141400.1.p	Dm_00017827-RA
OG0004072	Bevul.7G204800.1.p	Dm_00003743-RA
OG0004074	Bevul.7G207300.1.p	Dm_00004548-RA
OG0004075	Bevul.6G166800.1.p	Dm_00018845-RA, Dm_00015341-RA
OG0004076	Bevul.7G214600.1.p	Dm_00005765-RA
OG0004077	Bevul.3G059000.1.p	Dm_00016316-RA
OG0004078	Bevul.3G105700.1.p, Bevul.4G212400.1.p	Dm_00018653-RA, Dm_00012473-RA
OG0004079	Bevul.3G148900.1.p	Dm_00018987-RA
OG0004080	Bevul.7G227000.1.p, Bevul.8G187900.1.p	Dm_00003869-RA
OG0004081	Bevul.4G140700.1.p	Dm_00000529-RA
OG0004082	Bevul.1G201900.1.p	Dm_00013274-RA
OG0004084	Bevul.4G214500.1.p	Dm_00002398-RA
OG0004084	Bevul.3G113900.1.p	Dm_00003887-RA, Dm_00011428-RA
OG0004085	Bevul.9G137400.1.p	Dm_00005611-RA
OG0004085	Bevul.6G033200.1.p	Dm_00005810-RA
OG0004086	Bevul.6G156400.1.p	Dm_00011835-RA, Dm_00013686-RA
OG0004087	Bevul.4G188700.1.p	Dm_00018981-RA, Dm_00003812-RA
OG0004090	Bevul.6G005700.1.p	Dm_00013514-RA
OG0004090	Bevul.1G002900.1.p	Dm_00001660-RA
OG0004091	Bevul.1G110600.1.p	Dm_00012625-RA, Dm_00013551-RA
OG0004092	Bevul.6G029000.1.p	Dm_00015256-RA
OG0004093	Bevul.9G232600.1.p, Bevul.9G232500.1.p	Dm_00019394-RA, Dm_00019263-RA
OG0004096	Bevul.2G205300.8.p, Bevul.2G205300.7.p, Bevul.2G205300.1.p, Bevul.2G205300.11.p, Bevul.2G205300.3.p, Bevul.2G205300.9.p, Bevul.2G205300.6.p, Bevul.2G205300.2.p, Bevul.2G205300.4.p, Bevul.2G205300.5.p, Bevul.2G205300.10.p	Dm_00013151-RA
OG0004097	Bevul.1G117300.1.p	Dm_00019855-RA
OG0004098	Bevul.6G057200.1.p	Dm_00013868-RA
OG0004100	Bevul.3G015900.1.p	Dm_00019164-RA
OG0004101	Bevul.4G185100.1.p	Dm_00001915-RA, Dm_00003807-RA
OG0004102	Bevul.9G130900.2.p, Bevul.9G130900.1.p, Bevul.9G130900.4.p, Bevul.9G130900.6.p, Bevul.9G130900.3.p, Bevul.9G130900.5.p	Dm_00012028-RA
OG0004103	Bevul.1G162200.1.p	Dm_00008142-RA, Dm_00009536-RA, Dm_00013445-RA
OG0004104	Bevul.8G007900.1.p	Dm_00007278-RA
OG0004105	Bevul.9G228200.1.p, Bevul.9G228200.2.p, Bevul.9G228200.3.p	Dm_00004936-RA
OG0004105	Bevul.8G115600.1.p	Dm_00012755-RA
OG0004106	Bevul.6G018900.1.p	Dm_00009207-RA
OG0004108	Bevul.9G126100.1.p, Bevul.9G126100.2.p	Dm_00015176-RA
OG0004109	Bevul.6G084300.1.p	Dm_00009616-RA
OG0004110	Bevul.9G090700.1.p	Dm_00019972-RA, Dm_00002501-RA
OG0004111	Bevul.6G012500.1.p	Dm_00003893-RA, Dm_00009973-RA
OG0004112	Bevul.9G149000.1.p, Bevul.9G149000.2.p	Dm_00008571-RA
OG0004113	Bevul.6G238700.1.p	Dm_00002237-RA
OG0004114	Bevul.8G082300.1.p	Dm_00000353-RA
OG0004115	Bevul.3G059100.1.p	Dm_00003544-RA
OG0004116	Bevul.6G092500.1.p	Dm_00001084-RA, Dm_00003359-RA
OG0004117	Bevul.9G124600.4.p, Bevul.9G124600.2.p, Bevul.9G124600.1.p, Bevul.9G124600.3.p	Dm_00002068-RA
OG0004118	Bevul.5G111300.1.p	Dm_00019577-RA
OG0004119	Bevul.8G040600.1.p	Dm_00010554-RA
OG0004120	Bevul.3G054300.1.p	Dm_00009661-RA
OG0004121	Bevul.8G019500.1.p	Dm_00000712-RA
OG0004122	Bevul.4G005100.1.p	Dm_00001890-RA
OG0004124	Bevul.9G135600.2.p, Bevul.9G135600.1.p, Bevul.7G154400.1.p	Dm_00018645-RA, Dm_00017237-RA
OG0004125	Bevul.8G213500.1.p	Dm_00000759-RA
OG0004126	Bevul.9G080300.2.p, Bevul.9G080300.1.p	Dm_00003750-RA
OG0004127	Bevul.8G080800.1.p	Dm_00008981-RA
OG0004128	Bevul.8G111500.2.p, Bevul.8G111500.1.p	Dm_00013714-RA
OG0004128	Bevul.4G026400.1.p	Dm_00004734-RA
OG0004130	Bevul.5G165300.1.p	Dm_00007635-RA
OG0004131	Bevul.7G213000.1.p	Dm_00004968-RA
OG0004133	Bevul.3G084300.1.p	Dm_00008714-RA
OG0004134	Bevul.3G048100.1.p	Dm_00004009-RA, Dm_00002051-RA
OG0004135	Bevul.7G176600.1.p, Bevul.7G176700.1.p	Dm_00015608-RA, Dm_00014346-RA
OG0004136	Bevul.9G206700.1.p	Dm_00014705-RA
OG0004137	Bevul.9G132400.2.p, Bevul.9G132400.1.p	Dm_00014386-RA
OG0004138	Bevul.2G176000.5.p, Bevul.2G176000.3.p, Bevul.2G176000.4.p, Bevul.2G176000.1.p	Dm_00016527-RA
OG0004138	Bevul.8G168700.1.p	Dm_00004997-RA
OG0004139	Bevul.7G192500.1.p	Dm_00017670-RA, Dm_00013530-RA
OG0004140	Bevul.3G086500.1.p, Bevul.3G086600.1.p, Bevul.1G131400.1.p	Dm_00010157-RA
OG0004141	Bevul.8G128900.1.p	Dm_00008779-RA
OG0004142	Bevul.9G108800.2.p, Bevul.9G108800.3.p, Bevul.9G108800.4.p, Bevul.9G108800.1.p, Bevul.9G108800.6.p, Bevul.9G108800.5.p	Dm_00007524-RA
OG0004143	Bevul.9G201800.2.p, Bevul.9G201800.1.p	Dm_00003654-RA
OG0004144	Bevul.7G113000.1.p	Dm_00016012-RA
OG0004145	Bevul.5G039300.1.p	Dm_00015745-RA
OG0004146	Bevul.1G139900.1.p	Dm_00008696-RA
OG0004147	Bevul.8G166500.1.p	Dm_00003788-RA
OG0004148	Bevul.7G217600.1.p	Dm_00020845-RA, Dm_00005266-RA
OG0004149	Bevul.8G114900.1.p	Dm_00007924-RA
OG0004150	Bevul.2G139800.1.p, Bevul.2G139800.4.p, Bevul.2G139800.2.p, Bevul.2G139800.3.p	Dm_00017090-RA
OG0004151	Bevul.1G167500.1.p	Dm_00009399-RA
OG0004152	Bevul.2G134500.1.p	Dm_00008601-RA
OG0004153	Bevul.2G023900.1.p	Dm_00017711-RA
OG0004154	Bevul.2G175700.1.p	Dm_00007984-RA, Dm_00006363-RA
OG0004156	Bevul.1G196700.1.p, Bevul.1G196600.1.p	Dm_00018033-RA
OG0004157	Bevul.5G066000.1.p	Dm_00002083-RA
OG0004158	Bevul.3G051200.1.p	Dm_00002056-RA, Dm_00018379-RA
OG0004159	Bevul.7G043900.1.p	Dm_00006173-RA
OG0004160	Bevul.7G161600.1.p	Dm_00011642-RA
OG0004161	Bevul.5G062800.1.p	Dm_00001484-RA
OG0004163	Bevul.3G038300.1.p	Dm_00004278-RA
OG0004164	Bevul.2G004400.1.p, Bevul.2G004400.3.p	Dm_00012119-RA, Dm_00016542-RA, Dm_00015309-RA
OG0004166	Bevul.4G006400.1.p	Dm_00005853-RA
OG0004168	Bevul.3G029500.1.p	Dm_00000429-RA
OG0004169	Bevul.5G042500.1.p	Dm_00014993-RA
OG0004170	Bevul.7G004100.1.p	Dm_00001567-RA
OG0004171	Bevul.2G105600.1.p, Bevul.2G105600.2.p	Dm_00012437-RA
OG0004172	Bevul.4G100100.1.p	Dm_00013075-RA
OG0004173	Bevul.9G067400.1.p	Dm_00010547-RA
OG0004174	Bevul.4G003700.1.p	Dm_00001522-RA
OG0004175	Bevul.8G084500.1.p	Dm_00004058-RA, Dm_00000348-RA
OG0004176	Bevul.3G109800.1.p	Dm_00014883-RA, Dm_00014884-RA
OG0004179	Bevul.7G004300.1.p	Dm_00000017-RA
OG0004180	Bevul.3G089200.1.p	Dm_00015196-RA
OG0004181	Bevul.2G086300.2.p, Bevul.2G086300.3.p, Bevul.2G086300.4.p, Bevul.2G086300.5.p, Bevul.2G086300.6.p, Bevul.2G086300.1.p	Dm_00013117-RA, Dm_00013116-RA
OG0004182	Bevul.4G028500.1.p	Dm_00002133-RA
OG0004183	Bevul.2G157200.1.p, Bevul.2G157200.2.p	Dm_00009218-RA
OG0004184	Bevul.6G145300.1.p	Dm_00009769-RA
OG0004185	Bevul.6G057800.1.p	Dm_00003209-RA
OG0004186	Bevul.4G046800.1.p	Dm_00011118-RA
OG0004187	Bevul.2G190800.1.p	Dm_00005620-RA
OG0004188	Bevul.2G033500.1.p, Bevul.2G033500.3.p, Bevul.2G033500.2.p	Dm_00016270-RA, Dm_00002991-RA
OG0004189	Bevul.9G064600.1.p	Dm_00007269-RA
OG0004190	Bevul.7G062600.6.p, Bevul.7G062600.4.p, Bevul.7G062600.5.p, Bevul.7G062600.8.p, Bevul.7G062600.7.p, Bevul.7G062600.3.p, Bevul.7G062600.2.p, Bevul.7G062600.1.p	Dm_00003102-RA
OG0004191	Bevul.1G145800.1.p	Dm_00018321-RA, Dm_00018320-RA, Dm_00013503-RA
OG0004192	Bevul.3G131200.1.p	Dm_00019937-RA
OG0004194	Bevul.8G187300.1.p, Bevul.8G187600.1.p	Dm_00021058-RA, Dm_00010731-RA
OG0004195	Bevul.8G019200.1.p	Dm_00002288-RA
OG0004196	Bevul.8G072500.1.p	Dm_00005090-RA
OG0004197	Bevul.4G055600.1.p	Dm_00013600-RA, Dm_00006530-RA
OG0004198	Bevul.6G008200.1.p	Dm_00005170-RA
OG0004199	Bevul.7G150100.1.p	Dm_00009287-RA
OG0004200	Bevul.2G085300.2.p, Bevul.2G085300.1.p	Dm_00015455-RA
OG0004201	Bevul.7G052700.5.p, Bevul.7G052700.6.p, Bevul.7G052700.8.p, Bevul.7G052700.9.p, Bevul.7G052700.7.p, Bevul.7G052700.4.p, Bevul.7G052700.1.p, Bevul.7G052700.3.p, Bevul.7G052700.2.p	Dm_00010863-RA
OG0004202	Bevul.2G117600.1.p, Bevul.9G050800.1.p	Dm_00019665-RA
OG0004203	Bevul.6G215600.1.p	Dm_00017539-RA
OG0004205	Bevul.9G000200.1.p, Bevul.9G000200.2.p	Dm_00018972-RA
OG0004206	Bevul.3G196200.1.p	Dm_00005795-RA
OG0004207	Bevul.9G060700.1.p	Dm_00011928-RA, Dm_00006227-RA
OG0004208	Bevul.5G079900.1.p, Bevul.9G028400.1.p	Dm_00007341-RA, Dm_00013624-RA
OG0004209	Bevul.9G048900.1.p, Bevul.9G048900.5.p, Bevul.9G048900.2.p, Bevul.9G048900.3.p, Bevul.9G048900.4.p	Dm_00016895-RA, Dm_00004212-RA
OG0004210	Bevul.3G197300.1.p	Dm_00016982-RA, Dm_00011607-RA
OG0004211	Bevul.5G134300.1.p	Dm_00008012-RA, Dm_00002968-RA
OG0004213	Bevul.5G000700.1.p	Dm_00006345-RA
OG0004214	Bevul.6G204200.1.p	Dm_00009904-RA
OG0004215	Bevul.7G135100.1.p	Dm_00010020-RA
OG0004216	Bevul.1G059500.1.p	Dm_00009485-RA
OG0004217	Bevul.1G056400.1.p	Dm_00002734-RA
OG0004218	Bevul.3G092000.1.p	Dm_00004754-RA, Dm_00002152-RA
OG0004219	Bevul.1G201700.1.p	Dm_00002700-RA
OG0004220	Bevul.3G091200.1.p	Dm_00011380-RA
OG0004220	Bevul.1G138800.1.p	Dm_00006631-RA
OG0004221	Bevul.5G028600.1.p	Dm_00019190-RA, Dm_00012797-RA
OG0004222	Bevul.2G122700.8.p, Bevul.2G122700.9.p, Bevul.2G122700.1.p, Bevul.2G122700.7.p, Bevul.2G122700.4.p, Bevul.2G122700.10.p, Bevul.2G122700.3.p, Bevul.2G122700.11.p, Bevul.2G122700.6.p, Bevul.2G122700.5.p, Bevul.2G122700.12.p, Bevul.2G122700.2.p	Dm_00017728-RA
OG0004223	Bevul.5G064500.1.p	Dm_00001475-RA
OG0004224	Bevul.1G080000.1.p	Dm_00014318-RA
OG0004225	Bevul.4G247500.1.p	Dm_00009212-RA
OG0004226	Bevul.3G142200.1.p	Dm_00017718-RA, Dm_00020486-RA
OG0004227	Bevul.7G205500.1.p	Dm_00011439-RA
OG0004228	Bevul.4G242700.1.p	Dm_00007257-RA
OG0004229	Bevul.3G085700.1.p, Bevul.3G085600.1.p	Dm_00019933-RA
OG0004230	Bevul.1G139800.1.p	Dm_00011255-RA, Dm_00006161-RA, Dm_00011254-RA
OG0004231	Bevul.2G125000.3.p, Bevul.2G125000.7.p, Bevul.2G125000.1.p, Bevul.2G125000.6.p, Bevul.2G125000.4.p, Bevul.2G125000.10.p, Bevul.2G125000.9.p, Bevul.2G125000.5.p, Bevul.2G125000.11.p, Bevul.2G125000.2.p, Bevul.2G125000.8.p	Dm_00013072-RA
OG0004232	Bevul.7G140900.1.p	Dm_00001434-RA
OG0004233	Bevul.5G228700.1.p	Dm_00008206-RA
OG0004235	Bevul.6G169800.1.p, Bevul.6G061200.1.p	Dm_00018723-RA
OG0004236	Bevul.4G131300.1.p	Dm_00003498-RA
OG0004237	Bevul.6G029700.1.p	Dm_00006340-RA
OG0004238	Bevul.1G085000.1.p	Dm_00009238-RA, Dm_00009237-RA
OG0004239	Bevul.9G183500.1.p, Bevul.9G183500.2.p, Bevul.9G183500.3.p, Bevul.9G183500.4.p	Dm_00018810-RA
OG0004240	Bevul.6G206300.1.p	Dm_00009460-RA, Dm_00015269-RA
OG0004241	Bevul.3G092900.1.p	Dm_00001928-RA
OG0004242	Bevul.4G186400.1.p	Dm_00008529-RA
OG0004243	Bevul.9G158300.1.p, Bevul.9G158300.4.p, Bevul.9G158300.2.p, Bevul.9G158300.3.p	Dm_00014062-RA
OG0004244	Bevul.9G106000.6.p, Bevul.9G106000.5.p, Bevul.9G106000.1.p, Bevul.9G106000.9.p, Bevul.9G106000.10.p, Bevul.9G106000.2.p, Bevul.9G106000.4.p, Bevul.9G106000.7.p, Bevul.9G106000.11.p, Bevul.9G106000.8.p, Bevul.9G106000.3.p, Bevul.1G020900.1.p	Dm_00016820-RA
OG0004245	Bevul.4G179200.1.p	Dm_00004465-RA
OG0004246	Bevul.7G093200.1.p, Bevul.7G093200.3.p, Bevul.7G093200.4.p, Bevul.7G093200.2.p	Dm_00018008-RA
OG0004248	Bevul.3G171500.1.p, Bevul.5G046400.1.p	Dm_00012411-RA
OG0004249	Bevul.3G125800.1.p	Dm_00012216-RA
OG0004250	Bevul.6G163900.1.p	Dm_00010967-RA
OG0004251	Bevul.1G211800.1.p	Dm_00006271-RA
OG0004252	Bevul.6G052900.1.p, Bevul.7G108700.1.p	Dm_00011181-RA
OG0004253	Bevul.1G158200.1.p	Dm_00005953-RA, Dm_00014306-RA
OG0004254	Bevul.6G092600.1.p	Dm_00001083-RA
OG0004255	Bevul.5G102900.1.p	Dm_00007550-RA
OG0004259	Bevul.2G213000.1.p, Bevul.6G128000.1.p	Dm_00018430-RA
OG0004260	Bevul.6G127900.1.p	Dm_00001708-RA
OG0004261	Bevul.6G028600.1.p	Dm_00005015-RA
OG0004262	Bevul.5G214600.1.p	Dm_00003324-RA, Dm_00008787-RA
OG0004263	Bevul.2G071000.1.p, Bevul.2G071000.2.p	Dm_00006641-RA
OG0004264	Bevul.2G203100.1.p, Bevul.2G203100.3.p, Bevul.2G203100.2.p, Bevul.9G014000.1.p	Dm_00006180-RA
OG0004265	Bevul.2G125900.1.p, Bevul.2G125900.2.p	Dm_00010229-RA
OG0004266	Bevul.2G095000.3.p, Bevul.2G095000.2.p, Bevul.2G095000.1.p	Dm_00013900-RA
OG0004267	Bevul.6G193000.1.p	Dm_00012565-RA
OG0004268	Bevul.5G092400.1.p	Dm_00012167-RA
OG0004269	Bevul.5G180200.1.p	Dm_00014587-RA
OG0004270	Bevul.5G205000.1.p	Dm_00009090-RA
OG0004271	Bevul.5G108700.1.p	Dm_00011333-RA
OG0004272	Bevul.6G187400.1.p	Dm_00017000-RA
OG0004274	Bevul.3G014900.1.p	Dm_00000237-RA
OG0004279	Bevul.7G127900.1.p	Dm_00018539-RA, Dm_00007070-RA, Dm_00010438-RA
OG0004280	Bevul.7G227900.1.p	Dm_00009162-RA
OG0004281	Bevul.9G190300.1.p, Bevul.9G190300.2.p, Bevul.9G190300.5.p, Bevul.9G190300.9.p, Bevul.9G190300.8.p, Bevul.9G190300.4.p, Bevul.9G190300.3.p, Bevul.9G190300.6.p, Bevul.9G190300.7.p, Bevul.9G190300.10.p	Dm_00002513-RA
OG0004284	Bevul.2G110500.1.p, Bevul.7G038200.1.p	Dm_00018044-RA, Dm_00008861-RA, Dm_00008860-RA, Dm_00015077-RA, Dm_00019698-RA, Dm_00014816-RA, Dm_00017290-RA, Dm_00015985-RA, Dm_00017889-RA, Dm_00014985-RA, Dm_00013029-RA, Dm_00008169-RA, Dm_00008168-RA, Dm_00019184-RA, Dm_00012946-RA, Dm_00013716-RA
OG0004294	Bevul.9G146900.1.p, Bevul.1G203600.1.p	Dm_00000855-RA
OG0004296	Bevul.7G087100.1.p	Dm_00009907-RA
OG0004297	Bevul.3G139700.1.p	Dm_00004363-RA
OG0004298	Bevul.1G140900.1.p	Dm_00004008-RA
OG0004300	Bevul.9G182100.1.p	Dm_00001724-RA
OG0004301	Bevul.3G169500.1.p	Dm_00014937-RA, Dm_00020469-RA, Dm_00010102-RA
OG0004302	Bevul.4G134100.1.p	Dm_00019389-RA, Dm_00018143-RA
OG0004303	Bevul.1G132400.1.p	Dm_00005990-RA, Dm_00005989-RA
OG0004305	Bevul.4G203500.1.p	Dm_00000613-RA
OG0004306	Bevul.4G215500.1.p	Dm_00010306-RA
OG0004307	Bevul.3G161800.1.p	Dm_00012453-RA, Dm_00018693-RA
OG0004308	Bevul.3G152800.1.p	Dm_00009967-RA
OG0004309	Bevul.3G001600.1.p	Dm_00017742-RA, Dm_00008408-RA
OG0004310	Bevul.7G031900.1.p, Bevul.7G031900.2.p, Bevul.7G031900.6.p, Bevul.7G031900.4.p, Bevul.7G031900.3.p, Bevul.7G031900.5.p	Dm_00012318-RA
OG0004311	Bevul.4G103000.1.p	Dm_00000960-RA
OG0004312	Bevul.7G182300.1.p	Dm_00018427-RA, Dm_00002931-RA, Dm_00018304-RA
OG0004313	Bevul.5G047300.1.p, Bevul.5G047100.1.p	Dm_00002634-RA
OG0004314	Bevul.9G143600.1.p	Dm_00008605-RA
OG0004315	Bevul.4G187300.2.p, Bevul.4G187300.1.p	Dm_00013606-RA
OG0004316	Bevul.6G241600.1.p, Bevul.3G201800.1.p	Dm_00001179-RA
OG0004317	Bevul.7G098200.4.p, Bevul.7G098200.3.p, Bevul.7G098200.2.p, Bevul.7G098200.1.p, Bevul.7G098200.5.p	Dm_00012610-RA
OG0004318	Bevul.8G114400.1.p, Bevul.3G194100.1.p	Dm_00009297-RA
OG0004320	Bevul.4G155700.1.p	Dm_00000580-RA
OG0004322	Bevul.7G206700.1.p	Dm_00004544-RA
OG0004323	Bevul.3G009200.1.p	Dm_00015626-RA
OG0004325	Bevul.4G144600.1.p, Bevul.8G112200.1.p	Dm_00000538-RA, Dm_00013156-RA
OG0004326	Bevul.4G079300.1.p	Dm_00002930-RA
OG0004327	Bevul.7G074000.2.p, Bevul.7G074000.1.p, Bevul.7G074000.3.p	Dm_00002479-RA
OG0004328	Bevul.7G061400.6.p, Bevul.7G061400.5.p, Bevul.7G061400.3.p, Bevul.7G061400.7.p, Bevul.7G061400.4.p, Bevul.7G061400.2.p, Bevul.7G061400.9.p, Bevul.7G061400.8.p, Bevul.7G061400.1.p, Bevul.1G166800.1.p	Dm_00019038-RA
OG0004329	Bevul.3G210500.1.p	Dm_00003127-RA, Dm_00001275-RA
OG0004330	Bevul.1G193000.1.p	Dm_00003237-RA, Dm_00004196-RA
OG0004331	Bevul.3G158700.1.p	Dm_00010644-RA
OG0004334	Bevul.5G161000.1.p, Bevul.2G182500.1.p	Dm_00011028-RA
OG0004335	Bevul.2G194900.1.p, Bevul.2G194900.2.p	Dm_00009527-RA
OG0004336	Bevul.9G103100.1.p, Bevul.2G028100.1.p	Dm_00008762-RA
OG0004338	Bevul.4G027900.1.p, Bevul.6G154200.1.p	Dm_00019383-RA, Dm_00002978-RA
OG0004339	Bevul.3G007000.1.p	Dm_00009165-RA
OG0004340	Bevul.2G085100.1.p	Dm_00009117-RA
OG0004341	Bevul.5G137000.1.p	Dm_00014596-RA
OG0004343	Bevul.2G044400.1.p	Dm_00009074-RA
OG0004344	Bevul.7G035300.1.p, Bevul.1G062500.1.p	Dm_00007113-RA
OG0004345	Bevul.5G131200.1.p	Dm_00008127-RA, Dm_00002985-RA
OG0004346	Bevul.4G056000.1.p	Dm_00003393-RA
OG0004347	Bevul.2G229300.1.p	Dm_00010946-RA, Dm_00014771-RA, Dm_00018141-RA, Dm_00014926-RA
OG0004348	Bevul.4G208400.1.p	Dm_00013128-RA, Dm_00001212-RA
OG0004349	Bevul.7G094700.1.p	Dm_00009324-RA
OG0004350	Bevul.7G060400.1.p	Dm_00020402-RA, Dm_00011547-RA, Dm_00016465-RA
OG0004352	Bevul.7G023000.1.p	Dm_00000811-RA
OG0004354	Bevul.3G231300.1.p	Dm_00020676-RA
OG0004355	Bevul.4G216300.1.p	Dm_00002454-RA, Dm_00002392-RA
OG0004356	Bevul.4G205200.1.p	Dm_00013067-RA
OG0004359	Bevul.4G110200.1.p	Dm_00010528-RA, Dm_00013202-RA
OG0004360	Bevul.2G039500.1.p	Dm_00017632-RA
OG0004361	Bevul.7G128700.1.p	Dm_00006914-RA
OG0004362	Bevul.5G111600.1.p	Dm_00019292-RA
OG0004363	Bevul.2G014900.2.p, Bevul.2G014900.3.p, Bevul.2G014900.1.p	Dm_00003338-RA
OG0004364	Bevul.3G203300.1.p	Dm_00001169-RA
OG0004366	Bevul.5G252500.1.p	Dm_00009544-RA
OG0004367	Bevul.7G177000.1.p	Dm_00013142-RA, Dm_00020072-RA
OG0004368	Bevul.3G179200.1.p	Dm_00012172-RA, Dm_00016026-RA
OG0004370	Bevul.3G209500.1.p	Dm_00001282-RA
OG0004371	Bevul.6G005400.1.p	Dm_00013515-RA
OG0004375	Bevul.1G027500.1.p, Bevul.6G062900.1.p, Bevul.6G063400.1.p	Dm_00016284-RA
OG0004376	Bevul.6G151700.1.p	Dm_00008306-RA
OG0004377	Bevul.2G032800.1.p	Dm_00003216-RA
OG0004378	Bevul.9G232400.1.p	Dm_00003491-RA
OG0004379	Bevul.1G021000.1.p	Dm_00002491-RA
OG0004381	Bevul.9G171000.2.p, Bevul.9G171000.1.p	Dm_00004878-RA
OG0004382	Bevul.8G119300.1.p, Bevul.4G186100.1.p	Dm_00001912-RA
OG0004383	Bevul.1G163100.1.p	Dm_00010454-RA
OG0004384	Bevul.6G208600.1.p, Bevul.2G178700.1.p	Dm_00014237-RA, Dm_00005316-RA
OG0004387	Bevul.9G216400.1.p, Bevul.9G216400.2.p, Bevul.9G216400.3.p	Dm_00016553-RA
OG0004389	Bevul.6G074500.1.p	Dm_00002266-RA, Dm_00009805-RA
OG0004390	Bevul.9G071500.1.p	Dm_00009004-RA
OG0004391	Bevul.1G171300.1.p	Dm_00010806-RA
OG0004393	Bevul.2G191700.1.p	Dm_00005628-RA
OG0004394	Bevul.6G059300.1.p	Dm_00008708-RA
OG0004395	Bevul.1G062900.1.p	Dm_00018439-RA
OG0004397	Bevul.6G073100.1.p	Dm_00017916-RA, Dm_00017915-RA, Dm_00017913-RA
OG0004399	Bevul.4G182700.1.p	Dm_00001870-RA
OG0004401	Bevul.3G092400.1.p	Dm_00012042-RA, Dm_00012041-RA
OG0004402	Bevul.1G106900.1.p	Dm_00013374-RA
OG0004403	Bevul.6G226600.1.p	Dm_00009325-RA
OG0004404	Bevul.2G032700.4.p, Bevul.2G032700.3.p, Bevul.2G032700.2.p, Bevul.2G032700.6.p, Bevul.2G032700.5.p, Bevul.2G032700.1.p	Dm_00017321-RA
OG0004405	Bevul.9G151400.3.p, Bevul.9G151400.4.p, Bevul.9G151400.5.p, Bevul.9G151400.1.p, Bevul.9G151400.2.p	Dm_00012025-RA
OG0004406	Bevul.8G195900.1.p, Bevul.2G237500.1.p	Dm_00003242-RA
OG0004407	Bevul.1G209000.1.p	Dm_00013375-RA
OG0004408	Bevul.1G089400.1.p	Dm_00011824-RA, Dm_00011825-RA
OG0004410	Bevul.6G118100.1.p	Dm_00003390-RA
OG0004411	Bevul.2G149300.1.p	Dm_00012865-RA
OG0004412	Bevul.5G075000.1.p	Dm_00018552-RA
OG0004415	Bevul.2G216900.1.p, Bevul.2G216900.2.p	Dm_00012383-RA
OG0004416	Bevul.4G090900.1.p	Dm_00010001-RA
OG0004417	Bevul.4G057100.1.p	Dm_00009642-RA, Dm_00005444-RA
OG0004418	Bevul.2G088700.8.p, Bevul.2G088700.6.p, Bevul.2G088700.3.p, Bevul.2G088700.5.p, Bevul.2G088700.4.p, Bevul.2G088700.2.p, Bevul.2G088700.7.p, Bevul.2G088700.1.p	Dm_00012386-RA
OG0004419	Bevul.9G118900.1.p	Dm_00005922-RA
OG0004421	Bevul.4G100000.1.p	Dm_00013395-RA
OG0004422	Bevul.4G033800.1.p	Dm_00016858-RA
OG0004423	Bevul.9G075800.2.p, Bevul.9G075800.1.p	Dm_00003156-RA
OG0004424	Bevul.8G090500.1.p	Dm_00000332-RA, Dm_00005907-RA
OG0004426	Bevul.3G066700.1.p	Dm_00003307-RA, Dm_00002960-RA
OG0004427	Bevul.3G074300.1.p	Dm_00005497-RA, Dm_00003082-RA
OG0004428	Bevul.5G018000.1.p	Dm_00014513-RA
OG0004429	Bevul.5G197400.1.p, Bevul.2G133100.1.p	Dm_00009092-RA, Dm_00014772-RA
OG0004430	Bevul.9G200300.1.p	Dm_00020616-RA
OG0004431	Bevul.3G050700.1.p	Dm_00002055-RA
OG0004432	Bevul.8G143300.1.p	Dm_00001021-RA
OG0004433	Bevul.9G206400.1.p	Dm_00021062-RA
OG0004433	Bevul.8G194800.1.p	Dm_00008882-RA
OG0004434	Bevul.7G162500.1.p	Dm_00006607-RA
OG0004435	Bevul.8G130700.1.p	Dm_00003018-RA, Dm_00003017-RA
OG0004436	Bevul.9G061200.1.p	Dm_00006205-RA, Dm_00006228-RA
OG0004437	Bevul.8G176300.1.p	Dm_00000078-RA
OG0004438	Bevul.2G163500.1.p	Dm_00013628-RA, Dm_00000645-RA
OG0004439	Bevul.2G156800.1.p	Dm_00001854-RA
OG0004440	Bevul.2G151700.2.p, Bevul.2G151700.3.p, Bevul.2G151700.1.p, Bevul.2G151700.4.p	Dm_00009415-RA
OG0004441	Bevul.6G086000.1.p	Dm_00017378-RA
OG0004442	Bevul.3G051500.1.p	Dm_00010706-RA, Dm_00002057-RA
OG0004444	Bevul.2G170000.1.p	Dm_00002154-RA
OG0004445	Bevul.2G120800.2.p, Bevul.2G120800.4.p, Bevul.2G120800.3.p, Bevul.2G120800.1.p	Dm_00007188-RA
OG0004446	Bevul.6G239200.1.p, Bevul.5G192200.1.p	Dm_00010767-RA, Dm_00004750-RA
OG0004447	Bevul.4G232400.1.p, Bevul.4G231800.1.p, Bevul.8G212300.1.p	Dm_00000750-RA
OG0004448	Bevul.1G137400.1.p	Dm_00020502-RA
OG0004449	Bevul.2G174900.1.p, Bevul.7G105800.1.p	Dm_00018834-RA
OG0004450	Bevul.8G122900.1.p	Dm_00006714-RA, Dm_00002247-RA
OG0004451	Bevul.7G171400.1.p	Dm_00012908-RA
