Orthogroup	D_spatulata.proteins	L_sativa.proteins
OG0005250	Ds_00004728-RA, Ds_00006804-RA	Lsat_1_v5_gn_2_60861.1, Lsat_1_v5_gn_6_15800.1
OG0005252	Ds_00005237-RA	Lsat_1_v5_gn_1_62721.1, Lsat_1_v5_gn_1_62721.3
OG0005253	Ds_00008184-RA	Lsat_1_v5_gn_1_2520.1
OG0005254	Ds_00012657-RA, Ds_00009373-RA	Lsat_1_v5_gn_7_62341.1, Lsat_1_v5_gn_7_62341.3
OG0005255	Ds_00017456-RA	Lsat_1_v5_gn_1_39920.1, Lsat_1_v5_gn_6_92581.3, Lsat_1_v5_gn_6_92581.1
OG0005257	Ds_00001732-RA	Lsat_1_v5_gn_2_112761.3, Lsat_1_v5_gn_2_112761.1
OG0005258	Ds_00000826-RA	Lsat_1_v5_gn_9_28860.3, Lsat_1_v5_gn_9_28860.1
OG0005260	Ds_00001978-RA	Lsat_1_v5_gn_0_30781.2, Lsat_1_v5_gn_0_30781.3, Lsat_1_v5_gn_0_30781.1
OG0005262	Ds_00001131-RA	Lsat_1_v5_gn_5_177621.1, Lsat_1_v5_gn_9_17281.1
OG0005263	Ds_00006044-RA	Lsat_1_v5_gn_0_7461.2, Lsat_1_v5_gn_0_7461.1, Lsat_1_v5_gn_2_105021.1
OG0005264	Ds_00004476-RA	Lsat_1_v5_gn_1_129581.3, Lsat_1_v5_gn_1_129581.1
OG0005265	Ds_00011027-RA	Lsat_1_v5_gn_9_27821.3, Lsat_1_v5_gn_9_27821.1
OG0005266	Ds_00015261-RA	Lsat_1_v5_gn_5_74941.1, Lsat_1_v5_gn_2_118860.1, Lsat_1_v5_gn_2_118860.3, Lsat_1_v5_gn_4_179440.1, Lsat_1_v5_gn_8_15040.1
OG0005267	Ds_00009370-RA	Lsat_1_v5_gn_5_156100.3, Lsat_1_v5_gn_5_156100.1
OG0005268	Ds_00012644-RA	Lsat_1_v5_gn_8_109421.1
OG0005269	Ds_00015600-RA	Lsat_1_v5_gn_3_104341.1, Lsat_1_v5_gn_3_104341.2, Lsat_1_v5_gn_8_107021.3, Lsat_1_v5_gn_8_107021.1
OG0005270	Ds_00004752-RA	Lsat_1_v5_gn_2_59740.3, Lsat_1_v5_gn_2_59740.1, Lsat_1_v5_gn_2_59740.2
OG0005271	Ds_00006234-RA	Lsat_1_v5_gn_7_31321.1, Lsat_1_v5_gn_7_31321.3
OG0005272	Ds_00002049-RA, Ds_00002047-RA, Ds_00011770-RA	Lsat_1_v5_gn_7_109781.3, Lsat_1_v5_gn_7_109781.2, Lsat_1_v5_gn_7_109781.1, Lsat_1_v5_gn_3_39761.1, Lsat_1_v5_gn_5_3561.1
OG0005273	Ds_00006833-RA	Lsat_1_v5_gn_5_152101.3, Lsat_1_v5_gn_5_152101.1
OG0005274	Ds_00010507-RA	Lsat_1_v5_gn_8_46541.1, Lsat_1_v5_gn_8_46541.3, Lsat_1_v5_gn_8_46541.2
OG0005275	Ds_00006885-RA	Lsat_1_v5_gn_4_169480.2, Lsat_1_v5_gn_4_169480.1
OG0005276	Ds_00002684-RA	Lsat_1_v5_gn_9_26081.1, Lsat_1_v5_gn_9_26081.2, Lsat_1_v5_gn_5_164460.1
OG0005277	Ds_00016676-RA, Ds_00016675-RA, Ds_00010945-RA	Lsat_1_v5_gn_5_21060.2, Lsat_1_v5_gn_1_112341.1, Lsat_1_v5_gn_5_21060.1
OG0005278	Ds_00007620-RA	Lsat_1_v5_gn_1_55460.1, Lsat_1_v5_gn_1_55460.3
OG0005279	Ds_00000913-RA	Lsat_1_v5_gn_9_2380.1, Lsat_1_v5_gn_5_189641.1, Lsat_1_v5_gn_5_189001.1, Lsat_1_v5_gn_5_189600.1, Lsat_1_v5_gn_5_189620.1
OG0005280	Ds_00002386-RA	Lsat_1_v5_gn_7_108740.1, Lsat_1_v5_gn_4_94840.1
OG0005281	Ds_00005093-RA, Ds_00013827-RA	Lsat_1_v5_gn_3_8340.2, Lsat_1_v5_gn_3_8340.1
OG0005283	Ds_00008073-RA	Lsat_1_v5_gn_2_94401.3, Lsat_1_v5_gn_2_94401.1, Lsat_1_v5_gn_0_3501.4, Lsat_1_v5_gn_0_3501.1
OG0005286	Ds_00006561-RA	Lsat_1_v5_gn_5_179901.3, Lsat_1_v5_gn_5_179901.1, Lsat_1_v5_gn_5_179901.2
OG0005287	Ds_00004595-RA	Lsat_1_v5_gn_5_151420.1, Lsat_1_v5_gn_5_151420.3, Lsat_1_v5_gn_8_110401.1
OG0005288	Ds_00007816-RA	Lsat_1_v5_gn_9_8981.1, Lsat_1_v5_gn_9_8981.3
OG0005289	Ds_00008378-RA	Lsat_1_v5_gn_3_138600.1, Lsat_1_v5_gn_3_138600.3
OG0005290	Ds_00010765-RA	Lsat_1_v5_gn_8_149401.1, Lsat_1_v5_gn_8_149401.3, Lsat_1_v5_gn_8_149401.2
OG0005291	Ds_00002874-RA	Lsat_1_v5_gn_2_75740.1, Lsat_1_v5_gn_2_75740.3, Lsat_1_v5_gn_3_140821.1
OG0005292	Ds_00002856-RA	Lsat_1_v5_gn_7_2761.1, Lsat_1_v5_gn_7_2761.2
OG0005293	Ds_00012584-RA	Lsat_1_v5_gn_5_75160.3, Lsat_1_v5_gn_5_75160.1
OG0005295	Ds_00007725-RA	Lsat_1_v5_gn_4_57340.1
OG0005296	Ds_00017631-RA	Lsat_1_v5_gn_7_114200.1, Lsat_1_v5_gn_7_114200.2, Lsat_1_v5_gn_7_114200.4
OG0005297	Ds_00003162-RA	Lsat_1_v5_gn_5_104320.1
OG0005298	Ds_00003078-RA	Lsat_1_v5_gn_5_52200.3
OG0005299	Ds_00012475-RA	Lsat_1_v5_gn_3_137060.1, Lsat_1_v5_gn_3_137060.3, Lsat_1_v5_gn_4_36221.1, Lsat_1_v5_gn_4_36221.2
OG0005300	Ds_00002845-RA	Lsat_1_v5_gn_4_33100.1
OG0005301	Ds_00011899-RA	Lsat_1_v5_gn_3_10900.1, Lsat_1_v5_gn_6_83941.6, Lsat_1_v5_gn_6_83941.5, Lsat_1_v5_gn_3_10900.5
OG0005302	Ds_00010882-RA	Lsat_1_v5_gn_4_133761.1, Lsat_1_v5_gn_4_133761.3
OG0005303	Ds_00003888-RA, Ds_00006328-RA	Lsat_1_v5_gn_9_87781.1, Lsat_1_v5_gn_9_87781.3, Lsat_1_v5_gn_9_87820.1
OG0005304	Ds_00004309-RA	Lsat_1_v5_gn_7_27421.2, Lsat_1_v5_gn_7_27421.1
OG0005305	Ds_00003254-RA	Lsat_1_v5_gn_6_117861.2, Lsat_1_v5_gn_6_117861.1, Lsat_1_v5_gn_6_117861.3
OG0005306	Ds_00006398-RA	Lsat_1_v5_gn_5_67900.2, Lsat_1_v5_gn_5_67900.1, Lsat_1_v5_gn_5_67900.3, Lsat_1_v5_gn_5_67880.2, Lsat_1_v5_gn_5_67880.1
OG0005307	Ds_00008620-RA	Lsat_1_v5_gn_5_185441.2, Lsat_1_v5_gn_5_185441.1, Lsat_1_v5_gn_8_93941.2, Lsat_1_v5_gn_8_93941.1
OG0005308	Ds_00006457-RA	Lsat_1_v5_gn_8_92701.1
OG0005309	Ds_00013389-RA, Ds_00013390-RA	Lsat_1_v5_gn_3_85260.1
OG0005310	Ds_00005085-RA	Lsat_1_v5_gn_2_40700.2, Lsat_1_v5_gn_2_40700.1, Lsat_1_v5_gn_1_75620.3, Lsat_1_v5_gn_1_75620.1
OG0005312	Ds_00015254-RA	Lsat_1_v5_gn_2_79701.1, Lsat_1_v5_gn_2_79701.3
OG0005312	Ds_00007130-RA, Ds_00007601-RA	Lsat_1_v5_gn_6_68341.1, Lsat_1_v5_gn_2_14620.1
OG0005313	Ds_00016708-RA, Ds_00001432-RA	Lsat_1_v5_gn_3_67961.2, Lsat_1_v5_gn_3_67961.1
OG0005314	Ds_00010756-RA	Lsat_1_v5_gn_4_2981.1
OG0005315	Ds_00016561-RA	Lsat_1_v5_gn_3_72080.1
OG0005316	Ds_00003932-RA	Lsat_1_v5_gn_2_11981.1, Lsat_1_v5_gn_2_11981.2
OG0005317	Ds_00006116-RA	Lsat_1_v5_gn_3_69681.1, Lsat_1_v5_gn_3_69681.2, Lsat_1_v5_gn_3_69681.3
OG0005318	Ds_00010155-RA, Ds_00001096-RA	Lsat_1_v5_gn_2_88641.1, Lsat_1_v5_gn_4_46121.1
OG0005319	Ds_00010526-RA	Lsat_1_v5_gn_8_48101.5
OG0005320	Ds_00010558-RA, Ds_00008444-RA	Lsat_1_v5_gn_8_50780.1, Lsat_1_v5_gn_8_50780.3
OG0005321	Ds_00015256-RA	Lsat_1_v5_gn_2_79721.3, Lsat_1_v5_gn_2_79721.2, Lsat_1_v5_gn_2_79721.1
OG0005322	Ds_00013499-RA	Lsat_1_v5_gn_2_90241.1
OG0005325	Ds_00011394-RA	Lsat_1_v5_gn_5_15061.3, Lsat_1_v5_gn_5_15061.1
OG0005326	Ds_00008173-RA, Ds_00008174-RA	Lsat_1_v5_gn_6_105560.1, Lsat_1_v5_gn_6_105560.2
OG0005329	Ds_00009948-RA	Lsat_1_v5_gn_4_84120.3
OG0005330	Ds_00008466-RA	Lsat_1_v5_gn_2_79400.1, Lsat_1_v5_gn_2_79400.3
OG0005331	Ds_00007672-RA, Ds_00008644-RA	Lsat_1_v5_gn_0_9420.2, Lsat_1_v5_gn_0_9420.1
OG0005332	Ds_00010502-RA	Lsat_1_v5_gn_4_11761.1
OG0005333	Ds_00001218-RA, Ds_00010174-RA	Lsat_1_v5_gn_4_41580.1, Lsat_1_v5_gn_4_41620.1
OG0005334	Ds_00010634-RA	Lsat_1_v5_gn_8_36981.2, Lsat_1_v5_gn_8_36981.1, Lsat_1_v5_gn_5_24600.2, Lsat_1_v5_gn_5_24600.1
OG0005335	Ds_00016110-RA	Lsat_1_v5_gn_3_32820.1
OG0005336	Ds_00017781-RA	Lsat_1_v5_gn_6_80100.1, Lsat_1_v5_gn_6_80100.4
OG0005337	Ds_00005925-RA, Ds_00013224-RA	Lsat_1_v5_gn_8_45140.1, Lsat_1_v5_gn_8_45201.1, Lsat_1_v5_gn_4_13401.1
OG0005338	Ds_00003734-RA	Lsat_1_v5_gn_1_11441.1, Lsat_1_v5_gn_1_11441.3
OG0005339	Ds_00003861-RA, Ds_00009716-RA	Lsat_1_v5_gn_5_12561.3, Lsat_1_v5_gn_5_12561.2, Lsat_1_v5_gn_5_12561.1
OG0005341	Ds_00007389-RA	Lsat_1_v5_gn_8_24940.2, Lsat_1_v5_gn_8_24940.1
OG0005342	Ds_00015455-RA	Lsat_1_v5_gn_0_27901.1, Lsat_1_v5_gn_0_37240.1
OG0005343	Ds_00004840-RA	Lsat_1_v5_gn_3_19920.1, Lsat_1_v5_gn_3_19920.3
OG0005344	Ds_00016452-RA	Lsat_1_v5_gn_5_88241.1, Lsat_1_v5_gn_5_88241.3, Lsat_1_v5_gn_7_51160.1
OG0005345	Ds_00005878-RA	Lsat_1_v5_gn_3_57741.1, Lsat_1_v5_gn_3_57741.3
OG0005346	Ds_00016536-RA	Lsat_1_v5_gn_8_380.1
OG0005349	Ds_00008497-RA	Lsat_1_v5_gn_4_175820.1, Lsat_1_v5_gn_2_86520.1
OG0005350	Ds_00013120-RA	Lsat_1_v5_gn_6_79321.1
OG0005353	Ds_00015446-RA	Lsat_1_v5_gn_9_120260.1, Lsat_1_v5_gn_8_155560.3, Lsat_1_v5_gn_8_155560.1
OG0005354	Ds_00017448-RA	Lsat_1_v5_gn_7_17321.1
OG0005355	Ds_00010583-RA	Lsat_1_v5_gn_3_31500.1
OG0005356	Ds_00008112-RA	Lsat_1_v5_gn_6_64840.1, Lsat_1_v5_gn_6_87981.1, Lsat_1_v5_gn_6_87981.2, Lsat_1_v5_gn_6_64840.2
OG0005357	Ds_00000998-RA, Ds_00000999-RA	Lsat_1_v5_gn_8_13861.1
OG0005358	Ds_00000405-RA	Lsat_1_v5_gn_0_10541.3, Lsat_1_v5_gn_0_10541.1
OG0005359	Ds_00013223-RA	Lsat_1_v5_gn_4_12821.1, Lsat_1_v5_gn_3_55840.2, Lsat_1_v5_gn_3_55840.1, Lsat_1_v5_gn_3_55840.3
OG0005360	Ds_00014120-RA, Ds_00014121-RA	Lsat_1_v5_gn_4_111000.1
OG0005361	Ds_00015249-RA	Lsat_1_v5_gn_6_82700.1, Lsat_1_v5_gn_3_96860.3, Lsat_1_v5_gn_3_96860.4, Lsat_1_v5_gn_3_96860.1, Lsat_1_v5_gn_2_90201.1
OG0005363	Ds_00004848-RA	Lsat_1_v5_gn_5_59341.3, Lsat_1_v5_gn_5_59341.1
OG0005370	Ds_00016296-RA	Lsat_1_v5_gn_7_9101.2, Lsat_1_v5_gn_7_9101.1, Lsat_1_v5_gn_8_132021.1, Lsat_1_v5_gn_8_132001.1, Lsat_1_v5_gn_1_90700.1
OG0005372	Ds_00012504-RA	Lsat_1_v5_gn_7_2441.1
OG0005377	Ds_00006064-RA	Lsat_1_v5_gn_1_71101.2, Lsat_1_v5_gn_1_71101.1, Lsat_1_v5_gn_1_71221.1, Lsat_1_v5_gn_6_56101.1
OG0005379	Ds_00016699-RA, Ds_00014349-RA, Ds_00016770-RA	Lsat_1_v5_gn_3_28480.1, Lsat_1_v5_gn_7_99641.1, Lsat_1_v5_gn_5_55200.1, Lsat_1_v5_gn_5_55200.2, Lsat_1_v5_gn_8_98261.1, Lsat_1_v5_gn_5_155181.1, Lsat_1_v5_gn_5_155201.1, Lsat_1_v5_gn_9_108520.1, Lsat_1_v5_gn_9_18201.1, Lsat_1_v5_gn_7_17241.1, Lsat_1_v5_gn_8_8121.1
OG0005395	Ds_00010166-RA	Lsat_1_v5_gn_8_90380.1, Lsat_1_v5_gn_8_117180.2, Lsat_1_v5_gn_8_117180.3, Lsat_1_v5_gn_8_117180.1
OG0005396	Ds_00015590-RA	Lsat_1_v5_gn_8_167200.1, Lsat_1_v5_gn_8_167200.3
OG0005399	Ds_00014994-RA	Lsat_1_v5_gn_5_91720.1, Lsat_1_v5_gn_5_91720.2, Lsat_1_v5_gn_7_49641.2, Lsat_1_v5_gn_7_49641.1
OG0005400	Ds_00006017-RA	Lsat_1_v5_gn_6_44161.2, Lsat_1_v5_gn_6_44161.1, Lsat_1_v5_gn_1_62640.3, Lsat_1_v5_gn_1_62640.1
OG0005401	Ds_00008259-RA	Lsat_1_v5_gn_8_71260.1
OG0005402	Ds_00000858-RA, Ds_00005779-RA	Lsat_1_v5_gn_5_158440.1
OG0005403	Ds_00006344-RA	Lsat_1_v5_gn_5_102820.1, Lsat_1_v5_gn_5_102820.2, Lsat_1_v5_gn_5_102820.3
OG0005405	Ds_00017952-RA	Lsat_1_v5_gn_6_15701.1, Lsat_1_v5_gn_6_15721.1
OG0005406	Ds_00006761-RA	Lsat_1_v5_gn_3_90320.3, Lsat_1_v5_gn_3_90320.1, Lsat_1_v5_gn_3_90381.1, Lsat_1_v5_gn_3_90381.2
OG0005407	Ds_00003643-RA, Ds_00002968-RA, Ds_00007125-RA	Lsat_1_v5_gn_6_90941.3, Lsat_1_v5_gn_6_90941.1
OG0005408	Ds_00004992-RA, Ds_00004991-RA	Lsat_1_v5_gn_5_33821.2, Lsat_1_v5_gn_5_33821.1
OG0005409	Ds_00013957-RA	Lsat_1_v5_gn_4_31621.2, Lsat_1_v5_gn_4_31621.1
OG0005410	Ds_00015388-RA, Ds_00002732-RA	Lsat_1_v5_gn_6_36801.1, Lsat_1_v5_gn_6_36821.1
OG0005411	Ds_00015359-RA	Lsat_1_v5_gn_6_38181.2, Lsat_1_v5_gn_6_38181.3, Lsat_1_v5_gn_6_38181.1, Lsat_1_v5_gn_6_38201.3, Lsat_1_v5_gn_6_38201.1, Lsat_1_v5_gn_6_38161.1, Lsat_1_v5_gn_6_38161.3, Lsat_1_v5_gn_2_58781.3, Lsat_1_v5_gn_2_58781.1
OG0005412	Ds_00011458-RA	Lsat_1_v5_gn_1_40321.2, Lsat_1_v5_gn_1_40321.1, Lsat_1_v5_gn_1_40321.3
OG0005413	Ds_00005855-RA	Lsat_1_v5_gn_1_63021.2, Lsat_1_v5_gn_1_63021.1
OG0005414	Ds_00010715-RA	Lsat_1_v5_gn_8_152860.1
OG0005416	Ds_00015120-RA	Lsat_1_v5_gn_7_95300.1
OG0005417	Ds_00011578-RA, Ds_00003666-RA	Lsat_1_v5_gn_7_71720.1, Lsat_1_v5_gn_5_65061.2, Lsat_1_v5_gn_5_65061.1
OG0005418	Ds_00008275-RA	Lsat_1_v5_gn_5_149441.1
OG0005419	Ds_00004072-RA	Lsat_1_v5_gn_0_5460.1, Lsat_1_v5_gn_0_5460.3, Lsat_1_v5_gn_9_90020.2, Lsat_1_v5_gn_9_90020.1
OG0005420	Ds_00005727-RA	Lsat_1_v5_gn_2_49140.2, Lsat_1_v5_gn_2_49140.1
OG0005422	Ds_00014733-RA	Lsat_1_v5_gn_8_78921.5, Lsat_1_v5_gn_8_78921.2, Lsat_1_v5_gn_8_79001.1, Lsat_1_v5_gn_8_79101.1, Lsat_1_v5_gn_9_21421.1
OG0005423	Ds_00005002-RA	Lsat_1_v5_gn_3_109960.1, Lsat_1_v5_gn_3_109960.2, Lsat_1_v5_gn_2_38560.1, Lsat_1_v5_gn_2_38560.2
OG0005424	Ds_00015645-RA, Ds_00004987-RA	Lsat_1_v5_gn_1_77001.2, Lsat_1_v5_gn_1_77001.3, Lsat_1_v5_gn_1_77001.1
OG0005425	Ds_00015985-RA	Lsat_1_v5_gn_9_39580.1
OG0005426	Ds_00006846-RA	Lsat_1_v5_gn_5_148221.1
OG0005427	Ds_00012470-RA	Lsat_1_v5_gn_3_61900.2, Lsat_1_v5_gn_3_61900.3, Lsat_1_v5_gn_3_61900.1, Lsat_1_v5_gn_8_13581.2, Lsat_1_v5_gn_3_39001.3, Lsat_1_v5_gn_3_39001.1, Lsat_1_v5_gn_2_125000.1, Lsat_1_v5_gn_2_125000.3, Lsat_1_v5_gn_8_13581.1
OG0005428	Ds_00015700-RA	Lsat_1_v5_gn_6_39840.2, Lsat_1_v5_gn_6_39840.1, Lsat_1_v5_gn_6_39380.1, Lsat_1_v5_gn_6_39380.2
OG0005429	Ds_00013924-RA	Lsat_1_v5_gn_1_117920.1, Lsat_1_v5_gn_1_117920.3
OG0005430	Ds_00000271-RA	Lsat_1_v5_gn_7_42200.2, Lsat_1_v5_gn_7_42200.1
OG0005431	Ds_00016064-RA, Ds_00016066-RA, Ds_00002392-RA	Lsat_1_v5_gn_4_96641.3, Lsat_1_v5_gn_4_96641.1
OG0005432	Ds_00015684-RA	Lsat_1_v5_gn_2_59421.1, Lsat_1_v5_gn_6_38900.1
OG0005433	Ds_00005005-RA	Lsat_1_v5_gn_1_40220.1
OG0005434	Ds_00014659-RA	Lsat_1_v5_gn_5_71201.1, Lsat_1_v5_gn_5_71201.3
OG0005435	Ds_00010329-RA, Ds_00015421-RA	Lsat_1_v5_gn_2_111341.1
OG0005436	Ds_00010685-RA	Lsat_1_v5_gn_7_3960.2, Lsat_1_v5_gn_7_3960.1
OG0005437	Ds_00006904-RA, Ds_00006310-RA	Lsat_1_v5_gn_2_67541.1
OG0005438	Ds_00015789-RA, Ds_00002090-RA	Lsat_1_v5_gn_9_20980.2, Lsat_1_v5_gn_9_20980.1, Lsat_1_v5_gn_8_78220.1, Lsat_1_v5_gn_8_78220.3
OG0005439	Ds_00016495-RA	Lsat_1_v5_gn_1_89980.4, Lsat_1_v5_gn_1_89980.1
OG0005441	Ds_00012986-RA	Lsat_1_v5_gn_9_55961.1, Lsat_1_v5_gn_9_55961.3
OG0005442	Ds_00010024-RA	Lsat_1_v5_gn_9_13880.3, Lsat_1_v5_gn_9_13880.1
OG0005443	Ds_00015609-RA	Lsat_1_v5_gn_8_12281.1, Lsat_1_v5_gn_5_153581.1
OG0005444	Ds_00014161-RA	Lsat_1_v5_gn_9_10341.1, Lsat_1_v5_gn_5_183661.1
OG0005445	Ds_00014233-RA	Lsat_1_v5_gn_1_42900.2, Lsat_1_v5_gn_1_42900.1, Lsat_1_v5_gn_1_42900.3
OG0005447	Ds_00002062-RA, Ds_00008729-RA	Lsat_1_v5_gn_2_20881.1, Lsat_1_v5_gn_2_20881.2, Lsat_1_v5_gn_1_48761.1
OG0005448	Ds_00008691-RA	Lsat_1_v5_gn_9_62200.1, Lsat_1_v5_gn_9_62180.1, Lsat_1_v5_gn_2_124521.3, Lsat_1_v5_gn_2_124521.1
OG0005449	Ds_00004631-RA	Lsat_1_v5_gn_7_62441.1
OG0005450	Ds_00014557-RA	Lsat_1_v5_gn_6_26080.2, Lsat_1_v5_gn_6_26080.1, Lsat_1_v5_gn_6_26061.1, Lsat_1_v5_gn_6_26061.2, Lsat_1_v5_gn_6_26080.4
OG0005451	Ds_00002072-RA	Lsat_1_v5_gn_1_48520.2
OG0005452	Ds_00008267-RA	Lsat_1_v5_gn_5_153081.1, Lsat_1_v5_gn_5_153241.2, Lsat_1_v5_gn_5_153241.1, Lsat_1_v5_gn_5_153220.1
OG0005453	Ds_00011036-RA	Lsat_1_v5_gn_5_163560.2, Lsat_1_v5_gn_5_163560.1, Lsat_1_v5_gn_5_163560.3
OG0005454	Ds_00006961-RA, Ds_00006146-RA	Lsat_1_v5_gn_2_107981.3, Lsat_1_v5_gn_2_107981.1, Lsat_1_v5_gn_8_2841.3, Lsat_1_v5_gn_8_2841.1
OG0005455	Ds_00002045-RA	Lsat_1_v5_gn_1_50761.1
OG0005457	Ds_00006445-RA	Lsat_1_v5_gn_8_110681.1
OG0005458	Ds_00011320-RA, Ds_00007166-RA	Lsat_1_v5_gn_2_58000.1, Lsat_1_v5_gn_2_58000.3
OG0005460	Ds_00005101-RA	Lsat_1_v5_gn_5_182541.1, Lsat_1_v5_gn_5_182541.3, Lsat_1_v5_gn_1_75101.1, Lsat_1_v5_gn_1_75101.2
OG0005461	Ds_00003419-RA	Lsat_1_v5_gn_5_61080.1
OG0005462	Ds_00014864-RA	Lsat_1_v5_gn_1_58340.3, Lsat_1_v5_gn_1_58340.1, Lsat_1_v5_gn_2_54080.1, Lsat_1_v5_gn_6_33900.1
OG0005463	Ds_00017307-RA	Lsat_1_v5_gn_9_61481.3, Lsat_1_v5_gn_9_61481.2, Lsat_1_v5_gn_9_61481.1
OG0005464	Ds_00013885-RA	Lsat_1_v5_gn_3_69620.1, Lsat_1_v5_gn_3_69620.3
OG0005465	Ds_00000986-RA	Lsat_1_v5_gn_4_49621.1, Lsat_1_v5_gn_2_90841.1, Lsat_1_v5_gn_2_90841.3, Lsat_1_v5_gn_2_90841.2, Lsat_1_v5_gn_2_90941.1, Lsat_1_v5_gn_2_90941.3
OG0005466	Ds_00001086-RA	Lsat_1_v5_gn_8_93841.1, Lsat_1_v5_gn_8_94501.1, Lsat_1_v5_gn_8_93841.2, Lsat_1_v5_gn_5_184960.2, Lsat_1_v5_gn_5_184960.1
OG0005467	Ds_00014710-RA	Lsat_1_v5_gn_8_77941.1
OG0005468	Ds_00001510-RA	Lsat_1_v5_gn_6_97101.2, Lsat_1_v5_gn_6_97101.1, Lsat_1_v5_gn_6_97121.3, Lsat_1_v5_gn_6_97121.1, Lsat_1_v5_gn_6_97580.1, Lsat_1_v5_gn_6_97580.3
OG0005469	Ds_00014811-RA	Lsat_1_v5_gn_8_123101.3, Lsat_1_v5_gn_3_47581.1, Lsat_1_v5_gn_3_47581.2
OG0005470	Ds_00007677-RA	Lsat_1_v5_gn_1_26901.1
OG0005471	Ds_00004144-RA	Lsat_1_v5_gn_8_121361.1, Lsat_1_v5_gn_8_121361.2, Lsat_1_v5_gn_8_121361.3, Lsat_1_v5_gn_4_70780.1
OG0005472	Ds_00004855-RA	Lsat_1_v5_gn_1_55421.1
OG0005473	Ds_00003454-RA	Lsat_1_v5_gn_1_42160.1
OG0005474	Ds_00007854-RA, Ds_00017970-RA, Ds_00007855-RA	Lsat_1_v5_gn_9_108461.1, Lsat_1_v5_gn_9_108461.3
OG0005476	Ds_00001625-RA, Ds_00012523-RA, Ds_00003542-RA	Lsat_1_v5_gn_8_117441.1, Lsat_1_v5_gn_8_117441.2
OG0005477	Ds_00013436-RA	Lsat_1_v5_gn_0_940.1, Lsat_1_v5_gn_0_921.1, Lsat_1_v5_gn_0_900.1, Lsat_1_v5_gn_3_71500.1, Lsat_1_v5_gn_4_144120.1
OG0005479	Ds_00008195-RA	Lsat_1_v5_gn_5_115740.3, Lsat_1_v5_gn_5_115740.1, Lsat_1_v5_gn_0_4161.2, Lsat_1_v5_gn_0_4161.1
OG0005480	Ds_00015649-RA	Lsat_1_v5_gn_1_82580.3, Lsat_1_v5_gn_1_82580.1, Lsat_1_v5_gn_1_82580.2
OG0005482	Ds_00014779-RA	Lsat_1_v5_gn_6_106301.1, Lsat_1_v5_gn_6_106301.3
OG0005483	Ds_00004943-RA, Ds_00001685-RA	Lsat_1_v5_gn_7_114941.1, Lsat_1_v5_gn_7_114941.2, Lsat_1_v5_gn_5_2060.1
OG0005484	Ds_00011083-RA	Lsat_1_v5_gn_4_132160.1
OG0005486	Ds_00005908-RA	Lsat_1_v5_gn_6_92500.3, Lsat_1_v5_gn_6_92500.1
OG0005487	Ds_00002881-RA	Lsat_1_v5_gn_7_30260.1, Lsat_1_v5_gn_1_96800.1
OG0005490	Ds_00017645-RA	Lsat_1_v5_gn_9_49160.1, Lsat_1_v5_gn_9_49160.3, Lsat_1_v5_gn_0_44640.1
OG0005491	Ds_00000045-RA, Ds_00013015-RA	Lsat_1_v5_gn_4_74380.2, Lsat_1_v5_gn_4_74380.1, Lsat_1_v5_gn_8_123820.4, Lsat_1_v5_gn_8_123820.1
OG0005492	Ds_00006545-RA	Lsat_1_v5_gn_4_130941.1
OG0005493	Ds_00013292-RA, Ds_00011004-RA	Lsat_1_v5_gn_7_80520.1, Lsat_1_v5_gn_7_80520.2
OG0005494	Ds_00012774-RA	Lsat_1_v5_gn_3_7380.6, Lsat_1_v5_gn_3_7380.2, Lsat_1_v5_gn_3_7380.5
OG0005495	Ds_00010903-RA, Ds_00011220-RA	Lsat_1_v5_gn_3_77800.1, Lsat_1_v5_gn_7_92481.1
OG0005496	Ds_00014189-RA	Lsat_1_v5_gn_1_24581.3, Lsat_1_v5_gn_1_24581.1
OG0005497	Ds_00015929-RA	Lsat_1_v5_gn_9_125320.2, Lsat_1_v5_gn_9_125320.1
OG0005498	Ds_00003225-RA	Lsat_1_v5_gn_5_147281.3, Lsat_1_v5_gn_5_147281.1, Lsat_1_v5_gn_7_74640.1
OG0005499	Ds_00000312-RA	Lsat_1_v5_gn_9_111961.1, Lsat_1_v5_gn_9_111961.2, Lsat_1_v5_gn_7_78580.1
OG0005500	Ds_00002533-RA, Ds_00000544-RA	Lsat_1_v5_gn_1_23241.1
OG0005501	Ds_00003536-RA	Lsat_1_v5_gn_4_135460.2, Lsat_1_v5_gn_4_135460.1
OG0005502	Ds_00006793-RA	Lsat_1_v5_gn_3_94201.5, Lsat_1_v5_gn_3_94201.4
OG0005503	Ds_00009099-RA, Ds_00004256-RA	Lsat_1_v5_gn_7_79440.1
OG0005505	Ds_00016669-RA	Lsat_1_v5_gn_8_54580.3, Lsat_1_v5_gn_8_54580.1, Lsat_1_v5_gn_4_3181.1
OG0005505	Ds_00005493-RA	Lsat_1_v5_gn_4_3201.1, Lsat_1_v5_gn_4_3081.1, Lsat_1_v5_gn_4_3121.1, Lsat_1_v5_gn_9_34661.1
OG0005507	Ds_00002126-RA	Lsat_1_v5_gn_6_9700.1
OG0005508	Ds_00000523-RA	Lsat_1_v5_gn_4_161560.2, Lsat_1_v5_gn_4_161560.1
