HOG	OG	Gene Tree Parent Clade	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
N10.HOG0007363	OG0004244	n0		AH001505-RA			Bevul.9G106000.6.p, Bevul.9G106000.5.p, Bevul.9G106000.1.p, Bevul.9G106000.9.p, Bevul.9G106000.10.p, Bevul.9G106000.2.p, Bevul.9G106000.4.p, Bevul.9G106000.7.p, Bevul.9G106000.11.p, Bevul.9G106000.8.p, Bevul.9G106000.3.p, Bevul.1G020900.1.p							
N10.HOG0007364	OG0004245	n0		AH007362-RA			Bevul.4G179200.1.p							
N10.HOG0007365	OG0004246	n0		AH012927-RA			Bevul.7G093200.1.p, Bevul.7G093200.3.p, Bevul.7G093200.4.p, Bevul.7G093200.2.p							
N10.HOG0007366	OG0004247	n17		AH018106-RA										
N10.HOG0007367	OG0004247	n20		AH011329-RA			Bevul.5G015700.1.p							
N10.HOG0007368	OG0004248	n0		AH020248-RA, AH006935-RA			Bevul.3G171500.1.p, Bevul.5G046400.1.p							
N10.HOG0007369	OG0004249	n0		AH011778-RA			Bevul.3G125800.1.p							
N10.HOG0007370	OG0004250	n0		AH005242-RA, AH004252-RA			Bevul.6G163900.1.p							
N10.HOG0007371	OG0004251	n7		AH009363-RA			Bevul.1G211800.1.p							
N10.HOG0007372	OG0004252	n12		AH003501-RA			Bevul.6G052900.1.p, Bevul.7G108700.1.p							
N10.HOG0007373	OG0004252	n21		AH008445-RA			Bevul.5G080300.1.p, Bevul.1G080400.1.p							
N10.HOG0007374	OG0004253	n0		AH009715-RA			Bevul.1G158200.1.p							
N10.HOG0007375	OG0004254	n3		AH003976-RA			Bevul.6G092600.1.p							
N10.HOG0007376	OG0004255	n0		AH018492-RA, AH011573-RA			Bevul.5G102900.1.p							
N10.HOG0007377	OG0004256	n0		AH021036-RA, AH014268-RA, AH021037-RA										
N10.HOG0007378	OG0004257	n0		AH002508-RA, AH017953-RA			Bevul.5G216500.1.p							
N10.HOG0007379	OG0004258	n0		AH003388-RA			Bevul.6G041500.1.p							
N10.HOG0007380	OG0004259	n17		AH016536-RA			Bevul.2G213000.1.p							
N10.HOG0007381	OG0004259	n20		AH005392-RA			Bevul.6G128000.1.p							
N10.HOG0007382	OG0004260	n4		AH005391-RA			Bevul.6G127900.1.p							
N10.HOG0007383	OG0004260	n19		AH014367-RA, AH020998-RA										
N10.HOG0007384	OG0004261	n0		AH005823-RA			Bevul.6G028600.1.p							
N10.HOG0007385	OG0004262	n0		AH002500-RA			Bevul.5G214600.1.p							
N10.HOG0007386	OG0004263	n0		AH015821-RA, AH019139-RA			Bevul.2G071000.1.p, Bevul.2G071000.2.p							
N10.HOG0007387	OG0004264	n19		AH018323-RA			Bevul.2G203100.1.p, Bevul.2G203100.3.p, Bevul.2G203100.2.p							
N10.HOG0007388	OG0004264	n23		AH001103-RA			Bevul.9G014000.1.p							
N10.HOG0007389	OG0004265	n0		AH023138-RA, AH021550-RA, AH015057-RA			Bevul.2G125900.1.p, Bevul.2G125900.2.p							
N10.HOG0007390	OG0004266	n3		AH023433-RA			Bevul.2G095000.3.p, Bevul.2G095000.2.p, Bevul.2G095000.1.p							
N10.HOG0007391	OG0004267	n2		AH004409-RA, AH004760-RA			Bevul.6G193000.1.p							
N10.HOG0007392	OG0004268	n6					Bevul.3G014600.1.p, Bevul.3G014700.1.p							
N10.HOG0007393	OG0004268	n12		AH018415-RA			Bevul.5G092400.1.p							
N10.HOG0007394	OG0004269	n0		AH017528-RA			Bevul.5G180200.1.p							
N10.HOG0007395	OG0004270	n1		AH017326-RA			Bevul.5G205000.1.p							
N10.HOG0007396	OG0004270	n18		AH022947-RA										
N10.HOG0007397	OG0004271	n2		AH018524-RA, AH003243-RA			Bevul.5G108700.1.p							
N10.HOG0007398	OG0004272	n0		AH004800-RA			Bevul.6G187400.1.p							
N10.HOG0007399	OG0004273	n0		AH017944-RA			Bevul.5G217300.1.p							
N10.HOG0007400	OG0004274	n0		AH007242-RA			Bevul.3G014900.1.p							
N10.HOG0007401	OG0004275	n10		AH004553-RA			Bevul.6G208100.1.p							
N10.HOG0007402	OG0004275	n12		AH005174-RA										
N10.HOG0007403	OG0004276	n2					Bevul.8G035900.1.p							
N10.HOG0007404	OG0004276	n15		AH002513-RA			Bevul.5G219600.1.p							
N10.HOG0007405	OG0004277	n20		AH001317-RA, AH023310-RA										
N10.HOG0007406	OG0004277	n22					Bevul.1G069900.1.p, Bevul.1G070100.1.p, Bevul.2G163100.1.p							
N10.HOG0007407	OG0004277	n25		AH023313-RA			Bevul.2G163300.1.p, Bevul.2G163200.1.p							
N10.HOG0007408	OG0004277	n27		AH001316-RA			Bevul.2G163400.1.p							
N10.HOG0007409	OG0004278	n1		AH014781-RA, AH021358-RA			Bevul.8G074300.1.p							
N10.HOG0007410	OG0004279	n4		AH013095-RA			Bevul.7G127900.1.p							
N10.HOG0007411	OG0004280	n0		AH013256-RA			Bevul.7G227900.1.p							
N10.HOG0007412	OG0004281	n0		AH001947-RA			Bevul.9G190300.1.p, Bevul.9G190300.2.p, Bevul.9G190300.5.p, Bevul.9G190300.9.p, Bevul.9G190300.8.p, Bevul.9G190300.4.p, Bevul.9G190300.3.p, Bevul.9G190300.6.p, Bevul.9G190300.7.p, Bevul.9G190300.10.p							
N10.HOG0007413	OG0004284	n0					Bevul.2G110500.1.p, Bevul.7G038200.1.p							
N10.HOG0007414	OG0004285	n0					Bevul.8G108600.1.p							
N10.HOG0007415	OG0004294	n6		AH002177-RA			Bevul.9G146900.1.p							
N10.HOG0007416	OG0004294	n24					Bevul.1G203600.1.p							
N10.HOG0007417	OG0004295	n1					Bevul.7G224100.1.p							
N10.HOG0007418	OG0004295	n15		AH013226-RA, AH022429-RA										
N10.HOG0007419	OG0004296	n2		AH012873-RA			Bevul.7G087100.1.p							
N10.HOG0007420	OG0004297	n0		AH020099-RA			Bevul.3G139700.1.p							
N10.HOG0007421	OG0004298	n0		AH009059-RA			Bevul.1G140900.1.p							
N10.HOG0007422	OG0004299	n0		AH016053-RA			Bevul.2G138700.3.p, Bevul.2G138700.2.p, Bevul.2G138700.1.p							
N10.HOG0007423	OG0004300	n1		AH020389-RA, AH006770-RA			Bevul.3G193900.1.p							
N10.HOG0007424	OG0004300	n17					Bevul.9G182100.1.p							
N10.HOG0007425	OG0004301	n7		AH003335-RA			Bevul.4G192900.1.p							
N10.HOG0007426	OG0004301	n11		AH020244-RA, AH006947-RA			Bevul.3G169500.1.p							
N10.HOG0007427	OG0004302	n3		AH010783-RA			Bevul.4G134100.1.p							
N10.HOG0007428	OG0004303	n0		AH001990-RA, AH015398-RA			Bevul.1G132400.1.p							
N10.HOG0007429	OG0004304	n4		AH019777-RA			Bevul.3G019800.1.p							
N10.HOG0007430	OG0004305	n6		AH010518-RA			Bevul.4G203500.1.p							
N10.HOG0007431	OG0004306	n8		AH011105-RA			Bevul.4G215500.1.p							
N10.HOG0007432	OG0004306	n15		AH017876-RA			Bevul.5G228800.1.p							
N10.HOG0007433	OG0004307	n0		AH007000-RA, AH020193-RA			Bevul.3G161800.1.p							
N10.HOG0007434	OG0004308	n0		AH007025-RA			Bevul.3G152800.1.p							
N10.HOG0007435	OG0004309	n0		AH019879-RA, AH007153-RA			Bevul.3G001600.1.p							
N10.HOG0007436	OG0004310	n21		AH021839-RA			Bevul.7G031900.1.p, Bevul.7G031900.2.p, Bevul.7G031900.6.p, Bevul.7G031900.4.p, Bevul.7G031900.3.p, Bevul.7G031900.5.p							
N10.HOG0007437	OG0004311	n8		AH007745-RA			Bevul.4G103000.1.p							
N10.HOG0007438	OG0004312	n0		AH013855-RA			Bevul.7G182300.1.p							
N10.HOG0007439	OG0004313	n0		AH018775-RA			Bevul.5G047300.1.p, Bevul.5G047100.1.p							
N10.HOG0007440	OG0004314	n0		AH000880-RA			Bevul.9G143600.1.p							
N10.HOG0007441	OG0004315	n3					Bevul.4G187300.2.p, Bevul.4G187300.1.p							
N10.HOG0007442	OG0004316	n20		AH004611-RA			Bevul.6G241600.1.p							
N10.HOG0007443	OG0004316	n25		AH006734-RA			Bevul.3G201800.1.p							
N10.HOG0007444	OG0004317	n0		AH012960-RA			Bevul.7G098200.4.p, Bevul.7G098200.3.p, Bevul.7G098200.2.p, Bevul.7G098200.1.p, Bevul.7G098200.5.p							
N10.HOG0007445	OG0004318	n0		AH019818-RA, AH006771-RA			Bevul.8G114400.1.p, Bevul.3G194100.1.p							
N10.HOG0007446	OG0004319	n0		AH006885-RA, AH020300-RA			Bevul.3G178400.1.p							
N10.HOG0007447	OG0004320	n0		AH010466-RA			Bevul.4G155700.1.p							
N10.HOG0007448	OG0004321	n3		AH020587-RA			Bevul.3G234100.1.p							
N10.HOG0007449	OG0004322	n0		AH022527-RA, AH013682-RA			Bevul.7G206700.1.p							
N10.HOG0007450	OG0004323	n3					Bevul.1G138600.1.p							
N10.HOG0007451	OG0004323	n11		AH007204-RA			Bevul.3G009200.1.p							
N10.HOG0007452	OG0004324	n3		AH000781-RA										
N10.HOG0007453	OG0004324	n6		AH020091-RA			Bevul.3G138600.1.p							
N10.HOG0007454	OG0004325	n0		AH014628-RA, AH010862-RA			Bevul.4G144600.1.p, Bevul.8G112200.1.p							
N10.HOG0007455	OG0004326	n0		AH007998-RA			Bevul.4G079300.1.p							
N10.HOG0007456	OG0004327	n0		AH021943-RA			Bevul.7G074000.2.p, Bevul.7G074000.1.p, Bevul.7G074000.3.p							
N10.HOG0007457	OG0004328	n0		AH019035-RA			Bevul.7G061400.6.p, Bevul.7G061400.5.p, Bevul.7G061400.3.p, Bevul.7G061400.7.p, Bevul.7G061400.4.p, Bevul.7G061400.2.p, Bevul.7G061400.9.p, Bevul.7G061400.8.p, Bevul.7G061400.1.p, Bevul.1G166800.1.p							
N10.HOG0007458	OG0004329	n0		AH020441-RA			Bevul.3G210500.1.p							
N10.HOG0007459	OG0004330	n2		AH009544-RA			Bevul.1G193000.1.p							
N10.HOG0007460	OG0004331	n12		AH003051-RA			Bevul.3G158700.1.p							
N10.HOG0007461	OG0004332	n1		AH007053-RA			Bevul.3G144800.1.p							
N10.HOG0007462	OG0004332	n15		AH010788-RA			Bevul.4G135000.1.p							
N10.HOG0007463	OG0004333	n1					Bevul.6G094900.1.p, Bevul.4G117400.1.p, Bevul.8G097800.1.p, Bevul.6G182200.1.p, Bevul.4G097600.1.p, Bevul.1G051600.1.p							
N10.HOG0007464	OG0004333	n9					Bevul.1G096800.1.p, Bevul.5G119800.1.p, Bevul.5G152500.1.p							
N10.HOG0007465	OG0004334	n0		AH023191-RA, AH008581-RA			Bevul.5G161000.1.p, Bevul.2G182500.1.p							
N10.HOG0007466	OG0004335	n0		AH016619-RA			Bevul.2G194900.1.p, Bevul.2G194900.2.p							
N10.HOG0007467	OG0004336	n19		AH000385-RA, AH001490-RA			Bevul.9G103100.1.p							
N10.HOG0007468	OG0004336	n21		AH019286-RA			Bevul.2G028100.1.p							
N10.HOG0007469	OG0004337	n0					Bevul.4G015400.1.p							
N10.HOG0007470	OG0004338	n0		AH020269-RA, AH006920-RA			Bevul.4G027900.1.p, Bevul.6G154200.1.p							
N10.HOG0007471	OG0004339	n11		AH012975-RA			Bevul.7G107800.1.p							
N10.HOG0007472	OG0004339	n13		AH019922-RA			Bevul.3G007000.1.p							
N10.HOG0007473	OG0004340	n0		AH015890-RA			Bevul.2G085100.1.p							
N10.HOG0007474	OG0004341	n0		AH002993-RA			Bevul.5G137000.1.p							
N10.HOG0007475	OG0004342	n6		AH015872-RA			Bevul.9G098600.1.p, Bevul.6G135600.1.p							
N10.HOG0007476	OG0004342	n10		AH018970-RA, AH012532-RA										
N10.HOG0007477	OG0004342	n14					Bevul.7G081800.1.p							
N10.HOG0007478	OG0004343	n0		AH019169-RA, AH015693-RA			Bevul.2G044400.1.p							
N10.HOG0007479	OG0004344	n0		AH021852-RA			Bevul.7G035300.1.p, Bevul.1G062500.1.p							
N10.HOG0007480	OG0004345	n3					Bevul.5G131200.1.p							
N10.HOG0007481	OG0004345	n21		AH019089-RA, AH003007-RA										
N10.HOG0007482	OG0004346	n2		AH008423-RA			Bevul.4G056000.1.p							
N10.HOG0007483	OG0004346	n17					Bevul.4G221500.1.p							
N10.HOG0007484	OG0004347	n0		AH016425-RA, AH022974-RA			Bevul.2G229300.1.p							
N10.HOG0007485	OG0004348	n8		AH010032-RA										
N10.HOG0007486	OG0004348	n19		AH007449-RA, AH011149-RA			Bevul.4G208400.1.p							
N10.HOG0007487	OG0004349	n0		AH022121-RA, AH012932-RA			Bevul.7G094700.1.p							
N10.HOG0007488	OG0004350	n4		AH009071-RA, AH003312-RA, AH005939-RA, AH001110-RA, AH015635-RA, AH014042-RA, AH013836-RA										
N10.HOG0007489	OG0004350	n18		AH019382-RA, AH000938-RA, AH007206-RA										
N10.HOG0007490	OG0004350	n21		AH014137-RA										
N10.HOG0007491	OG0004350	n24		AH003470-RA			Bevul.9G083500.1.p							
N10.HOG0007492	OG0004350	n25		AH013840-RA			Bevul.4G128200.1.p, Bevul.4G117200.1.p							
N10.HOG0007493	OG0004351	n1		AH006986-RA, AH020207-RA			Bevul.3G157900.1.p							
N10.HOG0007494	OG0004351	n18					Bevul.4G202200.1.p							
N10.HOG0007495	OG0004352	n2		AH012587-RA, AH021804-RA			Bevul.7G023000.1.p							
N10.HOG0007496	OG0004353	n0		AH017276-RA			Bevul.5G259600.1.p							
N10.HOG0007497	OG0004354	n0		AH020568-RA			Bevul.3G231300.1.p							
N10.HOG0007498	OG0004355	n0		AH007485-RA			Bevul.4G216300.1.p							
N10.HOG0007499	OG0004356	n0		AH010494-RA			Bevul.4G205200.1.p							
N10.HOG0007500	OG0004357	n24		AH012964-RA, AH022104-RA			Bevul.7G094300.1.p							
N10.HOG0007501	OG0004358	n0		AH020240-RA			Bevul.3G168800.1.p							
N10.HOG0007502	OG0004359	n0		AH007799-RA			Bevul.4G110200.1.p							
N10.HOG0007503	OG0004360	n1					Bevul.3G209600.1.p							
N10.HOG0007504	OG0004360	n16		AH006676-RA										
N10.HOG0007505	OG0004360	n20		AH015661-RA			Bevul.2G039500.1.p							
N10.HOG0007506	OG0004361	n14		AH013100-RA			Bevul.7G128700.1.p							
N10.HOG0007507	OG0004362	n16		AH018879-RA			Bevul.5G111600.1.p							
N10.HOG0007508	OG0004363	n19					Bevul.2G014900.2.p, Bevul.2G014900.3.p, Bevul.2G014900.1.p							
N10.HOG0007509	OG0004364	n5		AH006725-RA, AH020425-RA			Bevul.3G203300.1.p							
N10.HOG0007510	OG0004365	n12		AH016231-RA										
N10.HOG0007511	OG0004366	n0		AH002681-RA, AH015318-RA			Bevul.5G252500.1.p							
N10.HOG0007512	OG0004367	n2		AH013900-RA										
N10.HOG0007513	OG0004367	n8					Bevul.7G177000.1.p							
N10.HOG0007514	OG0004368	n0		AH006884-RA, AH020304-RA			Bevul.3G179200.1.p							
N10.HOG0007515	OG0004369	n0		AH010534-RA			Bevul.4G201000.1.p							
N10.HOG0007516	OG0004370	n17		AH020445-RA, AH006679-RA			Bevul.3G209500.1.p							
N10.HOG0007517	OG0004370	n21		AH018965-RA			Bevul.2G039800.3.p, Bevul.2G039800.2.p, Bevul.2G039800.1.p							
N10.HOG0007518	OG0004371	n0		AH003944-RA			Bevul.6G005400.1.p							
N10.HOG0007519	OG0004372	n5		AH004313-RA										
N10.HOG0007520	OG0004372	n7		AH008928-RA			Bevul.1G172200.1.p							
N10.HOG0007521	OG0004373	n1		AH001416-RA, AH000254-RA			Bevul.9G180500.1.p							
N10.HOG0007522	OG0004374	n0		AH001651-RA			Bevul.9G237300.1.p							
N10.HOG0007523	OG0004375	n13		AH003618-RA										
N10.HOG0007524	OG0004375	n17					Bevul.1G027500.1.p							
N10.HOG0007525	OG0004375	n22					Bevul.6G062900.1.p, Bevul.6G063400.1.p							
N10.HOG0007526	OG0004376	n16		AH005322-RA										
N10.HOG0007527	OG0004376	n19		AH004049-RA			Bevul.6G151700.1.p							
N10.HOG0007528	OG0004377	n5		AH015637-RA			Bevul.2G032800.1.p							
N10.HOG0007529	OG0004378	n0		AH001686-RA			Bevul.9G232400.1.p							
N10.HOG0007530	OG0004379	n0		AH000057-RA			Bevul.1G021000.1.p							
N10.HOG0007531	OG0004380	n13		AH008370-RA			Bevul.1G010200.1.p							
N10.HOG0007532	OG0004381	n0		AH000569-RA			Bevul.9G171000.2.p, Bevul.9G171000.1.p							
N10.HOG0007533	OG0004382	n0		AH010360-RA, AH010359-RA			Bevul.8G119300.1.p, Bevul.4G186100.1.p							
N10.HOG0007534	OG0004383	n3		AH023630-RA			Bevul.1G163100.1.p							
N10.HOG0007535	OG0004384	n3					Bevul.6G208600.1.p							
N10.HOG0007536	OG0004384	n4					Bevul.2G178700.1.p							
N10.HOG0007537	OG0004384	n6		AH005167-RA, AH005170-RA										
N10.HOG0007538	OG0004385	n2		AH006342-RA			Bevul.6G051600.1.p							
N10.HOG0007539	OG0004386	n4					Bevul.7G110300.1.p							
N10.HOG0007540	OG0004387	n0		AH002418-RA			Bevul.9G216400.1.p, Bevul.9G216400.2.p, Bevul.9G216400.3.p							
N10.HOG0007541	OG0004388	n0		AH022016-RA			Bevul.1G004900.1.p							
N10.HOG0007542	OG0004389	n0		AH003592-RA			Bevul.6G074500.1.p							
N10.HOG0007543	OG0004390	n0		AH015975-RA, AH023468-RA			Bevul.9G071500.1.p							
N10.HOG0007544	OG0004391	n0		AH008922-RA			Bevul.1G171300.1.p							
N10.HOG0007545	OG0004392	n2		AH006428-RA										
N10.HOG0007546	OG0004392	n11		AH002226-RA			Bevul.9G141900.1.p, Bevul.9G141900.2.p, Bevul.9G141900.3.p, Bevul.9G141900.4.p							
N10.HOG0007547	OG0004393	n23		AH016638-RA			Bevul.2G191700.1.p							
N10.HOG0007548	OG0004394	n2		AH003651-RA, AH005663-RA			Bevul.6G059300.1.p							
N10.HOG0007549	OG0004394	n18		AH008878-RA			Bevul.1G119000.1.p							
N10.HOG0007550	OG0004395	n0		AH008586-RA			Bevul.1G062900.1.p							
N10.HOG0007551	OG0004396	n0		AH003265-RA			Bevul.4G183000.1.p							
N10.HOG0007552	OG0004397	n0		AH005958-RA			Bevul.6G073100.1.p							
N10.HOG0007553	OG0004398	n0		AH003697-RA										
N10.HOG0007554	OG0004399	n2		AH010376-RA			Bevul.4G182700.1.p							
N10.HOG0007555	OG0004401	n0		AH010161-RA			Bevul.3G092400.1.p							
N10.HOG0007556	OG0004402	n4					Bevul.1G106900.1.p							
N10.HOG0007557	OG0004402	n10		AH008701-RA, AH003969-RA			Bevul.6G097000.1.p							
N10.HOG0007558	OG0004404	n0		AH014545-RA			Bevul.2G032700.4.p, Bevul.2G032700.3.p, Bevul.2G032700.2.p, Bevul.2G032700.6.p, Bevul.2G032700.5.p, Bevul.2G032700.1.p							
N10.HOG0007559	OG0004405	n0		AH000936-RA			Bevul.9G151400.3.p, Bevul.9G151400.4.p, Bevul.9G151400.5.p, Bevul.9G151400.1.p, Bevul.9G151400.2.p							
N10.HOG0007560	OG0004406	n7		AH020873-RA			Bevul.8G195900.1.p							
N10.HOG0007561	OG0004406	n8		AH023042-RA, AH016394-RA			Bevul.2G237500.1.p							
N10.HOG0007562	OG0004407	n14					Bevul.1G209000.1.p							
N10.HOG0007563	OG0004408	n20					Bevul.1G089400.1.p							
N10.HOG0007564	OG0004409	n0		AH001907-RA			Bevul.9G183400.1.p, Bevul.9G183400.5.p, Bevul.9G183400.3.p, Bevul.9G183400.4.p, Bevul.9G183400.2.p							
N10.HOG0007565	OG0004410	n1		AH006787-RA			Bevul.6G118100.1.p							
N10.HOG0007566	OG0004411	n0		AH017140-RA			Bevul.2G149300.1.p							
N10.HOG0007567	OG0004412	n2		AH011412-RA, AH018266-RA			Bevul.5G075000.1.p							
N10.HOG0007568	OG0004413	n0		AH010298-RA										
N10.HOG0007569	OG0004414	n8		AH011953-RA			Bevul.2G001400.2.p, Bevul.2G001400.4.p, Bevul.2G001400.5.p, Bevul.2G001400.3.p, Bevul.2G001400.1.p							
N10.HOG0007570	OG0004415	n19		AH022900-RA, AH016503-RA			Bevul.2G216900.1.p, Bevul.2G216900.2.p							
N10.HOG0007571	OG0004416	n0		AH010275-RA			Bevul.4G090900.1.p							
N10.HOG0007572	OG0004417	n0		AH010016-RA			Bevul.4G057100.1.p							
N10.HOG0007573	OG0004418	n0		AH023409-RA			Bevul.2G088700.8.p, Bevul.2G088700.6.p, Bevul.2G088700.3.p, Bevul.2G088700.5.p, Bevul.2G088700.4.p, Bevul.2G088700.2.p, Bevul.2G088700.7.p, Bevul.2G088700.1.p							
N10.HOG0007574	OG0004419	n0		AH000726-RA			Bevul.9G118900.1.p							
N10.HOG0007575	OG0004420	n7		AH008270-RA										
N10.HOG0007576	OG0004420	n9		AH008269-RA			Bevul.4G012900.1.p							
N10.HOG0007577	OG0004421	n0		AH010262-RA, AH007907-RA			Bevul.4G100000.1.p							
N10.HOG0007578	OG0004422	n0		AH008197-RA			Bevul.4G033800.1.p							
N10.HOG0007579	OG0004423	n13		AH000331-RA			Bevul.9G075800.2.p, Bevul.9G075800.1.p							
N10.HOG0007580	OG0004424	n6		AH014707-RA			Bevul.8G090500.1.p							
N10.HOG0007581	OG0004424	n17		AH007945-RA			Bevul.4G090100.1.p							
N10.HOG0007582	OG0004425	n3		AH000445-RA, AH001260-RA			Bevul.9G069100.2.p, Bevul.9G069100.1.p							
N10.HOG0007583	OG0004425	n22					Bevul.4G053400.1.p							
N10.HOG0007584	OG0004426	n0		AH012426-RA			Bevul.3G066700.1.p							
N10.HOG0007585	OG0004427	n3		AH012375-RA			Bevul.3G074300.1.p							
N10.HOG0007586	OG0004427	n15		AH019485-RA, AH016635-RA			Bevul.2G187700.1.p							
N10.HOG0007587	OG0004428	n0					Bevul.5G018000.1.p							
N10.HOG0007588	OG0004429	n0		AH016024-RA			Bevul.5G197400.1.p, Bevul.2G133100.1.p							
N10.HOG0007589	OG0004430	n6		AH002036-RA			Bevul.9G200300.1.p							
N10.HOG0007590	OG0004431	n13		AH019605-RA			Bevul.3G050700.1.p							
N10.HOG0007591	OG0004431	n20		AH009774-RA, AH012100-RA			Bevul.4G008700.1.p							
N10.HOG0007592	OG0004432	n0		AH021095-RA, AH014327-RA			Bevul.8G143300.1.p							
N10.HOG0007593	OG0004433	n10		AH002094-RA			Bevul.9G206400.1.p							
N10.HOG0007594	OG0004433	n17		AH014522-RA			Bevul.8G194800.1.p							
N10.HOG0007595	OG0004434	n0		AH013428-RA			Bevul.7G162500.1.p							
N10.HOG0007596	OG0004435	n7					Bevul.8G130700.1.p							
N10.HOG0007597	OG0004436	n11		AH005298-RA, AH005088-RA			Bevul.9G061200.1.p							
N10.HOG0007598	OG0004437	n3		AH001980-RA			Bevul.9G193200.1.p							
N10.HOG0007599	OG0004437	n14		AH014097-RA			Bevul.8G176300.1.p							
N10.HOG0007600	OG0004438	n5					Bevul.2G163500.1.p							
N10.HOG0007601	OG0004438	n9		AH023315-RA										
N10.HOG0007602	OG0004438	n14		AH014517-RA			Bevul.8G195500.1.p							
N10.HOG0007603	OG0004439	n0		AH005148-RA			Bevul.2G156800.1.p							
N10.HOG0007604	OG0004440	n0		AH016121-RA			Bevul.2G151700.2.p, Bevul.2G151700.3.p, Bevul.2G151700.1.p, Bevul.2G151700.4.p							
N10.HOG0007605	OG0004441	n0		AH016153-RA			Bevul.6G086000.1.p							
N10.HOG0007606	OG0004442	n0		AH019603-RA, AH012107-RA			Bevul.3G051500.1.p							
N10.HOG0007607	OG0004443	n0		AH009686-RA			Bevul.1G177900.1.p, Bevul.7G015500.1.p							
N10.HOG0007608	OG0004444	n4					Bevul.2G170000.1.p							
N10.HOG0007609	OG0004444	n13		AH023278-RA										
N10.HOG0007610	OG0004444	n19		AH000650-RA			Bevul.9G226800.1.p							
N10.HOG0007611	OG0004445	n0		AH017006-RA			Bevul.2G120800.2.p, Bevul.2G120800.4.p, Bevul.2G120800.3.p, Bevul.2G120800.1.p							
N10.HOG0007612	OG0004446	n0		AH002806-RA, AH004590-RA, AH005080-RA			Bevul.6G239200.1.p, Bevul.5G192200.1.p							
N10.HOG0007613	OG0004447	n0		AH014394-RA			Bevul.4G232400.1.p, Bevul.4G231800.1.p, Bevul.8G212300.1.p							
N10.HOG0007614	OG0004448	n15		AH009078-RA			Bevul.1G137400.1.p							
N10.HOG0007615	OG0004449	n0		AH023249-RA			Bevul.2G174900.1.p, Bevul.7G105800.1.p							
N10.HOG0007616	OG0004450	n0		AH014255-RA			Bevul.8G122900.1.p							
N10.HOG0007617	OG0004451	n0		AH013359-RA			Bevul.7G171400.1.p							
N10.HOG0007618	OG0004452	n0		AH014351-RA			Bevul.8G120300.1.p							
N10.HOG0007619	OG0004453	n0		AH000052-RA			Bevul.9G022100.1.p							
N10.HOG0007620	OG0004454	n4		AH015484-RA			Bevul.4G222100.1.p							
N10.HOG0007621	OG0004454	n18		AH012211-RA			Bevul.3G089300.1.p							
N10.HOG0007622	OG0004455	n2		AH009496-RA			Bevul.1G198800.1.p							
N10.HOG0007623	OG0004456	n0		AH009084-RA			Bevul.1G136300.1.p							
N10.HOG0007624	OG0004457	n0		AH002916-RA			Bevul.5G169800.1.p							
N10.HOG0007625	OG0004458	n2		AH001991-RA			Bevul.9G194200.1.p							
N10.HOG0007626	OG0004458	n20		AH014072-RA			Bevul.8G181100.1.p							
N10.HOG0007627	OG0004459	n0		AH019719-RA, AH011933-RA			Bevul.3G031300.1.p							
N10.HOG0007628	OG0004460	n8		AH019199-RA			Bevul.2G015800.1.p							
N10.HOG0007629	OG0004461	n16		AH020794-RA, AH020793-RA			Bevul.8G185200.1.p							
N10.HOG0007630	OG0004462	n0		AH009040-RA			Bevul.1G143300.1.p							
N10.HOG0007631	OG0004463	n7		AH018741-RA			Bevul.5G043000.1.p							
N10.HOG0007632	OG0004464	n15		AH022645-RA, AH022646-RA, AH022647-RA			Bevul.2G159800.2.p, Bevul.2G159800.1.p, Bevul.2G159800.4.p, Bevul.2G159800.3.p							
N10.HOG0007633	OG0004465	n7		AH017139-RA			Bevul.2G149400.1.p							
N10.HOG0007634	OG0004465	n8		AH016109-RA			Bevul.2G149500.2.p, Bevul.2G149500.1.p							
N10.HOG0007635	OG0004465	n11		AH017118-RA			Bevul.2G149600.1.p, Bevul.2G149700.1.p							
N10.HOG0007636	OG0004466	n0		AH022668-RA			Bevul.3G100000.1.p							
N10.HOG0007637	OG0004467	n10		AH020572-RA, AH014208-RA			Bevul.8G132000.1.p							
N10.HOG0007638	OG0004468	n0		AH012200-RA			Bevul.3G090800.1.p							
N10.HOG0007639	OG0004469	n0		AH022298-RA			Bevul.7G160200.1.p							
N10.HOG0007640	OG0004470	n0		AH013296-RA, AH022388-RA			Bevul.7G232400.1.p							
N10.HOG0007641	OG0004471	n0		AH020605-RA, AH020622-RA			Bevul.8G159800.1.p							
N10.HOG0007642	OG0004472	n0		AH009328-RA			Bevul.1G148900.1.p							
N10.HOG0007643	OG0004473	n10					Bevul.8G174600.1.p							
N10.HOG0007644	OG0004474	n14					Bevul.2G125600.1.p							
N10.HOG0007645	OG0004474	n18		AH001810-RA			Bevul.9G170500.1.p							
N10.HOG0007646	OG0004475	n23		AH008902-RA			Bevul.3G049200.1.p							
N10.HOG0007647	OG0004475	n25		AH021682-RA										
N10.HOG0007648	OG0004476	n0		AH014704-RA			Bevul.8G091600.1.p							
N10.HOG0007649	OG0004477	n0		AH007957-RA			Bevul.4G087800.1.p							
