Orthogroup	A_hypochondriacus.proteins	D_muscipula.proteins
OG0004820	AH015002-RA	Dm_00010659-RA, Dm_00019098-RA
OG0004821	AH023023-RA, AH016406-RA	Dm_00018927-RA
OG0004822	AH019451-RA	Dm_00010136-RA, Dm_00009174-RA
OG0004823	AH019431-RA	Dm_00004954-RA
OG0004824	AH001255-RA	Dm_00007334-RA
OG0004825	AH015021-RA	Dm_00005520-RA
OG0004826	AH017085-RA	Dm_00004400-RA
OG0004827	AH022693-RA	Dm_00018240-RA
OG0004828	AH008568-RA	Dm_00000500-RA
OG0004829	AH021302-RA	Dm_00005038-RA, Dm_00000338-RA
OG0004830	AH006799-RA	Dm_00014876-RA
OG0004831	AH006633-RA	Dm_00005938-RA
OG0004832	AH012528-RA	Dm_00000054-RA, Dm_00002539-RA
OG0004833	AH023461-RA	Dm_00010400-RA
OG0004833	AH013649-RA	Dm_00004781-RA
OG0004834	AH015906-RA, AH016992-RA	Dm_00016239-RA, Dm_00013703-RA
OG0004835	AH007963-RA	Dm_00016675-RA
OG0004836	AH005890-RA	Dm_00005376-RA
OG0004838	AH010005-RA	Dm_00013195-RA
OG0004839	AH007730-RA, AH012681-RA	Dm_00010580-RA
OG0004840	AH020311-RA	Dm_00016025-RA
OG0004841	AH015030-RA	Dm_00005086-RA
OG0004841	AH010234-RA	Dm_00005421-RA
OG0004842	AH008187-RA, AH010197-RA, AH010203-RA	Dm_00000856-RA
OG0004843	AH012803-RA	Dm_00014783-RA, Dm_00007466-RA
OG0004844	AH015956-RA, AH023775-RA	Dm_00015546-RA
OG0004845	AH013805-RA	Dm_00009560-RA
OG0004846	AH022959-RA	Dm_00015810-RA
OG0004847	AH023490-RA	Dm_00014854-RA
OG0004848	AH014805-RA	Dm_00000670-RA, Dm_00000669-RA
OG0004849	AH014672-RA, AH023164-RA	Dm_00018722-RA, Dm_00015190-RA
OG0004850	AH001345-RA	Dm_00003160-RA
OG0004851	AH005507-RA	Dm_00007398-RA
OG0004852	AH021369-RA, AH014786-RA	Dm_00006393-RA
OG0004853	AH021049-RA	Dm_00017934-RA
OG0004854	AH015688-RA	Dm_00013733-RA
OG0004855	AH013215-RA	Dm_00013505-RA
OG0004856	AH012515-RA, AH023159-RA	Dm_00009834-RA
OG0004858	AH006865-RA	Dm_00010732-RA
OG0004859	AH002527-RA	Dm_00005180-RA
OG0004860	AH016932-RA	Dm_00013037-RA
OG0004861	AH004615-RA	Dm_00017082-RA, Dm_00011705-RA
OG0004862	AH018517-RA	Dm_00008002-RA
OG0004863	AH006925-RA, AH020255-RA	Dm_00018796-RA
OG0004864	AH019726-RA	Dm_00013121-RA
OG0004865	AH009944-RA	Dm_00000828-RA, Dm_00000827-RA
OG0004867	AH021936-RA	Dm_00009430-RA
OG0004869	AH015001-RA, AH021503-RA	Dm_00010661-RA
OG0004870	AH007733-RA, AH010774-RA	Dm_00005030-RA, Dm_00003558-RA
OG0004871	AH021257-RA	Dm_00016807-RA
OG0004871	AH014677-RA	Dm_00009106-RA
OG0004872	AH016441-RA	Dm_00009664-RA, Dm_00017866-RA
OG0004873	AH009958-RA, AH009959-RA, AH008139-RA	Dm_00018068-RA
OG0004874	AH005147-RA	Dm_00012148-RA
OG0004875	AH009434-RA	Dm_00002719-RA
OG0004876	AH012130-RA, AH012131-RA, AH012129-RA	Dm_00011709-RA
OG0004877	AH022253-RA	Dm_00011449-RA
OG0004878	AH010650-RA, AH010654-RA	Dm_00005738-RA
OG0004879	AH002990-RA	Dm_00000302-RA
OG0004880	AH009002-RA	Dm_00005431-RA, Dm_00013982-RA
OG0004881	AH004489-RA	Dm_00014365-RA
OG0004882	AH005198-RA	Dm_00011793-RA
OG0004883	AH004506-RA	Dm_00005835-RA
OG0004884	AH022365-RA	Dm_00001673-RA
OG0004885	AH018804-RA	Dm_00017195-RA
OG0004887	AH019642-RA	Dm_00020033-RA
OG0004888	AH005950-RA	Dm_00015637-RA
OG0004889	AH000855-RA	Dm_00019266-RA, Dm_00019957-RA
OG0004890	AH018196-RA	Dm_00001474-RA
OG0004890	AH011900-RA, AH019724-RA	Dm_00000422-RA, Dm_00000185-RA
OG0004891	AH012511-RA, AH020173-RA	Dm_00015930-RA
OG0004892	AH015991-RA	Dm_00015226-RA
OG0004893	AH012879-RA	Dm_00015686-RA
OG0004894	AH021177-RA, AH014643-RA	Dm_00018931-RA
OG0004895	AH005241-RA, AH004251-RA	Dm_00009526-RA, Dm_00005918-RA
OG0004896	AH011855-RA	Dm_00019904-RA
OG0004897	AH017397-RA	Dm_00003259-RA
OG0004898	AH011708-RA	Dm_00007756-RA
OG0004899	AH013002-RA	Dm_00005647-RA
OG0004900	AH004211-RA	Dm_00018847-RA
OG0004901	AH009495-RA	Dm_00010714-RA
OG0004902	AH018027-RA	Dm_00013887-RA
OG0004903	AH006155-RA, AH006140-RA, AH006156-RA	Dm_00005332-RA
OG0004904	AH013000-RA	Dm_00003690-RA
OG0004905	AH011876-RA	Dm_00014349-RA
OG0004906	AH004547-RA, AH005181-RA	Dm_00009156-RA, Dm_00009155-RA
OG0004907	AH006292-RA	Dm_00017770-RA
OG0004908	AH008458-RA	Dm_00014925-RA
OG0004909	AH009504-RA	Dm_00007575-RA
OG0004911	AH005273-RA	Dm_00005046-RA
OG0004912	AH002621-RA	Dm_00007994-RA
OG0004913	AH016697-RA	Dm_00009636-RA
OG0004914	AH022183-RA	Dm_00008399-RA
OG0004915	AH018296-RA	Dm_00000884-RA
OG0004917	AH005191-RA	Dm_00009458-RA
OG0004918	AH012901-RA	Dm_00000310-RA
OG0004919	AH018110-RA	Dm_00011053-RA
OG0004920	AH007331-RA	Dm_00000207-RA
OG0004921	AH003029-RA	Dm_00008476-RA
OG0004922	AH004505-RA	Dm_00014857-RA
OG0004923	AH008443-RA	Dm_00010915-RA
OG0004924	AH011963-RA	Dm_00004294-RA
OG0004925	AH004188-RA	Dm_00001601-RA
OG0004926	AH000032-RA, AH001096-RA	Dm_00017252-RA, Dm_00001311-RA
OG0004927	AH018338-RA	Dm_00010660-RA, Dm_00017174-RA, Dm_00017175-RA
OG0004928	AH017451-RA, AH003452-RA	Dm_00009656-RA
OG0004929	AH003907-RA	Dm_00015752-RA
OG0004930	AH010256-RA, AH002485-RA	Dm_00002597-RA
OG0004931	AH004653-RA, AH004694-RA	Dm_00002852-RA
OG0004932	AH005279-RA	Dm_00014877-RA
OG0004934	AH002554-RA, AH017870-RA	Dm_00008286-RA
OG0004936	AH004435-RA, AH009143-RA	Dm_00008375-RA
OG0004938	AH011430-RA, AH018250-RA	Dm_00016099-RA
OG0004940	AH011669-RA, AH019798-RA, AH015295-RA, AH023051-RA	Dm_00009585-RA, Dm_00000216-RA
OG0004942	AH018487-RA, AH011569-RA	Dm_00012828-RA
OG0004944	AH022821-RA	Dm_00009215-RA
OG0004945	AH014689-RA	Dm_00016907-RA
OG0004947	AH010705-RA	Dm_00005230-RA
OG0004948	AH018922-RA	Dm_00003879-RA
OG0004949	AH008031-RA, AH010106-RA	Dm_00020531-RA
OG0004950	AH017964-RA	Dm_00019338-RA
OG0004951	AH017981-RA	Dm_00004918-RA
OG0004952	AH018520-RA	Dm_00011269-RA
OG0004953	AH018306-RA	Dm_00005340-RA
OG0004954	AH005516-RA	Dm_00011289-RA
OG0004955	AH005449-RA	Dm_00020545-RA, Dm_00008430-RA
OG0004956	AH005368-RA, AH004164-RA	Dm_00000391-RA
OG0004957	AH017259-RA	Dm_00011958-RA
OG0004958	AH019900-RA	Dm_00000241-RA
OG0004960	AH008247-RA	Dm_00018182-RA
OG0004961	AH010872-RA, AH007536-RA	Dm_00000548-RA
OG0004962	AH021234-RA	Dm_00020825-RA, Dm_00020773-RA
OG0004963	AH005464-RA	Dm_00008886-RA
OG0004965	AH017260-RA	Dm_00007131-RA
OG0004966	AH005415-RA, AH004068-RA	Dm_00016954-RA
OG0004967	AH017619-RA	Dm_00009471-RA, Dm_00009470-RA
OG0004969	AH018616-RA	Dm_00011475-RA
OG0004971	AH017778-RA	Dm_00008490-RA
OG0004973	AH019365-RA	Dm_00019455-RA
OG0004973	AH017646-RA	Dm_00020591-RA
OG0004974	AH005429-RA	Dm_00003881-RA
OG0004975	AH018327-RA	Dm_00011894-RA
OG0004977	AH015818-RA	Dm_00008347-RA
OG0004977	AH015819-RA	Dm_00008346-RA
OG0004978	AH018743-RA	Dm_00010592-RA
OG0004979	AH018719-RA	Dm_00015803-RA
OG0004980	AH021034-RA	Dm_00004621-RA
OG0004981	AH001194-RA	Dm_00011839-RA
OG0004982	AH002867-RA, AH017541-RA	Dm_00018177-RA
OG0004983	AH004220-RA	Dm_00005239-RA
OG0004983	AH003750-RA, AH005837-RA, AH010726-RA, AH010727-RA	Dm_00002528-RA
OG0004984	AH009481-RA	Dm_00004564-RA, Dm_00010496-RA
OG0004987	AH013760-RA	Dm_00020105-RA, Dm_00003526-RA
OG0004991	AH000092-RA	Dm_00003912-RA, Dm_00010477-RA
OG0004992	AH001221-RA, AH001220-RA	Dm_00006651-RA
OG0004993	AH000132-RA	Dm_00013130-RA, Dm_00012670-RA
OG0005014	AH020979-RA, AH014395-RA	Dm_00000335-RA
OG0005016	AH019969-RA	Dm_00009791-RA, Dm_00009557-RA
OG0005017	AH007534-RA	Dm_00002102-RA, Dm_00000549-RA
OG0005019	AH007776-RA	Dm_00001831-RA, Dm_00000531-RA
OG0005020	AH016317-RA, AH023154-RA	Dm_00004729-RA
OG0005021	AH021564-RB	Dm_00009267-RA
OG0005023	AH021964-RA	Dm_00002942-RA, Dm_00011704-RA
OG0005024	AH023119-RA, AH011585-RA	Dm_00016364-RA, Dm_00015490-RA, Dm_00012977-RA
OG0005025	AH011729-RA, AH020021-RA	Dm_00014127-RA, Dm_00018085-RA
OG0005027	AH015946-RA	Dm_00004459-RA, Dm_00017577-RA
OG0005030	AH007427-RA	Dm_00001972-RA
OG0005031	AH019103-RA	Dm_00015865-RA
OG0005034	AH013196-RA	Dm_00006655-RA, Dm_00009235-RA
OG0005035	AH010971-RA	Dm_00005096-RA, Dm_00007762-RA
OG0005036	AH020466-RA, AH006714-RA	Dm_00017902-RA, Dm_00001299-RA
OG0005037	AH003549-RA, AH008969-RA	Dm_00013540-RA
OG0005038	AH013619-RA	Dm_00019456-RA, Dm_00010018-RA
OG0005040	AH000073-RA	Dm_00009234-RA
OG0005041	AH013549-RA	Dm_00007557-RA
OG0005042	AH007685-RA, AH010924-RA	Dm_00016960-RA
OG0005043	AH006926-RA, AH020254-RA	Dm_00006586-RA, Dm_00018835-RA
OG0005045	AH012661-RA, AH021846-RA	Dm_00001778-RA
OG0005046	AH022987-RA, AH016435-RA	Dm_00009056-RA
OG0005047	AH007419-RB, AH007419-RA, AH007419-RC, AH011214-RA	Dm_00001621-RA
OG0005049	AH017826-RA	Dm_00005045-RA
OG0005050	AH011645-RA, AH019953-RA	Dm_00013483-RA
OG0005051	AH013166-RA	Dm_00020096-RA, Dm_00005771-RA
OG0005053	AH007148-RA	Dm_00019216-RA
OG0005054	AH006201-RA	Dm_00017540-RA
OG0005055	AH020184-RA	Dm_00010807-RA
OG0005059	AH018711-RA, AH003143-RA	Dm_00015952-RA
OG0005061	AH006485-RA	Dm_00006724-RA
OG0005062	AH012765-RA	Dm_00013453-RA, Dm_00007713-RA
OG0005064	AH013137-RA	Dm_00010017-RA, Dm_00019457-RA
OG0005065	AH019708-RA, AH011934-RA	Dm_00001500-RA
OG0005067	AH020593-RA	Dm_00001550-RA, Dm_00002569-RA
OG0005068	AH011050-RA, AH015483-RA	Dm_00002197-RA, Dm_00011190-RA
OG0005069	AH018448-RA, AH001863-RA	Dm_00001643-RA
OG0005070	AH014735-RA	Dm_00015514-RA
OG0005071	AH011118-RA	Dm_00004490-RA
OG0005072	AH021795-RA	Dm_00000804-RA, Dm_00000805-RA
OG0005073	AH022507-RA	Dm_00004776-RA
OG0005073	AH001892-RA	Dm_00015161-RA
OG0005074	AH018769-RA	Dm_00018933-RA
OG0005075	AH022958-RA	Dm_00005803-RA
OG0005076	AH016658-RA, AH016657-RA	Dm_00004089-RA
OG0005077	AH012576-RA	Dm_00001397-RA
OG0005078	AH012976-RA	Dm_00003696-RA
OG0005080	AH012957-RA	Dm_00015685-RA
OG0005081	AH014838-RA	Dm_00010101-RA
OG0005084	AH007237-RA, AH019901-RA	Dm_00012117-RA
OG0005085	AH004929-RA	Dm_00002174-RA, Dm_00011566-RA
OG0005086	AH005716-RA, AH003859-RA	Dm_00013974-RA
OG0005091	AH003934-RA, AH005799-RA	Dm_00018609-RA
OG0005092	AH016958-RA	Dm_00001146-RA, Dm_00002723-RA, Dm_00002722-RA
OG0005093	AH006094-RA	Dm_00002641-RA
OG0005094	AH008857-RA	Dm_00012085-RA
OG0005095	AH000291-RA	Dm_00010649-RA
OG0005096	AH001636-RA	Dm_00008689-RA
OG0005097	AH003932-RA	Dm_00005084-RA
OG0005098	AH005929-RA	Dm_00008665-RA
OG0005099	AH021342-RA, AH014761-RA	Dm_00012733-RA, Dm_00014813-RA
OG0005100	AH005794-RA, AH003777-RA, AH003778-RA	Dm_00005010-RA
OG0005101	AH004099-RA, AH014044-RA, AH014120-RA, AH014119-RA, AH005833-RA, AH003781-RA	Dm_00009997-RA
OG0005102	AH016795-RA	Dm_00001240-RA
OG0005103	AH010735-RA	Dm_00002031-RA
OG0005107	AH023720-RA	Dm_00001263-RA
OG0005108	AH008677-RA	Dm_00002424-RA, Dm_00001143-RA
OG0005109	AH006339-RA	Dm_00002203-RA
OG0005110	AH002451-RA, AH000688-RA	Dm_00020560-RA, Dm_00002278-RA
OG0005112	AH005532-RA	Dm_00015795-RA, Dm_00020553-RA
OG0005114	AH000820-RA	Dm_00013696-RA
OG0005115	AH005484-RA	Dm_00002835-RA
OG0005116	AH008921-RA	Dm_00020378-RA, Dm_00019968-RA
OG0005118	AH002262-RA, AH002261-RA	Dm_00005614-RA, Dm_00009734-RA
OG0005119	AH009367-RA	Dm_00007652-RA, Dm_00006273-RA
OG0005120	AH014241-RA	Dm_00010776-RA, Dm_00018875-RA
OG0005121	AH009396-RA	Dm_00006268-RA
OG0005122	AH001994-RA	Dm_00017995-RA
OG0005123	AH003494-RA	Dm_00013610-RA
OG0005124	AH004244-RA	Dm_00007990-RA
OG0005125	AH012903-RA	Dm_00016274-RA
OG0005127	AH000886-RA	Dm_00013296-RA
OG0005128	AH017089-RA	Dm_00012609-RA
OG0005129	AH018802-RA	Dm_00011938-RA
OG0005130	AH016345-RA	Dm_00017543-RA
OG0005133	AH005627-RA, AH003996-RA	Dm_00001091-RA
OG0005134	AH000725-RA, AH002408-RA	Dm_00006301-RA
OG0005135	AH008822-RA, AH003923-RA	Dm_00007899-RA
OG0005136	AH013604-RA	Dm_00001114-RA
OG0005138	AH008577-RA	Dm_00008628-RA
OG0005139	AH020991-RA	Dm_00000765-RA
OG0005140	AH008039-RA	Dm_00012712-RA
OG0005141	AH023286-RA	Dm_00015512-RA, Dm_00002444-RA
OG0005145	AH010271-RA	Dm_00018175-RA
OG0005149	AH001019-RA	Dm_00004142-RA
OG0005152	AH014297-RA	Dm_00005220-RA
OG0005155	AH008119-RA	Dm_00004442-RA
OG0005156	AH011809-RA	Dm_00012241-RA
OG0005158	AH010178-RA	Dm_00000862-RA
OG0005159	AH005528-RA	Dm_00003188-RA
OG0005160	AH008520-RA	Dm_00006761-RA
OG0005161	AH019202-RA	Dm_00000630-RA
OG0005162	AH008952-RA	Dm_00001338-RA
OG0005163	AH009196-RA	Dm_00020240-RA
OG0005164	AH002102-RA	Dm_00013658-RA, Dm_00007087-RA
OG0005165	AH018097-RA	Dm_00004262-RA
OG0005166	AH009642-RA	Dm_00005054-RA
OG0005169	AH008896-RA	Dm_00008457-RA
OG0005169	AH002606-RA	Dm_00008456-RA
OG0005170	AH009227-RA	Dm_00013319-RA
OG0005171	AH014087-RA	Dm_00021059-RA, Dm_00003616-RA, Dm_00000080-RA
OG0005173	AH021642-RA	Dm_00004533-RA
OG0005175	AH014036-RA	Dm_00016228-RA
OG0005176	AH021012-RA	Dm_00007317-RA
OG0005178	AH002570-RA	Dm_00013840-RA, Dm_00020239-RA
OG0005179	AH009569-RA, AH009568-RA, AH009567-RA, AH018088-RA	Dm_00008635-RA, Dm_00008243-RA, Dm_00015502-RA, Dm_00003111-RA, Dm_00003110-RA
OG0005180	AH009695-RA	Dm_00008987-RA
OG0005182	AH010004-RA	Dm_00006531-RA
OG0005183	AH007155-RA	Dm_00014331-RA
OG0005184	AH018684-RA	Dm_00017940-RA
OG0005185	AH023646-RA	Dm_00001369-RA
OG0005186	AH016000-RA	Dm_00008780-RA
OG0005187	AH007325-RA	Dm_00000217-RA
OG0005188	AH014068-RA	Dm_00001066-RA
OG0005189	AH023427-RA, AH015987-RA	Dm_00018188-RA
OG0005190	AH003422-RA, AH003427-RA, AH003429-RA, AH006287-RA	Dm_00010921-RA
OG0005191	AH002021-RA	Dm_00007503-RA
OG0005192	AH013352-RA	Dm_00015351-RA
OG0005193	AH018702-RA	Dm_00013583-RA, Dm_00013582-RA, Dm_00015747-RA
OG0005194	AH007058-RA, AH020125-RA	Dm_00001254-RA
OG0005197	AH021195-RA	Dm_00005664-RA
OG0005198	AH019945-RA	Dm_00000401-RA
OG0005199	AH017134-RA, AH016124-RA	Dm_00017716-RA
OG0005200	AH023227-RA, AH023816-RA, AH019454-RA, AH014000-RA	Dm_00007842-RA
OG0005201	AH015004-RA	Dm_00014204-RA
OG0005202	AH020326-RA	Dm_00016996-RA
OG0005203	AH012045-RA	Dm_00005162-RA
OG0005204	AH001956-RA	Dm_00002507-RA, Dm_00019101-RA
OG0005205	AH009205-RA	Dm_00011853-RA, Dm_00015946-RA
OG0005206	AH003009-RA	Dm_00006487-RA
OG0005207	AH009249-RA	Dm_00009979-RA, Dm_00018176-RA
OG0005209	AH013499-RA	Dm_00010204-RA
OG0005210	AH021041-RA, AH014275-RA	Dm_00014621-RA, Dm_00001005-RA
OG0005211	AH014131-RA	Dm_00016220-RA, Dm_00020497-RA
OG0005212	AH012379-RA	Dm_00005503-RA
OG0005214	AH014362-RA	Dm_00007316-RA
OG0005216	AH013376-RA	Dm_00016708-RA
OG0005217	AH018659-RA	Dm_00011369-RA
OG0005218	AH016092-RA, AH017153-RA	Dm_00015633-RA
OG0005219	AH020625-RA	Dm_00019432-RA
OG0005220	AH013335-RA	Dm_00010048-RA, Dm_00014195-RA
OG0005222	AH016187-RA, AH023307-RA	Dm_00014402-RA
OG0005223	AH009879-RA	Dm_00005931-RA
OG0005226	AH010936-RA, AH007693-RA	Dm_00016546-RA
OG0005227	AH017221-RA	Dm_00013039-RA
OG0005228	AH007575-RA	Dm_00006576-RA
OG0005231	AH022692-RA	Dm_00006352-RA
OG0005232	AH003400-RA	Dm_00006776-RA
OG0005233	AH022968-RA	Dm_00011934-RA
OG0005234	AH008028-RA	Dm_00008672-RA
OG0005235	AH020856-RA, AH014535-RA, AH020857-RA	Dm_00008604-RA, Dm_00017584-RA
OG0005237	AH013181-RA	Dm_00006712-RA
OG0005238	AH007740-RA, AH010765-RA	Dm_00005032-RA
OG0005240	AH003012-RA	Dm_00014598-RA, Dm_00011574-RA
OG0005241	AH001282-RA, AH000262-RA	Dm_00004602-RA
OG0005242	AH006780-RA	Dm_00019525-RA
OG0005243	AH008170-RA	Dm_00000843-RA
OG0005244	AH013792-RA, AH022681-RA	Dm_00007351-RA, Dm_00006601-RA
OG0005245	AH010874-RA	Dm_00020164-RA
OG0005245	AH010093-RA	Dm_00007975-RA
OG0005246	AH000319-RA	Dm_00008314-RA
OG0005248	AH006617-RA	Dm_00013216-RA
OG0005249	AH014610-RA	Dm_00010044-RA, Dm_00010032-RA
OG0005250	AH006306-RA, AH003446-RA	Dm_00001103-RA, Dm_00002229-RA
OG0005251	AH019272-RA	Dm_00019683-RA
OG0005252	AH000206-RA, AH000207-RA	Dm_00010239-RA
OG0005253	AH008803-RA	Dm_00002973-RA
OG0005254	AH020480-RA, AH006645-RA	Dm_00004477-RA, Dm_00008848-RA
OG0005255	AH023298-RA, AH010815-RA	Dm_00014945-RA
OG0005256	AH017174-RA	Dm_00000314-RA, Dm_00006909-RA, Dm_00006907-RA, Dm_00000315-RA, Dm_00006908-RA
OG0005257	AH021450-RA	Dm_00006042-RA
OG0005258	AH020785-RA	Dm_00014949-RA, Dm_00009751-RA, Dm_00009752-RA
OG0005260	AH018888-RA	Dm_00012249-RA
OG0005262	AH013129-RA, AH013094-RA	Dm_00014663-RA
OG0005263	AH007937-RA	Dm_00009604-RA, Dm_00018579-RA
OG0005264	AH014953-RA	Dm_00010721-RA
OG0005265	AH020335-RA	Dm_00008638-RA
OG0005266	AH003141-RA, AH022977-RA, AH016427-RA	Dm_00017667-RA
OG0005267	AH020478-RA, AH006637-RA	Dm_00008831-RA
OG0005268	AH020509-RA, AH006587-RA	Dm_00003418-RA
OG0005269	AH010710-RA, AH021933-RA	Dm_00017886-RA
OG0005270	AH012829-RA	Dm_00014671-RA
OG0005273	AH012439-RA	Dm_00000022-RA
OG0005274	AH018854-RA	Dm_00003171-RA
OG0005275	AH015795-RA	Dm_00018443-RA
OG0005277	AH021346-RA	Dm_00015237-RA
OG0005278	AH020549-RA	Dm_00011420-RA
OG0005279	AH006958-RA	Dm_00018264-RA
OG0005280	AH007328-RA, AH012719-RA	Dm_00012718-RA, Dm_00019634-RA
OG0005281	AH018669-RA, AH003158-RA, AH018100-RA	Dm_00010876-RA
OG0005282	AH004855-RA	Dm_00005816-RA
OG0005283	AH003358-RA, AH006397-RA	Dm_00011675-RA, Dm_00008445-RA
OG0005286	AH013030-RA	Dm_00019055-RA
OG0005287	AH011122-RA, AH007469-RA	Dm_00001559-RA
OG0005288	AH002646-RA	Dm_00012315-RA
OG0005289	AH009628-RA	Dm_00006508-RA
OG0005291	AH009486-RA	Dm_00010183-RA
OG0005292	AH009526-RA	Dm_00004205-RA
OG0005293	AH012003-RA	Dm_00008179-RA
OG0005294	AH011741-RA	Dm_00006758-RA
OG0005295	AH021602-RA	Dm_00002897-RA
OG0005296	AH016595-RA	Dm_00001523-RA
OG0005297	AH007049-RA	Dm_00013281-RA
OG0005298	AH020162-RA	Dm_00020400-RA, Dm_00019620-RA
OG0005299	AH009698-RA	Dm_00006810-RA
OG0005300	AH009560-RA	Dm_00003562-RA
OG0005301	AH018096-RA	Dm_00012505-RA
OG0005302	AH008648-RA	Dm_00018142-RA
OG0005303	AH007605-RA	Dm_00007562-RA, Dm_00000609-RA
OG0005304	AH003500-RA	Dm_00016448-RA
OG0005305	AH011792-RA	Dm_00011600-RA
OG0005307	AH017802-RA	Dm_00007496-RA
OG0005310	AH019886-RA	Dm_00008242-RA
OG0005312	AH007011-RA	Dm_00011812-RA
OG0005313	AH005965-RA	Dm_00009806-RA
OG0005314	AH004930-RA	Dm_00008840-RA, Dm_00008839-RA
OG0005315	AH006461-RA	Dm_00005808-RA
OG0005316	AH007405-RA	Dm_00008037-RA
OG0005317	AH021256-RA	Dm_00008133-RA
OG0005318	AH017822-RA, AH002588-RA	Dm_00013144-RA, Dm_00005041-RA
OG0005320	AH005032-RA	Dm_00010872-RA, Dm_00008682-RA
OG0005321	AH022906-RA	Dm_00011293-RA
OG0005322	AH022774-RA	Dm_00012628-RA
OG0005324	AH018985-RA	Dm_00006481-RA
OG0005325	AH002227-RA	Dm_00014242-RA
OG0005328	AH002852-RA	Dm_00014202-RA
OG0005328	AH017558-RA	Dm_00014203-RA
OG0005329	AH012378-RA, AH019548-RA	Dm_00011655-RA
OG0005330	AH016518-RA	Dm_00006770-RA
OG0005331	AH019772-RA, AH019769-RA, AH007330-RA	Dm_00000211-RA
OG0005332	AH005541-RA	Dm_00003179-RA
OG0005333	AH009294-RA, AH001199-RA, AH009295-RA	Dm_00001340-RA, Dm_00008085-RA
OG0005334	AH017460-RA, AH002907-RA	Dm_00007074-RA
OG0005335	AH001097-RA	Dm_00009356-RA
OG0005336	AH018447-RA	Dm_00005667-RA
OG0005337	AH014922-RA	Dm_00003191-RA, Dm_00003190-RA, Dm_00000396-RA
OG0005338	AH002783-RA, AH017640-RA	Dm_00012479-RA
OG0005340	AH011404-RA, AH018320-RA	Dm_00000868-RA
OG0005341	AH003242-RA	Dm_00006589-RA
OG0005342	AH004424-RA	Dm_00010451-RA, Dm_00003650-RA
OG0005343	AH018767-RA	Dm_00011287-RA
OG0005344	AH021028-RA, AH014270-RA	Dm_00000997-RA, Dm_00007320-RA
OG0005345	AH004129-RA	Dm_00002775-RA, Dm_00001614-RA
OG0005348	AH005226-RA, AH004578-RA	Dm_00016664-RA
OG0005349	AH022936-RA	Dm_00009464-RA
OG0005350	AH018397-RA, AH011506-RA	Dm_00011756-RA, Dm_00013219-RA
OG0005351	AH007318-RA	Dm_00000407-RA, Dm_00000223-RA
OG0005352	AH017856-RA	Dm_00003196-RA
OG0005353	AH004433-RA, AH004432-RA	Dm_00017521-RA
OG0005355	AH005230-RA	Dm_00017058-RA
OG0005356	AH018336-RA	Dm_00015919-RA
OG0005357	AH013008-RA	Dm_00011307-RA
OG0005358	AH021216-RA	Dm_00010491-RA
OG0005360	AH017510-RA	Dm_00003818-RA, Dm_00003817-RA
OG0005361	AH022773-RA	Dm_00011447-RA
OG0005362	AH004820-RA	Dm_00009099-RA
OG0005364	AH005971-RA, AH010684-RA, AH023328-RA, AH022663-RA, AH022598-RA, AH023466-RA, AH017658-RA, AH020802-RA, AH023845-RA, AH003517-RA, AH011577-RA, AH020652-RA, AH005928-RA, AH022664-RA, AH003269-RA, AH006203-RA, AH013804-RA, AH009008-RA, AH003268-RA, AH023808-RA, AH023829-RA	Dm_00017229-RA
OG0005365	AH022715-RA	Dm_00005774-RA
OG0005367	AH009979-RA	Dm_00016829-RA, Dm_00016840-RA
OG0005367	AH014507-RA, AH009431-RA	Dm_00017272-RA, Dm_00016842-RA, Dm_00016830-RA, Dm_00016828-RA, Dm_00006468-RA
OG0005369	AH009475-RA	Dm_00013652-RA, Dm_00002698-RA
OG0005372	AH000599-RA	Dm_00008510-RA
OG0005395	AH022397-RA	Dm_00003944-RA
OG0005399	AH020617-RA	Dm_00017743-RA
OG0005400	AH013310-RA, AH022227-RA	Dm_00018483-RA
OG0005401	AH020392-RA	Dm_00005270-RA
OG0005402	AH020454-RA	Dm_00001291-RA
OG0005402	AH020453-RA	Dm_00011768-RA
OG0005403	AH010407-RA	Dm_00001626-RA
OG0005404	AH022372-RA, AH013564-RA	Dm_00011419-RA
OG0005405	AH007407-RA	Dm_00001822-RA
OG0005406	AH006151-RA	Dm_00002418-RA
OG0005407	AH021045-RA	Dm_00020461-RA
OG0005408	AH000483-RA	Dm_00019114-RA
OG0005409	AH007702-RA	Dm_00007378-RA
OG0005410	AH020251-RA	Dm_00020513-RA
OG0005411	AH014023-RA	Dm_00003622-RA
OG0005412	AH006132-RA	Dm_00005250-RA
OG0005413	AH000198-RA	Dm_00010238-RA
OG0005414	AH002703-RA	Dm_00014369-RA, Dm_00016535-RA
OG0005415	AH011658-RA	Dm_00007201-RA
OG0005416	AH012446-RA, AH009007-RA	Dm_00008512-RA
OG0005417	AH007611-RA	Dm_00015751-RA, Dm_00000618-RA, Dm_00012940-RA
OG0005418	AH013821-RA, AH018805-RA	Dm_00006159-RA
OG0005419	AH022252-RA	Dm_00010476-RA
OG0005420	AH006520-RA	Dm_00001201-RA
OG0005421	AH010620-RA, AH010619-RA	Dm_00008439-RA
OG0005422	AH022490-RA	Dm_00005769-RA
OG0005423	AH020085-RA	Dm_00007902-RA
OG0005424	AH020007-RA	Dm_00002909-RA, Dm_00006756-RA
OG0005425	AH012440-RA	Dm_00000021-RA
