Orthogroup	A_hypochondriacus.proteins	G_max.proteins
OG0005318	AH017822-RA, AH002588-RA	GmISU01.01G103600.1.p, GmISU01.03G028100.1.p, GmISU01.03G028100.2.p, GmISU01.03G028100.4.p, GmISU01.01G103600.2.p, GmISU01.03G028100.5.p, GmISU01.03G028100.6.p
OG0005319	AH004008-RA	GmISU01.07G192200.5.p, GmISU01.07G192200.3.p, GmISU01.07G192200.1.p, GmISU01.20G022700.4.p, GmISU01.20G022700.3.p, GmISU01.20G022700.1.p, GmISU01.01G048700.1.p, GmISU01.02G101900.1.p
OG0005320	AH005032-RA	GmISU01.07G194700.1.p, GmISU01.20G026700.1.p, GmISU01.01G045700.1.p, GmISU01.02G098500.1.p
OG0005321	AH022906-RA	GmISU01.13G026300.1.p, GmISU01.19G038400.2.p, GmISU01.19G038400.7.p, GmISU01.19G038400.4.p, GmISU01.19G038400.6.p, GmISU01.19G038400.1.p, GmISU01.19G038400.3.p, GmISU01.19G038400.5.p
OG0005322	AH022774-RA	GmISU01.18G216700.3.p, GmISU01.18G216700.2.p, GmISU01.18G216700.1.p, GmISU01.08G230200.1.p, GmISU01.08G230200.2.p
OG0005324	AH018985-RA	GmISU01.05G004700.3.p, GmISU01.05G004700.2.p, GmISU01.05G004700.1.p, GmISU01.19G005300.1.p, GmISU01.05G004700.4.p
OG0005325	AH002227-RA	GmISU01.17G080800.1.p, GmISU01.05G035300.2.p, GmISU01.05G035300.3.p
OG0005326	AH008696-RA	GmISU01.04G089500.3.p, GmISU01.04G089500.2.p, GmISU01.04G089500.1.p, GmISU01.06G091300.1.p, GmISU01.14G146400.1.p, GmISU01.02G176500.1.p
OG0005328	AH002852-RA	GmISU01.08G038300.3.p, GmISU01.08G038300.1.p, GmISU01.10G037400.2.p, GmISU01.10G037400.1.p, GmISU01.05G200600.1.p, GmISU01.13G100200.1.p
OG0005329	AH012378-RA, AH019548-RA	GmISU01.16G119800.2.p, GmISU01.02G059200.1.p, GmISU01.16G119800.1.p, GmISU01.19G075400.1.p
OG0005330	AH016518-RA	GmISU01.18G236000.5.p, GmISU01.18G236000.2.p, GmISU01.02G079600.1.p
OG0005331	AH019772-RA, AH019769-RA, AH007330-RA	GmISU01.01G188400.1.p, GmISU01.01G188400.2.p, GmISU01.11G011800.1.p
OG0005332	AH005541-RA	GmISU01.20G021200.1.p
OG0005333	AH009294-RA, AH001199-RA, AH009295-RA	GmISU01.16G071900.1.p, GmISU01.03G070800.1.p
OG0005334	AH017460-RA, AH002907-RA	GmISU01.02G108900.1.p, GmISU01.01G055700.1.p, GmISU01.05G016100.1.p
OG0005335	AH001097-RA	GmISU01.09G235300.1.p, GmISU01.20G003900.2.p, GmISU01.20G003900.1.p, GmISU01.12G026900.1.p, GmISU01.12G026900.2.p, GmISU01.11G095800.1.p, GmISU01.11G095800.3.p, GmISU01.11G095800.2.p, GmISU01.11G095800.5.p
OG0005336	AH018447-RA	GmISU01.09G168200.2.p, GmISU01.09G168200.5.p, GmISU01.09G168200.3.p, GmISU01.09G168200.1.p, GmISU01.01G013100.3.p, GmISU01.01G013100.4.p, GmISU01.01G013100.2.p
OG0005337	AH014922-RA	GmISU01.09G098100.1.p, GmISU01.08G040400.1.p, GmISU01.05G202900.1.p
OG0005338	AH002783-RA, AH017640-RA	GmISU01.17G087400.1.p, GmISU01.05G028500.2.p, GmISU01.05G028500.1.p, GmISU01.04G142500.3.p, GmISU01.04G142500.2.p, GmISU01.04G142500.1.p, GmISU01.06G172000.1.p
OG0005339	AH002982-RA	GmISU01.06G155400.1.p, GmISU01.04G158500.2.p
OG0005340	AH011404-RA, AH018320-RA	GmISU01.17G133400.1.p, GmISU01.05G058200.1.p, GmISU01.01G166200.1.p, GmISU01.11G033100.2.p
OG0005341	AH003242-RA	GmISU01.09G175900.1.p, GmISU01.09G175900.2.p, GmISU01.01G115301.1.p
OG0005342	AH004424-RA	GmISU01.08G256500.1.p
OG0005343	AH018767-RA	GmISU01.09G176700.2.p, GmISU01.09G176700.1.p, GmISU01.01G116200.8.p, GmISU01.01G116200.1.p, GmISU01.01G116200.7.p, GmISU01.01G116200.2.p, GmISU01.01G116200.5.p, GmISU01.01G116200.4.p, GmISU01.01G116200.3.p, GmISU01.01G116200.6.p
OG0005344	AH021028-RA, AH014270-RA	GmISU01.15G019100.1.p, GmISU01.13G312300.3.p, GmISU01.13G312300.1.p, GmISU01.13G312300.4.p, GmISU01.13G312300.2.p, GmISU01.08G318500.1.p, GmISU01.18G131100.1.p
OG0005345	AH004129-RA	GmISU01.20G085400.3.p, GmISU01.20G085400.1.p
OG0005346	AH006656-RA	GmISU01.07G089400.5.p, GmISU01.07G089400.1.p, GmISU01.07G089400.4.p, GmISU01.07G089400.7.p, GmISU01.07G089400.3.p, GmISU01.07G089400.2.p, GmISU01.07G089400.6.p, GmISU01.09G141800.2.p
OG0005347	AH007850-RA, AH010708-RA	GmISU01.11G192500.1.p, GmISU01.18G041700.1.p, GmISU01.02G203700.1.p, GmISU01.14G175100.2.p, GmISU01.02G203700.3.p, GmISU01.14G175100.1.p
OG0005348	AH005226-RA, AH004578-RA	GmISU01.19G074500.1.p, GmISU01.16G046300.1.p
OG0005349	AH022936-RA	GmISU01.19G036700.1.p, GmISU01.13G028500.3.p, GmISU01.13G028500.2.p, GmISU01.13G028400.1.p
OG0005350	AH018397-RA, AH011506-RA	GmISU01.01G076000.3.p, GmISU01.01G076000.5.p, GmISU01.08G246200.1.p, GmISU01.08G246200.2.p
OG0005351	AH007318-RA	GmISU01.11G084600.1.p, GmISU01.12G017000.1.p, GmISU01.01G187400.1.p, GmISU01.11G010732.1.p, GmISU01.11G010732.2.p
OG0005352	AH017856-RA	GmISU01.08G086900.2.p, GmISU01.08G086900.1.p, GmISU01.05G114500.2.p, GmISU01.05G114500.1.p, GmISU01.09G097500.4.p, GmISU01.09G097500.3.p, GmISU01.09G097500.1.p, GmISU01.09G097500.2.p
OG0005353	AH004433-RA, AH004432-RA	GmISU01.12G045900.1.p, GmISU01.12G045900.4.p, GmISU01.12G045900.6.p, GmISU01.12G045900.5.p
OG0005354	AH015024-RA	GmISU01.20G108100.1.p, GmISU01.20G108100.2.p, GmISU01.10G212500.2.p, GmISU01.10G212500.1.p
OG0005355	AH005230-RA	GmISU01.16G046100.2.p, GmISU01.16G046100.1.p, GmISU01.19G074700.1.p
OG0005356	AH018336-RA	GmISU01.17G141200.1.p, GmISU01.05G091600.1.p
OG0005357	AH013008-RA	GmISU01.01G064400.5.p
OG0005358	AH021216-RA	GmISU01.09G129500.2.p, GmISU01.09G129500.3.p, GmISU01.09G129500.4.p, GmISU01.16G181500.3.p, GmISU01.16G181500.4.p, GmISU01.16G181500.2.p, GmISU01.16G181500.1.p
OG0005360	AH017510-RA	GmISU01.17G071800.1.p, GmISU01.05G019100.1.p
OG0005361	AH022773-RA	GmISU01.08G230400.1.p, GmISU01.18G216900.1.p
OG0005362	AH004820-RA	GmISU01.08G253100.2.p, GmISU01.08G253100.1.p
OG0005363	AH003248-RA	GmISU01.09G174400.1.p
OG0005365	AH022715-RA	GmISU01.05G127800.2.p, GmISU01.05G127800.1.p, GmISU01.08G102350.1.p, GmISU01.18G001400.1.p, GmISU01.02G184100.1.p, GmISU01.20G032700.1.p, GmISU01.20G032600.1.p, GmISU01.14G035600.1.p, GmISU01.14G035800.1.p, GmISU01.14G035500.2.p, GmISU01.14G035500.1.p
OG0005366	AH017512-RA	GmISU01.06G183200.2.p, GmISU01.06G183200.5.p, GmISU01.06G183200.1.p, GmISU01.06G183200.3.p, GmISU01.06G183200.8.p, GmISU01.06G183200.7.p, GmISU01.06G183000.1.p, GmISU01.06G183000.2.p, GmISU01.04G133700.2.p, GmISU01.04G133700.1.p, GmISU01.06G183200.4.p, GmISU01.06G183200.6.p
OG0005369	AH009475-RA	GmISU01.16G015000.3.p, GmISU01.16G015000.4.p, GmISU01.16G015000.5.p, GmISU01.16G015000.6.p, GmISU01.16G015000.7.p, GmISU01.16G015000.8.p, GmISU01.16G015000.9.p, GmISU01.16G015000.2.p, GmISU01.16G015000.1.p, GmISU01.07G045000.2.p, GmISU01.07G045000.1.p
OG0005371	AH003526-RA, AH005944-RA	GmISU01.08G128000.3.p, GmISU01.08G128000.1.p, GmISU01.08G128000.2.p, GmISU01.05G151600.1.p
OG0005372	AH000599-RA	GmISU01.03G213100.1.p, GmISU01.03G213100.2.p, GmISU01.03G213100.4.p, GmISU01.03G213100.5.p, GmISU01.03G213100.6.p, GmISU01.19G213900.1.p, GmISU01.19G213900.3.p, GmISU01.19G213900.4.p, GmISU01.19G213800.1.p
OG0005373	AH000044-RA	GmISU01.08G163500.1.p, GmISU01.15G207600.1.p
OG0005395	AH022397-RA	GmISU01.13G278100.1.p, GmISU01.12G150900.1.p
OG0005397	AH015653-RA, AH008978-RA	GmISU01.15G193000.1.p, GmISU01.13G160600.2.p, GmISU01.13G160600.1.p, GmISU01.04G111300.1.p, GmISU01.11G168600.1.p
OG0005399	AH020617-RA	GmISU01.02G170100.1.p, GmISU01.17G068600.7.p, GmISU01.17G068600.8.p
OG0005400	AH013310-RA, AH022227-RA	GmISU01.04G122700.1.p, GmISU01.06G189100.1.p, GmISU01.06G189100.2.p, GmISU01.12G072800.1.p
OG0005402	AH020454-RA	GmISU01.03G097100.1.p, GmISU01.19G100800.1.p
OG0005402	AH020453-RA	GmISU01.03G097200.1.p
OG0005403	AH010407-RA	GmISU01.19G191500.1.p, GmISU01.03G189800.2.p, GmISU01.03G189800.1.p
OG0005404	AH022372-RA, AH013564-RA	GmISU01.03G184700.1.p, GmISU01.19G186000.1.p, GmISU01.03G184700.2.p, GmISU01.03G184700.3.p
OG0005405	AH007407-RA, AH011605-RA	GmISU01.20G066100.1.p
OG0005406	AH006151-RA	GmISU01.17G153100.1.p
OG0005407	AH021045-RA	GmISU01.13G179900.1.p
OG0005408	AH002120-RA, AH000483-RA	GmISU01.11G193900.1.p, GmISU01.11G193900.2.p, GmISU01.18G040600.1.p
OG0005409	AH007702-RA	GmISU01.18G063800.1.p, GmISU01.08G299100.1.p, GmISU01.14G009600.1.p
OG0005410	AH020251-RA	GmISU01.16G037900.1.p
OG0005411	AH014023-RA	GmISU01.16G038800.1.p, GmISU01.19G080900.1.p, GmISU01.19G080900.2.p, GmISU01.16G038700.1.p
OG0005412	AH006132-RA	GmISU01.07G197500.1.p, GmISU01.07G197500.4.p, GmISU01.07G197500.3.p, GmISU01.07G197500.2.p
OG0005413	AH000198-RA	GmISU01.12G145500.1.p, GmISU01.13G283200.1.p
OG0005414	AH002703-RA	GmISU01.08G122000.1.p, GmISU01.08G122000.2.p, GmISU01.05G146200.4.p, GmISU01.05G146200.5.p, GmISU01.05G146200.2.p, GmISU01.05G146200.3.p
OG0005415	AH011658-RA	GmISU01.19G021100.3.p, GmISU01.19G021100.2.p, GmISU01.19G021100.1.p
OG0005416	AH012446-RA, AH009007-RA	GmISU01.02G063100.1.p, GmISU01.16G124100.1.p
OG0005417	AH008713-RA, AH010525-RA, AH007611-RA	GmISU01.02G265400.1.p, GmISU01.14G005900.1.p
OG0005418	AH018805-RA	GmISU01.03G044400.1.p, GmISU01.01G091600.1.p, GmISU01.18G151200.1.p, GmISU01.07G131800.1.p
OG0005419	AH022252-RA	GmISU01.07G106100.1.p
OG0005421	AH011816-RA	GmISU01.20G062900.1.p, GmISU01.10G112700.1.p, GmISU01.19G187500.1.p, GmISU01.03G186300.1.p
OG0005422	AH022490-RA	GmISU01.11G132500.1.p, GmISU01.09G097600.1.p, GmISU01.13G290500.1.p
OG0005423	AH020085-RA	GmISU01.11G115700.2.p, GmISU01.11G115700.1.p, GmISU01.11G115700.3.p, GmISU01.12G046300.1.p
OG0005424	AH020007-RA, AH011745-RA	GmISU01.03G221100.2.p, GmISU01.03G221100.1.p, GmISU01.19G222400.2.p, GmISU01.19G222400.1.p
OG0005425	AH012440-RA	GmISU01.18G163400.1.p, GmISU01.03G001900.2.p, GmISU01.03G001900.1.p, GmISU01.16G188000.4.p, GmISU01.16G188000.5.p, GmISU01.16G188000.1.p
OG0005426	AH021737-RA	GmISU01.03G032900.1.p, GmISU01.03G033400.1.p, GmISU01.01G100000.1.p, GmISU01.19G083100.1.p, GmISU01.09G231800.1.p, GmISU01.18G160100.1.p
OG0005427	AH019268-RA	GmISU01.04G180000.1.p, GmISU01.06G132000.1.p
OG0005429	AH011053-RA, AH007513-RA	GmISU01.13G160900.4.p, GmISU01.15G193900.1.p, GmISU01.15G193900.3.p, GmISU01.13G160900.2.p, GmISU01.13G160900.3.p, GmISU01.13G160900.1.p
OG0005430	AH020841-RA	GmISU01.09G150300.1.p, GmISU01.09G150300.3.p, GmISU01.09G150300.4.p, GmISU01.09G150300.2.p, GmISU01.07G079300.1.p, GmISU01.07G079300.2.p, GmISU01.07G079300.3.p
OG0005431	AH001557-RA, AH023067-RA, AH000521-RA	GmISU01.13G311500.1.p, GmISU01.08G185500.1.p, GmISU01.07G012700.2.p
OG0005432	AH013244-RA	GmISU01.12G082000.1.p, GmISU01.12G082000.2.p, GmISU01.11G146100.1.p
OG0005433	AH011805-RA	GmISU01.09G030200.1.p, GmISU01.09G030200.5.p, GmISU01.15G126800.2.p, GmISU01.09G030200.6.p, GmISU01.09G030200.3.p, GmISU01.15G126800.1.p, GmISU01.15G126800.3.p
OG0005434	AH020082-RA	GmISU01.11G115400.2.p, GmISU01.11G115400.1.p, GmISU01.12G046000.2.p, GmISU01.12G046000.1.p, GmISU01.15G027300.1.p, GmISU01.13G304600.2.p, GmISU01.13G304600.1.p
OG0005436	AH018867-RA	GmISU01.07G042500.4.p, GmISU01.07G042500.2.p, GmISU01.07G042500.3.p, GmISU01.07G042500.1.p, GmISU01.16G012300.1.p
OG0005437	AH010437-RA	GmISU01.20G190800.1.p, GmISU01.10G124700.2.p, GmISU01.10G124700.3.p, GmISU01.10G124700.1.p
OG0005438	AH021796-RA	GmISU01.19G159600.1.p, GmISU01.03G157400.1.p
OG0005439	AH009246-RA	GmISU01.03G043200.2.p, GmISU01.03G043200.8.p, GmISU01.03G043200.7.p, GmISU01.03G043200.5.p, GmISU01.03G043200.3.p, GmISU01.03G043200.1.p, GmISU01.01G090200.1.p
OG0005440	AH012660-RA	GmISU01.13G122400.2.p, GmISU01.13G122400.1.p, GmISU01.10G060100.1.p
OG0005441	AH003057-RA	GmISU01.20G122600.2.p, GmISU01.20G122600.1.p, GmISU01.20G122600.4.p, GmISU01.20G122600.3.p, GmISU01.10G197600.2.p, GmISU01.10G197600.1.p
OG0005442	AH013225-RA	GmISU01.11G170100.2.p, GmISU01.11G170100.3.p, GmISU01.11G170100.1.p
OG0005444	AH017718-RA	GmISU01.10G034600.1.p, GmISU01.13G097000.1.p, GmISU01.19G131000.1.p, GmISU01.03G127000.1.p
OG0005445	AH023272-RA, AH016236-RA	GmISU01.06G057800.1.p, GmISU01.04G057600.1.p
OG0005446	AH015621-RA	GmISU01.02G184000.1.p
OG0005447	AH012652-RA	GmISU01.13G122900.1.p, GmISU01.10G060800.1.p, GmISU01.03G152600.1.p, GmISU01.19G155600.1.p
OG0005448	AH023109-RA, AH016388-RA	GmISU01.02G219500.1.p, GmISU01.14G054200.1.p, GmISU01.18G024200.1.p
OG0005449	AH011831-RA, AH020143-RA	GmISU01.07G217400.6.p, GmISU01.07G217400.3.p, GmISU01.07G217400.5.p, GmISU01.17G016500.2.p, GmISU01.17G016500.6.p, GmISU01.15G095100.1.p, GmISU01.13G177800.2.p, GmISU01.13G177800.1.p
OG0005452	AH022485-RA, AH018792-RA, AH022687-RA	GmISU01.02G190300.3.p, GmISU01.14G158900.1.p, GmISU01.14G159000.1.p
OG0005453	AH006864-RA	GmISU01.09G090150.1.p, GmISU01.02G150400.1.p, GmISU01.02G150400.2.p, GmISU01.19G114400.1.p
OG0005454	AH010744-RA	GmISU01.03G206300.1.p, GmISU01.19G207400.1.p, GmISU01.19G207400.3.p, GmISU01.20G185500.1.p
OG0005455	AH012679-RA, AH021863-RA	GmISU01.19G153500.2.p, GmISU01.19G153500.1.p, GmISU01.03G150200.1.p, GmISU01.10G058400.1.p, GmISU01.13G121000.1.p
OG0005457	AH019160-RA	GmISU01.13G165400.1.p, GmISU01.15G197300.1.p, GmISU01.15G197300.2.p
OG0005458	AH021884-RA	GmISU01.02G147900.4.p, GmISU01.02G147900.1.p, GmISU01.02G147900.3.p, GmISU01.02G147900.5.p, GmISU01.02G147900.2.p, GmISU01.09G086300.4.p, GmISU01.09G086300.3.p, GmISU01.09G086300.2.p, GmISU01.09G086300.1.p
OG0005459	AH021776-RA	GmISU01.19G161600.3.p, GmISU01.19G161600.5.p, GmISU01.19G161600.4.p, GmISU01.03G159600.1.p
OG0005460	AH007186-RA	GmISU01.10G035800.1.p, GmISU01.13G098200.1.p, GmISU01.03G128100.1.p, GmISU01.20G166900.2.p, GmISU01.20G166900.1.p, GmISU01.10G149500.1.p
OG0005461	AH017025-RA	GmISU01.14G113100.1.p, GmISU01.14G113100.4.p, GmISU01.17G175600.1.p
OG0005462	AH018872-RA, AH018871-RA	GmISU01.10G071800.1.p, GmISU01.02G164000.1.p, GmISU01.02G164100.1.p, GmISU01.10G071700.1.p
OG0005463	AH020055-RA	GmISU01.07G176400.1.p, GmISU01.02G123100.1.p
OG0005464	AH017705-RA	GmISU01.10G001200.1.p, GmISU01.10G013500.1.p, GmISU01.10G013500.2.p, GmISU01.10G002300.3.p
OG0005465	AH022045-RA, AH013544-RA	GmISU01.03G128400.1.p, GmISU01.19G132400.2.p, GmISU01.19G132400.1.p
OG0005466	AH017792-RA, AH002599-RA	GmISU01.10G028500.1.p, GmISU01.02G128900.2.p, GmISU01.02G128900.1.p
OG0005467	AH022504-RA, AH013642-RA	GmISU01.15G038100.2.p, GmISU01.13G293800.1.p, GmISU01.15G038100.1.p
OG0005469	AH023712-RA, AH016786-RA	GmISU01.06G019100.1.p, GmISU01.04G020700.1.p
OG0005470	AH019757-RA	GmISU01.14G155000.1.p, GmISU01.02G186200.1.p
OG0005471	AH001119-RA, AH000065-RA	GmISU01.14G031800.1.p, GmISU01.02G241400.1.p
OG0005472	AH019313-RA, AH015629-RA	GmISU01.08G099100.3.p, GmISU01.05G125600.4.p, GmISU01.08G099100.1.p, GmISU01.08G099100.2.p, GmISU01.05G125600.2.p, GmISU01.05G125600.3.p
OG0005473	AH016159-RA	GmISU01.06G080100.3.p, GmISU01.06G080100.4.p, GmISU01.06G080100.5.p, GmISU01.04G078700.1.p, GmISU01.06G080100.1.p, GmISU01.06G080100.2.p
OG0005475	AH006424-RA	GmISU01.11G070200.1.p, GmISU01.01G129400.1.p, GmISU01.16G105500.1.p, GmISU01.02G044900.1.p
OG0005476	AH008984-RA	GmISU01.14G137500.1.p, GmISU01.13G056400.1.p, GmISU01.06G101100.1.p
OG0005477	AH005934-RA, AH003623-RA	GmISU01.17G226700.1.p, GmISU01.14G185200.1.p, GmISU01.01G126100.1.p, GmISU01.11G073200.1.p
OG0005479	AH001638-RA, AH000958-RA	GmISU01.02G092800.1.p, GmISU01.02G092800.2.p, GmISU01.07G183000.2.p, GmISU01.07G183000.1.p
OG0005480	AH011754-RA	GmISU01.20G032400.1.p, GmISU01.20G032400.2.p, GmISU01.02G237500.2.p, GmISU01.02G237500.3.p, GmISU01.14G035300.1.p
OG0005481	AH021252-RA	GmISU01.05G142100.1.p
OG0005482	AH008832-RA	GmISU01.14G149000.3.p, GmISU01.14G149000.2.p, GmISU01.02G179800.1.p, GmISU01.06G085400.1.p, GmISU01.04G083900.1.p
OG0005483	AH007599-RA, AH009784-RA, AH013252-RA, AH014856-RA	GmISU01.09G014700.1.p, GmISU01.15G112500.1.p
OG0005484	AH001028-RA	GmISU01.09G191300.2.p, GmISU01.09G191300.3.p
OG0005484	AH003296-RA	GmISU01.06G148200.1.p
OG0005485	AH008721-RA	GmISU01.14G145100.1.p, GmISU01.02G175300.3.p
OG0005485	AH000909-RA, AH001576-RA	GmISU01.15G051300.1.p, GmISU01.08G165400.1.p, GmISU01.08G065300.1.p, GmISU01.13G023600.1.p
OG0005486	AH018297-RA	GmISU01.17G132000.2.p, GmISU01.17G132000.1.p, GmISU01.17G132000.3.p
OG0005487	AH009466-RA	GmISU01.07G044000.2.p, GmISU01.16G013900.2.p, GmISU01.16G013900.1.p, GmISU01.07G044000.1.p
OG0005488	AH000664-RA	GmISU01.01G199500.1.p, GmISU01.01G199500.2.p, GmISU01.11G002000.1.p, GmISU01.11G002000.3.p, GmISU01.11G002000.2.p
OG0005490	AH011957-RA	GmISU01.08G023400.3.p, GmISU01.08G023400.2.p, GmISU01.08G023400.1.p, GmISU01.08G023400.4.p
OG0005491	AH002255-RA	GmISU01.12G029000.1.p, GmISU01.11G098100.1.p
OG0005492	AH005686-RA, AH010248-RA, AH003894-RA, AH005687-RA, AH003895-RA	GmISU01.20G098900.1.p
OG0005493	AH011661-RA	GmISU01.14G079400.3.p, GmISU01.14G079400.2.p, GmISU01.17G208700.1.p
OG0005494	AH003174-RA	GmISU01.01G177800.1.p, GmISU01.01G177800.2.p, GmISU01.11G021500.1.p
OG0005495	AH005609-RA	GmISU01.02G051900.1.p, GmISU01.01G137700.3.p, GmISU01.11G061400.1.p, GmISU01.01G137700.1.p
OG0005496	AH023627-RA	GmISU01.09G191600.2.p, GmISU01.09G191600.1.p, GmISU01.12G002700.2.p, GmISU01.12G002700.1.p
OG0005497	AH005271-RA	GmISU01.12G135000.2.p, GmISU01.12G135000.1.p, GmISU01.12G135000.3.p, GmISU01.16G000300.3.p, GmISU01.16G000300.2.p, GmISU01.12G135000.4.p, GmISU01.16G000300.1.p
OG0005498	AH007109-RA	GmISU01.07G204600.1.p, GmISU01.17G028800.1.p, GmISU01.15G131800.1.p
OG0005499	AH017891-RA	GmISU01.20G097600.5.p, GmISU01.20G097600.1.p, GmISU01.20G097600.4.p, GmISU01.20G097600.2.p, GmISU01.20G097600.3.p, GmISU01.10G220700.1.p
OG0005500	AH016682-RA	GmISU01.14G081800.1.p, GmISU01.14G081800.2.p, GmISU01.17G206200.1.p
OG0005501	AH015824-RA	GmISU01.14G121100.1.p, GmISU01.04G207500.1.p, GmISU01.06G101700.1.p, GmISU01.06G101700.2.p
OG0005502	AH003955-RA	GmISU01.18G128900.3.p, GmISU01.18G128900.4.p, GmISU01.18G128900.1.p, GmISU01.18G128900.2.p, GmISU01.08G316500.1.p
OG0005503	AH013471-RA	GmISU01.08G071000.3.p, GmISU01.05G099000.1.p, GmISU01.08G071000.1.p, GmISU01.05G098900.1.p
OG0005504	AH003597-RA	GmISU01.11G091500.1.p, GmISU01.11G091500.2.p
OG0005504	AH000009-RA	GmISU01.09G237400.1.p, GmISU01.19G083200.1.p
OG0005506	AH023595-RA	GmISU01.06G101600.1.p, GmISU01.04G207700.1.p, GmISU01.14G120900.1.p
OG0005507	AH018749-RA	GmISU01.05G048700.1.p, GmISU01.17G125000.1.p, GmISU01.17G125000.2.p
OG0005508	AH005919-RA	GmISU01.06G042100.1.p, GmISU01.04G042700.1.p, GmISU01.04G042700.4.p, GmISU01.04G042700.3.p, GmISU01.04G042700.2.p
OG0005509	AH008895-RA	GmISU01.04G087500.1.p, GmISU01.04G087500.2.p, GmISU01.06G089500.5.p, GmISU01.06G089500.4.p, GmISU01.06G089500.3.p, GmISU01.06G089500.2.p, GmISU01.06G089500.1.p
OG0005510	AH023755-RA, AH023756-RA	GmISU01.06G014000.1.p, GmISU01.04G015300.1.p, GmISU01.11G079900.1.p, GmISU01.01G120600.1.p
OG0005511	AH005700-RA	GmISU01.01G154200.1.p
OG0005512	AH001692-RA	GmISU01.10G220900.1.p, GmISU01.20G097400.1.p
OG0005514	AH001318-RA	GmISU01.13G108800.1.p, GmISU01.09G082100.1.p
OG0005515	AH023672-RA	GmISU01.04G018000.1.p, GmISU01.06G016700.1.p
OG0005516	AH014898-RA	GmISU01.15G107100.1.p, GmISU01.09G010300.1.p, GmISU01.07G228400.1.p, GmISU01.07G228400.3.p, GmISU01.07G228400.2.p
OG0005517	AH001263-RA	GmISU01.12G166900.2.p, GmISU01.12G166900.1.p, GmISU01.06G254500.1.p
OG0005519	AH000428-RA	GmISU01.13G267500.1.p, GmISU01.13G267500.2.p, GmISU01.13G267600.1.p, GmISU01.06G257200.1.p, GmISU01.12G091700.1.p, GmISU01.13G267400.1.p
OG0005520	AH008788-RA	GmISU01.09G002000.3.p, GmISU01.09G002000.1.p, GmISU01.09G002000.2.p, GmISU01.12G204900.1.p
OG0005521	AH004992-RA	GmISU01.15G182500.2.p, GmISU01.15G182500.1.p
OG0005522	AH009506-RA, AH007979-RA	GmISU01.02G079200.1.p
OG0005523	AH011089-RA	GmISU01.09G136600.2.p, GmISU01.09G136600.1.p
OG0005525	AH015263-RA	GmISU01.13G201700.1.p, GmISU01.13G201700.2.p, GmISU01.07G171000.3.p, GmISU01.07G171000.4.p, GmISU01.07G171000.2.p, GmISU01.07G171000.6.p, GmISU01.07G171000.5.p, GmISU01.13G146300.1.p, GmISU01.07G171000.7.p
OG0005526	AH009312-RA	GmISU01.13G272400.3.p, GmISU01.13G272400.2.p, GmISU01.13G272400.1.p
OG0005527	AH000411-RA	GmISU01.06G245900.1.p, GmISU01.12G102400.1.p
OG0005528	AH007905-RA	GmISU01.05G065900.1.p, GmISU01.19G059400.2.p, GmISU01.19G059400.1.p
OG0005529	AH014936-RA	GmISU01.07G226700.1.p
OG0005530	AH020806-RA, AH005293-RA	GmISU01.16G021200.3.p, GmISU01.16G021200.2.p, GmISU01.16G021200.1.p, GmISU01.07G050900.3.p, GmISU01.07G050900.2.p
OG0005531	AH001172-RA	GmISU01.13G010000.2.p, GmISU01.13G010000.1.p, GmISU01.09G010700.1.p, GmISU01.15G107500.1.p
OG0005532	AH014916-RA	GmISU01.15G106000.1.p, GmISU01.09G009300.1.p
OG0005532	AH004563-RA	GmISU01.18G227300.1.p, GmISU01.18G227500.1.p
OG0005533	AH016015-RA	GmISU01.07G172600.1.p, GmISU01.07G172600.3.p, GmISU01.13G143900.2.p
OG0005534	AH021477-RA, AH014946-RA	GmISU01.09G006800.1.p, GmISU01.15G103700.1.p
OG0005535	AH011717-RA, AH020032-RA	GmISU01.08G158800.1.p, GmISU01.08G158800.3.p, GmISU01.08G158800.2.p, GmISU01.15G212200.1.p
OG0005536	AH008135-RA	GmISU01.12G122000.3.p, GmISU01.12G122000.1.p, GmISU01.06G214600.2.p, GmISU01.06G214600.1.p
OG0005537	AH005114-RA, AH005115-RA	GmISU01.06G149400.1.p, GmISU01.04G164100.1.p, GmISU01.05G169100.1.p
OG0005538	AH019037-RA	GmISU01.14G093000.1.p, GmISU01.14G093000.4.p, GmISU01.14G093000.2.p, GmISU01.17G195500.1.p, GmISU01.06G051000.1.p, GmISU01.04G052500.1.p, GmISU01.04G052500.2.p
OG0005539	AH009105-RA	GmISU01.18G070500.1.p, GmISU01.08G242000.1.p
OG0005541	AH001512-RA	GmISU01.08G241600.6.p, GmISU01.08G241600.2.p, GmISU01.16G083000.2.p, GmISU01.16G083000.3.p, GmISU01.16G083000.1.p
OG0005542	AH001923-RA	GmISU01.15G005300.1.p, GmISU01.13G325300.1.p, GmISU01.07G025500.1.p, GmISU01.08G200000.2.p, GmISU01.08G200000.1.p
OG0005543	AH015368-RA, AH015367-RA	GmISU01.17G180300.1.p, GmISU01.14G107900.2.p
OG0005544	AH014308-RA	GmISU01.09G065700.1.p, GmISU01.09G065700.2.p, GmISU01.15G163200.1.p, GmISU01.17G041800.1.p, GmISU01.13G085600.1.p
OG0005545	AH020824-RA	GmISU01.12G008300.1.p, GmISU01.12G008300.2.p, GmISU01.12G008300.3.p, GmISU01.09G185800.8.p, GmISU01.09G185800.7.p
