Orthogroup	A_hypochondriacus.proteins	B_vulgaris.proteins
OG0006361	AH006718-RA, AH020415-RA	Bevul.3G204000.1.p
OG0006362	AH011151-RA	Bevul.4G208600.1.p
OG0006363	AH018512-RA	Bevul.5G106300.1.p
OG0006364	AH007091-RA	Bevul.3G137700.1.p
OG0006365	AH003095-RA, AH018795-RA	Bevul.5G050300.1.p
OG0006366	AH006337-RA, AH020076-RA	Bevul.3G107300.1.p
OG0006367	AH009360-RA	Bevul.3G066400.1.p, Bevul.1G145300.1.p
OG0006368	AH002736-RA	Bevul.5G259700.1.p
OG0006369	AH023140-RA	Bevul.2G224300.1.p, Bevul.2G249100.1.p
OG0006370	AH020285-RA	Bevul.3G175900.1.p
OG0006371	AH007503-RA	Bevul.4G219000.1.p
OG0006372	AH008667-RA	Bevul.1G082800.1.p
OG0006373	AH001664-RA	Bevul.9G235300.1.p, Bevul.9G235300.2.p
OG0006374	AH001819-RA	Bevul.9G171500.1.p
OG0006375	AH017398-RA	Bevul.6G155600.1.p
OG0006377	AH023562-RA	Bevul.1G066800.1.p
OG0006378	AH018729-RA	Bevul.5G041300.1.p
OG0006379	AH021190-RA, AH014627-RA	Bevul.8G112000.1.p
OG0006381	AH003747-RA	Bevul.6G104000.1.p
OG0006382	AH008851-RA	Bevul.1G115000.1.p
OG0006383	AH015642-RA, AH019321-RA	Bevul.2G034200.1.p
OG0006384	AH008847-RA	Bevul.1G114400.1.p
OG0006385	AH022178-RA	Bevul.1G116500.1.p
OG0006386	AH010367-RA	Bevul.4G181400.1.p
OG0006386	AH010368-RA	Bevul.4G181500.1.p
OG0006387	AH023682-RA	Bevul.1G036600.1.p
OG0006388	AH018936-RA, AH005952-RA	Bevul.6G072500.1.p
OG0006389	AH005747-RA	Bevul.6G019500.1.p
OG0006390	AH003609-RA	Bevul.6G077000.1.p
OG0006391	AH013920-RA, AH013231-RA, AH019087-RA	Bevul.8G104800.1.p, Bevul.7G104600.1.p
OG0006392	AH006168-RA	Bevul.6G008400.1.p
OG0006393	AH003887-RA	Bevul.6G011500.1.p
OG0006394	AH008880-RA	Bevul.1G119200.1.p
OG0006395	AH008901-RA	Bevul.1G218700.1.p
OG0006396	AH003833-RA	Bevul.6G007300.1.p
OG0006396	AH008410-RA	Bevul.1G004100.1.p
OG0006397	AH019952-RA, AH011647-RA	Bevul.3G103400.1.p, Bevul.3G103600.1.p
OG0006398	AH021262-RA	Bevul.8G099100.1.p
OG0006399	AH023664-RA, AH016775-RA	Bevul.4G028800.1.p, Bevul.1G025700.1.p
OG0006400	AH001519-RA	Bevul.9G109500.1.p, Bevul.9G109500.2.p
OG0006401	AH003707-RA	Bevul.6G065400.1.p
OG0006402	AH016740-RA, AH008320-RA	Bevul.1G018400.1.p
OG0006403	AH004230-RA	Bevul.6G159500.1.p
OG0006404	AH000072-RA	Bevul.9G016700.3.p, Bevul.9G016700.4.p, Bevul.9G016700.1.p, Bevul.9G016700.2.p
OG0006405	AH023657-RA, AH016767-RA	Bevul.1G024500.1.p
OG0006406	AH009382-RA	Bevul.7G054400.1.p
OG0006407	AH023670-RA	Bevul.1G038700.1.p
OG0006408	AH002977-RA	Bevul.5G156800.1.p
OG0006409	AH023018-RA	Bevul.2G223900.1.p
OG0006410	AH003984-RA	Bevul.6G090900.1.p
OG0006410	AH003985-RA	Bevul.6G090500.1.p
OG0006410	AH005916-RA	Bevul.6G090600.1.p, Bevul.6G090700.1.p, Bevul.6G090800.1.p
OG0006411	AH008614-RA	Bevul.1G054500.1.p
OG0006412	AH005828-RA	Bevul.6G101200.1.p
OG0006413	AH000293-RA	Bevul.5G256900.1.p
OG0006414	AH008749-RA	Bevul.1G099800.1.p
OG0006415	AH005270-RA, AH004227-RA	Bevul.6G159000.1.p
OG0006416	AH000682-RA, AH002462-RA	Bevul.4G134900.1.p
OG0006417	AH007464-RA, AH011125-RA	Bevul.4G213400.1.p
OG0006417	AH021214-RA	Bevul.8G105900.1.p
OG0006418	AH001053-RA	Bevul.1G056700.1.p
OG0006419	AH016759-RA	Bevul.1G023400.1.p
OG0006420	AH006477-RA	Bevul.6G105000.1.p
OG0006421	AH001613-RA	Bevul.9G154100.2.p, Bevul.9G154100.3.p, Bevul.9G154100.1.p
OG0006422	AH008846-RA	Bevul.1G114300.1.p
OG0006423	AH005599-RA	Bevul.6G086600.1.p
OG0006423	AH016950-RA	Bevul.1G053400.1.p
OG0006424	AH023687-RA	Bevul.1G034500.1.p
OG0006425	AH002444-RA	Bevul.9G219700.3.p
OG0006425	AH002446-RA	Bevul.9G219700.2.p, Bevul.9G219700.1.p
OG0006426	AH008354-RA	Bevul.1G012700.1.p
OG0006427	AH005785-RA	Bevul.6G024300.1.p
OG0006428	AH007477-RA, AH008499-RA, AH008498-RA	Bevul.1G076300.1.p
OG0006429	AH000546-RA	Bevul.9G162200.1.p
OG0006430	AH001862-RA	Bevul.9G177700.1.p
OG0006433	AH008036-RA	Bevul.4G069000.1.p
OG0006434	AH021403-RA	Bevul.8G013900.1.p
OG0006435	AH015218-RA	Bevul.8G027600.1.p
OG0006437	AH008102-RA	Bevul.4G047500.1.p
OG0006438	AH022727-RA	Bevul.2G192300.3.p, Bevul.2G192300.1.p, Bevul.2G192300.4.p, Bevul.2G192300.5.p, Bevul.2G192300.2.p
OG0006439	AH010180-RA	Bevul.4G031300.1.p
OG0006440	AH007955-RA	Bevul.4G088200.1.p
OG0006441	AH001364-RA, AH000307-RA	Bevul.9G079800.1.p
OG0006442	AH018489-RA	Bevul.5G102500.1.p
OG0006443	AH010128-RA, AH008019-RA	Bevul.4G073700.1.p
OG0006444	AH001168-RA	Bevul.9G028600.1.p
OG0006445	AH021513-RA	Bevul.8G057900.1.p
OG0006446	AH009192-RA	Bevul.1G128100.1.p, Bevul.1G128000.1.p
OG0006446	AH002918-RA	Bevul.1G127900.1.p
OG0006446	AH009191-RA	Bevul.1G127800.1.p
OG0006446	AH009190-RA, AH009188-RA	Bevul.1G127700.1.p, Bevul.1G127600.1.p
OG0006447	AH021505-RA, AH021505-RB, AH015009-RA	Bevul.8G056300.1.p
OG0006448	AH001264-RA, AH000440-RA	Bevul.9G072300.1.p
OG0006449	AH016018-RA	Bevul.2G127500.1.p, Bevul.2G127500.2.p
OG0006450	AH020505-RA, AH006600-RA	Bevul.3G219700.1.p
OG0006451	AH012209-RA	Bevul.3G089000.1.p
OG0006452	AH020360-RA	Bevul.3G189200.1.p
OG0006453	AH013434-RA	Bevul.7G161700.1.p
OG0006454	AH007991-RA	Bevul.4G080400.1.p
OG0006455	AH003813-RA	Bevul.6G022500.1.p
OG0006457	AH015276-RA	Bevul.8G018700.1.p
OG0006458	AH015093-RA, AH021620-RA, AH021621-RA	Bevul.8G033200.1.p
OG0006459	AH021453-RA	Bevul.8G043000.1.p
OG0006460	AH013543-RA	Bevul.7G111100.1.p, Bevul.7G111000.1.p
OG0006461	AH013449-RA	Bevul.7G005700.1.p, Bevul.7G159700.1.p
OG0006462	AH019965-RA	Bevul.3G098200.1.p
OG0006463	AH012421-RA	Bevul.3G067300.1.p
OG0006464	AH002059-RA	Bevul.9G203100.1.p
OG0006465	AH009357-RA	Bevul.1G145700.1.p
OG0006466	AH002432-RA	Bevul.9G218300.2.p, Bevul.9G218300.1.p, Bevul.9G218300.3.p
OG0006467	AH015949-RA, AH023489-RA	Bevul.2G105100.1.p
OG0006469	AH019502-RA	Bevul.3G080400.1.p
OG0006470	AH011093-RA	Bevul.4G217300.1.p
OG0006471	AH020872-RA, AH014516-RA	Bevul.8G195600.1.p
OG0006472	AH018011-RA	Bevul.5G025600.1.p
OG0006473	AH017135-RA	Bevul.2G152100.1.p
OG0006474	AH004342-RA	Bevul.6G229400.1.p
OG0006474	AH014172-RA	Bevul.8G186200.1.p
OG0006475	AH022295-RA	Bevul.7G159600.1.p
OG0006476	AH010683-RA	Bevul.2G243000.1.p, Bevul.4G115100.1.p
OG0006477	AH020374-RA	Bevul.3G191600.1.p
OG0006479	AH019458-RA	Bevul.3G088700.1.p
OG0006480	AH021905-RA	Bevul.7G116000.1.p
OG0006481	AH010571-RA	Bevul.1G161900.1.p
OG0006482	AH009209-RA	Bevul.1G121900.1.p
OG0006483	AH019179-RA	Bevul.2G015600.1.p
OG0006484	AH007527-RA	Bevul.1G162000.1.p
OG0006485	AH017145-RA	Bevul.2G148300.1.p
OG0006486	AH017148-RA	Bevul.2G146800.2.p, Bevul.2G146800.3.p, Bevul.2G146800.1.p
OG0006488	AH002050-RA	Bevul.9G201900.1.p
OG0006489	AH012152-RA	Bevul.3G094900.1.p
OG0006490	AH019638-RA	Bevul.3G043400.1.p
OG0006491	AH020685-RA, AH005884-RA	Bevul.8G168800.1.p
OG0006492	AH014186-RA, AH020836-RA	Bevul.8G190500.1.p
OG0006493	AH021038-RA	Bevul.8G153800.1.p
OG0006494	AH000506-RA	Bevul.3G041200.1.p
OG0006495	AH003132-RA, AH018723-RA	Bevul.5G040300.1.p
OG0006496	AH014511-RA, AH020875-RA, AH020876-RA	Bevul.8G196100.1.p
OG0006497	AH009045-RA, AH006194-RA	Bevul.1G142000.1.p
OG0006498	AH022307-RA	Bevul.7G161400.1.p
OG0006500	AH020925-RA, AH014447-RA	Bevul.8G204800.1.p
OG0006501	AH023267-RB, AH016244-RA, AH023267-RA	Bevul.2G171500.1.p
OG0006502	AH009199-RA	Bevul.1G123400.1.p
OG0006503	AH015081-RA, AH021630-RA	Bevul.8G030900.1.p
OG0006504	AH021083-RA	Bevul.8G145700.1.p
OG0006505	AH001985-RA	Bevul.9G193700.1.p
OG0006506	AH016182-RA, AH023329-RA	Bevul.2G161500.1.p
OG0006507	AH013494-RA	Bevul.7G151100.1.p
OG0006508	AH014019-RA	Bevul.8G172800.1.p
OG0006509	AH001033-RA	Bevul.9G009100.2.p, Bevul.9G009100.3.p, Bevul.9G009100.1.p, Bevul.9G009100.4.p
OG0006511	AH009181-RA	Bevul.1G127100.1.p
OG0006513	AH012261-RA	Bevul.3G088300.1.p
OG0006514	AH019971-RA	Bevul.3G064300.1.p
OG0006515	AH012091-RA	Bevul.3G049000.1.p
OG0006516	AH014003-RA	Bevul.8G171500.1.p
OG0006517	AH014345-RA	Bevul.8G156900.1.p
OG0006518	AH021217-RA, AH014342-RA	Bevul.8G104500.1.p
OG0006519	AH008240-RA	Bevul.4G018900.1.p
OG0006520	AH000486-RA, AH002128-RA	Bevul.9G215400.1.p
OG0006521	AH014102-RA	Bevul.3G065500.1.p
OG0006522	AH000642-RA	Bevul.9G227700.2.p, Bevul.9G227700.1.p
OG0006523	AH014228-RA	Bevul.8G129100.1.p
OG0006523	AH016087-RA	Bevul.2G145000.1.p
OG0006524	AH014092-RA	Bevul.8G177700.1.p
OG0006525	AH011355-RA	Bevul.5G061600.1.p
OG0006526	AH020151-RA	Bevul.3G131600.1.p
OG0006527	AH001989-RA	Bevul.9G194000.2.p, Bevul.9G194000.3.p, Bevul.9G194000.4.p, Bevul.9G194000.1.p
OG0006528	AH018191-RA, AH011369-RA	Bevul.5G064200.1.p
OG0006529	AH016070-RA	Bevul.2G141400.1.p
OG0006530	AH017200-RA	Bevul.5G145100.1.p
OG0006531	AH021745-RA	Bevul.7G012100.1.p, Bevul.7G012100.2.p
OG0006532	AH014638-RA	Bevul.8G115700.1.p
OG0006533	AH017137-RA, AH020772-RA	Bevul.5G044500.1.p
OG0006534	AH018758-RA	Bevul.5G044700.1.p
OG0006534	AH012269-RA, AH019467-RA	Bevul.3G087000.1.p
OG0006535	AH009114-RA	Bevul.1G132300.1.p
OG0006536	AH019468-RA	Bevul.3G087100.1.p
OG0006537	AH014190-RA	Bevul.8G191500.1.p
OG0006537	AH002074-RA	Bevul.3G126000.1.p
OG0006538	AH017900-RA	Bevul.5G223500.1.p
OG0006539	AH020909-RA	Bevul.8G202300.1.p
OG0006540	AH000195-RA	Bevul.9G045400.1.p
OG0006540	AH012776-RA	Bevul.7G056600.1.p
OG0006541	AH019116-RA	Bevul.7G156100.1.p
OG0006542	AH001452-RA	Bevul.9G101200.1.p
OG0006543	AH022505-RA	Bevul.7G210300.1.p
OG0006544	AH002023-RA, AH002022-RA	Bevul.7G027300.1.p, Bevul.7G027300.2.p
OG0006545	AH014514-RA	Bevul.8G195800.1.p
OG0006546	AH014013-RA	Bevul.8G099700.1.p
OG0006547	AH006561-RA	Bevul.3G223500.1.p
OG0006548	AH013716-RA	Bevul.5G137100.1.p
OG0006549	AH020400-RA, AH006760-RA	Bevul.3G196300.1.p
OG0006550	AH022594-RA	Bevul.7G179900.1.p
OG0006551	AH019140-RA	Bevul.2G071300.1.p
OG0006552	AH014958-RA	Bevul.8G049700.1.p
OG0006553	AH007936-RA	Bevul.4G103500.1.p
OG0006554	AH014290-RA, AH021068-RA, AH021067-RA	Bevul.8G150000.1.p
OG0006555	AH021027-RA	Bevul.8G156000.1.p
OG0006556	AH015931-RA	Bevul.2G112200.1.p
OG0006557	AH014990-RA	Bevul.4G004100.1.p
OG0006558	AH009727-RA	Bevul.4G001600.1.p
OG0006559	AH003015-RA	Bevul.5G119100.1.p
OG0006560	AH017476-RA	Bevul.5G174000.1.p
OG0006561	AH001227-RA	Bevul.9G039300.1.p, Bevul.9G039500.1.p, Bevul.9G039600.1.p
OG0006561	AH001226-RA	Bevul.9G039200.1.p
OG0006562	AH000369-RA	Bevul.8G002500.1.p
OG0006564	AH012505-RA	Bevul.7G011800.1.p
OG0006565	AH022625-RA	Bevul.7G180100.1.p
OG0006566	AH008016-RA	Bevul.4G074100.1.p
OG0006566	AH011680-RA	Bevul.3G148400.1.p
OG0006567	AH010235-RA, AH013678-RA	Bevul.4G093700.1.p
OG0006568	AH017396-RA	Bevul.5G164000.1.p
OG0006569	AH010120-RA	Bevul.4G071900.1.p
OG0006570	AH022292-RA, AH013455-RA	Bevul.7G158900.1.p
OG0006571	AH019443-RA, AH019445-RA, AH019441-RA	Bevul.4G164400.1.p
OG0006572	AH001147-RA	Bevul.9G019400.1.p
OG0006573	AH012755-RA	Bevul.7G051700.1.p
OG0006574	AH003006-RA	Bevul.5G131800.1.p
OG0006575	AH022526-RA	Bevul.7G206800.1.p
OG0006576	AH018962-RA	Bevul.5G137500.1.p
OG0006577	AH010764-RA	Bevul.2G085600.1.p
OG0006578	AH000264-RA	Bevul.4G180700.1.p
OG0006579	AH010323-RA	Bevul.4G108900.1.p
OG0006580	AH013134-RA	Bevul.7G133700.1.p, Bevul.7G133600.1.p, Bevul.7G133900.1.p
OG0006581	AH020503-RA	Bevul.3G219500.1.p
OG0006582	AH012564-RA	Bevul.7G018800.1.p
OG0006582	AH012566-RA	Bevul.7G019100.1.p
OG0006583	AH001288-RA	Bevul.9G063200.2.p, Bevul.9G063200.1.p
OG0006584	AH013157-RA	Bevul.7G214400.1.p
OG0006585	AH001183-RA, AH001181-RA	Bevul.7G196400.1.p
OG0006586	AH018307-RA	Bevul.5G112900.1.p
OG0006587	AH001305-RA, AH001306-RA	Bevul.5G135600.1.p
OG0006588	AH022661-RA	Bevul.7G189100.1.p
OG0006589	AH020280-RA	Bevul.3G175200.1.p
OG0006589	AH007642-RA	Bevul.4G249900.1.p
OG0006590	AH023116-RA, AH016392-RA	Bevul.2G245400.1.p
OG0006591	AH018831-RA	Bevul.5G054300.1.p
OG0006592	AH016002-RA	Bevul.2G086900.2.p, Bevul.2G086900.1.p
OG0006593	AH014706-RA	Bevul.8G090700.1.p
OG0006594	AH013778-RA	Bevul.7G194400.1.p
OG0006595	AH013764-RA	Bevul.7G196900.1.p
OG0006596	AH018859-RA	Bevul.5G012600.1.p
OG0006597	AH013182-RA	Bevul.7G218100.1.p
OG0006597	AH016332-RA	Bevul.2G248900.1.p
OG0006598	AH021613-RA, AH015104-RA	Bevul.8G000300.1.p
OG0006599	AH021293-RA	Bevul.8G091700.1.p
OG0006600	AH012809-RA	Bevul.7G073300.3.p, Bevul.7G073300.4.p, Bevul.7G073300.1.p, Bevul.7G073300.2.p
OG0006602	AH006850-RA, AH018856-RA	Bevul.5G058000.1.p
OG0006603	AH014883-RA	Bevul.8G039200.1.p
OG0006603	AH001196-RA	Bevul.9G032900.1.p
OG0006603	AH011427-RA, AH018251-RA	Bevul.5G076600.1.p
OG0006604	AH013143-RA	Bevul.7G212700.1.p
OG0006605	AH023432-RA	Bevul.2G094800.3.p, Bevul.2G094800.1.p, Bevul.2G094800.7.p, Bevul.2G094800.2.p, Bevul.2G094800.6.p, Bevul.2G094800.5.p, Bevul.2G094800.4.p
OG0006606	AH015482-RA	Bevul.4G222300.1.p
OG0006607	AH021812-RA, AH012599-RA	Bevul.7G026500.1.p
OG0006608	AH000150-RA, AH001315-RA	Bevul.9G055700.1.p
OG0006609	AH006317-RA	Bevul.6G048700.1.p
OG0006610	AH000235-RA	Bevul.9G063600.1.p
OG0006611	AH016298-RA	Bevul.2G182300.2.p, Bevul.2G182300.1.p
OG0006612	AH016527-RA, AH022874-RA	Bevul.2G211900.1.p
OG0006613	AH019096-RA	Bevul.5G131900.1.p
OG0006614	AH013727-RA	Bevul.7G201600.1.p
OG0006615	AH022640-RA	Bevul.7G185200.1.p
OG0006615	AH019073-RA	Bevul.5G124700.1.p
OG0006616	AH017409-RA	Bevul.7G042600.1.p, Bevul.5G165500.1.p
OG0006618	AH018655-RA	Bevul.5G032200.1.p
OG0006619	AH005039-RA	Bevul.6G233400.1.p, Bevul.6G233300.1.p
OG0006620	AH010830-RA	Bevul.4G139700.1.p
OG0006621	AH020047-RA	Bevul.1G129400.1.p
OG0006622	AH019850-RA	Bevul.3G057700.1.p
OG0006623	AH006442-RA	Bevul.6G034300.1.p
OG0006624	AH009406-RA	Bevul.1G209600.1.p
OG0006625	AH006206-RA	Bevul.6G054100.1.p
OG0006626	AH019651-RA	Bevul.3G042000.1.p
OG0006627	AH022650-RA, AH018057-RA	Bevul.2G224100.1.p, Bevul.5G020800.1.p
OG0006628	AH007062-RA, AH007064-RA	Bevul.3G097200.1.p
OG0006629	AH017246-RA	Bevul.5G157100.1.p
OG0006630	AH014405-RA	Bevul.8G210500.1.p
OG0006631	AH009439-RA	Bevul.1G205400.1.p
OG0006632	AH004624-RA	Bevul.6G198000.1.p
OG0006633	AH003372-RA	Bevul.6G039000.1.p
OG0006634	AH007689-RA, AH010930-RA	Bevul.4G240600.1.p
OG0006635	AH004908-RA	Bevul.6G214800.1.p
OG0006636	AH009446-RA	Bevul.1G204400.1.p
OG0006637	AH008510-RA	Bevul.1G074900.1.p
OG0006638	AH019754-RA	Bevul.3G022600.1.p
OG0006639	AH015878-RA	Bevul.2G082900.1.p
OG0006640	AH019750-RA	Bevul.3G023000.1.p
OG0006641	AH014660-RA	Bevul.8G117900.1.p
OG0006643	AH004304-RA	Bevul.4G195000.1.p
OG0006644	AH010729-RA, AH007863-RA	Bevul.4G124600.1.p
OG0006645	AH006965-RA	Bevul.3G105300.1.p
OG0006647	AH001769-RA	Bevul.9G161400.1.p
OG0006648	AH009243-RA	Bevul.1G166700.1.p
OG0006649	AH012952-RA	Bevul.7G102300.1.p
OG0006650	AH009611-RA	Bevul.1G186100.1.p
OG0006651	AH018081-RA	Bevul.5G018400.1.p
OG0006652	AH019571-RA	Bevul.1G098900.1.p
OG0006653	AH007747-RA	Bevul.4G135200.1.p
OG0006654	AH007168-RA	Bevul.3G003300.1.p
OG0006655	AH005123-RA, AH004618-RA	Bevul.6G197500.1.p
OG0006656	AH019709-RA	Bevul.1G073800.1.p, Bevul.4G160700.1.p
OG0006657	AH003994-RA, AH005605-RA	Bevul.6G085200.1.p
OG0006658	AH018286-RA	Bevul.5G066800.1.p
OG0006659	AH005898-RA, AH003948-RA	Bevul.6G093400.1.p
OG0006660	AH015660-RA	Bevul.2G039400.1.p, Bevul.2G039400.2.p
OG0006660	AH017376-RA	Bevul.5G160700.1.p
OG0006661	AH002435-RA	Bevul.9G218600.3.p, Bevul.9G218600.2.p, Bevul.9G218600.1.p, Bevul.9G218600.5.p, Bevul.9G218600.7.p, Bevul.9G218600.6.p, Bevul.9G218600.4.p
OG0006662	AH001915-RA	Bevul.9G186500.1.p, Bevul.9G186500.2.p
OG0006663	AH004369-RA	Bevul.6G232800.1.p
OG0006664	AH006980-RA, AH020208-RA	Bevul.3G157100.1.p
OG0006665	AH017292-RA	Bevul.5G262200.1.p
OG0006666	AH003954-RA	Bevul.6G094800.1.p
OG0006667	AH009386-RA	Bevul.1G211500.1.p
OG0006668	AH020175-RA	Bevul.3G152900.1.p
OG0006669	AH002464-RA	Bevul.9G222400.1.p
OG0006670	AH005126-RA	Bevul.6G198300.1.p
OG0006671	AH004533-RA, AH005199-RA	Bevul.6G204500.1.p, Bevul.6G051400.1.p
OG0006672	AH009656-RA	Bevul.1G181100.1.p
OG0006673	AH022132-RA	Bevul.7G118600.1.p
OG0006674	AH007546-RA	Bevul.4G142600.1.p
OG0006676	AH015832-RA	Bevul.4G080800.1.p, Bevul.2G073100.1.p, Bevul.4G080600.1.p
OG0006677	AH003926-RA	Bevul.6G100300.1.p
OG0006678	AH021029-RA	Bevul.8G155800.1.p
OG0006679	AH016702-RA	Bevul.1G015000.1.p
OG0006680	AH001848-RA	Bevul.9G175300.2.p, Bevul.9G175300.1.p
OG0006682	AH017161-RA, AH018430-RA	Bevul.2G082600.1.p
OG0006683	AH003307-RA, AH010332-RA	Bevul.4G190800.1.p
OG0006684	AH002199-RA	Bevul.9G143700.3.p, Bevul.9G143700.4.p, Bevul.9G143700.8.p, Bevul.9G143700.1.p, Bevul.9G143700.5.p, Bevul.9G143700.7.p, Bevul.9G143700.6.p, Bevul.9G143700.2.p
OG0006685	AH000572-RA, AH001807-RA	Bevul.9G170300.1.p
OG0006686	AH018714-RA	Bevul.5G039200.1.p
OG0006687	AH009638-RA	Bevul.1G182600.1.p
OG0006688	AH005450-RA	Bevul.6G116200.1.p
OG0006689	AH005707-RA, AH003868-RA	Bevul.6G013800.1.p
OG0006690	AH023710-RA	Bevul.1G029300.1.p
OG0006691	AH004448-RA, AH004833-RA	Bevul.6G181900.1.p
OG0006692	AH002708-RA	Bevul.5G257000.1.p
OG0006693	AH022368-RA	Bevul.7G143000.1.p
OG0006694	AH016096-RA	Bevul.2G146200.1.p
OG0006695	AH004196-RA	Bevul.6G148200.1.p
OG0006696	AH021024-RA, AH021023-RA	Bevul.8G156300.1.p, Bevul.8G156500.1.p
OG0006697	AH010633-RA	Bevul.4G176600.1.p
OG0006698	AH007840-RA	Bevul.4G119800.1.p
OG0006699	AH017922-RA	Bevul.5G221100.1.p
OG0006700	AH004124-RA	Bevul.6G131400.1.p
OG0006701	AH001331-RA, AH000318-RA	Bevul.9G077900.1.p
OG0006702	AH019771-RA	Bevul.3G094200.1.p
OG0006703	AH013102-RA	Bevul.2G114500.1.p, Bevul.2G114500.2.p, Bevul.2G114500.3.p
OG0006704	AH014809-RA	Bevul.8G006400.1.p
OG0006705	AH019363-RA	Bevul.2G052400.1.p
OG0006706	AH016541-RA, AH022885-RA	Bevul.2G212800.1.p
OG0006707	AH005422-RA	Bevul.6G120800.1.p
OG0006709	AH009340-RA	Bevul.1G147700.1.p
OG0006710	AH002802-RA	Bevul.5G194300.1.p
OG0006712	AH019375-RA	Bevul.2G055400.4.p, Bevul.2G055400.3.p, Bevul.2G055400.2.p, Bevul.2G055400.1.p
OG0006713	AH009384-RA	Bevul.1G145200.1.p
OG0006714	AH020508-RA	Bevul.3G220300.1.p
OG0006715	AH010312-RA	Bevul.4G102800.1.p
OG0006716	AH010643-RA	Bevul.8G056200.1.p
OG0006717	AH015557-RA, AH015850-RA	Bevul.2G078400.1.p
OG0006718	AH016602-RA, AH022754-RA	Bevul.2G198000.3.p, Bevul.2G198000.1.p, Bevul.2G198000.2.p, Bevul.2G198000.4.p
OG0006720	AH017485-RA	Bevul.5G174600.1.p
OG0006721	AH007280-RA	Bevul.3G016900.1.p
OG0006722	AH007256-RA	Bevul.3G015000.1.p
OG0006723	AH004695-RA, AH004652-RA	Bevul.6G247400.1.p
OG0006724	AH016490-RA	Bevul.2G222100.1.p, Bevul.2G222100.2.p
OG0006725	AH012164-RA	Bevul.3G093100.1.p
OG0006726	AH002906-RA, AH017462-RA	Bevul.5G172300.1.p
OG0006727	AH005535-RA	Bevul.6G078300.1.p
OG0006728	AH017165-RA	Bevul.2G081200.2.p, Bevul.2G081200.1.p
OG0006729	AH017472-RA	Bevul.5G173700.1.p
OG0006730	AH005518-RA	Bevul.6G107200.1.p
OG0006731	AH016566-RA, AH022814-RA	Bevul.2G202900.1.p
OG0006733	AH016125-RA	Bevul.5G080400.1.p
OG0006734	AH005508-RA, AH004176-RA	Bevul.6G139700.1.p
OG0006735	AH001099-RA	Bevul.9G013400.1.p
OG0006736	AH019944-RA, AH007269-RA	Bevul.3G016000.1.p
OG0006737	AH017425-RA	Bevul.5G166700.1.p
OG0006738	AH019898-RA	Bevul.3G013600.1.p
OG0006739	AH017448-RA	Bevul.5G169400.1.p
OG0006740	AH018343-RA	Bevul.5G085100.1.p
OG0006741	AH015756-RA	Bevul.2G057600.3.p, Bevul.2G057600.4.p, Bevul.2G057600.2.p, Bevul.2G057600.1.p, Bevul.2G057600.5.p
OG0006742	AH018452-RA, AH011552-RA	Bevul.5G097900.1.p
OG0006743	AH018208-RA	Bevul.8G039000.1.p
OG0006744	AH000135-RA	Bevul.9G034300.1.p
OG0006745	AH002539-RA	Bevul.5G233000.1.p
OG0006746	AH017983-RA	Bevul.5G212100.1.p
OG0006747	AH015922-RA	Bevul.2G114100.2.p, Bevul.2G114100.1.p
OG0006748	AH022871-RA	Bevul.2G211600.1.p
OG0006749	AH013562-RA, AH022371-RA	Bevul.7G141900.1.p
OG0006750	AH001621-RA	Bevul.9G154700.1.p
OG0006751	AH016542-RA	Bevul.2G214200.1.p
OG0006752	AH023387-RA	Bevul.2G091800.1.p
OG0006753	AH012988-RA	Bevul.7G145000.1.p
OG0006754	AH002856-RA, AH017554-RA	Bevul.5G183600.1.p
OG0006755	AH011120-RA	Bevul.4G213600.1.p
OG0006757	AH021224-RA	Bevul.8G105500.1.p
OG0006758	AH007281-RA	Bevul.3G017000.1.p
OG0006759	AH005077-RA	Bevul.6G238500.1.p
OG0006760	AH004678-RA	Bevul.6G244200.1.p
OG0006761	AH016560-RA	Bevul.2G204700.1.p, Bevul.2G204700.2.p
OG0006762	AH017985-RA	Bevul.5G211900.1.p
OG0006763	AH009494-RA	Bevul.1G199000.1.p
OG0006766	AH004017-RA	Bevul.1G017800.1.p
OG0006767	AH022313-RA, AH013430-RA	Bevul.7G162100.1.p
OG0006769	AH019215-RA	Bevul.8G168600.1.p, Bevul.6G112100.1.p
OG0006770	AH005044-RA, AH004373-RA	Bevul.6G234500.1.p
OG0006771	AH015175-RA	Bevul.8G064800.1.p
OG0006772	AH004598-RA	Bevul.6G241300.1.p
OG0006773	AH005067-RA	Bevul.6G237500.1.p
OG0006774	AH017986-RA	Bevul.5G211800.1.p
OG0006775	AH013467-RA	Bevul.1G152600.1.p
OG0006776	AH016515-RA	Bevul.2G208600.5.p, Bevul.2G208600.4.p, Bevul.2G208600.3.p, Bevul.2G208600.1.p, Bevul.2G208600.2.p
OG0006777	AH007322-RA, AH019937-RA	Bevul.3G018700.1.p
OG0006778	AH018109-RA	Bevul.5G015400.1.p
OG0006780	AH013443-RA	Bevul.7G160500.1.p
OG0006780	AH022293-RA	Bevul.7G159000.1.p
OG0006781	AH023265-RA, AH023266-RA, AH023264-RA	Bevul.2G171900.1.p, Bevul.2G199700.2.p, Bevul.2G199700.1.p, Bevul.2G172000.2.p, Bevul.2G172000.1.p
OG0006783	AH021283-RA	Bevul.8G093600.1.p
OG0006784	AH014757-RA, AH021338-RA	Bevul.8G079100.1.p
