Orthogroup	D_spatulata.proteins	V_vinifera.proteins
OG0004766	Ds_00016458-RA	VIT_211s0037g00610.2, VIT_211s0037g00610.4, VIT_211s0037g00610.3, VIT_211s0037g00610.1
OG0004767	Ds_00017306-RA, Ds_00013629-RA	VIT_204s0008g02600.1, VIT_209s0018g01330.1
OG0004768	Ds_00002813-RA	VIT_216s0050g02240.1, VIT_215s0046g01470.2, VIT_215s0046g01470.1
OG0004769	Ds_00005629-RA	VIT_216s0098g01570.1
OG0004770	Ds_00000725-RA	VIT_209s0002g04430.1
OG0004772	Ds_00013312-RA, Ds_00002344-RA	VIT_209s0002g01020.1
OG0004774	Ds_00017014-RA	VIT_215s0046g03770.1
OG0004775	Ds_00009856-RA	VIT_207s0130g00470.2, VIT_207s0130g00470.4, VIT_207s0130g00470.5, VIT_207s0130g00470.3, VIT_207s0130g00470.1
OG0004776	Ds_00005834-RA	VIT_206s0004g03020.1, VIT_206s0004g03020.2
OG0004777	Ds_00015064-RA, Ds_00014795-RA, Ds_00012868-RA	VIT_211s0016g04480.2, VIT_211s0016g04480.1
OG0004778	Ds_00000446-RA	VIT_204s0008g02580.1
OG0004779	Ds_00009957-RA	VIT_216s0100g01230.1
OG0004780	Ds_00011456-RA, Ds_00011459-RA	VIT_211s0149g00120.5, VIT_211s0149g00120.3, VIT_211s0149g00120.4, VIT_211s0149g00120.2, VIT_211s0149g00120.1
OG0004781	Ds_00000706-RA, Ds_00000707-RA	VIT_209s0002g04830.1
OG0004782	Ds_00012001-RA	VIT_216s0022g02010.1
OG0004783	Ds_00005968-RA	VIT_213s0019g04120.2, VIT_213s0019g04120.1, VIT_213s0019g04120.3
OG0004784	Ds_00002412-RA	VIT_204s0023g00650.1
OG0004786	Ds_00002441-RA, Ds_00000685-RA	VIT_209s0002g06000.1
OG0004791	Ds_00000186-RA	VIT_211s0016g02170.2, VIT_211s0016g02170.1
OG0004791	Ds_00000804-RA	VIT_209s0002g02150.2, VIT_209s0002g02150.1
OG0004792	Ds_00005654-RA	VIT_216s0098g00310.2, VIT_216s0098g00310.1
OG0004792	Ds_00004040-RA	VIT_207s0130g00230.1, VIT_207s0130g00230.2
OG0004793	Ds_00012863-RA	VIT_211s0016g04370.1, VIT_204s0008g04350.2, VIT_204s0008g04350.3, VIT_204s0008g04350.1
OG0004794	Ds_00007231-RA, Ds_00009638-RA	VIT_213s0106g00770.1, VIT_219s0015g00810.1, VIT_214s0066g02380.2, VIT_214s0066g02380.1
OG0004795	Ds_00012234-RA	VIT_213s0019g04000.5, VIT_213s0019g04000.4, VIT_213s0019g04000.3, VIT_213s0019g04000.2, VIT_213s0019g04000.1
OG0004796	Ds_00007935-RA	VIT_211s0052g00080.1
OG0004797	Ds_00008875-RA	VIT_211s0016g01830.4, VIT_211s0016g01830.3, VIT_211s0016g01830.2, VIT_211s0016g01830.1
OG0004798	Ds_00007200-RA, Ds_00011466-RA	VIT_211s0118g00780.2, VIT_211s0118g00780.1, VIT_211s0118g00780.3
OG0004799	Ds_00001013-RA, Ds_00000917-RA	VIT_207s0005g05160.1
OG0004800	Ds_00015693-RA, Ds_00012479-RA	VIT_215s0046g01840.3, VIT_215s0046g01840.4, VIT_215s0046g01840.2, VIT_215s0046g01840.1
OG0004801	Ds_00007224-RA	VIT_209s0002g08060.1, VIT_209s0002g07930.1, VIT_209s0002g07990.1, VIT_209s0002g08030.1, VIT_209s0002g08070.1
OG0004802	Ds_00002397-RA	VIT_209s0002g03490.1
OG0004804	Ds_00006997-RA, Ds_00006239-RA	VIT_209s0018g02090.3, VIT_209s0018g02090.2, VIT_209s0018g02090.1
OG0004805	Ds_00008787-RA	VIT_209s0002g01890.1
OG0004806	Ds_00012786-RA	VIT_209s0054g00980.1, VIT_209s0054g00980.2, VIT_209s0054g00980.4, VIT_209s0054g00980.3
OG0004807	Ds_00009912-RA	VIT_204s0008g04780.3, VIT_204s0008g04780.1
OG0004808	Ds_00000217-RA	VIT_211s0016g02860.1, VIT_211s0016g02860.2, VIT_211s0016g02860.4, VIT_211s0016g02860.3, VIT_211s0016g02860.5
OG0004809	Ds_00014176-RA	VIT_219s0027g00440.4, VIT_219s0027g00440.3, VIT_219s0027g00440.2, VIT_219s0027g00440.1
OG0004810	Ds_00014714-RA	VIT_205s0094g00380.3, VIT_205s0094g00380.2, VIT_205s0094g00380.1
OG0004812	Ds_00016486-RA, Ds_00004604-RA	VIT_211s0016g00030.1, VIT_215s0046g03730.1
OG0004813	Ds_00011599-RA	VIT_206s0004g06130.2, VIT_206s0004g06130.3, VIT_206s0004g06130.1, VIT_206s0004g06130.4, VIT_206s0004g06130.5
OG0004814	Ds_00005163-RA, Ds_00004134-RA	VIT_206s0061g00280.1
OG0004815	Ds_00001741-RA	VIT_219s0177g00170.1, VIT_219s0177g00170.2, VIT_219s0177g00170.7
OG0004816	Ds_00015723-RA	VIT_211s0016g05140.1
OG0004817	Ds_00008630-RA	VIT_213s0067g02160.3, VIT_213s0067g02160.2, VIT_213s0067g02160.1
OG0004818	Ds_00006053-RA, Ds_00017765-RA	VIT_213s0106g00730.1, VIT_208s0007g03460.1, VIT_208s0007g03460.2, VIT_208s0007g03460.3, VIT_208s0007g03460.4
OG0004819	Ds_00011491-RA, Ds_00011492-RA	VIT_210s0003g01440.3, VIT_210s0003g01440.4, VIT_210s0003g01440.2, VIT_210s0003g01440.1
OG0004820	Ds_00004503-RA	VIT_210s0116g01820.1, VIT_210s0116g01810.1
OG0004821	Ds_00015179-RA	VIT_213s0019g03200.1
OG0004822	Ds_00017724-RA	VIT_216s0013g01550.3, VIT_216s0013g01550.4
OG0004823	Ds_00000341-RA	VIT_203s0038g00110.3, VIT_203s0038g00110.4, VIT_203s0038g00110.6, VIT_203s0038g00110.5, VIT_203s0038g00110.1, VIT_203s0038g00110.2
OG0004824	Ds_00005835-RA	VIT_206s0004g02900.2, VIT_206s0004g02900.1, VIT_206s0004g02900.3, VIT_206s0004g02900.4
OG0004825	Ds_00004518-RA	VIT_210s0116g00790.1, VIT_210s0116g00790.2
OG0004826	Ds_00013187-RA	VIT_213s0019g04820.3, VIT_213s0019g04820.1, VIT_213s0019g04820.4, VIT_213s0019g04820.2
OG0004827	Ds_00010142-RA	VIT_206s0009g00690.5, VIT_206s0009g00690.3, VIT_206s0009g00690.4, VIT_206s0009g00690.2, VIT_206s0009g00690.1
OG0004828	Ds_00005154-RA	VIT_212s0028g00740.7, VIT_212s0028g00740.5, VIT_212s0028g00740.4, VIT_212s0028g00740.2, VIT_212s0028g00740.8, VIT_212s0028g00740.9, VIT_212s0028g00740.6, VIT_212s0028g00740.3, VIT_212s0028g00740.1
OG0004829	Ds_00012758-RA	VIT_210s0003g03710.1
OG0004830	Ds_00009575-RA	VIT_208s0007g08120.1
OG0004831	Ds_00005749-RA	VIT_208s0040g00760.2, VIT_208s0040g00760.3, VIT_208s0040g00760.5, VIT_208s0040g00760.4, VIT_208s0040g00760.1
OG0004832	Ds_00015968-RA	VIT_208s0058g00660.1, VIT_208s0058g00660.2
OG0004833	Ds_00010068-RA	VIT_206s0004g04410.1, VIT_206s0004g04410.2
OG0004834	Ds_00009029-RA	VIT_219s0085g01140.1
OG0004835	Ds_00001837-RA	VIT_219s0014g00110.3, VIT_219s0014g00110.4, VIT_219s0014g00110.2, VIT_219s0014g00110.1, VIT_212s0028g00340.1, VIT_212s0028g00340.5, VIT_212s0028g00340.3, VIT_212s0028g00340.2, VIT_212s0028g00340.4, VIT_212s0028g00340.6
OG0004836	Ds_00000178-RA	VIT_219s0015g01000.2, VIT_219s0015g01000.1
OG0004837	Ds_00017091-RA	VIT_213s0067g00180.1
OG0004838	Ds_00018057-RA	VIT_219s0014g03330.2, VIT_219s0014g03330.3, VIT_219s0014g03330.4, VIT_219s0014g03330.1, VIT_219s0014g03350.3, VIT_219s0014g03350.1, VIT_219s0014g03350.2
OG0004839	Ds_00017150-RA, Ds_00002043-RA, Ds_00008738-RA	VIT_208s0007g04200.1
OG0004840	Ds_00007612-RA	VIT_208s0007g06730.1, VIT_208s0007g06730.2, VIT_208s0007g06730.3
OG0004841	Ds_00010218-RA, Ds_00017829-RA	VIT_200s0404g00100.1
OG0004841	Ds_00001135-RA	VIT_212s0059g02060.1
OG0004842	Ds_00011747-RA	VIT_219s0090g00130.4, VIT_219s0090g00130.3, VIT_219s0090g00130.1, VIT_219s0090g00130.2
OG0004843	Ds_00001657-RA	VIT_208s0040g02980.2, VIT_208s0040g02980.4, VIT_208s0040g02980.5, VIT_208s0040g02980.3, VIT_208s0040g02980.1
OG0004844	Ds_00013182-RA	VIT_200s0317g00110.3, VIT_200s0317g00110.2, VIT_200s0317g00110.1
OG0004845	Ds_00010115-RA	VIT_206s0004g06500.1, VIT_206s0004g06500.2, VIT_206s0004g06500.3
OG0004846	Ds_00013175-RA	VIT_213s0019g01530.2, VIT_213s0019g01530.3, VIT_213s0019g01530.4, VIT_213s0019g01530.1
OG0004847	Ds_00003269-RA	VIT_213s0019g00070.2, VIT_213s0019g00070.1, VIT_213s0019g00070.3, VIT_213s0019g00070.5, VIT_213s0019g00070.4
OG0004848	Ds_00011489-RA	VIT_210s0003g01500.2, VIT_210s0003g01500.1
OG0004849	Ds_00000479-RA	VIT_206s0004g02090.1, VIT_213s0073g00710.1
OG0004850	Ds_00001151-RA	VIT_209s0054g01100.1, VIT_212s0028g03890.2, VIT_212s0028g03890.3, VIT_212s0028g03890.1
OG0004851	Ds_00014180-RA	VIT_213s0064g00980.1
OG0004852	Ds_00011484-RA	VIT_210s0003g01710.1, VIT_210s0003g01710.4
OG0004853	Ds_00015407-RA	VIT_208s0040g03210.1
OG0004854	Ds_00005825-RA	VIT_213s0019g00350.1
OG0004856	Ds_00010437-RA	VIT_213s0067g02190.1
OG0004858	Ds_00016355-RA	VIT_208s0007g06540.2, VIT_208s0007g06540.3, VIT_208s0007g06540.6, VIT_208s0007g06540.4, VIT_208s0007g06540.1, VIT_208s0007g06540.5
OG0004859	Ds_00013794-RA	VIT_217s0000g08960.1
OG0004860	Ds_00004919-RA	VIT_219s0015g01850.2, VIT_219s0015g01850.3, VIT_219s0015g01850.1
OG0004861	Ds_00009168-RA	VIT_201s0150g00050.3, VIT_201s0150g00050.2, VIT_201s0150g00050.1
OG0004862	Ds_00007396-RA	VIT_202s0087g00170.1
OG0004863	Ds_00002729-RA, Ds_00013247-RA	VIT_208s0007g07490.3, VIT_208s0007g07490.1, VIT_208s0007g07490.2
OG0004865	Ds_00010679-RA	VIT_219s0014g05200.4, VIT_219s0014g05200.5, VIT_219s0014g05200.6, VIT_219s0014g05200.3, VIT_219s0014g05200.1, VIT_219s0014g05200.2
OG0004866	Ds_00005240-RA, Ds_00005170-RA, Ds_00004131-RA	VIT_206s0061g00450.1, VIT_206s0061g00450.2
OG0004869	Ds_00004502-RA, Ds_00015100-RA	VIT_219s0090g00400.2, VIT_219s0090g00400.1
OG0004870	Ds_00006265-RA, Ds_00006156-RA	VIT_214s0081g00570.1
OG0004871	Ds_00003195-RA, Ds_00004259-RA	VIT_210s0003g05370.1
OG0004872	Ds_00016465-RA	VIT_213s0019g02260.1, VIT_213s0019g02260.2
OG0004873	Ds_00010671-RA	VIT_219s0014g04940.1
OG0004875	Ds_00002896-RA	VIT_214s0081g00460.2, VIT_214s0081g00460.1
OG0004876	Ds_00016394-RA, Ds_00007290-RA	VIT_216s0050g00850.1, VIT_216s0050g01310.1, VIT_216s0050g01300.1
OG0004877	Ds_00012790-RA	VIT_209s0054g00620.2, VIT_209s0054g00620.1, VIT_209s0054g00620.3
OG0004878	Ds_00014427-RA	VIT_204s0044g01570.3, VIT_204s0044g01570.2, VIT_204s0044g01570.1
OG0004879	Ds_00003857-RA	VIT_217s0000g01460.3, VIT_217s0000g01460.4, VIT_217s0000g01460.1, VIT_217s0000g01460.2
OG0004880	Ds_00014192-RA, Ds_00001630-RA	VIT_218s0001g03820.1, VIT_218s0001g03820.2
OG0004881	Ds_00010731-RA	VIT_201s0010g02210.1
OG0004882	Ds_00017598-RA	VIT_205s0051g00930.4, VIT_205s0051g00930.6, VIT_205s0051g00930.8, VIT_205s0051g00930.2, VIT_205s0051g00930.3, VIT_205s0051g00930.1, VIT_205s0051g00930.7, VIT_205s0051g00930.5
OG0004883	Ds_00009189-RA	VIT_201s0010g02560.1, VIT_201s0010g02560.3, VIT_201s0010g02560.2
OG0004884	Ds_00009701-RA	VIT_214s0219g00170.3, VIT_214s0219g00170.1, VIT_214s0219g00170.2, VIT_217s0000g09990.1
OG0004885	Ds_00003722-RA	VIT_204s0023g02390.2, VIT_214s0036g00970.8, VIT_214s0036g00970.5, VIT_204s0023g02390.4, VIT_204s0023g02390.1, VIT_214s0036g00970.2, VIT_214s0036g00970.9, VIT_214s0036g00970.7, VIT_214s0036g00970.3, VIT_214s0036g00970.4, VIT_214s0036g00970.1
OG0004886	Ds_00006980-RA, Ds_00006979-RA	VIT_207s0031g03100.1
OG0004887	Ds_00005673-RA	VIT_216s0050g02520.1, VIT_216s0050g02520.2
OG0004889	Ds_00000027-RA, Ds_00013573-RA	VIT_203s0038g01860.1, VIT_203s0038g01850.1, VIT_203s0038g01830.1, VIT_203s0038g01845.1
OG0004890	Ds_00001388-RA, Ds_00005602-RA	VIT_202s0025g02820.1
OG0004891	Ds_00002771-RA	VIT_207s0104g01350.1, VIT_205s0020g01820.1
OG0004892	Ds_00003393-RA, Ds_00003394-RA	VIT_204s0008g03130.2, VIT_204s0008g03130.1, VIT_204s0008g03130.3, VIT_204s0008g03130.4
OG0004893	Ds_00004714-RA	VIT_207s0104g01160.2, VIT_207s0104g01160.3, VIT_207s0104g01160.1
OG0004894	Ds_00008491-RA	VIT_219s0014g01330.1
OG0004895	Ds_00015237-RA	VIT_214s0171g00430.1
OG0004896	Ds_00006375-RA	VIT_205s0020g03760.3, VIT_205s0020g03760.4, VIT_205s0020g03760.5, VIT_205s0020g03760.1, VIT_205s0020g03760.7, VIT_205s0020g03760.2, VIT_205s0020g03760.6
OG0004897	Ds_00009754-RA	VIT_217s0000g00210.3, VIT_217s0000g00210.1, VIT_217s0000g00210.2, VIT_217s0000g00210.4
OG0004898	Ds_00002293-RA	VIT_205s0094g00820.2, VIT_205s0094g00820.5, VIT_205s0094g00820.6, VIT_205s0094g00820.7, VIT_205s0094g00820.4, VIT_205s0094g00820.3, VIT_205s0094g00820.1
OG0004899	Ds_00004685-RA	VIT_207s0005g04480.1, VIT_207s0005g04480.4, VIT_207s0005g04480.3, VIT_207s0005g04480.2
OG0004900	Ds_00001870-RA	VIT_218s0041g01890.2, VIT_218s0041g01890.1, VIT_212s0035g01110.2, VIT_212s0035g01110.3, VIT_212s0035g01110.1
OG0004901	Ds_00012531-RA	VIT_215s0048g02660.1, VIT_202s0025g02710.1, VIT_202s0025g02710.2
OG0004902	Ds_00001275-RA	VIT_202s0025g00510.11, VIT_202s0025g00510.2, VIT_202s0025g00510.1, VIT_202s0025g00510.4, VIT_202s0025g00510.6, VIT_202s0025g00510.9, VIT_202s0025g00510.8, VIT_202s0025g00510.7, VIT_202s0025g00510.5, VIT_202s0025g00510.3
OG0004903	Ds_00009444-RA	VIT_207s0031g00100.1
OG0004904	Ds_00000995-RA	VIT_207s0005g04460.2, VIT_207s0005g04460.1
OG0004905	Ds_00008823-RA	VIT_218s0001g03660.1
OG0004906	Ds_00010766-RA	VIT_201s0010g03660.1, VIT_201s0010g03660.2
OG0004909	Ds_00012526-RA	VIT_216s0098g01110.1, VIT_215s0048g02770.3, VIT_215s0048g02770.2, VIT_215s0048g02770.1
OG0004910	Ds_00017596-RA	VIT_201s0010g03900.1, VIT_201s0010g03900.3, VIT_201s0010g03900.2, VIT_201s0010g03900.4
OG0004911	Ds_00007163-RA, Ds_00016347-RA	VIT_218s0001g07680.1, VIT_218s0001g07680.2, VIT_218s0001g07680.4, VIT_218s0001g07680.3
OG0004912	Ds_00004620-RA	VIT_205s0020g04790.1, VIT_207s0141g00710.1
OG0004913	Ds_00000586-RA	VIT_218s0001g08280.1, VIT_218s0001g08280.5, VIT_218s0001g08280.4, VIT_218s0001g08280.6, VIT_218s0001g08280.3, VIT_218s0001g08280.2
OG0004914	Ds_00000892-RA	VIT_207s0104g01580.1
OG0004915	Ds_00001368-RA	VIT_200s0341g00030.3, VIT_200s0341g00030.1, VIT_200s0341g00030.2, VIT_200s0341g00030.5, VIT_200s0341g00030.4
OG0004916	Ds_00003502-RA, Ds_00008834-RA, Ds_00008833-RA, Ds_00003501-RA	VIT_218s0001g05570.3, VIT_218s0001g05570.2, VIT_218s0001g05570.1
OG0004918	Ds_00003848-RA	VIT_202s0012g01780.1, VIT_202s0012g01780.3, VIT_202s0012g01780.5, VIT_202s0012g01780.4, VIT_202s0012g01780.2
OG0004919	Ds_00016382-RA	VIT_214s0036g01100.1, VIT_209s0018g01810.1, VIT_200s0131g00330.1, VIT_216s0039g00850.1, VIT_202s0025g01680.1
OG0004920	Ds_00007674-RA, Ds_00005579-RA	VIT_200s0585g00020.1
OG0004921	Ds_00007339-RA	VIT_205s0062g01320.1, VIT_205s0077g01250.1
OG0004922	Ds_00010752-RA	VIT_201s0010g02580.1
OG0004923	Ds_00005362-RA	VIT_218s0001g15400.3, VIT_218s0001g15400.4, VIT_218s0001g15400.2, VIT_218s0001g15400.1
OG0004924	Ds_00005633-RA	VIT_216s0098g01680.1, VIT_216s0098g01680.2, VIT_216s0098g01680.3, VIT_216s0098g01680.5, VIT_216s0098g01680.6, VIT_216s0098g01680.4
OG0004925	Ds_00005883-RA	VIT_214s0083g00750.1
OG0004926	Ds_00016113-RA	VIT_201s0010g01410.2, VIT_201s0010g01410.3, VIT_201s0010g01410.1
OG0004927	Ds_00013095-RA	VIT_204s0043g00640.1
OG0004928	Ds_00009685-RA	VIT_217s0000g04660.1
OG0004929	Ds_00005127-RA	VIT_216s0039g02710.1, VIT_200s0204g00170.1, VIT_200s0204g00170.2, VIT_200s1491g00020.1
OG0004930	Ds_00011403-RA	VIT_214s0066g01400.1
OG0004931	Ds_00008981-RA	VIT_214s0066g02350.1, VIT_201s0026g00980.1
OG0004932	Ds_00008968-RA	VIT_214s0108g00570.1, VIT_214s0108g00570.3, VIT_214s0108g00570.2
OG0004934	Ds_00007784-RA	VIT_200s0174g00310.1
OG0004936	Ds_00009053-RA	VIT_201s0127g00330.1
OG0004938	Ds_00013272-RA	VIT_202s0236g00140.2, VIT_202s0236g00140.1, VIT_202s0236g00140.3
OG0004939	Ds_00011031-RA	VIT_214s0066g01480.1, VIT_214s0066g01490.1
OG0004940	Ds_00017232-RA, Ds_00005575-RA	VIT_216s0039g02620.1, VIT_215s0107g00320.2, VIT_215s0107g00320.1
OG0004942	Ds_00011150-RA	VIT_202s0033g00590.1
OG0004943	Ds_00014145-RA, Ds_00012733-RA	VIT_214s0006g00640.1
OG0004944	Ds_00013485-RA	VIT_214s0006g01570.1
OG0004945	Ds_00011949-RA	VIT_217s0000g02760.1, VIT_217s0000g02760.2, VIT_217s0000g02760.3
OG0004946	Ds_00005929-RA	VIT_201s0011g06330.2, VIT_201s0011g06330.1
OG0004948	Ds_00008603-RA	VIT_201s0011g02860.1
OG0004949	Ds_00001798-RA, Ds_00013448-RA, Ds_00008120-RA	VIT_219s0014g01880.1, VIT_219s0014g01880.3, VIT_219s0014g01880.2, VIT_219s0014g01880.4, VIT_219s0014g01880.6, VIT_219s0014g01880.5, VIT_219s0014g01880.7
OG0004950	Ds_00004383-RA	VIT_214s0066g00960.1
OG0004950	Ds_00013803-RA, Ds_00011393-RA	VIT_217s0000g08670.1
OG0004951	Ds_00003772-RA, Ds_00011397-RA	VIT_217s0000g08410.2, VIT_217s0000g08410.1
OG0004952	Ds_00013105-RA	VIT_202s0087g00190.4, VIT_202s0087g00190.3, VIT_200s0169g00080.1, VIT_202s0087g00190.2, VIT_202s0087g00190.1
OG0004954	Ds_00006580-RA	VIT_201s0011g00030.1
OG0004955	Ds_00016549-RA	VIT_201s0011g06280.4, VIT_201s0011g06280.2, VIT_201s0011g06280.3, VIT_201s0011g06280.1
OG0004956	Ds_00012551-RA	VIT_201s0011g05710.1
OG0004957	Ds_00016255-RA	VIT_217s0000g05310.1
OG0004960	Ds_00012390-RA	VIT_210s0042g01140.4, VIT_210s0042g01140.3, VIT_210s0042g01140.5, VIT_210s0042g01140.6, VIT_210s0042g01140.2, VIT_210s0042g01140.1
OG0004961	Ds_00006923-RA	VIT_214s0030g00750.1
OG0004962	Ds_00000148-RA	VIT_217s0119g00070.1, VIT_215s0024g00690.1
OG0004963	Ds_00005962-RA, Ds_00017099-RA	VIT_201s0011g03740.1, VIT_215s0021g01230.3, VIT_215s0021g01230.1, VIT_215s0021g01230.2
OG0004964	Ds_00013270-RA	VIT_202s0012g00020.3, VIT_202s0012g00020.2, VIT_202s0012g00020.1
OG0004965	Ds_00016254-RA	VIT_217s0000g05320.2, VIT_217s0000g05320.5, VIT_217s0000g05320.4, VIT_217s0000g05320.1, VIT_217s0000g05320.3, VIT_217s0000g05320.6
OG0004966	Ds_00015438-RA	VIT_214s0006g01020.2, VIT_214s0006g01020.1, VIT_214s0006g01020.3, VIT_214s0006g01020.4
OG0004967	Ds_00012441-RA	VIT_217s0000g05760.3, VIT_217s0000g05760.4, VIT_217s0000g05760.2, VIT_217s0000g05760.1
OG0004968	Ds_00010611-RA	VIT_217s0000g04410.1
OG0004969	Ds_00017695-RA	VIT_202s0025g03510.5, VIT_202s0025g03510.2, VIT_202s0025g03510.4, VIT_202s0025g03510.1, VIT_202s0025g03510.3
OG0004970	Ds_00017334-RA	VIT_210s0071g00210.1
OG0004971	Ds_00014411-RA	VIT_205s0020g04700.7, VIT_205s0020g04700.2, VIT_205s0020g04700.8, VIT_205s0020g04700.3, VIT_205s0020g04700.4, VIT_205s0020g04700.5, VIT_205s0020g04700.9, VIT_205s0020g04700.1, VIT_205s0020g04700.11, VIT_205s0020g04700.10, VIT_205s0020g04700.6
OG0004972	Ds_00015447-RA	VIT_201s0127g00390.1
OG0004973	Ds_00004369-RA	VIT_214s0066g02180.1
OG0004973	Ds_00011430-RA	VIT_217s0000g05400.1, VIT_217s0000g05400.2
OG0004974	Ds_00008604-RA	VIT_201s0011g02820.2, VIT_201s0011g02820.5, VIT_201s0011g02820.6, VIT_201s0011g02820.3, VIT_201s0011g02820.4, VIT_201s0011g02820.1
OG0004975	Ds_00008119-RA	VIT_202s0012g00560.1, VIT_202s0012g00560.2
OG0004977	Ds_00008492-RA	VIT_214s0108g01480.3
OG0004978	Ds_00009901-RA	VIT_202s0241g00050.1
OG0004979	Ds_00009883-RA	VIT_202s0025g04760.1
OG0004980	Ds_00009981-RA	VIT_211s0037g00940.1
OG0004982	Ds_00014114-RA, Ds_00017141-RA, Ds_00005333-RA, Ds_00017140-RA	VIT_217s0000g06930.1, VIT_217s0000g06930.2
OG0004984	Ds_00002877-RA	VIT_215s0048g02510.2, VIT_215s0048g02510.1
OG0004986	Ds_00001850-RA	VIT_214s0068g01010.2, VIT_214s0068g01010.1, VIT_214s0068g01010.3
OG0004987	Ds_00010101-RA	VIT_206s0004g05790.1, VIT_206s0004g05790.2, VIT_206s0004g05790.3
OG0004989	Ds_00003213-RA	VIT_212s0035g01620.1, VIT_212s0035g01326.1, VIT_212s0035g01324.1, VIT_212s0035g01600.1, VIT_212s0035g01630.1, VIT_212s0035g01330.1, VIT_212s0035g01260.2, VIT_212s0035g01260.3, VIT_212s0035g01260.1, VIT_212s0035g01280.2, VIT_212s0035g01280.1, VIT_212s0035g01605.1, VIT_212s0035g01554.1, VIT_212s0035g01596.1
OG0004991	Ds_00018043-RA, Ds_00005246-RA	VIT_212s0057g00550.3, VIT_212s0057g00550.2, VIT_212s0057g00550.1, VIT_212s0057g00550.4, VIT_215s0024g01993.1
OG0004992	Ds_00005183-RA	VIT_212s0057g01290.4, VIT_212s0057g01290.5, VIT_212s0057g01290.3, VIT_212s0057g01290.6, VIT_212s0057g01290.2, VIT_212s0057g01290.1
OG0004993	Ds_00004077-RA	VIT_212s0057g00710.1
OG0004995	Ds_00012282-RA, Ds_00016305-RA	VIT_212s0134g00500.2, VIT_212s0134g00500.3, VIT_212s0134g00500.4, VIT_212s0134g00500.1
OG0005015	Ds_00014683-RA	VIT_208s0040g00470.1, VIT_214s0030g02150.1, VIT_205s0020g04420.1
OG0005016	Ds_00003236-RA	VIT_205s0102g00145.1, VIT_205s0102g00145.2
OG0005017	Ds_00006921-RA, Ds_00006194-RA	VIT_214s0030g00830.6, VIT_214s0030g00830.3, VIT_214s0030g00830.5, VIT_214s0030g00830.4, VIT_214s0030g00830.2, VIT_214s0030g00830.1, VIT_214s0036g01320.1
OG0005019	Ds_00006182-RA	VIT_214s0030g01440.2, VIT_214s0030g01440.1, VIT_214s0030g01440.3, VIT_214s0030g01440.4
OG0005023	Ds_00011562-RA	VIT_206s0009g00250.1, VIT_206s0009g00250.3, VIT_206s0009g00250.2, VIT_206s0009g00250.4
OG0005024	Ds_00002632-RA	VIT_201s0011g06630.2, VIT_201s0011g06630.5, VIT_201s0011g06630.1
OG0005025	Ds_00004974-RA	VIT_205s0094g01080.3, VIT_205s0094g01080.2, VIT_205s0094g01080.1
OG0005026	Ds_00002287-RA	VIT_213s0156g00180.1
OG0005027	Ds_00003273-RA	VIT_213s0019g00310.1
OG0005029	Ds_00008817-RA, Ds_00008822-RA	VIT_218s0089g00010.1
OG0005030	Ds_00004047-RA	VIT_204s0023g00280.3, VIT_204s0023g00280.2, VIT_204s0023g00280.1, VIT_204s0023g00280.4
OG0005031	Ds_00010803-RA	VIT_205s0124g00140.1
OG0005034	Ds_00006872-RA, Ds_00014743-RA	VIT_206s0004g07070.1
OG0005035	Ds_00014751-RA	VIT_206s0004g02410.3, VIT_206s0004g02410.1, VIT_206s0004g02410.2, VIT_206s0004g02410.4
OG0005036	Ds_00005785-RA	VIT_208s0007g05740.1
OG0005037	Ds_00014220-RA	VIT_213s0064g00560.2, VIT_213s0064g00560.3, VIT_213s0064g00560.5, VIT_213s0064g00560.1, VIT_213s0064g00560.4
OG0005038	Ds_00007431-RA	VIT_205s0062g01430.2, VIT_205s0062g01430.1, VIT_205s0062g01430.3
OG0005039	Ds_00010340-RA	VIT_208s0007g02250.6, VIT_208s0007g02250.2, VIT_208s0007g02250.1, VIT_208s0007g02250.5, VIT_208s0007g02250.3, VIT_208s0007g02250.4
OG0005040	Ds_00010036-RA	VIT_206s0004g08410.1
OG0005041	Ds_00000991-RA	VIT_207s0005g04280.1
OG0005042	Ds_00005531-RA, Ds_00008006-RA	VIT_206s0004g01630.1
OG0005043	Ds_00002730-RA	VIT_208s0007g07500.4, VIT_208s0007g07500.2, VIT_208s0007g07500.1, VIT_208s0007g07500.3
OG0005044	Ds_00006403-RA	VIT_218s0075g01050.1, VIT_205s0020g04640.4, VIT_205s0020g04640.2, VIT_205s0020g04640.1, VIT_205s0020g04640.5, VIT_205s0020g04640.3
OG0005045	Ds_00002057-RA	VIT_208s0007g03880.4, VIT_208s0007g03880.3, VIT_208s0007g03880.2, VIT_208s0007g03880.1, VIT_219s0138g00035.1
OG0005046	Ds_00012762-RA	VIT_213s0019g02110.1
OG0005047	Ds_00003920-RA, Ds_00017574-RA	VIT_214s0060g01190.1
OG0005049	Ds_00010946-RA	VIT_207s0151g00550.5, VIT_207s0151g00550.7, VIT_207s0151g00550.3, VIT_207s0151g00550.4, VIT_207s0151g00550.1, VIT_207s0151g00550.6, VIT_207s0151g00550.2
OG0005050	Ds_00005043-RA, Ds_00014653-RA	VIT_205s0102g00750.1, VIT_205s0102g00750.2
OG0005051	Ds_00010048-RA	VIT_206s0004g03790.1
OG0005053	Ds_00007643-RA	VIT_205s0077g01470.1
