Orthogroup	D_spatulata.proteins	B_vulgaris.proteins
OG0003959	Ds_00005380-RA	Bevul.6G000200.1.p
OG0003961	Ds_00005536-RA	Bevul.7G128500.1.p, Bevul.3G234800.1.p
OG0003962	Ds_00009736-RA	Bevul.5G166000.1.p
OG0003963	Ds_00004355-RA	Bevul.9G179700.1.p
OG0003964	Ds_00008845-RA	Bevul.1G101500.1.p
OG0003965	Ds_00015420-RA	Bevul.3G106100.1.p
OG0003966	Ds_00000406-RA, Ds_00002302-RA	Bevul.6G044300.1.p
OG0003967	Ds_00006541-RA	Bevul.7G108400.1.p, Bevul.7G108500.1.p
OG0003968	Ds_00016186-RA	Bevul.1G074700.1.p
OG0003969	Ds_00005244-RA	Bevul.9G031000.1.p
OG0003970	Ds_00001898-RA	Bevul.6G045500.1.p
OG0003970	Ds_00003856-RA	Bevul.5G153700.1.p
OG0003971	Ds_00010746-RA	Bevul.6G213600.1.p
OG0003972	Ds_00014090-RA, Ds_00018007-RA	Bevul.5G249200.1.p
OG0003973	Ds_00018040-RA	Bevul.3G084700.1.p
OG0003973	Ds_00004879-RA, Ds_00017661-RA	Bevul.1G097000.1.p
OG0003974	Ds_00004894-RA	Bevul.5G078100.1.p
OG0003975	Ds_00017818-RA	Bevul.5G184100.1.p
OG0003977	Ds_00011143-RA	Bevul.1G152500.1.p, Bevul.3G171900.1.p
OG0003978	Ds_00013602-RA	Bevul.2G072600.1.p
OG0003979	Ds_00017265-RA	Bevul.2G057100.1.p
OG0003980	Ds_00008403-RA	Bevul.6G120000.1.p
OG0003981	Ds_00009011-RA	Bevul.6G195600.1.p
OG0003982	Ds_00008480-RA, Ds_00016150-RA, Ds_00006726-RA	Bevul.2G214500.2.p, Bevul.2G214500.1.p
OG0003982	Ds_00008586-RA	Bevul.6G124600.1.p
OG0003983	Ds_00006890-RA, Ds_00006889-RA	Bevul.2G064100.1.p
OG0003984	Ds_00004836-RA, Ds_00007379-RA	Bevul.5G047500.1.p
OG0003985	Ds_00017301-RA	Bevul.5G070900.1.p
OG0003986	Ds_00004172-RA	Bevul.9G011500.2.p, Bevul.9G011500.1.p
OG0003987	Ds_00010624-RA	Bevul.5G171300.1.p
OG0003988	Ds_00000240-RA	Bevul.6G174700.1.p
OG0003990	Ds_00009052-RA	Bevul.6G188300.1.p
OG0003991	Ds_00009278-RA	Bevul.2G218300.7.p, Bevul.2G218300.1.p, Bevul.2G218300.6.p, Bevul.2G218300.4.p, Bevul.2G218300.2.p, Bevul.2G218300.3.p, Bevul.2G218300.5.p
OG0003993	Ds_00012338-RA	Bevul.5G254300.1.p
OG0003994	Ds_00005902-RA, Ds_00008538-RA	Bevul.6G140900.1.p
OG0003995	Ds_00010562-RA	Bevul.6G234000.1.p
OG0003995	Ds_00006896-RA	Bevul.2G063200.1.p
OG0003996	Ds_00003404-RA	Bevul.2G125500.2.p, Bevul.2G125500.1.p
OG0003997	Ds_00000153-RA	Bevul.8G102800.1.p
OG0003998	Ds_00013719-RA	Bevul.7G056500.4.p, Bevul.7G056500.3.p, Bevul.7G056500.2.p, Bevul.7G056500.1.p
OG0003999	Ds_00017170-RA	Bevul.8G102200.1.p
OG0004000	Ds_00017253-RA	Bevul.5G191700.1.p
OG0004001	Ds_00008567-RA	Bevul.6G131800.1.p
OG0004002	Ds_00010515-RA	Bevul.6G081000.1.p
OG0004003	Ds_00008996-RA	Bevul.6G183800.1.p
OG0004004	Ds_00016101-RA	Bevul.9G014100.1.p
OG0004005	Ds_00005778-RA	Bevul.6G026600.1.p
OG0004006	Ds_00014163-RA, Ds_00012406-RA	Bevul.5G168200.1.p
OG0004007	Ds_00008771-RA	Bevul.7G055900.1.p
OG0004010	Ds_00011229-RA	Bevul.5G124100.1.p
OG0004026	Ds_00014732-RA, Ds_00007514-RA	Bevul.7G213600.1.p
OG0004028	Ds_00000061-RA, Ds_00000062-RA	Bevul.9G134800.1.p
OG0004030	Ds_00003144-RA, Ds_00004663-RA	Bevul.3G138400.1.p, Bevul.1G132000.1.p
OG0004031	Ds_00010088-RA	Bevul.7G204300.1.p
OG0004031	Ds_00010092-RA	Bevul.5G140400.1.p
OG0004032	Ds_00007724-RA	Bevul.8G001700.1.p
OG0004033	Ds_00007516-RA	Bevul.7G215800.1.p
OG0004034	Ds_00009338-RA	Bevul.3G229200.1.p
OG0004035	Ds_00000905-RA	Bevul.7G079800.2.p, Bevul.7G079800.7.p, Bevul.7G079800.8.p, Bevul.7G079800.1.p, Bevul.7G079800.5.p, Bevul.7G079800.3.p, Bevul.7G079800.4.p, Bevul.7G079800.6.p
OG0004036	Ds_00012832-RA	Bevul.6G071200.1.p, Bevul.6G070900.1.p
OG0004037	Ds_00004061-RA, Ds_00006664-RA, Ds_00016755-RA	Bevul.9G138100.1.p, Bevul.4G214200.1.p
OG0004039	Ds_00001027-RA	Bevul.5G260000.1.p
OG0004043	Ds_00015704-RA, Ds_00008340-RA, Ds_00010169-RA	Bevul.9G104900.1.p, Bevul.9G104900.2.p
OG0004044	Ds_00001955-RA	Bevul.9G207700.1.p
OG0004045	Ds_00016823-RA	Bevul.2G248100.1.p
OG0004046	Ds_00005728-RA	Bevul.3G228500.1.p
OG0004047	Ds_00015934-RA	Bevul.1G183600.1.p, Bevul.1G183500.1.p, Bevul.1G183700.1.p
OG0004048	Ds_00013938-RA	Bevul.4G228000.1.p
OG0004049	Ds_00016216-RA	Bevul.6G104100.1.p
OG0004050	Ds_00004818-RA	Bevul.8G096800.1.p, Bevul.5G129800.1.p
OG0004051	Ds_00010313-RA	Bevul.7G065700.1.p, Bevul.7G065700.2.p, Bevul.7G065700.3.p
OG0004052	Ds_00000955-RA	Bevul.7G094500.1.p
OG0004053	Ds_00003946-RA	Bevul.4G173700.1.p
OG0004054	Ds_00006094-RA	Bevul.4G242900.1.p
OG0004055	Ds_00008483-RA	Bevul.2G041800.1.p, Bevul.2G041800.2.p
OG0004056	Ds_00012330-RA	Bevul.5G249800.1.p
OG0004058	Ds_00001083-RA	Bevul.5G241500.1.p
OG0004059	Ds_00016035-RA	Bevul.3G156000.1.p
OG0004060	Ds_00008128-RA	Bevul.8G086500.1.p
OG0004061	Ds_00009565-RA	Bevul.5G176900.1.p, Bevul.3G115900.1.p
OG0004063	Ds_00007618-RA	Bevul.3G182700.1.p
OG0004065	Ds_00010164-RA, Ds_00015699-RA	Bevul.7G229600.1.p
OG0004066	Ds_00016973-RA	Bevul.7G032600.1.p, Bevul.7G032600.2.p
OG0004067	Ds_00007416-RA	Bevul.8G079300.1.p
OG0004068	Ds_00008737-RA	Bevul.7G038800.2.p, Bevul.7G038800.1.p
OG0004069	Ds_00005040-RA	Bevul.3G105100.1.p
OG0004070	Ds_00011809-RA	Bevul.7G079000.1.p, Bevul.7G079000.2.p
OG0004071	Ds_00000926-RA	Bevul.7G073000.1.p
OG0004072	Ds_00010777-RA	Bevul.5G141400.1.p
OG0004072	Ds_00015492-RA	Bevul.7G204800.1.p
OG0004074	Ds_00014702-RA	Bevul.7G207300.1.p
OG0004075	Ds_00001853-RA	Bevul.6G166800.1.p
OG0004076	Ds_00014729-RA	Bevul.7G214600.1.p
OG0004077	Ds_00014632-RA	Bevul.3G059000.1.p
OG0004078	Ds_00017320-RA	Bevul.3G105700.1.p, Bevul.4G212400.1.p
OG0004080	Ds_00006058-RA	Bevul.7G227000.1.p, Bevul.8G187900.1.p
OG0004081	Ds_00006179-RA, Ds_00006285-RA	Bevul.4G140700.1.p
OG0004082	Ds_00004581-RA	Bevul.1G201900.1.p
OG0004084	Ds_00004060-RA	Bevul.4G214500.1.p
OG0004084	Ds_00009104-RA	Bevul.3G113900.1.p
OG0004085	Ds_00013012-RA	Bevul.9G137400.1.p
OG0004085	Ds_00014464-RA	Bevul.6G033200.1.p
OG0004086	Ds_00014000-RA, Ds_00008964-RA	Bevul.6G156400.1.p
OG0004087	Ds_00015540-RA	Bevul.4G188700.1.p
OG0004088	Ds_00010124-RA	Bevul.3G112700.1.p
OG0004089	Ds_00008067-RA	Bevul.5G013700.1.p
OG0004090	Ds_00005375-RA	Bevul.6G005700.1.p
OG0004090	Ds_00002519-RA	Bevul.1G002900.1.p
OG0004091	Ds_00003510-RA	Bevul.1G110600.1.p
OG0004092	Ds_00016560-RA	Bevul.6G029000.1.p
OG0004093	Ds_00000303-RA	Bevul.9G232600.1.p, Bevul.9G232500.1.p
OG0004096	Ds_00017344-RA	Bevul.2G205300.8.p, Bevul.2G205300.7.p, Bevul.2G205300.1.p, Bevul.2G205300.11.p, Bevul.2G205300.3.p, Bevul.2G205300.9.p, Bevul.2G205300.6.p, Bevul.2G205300.2.p, Bevul.2G205300.4.p, Bevul.2G205300.5.p, Bevul.2G205300.10.p
OG0004097	Ds_00002270-RA	Bevul.1G117300.1.p
OG0004098	Ds_00009988-RA	Bevul.6G057200.1.p
OG0004099	Ds_00017416-RA	Bevul.9G182500.1.p, Bevul.9G182400.1.p
OG0004100	Ds_00017433-RA	Bevul.3G015900.1.p
OG0004101	Ds_00004003-RA, Ds_00017214-RA	Bevul.4G185100.1.p
OG0004102	Ds_00015287-RA	Bevul.9G130900.2.p, Bevul.9G130900.1.p, Bevul.9G130900.4.p, Bevul.9G130900.6.p, Bevul.9G130900.3.p, Bevul.9G130900.5.p
OG0004103	Ds_00000132-RA	Bevul.1G162200.1.p
OG0004104	Ds_00001966-RA	Bevul.8G007900.1.p
OG0004105	Ds_00000285-RA	Bevul.8G115600.1.p
OG0004106	Ds_00016612-RA	Bevul.6G018900.1.p
OG0004109	Ds_00010901-RA, Ds_00011224-RA	Bevul.6G084300.1.p
OG0004110	Ds_00001199-RA	Bevul.9G090700.1.p
OG0004111	Ds_00006745-RA, Ds_00009405-RA	Bevul.6G012500.1.p
OG0004112	Ds_00013031-RA	Bevul.9G149000.1.p, Bevul.9G149000.2.p
OG0004113	Ds_00011896-RA	Bevul.6G238700.1.p
OG0004114	Ds_00007745-RA	Bevul.8G082300.1.p
OG0004115	Ds_00014635-RA	Bevul.3G059100.1.p
OG0004116	Ds_00011865-RA, Ds_00005399-RA	Bevul.6G092500.1.p
OG0004117	Ds_00017663-RA	Bevul.9G124600.4.p, Bevul.9G124600.2.p, Bevul.9G124600.1.p, Bevul.9G124600.3.p
OG0004118	Ds_00014867-RA	Bevul.5G111300.1.p
OG0004119	Ds_00004444-RA	Bevul.8G040600.1.p
OG0004120	Ds_00003224-RA	Bevul.3G054300.1.p
OG0004121	Ds_00017238-RA, Ds_00011524-RA	Bevul.8G019500.1.p
OG0004124	Ds_00013584-RA	Bevul.9G135600.2.p, Bevul.9G135600.1.p, Bevul.7G154400.1.p
OG0004125	Ds_00016871-RA	Bevul.8G213500.1.p
OG0004126	Ds_00012305-RA, Ds_00014830-RA	Bevul.9G080300.2.p, Bevul.9G080300.1.p
OG0004127	Ds_00015157-RA	Bevul.8G080800.1.p
OG0004128	Ds_00004484-RA	Bevul.8G111500.2.p, Bevul.8G111500.1.p
OG0004128	Ds_00011773-RA	Bevul.4G026400.1.p
OG0004130	Ds_00009739-RA	Bevul.5G165300.1.p
OG0004131	Ds_00017761-RA, Ds_00017760-RA, Ds_00002077-RA	Bevul.7G213000.1.p
OG0004133	Ds_00005802-RA	Bevul.3G084300.1.p
OG0004134	Ds_00005690-RA	Bevul.3G048100.1.p
OG0004135	Ds_00002376-RA, Ds_00000805-RA	Bevul.7G176600.1.p, Bevul.7G176700.1.p
OG0004136	Ds_00000731-RA	Bevul.9G206700.1.p
OG0004137	Ds_00000069-RA, Ds_00011413-RA	Bevul.9G132400.2.p, Bevul.9G132400.1.p
OG0004138	Ds_00017784-RA	Bevul.2G176000.5.p, Bevul.2G176000.3.p, Bevul.2G176000.4.p, Bevul.2G176000.1.p
OG0004138	Ds_00007229-RA	Bevul.8G168700.1.p
OG0004139	Ds_00015327-RA	Bevul.7G192500.1.p
OG0004141	Ds_00000188-RA	Bevul.8G128900.1.p
OG0004142	Ds_00002364-RA	Bevul.9G108800.2.p, Bevul.9G108800.3.p, Bevul.9G108800.4.p, Bevul.9G108800.1.p, Bevul.9G108800.6.p, Bevul.9G108800.5.p
OG0004143	Ds_00002424-RA	Bevul.9G201800.2.p, Bevul.9G201800.1.p
OG0004144	Ds_00017512-RA	Bevul.7G113000.1.p
OG0004145	Ds_00015168-RA, Ds_00001332-RA	Bevul.5G039300.1.p
OG0004146	Ds_00001566-RA	Bevul.1G139900.1.p
OG0004147	Ds_00007226-RA, Ds_00015376-RA	Bevul.8G166500.1.p
OG0004148	Ds_00007521-RA	Bevul.7G217600.1.p
OG0004149	Ds_00008054-RA	Bevul.8G114900.1.p
OG0004150	Ds_00003446-RA	Bevul.2G139800.1.p, Bevul.2G139800.4.p, Bevul.2G139800.2.p, Bevul.2G139800.3.p
OG0004151	Ds_00003575-RA, Ds_00004606-RA	Bevul.1G167500.1.p
OG0004152	Ds_00017666-RA, Ds_00003426-RA	Bevul.2G134500.1.p
OG0004153	Ds_00000680-RA	Bevul.9G195500.1.p
OG0004153	Ds_00017120-RA	Bevul.2G023900.1.p
OG0004154	Ds_00004228-RA, Ds_00002606-RA	Bevul.2G175700.1.p
OG0004156	Ds_00002863-RA	Bevul.1G196700.1.p, Bevul.1G196600.1.p
OG0004157	Ds_00002688-RA	Bevul.5G066000.1.p
OG0004158	Ds_00007288-RA	Bevul.3G051200.1.p
OG0004159	Ds_00002209-RA	Bevul.7G043900.1.p
OG0004160	Ds_00002316-RA	Bevul.7G161600.1.p
OG0004161	Ds_00002787-RA	Bevul.5G062800.1.p
OG0004162	Ds_00000783-RA	Bevul.9G111800.1.p, Bevul.9G111800.2.p
OG0004163	Ds_00016888-RA, Ds_00012589-RA	Bevul.3G038300.1.p
OG0004166	Ds_00001862-RA, Ds_00008094-RA	Bevul.4G006400.1.p
OG0004168	Ds_00004531-RA	Bevul.3G029500.1.p
OG0004169	Ds_00012943-RA	Bevul.3G085400.1.p, Bevul.5G042500.1.p
OG0004170	Ds_00015988-RA	Bevul.7G004100.1.p
OG0004171	Ds_00003267-RA	Bevul.2G105600.1.p, Bevul.2G105600.2.p
OG0004172	Ds_00005475-RA	Bevul.4G100100.1.p
OG0004173	Ds_00010018-RA	Bevul.9G067400.1.p
OG0004174	Ds_00001688-RA	Bevul.4G003700.1.p
OG0004175	Ds_00009483-RA, Ds_00012748-RA	Bevul.8G084500.1.p
OG0004176	Ds_00016416-RA	Bevul.3G109800.1.p
OG0004179	Ds_00012921-RA	Bevul.2G027700.1.p
OG0004179	Ds_00014299-RA	Bevul.7G004300.1.p
OG0004180	Ds_00000248-RA	Bevul.3G089200.1.p
OG0004181	Ds_00016338-RA, Ds_00010464-RA, Ds_00016337-RA	Bevul.2G086300.2.p, Bevul.2G086300.3.p, Bevul.2G086300.4.p, Bevul.2G086300.5.p, Bevul.2G086300.6.p, Bevul.2G086300.1.p
OG0004183	Ds_00010368-RA	Bevul.2G157200.1.p, Bevul.2G157200.2.p
OG0004184	Ds_00005999-RA	Bevul.6G145300.1.p
OG0004185	Ds_00013408-RA	Bevul.6G057800.1.p
OG0004186	Ds_00010672-RA	Bevul.4G046800.1.p
OG0004187	Ds_00014215-RA	Bevul.2G190800.1.p
OG0004188	Ds_00014952-RA	Bevul.2G033500.1.p, Bevul.2G033500.3.p, Bevul.2G033500.2.p
OG0004189	Ds_00016238-RA	Bevul.9G064600.1.p
OG0004190	Ds_00015405-RA	Bevul.7G062600.6.p, Bevul.7G062600.4.p, Bevul.7G062600.5.p, Bevul.7G062600.8.p, Bevul.7G062600.7.p, Bevul.7G062600.3.p, Bevul.7G062600.2.p, Bevul.7G062600.1.p
OG0004191	Ds_00001546-RA	Bevul.1G145800.1.p
OG0004192	Ds_00004977-RA, Ds_00015641-RA	Bevul.3G131200.1.p
OG0004193	Ds_00000934-RA	Bevul.2G007700.5.p, Bevul.2G007700.7.p, Bevul.2G007700.3.p, Bevul.2G007700.4.p, Bevul.2G007700.1.p, Bevul.2G007700.2.p, Bevul.2G007700.6.p
OG0004194	Ds_00014797-RA	Bevul.8G187300.1.p, Bevul.8G187600.1.p
OG0004195	Ds_00011522-RA	Bevul.8G019200.1.p
OG0004196	Ds_00017826-RA	Bevul.8G072500.1.p
OG0004197	Ds_00017008-RA, Ds_00001768-RA	Bevul.4G055600.1.p
OG0004198	Ds_00004492-RA	Bevul.6G008200.1.p
OG0004199	Ds_00000383-RA	Bevul.7G150100.1.p
OG0004200	Ds_00017835-RA	Bevul.2G085300.2.p, Bevul.2G085300.1.p
OG0004202	Ds_00004118-RA	Bevul.2G117600.1.p, Bevul.9G050800.1.p
OG0004203	Ds_00008092-RA	Bevul.6G215600.1.p
OG0004204	Ds_00012218-RA	Bevul.3G111900.1.p
OG0004205	Ds_00014541-RA	Bevul.9G000200.1.p, Bevul.9G000200.2.p
OG0004206	Ds_00000830-RA	Bevul.3G196200.1.p
OG0004207	Ds_00005198-RA	Bevul.9G060700.1.p
OG0004208	Ds_00015740-RA, Ds_00015739-RA, Ds_00000157-RA	Bevul.5G079900.1.p, Bevul.9G028400.1.p
OG0004209	Ds_00005841-RA	Bevul.9G048900.1.p, Bevul.9G048900.5.p, Bevul.9G048900.2.p, Bevul.9G048900.3.p, Bevul.9G048900.4.p
OG0004210	Ds_00009594-RA	Bevul.3G197300.1.p
OG0004211	Ds_00010369-RA	Bevul.5G134300.1.p
OG0004213	Ds_00001306-RA	Bevul.5G000700.1.p
OG0004214	Ds_00009170-RA	Bevul.6G204200.1.p
OG0004215	Ds_00007428-RA	Bevul.7G135100.1.p
OG0004216	Ds_00014360-RA	Bevul.1G059500.1.p
OG0004217	Ds_00007865-RA, Ds_00015348-RA	Bevul.1G056400.1.p
OG0004218	Ds_00004203-RA	Bevul.3G092000.1.p
OG0004219	Ds_00015014-RA	Bevul.1G201700.1.p
OG0004220	Ds_00015629-RA, Ds_00012924-RA	Bevul.3G091200.1.p
OG0004220	Ds_00009211-RA	Bevul.1G138800.1.p
OG0004221	Ds_00001293-RA	Bevul.5G028600.1.p
OG0004223	Ds_00002777-RA	Bevul.5G064500.1.p
OG0004223	Ds_00001387-RA	Bevul.3G027900.1.p
OG0004224	Ds_00011417-RA, Ds_00003752-RA	Bevul.1G080000.1.p
OG0004225	Ds_00003073-RA	Bevul.4G247500.1.p
OG0004226	Ds_00004640-RA	Bevul.3G142200.1.p
OG0004227	Ds_00001209-RA, Ds_00014849-RA	Bevul.7G205500.1.p
OG0004228	Ds_00006095-RA	Bevul.4G242700.1.p
OG0004229	Ds_00006703-RA	Bevul.3G085700.1.p, Bevul.3G085600.1.p
OG0004230	Ds_00001565-RA	Bevul.1G139800.1.p
OG0004231	Ds_00003399-RA	Bevul.2G125000.3.p, Bevul.2G125000.7.p, Bevul.2G125000.1.p, Bevul.2G125000.6.p, Bevul.2G125000.4.p, Bevul.2G125000.10.p, Bevul.2G125000.9.p, Bevul.2G125000.5.p, Bevul.2G125000.11.p, Bevul.2G125000.2.p, Bevul.2G125000.8.p
OG0004232	Ds_00003818-RA, Ds_00013781-RA	Bevul.7G140900.1.p
OG0004233	Ds_00007781-RA	Bevul.5G228700.1.p
OG0004234	Ds_00012888-RA	Bevul.4G137600.1.p, Bevul.4G069700.1.p
OG0004235	Ds_00009194-RA	Bevul.6G169800.1.p, Bevul.6G061200.1.p
OG0004236	Ds_00006147-RA	Bevul.4G131300.1.p
OG0004237	Ds_00014483-RA	Bevul.6G029700.1.p
OG0004238	Ds_00010869-RA	Bevul.1G085000.1.p
OG0004239	Ds_00003151-RA	Bevul.9G183500.1.p, Bevul.9G183500.2.p, Bevul.9G183500.3.p, Bevul.9G183500.4.p
OG0004240	Ds_00004797-RA, Ds_00010768-RA	Bevul.6G206300.1.p
OG0004241	Ds_00012710-RA	Bevul.3G092900.1.p
OG0004242	Ds_00001313-RA	Bevul.4G186400.1.p
OG0004243	Ds_00011274-RA	Bevul.9G158300.1.p, Bevul.9G158300.4.p, Bevul.9G158300.2.p, Bevul.9G158300.3.p
OG0004244	Ds_00006504-RA	Bevul.9G106000.6.p, Bevul.9G106000.5.p, Bevul.9G106000.1.p, Bevul.9G106000.9.p, Bevul.9G106000.10.p, Bevul.9G106000.2.p, Bevul.9G106000.4.p, Bevul.9G106000.7.p, Bevul.9G106000.11.p, Bevul.9G106000.8.p, Bevul.9G106000.3.p, Bevul.1G020900.1.p
OG0004245	Ds_00003964-RA	Bevul.4G179200.1.p
OG0004246	Ds_00004702-RA, Ds_00016828-RA	Bevul.7G093200.1.p, Bevul.7G093200.3.p, Bevul.7G093200.4.p, Bevul.7G093200.2.p
OG0004247	Ds_00016380-RA	Bevul.5G015700.1.p
OG0004248	Ds_00006816-RA	Bevul.3G171500.1.p, Bevul.5G046400.1.p
OG0004249	Ds_00005027-RA	Bevul.3G125800.1.p
OG0004250	Ds_00008096-RA	Bevul.6G163900.1.p
OG0004251	Ds_00005450-RA	Bevul.1G211800.1.p
OG0004252	Ds_00010933-RA	Bevul.6G052900.1.p, Bevul.7G108700.1.p
OG0004253	Ds_00008884-RA	Bevul.1G158200.1.p
OG0004254	Ds_00011864-RA	Bevul.6G092600.1.p
OG0004255	Ds_00011145-RA	Bevul.5G102900.1.p
OG0004257	Ds_00011390-RA	Bevul.5G216500.1.p
OG0004258	Ds_00005437-RA	Bevul.6G041500.1.p
OG0004259	Ds_00016697-RA	Bevul.2G213000.1.p, Bevul.6G128000.1.p
OG0004260	Ds_00008579-RA	Bevul.6G127900.1.p
OG0004261	Ds_00014490-RA	Bevul.6G028600.1.p
OG0004262	Ds_00013804-RA	Bevul.5G214600.1.p
OG0004263	Ds_00013173-RA, Ds_00017509-RA	Bevul.2G071000.1.p, Bevul.2G071000.2.p
OG0004264	Ds_00011047-RA, Ds_00013487-RA	Bevul.2G203100.1.p, Bevul.2G203100.3.p, Bevul.2G203100.2.p, Bevul.9G014000.1.p
OG0004265	Ds_00012617-RA	Bevul.2G125900.1.p, Bevul.2G125900.2.p
OG0004266	Ds_00003302-RA	Bevul.2G095000.3.p, Bevul.2G095000.2.p, Bevul.2G095000.1.p
OG0004267	Ds_00009023-RA	Bevul.6G193000.1.p
OG0004268	Ds_00017435-RA	Bevul.3G014600.1.p, Bevul.3G014700.1.p
OG0004268	Ds_00013513-RA	Bevul.5G092400.1.p
OG0004269	Ds_00014118-RA	Bevul.5G180200.1.p
OG0004270	Ds_00003749-RA, Ds_00011421-RA	Bevul.5G205000.1.p
OG0004271	Ds_00004845-RA, Ds_00013104-RA	Bevul.5G108700.1.p
OG0004272	Ds_00009060-RA, Ds_00009056-RA	Bevul.6G187400.1.p
OG0004273	Ds_00003795-RA	Bevul.5G217300.1.p
OG0004274	Ds_00007653-RA	Bevul.3G014900.1.p
OG0004275	Ds_00004806-RA	Bevul.6G208100.1.p
OG0004276	Ds_00016729-RA	Bevul.8G035900.1.p
OG0004279	Ds_00014330-RA	Bevul.7G127900.1.p
OG0004280	Ds_00001262-RA	Bevul.7G227900.1.p
OG0004281	Ds_00010391-RA	Bevul.9G190300.1.p, Bevul.9G190300.2.p, Bevul.9G190300.5.p, Bevul.9G190300.9.p, Bevul.9G190300.8.p, Bevul.9G190300.4.p, Bevul.9G190300.3.p, Bevul.9G190300.6.p, Bevul.9G190300.7.p, Bevul.9G190300.10.p
OG0004284	Ds_00013475-RA, Ds_00013836-RA, Ds_00008701-RA, Ds_00007080-RA, Ds_00018078-RA, Ds_00017408-RA, Ds_00002985-RA	Bevul.2G110500.1.p, Bevul.7G038200.1.p
OG0004294	Ds_00011913-RA, Ds_00001093-RA	Bevul.9G146900.1.p, Bevul.1G203600.1.p
OG0004296	Ds_00000910-RA	Bevul.7G087100.1.p
OG0004297	Ds_00006389-RA	Bevul.3G139700.1.p
OG0004298	Ds_00017592-RA	Bevul.1G140900.1.p
OG0004299	Ds_00003442-RA	Bevul.2G138700.3.p, Bevul.2G138700.2.p, Bevul.2G138700.1.p
OG0004300	Ds_00000823-RA	Bevul.3G193900.1.p
OG0004301	Ds_00013249-RA, Ds_00007137-RA	Bevul.3G169500.1.p
OG0004302	Ds_00003108-RA, Ds_00004711-RA	Bevul.4G134100.1.p
OG0004303	Ds_00003836-RA	Bevul.1G132400.1.p
OG0004305	Ds_00003891-RA	Bevul.4G203500.1.p
OG0004306	Ds_00016752-RA	Bevul.4G215500.1.p
OG0004307	Ds_00007604-RA	Bevul.3G161800.1.p
OG0004308	Ds_00017786-RA	Bevul.3G152800.1.p
OG0004309	Ds_00005078-RA, Ds_00003216-RA	Bevul.3G001600.1.p
OG0004311	Ds_00016690-RA, Ds_00007089-RA	Bevul.4G103000.1.p
OG0004312	Ds_00011567-RA	Bevul.7G182300.1.p
OG0004313	Ds_00002457-RA	Bevul.5G047300.1.p, Bevul.5G047100.1.p
OG0004314	Ds_00013025-RA	Bevul.9G143600.1.p
OG0004315	Ds_00004707-RA, Ds_00009195-RA	Bevul.4G187300.2.p, Bevul.4G187300.1.p
OG0004316	Ds_00000845-RA	Bevul.6G241600.1.p, Bevul.3G201800.1.p
OG0004317	Ds_00004696-RA	Bevul.7G098200.4.p, Bevul.7G098200.3.p, Bevul.7G098200.2.p, Bevul.7G098200.1.p, Bevul.7G098200.5.p
OG0004318	Ds_00000824-RA	Bevul.8G114400.1.p, Bevul.3G194100.1.p
OG0004319	Ds_00007610-RA	Bevul.3G178400.1.p
OG0004320	Ds_00003874-RA	Bevul.4G155700.1.p
OG0004321	Ds_00007446-RA	Bevul.3G234100.1.p
OG0004322	Ds_00010079-RA	Bevul.7G206700.1.p
OG0004323	Ds_00001568-RA, Ds_00001569-RA	Bevul.1G138600.1.p
OG0004323	Ds_00006452-RA	Bevul.3G009200.1.p
OG0004325	Ds_00006929-RA	Bevul.4G144600.1.p, Bevul.8G112200.1.p
OG0004326	Ds_00000930-RA	Bevul.4G079300.1.p
OG0004327	Ds_00012399-RA	Bevul.7G074000.2.p, Bevul.7G074000.1.p, Bevul.7G074000.3.p
OG0004328	Ds_00017927-RA	Bevul.7G061400.6.p, Bevul.7G061400.5.p, Bevul.7G061400.3.p, Bevul.7G061400.7.p, Bevul.7G061400.4.p, Bevul.7G061400.2.p, Bevul.7G061400.9.p, Bevul.7G061400.8.p, Bevul.7G061400.1.p, Bevul.1G166800.1.p
OG0004329	Ds_00012675-RA	Bevul.3G210500.1.p
OG0004330	Ds_00012517-RA, Ds_00011641-RA	Bevul.1G193000.1.p
OG0004331	Ds_00003120-RA	Bevul.3G158700.1.p
OG0004332	Ds_00006172-RA	Bevul.4G135000.1.p
OG0004334	Ds_00004759-RA, Ds_00000880-RA	Bevul.5G161000.1.p, Bevul.2G182500.1.p
OG0004335	Ds_00011076-RA	Bevul.2G194900.1.p, Bevul.2G194900.2.p
OG0004336	Ds_00010171-RA	Bevul.9G103100.1.p, Bevul.2G028100.1.p
OG0004338	Ds_00003316-RA	Bevul.4G027900.1.p, Bevul.6G154200.1.p
OG0004339	Ds_00003200-RA	Bevul.3G007000.1.p
OG0004340	Ds_00010338-RA, Ds_00015415-RA	Bevul.2G085100.1.p
OG0004341	Ds_00014898-RA, Ds_00010787-RA	Bevul.5G137000.1.p
OG0004343	Ds_00008946-RA	Bevul.2G044400.1.p
OG0004344	Ds_00017158-RA	Bevul.7G035300.1.p, Bevul.1G062500.1.p
OG0004345	Ds_00015295-RA, Ds_00010806-RA	Bevul.5G131200.1.p
OG0004346	Ds_00000568-RA	Bevul.4G056000.1.p
OG0004346	Ds_00013919-RA	Bevul.4G221500.1.p
OG0004347	Ds_00014900-RA, Ds_00012106-RA, Ds_00009067-RA	Bevul.2G229300.1.p
OG0004348	Ds_00013744-RA	Bevul.4G208400.1.p
OG0004349	Ds_00017956-RA, Ds_00011997-RA	Bevul.7G094700.1.p
