Orthogroup	G_max.proteins	B_vulgaris.proteins
OG0004859	GmISU01.05G036600.2.p, GmISU01.06G164100.1.p	Bevul.5G217500.1.p
OG0004859	GmISU01.05G003700.1.p, GmISU01.19G004200.1.p	Bevul.1G076200.1.p
OG0004861	GmISU01.18G224300.1.p, GmISU01.08G236800.1.p, GmISU01.10G254800.1.p, GmISU01.10G254800.2.p, GmISU01.20G206800.3.p, GmISU01.20G206800.1.p	Bevul.6G197400.1.p
OG0004862	GmISU01.09G175000.1.p, GmISU01.09G175000.2.p, GmISU01.09G175000.3.p, GmISU01.01G114400.1.p, GmISU01.01G114400.2.p, GmISU01.01G114400.3.p	Bevul.5G107700.1.p
OG0004863	GmISU01.02G064700.1.p, GmISU01.16G125400.1.p, GmISU01.16G125400.2.p, GmISU01.16G037700.1.p, GmISU01.19G082100.1.p, GmISU01.19G082100.2.p	Bevul.3G172900.1.p
OG0004864	GmISU01.03G004400.3.p, GmISU01.03G004400.2.p, GmISU01.03G004400.1.p, GmISU01.19G091200.2.p, GmISU01.19G091200.1.p	Bevul.9G138400.1.p, Bevul.9G138400.2.p
OG0004865	GmISU01.12G114900.3.p, GmISU01.12G114900.4.p, GmISU01.12G114900.2.p, GmISU01.12G114900.1.p, GmISU01.13G249400.1.p, GmISU01.12G179800.3.p, GmISU01.12G179800.2.p, GmISU01.12G179800.1.p	Bevul.4G045100.1.p
OG0004866	GmISU01.13G282900.1.p, GmISU01.11G155500.1.p	Bevul.9G028800.1.p, Bevul.9G043900.1.p
OG0004868	GmISU01.03G033500.1.p, GmISU01.01G099900.1.p, GmISU01.18G159700.1.p, GmISU01.09G232000.2.p	Bevul.7G010200.1.p
OG0004868	GmISU01.02G198000.1.p, GmISU01.02G220900.1.p, GmISU01.14G049600.1.p, GmISU01.18G019400.1.p, GmISU01.11G214300.1.p	Bevul.2G184000.1.p
OG0004869	GmISU01.04G117950.1.p, GmISU01.18G083200.1.p, GmISU01.08G282000.1.p, GmISU01.08G282000.2.p, GmISU01.02G250600.1.p	Bevul.8G054800.1.p
OG0004870	GmISU01.20G184500.1.p, GmISU01.10G131000.1.p, GmISU01.19G206300.1.p, GmISU01.03G204800.1.p	Bevul.4G132900.1.p
OG0004871	GmISU01.08G074100.1.p, GmISU01.05G102000.1.p, GmISU01.15G123000.3.p, GmISU01.09G025600.1.p	Bevul.8G097900.1.p, Bevul.8G099900.1.p
OG0004872	GmISU01.18G032600.1.p, GmISU01.18G032600.3.p, GmISU01.18G032600.4.p, GmISU01.18G032600.2.p, GmISU01.11G202200.1.p	Bevul.2G227200.2.p, Bevul.2G227200.3.p, Bevul.2G227200.1.p, Bevul.2G227200.4.p
OG0004873	GmISU01.12G181400.5.p, GmISU01.12G181400.2.p, GmISU01.13G247800.1.p, GmISU01.13G247800.2.p, GmISU01.06G223600.6.p, GmISU01.06G223600.8.p, GmISU01.06G223600.9.p, GmISU01.06G223600.2.p, GmISU01.06G223600.5.p, GmISU01.06G223600.7.p, GmISU01.12G116300.1.p	Bevul.4G047000.1.p
OG0004874	GmISU01.16G044000.1.p, GmISU01.19G076800.1.p	Bevul.6G217600.1.p
OG0004875	GmISU01.12G001100.1.p, GmISU01.12G001100.3.p, GmISU01.12G001100.4.p, GmISU01.12G001100.2.p, GmISU01.08G220500.1.p, GmISU01.12G001100.6.p, GmISU01.12G001100.7.p, GmISU01.12G001100.5.p	Bevul.1G206200.1.p
OG0004876	GmISU01.16G152000.1.p, GmISU01.09G106400.1.p, GmISU01.16G151900.1.p	Bevul.3G053100.1.p, Bevul.3G053200.1.p
OG0004877	GmISU01.16G055800.1.p, GmISU01.16G055800.2.p, GmISU01.19G064000.1.p	Bevul.7G153600.1.p
OG0004878	GmISU01.06G142300.6.p, GmISU01.06G142300.5.p, GmISU01.06G142300.4.p, GmISU01.06G142300.3.p, GmISU01.06G142300.7.p, GmISU01.06G142300.8.p, GmISU01.06G142300.2.p, GmISU01.06G142300.1.p	Bevul.4G179100.1.p
OG0004879	GmISU01.17G119500.3.p, GmISU01.17G119500.4.p, GmISU01.17G119500.2.p, GmISU01.05G043400.2.p, GmISU01.05G043400.1.p, GmISU01.06G156500.3.p, GmISU01.06G156500.1.p, GmISU01.04G157500.2.p	Bevul.5G154400.1.p
OG0004880	GmISU01.06G099900.1.p, GmISU01.14G138500.1.p, GmISU01.14G138500.2.p, GmISU01.13G057400.1.p	Bevul.1G216500.1.p
OG0004881	GmISU01.18G010200.3.p, GmISU01.11G224000.3.p, GmISU01.11G224000.2.p, GmISU01.11G224000.1.p, GmISU01.18G010200.2.p, GmISU01.18G010200.1.p, GmISU01.08G092200.4.p, GmISU01.08G092200.5.p, GmISU01.08G092200.3.p, GmISU01.08G092200.6.p, GmISU01.08G092200.2.p, GmISU01.08G092200.1.p, GmISU01.05G119000.1.p, GmISU01.05G119000.3.p	Bevul.6G169200.1.p
OG0004882	GmISU01.08G096800.1.p, GmISU01.08G096800.2.p, GmISU01.05G123100.2.p, GmISU01.05G123100.1.p	Bevul.6G204700.1.p
OG0004883	GmISU01.08G093700.1.p, GmISU01.08G093700.2.p, GmISU01.05G120000.2.p	Bevul.6G212800.1.p
OG0004884	GmISU01.05G040600.1.p, GmISU01.17G116700.1.p, GmISU01.06G159300.1.p, GmISU01.06G159300.2.p, GmISU01.04G154300.2.p, GmISU01.04G154300.4.p	Bevul.7G144200.1.p
OG0004885	GmISU01.02G048700.1.p, GmISU01.14G183200.1.p	Bevul.4G185700.1.p
OG0004886	GmISU01.11G095700.2.p, GmISU01.11G095700.1.p, GmISU01.12G026800.3.p, GmISU01.12G026800.1.p, GmISU01.12G026800.2.p	Bevul.4G123500.1.p
OG0004887	GmISU01.13G021600.1.p, GmISU01.13G021600.2.p, GmISU01.13G021600.3.p, GmISU01.13G021600.4.p, GmISU01.14G135600.1.p, GmISU01.06G114600.1.p, GmISU01.06G114600.2.p, GmISU01.04G196000.1.p	Bevul.3G043100.1.p
OG0004888	GmISU01.11G216900.3.p, GmISU01.11G216900.2.p	Bevul.2G091900.1.p
OG0004889	GmISU01.11G090500.1.p, GmISU01.04G005100.1.p	Bevul.9G141400.1.p
OG0004890	GmISU01.10G139000.2.p, GmISU01.10G139000.1.p, GmISU01.20G177600.1.p	Bevul.5G064600.1.p, Bevul.3G027600.1.p
OG0004891	GmISU01.07G213800.2.p, GmISU01.07G213800.1.p, GmISU01.17G020400.1.p, GmISU01.15G090200.1.p, GmISU01.19G170900.1.p, GmISU01.03G169000.1.p	Bevul.3G153200.1.p, Bevul.7G012200.1.p, Bevul.7G012200.2.p
OG0004892	GmISU01.17G173700.3.p, GmISU01.17G173700.1.p, GmISU01.14G111800.1.p, GmISU01.14G111800.2.p, GmISU01.11G141500.1.p	Bevul.2G123800.5.p, Bevul.2G123800.6.p, Bevul.2G123800.7.p, Bevul.2G123800.1.p, Bevul.2G123800.4.p, Bevul.2G123800.2.p, Bevul.2G123800.3.p
OG0004893	GmISU01.02G136900.2.p, GmISU01.02G136900.1.p	Bevul.7G085200.1.p, Bevul.7G085300.1.p
OG0004894	GmISU01.12G193700.5.p, GmISU01.13G232800.5.p, GmISU01.13G232800.4.p, GmISU01.12G193700.1.p, GmISU01.12G193700.3.p, GmISU01.12G193700.2.p, GmISU01.13G232800.1.p, GmISU01.13G232800.3.p, GmISU01.13G232800.2.p, GmISU01.12G193700.4.p	Bevul.4G075600.1.p
OG0004895	GmISU01.08G215300.1.p, GmISU01.08G215300.2.p, GmISU01.04G110100.2.p, GmISU01.04G110100.1.p, GmISU01.06G270600.1.p	Bevul.6G163700.1.p
OG0004896	GmISU01.01G193100.3.p, GmISU01.01G193100.2.p	Bevul.4G153700.1.p
OG0004897	GmISU01.06G150300.3.p, GmISU01.06G150300.2.p, GmISU01.06G150300.1.p, GmISU01.04G163100.1.p, GmISU01.08G006600.1.p	Bevul.5G164100.1.p
OG0004898	GmISU01.11G232600.3.p, GmISU01.11G232600.2.p, GmISU01.11G232600.1.p, GmISU01.11G232600.4.p, GmISU01.18G001600.1.p, GmISU01.18G001600.2.p, GmISU01.18G001600.3.p	Bevul.3G114000.1.p
OG0004899	GmISU01.03G130800.1.p, GmISU01.03G130800.3.p	Bevul.7G114300.1.p
OG0004900	GmISU01.08G219500.1.p, GmISU01.16G001400.2.p, GmISU01.12G136100.1.p	Bevul.6G145700.1.p
OG0004901	GmISU01.19G218800.1.p, GmISU01.19G218600.2.p, GmISU01.19G218600.1.p	Bevul.5G063800.1.p, Bevul.1G198900.1.p
OG0004902	GmISU01.08G017300.1.p, GmISU01.05G180600.1.p, GmISU01.01G180900.1.p, GmISU01.11G018800.1.p	Bevul.5G024500.1.p
OG0004903	GmISU01.17G153700.1.p, GmISU01.05G079500.1.p	Bevul.6G005900.1.p, Bevul.6G005800.1.p
OG0004904	GmISU01.13G100000.1.p, GmISU01.19G134600.2.p, GmISU01.19G134600.1.p, GmISU01.03G130700.2.p, GmISU01.03G130700.1.p, GmISU01.03G130700.3.p	Bevul.7G114000.1.p
OG0004905	GmISU01.05G125200.3.p, GmISU01.05G125200.2.p, GmISU01.08G098700.2.p, GmISU01.05G125200.1.p, GmISU01.08G098700.1.p	Bevul.3G024000.1.p
OG0004906	GmISU01.08G095600.1.p, GmISU01.08G095600.2.p, GmISU01.18G005700.1.p, GmISU01.11G228300.1.p	Bevul.6G207100.1.p
OG0004907	GmISU01.18G005600.1.p, GmISU01.11G228400.1.p, GmISU01.05G121800.1.p, GmISU01.08G095700.1.p	Bevul.6G206800.1.p, Bevul.6G206900.1.p, Bevul.6G207000.1.p
OG0004909	GmISU01.16G018100.3.p, GmISU01.16G018100.1.p, GmISU01.16G018100.2.p, GmISU01.07G047800.1.p, GmISU01.07G047800.3.p, GmISU01.08G205400.1.p	Bevul.1G197800.1.p
OG0004910	GmISU01.11G229600.2.p, GmISU01.11G229600.1.p, GmISU01.18G004600.1.p, GmISU01.18G004600.2.p, GmISU01.08G096700.4.p, GmISU01.08G096700.1.p, GmISU01.05G123000.1.p, GmISU01.08G096700.2.p, GmISU01.05G123000.2.p, GmISU01.08G096700.3.p	Bevul.6G204900.1.p
OG0004911	GmISU01.04G087200.1.p, GmISU01.04G087200.3.p, GmISU01.04G087200.2.p, GmISU01.02G109301.1.p, GmISU01.06G089100.1.p	Bevul.6G158100.1.p
OG0004912	GmISU01.08G039000.1.p, GmISU01.05G201100.1.p, GmISU01.17G003700.1.p	Bevul.5G242700.1.p
OG0004913	GmISU01.06G082000.2.p, GmISU01.06G082000.1.p, GmISU01.04G080300.3.p, GmISU01.04G080300.1.p, GmISU01.04G080300.4.p	Bevul.1G013700.1.p
OG0004915	GmISU01.17G131900.4.p, GmISU01.17G131900.3.p, GmISU01.05G056700.2.p, GmISU01.05G056700.1.p, GmISU01.05G056700.3.p	Bevul.5G068800.1.p
OG0004916	GmISU01.14G143100.1.p, GmISU01.13G061900.1.p, GmISU01.14G143200.1.p, GmISU01.04G092600.1.p, GmISU01.04G092400.1.p, GmISU01.04G092500.1.p, GmISU01.06G095000.1.p	Bevul.1G099600.1.p
OG0004917	GmISU01.08G096200.1.p, GmISU01.05G122400.1.p, GmISU01.11G229000.1.p	Bevul.6G205700.1.p, Bevul.6G040700.1.p
OG0004918	GmISU01.07G062000.2.p, GmISU01.07G062000.4.p, GmISU01.07G062000.7.p, GmISU01.07G062000.1.p, GmISU01.07G062000.3.p, GmISU01.07G062000.8.p, GmISU01.16G031200.2.p, GmISU01.16G031200.5.p, GmISU01.16G031200.1.p	Bevul.5G152100.1.p
OG0004919	GmISU01.08G022000.1.p, GmISU01.05G185900.1.p	Bevul.5G015300.1.p
OG0004920	GmISU01.19G000400.1.p, GmISU01.19G000400.2.p, GmISU01.05G000200.3.p, GmISU01.05G000200.4.p, GmISU01.05G000200.2.p, GmISU01.05G000200.1.p	Bevul.3G020900.1.p
OG0004921	GmISU01.18G225800.1.p, GmISU01.08G238100.1.p, GmISU01.15G132200.1.p, GmISU01.09G036200.1.p	Bevul.5G132500.1.p
OG0004922	GmISU01.08G093600.1.p, GmISU01.18G008300.1.p, GmISU01.11G225900.1.p	Bevul.6G213000.1.p
OG0004923	GmISU01.06G111500.5.p, GmISU01.06G111500.1.p, GmISU01.04G198500.1.p, GmISU01.04G198500.4.p, GmISU01.06G111500.7.p, GmISU01.06G111500.6.p	Bevul.1G080700.1.p
OG0004924	GmISU01.04G192500.2.p, GmISU01.04G192500.1.p	Bevul.3G035400.1.p
OG0004925	GmISU01.19G031800.1.p, GmISU01.19G031800.3.p, GmISU01.19G031800.5.p, GmISU01.19G031800.6.p, GmISU01.11G055900.5.p, GmISU01.19G031800.2.p, GmISU01.19G031800.4.p, GmISU01.11G055900.2.p	Bevul.6G135300.1.p
OG0004926	GmISU01.12G026500.1.p, GmISU01.12G026500.2.p, GmISU01.11G095400.1.p, GmISU01.01G089850.1.p	Bevul.9G013100.2.p, Bevul.9G013100.1.p
OG0004927	GmISU01.20G042800.2.p, GmISU01.20G042800.1.p, GmISU01.01G178100.2.p, GmISU01.01G178100.3.p	Bevul.8G141200.1.p
OG0004928	GmISU01.17G076500.2.p, GmISU01.17G076500.5.p, GmISU01.17G076500.1.p, GmISU01.17G076500.6.p, GmISU01.17G076500.4.p, GmISU01.17G076500.3.p	Bevul.5G170300.1.p
OG0004930	GmISU01.19G008600.1.p, GmISU01.13G141300.1.p	Bevul.3G143700.1.p, Bevul.5G210500.1.p
OG0004931	GmISU01.19G014300.1.p, GmISU01.13G045800.1.p, GmISU01.02G023900.1.p, GmISU01.01G034900.1.p	Bevul.6G247300.1.p
OG0004932	GmISU01.19G019400.5.p, GmISU01.19G019400.7.p, GmISU01.19G019400.6.p, GmISU01.19G019400.4.p, GmISU01.19G019400.1.p, GmISU01.19G019400.3.p, GmISU01.13G041800.3.p, GmISU01.13G041800.2.p, GmISU01.13G041800.1.p	Bevul.6G156700.1.p
OG0004933	GmISU01.15G072900.2.p, GmISU01.15G155700.1.p	Bevul.4G223900.1.p, Bevul.4G226200.1.p, Bevul.4G224800.1.p, Bevul.4G227000.1.p
OG0004934	GmISU01.16G025300.1.p, GmISU01.16G025300.2.p, GmISU01.07G054700.1.p	Bevul.5G229700.1.p
OG0004936	GmISU01.08G255600.1.p, GmISU01.18G111600.1.p, GmISU01.01G027400.1.p, GmISU01.06G088100.2.p, GmISU01.06G088100.4.p, GmISU01.06G088100.3.p, GmISU01.06G088100.1.p, GmISU01.04G086500.2.p, GmISU01.04G086500.8.p	Bevul.6G188000.1.p
OG0004938	GmISU01.05G061000.1.p	Bevul.5G077000.1.p
OG0004939	GmISU01.16G065900.1.p	Bevul.2G095600.1.p
OG0004940	GmISU01.01G187800.1.p	Bevul.3G120600.1.p
OG0004942	GmISU01.01G112900.1.p, GmISU01.09G172100.1.p, GmISU01.16G089000.1.p, GmISU01.16G066000.1.p	Bevul.5G102200.1.p
OG0004943	GmISU01.08G087800.1.p, GmISU01.05G115300.1.p	Bevul.6G142800.1.p
OG0004944	GmISU01.18G036500.3.p, GmISU01.11G198000.4.p, GmISU01.11G198000.5.p, GmISU01.11G198000.3.p, GmISU01.11G198000.1.p, GmISU01.18G036500.2.p, GmISU01.18G036500.1.p	Bevul.2G203700.1.p
OG0004945	GmISU01.05G209500.1.p, GmISU01.08G047200.1.p	Bevul.8G094600.1.p
OG0004948	GmISU01.02G090500.2.p, GmISU01.02G090500.6.p, GmISU01.02G090500.1.p, GmISU01.02G090500.7.p, GmISU01.01G071400.2.p, GmISU01.01G071400.3.p, GmISU01.01G071400.1.p, GmISU01.20G146700.6.p, GmISU01.20G146700.2.p	Bevul.5G117300.1.p
OG0004950	GmISU01.16G064700.1.p	Bevul.4G096600.1.p
OG0004951	GmISU01.06G166600.2.p, GmISU01.06G166600.1.p, GmISU01.05G033600.1.p, GmISU01.17G082400.1.p, GmISU01.17G082400.2.p	Bevul.5G212500.1.p
OG0004952	GmISU01.09G175100.1.p, GmISU01.09G175100.2.p, GmISU01.09G175100.3.p, GmISU01.01G114500.2.p, GmISU01.01G114500.1.p	Bevul.5G108200.1.p
OG0004953	GmISU01.17G132550.1.p	Bevul.5G070500.1.p, Bevul.5G070600.1.p
OG0004954	GmISU01.01G055300.1.p, GmISU01.02G108600.2.p	Bevul.6G107400.1.p
OG0004955	GmISU01.08G085800.1.p, GmISU01.08G085800.2.p, GmISU01.05G113500.2.p	Bevul.6G116400.1.p
OG0004956	GmISU01.02G076300.2.p, GmISU01.02G076300.1.p, GmISU01.07G144700.1.p, GmISU01.05G205100.1.p, GmISU01.05G205100.2.p, GmISU01.08G042400.1.p	Bevul.6G147000.1.p
OG0004957	GmISU01.04G143200.4.p, GmISU01.04G143200.2.p, GmISU01.04G143200.3.p, GmISU01.04G143200.1.p, GmISU01.06G171300.1.p, GmISU01.05G004500.1.p, GmISU01.05G004500.2.p	Bevul.5G202000.1.p
OG0004958	GmISU01.12G013600.1.p, GmISU01.11G101900.1.p, GmISU01.11G007700.2.p, GmISU01.11G007700.1.p, GmISU01.01G192300.1.p	Bevul.3G013200.1.p
OG0004960	GmISU01.09G019200.1.p, GmISU01.09G019200.2.p, GmISU01.15G117100.2.p, GmISU01.20G018900.3.p, GmISU01.20G018900.1.p, GmISU01.07G189900.1.p	Bevul.4G018300.1.p
OG0004961	GmISU01.17G071600.2.p, GmISU01.17G071600.1.p, GmISU01.05G019300.1.p, GmISU01.19G201100.1.p, GmISU01.03G200300.1.p, GmISU01.10G126801.1.p, GmISU01.20G188600.1.p	Bevul.4G145700.1.p
OG0004962	GmISU01.08G051400.1.p, GmISU01.05G213200.2.p, GmISU01.09G135200.3.p, GmISU01.09G135200.2.p, GmISU01.07G095500.2.p, GmISU01.07G095500.3.p, GmISU01.07G095500.5.p, GmISU01.07G095500.4.p, GmISU01.07G095500.1.p	Bevul.8G103300.1.p
OG0004963	GmISU01.20G084700.2.p, GmISU01.20G084700.1.p, GmISU01.10G232100.1.p, GmISU01.10G232100.4.p	Bevul.7G122200.1.p, Bevul.6G131700.1.p
OG0004964	GmISU01.01G163900.2.p, GmISU01.01G163900.1.p, GmISU01.11G035000.1.p, GmISU01.11G035000.2.p, GmISU01.11G035000.7.p, GmISU01.11G035000.8.p, GmISU01.11G035000.9.p, GmISU01.11G035000.10.p, GmISU01.11G035000.6.p, GmISU01.11G035000.5.p, GmISU01.11G035000.11.p, GmISU01.11G035000.3.p, GmISU01.11G035000.4.p	Bevul.5G078300.1.p
OG0004965	GmISU01.06G171400.1.p, GmISU01.04G143100.2.p, GmISU01.04G143100.1.p	Bevul.5G201900.1.p
OG0004967	GmISU01.17G089200.2.p, GmISU01.17G089200.3.p, GmISU01.17G089200.4.p, GmISU01.17G089200.1.p, GmISU01.05G026400.2.p, GmISU01.05G026400.1.p	Bevul.5G195200.1.p
OG0004968	GmISU01.17G113700.1.p, GmISU01.05G013800.2.p, GmISU01.05G013800.1.p	Bevul.5G168800.1.p
OG0004969	GmISU01.08G013100.1.p, GmISU01.05G176400.1.p, GmISU01.01G178300.2.p, GmISU01.01G178300.3.p, GmISU01.01G178300.1.p, GmISU01.11G021300.5.p, GmISU01.11G021300.1.p, GmISU01.11G021300.4.p, GmISU01.19G099600.1.p	Bevul.5G002100.1.p
OG0004970	GmISU01.20G001100.3.p	Bevul.9G005200.1.p
OG0004971	GmISU01.02G128000.1.p, GmISU01.10G029200.1.p	Bevul.5G240900.1.p
OG0004972	GmISU01.08G255800.1.p, GmISU01.08G255900.1.p, GmISU01.18G111300.1.p	Bevul.6G188800.1.p
OG0004973	GmISU01.19G015700.1.p, GmISU01.13G044500.1.p	Bevul.2G053400.1.p
OG0004973	GmISU01.04G142700.1.p, GmISU01.06G171800.1.p	Bevul.5G200300.1.p
OG0004974	GmISU01.02G090900.1.p, GmISU01.02G090900.3.p, GmISU01.04G112000.2.p, GmISU01.04G112000.1.p, GmISU01.01G071900.1.p, GmISU01.01G071900.2.p, GmISU01.02G091100.2.p, GmISU01.02G091100.1.p	Bevul.6G119400.1.p
OG0004975	GmISU01.17G140300.2.p, GmISU01.17G140300.3.p, GmISU01.05G064100.2.p, GmISU01.05G064100.1.p, GmISU01.01G160600.2.p, GmISU01.01G160600.1.p, GmISU01.11G037200.1.p	Bevul.5G084000.1.p
OG0004976	GmISU01.05G036300.4.p, GmISU01.05G036300.2.p, GmISU01.05G036300.1.p, GmISU01.05G036300.3.p, GmISU01.17G079750.1.p, GmISU01.04G149500.1.p, GmISU01.04G149500.2.p, GmISU01.04G149500.3.p, GmISU01.06G164501.2.p, GmISU01.06G164501.1.p, GmISU01.04G149500.4.p	Bevul.5G217100.1.p
OG0004977	GmISU01.13G037600.1.p, GmISU01.13G037600.2.p, GmISU01.19G024500.1.p	Bevul.2G070500.4.p, Bevul.2G070500.3.p, Bevul.2G070500.2.p, Bevul.2G070500.1.p
OG0004978	GmISU01.17G124900.1.p, GmISU01.05G048500.1.p, GmISU01.11G026800.1.p, GmISU01.01G171300.1.p	Bevul.5G043200.1.p
OG0004979	GmISU01.01G173000.7.p, GmISU01.01G173000.6.p, GmISU01.01G173000.3.p, GmISU01.01G173000.1.p, GmISU01.01G173000.4.p, GmISU01.01G173000.2.p, GmISU01.11G025200.1.p	Bevul.5G039900.1.p
OG0004980	GmISU01.08G234300.1.p, GmISU01.18G221000.1.p	Bevul.8G155000.1.p
OG0004981	GmISU01.15G188000.1.p	Bevul.7G045800.1.p
OG0004981	GmISU01.10G164300.1.p	Bevul.8G050700.1.p, Bevul.8G050800.1.p
OG0004982	GmISU01.04G134800.1.p, GmISU01.06G180800.2.p, GmISU01.06G180800.1.p	Bevul.5G181700.1.p
OG0004983	GmISU01.14G074200.1.p, GmISU01.17G213900.1.p	Bevul.6G104300.1.p, Bevul.4G124100.1.p, Bevul.4G124000.1.p
OG0004984	GmISU01.16G015400.1.p, GmISU01.16G015400.2.p, GmISU01.16G015400.3.p, GmISU01.07G045700.1.p	Bevul.1G200100.1.p
OG0004985	GmISU01.06G126600.1.p, GmISU01.16G107700.1.p, GmISU01.02G187000.1.p, GmISU01.02G186900.6.p, GmISU01.02G186900.5.p, GmISU01.02G186900.3.p, GmISU01.02G186900.4.p, GmISU01.02G186900.1.p, GmISU01.02G186900.11.p, GmISU01.02G186900.10.p, GmISU01.02G186900.9.p, GmISU01.02G186900.8.p, GmISU01.02G186900.7.p, GmISU01.14G155500.5.p, GmISU01.14G155500.3.p, GmISU01.14G155500.4.p, GmISU01.14G155500.2.p, GmISU01.14G155500.1.p	Bevul.3G023700.1.p
OG0004986	GmISU01.02G060300.6.p, GmISU01.02G060300.1.p, GmISU01.02G060300.5.p, GmISU01.16G120900.10.p, GmISU01.16G120900.7.p, GmISU01.16G120900.8.p, GmISU01.16G120900.9.p, GmISU01.16G120900.5.p, GmISU01.16G120900.3.p, GmISU01.16G120900.2.p, GmISU01.16G120900.6.p, GmISU01.16G120900.4.p	Bevul.3G134100.1.p
OG0004987	GmISU01.15G032900.2.p, GmISU01.15G032900.6.p, GmISU01.15G032900.4.p, GmISU01.15G032900.5.p, GmISU01.15G032900.3.p, GmISU01.13G298700.3.p, GmISU01.13G298700.1.p	Bevul.7G197600.1.p
OG0004988	GmISU01.12G074300.1.p	Bevul.2G073400.1.p, Bevul.1G109300.1.p, Bevul.7G155900.1.p, Bevul.5G120600.1.p, Bevul.5G037800.1.p, Bevul.7G039700.1.p, Bevul.1G060400.1.p, Bevul.5G237400.1.p, Bevul.5G115800.1.p, Bevul.4G037600.1.p, Bevul.4G156600.1.p, Bevul.8G096700.1.p, Bevul.6G185500.1.p, Bevul.1G045400.1.p, Bevul.7G091800.1.p, Bevul.7G091800.2.p, Bevul.1G093200.1.p, Bevul.8G113800.1.p, Bevul.2G078200.1.p
OG0004989	GmISU01.08G113900.5.p, GmISU01.05G139000.3.p	Bevul.3G109900.1.p
OG0004990	GmISU01.20G044700.1.p, GmISU01.20G044800.1.p, GmISU01.20G044600.1.p, GmISU01.20G044400.1.p, GmISU01.20G044400.2.p, GmISU01.20G044500.2.p, GmISU01.20G044500.1.p, GmISU01.06G190600.1.p, GmISU01.06G189600.2.p, GmISU01.06G189600.1.p, GmISU01.20G045000.4.p, GmISU01.20G045000.2.p, GmISU01.20G045000.3.p, GmISU01.20G045000.1.p, GmISU01.13G004000.2.p, GmISU01.13G004000.5.p, GmISU01.13G004000.1.p, GmISU01.13G004000.4.p, GmISU01.13G004000.3.p	Bevul.9G217000.1.p
OG0004991	GmISU01.14G006800.2.p, GmISU01.14G006800.4.p, GmISU01.02G264600.1.p	Bevul.9G029900.1.p, Bevul.9G029900.3.p, Bevul.9G029900.2.p
OG0004992	GmISU01.14G156000.1.p, GmISU01.02G187600.3.p, GmISU01.02G187600.2.p, GmISU01.02G187600.1.p	Bevul.9G037200.2.p, Bevul.9G037200.1.p
OG0004993	GmISU01.02G263400.2.p, GmISU01.02G263400.1.p, GmISU01.02G263400.3.p, GmISU01.14G008600.1.p, GmISU01.14G008600.2.p	Bevul.9G033000.1.p, Bevul.9G033000.2.p
OG0004998	GmISU01.09G067600.1.p	Bevul.8G158400.1.p
OG0005014	GmISU01.15G087000.1.p, GmISU01.13G186000.1.p, GmISU01.07G187300.2.p, GmISU01.07G187300.3.p, GmISU01.07G187300.4.p, GmISU01.07G187300.1.p, GmISU01.07G187300.5.p, GmISU01.20G015200.2.p, GmISU01.20G015200.4.p, GmISU01.20G015200.3.p	Bevul.8G089800.1.p
OG0005016	GmISU01.20G203600.2.p, GmISU01.20G203600.1.p, GmISU01.20G203700.2.p, GmISU01.20G203700.1.p, GmISU01.08G322500.1.p	Bevul.3G064600.1.p, Bevul.3G064700.1.p
OG0005017	GmISU01.19G201300.1.p, GmISU01.03G200500.1.p	Bevul.4G145900.1.p
OG0005018	GmISU01.13G125600.1.p, GmISU01.13G125600.2.p, GmISU01.10G063300.3.p, GmISU01.10G063300.2.p, GmISU01.10G063300.1.p	Bevul.5G124600.1.p
OG0005019	GmISU01.10G127400.1.p, GmISU01.20G188100.1.p	Bevul.4G141900.1.p
OG0005020	GmISU01.18G021400.2.p, GmISU01.18G021400.1.p, GmISU01.11G212400.1.p	Bevul.2G250700.1.p
OG0005021	GmISU01.03G054000.1.p, GmISU01.01G081300.1.p	Bevul.7G185500.1.p
OG0005023	GmISU01.12G086300.2.p, GmISU01.11G142100.2.p, GmISU01.07G148900.1.p, GmISU01.12G086300.1.p, GmISU01.11G142100.1.p, GmISU01.12G156900.1.p, GmISU01.12G156900.3.p, GmISU01.13G272500.1.p	Bevul.7G180800.1.p
OG0005024	GmISU01.12G002800.1.p, GmISU01.09G191500.1.p, GmISU01.01G027700.1.p	Bevul.5G137700.1.p
OG0005025	GmISU01.08G116200.1.p, GmISU01.05G140800.1.p, GmISU01.08G116200.2.p	Bevul.3G116300.1.p
OG0005026	GmISU01.15G222700.1.p, GmISU01.08G146200.1.p, GmISU01.08G146200.3.p	Bevul.4G224500.1.p, Bevul.4G226700.1.p, Bevul.9G195300.2.p, Bevul.9G195300.1.p
OG0005027	GmISU01.10G247400.1.p, GmISU01.20G197800.2.p, GmISU01.20G197800.1.p	Bevul.2G104900.1.p
OG0005030	GmISU01.18G185800.1.p, GmISU01.18G185800.3.p, GmISU01.09G208200.1.p	Bevul.4G161400.1.p
OG0005031	GmISU01.20G205200.3.p, GmISU01.20G205200.5.p, GmISU01.20G205200.6.p, GmISU01.20G205200.1.p, GmISU01.20G205200.4.p, GmISU01.20G205200.2.p, GmISU01.20G205200.7.p, GmISU01.20G205200.8.p, GmISU01.10G253500.1.p	Bevul.5G133300.1.p
