Orthogroup	G_max.proteins	A_thaliana.proteins
OG0004241	GmISU01.04G125100.1.p, GmISU01.06G197500.1.p	AT5G57860.4, AT5G57860.2, AT5G57860.3, AT5G57860.1
OG0004242	GmISU01.10G003300.4.p, GmISU01.10G003300.3.p, GmISU01.10G003300.1.p, GmISU01.10G003300.2.p, GmISU01.02G004500.1.p	AT5G18420.2, AT5G18420.4, AT5G18420.1, AT5G18420.3
OG0004243	GmISU01.11G103800.2.p, GmISU01.11G103800.1.p	AT2G21370.3, AT2G21370.4, AT2G21370.1, AT2G21370.2
OG0004244	GmISU01.09G174100.3.p, GmISU01.09G174100.1.p, GmISU01.09G174100.2.p, GmISU01.04G104100.1.p	AT1G11760.1
OG0004245	GmISU01.06G142400.3.p, GmISU01.06G142400.4.p, GmISU01.06G142400.2.p, GmISU01.08G001300.4.p, GmISU01.08G001300.2.p, GmISU01.08G001300.3.p, GmISU01.05G164200.4.p, GmISU01.05G164200.2.p, GmISU01.05G164200.3.p	AT5G39450.1
OG0004246	GmISU01.19G174300.1.p, GmISU01.03G172700.1.p, GmISU01.10G017800.1.p	AT1G02860.1, AT1G02860.3, AT1G02860.2
OG0004247	GmISU01.08G021800.2.p, GmISU01.08G021800.4.p, GmISU01.08G021800.3.p, GmISU01.08G021800.1.p, GmISU01.08G021800.5.p, GmISU01.05G185800.4.p, GmISU01.05G185800.3.p, GmISU01.05G185800.2.p, GmISU01.05G185800.6.p	AT4G10930.2, AT4G10930.1
OG0004248	GmISU01.17G113300.1.p, GmISU01.05G013400.2.p, GmISU01.05G013400.1.p, GmISU01.05G013400.4.p, GmISU01.05G013400.3.p, GmISU01.17G113300.2.p, GmISU01.06G187800.2.p, GmISU01.06G187800.1.p, GmISU01.04G118800.1.p	AT3G18600.1, AT5G65900.1
OG0004249	GmISU01.17G036500.4.p, GmISU01.17G036500.1.p, GmISU01.17G036500.2.p, GmISU01.13G091500.1.p, GmISU01.09G069500.2.p, GmISU01.09G069500.1.p, GmISU01.15G166500.3.p, GmISU01.15G166500.1.p	AT3G17510.1, AT3G17510.2
OG0004250	GmISU01.19G079700.2.p, GmISU01.16G040500.4.p, GmISU01.16G040500.3.p, GmISU01.16G040500.2.p, GmISU01.16G040500.1.p, GmISU01.19G079700.3.p, GmISU01.19G079700.1.p	AT5G36880.2, AT5G36880.1, AT5G36880.5, AT5G36880.3, AT5G36880.6, AT5G36880.4
OG0004251	GmISU01.10G178200.1.p, GmISU01.20G139100.1.p	AT1G34340.1
OG0004252	GmISU01.14G132500.1.p, GmISU01.14G132700.1.p	AT5G48920.1, AT1G43790.1
OG0004253	GmISU01.01G094000.1.p, GmISU01.04G029500.1.p, GmISU01.06G028200.1.p, GmISU01.06G028300.2.p, GmISU01.13G006000.1.p, GmISU01.17G218700.2.p, GmISU01.14G069000.2.p	AT1G19530.2, AT1G19530.1
OG0004254	GmISU01.11G055700.1.p, GmISU01.01G142700.1.p, GmISU01.16G116800.1.p, GmISU01.02G055200.2.p, GmISU01.02G055200.1.p	AT3G50810.1, AT3G50810.3, AT3G50810.2
OG0004255	GmISU01.01G111800.2.p, GmISU01.01G111800.1.p, GmISU01.09G171400.1.p, GmISU01.09G171400.2.p	AT5G45560.2, AT5G45560.1, AT4G19040.2, AT4G19040.3, AT4G19040.1
OG0004256	GmISU01.09G099600.1.p, GmISU01.09G099100.1.p, GmISU01.09G099100.2.p, GmISU01.09G099500.1.p, GmISU01.09G099400.1.p	AT1G70680.2, AT1G70680.1, AT1G70670.1, AT1G23240.2, AT1G23240.4, AT1G23240.1, AT1G23240.3
OG0004257	GmISU01.05G035900.2.p, GmISU01.05G035900.1.p, GmISU01.17G080200.1.p	AT5G63060.1, AT5G63060.2
OG0004258	GmISU01.05G110900.6.p, GmISU01.05G110900.2.p, GmISU01.05G110900.8.p, GmISU01.05G110900.7.p, GmISU01.08G082800.3.p	AT2G02148.3, AT2G02148.4, AT2G02148.1, AT2G02148.5, AT2G02148.2
OG0004259	GmISU01.08G326300.1.p, GmISU01.18G237800.1.p, GmISU01.19G039000.1.p, GmISU01.13G025900.1.p	AT1G68510.1, AT1G67100.1, AT3G02550.1
OG0004260	GmISU01.15G201550.1.p, GmISU01.08G037800.1.p, GmISU01.05G200100.1.p	AT1G73870.1
OG0004261	GmISU01.02G046600.6.p, GmISU01.02G046600.1.p, GmISU01.02G046600.7.p, GmISU01.02G046600.3.p, GmISU01.02G046600.4.p, GmISU01.02G046600.5.p	AT3G51140.1, AT3G51140.2
OG0004262	GmISU01.06G165300.2.p, GmISU01.06G165300.1.p, GmISU01.04G148200.1.p, GmISU01.04G148200.2.p	AT3G48195.1
OG0004263	GmISU01.08G223900.1.p, GmISU01.18G207700.1.p	AT3G01040.2, AT3G01040.3, AT3G01040.1, AT5G15470.1
OG0004265	GmISU01.14G115500.4.p, GmISU01.14G115500.5.p, GmISU01.14G115500.3.p, GmISU01.14G115500.1.p, GmISU01.14G115500.2.p, GmISU01.17G170800.3.p, GmISU01.17G170800.5.p, GmISU01.17G170800.1.p	AT4G31210.3, AT4G31210.1, AT4G31210.2
OG0004266	GmISU01.13G141900.6.p, GmISU01.13G141900.7.p, GmISU01.13G141900.4.p, GmISU01.13G141900.5.p, GmISU01.13G141900.8.p, GmISU01.13G141900.1.p, GmISU01.13G141900.2.p, GmISU01.19G009100.2.p, GmISU01.19G009100.1.p	AT3G01460.1
OG0004267	GmISU01.08G258000.1.p, GmISU01.18G109600.1.p, GmISU01.18G109600.2.p, GmISU01.02G030600.1.p, GmISU01.01G029200.1.p	AT1G23820.2, AT1G23820.1, AT1G70310.1
OG0004269	GmISU01.17G071200.4.p, GmISU01.17G071200.5.p, GmISU01.17G071200.6.p, GmISU01.17G071200.2.p, GmISU01.17G071200.3.p, GmISU01.05G020100.4.p, GmISU01.05G020100.2.p, GmISU01.05G020100.3.p, GmISU01.05G020100.1.p	AT5G07920.3, AT5G07920.1, AT5G07920.2
OG0004270	GmISU01.04G144200.1.p, GmISU01.06G170200.1.p	AT1G74910.2, AT1G74910.1, AT1G74910.3
OG0004270	GmISU01.19G041100.1.p	AT2G04650.1
OG0004271	GmISU01.16G090600.1.p, GmISU01.16G067400.2.p, GmISU01.16G067400.3.p, GmISU01.09G175600.1.p, GmISU01.01G115100.1.p	AT4G19450.1, AT4G19450.2, AT5G45275.1
OG0004272	GmISU01.01G026800.1.p, GmISU01.02G033200.1.p	AT1G60800.1, AT1G60800.2
OG0004273	GmISU01.04G149700.2.p, GmISU01.06G164200.3.p, GmISU01.04G149700.1.p, GmISU01.06G164200.2.p, GmISU01.06G164200.1.p, GmISU01.05G036500.2.p, GmISU01.05G036500.3.p, GmISU01.05G036500.1.p, GmISU01.05G036500.4.p, GmISU01.17G079500.2.p, GmISU01.17G079500.1.p, GmISU01.17G079500.3.p	AT3G54170.1
OG0004274	GmISU01.11G008800.1.p, GmISU01.01G191100.2.p, GmISU01.01G191100.3.p, GmISU01.01G191100.1.p	AT3G02980.2, AT3G02980.1, AT5G16800.1, AT5G16800.3, AT5G16800.2
OG0004275	GmISU01.18G006700.2.p, GmISU01.18G006700.1.p, GmISU01.11G227300.1.p	AT1G27920.2, AT1G27920.1
OG0004276	GmISU01.07G230800.1.p, GmISU01.17G004200.2.p, GmISU01.17G004200.1.p, GmISU01.09G014400.1.p, GmISU01.15G112100.1.p	AT5G47740.1, AT5G47740.2
OG0004278	GmISU01.13G192100.5.p, GmISU01.13G192100.4.p, GmISU01.13G192100.3.p, GmISU01.13G192100.2.p, GmISU01.13G192100.1.p	AT1G29750.3, AT1G29750.2, AT1G29750.1
OG0004279	GmISU01.08G312300.1.p, GmISU01.18G126400.1.p, GmISU01.08G312600.1.p	AT4G13090.1, AT4G13080.1, AT3G25050.1
OG0004280	GmISU01.12G152200.1.p, GmISU01.12G080400.1.p, GmISU01.12G080400.3.p, GmISU01.12G080400.2.p	AT1G08310.2, AT1G08310.1, AT1G08310.3, AT3G44510.3, AT3G44510.2, AT3G44510.1, AT3G44510.5, AT3G44510.4
OG0004281	GmISU01.13G324500.4.p, GmISU01.13G324500.1.p	AT1G52500.2, AT1G52500.1, AT1G52500.3, AT1G52500.5, AT1G52500.4
OG0004294	GmISU01.09G154000.1.p, GmISU01.07G075900.1.p	AT3G22320.1
OG0004296	GmISU01.02G137500.1.p	AT2G47900.1, AT2G47900.2, AT2G47900.3
OG0004297	GmISU01.11G004300.1.p, GmISU01.01G196600.3.p, GmISU01.01G196600.6.p, GmISU01.01G196600.7.p, GmISU01.01G196600.5.p, GmISU01.11G004300.3.p, GmISU01.11G004300.4.p, GmISU01.11G004300.2.p, GmISU01.01G196600.2.p	AT5G26240.1, AT5G26240.2
OG0004298	GmISU01.01G167900.1.p, GmISU01.11G030900.1.p	AT1G51160.2, AT1G51160.3, AT1G51160.1
OG0004299	GmISU01.04G050400.3.p, GmISU01.04G050400.1.p, GmISU01.04G050400.2.p, GmISU01.06G048700.1.p	AT5G26180.3, AT5G26180.1, AT5G26180.4, AT5G26180.2, AT5G26180.5
OG0004300	GmISU01.19G108000.1.p, GmISU01.03G103400.1.p	AT3G57500.1
OG0004300	GmISU01.02G120900.1.p, GmISU01.07G178200.1.p	AT2G26520.1
OG0004301	GmISU01.10G101600.4.p, GmISU01.10G101600.3.p, GmISU01.10G101600.2.p, GmISU01.10G101600.5.p, GmISU01.20G054000.1.p	AT2G33170.1, AT2G33170.2
OG0004302	GmISU01.15G093800.1.p, GmISU01.13G178900.1.p	AT4G13110.1
OG0004302	GmISU01.10G022300.1.p, GmISU01.02G135000.1.p	AT1G03350.1
OG0004303	GmISU01.07G074800.2.p, GmISU01.07G074800.1.p, GmISU01.03G017900.2.p, GmISU01.03G017900.1.p	AT1G48605.1, AT3G18030.1
OG0004304	GmISU01.02G242100.2.p, GmISU01.14G030700.2.p, GmISU01.14G030700.1.p	AT2G34780.2, AT2G34780.3, AT2G34780.1, AT2G34780.4
OG0004305	GmISU01.03G193200.1.p, GmISU01.19G195000.2.p, GmISU01.03G146000.2.p, GmISU01.03G146000.1.p, GmISU01.13G116900.1.p	AT5G27730.3, AT5G27730.4, AT5G27730.5, AT5G27730.2, AT5G27730.1
OG0004306	GmISU01.16G070500.1.p, GmISU01.16G070500.2.p, GmISU01.03G071900.1.p, GmISU01.09G202800.4.p, GmISU01.09G202800.2.p, GmISU01.09G202800.1.p, GmISU01.09G202800.3.p, GmISU01.18G191600.2.p, GmISU01.18G191600.3.p	AT5G48380.1
OG0004308	GmISU01.15G089900.1.p, GmISU01.15G089900.2.p, GmISU01.13G183100.1.p	AT5G18640.1, AT5G18640.3, AT5G18640.2, AT5G18640.4, AT5G18640.5, AT5G18630.3, AT5G18630.1, AT5G18630.2
OG0004309	GmISU01.07G206400.1.p, GmISU01.07G206400.3.p, GmISU01.07G206400.2.p, GmISU01.17G027200.1.p, GmISU01.09G037700.1.p	AT4G16100.1
OG0004310	GmISU01.03G153500.1.p, GmISU01.03G153500.2.p, GmISU01.19G156100.1.p	AT2G36370.1
OG0004311	GmISU01.07G054200.1.p, GmISU01.16G024900.1.p	AT1G30240.1, AT1G30240.2
OG0004312	GmISU01.19G165700.1.p, GmISU01.03G163500.2.p, GmISU01.03G163500.1.p, GmISU01.16G031100.1.p, GmISU01.16G031100.2.p, GmISU01.07G061900.1.p	AT5G62980.2, AT5G62980.1, AT3G11750.1
OG0004313	GmISU01.16G091900.1.p, GmISU01.16G067900.1.p, GmISU01.01G116600.1.p, GmISU01.09G177100.1.p, GmISU01.01G116600.2.p	AT4G19380.1, AT4G19380.2
OG0004314	GmISU01.06G005200.1.p, GmISU01.04G005700.1.p, GmISU01.06G005200.2.p, GmISU01.04G005700.2.p, GmISU01.06G005300.2.p, GmISU01.06G005300.4.p, GmISU01.06G005300.3.p, GmISU01.06G005300.5.p	AT4G38800.1, AT4G34840.4, AT4G34840.5, AT4G34840.3, AT4G34840.1, AT4G34840.2
OG0004315	GmISU01.15G135400.2.p, GmISU01.09G042500.2.p	AT3G53890.2, AT3G53890.1, AT5G27700.1
OG0004316	GmISU01.02G162300.1.p	AT3G10150.1, AT3G10150.2
OG0004317	GmISU01.10G016900.1.p	AT2G47600.1
OG0004318	GmISU01.05G205400.1.p, GmISU01.02G076600.1.p, GmISU01.11G017700.1.p, GmISU01.11G018200.1.p	AT1G58983.1, AT1G58684.1, AT1G59359.1, AT1G58380.1, AT2G41840.1, AT3G57490.1
OG0004319	GmISU01.02G148900.1.p, GmISU01.09G087500.1.p, GmISU01.19G116800.1.p, GmISU01.03G111600.1.p	AT2G41940.1, AT3G58070.1, AT5G06650.1
OG0004320	GmISU01.10G122900.3.p, GmISU01.10G122900.2.p, GmISU01.20G192500.1.p, GmISU01.03G195900.4.p, GmISU01.03G195900.3.p, GmISU01.19G197300.5.p, GmISU01.19G197300.6.p, GmISU01.19G197300.7.p, GmISU01.19G197300.2.p, GmISU01.19G197300.1.p, GmISU01.19G197300.4.p	AT1G09010.1
OG0004321	GmISU01.08G311800.2.p, GmISU01.08G311800.1.p, GmISU01.18G127000.1.p, GmISU01.03G064100.1.p, GmISU01.16G079000.1.p	AT3G25070.1, AT3G25070.2
OG0004322	GmISU01.15G036600.1.p, GmISU01.15G036600.2.p, GmISU01.13G295200.1.p, GmISU01.11G127000.1.p, GmISU01.12G057800.1.p	AT3G46540.1, AT3G46540.3, AT3G46540.2
OG0004323	GmISU01.10G005800.1.p, GmISU01.02G005000.2.p	AT5G43330.1, AT1G04410.1
OG0004324	GmISU01.20G110800.1.p, GmISU01.10G210000.1.p	AT4G14940.1
OG0004324	GmISU01.17G016900.1.p, GmISU01.02G106900.1.p, GmISU01.20G110500.1.p, GmISU01.20G110700.1.p, GmISU01.20G110600.2.p, GmISU01.20G110600.1.p	AT1G31670.1, AT1G31690.1, AT1G31710.1
OG0004325	GmISU01.12G036300.4.p, GmISU01.12G036300.3.p, GmISU01.11G105500.3.p, GmISU01.11G105500.2.p, GmISU01.11G105500.1.p	AT5G27120.1, AT3G05060.1
OG0004326	GmISU01.19G121450.1.p, GmISU01.03G117200.1.p	AT2G31530.1
OG0004327	GmISU01.03G117100.1.p, GmISU01.03G117100.2.p	AT1G03180.5, AT1G03180.1, AT1G03180.2, AT1G03180.3, AT1G03180.4, AT1G03180.6
OG0004328	GmISU01.05G095700.1.p, GmISU01.05G095700.2.p, GmISU01.08G067700.1.p, GmISU01.01G008700.1.p	AT5G64090.1
OG0004329	GmISU01.19G098200.1.p, GmISU01.03G094400.2.p, GmISU01.02G000600.1.p, GmISU01.10G000600.1.p	AT3G15590.1, AT3G15590.2, AT1G15480.1, AT1G80270.1, AT1G80270.3, AT1G80270.5, AT1G80270.4, AT1G80270.2
OG0004330	GmISU01.19G216000.1.p, GmISU01.03G214800.1.p, GmISU01.07G051100.1.p, GmISU01.16G021500.1.p	AT2G46510.1, AT1G01260.2, AT1G01260.1, AT1G01260.3
OG0004331	GmISU01.09G040100.1.p, GmISU01.15G169400.2.p	AT5G49150.6, AT5G49150.8, AT5G49150.7, AT5G49150.5, AT5G49150.2, AT5G49150.3, AT5G49150.4, AT5G49150.1
OG0004332	GmISU01.02G004400.1.p, GmISU01.10G003400.2.p, GmISU01.10G206200.1.p	AT4G14746.1, AT4G14746.2
OG0004334	GmISU01.03G040300.1.p, GmISU01.01G095400.1.p, GmISU01.18G155100.1.p, GmISU01.07G135700.1.p	AT4G15165.1, AT3G22110.1
OG0004335	GmISU01.11G137100.2.p, GmISU01.11G137100.1.p, GmISU01.12G010100.1.p, GmISU01.12G010100.2.p, GmISU01.09G184100.1.p	AT5G13800.4, AT5G13800.1, AT5G13800.2, AT5G13800.3
OG0004336	GmISU01.18G141300.1.p, GmISU01.07G121800.1.p	AT2G37860.3, AT2G37860.4, AT2G37860.2, AT2G37860.1
OG0004336	GmISU01.13G280300.1.p, GmISU01.12G148600.1.p	AT5G22790.1
OG0004338	GmISU01.15G144500.1.p, GmISU01.09G048300.1.p, GmISU01.05G108000.1.p, GmISU01.08G079500.1.p	AT2G32220.1, AT4G15000.2, AT4G15000.1, AT3G22230.1
OG0004339	GmISU01.20G167600.1.p, GmISU01.10G148500.1.p, GmISU01.02G003900.1.p, GmISU01.10G004000.2.p, GmISU01.10G004000.1.p	AT2G33470.2, AT2G33470.1
OG0004340	GmISU01.03G136300.1.p, GmISU01.19G139500.5.p, GmISU01.19G139500.4.p	AT3G53560.1, AT3G53560.2, AT2G37400.1, AT5G02590.1
OG0004341	GmISU01.18G141200.1.p, GmISU01.07G121700.1.p	AT5G02040.1, AT5G02040.2
OG0004342	GmISU01.18G120880.1.p	ATMG00516.1
OG0004343	GmISU01.11G166000.3.p, GmISU01.11G166000.4.p, GmISU01.11G166000.2.p, GmISU01.11G166000.1.p, GmISU01.11G166000.6.p, GmISU01.11G166000.5.p, GmISU01.13G166600.3.p, GmISU01.13G166600.4.p, GmISU01.13G166600.2.p, GmISU01.13G166600.1.p	AT3G54470.1
OG0004344	GmISU01.03G004000.1.p, GmISU01.19G091400.1.p, GmISU01.05G069300.1.p, GmISU01.19G056000.1.p, GmISU01.19G056000.3.p, GmISU01.19G056000.2.p	AT2G26990.1
OG0004345	GmISU01.08G237700.5.p, GmISU01.08G237700.1.p, GmISU01.08G237700.2.p, GmISU01.18G225200.1.p, GmISU01.18G225200.2.p	AT2G31660.1, AT3G59020.1, AT3G59020.2
OG0004346	GmISU01.04G037200.1.p, GmISU01.06G037100.1.p, GmISU01.14G078500.1.p, GmISU01.17G209600.1.p, GmISU01.07G199800.1.p, GmISU01.20G031000.1.p, GmISU01.14G034300.1.p, GmISU01.02G238600.1.p, GmISU01.02G238600.2.p	AT1G46264.1
OG0004347	GmISU01.07G118200.1.p	AT5G02190.1
OG0004347	GmISU01.11G199800.1.p	AT2G39710.1
OG0004348	GmISU01.09G206000.1.p	AT3G02780.2, AT5G16440.1, AT3G02780.1
OG0004349	GmISU01.03G172400.1.p, GmISU01.02G139500.1.p, GmISU01.02G139500.2.p, GmISU01.10G018100.1.p, GmISU01.19G173800.1.p	AT5G27720.1
OG0004351	GmISU01.09G040700.1.p, GmISU01.15G137300.1.p	AT4G15920.1, AT3G16690.1, AT3G16690.3, AT3G16690.2
OG0004352	GmISU01.10G066200.7.p, GmISU01.10G066200.2.p, GmISU01.10G066200.5.p, GmISU01.10G066200.4.p, GmISU01.10G066200.6.p, GmISU01.10G066200.3.p, GmISU01.02G168400.3.p, GmISU01.02G168400.1.p	AT5G06140.1
OG0004353	GmISU01.03G181400.1.p, GmISU01.03G181500.1.p, GmISU01.19G182700.1.p	AT3G29250.1, AT3G29250.3, AT3G29250.2, AT3G29260.1, AT2G47130.1, AT2G47120.1, AT2G47120.2, AT2G47150.1, AT2G47140.1
OG0004354	GmISU01.11G231900.2.p, GmISU01.11G231900.3.p, GmISU01.11G231900.6.p, GmISU01.11G231900.7.p, GmISU01.11G231900.4.p, GmISU01.11G231900.1.p, GmISU01.11G231900.5.p, GmISU01.18G002600.2.p, GmISU01.18G002600.1.p	AT4G14000.1
OG0004355	GmISU01.15G192300.1.p, GmISU01.15G192300.2.p, GmISU01.13G159900.2.p	AT1G65620.4, AT1G65620.1, AT1G65620.3, AT1G65620.5, AT1G65620.2
OG0004356	GmISU01.20G194400.1.p, GmISU01.20G194400.2.p, GmISU01.20G194400.4.p, GmISU01.20G194400.3.p	AT5G27680.3, AT5G27680.1, AT5G27680.6, AT5G27680.4, AT5G27680.2, AT5G27680.5
OG0004357	GmISU01.02G016500.1.p, GmISU01.10G017400.1.p, GmISU01.03G173500.1.p, GmISU01.19G174700.1.p, GmISU01.17G024300.1.p	AT3G62830.2, AT3G62830.1, AT2G47650.2, AT2G47650.1
OG0004358	GmISU01.20G054500.5.p, GmISU01.20G054500.4.p, GmISU01.20G054500.6.p, GmISU01.20G054500.3.p, GmISU01.20G054500.2.p, GmISU01.20G054500.1.p	AT2G33205.8, AT2G33205.4, AT2G33205.3, AT2G33205.6, AT2G33205.9, AT2G33205.5, AT2G33205.1, AT2G33205.7, AT2G33205.2
OG0004359	GmISU01.15G184600.1.p, GmISU01.15G184600.3.p, GmISU01.15G184600.2.p, GmISU01.08G212600.1.p	AT5G04930.1
OG0004360	GmISU01.03G095000.1.p, GmISU01.19G098700.1.p	AT3G56710.1, AT3G56710.2, AT2G41180.1
OG0004361	GmISU01.18G126700.3.p, GmISU01.18G126700.1.p, GmISU01.08G312000.1.p, GmISU01.08G312000.4.p	AT3G07180.2, AT3G07180.1, AT3G07180.3
OG0004362	GmISU01.02G163700.1.p, GmISU01.10G072200.1.p, GmISU01.03G163100.1.p	AT5G06490.1, AT2G35910.1
OG0004363	GmISU01.06G068600.1.p	AT2G25730.2, AT2G25730.4, AT2G25730.1, AT2G25730.3
OG0004364	GmISU01.19G102200.3.p, GmISU01.19G102200.1.p, GmISU01.03G098600.1.p	AT2G41430.4, AT2G41430.5, AT2G41430.1, AT2G41430.2, AT2G41430.3
OG0004365	GmISU01.02G169500.1.p, GmISU01.17G069300.1.p	AT2G24270.3, AT2G24270.4, AT2G24270.1, AT2G24270.2
OG0004366	GmISU01.08G241220.1.p	AT2G34900.1, AT2G34900.2
OG0004367	GmISU01.12G153800.2.p, GmISU01.12G153800.1.p, GmISU01.11G145500.1.p, GmISU01.12G082900.1.p	AT5G22350.1
OG0004368	GmISU01.09G088900.1.p, GmISU01.02G149400.3.p, GmISU01.02G149400.1.p, GmISU01.03G110900.4.p, GmISU01.03G110900.2.p, GmISU01.19G116000.1.p	AT3G58050.2, AT3G58050.1
OG0004369	GmISU01.20G196000.1.p, GmISU01.20G196000.2.p, GmISU01.10G119900.1.p	AT1G56230.2, AT1G56230.1, AT1G56230.3, AT1G56230.4
OG0004370	GmISU01.19G027100.2.p, GmISU01.15G196300.1.p, GmISU01.13G163700.1.p, GmISU01.04G112200.1.p, GmISU01.11G167300.1.p	AT3G12600.1, AT3G12600.2
OG0004371	GmISU01.01G149800.8.p, GmISU01.01G149800.9.p, GmISU01.01G149800.1.p, GmISU01.01G149800.2.p, GmISU01.01G149800.4.p, GmISU01.01G149800.5.p, GmISU01.01G149800.6.p, GmISU01.01G149800.7.p, GmISU01.11G048200.4.p, GmISU01.11G048200.5.p	AT2G42240.3, AT2G42240.1, AT2G42240.4
OG0004372	GmISU01.02G182600.1.p	AT5G26780.2, AT5G26780.3, AT5G26780.1, AT5G26780.4
OG0004372	GmISU01.18G117000.1.p, GmISU01.08G248000.1.p	AT4G37930.1
OG0004373	GmISU01.07G180400.1.p	AT3G19240.1
OG0004373	GmISU01.06G036200.1.p, GmISU01.04G036500.1.p, GmISU01.19G217400.1.p	AT4G33400.1
OG0004374	GmISU01.01G201500.4.p, GmISU01.01G201500.3.p, GmISU01.01G201500.5.p, GmISU01.01G201500.2.p, GmISU01.01G201500.1.p, GmISU01.11G000500.2.p, GmISU01.11G000500.3.p, GmISU01.11G000500.1.p	AT4G34150.1
OG0004376	GmISU01.03G138400.1.p, GmISU01.19G141300.1.p, GmISU01.03G138400.2.p	AT1G09795.1, AT1G58080.1
OG0004377	GmISU01.17G158800.3.p, GmISU01.17G158800.2.p, GmISU01.17G158800.1.p, GmISU01.05G072800.1.p, GmISU01.01G145700.5.p, GmISU01.01G145700.2.p, GmISU01.01G145700.4.p, GmISU01.01G145700.3.p, GmISU01.01G145700.1.p	AT3G50590.2, AT3G50590.1
OG0004378	GmISU01.01G201100.7.p, GmISU01.01G201100.2.p, GmISU01.01G201100.9.p, GmISU01.01G201100.8.p, GmISU01.01G201100.3.p, GmISU01.01G201100.6.p, GmISU01.01G201100.10.p, GmISU01.01G201100.4.p, GmISU01.01G201100.12.p, GmISU01.01G201100.11.p	AT5G44750.2, AT5G44750.1
OG0004379	GmISU01.06G083000.4.p, GmISU01.06G083000.6.p, GmISU01.06G083000.5.p, GmISU01.06G083000.3.p, GmISU01.06G083000.7.p, GmISU01.06G083000.2.p, GmISU01.06G083000.1.p, GmISU01.04G081700.5.p, GmISU01.04G081700.4.p, GmISU01.04G081700.6.p, GmISU01.04G081700.7.p, GmISU01.04G081700.2.p, GmISU01.04G081700.1.p, GmISU01.04G081700.3.p	AT1G27595.1
OG0004380	GmISU01.06G043400.1.p, GmISU01.04G044000.1.p	AT1G59520.6, AT1G59520.2, AT1G59520.5, AT1G59520.4, AT1G59520.1, AT1G59520.3
OG0004381	GmISU01.11G108300.1.p, GmISU01.11G108300.4.p, GmISU01.11G108300.3.p, GmISU01.11G108300.2.p, GmISU01.12G039100.5.p, GmISU01.12G039100.3.p, GmISU01.12G039100.1.p	AT2G21710.2, AT2G21710.3, AT2G21710.1
OG0004382	GmISU01.18G193700.3.p, GmISU01.18G193700.4.p, GmISU01.09G201000.4.p, GmISU01.09G201000.1.p, GmISU01.09G201000.2.p, GmISU01.09G201000.3.p	AT5G23520.2, AT5G23520.1
OG0004383	GmISU01.06G024000.1.p, GmISU01.04G025900.1.p	AT3G54350.4, AT3G54350.2, AT3G54350.1, AT3G54350.5, AT3G54350.3
OG0004384	GmISU01.08G095000.1.p, GmISU01.05G121300.1.p	AT1G67990.1, AT1G67980.1, AT1G24735.1, AT1G24735.2, AT1G24735.3
OG0004385	GmISU01.14G130600.1.p, GmISU01.13G018400.1.p, GmISU01.04G172500.3.p, GmISU01.05G162300.3.p, GmISU01.06G140900.1.p, GmISU01.04G172500.2.p, GmISU01.08G145500.2.p, GmISU01.05G162300.1.p	AT1G43890.1, AT1G43890.2, AT1G43890.3
OG0004386	GmISU01.09G225100.2.p, GmISU01.09G225100.1.p, GmISU01.18G167500.2.p	AT2G38670.1
OG0004387	GmISU01.08G059400.1.p, GmISU01.08G059400.2.p, GmISU01.07G154300.2.p	AT5G09580.2, AT5G09580.1
OG0004388	GmISU01.14G082100.1.p, GmISU01.17G205900.2.p, GmISU01.01G152900.1.p, GmISU01.11G044900.1.p, GmISU01.11G093000.1.p	AT4G24230.3, AT4G24230.4, AT4G24230.2, AT4G24230.5, AT4G24230.6, AT4G24230.1
OG0004390	GmISU01.05G158100.2.p, GmISU01.05G158100.1.p, GmISU01.08G134500.1.p, GmISU01.08G134500.2.p, GmISU01.04G176600.1.p	AT5G64760.1, AT5G64760.2, AT5G64760.3, AT5G09900.2, AT5G09900.1
OG0004391	GmISU01.12G011100.1.p, GmISU01.12G011100.2.p, GmISU01.09G183200.2.p, GmISU01.09G183200.1.p	AT4G30890.2, AT4G30890.1, AT4G30890.3
OG0004392	GmISU01.15G184500.1.p, GmISU01.15G184500.2.p, GmISU01.08G138000.1.p, GmISU01.12G022500.1.p, GmISU01.12G022500.3.p	AT3G19860.1, AT3G19860.2, AT3G19860.3
OG0004393	GmISU01.05G124200.1.p, GmISU01.08G097900.1.p, GmISU01.12G056300.1.p	AT3G57450.1
OG0004394	GmISU01.09G159400.1.p	AT5G65470.1
OG0004394	GmISU01.06G087500.1.p, GmISU01.04G085900.1.p	AT4G24530.1
OG0004395	GmISU01.06G096600.1.p, GmISU01.04G094600.1.p, GmISU01.14G141600.1.p, GmISU01.13G060300.1.p	AT5G65040.1, AT4G39795.1, AT1G78020.1, AT1G22160.1
OG0004397	GmISU01.08G129600.8.p, GmISU01.08G129600.9.p, GmISU01.08G129600.6.p, GmISU01.08G129600.7.p, GmISU01.08G129600.5.p, GmISU01.08G129600.4.p, GmISU01.08G129600.1.p, GmISU01.08G129600.2.p, GmISU01.05G153200.2.p, GmISU01.05G153200.1.p	AT4G39690.1
