Orthogroup	D_muscipula.proteins	A_thaliana.proteins
OG0005638	Dm_00020447-RA	AT1G55320.1, AT1G55320.2
OG0005639	Dm_00006198-RA	AT3G47000.1, AT3G47050.1, AT3G47010.2, AT3G47010.1, AT3G47040.1, AT3G47040.4
OG0005640	Dm_00015185-RA	AT1G62420.1, AT1G12030.1
OG0005641	Dm_00003161-RA	AT4G28250.2, AT4G28250.3, AT4G28250.4, AT4G28250.1, AT2G20750.2, AT2G20750.1
OG0005645	Dm_00007689-RA	AT5G60040.1, AT5G60040.2
OG0005647	Dm_00011107-RA, Dm_00007708-RA	AT3G53250.1, AT3G53250.2, AT2G37030.1, AT5G03310.1
OG0005648	Dm_00017794-RA	AT3G53680.1, AT3G53680.2, AT2G37520.1
OG0005650	Dm_00003945-RA	AT2G27680.1
OG0005651	Dm_00006146-RA	AT5G41970.1
OG0005652	Dm_00000709-RA, Dm_00002291-RA	AT5G45980.1, AT2G33880.2, AT2G33880.1
OG0005653	Dm_00013096-RA	AT3G21670.1
OG0005654	Dm_00007805-RA	AT5G53860.1, AT5G53860.5, AT5G53860.4, AT5G53860.2, AT5G53860.3
OG0005655	Dm_00016921-RA	AT5G58330.3, AT5G58330.2, AT5G58330.1
OG0005656	Dm_00005410-RA	AT2G40120.1
OG0005657	Dm_00005957-RA	AT3G11773.1, AT3G11773.2, AT5G06470.1
OG0005658	Dm_00007728-RA	AT3G10360.1
OG0005659	Dm_00001858-RA	AT4G00925.1
OG0005660	Dm_00004672-RA	AT4G27390.1
OG0005661	Dm_00002204-RA	AT2G26780.1, AT2G26780.2
OG0005662	Dm_00002517-RA, Dm_00005645-RA, Dm_00007375-RA	AT3G21055.1, AT3G21055.2, AT1G51400.1
OG0005663	Dm_00013739-RA	AT2G26920.1, AT5G12120.1
OG0005664	Dm_00009144-RA	AT3G32940.1
OG0005667	Dm_00001687-RA	AT4G21105.2, AT4G21105.1, AT4G21105.3
OG0005668	Dm_00015280-RA	AT3G13410.1
OG0005669	Dm_00008502-RA, Dm_00008503-RA	AT5G08010.1, AT5G61040.1
OG0005670	Dm_00013466-RA	AT2G32990.1
OG0005671	Dm_00010572-RA	AT1G36623.1, AT1G78510.1, AT1G78510.2, AT1G17050.1
OG0005672	Dm_00016105-RA	AT1G30540.4, AT1G30540.1, AT1G30540.2, AT1G30540.3
OG0005675	Dm_00000336-RA	AT1G30090.1
OG0005676	Dm_00001290-RA	AT3G10180.2, AT3G10180.1
OG0005677	Dm_00005199-RA	AT1G50710.1
OG0005679	Dm_00006737-RA	AT3G19420.1
OG0005680	Dm_00005814-RA, Dm_00017778-RA	AT1G13020.1, AT3G26400.1
OG0005681	Dm_00002358-RA	AT4G37630.2, AT4G37630.3, AT4G37630.1
OG0005682	Dm_00012985-RA, Dm_00004973-RA	AT1G20580.1
OG0005683	Dm_00007950-RA	AT4G25330.1
OG0005684	Dm_00012431-RA	AT5G63140.1
OG0005685	Dm_00002438-RA	AT4G34310.3, AT4G34310.2, AT4G34310.8, AT4G34310.10, AT4G34310.6, AT4G34310.4, AT4G34310.9, AT4G34310.5, AT4G34310.7, AT4G34310.1
OG0005686	Dm_00009683-RA	AT2G02560.1, AT2G02560.2
OG0005687	Dm_00004856-RA	AT2G21070.2, AT2G21070.1, AT2G21070.3
OG0005688	Dm_00013053-RA	AT3G26670.1, AT3G26670.2, AT3G26670.4, AT3G26670.3
OG0005689	Dm_00010815-RA	AT2G18350.1
OG0005690	Dm_00016619-RA	AT5G51970.2, AT5G51970.1
OG0005691	Dm_00008328-RA	AT4G14410.2, AT4G14410.3, AT4G14410.1
OG0005692	Dm_00011823-RA	AT2G27490.1, AT2G27490.2, AT2G27490.4, AT2G27490.3
OG0005696	Dm_00003113-RA	AT5G08620.1, AT5G08610.1, AT5G63630.1, AT5G63630.2
OG0005697	Dm_00005306-RA	AT4G20350.6, AT4G20350.2, AT4G20350.3, AT4G20350.11, AT4G20350.9, AT4G20350.5, AT4G20350.1, AT4G20350.4, AT4G20350.8, AT4G20350.7, AT4G20350.10
OG0005698	Dm_00015898-RA	AT3G01740.1, AT5G14290.1
OG0005700	Dm_00010762-RA	AT5G14230.2, AT5G14230.1
OG0005702	Dm_00016748-RA	AT2G39630.1
OG0005703	Dm_00010811-RA	AT5G40840.5, AT5G40840.6, AT5G40840.3, AT5G40840.2, AT5G40840.1, AT5G40840.4
OG0005705	Dm_00009349-RA	AT1G26665.1, AT1G26665.2, AT5G41910.2, AT5G41910.1, AT5G41910.3
OG0005706	Dm_00005533-RA	AT1G77800.5, AT1G77800.6, AT1G77800.4, AT1G77800.3, AT1G77800.2, AT1G77800.1, AT1G77800.7
OG0005707	Dm_00000985-RA, Dm_00019407-RA, Dm_00011506-RA	AT3G48560.1
OG0005708	Dm_00000563-RA, Dm_00009268-RA, Dm_00009269-RA	AT1G72680.1
OG0005709	Dm_00005786-RA	AT4G39420.2, AT4G39420.4, AT4G39420.1, AT4G39420.3
OG0005710	Dm_00009912-RA	AT3G42860.1
OG0005710	Dm_00016498-RA	AT5G13920.2, AT5G13920.1, AT1G54930.1, AT1G54930.2
OG0005711	Dm_00007690-RA	AT5G11860.3, AT5G11860.4, AT5G11860.1, AT5G11860.5, AT5G11860.2
OG0005712	Dm_00017392-RA, Dm_00014468-RA	AT2G46620.1
OG0005713	Dm_00018830-RA	AT1G78690.5, AT1G78690.4, AT1G78690.3, AT1G78690.1, AT1G78690.2
OG0005714	Dm_00002121-RA	AT3G05190.3, AT3G05190.1, AT3G05190.2, AT5G27410.3, AT5G27410.1, AT5G27410.4
OG0005714	Dm_00002120-RA	AT5G27410.2
OG0005715	Dm_00005014-RA	AT3G51130.1
OG0005716	Dm_00003266-RA	AT5G61790.1, AT5G07340.2, AT5G07340.1
OG0005717	Dm_00003051-RA	AT1G20930.1, AT1G76540.1
OG0005720	Dm_00010763-RA	AT4G10430.3, AT4G10430.1, AT1G33230.2, AT1G33230.1
OG0005722	Dm_00017747-RA	AT2G48010.1
OG0005723	Dm_00009245-RA	AT1G11050.1
OG0005725	Dm_00007332-RA	AT2G28450.2, AT2G28450.1
OG0005726	Dm_00002648-RA	AT4G36980.4, AT4G36980.3, AT4G36980.1, AT4G36980.2
OG0005727	Dm_00012587-RA	AT2G35610.1
OG0005728	Dm_00006879-RA	AT3G06810.1
OG0005729	Dm_00006428-RA	AT5G65770.3, AT5G65770.1, AT5G65780.2, AT5G65770.2
OG0005731	Dm_00008244-RA	AT5G10940.2, AT5G10940.1
OG0005732	Dm_00003537-RA	AT4G16180.2, AT4G16180.1
OG0005735	Dm_00002356-RA	AT1G27750.1
OG0005736	Dm_00015002-RA, Dm_00010367-RA	AT2G30570.1
OG0005738	Dm_00007736-RA	AT1G04010.1
OG0005740	Dm_00001823-RA, Dm_00008036-RA	AT1G09330.1
OG0005742	Dm_00017828-RA	AT3G18090.1, AT3G18090.2, AT3G18090.3, AT3G23780.1, AT3G23780.2
OG0005743	Dm_00013468-RA	AT1G14200.1
OG0005744	Dm_00015304-RA	AT5G15730.1, AT5G15730.2, AT5G15730.3
OG0005745	Dm_00014674-RA, Dm_00015488-RA	AT5G15750.1
OG0005746	Dm_00011522-RA	AT1G23380.2, AT1G23380.1, AT1G70510.2, AT1G70510.1
OG0005747	Dm_00005740-RA	AT1G32340.1
OG0005748	Dm_00015086-RA	AT2G35340.2, AT2G35340.1, AT1G32490.1, AT1G32490.2
OG0005750	Dm_00006791-RA, Dm_00006792-RA	AT1G59990.2, AT1G59990.1
OG0005752	Dm_00020612-RA, Dm_00018116-RA	AT2G44810.2, AT2G44810.1
OG0005753	Dm_00010598-RA, Dm_00012841-RA	AT2G35330.1, AT2G35330.2, AT1G32530.1
OG0005754	Dm_00013277-RA	AT5G14550.2, AT5G14550.3, AT5G14550.4, AT5G14550.1
OG0005755	Dm_00001302-RA, Dm_00010504-RA	AT5G23150.3, AT5G23150.1, AT5G23150.2, AT5G08230.1
OG0005756	Dm_00009067-RA, Dm_00012659-RA	AT1G70210.1
OG0005758	Dm_00006751-RA	AT3G01530.1, AT3G27810.1, AT3G27810.2, AT5G40350.1, AT5G40350.2
OG0005760	Dm_00004753-RA	AT1G74530.4, AT1G74530.1, AT1G74530.2, AT1G74530.3
OG0005762	Dm_00003184-RA	AT1G13700.3, AT1G13700.1, AT1G13700.2
OG0005763	Dm_00002849-RA	AT1G68270.1, AT1G65880.1, AT1G65890.1, AT1G66120.1
OG0005764	Dm_00001852-RA	AT5G63420.1
OG0005765	Dm_00007789-RA, Dm_00012577-RA	AT1G25520.1, AT1G68650.1
OG0005766	Dm_00007456-RA, Dm_00007455-RA	AT1G27070.1
OG0005767	Dm_00006794-RA	AT1G74210.1, AT5G08030.2, AT5G08030.1
OG0005769	Dm_00014448-RA	AT1G18660.2, AT1G18660.1, AT1G18660.4, AT1G18660.3
OG0005770	Dm_00001936-RA	AT1G67950.3, AT1G67950.1, AT1G67950.2, AT1G67950.4
OG0005771	Dm_00019475-RA	AT1G48840.1, AT3G18350.2, AT3G18350.3, AT3G18350.1
OG0005772	Dm_00004751-RA	AT5G62500.1, AT3G47690.1
OG0005773	Dm_00013369-RA	AT5G23110.1
OG0005774	Dm_00000378-RA, Dm_00001934-RA	AT2G01735.2, AT2G01735.1
OG0005776	Dm_00010313-RA	AT5G46630.1, AT5G46630.2
OG0005778	Dm_00004570-RA	AT4G17140.3, AT4G17140.2, AT4G17140.1
OG0005779	Dm_00017351-RA, Dm_00019214-RA	AT1G19020.1, AT3G48180.1
OG0005780	Dm_00001493-RA	AT4G16840.1, AT2G35658.2, AT2G35658.1, AT2G35658.3
OG0005781	Dm_00004795-RA	AT3G18100.1, AT3G18100.3, AT3G18100.4, AT3G18100.2
OG0005783	Dm_00006825-RA	AT1G10480.1
OG0005784	Dm_00011564-RA	AT5G15550.1, AT5G15550.3, AT5G15550.2
OG0005785	Dm_00016344-RA	AT5G14100.1
OG0005786	Dm_00001489-RA	AT5G63050.1, AT5G63050.2
OG0005787	Dm_00008952-RA	AT5G19150.2, AT5G19150.1
OG0005788	Dm_00006742-RA	AT1G68580.1, AT1G68580.4, AT1G68580.3, AT1G68580.5, AT1G68580.2
OG0005789	Dm_00008791-RA	AT2G41500.1, AT2G41500.2, AT2G05720.1
OG0005790	Dm_00011698-RA	AT1G17330.1
OG0005791	Dm_00006554-RA	AT3G48170.1, AT1G74920.2, AT1G74920.1
OG0005792	Dm_00010061-RA	AT1G65690.1, AT5G36970.1
OG0005793	Dm_00007626-RA	AT5G40400.2, AT5G40400.1
OG0005795	Dm_00001065-RA	AT2G26695.1, AT2G26695.2
OG0005799	Dm_00013776-RA	AT1G02065.2, AT1G02065.1
OG0005800	Dm_00008102-RA, Dm_00004840-RA	AT1G13930.1, AT1G13930.3, AT1G13930.2, AT2G03440.1
OG0005803	Dm_00013474-RA, Dm_00005524-RA	AT1G43260.1
OG0005803	Dm_00021100-RA, Dm_00010737-RA	AT5G31412.1
OG0005824	Dm_00000175-RA	AT5G24400.1
OG0005825	Dm_00011200-RA	AT5G13780.1
OG0005826	Dm_00011735-RA	AT3G62450.1
OG0005827	Dm_00018745-RA	AT5G26760.1, AT5G26760.2
OG0005828	Dm_00013790-RA	AT4G14700.1, AT4G12620.1
OG0005829	Dm_00000576-RA	AT1G08990.1, AT1G54940.1
OG0005830	Dm_00006461-RA	AT3G55960.1
OG0005831	Dm_00005274-RA	AT5G02830.1
OG0005832	Dm_00001961-RA	AT5G16480.1, AT3G02800.1
OG0005836	Dm_00004880-RA	AT1G79010.1, AT1G16700.1
OG0005837	Dm_00001389-RA	AT3G52720.4, AT3G52720.1, AT3G52720.2, AT3G52720.3
OG0005839	Dm_00016054-RA	AT1G02720.1, AT1G02720.2, AT4G02130.3, AT4G02130.1, AT4G02130.2
OG0005840	Dm_00018749-RA, Dm_00007982-RA	AT2G33420.1, AT1G04470.1
OG0005843	Dm_00006004-RA	AT5G12430.1
OG0005844	Dm_00000803-RA	AT2G23930.2, AT3G14080.3, AT3G11500.1, AT3G11500.2, AT2G23930.1
OG0005845	Dm_00017317-RA	AT3G07300.3, AT3G07300.1, AT3G07300.2
OG0005847	Dm_00010881-RA, Dm_00019356-RA	AT3G11950.4, AT3G11950.2, AT3G11950.5, AT3G11950.1, AT3G11950.3
OG0005848	Dm_00004493-RA	AT1G65420.1
OG0005849	Dm_00001221-RA, Dm_00001967-RA	AT5G16530.2, AT5G16530.1
OG0005850	Dm_00008692-RA	AT3G58140.1
OG0005851	Dm_00004783-RA	AT5G06990.1
OG0005852	Dm_00019046-RA	AT3G54610.1
OG0005853	Dm_00015207-RA, Dm_00005125-RA	AT5G45620.1, AT4G19006.1
OG0005854	Dm_00001964-RA, Dm_00001220-RA	AT1G65295.1
OG0005855	Dm_00011442-RA	AT2G33340.2, AT2G33340.1, AT2G33340.3, AT1G04510.1, AT1G04510.2
OG0005857	Dm_00014489-RA	AT3G09390.2, AT3G09390.1, AT5G02380.1
OG0005858	Dm_00001551-RA, Dm_00002572-RA	AT2G32760.3, AT2G32760.2, AT2G32760.1
OG0005859	Dm_00006001-RA	AT4G38760.1
OG0005860	Dm_00009494-RA	AT2G10550.1, AT3G18630.1
OG0005861	Dm_00011464-RA	AT3G62040.1
OG0005864	Dm_00013918-RA	AT4G13615.1, AT3G24100.1
OG0005865	Dm_00017714-RA	AT1G32190.1
OG0005866	Dm_00020307-RA	AT2G39080.1
OG0005867	Dm_00014890-RA	AT5G02710.2, AT5G02710.1, AT5G02710.3
OG0005868	Dm_00014178-RA	AT3G23530.1, AT3G23510.1
OG0005869	Dm_00011599-RA, Dm_00019360-RA	AT1G48110.2, AT1G48110.1
OG0005871	Dm_00011221-RA, Dm_00004791-RA	AT1G48240.2, AT1G48240.1, AT3G17440.1, AT3G17440.2
OG0005872	Dm_00005043-RA	AT3G63250.1, AT3G63250.3
OG0005872	Dm_00014837-RA	AT3G22740.1
OG0005873	Dm_00011796-RA, Dm_00006781-RA	AT1G26750.1
OG0005874	Dm_00001110-RA	AT5G06970.1
OG0005875	Dm_00000240-RA	AT5G16690.1, AT5G16690.2
OG0005876	Dm_00007605-RA	AT4G19370.1, AT1G31720.5, AT1G31720.6, AT1G31720.2, AT1G31720.4, AT1G31720.1, AT1G31720.7, AT1G31720.3
OG0005877	Dm_00002573-RA	AT4G13600.1
OG0005878	Dm_00012492-RA	AT4G09820.1
OG0005880	Dm_00001219-RA	AT3G02830.2, AT3G02830.1
OG0005881	Dm_00011626-RA	AT5G02240.1, AT2G37660.1
OG0005882	Dm_00006230-RA	AT4G24440.2, AT4G24440.1
OG0005883	Dm_00007449-RA	AT5G48020.1
OG0005885	Dm_00015048-RA	AT2G47390.1
OG0005886	Dm_00017901-RA	AT3G06310.2
OG0005887	Dm_00007525-RA	AT1G51730.1
OG0005890	Dm_00002443-RA	AT1G71300.2, AT1G71270.1
OG0005891	Dm_00007943-RA	AT2G35770.1, AT3G07990.1, AT2G35780.1
OG0005893	Dm_00002637-RA	AT2G23210.1, AT2G23250.1, AT2G23260.1
OG0005895	Dm_00004549-RA	AT2G28840.1, AT2G28840.2
OG0005896	Dm_00002107-RA	AT1G08845.1, AT1G08845.3, AT1G08845.2
OG0005897	Dm_00008082-RA	AT4G28620.1, AT4G28630.1, AT5G58270.1
OG0005898	Dm_00005369-RA	AT2G32850.1, AT2G32850.2
OG0005899	Dm_00003549-RA, Dm_00005034-RA	AT5G28590.1, AT3G04590.2, AT3G04590.1
OG0005900	Dm_00015398-RA	AT1G10740.2, AT1G10740.1, AT1G10740.4, AT1G10740.3, AT1G23330.1
OG0005901	Dm_00015394-RA	AT3G05230.1, AT3G05230.2, AT5G27430.1
OG0005902	Dm_00001208-RA	AT1G65260.2, AT1G65260.1
OG0005903	Dm_00002906-RA	AT1G05640.1, AT2G31820.1
OG0005905	Dm_00001746-RA, Dm_00015738-RA	AT2G16130.1, AT2G16120.1, AT3G18830.1
OG0005907	Dm_00000154-RA	AT5G42340.1
OG0005909	Dm_00014342-RA	AT4G39910.1, AT2G22310.1
OG0005910	Dm_00008745-RA	AT4G08685.1, AT5G10130.1
OG0005911	Dm_00012147-RA	AT1G44830.1, AT1G21910.1, AT1G77640.1
OG0005912	Dm_00010072-RA	AT5G63860.1
OG0005913	Dm_00018244-RA	AT5G65560.2, AT5G65560.3, AT5G65560.1, AT1G77340.1
OG0005914	Dm_00001351-RA	AT1G27752.1, AT1G27752.2
OG0005915	Dm_00005656-RA	AT4G33350.2, AT4G33350.1
OG0005916	Dm_00002264-RA	AT2G02570.1, AT2G02570.4, AT2G02570.2, AT2G02570.3
OG0005917	Dm_00003225-RA	AT5G09390.1, AT5G09390.2
OG0005918	Dm_00016440-RA, Dm_00014100-RA	AT1G77930.3, AT1G77930.1, AT1G77930.2
OG0005919	Dm_00009323-RA	AT2G21790.1
OG0005920	Dm_00007657-RA	AT1G34270.1
OG0005921	Dm_00015069-RA	AT1G45000.1, AT5G43010.1
OG0005922	Dm_00012917-RA, Dm_00009199-RA	AT1G79100.1
OG0005923	Dm_00013727-RA	AT4G10300.1
OG0005923	Dm_00008285-RA	AT4G10290.1, AT4G10280.1
OG0005925	Dm_00002430-RA, Dm_00002431-RA	AT1G47710.1, AT1G47710.2
OG0005926	Dm_00016713-RA	AT2G22570.1, AT2G22570.2
OG0005927	Dm_00006582-RA	AT5G13970.1
OG0005928	Dm_00016390-RA	AT5G10860.1
OG0005929	Dm_00009108-RA	AT3G19170.1, AT3G19170.2, AT1G49630.4, AT1G49630.5, AT1G49630.3, AT1G49630.2, AT1G49630.1
OG0005930	Dm_00006103-RA	AT3G10140.1
OG0005931	Dm_00005398-RA	AT1G22040.1
OG0005932	Dm_00001144-RA	AT1G75000.1
OG0005932	Dm_00015385-RA	AT4G36830.1, AT4G36830.2
OG0005933	Dm_00005486-RA, Dm_00004463-RA	AT5G09260.1, AT5G63880.1, AT5G63880.2
OG0005935	Dm_00019075-RA	AT5G06810.1, AT5G06811.1
OG0005936	Dm_00011305-RA	AT5G64080.2, AT5G64080.1, AT2G13820.1, AT2G13820.3, AT2G13820.2
OG0005937	Dm_00013017-RA	AT4G04940.2, AT4G04940.1
OG0005939	Dm_00002494-RA, Dm_00017910-RA	AT1G58340.1
OG0005942	Dm_00002066-RA	AT2G17120.1
OG0005943	Dm_00002359-RA	AT2G15690.1
OG0005944	Dm_00016658-RA	AT4G32050.1
OG0005945	Dm_00001353-RA, Dm_00002360-RA	AT3G01400.1, AT5G58680.1
OG0005946	Dm_00013140-RA	AT1G21710.1
OG0005947	Dm_00001234-RA, Dm_00000118-RA	AT1G20190.2, AT1G20190.1
OG0005949	Dm_00019083-RA	AT4G15480.1, AT4G15490.1, AT4G15500.1
OG0005951	Dm_00002859-RA	AT1G59820.1
OG0005952	Dm_00005601-RA	AT1G19480.2, AT1G19480.1, AT1G75230.1, AT1G75230.2
OG0005953	Dm_00003979-RA, Dm_00007694-RA	AT2G22070.1
OG0005954	Dm_00017939-RA	AT4G23040.1, AT4G11740.1, AT4G11740.2
OG0005955	Dm_00006857-RA	AT1G47578.1, AT4G31050.1
OG0005956	Dm_00005235-RA, Dm_00002520-RA	AT1G03050.1, AT4G02650.1
OG0005957	Dm_00002267-RA	AT4G35500.1, AT4G35500.2, AT2G17530.1, AT2G17530.3
OG0005958	Dm_00017094-RA, Dm_00011525-RA	AT3G19650.1
OG0005959	Dm_00021014-RA, Dm_00004026-RA	AT4G07960.2, AT4G07960.1
OG0005960	Dm_00015785-RA	AT2G40930.1, AT2G40930.2
OG0005961	Dm_00017620-RA	AT4G32810.1, AT4G32810.2
OG0005962	Dm_00003580-RA, Dm_00003579-RA	AT3G13170.2, AT3G13170.3, AT3G13170.1
OG0005963	Dm_00006431-RA, Dm_00018295-RA	AT4G02010.1
OG0005964	Dm_00018768-RA	AT2G22260.9, AT2G22260.4, AT2G22260.2, AT2G22260.1, AT2G22260.5, AT2G22260.6, AT2G22260.8, AT2G22260.3, AT2G22260.7
OG0005965	Dm_00004064-RA	AT1G17120.1
OG0005966	Dm_00002010-RA	AT1G28560.3, AT1G28560.1, AT1G28560.2
OG0005967	Dm_00011418-RA	AT4G28190.2, AT4G28190.1, AT2G20825.1
OG0005968	Dm_00010553-RA, Dm_00015057-RA	AT5G53950.1, AT3G15170.1
OG0005969	Dm_00017790-RA	AT1G11530.1
OG0005970	Dm_00018206-RA, Dm_00005759-RA	AT3G15660.1, AT3G15660.2
OG0005971	Dm_00000747-RA	AT5G57410.3, AT5G57410.1, AT5G57410.2
OG0005972	Dm_00019650-RA	AT2G04350.2, AT2G04350.1
OG0005973	Dm_00012262-RA	AT1G14120.2, AT1G14120.1, AT1G14120.3, AT1G14130.1
OG0005974	Dm_00020369-RA	AT5G54400.1, AT3G15530.1, AT3G15530.2
OG0005975	Dm_00014326-RA	AT1G62422.1, AT1G12020.1
OG0005976	Dm_00011193-RA	AT5G12220.2, AT5G12220.1
OG0005977	Dm_00019119-RA	AT2G24200.3, AT2G24200.1, AT2G24200.2, AT4G30910.1, AT4G30920.1
OG0005978	Dm_00012418-RA	AT3G21190.1, AT1G51630.1
OG0005980	Dm_00009482-RA	AT4G30850.1, AT4G30850.2, AT2G24150.1, AT2G24150.2
OG0005981	Dm_00007182-RA	AT5G07180.2, AT5G07180.1, AT5G62230.1, AT5G62230.2
OG0005982	Dm_00008799-RA	AT2G20030.1, AT4G28890.1
OG0005984	Dm_00005238-RA	AT1G05970.2, AT1G05970.1
OG0005985	Dm_00006267-RA	AT3G16190.1
OG0005986	Dm_00018041-RA, Dm_00018475-RA	AT1G53800.4, AT1G53800.3, AT1G53800.2, AT1G53800.1
OG0005987	Dm_00015541-RA	AT1G72310.1, AT1G53820.1, AT3G14320.1, AT3G19140.1
OG0005988	Dm_00013248-RA	AT4G32980.2, AT4G32980.1
OG0005990	Dm_00004420-RA, Dm_00010903-RA	AT1G71090.1
OG0005991	Dm_00010707-RA	AT2G23200.1, AT5G24010.1
OG0005992	Dm_00019693-RA	AT4G33090.1
OG0005993	Dm_00006757-RA	AT5G24450.1, AT5G24450.2, AT3G49410.3, AT3G49410.4, AT3G49410.2, AT3G49410.1
OG0005994	Dm_00009853-RA	AT4G29330.2, AT4G29330.1
OG0005995	Dm_00003071-RA	AT1G63050.1, AT1G12640.1
OG0005996	Dm_00005380-RA	AT1G67370.1
OG0005997	Dm_00016938-RA	AT2G38740.1
OG0005998	Dm_00003983-RA	AT3G56830.5, AT3G56830.2, AT3G56830.3, AT3G56830.4, AT3G56830.7, AT3G56830.8, AT3G56830.6, AT3G56830.1
OG0006001	Dm_00013709-RA, Dm_00006863-RA	AT3G14050.1, AT1G54130.1
OG0006002	Dm_00015393-RA	AT4G25280.2, AT4G25280.1
OG0006003	Dm_00012992-RA, Dm_00001018-RA	AT3G14080.4
OG0006006	Dm_00002908-RA	AT4G31180.1, AT4G31180.2
OG0006007	Dm_00001052-RA, Dm_00000109-RA	AT5G19960.1, AT5G19960.2
OG0006008	Dm_00011689-RA, Dm_00015019-RA	AT2G25060.1, AT4G31840.1, AT5G25090.1, AT4G30590.1, AT5G57920.1, AT5G57920.3, AT5G57920.2
OG0006009	Dm_00020348-RA, Dm_00004425-RA	AT5G57655.2, AT5G57655.1
OG0006012	Dm_00020563-RA	AT5G51920.1
OG0006013	Dm_00008547-RA, Dm_00012364-RA	AT1G47250.1, AT5G42790.1
OG0006014	Dm_00006926-RA, Dm_00018629-RA	AT1G80300.1, AT1G15500.1
OG0006015	Dm_00020733-RA	AT1G11880.3, AT1G11880.1, AT1G11880.2
OG0006016	Dm_00003091-RA	AT3G15351.4, AT3G15351.6, AT3G15351.3, AT3G15351.1, AT3G15351.2, AT3G15351.7, AT3G15351.5
OG0006017	Dm_00015433-RA	AT4G32410.1, AT2G25540.1
OG0006018	Dm_00004284-RA	AT3G49260.3, AT3G49260.4, AT3G49260.1, AT3G49260.2
OG0006019	Dm_00003229-RA	AT5G28320.1, AT5G28400.1, AT3G61780.1
OG0006020	Dm_00006097-RA	AT3G54280.1, AT3G54280.2
OG0006021	Dm_00009969-RA	AT4G30720.1
OG0006022	Dm_00003964-RA	AT4G12030.5, AT4G12030.1, AT4G12030.3, AT4G12030.2, AT4G12030.4, AT4G22840.1
OG0006023	Dm_00009971-RA	AT5G57880.1
OG0006024	Dm_00019682-RA	AT1G32127.1, AT1G32127.2
OG0006025	Dm_00000261-RA	AT3G09850.1
OG0006026	Dm_00011984-RA	AT2G19950.2, AT2G19950.1
OG0006027	Dm_00001023-RA	AT2G40700.1
OG0006028	Dm_00020064-RA	AT5G30490.1, AT5G30490.3, AT5G30490.2
OG0006029	Dm_00005085-RA	AT3G53970.1, AT3G53970.2
OG0006030	Dm_00017283-RA	AT4G29060.1
OG0006031	Dm_00019024-RA	AT5G51740.1, AT5G51740.3, AT5G51740.2
OG0006032	Dm_00003624-RA	AT5G27640.1, AT5G27640.3
OG0006033	Dm_00015597-RA, Dm_00000625-RA	AT5G11320.1, AT5G11320.2, AT4G32540.1, AT4G32540.2
OG0006037	Dm_00002515-RA	AT1G15290.1, AT1G15290.2
OG0006042	Dm_00015211-RA	AT1G17420.1, AT1G72520.1
OG0006044	Dm_00013645-RA	AT5G15810.1, AT3G02320.1
OG0006046	Dm_00005753-RA	AT5G16280.2, AT5G16280.1
OG0006048	Dm_00011717-RA	AT1G08130.1, AT1G49250.1
OG0006049	Dm_00010402-RA	AT3G55400.1, AT3G55400.2
OG0006050	Dm_00004740-RA	AT3G20480.2, AT3G20480.3, AT3G20480.1, AT3G20480.4, AT3G20480.5
OG0006053	Dm_00019631-RA	AT4G18375.2, AT4G18375.3, AT4G18375.1, AT5G46190.4, AT5G46190.1, AT5G46190.3, AT5G46190.2
OG0006054	Dm_00002136-RA	AT3G20440.3, AT3G20440.2, AT3G20440.1
OG0006055	Dm_00001801-RA	AT3G05740.1, AT3G05740.2
OG0006056	Dm_00004385-RA, Dm_00005763-RA	AT5G52500.1, AT3G57400.1
OG0006057	Dm_00008187-RA, Dm_00008186-RA	AT1G64570.1
OG0006058	Dm_00011832-RA	AT2G38330.1
OG0006060	Dm_00003103-RA	AT5G02950.2, AT5G02950.1, AT3G09670.2, AT3G09670.1
OG0006061	Dm_00003534-RA	AT2G29590.1
OG0006062	Dm_00005262-RA	AT5G58490.1
OG0006064	Dm_00015762-RA	AT5G44530.2, AT5G44530.1, AT5G44530.3, AT4G20430.1, AT4G20430.2, AT4G20430.3
OG0006065	Dm_00003661-RA	AT5G23630.1
OG0006068	Dm_00001392-RA	AT5G63830.1
OG0006069	Dm_00016393-RA	AT3G15080.1
OG0006070	Dm_00004306-RA	AT1G07745.2, AT1G07745.1, AT1G07745.4, AT1G07745.5, AT1G07745.3
OG0006071	Dm_00000964-RA	AT5G16780.3, AT5G16780.2, AT5G16780.1
OG0006072	Dm_00019013-RA	AT3G54720.1
OG0006073	Dm_00004644-RA	AT2G28510.1, AT3G45610.1, AT5G60200.1
OG0006074	Dm_00002580-RA	AT4G20310.2, AT4G20310.7, AT4G20310.6, AT4G20310.3, AT4G20310.9, AT4G20310.8, AT4G20310.1, AT4G20310.5, AT4G20310.4
OG0006075	Dm_00004443-RA	AT1G78800.1
OG0006076	Dm_00005758-RA	AT5G03080.1
OG0006077	Dm_00018995-RA	AT5G47860.1
OG0006078	Dm_00000783-RA	AT2G36305.2, AT2G36305.1
OG0006080	Dm_00020648-RA	AT3G11270.1, AT3G11270.2, AT5G05780.1, AT5G05780.2
OG0006082	Dm_00015576-RA, Dm_00004055-RA	AT3G59090.3, AT3G59090.4, AT3G59090.1, AT3G59090.2
OG0006083	Dm_00003476-RA	AT3G54010.2, AT3G54010.1
OG0006084	Dm_00015432-RA	AT4G10760.1
OG0006086	Dm_00000044-RA	AT3G56190.1
