Orthogroup	D_muscipula.proteins	P_amilis.proteins
OG0005114	Dm_00013696-RA	FUN_051954-T1, FUN_045718-T1, FUN_045718-T2
OG0005115	Dm_00002835-RA	FUN_033483-T5, FUN_033483-T6, FUN_033483-T7, FUN_033483-T4, FUN_033483-T3, FUN_033483-T2, FUN_033483-T1
OG0005116	Dm_00020378-RA, Dm_00019968-RA	FUN_038587-T1
OG0005118	Dm_00005614-RA, Dm_00009734-RA	FUN_045723-T1, FUN_051970-T1
OG0005119	Dm_00007652-RA, Dm_00006273-RA	FUN_037843-T1, FUN_048434-T1
OG0005120	Dm_00010776-RA, Dm_00018875-RA	FUN_027347-T2, FUN_011994-T1, FUN_011994-T2, FUN_027347-T1
OG0005121	Dm_00006268-RA	FUN_048416-T2, FUN_048416-T1, FUN_037817-T2, FUN_037817-T3, FUN_037817-T1
OG0005122	Dm_00017995-RA	FUN_021504-T1
OG0005123	Dm_00013610-RA	FUN_020840-T3, FUN_020840-T2, FUN_020840-T1
OG0005124	Dm_00007990-RA	FUN_043176-T1, FUN_043174-T2, FUN_043174-T3, FUN_043174-T1, FUN_043174-T4
OG0005125	Dm_00016274-RA	FUN_052988-T1, FUN_052988-T2
OG0005127	Dm_00013296-RA	FUN_051851-T1
OG0005128	Dm_00012609-RA	FUN_006001-T1
OG0005129	Dm_00011938-RA	FUN_004605-T1
OG0005130	Dm_00017543-RA	FUN_030410-T1, FUN_019076-T2, FUN_019076-T1
OG0005131	Dm_00016853-RA, Dm_00007778-RA	FUN_038476-T1
OG0005133	Dm_00001091-RA	FUN_001093-T1
OG0005134	Dm_00006301-RA	FUN_002738-T2, FUN_002738-T3, FUN_002738-T1
OG0005135	Dm_00007899-RA	FUN_048548-T1
OG0005136	Dm_00001114-RA	FUN_050399-T1, FUN_050399-T2, FUN_025059-T2, FUN_025059-T1
OG0005137	Dm_00007436-RA	FUN_003803-T1
OG0005138	Dm_00008628-RA	FUN_001411-T1
OG0005139	Dm_00000765-RA	FUN_026855-T1, FUN_034043-T1
OG0005140	Dm_00012712-RA	FUN_011900-T1
OG0005141	Dm_00015512-RA, Dm_00002444-RA	FUN_004924-T2, FUN_004924-T1
OG0005145	Dm_00018175-RA	FUN_046786-T1
OG0005148	Dm_00010336-RA, Dm_00005008-RA	FUN_026045-T1, FUN_026045-T2, FUN_026045-T3
OG0005149	Dm_00004142-RA	FUN_034114-T1
OG0005152	Dm_00005220-RA	FUN_028606-T1, FUN_028606-T2
OG0005153	Dm_00006147-RA, Dm_00014334-RA	FUN_012002-T2, FUN_012001-T1
OG0005155	Dm_00004442-RA	FUN_012019-T1, FUN_012019-T2
OG0005156	Dm_00012241-RA	FUN_014191-T1, FUN_000693-T2, FUN_000693-T1
OG0005157	Dm_00000648-RA	FUN_053079-T1
OG0005158	Dm_00000862-RA	FUN_044146-T1
OG0005159	Dm_00003188-RA	FUN_033840-T1, FUN_033822-T1
OG0005160	Dm_00006761-RA	FUN_001322-T1
OG0005161	Dm_00000630-RA	FUN_008362-T1
OG0005162	Dm_00001338-RA	FUN_049778-T1, FUN_049630-T1, FUN_049630-T2
OG0005163	Dm_00020240-RA	FUN_049244-T1, FUN_037077-T1
OG0005164	Dm_00013658-RA, Dm_00007087-RA	FUN_006319-T1
OG0005165	Dm_00004262-RA	FUN_018358-T1, FUN_041169-T1
OG0005166	Dm_00005054-RA	FUN_048060-T1, FUN_048060-T2, FUN_048060-T3
OG0005167	Dm_00002089-RA, Dm_00000896-RA	FUN_017089-T1, FUN_040059-T1
OG0005169	Dm_00008457-RA	FUN_044150-T1
OG0005169	Dm_00008456-RA	FUN_050415-T1
OG0005170	Dm_00013319-RA	FUN_037127-T1, FUN_049188-T1, FUN_049188-T2
OG0005171	Dm_00021059-RA, Dm_00003616-RA, Dm_00000080-RA	FUN_007887-T1, FUN_026193-T1
OG0005173	Dm_00004533-RA	FUN_043128-T1, FUN_043128-T2
OG0005175	Dm_00016228-RA	FUN_026163-T1
OG0005176	Dm_00007317-RA	FUN_051348-T1
OG0005177	Dm_00008170-RA	FUN_004373-T1
OG0005178	Dm_00013840-RA, Dm_00020239-RA	FUN_049239-T1
OG0005179	Dm_00008635-RA, Dm_00008243-RA, Dm_00015502-RA, Dm_00003111-RA, Dm_00003110-RA	FUN_048150-T1, FUN_041145-T1
OG0005180	Dm_00008987-RA	FUN_049127-T1
OG0005182	Dm_00006531-RA	FUN_011977-T1
OG0005183	Dm_00014331-RA	FUN_032858-T1, FUN_032858-T2, FUN_032858-T3
OG0005184	Dm_00017940-RA	FUN_040755-T1
OG0005185	Dm_00001369-RA	FUN_024144-T1
OG0005186	Dm_00008780-RA	FUN_005995-T2, FUN_005995-T1
OG0005187	Dm_00000217-RA	FUN_045210-T1
OG0005188	Dm_00001066-RA	FUN_026260-T1
OG0005189	Dm_00018188-RA	FUN_042391-T2, FUN_042391-T1
OG0005190	Dm_00010921-RA	FUN_020719-T1, FUN_020719-T2
OG0005191	Dm_00007503-RA	FUN_006196-T1, FUN_006196-T2, FUN_016083-T2, FUN_016083-T1
OG0005192	Dm_00015351-RA	FUN_050043-T1
OG0005193	Dm_00013583-RA, Dm_00013582-RA, Dm_00015747-RA	FUN_040700-T1, FUN_018709-T1, FUN_018709-T2
OG0005194	Dm_00001254-RA	FUN_041665-T1, FUN_040881-T1, FUN_041668-T1, FUN_002926-T3, FUN_002926-T2, FUN_002926-T1
OG0005196	Dm_00012995-RA	FUN_017635-T1
OG0005197	Dm_00005664-RA	FUN_022336-T1
OG0005198	Dm_00000401-RA	FUN_045250-T2, FUN_045250-T1
OG0005199	Dm_00017716-RA	FUN_005138-T1
OG0005200	Dm_00007842-RA	FUN_020952-T1, FUN_026107-T1
OG0005201	Dm_00014204-RA	FUN_012395-T2, FUN_012395-T1
OG0005202	Dm_00016996-RA	FUN_032970-T1
OG0005203	Dm_00005162-RA	FUN_009003-T1, FUN_009003-T2
OG0005204	Dm_00002507-RA, Dm_00019101-RA	FUN_005439-T1
OG0005205	Dm_00011853-RA, Dm_00015946-RA	FUN_049227-T1, FUN_037090-T1
OG0005206	Dm_00006487-RA	FUN_021505-T4, FUN_021505-T1, FUN_021505-T2, FUN_021505-T3
OG0005207	Dm_00009979-RA, Dm_00018176-RA	FUN_037171-T1
OG0005209	Dm_00010204-RA	FUN_025206-T3, FUN_025206-T2
OG0005210	Dm_00014621-RA, Dm_00001005-RA	FUN_000578-T1, FUN_000578-T4, FUN_000578-T3, FUN_000578-T2
OG0005211	Dm_00016220-RA, Dm_00020497-RA	FUN_013902-T1, FUN_013902-T2
OG0005212	Dm_00005503-RA	FUN_013939-T1, FUN_013943-T1
OG0005213	Dm_00015162-RA	FUN_049981-T1
OG0005214	Dm_00007316-RA	FUN_026898-T1, FUN_013044-T1
OG0005216	Dm_00016708-RA	FUN_050066-T1, FUN_050066-T2
OG0005217	Dm_00011369-RA	FUN_040799-T2, FUN_040799-T1
OG0005218	Dm_00015633-RA	FUN_005224-T3, FUN_005224-T2, FUN_005224-T1
OG0005219	Dm_00019432-RA	FUN_034677-T1
OG0005220	Dm_00010048-RA, Dm_00014195-RA	FUN_020162-T1, FUN_050022-T1
OG0005222	Dm_00014402-RA	FUN_004985-T1
OG0005223	Dm_00005931-RA	FUN_033980-T1
OG0005225	Dm_00016480-RA	FUN_027876-T1, FUN_027873-T1
OG0005226	Dm_00016546-RA	FUN_052773-T1
OG0005227	Dm_00013039-RA	FUN_000634-T5, FUN_000634-T4, FUN_000634-T2, FUN_000634-T1, FUN_000634-T3
OG0005228	Dm_00006576-RA	FUN_033081-T1, FUN_015716-T1
OG0005231	Dm_00006352-RA	FUN_048845-T1, FUN_048844-T1, FUN_048841-T1, FUN_048842-T1, FUN_020068-T1
OG0005232	Dm_00006776-RA	FUN_008445-T1, FUN_011204-T3
OG0005233	Dm_00011934-RA	FUN_010114-T2, FUN_010114-T1
OG0005234	Dm_00008672-RA	FUN_046687-T1
OG0005235	Dm_00008604-RA, Dm_00017584-RA	FUN_026419-T1
OG0005237	Dm_00006712-RA	FUN_031370-T1
OG0005238	Dm_00005032-RA	FUN_035694-T1
OG0005240	Dm_00014598-RA, Dm_00011574-RA	FUN_008137-T1, FUN_039952-T1
OG0005241	Dm_00004602-RA	FUN_010968-T1
OG0005242	Dm_00019525-RA	FUN_032833-T1, FUN_004627-T1
OG0005243	Dm_00000843-RA	FUN_018400-T1
OG0005244	Dm_00007351-RA, Dm_00006601-RA	FUN_049046-T1
OG0005245	Dm_00020164-RA	FUN_015933-T1
OG0005245	Dm_00007975-RA	FUN_035718-T1
OG0005246	Dm_00008313-RA	FUN_012701-T1, FUN_012713-T1
OG0005246	Dm_00008314-RA	FUN_012724-T1, FUN_012724-T3, FUN_012724-T2
OG0005247	Dm_00004309-RA	FUN_049314-T1
OG0005248	Dm_00013216-RA	FUN_051636-T2
OG0005249	Dm_00010044-RA, Dm_00010032-RA	FUN_001718-T1, FUN_044429-T1
OG0005250	Dm_00001103-RA, Dm_00002229-RA	FUN_020755-T1
OG0005251	Dm_00019683-RA	FUN_018980-T1
OG0005252	Dm_00010239-RA	FUN_027330-T1
OG0005253	Dm_00002973-RA	FUN_048574-T1
OG0005254	Dm_00004477-RA, Dm_00008848-RA	FUN_004414-T1
OG0005255	Dm_00014945-RA	FUN_001572-T1
OG0005256	Dm_00000314-RA, Dm_00006909-RA, Dm_00006907-RA, Dm_00000315-RA, Dm_00006908-RA	FUN_011498-T2, FUN_011498-T1
OG0005257	Dm_00006042-RA	FUN_018509-T1, FUN_049915-T1
OG0005258	Dm_00009753-RA, Dm_00014949-RA, Dm_00009751-RA, Dm_00009752-RA	FUN_004624-T1, FUN_004623-T1
OG0005260	Dm_00012249-RA	FUN_008087-T1
OG0005262	Dm_00014663-RA	FUN_025039-T1
OG0005263	Dm_00009604-RA, Dm_00018579-RA	FUN_002092-T1
OG0005264	Dm_00010721-RA	FUN_012298-T1
OG0005265	Dm_00008638-RA	FUN_004750-T1, FUN_032949-T1
OG0005266	Dm_00017667-RA	FUN_010089-T1, FUN_010086-T1, FUN_030088-T1
OG0005267	Dm_00008831-RA	FUN_033966-T1, FUN_004408-T1
OG0005268	Dm_00003418-RA	FUN_003641-T2, FUN_003641-T1
OG0005269	Dm_00017886-RA	FUN_042693-T1
OG0005270	Dm_00014671-RA	FUN_042692-T1
OG0005272	Dm_00002132-RA	FUN_009966-T1
OG0005273	Dm_00000022-RA	FUN_004096-T2, FUN_004096-T1
OG0005274	Dm_00003171-RA	FUN_042050-T1
OG0005275	Dm_00018443-RA	FUN_025436-T1, FUN_029159-T3, FUN_029159-T2, FUN_029159-T1
OG0005276	Dm_00018391-RA, Dm_00020418-RA	FUN_032999-T1, FUN_003683-T1
OG0005277	Dm_00015237-RA	FUN_034935-T1
OG0005278	Dm_00011420-RA	FUN_027058-T2, FUN_027058-T1
OG0005279	Dm_00018264-RA	FUN_024680-T1, FUN_042857-T1
OG0005280	Dm_00012718-RA, Dm_00019634-RA	FUN_026270-T1
OG0005281	Dm_00010876-RA	FUN_040787-T1
OG0005282	Dm_00005816-RA	FUN_002991-T1
OG0005283	Dm_00011675-RA, Dm_00008445-RA	FUN_027038-T1
OG0005285	Dm_00010299-RA	FUN_045670-T1
OG0005286	Dm_00019055-RA	FUN_000916-T3, FUN_000916-T1, FUN_000916-T2
OG0005287	Dm_00001559-RA	FUN_012870-T1, FUN_012871-T1
OG0005288	Dm_00012315-RA	FUN_051159-T1
OG0005289	Dm_00006508-RA	FUN_048086-T1
OG0005291	Dm_00010183-RA	FUN_033301-T1, FUN_033269-T1, FUN_033301-T2, FUN_033269-T2
OG0005292	Dm_00004205-RA	FUN_037499-T3, FUN_037499-T1
OG0005293	Dm_00008179-RA	FUN_008909-T1, FUN_008909-T2
OG0005294	Dm_00006758-RA	FUN_014164-T2, FUN_014164-T1, FUN_014163-T1
OG0005295	Dm_00002897-RA	FUN_035584-T1, FUN_035568-T1
OG0005296	Dm_00001523-RA	FUN_022365-T1, FUN_046424-T1
OG0005297	Dm_00013281-RA	FUN_002849-T6, FUN_002849-T2, FUN_002849-T1, FUN_002849-T4, FUN_002849-T5, FUN_002849-T3
OG0005298	Dm_00020400-RA, Dm_00019620-RA	FUN_020193-T1
OG0005299	Dm_00006810-RA	FUN_037214-T1
OG0005300	Dm_00003562-RA	FUN_037436-T1, FUN_037435-T1
OG0005301	Dm_00012505-RA	FUN_041168-T1, FUN_018354-T2, FUN_018354-T1, FUN_018355-T1
OG0005302	Dm_00018142-RA	FUN_038787-T2, FUN_038787-T1, FUN_038787-T3, FUN_038787-T5, FUN_038787-T4
OG0005303	Dm_00007562-RA, Dm_00000609-RA	FUN_034235-T1, FUN_051493-T2, FUN_051493-T1
OG0005304	Dm_00016448-RA	FUN_038369-T1
OG0005305	Dm_00011600-RA	FUN_014226-T2, FUN_014226-T1
OG0005307	Dm_00007496-RA	FUN_011540-T1, FUN_011540-T2, FUN_050894-T1
OG0005310	Dm_00008242-RA	FUN_015017-T1, FUN_040345-T1
OG0005312	Dm_00011812-RA	FUN_025131-T1
OG0005313	Dm_00009806-RA	FUN_004177-T2, FUN_004177-T1
OG0005314	Dm_00008840-RA, Dm_00008839-RA	FUN_025339-T1
OG0005315	Dm_00005808-RA	FUN_025540-T1
OG0005316	Dm_00008037-RA	FUN_036055-T1, FUN_052385-T1
OG0005317	Dm_00008133-RA	FUN_050150-T1, FUN_050150-T2
OG0005318	Dm_00013144-RA, Dm_00005041-RA	FUN_010536-T1, FUN_010536-T2
OG0005320	Dm_00010872-RA, Dm_00008682-RA	FUN_032608-T1, FUN_023414-T1
OG0005321	Dm_00011293-RA	FUN_029930-T1, FUN_029930-T2
OG0005322	Dm_00012628-RA	FUN_016853-T1
OG0005324	Dm_00006481-RA	FUN_015210-T1
OG0005325	Dm_00014242-RA	FUN_047383-T1
OG0005328	Dm_00014203-RA	FUN_046851-T2, FUN_046851-T1
OG0005329	Dm_00011655-RA	FUN_022740-T1, FUN_013944-T2, FUN_013944-T1
OG0005330	Dm_00006770-RA	FUN_029840-T1, FUN_029840-T2, FUN_029840-T3
OG0005331	Dm_00000211-RA	FUN_045196-T1, FUN_043982-T1
OG0005332	Dm_00003179-RA	FUN_033845-T2, FUN_033845-T5, FUN_033845-T4, FUN_033845-T3, FUN_033845-T1
OG0005333	Dm_00001340-RA, Dm_00008085-RA	FUN_038278-T1, FUN_038270-T1, FUN_038274-T1, FUN_038275-T1
OG0005334	Dm_00007074-RA	FUN_011258-T1, FUN_047135-T2, FUN_047135-T1
OG0005335	Dm_00009356-RA	FUN_048635-T2, FUN_048635-T1, FUN_031736-T1
OG0005336	Dm_00005667-RA	FUN_041689-T1
OG0005337	Dm_00003191-RA, Dm_00003190-RA, Dm_00000396-RA	FUN_033323-T1
OG0005338	Dm_00012479-RA	FUN_047521-T1, FUN_010989-T1
OG0005340	Dm_00000868-RA	FUN_017233-T1
OG0005341	Dm_00006589-RA	FUN_041860-T1
OG0005342	Dm_00010451-RA, Dm_00003650-RA	FUN_009267-T1
OG0005342	Dm_00003651-RA	FUN_009265-T1
OG0005343	Dm_00011287-RA	FUN_041877-T1, FUN_041878-T1, FUN_017970-T1
OG0005344	Dm_00007320-RA	FUN_013009-T1, FUN_013009-T2
OG0005345	Dm_00002775-RA, Dm_00001614-RA	FUN_020108-T4, FUN_020108-T1, FUN_020108-T2, FUN_020108-T3
OG0005348	Dm_00016664-RA	FUN_025251-T1, FUN_031797-T1
OG0005349	Dm_00009464-RA	FUN_029957-T1
OG0005349	Dm_00019752-RA, Dm_00020054-RA	FUN_016692-T1
OG0005350	Dm_00011756-RA, Dm_00013219-RA	FUN_041577-T1, FUN_017567-T1
OG0005351	Dm_00011575-RA	FUN_045218-T1
OG0005352	Dm_00003196-RA	FUN_051075-T1
OG0005353	Dm_00017521-RA	FUN_032186-T1
OG0005354	Dm_00006443-RA, Dm_00005519-RA	FUN_035281-T1
OG0005355	Dm_00017058-RA	FUN_025247-T1
OG0005356	Dm_00015919-RA	FUN_017439-T2, FUN_017439-T1, FUN_041484-T1
OG0005358	Dm_00010491-RA	FUN_040462-T2, FUN_040462-T1, FUN_040462-T3
OG0005359	Dm_00001950-RA	FUN_033307-T4, FUN_033307-T3, FUN_033307-T1, FUN_033307-T2
OG0005360	Dm_00003818-RA, Dm_00003817-RA	FUN_011189-T1
OG0005361	Dm_00011447-RA	FUN_029719-T2, FUN_029719-T1
OG0005362	Dm_00009099-RA	FUN_009341-T1, FUN_009341-T2
OG0005365	Dm_00005774-RA	FUN_013092-T1, FUN_026656-T1
OG0005365	Dm_00010220-RA	FUN_034745-T1
OG0005367	Dm_00017272-RA, Dm_00016842-RA, Dm_00016830-RA, Dm_00016828-RA, Dm_00006468-RA	FUN_034305-T1
OG0005369	Dm_00013652-RA, Dm_00002698-RA	FUN_048300-T1, FUN_048300-T2
OG0005372	Dm_00008510-RA	FUN_037386-T1
OG0005377	Dm_00005304-RA, Dm_00007827-RA	FUN_034675-T1
OG0005395	Dm_00003944-RA	FUN_005486-T1
OG0005396	Dm_00011056-RA	FUN_016197-T1
OG0005400	Dm_00018483-RA	FUN_001113-T2, FUN_001113-T1
OG0005402	Dm_00001291-RA	FUN_032710-T1
OG0005402	Dm_00011768-RA	FUN_032709-T1
OG0005403	Dm_00001626-RA	FUN_051569-T2, FUN_051569-T3, FUN_036817-T1, FUN_051569-T1
OG0005404	Dm_00011419-RA	FUN_050326-T1, FUN_025113-T1
OG0005405	Dm_00001822-RA	FUN_052389-T1
OG0005406	Dm_00002418-RA	FUN_030461-T1
OG0005409	Dm_00007378-RA	FUN_036422-T1, FUN_052741-T1
OG0005410	Dm_00020513-RA	FUN_005706-T1, FUN_005705-T1, FUN_005707-T1, FUN_033173-T1
OG0005411	Dm_00003622-RA	FUN_007772-T1
OG0005412	Dm_00005250-RA	FUN_041409-T1, FUN_052823-T1
OG0005413	Dm_00010238-RA	FUN_043830-T1
OG0005414	Dm_00014369-RA, Dm_00016535-RA	FUN_043878-T1
OG0005415	Dm_00007201-RA	FUN_033082-T1, FUN_033082-T2
OG0005416	Dm_00008512-RA	FUN_033673-T1
OG0005417	Dm_00015751-RA, Dm_00000618-RA, Dm_00012940-RA	FUN_051501-T1, FUN_014311-T1
OG0005418	Dm_00006159-RA	FUN_041935-T1, FUN_018046-T1
OG0005419	Dm_00010476-RA	FUN_050228-T1, FUN_050228-T2
OG0005420	Dm_00001201-RA	FUN_003551-T1
OG0005422	Dm_00005769-RA	FUN_049339-T1
OG0005423	Dm_00007902-RA	FUN_006524-T2, FUN_006524-T1, FUN_022350-T2, FUN_022350-T1
OG0005424	Dm_00002909-RA, Dm_00006756-RA	FUN_000714-T1
OG0005425	Dm_00000021-RA	FUN_004093-T1
OG0005426	Dm_00000038-RA, Dm_00001586-RA	FUN_020314-T2, FUN_020314-T3, FUN_020314-T1
OG0005427	Dm_00014225-RA	FUN_029253-T1
OG0005428	Dm_00003943-RA	FUN_045794-T1
OG0005429	Dm_00011189-RA, Dm_00002196-RA	FUN_052638-T1
OG0005430	Dm_00012160-RA	FUN_026382-T1, FUN_026382-T2
OG0005431	Dm_00016568-RA, Dm_00008922-RA	FUN_015893-T1
OG0005432	Dm_00003871-RA, Dm_00017694-RA	FUN_048755-T1
OG0005433	Dm_00006311-RA	FUN_014248-T2, FUN_014248-T1
OG0005434	Dm_00009591-RA	FUN_022338-T1, FUN_006527-T1
OG0005436	Dm_00000837-RA	FUN_012152-T5, FUN_012152-T1, FUN_012152-T3, FUN_045950-T2, FUN_045950-T1
OG0005437	Dm_00013597-RA	FUN_002418-T2, FUN_002418-T1
OG0005438	Dm_00000806-RA	FUN_020343-T1
OG0005439	Dm_00017921-RA	FUN_037173-T1
OG0005441	Dm_00018324-RA	FUN_036630-T1
OG0005442	Dm_00008272-RA	FUN_007713-T1, FUN_007713-T2, FUN_007713-T3, FUN_007714-T1
OG0005443	Dm_00005216-RA	FUN_030321-T2, FUN_030321-T3, FUN_030321-T1
OG0005444	Dm_00008653-RA, Dm_00002473-RA	FUN_010319-T1, FUN_051266-T1
OG0005445	Dm_00012232-RA	FUN_010371-T1, FUN_010371-T2, FUN_004838-T1
OG0005447	Dm_00001783-RA	FUN_005849-T1
OG0005448	Dm_00018194-RA	FUN_019099-T1, FUN_030371-T1, FUN_030371-T2
OG0005449	Dm_00014604-RA	FUN_014298-T1
OG0005450	Dm_00012269-RA	FUN_052693-T2, FUN_052693-T1, FUN_052693-T4, FUN_052693-T3
OG0005451	Dm_00008339-RA	FUN_039135-T1
OG0005453	Dm_00014001-RA	FUN_003678-T1
OG0005454	Dm_00003500-RA	FUN_000227-T2, FUN_000227-T1
OG0005455	Dm_00013760-RA	FUN_001371-T1
OG0005457	Dm_00004663-RA	FUN_030776-T1
OG0005458	Dm_00007055-RA	FUN_003716-T1
OG0005459	Dm_00000070-RA	FUN_020264-T1
OG0005460	Dm_00013923-RA	FUN_015063-T1
OG0005461	Dm_00002867-RA	FUN_006126-T6, FUN_006126-T2, FUN_006126-T1, FUN_006126-T5, FUN_006126-T4, FUN_006126-T7, FUN_006126-T3
OG0005462	Dm_00019497-RA	FUN_042071-T1, FUN_008106-T1
OG0005463	Dm_00018030-RA	FUN_024377-T1
OG0005464	Dm_00006953-RA	FUN_016179-T1
OG0005466	Dm_00013538-RA	FUN_011549-T1, FUN_050873-T1
OG0005467	Dm_00004778-RA	FUN_049281-T1, FUN_013107-T1
OG0005468	Dm_00006738-RA	FUN_038699-T1
OG0005469	Dm_00000119-RA, Dm_00001235-RA	FUN_025745-T1
OG0005470	Dm_00000203-RA	FUN_045144-T1, FUN_012108-T1
OG0005471	Dm_00000508-RA	FUN_031690-T2, FUN_031690-T1
OG0005472	Dm_00015112-RA	FUN_046962-T1
OG0005473	Dm_00010958-RA	FUN_021300-T3, FUN_021300-T1, FUN_001237-T1, FUN_021300-T2
OG0005475	Dm_00014252-RA, Dm_00009487-RA	FUN_031081-T1
OG0005476	Dm_00011831-RA, Dm_00019829-RA	FUN_048493-T1, FUN_035479-T1
OG0005479	Dm_00013569-RA	FUN_047186-T3, FUN_047186-T1
OG0005480	Dm_00016461-RA	FUN_000677-T1
OG0005481	Dm_00018866-RA	FUN_044228-T1
OG0005482	Dm_00020036-RA, Dm_00009612-RA	FUN_038006-T1
OG0005484	Dm_00015966-RA	FUN_038253-T1, FUN_038247-T1
OG0005484	Dm_00012809-RA	FUN_021747-T1
OG0005485	Dm_00004346-RA	FUN_048613-T1
OG0005486	Dm_00005335-RA	FUN_019280-T1, FUN_040037-T1
OG0005487	Dm_00002702-RA	FUN_037601-T2, FUN_037601-T1, FUN_048311-T1, FUN_048311-T2
OG0005488	Dm_00016422-RA	FUN_005578-T1, FUN_052138-T2, FUN_052138-T1
OG0005490	Dm_00000446-RA, Dm_00003673-RA	FUN_008824-T1, FUN_013627-T1
OG0005493	Dm_00013841-RA	FUN_005862-T1
OG0005494	Dm_00017390-RA	FUN_040853-T1, FUN_026421-T1
OG0005495	Dm_00017360-RA	FUN_003943-T2, FUN_003943-T1, FUN_030226-T1
OG0005497	Dm_00008921-RA	FUN_007809-T1
OG0005498	Dm_00016317-RA	FUN_014956-T1, FUN_014956-T3, FUN_014956-T2
OG0005499	Dm_00003483-RA	FUN_050798-T2, FUN_050798-T1, FUN_050798-T3
OG0005500	Dm_00002351-RA, Dm_00008559-RA	FUN_024512-T1
OG0005501	Dm_00009184-RA	FUN_048504-T2, FUN_048504-T1, FUN_010832-T1
OG0005502	Dm_00003370-RA	FUN_031230-T2, FUN_031230-T1
OG0005503	Dm_00016503-RA	FUN_044122-T1, FUN_014413-T1, FUN_030000-T1, FUN_014394-T1
OG0005504	Dm_00004768-RA	FUN_004182-T1
OG0005506	Dm_00009182-RA, Dm_00018312-RA	FUN_048503-T2, FUN_048503-T1, FUN_044103-T1
OG0005507	Dm_00004264-RA	FUN_040605-T1, FUN_040605-T2, FUN_018599-T1
OG0005508	Dm_00003025-RA	FUN_024462-T1
OG0005509	Dm_00003543-RA	FUN_038645-T1
OG0005510	Dm_00011983-RA	FUN_025626-T2, FUN_025626-T1
OG0005511	Dm_00018080-RA	FUN_013123-T2, FUN_013123-T1
OG0005512	Dm_00003485-RA	FUN_051682-T1, FUN_050801-T1
OG0005514	Dm_00018478-RA, Dm_00011397-RA	FUN_027452-T2, FUN_027452-T1
OG0005515	Dm_00001258-RA, Dm_00019798-RA, Dm_00010383-RA, Dm_00001257-RA, Dm_00000143-RA, Dm_00001259-RA	FUN_042666-T1
OG0005516	Dm_00010555-RA	FUN_012193-T1
OG0005517	Dm_00009537-RA	FUN_027270-T1
OG0005520	Dm_00006190-RA, Dm_00006585-RA	FUN_007527-T1
OG0005522	Dm_00007573-RA	FUN_037549-T1
OG0005523	Dm_00008557-RA, Dm_00005968-RA	FUN_036281-T1
OG0005525	Dm_00000715-RA	FUN_036712-T1, FUN_043253-T1, FUN_043253-T2
OG0005526	Dm_00005719-RA, Dm_00005720-RA	FUN_038237-T1, FUN_038237-T2
OG0005527	Dm_00001336-RA	FUN_015601-T1, FUN_015601-T2, FUN_015601-T3, FUN_015602-T1
OG0005528	Dm_00011931-RA	FUN_002002-T1
OG0005529	Dm_00006878-RA	FUN_031700-T1, FUN_012255-T1
OG0005530	Dm_00006710-RA	FUN_037029-T1
OG0005531	Dm_00009951-RA, Dm_00009952-RA, Dm_00003913-RA	FUN_036194-T1
OG0005532	Dm_00009190-RA	FUN_012232-T1
OG0005533	Dm_00000701-RA	FUN_036748-T1, FUN_036748-T2
OG0005535	Dm_00001341-RA	FUN_046781-T3
OG0005536	Dm_00004667-RA	FUN_045826-T1, FUN_045826-T2
OG0005537	Dm_00012195-RA	FUN_018852-T1, FUN_008113-T1, FUN_008114-T1
OG0005539	Dm_00019685-RA, Dm_00010197-RA	FUN_049706-T1
OG0005540	Dm_00014317-RA	FUN_026068-T1
OG0005541	Dm_00001952-RA	FUN_011810-T3, FUN_011810-T2, FUN_011810-T1
OG0005542	Dm_00002624-RA, Dm_00002329-RA	FUN_005453-T1
OG0005543	Dm_00017034-RA	FUN_021061-T1, FUN_008396-T1
OG0005544	Dm_00005117-RA	FUN_028451-T1, FUN_012751-T1
OG0005545	Dm_00001037-RA	FUN_026337-T2, FUN_026337-T1
OG0005546	Dm_00005659-RA, Dm_00002486-RA	FUN_010900-T1
OG0005547	Dm_00001636-RA	FUN_030144-T1, FUN_030144-T2, FUN_003844-T3, FUN_003844-T1, FUN_003844-T4, FUN_003844-T2
OG0005548	Dm_00003676-RA, Dm_00000444-RA	FUN_013621-T1, FUN_008812-T1
OG0005549	Dm_00002343-RA	FUN_001831-T1
OG0005550	Dm_00004743-RA	FUN_026779-T2, FUN_026779-T3, FUN_026779-T1
OG0005551	Dm_00004108-RA	FUN_036943-T1, FUN_049640-T1
OG0005552	Dm_00017184-RA	FUN_006083-T1
OG0005553	Dm_00011064-RA	FUN_004690-T2, FUN_004690-T1, FUN_032914-T1
OG0005554	Dm_00003657-RA	FUN_017636-T1
OG0005556	Dm_00005206-RA	FUN_037079-T2, FUN_037079-T3, FUN_037079-T1
OG0005557	Dm_00005785-RA	FUN_010728-T1, FUN_044930-T1
OG0005558	Dm_00000902-RA, Dm_00000901-RA	FUN_017115-T2, FUN_017115-T1
OG0005560	Dm_00000999-RA	FUN_013005-T1, FUN_013005-T2, FUN_052860-T2, FUN_052860-T1
OG0005562	Dm_00004575-RA	FUN_049130-T1
OG0005563	Dm_00003713-RA	FUN_033297-T1, FUN_033297-T2
OG0005564	Dm_00013930-RA	FUN_030692-T1
OG0005565	Dm_00017739-RA, Dm_00012089-RA	FUN_001814-T1
