Orthogroup	A_thaliana.proteins	L_sativa.proteins
OG0003834	AT2G17820.1	Lsat_1_v5_gn_3_72520.1, Lsat_1_v5_gn_2_75821.1
OG0003835	AT4G36960.1, AT4G36960.2	Lsat_1_v5_gn_3_90660.1, Lsat_1_v5_gn_3_90660.2, Lsat_1_v5_gn_3_90660.3
OG0003836	AT4G21990.1, AT4G04610.1, AT1G62180.2, AT1G62180.1	Lsat_1_v5_gn_4_59381.1, Lsat_1_v5_gn_7_16240.1
OG0003837	AT2G18400.1	Lsat_1_v5_gn_8_1221.1, Lsat_1_v5_gn_9_50621.3, Lsat_1_v5_gn_6_22200.1, Lsat_1_v5_gn_9_50621.1, Lsat_1_v5_gn_8_1221.2, Lsat_1_v5_gn_1_45121.1
OG0003838	AT1G77510.1, AT1G21750.2, AT1G21750.1	Lsat_1_v5_gn_8_48581.2, Lsat_1_v5_gn_2_37261.1
OG0003839	AT4G37670.2, AT4G37670.1, AT2G22910.1	Lsat_1_v5_gn_2_82660.3, Lsat_1_v5_gn_2_82660.1
OG0003840	AT3G49790.1	Lsat_1_v5_gn_3_86581.1, Lsat_1_v5_gn_3_86581.2, Lsat_1_v5_gn_3_86581.3
OG0003841	AT5G53050.5, AT5G53050.6, AT5G53050.1, AT5G53050.2, AT5G53050.3, AT5G53050.4	Lsat_1_v5_gn_2_136261.2, Lsat_1_v5_gn_2_136261.1, Lsat_1_v5_gn_9_49801.1, Lsat_1_v5_gn_9_49801.2
OG0003842	AT1G17680.3, AT1G17680.1, AT1G17680.2	Lsat_1_v5_gn_4_131841.1
OG0003843	AT3G13150.1	Lsat_1_v5_gn_7_18561.1, Lsat_1_v5_gn_4_58301.1
OG0003844	AT1G26700.2, AT1G26700.1, AT5G53760.2, AT5G53760.1	Lsat_1_v5_gn_9_97101.2, Lsat_1_v5_gn_9_97101.3, Lsat_1_v5_gn_9_97101.1, Lsat_1_v5_gn_5_127760.1
OG0003846	AT1G78870.2	Lsat_1_v5_gn_5_126680.1
OG0003848	AT5G45960.1	Lsat_1_v5_gn_4_50981.1
OG0003849	AT1G30200.1, AT1G30200.2, AT5G46170.1, AT4G18380.1, AT4G18380.2	Lsat_1_v5_gn_7_27760.2, Lsat_1_v5_gn_7_27760.1, Lsat_1_v5_gn_4_29661.1
OG0003850	AT4G05010.1, AT4G21510.2, AT4G21510.1, AT1G61340.1, AT1G61340.2	Lsat_1_v5_gn_7_19621.1, Lsat_1_v5_gn_4_57061.2, Lsat_1_v5_gn_4_57061.1
OG0003851	AT3G21240.1, AT1G51680.3, AT1G51680.2, AT1G51680.1	Lsat_1_v5_gn_4_85240.1, Lsat_1_v5_gn_5_9201.1
OG0003853	AT4G22360.1	Lsat_1_v5_gn_4_62081.2, Lsat_1_v5_gn_4_62081.1, Lsat_1_v5_gn_0_26921.3, Lsat_1_v5_gn_0_26921.1
OG0003854	AT4G18290.2, AT4G18290.1, AT5G46240.1	Lsat_1_v5_gn_7_27220.3, Lsat_1_v5_gn_7_27220.1
OG0003855	AT1G10095.1, AT1G10095.2, AT1G10095.4, AT1G10095.3	Lsat_1_v5_gn_8_24860.1
OG0003856	AT5G54380.1	Lsat_1_v5_gn_5_7061.1
OG0003857	AT1G78810.3, AT1G78810.2, AT1G78810.1	Lsat_1_v5_gn_9_99841.3, Lsat_1_v5_gn_9_99841.1, Lsat_1_v5_gn_9_99841.2
OG0003859	AT1G22660.5, AT1G22660.3, AT1G22660.2, AT1G22660.4, AT1G22660.1	Lsat_1_v5_gn_6_104880.2, Lsat_1_v5_gn_6_104880.1, Lsat_1_v5_gn_4_165000.1, Lsat_1_v5_gn_3_11000.1
OG0003860	AT5G58950.1	Lsat_1_v5_gn_4_53520.3, Lsat_1_v5_gn_4_53520.1
OG0003861	AT5G62210.1, AT5G62200.1	Lsat_1_v5_gn_5_131260.1, Lsat_1_v5_gn_4_89020.1, Lsat_1_v5_gn_4_88960.1
OG0003862	AT4G25230.3, AT4G25230.2, AT4G25230.1, AT5G51450.2, AT5G51450.1	Lsat_1_v5_gn_2_129181.3, Lsat_1_v5_gn_2_129181.1, Lsat_1_v5_gn_2_129181.4
OG0003863	AT4G21670.1	Lsat_1_v5_gn_7_19061.1, Lsat_1_v5_gn_7_19061.2
OG0003864	AT4G30200.3, AT4G30200.2, AT4G30200.4, AT4G30200.1	Lsat_1_v5_gn_7_53761.1, Lsat_1_v5_gn_7_53761.2, Lsat_1_v5_gn_7_53761.3
OG0003865	AT3G13930.1, AT1G54220.1, AT1G54220.2	Lsat_1_v5_gn_5_135560.1
OG0003866	AT5G51910.1, AT5G51910.2	Lsat_1_v5_gn_2_130241.1, Lsat_1_v5_gn_9_53821.1, Lsat_1_v5_gn_8_7700.1
OG0003867	AT3G49050.1	Lsat_1_v5_gn_9_55100.1
OG0003868	AT1G24360.1	Lsat_1_v5_gn_3_35500.3, Lsat_1_v5_gn_3_35500.1, Lsat_1_v5_gn_3_35520.2, Lsat_1_v5_gn_3_35520.1, Lsat_1_v5_gn_3_35520.3
OG0003869	AT3G06820.1, AT3G06820.3, AT3G06820.2, AT1G80210.2, AT1G80210.1	Lsat_1_v5_gn_5_132520.4, Lsat_1_v5_gn_5_132520.2, Lsat_1_v5_gn_5_132520.3
OG0003870	AT3G60540.3, AT3G60540.1, AT3G60540.2, AT2G45070.1, AT2G45070.2, AT2G45070.3, AT2G45070.4	Lsat_1_v5_gn_7_10180.2, Lsat_1_v5_gn_7_10180.1, Lsat_1_v5_gn_4_44381.1
OG0003871	AT3G18430.2, AT3G18430.1, AT3G18430.3	Lsat_1_v5_gn_4_88401.2, Lsat_1_v5_gn_4_88401.1
OG0003872	AT5G19660.3, AT5G19660.2, AT5G19660.1	Lsat_1_v5_gn_5_103081.1, Lsat_1_v5_gn_8_105101.3, Lsat_1_v5_gn_8_105101.1
OG0003873	AT1G62740.1, AT1G12270.1	Lsat_1_v5_gn_6_90720.1
OG0003875	AT5G25590.1	Lsat_1_v5_gn_6_11220.2, Lsat_1_v5_gn_6_11220.1
OG0003875	AT1G52320.1, AT1G52320.5, AT1G52320.2, AT1G52320.4, AT1G52320.3	Lsat_1_v5_gn_5_130261.1
OG0003877	AT4G23100.2, AT4G23100.1, AT4G23100.3	Lsat_1_v5_gn_1_34361.1, Lsat_1_v5_gn_1_34361.2
OG0003878	AT1G63110.1, AT1G63110.2, AT1G63110.3, AT1G12730.1, AT1G12730.2	Lsat_1_v5_gn_6_87521.1, Lsat_1_v5_gn_6_87521.2
OG0003879	AT3G24630.2, AT3G24630.1	Lsat_1_v5_gn_5_103481.3, Lsat_1_v5_gn_5_103481.1
OG0003880	AT2G26910.1	Lsat_1_v5_gn_5_99201.1
OG0003881	AT5G56710.1, AT4G26230.1, AT2G19740.1	Lsat_1_v5_gn_5_146080.2, Lsat_1_v5_gn_8_88160.1, Lsat_1_v5_gn_7_38100.1, Lsat_1_v5_gn_5_146080.1
OG0003883	AT5G51410.2, AT5G51410.4, AT5G51410.5, AT5G51410.3, AT5G51410.1	Lsat_1_v5_gn_2_109780.1, Lsat_1_v5_gn_9_52040.2, Lsat_1_v5_gn_2_109780.2, Lsat_1_v5_gn_9_52040.1
OG0003884	AT2G23810.1, AT4G28050.1	Lsat_1_v5_gn_8_64521.1
OG0003884	AT1G18520.1	Lsat_1_v5_gn_4_111640.1
OG0003886	AT1G12110.1	Lsat_1_v5_gn_6_2821.1, Lsat_1_v5_gn_3_1441.1
OG0003888	AT4G31430.1, AT4G31430.3, AT4G31430.2	Lsat_1_v5_gn_3_25461.3
OG0003889	AT5G20635.2, AT5G20635.1	Lsat_1_v5_gn_5_140420.1, Lsat_1_v5_gn_5_140420.3
OG0003890	AT1G08910.1, AT5G41580.1	Lsat_1_v5_gn_3_11501.3, Lsat_1_v5_gn_3_11501.1, Lsat_1_v5_gn_6_84940.3, Lsat_1_v5_gn_6_84940.1, Lsat_1_v5_gn_7_2680.3, Lsat_1_v5_gn_7_2680.1, Lsat_1_v5_gn_1_81141.1
OG0003891	AT4G32320.1	Lsat_1_v5_gn_6_21420.1
OG0003893	AT4G20380.1, AT4G20380.3, AT4G20380.7, AT4G20380.2, AT4G20380.5, AT4G20380.6, AT4G20380.4, AT4G20380.8, AT4G20380.9	Lsat_1_v5_gn_8_68441.1, Lsat_1_v5_gn_7_55201.3, Lsat_1_v5_gn_5_84081.1
OG0003894	AT2G04790.5, AT2G04790.6, AT2G04790.16, AT2G04790.11, AT2G04790.8, AT2G04790.7, AT2G04790.9, AT2G04790.12, AT2G04790.4, AT2G04790.3, AT2G04790.14, AT2G04790.13, AT2G04790.1, AT2G04790.2, AT2G04790.10, AT2G04790.15	Lsat_1_v5_gn_9_105540.1, Lsat_1_v5_gn_9_105540.3
OG0003895	AT2G30020.1, AT1G07160.1	Lsat_1_v5_gn_5_172740.1, Lsat_1_v5_gn_9_18940.1, Lsat_1_v5_gn_2_124161.2, Lsat_1_v5_gn_2_124161.1
OG0003896	AT2G32560.1, AT2G32560.2, AT2G26850.2, AT2G26850.1	Lsat_1_v5_gn_2_32541.1, Lsat_1_v5_gn_2_32541.3
OG0003897	AT3G12680.1	Lsat_1_v5_gn_5_35081.1, Lsat_1_v5_gn_4_184801.1, Lsat_1_v5_gn_7_111061.2, Lsat_1_v5_gn_7_111061.1, Lsat_1_v5_gn_7_111061.3, Lsat_1_v5_gn_7_61541.1
OG0003898	AT5G16610.1, AT5G16610.3, AT5G16610.2	Lsat_1_v5_gn_3_63641.1, Lsat_1_v5_gn_3_63641.3
OG0003899	AT3G09450.1	Lsat_1_v5_gn_9_18020.1, Lsat_1_v5_gn_9_18020.2
OG0003899	AT2G28780.1	Lsat_1_v5_gn_1_120601.1, Lsat_1_v5_gn_1_120601.3
OG0003900	AT2G20835.1	Lsat_1_v5_gn_5_7081.1
OG0003901	AT3G43610.2, AT3G43610.1, AT3G43610.3	Lsat_1_v5_gn_5_75780.1, Lsat_1_v5_gn_5_75780.2, Lsat_1_v5_gn_5_75780.5, Lsat_1_v5_gn_5_75780.4
OG0003902	AT5G13600.1	Lsat_1_v5_gn_2_112440.1
OG0003903	AT3G09770.2, AT3G09770.1, AT5G03200.1, AT3G53410.1	Lsat_1_v5_gn_2_108781.1, Lsat_1_v5_gn_2_108781.3, Lsat_1_v5_gn_6_30461.1, Lsat_1_v5_gn_6_30461.3
OG0003904	AT2G41705.1, AT2G41705.3, AT2G41705.2, AT2G41705.4	Lsat_1_v5_gn_3_20261.1, Lsat_1_v5_gn_3_20261.2
OG0003905	AT4G04470.2, AT4G04470.1	Lsat_1_v5_gn_1_129780.1, Lsat_1_v5_gn_1_129780.2
OG0003906	AT5G04540.1, AT3G10550.1	Lsat_1_v5_gn_2_102840.1, Lsat_1_v5_gn_2_102840.3, Lsat_1_v5_gn_8_23081.1
OG0003907	AT2G18020.1, AT4G36130.1	Lsat_1_v5_gn_5_4380.1, Lsat_1_v5_gn_9_94880.1, Lsat_1_v5_gn_9_94880.2
OG0003908	AT5G46110.2	Lsat_1_v5_gn_4_12361.3, Lsat_1_v5_gn_4_12361.2, Lsat_1_v5_gn_4_12361.1
OG0003908	AT5G46110.4, AT5G46110.1, AT5G46110.3	Lsat_1_v5_gn_1_120800.2
OG0003909	AT3G60070.5, AT3G60070.4, AT3G60070.3, AT3G60070.1, AT3G60070.2, AT3G60070.6, AT2G44280.3, AT2G44280.2, AT2G44280.4, AT2G44280.1	Lsat_1_v5_gn_7_33840.1, Lsat_1_v5_gn_7_33840.3
OG0003910	AT4G21700.1	Lsat_1_v5_gn_7_21341.1
OG0003911	AT1G20050.1	Lsat_1_v5_gn_5_6480.1, Lsat_1_v5_gn_8_83161.1
OG0003912	AT3G44190.1, AT3G44190.2, AT5G22140.2, AT5G22140.1	Lsat_1_v5_gn_0_21141.2, Lsat_1_v5_gn_2_33761.1
OG0003913	AT1G55690.1, AT1G55690.5, AT1G55690.2, AT1G55690.4, AT1G55690.3	Lsat_1_v5_gn_7_115360.3, Lsat_1_v5_gn_7_115360.1, Lsat_1_v5_gn_7_115360.4
OG0003914	AT3G59110.1, AT2G42960.4, AT2G42960.5, AT2G42960.3, AT2G42960.1	Lsat_1_v5_gn_3_35181.1, Lsat_1_v5_gn_3_35181.2
OG0003915	AT5G13530.2, AT5G13530.1	Lsat_1_v5_gn_7_31581.1, Lsat_1_v5_gn_7_31581.2
OG0003916	AT5G05690.2, AT5G05690.1, AT5G05690.3	Lsat_1_v5_gn_8_12301.1, Lsat_1_v5_gn_8_12301.2, Lsat_1_v5_gn_9_61301.2, Lsat_1_v5_gn_9_61301.1
OG0003917	AT1G78420.1, AT1G78420.2, AT1G17145.1, AT1G17145.2	Lsat_1_v5_gn_7_101201.1, Lsat_1_v5_gn_7_101201.3, Lsat_1_v5_gn_7_101201.2, Lsat_1_v5_gn_5_119821.1, Lsat_1_v5_gn_5_119821.2
OG0003918	AT5G05970.1, AT5G05970.2	Lsat_1_v5_gn_8_14640.1
OG0003919	AT5G16290.1, AT5G16290.2	Lsat_1_v5_gn_2_108501.3, Lsat_1_v5_gn_2_108501.1, Lsat_1_v5_gn_2_108561.2
OG0003921	AT4G20940.1	Lsat_1_v5_gn_8_133220.1, Lsat_1_v5_gn_8_133220.2, Lsat_1_v5_gn_8_133220.3
OG0003922	AT1G06720.3, AT1G06720.2, AT1G06720.1	Lsat_1_v5_gn_6_31421.3, Lsat_1_v5_gn_6_31421.1, Lsat_1_v5_gn_6_31421.2, Lsat_1_v5_gn_3_137821.1
OG0003923	AT4G05420.1, AT4G05420.2, AT4G21100.1	Lsat_1_v5_gn_7_31981.1, Lsat_1_v5_gn_7_31981.2
OG0003924	AT1G11820.2, AT1G11820.3, AT1G11820.1	Lsat_1_v5_gn_7_16340.1, Lsat_1_v5_gn_7_16340.2
OG0003925	AT2G39950.6, AT2G39950.5, AT2G39950.4, AT2G39950.8, AT2G39950.3, AT2G39950.7, AT2G39950.2, AT2G39950.9, AT2G39950.1	Lsat_1_v5_gn_2_121900.1
OG0003926	AT3G12080.2, AT3G12080.1	Lsat_1_v5_gn_6_47501.1, Lsat_1_v5_gn_6_47501.2
OG0003927	AT2G31260.1	Lsat_1_v5_gn_9_8721.1
OG0003928	AT4G12700.1, AT2G04280.1	Lsat_1_v5_gn_9_102580.1, Lsat_1_v5_gn_9_102580.2
OG0003929	AT1G53490.2, AT1G53490.1	Lsat_1_v5_gn_7_101801.1, Lsat_1_v5_gn_7_101801.3
OG0003930	AT1G52920.1	Lsat_1_v5_gn_5_6601.1, Lsat_1_v5_gn_1_44300.1, Lsat_1_v5_gn_5_6601.5, Lsat_1_v5_gn_5_6601.3
OG0003930	AT2G20770.1	Lsat_1_v5_gn_8_132741.2, Lsat_1_v5_gn_8_132741.1
OG0003931	AT1G55350.4, AT1G55350.3, AT1G55350.2, AT1G55350.1, AT1G55350.6, AT1G55350.5	Lsat_1_v5_gn_6_53141.1, Lsat_1_v5_gn_6_53141.2, Lsat_1_v5_gn_6_53141.3
OG0003932	AT5G04360.1, AT5G04360.2	Lsat_1_v5_gn_2_103740.3, Lsat_1_v5_gn_2_103740.1
OG0003933	AT3G59770.2, AT3G59770.4, AT3G59770.3, AT3G59770.1	Lsat_1_v5_gn_7_77561.1, Lsat_1_v5_gn_7_77561.2, Lsat_1_v5_gn_7_77561.3, Lsat_1_v5_gn_1_74200.1, Lsat_1_v5_gn_1_74200.2, Lsat_1_v5_gn_1_74200.3
OG0003934	AT1G65440.3, AT1G65440.2, AT1G65440.1, AT1G65440.4, AT1G63210.1	Lsat_1_v5_gn_8_83860.1, Lsat_1_v5_gn_9_32200.1
OG0003935	AT5G58470.1, AT5G58470.2	Lsat_1_v5_gn_5_174460.3, Lsat_1_v5_gn_5_174460.1
OG0003936	AT2G38780.1, AT2G38780.4, AT2G38780.6, AT2G38780.2, AT2G38780.7, AT2G38780.3, AT2G38780.8, AT2G38780.9, AT2G38780.11, AT2G38780.13, AT2G38780.10, AT2G38780.12, AT2G38780.5	Lsat_1_v5_gn_4_30541.2, Lsat_1_v5_gn_4_30541.1
OG0003937	AT3G55080.1, AT3G55080.4, AT3G55080.2, AT3G55080.3, AT3G55080.5	Lsat_1_v5_gn_2_115220.7, Lsat_1_v5_gn_2_115220.2, Lsat_1_v5_gn_2_115220.3
OG0003938	AT3G04840.1, AT4G34670.1	Lsat_1_v5_gn_6_94380.1, Lsat_1_v5_gn_6_94380.2, Lsat_1_v5_gn_3_15460.3, Lsat_1_v5_gn_3_15460.2, Lsat_1_v5_gn_3_15460.1
OG0003939	AT1G34150.1	Lsat_1_v5_gn_1_5920.1, Lsat_1_v5_gn_1_5920.2, Lsat_1_v5_gn_1_5920.3, Lsat_1_v5_gn_1_5940.4
OG0003940	AT4G36910.1	Lsat_1_v5_gn_4_164600.1, Lsat_1_v5_gn_3_89881.1
OG0003940	AT4G34120.1	Lsat_1_v5_gn_9_110721.1, Lsat_1_v5_gn_9_110721.2
OG0003941	AT4G24200.2, AT4G24200.1	Lsat_1_v5_gn_0_1320.2, Lsat_1_v5_gn_0_1320.1
OG0003942	AT4G25040.1	Lsat_1_v5_gn_4_82801.2, Lsat_1_v5_gn_4_82801.1
OG0003943	AT4G20340.2, AT4G20340.1, AT4G20340.3, AT4G20810.1, AT1G03280.3, AT1G03280.1, AT1G03280.2	Lsat_1_v5_gn_6_3380.1, Lsat_1_v5_gn_6_3380.3, Lsat_1_v5_gn_8_11621.1
OG0003944	AT4G00800.1, AT4G00800.2	Lsat_1_v5_gn_7_90420.1, Lsat_1_v5_gn_3_140700.1, Lsat_1_v5_gn_3_140700.3, Lsat_1_v5_gn_3_140700.2
OG0003945	AT2G02410.3, AT2G02410.13, AT2G02410.5, AT2G02410.2, AT2G02410.1, AT2G02410.6, AT2G02410.11, AT2G02410.8, AT2G02410.12, AT2G02410.9, AT2G02410.4, AT2G02410.7, AT2G02410.10	Lsat_1_v5_gn_7_69720.2, Lsat_1_v5_gn_7_69720.1, Lsat_1_v5_gn_7_69720.3, Lsat_1_v5_gn_7_69720.4
OG0003946	AT4G38062.1	Lsat_1_v5_gn_2_70360.1
OG0003947	AT5G54165.1	Lsat_1_v5_gn_8_4480.1, Lsat_1_v5_gn_8_4480.2
OG0003947	AT1G32920.1, AT1G32928.1	Lsat_1_v5_gn_6_81461.1, Lsat_1_v5_gn_6_83220.1
OG0003949	AT1G20780.1, AT1G20780.2, AT1G20780.3, AT1G76390.1, AT1G76390.2	Lsat_1_v5_gn_8_27340.1, Lsat_1_v5_gn_8_27340.2, Lsat_1_v5_gn_9_45700.3, Lsat_1_v5_gn_9_45700.1, Lsat_1_v5_gn_9_45700.2
OG0003950	AT5G52290.1	Lsat_1_v5_gn_9_55980.3, Lsat_1_v5_gn_9_55980.1
OG0003951	AT5G14030.2, AT5G14030.1, AT5G14030.4, AT5G14030.3, AT5G14030.5	Lsat_1_v5_gn_0_13201.1, Lsat_1_v5_gn_0_13201.3, Lsat_1_v5_gn_0_19201.1
OG0003952	AT5G40820.1, AT5G40820.4, AT5G40820.3, AT5G40820.2	Lsat_1_v5_gn_3_6601.3, Lsat_1_v5_gn_3_6601.1, Lsat_1_v5_gn_3_6601.2
OG0003953	AT3G18860.1, AT3G18860.2	Lsat_1_v5_gn_9_109321.1, Lsat_1_v5_gn_9_109321.3
OG0003954	AT3G27160.1, AT3G27160.2	Lsat_1_v5_gn_2_94161.1
OG0003954	AT5G63300.2, AT5G63300.1	Lsat_1_v5_gn_5_13260.1, Lsat_1_v5_gn_5_13260.2
OG0003955	AT5G02870.2, AT5G02870.1, AT3G09630.2, AT3G09630.1	Lsat_1_v5_gn_2_67821.1, Lsat_1_v5_gn_2_67821.3, Lsat_1_v5_gn_4_141681.1
OG0003956	AT3G63150.1	Lsat_1_v5_gn_5_188301.1
OG0003956	AT5G27540.1, AT5G27540.2	Lsat_1_v5_gn_2_67460.1, Lsat_1_v5_gn_2_67460.2, Lsat_1_v5_gn_4_139120.1
OG0003957	AT3G16630.1, AT3G16630.2	Lsat_1_v5_gn_5_62360.3, Lsat_1_v5_gn_5_62360.1
OG0003958	AT1G72630.1, AT1G17455.2, AT1G17455.1	Lsat_1_v5_gn_4_92901.1
OG0003959	AT3G24810.1, AT2G23430.1, AT1G49620.3, AT1G49620.1	Lsat_1_v5_gn_3_91021.1, Lsat_1_v5_gn_3_91021.3, Lsat_1_v5_gn_2_84240.1, Lsat_1_v5_gn_2_84240.3, Lsat_1_v5_gn_4_166000.3, Lsat_1_v5_gn_4_166000.2, Lsat_1_v5_gn_4_166000.1
OG0003960	AT2G43650.1	Lsat_1_v5_gn_2_46281.1, Lsat_1_v5_gn_2_46281.2
OG0003961	AT5G48690.2, AT5G48690.1, AT5G48690.3	Lsat_1_v5_gn_9_13141.1, Lsat_1_v5_gn_9_13141.3
OG0003962	AT5G07360.1, AT5G07360.3, AT5G07360.2	Lsat_1_v5_gn_5_9480.2, Lsat_1_v5_gn_5_9480.1
OG0003963	AT2G15900.1	Lsat_1_v5_gn_7_87460.3, Lsat_1_v5_gn_7_87460.2, Lsat_1_v5_gn_7_87460.1, Lsat_1_v5_gn_5_117520.3, Lsat_1_v5_gn_5_117520.1
OG0003964	AT1G78230.1	Lsat_1_v5_gn_6_103260.2, Lsat_1_v5_gn_6_103260.1, Lsat_1_v5_gn_6_103260.3
OG0003965	AT2G43465.5, AT2G43465.3, AT2G43465.2, AT2G43465.6, AT2G43465.4, AT2G43465.1	Lsat_1_v5_gn_3_110661.2, Lsat_1_v5_gn_3_110661.1
OG0003966	AT1G66070.2, AT1G66070.1, AT5G37475.2, AT5G37475.3, AT5G37475.1	Lsat_1_v5_gn_2_38821.2, Lsat_1_v5_gn_2_38821.1, Lsat_1_v5_gn_2_38821.3
OG0003967	AT5G44070.1, AT5G44070.2, AT1G03980.1, AT1G03980.2, AT1G03980.3, AT1G03980.4	Lsat_1_v5_gn_5_182621.1, Lsat_1_v5_gn_5_182621.3, Lsat_1_v5_gn_8_92321.1
OG0003968	AT1G21170.1, AT1G21170.2, AT1G76850.1	Lsat_1_v5_gn_7_71861.2, Lsat_1_v5_gn_7_71861.1, Lsat_1_v5_gn_7_71861.3
OG0003969	AT3G26080.1, AT3G26080.2, AT3G26070.1	Lsat_1_v5_gn_9_118261.1, Lsat_1_v5_gn_9_118261.3, Lsat_1_v5_gn_9_118240.1, Lsat_1_v5_gn_9_118240.3
OG0003970	AT5G14170.1	Lsat_1_v5_gn_4_185081.1
OG0003971	AT3G25950.1	Lsat_1_v5_gn_8_150181.1, Lsat_1_v5_gn_8_150181.4
OG0003972	AT5G42390.2, AT5G42390.1	Lsat_1_v5_gn_7_31540.1, Lsat_1_v5_gn_7_31540.2
OG0003973	AT1G78060.1	Lsat_1_v5_gn_1_4321.1, Lsat_1_v5_gn_9_43681.1
OG0003974	AT1G17350.4, AT1G17350.1, AT1G17350.2, AT1G17350.3, AT1G17350.5, AT1G72420.4, AT1G72420.2, AT1G72420.1	Lsat_1_v5_gn_8_4120.1, Lsat_1_v5_gn_8_4120.2
OG0003975	AT1G74390.2, AT1G74390.4, AT1G74390.3, AT1G74390.1, AT5G07710.1, AT5G61390.1	Lsat_1_v5_gn_5_21501.1, Lsat_1_v5_gn_4_109181.1, Lsat_1_v5_gn_4_109301.1
OG0003976	AT1G48500.1, AT1G48500.3, AT1G48500.2, AT3G17860.4, AT3G17860.3, AT3G17860.2, AT3G17860.1	Lsat_1_v5_gn_8_45621.1
OG0003977	AT1G06170.2, AT1G06170.1, AT2G31220.2, AT2G31220.1, AT2G31210.1	Lsat_1_v5_gn_4_40321.1, Lsat_1_v5_gn_4_40321.2, Lsat_1_v5_gn_4_40321.3, Lsat_1_v5_gn_1_85520.1
OG0003978	AT3G01015.1, AT5G15510.1, AT5G15510.4, AT5G15510.3, AT5G15510.2	Lsat_1_v5_gn_4_170421.1, Lsat_1_v5_gn_2_87661.1
OG0003979	AT5G15120.1, AT5G39890.2, AT5G39890.1	Lsat_1_v5_gn_2_88760.1, Lsat_1_v5_gn_2_88760.3
OG0003980	AT3G18560.1, AT1G49000.1	Lsat_1_v5_gn_5_24961.1, Lsat_1_v5_gn_1_15881.1
OG0003981	AT1G24030.3, AT1G24030.6, AT1G24030.4, AT1G24030.2, AT1G24030.1	Lsat_1_v5_gn_8_158281.1, Lsat_1_v5_gn_8_158281.2
OG0003982	AT1G13340.1	Lsat_1_v5_gn_8_38921.2, Lsat_1_v5_gn_8_38921.1, Lsat_1_v5_gn_8_39240.1, Lsat_1_v5_gn_8_39240.2, Lsat_1_v5_gn_4_18540.1, Lsat_1_v5_gn_4_18540.4, Lsat_1_v5_gn_4_18540.3
OG0003983	AT3G01140.2, AT3G01140.1, AT5G15310.3, AT5G15310.1, AT5G15310.2, AT5G15310.4	Lsat_1_v5_gn_3_99620.1, Lsat_1_v5_gn_2_89421.2, Lsat_1_v5_gn_2_89421.1
OG0003984	AT5G45340.1, AT5G45340.2, AT4G19230.2, AT4G19230.1	Lsat_1_v5_gn_6_77061.1, Lsat_1_v5_gn_3_20400.1
OG0003985	AT2G44910.1, AT3G60390.1, AT4G17460.1, AT5G47370.1, AT4G16780.1	Lsat_1_v5_gn_6_93540.1
OG0003986	AT3G19830.3, AT3G19830.1, AT3G19830.2, AT3G19830.4, AT1G50260.1, AT1G50260.2	Lsat_1_v5_gn_8_33460.1, Lsat_1_v5_gn_8_33460.2, Lsat_1_v5_gn_8_33460.3, Lsat_1_v5_gn_0_9261.1, Lsat_1_v5_gn_0_9261.2
OG0003987	AT3G02340.1, AT3G02340.2	Lsat_1_v5_gn_3_95340.1
OG0003987	AT5G08139.1, AT5G08139.2, AT5G60820.1	Lsat_1_v5_gn_5_24400.1, Lsat_1_v5_gn_1_15520.1, Lsat_1_v5_gn_4_112480.1
OG0003988	AT1G13030.1	Lsat_1_v5_gn_3_132580.3, Lsat_1_v5_gn_3_132580.1, Lsat_1_v5_gn_4_30460.1, Lsat_1_v5_gn_8_152820.3, Lsat_1_v5_gn_8_152820.1, Lsat_1_v5_gn_8_152740.1
OG0003989	AT3G18260.1	Lsat_1_v5_gn_8_141581.3, Lsat_1_v5_gn_8_141581.1
OG0003989	AT1G68230.1, AT1G68230.2	Lsat_1_v5_gn_4_14841.2, Lsat_1_v5_gn_4_14841.1, Lsat_1_v5_gn_8_41400.1, Lsat_1_v5_gn_8_41400.3, Lsat_1_v5_gn_8_41400.2
OG0003990	AT1G10650.2, AT1G10650.1	Lsat_1_v5_gn_4_5360.1, Lsat_1_v5_gn_0_27841.1, Lsat_1_v5_gn_0_27841.2
OG0003991	AT5G16020.1	Lsat_1_v5_gn_2_86600.4, Lsat_1_v5_gn_2_86600.1
OG0003992	AT3G26500.1, AT1G12970.1, AT3G11330.1, AT5G05850.1	Lsat_1_v5_gn_1_27821.1, Lsat_1_v5_gn_5_14360.1, Lsat_1_v5_gn_5_14360.3
OG0003993	AT4G02030.1, AT4G02030.2	Lsat_1_v5_gn_1_35460.1, Lsat_1_v5_gn_1_35460.3
OG0003994	AT1G71010.1	Lsat_1_v5_gn_5_137961.1, Lsat_1_v5_gn_8_43581.1, Lsat_1_v5_gn_8_43581.2, Lsat_1_v5_gn_8_43581.3, Lsat_1_v5_gn_4_14920.1
OG0003995	AT5G39670.1, AT3G29000.1	Lsat_1_v5_gn_8_51200.2, Lsat_1_v5_gn_8_51200.1
OG0003996	AT5G08190.1, AT5G08190.2, AT5G23090.4, AT5G23090.2, AT5G23090.5, AT5G23090.3, AT5G23090.1	Lsat_1_v5_gn_1_15700.1, Lsat_1_v5_gn_1_15700.2, Lsat_1_v5_gn_4_111820.1
