Orthogroup	A_thaliana.proteins	V_vinifera.proteins
OG0003176	AT3G60750.2, AT3G60750.1, AT2G45290.2, AT2G45290.1	VIT_215s0048g00370.1, VIT_215s0048g00370.2, VIT_216s0022g01440.1
OG0003177	AT5G25770.2, AT5G25770.3, AT5G25770.1	VIT_204s0008g03680.1, VIT_204s0008g03680.2
OG0003178	AT5G59440.3, AT5G59440.1, AT5G59440.2	VIT_214s0171g00370.1
OG0003180	AT4G32300.1	VIT_204s0008g05500.1
OG0003181	AT1G63710.1	VIT_202s0025g03320.1
OG0003181	AT4G00360.1, AT1G01600.1, AT2G45970.1	VIT_215s0046g02380.1
OG0003182	AT3G24460.1, AT3G24460.2, AT4G13345.1, AT4G13345.3, AT4G13345.7, AT4G13345.5, AT4G13345.4, AT4G13345.2, AT4G13345.6	VIT_211s0016g04200.1
OG0003183	AT4G25960.1, AT1G10680.1, AT1G10680.2	VIT_202s0012g01660.3, VIT_202s0012g01660.2, VIT_202s0012g01660.1
OG0003184	AT2G17970.8, AT2G17970.6, AT2G17970.4, AT2G17970.5, AT2G17970.7, AT2G17970.2, AT2G17970.9, AT2G17970.3, AT2G17970.1, AT2G17970.10	VIT_204s0023g03300.2, VIT_204s0023g03300.1, VIT_204s0023g03300.3
OG0003185	AT2G46260.1, AT3G61600.1, AT3G61600.2	VIT_215s0046g01510.5, VIT_215s0046g01510.2, VIT_215s0046g01510.1, VIT_215s0046g01510.4, VIT_215s0046g01510.3
OG0003186	AT1G80530.1	VIT_209s0002g08430.1, VIT_209s0002g08430.2, VIT_209s0002g08430.3
OG0003187	AT1G79950.4, AT1G79950.5, AT1G79950.2, AT1G79950.3, AT1G79950.7, AT1G79950.6, AT1G79950.1	VIT_209s0002g04670.1, VIT_209s0002g04670.2
OG0003188	AT2G45330.1, AT2G45330.2, AT5G23600.1	VIT_215s0048g00300.1, VIT_215s0048g00280.1
OG0003189	AT3G11290.1, AT3G11290.2, AT2G19220.1, AT3G11310.1, AT3G11300.1, AT5G05800.5, AT5G05800.2, AT5G05800.1, AT5G05800.3, AT5G05800.4	VIT_213s0019g03310.1
OG0003190	AT3G20150.1, AT3G20150.2	VIT_219s0090g01600.2, VIT_219s0090g01600.3, VIT_219s0090g01600.1
OG0003191	AT1G62300.1, AT4G04450.2	VIT_210s0116g01200.3, VIT_210s0116g01200.2, VIT_210s0116g01200.1
OG0003192	AT5G36240.1, AT3G43503.1, AT3G43590.1, AT3G43490.1	VIT_206s0009g01050.4, VIT_206s0009g01050.3, VIT_206s0009g01050.2, VIT_206s0009g01050.1, VIT_206s0009g01050.5
OG0003194	AT5G56290.1	VIT_219s0015g01940.4, VIT_219s0015g01940.1, VIT_219s0015g01940.3, VIT_219s0015g01940.2, VIT_219s0015g01940.5
OG0003195	AT2G30150.2, AT2G30150.1, AT2G30140.2, AT2G30140.1	VIT_206s0004g07310.1, VIT_206s0009g02450.1, VIT_206s0004g07250.1, VIT_206s0004g07240.1, VIT_206s0004g07230.1
OG0003196	AT3G13610.1, AT1G55290.1	VIT_206s0004g00770.1, VIT_206s0004g00760.1
OG0003197	AT4G21880.1, AT4G21880.2, AT4G04790.2, AT4G04790.3, AT4G04790.1	VIT_219s0014g05265.1, VIT_219s0014g05230.2, VIT_219s0014g05230.3, VIT_219s0014g05230.4, VIT_219s0014g05230.1
OG0003199	AT5G05080.4, AT5G05080.1, AT5G05080.3, AT5G05080.2	VIT_208s0040g00460.2, VIT_208s0040g00460.1, VIT_208s0040g00460.3, VIT_208s0040g00460.4
OG0003200	AT3G45850.1, AT3G45850.2	VIT_206s0004g03810.2, VIT_206s0004g03810.3, VIT_206s0004g03810.5, VIT_206s0004g03810.4, VIT_206s0004g03810.8, VIT_206s0004g03810.1, VIT_206s0004g03810.7, VIT_206s0004g03810.6
OG0003201	AT4G27500.2, AT4G27500.1	VIT_219s0014g02640.1
OG0003203	AT2G28380.1	VIT_206s0004g02810.1, VIT_206s0004g02810.2
OG0003204	AT1G07900.1, AT2G28500.1	VIT_213s0019g03830.1, VIT_213s0019g03760.1, VIT_213s0019g03750.1, VIT_213s0019g03810.1, VIT_213s0019g03700.1
OG0003205	AT5G54530.1	VIT_219s0014g04720.1
OG0003205	AT1G61667.1, AT1G61667.2	VIT_200s0274g00050.1, VIT_200s0271g00090.1
OG0003206	AT5G60710.1	VIT_206s0004g02630.1
OG0003206	AT2G38970.1	VIT_213s0019g04440.1
OG0003207	AT1G05120.2, AT1G05120.1	VIT_212s0059g00800.1, VIT_210s0116g01490.1
OG0003208	AT5G02390.3, AT5G02390.2, AT5G02390.1	VIT_208s0007g00320.1
OG0003209	AT2G32415.3, AT2G32415.2, AT2G32415.1	VIT_212s0059g00620.5, VIT_212s0059g00620.2, VIT_212s0059g00620.4, VIT_212s0059g00620.3, VIT_212s0059g00620.1
OG0003210	AT5G52900.1	VIT_216s0050g01870.1
OG0003211	AT3G30210.1	VIT_214s0083g01060.1
OG0003211	AT3G24310.1, AT4G13480.1	VIT_205s0049g02260.1
OG0003212	AT5G03680.1, AT3G10000.2, AT3G10000.1	VIT_208s0007g03820.1, VIT_213s0074g00400.1
OG0003213	AT2G38040.2, AT2G38040.1	VIT_215s0046g03340.1, VIT_215s0046g03340.2, VIT_208s0007g01750.1, VIT_208s0007g01750.2, VIT_208s0007g01750.3
OG0003214	AT3G09180.2, AT3G09180.3, AT3G09180.1	VIT_208s0056g01180.3, VIT_208s0056g01180.2, VIT_208s0056g01180.1
OG0003215	AT1G29350.1, AT1G29370.2, AT1G29370.1	VIT_210s0003g02740.2, VIT_210s0003g02740.3, VIT_210s0003g02740.4, VIT_210s0003g02740.5, VIT_210s0003g02740.1
OG0003216	AT1G29200.3, AT1G29200.2, AT1G29200.1, AT1G29200.4	VIT_210s0003g01470.5, VIT_210s0003g01470.6, VIT_210s0003g01470.4, VIT_210s0003g01470.1, VIT_210s0003g01470.3, VIT_210s0003g01470.2
OG0003217	AT2G29530.2, AT2G29530.1, AT2G29530.3	VIT_206s0004g05820.1, VIT_206s0004g05820.4, VIT_206s0004g05820.2, VIT_206s0004g05820.3, VIT_206s0004g05820.5
OG0003218	AT3G08850.1, AT5G01770.1, AT5G01770.4, AT5G01770.5, AT5G01770.3, AT5G01770.2	VIT_208s0058g00890.1, VIT_208s0058g00890.2
OG0003219	AT1G73690.1, AT1G18040.1, AT1G66750.1	VIT_214s0006g02280.1, VIT_214s0006g02280.2, VIT_214s0006g02280.3
OG0003220	AT5G07930.1, AT5G07930.3, AT5G07930.2	VIT_203s0038g00390.1
OG0003221	AT5G41370.1, AT5G41360.2, AT5G41360.1	VIT_202s0025g00110.1, VIT_202s0025g00110.2
OG0003222	AT3G55140.2, AT3G55140.1	VIT_200s0317g00150.1
OG0003222	AT3G09540.3, AT3G09540.1, AT3G09540.2	VIT_208s0040g02740.1, VIT_208s0040g02740.2, VIT_208s0040g02740.3
OG0003223	AT1G67710.3, AT1G67710.2, AT1G67710.1	VIT_217s0000g10120.1
OG0003224	AT3G07565.2, AT3G07565.4, AT3G07565.3, AT3G07565.1	VIT_200s0226g00040.2, VIT_200s0226g00110.1, VIT_200s0226g00040.1, VIT_200s0226g00040.3, VIT_200s0226g00140.1, VIT_200s0226g00150.1
OG0003225	AT1G34040.1, AT1G34040.2, AT1G34060.1, AT1G34060.2	VIT_218s0157g00070.1, VIT_218s0157g00090.1, VIT_218s0157g00130.1, VIT_218s0157g00170.1, VIT_218s0157g00140.1
OG0003226	AT4G36850.2, AT4G36850.3, AT4G36850.4, AT4G36850.1	VIT_204s0023g01110.1, VIT_204s0023g01110.4, VIT_204s0023g01110.3, VIT_204s0023g01110.2
OG0003227	AT2G20190.1	VIT_207s0005g05010.3, VIT_207s0005g05010.2, VIT_207s0005g05010.1
OG0003228	AT5G10080.1	VIT_217s0000g08180.1, VIT_207s0031g01170.1, VIT_207s0031g01170.2, VIT_218s0001g04790.1, VIT_218s0001g04790.4, VIT_218s0001g04790.7, VIT_218s0001g04790.2, VIT_218s0001g04790.3, VIT_218s0001g04790.5, VIT_218s0001g04790.6, VIT_218s0001g04790.8, VIT_207s0031g01170.3, VIT_207s0031g01170.4
OG0003229	AT3G07680.1	VIT_219s0015g00700.2, VIT_219s0015g00700.1, VIT_219s0015g00700.3, VIT_212s0057g01220.1, VIT_212s0057g01220.2
OG0003230	AT2G46550.1, AT2G46550.3, AT2G46550.2	VIT_216s0098g01690.1, VIT_216s0098g01690.2, VIT_215s0046g00260.4, VIT_215s0046g00260.6, VIT_215s0046g00260.2, VIT_215s0046g00260.1, VIT_215s0046g00260.3, VIT_215s0046g00260.5
OG0003231	AT1G77030.1	VIT_218s0001g15035.2, VIT_218s0001g15035.3, VIT_218s0001g15035.1, VIT_218s0001g15035.4, VIT_218s0001g15035.5, VIT_218s0001g15035.6
OG0003232	AT5G42380.1, AT1G76650.3, AT1G76650.2, AT1G76650.1, AT1G76640.1	VIT_218s0122g00180.1
OG0003233	AT5G41410.1	VIT_202s0025g00200.1, VIT_202s0025g00200.2
OG0003234	AT1G77840.1	VIT_218s0001g04160.1, VIT_218s0001g04160.2
OG0003236	AT1G56220.4, AT1G56220.1, AT1G56220.3, AT1G56220.5, AT1G56220.2	VIT_214s0060g01720.1
OG0003237	AT4G19200.1	VIT_202s0087g00780.2, VIT_202s0087g00780.1, VIT_202s0087g00780.3, VIT_215s0024g00740.1, VIT_215s0024g00800.6, VIT_215s0024g00800.1, VIT_215s0024g00800.2, VIT_215s0024g00800.3, VIT_215s0024g00800.5, VIT_215s0024g00800.4
OG0003239	AT5G50020.1, AT5G50020.2, AT5G50020.3, AT4G24630.1	VIT_207s0031g01960.1, VIT_218s0072g00240.1
OG0003240	AT5G63400.1, AT5G63400.2, AT5G50370.1, AT5G50370.2	VIT_217s0000g01730.1
OG0003241	AT1G22930.2, AT1G22930.1	VIT_212s0034g02390.1, VIT_212s0034g02390.2, VIT_212s0034g02390.3
OG0003242	AT5G44040.1, AT1G04030.2, AT1G04030.1	VIT_207s0005g03990.1, VIT_207s0005g03990.2
OG0003243	AT4G20910.2, AT4G20910.1	VIT_210s0003g05070.4, VIT_210s0003g05070.3, VIT_210s0003g05070.8, VIT_210s0003g05070.7, VIT_210s0003g05070.5, VIT_210s0003g05070.6, VIT_210s0003g05070.2, VIT_210s0003g05070.1
OG0003244	AT5G40710.2, AT5G40710.1	VIT_214s0219g00070.2, VIT_214s0219g00070.5, VIT_214s0219g00070.6, VIT_214s0219g00070.4, VIT_214s0219g00070.1, VIT_214s0219g00070.3
OG0003244	AT5G63280.1	VIT_217s0000g10170.6, VIT_217s0000g10170.3, VIT_217s0000g10170.1, VIT_217s0000g10170.5, VIT_217s0000g10170.4, VIT_217s0000g10170.7, VIT_217s0000g10170.2
OG0003245	AT1G76510.4, AT1G76510.2, AT1G76510.1, AT1G76510.3, AT1G20910.2, AT1G20910.1	VIT_204s0044g01840.1
OG0003246	AT5G05000.3, AT5G05000.1, AT5G05000.2	VIT_202s0109g00360.2, VIT_202s0109g00360.3, VIT_202s0109g00360.1, VIT_202s0109g00360.4, VIT_202s0109g00360.6, VIT_216s0039g02670.1, VIT_216s0039g02670.2, VIT_216s0039g02670.3
OG0003247	AT5G14040.1	VIT_217s0000g00400.2, VIT_217s0000g00400.1, VIT_214s0068g01260.1
OG0003248	AT1G33700.2, AT1G33700.1, AT1G33700.3, AT1G33700.4, AT4G10060.2, AT4G10060.1	VIT_218s0001g05700.1
OG0003248	AT5G49900.2, AT5G49900.3, AT5G49900.1	VIT_212s0035g01220.1, VIT_212s0035g01220.2
OG0003249	AT5G41080.1, AT5G41080.2, AT3G02040.1	VIT_214s0068g01500.2, VIT_214s0068g01500.4, VIT_214s0068g01500.5, VIT_214s0068g01500.7, VIT_214s0068g01500.1
OG0003250	AT3G26744.4, AT3G26744.2, AT3G26744.6, AT3G26744.5, AT3G26744.1	VIT_217s0000g00330.1, VIT_217s0000g00330.2, VIT_214s0068g01200.1, VIT_214s0068g01200.2
OG0003251	AT3G56150.1, AT3G56150.2	VIT_208s0007g07180.4, VIT_208s0007g07180.2, VIT_208s0007g07180.1, VIT_208s0007g07180.3
OG0003252	AT1G60460.4, AT1G60460.5, AT1G60460.1, AT1G60460.2, AT1G60460.3	VIT_201s0127g00480.3, VIT_201s0127g00480.1, VIT_201s0127g00480.2
OG0003255	AT5G46800.2, AT5G46800.3, AT5G46800.1	VIT_202s0012g01250.1
OG0003256	AT1G69670.1, AT1G69670.2, AT1G26830.1	VIT_201s0026g02230.2, VIT_201s0026g02230.1, VIT_201s0026g02230.3
OG0003257	AT1G23740.1	VIT_201s0127g00740.3, VIT_201s0127g00740.2, VIT_201s0127g00740.1
OG0003258	AT2G04270.4, AT2G04270.9, AT2G04270.8, AT2G04270.5, AT2G04270.1, AT2G04270.2, AT2G04270.6, AT2G04270.7, AT2G04270.3	VIT_212s0057g01320.2, VIT_212s0057g01320.1, VIT_212s0057g01320.3
OG0003259	AT4G14245.1, AT3G23605.1, AT1G14570.4, AT1G14570.3, AT1G14570.2, AT1G14570.1	VIT_201s0010g02050.6, VIT_201s0010g02050.7, VIT_201s0010g02050.2, VIT_201s0010g02050.3, VIT_201s0010g02050.4, VIT_201s0010g02050.5, VIT_201s0010g02050.1
OG0003260	AT1G67070.1, AT1G67070.2, AT1G67070.3, AT3G02570.1	VIT_214s0006g02820.2, VIT_214s0006g02820.1
OG0003261	AT1G70140.1, AT1G24150.1, AT1G24150.2, AT1G59910.1	VIT_214s0108g00290.1, VIT_201s0026g00950.1
OG0003262	AT1G27850.1	VIT_201s0010g02610.1, VIT_201s0010g02610.2
OG0003263	AT2G01270.3, AT2G01270.2, AT2G01270.1, AT1G15020.1, AT1G15020.3, AT1G15020.2	VIT_201s0011g04600.1, VIT_201s0011g04600.2, VIT_201s0011g04600.3, VIT_201s0011g04600.4
OG0003264	AT5G50760.1	VIT_217s0000g00931.1, VIT_217s0000g00921.1, VIT_217s0000g00941.1
OG0003265	AT1G25330.1	VIT_201s0011g03720.1
OG0003265	AT1G18400.1, AT1G18400.2, AT1G73830.2, AT1G73830.1	VIT_217s0000g03580.1
OG0003266	AT3G56320.3, AT3G56320.1, AT3G56320.5, AT3G56320.4, AT3G56320.7, AT3G56320.6, AT3G56320.2, AT2G40520.3, AT2G40520.6, AT2G40520.5, AT2G40520.2, AT2G40520.4, AT2G40520.1	VIT_213s0067g02650.1
OG0003271	AT4G03230.3, AT4G03230.7, AT4G03230.2, AT4G03230.6, AT4G03230.5, AT4G03230.8, AT4G03230.4, AT4G03230.1	VIT_212s0134g00300.1, VIT_212s0134g00270.1, VIT_212s0134g00270.2, VIT_212s0134g00270.4, VIT_212s0134g00270.3
OG0003272	AT5G62180.1	VIT_216s0100g00010.1, VIT_216s0022g02440.1, VIT_216s0022g02430.1, VIT_216s0022g02300.1
OG0003273	AT1G72750.1, AT1G17530.1, AT1G17530.2	VIT_209s0002g01810.1
OG0003273	AT3G04800.1	VIT_204s0008g06730.1
OG0003286	AT5G02530.1, AT5G02530.2	VIT_213s0019g00640.1
OG0003287	AT2G16060.1	VIT_203s0063g01970.1, VIT_203s0063g01970.3, VIT_203s0063g01970.2, VIT_203s0063g01970.4, VIT_217s0053g01050.1, VIT_209s0096g00500.1, VIT_203s0063g01960.1
OG0003288	AT5G03230.1	VIT_206s0004g02830.1, VIT_212s0121g00296.1
OG0003289	AT1G03160.2, AT1G03160.3, AT1G03160.1, AT1G03160.4	VIT_207s0104g00480.1, VIT_207s0104g00480.4, VIT_207s0104g00480.5, VIT_207s0104g00480.3, VIT_207s0104g00480.2
OG0003290	AT5G03420.1	VIT_208s0007g05020.1
OG0003291	AT4G01950.1, AT4G01950.2, AT1G02390.1	VIT_207s0005g01760.1
OG0003292	AT1G55915.1, AT1G55915.4, AT1G55915.2, AT1G55915.3	VIT_219s0015g00170.2, VIT_219s0015g00170.5, VIT_219s0015g00170.4, VIT_219s0015g00170.1, VIT_219s0015g00170.3, VIT_219s0015g00170.6
OG0003293	AT1G56300.1, AT1G56300.2	VIT_218s0001g15250.1, VIT_201s0011g04820.3, VIT_201s0011g04820.1
OG0003294	AT3G22640.1	VIT_207s0151g00630.1, VIT_207s0151g00640.3, VIT_207s0151g00640.2, VIT_207s0151g00640.1
OG0003295	AT2G31270.1	VIT_207s0005g03090.1, VIT_207s0005g03090.3, VIT_207s0005g03090.5, VIT_207s0005g03090.2, VIT_207s0005g03090.4
OG0003296	AT5G52260.1, AT4G25560.1, AT4G25560.2, AT3G48920.1	VIT_216s0050g00050.2, VIT_216s0050g00050.1
OG0003297	AT3G53710.3, AT3G53710.1, AT3G53710.2, AT2G37550.2, AT2G37550.1	VIT_208s0007g00010.1
OG0003298	AT2G27860.1, AT1G08200.1	VIT_206s0061g01120.1, VIT_203s0017g00680.1, VIT_206s0080g00240.1, VIT_206s0080g00240.2
OG0003299	AT1G52080.2, AT1G52080.1	VIT_209s0002g03170.1, VIT_209s0002g03170.2
OG0003300	AT3G12480.1	VIT_213s0084g00040.1
OG0003301	AT5G42150.1	VIT_218s0001g14730.1, VIT_218s0001g14730.2
OG0003302	AT3G10300.6, AT3G10300.1, AT3G10300.5, AT3G10300.2, AT3G10300.4, AT3G10300.3, AT5G04170.1	VIT_200s0252g00130.2, VIT_200s0252g00130.4, VIT_200s0252g00130.6, VIT_200s0252g00130.5, VIT_200s0252g00130.3, VIT_200s0252g00130.1
OG0003303	AT1G03290.1, AT1G03290.2, AT1G03290.3, AT1G03290.4, AT1G03290.5, AT1G03290.6, AT4G02880.1, AT4G02880.2	VIT_207s0104g00310.1, VIT_207s0104g00310.2, VIT_207s0104g00310.3, VIT_207s0104g00310.4, VIT_207s0104g00310.6, VIT_207s0104g00310.5, VIT_207s0104g00310.8, VIT_207s0104g00310.9, VIT_207s0104g00310.7, VIT_207s0104g00310.10
OG0003304	AT3G57350.1, AT2G41620.1	VIT_208s0007g08940.1, VIT_208s0007g08940.2, VIT_208s0007g08940.3
OG0003305	AT2G40070.2, AT2G40070.3, AT2G40070.1	VIT_213s0067g00570.1
OG0003306	AT2G47210.2, AT2G47210.1, AT2G47210.3	VIT_207s0005g01910.4, VIT_207s0005g01910.1, VIT_207s0005g01910.2, VIT_207s0005g01910.3, VIT_207s0005g01910.5
OG0003307	AT3G55605.1, AT2G46190.1, AT2G39790.1, AT2G39795.1	VIT_213s0019g02350.1
OG0003308	AT2G43280.2, AT2G43280.1	VIT_205s0102g00390.2, VIT_205s0102g00390.1, VIT_205s0102g00470.3, VIT_205s0102g00470.4, VIT_205s0102g00470.5, VIT_205s0102g00470.6, VIT_205s0102g00470.1, VIT_205s0102g00470.2
OG0003309	AT3G54630.1	VIT_212s0034g00390.1, VIT_212s0142g00600.1, VIT_212s0034g00780.1, VIT_212s0034g00290.1, VIT_212s0034g00876.1, VIT_212s0034g00410.1, VIT_212s0034g00950.2, VIT_212s0034g00950.1, VIT_216s0013g00940.1, VIT_212s0034g00670.1, VIT_212s0034g00790.1
OG0003311	AT3G61370.2, AT3G61370.1, AT3G61370.3, AT4G07940.1	VIT_200s0189g00090.1, VIT_217s0000g03220.2, VIT_217s0000g03220.3, VIT_217s0000g03220.1, VIT_217s0000g03220.4
OG0003312	AT2G43410.5, AT2G43410.2, AT2G43410.3, AT2G43410.4, AT2G43410.6, AT2G43410.1	VIT_205s0102g01160.5, VIT_205s0102g01160.4, VIT_205s0102g01160.3, VIT_205s0102g01160.1, VIT_205s0102g01160.2
OG0003313	AT5G55070.2, AT5G55070.1, AT4G26910.3, AT4G26910.1, AT4G26910.2	VIT_210s0116g01480.2, VIT_210s0116g01480.1, VIT_219s0090g00750.1
OG0003314	AT3G59660.1, AT3G59660.2	VIT_205s0094g00500.6, VIT_205s0094g00500.4, VIT_205s0094g00500.5, VIT_205s0094g00500.3, VIT_205s0094g00500.1, VIT_205s0094g00500.2
OG0003316	AT3G03610.4, AT3G03610.3, AT3G03610.2, AT3G03610.1	VIT_208s0056g00790.3, VIT_208s0056g00790.2, VIT_208s0056g00790.1
OG0003317	AT1G80330.1, AT1G15550.1, AT1G80340.1	VIT_209s0002g05300.1, VIT_209s0002g05270.1
OG0003318	AT2G20450.1, AT4G27090.1	VIT_211s0118g00670.1
OG0003319	AT3G23390.1, AT4G14320.1	VIT_213s0064g00880.1, VIT_201s0011g02090.1, VIT_213s0064g00880.2, VIT_201s0011g02095.1
OG0003320	AT4G21660.2, AT4G21660.3, AT4G21660.1	VIT_200s0818g00010.1, VIT_200s0818g00010.2
OG0003321	AT2G41130.1, AT3G56770.1	VIT_208s0040g01240.1
OG0003324	AT3G66654.5, AT3G66654.1, AT3G66654.2, AT3G66654.3, AT3G66654.4	VIT_205s0077g01040.1, VIT_205s0077g01040.2, VIT_205s0077g01040.3
OG0003326	AT3G56160.3, AT3G56160.1, AT3G56160.5, AT3G56160.4, AT3G56160.2	VIT_206s0080g00280.1, VIT_206s0080g00280.4, VIT_206s0080g00280.3, VIT_206s0080g00280.2, VIT_213s0106g00740.1, VIT_213s0106g00740.2, VIT_213s0106g00740.5, VIT_213s0106g00740.6, VIT_213s0106g00740.3, VIT_213s0106g00740.4
OG0003327	AT1G02400.2, AT1G02400.1	VIT_207s0005g01920.1
OG0003327	AT1G47990.1	VIT_205s0077g00520.2, VIT_205s0077g00520.1
OG0003328	AT5G12890.1	VIT_206s0004g01670.1, VIT_206s0004g01660.1, VIT_206s0004g01640.1
OG0003329	AT2G31200.1	VIT_207s0005g03310.3, VIT_207s0005g03310.1, VIT_207s0005g03310.2
OG0003330	AT1G51350.1	VIT_206s0004g02190.5, VIT_206s0004g02190.1, VIT_206s0004g02190.2, VIT_206s0004g02190.4, VIT_206s0004g02190.3
OG0003331	AT4G16480.1, AT4G16480.2, AT4G16480.3, AT2G35740.1	VIT_210s0405g00050.2, VIT_210s0405g00050.1, VIT_210s0405g00050.3
OG0003332	AT5G59150.1, AT3G46830.2, AT3G46830.1, AT1G07410.1	VIT_206s0004g05550.1
OG0003334	AT2G28660.1	VIT_206s0004g04030.1, VIT_206s0004g04030.2
OG0003335	AT1G21960.1, AT1G18760.1, AT3G13228.1, AT1G18770.1, AT5G53910.1	VIT_217s0000g05305.1
OG0003336	AT2G28610.1	VIT_206s0004g03780.1
OG0003337	AT1G10120.1, AT1G10120.2	VIT_207s0151g00450.1, VIT_218s0001g08600.2, VIT_218s0001g08600.1
OG0003338	AT3G50310.1, AT5G67080.1, AT4G36950.1	VIT_207s0031g00530.1
OG0003339	AT3G12530.2, AT3G12530.3, AT3G12530.1, AT3G12530.4	VIT_216s0039g01780.1
OG0003340	AT1G20380.1, AT1G20380.2, AT1G76140.1, AT1G76140.2	VIT_218s0001g00510.1, VIT_218s0001g00510.2
OG0003341	AT1G71860.2, AT1G71860.3, AT1G71860.1	VIT_218s0076g00280.6, VIT_218s0076g00280.8, VIT_218s0076g00280.9, VIT_218s0076g00280.2, VIT_218s0076g00280.3, VIT_218s0076g00280.1, VIT_218s0076g00280.10, VIT_218s0076g00280.7, VIT_218s0076g00280.4, VIT_218s0076g00280.5
OG0003342	AT4G37700.1	VIT_200s0682g00050.1, VIT_203s0088g00265.1
OG0003342	AT1G10140.1, AT1G58420.1	VIT_218s0001g08810.1, VIT_218s0001g08820.1
OG0003343	AT5G42210.2, AT5G42210.1	VIT_218s0001g00800.2, VIT_218s0001g00800.3, VIT_218s0001g00800.1
OG0003344	AT2G33590.1, AT2G33600.1	VIT_218s0122g00620.1, VIT_218s0122g00640.1
OG0003344	AT1G76470.1	VIT_213s0019g01160.1, VIT_212s0142g00710.1, VIT_212s0142g00510.1, VIT_218s0122g00630.1
OG0003345	AT1G33970.4, AT1G33970.5, AT1G33970.2, AT1G33970.1, AT1G33970.3	VIT_218s0041g01860.2, VIT_218s0041g01860.1
OG0003346	AT5G66490.1, AT3G50900.1	VIT_204s0023g02100.1
OG0003347	AT1G34200.1, AT4G09670.1	VIT_218s0001g01380.1, VIT_218s0001g01490.1, VIT_218s0001g01430.1, VIT_218s0001g01540.1
OG0003348	AT5G66110.1, AT5G66110.3, AT5G66110.2	VIT_204s0023g03910.1, VIT_204s0023g03890.1
OG0003348	AT4G38580.1, AT4G38580.2, AT4G35060.1	VIT_203s0038g02440.1
OG0003349	AT2G22370.1	VIT_218s0001g11690.3, VIT_218s0001g11690.4, VIT_218s0001g11690.2, VIT_218s0001g11690.1
OG0003350	AT1G76990.1, AT1G76990.4, AT1G76990.5, AT1G76990.2, AT1G76990.3	VIT_218s0001g15000.1, VIT_218s0001g15000.3, VIT_218s0001g15000.2, VIT_218s0001g15000.4
OG0003351	AT2G22680.1, AT4G37890.1, AT4G37890.2	VIT_207s0205g00030.1
OG0003351	AT5G49665.1	VIT_218s0001g08100.1
OG0003352	AT4G34480.2, AT4G34480.1, AT4G34480.3, AT2G16230.1, AT5G42720.1	VIT_203s0063g02490.1
OG0003353	AT2G24692.1, AT3G50780.1, AT3G50780.2	VIT_204s0023g01000.1
OG0003354	AT4G39150.2, AT4G39150.3, AT4G39150.1, AT2G21510.3, AT2G21510.1, AT2G21510.2, AT2G21510.4, AT2G21510.5	VIT_203s0038g04420.1
OG0003355	AT1G63855.6, AT1G63855.1, AT1G63855.2, AT1G63855.5, AT1G63855.3, AT1G63855.4	VIT_200s0510g00020.1, VIT_200s0510g00020.3, VIT_200s0510g00020.4, VIT_200s0510g00020.2
OG0003356	AT2G23096.1, AT4G33910.1	VIT_203s0091g00520.2, VIT_203s0091g00520.1, VIT_203s0091g00540.1, VIT_203s0091g00540.2, VIT_203s0091g00520.3
OG0003357	AT5G66240.3, AT5G66240.1, AT5G66240.2	VIT_204s0023g03320.1
OG0003358	AT1G80260.2, AT1G80260.3, AT1G80260.1, AT1G20570.3, AT1G20570.2, AT1G20570.4, AT1G20570.1	VIT_218s0001g11220.2, VIT_218s0001g11220.1
OG0003359	AT2G26530.2, AT2G26530.1	VIT_218s0001g11130.1
OG0003360	AT1G22210.1	VIT_216s0050g02600.1, VIT_216s0050g02600.4, VIT_216s0050g02600.2, VIT_216s0050g02600.3
OG0003361	AT2G19920.1, AT2G19920.3, AT2G19920.2, AT2G19920.4, AT2G19910.2, AT2G19910.1, AT2G19930.1, AT2G19930.3, AT2G19930.2	VIT_211s0016g03220.1
OG0003362	AT5G67250.1, AT3G50080.1	VIT_207s0129g01110.1
OG0003362	AT1G47056.1, AT4G07400.1	VIT_218s0001g09940.1
OG0003363	AT1G18340.1	VIT_218s0001g03100.1, VIT_218s0001g03100.2, VIT_218s0001g03100.3
OG0003364	AT1G53660.5, AT1G53660.4, AT1G53660.3, AT1G53660.1, AT3G14410.1	VIT_215s0046g00460.2, VIT_215s0046g00460.1, VIT_215s0046g00460.4, VIT_215s0046g00460.3
OG0003365	AT5G65180.2, AT5G65180.1, AT5G10060.1	VIT_207s0031g01240.3, VIT_207s0031g01240.1, VIT_207s0031g01240.5, VIT_207s0031g01240.4, VIT_207s0031g01240.2
OG0003366	AT4G37810.1	VIT_200s0386g00040.1, VIT_218s0001g08350.1
OG0003367	AT2G20670.1, AT4G32480.1	VIT_212s0028g03560.2, VIT_212s0028g03560.1, VIT_200s0265g00090.1
OG0003368	AT5G66480.1, AT3G50910.1	VIT_204s0023g02110.1
OG0003369	AT1G06660.1, AT2G30820.1, AT2G30820.2	VIT_212s0028g00940.1, VIT_212s0028g00940.2
OG0003370	AT2G20680.1, AT4G28320.1	VIT_212s0028g03610.1, VIT_212s0028g03610.6, VIT_212s0028g03610.4, VIT_212s0028g03610.5, VIT_212s0028g03610.3, VIT_212s0028g03610.2
OG0003371	AT4G17270.1, AT5G47540.1	VIT_210s0405g00020.2, VIT_210s0405g00020.1
