Orthogroup	A_thaliana.proteins	D_muscipula.proteins
OG0004600	AT3G52520.1, AT5G06280.1, AT5G06280.3	Dm_00000064-RA, Dm_00002535-RA
OG0004601	AT3G58030.4, AT3G58030.3, AT3G58030.2, AT3G58030.1, AT2G42030.1	Dm_00008843-RA
OG0004605	AT3G17660.1, AT3G17660.3, AT3G17660.5, AT3G17660.2, AT3G17660.4	Dm_00010085-RA
OG0004622	AT2G42210.3, AT2G42210.4, AT2G42210.2, AT3G57900.1, AT2G42210.5, AT2G42210.1	Dm_00017924-RA, Dm_00014269-RA
OG0004623	AT4G18905.2, AT4G18905.1	Dm_00014781-RA
OG0004624	AT5G64830.1, AT5G64830.2, AT5G64830.3	Dm_00016200-RA
OG0004626	AT5G36100.2, AT5G36100.1, AT1G65090.1, AT1G65090.2, AT1G65090.3	Dm_00001973-RA
OG0004628	AT1G31910.2, AT1G31910.1	Dm_00014571-RA
OG0004629	AT1G29940.1	Dm_00014290-RA, Dm_00009400-RA, Dm_00009401-RA, Dm_00014289-RA
OG0004630	AT2G26060.2, AT2G26060.1, AT4G32990.1, AT4G32990.2	Dm_00000790-RA
OG0004631	AT5G12235.1	Dm_00004486-RA
OG0004633	AT1G80910.1, AT1G16020.1, AT1G16020.4, AT1G16020.3, AT1G16020.2	Dm_00001938-RA
OG0004634	AT1G19520.2, AT1G19520.1	Dm_00002742-RA
OG0004635	AT3G04740.1	Dm_00002783-RA
OG0004636	AT5G15940.4, AT5G15940.2, AT5G15940.3, AT5G15940.1, AT5G04070.1	Dm_00001149-RA
OG0004638	AT2G47430.1	Dm_00006522-RA
OG0004639	AT2G06530.1, AT2G06530.2	Dm_00015080-RA, Dm_00017304-RA
OG0004640	AT3G20330.1, AT3G20330.2	Dm_00013899-RA
OG0004641	AT1G24510.1	Dm_00012627-RA
OG0004643	AT4G14780.1, AT3G22750.1	Dm_00005042-RA
OG0004644	AT3G07490.1	Dm_00005923-RA
OG0004645	AT3G48820.2, AT3G48820.1	Dm_00012417-RA, Dm_00003248-RA
OG0004646	AT1G09160.2, AT1G09160.1	Dm_00001795-RA, Dm_00001638-RA
OG0004650	AT5G17440.1, AT5G17440.2, AT3G03340.1, AT3G03340.3	Dm_00001207-RA, Dm_00009026-RA
OG0004652	AT3G23810.1, AT4G13940.1	Dm_00002564-RA, Dm_00001535-RA
OG0004653	AT3G54430.1, AT5G12330.2, AT5G12330.1, AT5G12330.3, AT5G12330.4	Dm_00011470-RA
OG0004654	AT3G02750.1, AT3G02750.3, AT3G02750.2	Dm_00009031-RA, Dm_00001210-RA
OG0004655	AT5G26710.1	Dm_00013290-RA
OG0004656	AT1G09770.1	Dm_00008495-RA
OG0004658	AT5G16715.1	Dm_00000359-RA
OG0004660	AT1G50420.1	Dm_00009748-RA, Dm_00018549-RA
OG0004661	AT3G54790.1, AT3G54790.3, AT3G54790.2	Dm_00008668-RA
OG0004662	AT4G30900.1, AT4G30900.2, AT4G30900.3	Dm_00005365-RA
OG0004663	AT5G06220.1, AT5G06220.3, AT5G06220.2, AT3G11560.4, AT3G11560.3, AT3G11560.2, AT3G11560.5, AT3G11560.1	Dm_00001399-RA
OG0004665	AT3G57890.2, AT3G57890.1, AT2G42230.2	Dm_00011338-RA
OG0004666	AT2G28520.1	Dm_00009187-RA
OG0004667	AT3G07090.1, AT3G07090.2	Dm_00013594-RA
OG0004668	AT5G52820.1	Dm_00014665-RA
OG0004669	AT5G04060.1, AT3G10200.1, AT3G10200.2	Dm_00007821-RA
OG0004670	AT2G32780.1, AT1G04860.1	Dm_00001552-RA
OG0004671	AT3G17240.3, AT3G17240.1, AT1G48030.2, AT1G48030.5, AT1G48030.1, AT1G48030.3, AT1G48030.4	Dm_00020083-RA, Dm_00004358-RA
OG0004672	AT2G27900.1, AT2G27900.2	Dm_00013712-RA
OG0004674	AT3G45590.1, AT3G45590.2, AT3G45577.1, AT5G60230.1, AT5G60230.2	Dm_00010681-RA, Dm_00017049-RA
OG0004675	AT3G23900.3, AT3G23900.4, AT3G23900.1, AT3G23900.2	Dm_00002556-RA
OG0004676	AT2G47920.2, AT2G47920.1, AT4G03153.1, AT1G03470.3, AT1G03470.1, AT1G03470.4, AT1G03470.2	Dm_00011826-RA
OG0004677	AT5G28910.2, AT5G28960.1, AT5G28910.1	Dm_00004718-RA
OG0004678	AT2G29430.1	Dm_00007835-RA
OG0004679	AT5G27650.1, AT3G05430.1, AT3G05430.2	Dm_00013064-RA, Dm_00000600-RA
OG0004680	AT1G09060.2, AT1G09060.1, AT1G09060.3, AT1G09060.4	Dm_00000598-RA
OG0004681	AT4G38650.1	Dm_00009259-RA, Dm_00006983-RA
OG0004682	AT4G22930.2, AT4G22930.1	Dm_00008309-RA
OG0004683	AT2G20980.1	Dm_00005612-RA
OG0004684	AT4G39960.2, AT4G39960.1, AT2G22360.1	Dm_00003806-RA, Dm_00001916-RA
OG0004685	AT4G34460.4, AT4G34460.2, AT4G34460.1, AT4G34460.3	Dm_00009762-RA
OG0004686	AT4G35440.1, AT4G35440.2	Dm_00018904-RA
OG0004687	AT3G54340.1	Dm_00010453-RA
OG0004688	AT5G09730.1, AT5G64570.2, AT5G64570.1, AT5G64570.3	Dm_00004859-RA
OG0004689	AT5G64960.1, AT5G64960.2, AT5G10270.1	Dm_00002458-RA
OG0004690	AT4G24390.2, AT4G24390.1, AT5G49980.1	Dm_00011306-RA, Dm_00015526-RA
OG0004691	AT1G49320.1	Dm_00015739-RA
OG0004692	AT5G22130.2, AT5G22130.1, AT5G22130.3	Dm_00002239-RA
OG0004693	AT5G64420.1	Dm_00002621-RA
OG0004694	AT5G10320.1, AT5G10320.3, AT5G10320.5, AT5G10320.4, AT5G10320.2, AT5G10320.6	Dm_00017435-RA
OG0004696	AT4G25450.3, AT4G25450.2, AT4G25450.1	Dm_00011885-RA
OG0004697	AT5G20240.1, AT5G20240.2	Dm_00007243-RA
OG0004698	AT3G49880.1, AT5G67540.1, AT5G67540.3, AT5G67540.2	Dm_00006592-RA
OG0004699	AT3G19440.1, AT3G19440.2	Dm_00008257-RA
OG0004700	AT4G18440.1, AT1G36280.1, AT1G36280.2	Dm_00015187-RA
OG0004701	AT5G45950.1	Dm_00000704-RA
OG0004702	AT4G35335.1	Dm_00015419-RA
OG0004703	AT5G64440.1	Dm_00008595-RA
OG0004704	AT4G36050.1, AT4G36050.4, AT4G36050.3, AT4G36050.2, AT4G36050.5	Dm_00013940-RA
OG0004705	AT1G35720.1, AT5G65020.1, AT5G65020.2, AT5G10230.1, AT5G10220.1	Dm_00007881-RA
OG0004706	AT4G38180.1	Dm_00008050-RA
OG0004707	AT1G22460.1	Dm_00016007-RA
OG0004708	AT1G26370.1	Dm_00018525-RA
OG0004709	AT4G39740.1	Dm_00018959-RA
OG0004710	AT3G19660.1	Dm_00016635-RA
OG0004711	AT2G18080.1, AT4G36195.1, AT4G36195.2, AT4G36195.3, AT4G36190.1	Dm_00005016-RA
OG0004712	AT5G14200.2, AT5G14200.3, AT5G14200.1, AT1G31180.2, AT1G31180.1, AT1G80560.1	Dm_00016544-RA
OG0004713	AT4G34950.1, AT2G16660.2, AT2G16660.1	Dm_00020147-RA
OG0004717	AT5G67470.1	Dm_00006600-RA
OG0004718	AT5G20890.1	Dm_00012517-RA, Dm_00000574-RA
OG0004719	AT3G08600.1	Dm_00000008-RA
OG0004722	AT3G21610.2, AT3G21610.1	Dm_00001756-RA
OG0004724	AT5G26030.1, AT5G26030.2	Dm_00006811-RA
OG0004725	AT3G14400.1	Dm_00003318-RA
OG0004726	AT5G46060.1	Dm_00000711-RA
OG0004727	AT3G07890.5, AT3G07890.4, AT3G07890.3, AT3G07890.1, AT3G07890.2	Dm_00004885-RA
OG0004728	AT3G55410.2, AT3G55410.1, AT5G65750.1	Dm_00013490-RA
OG0004729	AT4G37110.1, AT4G37110.2, AT4G37110.3, AT4G37110.4, AT2G23530.1	Dm_00001076-RA
OG0004730	AT1G15260.1	Dm_00007076-RA
OG0004731	AT1G64280.1	Dm_00009307-RA
OG0004732	AT5G54520.1	Dm_00006801-RA
OG0004733	AT5G45810.1, AT4G18700.1, AT1G29230.1, AT2G34180.1	Dm_00002312-RA
OG0004734	AT1G72040.1	Dm_00009989-RA
OG0004735	AT5G48220.2, AT5G48220.4, AT5G48220.3, AT5G48220.1	Dm_00007949-RA
OG0004736	AT1G14660.1, AT1G14660.2, AT2G01980.1	Dm_00015060-RA
OG0004737	AT5G45650.2, AT5G45650.1, AT5G45640.1	Dm_00015236-RA
OG0004739	AT5G53900.1, AT5G53900.3, AT5G53900.2, AT3G15240.2	Dm_00014500-RA
OG0004740	AT3G48750.1	Dm_00020245-RA
OG0004742	AT4G25630.1, AT5G52470.1, AT5G52470.2	Dm_00003298-RA, Dm_00015511-RA
OG0004743	AT1G01230.1	Dm_00009277-RA, Dm_00004201-RA
OG0004744	AT5G24000.1	Dm_00002059-RA
OG0004744	AT5G52540.1	Dm_00010709-RA
OG0004745	AT5G52060.1, AT5G07220.1	Dm_00013326-RA, Dm_00003070-RA
OG0004746	AT5G25490.1, AT5G25490.2	Dm_00017710-RA
OG0004747	AT3G20430.1	Dm_00015569-RA, Dm_00018484-RA
OG0004748	AT3G60860.1, AT1G01960.1	Dm_00002917-RA
OG0004749	AT5G41150.4, AT5G41150.2, AT5G41150.3, AT5G41150.1	Dm_00016089-RA
OG0004750	AT1G12450.1, AT4G22850.2, AT4G22850.1	Dm_00010434-RA, Dm_00003963-RA
OG0004751	AT4G32272.2, AT4G32272.1	Dm_00012787-RA
OG0004752	AT3G20260.1	Dm_00018002-RA
OG0004753	AT5G35160.2, AT5G35160.3, AT5G35160.1, AT5G35160.4	Dm_00000267-RA, Dm_00011691-RA
OG0004754	AT2G25830.1	Dm_00000657-RA
OG0004755	AT4G31340.1, AT4G31340.2, AT2G24420.1, AT2G24420.2	Dm_00013660-RA
OG0004756	AT4G16710.1, AT4G16710.3, AT4G16710.4, AT4G16710.2	Dm_00013598-RA
OG0004757	AT1G55300.1, AT1G55300.2	Dm_00007999-RA, Dm_00019144-RA
OG0004758	AT1G80450.1	Dm_00002334-RA
OG0004759	AT3G61200.1	Dm_00020082-RA
OG0004760	AT1G74930.1, AT1G19210.1	Dm_00008360-RA, Dm_00001027-RA
OG0004761	AT4G28910.3, AT4G28910.2, AT4G28910.1	Dm_00008798-RA, Dm_00008797-RA
OG0004762	AT5G35430.1	Dm_00003797-RA, Dm_00012939-RA, Dm_00012938-RA
OG0004765	AT4G11911.2, AT4G11911.1, AT4G11910.1, AT4G22920.2, AT4G22920.1	Dm_00015953-RA
OG0004766	AT5G57830.1	Dm_00001009-RA
OG0004768	AT4G01150.2, AT4G01150.1	Dm_00008062-RA, Dm_00006073-RA
OG0004770	AT1G15240.4, AT1G15240.5, AT1G15240.1, AT1G15240.3, AT1G15240.2	Dm_00007079-RA
OG0004771	AT1G72880.1, AT1G72880.2	Dm_00008003-RA, Dm_00009305-RA
OG0004772	AT3G14070.1, AT1G54115.1	Dm_00008759-RA, Dm_00014709-RA
OG0004774	AT3G05870.7, AT3G05870.3, AT3G05870.5, AT3G05870.4, AT3G05870.2, AT3G05870.6, AT3G05870.1	Dm_00008397-RA
OG0004776	AT2G28470.4, AT2G28470.2, AT2G28470.3, AT2G28470.1, AT2G28470.5	Dm_00018955-RA
OG0004777	AT1G08510.1	Dm_00001043-RA, Dm_00000112-RA
OG0004778	AT1G78900.1, AT1G78900.2	Dm_00019571-RA
OG0004779	AT5G52200.2, AT5G52200.3, AT5G52200.1	Dm_00003079-RA
OG0004780	AT5G20320.3, AT5G20320.2, AT5G20320.1	Dm_00000272-RA, Dm_00005244-RA
OG0004781	AT1G52380.2, AT1G52380.4, AT1G52380.1, AT1G52380.3, AT3G15970.1, AT3G15970.2	Dm_00005428-RA, Dm_00015218-RA
OG0004782	AT5G51690.2, AT5G51690.1	Dm_00007837-RA
OG0004782	AT1G62960.1	Dm_00010433-RA
OG0004783	AT3G07950.1	Dm_00007944-RA, Dm_00017239-RA
OG0004784	AT1G79830.2, AT1G79830.4, AT1G79830.1, AT1G79830.3, AT1G79830.5	Dm_00006015-RA
OG0004786	AT1G80230.1, AT3G15640.2, AT3G15640.1	Dm_00004815-RA
OG0004787	AT5G20270.1	Dm_00003794-RA
OG0004789	AT2G07680.6, AT2G07680.3, AT2G07680.2, AT2G07680.4, AT2G07680.5, AT2G07680.1	Dm_00019663-RA, Dm_00011920-RA
OG0004790	AT5G57360.2, AT5G57360.1	Dm_00009827-RA
OG0004791	AT2G19520.1	Dm_00011861-RA
OG0004792	AT5G23550.1	Dm_00001909-RA
OG0004793	AT3G24350.1, AT3G24350.2	Dm_00001040-RA
OG0004794	AT3G01340.1, AT3G01340.2, AT2G30050.1	Dm_00003795-RA
OG0004795	AT3G52260.1, AT3G52260.4, AT3G52260.2, AT3G52260.3	Dm_00008149-RA
OG0004796	AT2G19270.1	Dm_00011535-RA
OG0004797	AT5G57035.1, AT2G19410.1, AT2G19410.3, AT2G19410.2	Dm_00014694-RA
OG0004798	AT2G15580.1, AT2G15580.2, AT2G15580.3	Dm_00000264-RA
OG0004799	AT2G20140.1, AT4G29040.1	Dm_00015781-RA
OG0004800	AT2G46060.1, AT2G46060.3, AT2G46060.2	Dm_00011211-RA
OG0004801	AT1G15710.1	Dm_00003786-RA, Dm_00005003-RA
OG0004802	AT5G48120.2, AT5G48120.3, AT5G48120.1	Dm_00010127-RA
OG0004803	AT3G21290.2, AT3G21290.1	Dm_00007523-RA, Dm_00007522-RA
OG0004804	AT3G03810.1, AT3G03810.2	Dm_00007307-RA
OG0004805	AT5G57070.1	Dm_00019171-RA
OG0004805	AT1G72790.1	Dm_00013477-RA
OG0004806	AT1G50440.1, AT1G50440.3, AT1G50440.5, AT1G50440.4, AT1G50440.2	Dm_00017814-RA
OG0004807	AT2G25620.1, AT2G25620.2	Dm_00011818-RA
OG0004808	AT5G47240.1, AT5G47240.2	Dm_00016632-RA
OG0004809	AT1G79030.2, AT1G79030.1, AT1G16680.1	Dm_00010067-RA
OG0004810	AT5G59865.1	Dm_00004771-RA
OG0004812	AT4G00550.1, AT4G00550.2	Dm_00009398-RA
OG0004813	AT2G29630.3, AT2G29630.2, AT2G29630.1	Dm_00007348-RA
OG0004814	AT3G45090.1, AT3G45090.2, AT5G60760.1	Dm_00000487-RA
OG0004815	AT4G27100.2, AT4G27100.1, AT5G54780.1	Dm_00004240-RA, Dm_00000836-RA
OG0004816	AT4G12600.1, AT5G20160.1, AT4G22380.1	Dm_00000084-RA, Dm_00003608-RA
OG0004818	AT3G52760.1, AT2G36300.1	Dm_00011361-RA, Dm_00000784-RA
OG0004820	AT1G11700.1, AT1G61930.1	Dm_00010659-RA, Dm_00019098-RA
OG0004821	AT2G39880.1, AT3G55730.1	Dm_00018927-RA
OG0004822	AT5G58230.1	Dm_00010136-RA, Dm_00009174-RA
OG0004823	AT2G21440.1	Dm_00004954-RA
OG0004824	AT5G60600.5, AT5G60600.3, AT5G60600.4, AT5G60600.1, AT5G60600.2	Dm_00007334-RA
OG0004825	AT4G21770.2, AT4G21770.1	Dm_00005520-RA
OG0004826	AT3G10390.3, AT3G10390.2, AT3G10390.1, AT3G10390.4	Dm_00004400-RA
OG0004827	AT3G44200.1, AT3G44200.2	Dm_00018240-RA
OG0004828	AT1G06590.1	Dm_00000500-RA
OG0004829	AT5G46210.1	Dm_00005038-RA, Dm_00000338-RA
OG0004830	AT3G57630.3, AT3G57630.2, AT3G57630.1	Dm_00014876-RA
OG0004831	AT2G40860.2, AT2G40860.3, AT2G40860.1, AT2G40860.4	Dm_00005938-RA
OG0004832	AT5G01700.1, AT5G01700.2	Dm_00000054-RA, Dm_00002539-RA
OG0004833	AT3G46450.2, AT3G46450.3, AT3G46450.1	Dm_00004781-RA
OG0004834	AT1G79250.3, AT1G79250.4, AT1G79250.1, AT1G79250.2, AT1G16440.1, AT3G12690.2, AT3G12690.3, AT3G12690.1	Dm_00016239-RA, Dm_00013703-RA
OG0004835	AT1G78530.1, AT1G78530.2	Dm_00016675-RA
OG0004836	AT5G55970.2, AT5G55970.3, AT5G55970.1, AT4G26580.1, AT4G26580.2	Dm_00005376-RA
OG0004837	AT3G10850.1	Dm_00010129-RA, Dm_00010735-RA, Dm_00013692-RA
OG0004839	AT2G36610.1, AT5G03790.1, AT5G03790.2	Dm_00010580-RA
OG0004840	AT1G37010.1, AT5G06680.1	Dm_00016025-RA
OG0004841	AT1G61290.1, AT1G61290.2, AT1G11250.1	Dm_00005086-RA
OG0004841	AT4G03330.1	Dm_00005421-RA
OG0004842	AT5G54870.2, AT5G54870.1, AT4G27020.1	Dm_00000856-RA
OG0004843	AT5G02770.1	Dm_00014783-RA, Dm_00007466-RA
OG0004844	AT2G39420.1, AT2G39410.2, AT2G39410.1, AT3G55180.1, AT2G39400.2, AT2G39400.1, AT3G55190.1	Dm_00015546-RA
OG0004845	AT2G29890.2, AT2G29890.3, AT2G29890.5, AT2G29890.4, AT2G29890.1	Dm_00009560-RA
OG0004846	AT3G55480.1, AT3G55480.2	Dm_00015810-RA
OG0004847	AT3G55270.1	Dm_00014854-RA
OG0004848	AT2G34200.2, AT2G34200.1	Dm_00000670-RA, Dm_00000669-RA
OG0004849	AT1G50920.1	Dm_00018722-RA, Dm_00015190-RA
OG0004850	AT4G28260.2, AT4G28260.1	Dm_00003160-RA
OG0004851	AT5G16850.1, AT5G16850.2	Dm_00007398-RA
OG0004852	AT5G45740.1	Dm_00006393-RA
OG0004853	AT5G02850.1	Dm_00017934-RA
OG0004854	AT3G07940.2, AT3G07940.1	Dm_00013733-RA
OG0004856	AT5G05350.1, AT3G10980.1	Dm_00009834-RA
OG0004858	AT2G42070.2, AT2G42070.1	Dm_00010732-RA
OG0004860	AT1G55620.1, AT1G55620.2	Dm_00013037-RA
OG0004861	AT2G33550.1	Dm_00017082-RA, Dm_00011705-RA
OG0004862	AT2G35620.3, AT2G35620.1, AT2G35620.2, AT2G35620.4, AT1G31420.3, AT1G31420.1, AT1G31420.2	Dm_00008002-RA
OG0004863	AT1G54385.1, AT1G54385.2, AT1G54385.3	Dm_00018796-RA
OG0004864	AT5G17910.3, AT5G17910.1, AT5G17910.2	Dm_00013121-RA
OG0004865	AT3G20720.1, AT3G20720.2	Dm_00000828-RA, Dm_00000827-RA
OG0004866	AT4G05160.1	Dm_00017996-RA, Dm_00015530-RA
OG0004867	AT4G20070.1, AT4G20070.2	Dm_00009430-RA
OG0004869	AT3G20395.1	Dm_00010661-RA
OG0004870	AT3G04700.1, AT5G28690.1, AT5G28690.2, AT5G28690.3, AT1G08790.1	Dm_00005030-RA, Dm_00003558-RA
OG0004871	AT4G20870.2, AT4G20870.1	Dm_00007666-RA, Dm_00009106-RA
OG0004872	AT2G39760.1, AT2G39760.2, AT2G39760.4, AT2G39760.3	Dm_00009664-RA, Dm_00017866-RA
OG0004874	AT3G26730.8, AT3G26730.1, AT3G26730.7, AT3G26730.6, AT3G26730.5, AT3G26730.3, AT3G26730.2, AT3G26730.4	Dm_00012148-RA
OG0004875	AT1G22620.1	Dm_00002719-RA
OG0004876	AT5G23950.1, AT5G23950.2	Dm_00011709-RA
OG0004877	AT1G51540.1	Dm_00010170-RA
OG0004877	AT3G27220.1	Dm_00011449-RA
OG0004878	AT5G63920.1	Dm_00005738-RA
OG0004879	AT3G48530.1	Dm_00000302-RA
OG0004880	AT1G77740.2, AT1G77740.1, AT1G21980.1	Dm_00005431-RA, Dm_00013982-RA
OG0004881	AT1G67720.1	Dm_00014365-RA
OG0004882	AT1G67320.1, AT1G67320.3, AT1G67320.2	Dm_00011793-RA
OG0004883	AT1G67590.1, AT1G67590.2	Dm_00005835-RA
OG0004884	AT1G48195.1, AT3G48440.1, AT5G63260.1, AT5G63260.2	Dm_00001673-RA
OG0004885	AT3G50960.1, AT3G50960.2, AT5G66410.1	Dm_00017195-RA
OG0004887	AT5G24120.1, AT5G24120.2, AT5G24120.3	Dm_00020033-RA
OG0004888	AT2G22240.3	Dm_00015637-RA
OG0004889	AT2G21140.1, AT4G38770.1	Dm_00019266-RA, Dm_00019957-RA
OG0004890	AT1G64720.1	Dm_00001474-RA, Dm_00000422-RA, Dm_00000185-RA
OG0004891	AT4G15630.1, AT4G15620.1	Dm_00015930-RA
OG0004892	AT3G49601.1	Dm_00015226-RA
OG0004893	AT4G03115.3, AT4G03115.2, AT4G03115.4, AT4G03115.1, AT4G03115.6, AT4G03115.5	Dm_00015686-RA
OG0004894	AT3G14930.1, AT3G14930.2, AT3G14930.3	Dm_00018931-RA
OG0004895	AT5G40770.1, AT3G27280.2, AT3G27280.1	Dm_00009526-RA, Dm_00005918-RA
OG0004896	AT1G05460.2, AT1G05460.1	Dm_00019904-RA
OG0004897	AT5G07300.1, AT5G61900.3, AT5G61900.1	Dm_00003259-RA
OG0004898	AT3G59780.1	Dm_00007756-RA
OG0004899	AT2G20340.1, AT2G20340.2, AT4G28680.2, AT4G28680.1, AT4G28680.3	Dm_00005647-RA
OG0004900	AT1G57765.2, AT1G57765.1, AT1G09645.1	Dm_00018847-RA
OG0004902	AT1G64060.1	Dm_00013887-RA
OG0004903	AT3G49630.2, AT3G49630.3, AT3G49630.1, AT3G49620.1, AT3G50210.4, AT3G50210.1, AT3G50210.3, AT3G50210.2	Dm_00005332-RA
OG0004904	AT1G04120.2, AT1G04120.3, AT1G04120.1	Dm_00003690-RA
OG0004906	AT1G27385.1, AT1G27385.4, AT1G27385.3, AT1G27385.2	Dm_00009155-RA
OG0004907	AT1G67330.1, AT1G27930.1	Dm_00017770-RA
OG0004908	AT3G26420.1	Dm_00014925-RA, Dm_00011422-RA, Dm_00015325-RA
OG0004909	AT4G00850.2, AT4G00850.1, AT1G01160.1, AT1G01160.2	Dm_00007575-RA
OG0004910	AT1G24260.2, AT1G24260.3, AT1G24260.1	Dm_00003986-RA
OG0004911	AT5G41820.1, AT5G41820.2, AT4G24490.2, AT4G24490.1	Dm_00005046-RA
OG0004912	AT1G04270.2, AT1G04270.1, AT5G09510.1, AT5G09500.1	Dm_00007994-RA
OG0004914	AT4G02560.1, AT4G02560.2	Dm_00008399-RA
OG0004915	AT4G17420.1, AT4G17420.2, AT4G17420.3, AT5G47420.1	Dm_00000884-RA
OG0004916	AT1G34580.1, AT1G34580.2	Dm_00018896-RA
OG0004917	AT1G27310.1	Dm_00009458-RA
OG0004918	AT1G29320.1, AT1G29320.2	Dm_00000310-RA
OG0004919	AT4G10925.5, AT4G10925.3, AT4G10925.2, AT4G10925.4, AT4G10925.1, AT4G23960.2, AT4G23960.1	Dm_00011053-RA
OG0004920	AT5G23450.4, AT5G23450.5, AT5G23450.3, AT5G23450.2, AT5G23450.1	Dm_00000207-RA
OG0004921	AT1G05850.2, AT1G05850.1, AT3G16920.2, AT3G16920.1	Dm_00008476-RA
OG0004922	AT1G24350.4, AT1G24350.2, AT1G24350.5, AT1G24350.1, AT1G24350.3, AT1G67600.1	Dm_00014857-RA
OG0004923	AT4G08350.1	Dm_00010915-RA
OG0004924	AT5G53080.1	Dm_00004294-RA
OG0004925	AT5G15680.1	Dm_00001601-RA
OG0004926	AT1G50300.1, AT1G50300.2	Dm_00017252-RA, Dm_00001311-RA
OG0004927	AT5G41270.1	Dm_00010660-RA, Dm_00017174-RA, Dm_00017175-RA
OG0004928	AT5G08170.4, AT5G08170.1, AT5G08170.5, AT5G08170.2, AT5G08170.3	Dm_00009656-RA
OG0004930	AT3G01490.1	Dm_00002597-RA
OG0004931	AT3G28340.1, AT1G70090.1, AT1G70090.2, AT1G24170.1	Dm_00002852-RA
OG0004932	AT5G39840.1	Dm_00014877-RA
OG0004934	AT2G39780.2, AT2G39780.1	Dm_00008286-RA
OG0004936	AT1G23420.1, AT1G23420.2	Dm_00008375-RA
OG0004938	AT4G17615.5, AT4G17615.4, AT4G17615.1, AT4G17615.2, AT5G47100.1	Dm_00016099-RA
OG0004940	AT4G33260.1, AT4G33260.2, AT4G33270.1	Dm_00009585-RA, Dm_00000216-RA
OG0004942	AT1G31880.1, AT1G31880.2, AT2G21030.1, AT2G35600.1, AT2G35600.3, AT2G35600.2	Dm_00012828-RA
OG0004943	AT3G03450.1, AT5G17490.1, AT1G66350.1	Dm_00000362-RA, Dm_00007362-RA
OG0004944	AT3G03380.2, AT3G03380.1	Dm_00009215-RA
OG0004945	AT3G18160.1, AT3G18160.2, AT3G18160.3, AT1G48635.1, AT1G48635.2	Dm_00016907-RA
OG0004946	AT2G01910.2, AT2G01910.1, AT1G14690.1, AT1G14690.2	Dm_00001930-RA
OG0004947	AT5G37180.1	Dm_00005230-RA
OG0004948	AT3G25690.3, AT3G25690.6, AT3G25690.2, AT3G25690.5, AT3G25690.1, AT3G25690.4	Dm_00003879-RA
OG0004949	AT3G18380.2, AT3G18380.3, AT3G18380.1	Dm_00020531-RA
OG0004950	AT5G40370.2, AT5G40370.1, AT5G63030.1	Dm_00019338-RA
OG0004951	AT5G62810.1	Dm_00004918-RA
OG0004952	AT1G31440.1	Dm_00011269-RA
OG0004953	AT4G16770.1	Dm_00005340-RA
OG0004954	AT1G69040.1, AT1G69040.2	Dm_00011289-RA
OG0004955	AT1G68080.2, AT1G68080.3, AT1G68080.5, AT1G68080.4, AT1G68080.1	Dm_00020545-RA, Dm_00008430-RA
OG0004956	AT2G01690.2, AT2G01690.1	Dm_00000391-RA
OG0004957	AT5G11010.2, AT5G11010.1, AT5G11010.3, AT5G11010.4	Dm_00011958-RA
OG0004960	AT3G05320.1, AT3G05320.2, AT3G05320.3	Dm_00018182-RA
OG0004961	AT3G05010.1, AT5G27210.1	Dm_00000548-RA
OG0004962	AT1G48450.3, AT1G48450.2, AT1G48450.1, AT3G17800.1, AT3G17800.2	Dm_00020825-RA, Dm_00020773-RA
OG0004963	AT1G25350.1, AT1G25350.2	Dm_00008886-RA
OG0004965	AT1G74830.1, AT1G18990.1	Dm_00007131-RA
OG0004966	AT5G37720.1, AT5G37720.2, AT1G66260.1, AT1G66260.2	Dm_00016954-RA
OG0004967	AT5G62760.4, AT5G62760.3, AT5G62760.1, AT5G62760.2, AT5G62760.5, AT5G62760.6	Dm_00009471-RA, Dm_00009470-RA
OG0004969	AT4G11560.2, AT4G11560.1	Dm_00011475-RA
OG0004970	AT3G19960.4, AT3G19960.5, AT3G19960.1, AT3G19960.2, AT1G50360.1	Dm_00009438-RA
OG0004971	AT5G43680.1, AT5G43680.2	Dm_00008490-RA
OG0004972	AT1G23450.1	Dm_00018742-RA
OG0004973	AT3G28470.1	Dm_00019455-RA
OG0004973	AT1G18960.1	Dm_00020591-RA
OG0004974	AT1G26110.1, AT1G26110.2	Dm_00003881-RA
OG0004975	AT1G32400.2, AT1G32400.3, AT1G32400.1	Dm_00011894-RA
OG0004977	AT3G29280.2, AT3G29280.1	Dm_00008347-RA, Dm_00008346-RA
OG0004978	AT1G12380.1, AT1G62870.1	Dm_00010592-RA
OG0004979	AT4G11970.4, AT4G11970.1, AT4G11970.3, AT4G11970.2, AT4G11970.6, AT4G11970.7, AT4G11970.5	Dm_00015803-RA
OG0004980	AT3G25570.uORF1	Dm_00015344-RA
OG0004980	AT3G02470.uORF1	Dm_00004621-RA
OG0004980	AT5G15950.uORF1	Dm_00012512-RA
OG0004982	AT5G61270.2, AT5G61270.3, AT5G61270.1	Dm_00018177-RA
OG0004984	AT2G46810.1, AT2G46810.3, AT2G46810.4, AT2G46810.2, AT3G61950.2, AT3G61950.6, AT3G61950.1, AT3G61950.3, AT3G61950.5, AT3G61950.4	Dm_00004564-RA, Dm_00010496-RA
OG0004987	AT2G29510.1, AT5G59020.1	Dm_00020105-RA, Dm_00003526-RA
OG0004992	AT3G07660.1	Dm_00006651-RA
