Orthogroup	A_thaliana.proteins	A_vesiculosa.proteins
OG0003589	AT4G33580.2, AT4G33580.3, AT4G33580.1	Av_00007295-RA
OG0003590	AT4G34260.1	Av_00008805-RA, Av_00009757-RA
OG0003592	AT2G14900.1	Av_00022764-RA, Av_00019103-RA
OG0003593	AT2G44745.1	Av_00000426-RA
OG0003594	AT4G08920.1	Av_00000083-RA, Av_00011488-RA
OG0003595	AT5G08335.1, AT5G08335.2, AT5G23320.2, AT5G23320.1	Av_00018750-RA
OG0003596	AT2G17510.2, AT2G17510.1	Av_00024371-RA
OG0003598	AT1G33120.1, AT1G33140.1, AT4G10450.2, AT4G10450.1	Av_00009495-RA, Av_00018882-RA, Av_00013047-RA, Av_00018279-RA
OG0003599	AT4G37560.2, AT4G37560.1, AT4G37550.1, AT4G37550.3, AT4G37550.2	Av_00020629-RA
OG0003600	AT2G34750.1	Av_00006094-RA
OG0003601	AT5G64970.3, AT5G64970.1, AT5G64970.2	Av_00011620-RA
OG0003602	AT4G38630.1	Av_00000482-RA
OG0003604	AT5G41650.1, AT1G64185.1	Av_00023790-RA
OG0003606	AT1G28480.1	Av_00014102-RA
OG0003607	AT1G50510.1	Av_00007000-RA
OG0003608	AT1G29120.7, AT1G29120.6, AT1G29120.4, AT1G29120.3, AT1G29120.5, AT1G29120.2, AT1G29120.1, AT1G29120.8	Av_00021408-RA
OG0003609	AT3G53270.6, AT3G53270.3, AT3G53270.7, AT3G53270.4, AT3G53270.1, AT3G53270.9, AT3G53270.5, AT3G53270.2, AT3G53270.8	Av_00021643-RA
OG0003610	AT2G42670.1, AT2G42670.2, AT2G42670.3, AT3G58670.1, AT3G58670.3, AT3G58670.2, AT3G58670.4	Av_00005879-RA
OG0003611	AT1G62305.1, AT1G62305.2, AT1G62305.3, AT1G11940.1, AT1G11940.2	Av_00022068-RA
OG0003612	AT5G20165.3, AT5G20165.4, AT5G20165.2	Av_00012235-RA
OG0003614	AT2G31870.1, AT2G31870.2, AT2G31865.1, AT2G31865.2, AT2G31865.3	Av_00009139-RA, Av_00014753-RA
OG0003616	AT4G32490.1, AT4G28365.1	Av_00021093-RA, Av_00025049-RA, Av_00021015-RA, Av_00011206-RA, Av_00007848-RA
OG0003618	AT2G26610.1, AT3G33530.5, AT3G33530.3, AT3G33530.2, AT3G33530.1, AT3G33530.4	Av_00004016-RA
OG0003619	AT5G11380.4, AT5G11380.2, AT5G11380.3, AT5G11380.1	Av_00022568-RA
OG0003620	AT2G26660.1, AT5G20150.1	Av_00012140-RA, Av_00021637-RA, Av_00009047-RA
OG0003621	AT5G41730.2, AT5G41730.1, AT1G64300.1, AT1G64300.2	Av_00013193-RA
OG0003622	AT1G73970.4, AT1G73970.1, AT1G73970.3, AT1G73970.2	Av_00010715-RA
OG0003623	AT3G46920.1, AT3G46920.2	Av_00012160-RA, Av_00005830-RA
OG0003624	AT1G51590.2, AT1G51590.1, AT3G21160.1, AT3G21160.2	Av_00018828-RA, Av_00018650-RA, Av_00023730-RA
OG0003625	AT3G61050.1, AT3G61050.2	Av_00011456-RA, Av_00008645-RA, Av_00000058-RA
OG0003626	AT4G25140.1, AT5G51210.1	Av_00020126-RA
OG0003626	AT2G25890.1, AT2G25890.2	Av_00004023-RA
OG0003627	AT4G31115.2, AT4G31115.1	Av_00003614-RA
OG0003628	AT4G29390.1, AT5G56670.1, AT2G19750.1	Av_00020064-RA
OG0003629	AT2G25430.1, AT4G32285.1, AT4G32285.2	Av_00010092-RA, Av_00014311-RA
OG0003630	AT2G35736.1, AT2G35736.2	Av_00006064-RA, Av_00003016-RA
OG0003632	AT1G80380.7, AT1G80380.6, AT1G80380.5, AT1G80380.3, AT1G80380.8, AT1G80380.1, AT1G80380.4, AT1G80380.2	Av_00015435-RA, Av_00018155-RA
OG0003633	AT4G27720.1, AT3G49310.1	Av_00015057-RA, Av_00009211-RA
OG0003634	AT4G31330.1, AT5G10580.3, AT5G10580.4, AT5G10580.1, AT5G10580.2, AT5G24790.1	Av_00021256-RA
OG0003635	AT5G35180.4, AT5G35180.1, AT5G35180.3, AT5G35180.5, AT5G35180.2	Av_00019787-RA
OG0003636	AT2G19860.2, AT2G19860.1, AT4G29130.1	Av_00004233-RA, Av_00008887-RA, Av_00019540-RA
OG0003637	AT3G02645.1	Av_00015414-RA
OG0003638	AT5G53460.2, AT5G53460.1, AT5G53460.3	Av_00013011-RA, Av_00012857-RA
OG0003639	AT3G16060.1	Av_00024074-RA, Av_00004141-RA
OG0003640	AT3G02050.1	Av_00011749-RA
OG0003640	AT4G23640.1	Av_00024523-RA
OG0003641	AT3G60830.1	Av_00019720-RA
OG0003642	AT1G12440.2, AT1G12440.1, AT1G12440.3, AT4G22820.1, AT4G22820.2, AT4G12040.1, AT4G12040.2	Av_00018568-RA, Av_00010712-RA, Av_00006082-RA
OG0003643	AT5G24260.2, AT5G24260.4, AT5G24260.3, AT5G24260.5, AT5G24260.1	Av_00001662-RA, Av_00009457-RA
OG0003644	AT2G42490.1	Av_00017644-RA
OG0003645	AT4G01250.1	Av_00003240-RA, Av_00013935-RA, Av_00017413-RA, Av_00008618-RA, Av_00000032-RA
OG0003646	AT5G35200.2, AT5G35200.1	Av_00004012-RA, Av_00004911-RA
OG0003647	AT2G18890.3, AT2G18890.2, AT2G18890.1	Av_00023587-RA, Av_00009829-RA, Av_00011028-RA
OG0003648	AT2G45880.1	Av_00017406-RA
OG0003650	AT2G24640.1, AT2G24640.2, AT4G31670.1	Av_00007107-RA, Av_00003601-RA
OG0003651	AT3G61670.2, AT3G61670.1, AT2G46380.2, AT2G46380.1	Av_00017429-RA, Av_00010278-RA
OG0003652	AT5G47780.1	Av_00007450-RA, Av_00003720-RA, Av_00010635-RA, Av_00014171-RA
OG0003654	AT5G15220.2, AT5G15220.1, AT2G16930.4, AT2G16930.2, AT2G16930.3, AT2G16930.1	Av_00011171-RA, Av_00024168-RA
OG0003655	AT2G33990.1, AT3G15050.1	Av_00005890-RA
OG0003656	AT1G07110.1	Av_00012700-RA, Av_00018521-RA
OG0003658	AT2G32970.1, AT2G32970.3, AT2G32970.2, AT2G32970.4	Av_00011942-RA
OG0003659	AT3G56660.1, AT2G40950.1	Av_00020592-RA, Av_00006726-RA
OG0003660	AT1G75720.2, AT1G75720.3, AT1G75720.1	Av_00023756-RA
OG0003661	AT1G31810.1, AT1G31810.2	Av_00017845-RA
OG0003662	AT2G02955.1, AT1G42615.1	Av_00000009-RA
OG0003664	AT1G28510.1	Av_00003648-RA, Av_00023118-RA
OG0003665	AT2G05120.2, AT2G05120.1	Av_00019815-RA
OG0003668	AT5G57700.2, AT5G57700.5, AT5G57700.4, AT5G57700.3, AT5G57700.1	Av_00009818-RA
OG0003669	AT2G30320.1	Av_00019709-RA
OG0003670	AT3G09740.1	Av_00018943-RA, Av_00013465-RA
OG0003671	AT5G03850.1, AT3G10090.1, AT5G64140.1	Av_00023793-RA, Av_00000855-RA, Av_00003388-RA, Av_00023965-RA
OG0003672	AT2G28060.2, AT2G28060.1, AT2G28060.4, AT2G28060.3	Av_00004723-RA, Av_00016914-RA, Av_00010135-RA
OG0003673	AT1G62390.1	Av_00010610-RA, Av_00014152-RA
OG0003674	AT4G20440.2, AT4G20440.3, AT4G20440.4, AT4G20440.5, AT4G20440.1, AT5G44500.1, AT5G44500.2	Av_00020708-RA, Av_00012849-RA
OG0003675	AT3G46110.2, AT3G46110.3, AT3G46110.1, AT5G59790.2, AT5G59790.1	Av_00020542-RA
OG0003676	AT5G55210.1	Av_00008970-RA, Av_00022061-RA, Av_00003703-RA
OG0003677	AT5G22320.1, AT5G22320.2	Av_00013264-RA
OG0003678	AT5G54390.1	Av_00018415-RA, Av_00018416-RA
OG0003679	AT5G35750.1	Av_00004752-RA, Av_00016948-RA
OG0003680	AT5G54680.1	Av_00018665-RA, Av_00000185-RA, Av_00023208-RA, Av_00007878-RA
OG0003681	AT2G39220.1, AT3G54950.1	Av_00003540-RA, Av_00007066-RA, Av_00023406-RA, Av_00008195-RA, Av_00004362-RA
OG0003682	AT4G20850.1	Av_00002085-RA, Av_00012933-RA
OG0003683	AT4G16420.2, AT4G16420.3, AT4G16420.1	Av_00005588-RA
OG0003684	AT1G06470.4, AT1G06470.3, AT1G06470.1, AT1G06470.2	Av_00014975-RA
OG0003685	AT5G44300.1, AT2G33830.1, AT2G33830.2, AT1G28330.4, AT1G28330.6, AT1G28330.5, AT1G28330.2, AT1G28330.3, AT1G28330.1	Av_00005905-RA, Av_00008711-RA, Av_00023122-RA
OG0003686	AT2G43040.1, AT2G43040.2	Av_00010126-RA, Av_00009327-RA
OG0003687	AT2G22480.1	Av_00001850-RA
OG0003688	AT2G17550.2, AT2G17550.1	Av_00022359-RA
OG0003689	AT1G66770.1, AT4G10850.1	Av_00025039-RA, Av_00021116-RA, Av_00020431-RA
OG0003690	AT2G02850.1	Av_00013731-RA
OG0003691	AT1G12650.3, AT1G12650.4, AT1G12650.1, AT1G12650.2	Av_00024497-RA, Av_00005465-RA
OG0003692	AT2G15280.1, AT2G15280.2, AT3G19460.5, AT3G19460.4, AT3G19460.1, AT3G19460.7, AT3G19460.3, AT3G19460.6, AT3G19460.2	Av_00007177-RA, Av_00017763-RA, Av_00008800-RA
OG0003693	AT4G34450.1	Av_00012279-RA, Av_00004430-RA, Av_00021540-RA
OG0003694	AT3G27010.1, AT3G27010.2	Av_00011217-RA, Av_00013825-RA, Av_00009251-RA
OG0003695	AT5G23680.1, AT3G48800.1	Av_00024407-RA, Av_00011214-RA
OG0003696	AT4G30510.1, AT4G30510.2	Av_00020719-RA
OG0003697	AT2G25130.1, AT4G31890.3, AT4G31890.1, AT4G31890.2	Av_00012821-RA, Av_00019508-RA, Av_00010104-RA, Av_00014303-RA
OG0003698	AT1G04810.1, AT2G32730.1	Av_00023182-RA, Av_00023022-RA, Av_00008051-RA
OG0003699	AT2G30600.5, AT2G30600.3, AT2G30600.6, AT2G30600.2, AT2G30600.1, AT2G30600.4	Av_00019435-RA
OG0003700	AT2G37410.2, AT2G37410.1, AT1G20350.1	Av_00019538-RA, Av_00022416-RA
OG0003701	AT2G02765.3, AT2G02765.2, AT2G02765.1, AT2G02765.4, AT3G11470.6, AT3G11470.2, AT3G11470.5, AT3G11470.3, AT3G11470.7, AT3G11470.9, AT3G11470.8, AT3G11470.1, AT3G11470.4	Av_00007472-RA
OG0003702	AT1G59750.1, AT1G59750.3, AT1G59750.2, AT1G59750.4	Av_00007796-RA, Av_00000238-RA
OG0003703	AT3G62330.1, AT3G62330.2	Av_00000776-RA
OG0003705	AT3G04500.1	Av_00022826-RA
OG0003706	AT1G77220.1, AT1G77220.2	Av_00020829-RA
OG0003707	AT3G18730.1	Av_00001871-RA
OG0003708	AT5G09680.2, AT5G09680.1, AT5G09680.3	Av_00004947-RA, Av_00003963-RA
OG0003710	AT3G49570.1, AT5G24655.1, AT5G24660.1, AT3G49580.2, AT3G49580.1, AT3G49580.3	Av_00018885-RA, Av_00009498-RA
OG0003711	AT5G09400.1, AT4G33530.2, AT4G33530.1	Av_00021457-RA, Av_00000863-RA
OG0003712	AT3G29390.2, AT3G29390.1	Av_00010675-RA, Av_00018599-RA
OG0003714	AT1G69790.2, AT1G69790.1, AT2G02800.2, AT2G02800.1, AT1G14370.1	Av_00000891-RA, Av_00005277-RA
OG0003715	AT5G40200.1	Av_00013612-RA, Av_00008266-RA
OG0003716	AT1G20960.1, AT1G20960.2, AT2G42270.1	Av_00024056-RA, Av_00019417-RA
OG0003717	AT3G18520.2, AT3G18520.4, AT3G18520.1, AT3G18520.3	Av_00013608-RA
OG0003718	AT3G03280.1, AT5G17350.1	Av_00005772-RA, Av_00014800-RA, Av_00014801-RA
OG0003719	AT1G10850.1, AT1G60630.1	Av_00020707-RA, Av_00014291-RA
OG0003720	AT3G25540.3, AT3G25540.1, AT1G13580.3, AT1G13580.2	Av_00002745-RA, Av_00016717-RA, Av_00024201-RA, Av_00015537-RA, Av_00016991-RA
OG0003721	AT1G71210.1	Av_00003953-RA, Av_00018615-RA, Av_00021869-RA
OG0003724	AT1G73850.2, AT1G73850.1	Av_00020905-RA
OG0003725	AT2G02910.2, AT2G02910.1	Av_00007523-RA
OG0003726	AT1G05160.1, AT1G05160.2, AT2G32440.2, AT2G32440.1	Av_00016572-RA, Av_00024830-RA
OG0003727	AT1G60060.2, AT1G60060.1	Av_00002680-RA, Av_00005315-RA, Av_00015483-RA, Av_00023095-RA, Av_00015484-RA
OG0003728	AT3G02090.1	Av_00006398-RA, Av_00010674-RA, Av_00018601-RA, Av_00021947-RA, Av_00008998-RA
OG0003730	AT2G02970.1, AT1G14230.1, AT1G14240.1, AT1G14240.2, AT1G14240.4, AT1G14240.3, AT1G14250.1	Av_00016962-RA, Av_00015512-RA
OG0003732	AT5G08200.1, AT5G23130.1	Av_00010248-RA, Av_00012839-RA, Av_00010117-RA, Av_00014296-RA
OG0003733	AT5G07830.1, AT5G61250.3, AT5G61250.2, AT5G61250.1	Av_00010506-RA
OG0003734	AT1G12930.1	Av_00011585-RA
OG0003735	AT1G67140.3, AT1G67140.1, AT1G67140.2	Av_00003908-RA
OG0003737	AT2G02170.2, AT2G02170.4, AT2G02170.1, AT2G02170.5, AT2G02170.3, AT2G02170.6	Av_00022385-RA
OG0003738	AT2G28920.1, AT4G30370.1, AT2G18670.1	Av_00012404-RA, Av_00009288-RA, Av_00011290-RA, Av_00013854-RA
OG0003739	AT3G27070.2, AT3G27070.1, AT3G27080.1, AT5G40930.2, AT5G40930.1	Av_00021159-RA, Av_00011609-RA, Av_00024133-RA
OG0003740	AT1G20920.7, AT1G20920.4, AT1G20920.3, AT1G20920.1, AT1G20920.5, AT1G20920.6, AT1G20920.2, AT3G09620.2, AT3G09620.1	Av_00003413-RA
OG0003742	AT1G02090.1, AT1G02090.2, AT1G02090.3	Av_00008690-RA, Av_00014711-RA
OG0003744	AT3G25670.1, AT1G13230.1, AT1G68780.1	Av_00024204-RA, Av_00020881-RA, Av_00003301-RA, Av_00007599-RA, Av_00005216-RA, Av_00002752-RA
OG0003745	AT1G77250.1	Av_00012467-RA, Av_00012466-RA, Av_00009359-RA
OG0003746	AT1G64700.1	Av_00014511-RA
OG0003746	AT3G61920.1	Av_00008591-RA, Av_00014632-RA
OG0003747	AT5G43960.2, AT5G43960.1	Av_00009619-RA, Av_00002206-RA, Av_00001483-RA
OG0003749	AT1G79520.2, AT1G79520.1, AT1G79520.3, AT1G79520.4, AT1G16310.2, AT1G16310.1	Av_00001131-RA
OG0003769	AT1G57610.3, AT1G57610.4, AT1G57610.2, AT1G57610.1, AT1G09575.1, AT1G09575.2	Av_00024436-RA, Av_00019956-RA
OG0003770	AT4G13670.4, AT4G13670.2, AT4G13670.3, AT4G13670.1	Av_00020308-RA
OG0003771	AT2G26770.3, AT2G26770.2, AT2G26770.1	Av_00016532-RA, Av_00006557-RA, Av_00011840-RA
OG0003772	AT2G20495.2, AT2G20495.1, AT2G20495.5, AT2G20495.4, AT2G20495.3	Av_00004794-RA
OG0003775	AT1G36050.2	Av_00008824-RA, Av_00018756-RA
OG0003775	AT1G22200.2	Av_00014702-RA, Av_00008682-RA
OG0003776	AT1G56290.1	Av_00005112-RA, Av_00013257-RA
OG0003777	AT4G14365.1, AT3G23280.2, AT3G23280.1	Av_00000805-RA, Av_00009604-RA
OG0003778	AT5G27390.1, AT5G27390.3, AT5G27390.4, AT5G27390.2	Av_00015101-RA
OG0003779	AT2G36840.1	Av_00002896-RA, Av_00012583-RA
OG0003781	AT4G00020.1, AT4G00020.4, AT4G00020.3, AT4G00020.2, AT4G00020.5, AT5G01630.1	Av_00021120-RA
OG0003782	AT5G01710.1	Av_00018008-RA, Av_00010299-RA, Av_00002957-RA, Av_00012631-RA
OG0003783	AT2G11520.1	Av_00015559-RA, Av_00004008-RA, Av_00004912-RA
OG0003784	AT4G00860.1, AT1G01170.2, AT1G01170.1	Av_00008130-RA, Av_00001204-RA
OG0003785	AT1G33400.1, AT1G33400.3, AT1G33400.2	Av_00020226-RA, Av_00020227-RA
OG0003786	AT1G09210.1, AT1G56340.1, AT1G56340.2	Av_00016615-RA, Av_00014839-RA, Av_00015123-RA, Av_00001329-RA, Av_00022995-RA
OG0003787	AT2G06850.1, AT2G06850.2, AT5G13870.1, AT5G13870.3, AT5G13870.2	Av_00005193-RA, Av_00023704-RA
OG0003788	ATCG00140.1	Av_00022881-RA, Av_00024936-RA, Av_00015198-RA, Av_00013586-RA, Av_00023937-RA, Av_00019556-RA, Av_00010003-RA, Av_00024572-RA
OG0003789	AT3G06330.4, AT3G06330.1, AT3G06330.3, AT3G06330.2	Av_00006465-RA
OG0003790	AT3G60360.1	Av_00018997-RA
OG0003791	AT5G19530.1, AT5G19530.2	Av_00018779-RA
OG0003792	AT2G43020.1, AT3G59050.1	Av_00004715-RA, Av_00016904-RA, Av_00010125-RA
OG0003793	AT5G19250.1, AT3G06035.1	Av_00017030-RA
OG0003793	AT1G54860.1	Av_00016274-RA
OG0003794	AT5G49030.3, AT5G49030.1, AT5G49030.2	Av_00011664-RA
OG0003796	AT1G34770.3, AT1G34770.1, AT1G34770.4, AT1G34770.5, AT1G34770.6, AT1G34770.2	Av_00009153-RA
OG0003797	AT3G04930.2, AT3G04930.1, AT5G28040.2, AT5G28040.1	Av_00021221-RA, Av_00016161-RA, Av_00020350-RA, Av_00016769-RA
OG0003798	AT5G48850.1	Av_00009640-RA, Av_00002227-RA, Av_00024036-RA
OG0003799	AT3G24503.1	Av_00004050-RA, Av_00019451-RA
OG0003800	AT3G05540.1, AT3G16640.1	Av_00006667-RA, Av_00006906-RA, Av_00016197-RA
OG0003802	AT5G53190.1	Av_00022250-RA
OG0003803	AT3G10650.2, AT3G10650.1	Av_00009548-RA, Av_00018923-RA
OG0003804	AT5G60790.1	Av_00012724-RA, Av_00022872-RA
OG0003806	AT5G63960.1, AT5G63960.2	Av_00001270-RA
OG0003807	AT5G44560.2, AT5G44560.1, AT5G44560.4, AT5G44560.3	Av_00010846-RA
OG0003807	AT1G03950.1	Av_00002194-RA, Av_00009614-RA
OG0003808	AT3G62840.2, AT2G47640.2, AT2G47640.3, AT3G62840.1, AT2G47640.4, AT2G47640.1	Av_00023422-RA
OG0003809	AT3G17205.2, AT3G17205.1, AT3G17205.3	Av_00013540-RA, Av_00001561-RA
OG0003810	AT3G06670.1, AT3G06670.2, AT5G49390.2, AT5G49390.1	Av_00002131-RA, Av_00017064-RA
OG0003811	AT3G19050.1	Av_00012298-RA, Av_00004415-RA, Av_00012297-RA, Av_00004416-RA
OG0003812	AT4G36740.1, AT4G36740.2, AT2G18550.1, AT5G66700.1	Av_00015360-RA, Av_00000405-RA, Av_00024398-RA, Av_00001882-RA
OG0003814	AT5G67510.1	Av_00012200-RA, Av_00003925-RA, Av_00004968-RA, Av_00017916-RA
OG0003815	AT4G37460.2, AT4G37460.1	Av_00000441-RA
OG0003816	AT1G22020.2, AT1G22020.1, AT1G36370.1	Av_00001815-RA
OG0003817	AT1G36070.2, AT1G36070.1, AT1G36070.4, AT1G36070.5, AT1G36070.3, AT1G78070.2, AT1G78070.3, AT1G78070.1	Av_00013999-RA, Av_00011493-RA
OG0003818	AT5G18380.1, AT2G09990.1, AT3G04230.1	Av_00020773-RA, Av_00007167-RA, Av_00012363-RA
OG0003819	AT1G24020.1, AT1G24020.2	Av_00002681-RA
OG0003820	AT5G49960.2, AT5G49960.3, AT5G49960.1	Av_00013730-RA, Av_00001825-RA
OG0003821	AT2G26570.1, AT2G26570.2, AT4G33390.1, AT5G42880.1, AT1G45545.1, AT1G45545.2	Av_00023290-RA, Av_00020156-RA
OG0003822	AT5G27940.1, AT1G47200.1, AT5G43070.1	Av_00009985-RA, Av_00006878-RA, Av_00024791-RA, Av_00016000-RA, Av_00004195-RA, Av_00019101-RA, Av_00010213-RA
OG0003823	AT4G34410.1	Av_00007721-RA
OG0003824	AT5G09570.1	Av_00014222-RA, Av_00011663-RA
OG0003825	AT1G14790.1	Av_00007655-RA
OG0003826	AT1G19580.1	Av_00016327-RA
OG0003826	AT1G47260.1	Av_00004554-RA, Av_00004332-RA
OG0003827	AT4G40000.2, AT4G40000.1, AT2G22400.1	Av_00013715-RA
OG0003828	AT5G20300.2, AT5G20300.1, AT5G20300.4, AT5G20300.5, AT5G20300.3	Av_00012153-RA
OG0003830	AT1G13980.1, AT1G13980.2	Av_00024891-RA
OG0003831	AT3G45960.1, AT3G45960.2, AT3G45970.2, AT3G45970.1, AT4G38400.1	Av_00011367-RA, Av_00004575-RA, Av_00011130-RA
OG0003832	AT4G35070.1, AT4G35070.2	Av_00004286-RA, Av_00004590-RA, Av_00015974-RA, Av_00009868-RA, Av_00011077-RA
OG0003833	AT4G33985.1, AT2G15590.2, AT2G15590.1, AT2G15610.1, AT3G50350.1, AT3G50350.2	Av_00007720-RA, Av_00000299-RA, Av_00022035-RA, Av_00012495-RA
OG0003835	AT4G36960.1, AT4G36960.2	Av_00012496-RA
OG0003836	AT4G21990.1, AT4G04610.1, AT1G62180.2, AT1G62180.1	Av_00014142-RA, Av_00010600-RA
OG0003837	AT2G18400.1	Av_00002934-RA
OG0003838	AT1G77510.1, AT1G21750.2, AT1G21750.1	Av_00012026-RA, Av_00022837-RA
OG0003839	AT4G37670.2, AT4G37670.1, AT2G22910.1	Av_00001972-RA
OG0003840	AT1G10150.1, AT1G59510.1	Av_00007914-RA, Av_00010015-RA, Av_00006865-RA
OG0003840	AT3G49790.1	Av_00016343-RA
OG0003841	AT5G53050.5, AT5G53050.6, AT5G53050.1, AT5G53050.2, AT5G53050.3, AT5G53050.4	Av_00013020-RA, Av_00024022-RA, Av_00001667-RA, Av_00021963-RA
OG0003842	AT1G17680.3, AT1G17680.1, AT1G17680.2	Av_00004391-RA
OG0003844	AT1G26700.2, AT1G26700.1, AT5G53760.2, AT5G53760.1	Av_00003114-RA, Av_00007859-RA
OG0003848	AT5G45960.1	Av_00020664-RA, Av_00014097-RA
OG0003849	AT1G30200.1, AT1G30200.2, AT5G46170.1, AT4G18380.1, AT4G18380.2	Av_00018488-RA, Av_00018060-RA, Av_00007682-RA
OG0003850	AT4G05010.1, AT4G21510.2, AT4G21510.1, AT1G61340.1, AT1G61340.2	Av_00007484-RA
OG0003851	AT3G21240.1, AT1G51680.3, AT1G51680.2, AT1G51680.1	Av_00017108-RA
OG0003853	AT4G22360.1	Av_00024267-RA
OG0003854	AT4G18290.2, AT4G18290.1, AT5G46240.1	Av_00007680-RA
OG0003855	AT1G10095.1, AT1G10095.2, AT1G10095.4, AT1G10095.3	Av_00016237-RA
OG0003856	AT5G54380.1	Av_00015781-RA, Av_00002395-RA
OG0003857	AT1G78810.3, AT1G78810.2, AT1G78810.1	Av_00023766-RA
OG0003859	AT1G22660.5, AT1G22660.3, AT1G22660.2, AT1G22660.4, AT1G22660.1	Av_00015121-RA, Av_00001326-RA
OG0003860	AT5G58950.1	Av_00014109-RA, Av_00005912-RA, Av_00021395-RA
OG0003861	AT2G41475.1, AT5G62210.1, AT5G62200.1	Av_00004028-RA
OG0003862	AT4G25230.3, AT4G25230.2, AT4G25230.1, AT5G51450.2, AT5G51450.1	Av_00009148-RA, Av_00014760-RA
OG0003863	AT4G21670.1	Av_00014112-RA, Av_00008720-RA, Av_00020682-RA
OG0003864	AT4G30200.3, AT4G30200.2, AT4G30200.4, AT4G30200.1	Av_00018212-RA, Av_00001020-RA, Av_00009830-RA, Av_00011029-RA
OG0003865	AT3G13930.1, AT1G54220.1, AT1G54220.2	Av_00004106-RA, Av_00017157-RA
OG0003866	AT5G51910.1, AT5G51910.2	Av_00001605-RA
OG0003867	AT4G00500.2, AT4G00500.1	Av_00003226-RA
OG0003867	AT3G49050.1	Av_00001628-RA, Av_00009409-RA
OG0003869	AT3G06820.1, AT3G06820.3, AT3G06820.2, AT1G80210.2, AT1G80210.1	Av_00010064-RA
OG0003870	AT3G60540.3, AT3G60540.1, AT3G60540.2, AT2G45070.1, AT2G45070.2, AT2G45070.3, AT2G45070.4	Av_00014705-RA, Av_00008685-RA
OG0003871	AT3G18430.2, AT3G18430.1, AT3G18430.3	Av_00004164-RA
OG0003872	AT5G19660.3, AT5G19660.2, AT5G19660.1	Av_00004245-RA
OG0003873	AT1G62740.1, AT1G12270.1	Av_00010377-RA, Av_00014540-RA, Av_00005524-RA, Av_00006073-RA
OG0003875	AT1G52320.1, AT1G52320.5, AT1G52320.2, AT1G52320.4, AT1G52320.3	Av_00004145-RA, Av_00015441-RA
OG0003876	AT4G01100.2, AT4G01100.1, AT4G01100.3	Av_00014646-RA, Av_00008609-RA, Av_00017426-RA
OG0003877	AT4G23100.2, AT4G23100.1, AT4G23100.3	Av_00018550-RA, Av_00010459-RA
OG0003878	AT1G63110.1, AT1G63110.2, AT1G63110.3, AT1G12730.1, AT1G12730.2	Av_00023358-RA
OG0003880	AT2G26910.1	Av_00005871-RA, Av_00012127-RA
OG0003881	AT5G56710.1, AT4G26230.1, AT2G19740.1	Av_00006292-RA, Av_00008895-RA, Av_00016026-RA, Av_00004227-RA
OG0003883	AT5G51410.2, AT5G51410.4, AT5G51410.5, AT5G51410.3, AT5G51410.1	Av_00009151-RA, Av_00014762-RA
OG0003884	AT2G23810.1, AT4G28050.1, AT1G18520.1	Av_00023430-RA, Av_00009812-RA
OG0003886	AT1G12110.1	Av_00003021-RA
OG0003887	AT5G19990.3, AT5G19990.1, AT5G20000.1	Av_00004042-RA, Av_00012130-RA, Av_00004893-RA
OG0003890	AT1G08910.1, AT5G41580.1	Av_00010438-RA
OG0003891	AT4G32320.1	Av_00010091-RA
OG0003893	AT4G20380.1, AT4G20380.3, AT4G20380.7, AT4G20380.2, AT4G20380.5, AT4G20380.6, AT4G20380.4, AT4G20380.8, AT4G20380.9	Av_00018382-RA, Av_00005168-RA, Av_00020055-RA
OG0003895	AT2G30020.1, AT1G07160.1	Av_00008524-RA, Av_00021080-RA
OG0003896	AT2G32560.1, AT2G32560.2, AT2G26850.2, AT2G26850.1	Av_00008119-RA, Av_00014897-RA, Av_00001220-RA
OG0003897	AT3G12680.1	Av_00023253-RA
OG0003898	AT5G16610.1, AT5G16610.3, AT5G16610.2	Av_00014194-RA
OG0003900	AT3G15534.1, AT1G52855.1, AT2G20835.1	Av_00008542-RA, Av_00013115-RA
OG0003901	AT3G43610.2, AT3G43610.1, AT3G43610.3	Av_00013290-RA
OG0003902	AT5G13600.1	Av_00023398-RA
OG0003903	AT3G09770.2, AT3G09770.1, AT5G03200.1, AT3G53410.1	Av_00012553-RA, Av_00002867-RA
OG0003904	AT2G41705.1, AT2G41705.3, AT2G41705.2, AT2G41705.4	Av_00003188-RA
OG0003905	AT4G04470.2, AT4G04470.1	Av_00005605-RA
OG0003906	AT5G04540.1, AT3G10550.1	Av_00006483-RA
OG0003907	AT2G18020.1, AT4G36130.1	Av_00007309-RA, Av_00019038-RA, Av_00018737-RA
OG0003908	AT5G46110.4, AT5G46110.1, AT5G46110.3	Av_00024909-RA
OG0003909	AT3G60070.5, AT3G60070.4, AT3G60070.3, AT3G60070.1, AT3G60070.2, AT3G60070.6, AT2G44280.3, AT2G44280.2, AT2G44280.4, AT2G44280.1	Av_00021359-RA
OG0003910	AT4G21700.1	Av_00020677-RA
OG0003911	AT1G20050.1	Av_00012473-RA, Av_00015903-RA, Av_00012472-RA
OG0003912	AT3G44190.1, AT3G44190.2, AT5G22140.2, AT5G22140.1	Av_00008500-RA
OG0003914	AT3G59110.1, AT2G42960.4, AT2G42960.5, AT2G42960.3, AT2G42960.1	Av_00016889-RA, Av_00012717-RA, Av_00024692-RA
OG0003915	AT5G13530.2, AT5G13530.1	Av_00010677-RA, Av_00018596-RA
