Orthogroup	A_thaliana.proteins	A_hypochondriacus.proteins
OG0004703	AT5G64440.1	AH002425-RA, AH000698-RA
OG0004704	AT4G36050.1, AT4G36050.4, AT4G36050.3, AT4G36050.2, AT4G36050.5	AH006429-RA
OG0004705	AT1G35720.1, AT5G65020.1, AT5G65020.2, AT5G10230.1, AT5G10220.1	AH005998-RA, AH003548-RA
OG0004707	AT1G22460.1	AH008703-RA
OG0004708	AT1G26370.1	AH005538-RA
OG0004710	AT3G19660.1	AH016485-RA, AH022929-RA, AH000671-RA
OG0004711	AT2G18080.1, AT4G36195.1, AT4G36195.2, AT4G36195.3, AT4G36190.1	AH003769-RA, AH005825-RA
OG0004712	AT5G14200.2, AT5G14200.3, AT5G14200.1, AT1G31180.2, AT1G31180.1, AT1G80560.1	AH000405-RA
OG0004713	AT4G34950.1, AT2G16660.2, AT2G16660.1	AH000821-RA, AH002252-RA
OG0004715	AT4G40080.1	AH003915-RA
OG0004717	AT5G67470.1	AH005699-RA
OG0004718	AT5G20890.1	AH020039-RA, AH011706-RA
OG0004719	AT3G08600.1	AH010237-RA, AH010236-RA, AH013679-RA, AH013677-RA
OG0004721	AT1G61170.1, AT1G11125.1	AH015096-RA
OG0004724	AT5G26030.1, AT5G26030.2	AH017143-RA
OG0004725	AT3G14400.1	AH010281-RA
OG0004727	AT3G07890.5, AT3G07890.4, AT3G07890.3, AT3G07890.1, AT3G07890.2	AH001158-RA, AH000039-RA
OG0004728	AT3G55410.2, AT3G55410.1, AT5G65750.1	AH000559-RA, AH001827-RA
OG0004729	AT4G37110.1, AT4G37110.2, AT4G37110.3, AT4G37110.4, AT2G23530.1	AH003693-RA, AH006035-RA, AH001879-RA
OG0004730	AT1G15260.1	AH000463-RA, AH002084-RA
OG0004730	AT3G24535.1	AH014537-RA
OG0004731	AT1G64280.1	AH014215-RA, AH021132-RA
OG0004732	AT5G54520.1	AH008108-RA
OG0004734	AT1G72040.1	AH009425-RA
OG0004735	AT5G48220.2, AT5G48220.4, AT5G48220.3, AT5G48220.1	AH022899-RA, AH023352-RA
OG0004736	AT1G14660.1, AT1G14660.2, AT2G01980.1	AH006272-RA
OG0004737	AT5G45650.2, AT5G45650.1, AT5G45640.1	AH014766-RA
OG0004738	AT1G61810.4, AT1G61810.2, AT1G61810.3, AT1G61810.1, AT1G61810.5, AT1G61820.3, AT1G61820.1, AT4G21760.1, AT4G21760.2	AH015022-RA
OG0004739	AT5G53900.1, AT5G53900.3, AT5G53900.2, AT3G15240.2	AH008051-RA
OG0004740	AT3G48750.1	AH008875-RA
OG0004741	AT1G80770.6, AT1G80770.5, AT1G80770.1, AT1G80770.4, AT1G80770.3, AT1G80770.2	AH023073-RA
OG0004742	AT4G25630.1, AT5G52470.1, AT5G52470.2	AH012128-RA, AH019593-RA
OG0004743	AT5G42000.1	AH018157-RA
OG0004744	AT5G24000.1	AH012116-RA
OG0004744	AT5G52540.1	AH012113-RA
OG0004745	AT5G52060.1, AT5G07220.1	AH012350-RA
OG0004746	AT5G25490.1, AT5G25490.2	AH019250-RA, AH015378-RA
OG0004747	AT3G20430.1	AH017119-RA
OG0004748	AT3G60860.1, AT1G01960.1	AH009145-RA
OG0004749	AT5G41150.4, AT5G41150.2, AT5G41150.3, AT5G41150.1	AH011425-RA
OG0004750	AT1G12450.1, AT4G22850.2, AT4G22850.1	AH018730-RA, AH003135-RA
OG0004751	AT4G32272.2, AT4G32272.1	AH016273-RA
OG0004752	AT3G20260.1	AH022247-RA
OG0004753	AT5G35160.2, AT5G35160.3, AT5G35160.1, AT5G35160.4	AH020638-RA, AH020641-RA, AH020639-RA
OG0004754	AT2G25830.1	AH016177-RA, AH023354-RA
OG0004755	AT4G31340.1, AT4G31340.2, AT2G24420.1, AT2G24420.2	AH017056-RA
OG0004756	AT4G16710.1, AT4G16710.3, AT4G16710.4, AT4G16710.2	AH015479-RA
OG0004757	AT1G55300.1, AT1G55300.2	AH007351-RA, AH007344-RA
OG0004758	AT1G80450.1	AH001945-RA
OG0004758	AT5G08480.3, AT5G08480.2, AT5G08480.1	AH010346-RA
OG0004759	AT3G61200.1	AH003590-RA
OG0004760	AT1G74930.1, AT1G19210.1	AH021093-RA, AH014322-RA
OG0004761	AT4G28910.3, AT4G28910.2, AT4G28910.1	AH020892-RA
OG0004762	AT5G35430.1	AH014002-RA
OG0004763	AT5G25840.1	AH023368-RA
OG0004764	AT3G14200.1	AH013405-RA, AH017044-RA
OG0004765	AT4G11911.2, AT4G11911.1, AT4G11910.1, AT4G22920.2, AT4G22920.1	AH003144-RA, AH018710-RA
OG0004766	AT5G57830.1	AH014279-RA, AH021054-RA
OG0004767	AT4G31370.1, AT2G24450.1	AH016010-RA
OG0004768	AT4G01150.2, AT4G01150.1	AH009609-RA
OG0004770	AT1G15240.4, AT1G15240.5, AT1G15240.1, AT1G15240.3, AT1G15240.2	AH002086-RA
OG0004771	AT1G72880.1, AT1G72880.2	AH021134-RA, AH013329-RA
OG0004772	AT3G14070.1, AT1G54115.1	AH021101-RA, AH013385-RA
OG0004774	AT3G05870.7, AT3G05870.3, AT3G05870.5, AT3G05870.4, AT3G05870.2, AT3G05870.6, AT3G05870.1	AH007375-RA
OG0004775	AT2G26210.5, AT2G26210.6, AT2G26210.4, AT2G26210.7, AT2G26210.1, AT2G26210.2, AT2G26210.3	AH014293-RA
OG0004776	AT2G28470.4, AT2G28470.2, AT2G28470.3, AT2G28470.1, AT2G28470.5	AH001330-RA
OG0004777	AT1G08510.1	AH020817-RA, AH014156-RA
OG0004778	AT1G78900.1, AT1G78900.2	AH015963-RA, AH023525-RA
OG0004779	AT5G52200.2, AT5G52200.3, AT5G52200.1	AH013046-RA
OG0004780	AT5G20320.3, AT5G20320.2, AT5G20320.1	AH014129-RA
OG0004781	AT1G52380.2, AT1G52380.4, AT1G52380.1, AT1G52380.3, AT3G15970.1, AT3G15970.2	AH002053-RA, AH000534-RA
OG0004782	AT5G51690.2, AT5G51690.1	AH012285-RA
OG0004782	AT1G62960.1	AH018728-RA
OG0004783	AT3G07950.1	AH016813-RA
OG0004784	AT1G79830.2, AT1G79830.4, AT1G79830.1, AT1G79830.3, AT1G79830.5	AH000473-RA
OG0004785	AT4G28040.4, AT4G28040.5, AT4G28040.3, AT4G28040.2, AT4G28040.1, AT4G30420.2, AT4G30420.1	AH014355-RA, AH021017-RA
OG0004786	AT1G80230.1, AT3G15640.2, AT3G15640.1	AH002009-RA, AH000991-RA
OG0004787	AT5G20270.1	AH020688-RA, AH005881-RA
OG0004789	AT2G07680.6, AT2G07680.3, AT2G07680.2, AT2G07680.4, AT2G07680.5, AT2G07680.1	AH002474-RA
OG0004791	AT2G19520.1	AH014231-RA
OG0004792	AT5G24170.1, AT5G24170.2	AH012006-RA
OG0004793	AT3G24350.1, AT3G24350.2	AH020821-RA
OG0004794	AT3G01340.1, AT3G01340.2, AT2G30050.1	AH000510-RA, AH013987-RA, AH013986-RA
OG0004795	AT3G52260.1, AT3G52260.4, AT3G52260.2, AT3G52260.3	AH015908-RA
OG0004796	AT2G19270.1	AH014555-RA
OG0004797	AT5G57035.1, AT2G19410.1, AT2G19410.3, AT2G19410.2	AH014204-RA, AH021129-RA
OG0004798	AT2G15580.1, AT2G15580.2, AT2G15580.3	AH020645-RA
OG0004799	AT2G20140.1, AT4G29040.1	AH014385-RA, AH020990-RA, AH013060-RA
OG0004800	AT2G46060.1, AT2G46060.3, AT2G46060.2	AH009660-RA
OG0004801	AT1G15710.1	AH020680-RA, AH013976-RA, AH013977-RA, AH013978-RA
OG0004802	AT5G48120.2, AT5G48120.3, AT5G48120.1	AH002165-RA
OG0004803	AT3G21290.2, AT3G21290.1	AH000361-RA, AH001515-RA
OG0004804	AT3G03810.1, AT3G03810.2	AH010697-RA, AH007841-RA
OG0004805	AT5G57070.1	AH014550-RA
OG0004805	AT1G72790.1	AH013345-RA
OG0004806	AT1G50440.1, AT1G50440.3, AT1G50440.5, AT1G50440.4, AT1G50440.2	AH022251-RA
OG0004807	AT2G25620.1, AT2G25620.2	AH019218-RA
OG0004808	AT5G47240.1, AT5G47240.2	AH018318-RA
OG0004809	AT1G79030.2, AT1G79030.1, AT1G16680.1	AH007893-RA, AH010273-RA
OG0004810	AT5G59865.1	AH013635-RA, AH013633-RA
OG0004812	AT4G00550.1, AT4G00550.2	AH009236-RA
OG0004813	AT2G29630.3, AT2G29630.2, AT2G29630.1, AT2G29630.4	AH022674-RA, AH013779-RA
OG0004814	AT3G45090.1, AT3G45090.2, AT5G60760.1	AH000194-RA, AH001237-RA, AH015118-RA
OG0004815	AT4G27100.2, AT4G27100.1, AT5G54780.1	AH008158-RA
OG0004816	AT4G12600.1, AT5G20160.1, AT4G22380.1	AH014822-RA
OG0004818	AT3G52760.1, AT2G36300.1	AH020234-RA
OG0004819	AT1G29220.2, AT1G29220.1	AH023462-RA, AH014812-RA
OG0004820	AT1G11700.1, AT1G61930.1	AH015002-RA
OG0004821	AT2G39880.1, AT3G55730.1	AH023023-RA, AH016406-RA
OG0004822	AT5G58230.1	AH017024-RA, AH019451-RA
OG0004823	AT2G21440.1	AH019431-RA
OG0004824	AT5G60600.5, AT5G60600.3, AT5G60600.4, AT5G60600.1, AT5G60600.2	AH001255-RA
OG0004825	AT4G21770.2, AT4G21770.1	AH015021-RA
OG0004826	AT3G10390.3, AT3G10390.2, AT3G10390.1, AT3G10390.4	AH017085-RA
OG0004827	AT3G44200.1, AT3G44200.2	AH022693-RA
OG0004828	AT1G06590.1	AH008568-RA
OG0004829	AT5G46210.1	AH021302-RA
OG0004830	AT3G57630.3, AT3G57630.2, AT3G57630.1	AH006799-RA
OG0004831	AT2G40860.2, AT2G40860.3, AT2G40860.1, AT2G40860.4	AH006633-RA
OG0004832	AT5G01700.1, AT5G01700.2	AH012528-RA
OG0004833	AT3G46450.2, AT3G46450.3, AT3G46450.1	AH013649-RA
OG0004834	AT1G79250.3, AT1G79250.4, AT1G79250.1, AT1G79250.2, AT1G16440.1, AT3G12690.2, AT3G12690.3, AT3G12690.1	AH015906-RA, AH016992-RA
OG0004835	AT1G78530.1, AT1G78530.2	AH007963-RA
OG0004836	AT5G55970.2, AT5G55970.3, AT5G55970.1, AT4G26580.1, AT4G26580.2	AH005890-RA
OG0004837	AT3G10850.1	AH015625-RA
OG0004839	AT2G36610.1, AT5G03790.1, AT5G03790.2	AH007730-RA, AH012681-RA
OG0004840	AT1G37010.1, AT5G06680.1	AH020311-RA
OG0004841	AT1G61290.1, AT1G61290.2, AT1G11250.1	AH015030-RA
OG0004841	AT4G03330.1	AH010234-RA
OG0004842	AT5G54870.2, AT5G54870.1, AT4G27020.1	AH008187-RA, AH010197-RA, AH010203-RA
OG0004843	AT5G02770.1	AH012803-RA
OG0004844	AT2G39420.1, AT2G39410.2, AT2G39410.1, AT3G55180.1, AT2G39400.2, AT2G39400.1, AT3G55190.1	AH015956-RA, AH023775-RA
OG0004845	AT2G29890.2, AT2G29890.3, AT2G29890.5, AT2G29890.4, AT2G29890.1	AH013805-RA
OG0004846	AT3G55480.1, AT3G55480.2	AH022959-RA
OG0004847	AT3G55270.1	AH023490-RA
OG0004848	AT2G34200.2, AT2G34200.1	AH000420-RA, AH014805-RA
OG0004849	AT1G50920.1	AH014672-RA, AH023164-RA
OG0004850	AT4G28260.2, AT4G28260.1	AH001345-RA
OG0004851	AT5G16850.1, AT5G16850.2	AH005507-RA
OG0004852	AT1G16960.1, AT5G45740.1	AH021369-RA, AH014786-RA
OG0004853	AT5G02850.1	AH021049-RA
OG0004854	AT3G07940.2, AT3G07940.1	AH015688-RA
OG0004856	AT5G05350.1, AT3G10980.1	AH012515-RA, AH023159-RA
OG0004857	AT5G01260.3, AT5G01260.1, AT5G01260.2	AH013799-RA
OG0004858	AT2G42070.2, AT2G42070.1	AH006865-RA
OG0004859	AT5G40390.1	AH008500-RA
OG0004860	AT1G55620.1, AT1G55620.2	AH016932-RA
OG0004861	AT2G33550.1	AH004615-RA
OG0004862	AT2G35620.3, AT2G35620.1, AT2G35620.2, AT2G35620.4, AT1G31420.3, AT1G31420.1, AT1G31420.2	AH018517-RA
OG0004863	AT1G54385.1, AT1G54385.2, AT1G54385.3	AH006925-RA, AH020255-RA
OG0004864	AT5G17910.3, AT5G17910.1, AT5G17910.2	AH019726-RA
OG0004865	AT3G20720.1, AT3G20720.2	AH009944-RA
OG0004866	AT4G05160.1	AH002921-RA, AH017444-RA
OG0004867	AT4G20070.1, AT4G20070.2	AH021936-RA
OG0004868	AT2G40475.1, AT5G01790.1, AT1G06930.1	AH021738-RA
OG0004869	AT3G20395.1	AH015001-RA, AH021503-RA
OG0004870	AT3G04700.1, AT5G28690.1, AT5G28690.2, AT5G28690.3, AT1G08790.1	AH007733-RA, AH010774-RA
OG0004871	AT4G20870.2, AT4G20870.1	AH014677-RA
OG0004872	AT2G39760.1, AT2G39760.2, AT2G39760.4, AT2G39760.3	AH016441-RA
OG0004874	AT3G26730.8, AT3G26730.1, AT3G26730.7, AT3G26730.6, AT3G26730.5, AT3G26730.3, AT3G26730.2, AT3G26730.4	AH005147-RA
OG0004875	AT1G22620.1	AH009434-RA
OG0004876	AT5G23950.1, AT5G23950.2	AH012129-RA
OG0004877	AT3G27220.1	AH022253-RA
OG0004878	AT5G63920.1	AH010650-RA, AH010654-RA
OG0004879	AT3G48530.1	AH002990-RA
OG0004880	AT1G77740.2, AT1G77740.1, AT1G21980.1	AH009002-RA
OG0004881	AT1G67720.1	AH004489-RA
OG0004882	AT1G67320.1, AT1G67320.3, AT1G67320.2	AH005198-RA
OG0004883	AT1G67590.1, AT1G67590.2	AH004506-RA
OG0004884	AT1G48195.1, AT3G48440.1, AT5G63260.1, AT5G63260.2	AH022365-RA
OG0004885	AT3G50960.1, AT3G50960.2, AT5G66410.1	AH018804-RA
OG0004887	AT5G24120.1, AT5G24120.2, AT5G24120.3	AH019642-RA
OG0004888	AT2G22240.3	AH005950-RA
OG0004889	AT2G21140.1, AT4G38770.1	AH000855-RA
OG0004890	AT1G64720.1	AH018196-RA, AH011900-RA, AH019724-RA
OG0004891	AT4G15630.1, AT4G15620.1	AH012511-RA, AH020173-RA
OG0004892	AT3G49601.1	AH015991-RA
OG0004893	AT4G03115.3, AT4G03115.2, AT4G03115.4, AT4G03115.1, AT4G03115.6, AT4G03115.5	AH012879-RA
OG0004894	AT3G14930.1, AT3G14930.2, AT3G14930.3	AH021177-RA, AH014643-RA
OG0004895	AT5G40770.1, AT3G27280.2, AT3G27280.1	AH005241-RA, AH004251-RA
OG0004896	AT1G05460.2, AT1G05460.1	AH011855-RA
OG0004897	AT5G07300.1, AT5G61900.3, AT5G61900.1	AH017397-RA
OG0004898	AT3G59780.1	AH011708-RA
OG0004899	AT2G20340.1, AT2G20340.2, AT4G28680.2, AT4G28680.1, AT4G28680.3	AH013002-RA
OG0004900	AT1G57765.2, AT1G57765.1, AT1G09645.1	AH004211-RA
OG0004901	AT1G32770.1	AH018188-RA
OG0004902	AT1G64060.1	AH018027-RA
OG0004903	AT3G49630.2, AT3G49630.3, AT3G49630.1, AT3G49620.1, AT3G50210.4, AT3G50210.1, AT3G50210.3, AT3G50210.2	AH006155-RA, AH006140-RA, AH006156-RA
OG0004904	AT1G04120.2, AT1G04120.3, AT1G04120.1	AH013000-RA
OG0004906	AT1G27385.1, AT1G27385.4, AT1G27385.3, AT1G27385.2	AH004547-RA, AH005181-RA
OG0004907	AT1G67330.1, AT1G27930.1	AH006292-RA, AH004546-RA, AH005183-RA, AH005182-RA
OG0004908	AT3G26420.1	AH008458-RA
OG0004909	AT4G00850.2, AT4G00850.1, AT1G01160.1, AT1G01160.2	AH009504-RA
OG0004911	AT5G41820.1, AT5G41820.2, AT4G24490.2, AT4G24490.1	AH005273-RA
OG0004912	AT1G04270.2, AT1G04270.1, AT5G09510.1, AT5G09500.1	AH002621-RA
OG0004914	AT4G02560.1, AT4G02560.2	AH022183-RA
OG0004915	AT4G17420.1, AT4G17420.2, AT4G17420.3, AT5G47420.1	AH018296-RA
OG0004916	AT1G34580.1, AT1G34580.2	AH008750-RA
OG0004917	AT1G27310.1, AT1G27970.1, AT1G27970.2	AH005191-RA
OG0004918	AT1G29320.1, AT1G29320.2	AH012901-RA
OG0004919	AT4G10925.5, AT4G10925.3, AT4G10925.2, AT4G10925.4, AT4G10925.1, AT4G23960.2, AT4G23960.1	AH018110-RA
OG0004920	AT5G23450.4, AT5G23450.5, AT5G23450.3, AT5G23450.2, AT5G23450.1	AH007331-RA
OG0004921	AT1G05850.2, AT1G05850.1, AT3G16920.2, AT3G16920.1	AH003029-RA
OG0004922	AT1G24350.4, AT1G24350.2, AT1G24350.5, AT1G24350.1, AT1G24350.3, AT1G67600.1	AH004505-RA
OG0004923	AT4G08350.1	AH008443-RA
OG0004924	AT5G53080.1	AH011963-RA
OG0004925	AT5G15680.1	AH004188-RA
OG0004926	AT1G50300.1, AT1G50300.2	AH000032-RA, AH001096-RA
OG0004927	AT5G41270.1	AH018338-RA
OG0004928	AT5G08170.4, AT5G08170.1, AT5G08170.5, AT5G08170.2, AT5G08170.3	AH017451-RA, AH003452-RA
OG0004930	AT3G01490.1	AH010256-RA, AH002485-RA
OG0004931	AT3G28340.1, AT1G70090.1, AT1G70090.2, AT1G24170.1	AH004653-RA, AH004694-RA
OG0004932	AT5G39840.1	AH005279-RA
OG0004933	AT4G35685.1, AT4G01590.3, AT4G01590.1, AT4G01590.2	AH011023-RA
OG0004934	AT2G39780.2, AT2G39780.1	AH002554-RA, AH017870-RA
OG0004935	AT1G18810.1	AH002811-RA
OG0004936	AT1G23420.1, AT1G23420.2	AH004435-RA, AH009143-RA
OG0004938	AT4G17615.5, AT4G17615.4, AT4G17615.1, AT4G17615.2, AT5G47100.1	AH011430-RA, AH018250-RA
OG0004939	AT1G10400.1, AT5G14860.1, AT2G16890.2, AT2G16890.3, AT2G16890.4, AT2G16890.1	AH000060-RA
OG0004940	AT4G33260.1, AT4G33260.2, AT4G33270.1	AH023051-RA
OG0004942	AT1G31880.1, AT1G31880.2, AT2G21030.1, AT2G35600.1, AT2G35600.3, AT2G35600.2	AH018487-RA, AH011569-RA
OG0004943	AT1G14920.1, AT2G01570.1	AH004146-RA
OG0004944	AT3G03380.2, AT3G03380.1	AH022821-RA
OG0004945	AT3G18160.1, AT3G18160.2, AT3G18160.3, AT1G48635.1, AT1G48635.2	AH014689-RA
OG0004947	AT5G37180.1	AH010705-RA
OG0004948	AT3G25690.3, AT3G25690.6, AT3G25690.2, AT3G25690.5, AT3G25690.1, AT3G25690.4	AH018922-RA
OG0004949	AT3G18380.2, AT3G18380.3, AT3G18380.1	AH008031-RA, AH010106-RA
OG0004950	AT5G63030.1	AH017964-RA
OG0004951	AT5G62810.1	AH017981-RA
OG0004952	AT1G31440.1	AH018520-RA
OG0004953	AT4G16770.1	AH018306-RA
OG0004954	AT1G69040.1, AT1G69040.2	AH005516-RA
OG0004955	AT1G68080.2, AT1G68080.3, AT1G68080.5, AT1G68080.4, AT1G68080.1	AH005449-RA
OG0004956	AT2G01690.2, AT2G01690.1	AH005368-RA, AH004164-RA
OG0004957	AT5G11010.2, AT5G11010.1, AT5G11010.3, AT5G11010.4	AH017259-RA
OG0004960	AT3G05320.1, AT3G05320.2, AT3G05320.3	AH008247-RA
OG0004961	AT3G05010.1, AT5G27210.1	AH010872-RA, AH007536-RA
OG0004962	AT1G48450.3, AT1G48450.2, AT1G48450.1, AT3G17800.1, AT3G17800.2	AH021234-RA
OG0004963	AT1G25350.1, AT1G25350.2	AH004120-RA, AH005464-RA
OG0004964	AT4G17620.1, AT4G17620.2, AT4G17620.3	AH018240-RA
OG0004965	AT1G74830.1, AT1G18990.1	AH017260-RA
OG0004966	AT5G37720.1, AT5G37720.2, AT1G66260.1, AT1G66260.2	AH005415-RA, AH004068-RA
OG0004967	AT5G62760.4, AT5G62760.3, AT5G62760.1, AT5G62760.2, AT5G62760.5, AT5G62760.6	AH017619-RA
OG0004968	AT5G23080.1, AT5G23080.2	AH002920-RA
OG0004969	AT4G11560.2, AT4G11560.1	AH018616-RA
OG0004970	AT3G19960.4, AT3G19960.5, AT3G19960.1, AT3G19960.2, AT1G50360.1	AH001064-RA
OG0004971	AT5G43680.1, AT5G43680.2	AH017778-RA
OG0004972	AT1G23460.1, AT1G23460.2, AT1G70500.1	AH004430-RA, AH004790-RA
OG0004973	AT3G28470.1	AH019365-RA
OG0004973	AT1G18960.1	AH017646-RA
OG0004974	AT1G26110.1, AT1G26110.2	AH005429-RA
OG0004975	AT1G32400.2, AT1G32400.3, AT1G32400.1	AH018327-RA
OG0004976	AT3G48210.1	AH002528-RA, AH017946-RA
OG0004977	AT3G29280.2, AT3G29280.1	AH015818-RA, AH015819-RA
OG0004978	AT1G12380.1, AT1G62870.1	AH018743-RA
OG0004979	AT4G11970.4, AT4G11970.1, AT4G11970.3, AT4G11970.2, AT4G11970.6, AT4G11970.7, AT4G11970.5	AH018719-RA
OG0004980	AT3G02470.uORF1	AH021034-RA
OG0004982	AT5G61270.2, AT5G61270.3, AT5G61270.1	AH002867-RA, AH017541-RA
OG0004984	AT2G46810.1, AT2G46810.3, AT2G46810.4, AT2G46810.2, AT3G61950.2, AT3G61950.6, AT3G61950.1, AT3G61950.3, AT3G61950.5, AT3G61950.4	AH009481-RA
OG0004986	AT5G13950.2, AT5G13950.4, AT5G13950.1, AT5G13950.3	AH020131-RA, AH011822-RA
OG0004987	AT2G29510.1, AT5G59020.1	AH013760-RA
OG0004990	AT3G48187.1	AH000696-RA, AH000695-RA
OG0004992	AT3G07660.1	AH001221-RA, AH001220-RA
OG0004993	AT5G35753.1, AT2G05250.1, AT2G05230.1	AH000132-RA
OG0005014	AT1G30080.2, AT1G30080.1, AT4G18340.1, AT4G18340.2	AH020979-RA, AH014395-RA
OG0005016	AT2G43330.1	AH019969-RA
OG0005017	AT1G08830.1, AT1G08830.2	AH007534-RA
OG0005018	AT3G10070.1	AH021834-RA, AH012634-RA
OG0005019	AT1G08720.1, AT1G08720.2	AH007776-RA
OG0005020	AT3G56130.2, AT3G56130.3, AT3G56130.1, AT3G56130.4, AT3G56130.5	AH016317-RA, AH023154-RA
OG0005023	AT1G08410.1, AT2G27200.1	AH021964-RA
OG0005024	AT2G46280.1, AT5G57650.1, AT2G46280.3, AT2G46280.2, AT2G46290.1	AH023119-RA, AH011585-RA
OG0005025	AT2G43850.1, AT2G43850.2, AT2G43850.3, AT3G59830.1, AT2G31800.1	AH011729-RA, AH020021-RA
OG0005026	AT3G60100.3, AT3G60100.2, AT3G60100.1, AT2G44350.4, AT2G44350.2, AT2G44350.3, AT2G44350.1	AH001800-RA
OG0005027	AT3G55320.1, AT2G39480.2, AT2G39480.1	AH015946-RA
OG0005030	AT5G16520.1, AT5G16520.2	AH007427-RA
OG0005031	AT1G05790.3, AT1G05790.1, AT1G05790.2, AT1G05790.4	AH019103-RA
OG0005034	AT5G07140.1, AT5G58520.1	AH013196-RA
OG0005035	AT3G21070.3, AT3G21070.4, AT3G21070.2, AT3G21070.1	AH010971-RA
OG0005036	AT2G41370.1, AT3G57130.1	AH020466-RA, AH006714-RA
OG0005037	AT3G23890.2, AT3G23890.1	AH003549-RA, AH008969-RA
OG0005038	AT3G07320.1	AH013619-RA
OG0005039	AT5G01470.6, AT5G01470.3, AT5G01470.5, AT5G01470.1, AT5G01470.2, AT5G01470.7, AT5G01470.4	AH003094-RA
OG0005040	AT5G58240.1, AT5G58240.2, AT5G58240.3	AH000073-RA
OG0005041	AT1G04080.1, AT1G04080.3, AT1G04080.4, AT1G04080.5, AT1G04080.2	AH013549-RA
OG0005043	AT1G54390.2, AT1G54390.1, AT1G54390.4, AT1G54390.3, AT1G54390.5, AT1G54390.7, AT1G54390.8, AT1G54390.6	AH006926-RA, AH020254-RA
OG0005044	AT5G43720.1, AT1G04230.1, AT1G04230.2	AH019809-RA
OG0005045	AT2G36480.2, AT2G36480.1	AH012661-RA, AH021846-RA
OG0005046	AT3G11420.1	AH022987-RA, AH016435-RA
OG0005047	AT1G56430.1, AT1G09240.1, AT5G56080.1, AT5G04950.1	AH007419-RB, AH007419-RA, AH007419-RC, AH011214-RA
OG0005048	AT1G05870.7, AT1G05870.6, AT1G05870.1, AT1G05870.8, AT1G05870.3, AT1G05870.12, AT1G05870.4, AT1G05870.5, AT1G05870.9, AT1G05870.2, AT1G05870.10, AT1G05870.11, AT2G43340.1	AH011609-RA, AH019970-RA
OG0005049	AT5G26110.1, AT5G26110.3, AT5G26110.2	AH017826-RA
OG0005050	AT1G06040.1, AT1G06040.2, AT2G31380.1	AH011645-RA, AH019953-RA
OG0005051	AT5G60010.1, AT3G45810.1	AH013166-RA
OG0005052	AT5G56490.1, AT1G32300.1, AT2G46760.1, AT2G46740.1, AT2G46750.1	AH009497-RA
OG0005053	AT5G49270.1, AT3G16860.1, AT4G16120.1	AH007148-RA
OG0005054	AT1G15120.1, AT2G01090.2, AT2G01090.3, AT2G01090.1, AT2G01090.4, AT1G15120.2	AH008505-RA
OG0005055	AT4G15840.1, AT4G15840.2	AH020184-RA
OG0005058	AT5G18400.2, AT5G18400.3, AT5G18400.1	AH000023-RA, AH001081-RA
OG0005059	AT4G22910.1, AT4G11920.1	AH018711-RA, AH003143-RA
OG0005061	AT5G01010.2, AT5G01010.4, AT5G01010.5, AT5G01010.1, AT5G01010.3	AH006485-RA
OG0005062	AT3G53460.2, AT3G53460.1, AT3G53460.3, AT3G53460.4, AT2G37220.1	AH012765-RA
OG0005064	AT3G07310.2, AT3G07310.1, AT5G48590.1	AH013137-RA
OG0005065	AT1G10390.1, AT1G10390.3, AT1G10390.2	AH019708-RA, AH011934-RA
OG0005066	AT2G43430.3, AT2G43430.2, AT2G43430.1, AT2G31350.2, AT2G31350.3, AT2G31350.1, AT1G06130.1, AT1G06130.2	AH020084-RA
OG0005067	AT1G04830.3, AT1G04830.1, AT1G04830.2, AT4G13730.3, AT4G13730.2, AT4G13730.1	AH020593-RA
OG0005068	AT5G12180.1, AT5G19360.1	AH011050-RA, AH015483-RA
OG0005069	AT4G17650.1	AH018448-RA, AH001863-RA
OG0005070	AT5G41020.1	AH014735-RA
OG0005071	AT1G65450.2, AT1G65450.1, AT1G65450.3	AH011118-RA
OG0005072	AT3G52610.1	AH021795-RA
OG0005073	AT2G28725.1, AT1G07795.1	AH022507-RA
OG0005073	AT2G37530.1	AH001892-RA
OG0005074	AT5G10460.1	AH018769-RA
OG0005075	AT3G55460.1	AH022958-RA, AH016462-RA
OG0005076	AT3G52110.4, AT3G52110.3, AT3G52110.2, AT3G52110.1	AH016657-RA
OG0005077	AT2G36090.1	AH012576-RA
OG0005078	AT2G20440.1, AT2G20440.2, AT4G28550.1, AT2G20440.3, AT4G28550.3, AT4G28550.2	AH012976-RA
OG0005079	ATMG00580.1	AH015471-RA
OG0005080	AT4G02405.2, AT4G02405.1	AH012957-RA
OG0005081	AT1G73910.2, AT1G73910.1, AT1G73910.3	AH014838-RA
OG0005084	AT5G35980.3, AT5G35980.1, AT5G35980.2	AH007237-RA, AH019901-RA
OG0005085	AT5G23710.1	AH004929-RA
OG0005086	AT4G37690.1, AT2G22900.1	AH005716-RA, AH003859-RA
OG0005088	AT1G27660.1	AH015615-RA
OG0005090	AT1G21760.2, AT1G21760.1	AH008863-RA
OG0005091	AT5G09960.1, AT5G09960.2, AT5G09960.3, AT5G64850.1	AH003934-RA, AH005799-RA
OG0005092	AT5G42620.2, AT5G42620.1	AH016958-RA
OG0005093	AT4G37020.1, AT4G37020.2	AH006094-RA
OG0005094	AT1G77490.2, AT1G77490.1	AH008857-RA
OG0005095	AT2G31060.3, AT2G31060.2, AT2G31060.1	AH000291-RA
