Orthogroup	A_thaliana.proteins	B_vulgaris.proteins
OG0003791	AT5G19530.1, AT5G19530.2	Bevul.2G137400.1.p, Bevul.2G137400.2.p, Bevul.3G138700.1.p
OG0003792	AT2G43020.1, AT3G59050.1	Bevul.9G015900.2.p, Bevul.9G015900.1.p
OG0003793	AT5G19250.1, AT3G06035.1	Bevul.3G141500.1.p
OG0003793	AT1G54860.1	Bevul.4G154300.1.p
OG0003794	AT5G49030.3, AT5G49030.1, AT5G49030.2	Bevul.9G043100.2.p, Bevul.9G043100.1.p
OG0003797	AT3G04930.2, AT3G04930.1, AT5G28040.2, AT5G28040.1	Bevul.4G140900.1.p
OG0003798	AT5G48850.1	Bevul.7G120500.1.p
OG0003799	AT3G24503.1	Bevul.8G189100.1.p, Bevul.8G189200.1.p, Bevul.8G189000.1.p
OG0003802	AT5G53190.1	Bevul.3G043000.1.p
OG0003803	AT3G10650.2, AT3G10650.1	Bevul.8G107500.1.p
OG0003804	AT5G60790.1	Bevul.9G044900.1.p, Bevul.9G044900.2.p
OG0003806	AT5G63960.1, AT5G63960.2	Bevul.4G177700.1.p
OG0003807	AT1G03950.1	Bevul.7G108100.1.p
OG0003808	AT3G62840.2, AT2G47640.2, AT2G47640.3, AT3G62840.1, AT2G47640.4, AT2G47640.1	Bevul.9G222900.1.p, Bevul.7G094400.1.p, Bevul.7G094400.3.p, Bevul.7G094400.2.p
OG0003809	AT3G17205.2, AT3G17205.1, AT3G17205.3	Bevul.3G129500.1.p
OG0003811	AT3G19050.1	Bevul.9G181000.1.p
OG0003812	AT4G36740.1, AT4G36740.2, AT2G18550.1, AT5G66700.1	Bevul.6G106100.1.p
OG0003813	AT1G20970.1	Bevul.5G083000.1.p
OG0003814	AT5G67510.1	Bevul.6G013700.1.p
OG0003815	AT4G37460.2, AT4G37460.1	Bevul.6G009900.1.p
OG0003816	AT1G22020.2, AT1G22020.1, AT1G36370.1	Bevul.6G151200.1.p
OG0003817	AT1G36070.2, AT1G36070.1, AT1G36070.4, AT1G36070.5, AT1G36070.3, AT1G78070.2, AT1G78070.3, AT1G78070.1	Bevul.1G097100.1.p
OG0003818	AT5G18380.1, AT2G09990.1, AT3G04230.1	Bevul.9G043600.1.p, Bevul.2G183300.1.p, Bevul.3G137300.1.p
OG0003819	AT1G24020.1, AT1G24020.2	Bevul.6G195500.1.p
OG0003820	AT5G49960.2, AT5G49960.3, AT5G49960.1	Bevul.6G143500.1.p
OG0003821	AT2G26570.1, AT2G26570.2, AT4G33390.1, AT5G42880.1, AT1G45545.1, AT1G45545.2	Bevul.4G061100.1.p
OG0003822	AT5G27940.1, AT1G47200.1, AT5G43070.1	Bevul.1G004400.1.p
OG0003823	AT4G34410.1	Bevul.6G001100.1.p, Bevul.6G001300.1.p, Bevul.6G001200.1.p, Bevul.6G001400.1.p
OG0003825	AT1G14790.1	Bevul.2G052200.1.p, Bevul.2G052000.1.p
OG0003826	AT1G19580.1	Bevul.6G021900.1.p
OG0003826	AT1G47260.1	Bevul.6G021800.1.p
OG0003828	AT5G20300.2, AT5G20300.1, AT5G20300.4, AT5G20300.5, AT5G20300.3	Bevul.8G168200.1.p
OG0003830	AT1G13980.1, AT1G13980.2	Bevul.6G230100.1.p
OG0003831	AT3G45960.1, AT3G45960.2, AT3G45970.2, AT3G45970.1, AT4G38400.1	Bevul.9G125700.1.p, Bevul.9G125400.1.p, Bevul.9G125500.1.p
OG0003832	AT4G35070.1, AT4G35070.2	Bevul.1G026400.1.p, Bevul.9G135700.1.p
OG0003833	AT4G33985.1, AT2G15590.2, AT2G15590.1, AT2G15610.1, AT3G50350.1, AT3G50350.2	Bevul.6G002000.1.p
OG0003834	AT2G17820.1	Bevul.6G033500.1.p
OG0003835	AT4G36960.1, AT4G36960.2	Bevul.6G002500.1.p
OG0003836	AT4G21990.1, AT4G04610.1, AT1G62180.2, AT1G62180.1	Bevul.8G052900.1.p
OG0003837	AT2G18400.1	Bevul.3G033900.1.p, Bevul.7G028000.1.p
OG0003838	AT1G77510.1, AT1G21750.2, AT1G21750.1	Bevul.1G116100.1.p
OG0003839	AT4G37670.2, AT4G37670.1, AT2G22910.1	Bevul.6G014700.1.p
OG0003840	AT3G49790.1	Bevul.6G016000.1.p
OG0003841	AT5G53050.5, AT5G53050.6, AT5G53050.1, AT5G53050.2, AT5G53050.3, AT5G53050.4	Bevul.3G036600.1.p
OG0003842	AT1G17680.3, AT1G17680.1, AT1G17680.2	Bevul.5G203100.1.p, Bevul.5G244600.1.p
OG0003843	AT3G13160.1, AT1G55890.1, AT3G13150.1	Bevul.8G065500.1.p
OG0003844	AT1G26700.2, AT1G26700.1, AT5G53760.2, AT5G53760.1	Bevul.4G059300.1.p
OG0003846	AT1G78870.2	Bevul.4G071500.1.p
OG0003848	AT5G45960.1	Bevul.8G017300.1.p
OG0003849	AT1G30200.1, AT1G30200.2, AT5G46170.1, AT4G18380.1, AT4G18380.2	Bevul.8G092300.1.p
OG0003850	AT4G05010.1, AT4G21510.2, AT4G21510.1, AT1G61340.1, AT1G61340.2	Bevul.8G011300.1.p
OG0003851	AT3G21240.1, AT1G51680.3, AT1G51680.2, AT1G51680.1	Bevul.8G212800.1.p
OG0003853	AT4G22360.1	Bevul.4G014100.1.p
OG0003854	AT4G18290.2, AT4G18290.1, AT5G46240.1	Bevul.8G087400.1.p, Bevul.3G075200.1.p
OG0003855	AT1G10095.1, AT1G10095.2, AT1G10095.4, AT1G10095.3	Bevul.2G213600.3.p, Bevul.2G213600.2.p, Bevul.2G213600.1.p, Bevul.2G213600.4.p
OG0003856	AT5G54380.1	Bevul.4G054000.1.p
OG0003857	AT1G78810.3, AT1G78810.2, AT1G78810.1	Bevul.4G076100.1.p
OG0003859	AT1G22660.5, AT1G22660.3, AT1G22660.2, AT1G22660.4, AT1G22660.1	Bevul.1G208900.1.p
OG0003860	AT5G58950.1	Bevul.8G025900.1.p
OG0003861	AT2G41475.1, AT5G62210.1, AT5G62200.1	Bevul.8G177200.1.p
OG0003862	AT4G25230.3, AT4G25230.2, AT4G25230.1, AT5G51450.2, AT5G51450.1	Bevul.3G090500.1.p
OG0003863	AT4G21670.1	Bevul.8G030400.1.p
OG0003864	AT4G30200.3, AT4G30200.2, AT4G30200.4, AT4G30200.1	Bevul.8G211100.1.p
OG0003865	AT3G13930.1, AT1G54220.1, AT1G54220.2	Bevul.1G125600.1.p
OG0003866	AT5G51910.1, AT5G51910.2	Bevul.3G079900.1.p
OG0003867	AT4G00500.2, AT4G00500.1	Bevul.1G176700.1.p
OG0003867	AT3G49050.1	Bevul.3G067400.1.p
OG0003868	AT1G24360.1	Bevul.6G213500.1.p
OG0003869	AT3G06820.1, AT3G06820.3, AT3G06820.2, AT1G80210.2, AT1G80210.1	Bevul.9G196000.1.p
OG0003870	AT3G60540.3, AT3G60540.1, AT3G60540.2, AT2G45070.1, AT2G45070.2, AT2G45070.3, AT2G45070.4	Bevul.1G137600.1.p
OG0003871	AT3G18430.2, AT3G18430.1, AT3G18430.3	Bevul.9G208400.2.p, Bevul.9G208400.1.p, Bevul.9G208400.3.p
OG0003872	AT5G19660.3, AT5G19660.2, AT5G19660.1	Bevul.8G194000.1.p
OG0003873	AT1G62740.1, AT1G12270.1	Bevul.5G008200.1.p
OG0003875	AT5G25590.1	Bevul.2G166800.1.p
OG0003875	AT1G52320.1, AT1G52320.5, AT1G52320.2, AT1G52320.4, AT1G52320.3	Bevul.9G204100.1.p
OG0003876	AT4G01100.2, AT4G01100.1, AT4G01100.3	Bevul.1G187900.1.p
OG0003877	AT4G23100.2, AT4G23100.1, AT4G23100.3	Bevul.5G002200.1.p
OG0003878	AT1G63110.1, AT1G63110.2, AT1G63110.3, AT1G12730.1, AT1G12730.2	Bevul.5G034900.1.p
OG0003879	AT3G24630.2, AT3G24630.1	Bevul.8G195100.1.p
OG0003880	AT2G26910.1	Bevul.8G186900.1.p
OG0003881	AT5G56710.1, AT4G26230.1, AT2G19740.1	Bevul.4G175900.1.p
OG0003883	AT5G51410.2, AT5G51410.4, AT5G51410.5, AT5G51410.3, AT5G51410.1	Bevul.3G090900.1.p
OG0003884	AT2G23810.1, AT4G28050.1	Bevul.8G157200.1.p
OG0003884	AT1G18520.1	Bevul.5G169900.1.p
OG0003885	AT2G46680.2, AT2G46680.1, AT3G61890.1	Bevul.1G196900.1.p
OG0003886	AT1G12110.1	Bevul.5G005600.1.p, Bevul.5G005700.1.p
OG0003887	AT5G19990.2	Bevul.2G020000.1.p
OG0003887	AT5G19990.3, AT5G19990.1, AT5G20000.1	Bevul.8G185100.1.p
OG0003888	AT4G31430.1, AT4G31430.3, AT4G31430.2	Bevul.2G132100.1.p
OG0003889	AT5G20635.2, AT5G20635.1	Bevul.8G140800.1.p, Bevul.7G168200.1.p
OG0003890	AT1G08910.1, AT5G41580.1	Bevul.5G024900.1.p
OG0003891	AT4G32320.1	Bevul.2G180300.1.p, Bevul.2G180300.2.p
OG0003893	AT4G20380.1, AT4G20380.3, AT4G20380.7, AT4G20380.2, AT4G20380.5, AT4G20380.6, AT4G20380.4, AT4G20380.8, AT4G20380.9	Bevul.8G092500.1.p
OG0003894	AT2G04790.5, AT2G04790.6, AT2G04790.16, AT2G04790.11, AT2G04790.8, AT2G04790.7, AT2G04790.9, AT2G04790.12, AT2G04790.4, AT2G04790.3, AT2G04790.14, AT2G04790.13, AT2G04790.1, AT2G04790.2, AT2G04790.10, AT2G04790.15	Bevul.9G026400.1.p
OG0003895	AT2G30020.1, AT1G07160.1	Bevul.7G187400.1.p
OG0003896	AT2G32560.1, AT2G32560.2, AT2G26850.2, AT2G26850.1	Bevul.4G221400.1.p
OG0003897	AT3G12680.1	Bevul.2G093600.2.p, Bevul.2G093600.5.p, Bevul.2G093600.4.p, Bevul.2G093600.3.p, Bevul.2G093600.1.p
OG0003898	AT5G16610.1, AT5G16610.3, AT5G16610.2	Bevul.2G078800.4.p, Bevul.2G078800.5.p, Bevul.2G078800.8.p, Bevul.2G078800.1.p, Bevul.2G078800.3.p, Bevul.2G078800.2.p, Bevul.2G078800.6.p, Bevul.2G078800.7.p
OG0003899	AT2G28780.1	Bevul.7G209800.1.p
OG0003900	AT2G20835.1	Bevul.4G054100.1.p
OG0003901	AT3G43610.2, AT3G43610.1, AT3G43610.3	Bevul.7G184200.1.p
OG0003903	AT3G09770.2, AT3G09770.1, AT5G03200.1, AT3G53410.1	Bevul.7G057900.1.p
OG0003904	AT2G41705.1, AT2G41705.3, AT2G41705.2, AT2G41705.4	Bevul.1G217500.1.p, Bevul.7G160100.1.p
OG0003905	AT4G04470.2, AT4G04470.1	Bevul.8G051800.1.p
OG0003905	AT4G14305.1, AT4G14305.2	Bevul.3G005800.1.p
OG0003906	AT5G04540.1, AT3G10550.1	Bevul.4G097500.1.p
OG0003907	AT2G18020.1, AT4G36130.1	Bevul.9G222500.1.p
OG0003908	AT5G46110.4, AT5G46110.1, AT5G46110.3	Bevul.8G020900.1.p
OG0003909	AT3G60070.5, AT3G60070.4, AT3G60070.3, AT3G60070.1, AT3G60070.2, AT3G60070.6, AT2G44280.3, AT2G44280.2, AT2G44280.4, AT2G44280.1	Bevul.1G020200.1.p, Bevul.1G020300.1.p
OG0003910	AT4G21700.1	Bevul.8G026300.1.p
OG0003911	AT1G20050.1	Bevul.8G169500.1.p, Bevul.8G169700.1.p, Bevul.8G169900.1.p, Bevul.8G169400.1.p, Bevul.8G169600.1.p, Bevul.8G169800.1.p, Bevul.8G169300.1.p, Bevul.8G170200.1.p
OG0003912	AT3G44190.1, AT3G44190.2, AT5G22140.2, AT5G22140.1	Bevul.4G077800.1.p
OG0003914	AT3G59110.1, AT2G42960.4, AT2G42960.5, AT2G42960.3, AT2G42960.1	Bevul.9G018800.1.p
OG0003915	AT5G13530.2, AT5G13530.1	Bevul.2G039700.3.p, Bevul.2G039700.1.p, Bevul.2G039700.2.p
OG0003916	AT5G05690.2, AT5G05690.1, AT5G05690.3	Bevul.2G241000.1.p
OG0003918	AT5G05970.1, AT5G05970.2	Bevul.3G131500.1.p
OG0003919	AT5G16290.1, AT5G16290.2	Bevul.4G215400.1.p
OG0003919	AT2G31810.3, AT2G31810.1, AT2G31810.2	Bevul.3G116400.1.p
OG0003921	AT4G20940.1	Bevul.9G202100.1.p
OG0003922	AT1G06720.3, AT1G06720.2, AT1G06720.1	Bevul.3G215700.1.p
OG0003923	AT4G05420.1, AT4G05420.2, AT4G21100.1	Bevul.9G056800.1.p, Bevul.9G056800.2.p, Bevul.8G095100.1.p
OG0003924	AT1G11820.2, AT1G11820.3, AT1G11820.1	Bevul.8G052800.1.p
OG0003925	AT2G39950.6, AT2G39950.5, AT2G39950.4, AT2G39950.8, AT2G39950.3, AT2G39950.7, AT2G39950.2, AT2G39950.9, AT2G39950.1	Bevul.2G238000.1.p
OG0003926	AT3G12080.2, AT3G12080.1	Bevul.4G236700.1.p
OG0003927	AT2G31260.1	Bevul.5G246900.1.p
OG0003928	AT4G12700.1, AT2G04280.1	Bevul.3G110400.1.p
OG0003929	AT1G53490.2, AT1G53490.1	Bevul.4G083100.1.p
OG0003930	AT1G52920.1	Bevul.4G057400.1.p, Bevul.4G057300.1.p
OG0003930	AT2G20770.1	Bevul.8G024300.1.p
OG0003931	AT1G55350.4, AT1G55350.3, AT1G55350.2, AT1G55350.1, AT1G55350.6, AT1G55350.5	Bevul.4G250200.1.p
OG0003932	AT5G04360.1, AT5G04360.2	Bevul.7G009300.1.p
OG0003933	AT3G59770.2, AT3G59770.4, AT3G59770.3, AT3G59770.1	Bevul.3G114200.1.p
OG0003935	AT5G58470.1, AT5G58470.2	Bevul.7G218400.1.p
OG0003936	AT2G38780.1, AT2G38780.4, AT2G38780.6, AT2G38780.2, AT2G38780.7, AT2G38780.3, AT2G38780.8, AT2G38780.9, AT2G38780.11, AT2G38780.13, AT2G38780.10, AT2G38780.12, AT2G38780.5	Bevul.2G046800.1.p, Bevul.2G046800.2.p
OG0003937	AT3G55080.1, AT3G55080.4, AT3G55080.2, AT3G55080.3, AT3G55080.5	Bevul.2G109300.1.p
OG0003938	AT3G04840.1, AT4G34670.1	Bevul.4G134300.1.p
OG0003939	AT1G34150.1	Bevul.1G066000.1.p
OG0003940	AT4G36910.1, AT4G34120.1	Bevul.6G005000.1.p
OG0003941	AT4G24200.2, AT4G24200.1	Bevul.1G025200.1.p
OG0003942	AT4G25040.1	Bevul.5G160000.1.p, Bevul.6G219400.1.p
OG0003943	AT4G20340.2, AT4G20340.1, AT4G20340.3, AT4G20810.1, AT1G03280.3, AT1G03280.1, AT1G03280.2	Bevul.2G209600.1.p
OG0003944	AT4G00800.1, AT4G00800.2	Bevul.1G199600.1.p
OG0003945	AT2G02410.3, AT2G02410.13, AT2G02410.5, AT2G02410.2, AT2G02410.1, AT2G02410.6, AT2G02410.11, AT2G02410.8, AT2G02410.12, AT2G02410.9, AT2G02410.4, AT2G02410.7, AT2G02410.10	Bevul.6G160500.1.p
OG0003947	AT5G54165.1	Bevul.3G027700.1.p, Bevul.3G027800.1.p
OG0003949	AT1G20780.1, AT1G20780.2, AT1G20780.3, AT1G76390.1, AT1G76390.2	Bevul.1G044100.1.p
OG0003950	AT5G52290.1	Bevul.3G070900.1.p
OG0003951	AT5G14030.2, AT5G14030.1, AT5G14030.4, AT5G14030.3, AT5G14030.5	Bevul.6G219100.1.p, Bevul.6G219000.1.p
OG0003952	AT5G40820.1, AT5G40820.4, AT5G40820.3, AT5G40820.2	Bevul.9G130500.1.p, Bevul.9G130500.2.p
OG0003953	AT3G18860.1, AT3G18860.2	Bevul.9G175100.2.p, Bevul.9G175100.3.p, Bevul.9G175100.4.p, Bevul.9G175100.1.p
OG0003954	AT3G27160.1, AT3G27160.2	Bevul.6G045200.1.p
OG0003955	AT5G02870.2, AT5G02870.1, AT3G09630.2, AT3G09630.1	Bevul.5G219300.1.p, Bevul.3G193500.1.p
OG0003956	AT3G63150.1, AT5G27540.1, AT5G27540.2	Bevul.4G154800.1.p
OG0003957	AT3G16630.1, AT3G16630.2	Bevul.3G156400.1.p
OG0003959	AT3G24810.1, AT2G23430.1, AT1G49620.3, AT1G49620.1	Bevul.6G000200.1.p
OG0003960	AT2G43650.1	Bevul.9G168800.5.p, Bevul.9G168800.6.p, Bevul.9G168800.7.p, Bevul.9G168800.8.p, Bevul.9G168800.3.p, Bevul.9G168800.2.p, Bevul.9G168800.1.p, Bevul.9G168800.4.p
OG0003961	AT1G04850.1, AT1G04850.2, AT5G48690.2, AT5G48690.1, AT5G48690.3	Bevul.7G128500.1.p
OG0003962	AT5G07360.1, AT5G07360.3, AT5G07360.2	Bevul.5G166000.1.p
OG0003963	AT2G15900.1	Bevul.9G179700.1.p
OG0003964	AT1G78230.1	Bevul.1G101500.1.p
OG0003965	AT2G43465.5, AT2G43465.3, AT2G43465.2, AT2G43465.6, AT2G43465.4, AT2G43465.1, AT3G03320.1	Bevul.3G106100.1.p
OG0003966	AT1G66070.2, AT1G66070.1, AT5G37475.2, AT5G37475.3, AT5G37475.1	Bevul.6G044300.1.p
OG0003967	AT5G44070.1, AT5G44070.2, AT1G03980.1, AT1G03980.2, AT1G03980.3, AT1G03980.4	Bevul.7G108300.1.p, Bevul.7G108400.1.p, Bevul.7G108500.1.p
OG0003968	AT1G21170.1, AT1G21170.2, AT1G76850.1	Bevul.1G074700.1.p
OG0003969	AT3G26080.1, AT3G26080.2, AT3G26070.1	Bevul.9G031000.1.p
OG0003970	AT5G14170.1	Bevul.6G045500.1.p
OG0003971	AT3G25950.1	Bevul.6G213600.1.p
OG0003971	AT3G27270.2, AT3G27270.1, AT5G14285.1	Bevul.4G161300.1.p
OG0003972	AT5G42390.2, AT5G42390.1	Bevul.5G249200.1.p
OG0003973	AT1G78060.1	Bevul.3G084700.1.p, Bevul.1G097000.1.p
OG0003974	AT1G17350.4, AT1G17350.1, AT1G17350.2, AT1G17350.3, AT1G17350.5, AT1G72420.4, AT1G72420.2, AT1G72420.1	Bevul.5G078100.1.p
OG0003976	AT1G48500.1, AT1G48500.3, AT1G48500.2, AT3G17860.4, AT3G17860.3, AT3G17860.2, AT3G17860.1	Bevul.8G101900.1.p, Bevul.1G020600.1.p
OG0003977	AT1G06170.2, AT1G06170.1, AT2G31220.2, AT2G31220.1, AT2G31210.1	Bevul.1G152500.1.p, Bevul.3G171900.1.p
OG0003978	AT3G01015.1, AT5G15510.1, AT5G15510.4, AT5G15510.3, AT5G15510.2	Bevul.2G072600.1.p
OG0003979	AT5G15120.1, AT5G39890.2, AT5G39890.1	Bevul.2G057100.1.p
OG0003980	AT3G18560.1, AT1G49000.1	Bevul.5G167300.1.p
OG0003981	AT1G24030.3, AT1G24030.6, AT1G24030.4, AT1G24030.2, AT1G24030.1	Bevul.6G195600.1.p
OG0003982	AT1G13340.1	Bevul.2G214500.2.p, Bevul.2G214500.1.p
OG0003983	AT3G01140.2, AT3G01140.1, AT5G15310.3, AT5G15310.1, AT5G15310.2, AT5G15310.4	Bevul.2G064100.1.p
OG0003984	AT5G45340.1, AT5G45340.2, AT4G19230.2, AT4G19230.1	Bevul.5G047500.1.p
OG0003985	AT2G44910.1, AT3G60390.1	Bevul.5G070900.1.p
OG0003986	AT3G19830.3, AT3G19830.1, AT3G19830.2, AT3G19830.4, AT1G50260.1, AT1G50260.2	Bevul.9G011500.2.p, Bevul.9G011500.1.p
OG0003987	AT5G08139.1, AT5G08139.2, AT5G60820.1	Bevul.5G171300.1.p
OG0003988	AT1G13030.1	Bevul.6G174700.1.p
OG0003989	AT1G68230.1, AT1G68230.2	Bevul.6G133300.1.p
OG0003990	AT1G10650.2, AT1G10650.1	Bevul.6G188300.1.p
OG0003991	AT5G16020.1	Bevul.2G218300.7.p, Bevul.2G218300.1.p, Bevul.2G218300.6.p, Bevul.2G218300.4.p, Bevul.2G218300.2.p, Bevul.2G218300.3.p, Bevul.2G218300.5.p
OG0003992	AT3G26500.1, AT1G12970.1	Bevul.5G220200.1.p
OG0003993	AT4G02030.1, AT4G02030.2	Bevul.5G254300.1.p
OG0003994	AT1G71010.1	Bevul.6G140900.1.p
OG0003995	AT5G39670.1, AT3G29000.1	Bevul.6G234000.1.p, Bevul.2G063200.1.p
OG0003996	AT5G08190.1, AT5G08190.2, AT5G23090.4, AT5G23090.2, AT5G23090.5, AT5G23090.3, AT5G23090.1	Bevul.2G125500.2.p, Bevul.2G125500.1.p
OG0003997	AT1G68130.2, AT1G68130.1	Bevul.8G102800.1.p
OG0003998	AT2G36990.1	Bevul.7G056500.4.p, Bevul.7G056500.3.p, Bevul.7G056500.2.p, Bevul.7G056500.1.p
OG0003999	AT1G48540.3, AT1G48540.2, AT1G48540.1, AT3G17920.3, AT3G17920.2, AT3G17920.1	Bevul.8G102200.1.p
OG0004000	AT1G74560.1, AT1G74560.3, AT1G18800.1	Bevul.5G191700.1.p
OG0004001	AT3G18290.1	Bevul.6G131800.1.p
OG0004002	AT2G03480.1, AT2G03480.2, AT1G13860.5, AT1G13860.1, AT1G13860.4, AT1G13860.3, AT1G13860.2	Bevul.6G081000.1.p
OG0004003	AT1G24120.1	Bevul.7G105500.1.p, Bevul.7G105500.2.p, Bevul.6G183800.1.p
OG0004004	AT1G60860.2, AT1G60860.3, AT1G60860.1, AT1G10870.2, AT1G10870.1	Bevul.9G014100.1.p
OG0004005	AT3G57000.1	Bevul.6G026600.1.p
OG0004006	AT1G48950.1	Bevul.5G168200.1.p
OG0004007	AT2G37025.2, AT2G37025.3, AT2G37025.1	Bevul.7G055900.1.p
OG0004008	AT4G15760.1, AT4G15760.2	Bevul.9G010600.4.p, Bevul.9G010600.2.p, Bevul.9G010600.3.p, Bevul.9G010600.5.p, Bevul.9G010600.6.p, Bevul.9G010600.1.p, Bevul.9G010600.7.p, Bevul.9G010700.4.p, Bevul.9G010700.3.p, Bevul.9G010700.2.p, Bevul.9G010700.1.p, Bevul.4G048500.1.p
OG0004009	AT5G65613.1	Bevul.6G225100.1.p
OG0004010	AT5G65685.11, AT5G65685.5, AT5G65685.1, AT5G65685.12, AT5G65685.2, AT5G65685.10, AT5G65685.3, AT5G65685.9, AT5G65685.8, AT5G65685.4, AT5G65685.7, AT5G65685.6, AT5G66595.1	Bevul.5G124100.1.p
OG0004026	AT1G07810.1, AT1G07670.2, AT1G07670.1	Bevul.7G213600.1.p
OG0004027	AT3G54490.1	Bevul.2G044700.1.p
OG0004027	AT2G41340.3, AT2G41340.2, AT2G41340.1, AT3G57080.1	Bevul.3G207500.1.p
OG0004028	AT2G16910.1	Bevul.9G134800.1.p
OG0004029	ATCG00580.1	Bevul.7G081200.1.p
OG0004030	AT1G22780.1, AT4G09800.1, AT1G34030.1	Bevul.3G138400.1.p, Bevul.1G132000.1.p
OG0004031	AT5G59420.1	Bevul.7G204300.1.p
OG0004031	AT5G02100.3, AT5G02100.1, AT3G09300.1, AT5G02100.2	Bevul.5G140400.1.p
OG0004032	AT1G11200.1, AT4G21570.1	Bevul.8G001700.1.p
OG0004033	AT3G45780.2, AT3G45780.1	Bevul.7G215800.1.p
OG0004034	AT4G14070.1, AT3G23790.1	Bevul.3G229200.1.p
OG0004035	AT2G30780.1, AT2G30780.2, AT2G48000.1	Bevul.7G079800.2.p, Bevul.7G079800.7.p, Bevul.7G079800.8.p, Bevul.7G079800.1.p, Bevul.7G079800.5.p, Bevul.7G079800.3.p, Bevul.7G079800.4.p, Bevul.7G079800.6.p
OG0004036	AT4G39730.1, AT2G22170.1, AT5G65158.1	Bevul.6G071200.1.p, Bevul.6G070900.1.p
OG0004037	AT1G65480.1, AT4G20370.1	Bevul.9G138100.1.p, Bevul.4G214200.1.p
OG0004038	AT1G04390.1	Bevul.2G095400.4.p, Bevul.2G095400.1.p, Bevul.2G095400.3.p, Bevul.2G095400.6.p, Bevul.2G095400.2.p, Bevul.2G095400.5.p
OG0004039	AT1G02460.1	Bevul.5G260000.1.p
OG0004039	AT1G56710.1	Bevul.4G171500.1.p
OG0004040	AT3G22510.1	Bevul.3G148100.1.p
OG0004040	AT5G27990.1, AT5G27990.2	Bevul.3G206600.1.p
OG0004043	AT2G27830.1	Bevul.9G104900.1.p, Bevul.9G104900.2.p
OG0004044	AT1G58110.2, AT1G58110.1	Bevul.9G207700.1.p
OG0004045	AT4G19180.2, AT4G19180.3, AT4G19180.1	Bevul.2G248100.1.p
OG0004046	AT3G07410.1	Bevul.7G137100.1.p
OG0004046	AT2G43130.1, AT2G31680.1, AT1G05810.1	Bevul.3G228500.1.p
OG0004047	AT2G46140.1	Bevul.1G183600.1.p, Bevul.1G183500.1.p, Bevul.1G183700.1.p
OG0004048	AT5G12400.1	Bevul.4G228000.1.p
OG0004049	AT5G64910.3, AT5G64910.5, AT5G64910.1, AT5G64910.2, AT5G64910.4, AT5G10010.1	Bevul.6G104100.1.p
OG0004050	AT1G08680.2, AT1G08680.1, AT1G08680.3, AT1G08680.4, AT1G08680.5	Bevul.8G096800.1.p, Bevul.5G129800.1.p
OG0004051	AT5G12130.2, AT5G12130.1	Bevul.7G065700.1.p, Bevul.7G065700.2.p, Bevul.7G065700.3.p
OG0004052	AT2G47630.2, AT2G47630.3, AT2G47630.1, AT3G62860.1, AT3G62860.2	Bevul.7G094500.1.p
OG0004053	AT1G09520.1	Bevul.4G173700.1.p
OG0004054	AT2G05990.2, AT2G05990.1	Bevul.4G242900.1.p
OG0004055	AT3G27890.1	Bevul.2G041900.1.p, Bevul.2G041800.1.p, Bevul.2G041800.2.p
OG0004056	AT2G18760.4, AT2G18760.5, AT2G18760.7, AT2G18760.3, AT2G18760.1, AT2G18760.6, AT2G18760.2	Bevul.5G249800.1.p
OG0004059	AT5G49020.1, AT5G49020.2, AT3G06930.2, AT3G06930.1	Bevul.3G156000.1.p
OG0004060	AT3G54230.4, AT3G54230.2, AT3G54230.5, AT3G54230.1, AT3G54230.3	Bevul.8G086500.1.p
OG0004061	AT2G42260.1, AT2G42260.2, AT3G57860.1	Bevul.5G176900.1.p, Bevul.3G115900.1.p
OG0004063	AT3G58010.1, AT3G58010.2, AT2G42130.4, AT2G42130.2, AT2G42130.1, AT2G42130.5, AT2G42130.3	Bevul.3G182700.1.p
OG0004064	AT5G48655.3, AT5G48655.4, AT5G48655.6, AT5G48655.1, AT5G48655.5, AT5G48655.2, AT3G07200.1, AT3G07200.2, AT3G07200.3	Bevul.7G129500.1.p
OG0004065	AT2G27690.1	Bevul.7G229600.1.p
OG0004066	AT3G52910.1, AT2G36400.1	Bevul.7G032600.1.p, Bevul.7G032600.2.p
OG0004067	AT1G09230.1, AT1G09230.3, AT1G09230.2	Bevul.8G079300.1.p
OG0004068	AT3G10030.1, AT3G10030.2	Bevul.7G038800.2.p, Bevul.7G038800.1.p
OG0004069	AT1G06070.1, AT2G31370.3, AT2G31370.2, AT2G31370.6, AT2G31370.1, AT2G31370.4, AT2G31370.7, AT2G31370.5	Bevul.3G105100.1.p
OG0004070	AT4G03080.1	Bevul.7G079000.1.p, Bevul.7G079000.2.p
OG0004071	AT3G05327.1	Bevul.4G154900.1.p
OG0004072	AT2G29050.1, AT2G29050.2	Bevul.7G204800.1.p
OG0004073	AT3G20070.3, AT3G20070.1, AT3G20070.2, AT3G20070.4	Bevul.4G228400.1.p
OG0004074	AT5G02440.1	Bevul.7G207300.1.p
OG0004075	AT2G45710.1, AT5G47930.1, AT3G61110.1	Bevul.6G166800.1.p
OG0004076	AT3G46220.2, AT3G46220.3, AT3G46220.1, AT3G46220.4	Bevul.7G214600.1.p
OG0004077	AT5G49460.2, AT5G49460.1, AT3G06650.2, AT3G06650.1	Bevul.3G059000.1.p
OG0004078	AT1G08450.1, AT1G08450.2, AT1G08450.3	Bevul.3G105700.1.p
