Orthogroup	A_thaliana.proteins	D_spatulata.proteins
OG0003908	AT5G46110.4, AT5G46110.1, AT5G46110.3	Ds_00011528-RA
OG0003909	AT3G60070.5, AT3G60070.4, AT3G60070.3, AT3G60070.1, AT3G60070.2, AT3G60070.6, AT2G44280.3, AT2G44280.2, AT2G44280.4, AT2G44280.1	Ds_00011958-RA
OG0003910	AT4G21700.1	Ds_00015198-RA
OG0003911	AT1G20050.1	Ds_00004678-RA
OG0003912	AT3G44190.1, AT3G44190.2, AT5G22140.2, AT5G22140.1	Ds_00007044-RA, Ds_00008325-RA
OG0003913	AT1G55690.1, AT1G55690.5, AT1G55690.2, AT1G55690.4, AT1G55690.3	Ds_00001671-RA
OG0003914	AT3G59110.1, AT2G42960.4, AT2G42960.5, AT2G42960.3, AT2G42960.1	Ds_00005226-RA
OG0003915	AT5G13530.2, AT5G13530.1	Ds_00014955-RA
OG0003917	AT1G78420.1, AT1G78420.2, AT1G17145.1, AT1G17145.2	Ds_00001883-RA
OG0003918	AT5G05970.1, AT5G05970.2	Ds_00005482-RA
OG0003919	AT5G16290.1, AT5G16290.2	Ds_00006671-RA
OG0003919	AT2G31810.3, AT2G31810.1, AT2G31810.2	Ds_00004973-RA
OG0003921	AT4G20940.1	Ds_00004766-RA
OG0003922	AT1G06720.3, AT1G06720.2, AT1G06720.1	Ds_00014877-RA, Ds_00009369-RA, Ds_00009367-RA, Ds_00009368-RA
OG0003923	AT4G05420.1, AT4G05420.2, AT4G21100.1	Ds_00004291-RA
OG0003924	AT1G11820.2, AT1G11820.3, AT1G11820.1	Ds_00013385-RA
OG0003925	AT2G39950.6, AT2G39950.5, AT2G39950.4, AT2G39950.8, AT2G39950.3, AT2G39950.7, AT2G39950.2, AT2G39950.9, AT2G39950.1	Ds_00006589-RA
OG0003926	AT3G12080.2, AT3G12080.1	Ds_00013959-RA
OG0003927	AT2G31260.1	Ds_00007820-RA
OG0003928	AT4G12700.1, AT2G04280.1	Ds_00004086-RA, Ds_00005187-RA, Ds_00006220-RA
OG0003929	AT1G53490.2, AT1G53490.1	Ds_00006870-RA, Ds_00013904-RA
OG0003930	AT1G52920.1	Ds_00007597-RA
OG0003930	AT2G20770.1	Ds_00016328-RA
OG0003931	AT1G55350.4, AT1G55350.3, AT1G55350.2, AT1G55350.1, AT1G55350.6, AT1G55350.5	Ds_00016027-RA
OG0003932	AT5G04360.1, AT5G04360.2	Ds_00006025-RA
OG0003933	AT3G59770.2, AT3G59770.4, AT3G59770.3, AT3G59770.1	Ds_00016903-RA
OG0003934	AT1G65440.3, AT1G65440.2, AT1G65440.1, AT1G65440.4, AT1G63210.1	Ds_00012648-RA
OG0003935	AT5G58470.1, AT5G58470.2	Ds_00010040-RA
OG0003938	AT3G04840.1, AT4G34670.1	Ds_00006279-RA, Ds_00006939-RA
OG0003939	AT1G34150.1	Ds_00016127-RA
OG0003940	AT4G36910.1, AT4G34120.1	Ds_00005376-RA, Ds_00009448-RA
OG0003942	AT4G25040.1	Ds_00009762-RA, Ds_00017648-RA, Ds_00006743-RA, Ds_00007087-RA
OG0003943	AT4G20340.2, AT4G20340.1, AT4G20340.3, AT4G20810.1, AT1G03280.3, AT1G03280.1, AT1G03280.2	Ds_00011558-RA
OG0003944	AT4G00800.1, AT4G00800.2	Ds_00002875-RA
OG0003945	AT2G02410.3, AT2G02410.13, AT2G02410.5, AT2G02410.2, AT2G02410.1, AT2G02410.6, AT2G02410.11, AT2G02410.8, AT2G02410.12, AT2G02410.9, AT2G02410.4, AT2G02410.7, AT2G02410.10	Ds_00007075-RA
OG0003947	AT5G54165.1	Ds_00005603-RA
OG0003948	AT1G22030.1, AT1G77855.1	Ds_00005446-RA
OG0003949	AT1G20780.1, AT1G20780.2, AT1G20780.3, AT1G76390.1, AT1G76390.2	Ds_00015032-RA
OG0003950	AT5G52290.1	Ds_00012056-RA
OG0003951	AT5G14030.2, AT5G14030.1, AT5G14030.4, AT5G14030.3, AT5G14030.5	Ds_00001842-RA
OG0003952	AT5G40820.1, AT5G40820.4, AT5G40820.3, AT5G40820.2	Ds_00012996-RA
OG0003953	AT3G18860.1, AT3G18860.2	Ds_00015322-RA
OG0003955	AT5G02870.2, AT5G02870.1, AT3G09630.2, AT3G09630.1	Ds_00001666-RA
OG0003956	AT3G63150.1, AT5G27540.1, AT5G27540.2	Ds_00003648-RA, Ds_00003869-RA
OG0003957	AT3G16630.1, AT3G16630.2	Ds_00007606-RA
OG0003959	AT3G24810.1, AT2G23430.1, AT1G49620.3, AT1G49620.1	Ds_00005380-RA
OG0003961	AT1G04850.1, AT1G04850.2, AT5G48690.2, AT5G48690.1, AT5G48690.3	Ds_00005536-RA
OG0003962	AT5G07360.1, AT5G07360.3, AT5G07360.2	Ds_00009736-RA
OG0003963	AT2G15900.1	Ds_00004355-RA
OG0003964	AT1G78230.1	Ds_00008845-RA
OG0003965	AT3G03320.1	Ds_00015420-RA
OG0003966	AT1G66070.2, AT1G66070.1, AT5G37475.2, AT5G37475.3, AT5G37475.1	Ds_00000406-RA, Ds_00002302-RA
OG0003967	AT5G44070.1, AT5G44070.2, AT1G03980.1, AT1G03980.2, AT1G03980.3, AT1G03980.4	Ds_00006541-RA
OG0003968	AT1G21170.1, AT1G21170.2, AT1G76850.1	Ds_00016186-RA
OG0003969	AT3G26080.1, AT3G26080.2, AT3G26070.1	Ds_00005244-RA
OG0003970	AT5G14170.1	Ds_00001898-RA
OG0003971	AT3G25950.1	Ds_00010746-RA
OG0003972	AT5G42390.2, AT5G42390.1	Ds_00014090-RA, Ds_00018007-RA
OG0003973	AT1G78060.1	Ds_00018040-RA, Ds_00004879-RA, Ds_00017661-RA
OG0003974	AT1G17350.4, AT1G17350.1, AT1G17350.2, AT1G17350.3, AT1G17350.5, AT1G72420.4, AT1G72420.2, AT1G72420.1	Ds_00004894-RA
OG0003977	AT1G06170.2, AT1G06170.1, AT2G31220.2, AT2G31220.1, AT2G31210.1	Ds_00011143-RA
OG0003978	AT3G01015.1, AT5G15510.1, AT5G15510.4, AT5G15510.3, AT5G15510.2	Ds_00013602-RA
OG0003979	AT5G15120.1, AT5G39890.2, AT5G39890.1	Ds_00017265-RA
OG0003981	AT1G24030.3, AT1G24030.6, AT1G24030.4, AT1G24030.2, AT1G24030.1	Ds_00009011-RA
OG0003982	AT1G13340.1	Ds_00008480-RA, Ds_00016150-RA, Ds_00006726-RA
OG0003983	AT3G01140.2, AT3G01140.1, AT5G15310.3, AT5G15310.1, AT5G15310.2, AT5G15310.4	Ds_00006890-RA, Ds_00006889-RA
OG0003984	AT5G45340.1, AT5G45340.2, AT4G19230.2, AT4G19230.1	Ds_00004836-RA, Ds_00007379-RA
OG0003985	AT2G44910.1, AT3G60390.1	Ds_00017301-RA
OG0003986	AT3G19830.3, AT3G19830.1, AT3G19830.2, AT3G19830.4, AT1G50260.1, AT1G50260.2	Ds_00004172-RA
OG0003987	AT5G08139.1, AT5G08139.2, AT5G60820.1	Ds_00010624-RA
OG0003988	AT1G13030.1	Ds_00000240-RA
OG0003990	AT1G10650.2, AT1G10650.1	Ds_00009052-RA
OG0003991	AT5G16020.1	Ds_00009278-RA
OG0003992	AT3G11330.1, AT5G05850.1	Ds_00003806-RA
OG0003993	AT4G02030.1, AT4G02030.2	Ds_00012338-RA
OG0003994	AT1G71010.1	Ds_00005902-RA, Ds_00008538-RA
OG0003995	AT5G39670.1, AT3G29000.1	Ds_00010562-RA, Ds_00006896-RA
OG0003996	AT5G08190.1, AT5G08190.2, AT5G23090.4, AT5G23090.2, AT5G23090.5, AT5G23090.3, AT5G23090.1	Ds_00003404-RA
OG0003997	AT1G68130.2, AT1G68130.1	Ds_00000153-RA
OG0003998	AT2G36990.1	Ds_00013719-RA
OG0003999	AT1G48540.3, AT1G48540.2, AT1G48540.1, AT3G17920.3, AT3G17920.2, AT3G17920.1	Ds_00017170-RA
OG0004000	AT1G74560.1, AT1G74560.3, AT1G18800.1	Ds_00017253-RA
OG0004001	AT3G18290.1	Ds_00008567-RA
OG0004002	AT2G03480.1, AT2G03480.2, AT1G13860.5, AT1G13860.1, AT1G13860.4, AT1G13860.3, AT1G13860.2	Ds_00010515-RA
OG0004003	AT1G24120.1	Ds_00008996-RA
OG0004004	AT1G60860.2, AT1G60860.3, AT1G60860.1, AT1G10870.2, AT1G10870.1	Ds_00016101-RA
OG0004005	AT3G57000.1	Ds_00005778-RA
OG0004006	AT1G48950.1	Ds_00014163-RA, Ds_00012406-RA
OG0004007	AT2G37025.2, AT2G37025.3, AT2G37025.1	Ds_00008771-RA
OG0004010	AT5G65685.11, AT5G65685.5, AT5G65685.1, AT5G65685.12, AT5G65685.2, AT5G65685.10, AT5G65685.3, AT5G65685.9, AT5G65685.8, AT5G65685.4, AT5G65685.7, AT5G65685.6, AT5G66595.1	Ds_00011229-RA
OG0004026	AT1G07810.1, AT1G07670.2, AT1G07670.1	Ds_00014732-RA, Ds_00007514-RA
OG0004028	AT2G16910.1	Ds_00000061-RA, Ds_00000062-RA
OG0004030	AT1G22780.1, AT4G09800.1, AT1G34030.1	Ds_00003144-RA, Ds_00004663-RA
OG0004031	AT5G59420.1	Ds_00010088-RA
OG0004031	AT5G02100.3, AT5G02100.1, AT3G09300.1, AT5G02100.2	Ds_00010092-RA
OG0004032	AT1G11200.1	Ds_00007724-RA
OG0004033	AT3G45780.2, AT3G45780.1	Ds_00007516-RA
OG0004034	AT4G14070.1, AT3G23790.1	Ds_00009338-RA
OG0004035	AT2G30780.1, AT2G30780.2, AT2G48000.1	Ds_00000905-RA
OG0004036	AT5G65158.1	Ds_00012832-RA
OG0004037	AT1G65480.1, AT4G20370.1	Ds_00004061-RA, Ds_00006664-RA, Ds_00016755-RA
OG0004039	AT1G02460.1	Ds_00001027-RA
OG0004043	AT2G27830.1	Ds_00015704-RA, Ds_00008340-RA, Ds_00010169-RA
OG0004044	AT1G58110.2, AT1G58110.1	Ds_00001955-RA
OG0004045	AT4G19180.2, AT4G19180.3, AT4G19180.1	Ds_00016823-RA
OG0004046	AT2G43130.1, AT2G31680.1, AT1G05810.1	Ds_00005728-RA
OG0004047	AT2G46140.1	Ds_00015934-RA
OG0004048	AT5G12400.1	Ds_00013938-RA
OG0004049	AT5G64910.3, AT5G64910.5, AT5G64910.1, AT5G64910.2, AT5G64910.4, AT5G10010.1	Ds_00016216-RA
OG0004050	AT1G08680.2, AT1G08680.1, AT1G08680.3, AT1G08680.4, AT1G08680.5	Ds_00004818-RA
OG0004051	AT5G12130.2, AT5G12130.1	Ds_00010313-RA
OG0004052	AT2G47630.2, AT2G47630.3, AT2G47630.1, AT3G62860.1, AT3G62860.2	Ds_00000955-RA
OG0004053	AT1G09520.1	Ds_00003946-RA
OG0004054	AT2G05990.2, AT2G05990.1	Ds_00006094-RA
OG0004055	AT3G27890.1	Ds_00008483-RA
OG0004056	AT2G18760.4, AT2G18760.5, AT2G18760.7, AT2G18760.3, AT2G18760.1, AT2G18760.6, AT2G18760.2	Ds_00012330-RA
OG0004058	AT2G38840.1, AT2G38840.2	Ds_00001083-RA
OG0004059	AT5G49020.1, AT5G49020.2, AT3G06930.2, AT3G06930.1	Ds_00016035-RA
OG0004060	AT3G54230.4, AT3G54230.2, AT3G54230.5, AT3G54230.1, AT3G54230.3	Ds_00008128-RA
OG0004061	AT2G42260.1, AT2G42260.2, AT3G57860.1	Ds_00009565-RA
OG0004062	AT2G07689.1	Ds_00013464-RA, Ds_00011705-RA, Ds_00010835-RA
OG0004063	AT3G58010.1, AT3G58010.2, AT2G42130.4, AT2G42130.2, AT2G42130.1, AT2G42130.5, AT2G42130.3	Ds_00007618-RA
OG0004065	AT2G27690.1	Ds_00010164-RA, Ds_00015699-RA
OG0004066	AT3G52910.1, AT2G36400.1	Ds_00016973-RA
OG0004067	AT1G09230.1, AT1G09230.3, AT1G09230.2	Ds_00007416-RA
OG0004068	AT3G10030.1, AT3G10030.2	Ds_00008737-RA
OG0004069	AT1G06070.1, AT2G31370.3, AT2G31370.2, AT2G31370.6, AT2G31370.1, AT2G31370.4, AT2G31370.7, AT2G31370.5	Ds_00005040-RA
OG0004070	AT4G03080.1	Ds_00011809-RA
OG0004072	AT2G29050.1, AT2G29050.2	Ds_00015492-RA
OG0004074	AT5G02440.1	Ds_00014702-RA
OG0004075	AT2G45710.1, AT5G47930.1, AT3G61110.1	Ds_00001853-RA
OG0004076	AT3G46220.2, AT3G46220.3, AT3G46220.1, AT3G46220.4	Ds_00014729-RA
OG0004077	AT5G49460.2, AT5G49460.1, AT3G06650.2, AT3G06650.1	Ds_00014632-RA
OG0004078	AT1G08450.1, AT1G08450.2, AT1G08450.3	Ds_00017320-RA
OG0004080	AT2G27510.1	Ds_00006058-RA
OG0004082	AT4G01560.1	Ds_00004581-RA
OG0004084	AT3G02640.1, AT5G16250.1	Ds_00004060-RA, Ds_00009104-RA
OG0004085	AT4G35970.1, AT4G35970.2	Ds_00014464-RA
OG0004086	AT1G10290.1, AT1G59610.1	Ds_00014000-RA, Ds_00008964-RA
OG0004087	AT1G33420.1, AT1G33420.2	Ds_00015540-RA
OG0004088	AT1G29060.2, AT1G29060.1, AT4G14600.1	Ds_00010124-RA
OG0004089	AT1G64530.1, AT1G64530.2, AT4G24020.1, AT4G24020.2	Ds_00008067-RA
OG0004090	AT5G67200.1, AT3G50230.1, AT3G50230.2	Ds_00005375-RA
OG0004090	AT5G43020.1	Ds_00002519-RA
OG0004091	AT4G24380.1, AT4G24380.6, AT4G24380.3, AT4G24380.2	Ds_00003510-RA
OG0004092	AT2G18060.3, AT2G18060.1, AT2G18060.2, AT4G36160.3, AT4G36160.1, AT4G36160.2, AT5G66300.1	Ds_00016560-RA
OG0004093	AT2G15220.1	Ds_00000303-RA
OG0004096	AT2G39260.1	Ds_00017344-RA
OG0004097	AT1G44446.4, AT1G44446.1, AT1G44446.2, AT1G44446.3	Ds_00002270-RA
OG0004098	AT4G39370.2, AT4G39370.3, AT4G39370.1	Ds_00009988-RA
OG0004099	AT2G15780.1	Ds_00017416-RA
OG0004100	AT3G03010.5, AT3G03010.4, AT3G03010.1, AT3G03010.2, AT3G03010.3, AT5G16870.1	Ds_00017433-RA
OG0004101	AT1G57680.1, AT1G57680.3, AT1G57680.2	Ds_00004003-RA, Ds_00017214-RA
OG0004102	AT4G34020.3, AT4G34020.4, AT4G34020.1, AT4G34020.2	Ds_00015287-RA
OG0004103	AT1G75500.1, AT1G75500.2	Ds_00000132-RA
OG0004104	AT1G09810.1, AT1G09810.3, AT1G09810.2	Ds_00001966-RA
OG0004106	AT4G36630.1, AT4G36630.2	Ds_00016612-RA
OG0004107	AT5G65990.1, AT2G42005.1, AT4G38250.1	Ds_00001429-RA
OG0004109	AT4G37790.1, AT2G22800.1	Ds_00010901-RA, Ds_00011224-RA
OG0004111	AT4G37580.1, AT4G37580.2, AT2G23060.1	Ds_00006745-RA, Ds_00009405-RA
OG0004112	AT5G64280.1, AT5G64290.1	Ds_00013031-RA
OG0004113	AT4G35560.1, AT4G35560.2	Ds_00011896-RA
OG0004114	AT5G46330.2, AT5G46330.1	Ds_00007745-RA
OG0004115	AT4G16250.1, AT2G18790.1, AT2G18790.2	Ds_00014635-RA
OG0004117	AT2G17110.1, AT4G35240.2, AT4G35240.1, AT4G35240.4, AT4G35240.3	Ds_00017663-RA
OG0004118	AT3G44150.1	Ds_00014867-RA
OG0004119	AT4G16490.1	Ds_00004444-RA
OG0004120	AT3G06680.2, AT3G06680.3, AT3G06700.1, AT3G06700.2, AT3G06700.3	Ds_00003224-RA
OG0004121	AT2G33860.2, AT2G33860.1	Ds_00017238-RA, Ds_00011524-RA
OG0004124	AT1G68000.1, AT4G38570.2, AT4G38570.4, AT4G38570.3, AT4G38570.1	Ds_00013584-RA
OG0004125	AT4G30310.4, AT4G30310.3, AT4G30310.2, AT4G30310.1	Ds_00016871-RA
OG0004126	AT5G44190.1, AT5G44190.2, AT2G20570.2, AT2G20570.3, AT2G20570.1	Ds_00012305-RA, Ds_00014830-RA
OG0004127	AT1G29810.2, AT1G29810.1	Ds_00015157-RA
OG0004128	AT1G11930.2, AT1G11930.1	Ds_00004484-RA
OG0004128	AT4G26860.1, AT4G26860.2	Ds_00011773-RA
OG0004130	AT5G51040.2, AT5G51040.4, AT5G51040.3, AT5G51040.1	Ds_00009739-RA
OG0004131	AT1G07750.1, AT2G28680.1	Ds_00017761-RA, Ds_00017760-RA, Ds_00002077-RA
OG0004132	AT2G46470.1	Ds_00011649-RA, Ds_00002835-RA
OG0004133	AT5G51660.1, AT5G51660.4, AT5G51660.2, AT5G51660.3	Ds_00005802-RA
OG0004134	AT4G23570.1, AT4G23570.2, AT4G23570.3, AT4G11260.1	Ds_00005690-RA
OG0004135	AT1G72970.2, AT1G72970.1	Ds_00002376-RA, Ds_00000805-RA
OG0004136	AT1G79870.1, AT1G79870.2	Ds_00000731-RA
OG0004137	AT4G38500.1	Ds_00000069-RA, Ds_00011413-RA
OG0004138	AT1G05500.1, AT5G11100.1	Ds_00017784-RA
OG0004139	AT4G20330.1	Ds_00007690-RA, Ds_00015327-RA
OG0004141	AT5G56900.2, AT5G56900.3, AT5G56900.1	Ds_00000188-RA
OG0004142	AT1G51720.2, AT1G51720.3, AT1G51720.1	Ds_00002364-RA
OG0004143	AT3G15940.1, AT3G15940.2, AT1G52420.1	Ds_00002424-RA
OG0004144	AT3G28450.1	Ds_00017512-RA
OG0004145	AT4G11960.1, AT4G11960.2, AT4G22890.3, AT4G22890.1, AT4G22890.2, AT4G22890.5, AT4G22890.4	Ds_00015168-RA, Ds_00001332-RA
OG0004146	AT2G44950.1, AT2G44950.2	Ds_00001566-RA
OG0004147	AT5G20410.1, AT2G11810.4, AT2G11810.2, AT2G11810.3, AT2G11810.1	Ds_00007226-RA, Ds_00015376-RA
OG0004148	AT1G07030.1, AT2G30160.1	Ds_00007521-RA
OG0004149	AT5G17270.2, AT5G17270.1, AT5G37130.1	Ds_00008054-RA
OG0004150	AT4G33080.1, AT4G33080.2	Ds_00003446-RA
OG0004150	AT2G19400.1	Ds_00016015-RA
OG0004151	AT1G63220.1, AT1G63220.2	Ds_00003575-RA, Ds_00004606-RA
OG0004152	AT3G43850.1, AT3G43850.2, AT5G21940.1	Ds_00017666-RA, Ds_00003426-RA
OG0004153	AT5G11280.1	Ds_00017120-RA
OG0004154	AT4G32140.1	Ds_00004228-RA, Ds_00002606-RA
OG0004155	AT2G11000.3, AT2G11000.4, AT2G11000.2, AT2G11000.1	Ds_00007233-RA
OG0004156	AT1G01190.2, AT1G01190.1, AT2G46660.1, AT3G61880.1, AT3G61880.2	Ds_00002863-RA
OG0004157	AT5G47380.1, AT5G47380.3, AT5G47380.2, AT5G47380.4, AT5G47380.5	Ds_00002688-RA
OG0004158	AT4G25700.2, AT4G25700.3, AT4G25700.1	Ds_00007288-RA
OG0004159	AT3G53110.1	Ds_00002209-RA
OG0004160	AT1G72330.3, AT1G72330.1, AT1G17290.1	Ds_00002316-RA
OG0004161	AT1G64670.3, AT1G64670.2, AT1G64670.1, AT5G41900.1, AT4G24140.1	Ds_00002787-RA
OG0004162	AT1G51760.1, AT1G51780.1	Ds_00000783-RA
OG0004163	AT3G49220.1, AT3G49220.3, AT3G49220.2, AT5G53370.1, AT5G53370.2	Ds_00016888-RA, Ds_00012589-RA
OG0004166	AT2G02370.2, AT2G02370.3, AT2G02370.1	Ds_00001862-RA, Ds_00008094-RA
OG0004168	AT5G53620.3, AT5G53620.2, AT5G53620.1	Ds_00004531-RA
OG0004169	AT4G25370.1, AT4G12060.1	Ds_00012943-RA
OG0004170	AT2G38550.1	Ds_00015988-RA
OG0004171	AT3G12520.3, AT3G12520.1, AT3G12520.2, AT5G13550.1	Ds_00003267-RA
OG0004172	AT5G04420.1, AT5G04420.2, AT5G04420.3	Ds_00005475-RA
OG0004173	AT4G12690.1, AT4G12690.2, AT2G04220.1, AT5G48270.1	Ds_00010018-RA
OG0004174	AT4G26600.6, AT4G26600.2, AT4G26600.4, AT4G26600.8, AT4G26600.7, AT4G26600.5, AT4G26600.1, AT4G26600.3, AT5G55920.1	Ds_00001688-RA
OG0004175	AT5G46290.3, AT5G46290.1	Ds_00009483-RA, Ds_00012748-RA
OG0004176	AT3G52050.2, AT3G52050.1, AT3G52050.3, AT3G52050.6, AT3G52050.5, AT3G52050.4, AT3G52050.7, AT3G52050.8	Ds_00016416-RA
OG0004178	AT5G01100.1	Ds_00006408-RA
OG0004178	AT2G37980.1, AT3G54100.1	Ds_00007403-RA
OG0004179	AT3G56370.1	Ds_00012921-RA
OG0004179	AT5G01890.1	Ds_00014299-RA
OG0004180	AT1G06790.2, AT1G06790.1	Ds_00000248-RA
OG0004181	AT1G56180.2, AT1G56180.1	Ds_00016338-RA, Ds_00010464-RA, Ds_00016337-RA
OG0004183	AT1G74260.1	Ds_00010368-RA
OG0004184	AT5G60730.1, AT3G10350.1, AT3G10350.2	Ds_00005999-RA
OG0004185	AT2G22140.2, AT2G22140.1	Ds_00013408-RA
OG0004186	AT5G54590.4, AT5G54590.2, AT5G54590.3	Ds_00010672-RA
OG0004187	AT3G63510.2, AT3G63510.1, AT5G47970.2, AT5G47970.1, AT5G47970.3	Ds_00014215-RA
OG0004188	AT3G12490.1, AT3G12490.2, AT5G05110.1	Ds_00014952-RA, Ds_00005750-RA
OG0004189	AT4G15180.1	Ds_00016238-RA
OG0004190	AT3G09660.2, AT3G09660.1, AT3G09660.3	Ds_00015405-RA
OG0004191	AT4G21150.3, AT4G21150.1, AT4G21150.2	Ds_00001546-RA
OG0004192	AT3G23980.1	Ds_00004977-RA, Ds_00015641-RA
OG0004193	AT5G08470.3, AT5G08470.4, AT5G08470.2, AT5G08470.1	Ds_00000934-RA
OG0004194	AT3G08980.2, AT3G08980.3, AT3G08980.4, AT3G08980.5, AT3G08980.1	Ds_00014797-RA
OG0004195	AT1G28520.5, AT1G28520.1, AT1G28520.3, AT1G28520.2, AT1G28520.4	Ds_00011522-RA
OG0004196	AT5G15170.1	Ds_00017826-RA
OG0004197	AT4G27410.1, AT4G27410.3, AT4G27410.2, AT3G15500.1, AT1G52890.1	Ds_00017008-RA, Ds_00001768-RA
OG0004198	AT1G11860.1, AT1G11860.2, AT1G11860.3	Ds_00004492-RA
OG0004199	AT3G21060.1	Ds_00000383-RA
OG0004200	AT2G39190.2, AT2G39190.1	Ds_00017835-RA
OG0004202	AT5G60640.1, AT5G60640.3, AT5G60640.2	Ds_00004118-RA
OG0004203	AT3G26700.1, AT3G26700.3, AT3G26700.2, AT3G26700.5, AT3G26700.4	Ds_00008092-RA
OG0004204	AT1G32750.1	Ds_00012218-RA
OG0004207	AT1G07120.2, AT1G07120.1	Ds_00005198-RA
OG0004208	AT1G29150.1, AT1G29150.2	Ds_00015740-RA, Ds_00015739-RA, Ds_00000157-RA
OG0004209	AT1G08030.1, AT1G08030.2	Ds_00005841-RA
OG0004210	AT2G41640.1, AT2G41640.2, AT2G41640.3, AT3G57380.3, AT3G57380.2, AT3G57380.1, AT3G10320.1	Ds_00009594-RA
OG0004211	AT2G37630.1	Ds_00010369-RA
OG0004213	AT1G63490.4, AT1G63490.2, AT1G63490.3, AT1G63490.1	Ds_00001306-RA
OG0004214	AT5G14090.1, AT5G14090.2	Ds_00009170-RA
OG0004215	AT3G25230.1, AT3G25230.2	Ds_00007428-RA
OG0004216	AT1G47380.1	Ds_00014360-RA
OG0004217	AT1G75210.1, AT1G75210.3, AT1G75210.2	Ds_00007865-RA, Ds_00015348-RA
OG0004218	AT5G61460.1, AT5G07660.1	Ds_00004203-RA, Ds_00004202-RA
OG0004219	AT1G01040.2, AT1G01040.1	Ds_00015014-RA
OG0004220	AT5G51400.1	Ds_00015629-RA, Ds_00012924-RA
OG0004220	AT2G45010.2, AT2G45010.1	Ds_00009211-RA
OG0004221	AT4G23460.2, AT4G23460.1, AT4G11380.1, AT4G11380.2	Ds_00001293-RA
OG0004223	AT1G32900.1	Ds_00002777-RA, Ds_00001387-RA
OG0004224	AT5G42240.1, AT2G12480.2, AT2G12480.1, AT2G12480.4, AT2G12480.3, AT5G42230.1, AT5G42230.2, AT1G43780.1	Ds_00011417-RA, Ds_00003752-RA
OG0004225	AT1G54250.1, AT3G59600.1	Ds_00003073-RA
OG0004226	AT3G06030.1	Ds_00004640-RA
OG0004227	AT1G76810.1, AT1G76820.1, AT1G76720.2, AT1G76720.1, AT1G21160.1, AT2G27700.1, AT2G27700.2	Ds_00001209-RA, Ds_00014849-RA
OG0004228	AT3G60110.1, AT2G44430.1	Ds_00006095-RA
OG0004229	AT4G25360.2, AT4G25360.1, AT5G51640.1	Ds_00006703-RA
OG0004230	AT2G44970.3, AT2G44970.2, AT2G44970.1	Ds_00001565-RA
OG0004231	AT4G31150.2, AT4G31150.4, AT4G31150.3, AT4G31150.1	Ds_00003399-RA
OG0004232	AT4G24770.1, AT4G24770.2, AT5G50250.1	Ds_00003818-RA, Ds_00013781-RA
OG0004233	AT5G48385.1	Ds_00007781-RA
OG0004234	AT3G04720.1	Ds_00006148-RA
OG0004235	AT1G24460.2, AT1G24460.1	Ds_00009194-RA
OG0004236	AT3G04530.1, AT1G08650.1, AT1G08650.2	Ds_00006147-RA
OG0004238	AT1G21380.1	Ds_00010869-RA
OG0004239	AT3G19190.1, AT3G19190.2, AT3G19190.3	Ds_00003151-RA
OG0004240	AT1G27340.1	Ds_00004797-RA, Ds_00010768-RA
OG0004241	AT5G57860.4, AT5G57860.2, AT5G57860.3, AT5G57860.1	Ds_00012710-RA
OG0004242	AT5G18420.2, AT5G18420.4, AT5G18420.1, AT5G18420.3	Ds_00001313-RA
OG0004243	AT2G21370.3, AT2G21370.4, AT2G21370.1, AT2G21370.2	Ds_00011274-RA
OG0004244	AT1G11760.1	Ds_00006504-RA
OG0004245	AT5G39450.1	Ds_00003964-RA
OG0004246	AT1G02860.1, AT1G02860.3, AT1G02860.2	Ds_00004702-RA, Ds_00016828-RA
OG0004247	AT4G10930.2, AT4G10930.1	Ds_00016380-RA
OG0004248	AT3G18600.1, AT5G65900.1	Ds_00006816-RA
OG0004249	AT3G17510.1, AT3G17510.2	Ds_00005027-RA
OG0004250	AT5G36880.2, AT5G36880.1, AT5G36880.5, AT5G36880.3, AT5G36880.6, AT5G36880.4	Ds_00008096-RA
OG0004251	AT1G34340.1	Ds_00005450-RA
OG0004252	AT5G48920.1	Ds_00010933-RA
OG0004253	AT1G19530.2, AT1G19530.1	Ds_00008884-RA
OG0004254	AT3G50810.1, AT3G50810.3, AT3G50810.2	Ds_00011864-RA
OG0004255	AT5G45560.2, AT5G45560.1, AT4G19040.2, AT4G19040.3, AT4G19040.1	Ds_00011145-RA
OG0004256	AT1G70680.2, AT1G70680.1, AT1G70670.1, AT1G23240.2, AT1G23240.4, AT1G23240.1, AT1G23240.3	Ds_00005922-RA
OG0004257	AT5G63060.1, AT5G63060.2	Ds_00011390-RA
OG0004258	AT2G02148.3, AT2G02148.4, AT2G02148.1, AT2G02148.5, AT2G02148.2	Ds_00005437-RA
OG0004259	AT1G68510.1, AT1G67100.1, AT3G02550.1	Ds_00016697-RA
OG0004260	AT1G25440.1, AT1G68520.1	Ds_00008579-RA
OG0004261	AT3G51140.1, AT3G51140.2	Ds_00014490-RA
OG0004262	AT3G48195.1	Ds_00013804-RA
OG0004263	AT3G01040.2, AT3G01040.3, AT3G01040.1, AT5G15470.1	Ds_00013173-RA, Ds_00017509-RA
OG0004265	AT4G31210.3, AT4G31210.1, AT4G31210.2	Ds_00012617-RA
OG0004266	AT3G01460.1	Ds_00003302-RA
OG0004267	AT1G23820.2, AT1G23820.1, AT1G70310.1	Ds_00009023-RA
OG0004268	AT5G16760.1	Ds_00017435-RA
