Orthogroup	A_vesiculosa.proteins	A_coerulea.proteins
OG0005884	Av_00010106-RA	Aqcoe3G422900.1.p, Aqcoe2G439000.1.p, Aqcoe4G171200.1.p, Aqcoe4G171200.2.p
OG0005885	Av_00001446-RA	Aqcoe2G275200.3.p, Aqcoe2G275200.1.p, Aqcoe2G275200.2.p
OG0005886	Av_00017871-RA, Av_00013244-RA	Aqcoe2G318900.1.p, Aqcoe5G070400.1.p
OG0005887	Av_00008020-RA, Av_00006780-RA	Aqcoe2G396400.1.p
OG0005888	Av_00003856-RA	Aqcoe1G414000.1.p
OG0005890	Av_00017540-RA	Aqcoe5G102200.1.p, Aqcoe2G078100.4.p, Aqcoe2G078100.2.p, Aqcoe2G078100.3.p, Aqcoe2G078100.1.p
OG0005891	Av_00023408-RA	Aqcoe1G495500.1.p, Aqcoe2G178200.2.p
OG0005893	Av_00007809-RA	Aqcoe6G305600.1.p, Aqcoe1G299800.1.p, Aqcoe2G229200.1.p, Aqcoe1G329200.1.p
OG0005895	Av_00006140-RA, Av_00019686-RA	Aqcoe1G462900.1.p, Aqcoe1G462900.2.p
OG0005896	Av_00016266-RA	Aqcoe2G317400.1.p
OG0005897	Av_00012652-RA	Aqcoe2G075800.1.p
OG0005898	Av_00015570-RA, Av_00009077-RA	Aqcoe2G008900.1.p, Aqcoe2G008900.3.p, Aqcoe2G008900.2.p
OG0005899	Av_00016150-RA, Av_00006696-RA	Aqcoe5G032900.1.p, Aqcoe2G368100.1.p, Aqcoe7G264200.1.p
OG0005900	Av_00015471-RA	Aqcoe2G319000.1.p, Aqcoe2G319000.2.p, Aqcoe5G070300.1.p
OG0005901	Av_00024680-RA, Av_00001588-RA	Aqcoe2G333300.1.p, Aqcoe2G333300.2.p
OG0005902	Av_00014882-RA, Av_00008095-RA	Aqcoe2G435500.1.p
OG0005903	Av_00009140-RA, Av_00014754-RA	Aqcoe7G135100.1.p, Aqcoe2G438100.1.p, Aqcoe2G438100.2.p
OG0005904	Av_00003756-RA	Aqcoe6G170900.1.p
OG0005905	Av_00023151-RA	Aqcoe6G114900.1.p, Aqcoe6G115000.1.p
OG0005906	Av_00015165-RA, Av_00023497-RA	Aqcoe5G244800.1.p, Aqcoe6G262800.1.p
OG0005907	Av_00009011-RA	Aqcoe6G182600.2.p, Aqcoe6G182600.1.p
OG0005908	Av_00009882-RA	Aqcoe6G298700.2.p, Aqcoe6G298700.1.p
OG0005909	Av_00011396-RA, Av_00015958-RA	Aqcoe6G084500.1.p
OG0005910	Av_00023222-RA, Av_00010970-RA	Aqcoe6G061600.1.p
OG0005911	Av_00011471-RA, Av_00000070-RA, Av_00008652-RA, Av_00015247-RA, Av_00010921-RA	Aqcoe6G018900.1.p
OG0005912	Av_00016637-RA, Av_00015073-RA	Aqcoe6G033700.1.p
OG0005913	Av_00003938-RA	Aqcoe6G090400.1.p, Aqcoe6G090400.2.p
OG0005914	Av_00024538-RA	Aqcoe6G284700.1.p, Aqcoe6G283800.3.p, Aqcoe6G283800.1.p, Aqcoe6G283800.2.p
OG0005915	Av_00008861-RA	Aqcoe6G142800.1.p, Aqcoe6G142800.2.p, Aqcoe6G142800.3.p, Aqcoe6G142800.4.p
OG0005916	Av_00019599-RA	Aqcoe6G003000.3.p, Aqcoe6G003000.4.p, Aqcoe6G003000.2.p, Aqcoe6G003000.1.p
OG0005917	Av_00007282-RA	Aqcoe6G087000.1.p
OG0005918	Av_00009349-RA	Aqcoe5G116700.2.p, Aqcoe5G116700.1.p, Aqcoe6G054400.1.p, Aqcoe6G054400.2.p
OG0005919	Av_00011670-RA, Av_00014227-RA	Aqcoe5G252700.1.p, Aqcoe6G043100.1.p
OG0005920	Av_00017800-RA, Av_00017799-RA	Aqcoe6G290300.2.p, Aqcoe6G290300.1.p, Aqcoe5G273000.1.p, Aqcoe5G273000.3.p, Aqcoe5G273000.5.p, Aqcoe5G273000.4.p, Aqcoe5G273000.2.p
OG0005921	Av_00011337-RA, Av_00000962-RA	Aqcoe6G129000.1.p, Aqcoe5G185900.1.p
OG0005922	Av_00020106-RA	Aqcoe6G011600.2.p, Aqcoe6G011600.1.p
OG0005924	Av_00014688-RA, Av_00008655-RA	Aqcoe6G154100.1.p
OG0005925	Av_00012259-RA, Av_00004456-RA	Aqcoe6G096400.1.p
OG0005926	Av_00000420-RA	Aqcoe6G093000.2.p, Aqcoe6G093000.1.p
OG0005927	Av_00023984-RA, Av_00011590-RA	Aqcoe6G019600.1.p
OG0005928	Av_00009915-RA, Av_00011125-RA	Aqcoe6G000700.1.p
OG0005929	Av_00001082-RA, Av_00021263-RA	Aqcoe6G145500.2.p, Aqcoe6G145500.3.p, Aqcoe6G145500.1.p, Aqcoe6G145500.4.p
OG0005930	Av_00000688-RA	Aqcoe1G038100.3.p, Aqcoe1G038100.1.p, Aqcoe1G038100.2.p, Aqcoe6G209800.1.p, Aqcoe6G209800.3.p, Aqcoe6G209800.2.p, Aqcoe6G210100.2.p, Aqcoe6G210100.1.p
OG0005931	Av_00015811-RA, Av_00017229-RA	Aqcoe6G056800.1.p
OG0005933	Av_00006616-RA	Aqcoe6G032000.1.p
OG0005935	Av_00013191-RA	Aqcoe6G238100.1.p, Aqcoe6G217200.1.p
OG0005936	Av_00007319-RA, Av_00019045-RA	Aqcoe6G061100.1.p
OG0005937	Av_00000235-RA	Aqcoe6G066200.1.p, Aqcoe6G066200.2.p
OG0005939	Av_00010031-RA, Av_00007931-RA, Av_00006851-RA, Av_00010793-RA, Av_00023573-RA	Aqcoe6G064800.2.p, Aqcoe6G064800.1.p, Aqcoe6G064800.3.p
OG0005940	Av_00004563-RA, Av_00021104-RA	Aqcoe6G245900.1.p, Aqcoe6G245900.2.p
OG0005941	Av_00018944-RA, Av_00013462-RA	Aqcoe6G230800.1.p, Aqcoe6G230800.2.p
OG0005942	Av_00008770-RA	Aqcoe6G188700.1.p
OG0005943	Av_00003522-RA, Av_00020286-RA	Aqcoe6G182800.2.p, Aqcoe6G182800.1.p
OG0005944	Av_00014368-RA	Aqcoe7G371200.2.p, Aqcoe7G371200.1.p, Aqcoe6G119800.1.p
OG0005945	Av_00010207-RA, Av_00019108-RA	Aqcoe3G178300.1.p, Aqcoe5G101500.1.p
OG0005946	Av_00017640-RA	Aqcoe6G027200.9.p, Aqcoe6G027200.8.p, Aqcoe6G027200.2.p, Aqcoe6G027200.3.p, Aqcoe6G027200.4.p, Aqcoe6G027200.6.p, Aqcoe6G027200.7.p, Aqcoe6G027200.1.p, Aqcoe6G027200.5.p
OG0005947	Av_00009031-RA, Av_00003775-RA	Aqcoe6G215000.1.p
OG0005948	Av_00021614-RA	Aqcoe6G197600.1.p
OG0005949	Av_00000982-RA, Av_00018183-RA	Aqcoe6G306700.1.p, Aqcoe6G306800.1.p
OG0005950	Av_00010944-RA	Aqcoe6G072700.3.p, Aqcoe6G072700.1.p, Aqcoe6G072700.4.p, Aqcoe6G072700.6.p, Aqcoe6G072700.5.p, Aqcoe6G072700.2.p
OG0005951	Av_00006441-RA, Av_00007521-RA	Aqcoe3G100600.2.p, Aqcoe3G100600.1.p, Aqcoe6G004800.2.p, Aqcoe6G004800.1.p
OG0005952	Av_00022589-RA	Aqcoe6G121300.1.p
OG0005953	Av_00000436-RA	Aqcoe6G055900.1.p
OG0005954	Av_00024495-RA, Av_00005466-RA	Aqcoe6G180600.1.p, Aqcoe7G045300.1.p
OG0005955	Av_00020034-RA	Aqcoe6G104200.2.p, Aqcoe6G104200.1.p
OG0005956	Av_00001352-RA, Av_00016740-RA, Av_00020328-RA	Aqcoe7G384500.1.p, Aqcoe6G036900.1.p, Aqcoe5G235400.1.p
OG0005957	Av_00011687-RA, Av_00014243-RA, Av_00018988-RA, Av_00001912-RA	Aqcoe6G172200.1.p
OG0005958	Av_00008854-RA, Av_00018729-RA, Av_00019040-RA	Aqcoe6G280800.1.p
OG0005959	Av_00007918-RA, Av_00006859-RA, Av_00010017-RA, Av_00010796-RA, Av_00010227-RA	Aqcoe5G095100.1.p, Aqcoe6G313600.1.p
OG0005960	Av_00005176-RA, Av_00018385-RA	Aqcoe4G236200.3.p, Aqcoe4G236200.1.p, Aqcoe4G236200.2.p
OG0005961	Av_00020407-RA	Aqcoe7G159700.1.p, Aqcoe7G159600.1.p, Aqcoe7G159600.2.p, Aqcoe4G271000.1.p, Aqcoe4G212100.1.p
OG0005962	Av_00011551-RA, Av_00011550-RA	Aqcoe4G312300.1.p
OG0005963	Av_00000783-RA	Aqcoe4G171000.1.p
OG0005964	Av_00008978-RA	Aqcoe4G309600.1.p, Aqcoe4G309600.2.p
OG0005965	Av_00018476-RA	Aqcoe1G190600.1.p
OG0005966	Av_00000719-RA	Aqcoe5G213500.1.p, Aqcoe4G222500.1.p
OG0005967	Av_00002396-RA	Aqcoe4G164700.1.p
OG0005967	Av_00021435-RA, Av_00015833-RA	Aqcoe1G333200.1.p, Aqcoe1G333200.2.p
OG0005968	Av_00000210-RA, Av_00017216-RA, Av_00002365-RA, Av_00019374-RA, Av_00023760-RA	Aqcoe4G090300.1.p
OG0005969	Av_00003676-RA	Aqcoe4G248200.1.p
OG0005970	Av_00010959-RA, Av_00015279-RA	Aqcoe1G269000.1.p, Aqcoe1G269000.2.p, Aqcoe1G269000.3.p, Aqcoe1G269000.4.p, Aqcoe4G272600.1.p
OG0005971	Av_00011027-RA, Av_00017103-RA	Aqcoe7G319900.2.p, Aqcoe7G319900.1.p, Aqcoe4G257100.1.p
OG0005972	Av_00016941-RA, Av_00004749-RA	Aqcoe4G305000.2.p, Aqcoe4G305000.1.p
OG0005973	Av_00014237-RA	Aqcoe4G123200.2.p, Aqcoe4G123200.1.p
OG0005974	Av_00000197-RA, Av_00007867-RA	Aqcoe4G157800.1.p
OG0005975	Av_00010615-RA, Av_00014155-RA	Aqcoe3G180000.1.p, Aqcoe4G293600.1.p
OG0005976	Av_00008120-RA	Aqcoe7G310100.1.p, Aqcoe0637s0002.1.p, Aqcoe1G045200.1.p
OG0005977	Av_00003977-RA, Av_00009075-RA	Aqcoe7G358100.1.p, Aqcoe7G358100.2.p
OG0005978	Av_00018833-RA, Av_00018646-RA	Aqcoe7G261700.1.p, Aqcoe7G261700.2.p
OG0005979	Av_00000001-RA	Aqcoe7G077300.5.p, Aqcoe7G077300.2.p, Aqcoe7G077300.1.p, Aqcoe7G077300.3.p, Aqcoe7G077300.4.p
OG0005980	Av_00004497-RA	Aqcoe7G345500.2.p, Aqcoe7G345500.1.p
OG0005981	Av_00002060-RA, Av_00019483-RA, Av_00016686-RA, Av_00012897-RA	Aqcoe7G062000.1.p
OG0005982	Av_00017226-RA	Aqcoe7G414000.1.p, Aqcoe7G413800.1.p
OG0005983	Av_00009167-RA	Aqcoe7G046800.1.p
OG0005984	Av_00015139-RA	Aqcoe7G309800.1.p, Aqcoe7G309800.4.p, Aqcoe7G309800.6.p, Aqcoe7G309800.3.p, Aqcoe7G309800.2.p, Aqcoe7G309800.5.p, Aqcoe7G284700.1.p
OG0005985	Av_00007999-RA	Aqcoe7G166800.1.p, Aqcoe7G166800.2.p
OG0005986	Av_00017335-RA	Aqcoe7G100700.1.p
OG0005987	Av_00015821-RA	Aqcoe7G442700.1.p
OG0005988	Av_00012034-RA	Aqcoe7G132200.1.p, Aqcoe7G132200.2.p
OG0005989	Av_00003630-RA	Aqcoe7G421700.1.p
OG0005990	Av_00007779-RA	Aqcoe3G403500.1.p
OG0005990	Av_00003929-RA	Aqcoe7G083600.2.p, Aqcoe7G083600.1.p
OG0005991	Av_00001632-RA	Aqcoe7G025500.1.p
OG0005992	Av_00023062-RA	Aqcoe7G422100.1.p, Aqcoe7G422200.1.p, Aqcoe7G422800.1.p
OG0005993	Av_00002038-RA	Aqcoe7G305700.2.p, Aqcoe7G305700.3.p, Aqcoe7G305700.1.p, Aqcoe1G441900.1.p
OG0005994	Av_00019289-RA, Av_00008889-RA	Aqcoe7G419300.1.p, Aqcoe7G419300.2.p, Aqcoe7G419300.3.p
OG0005995	Av_00009168-RA, Av_00014768-RA	Aqcoe7G046700.1.p
OG0005996	Av_00005372-RA	Aqcoe7G199700.1.p, Aqcoe7G199700.2.p, Aqcoe5G295900.5.p, Aqcoe5G295900.4.p, Aqcoe5G295900.1.p, Aqcoe5G295900.3.p, Aqcoe5G295900.2.p
OG0005997	Av_00024435-RA	Aqcoe3G253600.1.p
OG0005998	Av_00023066-RA, Av_00021889-RA	Aqcoe7G076000.1.p
OG0006000	Av_00003258-RA	Aqcoe7G009600.1.p
OG0006001	Av_00023014-RA, Av_00020438-RA, Av_00010744-RA	Aqcoe7G428600.1.p
OG0006002	Av_00001587-RA	Aqcoe7G075500.1.p
OG0006003	Av_00013000-RA, Av_00008740-RA	Aqcoe7G109200.2.p, Aqcoe7G109200.1.p
OG0006004	Av_00003130-RA, Av_00014015-RA	Aqcoe7G089000.4.p, Aqcoe7G089000.3.p, Aqcoe7G089000.2.p, Aqcoe7G089000.1.p
OG0006006	Av_00020855-RA, Av_00021968-RA	Aqcoe7G238900.3.p, Aqcoe7G238900.2.p, Aqcoe7G238900.1.p
OG0006007	Av_00007401-RA, Av_00003779-RA	Aqcoe7G204000.1.p, Aqcoe7G204000.2.p
OG0006009	Av_00012314-RA, Av_00004491-RA, Av_00001013-RA	Aqcoe7G329500.5.p, Aqcoe7G329500.1.p, Aqcoe7G329500.4.p, Aqcoe7G329500.2.p, Aqcoe7G329500.3.p
OG0006012	Av_00005462-RA	Aqcoe7G051400.1.p
OG0006013	Av_00007204-RA, Av_00018847-RA, Av_00004331-RA, Av_00004555-RA	Aqcoe5G231800.1.p, Aqcoe7G286700.1.p
OG0006014	Av_00007973-RA, Av_00018161-RA, Av_00006817-RA	Aqcoe7G205600.1.p
OG0006015	Av_00008158-RA	Aqcoe7G050700.2.p, Aqcoe7G050700.1.p
OG0006016	Av_00014021-RA, Av_00003138-RA	Aqcoe7G299600.2.p, Aqcoe7G299600.3.p, Aqcoe7G299600.1.p
OG0006017	Av_00012800-RA, Av_00020202-RA	Aqcoe7G273000.1.p
OG0006018	Av_00024025-RA	Aqcoe7G007800.1.p, Aqcoe7G007800.2.p
OG0006019	Av_00021903-RA, Av_00021904-RA, Av_00021902-RA, Av_00016052-RA	Aqcoe7G009200.1.p
OG0006020	Av_00019504-RA, Av_00012824-RA	Aqcoe7G008500.3.p, Aqcoe7G008500.5.p, Aqcoe7G008500.4.p, Aqcoe7G008500.2.p, Aqcoe7G008500.1.p, Aqcoe7G008500.6.p
OG0006021	Av_00012327-RA	Aqcoe7G352100.2.p, Aqcoe7G352100.1.p
OG0006022	Av_00010393-RA	Aqcoe7G063600.1.p
OG0006023	Av_00012330-RA	Aqcoe7G353100.5.p, Aqcoe7G353100.4.p, Aqcoe7G353100.1.p, Aqcoe7G353100.2.p, Aqcoe7G353100.6.p, Aqcoe7G353100.3.p
OG0006024	Av_00023528-RA	Aqcoe7G093800.1.p
OG0006025	Av_00015566-RA, Av_00009064-RA	Aqcoe7G367900.1.p
OG0006026	Av_00019531-RA, Av_00019072-RA	Aqcoe7G409300.2.p, Aqcoe7G409300.1.p
OG0006027	Av_00009803-RA	Aqcoe7G107300.2.p, Aqcoe7G107300.1.p
OG0006028	Av_00001107-RA, Av_00001106-RA, Av_00021241-RA	Aqcoe7G048200.1.p
OG0006029	Av_00005624-RA, Av_00005946-RA	Aqcoe1G492700.2.p, Aqcoe1G492700.1.p, Aqcoe7G119400.1.p, Aqcoe7G119400.2.p
OG0006030	Av_00005497-RA, Av_00020833-RA	Aqcoe7G407100.1.p, Aqcoe7G407100.2.p
OG0006031	Av_00002065-RA, Av_00012903-RA	Aqcoe7G059300.1.p
OG0006032	Av_00004017-RA, Av_00005845-RA, Av_00012147-RA	Aqcoe7G358800.1.p
OG0006033	Av_00012792-RA, Av_00022571-RA, Av_00004654-RA	Aqcoe7G200400.1.p
OG0006034	Av_00004086-RA, Av_00023068-RA	Aqcoe7G440500.1.p
OG0006036	Av_00006271-RA	Aqcoe7G360200.1.p
OG0006037	Av_00004162-RA, Av_00015416-RA	Aqcoe7G377200.1.p
OG0006040	Av_00016862-RA	Aqcoe7G262100.1.p, Aqcoe7G262100.2.p
OG0006042	Av_00006758-RA, Av_00008045-RA	Aqcoe7G430400.1.p
OG0006044	Av_00012193-RA, Av_00005781-RA	Aqcoe7G340500.3.p, Aqcoe7G340500.4.p, Aqcoe7G340500.1.p, Aqcoe7G340500.2.p, Aqcoe3G148800.1.p, Aqcoe3G148800.2.p
OG0006045	Av_00018246-RA	Aqcoe7G193100.1.p
OG0006046	Av_00014060-RA	Aqcoe1G077100.2.p, Aqcoe1G077100.1.p
OG0006047	Av_00008407-RA, Av_00011554-RA	Aqcoe1G385100.1.p
OG0006048	Av_00016886-RA	Aqcoe1G128200.3.p, Aqcoe1G128200.1.p, Aqcoe1G128200.2.p, Aqcoe1G220700.1.p
OG0006049	Av_00003574-RA	Aqcoe1G325600.1.p, Aqcoe1G467500.1.p, Aqcoe1G467500.2.p
OG0006050	Av_00006650-RA	Aqcoe1G230900.1.p
OG0006051	Av_00008447-RA	Aqcoe1G250900.2.p, Aqcoe1G250900.3.p, Aqcoe1G250900.4.p, Aqcoe1G250900.1.p
OG0006052	Av_00020589-RA	Aqcoe3G123200.1.p
OG0006053	Av_00002274-RA	Aqcoe1G188000.1.p
OG0006054	Av_00000162-RA	Aqcoe1G298500.1.p
OG0006055	Av_00001323-RA	Aqcoe1G270400.3.p, Aqcoe1G270400.1.p, Aqcoe1G270400.2.p
OG0006056	Av_00012682-RA, Av_00014488-RA, Av_00000679-RA	Aqcoe1G025900.1.p
OG0006057	Av_00010593-RA, Av_00010592-RA	Aqcoe1G056400.2.p, Aqcoe1G056400.1.p
OG0006058	Av_00015880-RA	Aqcoe1G150100.1.p
OG0006060	Av_00016423-RA, Av_00013455-RA	Aqcoe1G489600.1.p, Aqcoe1G489600.2.p
OG0006061	Av_00007362-RA	Aqcoe1G084700.1.p, Aqcoe1G084800.1.p
OG0006062	Av_00006119-RA	Aqcoe1G152500.1.p
OG0006063	Av_00023193-RA	Aqcoe1G161200.1.p
OG0006064	Av_00005167-RA, Av_00018381-RA	Aqcoe1G183000.1.p
OG0006065	Av_00023433-RA, Av_00009814-RA	Aqcoe5G297200.4.p, Aqcoe5G297200.7.p, Aqcoe5G297200.6.p, Aqcoe5G297200.5.p, Aqcoe5G297200.2.p, Aqcoe5G297200.1.p, Aqcoe5G297200.3.p, Aqcoe1G360100.1.p
OG0006066	Av_00023737-RA	Aqcoe1G079600.1.p
OG0006068	Av_00013839-RA	Aqcoe5G280200.1.p, Aqcoe5G280200.6.p, Aqcoe5G280200.4.p, Aqcoe5G280200.5.p, Aqcoe5G280200.3.p, Aqcoe1G176300.1.p, Aqcoe5G280200.2.p, Aqcoe1G176300.2.p
OG0006069	Av_00012037-RA	Aqcoe1G246900.1.p, Aqcoe1G246900.3.p, Aqcoe1G246900.2.p, Aqcoe1G246900.4.p
OG0006070	Av_00013355-RA	Aqcoe1G475800.4.p, Aqcoe1G475800.1.p, Aqcoe1G475800.2.p, Aqcoe1G475800.3.p
OG0006071	Av_00010999-RA, Av_00017721-RA	Aqcoe1G492500.1.p
OG0006072	Av_00002823-RA	Aqcoe1G070800.1.p, Aqcoe1G070800.2.p
OG0006073	Av_00018512-RA	Aqcoe1G489800.1.p
OG0006074	Av_00009719-RA	Aqcoe1G155700.1.p
OG0006075	Av_00007828-RA, Av_00000220-RA	Aqcoe1G221500.3.p, Aqcoe1G221500.1.p, Aqcoe1G221500.2.p, Aqcoe1G221500.4.p
OG0006076	Av_00011742-RA	Aqcoe1G492800.1.p
OG0006077	Av_00023747-RA	Aqcoe1G061800.1.p
OG0006078	Av_00002931-RA, Av_00018030-RA	Aqcoe1G448400.1.p
OG0006080	Av_00009521-RA, Av_00013072-RA, Av_00017593-RA	Aqcoe1G429900.1.p
OG0006081	Av_00005712-RA	Aqcoe1G090100.1.p
OG0006082	Av_00007676-RA, Av_00024741-RA	Aqcoe1G197700.1.p, Aqcoe1G197700.2.p
OG0006083	Av_00012380-RA	Aqcoe1G093100.2.p, Aqcoe1G093100.1.p
OG0006084	Av_00022057-RA, Av_00024817-RA	Aqcoe3G341800.1.p
OG0006085	Av_00013122-RA	Aqcoe1G318100.1.p, Aqcoe1G318000.1.p
OG0006086	Av_00018004-RA, Av_00010302-RA	Aqcoe1G337700.1.p
OG0006087	Av_00001291-RA, Av_00015094-RA	Aqcoe1G080700.2.p, Aqcoe1G080700.1.p
OG0006088	Av_00006223-RA, Av_00012698-RA	Aqcoe1G411500.3.p, Aqcoe1G411500.2.p, Aqcoe1G411500.4.p, Aqcoe1G411500.1.p
OG0006089	Av_00007473-RA	Aqcoe1G235400.3.p, Aqcoe1G235400.2.p, Aqcoe1G235400.1.p
OG0006090	Av_00015881-RA	Aqcoe1G062400.1.p
OG0006091	Av_00015800-RA, Av_00016484-RA	Aqcoe1G104100.1.p
OG0006092	Av_00008185-RA, Av_00004359-RA	Aqcoe1G491500.1.p
OG0006093	Av_00007057-RA	Aqcoe1G499600.3.p, Aqcoe1G499600.1.p, Aqcoe1G499600.2.p
OG0006094	Av_00022744-RA	Aqcoe1G170500.1.p
OG0006095	Av_00014177-RA, Av_00010638-RA	Aqcoe1G374400.4.p, Aqcoe1G374400.1.p, Aqcoe1G374400.5.p, Aqcoe1G374400.2.p, Aqcoe1G374400.3.p
OG0006096	Av_00005648-RA, Av_00005923-RA	Aqcoe1G317800.2.p, Aqcoe1G317800.1.p
OG0006097	Av_00019605-RA	Aqcoe1G040200.1.p, Aqcoe1G040000.1.p
OG0006098	Av_00001826-RA	Aqcoe1G039900.1.p
OG0006099	Av_00014123-RA, Av_00010569-RA, Av_00003675-RA	Aqcoe1G367900.1.p
OG0006100	Av_00017152-RA	Aqcoe1G014700.1.p, Aqcoe1G014700.2.p
OG0006101	Av_00007060-RA	Aqcoe1G138700.3.p, Aqcoe1G138700.2.p, Aqcoe1G138700.1.p
OG0006102	Av_00008440-RA	Aqcoe1G253600.1.p, Aqcoe1G253600.2.p
OG0006104	Av_00014331-RA, Av_00001133-RA	Aqcoe3G092100.3.p, Aqcoe3G092100.1.p, Aqcoe1G191100.1.p
OG0006105	Av_00012743-RA	Aqcoe1G302500.1.p
OG0006106	Av_00005993-RA	Aqcoe1G384000.1.p
OG0006107	Av_00023968-RA	Aqcoe1G446100.1.p, Aqcoe1G446100.2.p
OG0006108	Av_00008527-RA, Av_00021083-RA	Aqcoe1G420600.1.p, Aqcoe1G420600.2.p
OG0006109	Av_00005657-RA, Av_00022431-RA	Aqcoe1G405200.2.p, Aqcoe1G405200.1.p
OG0006110	Av_00011762-RA	Aqcoe1G193900.1.p
OG0006111	Av_00019631-RA, Av_00022728-RA	Aqcoe1G051900.1.p, Aqcoe1G051900.2.p
OG0006112	Av_00019834-RA, Av_00011959-RA	Aqcoe1G361900.2.p, Aqcoe1G361900.1.p
OG0006113	Av_00020195-RA	Aqcoe1G066600.2.p, Aqcoe1G066600.1.p
OG0006114	Av_00011975-RA	Aqcoe1G151200.1.p
OG0006115	Av_00022222-RA	Aqcoe1G449800.1.p, Aqcoe1G449800.2.p
OG0006116	Av_00003026-RA	Aqcoe5G419200.1.p, Aqcoe5G419200.3.p, Aqcoe5G419200.2.p, Aqcoe1G221200.1.p
OG0006117	Av_00005157-RA	Aqcoe1G158100.1.p, Aqcoe1G158100.2.p
OG0006118	Av_00006481-RA	Aqcoe1G115700.1.p, Aqcoe1G115700.3.p, Aqcoe1G115700.2.p
OG0006120	Av_00022402-RA, Av_00024922-RA, Av_00022403-RA	Aqcoe1G415700.1.p
OG0006121	Av_00013449-RA, Av_00016416-RA	Aqcoe1G090500.1.p
OG0006122	Av_00008597-RA	Aqcoe1G297000.5.p, Aqcoe1G297000.4.p, Aqcoe1G297000.3.p, Aqcoe1G297000.1.p, Aqcoe1G297000.2.p
OG0006123	Av_00011848-RA, Av_00014906-RA	Aqcoe1G031100.1.p
OG0006125	Av_00002977-RA, Av_00005417-RA, Av_00017243-RA, Av_00005662-RA	Aqcoe1G499500.3.p, Aqcoe1G499500.1.p, Aqcoe1G499500.4.p, Aqcoe1G499500.6.p, Aqcoe1G499500.2.p, Aqcoe1G499500.5.p
OG0006126	Av_00006591-RA, Av_00014864-RA, Av_00016645-RA	Aqcoe5G008300.1.p
OG0006127	Av_00013396-RA	Aqcoe5G119800.1.p
OG0006128	Av_00018669-RA	Aqcoe5G064300.2.p, Aqcoe5G064300.1.p
OG0006129	Av_00022132-RA, Av_00021912-RA	Aqcoe5G004600.1.p
OG0006130	Av_00014515-RA, Av_00002994-RA	Aqcoe5G462400.1.p
OG0006131	Av_00011011-RA	Aqcoe5G360500.1.p
OG0006133	Av_00000075-RA	Aqcoe5G162600.1.p, Aqcoe5G162600.2.p, Aqcoe5G162600.3.p
OG0006134	Av_00021001-RA	Aqcoe5G389700.1.p
OG0006135	Av_00022028-RA	Aqcoe5G155800.1.p
OG0006136	Av_00019436-RA	Aqcoe5G155600.6.p, Aqcoe5G155600.3.p, Aqcoe5G155600.4.p, Aqcoe5G155600.5.p, Aqcoe5G155600.7.p, Aqcoe5G155600.1.p, Aqcoe5G155600.2.p
OG0006137	Av_00021825-RA	Aqcoe5G369900.3.p, Aqcoe5G369900.4.p, Aqcoe5G369900.6.p, Aqcoe5G369900.1.p, Aqcoe5G369900.2.p, Aqcoe5G369900.5.p, Aqcoe5G369900.7.p
OG0006138	Av_00016447-RA	Aqcoe5G197700.1.p, Aqcoe5G197800.1.p
OG0006139	Av_00017713-RA, Av_00001682-RA	Aqcoe5G382300.1.p
OG0006140	Av_00018920-RA	Aqcoe5G457200.1.p
OG0006141	Av_00018980-RA	Aqcoe5G214700.2.p, Aqcoe5G214700.1.p
OG0006142	Av_00001586-RA	Aqcoe5G249900.1.p
OG0006143	Av_00000324-RA	Aqcoe5G399000.2.p, Aqcoe5G399000.1.p
OG0006145	Av_00003037-RA	Aqcoe5G192300.1.p
OG0006146	Av_00012155-RA	Aqcoe5G110200.1.p
OG0006147	Av_00003131-RA	Aqcoe5G310200.1.p
OG0006148	Av_00003747-RA, Av_00007428-RA	Aqcoe5G112600.1.p
OG0006149	Av_00003014-RA	Aqcoe5G420400.1.p
OG0006150	Av_00015015-RA	Aqcoe5G371200.1.p
OG0006151	Av_00016015-RA, Av_00004210-RA, Av_00019117-RA, Av_00010198-RA	Aqcoe5G226900.2.p, Aqcoe5G226900.1.p
OG0006152	Av_00013980-RA, Av_00003181-RA, Av_00014689-RA, Av_00008656-RA	Aqcoe5G161100.1.p
OG0006154	Av_00015072-RA	Aqcoe5G152300.1.p
OG0006155	Av_00023921-RA	Aqcoe5G360700.3.p, Aqcoe5G360700.1.p, Aqcoe5G360700.2.p
OG0006156	Av_00014651-RA, Av_00008615-RA	Aqcoe5G440300.1.p
OG0006157	Av_00003210-RA	Aqcoe5G429000.1.p, Aqcoe5G425900.1.p
OG0006158	Av_00016571-RA, Av_00006507-RA	Aqcoe5G334800.1.p
OG0006159	Av_00013371-RA, Av_00023194-RA	Aqcoe5G103200.1.p
OG0006160	Av_00010864-RA, Av_00003325-RA	Aqcoe5G414100.1.p
OG0006161	Av_00006662-RA	Aqcoe5G036400.1.p
OG0006162	Av_00009851-RA, Av_00011063-RA	Aqcoe5G156200.3.p, Aqcoe5G156200.1.p, Aqcoe5G156200.4.p, Aqcoe5G156200.2.p
OG0006163	Av_00021038-RA, Av_00006921-RA	Aqcoe5G305800.1.p, Aqcoe5G305800.2.p
OG0006164	Av_00018408-RA	Aqcoe5G415400.2.p, Aqcoe5G415400.1.p, Aqcoe5G415400.3.p, Aqcoe5G415400.5.p, Aqcoe5G415400.4.p
