Orthogroup	A_vesiculosa.proteins	G_max.proteins
OG0005347	Av_00013968-RA, Av_00020324-RA	GmISU01.11G192500.1.p, GmISU01.18G041700.1.p, GmISU01.02G203700.1.p, GmISU01.14G175100.2.p, GmISU01.02G203700.3.p, GmISU01.14G175100.1.p
OG0005348	Av_00019470-RA	GmISU01.19G074500.1.p, GmISU01.16G046300.1.p
OG0005349	Av_00003899-RA	GmISU01.19G036700.1.p, GmISU01.13G028500.3.p, GmISU01.13G028500.2.p, GmISU01.13G028400.1.p
OG0005350	Av_00011729-RA, Av_00024450-RA	GmISU01.01G076000.3.p, GmISU01.01G076000.5.p, GmISU01.08G246200.1.p, GmISU01.08G246200.2.p
OG0005351	Av_00017611-RA	GmISU01.11G084600.1.p, GmISU01.12G017000.1.p, GmISU01.01G187400.1.p, GmISU01.11G010732.1.p, GmISU01.11G010732.2.p
OG0005352	Av_00007645-RA	GmISU01.08G086900.2.p, GmISU01.08G086900.1.p, GmISU01.05G114500.2.p, GmISU01.05G114500.1.p, GmISU01.09G097500.4.p, GmISU01.09G097500.3.p, GmISU01.09G097500.1.p, GmISU01.09G097500.2.p
OG0005353	Av_00023104-RA	GmISU01.12G045900.1.p, GmISU01.12G045900.4.p, GmISU01.12G045900.6.p, GmISU01.12G045900.5.p
OG0005354	Av_00005950-RA, Av_00005622-RA, Av_00003685-RA	GmISU01.20G108100.1.p, GmISU01.20G108100.2.p, GmISU01.10G212500.2.p, GmISU01.10G212500.1.p
OG0005355	Av_00012222-RA, Av_00024877-RA	GmISU01.16G046100.2.p, GmISU01.16G046100.1.p, GmISU01.19G074700.1.p
OG0005356	Av_00019615-RA, Av_00021982-RA	GmISU01.17G141200.1.p, GmISU01.05G091600.1.p
OG0005357	Av_00001481-RA	GmISU01.01G064400.5.p
OG0005358	Av_00009549-RA	GmISU01.09G129500.2.p, GmISU01.09G129500.3.p, GmISU01.09G129500.4.p, GmISU01.16G181500.3.p, GmISU01.16G181500.4.p, GmISU01.16G181500.2.p, GmISU01.16G181500.1.p
OG0005359	Av_00018454-RA	GmISU01.09G098800.3.p, GmISU01.09G098800.2.p, GmISU01.09G098800.1.p
OG0005360	Av_00015920-RA	GmISU01.17G071800.1.p, GmISU01.05G019100.1.p
OG0005361	Av_00009104-RA, Av_00015589-RA	GmISU01.08G230400.1.p, GmISU01.18G216900.1.p
OG0005362	Av_00015475-RA, Av_00025042-RA, Av_00025043-RA	GmISU01.08G253100.2.p, GmISU01.08G253100.1.p
OG0005363	Av_00024554-RA	GmISU01.09G174400.1.p
OG0005365	Av_00006121-RA	GmISU01.05G127800.2.p, GmISU01.05G127800.1.p, GmISU01.08G102350.1.p, GmISU01.18G001400.1.p, GmISU01.02G184100.1.p, GmISU01.20G032700.1.p, GmISU01.20G032600.1.p, GmISU01.14G035600.1.p, GmISU01.14G035800.1.p, GmISU01.14G035500.2.p, GmISU01.14G035500.1.p
OG0005369	Av_00024763-RA, Av_00021768-RA, Av_00003275-RA, Av_00024762-RA	GmISU01.16G015000.3.p, GmISU01.16G015000.4.p, GmISU01.16G015000.5.p, GmISU01.16G015000.6.p, GmISU01.16G015000.7.p, GmISU01.16G015000.8.p, GmISU01.16G015000.9.p, GmISU01.16G015000.2.p, GmISU01.16G015000.1.p, GmISU01.07G045000.2.p, GmISU01.07G045000.1.p
OG0005371	Av_00005172-RA	GmISU01.08G128000.3.p, GmISU01.08G128000.1.p, GmISU01.08G128000.2.p, GmISU01.05G151600.1.p
OG0005377	Av_00014381-RA, Av_00001179-RA, Av_00007024-RA, Av_00011897-RA, Av_00013675-RA, Av_00006495-RA	GmISU01.18G000200.10.p, GmISU01.18G000200.9.p, GmISU01.18G000200.8.p, GmISU01.18G000200.7.p
OG0005395	Av_00022350-RA	GmISU01.13G278100.1.p, GmISU01.12G150900.1.p
OG0005396	Av_00002256-RA	GmISU01.03G182400.5.p, GmISU01.03G182400.4.p, GmISU01.03G182400.3.p, GmISU01.03G182400.1.p, GmISU01.19G183450.1.p
OG0005399	Av_00004932-RA	GmISU01.02G170100.1.p, GmISU01.17G068600.7.p, GmISU01.17G068600.8.p
OG0005400	Av_00001166-RA, Av_00014361-RA	GmISU01.04G122700.1.p, GmISU01.06G189100.1.p, GmISU01.06G189100.2.p, GmISU01.12G072800.1.p
OG0005402	Av_00014499-RA	GmISU01.03G097100.1.p, GmISU01.19G100800.1.p
OG0005402	Av_00000693-RA	GmISU01.03G097200.1.p
OG0005403	Av_00006655-RA	GmISU01.19G191500.1.p, GmISU01.03G189800.2.p, GmISU01.03G189800.1.p
OG0005404	Av_00003408-RA	GmISU01.03G184700.1.p, GmISU01.19G186000.1.p, GmISU01.03G184700.2.p, GmISU01.03G184700.3.p
OG0005405	Av_00016624-RA	GmISU01.20G066100.1.p
OG0005406	Av_00019376-RA, Av_00019922-RA	GmISU01.17G153100.1.p
OG0005407	Av_00022603-RA, Av_00000645-RA	GmISU01.13G179900.1.p
OG0005408	Av_00013555-RA	GmISU01.11G193900.1.p, GmISU01.11G193900.2.p, GmISU01.18G040600.1.p
OG0005409	Av_00014400-RA, Av_00016558-RA, Av_00006529-RA	GmISU01.18G063800.1.p, GmISU01.08G299100.1.p, GmISU01.14G009600.1.p
OG0005410	Av_00013207-RA	GmISU01.16G037900.1.p
OG0005411	Av_00005844-RA	GmISU01.16G038800.1.p, GmISU01.19G080900.1.p, GmISU01.19G080900.2.p, GmISU01.16G038700.1.p
OG0005412	Av_00003987-RA	GmISU01.07G197500.1.p, GmISU01.07G197500.4.p, GmISU01.07G197500.3.p, GmISU01.07G197500.2.p
OG0005413	Av_00012722-RA, Av_00012723-RA	GmISU01.12G145500.1.p, GmISU01.13G283200.1.p
OG0005414	Av_00002652-RA	GmISU01.08G122000.1.p, GmISU01.08G122000.2.p, GmISU01.05G146200.4.p, GmISU01.05G146200.5.p, GmISU01.05G146200.2.p, GmISU01.05G146200.3.p
OG0005416	Av_00023131-RA	GmISU01.02G063100.1.p, GmISU01.16G124100.1.p
OG0005417	Av_00022703-RA	GmISU01.02G265400.1.p, GmISU01.14G005900.1.p
OG0005418	Av_00007349-RA	GmISU01.18G057600.1.p, GmISU01.11G180200.1.p, GmISU01.14G160000.1.p, GmISU01.02G191200.1.p, GmISU01.03G044400.1.p, GmISU01.01G091600.1.p, GmISU01.18G151200.1.p, GmISU01.07G131800.1.p
OG0005419	Av_00010172-RA	GmISU01.07G106100.1.p
OG0005420	Av_00022193-RA	GmISU01.11G230500.2.p, GmISU01.11G230500.1.p
OG0005422	Av_00006124-RA	GmISU01.11G132500.1.p, GmISU01.09G097600.1.p, GmISU01.13G290500.1.p
OG0005423	Av_00018039-RA	GmISU01.11G115700.2.p, GmISU01.11G115700.1.p, GmISU01.11G115700.3.p, GmISU01.12G046300.1.p
OG0005424	Av_00001569-RA, Av_00013559-RA	GmISU01.03G221100.2.p, GmISU01.03G221100.1.p, GmISU01.19G222400.2.p, GmISU01.19G222400.1.p
OG0005425	Av_00005411-RA	GmISU01.18G163400.1.p, GmISU01.03G001900.2.p, GmISU01.03G001900.1.p, GmISU01.16G188000.4.p, GmISU01.16G188000.5.p, GmISU01.16G188000.1.p
OG0005426	Av_00005408-RA, Av_00022704-RA	GmISU01.03G032900.1.p, GmISU01.03G033400.1.p, GmISU01.01G100000.1.p, GmISU01.19G083100.1.p, GmISU01.09G231800.1.p, GmISU01.18G160100.1.p
OG0005427	Av_00012041-RA	GmISU01.04G180000.1.p, GmISU01.06G132000.1.p
OG0005429	Av_00016536-RA, Av_00006551-RA	GmISU01.13G160900.4.p, GmISU01.15G193900.1.p, GmISU01.15G193900.3.p, GmISU01.13G160900.2.p, GmISU01.13G160900.3.p, GmISU01.13G160900.1.p
OG0005430	Av_00023297-RA	GmISU01.09G150300.1.p, GmISU01.09G150300.3.p, GmISU01.09G150300.4.p, GmISU01.09G150300.2.p, GmISU01.07G079300.1.p, GmISU01.07G079300.2.p, GmISU01.07G079300.3.p
OG0005431	Av_00024574-RA, Av_00019496-RA	GmISU01.13G311500.1.p, GmISU01.08G185500.1.p, GmISU01.07G012700.2.p
OG0005432	Av_00023065-RA	GmISU01.12G082000.1.p, GmISU01.12G082000.2.p, GmISU01.11G146100.1.p
OG0005433	Av_00009594-RA	GmISU01.09G030200.1.p, GmISU01.09G030200.5.p, GmISU01.15G126800.2.p, GmISU01.09G030200.6.p, GmISU01.09G030200.3.p, GmISU01.15G126800.1.p, GmISU01.15G126800.3.p
OG0005434	Av_00013528-RA, Av_00001555-RA	GmISU01.11G115400.2.p, GmISU01.11G115400.1.p, GmISU01.12G046000.2.p, GmISU01.12G046000.1.p, GmISU01.15G027300.1.p, GmISU01.13G304600.2.p, GmISU01.13G304600.1.p
OG0005435	Av_00021647-RA, Av_00015788-RA, Av_00002862-RA	GmISU01.13G106500.1.p, GmISU01.10G042700.1.p, GmISU01.19G140000.1.p, GmISU01.03G136900.1.p
OG0005436	Av_00015751-RA, Av_00020492-RA	GmISU01.07G042500.4.p, GmISU01.07G042500.2.p, GmISU01.07G042500.3.p, GmISU01.07G042500.1.p, GmISU01.16G012300.1.p
OG0005437	Av_00016272-RA	GmISU01.20G190800.1.p, GmISU01.10G124700.2.p, GmISU01.10G124700.3.p, GmISU01.10G124700.1.p
OG0005438	Av_00002938-RA, Av_00012612-RA, Av_00022177-RA, Av_00022229-RA	GmISU01.19G159600.1.p, GmISU01.03G157400.1.p
OG0005439	Av_00013913-RA	GmISU01.03G043200.2.p, GmISU01.03G043200.8.p, GmISU01.03G043200.7.p, GmISU01.03G043200.5.p, GmISU01.03G043200.3.p, GmISU01.03G043200.1.p, GmISU01.01G090200.1.p
OG0005441	Av_00014380-RA, Av_00014376-RA, Av_00014379-RA	GmISU01.20G122600.2.p, GmISU01.20G122600.1.p, GmISU01.20G122600.4.p, GmISU01.20G122600.3.p, GmISU01.10G197600.2.p, GmISU01.10G197600.1.p
OG0005442	Av_00006110-RA	GmISU01.11G170100.2.p, GmISU01.11G170100.3.p, GmISU01.11G170100.1.p
OG0005443	Av_00005701-RA, Av_00017265-RA	GmISU01.18G025900.2.p, GmISU01.18G025900.1.p, GmISU01.11G208100.1.p
OG0005444	Av_00004793-RA, Av_00003435-RA, Av_00001438-RA, Av_00017088-RA	GmISU01.10G034600.1.p, GmISU01.13G097000.1.p, GmISU01.19G131000.1.p, GmISU01.03G127000.1.p
OG0005445	Av_00012052-RA	GmISU01.06G057800.1.p, GmISU01.04G057600.1.p
OG0005447	Av_00002924-RA, Av_00022215-RA, Av_00020951-RA	GmISU01.13G122900.1.p, GmISU01.10G060800.1.p, GmISU01.03G152600.1.p, GmISU01.19G155600.1.p
OG0005448	Av_00017257-RA, Av_00021384-RA	GmISU01.02G219500.1.p, GmISU01.14G054200.1.p, GmISU01.18G024200.1.p
OG0005449	Av_00017885-RA	GmISU01.07G217400.6.p, GmISU01.07G217400.3.p, GmISU01.07G217400.5.p, GmISU01.17G016500.2.p, GmISU01.17G016500.6.p, GmISU01.15G095100.1.p, GmISU01.13G177800.2.p, GmISU01.13G177800.1.p
OG0005450	Av_00011858-RA	GmISU01.11G087400.3.p, GmISU01.11G087400.2.p, GmISU01.11G087400.1.p, GmISU01.12G019700.1.p
OG0005451	Av_00002236-RA, Av_00003132-RA	GmISU01.07G115400.1.p, GmISU01.07G115400.2.p, GmISU01.08G099300.1.p, GmISU01.05G125800.1.p
OG0005453	Av_00000676-RA	GmISU01.09G090150.1.p, GmISU01.02G150400.1.p, GmISU01.02G150400.2.p, GmISU01.19G114400.1.p
OG0005454	Av_00006689-RA	GmISU01.03G206300.1.p, GmISU01.19G207400.1.p, GmISU01.19G207400.3.p, GmISU01.20G185500.1.p
OG0005455	Av_00012596-RA, Av_00023820-RA, Av_00020024-RA, Av_00012597-RA, Av_00002913-RA	GmISU01.19G153500.2.p, GmISU01.19G153500.1.p, GmISU01.03G150200.1.p, GmISU01.10G058400.1.p, GmISU01.13G121000.1.p
OG0005457	Av_00015669-RA	GmISU01.13G165400.1.p, GmISU01.15G197300.1.p, GmISU01.15G197300.2.p
OG0005458	Av_00019629-RA	GmISU01.02G147900.4.p, GmISU01.02G147900.1.p, GmISU01.02G147900.3.p, GmISU01.02G147900.5.p, GmISU01.02G147900.2.p, GmISU01.09G086300.4.p, GmISU01.09G086300.3.p, GmISU01.09G086300.2.p, GmISU01.09G086300.1.p
OG0005459	Av_00012622-RA	GmISU01.19G161600.3.p, GmISU01.19G161600.5.p, GmISU01.19G161600.4.p, GmISU01.03G159600.1.p
OG0005460	Av_00019202-RA, Av_00000569-RA	GmISU01.10G035800.1.p, GmISU01.13G098200.1.p, GmISU01.03G128100.1.p, GmISU01.20G166900.2.p, GmISU01.20G166900.1.p, GmISU01.10G149500.1.p
OG0005461	Av_00014719-RA, Av_00008697-RA	GmISU01.14G113100.1.p, GmISU01.14G113100.4.p, GmISU01.17G175600.1.p
OG0005462	Av_00014061-RA, Av_00020518-RA	GmISU01.10G071800.1.p, GmISU01.02G164000.1.p, GmISU01.02G164100.1.p, GmISU01.10G071700.1.p
OG0005463	Av_00009533-RA	GmISU01.07G176400.1.p, GmISU01.02G123100.1.p
OG0005464	Av_00000850-RA, Av_00020968-RA	GmISU01.10G001200.1.p, GmISU01.10G013500.1.p, GmISU01.10G013500.2.p, GmISU01.10G002300.3.p
OG0005466	Av_00009705-RA, Av_00002319-RA	GmISU01.10G028500.1.p, GmISU01.02G128900.2.p, GmISU01.02G128900.1.p
OG0005467	Av_00013352-RA	GmISU01.15G038100.2.p, GmISU01.13G293800.1.p, GmISU01.15G038100.1.p
OG0005468	Av_00024635-RA	GmISU01.06G106200.1.p
OG0005469	Av_00019445-RA, Av_00004057-RA, Av_00012118-RA	GmISU01.06G019100.1.p, GmISU01.04G020700.1.p
OG0005470	Av_00017619-RA	GmISU01.14G155000.1.p, GmISU01.02G186200.1.p
OG0005471	Av_00010131-RA, Av_00014285-RA	GmISU01.14G031800.1.p, GmISU01.02G241400.1.p
OG0005472	Av_00002645-RA	GmISU01.08G099100.3.p, GmISU01.05G125600.4.p, GmISU01.08G099100.1.p, GmISU01.08G099100.2.p, GmISU01.05G125600.2.p, GmISU01.05G125600.3.p
OG0005473	Av_00022823-RA	GmISU01.06G080100.3.p, GmISU01.06G080100.4.p, GmISU01.06G080100.5.p, GmISU01.04G078700.1.p, GmISU01.06G080100.1.p, GmISU01.06G080100.2.p
OG0005474	Av_00011163-RA	GmISU01.12G038500.2.p, GmISU01.12G038500.1.p, GmISU01.11G107400.1.p
OG0005475	Av_00001936-RA, Av_00016310-RA, Av_00011699-RA	GmISU01.11G070200.1.p, GmISU01.01G129400.1.p, GmISU01.16G105500.1.p, GmISU01.02G044900.1.p
OG0005476	Av_00010916-RA, Av_00011465-RA	GmISU01.14G137500.1.p, GmISU01.13G056400.1.p, GmISU01.06G101100.1.p
OG0005477	Av_00019252-RA	GmISU01.17G226700.1.p, GmISU01.14G185200.1.p, GmISU01.01G126100.1.p, GmISU01.11G073200.1.p
OG0005479	Av_00012366-RA, Av_00004528-RA	GmISU01.02G092800.1.p, GmISU01.02G092800.2.p, GmISU01.07G183000.2.p, GmISU01.07G183000.1.p
OG0005480	Av_00013557-RA	GmISU01.20G032400.1.p, GmISU01.20G032400.2.p, GmISU01.02G237500.2.p, GmISU01.02G237500.3.p, GmISU01.14G035300.1.p
OG0005481	Av_00007694-RA, Av_00000332-RA	GmISU01.05G142100.1.p
OG0005482	Av_00003176-RA	GmISU01.14G149000.3.p, GmISU01.14G149000.2.p, GmISU01.02G179800.1.p, GmISU01.06G085400.1.p, GmISU01.04G083900.1.p
OG0005483	Av_00015714-RA	GmISU01.09G014700.1.p, GmISU01.15G112500.1.p
OG0005484	Av_00003618-RA	GmISU01.09G191300.2.p, GmISU01.09G191300.3.p
OG0005484	Av_00011794-RA	GmISU01.06G148200.1.p
OG0005485	Av_00015273-RA	GmISU01.14G145100.1.p, GmISU01.02G175300.3.p
OG0005486	Av_00010688-RA	GmISU01.17G132000.2.p, GmISU01.17G132000.1.p, GmISU01.17G132000.3.p
OG0005487	Av_00021769-RA	GmISU01.07G044000.2.p, GmISU01.16G013900.2.p, GmISU01.16G013900.1.p, GmISU01.07G044000.1.p
OG0005488	Av_00011408-RA, Av_00015940-RA	GmISU01.01G199500.1.p, GmISU01.01G199500.2.p, GmISU01.11G002000.1.p, GmISU01.11G002000.3.p, GmISU01.11G002000.2.p
OG0005490	Av_00021961-RA, Av_00021149-RA, Av_00013022-RA, Av_00024018-RA	GmISU01.08G023400.3.p, GmISU01.08G023400.2.p, GmISU01.08G023400.1.p, GmISU01.08G023400.4.p
OG0005491	Av_00007269-RA	GmISU01.12G029000.1.p, GmISU01.11G098100.1.p
OG0005492	Av_00017925-RA, Av_00001985-RA, Av_00009281-RA	GmISU01.20G098900.1.p
OG0005493	Av_00002329-RA, Av_00002328-RA	GmISU01.14G079400.3.p, GmISU01.14G079400.2.p, GmISU01.17G208700.1.p
OG0005494	Av_00018552-RA, Av_00018551-RA	GmISU01.01G177800.1.p, GmISU01.01G177800.2.p, GmISU01.11G021500.1.p
OG0005495	Av_00015369-RA, Av_00024392-RA	GmISU01.02G051900.1.p, GmISU01.01G137700.3.p, GmISU01.11G061400.1.p, GmISU01.01G137700.1.p
OG0005496	Av_00014028-RA, Av_00003146-RA, Av_00010977-RA	GmISU01.09G191600.2.p, GmISU01.09G191600.1.p, GmISU01.12G002700.2.p, GmISU01.12G002700.1.p
OG0005497	Av_00020137-RA	GmISU01.12G135000.2.p, GmISU01.12G135000.1.p, GmISU01.12G135000.3.p, GmISU01.16G000300.3.p, GmISU01.16G000300.2.p, GmISU01.12G135000.4.p, GmISU01.16G000300.1.p
OG0005498	Av_00002130-RA, Av_00023900-RA	GmISU01.07G204600.1.p, GmISU01.17G028800.1.p, GmISU01.15G131800.1.p
OG0005499	Av_00009755-RA, Av_00008809-RA	GmISU01.20G097600.5.p, GmISU01.20G097600.1.p, GmISU01.20G097600.4.p, GmISU01.20G097600.2.p, GmISU01.20G097600.3.p, GmISU01.10G220700.1.p
OG0005500	Av_00010211-RA, Av_00019104-RA, Av_00024794-RA, Av_00006879-RA	GmISU01.14G081800.1.p, GmISU01.14G081800.2.p, GmISU01.17G206200.1.p
OG0005501	Av_00011470-RA	GmISU01.14G121100.1.p, GmISU01.04G207500.1.p, GmISU01.06G101700.1.p, GmISU01.06G101700.2.p
OG0005502	Av_00007740-RA	GmISU01.18G128900.3.p, GmISU01.18G128900.4.p, GmISU01.18G128900.1.p, GmISU01.18G128900.2.p, GmISU01.08G316500.1.p
OG0005506	Av_00010920-RA, Av_00015245-RA, Av_00011469-RA, Av_00000069-RA, Av_00008651-RA, Av_00014685-RA	GmISU01.06G101600.1.p, GmISU01.04G207700.1.p, GmISU01.14G120900.1.p
OG0005507	Av_00010710-RA, Av_00018572-RA	GmISU01.05G048700.1.p, GmISU01.17G125000.1.p, GmISU01.17G125000.2.p
OG0005508	Av_00010205-RA	GmISU01.06G042100.1.p, GmISU01.04G042700.1.p, GmISU01.04G042700.4.p, GmISU01.04G042700.3.p, GmISU01.04G042700.2.p
OG0005509	Av_00014734-RA	GmISU01.04G087500.1.p, GmISU01.04G087500.2.p, GmISU01.06G089500.5.p, GmISU01.06G089500.4.p, GmISU01.06G089500.3.p, GmISU01.06G089500.2.p, GmISU01.06G089500.1.p
OG0005510	Av_00009008-RA, Av_00012103-RA, Av_00019422-RA	GmISU01.11G079900.1.p, GmISU01.01G120600.1.p
OG0005511	Av_00020443-RA	GmISU01.01G154200.1.p
OG0005512	Av_00017766-RA, Av_00007181-RA, Av_00008808-RA, Av_00009756-RA	GmISU01.10G220900.1.p, GmISU01.20G097400.1.p
OG0005514	Av_00004930-RA, Av_00003983-RA	GmISU01.13G108800.1.p, GmISU01.09G082100.1.p
OG0005515	Av_00004872-RA, Av_00004064-RA, Av_00021612-RA, Av_00003767-RA, Av_00003764-RA, Av_00019776-RA	GmISU01.04G018000.1.p, GmISU01.06G016700.1.p
OG0005516	Av_00003709-RA	GmISU01.15G107100.1.p, GmISU01.09G010300.1.p, GmISU01.07G228400.1.p, GmISU01.07G228400.3.p, GmISU01.07G228400.2.p
OG0005517	Av_00004828-RA	GmISU01.12G166900.2.p, GmISU01.12G166900.1.p, GmISU01.06G254500.1.p
OG0005519	Av_00008552-RA	GmISU01.13G267500.1.p, GmISU01.13G267500.2.p, GmISU01.13G267600.1.p, GmISU01.06G257200.1.p, GmISU01.12G091700.1.p, GmISU01.13G267400.1.p
OG0005520	Av_00003150-RA, Av_00014032-RA	GmISU01.09G002000.3.p, GmISU01.09G002000.1.p, GmISU01.09G002000.2.p, GmISU01.12G204900.1.p
OG0005521	Av_00019475-RA	GmISU01.15G182500.2.p, GmISU01.15G182500.1.p
OG0005522	Av_00003268-RA	GmISU01.02G079200.1.p
OG0005523	Av_00005286-RA	GmISU01.13G256000.2.p, GmISU01.13G256000.3.p
OG0005523	Av_00006430-RA, Av_00007535-RA	GmISU01.09G136600.2.p, GmISU01.09G136600.1.p
OG0005525	Av_00005899-RA	GmISU01.13G201700.1.p, GmISU01.13G201700.2.p, GmISU01.07G171000.3.p, GmISU01.07G171000.4.p, GmISU01.07G171000.2.p, GmISU01.07G171000.6.p, GmISU01.07G171000.5.p, GmISU01.13G146300.1.p, GmISU01.07G171000.7.p
OG0005526	Av_00008226-RA	GmISU01.13G272400.3.p, GmISU01.13G272400.2.p, GmISU01.13G272400.1.p
OG0005527	Av_00008463-RA	GmISU01.06G245900.1.p, GmISU01.12G102400.1.p
OG0005528	Av_00021839-RA, Av_00011634-RA	GmISU01.05G065900.1.p, GmISU01.19G059400.2.p, GmISU01.19G059400.1.p
OG0005529	Av_00006197-RA	GmISU01.07G226700.1.p
OG0005530	Av_00016865-RA, Av_00011053-RA	GmISU01.16G021200.3.p, GmISU01.16G021200.2.p, GmISU01.16G021200.1.p, GmISU01.07G050900.3.p, GmISU01.07G050900.2.p
OG0005531	Av_00019134-RA, Av_00012752-RA	GmISU01.13G010000.2.p, GmISU01.13G010000.1.p
OG0005531	Av_00008974-RA	GmISU01.09G010700.1.p, GmISU01.15G107500.1.p
OG0005532	Av_00018604-RA	GmISU01.15G106000.1.p, GmISU01.09G009300.1.p, GmISU01.18G227300.1.p, GmISU01.18G227500.1.p
OG0005533	Av_00014096-RA, Av_00005893-RA	GmISU01.07G172600.1.p, GmISU01.07G172600.3.p, GmISU01.13G143900.2.p
OG0005534	Av_00005977-RA, Av_00005599-RA	GmISU01.09G006800.1.p, GmISU01.15G103700.1.p
OG0005535	Av_00010761-RA, Av_00019491-RA	GmISU01.08G158800.1.p, GmISU01.08G158800.3.p, GmISU01.08G158800.2.p, GmISU01.15G212200.1.p
OG0005536	Av_00002403-RA	GmISU01.12G122000.3.p, GmISU01.12G122000.1.p, GmISU01.06G214600.2.p, GmISU01.06G214600.1.p
OG0005538	Av_00018830-RA, Av_00018649-RA	GmISU01.14G093000.1.p, GmISU01.14G093000.4.p, GmISU01.14G093000.2.p, GmISU01.17G195500.1.p, GmISU01.06G051000.1.p, GmISU01.04G052500.1.p, GmISU01.04G052500.2.p
OG0005539	Av_00024610-RA	GmISU01.18G070500.1.p, GmISU01.08G242000.1.p
OG0005540	Av_00005833-RA	GmISU01.13G134600.2.p
OG0005541	Av_00007650-RA, Av_00006332-RA	GmISU01.08G241600.6.p, GmISU01.08G241600.2.p, GmISU01.16G083000.2.p, GmISU01.16G083000.3.p, GmISU01.16G083000.1.p
OG0005543	Av_00020198-RA, Av_00012798-RA	GmISU01.17G180300.1.p, GmISU01.14G107900.2.p
OG0005544	Av_00009801-RA	GmISU01.09G065700.1.p, GmISU01.09G065700.2.p, GmISU01.15G163200.1.p, GmISU01.17G041800.1.p, GmISU01.13G085600.1.p
OG0005545	Av_00019453-RA	GmISU01.12G008300.1.p, GmISU01.12G008300.2.p, GmISU01.12G008300.3.p, GmISU01.09G185800.8.p, GmISU01.09G185800.7.p
OG0005546	Av_00001992-RA	GmISU01.05G093500.2.p, GmISU01.05G093500.1.p, GmISU01.19G042700.1.p
OG0005547	Av_00021037-RA	GmISU01.05G176800.1.p
OG0005549	Av_00006799-RA, Av_00006798-RA, Av_00008003-RA, Av_00006800-RA	GmISU01.13G313400.1.p, GmISU01.15G017900.1.p
OG0005550	Av_00018219-RA, Av_00001026-RA	GmISU01.08G026200.1.p, GmISU01.05G190000.1.p
OG0005551	Av_00014605-RA, Av_00008560-RA	GmISU01.03G025000.4.p, GmISU01.03G025000.2.p, GmISU01.03G025000.7.p, GmISU01.03G025000.5.p, GmISU01.03G025000.6.p, GmISU01.03G025000.3.p, GmISU01.01G105500.7.p, GmISU01.01G105500.8.p, GmISU01.01G105500.4.p, GmISU01.01G105500.3.p, GmISU01.01G105500.2.p
OG0005552	Av_00007130-RA	GmISU01.06G073300.3.p, GmISU01.06G073300.1.p, GmISU01.04G072300.2.p, GmISU01.04G072300.1.p, GmISU01.14G117100.5.p, GmISU01.14G117100.2.p, GmISU01.14G117100.3.p
OG0005553	Av_00022342-RA, Av_00014470-RA, Av_00013186-RA, Av_00021877-RA	GmISU01.10G078900.1.p, GmISU01.02G152400.1.p
OG0005554	Av_00018152-RA	GmISU01.13G318600.1.p, GmISU01.15G012400.1.p
OG0005556	Av_00000176-RA, Av_00007887-RA, Av_00000177-RA	GmISU01.03G185500.4.p, GmISU01.03G185500.1.p, GmISU01.03G185500.3.p, GmISU01.03G185500.2.p, GmISU01.19G186700.2.p
OG0005557	Av_00018153-RA	GmISU01.17G103500.2.p, GmISU01.17G103500.1.p, GmISU01.13G131200.1.p, GmISU01.13G131200.2.p
OG0005558	Av_00010357-RA	GmISU01.01G169200.1.p, GmISU01.01G169200.5.p, GmISU01.01G169200.6.p, GmISU01.11G029600.1.p, GmISU01.11G029600.3.p
OG0005559	Av_00017830-RA	GmISU01.14G162750.1.p, GmISU01.02G194000.1.p
OG0005560	Av_00004494-RA, Av_00012320-RA	GmISU01.02G174300.1.p, GmISU01.02G174300.2.p, GmISU01.17G064800.1.p, GmISU01.02G174300.3.p
OG0005562	Av_00013915-RA, Av_00013918-RA	GmISU01.07G065200.1.p, GmISU01.03G009700.1.p
OG0005563	Av_00016830-RA	GmISU01.10G159500.2.p, GmISU01.10G159500.1.p, GmISU01.20G156000.1.p
OG0005564	Av_00021260-RA, Av_00001085-RA	GmISU01.11G140900.1.p, GmISU01.17G173300.1.p, GmISU01.17G173100.2.p, GmISU01.14G113300.1.p, GmISU01.17G173100.1.p, GmISU01.11G141000.1.p
OG0005565	Av_00024069-RA, Av_00004136-RA, Av_00004137-RA	GmISU01.08G189200.1.p, GmISU01.08G189200.2.p, GmISU01.07G016400.2.p, GmISU01.07G016400.1.p, GmISU01.08G189200.3.p
OG0005566	Av_00005510-RA, Av_00006093-RA, Av_00010406-RA	GmISU01.01G175000.1.p, GmISU01.11G023800.1.p
OG0005567	Av_00004636-RA, Av_00004247-RA	GmISU01.07G077600.1.p, GmISU01.09G152300.3.p, GmISU01.09G152300.2.p
OG0005568	Av_00017956-RA, Av_00008333-RA	GmISU01.08G321400.3.p, GmISU01.08G321400.1.p, GmISU01.01G000500.1.p, GmISU01.08G321400.2.p
OG0005569	Av_00019885-RA	GmISU01.16G007900.2.p, GmISU01.16G007900.1.p, GmISU01.07G037800.1.p, GmISU01.07G037800.3.p, GmISU01.07G037800.2.p, GmISU01.07G037800.4.p, GmISU01.07G037800.6.p
OG0005570	Av_00016878-RA	GmISU01.09G223200.1.p
OG0005571	Av_00018645-RA, Av_00018834-RA	GmISU01.08G209000.2.p
OG0005572	Av_00010500-RA	GmISU01.04G054700.1.p, GmISU01.06G054500.1.p
