Orthogroup	A_vesiculosa.proteins	A_thaliana.proteins
OG0005314	Av_00002632-RA	AT1G27900.3, AT1G27900.2, AT1G27900.1
OG0005315	Av_00000484-RA	AT5G66130.1, AT5G66130.2
OG0005316	Av_00016625-RA	AT1G56590.1
OG0005317	Av_00001363-RA	AT3G02680.1
OG0005318	Av_00023063-RA, Av_00009710-RA	AT3G28730.1
OG0005319	Av_00002724-RA, Av_00005249-RA	AT1G69340.1, AT1G69340.2
OG0005320	Av_00006412-RA, Av_00007558-RA, Av_00022489-RA, Av_00024383-RA	AT1G69490.1
OG0005321	Av_00003906-RA, Av_00004985-RA	AT5G38510.1, AT5G38510.2, AT5G38510.3
OG0005322	Av_00023651-RA	AT5G38900.2, AT5G38900.1
OG0005324	Av_00015421-RA	AT1G50170.3, AT1G50170.2, AT1G50170.1
OG0005325	Av_00012394-RA, Av_00014986-RA, Av_00014978-RA, Av_00014989-RA, Av_00012398-RA, Av_00014980-RA, Av_00012391-RA	AT5G63000.1
OG0005326	Av_00015268-RA, Av_00003166-RA, Av_00008666-RA	AT1G14680.1, AT4G09060.1, AT4G09060.2
OG0005329	Av_00009179-RA, Av_00014776-RA	AT1G12840.1
OG0005330	Av_00009117-RA	AT5G16180.1, AT5G16180.2
OG0005331	Av_00009226-RA, Av_00017616-RA, Av_00013049-RA	AT3G03150.1, AT5G17165.1
OG0005332	Av_00005234-RA	AT2G03667.2, AT2G03667.1
OG0005333	Av_00008464-RA	AT3G03520.2, AT3G03520.1, AT3G03530.1, AT3G03540.1
OG0005334	Av_00013754-RA, Av_00024881-RA	AT1G69030.1, AT1G26300.3, AT1G26300.2, AT1G26300.1
OG0005335	Av_00019762-RA, Av_00022119-RA	AT1G50280.2, AT1G50280.1, AT3G19850.1
OG0005336	Av_00021519-RA	AT1G32200.1, AT1G32200.2
OG0005337	Av_00010810-RA, Av_00006333-RA	AT1G23205.1, AT1G70720.1, AT1G70720.2, AT2G01610.1, AT1G14890.1
OG0005338	Av_00012417-RA, Av_00009300-RA	AT1G18950.3, AT1G18950.1, AT1G18950.2
OG0005339	Av_00009253-RA, Av_00015020-RA, Av_00013807-RA	AT3G48590.1, AT5G63470.1, AT5G63470.2
OG0005341	Av_00023768-RA	AT1G31500.5, AT1G31500.1, AT1G31500.8, AT1G31500.3, AT1G31500.6, AT1G31500.4, AT1G31500.7, AT1G31500.2
OG0005342	Av_00015464-RA	AT1G60420.1
OG0005343	Av_00019460-RA	AT5G45310.2, AT5G45310.1
OG0005344	Av_00001003-RA	AT4G30480.1, AT4G30480.3, AT4G30480.2
OG0005345	Av_00007624-RA, Av_00006359-RA	AT1G25375.1
OG0005346	Av_00024055-RA, Av_00022519-RA	AT1G17980.2, AT1G17980.1
OG0005347	Av_00013968-RA	AT5G37260.1
OG0005347	Av_00020324-RA	AT5G17300.2, AT5G17300.1
OG0005348	Av_00019470-RA, Av_00010841-RA, Av_00022523-RA	AT2G33500.1, AT2G33500.2, AT1G28050.1
OG0005349	Av_00003899-RA	AT5G15870.1
OG0005350	Av_00011729-RA, Av_00024450-RA	AT5G46750.1, AT4G17890.1, AT4G17890.2
OG0005351	Av_00009504-RA, Av_00018890-RA	AT3G03120.2
OG0005351	Av_00017611-RA	AT5G17060.2, AT5G17060.1, AT3G03120.1
OG0005352	Av_00007645-RA	AT1G70750.1
OG0005353	Av_00023104-RA	AT2G27790.3, AT2G27790.4, AT2G27790.1, AT2G27790.2, AT5G27300.3, AT5G27300.2, AT5G27300.1
OG0005354	Av_00005950-RA, Av_00005622-RA, Av_00003685-RA	AT4G04885.1
OG0005355	Av_00012222-RA, Av_00024877-RA	AT5G13200.1, AT5G13200.2
OG0005356	Av_00019615-RA, Av_00021982-RA	AT4G17980.2, AT4G17980.1, AT5G46590.1, AT5G46590.2
OG0005357	Av_00001481-RA	AT5G51170.2, AT5G51170.1, AT5G51170.4, AT5G51170.3
OG0005358	Av_00009549-RA	AT1G48380.1, AT1G48380.2
OG0005359	Av_00018454-RA	AT1G23230.2, AT1G23230.3, AT1G23230.1
OG0005360	Av_00015920-RA	AT5G61060.1, AT5G61060.2, AT5G61070.1, AT5G61050.1
OG0005361	Av_00009104-RA, Av_00015589-RA	AT5G38880.1
OG0005362	Av_00015475-RA, Av_00025042-RA, Av_00025043-RA	AT1G70630.4, AT1G70630.3, AT1G70630.6, AT1G70630.7, AT1G70630.5, AT1G70630.1, AT1G70630.2
OG0005363	Av_00024554-RA	AT1G31360.6, AT1G31360.1, AT1G31360.3, AT1G31360.2, AT1G31360.8, AT1G31360.4, AT1G31360.7, AT1G31360.5
OG0005367	Av_00003099-RA, Av_00003100-RA	AT1G72060.1
OG0005369	Av_00024763-RA, Av_00021768-RA, Av_00003275-RA, Av_00024762-RA	AT3G61960.2, AT3G61960.1
OG0005371	Av_00005172-RA	AT5G65120.2, AT5G65120.1, AT5G10110.1
OG0005377	Av_00014381-RA, Av_00001179-RA, Av_00007024-RA, Av_00011897-RA, Av_00013675-RA, Av_00006495-RA	AT4G26400.1, AT4G26400.2, AT5G56340.1, AT1G55530.1, AT1G55530.2, AT1G55530.3
OG0005395	Av_00022350-RA	AT4G04190.3, AT4G04190.2, AT4G04190.1
OG0005396	Av_00002256-RA	AT2G47020.4, AT2G47020.1, AT2G47020.3, AT2G47020.2, AT2G47020.5
OG0005399	Av_00004932-RA	AT5G58160.1
OG0005400	Av_00001166-RA, Av_00014361-RA	AT5G22950.1
OG0005401	Av_00007358-RA, Av_00006170-RA	AT3G05960.1, AT5G26250.1
OG0005402	Av_00014499-RA	AT3G57030.1
OG0005402	Av_00000693-RA	AT2G41290.1
OG0005403	Av_00006655-RA	AT3G05760.1, AT3G05760.2
OG0005404	Av_00003408-RA	AT1G02300.1, AT1G02305.1, AT4G01610.2, AT4G01610.1
OG0005406	Av_00019376-RA, Av_00019922-RA	AT3G50100.2, AT3G50100.1, AT3G50090.1
OG0005407	Av_00022603-RA, Av_00000645-RA	AT3G21520.1
OG0005408	Av_00013555-RA	AT3G51270.3, AT3G51270.4, AT3G51270.1, AT3G51270.2
OG0005409	Av_00014400-RA, Av_00016558-RA, Av_00006529-RA	AT5G19855.2, AT5G19855.1
OG0005410	Av_00013207-RA	AT5G18210.1, AT5G18210.2, AT3G03980.1
OG0005411	Av_00005844-RA	AT2G39050.1
OG0005412	Av_00003987-RA	AT1G48090.1, AT1G48090.2, AT1G48090.3, AT1G48090.5, AT1G48090.6, AT1G48090.4
OG0005413	Av_00012722-RA, Av_00012723-RA	AT3G45040.2, AT3G45040.1, AT3G45040.3
OG0005414	Av_00002652-RA	AT1G13040.2, AT1G13040.1
OG0005416	Av_00023131-RA	AT3G07750.2, AT3G07750.1
OG0005417	Av_00022703-RA	AT5G27820.1
OG0005418	Av_00007349-RA	AT5G58630.1, AT5G01370.1
OG0005419	Av_00010172-RA	AT2G05170.1
OG0005420	Av_00022193-RA	AT2G32000.2, AT2G32000.1
OG0005423	Av_00018039-RA	AT2G43420.1
OG0005424	Av_00001569-RA, Av_00013559-RA	AT2G43970.1, AT2G43970.2
OG0005425	Av_00005411-RA	AT5G01920.1, AT5G01920.2
OG0005426	Av_00005408-RA, Av_00022704-RA	AT2G38370.2, AT2G38370.1
OG0005427	Av_00012041-RA	AT3G56350.1, AT3G10920.1, AT3G10920.2
OG0005428	Av_00008481-RA	AT1G08260.2, AT1G08260.1, AT2G27120.3, AT2G27120.1, AT2G27120.2
OG0005430	Av_00023297-RA	AT3G24495.2, AT3G24495.1
OG0005431	Av_00024574-RA, Av_00019496-RA	AT3G16370.1
OG0005432	Av_00023065-RA	AT2G27730.1, AT2G27730.4, AT2G27730.3, AT2G27730.2
OG0005433	Av_00009594-RA	AT5G49930.1
OG0005434	Av_00013528-RA, Av_00001555-RA	AT1G08760.1
OG0005435	Av_00021647-RA, Av_00015788-RA, Av_00002862-RA	AT2G37380.1
OG0005436	Av_00015751-RA, Av_00020492-RA	AT5G12370.3, AT5G12370.2, AT5G12370.1
OG0005437	Av_00016272-RA	AT1G54820.3, AT1G54820.4, AT1G54820.2, AT1G54820.1
OG0005438	Av_00002938-RA, Av_00012612-RA, Av_00022177-RA, Av_00022229-RA	AT2G36200.1, AT2G36200.2
OG0005439	Av_00013913-RA	AT5G17620.1
OG0005441	Av_00014380-RA, Av_00014376-RA, Av_00014379-RA	AT3G60050.2, AT3G60050.1, AT1G55630.1
OG0005442	Av_00006110-RA	AT1G06900.1
OG0005443	Av_00005701-RA, Av_00017265-RA	AT2G40090.1
OG0005444	Av_00004793-RA, Av_00003435-RA, Av_00001438-RA, Av_00017088-RA	AT4G28530.1, AT4G28530.2
OG0005445	Av_00012052-RA	AT2G25170.3, AT2G25170.2, AT2G25170.4, AT2G25170.1
OG0005447	Av_00002924-RA, Av_00022215-RA, Av_00020951-RA	AT2G36420.1, AT5G03670.1, AT5G03670.2
OG0005448	Av_00017257-RA, Av_00021384-RA	AT2G40150.1, AT3G55990.1
OG0005449	Av_00017885-RA	AT5G19010.1
OG0005450	Av_00011858-RA	AT1G50450.1
OG0005453	Av_00000676-RA	AT2G42080.1, AT3G58020.1
OG0005454	Av_00006689-RA	AT5G18480.1
OG0005455	Av_00012596-RA, Av_00023820-RA, Av_00020024-RA, Av_00012597-RA, Av_00002913-RA	AT3G10040.1
OG0005457	Av_00015669-RA	AT3G55850.2, AT3G55850.4, AT3G55850.3, AT3G55850.1, AT3G55850.6, AT3G55850.5
OG0005458	Av_00019629-RA	AT3G11964.2, AT3G11964.1
OG0005459	Av_00012622-RA	AT2G45243.1, AT4G34070.1, AT5G06260.1, AT5G06260.3, AT5G06260.2
OG0005460	Av_00019202-RA, Av_00000569-RA	AT5G44060.1, AT1G04000.1, AT3G23440.1
OG0005461	Av_00014719-RA, Av_00008697-RA	AT4G31390.2, AT4G31390.1
OG0005462	Av_00014061-RA, Av_00020518-RA	AT3G11820.1, AT3G11820.2
OG0005463	Av_00009533-RA	AT1G73180.2, AT1G73180.1
OG0005464	Av_00000850-RA, Av_00020968-RA	AT1G02680.1
OG0005466	Av_00009705-RA, Av_00002319-RA	AT3G63410.1
OG0005469	Av_00019445-RA, Av_00004057-RA, Av_00012118-RA	AT1G75990.1, AT1G20200.1
OG0005470	Av_00017619-RA	AT1G04635.1
OG0005471	Av_00010131-RA, Av_00014285-RA	AT3G22310.1, AT3G22310.2, AT3G22330.1
OG0005472	Av_00002645-RA	AT5G17900.1, AT4G08580.1, AT4G08580.2
OG0005473	Av_00022823-RA	AT2G25740.1, AT2G25740.2
OG0005475	Av_00001936-RA, Av_00016310-RA, Av_00011699-RA	AT5G66230.1, AT5G66230.2, AT3G51230.1
OG0005476	Av_00010916-RA, Av_00011465-RA	AT5G08640.1, AT5G08640.2
OG0005477	Av_00019252-RA	AT5G42180.1
OG0005479	Av_00012366-RA, Av_00004528-RA	AT4G34100.2, AT4G34100.1
OG0005480	Av_00013557-RA	AT2G44060.1, AT2G44060.2
OG0005481	Av_00007694-RA, Av_00000332-RA	AT1G61000.1
OG0005482	Av_00003176-RA	AT1G58120.1
OG0005483	Av_00015714-RA	AT4G17190.3, AT4G17190.1, AT5G47770.1
OG0005484	Av_00003618-RA	AT1G71250.1
OG0005484	Av_00011794-RA	AT5G08460.1
OG0005486	Av_00010688-RA	AT4G16745.1, AT4G16745.2
OG0005487	Av_00021769-RA	AT2G46890.1
OG0005488	Av_00011408-RA, Av_00015940-RA	AT3G19640.1
OG0005490	Av_00021961-RA, Av_00021149-RA, Av_00013022-RA, Av_00024018-RA	AT5G53480.1
OG0005491	Av_00007269-RA	AT4G34970.1
OG0005492	Av_00017925-RA, Av_00001985-RA, Av_00009281-RA	AT2G23090.1
OG0005493	Av_00002329-RA, Av_00002328-RA	AT2G32230.2, AT2G32230.1
OG0005494	Av_00018552-RA, Av_00018551-RA	AT3G52905.1
OG0005495	Av_00015369-RA, Av_00024392-RA	AT3G50660.1, AT3G50660.2
OG0005496	Av_00014028-RA, Av_00003146-RA, Av_00010977-RA	AT1G33470.2, AT1G33470.3, AT1G33470.1, AT1G22910.1, AT1G22910.4, AT1G22910.3, AT1G22910.2
OG0005497	Av_00020137-RA	AT4G24270.4, AT4G24270.3, AT4G24270.1, AT4G24270.2
OG0005498	Av_00002130-RA, Av_00023900-RA	AT3G16950.2, AT3G16950.1, AT4G16155.1
OG0005499	Av_00009755-RA, Av_00008809-RA	AT3G19510.2, AT3G19510.1
OG0005501	Av_00011470-RA	AT1G44835.2, AT1G44835.1
OG0005502	Av_00007740-RA	AT2G23470.1
OG0005503	Av_00020169-RA, Av_00003378-RA	AT4G15570.3, AT4G15570.1, AT4G15570.2, AT4G15570.4
OG0005504	Av_00019745-RA, Av_00022714-RA	AT5G08290.1
OG0005506	Av_00010920-RA, Av_00015245-RA, Av_00011469-RA, Av_00000069-RA, Av_00008651-RA, Av_00014685-RA	AT1G21920.2, AT1G21920.1, AT1G77660.1
OG0005507	Av_00010710-RA, Av_00018572-RA	AT4G12110.1, AT4G22756.1, AT4G22755.1
OG0005508	Av_00010205-RA	AT5G22370.1, AT5G22370.2, AT5G22370.3
OG0005509	Av_00014734-RA	AT1G58230.3, AT1G58230.2, AT1G58230.1
OG0005510	Av_00009008-RA, Av_00012103-RA, Av_00019422-RA	AT1G42960.1
OG0005511	Av_00020443-RA	AT4G37610.1, AT5G67480.1, AT5G67480.3, AT5G67480.2
OG0005514	Av_00004930-RA, Av_00003983-RA	AT5G58060.1, AT5G58060.2, AT5G58180.2, AT5G58180.1
OG0005515	Av_00004872-RA, Av_00004064-RA, Av_00021612-RA, Av_00003767-RA, Av_00003764-RA, Av_00019776-RA	AT1G76250.1
OG0005516	Av_00003709-RA	AT3G02870.1, AT3G02870.2, AT3G02870.3
OG0005517	Av_00004828-RA	AT4G28130.1, AT2G20900.3, AT2G20900.2, AT2G20900.4, AT2G20900.1
OG0005519	Av_00008552-RA	AT1G05280.2, AT1G05280.1
OG0005520	Av_00003150-RA, Av_00014032-RA	AT1G22870.1, AT1G22870.2, AT1G22870.3, AT1G22870.4, AT1G71410.1, AT1G71410.2
OG0005521	Av_00019475-RA	AT1G78540.1, AT1G78540.2, AT1G78540.3, AT1G17040.1, AT1G17040.2, AT1G17040.3
OG0005522	Av_00003268-RA	AT4G00870.1
OG0005523	Av_00005286-RA	AT1G03860.2
OG0005523	Av_00006430-RA, Av_00007535-RA	AT4G28510.1
OG0005525	Av_00005899-RA	AT1G28440.1
OG0005526	Av_00008226-RA	AT5G24670.4, AT5G24670.1, AT5G24670.3, AT5G24670.5, AT5G24670.2
OG0005527	Av_00008463-RA	AT2G42770.1
OG0005528	Av_00021839-RA, Av_00011634-RA	AT5G40740.1
OG0005529	Av_00006197-RA	AT4G03960.1
OG0005530	Av_00016865-RA, Av_00011053-RA	AT2G46520.1
OG0005531	Av_00019134-RA, Av_00012752-RA	AT3G07800.1
OG0005532	Av_00018604-RA	AT1G12060.1
OG0005533	Av_00014096-RA, Av_00005893-RA	AT2G34040.3, AT2G34040.1, AT2G34040.2, AT1G29030.1, AT1G29030.2
OG0005534	Av_00019124-RA, Av_00010189-RA	AT4G15410.1
OG0005534	Av_00005977-RA, Av_00005599-RA	AT4G04210.1, AT4G22150.1
OG0005535	Av_00010761-RA, Av_00019491-RA	AT1G04170.1, AT1G04170.2
OG0005536	Av_00002403-RA	AT5G54290.1, AT5G54290.2
OG0005537	Av_00022839-RA	AT3G23760.1, AT4G14100.1
OG0005538	Av_00018830-RA, Av_00018649-RA	AT2G26300.1, AT2G26300.2
OG0005539	Av_00024610-RA	AT5G11750.1, AT5G11750.2, AT4G11630.1, AT1G24240.2, AT1G24240.1
OG0005541	Av_00007650-RA, Av_00006332-RA	AT5G10800.1, AT5G10800.3, AT5G10800.2, AT5G25060.1
OG0005543	Av_00020198-RA, Av_00012798-RA	AT5G25450.2, AT5G25450.3, AT5G25450.1, AT4G32470.2, AT4G32470.1
OG0005544	Av_00009801-RA	AT5G20810.1, AT5G20810.2, AT3G43120.1
OG0005545	Av_00019453-RA	AT4G13400.1, AT4G13400.2
OG0005546	Av_00001992-RA	AT3G56510.1, AT3G56510.3, AT3G56510.4, AT3G56510.2, AT3G56510.5
OG0005547	Av_00021037-RA	AT4G23330.3, AT4G23330.2, AT4G23330.4, AT4G23330.1
OG0005549	Av_00006799-RA, Av_00006798-RA, Av_00008003-RA, Av_00006800-RA	AT3G16290.1
OG0005550	Av_00018219-RA, Av_00001026-RA	AT3G10700.1, AT3G10700.2, AT3G10700.3
OG0005551	Av_00014605-RA, Av_00008560-RA	AT2G45260.1
OG0005552	Av_00007130-RA	AT2G24430.2, AT2G24430.1
OG0005553	Av_00022342-RA, Av_00014470-RA, Av_00013186-RA, Av_00021877-RA	AT2G42280.2, AT2G42280.3, AT2G42280.1
OG0005554	Av_00018152-RA	AT1G80420.4, AT1G80420.1, AT1G80420.2, AT1G80420.5, AT1G80420.3
OG0005556	Av_00007887-RA, Av_00000177-RA	AT4G11160.3, AT4G11160.1, AT4G11160.2
OG0005557	Av_00018153-RA	AT3G54540.2, AT3G54540.1
OG0005558	Av_00010357-RA	AT2G35720.1
OG0005559	Av_00017830-RA	AT5G61930.2, AT5G61930.1
OG0005560	Av_00004494-RA, Av_00012320-RA	AT2G23950.1, AT2G23950.2, AT4G30520.1
OG0005562	Av_00013915-RA, Av_00013918-RA	AT4G20960.1
OG0005563	Av_00016830-RA	AT5G07590.4, AT5G07590.2, AT5G07590.3, AT5G07590.1
OG0005564	Av_00021260-RA, Av_00001085-RA	AT4G31420.1, AT4G31420.2, AT2G24500.1
OG0005565	Av_00024069-RA, Av_00004136-RA	AT1G79810.2, AT1G79810.1
OG0005566	Av_00005510-RA, Av_00006093-RA, Av_00010406-RA	AT4G23030.1
OG0005567	Av_00004636-RA, Av_00004247-RA	AT4G13250.2, AT4G13250.1
OG0005568	Av_00017956-RA, Av_00008333-RA	AT5G58100.2, AT5G58100.1
OG0005569	Av_00019885-RA	AT1G17410.3, AT1G17410.1, AT1G17410.2
OG0005570	Av_00016878-RA	AT3G60880.2, AT3G60880.1, AT2G45440.1
OG0005571	Av_00018645-RA	AT3G20270.5, AT3G20270.2, AT3G20270.6, AT3G20270.4, AT3G20270.1, AT3G20270.3
OG0005572	Av_00010500-RA	AT5G24970.2, AT5G24970.3, AT5G24970.1
OG0005573	Av_00008739-RA	AT4G33150.1, AT4G33150.4, AT4G33150.2
OG0005574	Av_00011442-RA, Av_00010882-RA, Av_00015220-RA, Av_00003223-RA, Av_00013914-RA	AT3G61250.1
OG0005575	Av_00003629-RA, Av_00007510-RA	AT2G26330.1
OG0005576	Av_00005434-RA, Av_00018588-RA, Av_00006048-RA	AT4G16820.1
OG0005577	Av_00024163-RA	AT4G23860.2, AT4G23860.3, AT4G23860.1, AT4G23860.4
OG0005578	Av_00001089-RA	AT4G31320.1, AT2G24400.1
OG0005579	Av_00019798-RA	AT3G57170.2, AT3G57170.1
OG0005580	Av_00005952-RA, Av_00005619-RA	AT1G61850.2, AT1G61850.1
OG0005581	Av_00004511-RA	AT2G06040.1
OG0005583	Av_00017595-RA, Av_00013071-RA	AT1G16810.1, AT1G16810.3, AT1G16810.2
OG0005584	Av_00012934-RA	AT5G23870.4, AT5G23870.1, AT5G23870.3, AT5G23870.2
OG0005585	Av_00014563-RA, Av_00010402-RA	AT4G11790.1
OG0005586	Av_00023411-RA	AT4G32770.1
OG0005589	Av_00004662-RA, Av_00020201-RA, Av_00018254-RA	AT5G11260.2, AT5G11260.1
OG0005590	Av_00020285-RA, Av_00000698-RA	AT2G41190.2, AT2G41190.1
OG0005591	Av_00007090-RA	AT4G31830.1
OG0005592	Av_00010745-RA, Av_00022377-RA	AT1G53750.1
OG0005593	Av_00005536-RA, Av_00006055-RA	AT4G17360.3, AT4G17360.2, AT4G17360.1, AT5G47435.2, AT5G47435.1
OG0005595	Av_00017598-RA	AT2G03070.1
OG0005596	Av_00003030-RA, Av_00005456-RA, Av_00010390-RA	AT1G12420.1, AT1G12420.2
OG0005597	Av_00011020-RA	AT2G24765.2
OG0005598	Av_00010356-RA, Av_00014527-RA	AT2G35710.4, AT2G35710.3, AT2G35710.1, AT4G16600.1, AT2G35710.2
OG0005599	Av_00014694-RA, Av_00000074-RA, Av_00011476-RA	AT4G10840.2, AT4G10840.1
OG0005601	Av_00006060-RA	AT4G16650.1, AT4G16650.2
OG0005602	Av_00013889-RA, Av_00003198-RA	AT2G45480.2, AT2G45480.3, AT2G45480.1
OG0005603	Av_00005867-RA, Av_00004043-RA, Av_00004891-RA, Av_00021626-RA	AT2G03500.1
OG0005604	Av_00007126-RA	AT4G31240.2, AT4G31240.1
OG0005605	Av_00020133-RA, Av_00004121-RA	AT3G21270.1, AT1G51700.1
OG0005606	Av_00008763-RA	AT2G06005.4, AT2G06005.6, AT2G06005.5, AT2G06005.3, AT2G06005.2, AT2G06005.1, AT5G20580.1, AT5G20580.2
OG0005608	Av_00019974-RA, Av_00019973-RA	AT1G08840.1, AT1G08840.5, AT1G08840.2, AT1G08840.3, AT1G08840.4
OG0005611	Av_00018652-RA	AT3G13230.1, AT3G13230.2
OG0005612	Av_00003136-RA, Av_00014019-RA	AT2G36900.2, AT2G36900.3, AT2G36900.1, AT5G50440.1, AT5G50440.2
OG0005613	Av_00007056-RA, Av_00011930-RA	AT3G10370.1
OG0005614	Av_00017073-RA, Av_00020715-RA	AT5G05610.1, AT5G05610.2
OG0005615	Av_00018717-RA	AT3G10380.1, AT3G10380.2
OG0005617	Av_00022291-RA, Av_00018077-RA	AT5G48030.1
OG0005618	Av_00021306-RA, Av_00003045-RA	AT5G56020.2, AT5G56020.1, AT4G26550.1, AT4G26550.2
OG0005619	Av_00024097-RA	AT1G06570.1, AT1G06570.2
OG0005620	Av_00022452-RA, Av_00010731-RA	AT3G45830.1
OG0005621	Av_00013128-RA, Av_00023564-RA, Av_00020593-RA, Av_00006725-RA	AT2G40970.1
OG0005622	Av_00002911-RA	AT2G36640.1, AT2G36640.2, AT3G53040.1
OG0005623	Av_00000867-RA	AT2G34680.1, AT2G34680.2
OG0005624	Av_00015210-RA	AT3G23580.1
OG0005625	Av_00010314-RA, Av_00002971-RA	AT1G61670.1, AT1G61670.2
OG0005626	Av_00002840-RA, Av_00016393-RA	AT3G53720.2, AT3G53720.1
OG0005629	Av_00004994-RA	AT3G55440.1
OG0005630	Av_00010293-RA, Av_00005071-RA, Av_00024240-RA	AT3G11630.1, AT5G06290.1
OG0005631	Av_00023498-RA	AT5G55760.1
OG0005632	Av_00005640-RA	AT4G21540.3, AT4G21540.1, AT4G21540.2, AT4G21534.1, AT4G21534.2
OG0005633	Av_00013301-RA	AT5G58720.3, AT5G58720.2, AT5G58720.1
OG0005634	Av_00012708-RA, Av_00018506-RA	AT5G60690.1
OG0005635	Av_00020037-RA, Av_00000869-RA	AT1G55900.2, AT1G55900.1
OG0005636	Av_00015652-RA, Av_00005073-RA	AT3G08860.2, AT3G08860.1, AT2G38400.2, AT2G38400.1
OG0005637	Av_00004428-RA, Av_00012281-RA	AT4G34430.4, AT4G34430.2, AT4G34430.1, AT4G34430.3
OG0005638	Av_00007020-RA	AT1G55320.1, AT1G55320.2
OG0005639	Av_00006169-RA	AT3G47000.1, AT3G47050.1, AT3G47010.2, AT3G47010.1, AT3G47040.1, AT3G47040.4
OG0005640	Av_00008971-RA, Av_00005594-RA, Av_00005983-RA	AT1G62420.1, AT1G12030.1
OG0005641	Av_00023923-RA, Av_00021431-RA	AT4G28250.2, AT4G28250.3, AT4G28250.4, AT4G28250.1, AT2G20750.2, AT2G20750.1
OG0005643	Av_00002790-RA	AT2G41050.3, AT2G41050.1, AT2G41050.2, AT2G41050.4, AT2G41050.5, AT4G20100.1
OG0005645	Av_00017167-RA	AT5G60040.1, AT5G60040.2
OG0005646	Av_00016562-RA	AT5G12920.2, AT5G12920.7, AT5G12920.8, AT5G12920.3, AT5G12920.1, AT5G12920.6, AT5G12920.5, AT5G12920.4
OG0005647	Av_00019334-RA	AT3G53250.1, AT3G53250.2, AT2G37030.1, AT5G03310.1
OG0005648	Av_00013420-RA	AT3G53680.1, AT3G53680.2, AT2G37520.1
OG0005650	Av_00017317-RA	AT2G27680.1
OG0005651	Av_00002405-RA, Av_00015778-RA	AT5G41970.1
OG0005652	Av_00003646-RA, Av_00005895-RA	AT5G45980.1, AT2G33880.2, AT2G33880.1
OG0005653	Av_00012740-RA	AT3G21670.1
OG0005654	Av_00011208-RA	AT5G53860.1, AT5G53860.5, AT5G53860.4, AT5G53860.2, AT5G53860.3
OG0005655	Av_00007046-RA, Av_00013660-RA, Av_00006478-RA	AT5G58330.3, AT5G58330.2, AT5G58330.1
OG0005656	Av_00005692-RA, Av_00017261-RA	AT2G40120.1
OG0005657	Av_00002808-RA	AT3G11773.1, AT3G11773.2, AT5G06470.1
OG0005658	Av_00007059-RA	AT3G10360.1
OG0005659	Av_00009266-RA, Av_00015014-RA	AT3G13070.1, AT1G55930.2, AT1G55930.1, AT4G00925.1
OG0005660	Av_00002398-RA, Av_00015780-RA	AT4G27390.1
OG0005661	Av_00006554-RA	AT2G26780.1, AT2G26780.2
OG0005662	Av_00016555-RA	AT3G21055.1, AT3G21055.2, AT1G51400.1
OG0005663	Av_00001225-RA, Av_00008112-RA, Av_00014893-RA	AT2G26920.1, AT5G12120.1
OG0005664	Av_00001188-RA, Av_00014392-RA	AT3G32940.1
OG0005667	Av_00001691-RA, Av_00017657-RA	AT4G21105.2, AT4G21105.1, AT4G21105.3
OG0005668	Av_00010327-RA, Av_00014508-RA	AT3G13410.1
OG0005669	Av_00015922-RA, Av_00010503-RA, Av_00009332-RA, Av_00009333-RA	AT5G08010.1, AT5G61040.1
OG0005670	Av_00011943-RA	AT2G32990.1
OG0005671	Av_00025017-RA, Av_00018765-RA	AT1G36623.1, AT1G78510.1, AT1G78510.2, AT1G17050.1
OG0005672	Av_00024626-RA	AT1G30540.4, AT1G30540.1, AT1G30540.2, AT1G30540.3
OG0005675	Av_00015449-RA	AT1G30090.1
OG0005676	Av_00021466-RA	AT3G10180.2, AT3G10180.1
OG0005677	Av_00007894-RA	AT1G50710.1
OG0005678	Av_00014425-RA, Av_00001239-RA, Av_00014426-RA	AT3G24080.4, AT3G24080.3, AT3G24080.2, AT3G24080.1
OG0005679	Av_00009762-RA, Av_00008794-RA	AT3G19420.1
OG0005680	Av_00002655-RA, Av_00005350-RA, Av_00019391-RA, Av_00007759-RA	AT1G13020.1, AT3G26400.1
OG0005681	Av_00004201-RA, Av_00016008-RA, Av_00010209-RA	AT4G37630.2, AT4G37630.3, AT4G37630.1
OG0005682	Av_00008772-RA, Av_00009779-RA	AT1G20580.1
OG0005684	Av_00005947-RA, Av_00005948-RA	AT5G63140.1
OG0005686	Av_00023044-RA	AT2G02560.1, AT2G02560.2
OG0005687	Av_00018299-RA	AT2G21070.2, AT2G21070.1, AT2G21070.3
OG0005688	Av_00015856-RA	AT3G26670.1, AT3G26670.2, AT3G26670.4, AT3G26670.3
OG0005689	Av_00000461-RA, Av_00021590-RA, Av_00001966-RA	AT2G18350.1
OG0005690	Av_00003357-RA	AT5G51970.2, AT5G51970.1
OG0005691	Av_00000585-RA	AT4G14410.2, AT4G14410.3, AT4G14410.1
OG0005692	Av_00009336-RA	AT2G27490.1, AT2G27490.2, AT2G27490.4, AT2G27490.3
OG0005695	Av_00006280-RA	AT4G24480.2, AT4G24480.1, AT4G24480.3
OG0005696	Av_00014644-RA, Av_00000021-RA, Av_00024509-RA	AT5G08620.1, AT5G08610.1, AT5G63630.1, AT5G63630.2
