Orthogroup	A_vesiculosa.proteins	B_vulgaris.proteins
OG0005638	Av_00007020-RA	Bevul.4G247700.1.p
OG0005639	Av_00006169-RA	Bevul.7G194800.1.p, Bevul.7G194900.1.p
OG0005640	Av_00008971-RA, Av_00005594-RA, Av_00005983-RA	Bevul.8G045000.1.p
OG0005641	Av_00023923-RA, Av_00021431-RA	Bevul.9G071200.1.p
OG0005642	Av_00019260-RA, Av_00014087-RA, Av_00014039-RA	Bevul.5G130700.1.p
OG0005643	Av_00002790-RA	Bevul.5G132700.1.p
OG0005645	Av_00017167-RA	Bevul.1G019500.1.p, Bevul.3G156600.1.p
OG0005646	Av_00016562-RA	Bevul.4G241300.1.p
OG0005647	Av_00019334-RA	Bevul.7G132100.1.p
OG0005648	Av_00013420-RA	Bevul.7G067900.1.p
OG0005649	Av_00017284-RA, Av_00005727-RA	Bevul.2G226800.1.p
OG0005650	Av_00017317-RA	Bevul.7G230100.1.p
OG0005651	Av_00002405-RA, Av_00015778-RA	Bevul.2G244000.1.p
OG0005652	Av_00003646-RA, Av_00005895-RA	Bevul.8G017800.1.p
OG0005653	Av_00012740-RA	Bevul.2G125200.1.p
OG0005654	Av_00011208-RA	Bevul.4G064000.1.p
OG0005655	Av_00007046-RA, Av_00013660-RA, Av_00006478-RA	Bevul.4G098900.1.p
OG0005656	Av_00005692-RA, Av_00017261-RA	Bevul.2G243100.1.p
OG0005657	Av_00001371-RA	Bevul.4G107400.1.p
OG0005659	Av_00009266-RA, Av_00015014-RA	Bevul.4G011200.1.p
OG0005660	Av_00002398-RA, Av_00015780-RA	Bevul.4G053500.1.p
OG0005661	Av_00006554-RA	Bevul.4G220100.1.p
OG0005662	Av_00016555-RA	Bevul.4G234300.1.p
OG0005663	Av_00001225-RA, Av_00008112-RA, Av_00014893-RA	Bevul.4G217700.1.p
OG0005664	Av_00001188-RA, Av_00014392-RA	Bevul.4G246000.1.p
OG0005665	Av_00016893-RA	Bevul.9G040200.1.p
OG0005666	Av_00004938-RA, Av_00020531-RA	Bevul.2G189300.1.p
OG0005667	Av_00001691-RA	Bevul.7G141700.1.p
OG0005667	Av_00017657-RA	Bevul.9G000500.1.p
OG0005668	Av_00010327-RA, Av_00014508-RA	Bevul.2G205400.1.p
OG0005669	Av_00015922-RA, Av_00010503-RA, Av_00009332-RA, Av_00009333-RA	Bevul.5G177600.1.p
OG0005670	Av_00011943-RA	Bevul.6G153900.1.p
OG0005671	Av_00025017-RA, Av_00018765-RA	Bevul.4G087200.1.p
OG0005673	Av_00024844-RA	Bevul.2G191600.1.p
OG0005674	Av_00011566-RA, Av_00000160-RA	Bevul.4G025100.1.p
OG0005675	Av_00015449-RA	Bevul.8G010300.1.p
OG0005676	Av_00021466-RA	Bevul.3G205700.1.p
OG0005677	Av_00007894-RA	Bevul.2G075200.1.p
OG0005678	Av_00014425-RA, Av_00001239-RA, Av_00014426-RA	Bevul.4G211600.1.p
OG0005679	Av_00000313-RA	Bevul.6G006600.1.p
OG0005679	Av_00009762-RA, Av_00008794-RA	Bevul.9G237400.1.p
OG0005680	Av_00002655-RA, Av_00005350-RA, Av_00019391-RA, Av_00007759-RA	Bevul.6G175600.1.p
OG0005681	Av_00004201-RA, Av_00016008-RA, Av_00010209-RA	Bevul.1G007000.1.p, Bevul.6G013100.1.p
OG0005682	Av_00008772-RA, Av_00009779-RA	Bevul.9G122000.1.p
OG0005684	Av_00005947-RA, Av_00005948-RA	Bevul.2G080200.1.p
OG0005686	Av_00023044-RA	Bevul.6G157900.1.p
OG0005687	Av_00018299-RA	Bevul.9G139400.1.p
OG0005688	Av_00015856-RA, Av_00015855-RA	Bevul.6G165100.1.p
OG0005689	Av_00000461-RA, Av_00021590-RA, Av_00001966-RA	Bevul.6G020100.1.p
OG0005690	Av_00003357-RA	Bevul.3G079000.1.p
OG0005691	Av_00000585-RA	Bevul.3G011900.1.p
OG0005692	Av_00009336-RA	Bevul.1G197000.1.p, Bevul.4G043500.1.p
OG0005695	Av_00006280-RA	Bevul.1G169000.1.p
OG0005696	Av_00014644-RA, Av_00000021-RA, Av_00024509-RA	Bevul.1G189700.1.p
OG0005697	Av_00014382-RA	Bevul.4G147300.1.p
OG0005698	Av_00018726-RA	Bevul.2G044200.1.p, Bevul.2G044200.2.p, Bevul.2G044200.3.p
OG0005699	Av_00004812-RA	Bevul.5G232600.1.p
OG0005701	Av_00020417-RA	Bevul.6G037600.1.p
OG0005702	Av_00005740-RA, Av_00017296-RA	Bevul.2G233600.1.p
OG0005703	Av_00016305-RA	Bevul.5G085400.1.p
OG0005704	Av_00017461-RA	Bevul.3G162100.1.p
OG0005705	Av_00018591-RA, Av_00010683-RA	Bevul.5G062400.1.p
OG0005706	Av_00020892-RA, Av_00017793-RA	Bevul.1G214900.1.p
OG0005707	Av_00021892-RA, Av_00013806-RA	Bevul.5G155900.1.p
OG0005711	Av_00001374-RA	Bevul.6G207700.1.p
OG0005712	Av_00003264-RA	Bevul.1G196100.1.p
OG0005713	Av_00021329-RA	Bevul.6G105100.1.p
OG0005714	Av_00022100-RA	Bevul.4G151100.1.p
OG0005715	Av_00000468-RA, Av_00021576-RA	Bevul.6G028400.1.p
OG0005716	Av_00009238-RA, Av_00015037-RA	Bevul.5G165900.1.p
OG0005717	Av_00007424-RA, Av_00004859-RA, Av_00012097-RA	Bevul.1G049400.1.p
OG0005718	Av_00000358-RA, Av_00021691-RA	Bevul.6G069600.1.p
OG0005720	Av_00017076-RA	Bevul.3G125900.1.p, Bevul.8G027300.1.p
OG0005722	Av_00016405-RA, Av_00013433-RA	Bevul.4G220800.1.p
OG0005723	Av_00001822-RA	Bevul.6G151800.1.p
OG0005724	Av_00009622-RA	Bevul.7G115700.1.p
OG0005725	Av_00010144-RA	Bevul.9G051800.1.p
OG0005726	Av_00000300-RA	Bevul.6G002100.1.p
OG0005727	Av_00020800-RA, Av_00015873-RA, Av_00014059-RA	Bevul.5G047600.1.p
OG0005728	Av_00019642-RA	Bevul.3G161300.1.p
OG0005729	Av_00024391-RA, Av_00001874-RA	Bevul.6G084500.1.p
OG0005730	Av_00018585-RA, Av_00006052-RA, Av_00005539-RA, Av_00005441-RA	Bevul.5G069000.1.p
OG0005731	Av_00015261-RA	Bevul.1G109700.1.p
OG0005732	Av_00020382-RA	Bevul.3G060200.1.p
OG0005733	Av_00011173-RA	Bevul.9G171200.3.p, Bevul.9G171200.1.p, Bevul.9G171200.2.p
OG0005735	Av_00004199-RA	Bevul.1G006700.1.p
OG0005736	Av_00003429-RA, Av_00023547-RA	Bevul.5G241800.1.p
OG0005737	Av_00012939-RA	Bevul.4G173100.1.p
OG0005738	Av_00000746-RA	Bevul.7G109900.1.p
OG0005740	Av_00006642-RA	Bevul.4G169300.1.p
OG0005742	Av_00013581-RA	Bevul.2G168500.1.p
OG0005743	Av_00005266-RA, Av_00007550-RA	Bevul.6G234700.1.p
OG0005744	Av_00005786-RA	Bevul.2G198700.1.p, Bevul.2G198700.2.p
OG0005745	Av_00010937-RA	Bevul.2G199300.1.p
OG0005746	Av_00005337-RA, Av_00002661-RA	Bevul.6G186900.1.p
OG0005747	Av_00021708-RA	Bevul.5G093300.1.p
OG0005748	Av_00013765-RA, Av_00001788-RA, Av_00001789-RA	Bevul.3G125400.1.p
OG0005749	Av_00019386-RA	Bevul.1G145100.1.p
OG0005750	Av_00002683-RA, Av_00006452-RA	Bevul.6G185700.1.p
OG0005751	Av_00007541-RA	Bevul.6G244400.1.p
OG0005752	Av_00014958-RA	Bevul.1G144000.1.p
OG0005753	Av_00022469-RA, Av_00021119-RA	Bevul.5G084500.1.p
OG0005754	Av_00019595-RA	Bevul.4G098500.1.p
OG0005755	Av_00019751-RA, Av_00024356-RA, Av_00004708-RA	Bevul.9G008400.1.p
OG0005756	Av_00015486-RA, Av_00023093-RA	Bevul.6G185400.1.p
OG0005758	Av_00011759-RA, Av_00017505-RA	Bevul.5G124900.1.p
OG0005759	Av_00024746-RA	Bevul.5G106200.1.p
OG0005760	Av_00013874-RA, Av_00011263-RA	Bevul.5G191900.1.p
OG0005761	Av_00013761-RA	Bevul.5G177200.1.p
OG0005762	Av_00016985-RA, Av_00006385-RA	Bevul.6G078100.1.p
OG0005763	Av_00016738-RA	Bevul.4G120800.1.p, Bevul.3G192800.1.p
OG0005764	Av_00011198-RA, Av_00013814-RA	Bevul.5G153000.1.p
OG0005765	Av_00005397-RA	Bevul.6G123500.1.p
OG0005766	Av_00006429-RA	Bevul.6G243000.1.p
OG0005767	Av_00001799-RA	Bevul.5G176800.1.p, Bevul.5G176600.1.p
OG0005769	Av_00000533-RA, Av_00011249-RA	Bevul.5G183800.1.p
OG0005771	Av_00008925-RA	Bevul.5G147400.1.p
OG0005772	Av_00009309-RA, Av_00012423-RA	Bevul.5G192100.1.p
OG0005773	Av_00010252-RA	Bevul.9G008900.1.p, Bevul.9G008900.2.p, Bevul.9G008900.3.p
OG0005774	Av_00002566-RA, Av_00018462-RA	Bevul.6G142400.1.p
OG0005776	Av_00021661-RA, Av_00020712-RA, Av_00020713-RA	Bevul.5G087700.1.p
OG0005779	Av_00023109-RA	Bevul.5G205300.1.p
OG0005780	Av_00018589-RA, Av_00010332-RA	Bevul.5G073700.1.p
OG0005781	Av_00013795-RA	Bevul.4G181600.1.p
OG0005782	Av_00017702-RA	Bevul.5G215100.1.p
OG0005783	Av_00006450-RA	Bevul.6G184000.1.p, Bevul.2G098200.1.p
OG0005784	Av_00018600-RA	Bevul.2G073800.1.p
OG0005785	Av_00005054-RA	Bevul.6G038900.1.p
OG0005786	Av_00005429-RA, Av_00002995-RA	Bevul.2G068300.1.p, Bevul.2G068300.2.p
OG0005787	Av_00013228-RA, Av_00018774-RA	Bevul.3G102000.1.p
OG0005788	Av_00003315-RA, Av_00017010-RA	Bevul.6G125100.1.p
OG0005789	Av_00011303-RA	Bevul.3G202000.1.p
OG0005790	Av_00019747-RA	Bevul.9G007900.3.p, Bevul.9G007900.2.p, Bevul.9G007900.4.p, Bevul.9G007900.1.p
OG0005791	Av_00001729-RA	Bevul.5G205200.1.p, Bevul.7G149000.1.p, Bevul.5G205100.1.p
OG0005793	Av_00003900-RA, Av_00003901-RA	Bevul.9G105400.1.p
OG0005797	Av_00016287-RA, Av_00022102-RA	Bevul.4G198900.1.p
OG0005799	Av_00003139-RA, Av_00014022-RA, Av_00014706-RA, Av_00008684-RA	Bevul.1G138400.1.p
OG0005824	Av_00015054-RA, Av_00009215-RA	Bevul.3G030800.1.p, Bevul.3G030600.1.p, Bevul.3G030700.1.p
OG0005825	Av_00005799-RA, Av_00012184-RA	Bevul.2G193400.1.p, Bevul.2G193400.2.p, Bevul.2G193400.3.p
OG0005826	Av_00017353-RA	Bevul.5G259400.1.p
OG0005827	Av_00014844-RA	Bevul.4G171800.1.p
OG0005828	Av_00008135-RA, Av_00014909-RA	Bevul.4G237200.1.p, Bevul.4G238200.1.p
OG0005829	Av_00016787-RA, Av_00016788-RA	Bevul.4G155200.1.p, Bevul.4G155100.1.p
OG0005830	Av_00005693-RA	Bevul.2G242900.1.p, Bevul.2G242900.2.p
OG0005831	Av_00012564-RA	Bevul.7G064500.1.p, Bevul.7G064500.3.p, Bevul.7G064500.2.p
OG0005832	Av_00008090-RA, Av_00006965-RA, Av_00011818-RA	Bevul.6G229500.1.p, Bevul.7G221400.1.p, Bevul.4G209100.1.p
OG0005836	Av_00011172-RA, Av_00021535-RA	Bevul.9G171100.1.p
OG0005837	Av_00015675-RA, Av_00005089-RA	Bevul.7G026800.1.p, Bevul.7G026600.1.p
OG0005839	Av_00001492-RA, Av_00019953-RA	Bevul.7G106300.1.p
OG0005840	Av_00002122-RA, Av_00017448-RA	Bevul.3G004800.1.p
OG0005843	Av_00008129-RA, Av_00014904-RA	Bevul.4G229000.1.p
OG0005844	Av_00003693-RA, Av_00007471-RA	Bevul.7G025300.1.p
OG0005845	Av_00004025-RA, Av_00021099-RA	Bevul.1G016200.1.p
OG0005847	Av_00021551-RA, Av_00000667-RA	Bevul.8G138900.1.p
OG0005848	Av_00006972-RA	Bevul.5G015100.1.p
OG0005849	Av_00016518-RA, Av_00006580-RA	Bevul.4G210000.1.p
OG0005850	Av_00000985-RA, Av_00018184-RA	Bevul.9G239100.1.p
OG0005851	Av_00011678-RA	Bevul.6G103700.1.p
OG0005852	Av_00019521-RA, Av_00019064-RA	Bevul.5G241300.1.p
OG0005853	Av_00024846-RA, Av_00022426-RA	Bevul.5G104000.1.p
OG0005854	Av_00014432-RA, Av_00006578-RA, Av_00014872-RA, Av_00011816-RA, Av_00016520-RA	Bevul.4G209700.1.p
OG0005855	Av_00017052-RA, Av_00019199-RA, Av_00000575-RA	Bevul.3G003100.1.p
OG0005856	Av_00011432-RA	Bevul.9G070800.1.p, Bevul.3G058600.1.p, Bevul.3G058400.1.p, Bevul.3G058500.1.p
OG0005857	Av_00016477-RA	Bevul.1G216800.1.p
OG0005858	Av_00008057-RA, Av_00006750-RA	Bevul.4G128100.1.p
OG0005859	Av_00004601-RA	Bevul.9G141300.1.p, Bevul.9G141300.3.p, Bevul.9G141300.2.p
OG0005860	Av_00014289-RA	Bevul.9G013500.2.p, Bevul.9G013500.1.p, Bevul.9G013500.3.p
OG0005861	Av_00014058-RA	Bevul.5G048700.1.p
OG0005863	Av_00014900-RA	Bevul.4G221900.1.p
OG0005865	Av_00018680-RA, Av_00024722-RA	Bevul.5G097600.1.p
OG0005866	Av_00017861-RA	Bevul.6G119000.1.p
OG0005867	Av_00015949-RA	Bevul.9G216600.3.p, Bevul.9G216600.5.p, Bevul.9G216600.1.p, Bevul.9G216600.4.p, Bevul.9G216600.2.p
OG0005868	Av_00017049-RA	Bevul.3G001900.1.p, Bevul.3G004400.1.p
OG0005869	Av_00014749-RA, Av_00000543-RA	Bevul.3G129000.1.p
OG0005870	Av_00001388-RA, Av_00024480-RA, Av_00017566-RA, Av_00006262-RA	Bevul.9G173600.1.p
OG0005871	Av_00002177-RA, Av_00013545-RA	Bevul.3G126700.1.p
OG0005873	Av_00010902-RA	Bevul.8G147000.1.p
OG0005874	Av_00021284-RA	Bevul.2G038700.3.p, Bevul.2G038700.1.p, Bevul.2G038700.2.p
OG0005875	Av_00009514-RA	Bevul.4G080700.1.p, Bevul.2G073300.1.p, Bevul.2G073200.1.p
OG0005876	Av_00014082-RA	Bevul.5G047200.1.p
OG0005877	Av_00020750-RA, Av_00022178-RA, Av_00006751-RA	Bevul.3G235000.1.p
OG0005878	Av_00001525-RA	Bevul.7G074100.1.p
OG0005879	Av_00001532-RA, Av_00013508-RA	Bevul.3G003600.1.p
OG0005880	Av_00014873-RA, Av_00008088-RA, Av_00001245-RA, Av_00014431-RA	Bevul.4G209500.1.p
OG0005881	Av_00014072-RA, Av_00020555-RA, Av_00020369-RA	Bevul.5G140300.1.p
OG0005882	Av_00019891-RA, Av_00021017-RA	Bevul.9G082200.2.p, Bevul.8G024400.1.p, Bevul.9G082200.1.p, Bevul.9G082200.3.p
OG0005883	Av_00018069-RA	Bevul.2G188000.1.p
OG0005884	Av_00010106-RA	Bevul.9G000600.4.p, Bevul.9G000600.5.p, Bevul.9G000600.1.p, Bevul.9G000600.2.p, Bevul.9G000600.3.p
OG0005885	Av_00001446-RA	Bevul.5G254600.1.p
OG0005886	Av_00017871-RA, Av_00013244-RA	Bevul.9G114300.1.p
OG0005887	Av_00008020-RA, Av_00006780-RA	Bevul.9G110200.1.p, Bevul.9G110200.5.p, Bevul.9G110200.3.p, Bevul.9G110200.2.p, Bevul.9G110200.4.p
OG0005888	Av_00003856-RA	Bevul.2G244600.1.p
OG0005890	Av_00017540-RA	Bevul.5G251500.1.p
OG0005891	Av_00023408-RA	Bevul.2G117700.2.p, Bevul.2G117700.1.p, Bevul.2G117300.1.p
OG0005893	Av_00007809-RA	Bevul.6G007900.1.p
OG0005895	Av_00006140-RA, Av_00019686-RA	Bevul.7G207400.1.p
OG0005896	Av_00016266-RA	Bevul.4G147700.1.p
OG0005897	Av_00012652-RA	Bevul.8G121800.1.p
OG0005898	Av_00015570-RA, Av_00009077-RA	Bevul.3G002600.1.p, Bevul.5G206600.1.p
OG0005899	Av_00016150-RA, Av_00006696-RA	Bevul.4G130400.1.p
OG0005900	Av_00015471-RA	Bevul.6G182800.1.p
OG0005901	Av_00024680-RA, Av_00001588-RA	Bevul.3G136600.1.p
OG0005902	Av_00014882-RA, Av_00008095-RA	Bevul.4G212000.1.p
OG0005903	Av_00009140-RA, Av_00014754-RA	Bevul.3G117800.1.p
OG0005904	Av_00003756-RA	Bevul.1G044400.1.p
OG0005905	Av_00023151-RA	Bevul.9G173900.1.p
OG0005907	Av_00009011-RA	Bevul.1G040700.1.p
OG0005908	Av_00009882-RA	Bevul.9G162400.3.p, Bevul.9G162400.2.p, Bevul.9G162400.1.p, Bevul.9G162400.4.p, Bevul.9G162300.1.p
OG0005909	Av_00011396-RA, Av_00015958-RA	Bevul.9G145700.1.p
OG0005910	Av_00023222-RA, Av_00010970-RA	Bevul.1G096400.1.p
OG0005911	Av_00011471-RA, Av_00000070-RA, Av_00008652-RA, Av_00015247-RA, Av_00010921-RA	Bevul.1G218400.1.p
OG0005913	Av_00003938-RA	Bevul.6G061000.1.p
OG0005914	Av_00024538-RA	Bevul.1G006800.1.p
OG0005915	Av_00008861-RA	Bevul.7G075600.1.p, Bevul.7G075600.3.p, Bevul.7G075600.2.p
OG0005916	Av_00019599-RA	Bevul.6G157400.1.p
OG0005917	Av_00007282-RA	Bevul.9G144800.1.p
OG0005918	Av_00009349-RA	Bevul.1G061000.1.p
OG0005919	Av_00011670-RA, Av_00014227-RA	Bevul.6G056400.1.p
OG0005920	Av_00017800-RA, Av_00017799-RA	Bevul.1G213500.1.p
OG0005921	Av_00000962-RA	Bevul.9G166500.1.p, Bevul.9G166400.1.p
OG0005922	Av_00020106-RA	Bevul.2G092000.2.p, Bevul.2G092000.1.p
OG0005924	Av_00014688-RA, Av_00008655-RA	Bevul.1G113400.1.p
OG0005925	Av_00012259-RA, Av_00004456-RA	Bevul.1G051800.1.p
OG0005926	Av_00000420-RA	Bevul.6G059800.1.p
OG0005927	Av_00023984-RA, Av_00011590-RA	Bevul.6G216800.1.p
OG0005928	Av_00009915-RA, Av_00011125-RA	Bevul.7G098000.1.p
OG0005929	Av_00001082-RA, Av_00021263-RA	Bevul.9G183200.1.p
OG0005930	Av_00000688-RA	Bevul.3G201500.1.p
OG0005931	Av_00015811-RA, Av_00017229-RA	Bevul.9G222200.1.p
OG0005933	Av_00006616-RA	Bevul.8G055400.1.p
OG0005935	Av_00013191-RA	Bevul.3G184000.1.p
OG0005936	Av_00007319-RA, Av_00019045-RA	Bevul.8G115400.1.p
OG0005937	Av_00000235-RA	Bevul.6G153800.1.p
OG0005939	Av_00010031-RA, Av_00007931-RA, Av_00006851-RA, Av_00010793-RA, Av_00023573-RA	Bevul.1G014900.1.p
OG0005940	Av_00004563-RA, Av_00021104-RA	Bevul.1G174600.1.p
OG0005941	Av_00018944-RA, Av_00013462-RA	Bevul.7G061000.2.p, Bevul.7G061000.1.p
OG0005942	Av_00008770-RA	Bevul.9G124000.1.p
OG0005943	Av_00003522-RA, Av_00020286-RA	Bevul.7G019400.1.p
OG0005944	Av_00014368-RA	Bevul.3G182300.1.p
OG0005945	Av_00009976-RA, Av_00010207-RA, Av_00019108-RA	Bevul.1G007300.1.p
OG0005946	Av_00017640-RA	Bevul.1G218600.1.p
OG0005947	Av_00009031-RA, Av_00003775-RA	Bevul.1G028100.1.p, Bevul.8G182100.1.p
OG0005949	Av_00000982-RA, Av_00018183-RA	Bevul.9G233300.1.p
OG0005950	Av_00010944-RA	Bevul.1G111300.1.p
OG0005951	Av_00006441-RA, Av_00007521-RA	Bevul.6G245900.1.p
OG0005952	Av_00022589-RA	Bevul.8G100900.1.p
OG0005953	Av_00000436-RA	Bevul.7G050700.3.p, Bevul.7G050700.2.p, Bevul.7G050700.6.p, Bevul.7G050700.4.p, Bevul.7G050700.5.p, Bevul.7G050700.7.p, Bevul.7G050700.1.p
OG0005954	Av_00024495-RA, Av_00005466-RA	Bevul.5G035000.1.p
OG0005955	Av_00020034-RA	Bevul.5G177900.1.p
OG0005956	Av_00001352-RA, Av_00016740-RA, Av_00020328-RA	Bevul.4G122900.1.p
OG0005957	Av_00011687-RA, Av_00014243-RA, Av_00018988-RA, Av_00001912-RA	Bevul.6G074600.1.p
OG0005958	Av_00008854-RA, Av_00018729-RA, Av_00019040-RA	Bevul.9G026300.4.p, Bevul.9G026300.5.p, Bevul.9G026300.3.p, Bevul.9G026300.1.p, Bevul.9G026300.2.p, Bevul.9G026300.6.p
OG0005959	Av_00007918-RA, Av_00006859-RA, Av_00010017-RA, Av_00010796-RA, Av_00010227-RA	Bevul.1G011300.1.p
OG0005960	Av_00005176-RA, Av_00018385-RA	Bevul.1G055400.1.p
OG0005961	Av_00020407-RA	Bevul.2G158700.1.p
OG0005962	Av_00011550-RA	Bevul.4G009900.1.p
OG0005963	Av_00000783-RA	Bevul.5G255700.1.p
OG0005964	Av_00008978-RA	Bevul.8G036100.1.p
OG0005965	Av_00018476-RA	Bevul.4G089600.1.p
OG0005966	Av_00000719-RA	Bevul.3G225900.1.p
OG0005967	Av_00002396-RA	Bevul.4G053700.1.p
OG0005968	Av_00000210-RA, Av_00017216-RA, Av_00002365-RA, Av_00019374-RA, Av_00023760-RA	Bevul.4G068200.1.p
OG0005969	Av_00003676-RA	Bevul.4G045600.1.p, Bevul.8G068200.1.p
OG0005970	Av_00010959-RA, Av_00015279-RA	Bevul.1G100300.1.p
OG0005971	Av_00011027-RA, Av_00017103-RA	Bevul.8G211500.1.p
OG0005972	Av_00016941-RA, Av_00004749-RA	Bevul.9G036700.2.p, Bevul.9G036700.1.p
OG0005973	Av_00014237-RA	Bevul.6G105500.1.p
OG0005974	Av_00000197-RA, Av_00007867-RA	Bevul.4G054800.1.p
OG0005975	Av_00010615-RA, Av_00014155-RA	Bevul.8G045400.1.p
OG0005976	Av_00008120-RA	Bevul.4G221700.1.p
OG0005977	Av_00003977-RA, Av_00009075-RA	Bevul.8G159200.1.p
OG0005978	Av_00018833-RA, Av_00018646-RA	Bevul.7G154900.1.p
OG0005979	Av_00000001-RA	Bevul.1G133600.1.p
OG0005980	Av_00004497-RA	Bevul.8G153900.1.p
OG0005982	Av_00017226-RA	Bevul.8G198600.1.p
OG0005983	Av_00009167-RA	Bevul.3G076000.1.p
OG0005984	Av_00015139-RA	Bevul.5G254700.1.p, Bevul.5G225200.1.p
OG0005985	Av_00007999-RA	Bevul.9G209500.2.p, Bevul.9G209500.1.p
OG0005986	Av_00017335-RA	Bevul.6G086400.1.p
OG0005988	Av_00012034-RA	Bevul.2G147100.1.p
OG0005989	Av_00003630-RA	Bevul.2G135800.2.p, Bevul.2G135800.1.p
OG0005990	Av_00007779-RA	Bevul.6G139600.1.p
OG0005991	Av_00001632-RA	Bevul.3G051700.1.p
OG0005992	Av_00023062-RA	Bevul.2G139700.1.p, Bevul.2G139700.2.p
OG0005993	Av_00002038-RA	Bevul.3G118400.1.p
OG0005994	Av_00019289-RA, Av_00008889-RA	Bevul.8G204100.1.p
OG0005995	Av_00009168-RA, Av_00014768-RA	Bevul.3G076100.1.p
OG0005996	Av_00005372-RA	Bevul.6G208300.1.p
OG0005997	Av_00024435-RA	Bevul.5G081800.1.p
OG0005998	Av_00023066-RA, Av_00021889-RA	Bevul.1G133700.1.p
OG0006000	Av_00003258-RA	Bevul.1G192000.1.p
OG0006001	Av_00023014-RA, Av_00020438-RA, Av_00010744-RA	Bevul.7G169500.1.p
OG0006003	Av_00013000-RA, Av_00008740-RA	Bevul.7G167300.1.p
OG0006004	Av_00003130-RA, Av_00014015-RA	Bevul.1G141200.1.p
OG0006006	Av_00020855-RA, Av_00021968-RA	Bevul.3G118300.1.p
OG0006007	Av_00007401-RA, Av_00003779-RA	Bevul.8G186000.1.p
OG0006009	Av_00012314-RA, Av_00004491-RA, Av_00001013-RA	Bevul.8G214000.1.p
OG0006012	Av_00005462-RA	Bevul.5G036800.1.p
OG0006013	Av_00007204-RA, Av_00018847-RA, Av_00004331-RA, Av_00004555-RA	Bevul.9G073700.1.p, Bevul.7G055500.1.p
OG0006014	Av_00007973-RA, Av_00018161-RA, Av_00006817-RA	Bevul.9G199200.1.p
OG0006015	Av_00008158-RA	Bevul.4G246100.1.p
OG0006016	Av_00014021-RA, Av_00003138-RA	Bevul.6G180900.1.p
OG0006017	Av_00012800-RA, Av_00020202-RA	Bevul.9G051600.1.p, Bevul.2G024200.1.p
OG0006018	Av_00024025-RA	Bevul.3G037000.1.p
OG0006019	Av_00021903-RA, Av_00021904-RA	Bevul.1G192100.1.p
OG0006020	Av_00019504-RA, Av_00012824-RA	Bevul.8G031700.1.p
OG0006021	Av_00012327-RA	Bevul.8G151900.1.p
OG0006022	Av_00010393-RA	Bevul.5G041500.1.p
OG0006023	Av_00012330-RA	Bevul.8G150400.1.p
OG0006024	Av_00023528-RA	Bevul.5G102700.1.p
OG0006025	Av_00015566-RA, Av_00009064-RA	Bevul.8G163400.1.p
OG0006026	Av_00019531-RA, Av_00019072-RA	Bevul.8G200400.1.p
OG0006027	Av_00009803-RA	Bevul.8G143600.1.p
OG0006028	Av_00001107-RA, Av_00001106-RA, Av_00021241-RA	Bevul.2G002000.1.p, Bevul.2G002000.3.p, Bevul.2G002000.2.p
OG0006029	Av_00005624-RA, Av_00005946-RA	Bevul.3G070400.1.p
OG0006030	Av_00005497-RA, Av_00020833-RA	Bevul.8G197700.1.p
OG0006031	Av_00002065-RA, Av_00012903-RA	Bevul.3G083000.1.p
OG0006032	Av_00004017-RA, Av_00005845-RA, Av_00012147-RA	Bevul.5G155200.1.p, Bevul.4G122100.1.p
OG0006033	Av_00012792-RA, Av_00022571-RA, Av_00004654-RA	Bevul.2G018300.1.p
OG0006034	Av_00004086-RA, Av_00023068-RA	Bevul.7G162700.1.p
OG0006036	Av_00006271-RA	Bevul.3G030500.1.p
OG0006037	Av_00004162-RA, Av_00015416-RA	Bevul.9G190400.1.p
OG0006040	Av_00016862-RA	Bevul.8G120500.1.p
OG0006042	Av_00006758-RA, Av_00008045-RA	Bevul.7G169000.1.p
OG0006044	Av_00012193-RA, Av_00005781-RA	Bevul.2G200600.1.p, Bevul.2G200600.2.p
OG0006045	Av_00018246-RA	Bevul.2G016100.1.p
OG0006046	Av_00014060-RA	Bevul.5G120300.1.p
OG0006047	Av_00008407-RA, Av_00011554-RA	Bevul.4G011000.1.p
OG0006048	Av_00016886-RA	Bevul.9G041200.1.p, Bevul.9G041200.2.p
OG0006049	Av_00003574-RA	Bevul.2G100900.2.p, Bevul.2G100900.3.p, Bevul.2G100900.4.p, Bevul.2G100900.1.p
OG0006050	Av_00006650-RA	Bevul.4G029000.1.p
OG0006051	Av_00008447-RA	Bevul.9G081200.10.p, Bevul.9G081200.9.p, Bevul.9G081200.7.p, Bevul.9G081200.8.p, Bevul.9G081200.3.p, Bevul.9G081200.4.p, Bevul.9G081200.6.p, Bevul.9G081200.1.p, Bevul.9G081200.5.p, Bevul.9G081200.2.p
OG0006052	Av_00020589-RA	Bevul.3G214700.1.p, Bevul.3G214600.1.p, Bevul.3G214500.1.p
OG0006053	Av_00002274-RA	Bevul.5G257900.1.p
OG0006054	Av_00000162-RA	Bevul.4G026500.1.p
OG0006055	Av_00001323-RA	Bevul.4G197200.1.p
OG0006056	Av_00012682-RA, Av_00014488-RA, Av_00000679-RA	Bevul.3G196000.1.p
OG0006057	Av_00010593-RA, Av_00010592-RA	Bevul.4G056900.1.p
OG0006058	Av_00015880-RA	Bevul.5G056500.1.p
OG0006060	Av_00016423-RA, Av_00013455-RA	Bevul.7G062500.1.p
