Orthogroup	D_muscipula.proteins	L_sativa.proteins
OG0005411	Dm_00003622-RA	Lsat_1_v5_gn_6_38181.2, Lsat_1_v5_gn_6_38181.3, Lsat_1_v5_gn_6_38181.1, Lsat_1_v5_gn_6_38201.3, Lsat_1_v5_gn_6_38201.1, Lsat_1_v5_gn_6_38161.1, Lsat_1_v5_gn_6_38161.3, Lsat_1_v5_gn_2_58781.3, Lsat_1_v5_gn_2_58781.1
OG0005412	Dm_00005250-RA	Lsat_1_v5_gn_1_40321.2, Lsat_1_v5_gn_1_40321.1, Lsat_1_v5_gn_1_40321.3
OG0005413	Dm_00010238-RA	Lsat_1_v5_gn_1_63021.2, Lsat_1_v5_gn_1_63021.1
OG0005414	Dm_00014369-RA, Dm_00016535-RA	Lsat_1_v5_gn_8_152860.1
OG0005415	Dm_00007201-RA	Lsat_1_v5_gn_9_14460.1, Lsat_1_v5_gn_9_14460.3
OG0005416	Dm_00008512-RA	Lsat_1_v5_gn_7_95300.1
OG0005417	Dm_00015751-RA, Dm_00000618-RA, Dm_00012940-RA	Lsat_1_v5_gn_7_71720.1, Lsat_1_v5_gn_5_65061.2, Lsat_1_v5_gn_5_65061.1
OG0005418	Dm_00006159-RA	Lsat_1_v5_gn_5_149441.1
OG0005419	Dm_00010476-RA	Lsat_1_v5_gn_0_5460.1, Lsat_1_v5_gn_0_5460.3, Lsat_1_v5_gn_9_90020.2, Lsat_1_v5_gn_9_90020.1
OG0005420	Dm_00001201-RA	Lsat_1_v5_gn_2_49140.2, Lsat_1_v5_gn_2_49140.1
OG0005422	Dm_00005769-RA	Lsat_1_v5_gn_8_78921.5, Lsat_1_v5_gn_8_78921.2, Lsat_1_v5_gn_8_79001.1, Lsat_1_v5_gn_8_79101.1, Lsat_1_v5_gn_9_21421.1
OG0005423	Dm_00007902-RA	Lsat_1_v5_gn_3_109960.1, Lsat_1_v5_gn_3_109960.2, Lsat_1_v5_gn_2_38560.1, Lsat_1_v5_gn_2_38560.2
OG0005424	Dm_00002909-RA, Dm_00006756-RA	Lsat_1_v5_gn_1_77001.2, Lsat_1_v5_gn_1_77001.3, Lsat_1_v5_gn_1_77001.1
OG0005425	Dm_00000021-RA	Lsat_1_v5_gn_9_39580.1
OG0005426	Dm_00000038-RA, Dm_00001586-RA	Lsat_1_v5_gn_5_148221.1
OG0005427	Dm_00014225-RA	Lsat_1_v5_gn_3_61900.2, Lsat_1_v5_gn_3_61900.3, Lsat_1_v5_gn_3_61900.1, Lsat_1_v5_gn_8_13581.2, Lsat_1_v5_gn_3_39001.3, Lsat_1_v5_gn_3_39001.1, Lsat_1_v5_gn_2_125000.1, Lsat_1_v5_gn_2_125000.3, Lsat_1_v5_gn_8_13581.1
OG0005428	Dm_00003943-RA	Lsat_1_v5_gn_6_39840.2, Lsat_1_v5_gn_6_39840.1, Lsat_1_v5_gn_6_39380.1, Lsat_1_v5_gn_6_39380.2
OG0005429	Dm_00011189-RA, Dm_00002196-RA	Lsat_1_v5_gn_1_117920.1, Lsat_1_v5_gn_1_117920.3
OG0005430	Dm_00012160-RA	Lsat_1_v5_gn_7_42200.2, Lsat_1_v5_gn_7_42200.1
OG0005431	Dm_00016568-RA, Dm_00008922-RA	Lsat_1_v5_gn_4_96641.3, Lsat_1_v5_gn_4_96641.1
OG0005432	Dm_00003871-RA, Dm_00017694-RA	Lsat_1_v5_gn_2_59421.1, Lsat_1_v5_gn_6_38900.1
OG0005433	Dm_00006311-RA	Lsat_1_v5_gn_1_40220.1
OG0005434	Dm_00009591-RA	Lsat_1_v5_gn_5_71201.1, Lsat_1_v5_gn_5_71201.3
OG0005436	Dm_00000837-RA	Lsat_1_v5_gn_7_3960.2, Lsat_1_v5_gn_7_3960.1
OG0005437	Dm_00013597-RA	Lsat_1_v5_gn_2_67541.1
OG0005438	Dm_00000806-RA	Lsat_1_v5_gn_9_20980.2, Lsat_1_v5_gn_9_20980.1, Lsat_1_v5_gn_8_78220.1, Lsat_1_v5_gn_8_78220.3
OG0005439	Dm_00017921-RA	Lsat_1_v5_gn_1_89980.4, Lsat_1_v5_gn_1_89980.1
OG0005441	Dm_00018324-RA	Lsat_1_v5_gn_9_55961.1, Lsat_1_v5_gn_9_55961.3
OG0005442	Dm_00008272-RA	Lsat_1_v5_gn_9_13880.3, Lsat_1_v5_gn_9_13880.1
OG0005443	Dm_00005216-RA	Lsat_1_v5_gn_8_12281.1, Lsat_1_v5_gn_5_153581.1
OG0005444	Dm_00008653-RA, Dm_00002473-RA	Lsat_1_v5_gn_9_10341.1, Lsat_1_v5_gn_5_183661.1
OG0005445	Dm_00012232-RA	Lsat_1_v5_gn_1_42900.2, Lsat_1_v5_gn_1_42900.1, Lsat_1_v5_gn_1_42900.3
OG0005447	Dm_00001783-RA	Lsat_1_v5_gn_2_20881.1, Lsat_1_v5_gn_2_20881.2, Lsat_1_v5_gn_1_48761.1
OG0005448	Dm_00018194-RA	Lsat_1_v5_gn_9_62200.1, Lsat_1_v5_gn_9_62180.1, Lsat_1_v5_gn_2_124521.3, Lsat_1_v5_gn_2_124521.1
OG0005449	Dm_00014604-RA	Lsat_1_v5_gn_7_62441.1
OG0005450	Dm_00012269-RA	Lsat_1_v5_gn_6_26080.2, Lsat_1_v5_gn_6_26080.1, Lsat_1_v5_gn_6_26061.1, Lsat_1_v5_gn_6_26061.2, Lsat_1_v5_gn_6_26080.4
OG0005451	Dm_00008339-RA	Lsat_1_v5_gn_2_22600.1, Lsat_1_v5_gn_1_48520.2
OG0005453	Dm_00014001-RA	Lsat_1_v5_gn_5_163560.2, Lsat_1_v5_gn_5_163560.1, Lsat_1_v5_gn_5_163560.3
OG0005454	Dm_00003500-RA	Lsat_1_v5_gn_2_107981.3, Lsat_1_v5_gn_2_107981.1, Lsat_1_v5_gn_8_2841.3, Lsat_1_v5_gn_8_2841.1
OG0005455	Dm_00013760-RA	Lsat_1_v5_gn_1_50761.1
OG0005457	Dm_00004663-RA	Lsat_1_v5_gn_8_110681.1
OG0005458	Dm_00007055-RA	Lsat_1_v5_gn_2_58000.1, Lsat_1_v5_gn_2_58000.3
OG0005459	Dm_00000070-RA	Lsat_1_v5_gn_1_57580.3, Lsat_1_v5_gn_1_57580.1
OG0005460	Dm_00013923-RA	Lsat_1_v5_gn_5_182541.1, Lsat_1_v5_gn_5_182541.3, Lsat_1_v5_gn_1_75101.1, Lsat_1_v5_gn_1_75101.2
OG0005461	Dm_00002867-RA	Lsat_1_v5_gn_5_61080.1
OG0005462	Dm_00019497-RA	Lsat_1_v5_gn_1_58340.3, Lsat_1_v5_gn_1_58340.1, Lsat_1_v5_gn_2_54080.1, Lsat_1_v5_gn_6_33900.1
OG0005463	Dm_00018030-RA	Lsat_1_v5_gn_9_61481.3, Lsat_1_v5_gn_9_61481.2, Lsat_1_v5_gn_9_61481.1
OG0005464	Dm_00006953-RA	Lsat_1_v5_gn_3_69620.1, Lsat_1_v5_gn_3_69620.3
OG0005466	Dm_00013538-RA	Lsat_1_v5_gn_8_93841.1, Lsat_1_v5_gn_8_94501.1, Lsat_1_v5_gn_8_93841.2, Lsat_1_v5_gn_5_184960.2, Lsat_1_v5_gn_5_184960.1
OG0005467	Dm_00004778-RA	Lsat_1_v5_gn_8_77941.1
OG0005468	Dm_00006738-RA	Lsat_1_v5_gn_6_97101.2, Lsat_1_v5_gn_6_97101.1, Lsat_1_v5_gn_6_97121.3, Lsat_1_v5_gn_6_97121.1, Lsat_1_v5_gn_6_97580.1, Lsat_1_v5_gn_6_97580.3
OG0005469	Dm_00000119-RA, Dm_00001235-RA	Lsat_1_v5_gn_8_123101.3, Lsat_1_v5_gn_3_47581.1, Lsat_1_v5_gn_3_47581.2
OG0005470	Dm_00000203-RA	Lsat_1_v5_gn_1_26901.1
OG0005471	Dm_00000508-RA	Lsat_1_v5_gn_8_121361.1, Lsat_1_v5_gn_8_121361.2, Lsat_1_v5_gn_8_121361.3, Lsat_1_v5_gn_4_70780.1
OG0005472	Dm_00015112-RA	Lsat_1_v5_gn_1_55421.1
OG0005473	Dm_00010958-RA	Lsat_1_v5_gn_1_42160.1
OG0005476	Dm_00011831-RA, Dm_00019829-RA	Lsat_1_v5_gn_8_117441.1, Lsat_1_v5_gn_8_117441.2
OG0005479	Dm_00013569-RA	Lsat_1_v5_gn_5_115740.3, Lsat_1_v5_gn_5_115740.1, Lsat_1_v5_gn_0_4161.2, Lsat_1_v5_gn_0_4161.1
OG0005480	Dm_00016461-RA	Lsat_1_v5_gn_1_82580.3, Lsat_1_v5_gn_1_82580.1, Lsat_1_v5_gn_1_82580.2
OG0005481	Dm_00018866-RA	Lsat_1_v5_gn_5_105520.3, Lsat_1_v5_gn_5_105520.1
OG0005482	Dm_00020036-RA, Dm_00009612-RA	Lsat_1_v5_gn_6_106301.1, Lsat_1_v5_gn_6_106301.3
OG0005483	Dm_00001889-RA	Lsat_1_v5_gn_7_114941.1, Lsat_1_v5_gn_7_114941.2, Lsat_1_v5_gn_5_2060.1
OG0005484	Dm_00015966-RA	Lsat_1_v5_gn_4_132160.1
OG0005486	Dm_00005335-RA	Lsat_1_v5_gn_6_92500.3, Lsat_1_v5_gn_6_92500.1
OG0005487	Dm_00002702-RA	Lsat_1_v5_gn_7_30260.1, Lsat_1_v5_gn_1_96800.1
OG0005488	Dm_00016422-RA	Lsat_1_v5_gn_5_117101.1, Lsat_1_v5_gn_2_136760.1, Lsat_1_v5_gn_9_113520.1
OG0005490	Dm_00000446-RA, Dm_00003673-RA	Lsat_1_v5_gn_9_49160.1, Lsat_1_v5_gn_9_49160.3, Lsat_1_v5_gn_0_44640.1
OG0005491	Dm_00006981-RA	Lsat_1_v5_gn_4_74380.2, Lsat_1_v5_gn_4_74380.1, Lsat_1_v5_gn_8_123820.4, Lsat_1_v5_gn_8_123820.1
OG0005492	Dm_00015357-RA	Lsat_1_v5_gn_4_130941.1
OG0005493	Dm_00013841-RA	Lsat_1_v5_gn_7_80520.1, Lsat_1_v5_gn_7_80520.2
OG0005494	Dm_00017390-RA	Lsat_1_v5_gn_3_7380.6, Lsat_1_v5_gn_3_7380.2, Lsat_1_v5_gn_3_7380.5
OG0005495	Dm_00017360-RA	Lsat_1_v5_gn_3_77800.1, Lsat_1_v5_gn_7_92481.1
OG0005496	Dm_00005926-RA	Lsat_1_v5_gn_1_24581.3, Lsat_1_v5_gn_1_24581.1
OG0005497	Dm_00008921-RA	Lsat_1_v5_gn_9_125320.2, Lsat_1_v5_gn_9_125320.1
OG0005498	Dm_00016317-RA	Lsat_1_v5_gn_5_147281.3, Lsat_1_v5_gn_5_147281.1, Lsat_1_v5_gn_7_74640.1
OG0005499	Dm_00003483-RA	Lsat_1_v5_gn_9_111961.1, Lsat_1_v5_gn_9_111961.2, Lsat_1_v5_gn_7_78580.1
OG0005500	Dm_00002351-RA, Dm_00008559-RA	Lsat_1_v5_gn_1_23241.1
OG0005501	Dm_00009184-RA	Lsat_1_v5_gn_4_135460.2, Lsat_1_v5_gn_4_135460.1
OG0005502	Dm_00003370-RA	Lsat_1_v5_gn_3_94201.5, Lsat_1_v5_gn_3_94201.4
OG0005503	Dm_00016503-RA	Lsat_1_v5_gn_7_79440.1
OG0005505	Dm_00019579-RA	Lsat_1_v5_gn_8_54580.3, Lsat_1_v5_gn_8_54580.1, Lsat_1_v5_gn_4_3181.1, Lsat_1_v5_gn_4_3201.1, Lsat_1_v5_gn_4_3081.1, Lsat_1_v5_gn_4_3121.1, Lsat_1_v5_gn_9_34661.1
OG0005507	Dm_00004264-RA	Lsat_1_v5_gn_6_9700.1
OG0005508	Dm_00003025-RA	Lsat_1_v5_gn_4_161560.2, Lsat_1_v5_gn_4_161560.1
OG0005509	Dm_00003543-RA	Lsat_1_v5_gn_6_107401.3, Lsat_1_v5_gn_6_107401.1, Lsat_1_v5_gn_6_107401.2
OG0005510	Dm_00011983-RA	Lsat_1_v5_gn_3_69860.3, Lsat_1_v5_gn_3_69860.1
OG0005511	Dm_00018080-RA	Lsat_1_v5_gn_4_160860.1
OG0005514	Dm_00018478-RA, Dm_00011397-RA	Lsat_1_v5_gn_7_48340.1, Lsat_1_v5_gn_7_48340.3, Lsat_1_v5_gn_3_121981.2, Lsat_1_v5_gn_3_121981.1
OG0005515	Dm_00001258-RA, Dm_00019798-RA, Dm_00010383-RA, Dm_00001257-RA, Dm_00000143-RA, Dm_00001259-RA	Lsat_1_v5_gn_2_6240.1
OG0005516	Dm_00010555-RA	Lsat_1_v5_gn_4_63300.1, Lsat_1_v5_gn_4_63300.3, Lsat_1_v5_gn_4_63300.2
OG0005517	Dm_00009537-RA	Lsat_1_v5_gn_4_68721.1
OG0005520	Dm_00006190-RA, Dm_00006585-RA	Lsat_1_v5_gn_1_1441.4
OG0005522	Dm_00007573-RA	Lsat_1_v5_gn_6_81901.1
OG0005523	Dm_00008557-RA, Dm_00005968-RA	Lsat_1_v5_gn_4_27181.1, Lsat_1_v5_gn_8_136860.1
OG0005525	Dm_00000715-RA	Lsat_1_v5_gn_7_22421.1, Lsat_1_v5_gn_7_22421.2
OG0005526	Dm_00005719-RA, Dm_00005720-RA	Lsat_1_v5_gn_4_170241.2, Lsat_1_v5_gn_4_170241.1
OG0005527	Dm_00001336-RA	Lsat_1_v5_gn_4_64780.1
OG0005528	Dm_00011931-RA	Lsat_1_v5_gn_2_93641.1, Lsat_1_v5_gn_2_93641.2, Lsat_1_v5_gn_2_93641.3
OG0005530	Dm_00006710-RA	Lsat_1_v5_gn_7_961.3, Lsat_1_v5_gn_7_961.1
OG0005531	Dm_00009951-RA, Dm_00009952-RA, Dm_00003913-RA	Lsat_1_v5_gn_7_96100.1, Lsat_1_v5_gn_7_96100.2
OG0005532	Dm_00009190-RA	Lsat_1_v5_gn_4_62441.1
OG0005533	Dm_00000701-RA	Lsat_1_v5_gn_4_50661.1, Lsat_1_v5_gn_4_50661.2
OG0005535	Dm_00001341-RA	Lsat_1_v5_gn_1_77700.1
OG0005536	Dm_00004667-RA	Lsat_1_v5_gn_5_6860.2, Lsat_1_v5_gn_5_6860.1
OG0005537	Dm_00012195-RA	Lsat_1_v5_gn_1_40201.3, Lsat_1_v5_gn_1_40201.1
OG0005539	Dm_00019685-RA, Dm_00010197-RA	Lsat_1_v5_gn_4_77441.1
OG0005540	Dm_00014317-RA	Lsat_1_v5_gn_8_61340.1, Lsat_1_v5_gn_8_61340.3, Lsat_1_v5_gn_8_61340.2
OG0005541	Dm_00001952-RA	Lsat_1_v5_gn_5_62020.3, Lsat_1_v5_gn_5_62020.1, Lsat_1_v5_gn_5_62020.4
OG0005542	Dm_00002624-RA, Dm_00002329-RA	Lsat_1_v5_gn_7_46840.1
OG0005543	Dm_00017034-RA	Lsat_1_v5_gn_5_31481.1, Lsat_1_v5_gn_7_42641.1, Lsat_1_v5_gn_8_57600.1
OG0005544	Dm_00005117-RA	Lsat_1_v5_gn_8_85000.3, Lsat_1_v5_gn_8_85000.2, Lsat_1_v5_gn_8_85000.1
OG0005545	Dm_00001037-RA	Lsat_1_v5_gn_5_100240.1, Lsat_1_v5_gn_5_100240.3
OG0005546	Dm_00005659-RA, Dm_00002486-RA	Lsat_1_v5_gn_7_9521.1, Lsat_1_v5_gn_7_9521.3
OG0005547	Dm_00001636-RA	Lsat_1_v5_gn_6_6580.1, Lsat_1_v5_gn_6_6580.3
OG0005548	Dm_00003676-RA, Dm_00000444-RA	Lsat_1_v5_gn_7_3900.1
OG0005549	Dm_00002343-RA	Lsat_1_v5_gn_4_99881.1
OG0005550	Dm_00004743-RA	Lsat_1_v5_gn_7_59540.2, Lsat_1_v5_gn_7_59540.1
OG0005551	Dm_00004108-RA	Lsat_1_v5_gn_4_43041.1, Lsat_1_v5_gn_4_43041.2
OG0005552	Dm_00017184-RA	Lsat_1_v5_gn_3_24581.1
OG0005553	Dm_00011064-RA	Lsat_1_v5_gn_9_28321.3, Lsat_1_v5_gn_9_28321.2, Lsat_1_v5_gn_9_28321.1
OG0005554	Dm_00003657-RA	Lsat_1_v5_gn_4_103480.2, Lsat_1_v5_gn_4_103480.1
OG0005556	Dm_00005206-RA	Lsat_1_v5_gn_6_11741.3, Lsat_1_v5_gn_6_11741.1
OG0005557	Dm_00005785-RA	Lsat_1_v5_gn_3_33421.3, Lsat_1_v5_gn_3_33421.1
OG0005558	Dm_00000902-RA, Dm_00000901-RA	Lsat_1_v5_gn_6_91180.3, Lsat_1_v5_gn_6_91180.1
OG0005560	Dm_00000999-RA	Lsat_1_v5_gn_5_88180.3, Lsat_1_v5_gn_5_88180.1
OG0005562	Dm_00004575-RA	Lsat_1_v5_gn_4_36200.1
OG0005563	Dm_00003714-RA, Dm_00003713-RA	Lsat_1_v5_gn_8_9600.1
OG0005564	Dm_00013930-RA	Lsat_1_v5_gn_6_15381.3, Lsat_1_v5_gn_6_15381.1
OG0005565	Dm_00017739-RA, Dm_00012089-RA	Lsat_1_v5_gn_5_131021.1, Lsat_1_v5_gn_1_35361.2
OG0005567	Dm_00012311-RA	Lsat_1_v5_gn_8_95280.1, Lsat_1_v5_gn_5_103641.1, Lsat_1_v5_gn_5_103641.3
OG0005568	Dm_00006464-RA	Lsat_1_v5_gn_5_80020.1, Lsat_1_v5_gn_5_80020.4
OG0005569	Dm_00005617-RA	Lsat_1_v5_gn_1_37941.2
OG0005570	Dm_00018920-RA	Lsat_1_v5_gn_7_19900.1, Lsat_1_v5_gn_4_56041.4, Lsat_1_v5_gn_4_56041.1
OG0005572	Dm_00012866-RA	Lsat_1_v5_gn_3_23500.1, Lsat_1_v5_gn_3_23500.3, Lsat_1_v5_gn_3_23500.2
OG0005573	Dm_00001017-RA	Lsat_1_v5_gn_5_138341.1, Lsat_1_v5_gn_5_138341.3
OG0005574	Dm_00009977-RA	Lsat_1_v5_gn_7_5000.3, Lsat_1_v5_gn_7_5000.1, Lsat_1_v5_gn_3_136600.1, Lsat_1_v5_gn_3_136600.2
OG0005575	Dm_00013240-RA	Lsat_1_v5_gn_8_70621.1, Lsat_1_v5_gn_8_70621.2
OG0005576	Dm_00001495-RA, Dm_00004180-RA	Lsat_1_v5_gn_6_94020.1, Lsat_1_v5_gn_6_94020.2, Lsat_1_v5_gn_4_13301.1
OG0005577	Dm_00006312-RA	Lsat_1_v5_gn_6_83981.3, Lsat_1_v5_gn_6_83981.1, Lsat_1_v5_gn_6_83981.2
OG0005579	Dm_00019636-RA	Lsat_1_v5_gn_3_23040.1, Lsat_1_v5_gn_3_23040.3
OG0005580	Dm_00006446-RA	Lsat_1_v5_gn_7_17340.1, Lsat_1_v5_gn_7_17340.2
OG0005581	Dm_00002073-RA, Dm_00008753-RA	Lsat_1_v5_gn_7_35060.1
OG0005583	Dm_00019572-RA	Lsat_1_v5_gn_3_32561.1
OG0005584	Dm_00002966-RA	Lsat_1_v5_gn_2_132621.1, Lsat_1_v5_gn_3_49500.1
OG0005585	Dm_00018374-RA	Lsat_1_v5_gn_6_12941.2, Lsat_1_v5_gn_6_12941.1
OG0005586	Dm_00008554-RA	Lsat_1_v5_gn_5_33600.3, Lsat_1_v5_gn_5_33600.1, Lsat_1_v5_gn_5_33600.2
OG0005589	Dm_00004157-RA	Lsat_1_v5_gn_5_30441.1, Lsat_1_v5_gn_6_22420.1
OG0005590	Dm_00003123-RA	Lsat_1_v5_gn_9_29820.6, Lsat_1_v5_gn_9_29820.5
OG0005591	Dm_00004173-RA	Lsat_1_v5_gn_7_49941.3, Lsat_1_v5_gn_7_49941.1, Lsat_1_v5_gn_8_63501.1
OG0005591	Dm_00015018-RA	Lsat_1_v5_gn_4_88160.2, Lsat_1_v5_gn_4_88160.3
OG0005592	Dm_00013763-RA, Dm_00020706-RA	Lsat_1_v5_gn_4_89581.1, Lsat_1_v5_gn_5_137621.1, Lsat_1_v5_gn_5_137621.3, Lsat_1_v5_gn_1_39781.3, Lsat_1_v5_gn_1_39781.1
OG0005593	Dm_00019258-RA	Lsat_1_v5_gn_3_1181.1, Lsat_1_v5_gn_3_1181.3
OG0005595	Dm_00005377-RA	Lsat_1_v5_gn_5_137281.1, Lsat_1_v5_gn_5_137281.2
OG0005596	Dm_00008011-RA	Lsat_1_v5_gn_6_88880.1, Lsat_1_v5_gn_3_3260.1, Lsat_1_v5_gn_6_8041.2, Lsat_1_v5_gn_6_8041.1
OG0005598	Dm_00000900-RA, Dm_00002092-RA	Lsat_1_v5_gn_3_138880.1
OG0005599	Dm_00020846-RA	Lsat_1_v5_gn_3_12700.1
OG0005600	Dm_00007795-RA	Lsat_1_v5_gn_4_155180.1, Lsat_1_v5_gn_3_54461.1, Lsat_1_v5_gn_3_54461.2
OG0005601	Dm_00000893-RA, Dm_00002086-RA	Lsat_1_v5_gn_6_90781.4, Lsat_1_v5_gn_6_90781.1, Lsat_1_v5_gn_6_90781.5, Lsat_1_v5_gn_7_14080.1
OG0005603	Dm_00001051-RA	Lsat_1_v5_gn_7_42681.1
OG0005605	Dm_00007183-RA, Dm_00012189-RA	Lsat_1_v5_gn_5_133940.1, Lsat_1_v5_gn_1_36380.1, Lsat_1_v5_gn_1_36380.2, Lsat_1_v5_gn_4_95900.3, Lsat_1_v5_gn_4_95900.1
OG0005606	Dm_00002076-RA	Lsat_1_v5_gn_8_86481.1, Lsat_1_v5_gn_8_86481.2
OG0005609	Dm_00007907-RA	Lsat_1_v5_gn_4_100861.1
OG0005610	Dm_00020075-RA	Lsat_1_v5_gn_7_44161.3, Lsat_1_v5_gn_7_44161.1, Lsat_1_v5_gn_8_62421.2, Lsat_1_v5_gn_8_62421.1
OG0005611	Dm_00001511-RA, Dm_00018878-RA	Lsat_1_v5_gn_5_681.1, Lsat_1_v5_gn_5_681.2
OG0005612	Dm_00011253-RA	Lsat_1_v5_gn_6_31701.1, Lsat_1_v5_gn_6_31701.3, Lsat_1_v5_gn_2_103600.1, Lsat_1_v5_gn_2_103600.3
OG0005613	Dm_00003090-RA	Lsat_1_v5_gn_9_70220.2, Lsat_1_v5_gn_9_70220.3, Lsat_1_v5_gn_9_70220.1, Lsat_1_v5_gn_8_20780.1
OG0005614	Dm_00018680-RA	Lsat_1_v5_gn_9_34720.1
OG0005615	Dm_00006729-RA	Lsat_1_v5_gn_2_113061.2, Lsat_1_v5_gn_2_113061.1
OG0005617	Dm_00001879-RA	Lsat_1_v5_gn_7_36181.2, Lsat_1_v5_gn_7_36181.3, Lsat_1_v5_gn_7_36181.1, Lsat_1_v5_gn_4_46221.1
OG0005618	Dm_00001893-RA	Lsat_1_v5_gn_7_97841.2, Lsat_1_v5_gn_7_97841.1, Lsat_1_v5_gn_4_44120.1, Lsat_1_v5_gn_5_80660.1
OG0005619	Dm_00012947-RA	Lsat_1_v5_gn_2_96721.5, Lsat_1_v5_gn_2_96721.2, Lsat_1_v5_gn_2_96721.1, Lsat_1_v5_gn_2_96721.3, Lsat_1_v5_gn_2_96721.4, Lsat_1_v5_gn_6_42781.1, Lsat_1_v5_gn_6_42781.3
OG0005620	Dm_00020516-RA	Lsat_1_v5_gn_5_166940.1
OG0005621	Dm_00004478-RA	Lsat_1_v5_gn_7_62320.1, Lsat_1_v5_gn_8_82860.1
OG0005622	Dm_00010577-RA	Lsat_1_v5_gn_6_29041.1, Lsat_1_v5_gn_6_29041.2, Lsat_1_v5_gn_2_23681.2, Lsat_1_v5_gn_2_23681.1
OG0005624	Dm_00009394-RA, Dm_00008406-RA	Lsat_1_v5_gn_0_26040.1, Lsat_1_v5_gn_2_93100.1, Lsat_1_v5_gn_5_77661.1
OG0005625	Dm_00000018-RA	Lsat_1_v5_gn_9_38720.2, Lsat_1_v5_gn_9_38720.1
OG0005626	Dm_00007911-RA	Lsat_1_v5_gn_2_111460.1, Lsat_1_v5_gn_2_111460.3, Lsat_1_v5_gn_1_55500.1
OG0005627	Dm_00010338-RA	Lsat_1_v5_gn_7_45881.3, Lsat_1_v5_gn_7_45881.1
OG0005628	Dm_00017643-RA	Lsat_1_v5_gn_8_33440.1, Lsat_1_v5_gn_8_33440.3, Lsat_1_v5_gn_1_54320.1, Lsat_1_v5_gn_1_52140.1, Lsat_1_v5_gn_1_52160.1, Lsat_1_v5_gn_3_108800.1, Lsat_1_v5_gn_1_52180.1
OG0005630	Dm_00000063-RA, Dm_00002536-RA	Lsat_1_v5_gn_6_35061.2, Lsat_1_v5_gn_6_35061.1, Lsat_1_v5_gn_1_57120.1
OG0005631	Dm_00002675-RA	Lsat_1_v5_gn_5_1860.3, Lsat_1_v5_gn_5_1860.1
OG0005632	Dm_00003517-RA, Dm_00017042-RA	Lsat_1_v5_gn_1_126440.1, Lsat_1_v5_gn_1_126440.2, Lsat_1_v5_gn_1_126440.3, Lsat_1_v5_gn_4_57180.3, Lsat_1_v5_gn_4_57180.1
OG0005633	Dm_00000506-RA	Lsat_1_v5_gn_9_20081.2, Lsat_1_v5_gn_9_20081.3, Lsat_1_v5_gn_9_20081.1
OG0005634	Dm_00012936-RA	Lsat_1_v5_gn_2_100140.1, Lsat_1_v5_gn_2_100140.2, Lsat_1_v5_gn_6_45641.1
OG0005636	Dm_00001587-RA	Lsat_1_v5_gn_8_118500.2, Lsat_1_v5_gn_8_118500.1
OG0005637	Dm_00001750-RA	Lsat_1_v5_gn_7_89080.2, Lsat_1_v5_gn_7_89080.1
OG0005638	Dm_00020447-RA	Lsat_1_v5_gn_6_51980.3, Lsat_1_v5_gn_6_51980.1
OG0005639	Dm_00006198-RA	Lsat_1_v5_gn_5_172380.1
OG0005640	Dm_00015185-RA	Lsat_1_v5_gn_4_62821.2, Lsat_1_v5_gn_4_62821.1, Lsat_1_v5_gn_4_62861.1, Lsat_1_v5_gn_4_62781.1, Lsat_1_v5_gn_7_13441.1, Lsat_1_v5_gn_5_124940.1, Lsat_1_v5_gn_5_124940.3
OG0005641	Dm_00003161-RA	Lsat_1_v5_gn_8_132761.1
OG0005642	Dm_00018854-RA, Dm_00002971-RA	Lsat_1_v5_gn_9_32321.4, Lsat_1_v5_gn_9_32321.2
OG0005644	Dm_00004276-RA	Lsat_1_v5_gn_7_111601.2, Lsat_1_v5_gn_7_111601.1, Lsat_1_v5_gn_7_111601.3
OG0005645	Dm_00007689-RA	Lsat_1_v5_gn_2_6980.2, Lsat_1_v5_gn_2_6980.1, Lsat_1_v5_gn_9_21100.1, Lsat_1_v5_gn_9_21100.3, Lsat_1_v5_gn_9_21100.2
OG0005647	Dm_00011107-RA, Dm_00007708-RA	Lsat_1_v5_gn_2_106561.1, Lsat_1_v5_gn_1_53120.1
OG0005648	Dm_00017794-RA	Lsat_1_v5_gn_2_111660.1
OG0005649	Dm_00015486-RA	Lsat_1_v5_gn_2_118001.3, Lsat_1_v5_gn_2_118001.1
OG0005650	Dm_00003945-RA	Lsat_1_v5_gn_2_95901.2, Lsat_1_v5_gn_2_95901.1
OG0005651	Dm_00006146-RA	Lsat_1_v5_gn_3_13701.2, Lsat_1_v5_gn_3_13701.3, Lsat_1_v5_gn_3_13701.1
OG0005652	Dm_00000709-RA, Dm_00002291-RA	Lsat_1_v5_gn_4_51320.1
OG0005653	Dm_00013096-RA	Lsat_1_v5_gn_7_92721.3, Lsat_1_v5_gn_7_92721.2, Lsat_1_v5_gn_7_92721.1
OG0005654	Dm_00007805-RA	Lsat_1_v5_gn_9_97520.1, Lsat_1_v5_gn_9_97520.3
OG0005655	Dm_00016921-RA	Lsat_1_v5_gn_8_17481.1, Lsat_1_v5_gn_8_17481.2
OG0005656	Dm_00005410-RA	Lsat_1_v5_gn_2_123501.1, Lsat_1_v5_gn_8_11880.1
OG0005657	Dm_00005957-RA	Lsat_1_v5_gn_6_34821.1, Lsat_1_v5_gn_6_34821.3
