Orthogroup	A_hypochondriacus.proteins	A_vesiculosa.proteins
OG0006409	AH023018-RA	Av_00016690-RA
OG0006410	AH003984-RA, AH003985-RA, AH005916-RA	Av_00014831-RA
OG0006411	AH008614-RA	Av_00024472-RA, Av_00004461-RA
OG0006412	AH005828-RA	Av_00000428-RA
OG0006414	AH008749-RA	Av_00010960-RA, Av_00003158-RA, Av_00013995-RA, Av_00011490-RA
OG0006415	AH005270-RA, AH004227-RA	Av_00007792-RA, Av_00022160-RA, Av_00011580-RA, Av_00011579-RA, Av_00000241-RA
OG0006416	AH000682-RA, AH002462-RA	Av_00004619-RA
OG0006417	AH007464-RA, AH011125-RA, AH021214-RA	Av_00013082-RA
OG0006419	AH016759-RA	Av_00006888-RA
OG0006420	AH006477-RA	Av_00011679-RA
OG0006421	AH001613-RA	Av_00004523-RA, Av_00012358-RA
OG0006422	AH008846-RA	Av_00015255-RA, Av_00010930-RA, Av_00003182-RA, Av_00024084-RA, Av_00000072-RA, Av_00011475-RA
OG0006423	AH016950-RA	Av_00022871-RA, Av_00016453-RA
OG0006424	AH023687-RA	Av_00002481-RA
OG0006425	AH002444-RA, AH002446-RA	Av_00019035-RA
OG0006427	AH005785-RA	Av_00012519-RA
OG0006428	AH007477-RA, AH008499-RA, AH008498-RA	Av_00002467-RA, Av_00002428-RA
OG0006429	AH000546-RA	Av_00011330-RA, Av_00000968-RA
OG0006430	AH001862-RA	Av_00012289-RA
OG0006432	AH015224-RA	Av_00005655-RA
OG0006433	AH008036-RA	Av_00002363-RA
OG0006434	AH021403-RA	Av_00024100-RA
OG0006435	AH015218-RA	Av_00003652-RA
OG0006436	AH008552-RA, AH023549-RA	Av_00023771-RA
OG0006437	AH008102-RA	Av_00002461-RA, Av_00015766-RA
OG0006438	AH022727-RA	Av_00020530-RA
OG0006439	AH010180-RA	Av_00015743-RA
OG0006440	AH007955-RA	Av_00009637-RA
OG0006441	AH001364-RA, AH000307-RA	Av_00024143-RA, Av_00022899-RA
OG0006442	AH018489-RA	Av_00022019-RA
OG0006443	AH010128-RA, AH008019-RA	Av_00000215-RA, Av_00024288-RA
OG0006444	AH001168-RA	Av_00006205-RA
OG0006445	AH021513-RA	Av_00022075-RA
OG0006446	AH009192-RA, AH002918-RA, AH009191-RA, AH009190-RA, AH009188-RA	Av_00002576-RA
OG0006447	AH021505-RA, AH021505-RB, AH015009-RA	Av_00005957-RA, Av_00003688-RA, Av_00007476-RA
OG0006448	AH001264-RA, AH000440-RA	Av_00021438-RA, Av_00020779-RA, Av_00004782-RA
OG0006449	AH016018-RA	Av_00023858-RA
OG0006450	AH020505-RA, AH006600-RA	Av_00020148-RA, Av_00000703-RA
OG0006451	AH012209-RA	Av_00003390-RA
OG0006452	AH020360-RA	Av_00014466-RA, Av_00013182-RA, Av_00022352-RA
OG0006453	AH013434-RA	Av_00017538-RA, Av_00015394-RA, Av_00004083-RA
OG0006454	AH007991-RA	Av_00012033-RA
OG0006455	AH003813-RA	Av_00021583-RA
OG0006457	AH015276-RA	Av_00003647-RA
OG0006459	AH021453-RA	Av_00005592-RA
OG0006460	AH013543-RA	Av_00018377-RA
OG0006461	AH013449-RA	Av_00008188-RA
OG0006462	AH019965-RA	Av_00016392-RA
OG0006463	AH012421-RA	Av_00009185-RA
OG0006464	AH002059-RA	Av_00007983-RA, Av_00006811-RA
OG0006465	AH009357-RA	Av_00000104-RA, Av_00011511-RA
OG0006466	AH002432-RA	Av_00011397-RA
OG0006467	AH015949-RA, AH023489-RA	Av_00004931-RA, Av_00003980-RA
OG0006469	AH019502-RA	Av_00016689-RA
OG0006470	AH011093-RA	Av_00008114-RA, Av_00014421-RA
OG0006472	AH018011-RA	Av_00014598-RA
OG0006474	AH004342-RA, AH014172-RA	Av_00002201-RA, Av_00010909-RA
OG0006475	AH022295-RA	Av_00004104-RA
OG0006476	AH010683-RA	Av_00013081-RA
OG0006477	AH020374-RA	Av_00022127-RA
OG0006479	AH019458-RA	Av_00009363-RA
OG0006480	AH021905-RA	Av_00020921-RA, Av_00006287-RA
OG0006481	AH010571-RA, AH019123-RA	Av_00004928-RA
OG0006482	AH009210-RA	Av_00013902-RA
OG0006483	AH019179-RA	Av_00012788-RA, Av_00006238-RA
OG0006484	AH007527-RA	Av_00001297-RA, Av_00015100-RA, Av_00020355-RA
OG0006486	AH017148-RA	Av_00021377-RA
OG0006488	AH002050-RA	Av_00007980-RA
OG0006489	AH012152-RA	Av_00009154-RA
OG0006490	AH019638-RA	Av_00022252-RA
OG0006491	AH020685-RA, AH005884-RA	Av_00015560-RA, Av_00009057-RA
OG0006492	AH014186-RA, AH020836-RA	Av_00004053-RA, Av_00004881-RA
OG0006493	AH021038-RA	Av_00004498-RA, Av_00012323-RA
OG0006494	AH000506-RA	Av_00021506-RA
OG0006495	AH003132-RA, AH018723-RA	Av_00003036-RA
OG0006496	AH014511-RA, AH020875-RA, AH020876-RA	Av_00024456-RA, Av_00004241-RA
OG0006497	AH006194-RA	Av_00014709-RA, Av_00008688-RA
OG0006498	AH022307-RA	Av_00022674-RA
OG0006500	AH020925-RA, AH014447-RA	Av_00019546-RA, Av_00008890-RA
OG0006501	AH023267-RB, AH016244-RA, AH023267-RA	Av_00004682-RA, Av_00018272-RA, Av_00019095-RA
OG0006502	AH009199-RA	Av_00011449-RA, Av_00015233-RA
OG0006503	AH015081-RA, AH021630-RA	Av_00008719-RA, Av_00023128-RA
OG0006504	AH021083-RA	Av_00008747-RA, Av_00017137-RA
OG0006505	AH001985-RA	Av_00022447-RA, Av_00015422-RA
OG0006506	AH016182-RA, AH023329-RA	Av_00004645-RA, Av_00018237-RA
OG0006507	AH013494-RA	Av_00017591-RA, Av_00013074-RA
OG0006508	AH014019-RA	Av_00007386-RA
OG0006509	AH001033-RA	Av_00019752-RA
OG0006511	AH009181-RA	Av_00013896-RA, Av_00003203-RA
OG0006514	AH019971-RA	Av_00001263-RA
OG0006515	AH012091-RA	Av_00002099-RA, Av_00012948-RA
OG0006516	AH014003-RA	Av_00003796-RA, Av_00003797-RA
OG0006517	AH014345-RA	Av_00017116-RA, Av_00022870-RA
OG0006518	AH021217-RA, AH014342-RA	Av_00024597-RA
OG0006519	AH008240-RA	Av_00023998-RA
OG0006520	AH000486-RA, AH002128-RA	Av_00018129-RA, Av_00020193-RA
OG0006521	AH014102-RA	Av_00020602-RA, Av_00024430-RA
OG0006522	AH000642-RA	Av_00023583-RA, Av_00004171-RA
OG0006524	AH014092-RA	Av_00005855-RA
OG0006525	AH011355-RA	Av_00005430-RA, Av_00002996-RA
OG0006526	AH020151-RA	Av_00013086-RA
OG0006527	AH001989-RA	Av_00006822-RA
OG0006528	AH018191-RA, AH011369-RA	Av_00010680-RA, Av_00018594-RA, Av_00018593-RA
OG0006529	AH016070-RA	Av_00002114-RA, Av_00012958-RA
OG0006530	AH017200-RA	Av_00022002-RA
OG0006531	AH021745-RA	Av_00004175-RA
OG0006532	AH014638-RA	Av_00008860-RA, Av_00023284-RA
OG0006533	AH017137-RA, AH020772-RA	Av_00021633-RA, Av_00009041-RA
OG0006534	AH012269-RA, AH019467-RA	Av_00012892-RA, Av_00002056-RA
OG0006535	AH009114-RA	Av_00019873-RA
OG0006536	AH019468-RA	Av_00014756-RA, Av_00009143-RA
OG0006537	AH002074-RA	Av_00011078-RA
OG0006538	AH017900-RA	Av_00000833-RA
OG0006539	AH020909-RA	Av_00019073-RA, Av_00019537-RA
OG0006540	AH000195-RA	Av_00016913-RA
OG0006540	AH012776-RA	Av_00021181-RA
OG0006541	AH019116-RA	Av_00021893-RA
OG0006542	AH001452-RA	Av_00012059-RA
OG0006543	AH022505-RA	Av_00006133-RA
OG0006544	AH007422-RA, AH002023-RA, AH002022-RA	Av_00005087-RA, Av_00022173-RA
OG0006545	AH014514-RA	Av_00003387-RA
OG0006546	AH014013-RA	Av_00005181-RA, Av_00000864-RA, Av_00024576-RA, Av_00002782-RA, Av_00005182-RA
OG0006547	AH006561-RA	Av_00020293-RA, Av_00000712-RA
OG0006548	AH013716-RA	Av_00005097-RA, Av_00015692-RA
OG0006549	AH020400-RA, AH006760-RA	Av_00012683-RA
OG0006550	AH022594-RA	Av_00015293-RA
OG0006551	AH011069-RA, AH019140-RA	Av_00006035-RA
OG0006552	AH014958-RA	Av_00008967-RA
OG0006553	AH007936-RA	Av_00011908-RA
OG0006554	AH014290-RA, AH021068-RA, AH021067-RA	Av_00017127-RA
OG0006555	AH021027-RA	Av_00015878-RA, Av_00024579-RA
OG0006556	AH015931-RA	Av_00004375-RA, Av_00001140-RA, Av_00014339-RA
OG0006558	AH009727-RA	Av_00021303-RA
OG0006559	AH003015-RA	Av_00016420-RA
OG0006561	AH001227-RA, AH001226-RA	Av_00022410-RA, Av_00016918-RA
OG0006562	AH000369-RA, AH001506-RA	Av_00017308-RA
OG0006564	AH012505-RA, AH021744-RA	Av_00005406-RA, Av_00002962-RA, Av_00018003-RA
OG0006565	AH022625-RA	Av_00021606-RA
OG0006566	AH008016-RA, AH011680-RA	Av_00022641-RA, Av_00009564-RA
OG0006567	AH010235-RA, AH013678-RA	Av_00000227-RA
OG0006568	AH017396-RA	Av_00014009-RA
OG0006569	AH010120-RA	Av_00017196-RA, Av_00020043-RA
OG0006570	AH022292-RA, AH013455-RA	Av_00011341-RA, Av_00018407-RA, Av_00003113-RA, Av_00023199-RA, Av_00002388-RA
OG0006571	AH019446-RA, AH019443-RA, AH019445-RA, AH019441-RA	Av_00003999-RA
OG0006572	AH001147-RA	Av_00022844-RA
OG0006573	AH012755-RA	Av_00012575-RA
OG0006574	AH003006-RA	Av_00019585-RA
OG0006575	AH022526-RA	Av_00019684-RA, Av_00013342-RA
OG0006576	AH018962-RA	Av_00015798-RA
OG0006577	AH010764-RA	Av_00003541-RA, Av_00008196-RA
OG0006578	AH000264-RA	Av_00004927-RA
OG0006579	AH010323-RA	Av_00016209-RA
OG0006580	AH013134-RA	Av_00003402-RA
OG0006581	AH020503-RA	Av_00024575-RA
OG0006582	AH012564-RA	Av_00002951-RA
OG0006582	AH012566-RA	Av_00015685-RA
OG0006583	AH001288-RA	Av_00018526-RA, Av_00006221-RA, Av_00012768-RA
OG0006584	AH013157-RA	Av_00018637-RA
OG0006585	AH001183-RA, AH001181-RA	Av_00007365-RA
OG0006586	AH018307-RA	Av_00017546-RA
OG0006588	AH022661-RA	Av_00023623-RA
OG0006589	AH020280-RA	Av_00024156-RA, Av_00012070-RA
OG0006590	AH023116-RA, AH016392-RA	Av_00010565-RA
OG0006592	AH016002-RA	Av_00013592-RA, Av_00008294-RA
OG0006593	AH014706-RA	Av_00018485-RA
OG0006594	AH013778-RA	Av_00006171-RA, Av_00008435-RA
OG0006595	AH013764-RA	Av_00013310-RA
OG0006596	AH018859-RA	Av_00022099-RA
OG0006598	AH021613-RA, AH015104-RA	Av_00003660-RA, Av_00008727-RA, Av_00022094-RA
OG0006599	AH021293-RA	Av_00007043-RA, Av_00011916-RA
OG0006600	AH012809-RA	Av_00018360-RA, Av_00005148-RA
OG0006601	AH007921-RA	Av_00011913-RA
OG0006602	AH006850-RA, AH018856-RA	Av_00003794-RA
OG0006604	AH013143-RA	Av_00022454-RA
OG0006605	AH023432-RA	Av_00006173-RA
OG0006606	AH015482-RA	Av_00008121-RA
OG0006607	AH021812-RA, AH012599-RA	Av_00022175-RA, Av_00022227-RA
OG0006608	AH000150-RA, AH001315-RA	Av_00018517-RA, Av_00006226-RA, Av_00012774-RA
OG0006609	AH006317-RA	Av_00013594-RA
OG0006610	AH000235-RA	Av_00012689-RA, Av_00004745-RA, Av_00016937-RA
OG0006611	AH016298-RA	Av_00022807-RA
OG0006612	AH016527-RA, AH022874-RA	Av_00019927-RA
OG0006613	AH019096-RA	Av_00002788-RA
OG0006614	AH013727-RA	Av_00008426-RA, Av_00006149-RA
OG0006615	AH022640-RA	Av_00021071-RA
OG0006615	AH019073-RA	Av_00014092-RA
OG0006616	AH017409-RA	Av_00003125-RA, Av_00000931-RA
OG0006617	AH017249-RA	Av_00019268-RA
OG0006618	AH018655-RA	Av_00006098-RA
OG0006620	AH010830-RA	Av_00021219-RA
OG0006621	AH020047-RA	Av_00007369-RA
OG0006622	AH019850-RA	Av_00000557-RA
OG0006623	AH006442-RA	Av_00011695-RA
OG0006624	AH009406-RA	Av_00000010-RA, Av_00022272-RA
OG0006625	AH006206-RA	Av_00000388-RA, Av_00015379-RA, Av_00001859-RA
OG0006626	AH019651-RA	Av_00009203-RA, Av_00014792-RA
OG0006627	AH022650-RA, AH018057-RA	Av_00008979-RA, Av_00021930-RA
OG0006628	AH007062-RA, AH007064-RA, AH007061-RA	Av_00017023-RA
OG0006629	AH017246-RA	Av_00015025-RA
OG0006630	AH014405-RA	Av_00018420-RA
OG0006631	AH009439-RA	Av_00017397-RA, Av_00014619-RA
OG0006632	AH004624-RA	Av_00021455-RA, Av_00000879-RA
OG0006633	AH003372-RA	Av_00014248-RA
OG0006634	AH007689-RA, AH010930-RA	Av_00012492-RA, Av_00016373-RA
OG0006635	AH004908-RA	Av_00023335-RA
OG0006636	AH009446-RA	Av_00003285-RA, Av_00013975-RA, Av_00014622-RA
OG0006637	AH008510-RA	Av_00013386-RA, Av_00015904-RA
OG0006638	AH019754-RA	Av_00009224-RA
OG0006640	AH019750-RA	Av_00015046-RA
OG0006641	AH014660-RA	Av_00006286-RA
OG0006643	AH004304-RA	Av_00002092-RA, Av_00009413-RA
OG0006644	AH010729-RA, AH007863-RA	Av_00006469-RA
OG0006645	AH006965-RA	Av_00013535-RA
OG0006646	AH010329-RA	Av_00006593-RA
OG0006647	AH001769-RA	Av_00009879-RA, Av_00018837-RA, Av_00011087-RA, Av_00000970-RA
OG0006648	AH009243-RA	Av_00010886-RA
OG0006650	AH009611-RA	Av_00017419-RA
OG0006651	AH018081-RA	Av_00017757-RA
OG0006652	AH019571-RA, AH000146-RA	Av_00011463-RA
OG0006654	AH007168-RA	Av_00000573-RA
OG0006655	AH005123-RA, AH004618-RA	Av_00000878-RA, Av_00022483-RA
OG0006656	AH019709-RA	Av_00014870-RA
OG0006657	AH003994-RA, AH005605-RA	Av_00001875-RA, Av_00024393-RA
OG0006658	AH018286-RA	Av_00005537-RA, Av_00006054-RA
OG0006659	AH005898-RA, AH003948-RA	Av_00016372-RA
OG0006661	AH002435-RA	Av_00004269-RA
OG0006662	AH001915-RA	Av_00018927-RA
OG0006664	AH006980-RA, AH020208-RA	Av_00017817-RA, Av_00006721-RA, Av_00024354-RA, Av_00006720-RA, Av_00024353-RA
OG0006665	AH017292-RA	Av_00003455-RA, Av_00004837-RA
OG0006667	AH009386-RA	Av_00019666-RA
OG0006669	AH002464-RA	Av_00007308-RA
OG0006670	AH005126-RA	Av_00003373-RA
OG0006672	AH009656-RA	Av_00014657-RA
OG0006673	AH022132-RA	Av_00021984-RA
OG0006676	AH015832-RA	Av_00001431-RA
OG0006677	AH003926-RA	Av_00013708-RA, Av_00000382-RA
OG0006678	AH021029-RA	Av_00001001-RA, Av_00018198-RA
OG0006679	AH016702-RA	Av_00006852-RA, Av_00007930-RA
OG0006680	AH001848-RA	Av_00004424-RA
OG0006682	AH017161-RA, AH018430-RA	Av_00021859-RA, Av_00011642-RA
OG0006683	AH003307-RA, AH010332-RA	Av_00006955-RA, Av_00011801-RA
OG0006684	AH002199-RA	Av_00016236-RA
OG0006685	AH000572-RA, AH001807-RA	Av_00011167-RA, Av_00004433-RA
OG0006686	AH018714-RA	Av_00018563-RA, Av_00005514-RA, Av_00006086-RA
OG0006687	AH009638-RA	Av_00010978-RA
OG0006688	AH005450-RA	Av_00000341-RA
OG0006689	AH005707-RA, AH003868-RA	Av_00000445-RA, Av_00015313-RA, Av_00017915-RA, Av_00016348-RA, Av_00012505-RA
OG0006690	AH023710-RA	Av_00019444-RA, Av_00021622-RA, Av_00009028-RA
OG0006691	AH004448-RA, AH004833-RA	Av_00020992-RA, Av_00022563-RA
OG0006692	AH002708-RA	Av_00002277-RA
OG0006693	AH022368-RA	Av_00011183-RA
OG0006694	AH016096-RA	Av_00005024-RA
OG0006695	AH004196-RA	Av_00005146-RA
OG0006697	AH010633-RA	Av_00015080-RA, Av_00001277-RA
OG0006698	AH007840-RA	Av_00015141-RA
OG0006700	AH004124-RA	Av_00002600-RA
OG0006701	AH001331-RA, AH000318-RA	Av_00021848-RA, Av_00011637-RA
OG0006702	AH019771-RA	Av_00001574-RA
OG0006703	AH013102-RA	Av_00005267-RA
OG0006704	AH014809-RA	Av_00017679-RA, Av_00001741-RA
OG0006706	AH016541-RA, AH022885-RA	Av_00003915-RA, Av_00004978-RA
OG0006707	AH005422-RA	Av_00016998-RA, Av_00003305-RA
OG0006708	AH009474-RA	Av_00021857-RA
OG0006709	AH009340-RA	Av_00000107-RA, Av_00011515-RA, Av_00008355-RA, Av_00020392-RA
OG0006710	AH002802-RA	Av_00011268-RA
OG0006711	AH017211-RA	Av_00024674-RA
OG0006713	AH009384-RA	Av_00008349-RA, Av_00017970-RA, Av_00008346-RA, Av_00008348-RA
OG0006714	AH020508-RA	Av_00003508-RA
OG0006715	AH010312-RA	Av_00014723-RA
OG0006716	AH010643-RA	Av_00010186-RA
OG0006717	AH015557-RA, AH015850-RA	Av_00005567-RA
OG0006718	AH016602-RA, AH022754-RA	Av_00009102-RA, Av_00021873-RA, Av_00018620-RA
OG0006720	AH017485-RA	Av_00012444-RA
OG0006721	AH007280-RA	Av_00013056-RA
OG0006723	AH004695-RA, AH004652-RA	Av_00006443-RA, Av_00007519-RA
OG0006724	AH016490-RA	Av_00004991-RA, Av_00003896-RA
OG0006725	AH012164-RA	Av_00009155-RA
OG0006726	AH002906-RA, AH017462-RA	Av_00024882-RA, Av_00000508-RA
OG0006727	AH005535-RA	Av_00007583-RA, Av_00005233-RA
OG0006728	AH017165-RA	Av_00017716-RA
OG0006728	AH015877-RA	Av_00022309-RA
OG0006731	AH016566-RA, AH022814-RA	Av_00004963-RA, Av_00003933-RA
OG0006734	AH005508-RA, AH004176-RA	Av_00006343-RA, Av_00007778-RA
OG0006735	AH001099-RA	Av_00022247-RA
OG0006736	AH019944-RA, AH007269-RA	Av_00009233-RA
OG0006738	AH019898-RA	Av_00017602-RA
OG0006739	AH017448-RA	Av_00012024-RA
OG0006740	AH018343-RA	Av_00019590-RA, Av_00021419-RA
OG0006742	AH018452-RA, AH011552-RA	Av_00022816-RA, Av_00024569-RA, Av_00021355-RA
OG0006743	AH018208-RA	Av_00000862-RA, Av_00018383-RA, Av_00005174-RA
OG0006745	AH002539-RA	Av_00000112-RA
OG0006746	AH017983-RA	Av_00009284-RA, Av_00012401-RA
OG0006747	AH015922-RA	Av_00007070-RA, Av_00003551-RA, Av_00008246-RA
OG0006748	AH022871-RA	Av_00005767-RA, Av_00012203-RA
OG0006749	AH013562-RA, AH022371-RA	Av_00001690-RA
OG0006750	AH001621-RA	Av_00012818-RA
OG0006751	AH016542-RA	Av_00003914-RA, Av_00004979-RA, Av_00005756-RA, Av_00012209-RA
OG0006752	AH023387-RA	Av_00007102-RA
OG0006754	AH002856-RA, AH017554-RA	Av_00011248-RA, Av_00000532-RA, Av_00001774-RA
OG0006755	AH011120-RA	Av_00001234-RA
OG0006756	AH013577-RA	Av_00008264-RA
OG0006757	AH021224-RA	Av_00009560-RA, Av_00022629-RA, Av_00017585-RA, Av_00015399-RA, Av_00004076-RA, Av_00004075-RA
OG0006758	AH007281-RA	Av_00023455-RA
OG0006759	AH005077-RA	Av_00015509-RA
OG0006760	AH004678-RA	Av_00005289-RA, Av_00024409-RA, Av_00006435-RA
OG0006761	AH016560-RA	Av_00009112-RA
OG0006762	AH017985-RA	Av_00017694-RA, Av_00001720-RA
OG0006763	AH009494-RA	Av_00007868-RA
OG0006766	AH004017-RA	Av_00024086-RA, Av_00022691-RA
OG0006767	AH022313-RA, AH013430-RA	Av_00009130-RA, Av_00015611-RA
OG0006769	AH019215-RA	Av_00006345-RA, Av_00007633-RA
OG0006770	AH005044-RA, AH004373-RA	Av_00015514-RA, Av_00016965-RA, Av_00018083-RA, Av_00024375-RA
OG0006771	AH015175-RA	Av_00002565-RA
OG0006772	AH004598-RA	Av_00006424-RA, Av_00007530-RA
OG0006773	AH005067-RA	Av_00007542-RA
OG0006774	AH017986-RA	Av_00001721-RA, Av_00017693-RA
OG0006775	AH013467-RA	Av_00010532-RA
OG0006776	AH016515-RA	Av_00005770-RA, Av_00012201-RA
OG0006777	AH007322-RA, AH019937-RA	Av_00009502-RA, Av_00018888-RA, Av_00009959-RA, Av_00017096-RA, Av_00019986-RA
OG0006780	AH013443-RA, AH022293-RA	Av_00019514-RA
OG0006782	AH010734-RA, AH007866-RA	Av_00018812-RA, Av_00018631-RA
OG0006782	AH021102-RA, AH014200-RA	Av_00000943-RA, Av_00004316-RA, Av_00012983-RA, Av_00007234-RA
OG0006783	AH021283-RA	Av_00018064-RA
OG0006834	AH014244-RA	Av_00016122-RA, Av_00016087-RA
OG0006835	AH006943-RA	Av_00012086-RA
OG0006837	AH011519-RA, AH018407-RA	Av_00024088-RA
OG0006839	AH021835-RA, AH012622-RA	Av_00020013-RA
OG0006840	AH007065-RA	Av_00019901-RA, Av_00006464-RA
OG0006842	AH023726-RA	Av_00025051-RA
OG0006844	AH023001-RA	Av_00012001-RA, Av_00015633-RA
OG0006845	AH011062-RA	Av_00016534-RA
OG0006846	AH012754-RA	Av_00021178-RA, Av_00013481-RA
OG0006847	AH020408-RA	Av_00014493-RA
OG0006848	AH022402-RA, AH018752-RA	Av_00021397-RA, Av_00020676-RA
OG0006849	AH020132-RA	Av_00017029-RA
OG0006850	AH009292-RA	Av_00008362-RA
OG0006851	AH002170-RA	Av_00010019-RA
OG0006852	AH010395-RA	Av_00011806-RA
OG0006853	AH011020-RA	Av_00001211-RA, Av_00014409-RA
OG0006855	AH006854-RA, AH020332-RA	Av_00020977-RA, Av_00014452-RA
OG0006856	AH003410-RA, AH006279-RA	Av_00019852-RA, Av_00000803-RA
OG0006858	AH016271-RA, AH023221-RA	Av_00018337-RA, Av_00020211-RA
OG0006859	AH002608-RA, AH017779-RA	Av_00000815-RA
OG0006861	AH019988-RA	Av_00018350-RA
OG0006862	AH012133-RA	Av_00009414-RA
OG0006863	AH020154-RA, AH019427-RA	Av_00017872-RA, Av_00013243-RA
OG0006864	AH021913-RA, AH012912-RA	Av_00008312-RA
OG0006866	AH005539-RA	Av_00007582-RA
OG0006867	AH022731-RA, AH016625-RA	Av_00005797-RA
OG0006868	AH011234-RA	Av_00022987-RA
OG0006869	AH012692-RA, AH021869-RA	Av_00022503-RA, Av_00024147-RA
OG0006870	AH016234-RA, AH023274-RA	Av_00004687-RA
OG0006871	AH023491-RA	Av_00013622-RA
OG0006873	AH016985-RA	Av_00008199-RA, Av_00004365-RA
OG0006874	AH011642-RA	Av_00002154-RA
OG0006875	AH022100-RA, AH012959-RA	Av_00019173-RA, Av_00001500-RA, Av_00002117-RA, Av_00012961-RA
OG0006876	AH006717-RA	Av_00019353-RA
OG0006877	AH022528-RA	Av_00006142-RA, Av_00020545-RA
OG0006878	AH004009-RA, AH005375-RA	Av_00011675-RA
OG0006879	AH018518-RA	Av_00015541-RA
OG0006880	AH018149-RA	Av_00003992-RA
OG0006881	AH011838-RA	Av_00002167-RA
OG0006882	AH018913-RA	Av_00018674-RA
OG0006884	AH021079-RA	Av_00017033-RA
OG0006886	AH003478-RA	Av_00000408-RA, Av_00015355-RA
OG0006887	AH000152-RA, AH001325-RA	Av_00012715-RA
OG0006889	AH004657-RA	Av_00017046-RA, Av_00020844-RA
OG0006890	AH002458-RA	Av_00023390-RA
OG0006891	AH007460-RA	Av_00006970-RA
OG0006892	AH020711-RA, AH015424-RA	Av_00004900-RA
OG0006893	AH015702-RA	Av_00021437-RA
OG0006895	AH009939-RA	Av_00003563-RA, Av_00013626-RA
OG0006896	AH002695-RA	Av_00004785-RA
OG0006897	AH000317-RA	Av_00012742-RA
OG0006898	AH015719-RA	Av_00019877-RA
OG0006899	AH021391-RA	Av_00012137-RA, Av_00004033-RA
OG0006900	AH005111-RA	Av_00000742-RA
OG0006901	AH003030-RA	Av_00023139-RA
OG0006903	AH007083-RA	Av_00024094-RA, Av_00021560-RA
OG0006904	AH006909-RA, AH020291-RA	Av_00000669-RA, Av_00020463-RA
OG0006905	AH005453-RA	Av_00011957-RA
OG0006907	AH013927-RA	Av_00007325-RA, Av_00013270-RA
OG0006908	AH022834-RA	Av_00003931-RA
OG0006911	AH011621-RA	Av_00013531-RA
OG0006912	AH000051-RA	Av_00010181-RA
OG0006913	AH022986-RA	Av_00012013-RA
OG0006914	AH017881-RA	Av_00000829-RA
OG0006915	AH015669-RA, AH019156-RA	Av_00022492-RA
OG0006916	AH009454-RA	Av_00003281-RA, Av_00023325-RA
OG0006917	AH015208-RA	Av_00000740-RA
OG0006918	AH019990-RA, AH011771-RA	Av_00000539-RA
OG0006919	AH016389-RA	Av_00011977-RA, Av_00011980-RA
OG0006920	AH001054-RA	Av_00010241-RA, Av_00019742-RA
OG0006921	AH009399-RA	Av_00023562-RA
OG0006922	AH000654-RA	Av_00007943-RA, Av_00006840-RA
OG0006924	AH019710-RA, AH010568-RA	Av_00001316-RA
OG0006926	AH009588-RA	Av_00018767-RA, Av_00015299-RA, Av_00021141-RA
OG0006927	AH013739-RA	Av_00013319-RA, Av_00006152-RA
OG0006928	AH020600-RA	Av_00020748-RA, Av_00023023-RA, Av_00000739-RA
OG0006929	AH012684-RA	Av_00023819-RA
OG0006930	AH007052-RA	Av_00013653-RA, Av_00023389-RA
OG0006933	AH020428-RA	Av_00019800-RA
OG0006934	AH009566-RA	Av_00023313-RA, Av_00013952-RA
OG0006935	AH010339-RA, AH021990-RA	Av_00017248-RA
OG0006938	AH016903-RA	Av_00012098-RA
OG0006939	AH001603-RA, AH000946-RA	Av_00009769-RA
OG0006941	AH011993-RA, AH012004-RA	Av_00013360-RA
OG0006943	AH006888-RA	Av_00001081-RA
OG0006944	AH005735-RA	Av_00001968-RA
OG0006945	AH009270-RA	Av_00018849-RA, Av_00011338-RA, Av_00000961-RA
OG0006947	AH010418-RA	Av_00016286-RA
OG0006948	AH008305-RA	Av_00024033-RA, Av_00002814-RA
OG0006949	AH006721-RA	Av_00017605-RA
OG0006950	AH000778-RA, AH002316-RA	Av_00018325-RA, Av_00007254-RA
OG0006951	AH001678-RA	Av_00012372-RA
OG0006952	AH008434-RA	Av_00009931-RA, Av_00011153-RA
OG0006954	AH008641-RA	Av_00019733-RA
OG0006955	AH002463-RA	Av_00018739-RA
OG0006957	AH009975-RA, AH002760-RA	Av_00013472-RA
OG0006958	AH010791-RA, AH010792-RA, AH010813-RA, AH010812-RA, AH010793-RA	Av_00008373-RA
OG0006959	AH003249-RA	Av_00008980-RA
OG0006960	AH005594-RA	Av_00000399-RA
OG0006961	AH001820-RA, AH000566-RA	Av_00023148-RA, Av_00021538-RA
OG0006962	AH000693-RA	Av_00024655-RA
OG0006964	AH002636-RA	Av_00004795-RA, Av_00009696-RA
OG0006964	AH017757-RA, AH002635-RA, AH002633-RA	Av_00004796-RA, Av_00003434-RA
OG0006965	AH005829-RA, AH003930-RA	Av_00001900-RA, Av_00000429-RA
OG0006966	AH016126-RA	Av_00011615-RA
OG0006967	AH016961-RA	Av_00016445-RA
OG0006969	AH003629-RA	Av_00008180-RA
OG0006970	AH014626-RA	Av_00004262-RA, Av_00004622-RA
OG0006973	AH021181-RA	Av_00008859-RA
OG0006974	AH016731-RA, AH008375-RA	Av_00015989-RA, Av_00010013-RA, Av_00007913-RA, Av_00006866-RA
OG0006975	AH001772-RA	Av_00007199-RA
OG0006976	AH005533-RA	Av_00016986-RA
OG0006978	AH005698-RA	Av_00012504-RA
