Orthogroup	A_hypochondriacus.proteins	V_vinifera.proteins
OG0005888	AH011466-RA	VIT_213s0067g01250.1, VIT_213s0067g01240.1, VIT_208s0105g00600.1
OG0005889	AH016328-RA	VIT_213s0067g01910.5, VIT_213s0067g01910.3, VIT_213s0067g01910.6, VIT_213s0067g01910.7, VIT_213s0067g01910.4, VIT_213s0067g01910.2, VIT_213s0067g01910.1
OG0005890	AH017709-RA	VIT_201s0011g01640.1, VIT_201s0011g01640.2, VIT_201s0011g01640.3, VIT_216s0022g00380.1, VIT_201s0011g01640.4, VIT_201s0011g01640.7
OG0005892	AH003139-RA, AH018763-RA	VIT_202s0087g00420.2, VIT_202s0087g00420.3, VIT_202s0087g00420.1
OG0005895	AH013674-RA	VIT_206s0004g04550.1
OG0005896	AH010583-RA	VIT_214s0030g00630.1
OG0005897	AH021249-RA	VIT_206s0004g08350.3, VIT_206s0004g08350.1, VIT_206s0004g08350.2
OG0005898	AH007161-RA, AH019881-RA	VIT_213s0156g00640.2, VIT_213s0156g00640.1
OG0005900	AH004839-RA	VIT_200s0394g00030.1
OG0005901	AH007063-RA, AH020123-RA	VIT_214s0128g00220.1
OG0005902	AH011139-RA	VIT_204s0023g00780.2, VIT_204s0023g00780.1
OG0005903	AH020012-RA, AH011739-RA	VIT_205s0094g01320.1, VIT_205s0094g01320.2
OG0005904	AH023750-RA	VIT_218s0122g01020.3, VIT_218s0122g01020.2, VIT_218s0122g01020.5, VIT_218s0122g01020.1, VIT_218s0122g01020.4, VIT_218s0122g01020.6
OG0005905	AH001837-RA, AH000556-RA	VIT_203s0063g02250.1
OG0005906	AH015515-RA	VIT_200s0332g00130.1, VIT_200s0246g00060.1
OG0005907	AH023727-RA	VIT_203s0038g03660.6, VIT_203s0038g03660.4, VIT_203s0038g03660.3, VIT_203s0038g03660.2, VIT_203s0038g03660.5, VIT_203s0038g03660.1, VIT_218s0001g14180.1
OG0005908	AH001766-RA	VIT_203s0038g00450.1, VIT_203s0038g00450.2
OG0005909	AH002188-RA, AH003554-RA	VIT_209s0070g00520.1, VIT_207s0141g00230.1
OG0005910	AH008776-RA	VIT_218s0001g05040.1, VIT_200s0357g00100.1
OG0005911	AH008898-RA	VIT_218s0001g03240.1
OG0005912	AH010662-RA, AH007352-RA	VIT_207s0031g02560.3, VIT_207s0031g02560.2, VIT_207s0031g02560.1
OG0005913	AH005647-RA	VIT_205s0094g01640.1
OG0005914	AH008393-RA	VIT_218s0001g09180.2, VIT_218s0001g09180.3, VIT_218s0001g09180.1
OG0005915	AH021914-RA	VIT_218s0001g10590.3, VIT_218s0001g10590.2, VIT_218s0001g10590.1
OG0005916	AH005276-RA	VIT_212s0035g01830.5, VIT_212s0035g01830.4, VIT_212s0035g01830.2, VIT_212s0035g01830.1, VIT_212s0035g01830.3
OG0005917	AH000891-RA, AH000893-RA, AH000866-RA	VIT_211s0052g01130.5, VIT_211s0052g01130.1, VIT_211s0052g01130.2, VIT_211s0052g01130.4, VIT_211s0052g01130.3, VIT_211s0052g01130.6
OG0005918	AH008574-RA	VIT_218s0001g04440.2, VIT_218s0001g04440.1, VIT_218s0001g04440.3, VIT_218s0001g04440.5, VIT_218s0001g04440.6, VIT_218s0001g04440.4
OG0005919	AH005679-RA, AH003532-RA	VIT_207s0031g01990.1
OG0005920	AH009027-RA	VIT_218s0086g00690.1
OG0005921	AH001779-RA	VIT_203s0038g04350.1, VIT_218s0001g13090.1
OG0005922	AH023420-RA	VIT_219s0027g00590.1
OG0005923	AH016069-RA, AH005842-RA	VIT_218s0089g01210.1, VIT_218s0089g01220.1
OG0005924	AH008837-RA	VIT_218s0001g13000.1
OG0005925	AH008558-RA	VIT_218s0001g11270.1
OG0005926	AH005657-RA	VIT_200s1364g00010.1, VIT_200s0483g00030.1, VIT_200s0483g00040.1
OG0005926	AH002394-RA	VIT_203s0038g00360.1
OG0005927	AH005145-RA	VIT_214s0068g01100.1
OG0005927	AH021579-RA, AH015140-RA	VIT_201s0150g00040.1
OG0005928	AH012920-RA, AH022109-RA	VIT_206s0004g08460.1, VIT_206s0004g08460.4, VIT_206s0004g08460.2
OG0005929	AH001906-RA	VIT_203s0063g00680.1, VIT_203s0063g00680.2
OG0005930	AH020475-RA	VIT_200s0252g00010.5, VIT_200s0252g00010.4, VIT_200s0252g00010.1, VIT_200s0252g00010.2, VIT_200s0252g00010.3
OG0005931	AH000681-RA	VIT_212s0055g00910.1, VIT_218s0001g04730.1
OG0005932	AH008435-RA	VIT_204s0023g01140.1, VIT_200s0274g00005.1
OG0005933	AH015005-RA	VIT_212s0055g00780.1, VIT_212s0055g00780.4, VIT_212s0055g00780.2, VIT_212s0055g00780.3, VIT_212s0055g00780.5, VIT_212s0055g00780.9, VIT_212s0055g00780.8, VIT_212s0055g00780.7, VIT_212s0055g00780.6
OG0005934	AH008538-RA	VIT_218s0072g00260.1
OG0005935	AH006852-RA	VIT_208s0007g06290.1
OG0005936	AH021175-RA, AH014639-RA	VIT_212s0055g01140.2, VIT_212s0055g01140.1
OG0005937	AH011898-RA	VIT_208s0007g00730.4, VIT_208s0007g00730.3, VIT_208s0007g00730.1, VIT_208s0007g00730.2
OG0005938	AH003857-RA	VIT_200s0471g00020.1, VIT_218s0001g08785.1
OG0005939	AH016703-RA, AH008340-RA	VIT_218s0001g08200.1
OG0005940	AH008944-RA	VIT_218s0001g13610.1
OG0005941	AH021971-RA	VIT_208s0040g02290.2, VIT_208s0040g02290.1, VIT_208s0040g02290.3, VIT_208s0040g02290.4, VIT_208s0040g02290.5
OG0005942	AH002352-RA, AH000742-RA, AH021468-RA	VIT_203s0038g03220.3, VIT_203s0038g03220.1, VIT_203s0038g03220.4, VIT_203s0038g03220.2, VIT_203s0038g03210.2, VIT_203s0038g03210.1
OG0005943	AH010781-RA	VIT_203s0063g00540.1
OG0005944	AH020697-RA	VIT_213s0106g00540.1, VIT_204s0008g06160.4, VIT_204s0008g06160.5, VIT_204s0008g06160.3, VIT_204s0008g06160.1, VIT_204s0008g06160.2
OG0005945	AH008389-RA, AH016687-RA	VIT_218s0001g09130.1
OG0005946	AH008903-RA	VIT_218s0001g02200.4, VIT_218s0001g02200.3, VIT_218s0001g02200.1, VIT_218s0001g02200.2
OG0005947	AH016785-RA	VIT_218s0001g01130.1
OG0005948	AH023683-RA, AH002326-RA	VIT_203s0038g03545.1
OG0005949	AH000986-RA, AH001681-RA	VIT_203s0180g00320.1, VIT_203s0180g00200.1, VIT_203s0091g00040.1
OG0005950	AH008802-RA	VIT_218s0001g06970.1
OG0005952	AH001414-RA	VIT_218s0001g12570.1
OG0005953	AH012751-RA	VIT_207s0031g01340.1
OG0005955	AH017507-RA	VIT_207s0104g00810.1, VIT_207s0104g00810.3, VIT_207s0104g00810.4, VIT_207s0104g00810.2
OG0005956	AH007860-RA	VIT_212s0055g00790.1
OG0005957	AH003591-RA	VIT_207s0031g02130.1
OG0005958	AH000082-RA	VIT_203s0091g00830.1
OG0005959	AH008364-RA	VIT_218s0001g08580.1
OG0005960	AH021258-RA	VIT_200s0174g00150.2, VIT_200s0174g00150.3, VIT_200s0174g00150.4, VIT_200s0174g00150.1
OG0005961	AH023353-RA	VIT_204s0008g03380.1
OG0005962	AH009768-RA	VIT_219s0015g00280.2, VIT_219s0015g00280.3, VIT_219s0015g00280.1
OG0005963	AH017679-RA	VIT_207s0005g01590.2, VIT_207s0005g01590.1, VIT_207s0005g01590.3
OG0005964	AH021430-RA	VIT_200s0531g00040.1
OG0005965	AH010284-RA	VIT_201s0011g02880.1, VIT_219s0140g00100.1
OG0005966	AH006539-RA	VIT_200s1255g00020.2, VIT_200s0921g00030.3, VIT_200s1255g00020.1, VIT_200s0921g00030.2, VIT_200s0921g00030.1
OG0005968	AH008046-RA, AH008045-RA	VIT_219s0014g02200.1
OG0005969	AH008148-RA, AH015203-RA, AH021556-RA	VIT_219s0014g05090.1, VIT_200s0532g00030.1
OG0005970	AH008746-RA	VIT_209s0002g06040.1
OG0005971	AH020971-RA	VIT_211s0052g00890.2, VIT_211s0052g00890.1
OG0005972	AH000118-RA	VIT_212s0057g01270.1, VIT_212s0057g01270.2, VIT_212s0057g01270.3
OG0005973	AH015974-RA	VIT_204s0044g02010.1, VIT_204s0044g02010.2
OG0005974	AH010003-RA, AH008084-RA	VIT_219s0014g03370.2, VIT_219s0014g03370.1
OG0005975	AH021465-RA, AH021465-RB, AH014924-RA	VIT_212s0059g01580.1, VIT_200s0515g00030.1
OG0005976	AH011054-RA	VIT_211s0052g00180.4, VIT_211s0052g00180.3, VIT_211s0052g00180.2, VIT_211s0052g00180.1
OG0005977	AH020615-RA	VIT_211s0037g00180.1
OG0005978	AH022261-RA, AH013473-RA	VIT_209s0018g02110.1
OG0005979	AH009141-RA	VIT_215s0048g00490.3
OG0005980	AH014272-RA	VIT_211s0037g00860.1, VIT_211s0037g00860.2
OG0005982	AH020891-RA, AH014494-RA	VIT_211s0016g03420.1
OG0005983	AH019529-RA	VIT_216s0100g00490.2, VIT_216s0100g00490.9, VIT_216s0100g00490.8, VIT_216s0100g00490.4, VIT_216s0100g00490.1, VIT_216s0100g00490.7, VIT_216s0100g00490.6, VIT_216s0100g00490.5, VIT_216s0100g00490.3
OG0005984	AH017890-RA	VIT_207s0031g03120.1, VIT_207s0031g03120.2
OG0005985	AH002113-RA, AH002114-RA	VIT_209s0002g04140.1, VIT_209s0002g04150.1
OG0005986	AH022301-RA, AH005597-RA	VIT_209s0002g00210.1
OG0005987	AH022302-RA, AH013440-RA	VIT_209s0002g00220.1
OG0005988	AH017147-RA	VIT_204s0008g00880.1
OG0005990	AH002780-RA	VIT_201s0011g04640.2, VIT_201s0011g04640.1
OG0005991	AH012111-RA, AH019599-RA	VIT_207s0129g00990.1, VIT_207s0129g00970.1, VIT_216s0050g01020.1
OG0005992	AH016058-RA	VIT_204s0008g01430.6, VIT_204s0008g01430.2, VIT_204s0008g01430.4, VIT_204s0008g01430.5, VIT_204s0008g01430.3, VIT_204s0008g01430.1
OG0005993	AH020009-RA	VIT_205s0094g01370.1, VIT_205s0094g01370.4, VIT_205s0094g01370.2, VIT_205s0094g01370.3
OG0005994	AH014463-RA	VIT_204s0008g00510.1, VIT_216s0013g01780.1, VIT_216s0013g01760.1
OG0005995	AH019527-RA, AH012351-RA	VIT_202s0025g04410.1
OG0005996	AH001977-RA	VIT_201s0010g03590.3, VIT_201s0010g03590.1, VIT_201s0010g03590.2
OG0005997	AH011467-RA	VIT_202s0012g00750.2, VIT_202s0012g00750.1, VIT_202s0012g00750.3, VIT_202s0012g00750.5, VIT_202s0012g00750.4
OG0005998	AH009130-RA	VIT_215s0048g00440.2, VIT_215s0048g00440.1, VIT_215s0048g00440.3, VIT_215s0048g00440.4
OG0005999	AH001974-RA	VIT_218s0117g00230.4, VIT_218s0117g00230.6, VIT_218s0117g00230.1, VIT_218s0117g00230.5, VIT_218s0117g00230.3, VIT_218s0117g00230.2
OG0006000	AH009552-RA	VIT_215s0046g00430.1
OG0006000	AH018102-RA	VIT_202s0025g01600.1
OG0006001	AH013375-RA	VIT_209s0002g01150.1
OG0006002	AH012256-RA	VIT_216s0022g00980.1, VIT_216s0022g00980.5, VIT_216s0022g00980.2, VIT_216s0022g00980.10, VIT_216s0022g00980.9, VIT_216s0022g00980.7, VIT_216s0022g00980.4, VIT_216s0022g00980.8, VIT_216s0022g00980.6, VIT_216s0022g00980.3
OG0006003	AH022345-RA	VIT_209s0002g00930.1
OG0006004	AH000933-RA	VIT_215s0021g01940.2, VIT_215s0021g01940.1, VIT_215s0021g01940.3, VIT_215s0021g01940.6, VIT_215s0021g01940.5, VIT_215s0021g01940.4
OG0006005	AH019270-RA	VIT_211s0016g02020.2, VIT_211s0016g02020.7, VIT_211s0016g02020.1, VIT_211s0016g02020.5, VIT_211s0016g02020.4, VIT_211s0016g02020.6, VIT_211s0016g02020.3
OG0006006	AH020010-RA	VIT_204s0008g03010.3, VIT_204s0008g03010.2, VIT_204s0008g03010.1
OG0006007	AH013752-RA, AH013751-RA	VIT_211s0016g04610.3, VIT_211s0016g04610.1, VIT_211s0016g04610.2, VIT_211s0016g04610.4
OG0006008	AH019004-RA	VIT_204s0008g06670.1
OG0006009	AH020992-RA	VIT_211s0052g01710.4, VIT_211s0052g01710.1, VIT_211s0052g01710.3, VIT_211s0052g01710.2
OG0006010	AH012331-RA	VIT_216s0022g02370.1
OG0006012	AH012335-RA	VIT_216s0100g00200.1
OG0006013	AH016959-RA, AH023820-RA, AH023833-RA	VIT_218s0001g12760.1
OG0006014	AH002047-RA	VIT_209s0002g05710.1
OG0006015	AH010881-RA	VIT_206s0004g00920.1
OG0006017	AH008981-RA, AH019255-RA	VIT_204s0008g05220.1
OG0006018	AH011977-RA	VIT_216s0098g01790.1
OG0006020	AH021626-RA	VIT_215s0024g00350.1
OG0006021	AH014281-RA	VIT_217s0000g02250.3, VIT_217s0000g02250.1, VIT_217s0000g02250.2
OG0006022	AH003136-RA	VIT_200s2117g00010.2, VIT_200s2117g00010.1
OG0006023	AH021060-RA	VIT_211s0037g00480.2, VIT_211s0037g00480.1
OG0006024	AH011571-RA, AH018491-RA	VIT_206s0009g01520.1, VIT_200s0201g00086.1, VIT_203s0038g04695.1, VIT_203s0063g02210.1, VIT_219s0177g00366.1, VIT_202s0033g00010.1
OG0006025	AH013937-RA, AH017933-RA	VIT_211s0118g00820.3, VIT_211s0118g00820.4, VIT_211s0118g00820.6, VIT_211s0118g00820.1, VIT_211s0118g00820.5, VIT_211s0118g00820.2
OG0006026	AH020916-RA	VIT_211s0016g03230.2, VIT_211s0016g03230.1, VIT_211s0016g03230.3, VIT_211s0016g03230.4
OG0006027	AH014325-RA	VIT_211s0016g00630.5, VIT_211s0016g00630.9, VIT_211s0016g00630.6, VIT_211s0016g00630.2, VIT_211s0016g00630.7, VIT_211s0016g00630.10, VIT_211s0016g00630.8, VIT_211s0016g00630.3, VIT_211s0016g00630.4, VIT_211s0016g00630.1
OG0006028	AH016914-RA	VIT_205s0020g00360.3, VIT_205s0020g00200.1, VIT_205s0020g00080.1, VIT_205s0020g00360.4, VIT_205s0020g00360.1, VIT_205s0020g00360.2
OG0006029	AH019559-RA	VIT_208s0007g01340.2, VIT_208s0007g01340.3, VIT_208s0007g01340.4, VIT_208s0007g01340.1
OG0006030	AH020885-RA	VIT_211s0016g03510.2, VIT_211s0016g03510.1, VIT_211s0016g03510.3
OG0006031	AH019489-RA	VIT_216s0022g02120.1, VIT_216s0022g02120.2
OG0006032	AH010714-RA	VIT_204s0008g07070.2, VIT_204s0008g07070.3, VIT_204s0008g07070.1
OG0006033	AH019216-RA	VIT_204s0008g04870.1
OG0006034	AH013426-RA, AH022316-RA	VIT_209s0002g00430.1
OG0006036	AH004447-RA	VIT_209s0002g08940.2, VIT_209s0002g08940.1
OG0006037	AH001946-RA	VIT_219s0027g01050.1
OG0006038	AH023332-RA	VIT_211s0016g03580.1, VIT_211s0016g03580.2, VIT_211s0016g03580.3, VIT_204s0008g03590.1, VIT_204s0008g03590.2
OG0006039	AH015341-RA	VIT_204s0008g06700.1, VIT_204s0008g06700.2
OG0006040	AH021162-RA	VIT_211s0052g00300.3, VIT_211s0052g00300.2, VIT_211s0052g00300.1
OG0006041	AH016093-RA, AH017152-RA	VIT_204s0008g01310.1
OG0006042	AH013381-RA, AH022350-RA	VIT_209s0002g01080.1, VIT_200s0265g00170.1
OG0006044	AH016588-RA	VIT_214s0083g01090.1, VIT_214s0083g01090.2
OG0006045	AH015332-RA	VIT_204s0008g04310.6, VIT_204s0008g04310.3, VIT_204s0008g04310.5, VIT_204s0008g04310.4, VIT_204s0008g04310.2, VIT_204s0008g04310.1
OG0006046	AH011776-RA	VIT_208s0032g01140.2, VIT_208s0032g01140.1
OG0006047	AH008281-RA	VIT_200s0194g00120.1
OG0006048	AH000218-RA	VIT_206s0061g00690.1
OG0006049	AH023470-RA	VIT_213s0019g00810.1
OG0006050	AH009924-RA	VIT_219s0090g00630.4, VIT_219s0090g00630.2, VIT_219s0090g00630.3, VIT_219s0090g00630.5, VIT_219s0090g00630.6, VIT_219s0090g00630.1
OG0006051	AH001377-RA	VIT_212s0028g03020.1
OG0006052	AH006638-RA	VIT_206s0009g03630.1, VIT_208s0040g00820.1
OG0006053	AH002717-RA	VIT_210s0003g03860.2, VIT_210s0003g03860.1
OG0006054	AH008222-RA	VIT_219s0090g00920.3, VIT_219s0090g00920.5, VIT_219s0090g00920.1, VIT_219s0090g00920.10, VIT_219s0090g00920.7, VIT_219s0090g00920.2, VIT_219s0090g00920.4, VIT_219s0090g00920.6, VIT_219s0090g00920.8, VIT_219s0090g00920.9
OG0006056	AH020398-RA	VIT_208s0007g08680.1
OG0006057	AH010015-RA	VIT_210s0116g01740.1
OG0006058	AH018844-RA	VIT_208s0058g00510.2, VIT_208s0058g00510.8, VIT_208s0058g00510.6, VIT_208s0058g00510.5, VIT_208s0058g00510.7, VIT_208s0058g00510.4, VIT_208s0058g00510.3, VIT_208s0058g00510.1
OG0006059	AH016651-RA	VIT_213s0064g00870.8, VIT_213s0064g00870.6, VIT_213s0064g00870.5, VIT_213s0064g00870.4, VIT_213s0064g00870.7, VIT_213s0064g00870.9, VIT_213s0064g00870.3, VIT_213s0064g00870.2, VIT_213s0064g00870.1
OG0006060	AH021961-RA	VIT_208s0040g02440.1
OG0006061	AH013771-RA, AH022709-RA	VIT_206s0004g06050.1
OG0006062	AH013190-RA	VIT_206s0004g07130.1
OG0006063	AH012683-RA	VIT_201s0011g01440.1
OG0006064	AH006383-RA, AH003369-RA	VIT_210s0092g00170.2, VIT_210s0092g00170.3, VIT_210s0092g00170.1
OG0006065	AH008257-RA	VIT_207s0130g00070.2, VIT_207s0130g00070.1
OG0006066	AH018860-RA	VIT_208s0105g00280.3
OG0006068	AH018159-RA	VIT_202s0025g02330.1
OG0006069	AH010108-RA	VIT_219s0014g01860.4, VIT_219s0014g01860.6, VIT_219s0014g01860.3, VIT_219s0014g01860.2, VIT_219s0014g01860.5, VIT_219s0014g01860.1
OG0006070	AH013146-RA	VIT_206s0004g04040.1
OG0006071	AH013676-RA	VIT_211s0078g00440.3, VIT_211s0078g00440.1, VIT_211s0078g00440.5, VIT_211s0078g00440.2, VIT_211s0078g00440.4
OG0006072	AH004086-RA	VIT_208s0032g00670.2, VIT_211s0065g00570.1, VIT_208s0032g00670.3, VIT_208s0032g00670.1, VIT_215s0045g00030.1, VIT_200s0285g00060.1, VIT_200s0352g00020.1, VIT_200s0319g00060.1, VIT_200s0327g00020.1
OG0006073	AH001310-RA	VIT_206s0004g03420.1
OG0006075	AH023243-RA	VIT_219s0014g01190.6, VIT_219s0014g01190.3, VIT_219s0014g01190.2, VIT_219s0014g01190.1, VIT_219s0014g01190.4, VIT_219s0014g01190.5
OG0006076	AH000865-RA	VIT_208s0040g02280.2, VIT_208s0040g02280.3, VIT_208s0040g02280.1
OG0006077	AH010141-RA	VIT_201s0150g00620.2, VIT_201s0150g00620.3, VIT_201s0150g00620.1, VIT_201s0150g00620.5, VIT_201s0150g00620.4
OG0006078	AH012617-RA	VIT_208s0007g03470.7, VIT_208s0007g03470.3, VIT_208s0007g03470.6, VIT_208s0007g03470.5, VIT_208s0007g03470.4, VIT_208s0007g03470.2, VIT_208s0007g03470.1
OG0006080	AH016360-RA, AH023058-RA	VIT_202s0025g01490.2
OG0006081	AH016405-RA	VIT_213s0019g03210.1
OG0006081	AH017208-RA	VIT_208s0007g01620.1
OG0006082	AH021318-RA	VIT_210s0003g03010.1
OG0006083	AH008230-RA	VIT_208s0007g01460.6, VIT_208s0007g01460.4, VIT_208s0007g01460.2, VIT_208s0007g01460.1, VIT_208s0007g01460.3, VIT_208s0007g01460.5
OG0006084	AH011350-RA	VIT_202s0025g02400.3, VIT_202s0025g02400.1, VIT_202s0025g02400.2
OG0006086	AH023161-RA	VIT_213s0067g02210.1, VIT_213s0067g02210.2
OG0006087	AH007805-RA, AH007785-RA	VIT_208s0056g00030.5, VIT_208s0056g00030.1, VIT_208s0056g00030.6, VIT_208s0056g00030.4, VIT_208s0056g00030.2, VIT_208s0056g00030.7, VIT_208s0056g00030.3
OG0006089	AH014996-RA	VIT_210s0116g01770.2, VIT_210s0116g01770.6, VIT_210s0116g01770.4, VIT_210s0116g01770.5, VIT_210s0116g01770.3, VIT_210s0116g01770.1
OG0006090	AH006983-RA	VIT_208s0056g01420.1
OG0006091	AH003033-RA, AH003036-RA	VIT_208s0007g00770.3, VIT_208s0007g00770.1, VIT_208s0007g00770.2
OG0006092	AH001323-RA	VIT_206s0004g03270.7, VIT_206s0004g03270.6, VIT_206s0004g03270.4, VIT_206s0004g03270.3, VIT_206s0004g03270.5, VIT_206s0004g03270.2, VIT_206s0004g03270.1
OG0006093	AH020271-RA	VIT_213s0019g04720.2, VIT_213s0019g04720.1, VIT_213s0019g04720.3
OG0006094	AH006249-RA	VIT_212s0028g01050.1, VIT_212s0028g01050.3, VIT_212s0028g01050.2
OG0006095	AH014867-RA	VIT_200s0259g00160.4, VIT_200s0259g00160.2, VIT_200s0259g00160.1, VIT_200s0259g00160.5, VIT_200s0259g00160.3
OG0006096	AH021627-RA	VIT_210s0116g00460.1
OG0006097	AH013406-RA	VIT_209s0002g00620.3, VIT_209s0002g00620.6, VIT_209s0002g00620.4, VIT_209s0002g00620.1, VIT_209s0002g00620.2, VIT_209s0002g00620.5
OG0006098	AH015685-RA, AH007164-RA	VIT_206s0009g01860.3, VIT_206s0009g01860.2, VIT_206s0009g01860.1, VIT_206s0009g01860.4
OG0006099	AH021557-RA, AH015200-RA	VIT_200s0904g00010.2, VIT_200s0904g00010.1
OG0006101	AH005325-RA	VIT_213s0019g04520.1
OG0006102	AH017273-RA	VIT_212s0028g03150.4, VIT_212s0028g03150.5, VIT_212s0028g03150.2, VIT_212s0028g03150.1, VIT_212s0028g03150.3
OG0006104	AH014918-RA	VIT_200s0317g00100.2, VIT_200s0317g00100.1
OG0006105	AH000048-RA	VIT_212s0059g01630.3, VIT_212s0059g01630.1, VIT_212s0059g01630.2, VIT_212s0059g01630.4
OG0006106	AH014874-RA	VIT_200s0194g00260.1
OG0006107	AH021820-RA	VIT_208s0007g03410.1
OG0006107	AH022406-RA	VIT_206s0080g00370.2, VIT_206s0080g00370.1, VIT_206s0080g00370.3
OG0006109	AH012458-RA, AH021715-RA	VIT_208s0058g01290.2, VIT_208s0058g01290.1
OG0006110	AH001959-RA	VIT_219s0085g00270.3, VIT_219s0085g00270.2, VIT_219s0085g00270.1
OG0006111	AH006907-RA	VIT_208s0007g07150.1
OG0006112	AH001283-RA	VIT_212s0059g02440.1
OG0006113	AH018998-RA	VIT_205s0049g01380.3, VIT_205s0049g01380.4, VIT_205s0049g01380.6, VIT_205s0049g01380.5, VIT_205s0049g01380.2, VIT_205s0049g01380.1, VIT_208s0056g01280.1
OG0006114	AH023139-RA	VIT_213s0067g01890.2, VIT_213s0067g01890.1, VIT_213s0067g01890.4, VIT_213s0067g01890.3
OG0006115	AH012633-RA	VIT_208s0007g03690.3, VIT_208s0007g03690.2, VIT_208s0007g03690.1
OG0006116	AH019095-RA, AH003028-RA	VIT_202s0154g00140.1, VIT_200s0233g00060.1
OG0006117	AH018533-RA	VIT_201s0010g00020.1, VIT_201s0010g00020.2, VIT_201s0010g00020.5, VIT_201s0010g00020.4, VIT_201s0010g00020.3
OG0006118	AH008508-RA	VIT_213s0074g00150.2, VIT_213s0074g00150.3, VIT_213s0074g00150.1, VIT_213s0074g00150.5, VIT_213s0074g00150.4, VIT_213s0074g00150.6
OG0006119	AH006790-RA	VIT_208s0007g08280.1
OG0006120	AH003806-RA	VIT_218s0072g00220.1, VIT_218s0072g00210.1
OG0006121	AH021059-RA	VIT_208s0007g01600.1, VIT_208s0007g01600.4, VIT_208s0007g01600.3, VIT_208s0007g01600.5, VIT_208s0007g01600.2
OG0006123	AH010987-RA	VIT_201s0010g00595.1
OG0006124	AH010928-RA, AH007687-RA	VIT_206s0004g01740.5, VIT_206s0004g01740.4, VIT_206s0004g01740.2, VIT_206s0004g01740.3, VIT_206s0004g01740.1
OG0006125	AH012435-RA, AH021692-RA	VIT_208s0056g00640.1
OG0006126	AH013019-RA	VIT_207s0005g04920.1
OG0006127	AH002879-RA	VIT_204s0044g00120.1
OG0006129	AH006745-RA	VIT_208s0007g09020.1
OG0006130	AH018177-RA	VIT_202s0025g02540.1
OG0006131	AH017230-RA	VIT_217s0000g01490.1
OG0006132	AH011902-RA	VIT_216s0098g00980.1
OG0006133	AH002129-RA	VIT_218s0001g07230.1, VIT_218s0001g07230.2
OG0006134	AH004470-RA	VIT_201s0137g00420.1
OG0006135	AH006091-RA	VIT_207s0031g00820.3, VIT_207s0031g00820.1, VIT_207s0031g00820.5, VIT_207s0031g00820.2, VIT_207s0031g00820.4
OG0006136	AH016849-RA	VIT_201s0011g06320.2, VIT_201s0011g06320.3, VIT_201s0011g06320.5, VIT_201s0011g06320.1, VIT_201s0011g06320.4
OG0006137	AH004927-RA	VIT_202s0033g00360.1
OG0006138	AH008681-RA, AH016963-RA, AH016963-RB	VIT_218s0001g12100.5, VIT_218s0001g12100.6, VIT_218s0001g12100.4, VIT_218s0001g12100.3, VIT_218s0001g12100.2, VIT_218s0001g12100.1
OG0006139	AH004891-RA	VIT_201s0137g00200.1
OG0006140	AH018085-RA	VIT_202s0025g01400.7, VIT_202s0025g01400.9, VIT_202s0025g01400.4, VIT_202s0025g01400.6, VIT_202s0025g01400.5, VIT_202s0025g01400.2, VIT_202s0025g01400.1, VIT_202s0025g01400.3, VIT_202s0025g01400.8
OG0006141	AH003626-RA, AH009035-RA	VIT_200s0434g00080.2, VIT_200s0434g00080.3, VIT_200s0434g00080.1
OG0006142	AH003535-RA	VIT_204s0044g00300.1
OG0006143	AH005314-RA	VIT_214s0066g00390.1
OG0006145	AH018722-RA	VIT_201s0011g01690.1
OG0006147	AH009057-RA	VIT_201s0150g00550.1, VIT_201s0150g00550.2
OG0006148	AH016922-RA	VIT_218s0122g00510.1, VIT_218s0122g00510.2
OG0006149	AH009140-RA	VIT_215s0048g00520.2, VIT_215s0048g00520.1
OG0006150	AH017170-RA	VIT_217s0000g01790.3, VIT_217s0000g01790.2, VIT_217s0000g01790.1
OG0006151	AH016737-RA, AH008322-RA	VIT_218s0001g13930.1
OG0006152	AH008836-RA	VIT_218s0001g07380.1
OG0006153	AH013330-RA	VIT_203s0088g00670.2, VIT_203s0088g00670.1, VIT_207s0031g02890.1
OG0006155	AH004525-RA	VIT_201s0010g03300.4, VIT_201s0010g03300.6, VIT_201s0010g03300.5, VIT_201s0010g03300.2, VIT_201s0010g03300.1, VIT_201s0010g03300.3
OG0006156	AH009620-RA	VIT_215s0046g01620.2, VIT_215s0046g01620.1
OG0006157	AH009215-RA	VIT_215s0048g01790.4, VIT_215s0048g01790.6, VIT_215s0048g01790.2, VIT_215s0048g01790.5, VIT_215s0048g01790.1, VIT_215s0048g01790.3
OG0006158	AH010884-RA	VIT_206s0004g00960.1, VIT_202s0087g00750.1
OG0006159	AH022881-RA	VIT_210s0003g03920.2, VIT_210s0003g03920.3, VIT_210s0003g03920.1
OG0006160	AH005497-RA	VIT_201s0011g04420.1
OG0006161	AH012089-RA, AH003020-RA	VIT_217s0000g01540.1
OG0006162	AH001792-RA	VIT_218s0001g10780.1, VIT_218s0001g10780.2
OG0006163	AH010429-RA	VIT_214s0060g01560.2, VIT_214s0060g01560.1
OG0006164	AH021286-RA	VIT_210s0003g04000.1, VIT_210s0003g04000.2
OG0006165	AH012034-RA	VIT_216s0050g02500.1
OG0006166	AH021902-RA	VIT_214s0219g00130.1
