Orthogroup	A_hypochondriacus.proteins	A_thaliana.proteins
OG0006130	AH018177-RA	AT4G24130.1
OG0006131	AH017230-RA	AT3G48520.1, AT5G63450.2, AT5G63450.1
OG0006132	AH011902-RA	AT5G24500.1
OG0006133	AH002129-RA	AT2G33740.1, AT2G33740.2
OG0006134	AH004470-RA	AT5G40580.3, AT5G40580.4, AT3G27430.3, AT5G40580.1, AT5G40580.2, AT3G27430.2, AT3G27430.1
OG0006135	AH006091-RA	AT4G37040.1
OG0006136	AH016849-RA	AT2G01905.1
OG0006138	AH008681-RA, AH016963-RA, AH016963-RB	AT1G75100.1
OG0006139	AH004891-RA	AT1G24480.1
OG0006139	AH013553-RA	AT4G24805.1
OG0006140	AH018085-RA	AT4G23840.1
OG0006141	AH003626-RA, AH009035-RA	AT4G35880.1, AT4G35880.2
OG0006142	AH003535-RA	AT5G09840.1, AT5G64710.2, AT5G64710.1
OG0006143	AH005314-RA	AT5G40530.4, AT5G40530.2, AT5G40530.3, AT5G40530.1
OG0006145	AH018722-RA	AT5G37340.3, AT5G37340.1, AT5G37340.2, AT5G37340.4, AT5G22480.1
OG0006147	AH009057-RA	AT2G19640.2, AT2G19640.1
OG0006148	AH016922-RA	AT1G20950.1, AT1G76550.1
OG0006149	AH009140-RA	AT3G60720.1, AT3G60720.3, AT3G60720.2
OG0006150	AH017170-RA	AT5G63380.1
OG0006151	AH016737-RA, AH008322-RA	AT1G19850.2, AT1G19850.1
OG0006152	AH008836-RA	AT1G14490.1, AT1G14490.2, AT5G49700.1
OG0006153	AH013330-RA	AT1G71430.1
OG0006155	AH004525-RA	AT1G67490.2, AT1G67490.1, AT1G24320.1, AT1G24320.2
OG0006156	AH009620-RA	AT4G01210.1
OG0006157	AH009215-RA	AT1G01860.4, AT1G01860.5, AT1G01860.1, AT1G01860.2, AT1G01860.3
OG0006158	AH010884-RA	AT5G19870.1, AT1G55240.1, AT1G55230.1
OG0006159	AH022881-RA	AT5G46160.2, AT5G46160.1
OG0006160	AH005497-RA	AT1G71150.2, AT1G71150.1, AT1G22970.3, AT1G22970.2, AT1G22970.4, AT1G22970.1, AT1G22980.2, AT1G22980.1
OG0006161	AH012089-RA, AH003020-RA	AT1G30230.2, AT1G30230.1, AT2G18110.1
OG0006162	AH001792-RA	AT1G47420.1
OG0006163	AH010429-RA	AT3G05670.2, AT3G05670.3, AT3G05670.1
OG0006164	AH021286-RA	AT4G15850.1
OG0006165	AH012034-RA	AT5G53210.1, AT5G53210.2
OG0006167	AH005649-RA	AT5G65540.1
OG0006168	AH005240-RA, AH004250-RA	AT5G37370.4, AT5G37370.6, AT5G37370.7, AT5G37370.5, AT5G37370.2, AT5G37370.1
OG0006169	AH005277-RA	AT1G33440.1, AT1G59740.1
OG0006170	AH003275-RA	AT5G08710.2, AT5G08710.1
OG0006171	AH017253-RA	AT5G50720.1, AT4G24960.1, AT4G24960.3, AT4G24960.2
OG0006172	AH014625-RA	AT1G49970.1
OG0006173	AH010740-RA	AT3G04470.1
OG0006174	AH013309-RA	AT1G55080.2, AT1G55080.1, AT1G29580.1
OG0006175	AH005394-RA	AT5G49070.1, AT5G49070.2
OG0006175	AH010522-RA	AT1G71160.1
OG0006176	AH022366-RA	AT3G48430.1, AT3G48430.2
OG0006177	AH001729-RA	AT2G16500.1, AT4G34710.1, AT4G34710.2
OG0006178	AH010527-RA	AT5G27830.6, AT5G27830.2, AT5G27830.1, AT5G27830.5, AT5G27830.4, AT5G27830.3
OG0006179	AH008891-RA, AH008892-RA	AT4G24500.3, AT4G24500.1, AT4G24500.2
OG0006180	AH011959-RA	AT4G27800.3, AT4G27800.2, AT4G27800.1
OG0006181	AH021221-RA	AT1G22860.1
OG0006182	AH016763-RA	AT1G27760.3, AT1G27760.1, AT1G27760.2
OG0006185	AH003042-RA, AH019120-RA	AT1G18080.1, AT3G18130.1, AT1G48630.1
OG0006186	AH021235-RA	AT1G73480.1, AT1G18360.1
OG0006187	AH001056-RA, AH001061-RA	AT5G08330.1, AT5G23280.1
OG0006188	AH005506-RA	AT2G01320.3, AT2G01320.2, AT2G01320.1, AT2G01320.4, AT2G01320.8, AT2G01320.5, AT2G01320.7, AT2G01320.6
OG0006189	AH010491-RA	AT5G58220.3, AT5G58220.2, AT5G58220.1
OG0006190	AH021220-RA	AT1G73350.2, AT1G73350.6, AT1G73350.4, AT1G73350.5, AT1G73350.7, AT1G73350.3, AT1G73350.1
OG0006192	AH021949-RA	AT4G16340.1, AT4G16340.2
OG0006193	AH014258-RA	AT1G55325.4, AT1G55325.1, AT1G55325.3, AT1G55325.2
OG0006194	AH015780-RA, AH018950-RA	AT3G01180.1
OG0006195	AH005664-RA	AT2G27035.1
OG0006196	AH016525-RA	AT5G16150.1, AT5G16150.3, AT5G16150.2
OG0006197	AH004723-RA	AT1G10522.2, AT1G10522.1
OG0006198	AH020569-RA, AH006500-RA	AT1G25220.1, AT1G25220.2, AT5G57890.1, AT1G24807.1, AT1G24909.1, AT1G25155.1, AT1G25083.1
OG0006199	AH010776-RA	AT5G14660.2, AT5G14660.1, AT5G14660.3
OG0006200	AH023442-RA, AH021916-RA, AH003619-RA	AT3G28140.2, AT3G28140.1, AT5G40190.1
OG0006201	AH018394-RA, AH011505-RA	AT4G17880.1, AT5G46760.1, AT1G32640.1
OG0006202	AH010700-RA, AH007846-RA	AT4G19640.1, AT5G45130.2, AT5G45130.1
OG0006204	AH012833-RA	AT4G20130.1, AT4G20130.3, AT4G20130.2
OG0006205	AH005003-RA, AH004335-RA	AT2G03370.1, AT2G03370.2, AT2G03360.1, AT2G03360.2
OG0006206	AH019577-RA	AT3G49000.1
OG0006207	AH017188-RA	AT3G18390.1
OG0006208	AH000007-RA	AT5G08300.1, AT5G23250.1, AT5G23250.2
OG0006209	AH005004-RA	AT2G03350.1
OG0006210	AH004889-RA	AT1G24490.2, AT1G24490.1
OG0006211	AH002788-RA	AT1G18900.2, AT1G18900.1, AT1G18900.3, AT1G18900.4, AT1G74750.2, AT1G74750.1, AT1G74750.3, AT1G74750.4
OG0006212	AH005477-RA	AT1G68430.1
OG0006212	AH016520-RA, AH022862-RA	AT5G16200.1, AT5G16200.2, AT1G66890.1
OG0006213	AH008913-RA	AT1G48480.1
OG0006214	AH017565-RA	AT1G74440.1, AT1G74440.2, AT1G18720.2, AT1G18720.1
OG0006215	AH012580-RA, AH013707-RA	AT5G48240.1, AT5G48240.2, AT5G48240.3
OG0006216	AH017516-RA	AT5G07990.1
OG0006218	AH019012-RA	AT1G68890.2, AT1G68890.1
OG0006219	AH009627-RA	AT2G46200.2, AT2G46200.1, AT2G46200.4, AT2G46200.3
OG0006220	AH004410-RA	AT1G60170.1
OG0006221	AH004769-RA	AT1G10560.1, AT1G60190.1
OG0006222	AH016567-RA, AH022813-RA	AT3G03430.1, AT5G17480.1
OG0006223	AH011789-RA	AT3G54360.2, AT3G54360.1
OG0006224	AH007489-RA	AT1G08400.1
OG0006225	AH022865-RA	AT3G02580.1, AT3G02590.2, AT3G02590.1
OG0006226	AH011113-RA	AT5G16260.1
OG0006227	AH002494-RA	AT4G32180.2, AT4G32180.3, AT4G32180.1
OG0006228	AH001286-RA	AT4G12650.1
OG0006229	AH006200-RA	AT5G09820.2, AT5G09820.3, AT5G09820.1
OG0006230	AH012472-RA	AT1G70730.1, AT1G70730.3, AT1G70730.2, AT1G23190.1
OG0006231	AH005361-RA, AH004149-RA	AT2G01600.1
OG0006232	AH019337-RA, AH005680-RA	AT4G12790.5, AT4G12790.1, AT4G12790.6, AT4G12790.4, AT4G12790.2, AT4G12790.3
OG0006233	AH002913-RA, AH017452-RA	AT5G08160.2, AT5G08160.1
OG0006234	AH014326-RA	AT1G67180.2, AT1G67180.5, AT1G67180.7, AT1G67180.3, AT1G67180.4, AT1G67180.6, AT1G67180.1
OG0006235	AH012746-RA, AH022020-RA	AT5G03430.1
OG0006236	AH004773-RA, AH004413-RA	AT1G60220.1, AT1G10570.1, AT1G10570.2, AT1G10570.3
OG0006237	AH018503-RA	AT5G45610.1, AT5G45610.2
OG0006238	AH004425-RA, AH004785-RA	AT1G70480.2, AT1G70480.1
OG0006239	AH011650-RA	AT3G12940.1, AT3G12940.2, AT3G12940.3
OG0006240	AH005035-RA	AT1G14180.1, AT1G14180.2, AT5G18260.1
OG0006241	AH014414-RA	AT1G77890.2, AT1G77890.3, AT1G77890.1, AT1G77890.5, AT1G77890.4, AT4G08540.1
OG0006242	AH007540-RA	AT5G51960.1, AT5G51960.2
OG0006243	AH002853-RA, AH003261-RA, AH005015-RA, AH017557-RA, AH004345-RA	AT1G74380.1, AT5G07720.1
OG0006244	AH004191-RA	AT3G01590.1, AT3G01590.2, AT5G14500.2, AT5G14500.1
OG0006245	AH004040-RA	AT2G03620.2, AT2G03620.1
OG0006246	AH013370-RA	AT3G47640.1, AT3G47640.3, AT3G47640.2
OG0006247	AH021758-RA	AT1G48760.2, AT1G48760.1, AT1G48760.3
OG0006248	AH005337-RA	AT4G07455.1, AT3G60440.2, AT3G60440.1, AT3G60420.1, AT3G60415.1, AT3G60450.1, AT3G60450.2
OG0006250	AH007257-RA	AT4G10650.1
OG0006251	AH017321-RA	AT5G65200.1, AT5G62560.1, AT3G47820.1
OG0006251	AH023447-RA	AT5G40140.1
OG0006252	AH005427-RA	AT1G26090.1
OG0006253	AH017335-RA	AT3G48150.2, AT3G48150.1
OG0006254	AH002941-RA, AH017405-RA	AT5G61840.1
OG0006255	AH018392-RA, AH011500-RA	AT2G35230.1, AT2G35230.3
OG0006258	AH017808-RA, AH007390-RA	AT5G40520.2, AT5G40520.1
OG0006259	AH010433-RA, AH010432-RA	AT4G09100.1
OG0006260	AH007533-RA, AH010584-RA	AT2G01850.1, AT1G14720.1
OG0006261	AH019985-RA	AT3G17450.2, AT3G17450.1
OG0006263	AH007338-RA	AT5G24680.1
OG0006296	AH009158-RA	AT1G01930.1
OG0006297	AH012867-RA	AT2G47890.3, AT2G47890.1, AT2G47890.2
OG0006298	AH002747-RA, AH017298-RA	AT5G20995.1
OG0006299	AH023068-RA	AT3G55830.1
OG0006300	AH010404-RA	AT5G49350.1, AT5G49350.2, AT1G56320.1
OG0006301	AH010283-RA	AT1G78450.1, AT1G17100.1
OG0006303	AH020566-RA	AT3G23800.2, AT3G23800.1, AT4G14040.1, AT4G14030.1, AT4G14030.2
OG0006304	AH002077-RA, AH016840-RA	AT1G09620.1
OG0006305	AH013796-RA	AT2G29700.1
OG0006305	AH023077-RA	AT5G05710.1
OG0006306	AH019504-RA	AT3G52075.1
OG0006307	AH002992-RA	AT5G01220.1, AT5G01220.2
OG0006308	AH012415-RA	AT1G52340.1
OG0006309	AH001083-RA, AH000024-RA	AT1G32130.2, AT1G32130.1
OG0006312	AH007096-RA, AH017850-RA	AT4G14860.1
OG0006313	AH001421-RA	AT3G53630.1, AT3G53630.2
OG0006314	AH009350-RA	AT3G10860.2, AT3G10860.1, AT5G05370.1
OG0006315	AH002696-RA	AT3G06290.2, AT3G06290.1, AT3G06290.3, AT3G06290.4
OG0006316	AH023453-RA	AT2G39550.1
OG0006317	AH006673-RA	AT3G10270.1, AT3G10270.2, AT5G04130.1, AT5G04110.3, AT5G04110.1, AT5G04110.2, AT5G04110.4, AT5G04130.2, AT5G04130.3
OG0006318	AH007933-RA	AT3G52240.1
OG0006320	AH011836-RA	AT4G30580.1
OG0006321	AH016790-RA	AT3G43920.6, AT3G43920.4, AT3G43920.3, AT3G43920.5, AT3G43920.2, AT3G43920.1
OG0006322	AH006542-RA	AT1G10840.1, AT1G10840.2
OG0006323	AH007911-RA	AT5G04510.2, AT5G04510.1, AT3G10540.1
OG0006325	AH010954-RA	AT1G50460.1, AT1G50460.3
OG0006326	AH012896-RA, AH010732-RA	AT4G22745.1, AT3G63030.1
OG0006327	AH020396-RA	AT1G60080.1
OG0006329	AH018547-RA, AH003222-RA	AT1G79360.1, AT1G16390.1
OG0006330	AH002829-RA	AT1G74480.1, AT1G18790.1, AT5G66990.1
OG0006331	AH018850-RA, AH003044-RA	AT1G31730.1
OG0006332	AH016811-RA	AT3G07860.1, AT3G07860.3, AT3G07860.2
OG0006333	AH006319-RA, AH003463-RA	AT5G26742.3, AT5G26742.2, AT5G26742.1
OG0006335	AH012000-RA	AT5G53400.1, AT4G27890.1
OG0006336	AH007107-RA	AT4G16160.2, AT4G16160.1
OG0006338	AH001689-RA	AT4G14750.1, AT4G14750.2, AT4G14750.3
OG0006339	AH022728-RA	AT3G52030.1, AT3G52030.2
OG0006341	AH010524-RA	AT5G27760.1, AT3G05550.1
OG0006342	AH000213-RA	AT5G22940.2, AT5G22940.1, AT2G28110.1
OG0006343	AH011773-RA	AT3G06960.1, AT3G06960.2
OG0006344	AH015724-RA, AH012900-RA	AT4G02940.1
OG0006345	AH007080-RA, AH020105-RA	AT3G05290.1, AT5G27520.1
OG0006346	AH015388-RA	AT3G10870.1
OG0006346	AH019293-RA, AH019295-RA	AT4G16690.1
OG0006347	AH012696-RA	AT2G36660.1
OG0006348	AH010492-RA	AT5G27660.1, AT5G27660.2
OG0006349	AH020433-RA, AH006732-RA	AT2G41490.1, AT3G57220.1
OG0006350	AH016353-RA, AH023054-RA	AT2G39980.1
OG0006351	AH010596-RA, AH006516-RA, AH007652-RA	AT4G25650.2, AT4G25650.1
OG0006352	AH010408-RA	AT2G47470.4, AT2G47470.2, AT2G47470.3, AT2G47470.1
OG0006353	AH020110-RA, AH007073-RA	AT5G19280.1, AT5G19280.2
OG0006355	AH020074-RA	AT2G30710.1
OG0006356	AH005002-RA, AH004334-RA	AT1G14610.1
OG0006357	AH010314-RA, AH007931-RA	AT1G01370.1, AT1G01370.4, AT1G01370.3, AT1G01370.2
OG0006358	AH023155-RA	AT2G40400.3, AT2G40400.2, AT2G40400.1, AT3G56140.2, AT3G56140.1, AT3G56140.3
OG0006359	AH007713-RA	AT3G20060.2, AT3G20060.1, AT1G50490.1
OG0006360	AH018243-RA	AT2G40100.2, AT2G40100.1
OG0006361	AH006718-RA, AH020415-RA	AT2G41410.1, AT3G10190.1
OG0006362	AH011151-RA	AT4G18300.1, AT2G34970.1, AT3G02270.1
OG0006363	AH018512-RA	AT3G46940.2, AT3G46940.1
OG0006364	AH007091-RA	AT4G14930.2, AT4G14930.1
OG0006365	AH003095-RA, AH018795-RA	AT3G08930.1, AT5G01460.1
OG0006366	AH006337-RA, AH020076-RA	AT2G43560.2, AT2G43560.1
OG0006367	AH009360-RA	AT2G16710.3, AT2G16710.1, AT2G36260.1
OG0006368	AH002736-RA	AT1G02470.1, AT1G02470.2, AT1G02475.1, AT4G01883.1, AT4G01883.2, AT4G01883.3
OG0006369	AH023140-RA	AT5G05450.1, AT1G71370.1
OG0006370	AH020285-RA	AT3G11945.1, AT3G11945.2
OG0006371	AH007503-RA	AT5G12290.2, AT5G12290.3, AT5G12290.1, AT5G12290.4
OG0006372	AH008667-RA	AT5G25800.1, AT5G25800.2
OG0006373	AH001664-RA	AT1G49810.1, AT3G19490.1
OG0006374	AH001819-RA	AT4G34500.1
OG0006375	AH017398-RA	AT1G10270.1
OG0006377	AH023562-RA	AT4G09720.6, AT4G09720.5, AT4G09720.2, AT4G09720.3, AT4G09720.4, AT4G09720.1
OG0006378	AH018729-RA	AT1G12460.1, AT1G12460.2, AT1G62950.1
OG0006379	AH021190-RA, AH014627-RA	AT2G14835.2, AT2G14835.1
OG0006381	AH003747-RA	AT2G22010.2, AT2G22010.1
OG0006382	AH008851-RA	AT1G44780.1, AT1G44780.2, AT4G08310.1
OG0006383	AH015642-RA, AH019321-RA	AT1G77440.1, AT1G77440.2, AT1G21720.1
OG0006384	AH008847-RA	AT1G77620.1
OG0006385	AH022178-RA	AT1G69740.3, AT1G69740.2, AT1G69740.1, AT1G44318.1
OG0006387	AH023682-RA	AT1G20460.1, AT1G76185.1
OG0006388	AH018936-RA, AH005952-RA	AT4G39830.1
OG0006389	AH005747-RA	AT1G63810.1, AT1G63810.2
OG0006390	AH003609-RA	AT5G65950.1
OG0006391	AH013920-RA, AH013231-RA, AH019087-RA	AT5G08415.1
OG0006392	AH006168-RA	AT4G37380.1
OG0006393	AH003887-RA	AT5G67385.5, AT5G67385.2, AT5G67385.4, AT5G67385.3, AT5G67385.1
OG0006395	AH008901-RA	AT1G21700.1
OG0006396	AH003833-RA, AH008410-RA	AT5G67270.1
OG0006397	AH019952-RA, AH011647-RA	AT3G11710.1
OG0006398	AH021262-RA	AT4G20930.2, AT4G20930.1
OG0006399	AH023664-RA, AH016775-RA	AT1G28010.1, AT1G27940.2, AT1G27940.1
OG0006400	AH001519-RA	AT3G43300.1, AT3G43300.2, AT3G43300.3
OG0006401	AH006063-RA, AH003707-RA	AT3G50520.1
OG0006402	AH016740-RA, AH008320-RA	AT1G19860.2, AT1G19860.1
OG0006403	AH004230-RA	AT5G49810.1
OG0006404	AH000072-RA	AT1G16570.2, AT1G16570.1
OG0006405	AH023657-RA, AH016767-RA	AT4G24190.2, AT4G24190.1
OG0006407	AH023670-RA	AT1G42430.1, AT1G42430.2
OG0006408	AH002977-RA	AT4G30770.1
OG0006409	AH023018-RA	AT5G56360.1
OG0006410	AH003984-RA, AH003985-RA, AH005916-RA	AT2G23770.1
OG0006411	AH008614-RA	AT4G33380.1, AT4G33380.2
OG0006412	AH005828-RA	AT3G57940.2, AT3G57940.1, AT1G10490.2, AT1G10490.1
OG0006413	AH000293-RA	AT1G03530.1
OG0006414	AH008749-RA	AT1G22250.1, AT1G78170.1
OG0006415	AH005270-RA, AH004227-RA	AT5G49820.1
OG0006416	AH000682-RA, AH002462-RA	AT2G16270.1, AT1G16630.1
OG0006417	AH007464-RA, AH011125-RA, AH021214-RA	AT1G17750.1, AT1G73080.1
OG0006418	AH001053-RA	AT5G42630.2, AT5G42630.1
OG0006419	AH016759-RA	AT5G42470.1
OG0006420	AH006477-RA	AT4G39620.2, AT4G39620.1
OG0006421	AH001613-RA	AT4G38150.1, AT4G38150.3, AT4G38150.2
OG0006422	AH008846-RA	AT1G44760.2, AT1G44760.1
OG0006423	AH005599-RA, AH016950-RA	AT1G45170.1, AT1G45170.2, AT5G42960.1
OG0006424	AH023687-RA	AT1G20410.2, AT1G20410.1
OG0006425	AH002444-RA, AH002446-RA	AT2G14260.1, AT2G14260.3, AT2G14260.2
OG0006426	AH008354-RA	AT1G10040.1, AT1G10040.2
OG0006427	AH005785-RA	AT3G26750.1
OG0006428	AH007477-RA, AH008499-RA, AH008498-RA	AT5G21970.2, AT5G21970.1
OG0006429	AH000546-RA	AT4G34660.1
OG0006430	AH001862-RA	AT1G49430.2, AT1G49430.1
OG0006433	AH008036-RA	AT3G15140.1, AT3G15140.2
OG0006434	AH021403-RA	AT4G18570.2, AT4G18570.1
OG0006435	AH015218-RA	AT4G21705.1
OG0006436	AH008552-RA, AH023549-RA	AT4G25890.1, AT5G57290.3, AT5G57290.2, AT5G57290.1
OG0006437	AH008102-RA	AT5G54580.1
OG0006438	AH022727-RA	AT5G13690.2, AT5G13690.1
OG0006439	AH010180-RA	AT3G20390.1, AT3G20390.2
OG0006440	AH007955-RA	AT3G14570.2, AT3G14570.1, AT3G14570.3
OG0006441	AH001364-RA, AH000307-RA	AT2G20580.1, AT4G28470.1
OG0006442	AH018489-RA	AT4G19070.2, AT4G19070.1
OG0006443	AH010128-RA, AH008019-RA	AT1G53240.1, AT3G15020.2, AT3G15020.1
OG0006444	AH001168-RA	AT2G04845.4, AT2G04845.3, AT2G04845.2, AT2G04845.5, AT2G04845.1
OG0006445	AH021513-RA	AT4G04880.1, AT4G04880.2, AT4G04880.3
OG0006447	AH021505-RA, AH021505-RB, AH015009-RA	AT1G11655.1
OG0006448	AH001264-RA, AH000440-RA	AT4G03280.1, AT4G03280.2
OG0006449	AH016018-RA	AT3G42850.2, AT3G42850.1, AT4G16130.1
OG0006450	AH020505-RA, AH006600-RA	AT5G19750.1
OG0006451	AH012209-RA	AT4G20280.1
OG0006452	AH020360-RA	AT3G12170.1, AT3G12170.2, AT5G06910.1
OG0006453	AH013434-RA	AT1G53860.1, AT1G53860.2
OG0006454	AH007991-RA	AT1G78670.1, AT1G78660.3, AT1G78660.1, AT1G78660.2, AT1G78680.2, AT1G78680.1
OG0006455	AH003813-RA	AT5G66470.2, AT5G66470.1
OG0006458	AH015093-RA, AH021620-RA, AH021621-RA	AT1G61105.1
OG0006459	AH021453-RA	AT4G12590.1
OG0006461	AH013449-RA	AT4G14145.1
OG0006462	AH019965-RA	AT2G31450.2, AT2G31450.1, AT1G05900.2, AT1G05900.1
OG0006463	AH012421-RA	AT4G25600.2, AT4G25600.4, AT4G25600.3, AT4G25600.1
OG0006464	AH002059-RA	AT3G16000.1
OG0006465	AH009357-RA	AT1G22700.2, AT1G22700.1, AT1G22700.3
OG0006466	AH002432-RA	AT4G04850.1, AT4G04850.2
OG0006467	AH015949-RA, AH023489-RA	AT4G30960.1
OG0006469	AH019502-RA	AT5G51880.1
OG0006470	AH011093-RA	AT5G19510.1, AT5G12110.1
OG0006472	AH018011-RA	AT1G63980.1, AT1G63980.2
OG0006473	AH017135-RA	AT3G53920.1, AT3G53920.2
OG0006475	AH022295-RA	AT4G14210.1, AT4G14210.2, AT4G14210.3
OG0006476	AH010683-RA	AT4G31460.1
OG0006477	AH020374-RA	AT3G57570.1, AT3G57570.2
OG0006479	AH019458-RA	AT5G62310.1
OG0006480	AH021905-RA	AT5G56740.1, AT5G56740.2
OG0006481	AH010571-RA, AH019123-RA	AT1G80710.1
OG0006482	AH009210-RA, AH009209-RA	AT1G01920.2, AT1G01920.4, AT1G01920.1, AT1G01920.5, AT1G01920.3
OG0006483	AH019179-RA	AT4G32620.1, AT4G32620.2
OG0006484	AH007527-RA	AT1G08880.1, AT1G54690.1
OG0006485	AH017145-RA	AT5G11780.1
OG0006486	AH017148-RA	AT5G26040.1, AT5G26040.2
OG0006488	AH002050-RA	AT1G15670.1, AT1G80440.1
OG0006489	AH012152-RA	AT5G61500.1
OG0006490	AH019638-RA	AT5G41480.1
OG0006491	AH020685-RA, AH005884-RA	AT5G33280.1
OG0006492	AH014186-RA, AH020836-RA	AT5G19600.1
OG0006493	AH021038-RA	AT4G28080.1
OG0006494	AH000506-RA	AT4G12540.4, AT4G12540.3, AT4G12540.1, AT4G12540.5, AT4G12540.2
OG0006495	AH003132-RA, AH018723-RA	AT4G11980.1
OG0006496	AH014511-RA, AH020875-RA, AH020876-RA	AT4G29010.1
OG0006497	AH009045-RA, AH006194-RA	AT3G60370.2, AT3G60370.1
OG0006498	AH022307-RA	AT1G72320.2, AT1G72320.3, AT1G72320.4, AT1G72320.1
OG0006500	AH020925-RA, AH014447-RA	AT4G29240.2, AT4G29240.1, AT2G19780.1
OG0006501	AH023267-RB, AH016244-RA, AH023267-RA	AT5G11000.1, AT2G25200.1
OG0006502	AH009199-RA	AT2G45670.1
OG0006503	AH015081-RA, AH021630-RA	AT1G11060.1, AT1G61030.1
OG0006504	AH021083-RA	AT1G19230.1, AT1G19230.2
OG0006505	AH001985-RA	AT1G52600.1
OG0006507	AH013494-RA	AT3G20240.1
OG0006508	AH014019-RA	AT2G42160.3, AT2G42160.2, AT2G42160.1
OG0006509	AH001033-RA	AT1G50120.1, AT1G50120.2
OG0006511	AH009181-RA	AT2G45620.1
OG0006513	AH016805-RA, AH012261-RA	AT4G25290.1
OG0006514	AH019971-RA	AT4G10320.1
OG0006515	AH012091-RA	AT5G24060.1, AT5G24060.2, AT5G24060.3, AT3G49140.1
OG0006517	AH014345-RA	AT5G61920.4, AT5G61920.5, AT5G61920.2, AT5G61920.1, AT5G61920.3, AT5G61920.6
OG0006518	AH021217-RA, AH014342-RA	AT5G35360.3, AT5G35360.2, AT5G35360.1
OG0006519	AH008240-RA	AT3G60620.1, AT3G60620.2, AT2G45150.3, AT2G45150.2, AT2G45150.1
OG0006520	AH000486-RA, AH002128-RA	AT3G16270.2, AT3G16270.1, AT3G16270.3
OG0006521	AH014102-RA	AT4G09980.2, AT4G09980.1
OG0006522	AH000642-RA	AT1G15880.1
OG0006523	AH014228-RA	AT5G56980.1, AT4G26130.1
OG0006523	AH016087-RA	AT2G26110.1
OG0006524	AH014092-RA	AT5G51200.1, AT5G51200.3, AT5G51200.2
OG0006525	AH011355-RA	AT5G41950.1
OG0006526	AH020151-RA	AT2G32650.1, AT2G32650.2, AT2G32180.2, AT2G27402.1, AT2G27402.2, AT2G32180.1
OG0006527	AH001989-RA	AT1G52630.2, AT1G52630.1
OG0006528	AH018191-RA, AH011369-RA	AT4G10600.2, AT4G10600.1, AT1G32810.2
OG0006529	AH016070-RA	AT2G26180.1, AT1G17480.1, AT1G72670.1
OG0006530	AH017200-RA	AT1G17970.1, AT1G17970.2, AT1G73760.1, AT1G73760.2
OG0006531	AH021745-RA	AT1G16010.1, AT1G16010.2, AT1G16010.3, AT1G80900.1, AT1G80900.2
OG0006532	AH014638-RA	AT2G26890.1
OG0006533	AH017137-RA, AH020772-RA	AT3G19360.2, AT3G19360.1
OG0006534	AH018758-RA, AH012269-RA, AH019467-RA	AT1G12310.1, AT1G62820.1
OG0006535	AH009114-RA	AT1G48860.1, AT1G48860.2, AT2G45300.2, AT2G45300.3, AT2G45300.4, AT2G45300.1
OG0006536	AH019468-RA	AT5G62290.2, AT5G62290.1
OG0006537	AH002074-RA	AT1G52330.2, AT1G52330.1
OG0006538	AH017900-RA	AT5G48520.2, AT5G48520.1
OG0006539	AH020909-RA	AT2G19880.2, AT2G19880.1
OG0006540	AH000195-RA	AT2G28050.1
OG0006540	AH012776-RA	AT2G32630.1
OG0006541	AH019116-RA	AT5G02370.1
OG0006542	AH001452-RA	AT1G08220.2, AT1G08220.1
OG0006543	AH022505-RA	AT5G59960.3, AT5G59960.1, AT5G59960.2
OG0006544	AH007422-RA, AH002023-RA, AH002022-RA	AT5G15770.1
OG0006545	AH014514-RA	AT4G20050.3, AT4G20050.4, AT4G20050.5, AT4G20050.2, AT4G20050.6, AT4G20050.1, AT4G20050.7
OG0006546	AH014013-RA	AT2G35640.1, AT1G31310.1
OG0006547	AH006561-RA	AT3G43740.1, AT3G43740.2, AT5G21090.1
OG0006548	AH013716-RA	AT3G54050.2, AT3G54050.1
OG0006549	AH020400-RA, AH006760-RA	AT2G41710.3, AT2G41710.2, AT2G41710.1, AT2G41710.4
OG0006550	AH022594-RA	AT2G27230.1, AT2G27230.2
OG0006551	AH011069-RA, AH019140-RA	AT5G39350.1
OG0006552	AH014958-RA	AT4G04350.1
OG0006553	AH007936-RA	AT2G36360.1, AT2G36360.2, AT2G36360.3, AT2G36360.5, AT2G36360.4
OG0006555	AH021027-RA	AT2G36740.2, AT2G36740.1
OG0006556	AH015931-RA	AT3G55005.1, AT3G55000.1
OG0006558	AH009727-RA	AT3G13235.3, AT3G13235.1, AT3G13235.2
OG0006559	AH003015-RA	AT3G62800.2, AT3G62800.1, AT3G62800.3
OG0006560	AH017476-RA	AT3G55330.1
OG0006561	AH001227-RA, AH001226-RA	AT5G22890.1
OG0006562	AH000369-RA, AH001506-RA	AT2G44860.2, AT2G44860.1
OG0006564	AH012505-RA, AH021744-RA	AT2G38410.1, AT5G01760.1
OG0006565	AH022625-RA	AT5G22120.1
OG0006566	AH008016-RA, AH011680-RA	AT2G29580.1, AT1G07360.1
OG0006567	AH010235-RA, AH013678-RA	AT1G79050.2, AT1G79050.1
OG0006568	AH017396-RA	AT5G19920.1
OG0006569	AH010120-RA	AT3G14960.1, AT1G53290.1
OG0006570	AH022292-RA, AH013455-RA	AT3G20000.1, AT3G20000.2
OG0006571	AH019446-RA, AH019443-RA, AH019445-RA, AH019441-RA	AT3G22660.1
OG0006572	AH001147-RA	AT1G06550.1
OG0006574	AH003006-RA	AT1G17760.1
