Orthogroup	A_coerulea.proteins	A_hypochondriacus.proteins
OG0004144	Aqcoe3G101800.1.p	AH012990-RA
OG0004145	Aqcoe7G054200.1.p	AH018715-RA
OG0004146	Aqcoe7G089800.2.p, Aqcoe7G089800.1.p	AH009056-RA
OG0004147	Aqcoe7G216900.1.p	AH013972-RA
OG0004148	Aqcoe1G150900.1.p	AH011803-RA
OG0004149	Aqcoe7G009700.1.p, Aqcoe7G009700.2.p, Aqcoe7G009700.3.p	AH014642-RA
OG0004150	Aqcoe7G122200.1.p	AH017107-RA
OG0004151	Aqcoe7G040300.1.p, Aqcoe5G423700.1.p	AH018661-RA
OG0004153	Aqcoe7G391700.2.p, Aqcoe7G391700.1.p	AH001997-RA
OG0004153	Aqcoe7G216600.1.p	AH019252-RA
OG0004154	Aqcoe7G346700.1.p, Aqcoe7G346700.2.p, Aqcoe7G377100.1.p	AH023242-RA, AH016263-RA
OG0004155	Aqcoe7G217800.7.p, Aqcoe7G217800.9.p, Aqcoe7G217800.8.p, Aqcoe7G217800.5.p, Aqcoe7G217800.4.p, Aqcoe7G217800.6.p, Aqcoe7G217800.3.p, Aqcoe7G217800.2.p, Aqcoe7G217800.1.p	AH020696-RA
OG0004156	Aqcoe7G368000.1.p	AH009512-RA, AH009514-RA
OG0004157	Aqcoe7G086200.1.p	AH018294-RA
OG0004158	Aqcoe7G024700.1.p	AH012104-RA
OG0004159	Aqcoe7G170100.1.p, Aqcoe5G463000.1.p	AH012698-RA
OG0004160	Aqcoe7G101400.2.p, Aqcoe7G101400.1.p	AH013435-RA, AH022309-RA, AH022308-RA
OG0004161	Aqcoe7G001400.1.p, Aqcoe5G470400.1.p	AH011365-RA, AH018181-RA
OG0004162	Aqcoe7G416200.1.p	AH001530-RA
OG0004163	Aqcoe5G459800.1.p, Aqcoe5G021600.1.p, Aqcoe7G009800.1.p	AH019679-RA, AH011989-RA
OG0004164	Aqcoe7G007500.2.p, Aqcoe7G007500.1.p, Aqcoe7G007500.3.p, Aqcoe7G091400.1.p	AH014001-RA
OG0004165	Aqcoe7G333400.1.p	AH015314-RA
OG0004166	Aqcoe7G109800.1.p, Aqcoe7G109800.2.p	AH004246-RA
OG0004167	Aqcoe7G083300.1.p	AH001217-RA
OG0004168	Aqcoe7G001500.1.p	AH011918-RA
OG0004169	Aqcoe7G065000.1.p	AH019487-RA, AH003120-RA, AH018737-RA
OG0004170	Aqcoe1G147200.9.p, Aqcoe1G147200.4.p, Aqcoe1G147200.5.p, Aqcoe1G147200.7.p, Aqcoe1G147200.10.p, Aqcoe1G147200.1.p, Aqcoe1G147200.6.p, Aqcoe1G147200.3.p, Aqcoe1G147200.8.p, Aqcoe1G147200.2.p	AH012443-RA, AH021707-RA
OG0004171	Aqcoe1G475700.1.p	AH015951-RA, AH015950-RA, AH023493-RA
OG0004172	Aqcoe1G125500.2.p, Aqcoe1G125500.1.p	AH007918-RA
OG0004173	Aqcoe1G377500.1.p	AH000259-RA
OG0004174	Aqcoe1G206800.1.p	AH001322-RA, AH006505-RA
OG0004175	Aqcoe1G195100.1.p	AH014732-RA, AH021315-RA
OG0004176	Aqcoe1G251300.2.p, Aqcoe1G251300.1.p, Aqcoe3G153400.2.p, Aqcoe3G153400.1.p	AH020792-RA
OG0004177	Aqcoe1G125000.1.p, Aqcoe1G490800.1.p, Aqcoe1G490800.5.p, Aqcoe1G490800.3.p, Aqcoe1G490800.4.p, Aqcoe1G490800.2.p, Aqcoe1G490800.6.p	AH021882-RA
OG0004178	Aqcoe1G089300.1.p	AH007047-RA
OG0004179	Aqcoe1G407600.1.p, Aqcoe1G407600.2.p	AH015393-RA, AH021708-RA
OG0004180	Aqcoe1G186600.1.p, Aqcoe1G486200.1.p	AH015386-RA
OG0004181	Aqcoe1G164500.1.p	AH016005-RA
OG0004182	Aqcoe1G291200.3.p, Aqcoe1G291200.2.p, Aqcoe1G291200.1.p, Aqcoe1G291200.4.p	AH008217-RA
OG0004183	Aqcoe1G068300.1.p, Aqcoe5G318300.1.p	AH016171-RA, AH006119-RA
OG0004184	Aqcoe1G137700.3.p, Aqcoe1G137700.1.p, Aqcoe1G137700.2.p	AH005286-RA
OG0004185	Aqcoe1G416300.1.p, Aqcoe1G416300.3.p, Aqcoe1G416300.4.p, Aqcoe1G416300.2.p, Aqcoe5G254400.2.p, Aqcoe5G254400.1.p, Aqcoe5G254400.3.p	AH005676-RA
OG0004186	Aqcoe1G369800.1.p	AH008140-RA
OG0004187	Aqcoe1G031000.1.p	AH022725-RA, AH023792-RA, AH016646-RA
OG0004188	Aqcoe1G006500.1.p	AH015638-RA
OG0004189	Aqcoe1G370400.1.p	AH000431-RA, AH001269-RA
OG0004190	Aqcoe1G489300.1.p	AH012792-RA
OG0004191	Aqcoe1G204300.1.p	AH009356-RA
OG0004192	Aqcoe1G013000.3.p, Aqcoe1G013000.2.p, Aqcoe1G013000.1.p	AH020852-RA, AH020158-RA, AH011842-RA
OG0004193	Aqcoe1G175200.1.p, Aqcoe1G175200.2.p	AH022592-RA
OG0004194	Aqcoe1G424400.1.p	AH020816-RA
OG0004195	Aqcoe1G249600.1.p	AH015270-RA
OG0004196	Aqcoe1G355600.5.p, Aqcoe1G355600.6.p, Aqcoe1G355600.7.p, Aqcoe1G355600.8.p, Aqcoe1G355600.1.p, Aqcoe1G355600.2.p, Aqcoe1G355600.3.p, Aqcoe1G355600.4.p	AH015037-RA
OG0004197	Aqcoe1G321200.1.p	AH010009-RA, AH008092-RA
OG0004198	Aqcoe1G292600.1.p	AH014974-RA, AH021494-RA
OG0004199	Aqcoe1G070300.1.p	AH022243-RA
OG0004200	Aqcoe1G145800.1.p	AH023399-RA
OG0004201	Aqcoe1G134900.1.p	AH022010-RA
OG0004202	Aqcoe1G144600.1.p	AH000169-RA
OG0004203	Aqcoe1G441700.2.p, Aqcoe1G441700.1.p	AH014770-RA, AH021350-RA
OG0004204	Aqcoe1G405400.1.p, Aqcoe1G405400.2.p, Aqcoe3G180700.2.p, Aqcoe3G180700.1.p, Aqcoe3G191600.1.p	AH011695-RA
OG0004205	Aqcoe1G218500.3.p, Aqcoe1G218500.1.p, Aqcoe1G218500.5.p, Aqcoe1G218500.2.p, Aqcoe1G218500.4.p	AH010152-RA
OG0004206	Aqcoe1G025700.3.p, Aqcoe1G025700.2.p, Aqcoe1G025700.1.p, Aqcoe1G025700.4.p, Aqcoe1G025700.5.p	AH006761-RA
OG0004207	Aqcoe1G410600.1.p	AH000106-RA
OG0004208	Aqcoe5G214500.2.p, Aqcoe5G214500.1.p, Aqcoe1G371500.1.p	AH000086-RA, AH000087-RA
OG0004209	Aqcoe1G142200.3.p, Aqcoe1G142200.1.p, Aqcoe1G142200.2.p	AH000179-RA
OG0004210	Aqcoe1G036700.1.p	AH020402-RA
OG0004211	Aqcoe1G459000.3.p, Aqcoe1G459000.2.p, Aqcoe1G459000.1.p	AH014637-RA
OG0004212	Aqcoe5G066600.1.p	AH012894-RA
OG0004213	Aqcoe5G428700.3.p, Aqcoe5G428700.1.p, Aqcoe5G428700.4.p, Aqcoe5G428700.2.p	AH018622-RA
OG0004214	Aqcoe5G350200.1.p	AH005202-RA, AH004531-RA
OG0004215	Aqcoe5G004300.1.p, Aqcoe5G004300.2.p	AH013614-RA
OG0004216	Aqcoe5G154500.1.p	AH016970-RA, AH008609-RA
OG0004217	Aqcoe5G192400.1.p	AH008429-RA
OG0004218	Aqcoe5G413700.1.p	AH012170-RA, AH012184-RA
OG0004219	Aqcoe5G472300.4.p, Aqcoe5G472300.3.p, Aqcoe5G472300.1.p, Aqcoe5G472300.5.p, Aqcoe5G472300.2.p	AH009470-RA
OG0004220	Aqcoe5G410600.1.p	AH012197-RA
OG0004221	Aqcoe5G131100.2.p	AH011255-RA
OG0004222	Aqcoe5G464200.3.p, Aqcoe5G464200.1.p, Aqcoe5G464200.4.p, Aqcoe5G464200.2.p, Aqcoe5G464200.5.p	AH015997-RA
OG0004223	Aqcoe5G447600.1.p, Aqcoe5G447600.2.p, Aqcoe5G447600.3.p	AH018194-RA, AH011906-RA
OG0004224	Aqcoe5G240100.1.p, Aqcoe3G098400.1.p	AH000585-RA, AH008447-RA
OG0004225	Aqcoe5G064400.1.p	AH011709-RA
OG0004226	Aqcoe5G059100.1.p, Aqcoe5G059100.2.p	AH020107-RA, AH007076-RA
OG0004228	Aqcoe5G432100.1.p	AH020330-RA, AH010904-RA
OG0004229	Aqcoe5G274400.1.p, Aqcoe5G274400.2.p	AH012280-RA, AH019477-RA, AH012281-RA, AH019478-RA
OG0004230	Aqcoe5G406500.1.p, Aqcoe5G406500.2.p	AH011439-RA
OG0004231	Aqcoe5G259800.1.p	AH017077-RA
OG0004232	Aqcoe5G389400.1.p, Aqcoe5G389400.2.p, Aqcoe3G137600.1.p	AH013569-RA, AH016715-RA, AH022379-RA
OG0004233	Aqcoe5G050300.1.p	AH002558-RA
OG0004234	Aqcoe0056s0001.1.p, Aqcoe5G040400.1.p	AH010818-RA, AH007759-RA, AH007758-RA
OG0004235	Aqcoe5G381200.1.p	AH004899-RA
OG0004236	Aqcoe5G026900.1.p, Aqcoe5G026800.1.p	AH007883-RA, AH010753-RA
OG0004237	Aqcoe5G227900.1.p	AH005839-RA
OG0004238	Aqcoe5G263900.3.p, Aqcoe5G263900.1.p, Aqcoe5G263900.4.p, Aqcoe5G263900.5.p, Aqcoe5G263900.2.p	AH008656-RA
OG0004239	Aqcoe5G154400.3.p, Aqcoe5G154400.1.p, Aqcoe5G154400.2.p	AH003221-RA
OG0004240	Aqcoe5G355400.1.p	AH004542-RA
OG0004241	Aqcoe5G242900.2.p, Aqcoe5G242900.1.p	AH019426-RA
OG0004242	Aqcoe5G217700.1.p	AH010357-RA, AH003288-RA, AH010358-RA
OG0004243	Aqcoe5G180700.1.p	AH001760-RA
OG0004244	Aqcoe5G196200.1.p, Aqcoe5G196200.2.p	AH001505-RA
OG0004245	Aqcoe5G281100.1.p	AH007362-RA
OG0004246	Aqcoe5G087400.4.p, Aqcoe5G087400.3.p, Aqcoe5G087400.2.p, Aqcoe5G087400.1.p	AH012927-RA
OG0004247	Aqcoe5G464500.1.p, Aqcoe5G464500.2.p, Aqcoe5G464500.3.p	AH018106-RA, AH011329-RA
OG0004248	Aqcoe5G266000.2.p, Aqcoe5G266000.1.p, Aqcoe5G266000.3.p	AH020248-RA, AH006935-RA
OG0004249	Aqcoe5G291900.1.p, Aqcoe5G291900.3.p, Aqcoe5G291900.2.p	AH011778-RA
OG0004250	Aqcoe5G310900.1.p	AH005242-RA, AH004252-RA
OG0004251	Aqcoe5G271600.1.p, Aqcoe5G271600.3.p, Aqcoe5G271600.2.p	AH009363-RA
OG0004252	Aqcoe5G240300.1.p, Aqcoe3G098300.1.p	AH003501-RA, AH008445-RA
OG0004253	Aqcoe3G126000.1.p, Aqcoe3G126100.1.p, Aqcoe5G231600.1.p	AH009715-RA
OG0004254	Aqcoe5G203100.1.p	AH003976-RA
OG0004255	Aqcoe3G143000.2.p, Aqcoe3G143000.3.p, Aqcoe3G143000.1.p	AH018492-RA, AH011573-RA
OG0004256	Aqcoe3G006000.1.p	AH021036-RA, AH014268-RA, AH021037-RA
OG0004257	Aqcoe3G277500.2.p, Aqcoe3G277500.1.p	AH002508-RA, AH017953-RA
OG0004258	Aqcoe3G014000.2.p, Aqcoe3G014000.1.p, Aqcoe3G008300.2.p, Aqcoe3G008300.3.p, Aqcoe3G008300.1.p	AH003388-RA
OG0004259	Aqcoe3G039200.1.p	AH016536-RA, AH005392-RA
OG0004260	Aqcoe3G039600.1.p	AH005391-RA, AH014367-RA, AH020998-RA
OG0004261	Aqcoe3G068400.1.p, Aqcoe3G068400.2.p	AH005823-RA
OG0004262	Aqcoe3G282600.1.p	AH002500-RA
OG0004263	Aqcoe3G358800.1.p	AH015821-RA, AH019139-RA
OG0004264	Aqcoe3G014800.1.p, Aqcoe3G014800.2.p	AH018323-RA, AH001103-RA
OG0004265	Aqcoe3G381300.1.p	AH023138-RA, AH021550-RA, AH015057-RA
OG0004266	Aqcoe3G295100.3.p, Aqcoe3G295100.2.p, Aqcoe3G295100.1.p	AH023433-RA
OG0004267	Aqcoe3G298500.2.p, Aqcoe3G298500.1.p	AH004409-RA, AH004760-RA
OG0004268	Aqcoe3G219500.2.p, Aqcoe3G219500.4.p, Aqcoe3G219500.3.p, Aqcoe3G219500.1.p, Aqcoe3G219500.5.p	AH018415-RA
OG0004269	Aqcoe3G361000.1.p	AH017528-RA
OG0004270	Aqcoe3G310000.1.p, Aqcoe3G310000.2.p	AH017326-RA
OG0004270	Aqcoe3G106600.1.p, Aqcoe3G106600.2.p	AH022947-RA
OG0004271	Aqcoe3G187000.1.p	AH018524-RA, AH003243-RA
OG0004272	Aqcoe3G148300.1.p, Aqcoe3G148300.2.p, Aqcoe3G280700.1.p	AH004800-RA
OG0004273	Aqcoe3G276000.2.p, Aqcoe3G276000.3.p, Aqcoe3G276000.1.p, Aqcoe3G127500.2.p, Aqcoe3G127500.1.p	AH017944-RA
OG0004274	Aqcoe3G165100.4.p, Aqcoe3G165100.1.p, Aqcoe3G165100.3.p, Aqcoe3G165100.2.p	AH007242-RA
OG0004275	Aqcoe3G096400.1.p	AH004553-RA, AH005174-RA
OG0004276	Aqcoe3G144900.1.p	AH002513-RA
OG0004294	Aqcoe2G108700.1.p, Aqcoe2G108700.2.p, Aqcoe7G260800.1.p, Aqcoe7G260800.2.p	AH002177-RA
OG0004295	Aqcoe2G074800.1.p	AH013226-RA, AH022429-RA
OG0004296	Aqcoe5G072900.1.p, Aqcoe2G309900.1.p, Aqcoe2G309900.3.p, Aqcoe2G309900.2.p	AH012873-RA
OG0004297	Aqcoe2G340700.1.p, Aqcoe2G340700.2.p	AH020099-RA
OG0004298	Aqcoe7G337600.2.p, Aqcoe7G337600.3.p, Aqcoe2G025400.2.p, Aqcoe2G025400.1.p, Aqcoe2G025400.3.p, Aqcoe7G337600.1.p	AH009059-RA
OG0004299	Aqcoe2G414500.1.p	AH016053-RA
OG0004300	Aqcoe2G020300.1.p	AH020389-RA, AH006770-RA
OG0004301	Aqcoe2G393800.1.p	AH003335-RA, AH020244-RA, AH006947-RA
OG0004302	Aqcoe5G064600.1.p, Aqcoe2G325000.1.p	AH010783-RA
OG0004303	Aqcoe3G345200.1.p, Aqcoe2G245500.1.p	AH001990-RA, AH015398-RA
OG0004304	Aqcoe7G017900.1.p, Aqcoe1G222300.1.p, Aqcoe2G204400.1.p, Aqcoe3G323400.2.p	AH019777-RA
OG0004305	Aqcoe2G296100.1.p	AH010518-RA
OG0004306	Aqcoe2G437900.1.p	AH011105-RA, AH017876-RA
OG0004307	Aqcoe2G384900.1.p	AH007000-RA, AH020193-RA
OG0004308	Aqcoe2G309400.2.p, Aqcoe2G309400.1.p	AH007025-RA
OG0004309	Aqcoe2G283200.1.p, Aqcoe2G283200.2.p	AH019879-RA, AH007153-RA
OG0004310	Aqcoe2G130300.1.p	AH021839-RA
OG0004311	Aqcoe2G293600.3.p, Aqcoe2G293600.2.p, Aqcoe2G293600.1.p, Aqcoe3G084000.2.p, Aqcoe3G084000.1.p, Aqcoe3G084000.3.p	AH007745-RA
OG0004312	Aqcoe1G073900.3.p, Aqcoe1G073900.1.p, Aqcoe2G240200.1.p, Aqcoe1G073900.4.p, Aqcoe1G073900.5.p, Aqcoe1G073900.2.p	AH013855-RA
OG0004313	Aqcoe2G354200.1.p, Aqcoe6G205400.1.p	AH018775-RA
OG0004314	Aqcoe2G062700.1.p, Aqcoe5G175600.1.p	AH000880-RA
OG0004316	Aqcoe4G144700.2.p, Aqcoe7G147200.1.p, Aqcoe4G144700.1.p, Aqcoe1G296200.1.p, Aqcoe2G028100.3.p, Aqcoe2G028100.1.p, Aqcoe2G028100.2.p	AH004611-RA, AH006734-RA
OG0004317	Aqcoe2G292300.1.p, Aqcoe2G292300.2.p	AH012960-RA
OG0004318	Aqcoe7G384100.1.p, Aqcoe2G018500.1.p	AH019818-RA, AH006771-RA
OG0004319	Aqcoe2G008000.1.p	AH006885-RA, AH020300-RA
OG0004320	Aqcoe2G340500.1.p, Aqcoe5G058300.2.p, Aqcoe5G058300.1.p	AH010466-RA
OG0004321	Aqcoe2G401900.1.p, Aqcoe2G401900.2.p	AH020587-RA
OG0004322	Aqcoe2G149500.1.p	AH022527-RA, AH013682-RA
OG0004323	Aqcoe2G373500.1.p	AH007204-RA
OG0004324	Aqcoe2G343300.1.p, Aqcoe2G343400.1.p	AH000781-RA, AH020091-RA
OG0004325	Aqcoe2G313500.1.p, Aqcoe5G076000.1.p	AH014628-RA, AH010862-RA
OG0004326	Aqcoe2G336800.4.p, Aqcoe2G336800.6.p, Aqcoe2G336800.3.p, Aqcoe2G336800.2.p, Aqcoe2G336800.1.p, Aqcoe2G336800.5.p	AH007998-RA
OG0004327	Aqcoe2G336500.6.p, Aqcoe2G336500.5.p, Aqcoe2G336500.2.p, Aqcoe2G336500.4.p, Aqcoe2G336500.3.p, Aqcoe2G336500.1.p	AH021943-RA
OG0004328	Aqcoe2G328000.2.p, Aqcoe2G328000.1.p	AH019035-RA
OG0004329	Aqcoe2G045700.1.p	AH020441-RA
OG0004330	Aqcoe7G007900.1.p	AH009544-RA
OG0004331	Aqcoe2G290100.1.p, Aqcoe2G290100.2.p, Aqcoe2G290100.3.p	AH003051-RA
OG0004332	Aqcoe5G048900.1.p	AH007053-RA
OG0004332	Aqcoe2G352000.1.p	AH010788-RA
OG0004334	Aqcoe3G381500.1.p, Aqcoe2G025300.2.p, Aqcoe2G025300.1.p	AH023191-RA, AH008581-RA
OG0004335	Aqcoe2G023200.1.p	AH016619-RA
OG0004336	Aqcoe2G232900.1.p	AH000385-RA, AH001490-RA, AH019286-RA
OG0004338	Aqcoe1G169000.1.p, Aqcoe2G307000.1.p	AH020269-RA, AH006920-RA
OG0004339	Aqcoe2G378400.2.p, Aqcoe2G378400.1.p	AH012975-RA, AH019922-RA
OG0004340	Aqcoe2G176500.1.p, Aqcoe2G176500.3.p, Aqcoe7G212800.1.p, Aqcoe2G176500.5.p, Aqcoe2G176500.4.p, Aqcoe2G176500.2.p, Aqcoe1G476100.1.p	AH015890-RA
OG0004341	Aqcoe2G232600.1.p, Aqcoe2G232600.4.p, Aqcoe2G232600.2.p, Aqcoe2G232600.3.p, Aqcoe1G098200.1.p	AH002993-RA
OG0004342	Aqcoe7G227200.1.p	AH015872-RA, AH018970-RA, AH012532-RA
OG0004343	Aqcoe2G036700.1.p	AH019169-RA, AH015693-RA
OG0004344	Aqcoe2G004100.2.p, Aqcoe2G004100.1.p	AH021852-RA
OG0004345	Aqcoe2G407200.1.p	AH019089-RA, AH003007-RA
OG0004346	Aqcoe6G139700.1.p	AH008423-RA
OG0004347	Aqcoe2G225300.1.p	AH016425-RA, AH022974-RA
OG0004348	Aqcoe2G421100.1.p	AH010032-RA, AH007449-RA, AH011149-RA
OG0004349	Aqcoe2G296500.1.p, Aqcoe5G086700.1.p	AH022121-RA, AH012932-RA
OG0004350	Aqcoe2G241300.1.p	AH009071-RA, AH003312-RA, AH005939-RA, AH001110-RA, AH015635-RA, AH014042-RA, AH013836-RA, AH019382-RA, AH000938-RA, AH007206-RA, AH014137-RA, AH003470-RA, AH013840-RA
OG0004351	Aqcoe5G090600.1.p	AH006986-RA, AH020207-RA
OG0004352	Aqcoe2G118900.1.p, Aqcoe2G118900.2.p	AH012587-RA, AH021804-RA
OG0004353	Aqcoe4G162900.1.p, Aqcoe2G261500.1.p, Aqcoe2G261400.1.p	AH017276-RA
OG0004354	Aqcoe2G236200.2.p, Aqcoe2G236200.1.p, Aqcoe2G236200.3.p, Aqcoe2G236200.5.p, Aqcoe7G303000.1.p, Aqcoe2G236200.4.p	AH020568-RA
OG0004355	Aqcoe2G438700.3.p, Aqcoe2G438700.1.p, Aqcoe2G438700.2.p	AH007485-RA
OG0004356	Aqcoe2G301300.2.p, Aqcoe2G301300.1.p	AH010494-RA
OG0004357	Aqcoe5G088900.1.p, Aqcoe2G292600.1.p	AH012964-RA, AH022104-RA
OG0004358	Aqcoe2G392600.3.p, Aqcoe2G392600.2.p, Aqcoe2G392600.4.p, Aqcoe2G392600.1.p	AH020240-RA
OG0004359	Aqcoe2G000700.1.p, Aqcoe2G000700.2.p	AH007799-RA
OG0004360	Aqcoe5G033900.1.p	AH006676-RA
OG0004361	Aqcoe2G328100.2.p, Aqcoe2G328100.4.p, Aqcoe2G328100.6.p, Aqcoe2G328100.5.p, Aqcoe2G328100.1.p, Aqcoe2G328100.3.p	AH013100-RA
OG0004362	Aqcoe2G069900.1.p, Aqcoe1G075800.1.p, Aqcoe1G075900.1.p, Aqcoe1G075700.1.p	AH018879-RA
OG0004363	Aqcoe2G111800.2.p, Aqcoe2G111800.1.p	AH018979-RA
OG0004364	Aqcoe2G029800.2.p, Aqcoe2G029800.1.p	AH006725-RA, AH020425-RA
OG0004365	Aqcoe7G314700.1.p, Aqcoe7G314700.2.p, Aqcoe7G314400.1.p	AH016231-RA
OG0004366	Aqcoe1G492900.1.p, Aqcoe1G492900.2.p, Aqcoe1G492900.3.p, Aqcoe2G138400.1.p, Aqcoe2G138400.2.p	AH002681-RA, AH015318-RA
OG0004367	Aqcoe2G115400.1.p	AH013900-RA
OG0004368	Aqcoe2G009800.1.p	AH006884-RA, AH020304-RA
OG0004369	Aqcoe2G287300.1.p	AH010534-RA
OG0004370	Aqcoe2G042900.2.p, Aqcoe2G042900.1.p	AH020445-RA, AH006679-RA, AH018965-RA
OG0004371	Aqcoe6G133700.1.p	AH003944-RA
OG0004372	Aqcoe6G069100.1.p, Aqcoe6G069100.2.p	AH004313-RA, AH008928-RA
OG0004373	Aqcoe6G141800.1.p	AH001416-RA, AH000254-RA
OG0004374	Aqcoe6G311300.1.p	AH001651-RA
OG0004375	Aqcoe6G217300.1.p	AH003618-RA
OG0004376	Aqcoe7G245000.1.p, Aqcoe6G234500.1.p, Aqcoe6G234500.2.p, Aqcoe7G250500.1.p, Aqcoe7G250500.2.p	AH005322-RA, AH004049-RA
OG0004377	Aqcoe6G150400.1.p	AH015637-RA
OG0004378	Aqcoe6G303700.1.p	AH001686-RA
OG0004379	Aqcoe6G065500.1.p	AH000057-RA
OG0004380	Aqcoe6G267500.3.p, Aqcoe6G267500.1.p, Aqcoe6G267500.2.p	AH008370-RA
OG0004381	Aqcoe6G119900.1.p	AH000569-RA
OG0004382	Aqcoe6G005600.1.p	AH010360-RA, AH010359-RA
OG0004383	Aqcoe6G298600.1.p, Aqcoe6G256900.1.p	AH023630-RA
OG0004384	Aqcoe6G136800.3.p	AH005167-RA, AH005170-RA
OG0004385	Aqcoe6G039400.1.p, Aqcoe5G266600.1.p	AH006342-RA
OG0004386	Aqcoe7G154300.1.p, Aqcoe6G329200.1.p	AH022048-RA
OG0004387	Aqcoe6G069600.8.p, Aqcoe6G069600.6.p, Aqcoe6G069600.2.p, Aqcoe6G069600.9.p, Aqcoe6G069600.3.p, Aqcoe6G069600.1.p, Aqcoe6G069600.7.p, Aqcoe6G069600.5.p, Aqcoe6G069600.4.p, Aqcoe6G069600.10.p	AH002418-RA
OG0004388	Aqcoe6G290400.2.p, Aqcoe6G290400.3.p, Aqcoe6G290400.1.p, Aqcoe6G290400.4.p	AH022016-RA
OG0004389	Aqcoe6G172500.2.p, Aqcoe6G172500.1.p	AH003592-RA
OG0004390	Aqcoe6G043500.2.p, Aqcoe6G043500.1.p	AH015975-RA, AH023468-RA
OG0004391	Aqcoe6G144800.2.p, Aqcoe6G144800.3.p, Aqcoe6G144800.1.p	AH008922-RA
OG0004392	Aqcoe6G245400.1.p	AH006428-RA, AH002226-RA
OG0004393	Aqcoe6G152300.1.p, Aqcoe7G086900.1.p, Aqcoe7G086400.1.p, Aqcoe7G086300.1.p	AH016638-RA
OG0004394	Aqcoe6G094200.1.p	AH003651-RA, AH005663-RA, AH008878-RA
OG0004395	Aqcoe6G061300.1.p	AH008586-RA
OG0004396	Aqcoe6G023500.2.p, Aqcoe6G023500.1.p	AH003265-RA
OG0004397	Aqcoe6G057700.1.p	AH005958-RA
OG0004398	Aqcoe6G098700.1.p	AH003697-RA
OG0004399	Aqcoe6G022800.1.p	AH010376-RA
OG0004401	Aqcoe6G324300.1.p	AH010161-RA
OG0004402	Aqcoe6G077000.1.p	AH008701-RA, AH003969-RA
OG0004403	Aqcoe6G066300.1.p	AH004987-RA
OG0004404	Aqcoe6G015700.1.p	AH014545-RA
OG0004405	Aqcoe6G001900.1.p	AH000936-RA
OG0004406	Aqcoe6G006800.1.p	AH020873-RA, AH023042-RA, AH016394-RA
OG0004408	Aqcoe6G032100.3.p, Aqcoe6G032100.5.p, Aqcoe6G032100.4.p, Aqcoe6G032100.2.p, Aqcoe6G032100.1.p	AH008646-RA
OG0004409	Aqcoe6G144600.1.p	AH001907-RA
OG0004410	Aqcoe6G140200.1.p, Aqcoe7G344500.1.p	AH006787-RA
OG0004411	Aqcoe7G415200.1.p, Aqcoe6G297600.2.p, Aqcoe6G297600.5.p, Aqcoe6G297600.3.p, Aqcoe6G297600.4.p, Aqcoe6G297600.1.p, Aqcoe1G227200.1.p	AH017140-RA
OG0004412	Aqcoe5G282100.1.p, Aqcoe3G261200.1.p, Aqcoe3G261200.2.p, Aqcoe0609s0001.1.p	AH011412-RA, AH018266-RA
OG0004413	Aqcoe4G016400.3.p, Aqcoe4G016400.6.p, Aqcoe4G016400.2.p, Aqcoe4G016400.4.p, Aqcoe4G016400.8.p, Aqcoe4G016400.9.p, Aqcoe4G016400.7.p, Aqcoe4G016400.1.p, Aqcoe4G016400.5.p, Aqcoe1G205200.1.p	AH010298-RA
OG0004414	Aqcoe4G003700.1.p, Aqcoe4G003700.2.p	AH011953-RA
OG0004415	Aqcoe3G046800.1.p, Aqcoe4G035900.1.p	AH022900-RA, AH016503-RA
OG0004416	Aqcoe4G008800.1.p	AH010275-RA
OG0004417	Aqcoe4G145800.1.p, Aqcoe1G317300.1.p, Aqcoe1G317300.2.p	AH010016-RA
OG0004418	Aqcoe4G003400.2.p, Aqcoe4G003400.1.p	AH023409-RA
OG0004419	Aqcoe4G215600.1.p, Aqcoe5G270600.2.p, Aqcoe5G270600.1.p, Aqcoe5G001600.1.p	AH000726-RA
OG0004420	Aqcoe4G275800.6.p, Aqcoe4G275800.5.p, Aqcoe4G275800.1.p, Aqcoe4G275800.2.p, Aqcoe4G275800.3.p, Aqcoe4G275800.4.p, Aqcoe4G275400.1.p	AH008270-RA, AH008269-RA
OG0004421	Aqcoe5G376200.1.p, Aqcoe4G207200.1.p	AH010262-RA, AH007907-RA
OG0004422	Aqcoe4G235200.1.p	AH008197-RA
OG0004423	Aqcoe4G103300.1.p, Aqcoe4G103300.2.p	AH000331-RA
OG0004424	Aqcoe4G000100.1.p	AH014707-RA, AH007945-RA
OG0004425	Aqcoe1G300900.1.p, Aqcoe4G165900.1.p	AH000445-RA, AH001260-RA
OG0004426	Aqcoe7G031000.1.p	AH012426-RA
OG0004427	Aqcoe7G039800.1.p	AH012375-RA, AH019485-RA, AH016635-RA
OG0004429	Aqcoe7G315200.4.p, Aqcoe7G315200.8.p, Aqcoe7G315200.7.p, Aqcoe7G315200.3.p, Aqcoe7G315200.6.p, Aqcoe7G315200.5.p, Aqcoe7G315200.1.p, Aqcoe7G315200.2.p, Aqcoe1G272200.1.p	AH016024-RA
OG0004430	Aqcoe7G196600.5.p, Aqcoe7G196600.4.p, Aqcoe7G196600.1.p, Aqcoe7G196600.2.p, Aqcoe7G196600.3.p	AH002036-RA
OG0004431	Aqcoe7G024300.1.p	AH019605-RA, AH009774-RA, AH012100-RA
