Orthogroup	A_coerulea.proteins	D_spatulata.proteins
OG0006013	Aqcoe5G231800.1.p, Aqcoe7G286700.1.p	Ds_00008885-RA
OG0006014	Aqcoe7G205600.1.p	Ds_00000697-RA, Ds_00002437-RA
OG0006015	Aqcoe7G050700.2.p, Aqcoe7G050700.1.p	Ds_00005519-RA
OG0006016	Aqcoe7G299600.2.p, Aqcoe7G299600.3.p, Aqcoe7G299600.1.p	Ds_00003482-RA
OG0006017	Aqcoe7G273000.1.p	Ds_00017704-RA
OG0006018	Aqcoe7G007800.1.p, Aqcoe7G007800.2.p	Ds_00005638-RA
OG0006019	Aqcoe7G009200.1.p	Ds_00002849-RA
OG0006020	Aqcoe7G008500.3.p, Aqcoe7G008500.5.p, Aqcoe7G008500.4.p, Aqcoe7G008500.2.p, Aqcoe7G008500.1.p, Aqcoe7G008500.6.p	Ds_00014590-RA
OG0006021	Aqcoe7G352100.2.p, Aqcoe7G352100.1.p	Ds_00008241-RA
OG0006022	Aqcoe7G063600.1.p	Ds_00009895-RA
OG0006023	Aqcoe7G353100.5.p, Aqcoe7G353100.4.p, Aqcoe7G353100.1.p, Aqcoe7G353100.2.p, Aqcoe7G353100.6.p, Aqcoe7G353100.3.p	Ds_00016460-RA
OG0006024	Aqcoe7G093800.1.p	Ds_00004877-RA
OG0006025	Aqcoe7G367900.1.p	Ds_00007203-RA
OG0006026	Aqcoe7G409300.2.p, Aqcoe7G409300.1.p	Ds_00014390-RA
OG0006027	Aqcoe7G107300.2.p, Aqcoe7G107300.1.p	Ds_00008231-RA
OG0006028	Aqcoe7G048200.1.p	Ds_00003248-RA
OG0006029	Aqcoe1G492700.2.p, Aqcoe1G492700.1.p, Aqcoe7G119400.1.p, Aqcoe7G119400.2.p	Ds_00010220-RA
OG0006030	Aqcoe7G407100.1.p, Aqcoe7G407100.2.p	Ds_00011916-RA
OG0006031	Aqcoe7G059300.1.p	Ds_00012952-RA, Ds_00012953-RA
OG0006032	Aqcoe7G358800.1.p	Ds_00015362-RA
OG0006033	Aqcoe7G200400.1.p	Ds_00014280-RA, Ds_00002575-RA
OG0006034	Aqcoe7G440500.1.p	Ds_00017895-RA, Ds_00002322-RA
OG0006036	Aqcoe7G360200.1.p	Ds_00016847-RA
OG0006037	Aqcoe7G377200.1.p	Ds_00002450-RA
OG0006040	Aqcoe7G262100.1.p, Aqcoe7G262100.2.p	Ds_00015763-RA
OG0006041	Aqcoe7G130200.1.p	Ds_00011834-RA
OG0006042	Aqcoe7G430400.1.p	Ds_00000478-RA
OG0006044	Aqcoe7G340500.3.p, Aqcoe7G340500.4.p, Aqcoe7G340500.1.p, Aqcoe7G340500.2.p, Aqcoe3G148800.1.p, Aqcoe3G148800.2.p	Ds_00013496-RA
OG0006045	Aqcoe7G193100.1.p	Ds_00009924-RA, Ds_00009921-RA
OG0006046	Aqcoe1G077100.2.p, Aqcoe1G077100.1.p	Ds_00010802-RA
OG0006047	Aqcoe1G385100.1.p	Ds_00014052-RA, Ds_00001696-RA
OG0006048	Aqcoe1G128200.3.p, Aqcoe1G128200.1.p, Aqcoe1G128200.2.p, Aqcoe1G220700.1.p	Ds_00005233-RA
OG0006049	Aqcoe1G325600.1.p, Aqcoe1G467500.1.p, Aqcoe1G467500.2.p	Ds_00003287-RA
OG0006050	Aqcoe1G230900.1.p	Ds_00011769-RA
OG0006051	Aqcoe1G250900.2.p, Aqcoe1G250900.3.p, Aqcoe1G250900.4.p, Aqcoe1G250900.1.p	Ds_00012308-RA
OG0006052	Aqcoe1G039400.1.p	Ds_00014565-RA
OG0006052	Aqcoe3G123200.1.p	Ds_00009372-RA, Ds_00005751-RA
OG0006053	Aqcoe1G188000.1.p	Ds_00011823-RA
OG0006054	Aqcoe1G298500.1.p	Ds_00011774-RA
OG0006055	Aqcoe1G270400.3.p, Aqcoe1G270400.1.p, Aqcoe1G270400.2.p	Ds_00006343-RA
OG0006056	Aqcoe1G025900.1.p	Ds_00009586-RA
OG0006057	Aqcoe1G056400.2.p, Aqcoe1G056400.1.p	Ds_00006722-RA, Ds_00006723-RA
OG0006058	Aqcoe1G150100.1.p	Ds_00007359-RA
OG0006060	Aqcoe1G489600.1.p, Aqcoe1G489600.2.p	Ds_00001991-RA
OG0006061	Aqcoe1G084700.1.p, Aqcoe1G084800.1.p	Ds_00010109-RA, Ds_00008248-RA
OG0006062	Aqcoe1G152500.1.p	Ds_00014742-RA, Ds_00010038-RA
OG0006063	Aqcoe1G161200.1.p	Ds_00004729-RA
OG0006064	Aqcoe1G183000.1.p	Ds_00004237-RA
OG0006065	Aqcoe5G297200.4.p, Aqcoe5G297200.7.p, Aqcoe5G297200.6.p, Aqcoe5G297200.5.p, Aqcoe5G297200.2.p, Aqcoe5G297200.1.p, Aqcoe5G297200.3.p, Aqcoe1G360100.1.p	Ds_00017629-RA
OG0006066	Aqcoe1G079600.1.p	Ds_00013994-RA
OG0006068	Aqcoe5G280200.1.p, Aqcoe5G280200.6.p, Aqcoe5G280200.4.p, Aqcoe5G280200.5.p, Aqcoe5G280200.3.p, Aqcoe1G176300.1.p, Aqcoe5G280200.2.p, Aqcoe1G176300.2.p	Ds_00004093-RA
OG0006069	Aqcoe1G246900.1.p, Aqcoe1G246900.3.p, Aqcoe1G246900.2.p, Aqcoe1G246900.4.p	Ds_00007553-RA
OG0006070	Aqcoe1G475800.4.p, Aqcoe1G475800.1.p, Aqcoe1G475800.2.p, Aqcoe1G475800.3.p	Ds_00014723-RA
OG0006071	Aqcoe1G492500.1.p	Ds_00015072-RA
OG0006073	Aqcoe1G489800.1.p	Ds_00014585-RA, Ds_00005211-RA
OG0006074	Aqcoe1G155700.1.p	Ds_00001104-RA
OG0006075	Aqcoe1G221500.3.p, Aqcoe1G221500.1.p, Aqcoe1G221500.2.p, Aqcoe1G221500.4.p	Ds_00017535-RA
OG0006076	Aqcoe1G492800.1.p	Ds_00010289-RA
OG0006077	Aqcoe1G061800.1.p	Ds_00009944-RA
OG0006078	Aqcoe1G448400.1.p	Ds_00002083-RA
OG0006080	Aqcoe1G429900.1.p	Ds_00000447-RA
OG0006081	Aqcoe1G090100.1.p	Ds_00015174-RA
OG0006082	Aqcoe1G197700.1.p, Aqcoe1G197700.2.p	Ds_00012745-RA
OG0006083	Aqcoe1G093100.2.p, Aqcoe1G093100.1.p	Ds_00011261-RA
OG0006084	Aqcoe3G341800.1.p	Ds_00013126-RA
OG0006085	Aqcoe1G318100.1.p, Aqcoe1G318000.1.p	Ds_00012293-RA
OG0006086	Aqcoe1G337700.1.p	Ds_00015972-RA
OG0006087	Aqcoe1G080700.2.p, Aqcoe1G080700.1.p	Ds_00006927-RA
OG0006088	Aqcoe1G411500.3.p, Aqcoe1G411500.2.p, Aqcoe1G411500.4.p, Aqcoe1G411500.1.p	Ds_00009999-RA
OG0006089	Aqcoe1G235400.3.p, Aqcoe1G235400.2.p, Aqcoe1G235400.1.p	Ds_00015104-RA, Ds_00011995-RA
OG0006090	Aqcoe1G062400.1.p	Ds_00007353-RA
OG0006091	Aqcoe1G104100.1.p	Ds_00015280-RA
OG0006093	Aqcoe1G499600.3.p, Aqcoe1G499600.1.p, Aqcoe1G499600.2.p	Ds_00009101-RA, Ds_00006704-RA
OG0006094	Aqcoe1G170500.1.p	Ds_00005434-RA
OG0006095	Aqcoe1G374400.4.p, Aqcoe1G374400.1.p, Aqcoe1G374400.5.p, Aqcoe1G374400.2.p, Aqcoe1G374400.3.p	Ds_00011180-RA
OG0006096	Aqcoe1G317800.2.p, Aqcoe1G317800.1.p	Ds_00007718-RA
OG0006097	Aqcoe1G040200.1.p, Aqcoe1G040000.1.p	Ds_00002330-RA
OG0006098	Aqcoe1G039900.1.p	Ds_00008008-RA
OG0006099	Aqcoe1G367900.1.p	Ds_00015909-RA
OG0006100	Aqcoe1G014700.1.p, Aqcoe1G014700.2.p	Ds_00002686-RA
OG0006101	Aqcoe1G138700.3.p, Aqcoe1G138700.2.p, Aqcoe1G138700.1.p	Ds_00005995-RA
OG0006102	Aqcoe1G253600.1.p, Aqcoe1G253600.2.p	Ds_00001175-RA
OG0006104	Aqcoe3G092100.3.p, Aqcoe3G092100.1.p, Aqcoe1G191100.1.p	Ds_00003265-RA
OG0006105	Aqcoe1G302500.1.p	Ds_00005264-RA
OG0006106	Aqcoe1G384000.1.p	Ds_00004432-RA
OG0006107	Aqcoe1G446100.1.p, Aqcoe1G446100.2.p	Ds_00010158-RA
OG0006108	Aqcoe1G420600.1.p, Aqcoe1G420600.2.p	Ds_00008272-RA, Ds_00006595-RA
OG0006109	Aqcoe1G405200.2.p, Aqcoe1G405200.1.p	Ds_00015982-RA
OG0006110	Aqcoe1G193900.2.p	Ds_00002261-RA
OG0006111	Aqcoe1G051900.1.p, Aqcoe1G051900.2.p	Ds_00002705-RA
OG0006112	Aqcoe1G361900.2.p, Aqcoe1G361900.1.p	Ds_00012268-RA
OG0006113	Aqcoe1G066600.2.p, Aqcoe1G066600.1.p	Ds_00012616-RA, Ds_00016840-RA
OG0006115	Aqcoe1G449800.1.p, Aqcoe1G449800.2.p	Ds_00017762-RA
OG0006116	Aqcoe5G419200.1.p, Aqcoe5G419200.3.p, Aqcoe5G419200.2.p, Aqcoe1G221200.1.p	Ds_00010234-RA, Ds_00013469-RA
OG0006118	Aqcoe1G115700.1.p, Aqcoe1G115700.3.p, Aqcoe1G115700.2.p	Ds_00006039-RA
OG0006119	Aqcoe1G031800.1.p	Ds_00011007-RA
OG0006120	Aqcoe1G415700.1.p	Ds_00003429-RA
OG0006121	Aqcoe1G090500.1.p	Ds_00016922-RA
OG0006122	Aqcoe1G297000.5.p, Aqcoe1G297000.4.p, Aqcoe1G297000.3.p, Aqcoe1G297000.1.p, Aqcoe1G297000.2.p	Ds_00011635-RA
OG0006123	Aqcoe1G031100.1.p	Ds_00013955-RA
OG0006124	Aqcoe1G030200.1.p	Ds_00005532-RA
OG0006125	Aqcoe1G499500.3.p, Aqcoe1G499500.1.p, Aqcoe1G499500.4.p, Aqcoe1G499500.6.p, Aqcoe1G499500.2.p, Aqcoe1G499500.5.p	Ds_00015991-RA
OG0006126	Aqcoe5G008300.1.p	Ds_00017583-RA
OG0006127	Aqcoe5G119800.1.p	Ds_00005417-RA
OG0006128	Aqcoe5G064300.2.p, Aqcoe5G064300.1.p	Ds_00001057-RA
OG0006129	Aqcoe5G004600.1.p	Ds_00009598-RA
OG0006130	Aqcoe5G462400.1.p	Ds_00008995-RA, Ds_00002797-RA, Ds_00002796-RA
OG0006131	Aqcoe5G360500.1.p	Ds_00013761-RA
OG0006132	Aqcoe5G470600.1.p	Ds_00005601-RA
OG0006133	Aqcoe5G162600.1.p, Aqcoe5G162600.2.p, Aqcoe5G162600.3.p	Ds_00008935-RA
OG0006134	Aqcoe5G389700.1.p	Ds_00017079-RA
OG0006135	Aqcoe5G155800.1.p	Ds_00006779-RA
OG0006136	Aqcoe5G155600.6.p, Aqcoe5G155600.3.p, Aqcoe5G155600.4.p, Aqcoe5G155600.5.p, Aqcoe5G155600.7.p, Aqcoe5G155600.1.p, Aqcoe5G155600.2.p	Ds_00017973-RA, Ds_00007456-RA
OG0006137	Aqcoe5G369900.3.p, Aqcoe5G369900.4.p, Aqcoe5G369900.6.p, Aqcoe5G369900.1.p, Aqcoe5G369900.2.p, Aqcoe5G369900.5.p, Aqcoe5G369900.7.p	Ds_00017396-RA
OG0006139	Aqcoe5G382300.1.p	Ds_00013777-RA
OG0006140	Aqcoe5G457200.1.p	Ds_00000418-RA, Ds_00000410-RA
OG0006141	Aqcoe5G214700.2.p, Aqcoe5G214700.1.p	Ds_00001440-RA
OG0006142	Aqcoe5G249900.1.p	Ds_00010936-RA, Ds_00010937-RA, Ds_00003622-RA
OG0006143	Aqcoe5G399000.2.p, Aqcoe5G399000.1.p	Ds_00017777-RA
OG0006145	Aqcoe5G192300.1.p	Ds_00001333-RA
OG0006146	Aqcoe5G110200.1.p	Ds_00009650-RA
OG0006147	Aqcoe5G310200.1.p	Ds_00014567-RA
OG0006148	Aqcoe5G112600.1.p	Ds_00001394-RA, Ds_00003054-RA
OG0006149	Aqcoe5G420400.1.p	Ds_00010239-RA
OG0006150	Aqcoe5G371200.1.p	Ds_00009709-RA
OG0006151	Aqcoe5G226900.2.p, Aqcoe5G226900.1.p	Ds_00002557-RA
OG0006152	Aqcoe5G161100.1.p	Ds_00001612-RA, Ds_00003518-RA
OG0006153	Aqcoe5G096000.1.p, Aqcoe3G262800.1.p	Ds_00012810-RA
OG0006154	Aqcoe5G152300.1.p	Ds_00009248-RA
OG0006155	Aqcoe5G360700.3.p, Aqcoe5G360700.1.p, Aqcoe5G360700.2.p	Ds_00010759-RA
OG0006156	Aqcoe5G440300.1.p	Ds_00015937-RA
OG0006157	Aqcoe5G429000.1.p, Aqcoe5G425900.1.p	Ds_00016478-RA
OG0006158	Aqcoe5G334800.1.p	Ds_00016028-RA
OG0006159	Aqcoe5G103200.1.p	Ds_00000700-RA
OG0006160	Aqcoe5G414100.1.p	Ds_00008554-RA
OG0006161	Aqcoe5G036400.1.p	Ds_00003903-RA, Ds_00006337-RA
OG0006162	Aqcoe5G156200.3.p, Aqcoe5G156200.1.p, Aqcoe5G156200.4.p, Aqcoe5G156200.2.p	Ds_00007910-RA
OG0006163	Aqcoe5G305800.1.p, Aqcoe5G305800.2.p	Ds_00003677-RA
OG0006164	Aqcoe5G415400.2.p, Aqcoe5G415400.1.p, Aqcoe5G415400.3.p, Aqcoe5G415400.5.p, Aqcoe5G415400.4.p	Ds_00009500-RA
OG0006165	Aqcoe5G450000.1.p	Ds_00005674-RA
OG0006166	Aqcoe5G381100.1.p, Aqcoe3G130500.1.p	Ds_00001979-RA
OG0006167	Aqcoe5G166200.1.p, Aqcoe5G166200.2.p	Ds_00011249-RA
OG0006168	Aqcoe3G248800.1.p, Aqcoe5G031100.2.p, Aqcoe5G031100.1.p	Ds_00004362-RA
OG0006169	Aqcoe5G216600.1.p	Ds_00013993-RA
OG0006170	Aqcoe5G258800.1.p, Aqcoe5G258800.2.p	Ds_00003994-RA
OG0006171	Aqcoe5G349600.1.p	Ds_00009730-RA
OG0006173	Aqcoe5G021000.1.p	Ds_00006971-RA, Ds_00006970-RA, Ds_00006141-RA
OG0006175	Aqcoe5G089300.1.p	Ds_00003655-RA
OG0006176	Aqcoe3G132200.2.p, Aqcoe3G132200.1.p, Aqcoe0015s0011.1.p, Aqcoe5G381600.1.p	Ds_00009700-RA
OG0006177	Aqcoe5G177400.1.p	Ds_00000322-RA
OG0006178	Aqcoe5G089700.2.p, Aqcoe5G089700.1.p	Ds_00003668-RA
OG0006179	Aqcoe5G166700.1.p	Ds_00000754-RA
OG0006180	Aqcoe5G466700.2.p, Aqcoe5G466700.1.p	Ds_00005632-RA
OG0006181	Aqcoe5G379100.1.p	Ds_00000938-RA
OG0006182	Aqcoe5G101100.1.p	Ds_00000532-RA
OG0006183	Aqcoe5G350300.1.p, Aqcoe5G350300.2.p	Ds_00017599-RA
OG0006184	Aqcoe5G058400.1.p, Aqcoe5G058400.5.p, Aqcoe5G058400.3.p, Aqcoe5G058400.2.p, Aqcoe5G058400.4.p	Ds_00003139-RA
OG0006185	Aqcoe3G018400.1.p	Ds_00005311-RA
OG0006186	Aqcoe3G143400.1.p, Aqcoe3G410800.1.p	Ds_00000150-RA
OG0006187	Aqcoe3G008000.1.p	Ds_00002649-RA
OG0006188	Aqcoe3G403000.1.p	Ds_00008547-RA
OG0006189	Aqcoe3G227600.2.p, Aqcoe3G227600.1.p, Aqcoe3G229400.2.p, Aqcoe3G229400.1.p, Aqcoe3G229400.3.p	Ds_00002676-RA
OG0006190	Aqcoe3G442500.1.p	Ds_00006434-RA
OG0006192	Aqcoe3G071700.1.p, Aqcoe3G071700.2.p	Ds_00005861-RA
OG0006193	Aqcoe3G216200.1.p, Aqcoe3G216200.2.p	Ds_00006072-RA
OG0006194	Aqcoe3G340900.2.p, Aqcoe3G340900.1.p	Ds_00006894-RA
OG0006195	Aqcoe3G058400.1.p, Aqcoe3G058600.1.p	Ds_00006876-RA, Ds_00005194-RA
OG0006196	Aqcoe3G402200.1.p, Aqcoe3G402200.2.p	Ds_00008469-RA
OG0006198	Aqcoe3G419700.1.p	Ds_00005931-RA
OG0006199	Aqcoe3G124100.1.p	Ds_00014173-RA
OG0006200	Aqcoe3G110000.1.p, Aqcoe3G303100.1.p, Aqcoe3G303100.4.p, Aqcoe3G303100.2.p, Aqcoe3G303100.3.p	Ds_00011754-RA
OG0006201	Aqcoe3G233700.1.p	Ds_00013119-RA
OG0006202	Aqcoe3G426400.2.p, Aqcoe3G426400.1.p	Ds_00006994-RA
OG0006203	Aqcoe3G266400.1.p	Ds_00004075-RA
OG0006204	Aqcoe3G418500.1.p	Ds_00017681-RA
OG0006205	Aqcoe3G356500.1.p	Ds_00009148-RA, Ds_00008451-RA, Ds_00010531-RA
OG0006206	Aqcoe3G342400.1.p, Aqcoe3G342400.2.p	Ds_00016415-RA
OG0006207	Aqcoe3G401600.1.p	Ds_00000160-RA
OG0006208	Aqcoe3G438900.1.p	Ds_00017340-RA, Ds_00002644-RA
OG0006209	Aqcoe3G355300.2.p, Aqcoe3G355300.1.p, Aqcoe3G354600.1.p, Aqcoe3G354600.2.p	Ds_00009149-RA
OG0006210	Aqcoe3G134600.6.p, Aqcoe3G134600.2.p, Aqcoe3G134600.5.p, Aqcoe3G134600.4.p, Aqcoe3G134600.1.p, Aqcoe3G134600.3.p	Ds_00010725-RA
OG0006211	Aqcoe3G097300.1.p, Aqcoe3G321900.2.p, Aqcoe3G321900.3.p, Aqcoe3G321900.1.p	Ds_00016249-RA
OG0006212	Aqcoe3G027300.1.p	Ds_00008465-RA
OG0006213	Aqcoe3G416100.1.p, Aqcoe3G005900.1.p	Ds_00017166-RA, Ds_00000139-RA
OG0006214	Aqcoe3G339200.1.p, Aqcoe3G339200.2.p, Aqcoe3G345500.1.p, Aqcoe3G345400.1.p	Ds_00005342-RA
OG0006215	Aqcoe3G427500.1.p, Aqcoe3G427500.2.p	Ds_00004088-RA
OG0006216	Aqcoe3G364800.1.p	Ds_00016784-RA, Ds_00016785-RA, Ds_00016786-RA, Ds_00013061-RA, Ds_00005324-RA
OG0006217	Aqcoe3G382400.1.p	Ds_00004358-RA
OG0006218	Aqcoe3G071300.2.p, Aqcoe3G071300.1.p	Ds_00008416-RA
OG0006219	Aqcoe3G061300.1.p, Aqcoe3G061300.2.p	Ds_00008474-RA, Ds_00008376-RA, Ds_00008377-RA
OG0006220	Aqcoe3G293000.2.p, Aqcoe3G293000.1.p, Aqcoe3G272700.1.p	Ds_00009024-RA, Ds_00016037-RA
OG0006221	Aqcoe3G298000.1.p	Ds_00009027-RA
OG0006222	Aqcoe3G012200.1.p	Ds_00013488-RA
OG0006223	Aqcoe3G444900.2.p, Aqcoe3G444900.1.p, Aqcoe3G444900.3.p	Ds_00007011-RA
OG0006224	Aqcoe3G386500.1.p	Ds_00016800-RA, Ds_00016801-RA
OG0006225	Aqcoe3G029100.1.p	Ds_00008467-RA, Ds_00009254-RA
OG0006226	Aqcoe3G073900.4.p, Aqcoe3G073900.3.p, Aqcoe3G073900.2.p, Aqcoe3G073900.1.p	Ds_00006667-RA
OG0006227	Aqcoe3G287400.1.p, Aqcoe3G287400.2.p	Ds_00013809-RA
OG0006228	Aqcoe3G045300.1.p	Ds_00010013-RA, Ds_00005191-RA
OG0006230	Aqcoe3G416400.2.p, Aqcoe3G416400.1.p, Aqcoe3G416400.3.p	Ds_00008525-RA
OG0006231	Aqcoe3G416700.1.p	Ds_00013226-RA
OG0006232	Aqcoe3G441700.3.p, Aqcoe3G441700.1.p, Aqcoe3G441700.2.p	Ds_00017940-RA, Ds_00011445-RA
OG0006233	Aqcoe3G384600.1.p, Aqcoe3G074700.1.p, Aqcoe3G074700.2.p	Ds_00014133-RA
OG0006235	Aqcoe3G160400.4.p, Aqcoe3G160400.3.p, Aqcoe3G160400.1.p, Aqcoe3G160400.5.p, Aqcoe3G160400.2.p	Ds_00013703-RA
OG0006237	Aqcoe3G172700.3.p, Aqcoe3G172700.5.p, Aqcoe3G172700.4.p, Aqcoe3G172700.2.p, Aqcoe3G172700.1.p	Ds_00013091-RA
OG0006238	Aqcoe3G287700.4.p, Aqcoe3G287700.1.p, Aqcoe3G287700.2.p, Aqcoe3G287700.3.p	Ds_00009175-RA
OG0006239	Aqcoe3G017400.1.p	Ds_00016343-RA
OG0006240	Aqcoe3G344000.1.p	Ds_00008443-RA
OG0006241	Aqcoe3G031100.2.p, Aqcoe3G031100.1.p	Ds_00016140-RA
OG0006243	Aqcoe3G350700.2.p, Aqcoe3G350700.1.p	Ds_00010544-RA
OG0006244	Aqcoe3G143900.2.p, Aqcoe3G143900.1.p	Ds_00008032-RA
OG0006245	Aqcoe3G371400.2.p, Aqcoe3G371400.3.p, Aqcoe3G371400.1.p, Aqcoe3G371400.5.p, Aqcoe3G371400.4.p	Ds_00010505-RA
OG0006246	Aqcoe3G334900.1.p	Ds_00017243-RA
OG0006247	Aqcoe3G030300.1.p	Ds_00016856-RA
OG0006248	Aqcoe3G275400.1.p	Ds_00001557-RA, Ds_00001558-RA
OG0006250	Aqcoe3G236300.3.p, Aqcoe3G236300.4.p, Aqcoe3G236300.1.p, Aqcoe3G236300.2.p	Ds_00015007-RA, Ds_00011929-RA
OG0006251	Aqcoe3G306800.1.p	Ds_00016262-RA
OG0006252	Aqcoe3G048200.1.p, Aqcoe3G048200.2.p, Aqcoe3G048200.4.p, Aqcoe3G048200.3.p	Ds_00009109-RA
OG0006253	Aqcoe3G311000.1.p	Ds_00003746-RA, Ds_00003742-RA
OG0006254	Aqcoe3G206700.1.p	Ds_00009742-RA
OG0006255	Aqcoe3G233200.1.p	Ds_00008098-RA
OG0006296	Aqcoe7G060900.1.p, Aqcoe7G060900.2.p, Aqcoe2G181900.1.p, Aqcoe0729s0001.1.p	Ds_00003548-RA, Ds_00003545-RA
OG0006297	Aqcoe2G310900.1.p	Ds_00014912-RA
OG0006298	Aqcoe2G241100.2.p, Aqcoe2G241100.1.p	Ds_00017153-RA
OG0006299	Aqcoe7G056200.1.p	Ds_00012955-RA
OG0006300	Aqcoe2G278400.1.p	Ds_00003221-RA, Ds_00003917-RA
OG0006301	Aqcoe2G395900.1.p	Ds_00002299-RA, Ds_00010304-RA
OG0006303	Aqcoe2G404200.2.p, Aqcoe2G404200.1.p, Aqcoe2G404100.1.p	Ds_00005716-RA
OG0006304	Aqcoe2G297600.1.p	Ds_00012800-RA
OG0006305	Aqcoe2G099100.1.p	Ds_00006902-RA
OG0006306	Aqcoe2G017700.2.p, Aqcoe2G017700.1.p	Ds_00011089-RA
OG0006307	Aqcoe2G101700.1.p	Ds_00013280-RA
OG0006308	Aqcoe2G032700.3.p, Aqcoe2G032700.4.p, Aqcoe2G032700.1.p, Aqcoe2G032700.2.p	Ds_00004414-RA
OG0006309	Aqcoe2G222000.1.p	Ds_00002625-RA
OG0006310	Aqcoe2G303500.1.p, Aqcoe2G303500.3.p, Aqcoe2G303500.2.p	Ds_00002284-RA
OG0006312	Aqcoe5G054600.1.p, Aqcoe2G346000.1.p	Ds_00004553-RA
OG0006313	Aqcoe2G178400.1.p, Aqcoe2G178400.2.p	Ds_00010345-RA
OG0006314	Aqcoe2G074400.1.p	Ds_00004138-RA, Ds_00005860-RA
OG0006315	Aqcoe2G323200.2.p, Aqcoe2G323200.1.p	Ds_00003092-RA
OG0006316	Aqcoe2G147500.1.p, Aqcoe2G147500.3.p, Aqcoe2G147500.6.p, Aqcoe2G147500.5.p, Aqcoe2G147500.4.p, Aqcoe2G147500.2.p	Ds_00009614-RA
OG0006317	Aqcoe2G045300.1.p	Ds_00005762-RA
OG0006318	Aqcoe2G129400.4.p, Aqcoe2G129400.3.p, Aqcoe2G129400.2.p, Aqcoe2G129400.1.p, Aqcoe1G455400.1.p	Ds_00014291-RA, Ds_00014290-RA
OG0006319	Aqcoe2G256900.1.p	Ds_00003252-RA
OG0006320	Aqcoe2G343500.2.p, Aqcoe2G343500.1.p	Ds_00016079-RA
OG0006321	Aqcoe7G432400.1.p, Aqcoe7G432400.2.p, Aqcoe2G139000.1.p	Ds_00003345-RA
OG0006322	Aqcoe2G427400.1.p	Ds_00005735-RA
OG0006323	Aqcoe2G164700.1.p, Aqcoe2G164700.2.p	Ds_00006037-RA, Ds_00015850-RA
OG0006324	Aqcoe1G001900.1.p, Aqcoe1G001900.3.p, Aqcoe1G001900.2.p, Aqcoe2G001000.1.p	Ds_00010816-RA
OG0006325	Aqcoe2G028900.1.p	Ds_00014558-RA
OG0006326	Aqcoe5G066300.2.p, Aqcoe5G066300.3.p, Aqcoe5G066300.1.p, Aqcoe2G322800.1.p	Ds_00000897-RA
OG0006327	Aqcoe5G030900.2.p, Aqcoe5G030900.1.p, Aqcoe5G030900.3.p, Aqcoe2G286400.2.p, Aqcoe2G286400.1.p	Ds_00010998-RA
OG0006329	Aqcoe2G420500.1.p	Ds_00009086-RA, Ds_00003358-RA, Ds_00003357-RA
OG0006330	Aqcoe3G339800.1.p, Aqcoe2G368000.1.p	Ds_00005350-RA
OG0006331	Aqcoe2G403800.1.p	Ds_00011116-RA
OG0006332	Aqcoe2G105900.1.p, Aqcoe6G227700.2.p, Aqcoe6G227700.1.p, Aqcoe6G227700.3.p	Ds_00011989-RA
OG0006333	Aqcoe2G183600.1.p	Ds_00005409-RA
OG0006334	Aqcoe7G227700.1.p, Aqcoe2G191200.1.p	Ds_00016933-RA, Ds_00016946-RA
OG0006335	Aqcoe4G135500.1.p, Aqcoe2G091300.1.p, Aqcoe7G142400.1.p, Aqcoe7G010200.1.p, Aqcoe5G460700.1.p	Ds_00016885-RA
OG0006336	Aqcoe2G276300.1.p, Aqcoe2G276300.2.p	Ds_00003226-RA
OG0006337	Aqcoe2G036800.1.p	Ds_00003025-RA
OG0006338	Aqcoe2G351600.1.p, Aqcoe2G351600.2.p, Aqcoe5G049100.1.p	Ds_00014672-RA, Ds_00003159-RA
OG0006339	Aqcoe2G023900.5.p, Aqcoe2G023900.2.p, Aqcoe2G023900.3.p, Aqcoe2G023900.1.p, Aqcoe2G023900.4.p	Ds_00006696-RA
OG0006340	Aqcoe2G353100.1.p	Ds_00006169-RA
OG0006341	Aqcoe2G293100.1.p	Ds_00014705-RA, Ds_00003894-RA
OG0006342	Aqcoe2G208300.2.p, Aqcoe2G208300.1.p, Aqcoe1G130600.1.p	Ds_00005847-RA
OG0006343	Aqcoe2G249300.4.p, Aqcoe2G249300.1.p, Aqcoe2G249300.3.p, Aqcoe2G249300.2.p	Ds_00005028-RA
OG0006344	Aqcoe2G325100.1.p	Ds_00004709-RA, Ds_00000895-RA
OG0006345	Aqcoe2G337400.1.p, Aqcoe5G059400.1.p	Ds_00004639-RA
OG0006347	Aqcoe2G159600.2.p, Aqcoe2G159600.1.p, Aqcoe1G119900.1.p	Ds_00002040-RA, Ds_00008741-RA
OG0006348	Aqcoe2G303200.1.p	Ds_00006327-RA
OG0006349	Aqcoe2G181100.4.p, Aqcoe2G181100.2.p, Aqcoe2G181100.3.p, Aqcoe2G181100.1.p	Ds_00010978-RA
OG0006351	Aqcoe1G054200.1.p, Aqcoe2G058900.1.p	Ds_00017953-RA
OG0006352	Aqcoe2G279300.1.p	Ds_00003915-RA
OG0006353	Aqcoe2G337900.1.p, Aqcoe2G337900.2.p	Ds_00007096-RA
OG0006354	Aqcoe2G050200.1.p	Ds_00013246-RA
OG0006355	Aqcoe2G435600.3.p, Aqcoe2G435600.2.p, Aqcoe2G435600.1.p	Ds_00003332-RA
