Orthogroup	A_coerulea.proteins	B_vulgaris.proteins
OG0006139	Aqcoe5G382300.1.p	Bevul.6G170900.1.p
OG0006140	Aqcoe5G457200.1.p	Bevul.5G017800.1.p
OG0006141	Aqcoe5G214700.2.p, Aqcoe5G214700.1.p	Bevul.6G062100.1.p
OG0006142	Aqcoe5G249900.1.p	Bevul.6G056000.1.p
OG0006143	Aqcoe5G399000.2.p, Aqcoe5G399000.1.p	Bevul.6G148800.1.p
OG0006145	Aqcoe5G192300.1.p	Bevul.5G040200.1.p
OG0006146	Aqcoe5G110200.1.p	Bevul.9G216700.2.p, Bevul.9G216700.1.p
OG0006147	Aqcoe5G310200.1.p	Bevul.1G140200.1.p, Bevul.1G140800.1.p
OG0006148	Aqcoe5G112600.1.p	Bevul.1G051400.1.p
OG0006149	Aqcoe5G420400.1.p	Bevul.1G134300.1.p, Bevul.1G134400.1.p
OG0006150	Aqcoe5G371200.1.p	Bevul.5G151900.1.p
OG0006151	Aqcoe5G226900.2.p, Aqcoe5G226900.1.p	Bevul.1G017900.1.p
OG0006152	Aqcoe5G161100.1.p	Bevul.1G113300.1.p
OG0006153	Aqcoe5G096000.1.p, Aqcoe3G262800.1.p	Bevul.7G174600.1.p
OG0006154	Aqcoe5G152300.1.p	Bevul.4G182900.1.p
OG0006155	Aqcoe5G360700.3.p, Aqcoe5G360700.1.p, Aqcoe5G360700.2.p	Bevul.6G209500.1.p
OG0006156	Aqcoe5G440300.1.p	Bevul.1G185200.1.p
OG0006157	Aqcoe5G429000.1.p, Aqcoe5G425900.1.p	Bevul.1G122500.1.p
OG0006158	Aqcoe5G334800.1.p	Bevul.4G245800.1.p
OG0006159	Aqcoe5G103200.1.p	Bevul.2G213800.2.p, Bevul.2G213800.1.p, Bevul.2G213800.3.p, Bevul.2G213800.4.p
OG0006160	Aqcoe5G414100.1.p	Bevul.6G136900.1.p
OG0006161	Aqcoe5G036400.1.p	Bevul.5G153300.1.p
OG0006162	Aqcoe5G156200.3.p, Aqcoe5G156200.1.p, Aqcoe5G156200.4.p, Aqcoe5G156200.2.p	Bevul.7G034400.1.p
OG0006163	Aqcoe5G305800.1.p, Aqcoe5G305800.2.p	Bevul.4G197400.1.p
OG0006164	Aqcoe5G415400.2.p, Aqcoe5G415400.1.p, Aqcoe5G415400.3.p, Aqcoe5G415400.5.p, Aqcoe5G415400.4.p	Bevul.8G118800.1.p
OG0006165	Aqcoe5G450000.1.p	Bevul.3G043300.1.p
OG0006166	Aqcoe5G381100.1.p, Aqcoe3G130500.1.p	Bevul.2G090600.1.p, Bevul.2G090600.2.p, Bevul.7G115600.1.p
OG0006167	Aqcoe5G166200.1.p, Aqcoe5G166200.2.p	Bevul.6G060800.1.p
OG0006168	Aqcoe3G248800.1.p, Aqcoe5G031100.2.p, Aqcoe5G031100.1.p	Bevul.6G163600.1.p
OG0006169	Aqcoe5G216600.1.p	Bevul.6G157300.1.p
OG0006170	Aqcoe5G258800.1.p, Aqcoe5G258800.2.p	Bevul.4G181700.1.p
OG0006172	Aqcoe5G103700.2.p, Aqcoe5G103700.3.p, Aqcoe5G103700.1.p	Bevul.8G111800.1.p
OG0006173	Aqcoe5G021000.1.p	Bevul.4G126900.1.p
OG0006174	Aqcoe5G036100.5.p, Aqcoe5G036100.4.p, Aqcoe5G036100.3.p, Aqcoe5G036100.2.p, Aqcoe5G036100.1.p	Bevul.7G176400.1.p
OG0006175	Aqcoe5G089300.1.p	Bevul.4G202800.1.p
OG0006176	Aqcoe3G132200.2.p, Aqcoe3G132200.1.p, Aqcoe0015s0011.1.p, Aqcoe5G381600.1.p	Bevul.7G144100.1.p
OG0006177	Aqcoe5G177400.1.p	Bevul.2G231400.3.p, Bevul.2G231400.1.p, Bevul.2G231400.2.p, Bevul.9G159500.2.p, Bevul.9G159500.1.p
OG0006178	Aqcoe5G089700.2.p, Aqcoe5G089700.1.p	Bevul.4G202400.1.p
OG0006179	Aqcoe5G166700.1.p	Bevul.1G168800.1.p
OG0006180	Aqcoe5G466700.2.p, Aqcoe5G466700.1.p	Bevul.3G035000.1.p
OG0006181	Aqcoe5G379100.1.p	Bevul.8G105100.1.p
OG0006182	Aqcoe5G101100.1.p	Bevul.1G006900.1.p
OG0006183	Aqcoe5G350300.1.p, Aqcoe5G350300.2.p	Bevul.6G204300.1.p
OG0006184	Aqcoe5G058400.1.p, Aqcoe5G058400.5.p, Aqcoe5G058400.3.p, Aqcoe5G058400.2.p, Aqcoe5G058400.4.p	Bevul.3G140400.1.p
OG0006185	Aqcoe3G018400.1.p	Bevul.5G142500.1.p
OG0006187	Aqcoe3G008000.1.p	Bevul.9G005500.1.p
OG0006188	Aqcoe3G403000.1.p	Bevul.6G139500.1.p
OG0006189	Aqcoe3G227600.2.p, Aqcoe3G227600.1.p, Aqcoe3G229400.2.p, Aqcoe3G229400.1.p, Aqcoe3G229400.3.p	Bevul.1G150100.1.p
OG0006190	Aqcoe3G442500.1.p	Bevul.8G105200.1.p
OG0006192	Aqcoe3G071700.1.p, Aqcoe3G071700.2.p	Bevul.7G066200.3.p, Bevul.7G066200.2.p, Bevul.7G066200.1.p
OG0006193	Aqcoe3G216200.1.p, Aqcoe3G216200.2.p	Bevul.4G250100.1.p
OG0006194	Aqcoe3G340900.2.p, Aqcoe3G340900.1.p	Bevul.2G061800.1.p, Bevul.2G061800.3.p, Bevul.2G061800.2.p
OG0006195	Aqcoe3G058400.1.p, Aqcoe3G058600.1.p	Bevul.4G232600.1.p, Bevul.4G232000.1.p, Bevul.6G059200.1.p
OG0006196	Aqcoe3G402200.1.p, Aqcoe3G402200.2.p	Bevul.2G211200.2.p, Bevul.2G211200.1.p
OG0006197	Aqcoe3G109100.2.p, Aqcoe3G109100.3.p, Aqcoe3G109100.1.p	Bevul.6G196300.1.p
OG0006197	Aqcoe3G304700.1.p	Bevul.4G220300.1.p
OG0006198	Aqcoe3G419700.1.p	Bevul.3G231700.1.p
OG0006199	Aqcoe3G124100.1.p	Bevul.4G133100.1.p
OG0006200	Aqcoe3G110000.1.p, Aqcoe3G303100.1.p, Aqcoe3G303100.4.p, Aqcoe3G303100.2.p, Aqcoe3G303100.3.p	Bevul.2G096500.1.p
OG0006201	Aqcoe3G233700.1.p	Bevul.5G089700.1.p
OG0006202	Aqcoe3G426400.2.p, Aqcoe3G426400.1.p	Bevul.4G120700.1.p
OG0006203	Aqcoe3G266400.1.p	Bevul.7G107900.1.p, Bevul.9G032100.1.p
OG0006204	Aqcoe3G418500.1.p	Bevul.3G197400.1.p
OG0006205	Aqcoe3G356500.1.p	Bevul.6G227800.1.p, Bevul.6G227700.1.p, Bevul.6G227500.1.p
OG0006206	Aqcoe3G342400.1.p, Aqcoe3G342400.2.p	Bevul.3G068600.1.p
OG0006207	Aqcoe3G401600.1.p	Bevul.5G147900.1.p
OG0006208	Aqcoe3G438900.1.p	Bevul.9G006700.1.p
OG0006209	Aqcoe3G355300.2.p, Aqcoe3G355300.1.p, Aqcoe3G354600.1.p, Aqcoe3G354600.2.p	Bevul.6G227900.1.p, Bevul.5G183100.1.p
OG0006210	Aqcoe3G134600.6.p, Aqcoe3G134600.2.p, Aqcoe3G134600.5.p, Aqcoe3G134600.4.p, Aqcoe3G134600.1.p, Aqcoe3G134600.3.p	Bevul.6G171100.1.p
OG0006211	Aqcoe3G097300.1.p, Aqcoe3G321900.2.p, Aqcoe3G321900.3.p, Aqcoe3G321900.1.p	Bevul.5G197800.1.p
OG0006212	Aqcoe3G027300.1.p	Bevul.2G210400.1.p
OG0006213	Aqcoe3G416100.1.p, Aqcoe3G005900.1.p	Bevul.1G170700.1.p
OG0006214	Aqcoe3G339200.1.p, Aqcoe3G339200.2.p, Aqcoe3G345500.1.p, Aqcoe3G345400.1.p	Bevul.5G185800.1.p
OG0006215	Aqcoe3G427500.1.p, Aqcoe3G427500.2.p	Bevul.5G209000.1.p
OG0006216	Aqcoe3G364800.1.p	Bevul.5G179100.1.p
OG0006217	Aqcoe3G382400.1.p	Bevul.9G189300.1.p
OG0006218	Aqcoe3G071300.2.p, Aqcoe3G071300.1.p	Bevul.6G111400.1.p
OG0006219	Aqcoe3G061300.1.p, Aqcoe3G061300.2.p	Bevul.1G184400.1.p
OG0006220	Aqcoe3G293000.2.p, Aqcoe3G293000.1.p, Aqcoe3G272700.1.p	Bevul.6G192800.1.p
OG0006221	Aqcoe3G298000.1.p	Bevul.6G192200.1.p, Bevul.5G210100.1.p
OG0006222	Aqcoe3G012200.1.p	Bevul.2G202800.1.p
OG0006223	Aqcoe3G444900.2.p, Aqcoe3G444900.1.p, Aqcoe3G444900.3.p	Bevul.9G091300.1.p, Bevul.9G091300.2.p
OG0006224	Aqcoe3G386500.1.p	Bevul.4G216900.1.p
OG0006225	Aqcoe3G029100.1.p	Bevul.2G210900.1.p
OG0006226	Aqcoe3G073900.4.p, Aqcoe3G073900.3.p, Aqcoe3G073900.2.p, Aqcoe3G073900.1.p	Bevul.4G214600.1.p
OG0006227	Aqcoe3G287400.1.p, Aqcoe3G287400.2.p	Bevul.5G213600.1.p
OG0006228	Aqcoe3G045300.1.p	Bevul.9G064000.3.p, Bevul.9G064000.1.p, Bevul.9G064000.2.p
OG0006229	Aqcoe3G245100.1.p, Aqcoe3G245100.2.p	Bevul.6G055000.1.p
OG0006230	Aqcoe3G416400.2.p, Aqcoe3G416400.1.p, Aqcoe3G416400.3.p	Bevul.6G144400.1.p
OG0006231	Aqcoe3G416700.1.p	Bevul.6G143700.1.p
OG0006232	Aqcoe3G441700.3.p, Aqcoe3G441700.1.p, Aqcoe3G441700.2.p	Bevul.6G157500.1.p
OG0006233	Aqcoe3G384600.1.p, Aqcoe3G074700.1.p, Aqcoe3G074700.2.p	Bevul.5G170500.1.p
OG0006234	Aqcoe3G387900.2.p, Aqcoe3G387900.1.p	Bevul.2G169700.1.p, Bevul.2G169700.2.p
OG0006235	Aqcoe3G160400.4.p, Aqcoe3G160400.3.p, Aqcoe3G160400.1.p, Aqcoe3G160400.5.p, Aqcoe3G160400.2.p	Bevul.7G050000.2.p, Bevul.7G050000.1.p
OG0006236	Aqcoe3G294600.1.p	Bevul.6G191600.1.p
OG0006237	Aqcoe3G172700.3.p, Aqcoe3G172700.5.p, Aqcoe3G172700.4.p, Aqcoe3G172700.2.p, Aqcoe3G172700.1.p	Bevul.5G104700.1.p
OG0006238	Aqcoe3G287700.4.p, Aqcoe3G287700.1.p, Aqcoe3G287700.2.p, Aqcoe3G287700.3.p	Bevul.6G189700.1.p
OG0006239	Aqcoe3G017400.1.p	Bevul.8G024600.1.p
OG0006240	Aqcoe3G344000.1.p	Bevul.6G232900.1.p
OG0006241	Aqcoe3G031100.2.p, Aqcoe3G031100.1.p	Bevul.8G209500.1.p
OG0006242	Aqcoe3G149600.1.p	Bevul.6G233700.1.p, Bevul.7G133400.1.p, Bevul.5G130200.1.p, Bevul.7G213200.1.p, Bevul.3G104800.1.p
OG0006243	Aqcoe3G350700.2.p, Aqcoe3G350700.1.p	Bevul.5G184000.1.p, Bevul.6G230000.1.p
OG0006244	Aqcoe3G143900.2.p, Aqcoe3G143900.1.p	Bevul.6G149100.1.p
OG0006245	Aqcoe3G371400.2.p, Aqcoe3G371400.3.p, Aqcoe3G371400.1.p, Aqcoe3G371400.5.p, Aqcoe3G371400.4.p	Bevul.6G079500.1.p
OG0006246	Aqcoe3G334900.1.p	Bevul.7G170000.1.p
OG0006247	Aqcoe3G030300.1.p	Bevul.4G102200.1.p
OG0006248	Aqcoe3G275400.1.p	Bevul.1G140600.1.p
OG0006249	Aqcoe3G182600.1.p	Bevul.1G040900.1.p, Bevul.6G175800.1.p, Bevul.2G069600.1.p, Bevul.1G010100.1.p, Bevul.5G118400.1.p, Bevul.1G033700.1.p, Bevul.5G096100.1.p, Bevul.4G058400.1.p, Bevul.7G038500.1.p, Bevul.7G066100.1.p, Bevul.8G056500.1.p, Bevul.9G047000.1.p, Bevul.9G002800.1.p, Bevul.6G127600.1.p, Bevul.9G043300.1.p, Bevul.9G044400.1.p, Bevul.2G012400.1.p, Bevul.5G111900.1.p, Bevul.8G081400.1.p, Bevul.2G135100.1.p, Bevul.1G113500.1.p, Bevul.2G176400.1.p
OG0006250	Aqcoe3G236300.3.p, Aqcoe3G236300.4.p, Aqcoe3G236300.1.p, Aqcoe3G236300.2.p	Bevul.3G015100.1.p
OG0006251	Aqcoe3G306800.1.p	Bevul.5G205700.1.p, Bevul.2G098300.1.p
OG0006252	Aqcoe3G048200.1.p, Aqcoe3G048200.2.p, Aqcoe3G048200.4.p, Aqcoe3G048200.3.p	Bevul.6G119700.1.p
OG0006253	Aqcoe3G311000.1.p	Bevul.5G204200.1.p
OG0006254	Aqcoe3G206700.1.p	Bevul.4G012100.1.p
OG0006255	Aqcoe3G233200.1.p	Bevul.5G089300.1.p
OG0006256	Aqcoe3G040900.1.p	Bevul.6G126100.1.p
OG0006296	Aqcoe7G060900.1.p, Aqcoe7G060900.2.p, Aqcoe2G181900.1.p, Aqcoe0729s0001.1.p	Bevul.1G124800.1.p
OG0006297	Aqcoe2G310900.1.p	Bevul.7G087500.1.p
OG0006298	Aqcoe2G241100.2.p, Aqcoe2G241100.1.p	Bevul.4G249200.1.p
OG0006299	Aqcoe2G100000.1.p, Aqcoe2G100000.2.p	Bevul.2G239500.2.p, Bevul.2G239500.1.p
OG0006299	Aqcoe7G056200.1.p	Bevul.3G082500.1.p
OG0006300	Aqcoe2G278400.1.p	Bevul.3G000200.1.p, Bevul.4G196600.1.p
OG0006301	Aqcoe2G395900.1.p	Bevul.4G089800.1.p
OG0006303	Aqcoe2G404200.2.p, Aqcoe2G404200.1.p, Aqcoe2G404100.1.p	Bevul.3G231100.1.p
OG0006304	Aqcoe2G297600.1.p	Bevul.1G201200.1.p, Bevul.1G117900.1.p
OG0006305	Aqcoe2G099100.1.p	Bevul.7G192100.1.p, Bevul.2G240400.1.p
OG0006306	Aqcoe2G017700.2.p, Aqcoe2G017700.1.p	Bevul.2G191100.1.p
OG0006307	Aqcoe2G101700.1.p	Bevul.5G142000.1.p
OG0006308	Aqcoe2G032700.3.p, Aqcoe2G032700.4.p, Aqcoe2G032700.1.p, Aqcoe2G032700.2.p	Bevul.3G067800.1.p, Bevul.3G067900.1.p, Bevul.3G068000.1.p
OG0006309	Aqcoe2G222000.1.p	Bevul.9G011200.1.p
OG0006310	Aqcoe2G303500.1.p, Aqcoe2G303500.3.p, Aqcoe2G303500.2.p	Bevul.7G150400.1.p
OG0006312	Aqcoe5G054600.1.p, Aqcoe2G346000.1.p	Bevul.5G232000.1.p
OG0006313	Aqcoe2G178400.1.p, Aqcoe2G178400.2.p	Bevul.1G031400.1.p
OG0006314	Aqcoe2G074400.1.p	Bevul.1G146900.1.p
OG0006315	Aqcoe2G323200.2.p, Aqcoe2G323200.1.p	Bevul.5G254100.1.p
OG0006316	Aqcoe2G147500.1.p, Aqcoe2G147500.3.p, Aqcoe2G147500.6.p, Aqcoe2G147500.5.p, Aqcoe2G147500.4.p, Aqcoe2G147500.2.p	Bevul.2G098900.2.p, Bevul.2G098900.3.p, Bevul.2G098900.1.p, Bevul.2G098900.4.p
OG0006317	Aqcoe2G045300.1.p	Bevul.3G210300.1.p
OG0006318	Aqcoe2G129400.4.p, Aqcoe2G129400.3.p, Aqcoe2G129400.2.p, Aqcoe2G129400.1.p, Aqcoe1G455400.1.p	Bevul.4G103600.1.p
OG0006319	Aqcoe2G256900.1.p	Bevul.3G129700.1.p
OG0006320	Aqcoe2G343500.2.p, Aqcoe2G343500.1.p	Bevul.3G095200.1.p
OG0006321	Aqcoe7G432400.1.p, Aqcoe7G432400.2.p, Aqcoe2G139000.1.p	Bevul.1G030900.1.p
OG0006322	Aqcoe2G427400.1.p	Bevul.3G225500.1.p
OG0006323	Aqcoe2G164700.1.p, Aqcoe2G164700.2.p	Bevul.4G098200.1.p
OG0006324	Aqcoe1G001900.1.p, Aqcoe1G001900.3.p, Aqcoe1G001900.2.p, Aqcoe2G001000.1.p	Bevul.5G124800.1.p
OG0006325	Aqcoe2G028900.1.p	Bevul.4G228700.1.p
OG0006326	Aqcoe5G066300.2.p, Aqcoe5G066300.3.p, Aqcoe5G066300.1.p, Aqcoe2G322800.1.p	Bevul.7G078100.1.p, Bevul.4G124900.1.p
OG0006327	Aqcoe5G030900.2.p, Aqcoe5G030900.1.p, Aqcoe5G030900.3.p, Aqcoe2G286400.2.p, Aqcoe2G286400.1.p	Bevul.3G195500.1.p
OG0006328	Aqcoe2G406000.1.p	Bevul.3G232700.1.p
OG0006329	Aqcoe2G420500.1.p	Bevul.5G008600.1.p
OG0006330	Aqcoe3G339800.1.p, Aqcoe2G368000.1.p	Bevul.5G187700.1.p
OG0006331	Aqcoe2G403800.1.p	Bevul.5G057400.1.p
OG0006332	Aqcoe2G105900.1.p, Aqcoe6G227700.2.p, Aqcoe6G227700.1.p, Aqcoe6G227700.3.p	Bevul.1G033000.1.p
OG0006333	Aqcoe2G183600.1.p	Bevul.6G049200.1.p
OG0006334	Aqcoe7G226100.1.p	Bevul.8G065800.1.p
OG0006334	Aqcoe7G227700.1.p, Aqcoe2G191200.1.p	Bevul.8G084900.1.p
OG0006335	Aqcoe4G135500.1.p, Aqcoe2G091300.1.p, Aqcoe7G142400.1.p, Aqcoe7G010200.1.p, Aqcoe5G460700.1.p	Bevul.3G039200.1.p
OG0006336	Aqcoe2G276300.1.p, Aqcoe2G276300.2.p	Bevul.3G054700.1.p
OG0006337	Aqcoe2G036800.1.p	Bevul.2G044500.2.p, Bevul.2G044500.1.p
OG0006338	Aqcoe2G351600.1.p, Aqcoe2G351600.2.p, Aqcoe5G049100.1.p	Bevul.3G145100.1.p
OG0006339	Aqcoe2G023900.5.p, Aqcoe2G023900.2.p, Aqcoe2G023900.3.p, Aqcoe2G023900.1.p, Aqcoe2G023900.4.p	Bevul.2G193300.5.p, Bevul.2G193300.6.p, Bevul.2G193300.4.p, Bevul.2G193300.3.p, Bevul.2G193300.2.p, Bevul.2G193300.1.p
OG0006341	Aqcoe2G293100.1.p	Bevul.4G203000.1.p
OG0006342	Aqcoe2G208300.2.p, Aqcoe2G208300.1.p, Aqcoe1G130600.1.p	Bevul.9G042200.1.p
OG0006343	Aqcoe2G249300.4.p, Aqcoe2G249300.1.p, Aqcoe2G249300.3.p, Aqcoe2G249300.2.p	Bevul.3G124600.1.p
OG0006345	Aqcoe2G337400.1.p, Aqcoe5G059400.1.p	Bevul.3G141700.1.p
OG0006346	Aqcoe2G074600.1.p, Aqcoe2G074600.2.p, Aqcoe1G501100.1.p	Bevul.2G029700.1.p
OG0006348	Aqcoe2G303200.1.p	Bevul.4G205500.1.p
OG0006349	Aqcoe2G181100.4.p, Aqcoe2G181100.2.p, Aqcoe2G181100.3.p, Aqcoe2G181100.1.p	Bevul.3G202100.1.p
OG0006350	Aqcoe2G101900.1.p	Bevul.2G238300.1.p
OG0006351	Aqcoe1G054200.1.p, Aqcoe2G058900.1.p	Bevul.4G248600.1.p, Bevul.4G248700.1.p
OG0006352	Aqcoe2G279300.1.p	Bevul.4G196900.1.p
OG0006353	Aqcoe2G337900.1.p, Aqcoe2G337900.2.p	Bevul.3G142800.1.p
OG0006355	Aqcoe2G435600.3.p, Aqcoe2G435600.2.p, Aqcoe2G435600.1.p	Bevul.3G107000.1.p
OG0006356	Aqcoe7G050000.2.p, Aqcoe7G050000.1.p, Aqcoe2G310700.2.p, Aqcoe2G310700.1.p	Bevul.8G097300.1.p, Bevul.5G123400.1.p
OG0006357	Aqcoe7G014300.2.p, Aqcoe7G014300.1.p, Aqcoe7G012200.1.p	Bevul.4G103700.1.p
OG0006358	Aqcoe2G081400.1.p	Bevul.2G250900.1.p
OG0006359	Aqcoe2G029500.1.p	Bevul.4G228600.1.p
OG0006360	Aqcoe2G097400.1.p	Bevul.5G078200.1.p, Bevul.2G019800.1.p
OG0006361	Aqcoe2G032800.1.p	Bevul.3G204000.1.p
OG0006362	Aqcoe2G420700.1.p	Bevul.4G208600.1.p
OG0006363	Aqcoe7G403600.1.p, Aqcoe2G204900.1.p, Aqcoe2G204800.2.p, Aqcoe2G204800.1.p, Aqcoe5G194500.1.p	Bevul.5G106300.1.p
OG0006364	Aqcoe2G344400.2.p, Aqcoe2G344400.1.p	Bevul.3G137700.1.p
OG0006365	Aqcoe1G422000.1.p, Aqcoe2G095600.1.p	Bevul.5G050300.1.p
OG0006366	Aqcoe2G435700.1.p, Aqcoe2G435700.2.p	Bevul.3G107300.1.p
OG0006367	Aqcoe3G276600.1.p, Aqcoe2G141700.2.p, Aqcoe2G141700.1.p, Aqcoe2G141700.3.p, Aqcoe2G141700.4.p, Aqcoe2G141700.5.p	Bevul.3G066400.1.p, Bevul.1G145300.1.p
OG0006368	Aqcoe2G261300.1.p, Aqcoe2G261300.2.p	Bevul.5G259700.1.p
OG0006369	Aqcoe2G084100.1.p, Aqcoe2G084100.2.p	Bevul.2G224300.1.p, Bevul.2G249100.1.p
OG0006370	Aqcoe2G058400.1.p, Aqcoe2G058400.2.p	Bevul.3G175900.1.p
OG0006371	Aqcoe2G005300.1.p	Bevul.4G219000.1.p
OG0006372	Aqcoe6G037800.1.p	Bevul.1G082800.1.p
OG0006373	Aqcoe6G309500.1.p	Bevul.9G235300.1.p, Bevul.9G235300.2.p
OG0006374	Aqcoe6G118500.1.p, Aqcoe6G118600.1.p, Aqcoe5G193300.1.p	Bevul.9G171500.1.p
OG0006375	Aqcoe6G006200.3.p, Aqcoe6G006200.2.p, Aqcoe6G006200.1.p, Aqcoe6G006200.4.p, Aqcoe6G006400.1.p	Bevul.6G155600.1.p
OG0006376	Aqcoe6G103800.1.p	Bevul.1G054000.1.p, Bevul.9G073600.1.p, Bevul.7G055700.1.p
OG0006377	Aqcoe6G048200.2.p, Aqcoe6G048200.1.p	Bevul.1G066800.1.p
OG0006378	Aqcoe1G097300.1.p, Aqcoe1G097300.3.p, Aqcoe1G097300.2.p, Aqcoe6G249400.1.p, Aqcoe6G192200.1.p, Aqcoe7G062800.1.p, Aqcoe7G062800.2.p	Bevul.5G041300.1.p
OG0006379	Aqcoe6G285200.1.p	Bevul.8G112000.1.p
OG0006380	Aqcoe6G288300.1.p	Bevul.4G175700.1.p
OG0006381	Aqcoe6G053000.2.p, Aqcoe6G053000.1.p	Bevul.6G104000.1.p
OG0006382	Aqcoe6G019700.1.p	Bevul.1G115000.1.p
OG0006383	Aqcoe6G026800.1.p, Aqcoe6G026800.2.p	Bevul.2G034200.1.p
OG0006384	Aqcoe6G020400.2.p, Aqcoe6G020400.1.p	Bevul.1G114400.1.p
OG0006385	Aqcoe3G382900.1.p, Aqcoe6G308600.2.p, Aqcoe6G308600.1.p	Bevul.1G116500.1.p
OG0006386	Aqcoe6G020200.1.p	Bevul.4G181400.1.p, Bevul.4G181500.1.p
OG0006387	Aqcoe5G124900.2.p, Aqcoe5G124900.1.p	Bevul.1G036600.1.p
OG0006388	Aqcoe6G059000.1.p, Aqcoe3G029200.1.p	Bevul.6G072500.1.p
OG0006389	Aqcoe6G120600.1.p	Bevul.6G019500.1.p
OG0006390	Aqcoe6G321100.1.p	Bevul.6G077000.1.p
OG0006391	Aqcoe6G289100.1.p	Bevul.8G104800.1.p, Bevul.7G104600.1.p
OG0006392	Aqcoe6G302900.1.p	Bevul.6G008400.1.p
OG0006393	Aqcoe6G289200.1.p	Bevul.6G011500.1.p
OG0006394	Aqcoe6G093800.1.p	Bevul.1G119200.1.p
OG0006395	Aqcoe6G027400.1.p, Aqcoe6G027400.2.p	Bevul.1G218700.1.p
OG0006396	Aqcoe6G309100.1.p	Bevul.6G007300.1.p, Bevul.1G004100.1.p
OG0006397	Aqcoe6G036800.1.p	Bevul.3G103400.1.p, Bevul.3G103600.1.p
OG0006398	Aqcoe1G181300.1.p, Aqcoe1G181300.3.p, Aqcoe6G234300.1.p, Aqcoe1G181300.2.p	Bevul.8G099100.1.p
OG0006399	Aqcoe6G224900.1.p, Aqcoe6G224900.3.p, Aqcoe6G224900.4.p	Bevul.4G028800.1.p, Bevul.1G025700.1.p
OG0006400	Aqcoe6G286100.1.p	Bevul.9G109500.1.p, Bevul.9G109500.2.p
OG0006402	Aqcoe6G243100.1.p, Aqcoe6G243100.2.p	Bevul.1G018400.1.p
OG0006403	Aqcoe6G002200.1.p	Bevul.6G159500.1.p
OG0006404	Aqcoe6G274200.3.p, Aqcoe6G274200.2.p, Aqcoe6G274200.1.p, Aqcoe6G323700.1.p	Bevul.9G016700.3.p, Bevul.9G016700.4.p, Bevul.9G016700.1.p, Bevul.9G016700.2.p
OG0006405	Aqcoe6G212200.1.p, Aqcoe1G269100.1.p	Bevul.1G024500.1.p
OG0006406	Aqcoe6G003800.1.p	Bevul.7G054400.1.p
OG0006407	Aqcoe6G189100.1.p	Bevul.1G038700.1.p
OG0006408	Aqcoe6G030900.1.p	Bevul.5G156800.1.p, Bevul.4G178200.1.p
OG0006409	Aqcoe6G034600.4.p, Aqcoe6G034600.1.p, Aqcoe6G034600.2.p, Aqcoe6G034600.3.p	Bevul.2G223900.1.p
OG0006410	Aqcoe6G108200.1.p	Bevul.6G090900.1.p, Bevul.6G090500.1.p, Bevul.6G090600.1.p, Bevul.6G090700.1.p, Bevul.6G090800.1.p
OG0006411	Aqcoe6G145300.1.p	Bevul.1G054500.1.p
OG0006412	Aqcoe6G047500.1.p	Bevul.6G101200.1.p
OG0006413	Aqcoe1G331700.1.p, Aqcoe6G136500.7.p, Aqcoe6G136500.9.p, Aqcoe6G136500.6.p, Aqcoe6G136500.2.p, Aqcoe6G136500.10.p, Aqcoe6G136500.5.p, Aqcoe6G136500.3.p, Aqcoe6G136500.8.p, Aqcoe6G136500.4.p, Aqcoe6G136500.1.p	Bevul.5G256900.1.p
OG0006414	Aqcoe6G085500.1.p	Bevul.1G099800.1.p
OG0006415	Aqcoe6G002500.1.p	Bevul.6G159000.1.p
OG0006416	Aqcoe6G161500.1.p	Bevul.4G134900.1.p
OG0006417	Aqcoe6G248600.1.p, Aqcoe0018s0005.1.p	Bevul.4G213400.1.p, Bevul.8G105900.1.p
OG0006418	Aqcoe6G101700.1.p	Bevul.1G056700.1.p
OG0006419	Aqcoe6G029500.2.p, Aqcoe6G029500.1.p	Bevul.1G023400.1.p
OG0006420	Aqcoe5G116500.1.p, Aqcoe6G054200.2.p, Aqcoe6G054200.1.p, Aqcoe6G054200.3.p, Aqcoe5G116500.2.p	Bevul.6G105000.1.p
OG0006421	Aqcoe6G328200.1.p, Aqcoe1G429100.1.p	Bevul.9G154100.2.p, Bevul.9G154100.3.p, Bevul.9G154100.1.p
OG0006422	Aqcoe6G021000.1.p	Bevul.1G114300.1.p
OG0006423	Aqcoe6G114100.2.p, Aqcoe6G114100.1.p	Bevul.6G086600.1.p, Bevul.1G053400.1.p
OG0006424	Aqcoe6G232300.1.p	Bevul.1G034500.1.p
OG0006425	Aqcoe6G313400.2.p, Aqcoe6G313400.1.p, Aqcoe6G313400.3.p	Bevul.9G219700.3.p, Bevul.9G219700.2.p, Bevul.9G219700.1.p
OG0006426	Aqcoe6G163200.1.p	Bevul.1G012700.1.p
OG0006427	Aqcoe6G128100.4.p, Aqcoe6G128100.2.p, Aqcoe6G128100.1.p, Aqcoe6G128100.3.p	Bevul.6G024300.1.p
OG0006428	Aqcoe7G107900.2.p, Aqcoe7G107900.3.p, Aqcoe7G107900.1.p, Aqcoe7G107900.4.p, Aqcoe6G231000.1.p	Bevul.1G076300.1.p
OG0006429	Aqcoe5G180200.1.p, Aqcoe5G180200.2.p	Bevul.9G162200.1.p
OG0006430	Aqcoe6G104400.1.p	Bevul.9G177700.1.p
