Orthogroup	A_coerulea.proteins	D_muscipula.proteins
OG0003800	Aqcoe5G087700.1.p	Dm_00016359-RA, Dm_00000615-RA, Dm_00007564-RA
OG0003801	Aqcoe2G390200.1.p, Aqcoe3G063500.2.p, Aqcoe3G063500.1.p, Aqcoe7G373900.1.p, Aqcoe7G028200.1.p, Aqcoe3G167000.1.p	Dm_00005599-RA
OG0003802	Aqcoe2G301000.1.p, Aqcoe4G248000.1.p, Aqcoe7G014500.2.p, Aqcoe7G014500.1.p	Dm_00020109-RA, Dm_00018915-RA
OG0003803	Aqcoe3G158000.1.p, Aqcoe1G074200.1.p, Aqcoe2G068600.1.p	Dm_00008889-RA, Dm_00008888-RA
OG0003804	Aqcoe1G134500.2.p, Aqcoe1G134500.1.p, Aqcoe2G203500.1.p, Aqcoe2G203500.2.p	Dm_00010237-RA, Dm_00019173-RA
OG0003805	Aqcoe2G280700.1.p, Aqcoe2G280700.2.p, Aqcoe2G280700.5.p, Aqcoe2G280700.4.p, Aqcoe2G280700.3.p	Dm_00001629-RA
OG0003806	Aqcoe5G263500.1.p, Aqcoe2G398300.1.p, Aqcoe0088s0003.2.p, Aqcoe0088s0003.1.p	Dm_00004901-RA
OG0003808	Aqcoe5G089000.1.p, Aqcoe5G089000.2.p, Aqcoe2G426200.1.p	Dm_00001004-RA
OG0003809	Aqcoe2G256700.2.p, Aqcoe2G256700.3.p, Aqcoe2G256700.1.p, Aqcoe2G256700.4.p	Dm_00006310-RA
OG0003810	Aqcoe2G276400.2.p, Aqcoe2G276400.1.p	Dm_00005550-RA, Dm_00012680-RA
OG0003811	Aqcoe2G162700.1.p, Aqcoe5G172600.1.p	Dm_00001726-RA
OG0003812	Aqcoe5G197900.1.p	Dm_00001410-RA, Dm_00016572-RA
OG0003814	Aqcoe5G101600.1.p, Aqcoe6G280400.1.p	Dm_00006596-RA, Dm_00020635-RA
OG0003815	Aqcoe6G294100.1.p, Aqcoe6G294100.2.p	Dm_00006618-RA
OG0003816	Aqcoe6G016600.1.p	Dm_00018342-RA
OG0003817	Aqcoe6G062800.2.p, Aqcoe6G062800.1.p, Aqcoe6G062800.3.p	Dm_00008876-RA
OG0003818	Aqcoe6G136600.1.p, Aqcoe5G146800.1.p	Dm_00008688-RA
OG0003819	Aqcoe3G110300.1.p, Aqcoe3G110200.1.p, Aqcoe3G302400.1.p, Aqcoe3G302200.1.p, Aqcoe6G150000.1.p, Aqcoe3G302100.1.p	Dm_00005824-RA, Dm_00012072-RA
OG0003821	Aqcoe6G142100.2.p, Aqcoe6G142100.1.p, Aqcoe6G142100.4.p, Aqcoe6G142100.3.p	Dm_00014282-RA
OG0003821	Aqcoe5G153000.1.p	Dm_00013030-RA
OG0003822	Aqcoe6G303500.1.p, Aqcoe5G132400.1.p	Dm_00002367-RA, Dm_00009322-RA, Dm_00006551-RA, Dm_00013998-RA
OG0003823	Aqcoe6G141700.1.p	Dm_00002642-RA
OG0003824	Aqcoe6G089400.1.p	Dm_00019594-RA
OG0003826	Aqcoe5G231700.1.p, Aqcoe6G123800.1.p	Dm_00005342-RA, Dm_00004948-RA, Dm_00008549-RA
OG0003827	Aqcoe6G079000.1.p	Dm_00013154-RA
OG0003828	Aqcoe6G257200.1.p	Dm_00004999-RA
OG0003830	Aqcoe1G413300.1.p, Aqcoe1G413300.3.p, Aqcoe1G413300.2.p, Aqcoe6G027300.1.p	Dm_00003803-RA, Dm_00007976-RA
OG0003831	Aqcoe6G195100.1.p	Dm_00015175-RA, Dm_00003377-RA
OG0003832	Aqcoe6G219500.2.p, Aqcoe6G219500.1.p	Dm_00016521-RA, Dm_00010489-RA
OG0003833	Aqcoe5G292600.1.p, Aqcoe6G140500.1.p	Dm_00002647-RA, Dm_00003929-RA
OG0003834	Aqcoe6G223000.1.p	Dm_00005811-RA
OG0003835	Aqcoe6G139800.1.p, Aqcoe6G139800.6.p, Aqcoe6G139800.3.p, Aqcoe6G139800.4.p, Aqcoe6G139800.2.p, Aqcoe6G139800.5.p, Aqcoe6G139800.7.p	Dm_00002651-RA
OG0003836	Aqcoe1G230400.1.p, Aqcoe1G230400.2.p, Aqcoe1G348600.1.p, Aqcoe6G071900.2.p, Aqcoe6G071900.1.p, Aqcoe6G146200.1.p	Dm_00018963-RA
OG0003837	Aqcoe5G191100.2.p, Aqcoe5G191100.4.p, Aqcoe5G191100.1.p, Aqcoe5G191100.3.p, Aqcoe6G120500.1.p	Dm_00001545-RA, Dm_00000787-RA
OG0003838	Aqcoe6G025100.1.p	Dm_00012408-RA
OG0003839	Aqcoe7G172100.1.p, Aqcoe6G275600.1.p, Aqcoe6G275600.3.p, Aqcoe6G275600.2.p	Dm_00010201-RA
OG0003840	Aqcoe6G268600.1.p	Dm_00019065-RA, Dm_00007291-RA
OG0003841	Aqcoe6G203500.2.p, Aqcoe6G203500.1.p, Aqcoe6G203500.3.p	Dm_00004287-RA
OG0003842	Aqcoe6G003300.1.p, Aqcoe1G453500.1.p	Dm_00009437-RA
OG0003843	Aqcoe6G250100.1.p, Aqcoe1G372500.1.p, Aqcoe1G372300.1.p, Aqcoe1G372600.1.p, Aqcoe1G372400.1.p	Dm_00007750-RA
OG0003844	Aqcoe4G130800.1.p, Aqcoe1G273300.1.p	Dm_00005449-RA, Dm_00009865-RA
OG0003845	Aqcoe4G209800.1.p, Aqcoe4G209800.2.p, Aqcoe4G209900.1.p	Dm_00001762-RA, Dm_00001763-RA
OG0003848	Aqcoe4G069200.1.p, Aqcoe4G069200.3.p, Aqcoe4G069200.2.p	Dm_00000703-RA, Dm_00002295-RA
OG0003849	Aqcoe1G187800.3.p, Aqcoe1G187800.2.p, Aqcoe1G187800.4.p, Aqcoe1G187800.1.p, Aqcoe4G007500.1.p	Dm_00000328-RA, Dm_00005904-RA
OG0003851	Aqcoe4G203600.1.p, Aqcoe4G203600.2.p, Aqcoe7G325200.1.p	Dm_00000754-RA
OG0003852	Aqcoe4G216000.1.p	Dm_00019797-RA, Dm_00017415-RA, Dm_00018492-RA, Dm_00005178-RA, Dm_00019848-RA
OG0003853	Aqcoe4G281100.1.p	Dm_00004131-RA, Dm_00010631-RA
OG0003854	Aqcoe4G001400.1.p	Dm_00004067-RA
OG0003855	Aqcoe4G082100.1.p, Aqcoe5G244600.1.p	Dm_00003506-RA
OG0003856	Aqcoe4G164500.2.p, Aqcoe4G164500.3.p, Aqcoe4G164500.1.p	Dm_00021083-RA, Dm_00018125-RA
OG0003857	Aqcoe4G040600.1.p, Aqcoe4G040600.2.p	Dm_00004438-RA
OG0003858	Aqcoe1G226200.1.p, Aqcoe1G226200.2.p, Aqcoe4G044200.1.p, Aqcoe4G044200.2.p	Dm_00002303-RA, Dm_00000674-RA
OG0003859	Aqcoe5G036200.1.p, Aqcoe4G012100.1.p	Dm_00018560-RA, Dm_00001803-RA
OG0003860	Aqcoe4G099400.2.p, Aqcoe4G099400.1.p, Aqcoe4G099400.3.p, Aqcoe1G262000.1.p	Dm_00004526-RA, Dm_00008632-RA
OG0003861	Aqcoe7G267200.1.p, Aqcoe7G388800.1.p	Dm_00003615-RA
OG0003862	Aqcoe7G082100.1.p	Dm_00015197-RA
OG0003863	Aqcoe7G152800.2.p, Aqcoe7G152800.1.p, Aqcoe1G314900.1.p, Aqcoe1G314900.2.p	Dm_00011217-RA, Dm_00001454-RA
OG0003864	Aqcoe7G319200.1.p	Dm_00009825-RA, Dm_00000745-RA
OG0003865	Aqcoe7G122600.1.p	Dm_00005991-RA, Dm_00012428-RA
OG0003866	Aqcoe7G051800.1.p	Dm_00015696-RA
OG0003867	Aqcoe7G033800.1.p	Dm_00004576-RA
OG0003868	Aqcoe5G372800.1.p, Aqcoe7G388600.3.p, Aqcoe7G388600.2.p, Aqcoe7G388600.1.p	Dm_00006911-RA
OG0003869	Aqcoe7G280000.2.p, Aqcoe7G280000.1.p	Dm_00006490-RA, Dm_00020684-RA
OG0003870	Aqcoe7G416800.2.p, Aqcoe7G416800.1.p, Aqcoe7G142300.1.p	Dm_00015853-RA, Dm_00008304-RA
OG0003871	Aqcoe7G376300.1.p	Dm_00002622-RA
OG0003872	Aqcoe7G175800.1.p	Dm_00013508-RA
OG0003873	Aqcoe7G077000.1.p	Dm_00009122-RA, Dm_00012470-RA, Dm_00012471-RA
OG0003875	Aqcoe7G400500.1.p, Aqcoe7G181100.1.p	Dm_00003732-RA
OG0003876	Aqcoe5G449300.1.p	Dm_00007488-RA, Dm_00006939-RA
OG0003877	Aqcoe7G035900.2.p, Aqcoe7G035900.4.p, Aqcoe7G035900.1.p, Aqcoe7G035900.3.p	Dm_00017300-RA, Dm_00016809-RA
OG0003878	Aqcoe7G045100.1.p	Dm_00010319-RA
OG0003879	Aqcoe7G172800.2.p, Aqcoe7G172800.1.p	Dm_00011385-RA
OG0003880	Aqcoe7G197500.2.p, Aqcoe7G197500.1.p	Dm_00016540-RA, Dm_00001046-RA
OG0003881	Aqcoe7G415800.1.p, Aqcoe7G139600.1.p	Dm_00015242-RA
OG0003883	Aqcoe7G082300.1.p, Aqcoe7G082300.2.p	Dm_00010643-RA
OG0003884	Aqcoe7G254400.1.p, Aqcoe3G387600.1.p	Dm_00003659-RA
OG0003885	Aqcoe7G002200.1.p	Dm_00000177-RA, Dm_00000433-RA
OG0003886	Aqcoe7G092400.1.p	Dm_00013432-RA
OG0003887	Aqcoe7G210200.1.p	Dm_00001057-RA, Dm_00000103-RA
OG0003890	Aqcoe7G020700.1.p	Dm_00012134-RA
OG0003891	Aqcoe7G387000.3.p, Aqcoe7G387000.4.p, Aqcoe7G387000.6.p, Aqcoe7G387000.5.p, Aqcoe7G387000.1.p, Aqcoe7G387000.2.p	Dm_00004170-RA
OG0003892	Aqcoe1G242300.1.p, Aqcoe1G242200.1.p, Aqcoe1G242100.1.p, Aqcoe1G241200.1.p, Aqcoe1G241200.2.p, Aqcoe1G241400.2.p, Aqcoe1G241400.1.p, Aqcoe1G241300.1.p, Aqcoe1G242400.1.p	Dm_00000699-RA, Dm_00000700-RA
OG0003894	Aqcoe1G311000.1.p	Dm_00015200-RA, Dm_00015201-RA
OG0003895	Aqcoe1G413900.1.p	Dm_00015149-RA, Dm_00019560-RA
OG0003896	Aqcoe1G041100.1.p, Aqcoe1G041100.2.p, Aqcoe1G043800.1.p	Dm_00020768-RA
OG0003897	Aqcoe1G155600.1.p	Dm_00012532-RA, Dm_00012531-RA
OG0003898	Aqcoe1G044700.1.p	Dm_00014112-RA
OG0003899	Aqcoe1G466300.1.p	Dm_00005144-RA
OG0003900	Aqcoe1G331000.1.p	Dm_00019708-RA
OG0003901	Aqcoe1G067700.8.p, Aqcoe1G067700.3.p, Aqcoe1G067700.6.p, Aqcoe1G067700.7.p, Aqcoe1G067700.4.p, Aqcoe1G067700.5.p, Aqcoe1G067700.2.p, Aqcoe1G067700.1.p	Dm_00004338-RA
OG0003902	Aqcoe1G344000.3.p, Aqcoe1G344000.2.p, Aqcoe1G344000.1.p, Aqcoe1G141500.1.p	Dm_00006998-RA, Dm_00004501-RA, Dm_00016624-RA
OG0003903	Aqcoe1G145500.1.p	Dm_00006965-RA
OG0003904	Aqcoe1G269600.2.p, Aqcoe1G269600.4.p, Aqcoe1G269600.3.p, Aqcoe1G269600.1.p	Dm_00019746-RA
OG0003905	Aqcoe1G293700.1.p	Dm_00005168-RA
OG0003906	Aqcoe1G113400.1.p, Aqcoe1G113400.2.p	Dm_00003697-RA
OG0003907	Aqcoe1G371300.1.p	Dm_00018210-RA, Dm_00015674-RA
OG0003908	Aqcoe1G252200.1.p, Aqcoe1G252200.2.p	Dm_00000718-RA
OG0003909	Aqcoe1G050000.2.p, Aqcoe1G050000.4.p, Aqcoe1G050000.3.p, Aqcoe1G050000.1.p	Dm_00003050-RA
OG0003910	Aqcoe1G265700.1.p, Aqcoe1G265800.1.p	Dm_00004985-RA
OG0003911	Aqcoe1G245300.1.p, Aqcoe1G245300.2.p	Dm_00012739-RA
OG0003912	Aqcoe1G080300.1.p	Dm_00006351-RA
OG0003913	Aqcoe1G383600.2.p, Aqcoe1G383600.3.p, Aqcoe1G383600.1.p, Aqcoe1G383600.4.p	Dm_00001505-RA
OG0003914	Aqcoe1G199900.2.p, Aqcoe1G199900.1.p	Dm_00009395-RA
OG0003915	Aqcoe1G043600.1.p	Dm_00019866-RA
OG0003916	Aqcoe1G424100.1.p	Dm_00005572-RA, Dm_00005573-RA
OG0003917	Aqcoe1G189800.1.p, Aqcoe1G189800.5.p, Aqcoe1G189800.4.p, Aqcoe1G189800.3.p, Aqcoe1G189800.2.p	Dm_00012652-RA
OG0003918	Aqcoe1G053400.2.p, Aqcoe1G053400.1.p	Dm_00013499-RA, Dm_00018489-RA
OG0003919	Aqcoe1G026900.2.p, Aqcoe1G026900.1.p	Dm_00010305-RA, Dm_00014840-RA
OG0003921	Aqcoe1G148400.1.p	Dm_00017701-RA, Dm_00018327-RA
OG0003922	Aqcoe1G218900.1.p	Dm_00005940-RA
OG0003923	Aqcoe1G185100.1.p	Dm_00007722-RA
OG0003924	Aqcoe1G229900.1.p	Dm_00011972-RA, Dm_00005174-RA
OG0003925	Aqcoe1G431500.1.p	Dm_00013244-RA
OG0003926	Aqcoe1G028700.1.p	Dm_00016773-RA
OG0003927	Aqcoe1G100500.2.p, Aqcoe1G100500.4.p, Aqcoe1G100500.3.p, Aqcoe1G100500.1.p	Dm_00010623-RA
OG0003928	Aqcoe1G050200.1.p, Aqcoe1G050200.2.p	Dm_00010544-RA, Dm_00007476-RA
OG0003929	Aqcoe1G210300.5.p, Aqcoe1G210300.4.p, Aqcoe1G210300.3.p, Aqcoe1G210300.1.p, Aqcoe1G210300.6.p, Aqcoe1G210300.7.p, Aqcoe1G210300.2.p	Dm_00010509-RA
OG0003930	Aqcoe1G315400.1.p	Dm_00005445-RA
OG0003931	Aqcoe1G057200.2.p, Aqcoe1G057200.3.p, Aqcoe1G057200.1.p	Dm_00008086-RA
OG0003932	Aqcoe3G302500.6.p, Aqcoe3G302500.3.p, Aqcoe3G302500.4.p, Aqcoe3G302500.2.p, Aqcoe3G302500.1.p, Aqcoe1G127800.4.p, Aqcoe1G127800.7.p, Aqcoe1G127800.3.p, Aqcoe1G127800.6.p, Aqcoe1G127800.1.p, Aqcoe1G127800.2.p, Aqcoe1G127800.5.p, Aqcoe3G302500.5.p	Dm_00008025-RA
OG0003933	Aqcoe1G231000.1.p, Aqcoe1G231000.2.p	Dm_00008935-RA, Dm_00008936-RA
OG0003934	Aqcoe1G005900.1.p	Dm_00012745-RA, Dm_00005731-RA
OG0003935	Aqcoe1G151700.4.p, Aqcoe1G151700.2.p, Aqcoe1G151700.3.p, Aqcoe1G151700.1.p	Dm_00005263-RA, Dm_00008807-RA
OG0003938	Aqcoe5G049700.1.p	Dm_00002800-RA, Dm_00000518-RA
OG0003940	Aqcoe5G145600.1.p	Dm_00013146-RA, Dm_00006717-RA
OG0003941	Aqcoe5G212200.6.p, Aqcoe5G212200.3.p, Aqcoe5G212200.2.p, Aqcoe5G212200.4.p, Aqcoe5G212200.5.p, Aqcoe5G212200.1.p	Dm_00001365-RA
OG0003942	Aqcoe5G342100.1.p	Dm_00012414-RA, Dm_00000962-RA
OG0003943	Aqcoe5G068300.1.p, Aqcoe3G395100.1.p, Aqcoe3G048500.1.p	Dm_00006354-RA
OG0003944	Aqcoe5G471400.2.p, Aqcoe5G471400.1.p	Dm_00004567-RA
OG0003946	Aqcoe5G169200.1.p	Dm_00007437-RA, Dm_00017298-RA
OG0003948	Aqcoe5G276500.1.p, Aqcoe5G276500.2.p	Dm_00009677-RA, Dm_00009678-RA, Dm_00004095-RA
OG0003949	Aqcoe5G118800.1.p	Dm_00018199-RA
OG0003951	Aqcoe3G176100.3.p, Aqcoe3G176100.2.p, Aqcoe3G176100.1.p, Aqcoe5G341900.1.p, Aqcoe5G341900.2.p	Dm_00018131-RA
OG0003952	Aqcoe5G127800.3.p, Aqcoe5G127800.2.p, Aqcoe5G127800.1.p	Dm_00012109-RA
OG0003953	Aqcoe5G199900.1.p, Aqcoe5G199900.2.p	Dm_00001743-RA
OG0003954	Aqcoe5G377800.1.p	Dm_00020520-RA, Dm_00005983-RA
OG0003955	Aqcoe5G147600.1.p	Dm_00003092-RA, Dm_00017935-RA
OG0003956	Aqcoe5G059200.2.p, Aqcoe5G059200.1.p	Dm_00003139-RA
OG0003957	Aqcoe5G087200.1.p	Dm_00011780-RA
OG0003958	Aqcoe5G061300.1.p	Dm_00015353-RA, Dm_00008588-RA
OG0003959	Aqcoe5G155700.1.p	Dm_00003932-RA
OG0003961	Aqcoe5G002000.1.p	Dm_00002570-RA
OG0003962	Aqcoe5G320100.2.p, Aqcoe5G320100.1.p	Dm_00016014-RA
OG0003963	Aqcoe5G171600.2.p, Aqcoe5G171600.3.p, Aqcoe5G171600.1.p	Dm_00001734-RA
OG0003964	Aqcoe5G364000.3.p, Aqcoe5G364000.2.p, Aqcoe5G364000.1.p	Dm_00006119-RA
OG0003965	Aqcoe5G045300.2.p, Aqcoe5G045300.3.p, Aqcoe5G045300.1.p	Dm_00010267-RA
OG0003966	Aqcoe3G280800.1.p, Aqcoe3G280800.2.p, Aqcoe5G439700.1.p	Dm_00010492-RA, Dm_00013118-RA
OG0003967	Aqcoe5G021800.1.p, Aqcoe5G021800.2.p	Dm_00009327-RA
OG0003969	Aqcoe5G281900.2.p, Aqcoe5G281900.1.p	Dm_00010475-RA
OG0003970	Aqcoe5G119600.1.p	Dm_00019109-RA, Dm_00001849-RA
OG0003971	Aqcoe5G373000.1.p	Dm_00012851-RA
OG0003972	Aqcoe5G108700.2.p, Aqcoe5G108700.1.p, Aqcoe5G108700.4.p, Aqcoe5G108700.3.p	Dm_00002466-RA
OG0003973	Aqcoe5G262800.1.p	Dm_00011942-RA
OG0003974	Aqcoe3G346700.1.p	Dm_00016098-RA
OG0003975	Aqcoe3G059600.1.p	Dm_00017274-RA
OG0003977	Aqcoe3G183200.1.p, Aqcoe3G183200.2.p	Dm_00000914-RA, Dm_00017933-RA
OG0003978	Aqcoe3G361100.1.p	Dm_00016069-RA
OG0003979	Aqcoe3G328900.2.p, Aqcoe3G328900.1.p, Aqcoe3G088500.1.p, Aqcoe3G088500.2.p	Dm_00002478-RA
OG0003980	Aqcoe3G394800.1.p	Dm_00001705-RA
OG0003981	Aqcoe3G302600.5.p, Aqcoe3G302600.3.p, Aqcoe3G302600.4.p, Aqcoe3G302600.2.p, Aqcoe3G302600.1.p	Dm_00005823-RA
OG0003982	Aqcoe3G042300.1.p, Aqcoe3G042400.1.p	Dm_00009667-RA
OG0003983	Aqcoe3G346800.1.p	Dm_00020411-RA
OG0003984	Aqcoe3G169200.1.p	Dm_00010333-RA, Dm_00018640-RA
OG0003985	Aqcoe3G272100.1.p	Dm_00004184-RA, Dm_00000874-RA
OG0003986	Aqcoe3G436900.1.p	Dm_00001309-RA
OG0003987	Aqcoe3G070900.1.p	Dm_00003935-RA, Dm_00012950-RA
OG0003989	Aqcoe3G025100.1.p	Dm_00001608-RA
OG0003990	Aqcoe3G125600.1.p, Aqcoe3G125600.2.p	Dm_00017522-RA
OG0003991	Aqcoe3G053500.1.p	Dm_00013671-RA
OG0003992	Aqcoe3G144300.1.p	Dm_00001416-RA, Dm_00002880-RA
OG0003994	Aqcoe3G018000.1.p	Dm_00006410-RA, Dm_00004413-RA
OG0003995	Aqcoe3G342900.1.p	Dm_00015225-RA, Dm_00018632-RA
OG0003996	Aqcoe3G053900.1.p, Aqcoe3G391000.1.p	Dm_00003282-RA
OG0003997	Aqcoe3G412500.1.p	Dm_00018528-RA
OG0003998	Aqcoe3G248900.1.p, Aqcoe3G248900.2.p	Dm_00007706-RA
OG0004000	Aqcoe3G080300.1.p	Dm_00013573-RA, Dm_00002929-RA, Dm_00008270-RA
OG0004001	Aqcoe3G030900.1.p	Dm_00010734-RA
OG0004002	Aqcoe3G364300.1.p	Dm_00006066-RA, Dm_00011042-RA
OG0004003	Aqcoe3G306300.2.p, Aqcoe3G306300.1.p	Dm_00007151-RA, Dm_00006824-RA
OG0004004	Aqcoe3G432600.1.p, Aqcoe3G432600.2.p	Dm_00012445-RA
OG0004005	Aqcoe3G390000.1.p	Dm_00001288-RA
OG0004006	Aqcoe3G393000.1.p	Dm_00008703-RA, Dm_00008704-RA
OG0004026	Aqcoe2G171700.2.p	Dm_00014557-RA
OG0004026	Aqcoe1G479900.1.p, Aqcoe2G171700.1.p	Dm_00009331-RA
OG0004027	Aqcoe2G036200.1.p	Dm_00001294-RA
OG0004028	Aqcoe2G157700.5.p, Aqcoe2G157700.2.p, Aqcoe2G157700.6.p, Aqcoe2G157700.3.p, Aqcoe2G157700.4.p, Aqcoe2G157700.1.p, Aqcoe1G436500.1.p, Aqcoe1G436500.4.p, Aqcoe1G436500.5.p, Aqcoe1G436500.2.p, Aqcoe1G436500.3.p, Aqcoe1G436300.1.p	Dm_00003410-RA
OG0004030	Aqcoe1G308300.1.p, Aqcoe5G055000.1.p, Aqcoe2G345500.1.p	Dm_00004381-RA
OG0004031	Aqcoe2G222200.1.p, Aqcoe1G109000.1.p	Dm_00009596-RA, Dm_00003746-RA
OG0004032	Aqcoe4G165000.3.p, Aqcoe4G165000.2.p, Aqcoe4G165000.1.p	Dm_00002896-RA
OG0004033	Aqcoe2G170000.1.p, Aqcoe2G170000.2.p, Aqcoe2G170000.3.p, Aqcoe2G170000.4.p	Dm_00005773-RA
OG0004034	Aqcoe2G403600.1.p	Dm_00009811-RA
OG0004035	Aqcoe2G319800.1.p	Dm_00002471-RA
OG0004037	Aqcoe4G257600.1.p, Aqcoe2G432300.1.p, Aqcoe4G263600.1.p	Dm_00004489-RA
OG0004041	Aqcoe2G434200.3.p, Aqcoe2G434200.6.p, Aqcoe2G434200.2.p, Aqcoe2G434200.1.p, Aqcoe2G434200.4.p, Aqcoe2G434200.7.p, Aqcoe2G434200.5.p	Dm_00017949-RA
OG0004043	Aqcoe1G111500.1.p, Aqcoe2G125000.1.p	Dm_00008593-RA
OG0004044	Aqcoe2G341300.1.p, Aqcoe2G341300.2.p	Dm_00003779-RA, Dm_00010749-RA
OG0004045	Aqcoe2G133800.1.p, Aqcoe2G133800.2.p, Aqcoe2G084800.1.p	Dm_00016427-RA
OG0004046	Aqcoe2G409100.1.p	Dm_00001200-RA, Dm_00002008-RA
OG0004047	Aqcoe2G372000.1.p, Aqcoe1G015400.1.p	Dm_00006510-RA
OG0004048	Aqcoe2G031200.2.p, Aqcoe2G031200.1.p	Dm_00014159-RA, Dm_00014160-RA
OG0004049	Aqcoe5G315600.1.p, Aqcoe2G329800.1.p, Aqcoe2G332100.1.p	Dm_00005840-RA, Dm_00014292-RA
OG0004050	Aqcoe2G006900.1.p, Aqcoe2G006900.2.p	Dm_00015448-RA, Dm_00015447-RA
OG0004051	Aqcoe2G170100.3.p, Aqcoe2G170100.2.p, Aqcoe2G170100.1.p	Dm_00014785-RA, Dm_00014784-RA
OG0004052	Aqcoe2G292500.1.p, Aqcoe2G292500.2.p, Aqcoe2G292500.3.p	Dm_00020333-RA
OG0004053	Aqcoe2G250200.2.p, Aqcoe2G250200.1.p, Aqcoe2G250200.3.p	Dm_00002615-RA
OG0004054	Aqcoe1G003800.2.p, Aqcoe1G003800.1.p, Aqcoe2G008500.1.p, Aqcoe2G008500.2.p	Dm_00007255-RA
OG0004055	Aqcoe2G041200.1.p	Dm_00012922-RA, Dm_00008191-RA
OG0004056	Aqcoe2G377000.2.p, Aqcoe2G377000.1.p	Dm_00008893-RA
OG0004057	Aqcoe2G191300.1.p, Aqcoe6G265100.1.p, Aqcoe7G227600.1.p	Dm_00007498-RA
OG0004058	Aqcoe5G044100.3.p	Dm_00009528-RA
OG0004059	Aqcoe2G297300.1.p	Dm_00011301-RA
OG0004060	Aqcoe2G379300.1.p, Aqcoe2G379300.6.p, Aqcoe2G379300.5.p, Aqcoe2G379300.8.p, Aqcoe3G252300.1.p, Aqcoe2G379300.3.p, Aqcoe2G379300.4.p, Aqcoe2G379300.2.p, Aqcoe2G379300.7.p	Dm_00009386-RA
OG0004061	Aqcoe2G012100.1.p, Aqcoe2G009200.1.p, Aqcoe2G014700.1.p	Dm_00013135-RA
OG0004063	Aqcoe2G008300.1.p	Dm_00012902-RA
OG0004065	Aqcoe1G450400.1.p, Aqcoe2G134300.1.p	Dm_00003948-RA, Dm_00000774-RA
OG0004066	Aqcoe2G129900.3.p, Aqcoe2G129900.2.p, Aqcoe2G129900.1.p, Aqcoe1G454000.1.p	Dm_00010831-RA
OG0004067	Aqcoe6G274300.5.p, Aqcoe6G274300.6.p, Aqcoe6G274300.3.p, Aqcoe6G274300.1.p, Aqcoe6G274300.2.p, Aqcoe6G274300.4.p, Aqcoe2G235200.3.p, Aqcoe2G235200.2.p, Aqcoe2G235200.4.p, Aqcoe2G235200.1.p	Dm_00020721-RA, Dm_00010816-RA
OG0004068	Aqcoe2G185000.2.p, Aqcoe2G185000.4.p, Aqcoe2G185000.1.p, Aqcoe2G185000.3.p, Aqcoe1G113800.1.p, Aqcoe1G113800.2.p	Dm_00019207-RA
OG0004069	Aqcoe2G433200.1.p	Dm_00009743-RA, Dm_00006332-RA
OG0004070	Aqcoe2G319100.1.p	Dm_00008414-RA
OG0004071	Aqcoe2G339000.1.p, Aqcoe2G338900.1.p	Dm_00010882-RA, Dm_00003140-RA
OG0004072	Aqcoe2G220600.1.p	Dm_00017827-RA, Dm_00003743-RA
OG0004074	Aqcoe2G148500.3.p, Aqcoe2G148500.4.p, Aqcoe2G148500.2.p, Aqcoe2G148500.5.p, Aqcoe2G148500.1.p, Aqcoe1G462800.1.p	Dm_00004548-RA
OG0004075	Aqcoe6G253500.1.p, Aqcoe2G384300.1.p	Dm_00018845-RA, Dm_00015341-RA
OG0004076	Aqcoe2G173500.2.p, Aqcoe2G173500.7.p, Aqcoe2G173500.5.p, Aqcoe2G173500.3.p, Aqcoe2G173500.4.p, Aqcoe2G173500.6.p, Aqcoe2G173500.1.p	Dm_00005765-RA
OG0004077	Aqcoe2G270700.1.p	Dm_00016316-RA
OG0004078	Aqcoe2G433500.1.p	Dm_00018653-RA, Dm_00012473-RA
OG0004079	Aqcoe2G352900.1.p	Dm_00018987-RA
OG0004080	Aqcoe2G106100.1.p, Aqcoe1G445200.1.p	Dm_00003869-RA
OG0004082	Aqcoe1G466700.2.p, Aqcoe1G466700.1.p, Aqcoe0038s0004.1.p	Dm_00013274-RA
OG0004084	Aqcoe6G078000.1.p	Dm_00002398-RA, Dm_00003887-RA, Dm_00011428-RA
OG0004085	Aqcoe6G223600.2.p, Aqcoe6G223600.1.p	Dm_00005611-RA, Dm_00005810-RA
OG0004086	Aqcoe6G005900.1.p	Dm_00011835-RA, Dm_00013686-RA
OG0004087	Aqcoe6G002900.1.p	Dm_00018981-RA, Dm_00003812-RA
OG0004090	Aqcoe6G132600.1.p	Dm_00013514-RA
OG0004090	Aqcoe5G144200.1.p	Dm_00001660-RA
OG0004091	Aqcoe6G071700.1.p	Dm_00012625-RA, Dm_00013551-RA
OG0004092	Aqcoe5G177100.1.p, Aqcoe6G244500.2.p, Aqcoe6G244500.1.p	Dm_00015256-RA
OG0004093	Aqcoe6G307800.1.p, Aqcoe6G307600.1.p, Aqcoe6G308100.1.p	Dm_00019394-RA, Dm_00019263-RA
OG0004096	Aqcoe6G163600.1.p, Aqcoe6G163600.2.p, Aqcoe6G163600.4.p, Aqcoe6G163600.3.p	Dm_00013151-RA
OG0004097	Aqcoe6G023000.1.p	Dm_00019855-RA
OG0004098	Aqcoe6G043600.1.p	Dm_00013868-RA
OG0004100	Aqcoe6G328700.1.p	Dm_00019164-RA
