Orthogroup	A_coerulea.proteins	A_vesiculosa.proteins
OG0004724	Aqcoe4G063500.1.p, Aqcoe4G065000.1.p, Aqcoe7G134100.2.p, Aqcoe7G134100.1.p	Av_00016482-RA, Av_00002350-RA
OG0004725	Aqcoe4G002200.1.p	Av_00000228-RA, Av_00007813-RA
OG0004726	Aqcoe1G248500.1.p	Av_00005896-RA
OG0004727	Aqcoe4G281500.1.p	Av_00004763-RA, Av_00012747-RA
OG0004728	Aqcoe1G471400.1.p, Aqcoe4G024800.1.p	Av_00008214-RA, Av_00004378-RA
OG0004729	Aqcoe5G171500.1.p, Aqcoe4G183700.1.p	Av_00012493-RA
OG0004730	Aqcoe7G178600.1.p, Aqcoe4G129000.1.p	Av_00018143-RA
OG0004731	Aqcoe4G262500.1.p, Aqcoe4G262500.5.p, Aqcoe4G262500.4.p, Aqcoe4G262500.3.p, Aqcoe4G262500.2.p, Aqcoe7G425300.2.p, Aqcoe7G425300.1.p	Av_00009909-RA, Av_00011111-RA, Av_00011113-RA
OG0004732	Aqcoe4G269700.1.p, Aqcoe4G269700.2.p	Av_00000191-RA
OG0004733	Aqcoe1G222400.1.p, Aqcoe1G222400.3.p, Aqcoe1G222400.2.p, Aqcoe4G038300.1.p	Av_00007506-RA, Av_00003635-RA
OG0004734	Aqcoe4G145100.1.p, Aqcoe4G145100.2.p, Aqcoe7G358900.2.p, Aqcoe7G358900.1.p, Aqcoe4G144500.1.p	Av_00003290-RA
OG0004735	Aqcoe4G305300.1.p, Aqcoe0009s0023.1.p, Aqcoe4G305300.2.p, Aqcoe0009s0011.1.p, Aqcoe0016s0010.1.p	Av_00012760-RA, Av_00006213-RA
OG0004736	Aqcoe3G411500.1.p, Aqcoe4G011600.4.p, Aqcoe4G011600.5.p, Aqcoe4G011600.2.p, Aqcoe4G011600.3.p, Aqcoe4G011600.6.p, Aqcoe4G011600.1.p	Av_00000343-RA
OG0004737	Aqcoe4G023300.1.p	Av_00008986-RA
OG0004739	Aqcoe1G256700.1.p, Aqcoe4G091300.1.p	Av_00016428-RA, Av_00017174-RA
OG0004740	Aqcoe7G241000.5.p, Aqcoe7G241000.3.p, Aqcoe4G120900.2.p, Aqcoe4G120900.3.p	Av_00016295-RA
OG0004741	Aqcoe3G252900.4.p, Aqcoe3G252900.3.p, Aqcoe3G252900.5.p, Aqcoe3G252900.2.p, Aqcoe3G252900.1.p, Aqcoe7G197000.1.p	Av_00017979-RA
OG0004742	Aqcoe5G432700.2.p, Aqcoe5G432700.1.p, Aqcoe7G028500.1.p	Av_00020604-RA, Av_00012942-RA
OG0004743	Aqcoe7G005000.1.p	Av_00000018-RA, Av_00014641-RA, Av_00013960-RA
OG0004744	Aqcoe5G436300.3.p, Aqcoe5G436300.1.p, Aqcoe5G436300.2.p, Aqcoe7G025900.1.p	Av_00014784-RA, Av_00009420-RA
OG0004745	Aqcoe7G047000.1.p	Av_00012916-RA, Av_00009384-RA, Av_00001610-RA, Av_00014767-RA, Av_00009166-RA
OG0004746	Aqcoe7G391800.1.p	Av_00004660-RA, Av_00018253-RA
OG0004747	Aqcoe7G101100.1.p	Av_00004314-RA
OG0004748	Aqcoe7G064600.1.p	Av_00015239-RA, Av_00010914-RA
OG0004749	Aqcoe7G093600.1.p, Aqcoe7G093600.2.p	Av_00019616-RA
OG0004750	Aqcoe7G062900.2.p, Aqcoe7G062900.1.p	Av_00010713-RA, Av_00018567-RA
OG0004751	Aqcoe7G383700.1.p	Av_00018260-RA, Av_00004671-RA
OG0004752	Aqcoe7G290800.3.p, Aqcoe7G290800.4.p, Aqcoe7G290800.2.p, Aqcoe7G290800.1.p	Av_00018906-RA, Av_00009522-RA
OG0004753	Aqcoe7G367800.1.p, Aqcoe7G367700.1.p	Av_00019785-RA, Av_00020860-RA
OG0004754	Aqcoe7G412300.2.p, Aqcoe7G412300.1.p	Av_00024170-RA
OG0004755	Aqcoe7G292200.1.p	Av_00004404-RA
OG0004756	Aqcoe7G201200.2.p, Aqcoe7G201200.1.p, Aqcoe7G201200.4.p, Aqcoe7G201200.5.p, Aqcoe7G201200.3.p, Aqcoe1G395800.1.p	Av_00016273-RA
OG0004757	Aqcoe7G377800.1.p	Av_00013248-RA
OG0004758	Aqcoe7G346400.1.p	Av_00007952-RA
OG0004759	Aqcoe7G041100.1.p, Aqcoe7G041100.2.p	Av_00008639-RA
OG0004760	Aqcoe7G108000.1.p	Av_00018197-RA, Av_00009802-RA, Av_00008743-RA
OG0004761	Aqcoe7G161400.1.p, Aqcoe7G161400.3.p, Aqcoe7G161400.2.p, Aqcoe7G161400.4.p	Av_00016033-RA, Av_00004235-RA
OG0004762	Aqcoe7G382200.1.p	Av_00009054-RA, Av_00003798-RA, Av_00007381-RA
OG0004763	Aqcoe7G410200.1.p	Av_00018128-RA
OG0004764	Aqcoe7G437900.1.p	Av_00008047-RA
OG0004765	Aqcoe7G053200.1.p	Av_00024800-RA, Av_00010395-RA, Av_00014557-RA
OG0004766	Aqcoe7G219500.1.p	Av_00023420-RA, Av_00009807-RA
OG0004767	Aqcoe7G320200.1.p	Av_00018918-RA, Av_00013080-RA, Av_00001086-RA
OG0004768	Aqcoe7G021800.1.p	Av_00010271-RA, Av_00017420-RA
OG0004769	Aqcoe5G258200.1.p, Aqcoe5G258200.2.p, Aqcoe7G005800.2.p, Aqcoe7G005800.1.p, Aqcoe7G005800.3.p, Aqcoe7G005800.4.p	Av_00024016-RA, Av_00013024-RA
OG0004770	Aqcoe7G187900.1.p, Aqcoe7G177400.2.p, Aqcoe7G177400.1.p	Av_00006808-RA
OG0004771	Aqcoe7G125500.2.p, Aqcoe7G125500.1.p	Av_00012979-RA, Av_00009908-RA
OG0004772	Aqcoe7G110300.1.p	Av_00012344-RA, Av_00009792-RA, Av_00008759-RA, Av_00023742-RA
OG0004774	Aqcoe5G349900.1.p, Aqcoe7G334000.2.p, Aqcoe7G334000.1.p, Aqcoe7G334000.4.p, Aqcoe7G334000.5.p, Aqcoe7G334000.3.p, Aqcoe7G334000.6.p	Av_00016810-RA
OG0004776	Aqcoe7G215100.1.p, Aqcoe7G215100.2.p	Av_00020703-RA
OG0004777	Aqcoe7G195000.1.p	Av_00004044-RA, Av_00004888-RA, Av_00009036-RA
OG0004778	Aqcoe1G399400.1.p, Aqcoe7G293100.1.p	Av_00009520-RA, Av_00018905-RA, Av_00017594-RA
OG0004779	Aqcoe7G041400.2.p, Aqcoe7G041400.1.p	Av_00016697-RA, Av_00020616-RA
OG0004780	Aqcoe7G366900.1.p	Av_00003989-RA
OG0004781	Aqcoe7G189600.1.p, Aqcoe7G189600.2.p	Av_00007982-RA, Av_00006813-RA
OG0004782	Aqcoe7G062600.1.p	Av_00012896-RA, Av_00006083-RA, Av_00010714-RA
OG0004783	Aqcoe7G304300.3.p, Aqcoe7G304300.1.p, Aqcoe7G304300.2.p	Av_00013636-RA, Av_00003544-RA
OG0004784	Aqcoe7G169000.2.p, Aqcoe7G169000.1.p	Av_00016059-RA, Av_00020783-RA
OG0004786	Aqcoe7G281200.1.p, Aqcoe7G394000.1.p	Av_00007967-RA, Av_00006818-RA
OG0004787	Aqcoe7G223400.1.p	Av_00021646-RA, Av_00012151-RA, Av_00005834-RA
OG0004789	Aqcoe7G270200.1.p	Av_00010042-RA
OG0004790	Aqcoe7G309400.1.p, Aqcoe7G309400.2.p	Av_00011032-RA, Av_00001021-RA, Av_00018213-RA
OG0004791	Aqcoe7G127800.1.p	Av_00020916-RA, Av_00017160-RA, Av_00018114-RA
OG0004792	Aqcoe7G011000.1.p	Av_00013012-RA
OG0004792	Aqcoe5G216200.1.p	Av_00011791-RA
OG0004793	Aqcoe7G192400.1.p	Av_00009034-RA, Av_00004047-RA, Av_00004885-RA
OG0004794	Aqcoe7G157700.1.p	Av_00009056-RA, Av_00003801-RA
OG0004795	Aqcoe7G269300.2.p, Aqcoe7G269300.1.p, Aqcoe7G269300.3.p	Av_00003545-RA
OG0004796	Aqcoe7G302100.2.p, Aqcoe7G302100.1.p, Aqcoe7G302100.3.p	Av_00001033-RA, Av_00018225-RA
OG0004798	Aqcoe7G370700.1.p, Aqcoe7G370700.2.p	Av_00004923-RA, Av_00003996-RA, Av_00015567-RA
OG0004799	Aqcoe7G328200.1.p, Aqcoe7G256800.1.p	Av_00022953-RA, Av_00001470-RA
OG0004800	Aqcoe7G027200.1.p, Aqcoe7G027200.2.p	Av_00003233-RA
OG0004801	Aqcoe7G323600.2.p, Aqcoe7G323600.1.p, Aqcoe1G228500.1.p	Av_00004915-RA
OG0004802	Aqcoe7G150800.4.p, Aqcoe7G150800.2.p, Aqcoe7G150800.3.p, Aqcoe7G150800.1.p	Av_00004130-RA
OG0004803	Aqcoe7G006900.1.p, Aqcoe7G006900.2.p	Av_00018118-RA, Av_00018117-RA
OG0004804	Aqcoe7G056100.1.p	Av_00016223-RA, Av_00001358-RA
OG0004805	Aqcoe7G120700.1.p	Av_00023008-RA, Av_00006763-RA, Av_00008039-RA
OG0004806	Aqcoe7G296400.2.p, Aqcoe7G296400.1.p	Av_00018821-RA, Av_00020793-RA
OG0004807	Aqcoe7G201100.4.p, Aqcoe7G201100.1.p, Aqcoe7G201100.2.p, Aqcoe7G201100.3.p	Av_00022109-RA, Av_00024607-RA
OG0004808	Aqcoe7G144700.1.p	Av_00006298-RA
OG0004809	Aqcoe1G181100.1.p, Aqcoe3G092200.1.p	Av_00011756-RA, Av_00016725-RA, Av_00022666-RA
OG0004810	Aqcoe1G470900.4.p, Aqcoe1G470900.3.p, Aqcoe1G470900.2.p, Aqcoe1G470900.1.p	Av_00020535-RA
OG0004812	Aqcoe1G048800.3.p, Aqcoe1G048800.1.p, Aqcoe1G048800.2.p, Aqcoe1G048800.4.p	Av_00003218-RA, Av_00013910-RA
OG0004813	Aqcoe1G431300.1.p	Av_00021092-RA
OG0004814	Aqcoe1G137000.1.p	Av_00014279-RA, Av_00010134-RA
OG0004815	Aqcoe1G353500.1.p	Av_00007882-RA, Av_00000182-RA, Av_00003082-RA, Av_00023459-RA
OG0004816	Aqcoe1G094500.1.p	Av_00004898-RA, Av_00005857-RA
OG0004817	Aqcoe1G393200.1.p, Aqcoe1G393200.2.p	Av_00015647-RA
OG0004818	Aqcoe1G448100.1.p	Av_00011904-RA, Av_00007032-RA, Av_00018029-RA, Av_00002932-RA
OG0004819	Aqcoe1G222000.3.p, Aqcoe1G222000.1.p, Aqcoe1G222000.2.p, Aqcoe1G222000.5.p, Aqcoe1G222000.4.p	Av_00003634-RA
OG0004820	Aqcoe1G237100.1.p, Aqcoe1G237100.2.p	Av_00007475-RA, Av_00003689-RA, Av_00022071-RA, Av_00014135-RA, Av_00010588-RA
OG0004821	Aqcoe1G091400.1.p	Av_00017278-RA, Av_00005010-RA, Av_00003871-RA
OG0004822	Aqcoe1G179300.1.p	Av_00003622-RA, Av_00014718-RA
OG0004823	Aqcoe1G444400.1.p, Aqcoe5G182700.1.p, Aqcoe5G182700.2.p, Aqcoe1G444400.3.p, Aqcoe1G444400.2.p	Av_00009889-RA
OG0004824	Aqcoe1G145000.1.p	Av_00004734-RA
OG0004825	Aqcoe1G274800.4.p, Aqcoe1G274800.5.p, Aqcoe1G274800.3.p, Aqcoe1G274800.1.p, Aqcoe1G274800.2.p	Av_00007478-RA
OG0004826	Aqcoe1G132200.1.p, Aqcoe1G132200.2.p	Av_00007055-RA
OG0004827	Aqcoe1G081000.1.p	Av_00013276-RA, Av_00023089-RA
OG0004828	Aqcoe1G170000.2.p, Aqcoe1G170000.1.p, Aqcoe1G170000.3.p, Aqcoe1G170000.4.p, Aqcoe1G170000.5.p, Aqcoe1G170000.6.p	Av_00014281-RA
OG0004829	Aqcoe1G189400.2.p, Aqcoe1G189400.1.p	Av_00015450-RA, Av_00020076-RA
OG0004830	Aqcoe1G026000.8.p, Aqcoe1G026000.6.p, Aqcoe1G026000.5.p, Aqcoe1G026000.3.p, Aqcoe1G026000.7.p, Aqcoe1G026000.1.p, Aqcoe1G026000.2.p, Aqcoe1G026000.4.p	Av_00020467-RA, Av_00019486-RA
OG0004831	Aqcoe1G006400.1.p	Av_00006729-RA, Av_00020586-RA
OG0004832	Aqcoe1G147700.1.p, Aqcoe1G147700.2.p	Av_00018009-RA, Av_00010298-RA, Av_00005072-RA
OG0004833	Aqcoe1G466100.2.p, Aqcoe1G466100.1.p	Av_00008263-RA, Av_00013349-RA
OG0004834	Aqcoe1G156900.3.p, Aqcoe1G156900.2.p, Aqcoe1G156900.4.p, Aqcoe1G156900.1.p	Av_00020514-RA, Av_00000909-RA
OG0004836	Aqcoe1G385200.2.p, Aqcoe1G385200.1.p	Av_00006277-RA, Av_00020912-RA
OG0004837	Aqcoe1G498400.1.p	Av_00021807-RA
OG0004838	Aqcoe1G322500.1.p, Aqcoe1G322500.2.p	Av_00000198-RA
OG0004839	Aqcoe1G115900.2.p, Aqcoe1G115900.1.p	Av_00003808-RA, Av_00024903-RA, Av_00022505-RA, Av_00022733-RA, Av_00012595-RA, Av_00002912-RA
OG0004840	Aqcoe1G015500.1.p	Av_00017149-RA, Av_00014443-RA
OG0004841	Aqcoe1G309900.1.p	Av_00008955-RA
OG0004842	Aqcoe1G277600.1.p	Av_00002484-RA
OG0004843	Aqcoe1G482300.1.p, Aqcoe1G482400.1.p	Av_00016411-RA, Av_00013443-RA, Av_00002879-RA, Av_00012566-RA
OG0004844	Aqcoe1G477300.1.p	Av_00008212-RA, Av_00001134-RA
OG0004845	Aqcoe1G425300.1.p, Aqcoe1G425300.2.p	Av_00020428-RA
OG0004846	Aqcoe1G456900.1.p	Av_00015617-RA
OG0004847	Aqcoe1G474900.1.p, Aqcoe1G474900.3.p, Aqcoe1G474900.2.p	Av_00008256-RA, Av_00013621-RA
OG0004849	Aqcoe3G213900.1.p, Aqcoe3G213900.2.p, Aqcoe1G065400.1.p	Av_00023532-RA
OG0004850	Aqcoe1G271800.1.p, Aqcoe1G271800.4.p, Aqcoe1G271800.2.p, Aqcoe1G271800.3.p	Av_00013125-RA
OG0004851	Aqcoe1G336900.7.p, Aqcoe1G336900.3.p, Aqcoe1G336900.2.p, Aqcoe1G336900.6.p, Aqcoe1G336900.1.p, Aqcoe1G336900.5.p, Aqcoe1G336900.4.p	Av_00017972-RA
OG0004852	Aqcoe1G219000.1.p	Av_00003631-RA
OG0004853	Aqcoe1G391800.1.p, Aqcoe1G391800.3.p, Aqcoe1G391800.4.p, Aqcoe1G391800.2.p	Av_00013041-RA
OG0004854	Aqcoe1G039700.1.p, Aqcoe1G039700.2.p, Aqcoe1G039700.3.p, Aqcoe1G039700.4.p	Av_00023345-RA
OG0004856	Aqcoe1G394000.3.p, Aqcoe1G394000.1.p, Aqcoe1G394000.2.p	Av_00011972-RA
OG0004858	Aqcoe1G003100.1.p	Av_00018803-RA
OG0004859	Aqcoe3G127200.2.p, Aqcoe1G348900.2.p, Aqcoe3G127200.1.p, Aqcoe3G127200.3.p, Aqcoe1G348900.1.p	Av_00011308-RA, Av_00013846-RA
OG0004860	Aqcoe1G381800.2.p, Aqcoe1G381800.1.p, Aqcoe1G381800.4.p, Aqcoe1G381800.3.p, Aqcoe1G043500.1.p	Av_00000127-RA, Av_00011539-RA
OG0004861	Aqcoe1G052900.1.p, Aqcoe1G052900.2.p	Av_00002765-RA, Av_00005200-RA
OG0004862	Aqcoe1G300600.2.p, Aqcoe1G300600.1.p	Av_00019458-RA
OG0004863	Aqcoe1G061300.1.p	Av_00023727-RA, Av_00000663-RA
OG0004865	Aqcoe1G364500.1.p	Av_00003086-RA
OG0004866	Aqcoe1G133100.1.p	Av_00012727-RA, Av_00007372-RA
OG0004869	Aqcoe1G236800.1.p	Av_00010589-RA, Av_00010590-RA, Av_00007474-RA, Av_00003690-RA, Av_00008961-RA
OG0004870	Aqcoe1G265500.1.p	Av_00016154-RA, Av_00016759-RA, Av_00024173-RA, Av_00016244-RA, Av_00001339-RA
OG0004871	Aqcoe1G169700.1.p	Av_00003377-RA, Av_00010845-RA
OG0004872	Aqcoe1G099900.1.p	Av_00005003-RA, Av_00003883-RA, Av_00012010-RA
OG0004873	Aqcoe1G369900.1.p	Av_00021996-RA, Av_00002462-RA, Av_00015765-RA
OG0004874	Aqcoe5G325100.2.p, Aqcoe5G325100.1.p, Aqcoe5G325100.3.p	Av_00012025-RA
OG0004875	Aqcoe5G367400.1.p, Aqcoe5G367400.2.p, Aqcoe5G367400.3.p	Av_00023784-RA
OG0004876	Aqcoe5G432600.1.p	Av_00009417-RA, Av_00009416-RA, Av_00009419-RA, Av_00009415-RA, Av_00014783-RA
OG0004877	Aqcoe5G371900.1.p	Av_00020791-RA, Av_00018824-RA
OG0004878	Aqcoe5G262900.1.p	Av_00016636-RA
OG0004879	Aqcoe5G359100.1.p, Aqcoe5G359100.2.p	Av_00017717-RA, Av_00008939-RA, Av_00019265-RA
OG0004880	Aqcoe5G281000.1.p	Av_00015241-RA, Av_00003193-RA, Av_00013887-RA, Av_00008648-RA, Av_00000062-RA, Av_00011459-RA
OG0004881	Aqcoe5G380100.1.p	Av_00020241-RA
OG0004882	Aqcoe5G351400.1.p	Av_00005379-RA
OG0004883	Aqcoe5G372100.1.p, Aqcoe5G372100.2.p, Aqcoe5G372100.3.p, Aqcoe5G372100.5.p, Aqcoe5G372100.4.p, Aqcoe5G372100.6.p, Aqcoe5G372100.7.p	Av_00012232-RA, Av_00007743-RA
OG0004884	Aqcoe5G381500.1.p	Av_00011185-RA, Av_00013837-RA
OG0004885	Aqcoe5G337200.1.p, Aqcoe5G315800.1.p	Av_00018557-RA
OG0004887	Aqcoe5G450900.1.p, Aqcoe5G450900.3.p, Aqcoe5G450900.2.p, Aqcoe5G450900.4.p	Av_00009433-RA
OG0004888	Aqcoe5G316700.2.p	Av_00016300-RA
OG0004889	Aqcoe5G210800.1.p, Aqcoe5G210700.1.p	Av_00018293-RA, Av_00011086-RA, Av_00009877-RA, Av_00011389-RA, Av_00004280-RA
OG0004890	Aqcoe5G471200.1.p	Av_00002986-RA, Av_00005423-RA, Av_00009219-RA, Av_00009948-RA
OG0004891	Aqcoe5G072200.1.p	Av_00021747-RA, Av_00000649-RA
OG0004892	Aqcoe5G377500.1.p	Av_00004399-RA, Av_00023853-RA
OG0004893	Aqcoe5G075300.1.p, Aqcoe5G075300.2.p	Av_00019154-RA
OG0004894	Aqcoe5G440200.1.p	Av_00003902-RA, Av_00004988-RA, Av_00003903-RA
OG0004895	Aqcoe5G374100.2.p, Aqcoe5G374100.1.p	Av_00005794-RA, Av_00012188-RA
OG0004896	Aqcoe5G051500.1.p, Aqcoe5G051500.2.p	Av_00019647-RA
OG0004897	Aqcoe5G326900.1.p, Aqcoe5G326900.2.p	Av_00015036-RA
OG0004898	Aqcoe5G001500.1.p	Av_00022379-RA
OG0004899	Aqcoe5G011800.2.p, Aqcoe5G011800.1.p, Aqcoe5G011800.3.p	Av_00019876-RA
OG0004900	Aqcoe5G099700.1.p	Av_00016461-RA, Av_00023630-RA
OG0004901	Aqcoe5G470900.1.p	Av_00019768-RA
OG0004902	Aqcoe5G438000.1.p, Aqcoe5G438000.2.p	Av_00020830-RA
OG0004903	Aqcoe5G144000.1.p, Aqcoe5G144000.2.p	Av_00007709-RA
OG0004904	Aqcoe5G012500.1.p	Av_00003470-RA, Av_00004851-RA
OG0004905	Aqcoe5G097000.2.p, Aqcoe5G097000.1.p	Av_00010971-RA, Av_00014000-RA, Av_00003152-RA
OG0004906	Aqcoe5G356900.4.p, Aqcoe5G356900.3.p, Aqcoe5G356900.2.p, Aqcoe5G356900.1.p	Av_00017205-RA
OG0004907	Aqcoe5G355900.1.p	Av_00020762-RA, Av_00021830-RA
OG0004908	Aqcoe5G241900.1.p, Aqcoe5G241900.2.p	Av_00015902-RA, Av_00013385-RA
OG0004909	Aqcoe5G470800.1.p	Av_00019765-RA, Av_00021780-RA
OG0004910	Aqcoe5G352300.1.p	Av_00002621-RA, Av_00005377-RA
OG0004911	Aqcoe5G166500.1.p	Av_00020711-RA
OG0004912	Aqcoe5G108000.1.p	Av_00017857-RA, Av_00019223-RA, Av_00000598-RA
OG0004913	Aqcoe5G314300.2.p, Aqcoe5G314300.1.p	Av_00010027-RA, Av_00007923-RA
OG0004914	Aqcoe5G082700.1.p, Aqcoe5G082700.2.p	Av_00019165-RA, Av_00001505-RA, Av_00019166-RA
OG0004915	Aqcoe5G054000.2.p, Aqcoe5G054000.1.p	Av_00014521-RA, Av_00010345-RA
OG0004916	Aqcoe3G417100.1.p, Aqcoe5G220100.1.p	Av_00010961-RA, Av_00010962-RA, Av_00008678-RA
OG0004917	Aqcoe3G198500.1.p	Av_00000887-RA, Av_00024298-RA, Av_00003364-RA
OG0004918	Aqcoe5G370900.1.p	Av_00017662-RA, Av_00008942-RA
OG0004919	Aqcoe5G463600.2.p, Aqcoe5G463600.1.p	Av_00019847-RA, Av_00021662-RA
OG0004920	Aqcoe5G478200.2.p, Aqcoe5G478200.1.p	Av_00018886-RA, Av_00009499-RA
OG0004921	Aqcoe5G105900.2.p, Aqcoe5G105900.1.p	Av_00014038-RA, Av_00002791-RA, Av_00019584-RA
OG0004922	Aqcoe5G372300.3.p, Aqcoe5G372300.4.p, Aqcoe5G372300.1.p, Aqcoe5G372300.2.p, Aqcoe5G372300.5.p	Av_00005364-RA, Av_00002634-RA
OG0004923	Aqcoe3G438200.1.p, Aqcoe3G438200.2.p, Aqcoe5G163500.1.p	Av_00015201-RA, Av_00017427-RA, Av_00010936-RA
OG0004924	Aqcoe5G467400.3.p, Aqcoe5G467400.1.p, Aqcoe5G467400.2.p	Av_00009464-RA, Av_00001671-RA
OG0004925	Aqcoe5G363000.3.p, Aqcoe5G363000.1.p, Aqcoe5G363000.2.p, Aqcoe5G363000.4.p	Av_00007629-RA
OG0004926	Aqcoe3G437800.2.p, Aqcoe3G437800.3.p, Aqcoe3G437800.1.p, Aqcoe3G437800.4.p	Av_00016900-RA, Av_00004712-RA
OG0004927	Aqcoe3G015500.3.p, Aqcoe3G015500.4.p, Aqcoe3G015500.1.p, Aqcoe3G378500.1.p, Aqcoe3G015500.2.p	Av_00019065-RA, Av_00020985-RA, Av_00020941-RA
OG0004928	Aqcoe3G074800.2.p, Aqcoe3G074800.1.p, Aqcoe3G074800.3.p	Av_00009002-RA, Av_00021951-RA
OG0004929	Aqcoe3G242500.1.p, Aqcoe3G242400.1.p	Av_00025083-RA
OG0004930	Aqcoe3G117800.1.p, Aqcoe3G294100.2.p, Aqcoe3G294100.1.p, Aqcoe3G294100.3.p	Av_00023312-RA
OG0004931	Aqcoe3G311600.1.p	Av_00005297-RA, Av_00002686-RA
OG0004932	Aqcoe3G336600.3.p, Aqcoe3G336600.1.p, Aqcoe3G336600.2.p, Aqcoe3G079900.1.p	Av_00023602-RA
OG0004934	Aqcoe3G417000.2.p, Aqcoe3G417000.1.p, Aqcoe3G416800.1.p, Aqcoe3G416800.2.p, Aqcoe3G416900.1.p	Av_00004813-RA
OG0004936	Aqcoe3G283200.3.p, Aqcoe3G283200.2.p, Aqcoe3G283200.1.p	Av_00005334-RA, Av_00002663-RA, Av_00005335-RA
OG0004938	Aqcoe3G244900.1.p, Aqcoe3G244900.2.p	Av_00019618-RA
OG0004940	Aqcoe3G153700.1.p, Aqcoe3G211400.1.p	Av_00013051-RA, Av_00017615-RA
OG0004942	Aqcoe3G184800.3.p, Aqcoe3G184800.2.p, Aqcoe3G184800.4.p, Aqcoe3G184800.1.p	Av_00022015-RA, Av_00020487-RA
OG0004943	Aqcoe3G418400.1.p	Av_00024118-RA, Av_00015460-RA
OG0004944	Aqcoe3G017100.1.p, Aqcoe3G017100.2.p	Av_00015599-RA
OG0004945	Aqcoe3G403400.1.p	Av_00011527-RA, Av_00024986-RA
OG0004946	Aqcoe3G407400.1.p	Av_00006323-RA, Av_00007661-RA, Av_00018463-RA
OG0004947	Aqcoe3G425200.1.p	Av_00001354-RA
OG0004948	Aqcoe3G394600.1.p	Av_00007601-RA, Av_00002754-RA
OG0004949	Aqcoe3G217000.1.p	Av_00017211-RA, Av_00002358-RA
OG0004950	Aqcoe3G126800.1.p	Av_00014193-RA, Av_00005568-RA
OG0004951	Aqcoe3G291100.1.p, Aqcoe3G291100.2.p, Aqcoe3G291100.3.p	Av_00001715-RA, Av_00017697-RA
OG0004952	Aqcoe3G232000.3.p, Aqcoe3G232000.5.p, Aqcoe3G232000.4.p, Aqcoe3G232000.6.p, Aqcoe3G232000.2.p, Aqcoe3G232000.1.p	Av_00023447-RA
OG0004954	Aqcoe3G376400.1.p, Aqcoe3G376400.2.p	Av_00016988-RA, Av_00024228-RA, Av_00006383-RA, Av_00007587-RA
OG0004955	Aqcoe3G420100.2.p, Aqcoe3G420100.1.p, Aqcoe3G420100.5.p, Aqcoe3G420100.3.p, Aqcoe3G420100.4.p	Av_00007662-RA
OG0004956	Aqcoe3G009600.1.p	Av_00003341-RA, Av_00010812-RA
OG0004957	Aqcoe3G314900.3.p, Aqcoe3G314900.2.p, Aqcoe3G314900.1.p	Av_00001736-RA, Av_00017683-RA
OG0004958	Aqcoe3G214400.1.p	Av_00017604-RA, Av_00013064-RA, Av_00009515-RA, Av_00018901-RA
OG0004959	Aqcoe3G321500.1.p	Av_00002906-RA
OG0004960	Aqcoe3G436300.2.p, Aqcoe3G436300.1.p	Av_00018359-RA, Av_00005147-RA
OG0004961	Aqcoe3G364900.1.p	Av_00001294-RA, Av_00016168-RA, Av_00021227-RA
OG0004962	Aqcoe3G420000.1.p	Av_00001387-RA, Av_00024479-RA
OG0004963	Aqcoe3G034500.2.p, Aqcoe3G034500.1.p	Av_00008204-RA
OG0004964	Aqcoe3G257800.1.p	Av_00019619-RA
OG0004965	Aqcoe3G315000.1.p	Av_00010538-RA, Av_00009752-RA
OG0004966	Aqcoe3G005600.2.p, Aqcoe3G005600.1.p	Av_00006019-RA, Av_00014192-RA
OG0004967	Aqcoe3G090000.1.p	Av_00013796-RA
OG0004968	Aqcoe3G051400.2.p, Aqcoe3G051400.3.p, Aqcoe3G051400.1.p	Av_00013752-RA, Av_00001805-RA
OG0004969	Aqcoe3G004600.1.p	Av_00020807-RA
OG0004970	Aqcoe3G440100.1.p	Av_00019739-RA, Av_00007371-RA, Av_00019738-RA
OG0004971	Aqcoe3G428700.2.p, Aqcoe3G428700.1.p	Av_00000814-RA
OG0004972	Aqcoe3G286100.1.p	Av_00005332-RA
OG0004973	Aqcoe3G100100.1.p	Av_00010661-RA, Av_00012416-RA
OG0004974	Aqcoe3G047400.1.p	Av_00007600-RA, Av_00006370-RA
OG0004975	Aqcoe3G241900.1.p	Av_00023067-RA, Av_00017514-RA
OG0004976	Aqcoe3G128100.1.p, Aqcoe3G128100.2.p	Av_00011306-RA, Av_00013847-RA
OG0004977	Aqcoe3G056600.1.p	Av_00010671-RA
OG0005014	Aqcoe2G090700.1.p	Av_00015448-RA
OG0005015	Aqcoe2G004700.1.p, Aqcoe2G010400.1.p, Aqcoe2G305900.1.p, Aqcoe2G354600.1.p, Aqcoe5G046100.1.p	Av_00018344-RA
OG0005016	Aqcoe2G431200.1.p, Aqcoe2G431200.2.p	Av_00014739-RA
OG0005017	Aqcoe2G315500.1.p, Aqcoe5G074000.2.p, Aqcoe5G074000.1.p	Av_00016169-RA
OG0005018	Aqcoe2G136300.3.p, Aqcoe2G136300.5.p, Aqcoe2G136300.6.p, Aqcoe2G136300.2.p, Aqcoe2G136300.4.p, Aqcoe2G136300.1.p	Av_00012608-RA
OG0005019	Aqcoe5G053200.1.p, Aqcoe2G347100.2.p, Aqcoe2G347100.1.p, Aqcoe2G347100.3.p	Av_00020351-RA, Av_00021222-RA, Av_00016163-RA, Av_00016770-RA
