Orthogroup	B_vulgaris.proteins	A_thaliana.proteins
OG0005214	Bevul.8G158100.1.p	AT5G57740.1
OG0005215	Bevul.8G164100.1.p	AT2G41040.1
OG0005216	Bevul.7G169400.1.p	AT1G72560.3, AT1G72560.5, AT1G72560.4, AT1G72560.2, AT1G72560.7, AT1G72560.1, AT1G72560.6
OG0005217	Bevul.5G032600.1.p	AT2G32500.2, AT2G32500.1
OG0005218	Bevul.2G145600.1.p	AT4G33010.1, AT4G33010.2, AT2G26080.1
OG0005219	Bevul.8G160400.1.p	AT4G30996.1, AT2G24290.1
OG0005220	Bevul.7G174000.1.p	AT3G13898.1
OG0005221	Bevul.8G197800.1.p, Bevul.8G197900.1.p	AT2G20080.2, AT2G20080.1, AT2G20080.3, AT4G28840.1, AT4G28840.2, AT4G28840.3
OG0005222	Bevul.2G162300.2.p, Bevul.2G162300.3.p, Bevul.2G162300.1.p	AT4G32760.2, AT4G32760.1, AT4G32760.3
OG0005223	Bevul.3G217200.1.p	AT3G56590.2, AT3G56590.1, AT3G10810.1, AT3G10810.2
OG0005225	Bevul.9G056000.1.p	AT5G60250.1
OG0005226	Bevul.4G240100.1.p	AT5G13070.1
OG0005227	Bevul.5G135900.1.p	AT3G09090.3, AT3G09090.2, AT3G09090.1
OG0005228	Bevul.6G147100.1.p	AT4G28430.1, AT2G20590.3, AT2G20590.2, AT2G20590.1
OG0005229	Bevul.2G175400.3.p, Bevul.2G175400.2.p, Bevul.2G175400.1.p	AT3G45750.2, AT3G45750.5, AT3G45750.3, AT3G45750.4, AT3G45750.1, AT3G45760.1, AT3G45760.2
OG0005230	Bevul.8G086100.1.p	AT4G18260.1, AT2G30890.1
OG0005231	Bevul.7G178900.1.p	AT2G27260.1, AT3G52460.1
OG0005232	Bevul.6G043300.1.p, Bevul.6G043200.1.p	AT2G02040.1
OG0005233	Bevul.2G230700.1.p, Bevul.2G230700.2.p	AT5G13830.1
OG0005235	Bevul.8G192900.1.p	AT2G22690.1, AT2G22690.2, AT4G37880.1
OG0005236	Bevul.7G070700.1.p	AT2G37300.6, AT2G37300.3, AT2G37300.5, AT2G37300.2, AT2G37300.4, AT2G37300.1
OG0005237	Bevul.7G218000.1.p	AT1G07050.1, AT1G07050.2
OG0005239	Bevul.4G228100.1.p, Bevul.7G052200.1.p	AT4G21460.2, AT4G21460.1, AT3G18240.2, AT3G18240.1
OG0005240	Bevul.5G117200.1.p	AT3G03800.2, AT3G03800.1, AT5G08080.3, AT5G08080.4, AT5G08080.1
OG0005241	Bevul.9G066700.4.p, Bevul.9G066700.5.p, Bevul.9G066700.2.p, Bevul.9G066700.3.p, Bevul.9G066700.9.p, Bevul.9G066700.1.p, Bevul.9G066700.8.p, Bevul.9G066700.7.p, Bevul.9G066700.6.p	AT3G21865.1
OG0005242	Bevul.3G194600.1.p	AT2G41820.1
OG0005243	Bevul.4G038700.1.p, Bevul.5G185400.1.p	AT3G20550.1
OG0005244	Bevul.7G192900.1.p	AT1G07280.3, AT1G07280.1, AT1G07280.2, AT1G07280.4, AT2G29670.2, AT2G29670.1
OG0005245	Bevul.4G247300.1.p, Bevul.1G148700.1.p	AT3G13620.1
OG0005246	Bevul.9G077700.3.p, Bevul.9G077700.1.p, Bevul.9G077700.4.p, Bevul.9G077700.2.p	AT1G03750.1
OG0005247	Bevul.7G212300.1.p	AT5G59770.1
OG0005248	Bevul.3G218000.1.p	AT5G04810.1, AT5G04810.2
OG0005249	Bevul.8G090600.1.p	AT1G30120.1, AT2G34590.1
OG0005250	Bevul.6G047500.1.p	AT4G15130.1
OG0005251	Bevul.2G025700.6.p, Bevul.2G025700.1.p, Bevul.2G025700.7.p, Bevul.2G025700.4.p, Bevul.2G025700.2.p, Bevul.2G025700.5.p, Bevul.2G025700.3.p, Bevul.2G025700.8.p	AT3G10915.3, AT3G10915.6, AT3G10915.7, AT3G10915.2, AT3G10915.1, AT3G10915.4, AT3G10915.5
OG0005252	Bevul.9G043700.2.p, Bevul.9G043700.1.p	AT1G08110.2, AT1G08110.3, AT1G08110.1, AT1G08110.4
OG0005253	Bevul.9G141000.5.p, Bevul.9G141000.4.p, Bevul.9G141000.7.p, Bevul.9G141000.1.p, Bevul.9G141000.6.p, Bevul.9G141000.3.p, Bevul.9G141000.2.p	AT3G21110.2, AT3G21110.3, AT3G21110.1
OG0005254	Bevul.3G213600.1.p	AT3G56680.1
OG0005255	Bevul.4G095400.1.p	AT5G30495.2, AT5G30495.1, AT1G54770.1, AT1G54770.2
OG0005256	Bevul.5G150800.1.p	AT5G50350.1
OG0005257	Bevul.4G034100.1.p	AT4G27010.1, AT4G27010.2, AT1G72270.1
OG0005258	Bevul.3G195100.1.p	AT3G57470.2, AT3G57470.1, AT3G57470.6, AT3G57470.5, AT2G41790.1
OG0005259	Bevul.9G096500.1.p, Bevul.7G063900.1.p	AT3G58720.1, AT3G58720.4, AT3G58720.3, AT3G58720.2
OG0005260	Bevul.9G098100.7.p, Bevul.9G098100.1.p, Bevul.9G098100.3.p, Bevul.9G098100.2.p, Bevul.5G238100.1.p, Bevul.9G098100.8.p, Bevul.5G112700.1.p, Bevul.9G098100.5.p, Bevul.9G098100.6.p, Bevul.9G098100.4.p	AT5G40660.1
OG0005261	Bevul.2G048500.5.p, Bevul.2G048500.4.p, Bevul.2G048500.1.p, Bevul.2G048500.7.p, Bevul.2G048500.6.p, Bevul.2G048500.3.p, Bevul.2G048500.2.p	AT4G30870.1
OG0005262	Bevul.6G158000.1.p, Bevul.4G132600.1.p, Bevul.7G133200.1.p, Bevul.5G130400.1.p, Bevul.6G233600.1.p	AT3G07270.1, AT3G07270.2
OG0005264	Bevul.8G049100.1.p	AT4G04320.1, AT4G04320.2
OG0005265	Bevul.3G186300.1.p	AT5G06839.3, AT5G06839.2, AT5G06839.1
OG0005266	Bevul.5G038700.1.p, Bevul.5G038900.1.p, Bevul.2G229000.1.p	AT5G06090.1, AT3G11430.1
OG0005267	Bevul.3G215200.1.p	AT5G07050.1
OG0005268	Bevul.3G220400.1.p	AT5G26120.1, AT3G10740.1, AT3G10740.3, AT3G10740.2, AT3G10740.4
OG0005269	Bevul.7G066700.1.p, Bevul.7G066600.1.p	AT5G44670.1, AT4G20170.1
OG0005270	Bevul.7G071300.1.p, Bevul.7G071300.2.p	AT2G34920.1, AT2G34920.2, AT1G30860.1
OG0005271	Bevul.4G114500.1.p, Bevul.1G189900.1.p	AT2G38695.2, AT2G38695.4, AT2G38695.3, AT2G38695.1
OG0005272	Bevul.4G028700.1.p, Bevul.4G028900.1.p	AT5G55050.1
OG0005273	Bevul.7G002500.1.p, Bevul.7G002500.2.p	AT5G01930.1
OG0005274	Bevul.5G057800.1.p	AT1G13770.4, AT1G13770.3, AT1G13770.1, AT1G13770.2
OG0005275	Bevul.2G064200.1.p	AT3G01120.1
OG0005276	Bevul.3G181000.1.p	AT5G06710.1, AT5G06710.3, AT5G06710.2, AT5G06710.4
OG0005277	Bevul.8G077600.1.p	AT4G18975.2, AT4G18975.4, AT4G18975.1, AT4G18975.3
OG0005278	Bevul.3G228000.1.p	AT3G12810.1, AT3G12810.2
OG0005279	Bevul.3G167700.1.p	AT3G62960.1, AT2G47880.1, AT1G06830.1, AT2G30540.1
OG0005280	Bevul.3G019400.1.p	AT5G57020.1
OG0005281	Bevul.5G033700.1.p	AT3G28530.1
OG0005283	Bevul.6G037700.1.p	AT3G26990.2, AT3G26990.1
OG0005284	Bevul.1G119700.1.p, Bevul.3G112600.1.p	AT1G09710.4, AT1G09710.5, AT1G09710.3, AT1G09710.2, AT1G09710.1, AT1G58220.2, AT1G58220.1
OG0005285	Bevul.9G141500.1.p	AT2G16595.1, AT2G21160.1, AT2G21160.2
OG0005286	Bevul.7G119700.1.p	AT3G07050.1
OG0005287	Bevul.4G214000.1.p	AT3G08640.1, AT3G08630.1
OG0005288	Bevul.5G245700.1.p	AT2G31320.1
OG0005289	Bevul.1G184300.1.p	AT3G61570.2, AT3G61570.1, AT2G46180.1
OG0005290	Bevul.6G208800.1.p	AT1G67420.1, AT1G67420.6, AT1G67420.5, AT1G67420.2, AT1G67420.4, AT1G67420.3
OG0005291	Bevul.3G168500.1.p	AT1G01090.1
OG0005292	Bevul.1G195000.1.p	AT1G01220.6, AT1G01220.2, AT1G01220.5, AT1G01220.4, AT1G01220.3, AT1G01220.8, AT1G01220.7, AT1G01220.1
OG0005293	Bevul.3G039800.1.p	AT5G53450.1, AT5G53450.3, AT5G53450.2
OG0005294	Bevul.3G118000.1.p	AT2G43940.1
OG0005296	Bevul.4G003600.1.p	AT1G60620.2, AT1G60620.1, AT1G60850.3, AT1G60850.2, AT1G60850.1, AT1G60850.4
OG0005297	Bevul.3G148300.1.p	AT1G04200.2, AT1G04200.1, AT1G04200.3
OG0005298	Bevul.3G151100.1.p	AT3G21480.1
OG0005299	Bevul.1G176100.1.p	AT3G61320.2, AT3G61320.3, AT3G61320.4, AT3G61320.1, AT2G45870.1, AT2G45870.2, AT2G45870.3
OG0005300	Bevul.1G191300.1.p	AT3G61750.1, AT3G61750.2
OG0005301	Bevul.5G016900.1.p	AT4G23895.3
OG0005302	Bevul.1G089600.1.p	AT1G21640.2, AT1G21640.1
OG0005303	Bevul.4G204100.1.p	AT3G05500.2, AT3G05500.1
OG0005304	Bevul.6G052800.1.p, Bevul.7G108800.1.p	AT5G64630.2, AT5G64630.3, AT5G64630.1
OG0005305	Bevul.3G127300.1.p	AT5G18525.1
OG0005306	Bevul.9G137800.1.p, Bevul.9G137800.2.p	AT4G14570.1
OG0005307	Bevul.5G238500.1.p	AT4G02660.1, AT4G02660.3, AT4G02660.2, AT1G03060.2, AT1G03060.1, AT1G03060.4, AT1G03060.3
OG0005308	Bevul.3G008400.1.p	AT2G31140.1, AT1G06200.2, AT1G06200.1
OG0005309	Bevul.6G083700.1.p	AT2G22780.1
OG0005310	Bevul.3G003000.1.p	AT2G05590.1, AT2G05590.2
OG0005311	Bevul.6G151400.1.p	AT4G22200.2, AT4G22200.1
OG0005312	Bevul.3G164900.1.p	AT1G04560.1
OG0005313	Bevul.6G074000.1.p	AT4G35550.1
OG0005314	Bevul.6G211400.1.p	AT1G27900.3, AT1G27900.2, AT1G27900.1
OG0005315	Bevul.6G031900.1.p	AT5G66130.1, AT5G66130.2
OG0005316	Bevul.4G169200.1.p	AT1G56590.1
OG0005317	Bevul.6G152400.1.p	AT3G02680.1
OG0005318	Bevul.5G235600.1.p	AT3G28730.1
OG0005319	Bevul.6G083500.1.p	AT1G69340.1, AT1G69340.2
OG0005320	Bevul.6G232300.1.p	AT1G69490.1
OG0005321	Bevul.2G216300.1.p	AT5G38510.1, AT5G38510.2, AT5G38510.3
OG0005322	Bevul.2G200100.1.p	AT5G38900.2, AT5G38900.1
OG0005324	Bevul.2G008000.7.p, Bevul.2G008000.3.p, Bevul.2G008000.2.p, Bevul.2G008000.1.p, Bevul.2G008000.5.p, Bevul.2G008000.6.p, Bevul.2G008000.4.p, Bevul.2G008000.8.p	AT1G50170.3, AT1G50170.2, AT1G50170.1
OG0005325	Bevul.9G141700.2.p, Bevul.9G141700.1.p, Bevul.5G096400.1.p	AT5G63000.1
OG0005326	Bevul.1G107600.1.p	AT1G14680.1, AT4G09060.1, AT4G09060.2
OG0005329	Bevul.3G073100.1.p	AT1G12840.1
OG0005330	Bevul.2G210700.1.p	AT5G16180.1, AT5G16180.2
OG0005331	Bevul.3G020100.1.p	AT3G03150.1, AT5G17165.1
OG0005332	Bevul.6G079000.1.p	AT2G03667.2, AT2G03667.1
OG0005333	Bevul.1G152000.1.p, Bevul.1G151900.1.p	AT3G03520.2, AT3G03520.1, AT3G03530.1, AT3G03540.1
OG0005334	Bevul.5G172100.1.p	AT1G69030.1, AT1G26300.3, AT1G26300.2, AT1G26300.1
OG0005335	Bevul.9G013200.1.p	AT1G50280.2, AT1G50280.1, AT3G19850.1
OG0005336	Bevul.5G097300.1.p, Bevul.5G097200.1.p	AT1G32200.1, AT1G32200.2
OG0005337	Bevul.6G144500.1.p	AT1G23205.1, AT1G70720.1, AT1G70720.2, AT2G01610.1, AT1G14890.1
OG0005338	Bevul.5G199200.1.p	AT1G18950.3, AT1G18950.1, AT1G18950.2
OG0005339	Bevul.5G156200.1.p	AT3G48590.1, AT5G63470.1, AT5G63470.2
OG0005340	Bevul.5G072200.1.p	AT2G44840.1, AT4G17500.1, AT5G47220.1
OG0005341	Bevul.5G109400.1.p	AT1G31500.5, AT1G31500.1, AT1G31500.8, AT1G31500.3, AT1G31500.6, AT1G31500.4, AT1G31500.7, AT1G31500.2
OG0005342	Bevul.6G190000.1.p	AT1G60420.1
OG0005343	Bevul.5G046600.1.p	AT5G45310.2, AT5G45310.1
OG0005344	Bevul.8G155900.1.p	AT4G30480.1, AT4G30480.3, AT4G30480.2
OG0005345	Bevul.6G131900.1.p	AT1G25375.1
OG0005346	Bevul.3G212600.1.p	AT1G17980.2, AT1G17980.1
OG0005347	Bevul.4G121700.1.p	AT5G17300.2, AT5G17300.1
OG0005348	Bevul.6G200400.1.p	AT2G33500.1, AT2G33500.2, AT1G28050.1
OG0005349	Bevul.2G218900.1.p, Bevul.2G219100.1.p	AT5G15870.1
OG0005350	Bevul.5G089800.1.p	AT5G46750.1, AT4G17890.1, AT4G17890.2
OG0005351	Bevul.3G018000.1.p	AT5G17060.2, AT5G17060.1, AT3G03120.1
OG0005352	Bevul.5G231300.1.p	AT1G70750.1
OG0005353	Bevul.6G188600.1.p	AT2G27790.3, AT2G27790.4, AT2G27790.1, AT2G27790.2, AT5G27300.3, AT5G27300.2, AT5G27300.1
OG0005354	Bevul.1G183800.1.p, Bevul.8G058700.1.p	AT4G04885.1
OG0005355	Bevul.6G199800.1.p	AT5G13200.1, AT5G13200.2
OG0005356	Bevul.5G084800.1.p	AT4G17980.2, AT4G17980.1, AT5G46590.1, AT5G46590.2
OG0005357	Bevul.7G115800.1.p	AT5G51170.2, AT5G51170.1, AT5G51170.4, AT5G51170.3
OG0005358	Bevul.8G104400.1.p	AT1G48380.1, AT1G48380.2
OG0005359	Bevul.6G145100.1.p	AT1G23230.2, AT1G23230.3, AT1G23230.1
OG0005360	Bevul.5G178300.1.p	AT5G61060.1, AT5G61060.2, AT5G61070.1, AT5G61050.1
OG0005361	Bevul.2G199900.4.p, Bevul.2G199900.5.p, Bevul.2G199900.1.p, Bevul.2G199900.6.p, Bevul.2G199900.8.p, Bevul.2G199900.3.p, Bevul.2G199900.2.p, Bevul.2G199900.7.p	AT5G38880.1
OG0005362	Bevul.6G179700.1.p	AT1G70630.4, AT1G70630.3, AT1G70630.6, AT1G70630.7, AT1G70630.5, AT1G70630.1, AT1G70630.2
OG0005363	Bevul.5G106800.1.p	AT1G31360.6, AT1G31360.1, AT1G31360.3, AT1G31360.2, AT1G31360.8, AT1G31360.4, AT1G31360.7, AT1G31360.5
OG0005367	Bevul.1G206600.1.p, Bevul.1G206800.1.p	AT1G72060.1
OG0005369	Bevul.1G201100.1.p	AT3G61960.2, AT3G61960.1
OG0005371	Bevul.6G071600.1.p	AT5G65120.2, AT5G65120.1, AT5G10110.1
OG0005373	Bevul.9G023500.3.p, Bevul.9G023500.1.p, Bevul.9G023500.2.p	AT4G00695.2, AT4G00695.1, AT4G00695.5, AT4G00695.3, AT4G00695.4, AT1G80245.2, AT1G80245.5, AT1G80245.4, AT1G80245.6, AT1G80245.7, AT1G80245.3, AT1G80245.1
OG0005378	Bevul.3G121500.1.p, Bevul.2G153200.1.p, Bevul.4G112400.1.p, Bevul.7G175800.1.p, Bevul.7G191900.1.p, Bevul.2G061300.1.p, Bevul.2G023600.1.p, Bevul.3G175700.1.p, Bevul.1G101400.1.p, Bevul.3G057300.1.p, Bevul.1G074800.1.p, Bevul.5G210800.1.p, Bevul.8G149100.1.p, Bevul.2G007400.1.p, Bevul.8G154000.1.p, Bevul.8G130500.1.p, Bevul.2G177200.1.p, Bevul.1G028900.1.p, Bevul.8G115900.1.p, Bevul.9G021100.1.p, Bevul.9G021100.2.p, Bevul.3G106600.1.p	AT5G33393.1, AT1G67235.1, AT1G52603.1
OG0005395	Bevul.7G230200.1.p	AT4G04190.3, AT4G04190.2, AT4G04190.1
OG0005399	Bevul.8G159300.1.p	AT5G58160.1
OG0005399	Bevul.2G168800.1.p	AT2G25050.1
OG0005400	Bevul.7G176300.1.p	AT5G22950.1
OG0005402	Bevul.3G206200.1.p	AT3G57030.1
OG0005402	Bevul.3G206100.1.p	AT2G41290.1
OG0005403	Bevul.4G196800.1.p	AT3G05760.1, AT3G05760.2
OG0005404	Bevul.7G141600.1.p	AT1G02300.1, AT1G02305.1, AT4G01610.2, AT4G01610.1
OG0005405	Bevul.3G063100.1.p	AT1G09320.1, AT3G06520.2, AT3G06520.1
OG0005406	Bevul.6G006700.1.p	AT3G50100.2, AT3G50100.1, AT3G50090.1
OG0005407	Bevul.8G153000.1.p	AT3G21550.1, AT3G21520.1
OG0005409	Bevul.4G235200.1.p	AT5G19855.2, AT5G19855.1
OG0005410	Bevul.3G172600.1.p, Bevul.3G172300.1.p	AT5G18210.1, AT5G18210.2, AT3G03980.1
OG0005411	Bevul.8G173300.1.p	AT2G39050.1
OG0005412	Bevul.6G005200.1.p	AT1G48090.1, AT1G48090.2, AT1G48090.3, AT1G48090.5, AT1G48090.6, AT1G48090.4
OG0005413	Bevul.9G045000.2.p, Bevul.9G045000.1.p	AT3G45040.2, AT3G45040.1, AT3G45040.3
OG0005414	Bevul.7G014200.1.p, Bevul.7G014200.3.p, Bevul.7G014200.2.p	AT1G13040.2, AT1G13040.1
OG0005415	Bevul.7G221900.1.p	AT2G30280.1
OG0005416	Bevul.1G215800.1.p	AT3G07750.2, AT3G07750.1
OG0005417	Bevul.5G060400.1.p, Bevul.4G202500.1.p	AT5G27820.1
OG0005418	Bevul.7G188700.1.p	AT5G58630.1
OG0005418	Bevul.5G051300.1.p	AT5G01370.1
OG0005419	Bevul.7G153100.1.p	AT2G05170.1
OG0005420	Bevul.3G228600.1.p	AT2G32000.2, AT2G32000.1
OG0005421	Bevul.4G175200.1.p	AT3G05880.1
OG0005421	Bevul.3G123100.1.p	AT3G05890.1
OG0005423	Bevul.3G105500.1.p	AT2G43420.1
OG0005424	Bevul.3G118700.1.p	AT2G43970.1, AT2G43970.2
OG0005425	Bevul.7G002600.4.p, Bevul.7G002600.3.p, Bevul.7G002600.6.p, Bevul.7G002600.7.p, Bevul.7G002600.2.p, Bevul.7G002600.1.p, Bevul.7G002600.5.p	AT5G01920.1, AT5G01920.2
OG0005426	Bevul.7G010000.1.p	AT2G38370.2, AT2G38370.1
OG0005427	Bevul.2G025500.2.p, Bevul.2G025500.1.p	AT3G56350.1, AT3G10920.1, AT3G10920.2
OG0005428	Bevul.7G230300.1.p	AT1G08260.2, AT1G08260.1, AT2G27120.3, AT2G27120.1, AT2G27120.2
OG0005430	Bevul.8G191000.1.p	AT3G24495.2, AT3G24495.1
OG0005431	Bevul.9G114600.1.p	AT3G16370.1
OG0005432	Bevul.7G226500.1.p	AT2G27730.1, AT2G27730.4, AT2G27730.3, AT2G27730.2
OG0005433	Bevul.3G129600.1.p	AT5G49930.1
OG0005434	Bevul.3G105800.1.p	AT1G08760.1
OG0005435	Bevul.2G107500.1.p	AT2G39370.1
OG0005436	Bevul.5G012100.1.p	AT5G12370.3, AT5G12370.2, AT5G12370.1
OG0005437	Bevul.4G152800.1.p	AT1G54820.3, AT1G54820.4, AT1G54820.2, AT1G54820.1
OG0005438	Bevul.7G025000.1.p, Bevul.7G025000.2.p	AT2G36200.1, AT2G36200.2
OG0005439	Bevul.1G166300.1.p	AT5G17620.1
OG0005440	Bevul.9G105500.1.p, Bevul.7G034200.1.p	AT3G44735.1, AT3G44735.2
OG0005441	Bevul.3G070700.1.p	AT3G60050.2, AT3G60050.1, AT1G55630.1
OG0005442	Bevul.7G224000.1.p	AT1G06900.1
OG0005443	Bevul.2G241600.1.p	AT2G40090.1
OG0005444	Bevul.5G250200.1.p	AT4G28530.1, AT4G28530.2
OG0005445	Bevul.2G170800.1.p, Bevul.2G170800.3.p, Bevul.2G170800.2.p	AT2G25170.3, AT2G25170.2, AT2G25170.4, AT2G25170.1
OG0005446	Bevul.2G028000.2.p, Bevul.2G028000.1.p	AT2G40690.2, AT2G40690.3, AT2G40690.1
OG0005447	Bevul.7G032800.1.p	AT2G36420.1, AT5G03670.1, AT5G03670.2
OG0005448	Bevul.2G244200.1.p	AT2G40150.1, AT3G55990.1
OG0005449	Bevul.3G132300.1.p	AT5G19010.1
OG0005450	Bevul.4G228900.1.p	AT1G50450.1
OG0005451	Bevul.5G231800.1.p, Bevul.7G188900.1.p	AT4G21110.2, AT4G21110.1
OG0005452	Bevul.7G214000.1.p, Bevul.5G049300.1.p, Bevul.5G049400.1.p, Bevul.7G191200.1.p	AT5G58770.1
OG0005453	Bevul.3G182200.1.p	AT2G42080.1, AT3G58020.1
OG0005454	Bevul.4G131400.1.p	AT5G18480.1
OG0005455	Bevul.7G039200.1.p	AT3G10040.1
OG0005457	Bevul.2G042200.2.p, Bevul.2G042200.1.p, Bevul.2G042200.5.p, Bevul.2G042200.4.p, Bevul.2G042200.3.p, Bevul.2G042200.6.p	AT3G55850.2, AT3G55850.4, AT3G55850.3, AT3G55850.1, AT3G55850.6, AT3G55850.5
OG0005458	Bevul.7G046600.1.p	AT3G11964.2, AT3G11964.1
OG0005459	Bevul.7G018400.1.p, Bevul.7G018400.2.p	AT2G45243.1, AT4G34070.1, AT5G06260.1, AT5G06260.3, AT5G06260.2
OG0005460	Bevul.3G005700.1.p	AT5G44060.1, AT1G04000.1, AT3G23440.1
OG0005461	Bevul.2G131500.1.p	AT4G31390.2, AT4G31390.1
OG0005462	Bevul.5G110300.1.p, Bevul.3G026900.1.p	AT3G11820.1, AT3G11820.2
OG0005463	Bevul.3G111400.1.p	AT1G73180.2, AT1G73180.1
OG0005464	Bevul.5G252100.1.p	AT1G02680.1
OG0005465	Bevul.7G111200.1.p	AT1G04020.1, AT1G04020.2
OG0005466	Bevul.5G239400.1.p	AT3G63410.1
OG0005469	Bevul.1G028400.1.p	AT1G75990.1, AT1G20200.1
OG0005470	Bevul.3G022200.1.p	AT1G04635.1
OG0005471	Bevul.9G017700.1.p	AT3G22310.1, AT3G22310.2, AT3G22330.1
OG0005472	Bevul.2G032100.1.p	AT5G17900.1, AT4G08580.1, AT4G08580.2
OG0005473	Bevul.2G155100.1.p	AT2G25740.1, AT2G25740.2
OG0005476	Bevul.1G217600.1.p, Bevul.8G062200.1.p	AT5G08640.1, AT5G08640.2
OG0005477	Bevul.6G062600.1.p	AT5G42180.1
OG0005479	Bevul.9G239300.1.p	AT4G34100.2, AT4G34100.1
OG0005480	Bevul.3G120000.1.p	AT2G44060.1, AT2G44060.2
OG0005481	Bevul.2G032600.1.p	AT1G61000.1
OG0005482	Bevul.1G112700.1.p	AT1G58120.1
OG0005483	Bevul.4G004900.1.p, Bevul.8G035600.1.p	AT4G17190.3, AT4G17190.1, AT5G47770.1
OG0005484	Bevul.1G092800.1.p	AT1G71250.1
OG0005484	Bevul.4G188800.1.p	AT5G08460.1
OG0005485	Bevul.9G147900.1.p	AT5G64260.1
OG0005486	Bevul.5G068900.1.p	AT4G16745.1, AT4G16745.2
OG0005487	Bevul.1G202200.1.p	AT2G46890.1
OG0005488	Bevul.9G223500.1.p	AT3G19640.1
OG0005489	Bevul.9G173400.1.p, Bevul.6G034500.1.p	AT1G49330.1, AT2G16190.2, AT2G16190.1
OG0005490	Bevul.3G034800.1.p	AT5G53480.1
OG0005491	Bevul.9G137900.1.p	AT4G34970.1
OG0005492	Bevul.4G194500.1.p, Bevul.6G011000.1.p	AT2G23090.1
OG0005493	Bevul.2G110300.1.p	AT2G32230.2, AT2G32230.1
OG0005494	Bevul.6G157700.1.p	AT3G52905.1
OG0005495	Bevul.6G084800.1.p	AT3G50660.1, AT3G50660.2
OG0005496	Bevul.1G093500.1.p	AT1G33470.2, AT1G33470.3, AT1G33470.1, AT1G22910.1, AT1G22910.4, AT1G22910.3, AT1G22910.2
OG0005497	Bevul.6G158300.1.p	AT4G24270.4, AT4G24270.3, AT4G24270.1, AT4G24270.2
OG0005498	Bevul.3G054400.1.p	AT3G16950.2, AT3G16950.1, AT4G16155.1
OG0005499	Bevul.5G225000.1.p	AT3G19510.2, AT3G19510.1
OG0005501	Bevul.2G071800.1.p	AT1G44835.2, AT1G44835.1
OG0005502	Bevul.6G095200.1.p	AT2G23470.1
OG0005503	Bevul.3G006900.1.p	AT4G15570.3, AT4G15570.1, AT4G15570.2, AT4G15570.4
OG0005504	Bevul.6G075800.1.p	AT5G08290.2
OG0005504	Bevul.9G006900.1.p	AT5G08290.1
OG0005506	Bevul.1G218300.1.p	AT1G21920.2, AT1G21920.1, AT1G77660.1
OG0005507	Bevul.5G043400.1.p	AT4G12110.1, AT4G22756.1, AT4G22755.1
OG0005508	Bevul.1G008100.1.p	AT5G22370.1, AT5G22370.2, AT5G22370.3
OG0005510	Bevul.1G045300.1.p	AT1G42960.1
OG0005511	Bevul.6G013000.1.p	AT4G37610.1, AT5G67480.1, AT5G67480.3, AT5G67480.2
OG0005513	Bevul.1G115500.1.p	AT1G21730.1
OG0005514	Bevul.9G055400.1.p	AT5G58060.1, AT5G58060.2, AT5G58180.2, AT5G58180.1
OG0005515	Bevul.1G038500.1.p	AT1G76250.1
OG0005516	Bevul.8G040800.1.p	AT3G02870.1, AT3G02870.2, AT3G02870.3
OG0005517	Bevul.9G072600.4.p, Bevul.9G072600.5.p, Bevul.9G072600.2.p, Bevul.9G072600.3.p, Bevul.9G072600.1.p	AT4G28130.1, AT2G20900.3, AT2G20900.2, AT2G20900.4, AT2G20900.1
OG0005519	Bevul.9G065900.1.p	AT1G05280.2, AT1G05280.1
OG0005520	Bevul.1G094800.1.p	AT1G22870.1, AT1G22870.2, AT1G22870.3, AT1G22870.4, AT1G71410.1, AT1G71410.2
OG0005521	Bevul.4G086600.1.p	AT1G78540.1, AT1G78540.2, AT1G78540.3, AT1G17040.1, AT1G17040.2, AT1G17040.3
OG0005522	Bevul.1G197600.1.p	AT4G00870.1
OG0005523	Bevul.7G071400.1.p, Bevul.4G217600.1.p	AT4G28510.1
OG0005525	Bevul.8G020400.1.p	AT1G28440.1
OG0005526	Bevul.1G150200.1.p	AT5G24670.4, AT5G24670.1, AT5G24670.3, AT5G24670.5, AT5G24670.2
OG0005527	Bevul.9G096600.6.p, Bevul.9G096600.3.p, Bevul.9G096600.2.p, Bevul.9G096600.4.p, Bevul.9G096600.1.p, Bevul.9G096600.5.p	AT2G42770.1
OG0005528	Bevul.4G097700.1.p	AT5G40740.1
OG0005529	Bevul.8G047100.1.p	AT4G03960.1
OG0005529	Bevul.9G021000.2.p, Bevul.9G021000.1.p	AT1G05000.1, AT1G05000.2
OG0005530	Bevul.6G229200.1.p, Bevul.8G186100.1.p	AT2G46520.1
OG0005531	Bevul.9G029100.1.p	AT3G07800.1
OG0005532	Bevul.8G044400.1.p	AT1G12060.1
OG0005533	Bevul.8G016800.1.p	AT2G34040.3, AT2G34040.1, AT2G34040.2, AT1G29030.1, AT1G29030.2
OG0005534	Bevul.9G055100.1.p	AT4G15410.1
OG0005534	Bevul.8G048500.1.p	AT4G04210.1, AT4G22150.1
OG0005535	Bevul.1G142300.1.p, Bevul.2G058500.1.p	AT1G04170.1, AT1G04170.2
OG0005536	Bevul.4G052200.1.p	AT5G54290.1, AT5G54290.2
OG0005537	Bevul.6G196600.1.p, Bevul.3G179000.1.p	AT3G23760.1, AT4G14100.1
OG0005538	Bevul.2G001700.3.p, Bevul.2G001700.2.p, Bevul.2G001700.1.p, Bevul.2G001700.4.p	AT2G26300.1, AT2G26300.2
