Orthogroup	B_vulgaris.proteins	D_spatulata.proteins
OG0004114	Bevul.8G082300.1.p	Ds_00007745-RA
OG0004115	Bevul.3G059100.1.p	Ds_00014635-RA
OG0004116	Bevul.6G092500.1.p	Ds_00011865-RA, Ds_00005399-RA
OG0004117	Bevul.9G124600.4.p, Bevul.9G124600.2.p, Bevul.9G124600.1.p, Bevul.9G124600.3.p	Ds_00017663-RA
OG0004118	Bevul.5G111300.1.p	Ds_00014867-RA
OG0004119	Bevul.8G040600.1.p	Ds_00004444-RA
OG0004120	Bevul.3G054300.1.p	Ds_00003224-RA
OG0004121	Bevul.8G019500.1.p	Ds_00017238-RA, Ds_00011524-RA
OG0004124	Bevul.9G135600.2.p, Bevul.9G135600.1.p, Bevul.7G154400.1.p	Ds_00013584-RA
OG0004125	Bevul.8G213500.1.p	Ds_00016871-RA
OG0004126	Bevul.9G080300.2.p, Bevul.9G080300.1.p	Ds_00012305-RA, Ds_00014830-RA
OG0004127	Bevul.8G080800.1.p	Ds_00015157-RA
OG0004128	Bevul.8G111500.2.p, Bevul.8G111500.1.p	Ds_00004484-RA
OG0004128	Bevul.4G026400.1.p	Ds_00011773-RA
OG0004130	Bevul.5G165300.1.p	Ds_00009739-RA
OG0004131	Bevul.7G213000.1.p	Ds_00017761-RA, Ds_00017760-RA, Ds_00002077-RA
OG0004133	Bevul.3G084300.1.p	Ds_00005802-RA
OG0004134	Bevul.3G048100.1.p	Ds_00005690-RA
OG0004135	Bevul.7G176600.1.p, Bevul.7G176700.1.p	Ds_00002376-RA, Ds_00000805-RA
OG0004136	Bevul.9G206700.1.p	Ds_00000731-RA
OG0004137	Bevul.9G132400.2.p, Bevul.9G132400.1.p	Ds_00000069-RA, Ds_00011413-RA
OG0004138	Bevul.2G176000.5.p, Bevul.2G176000.3.p, Bevul.2G176000.4.p, Bevul.2G176000.1.p	Ds_00017784-RA
OG0004138	Bevul.8G168700.1.p	Ds_00007229-RA
OG0004139	Bevul.7G192500.1.p	Ds_00015327-RA
OG0004141	Bevul.8G128900.1.p	Ds_00000188-RA
OG0004142	Bevul.9G108800.2.p, Bevul.9G108800.3.p, Bevul.9G108800.4.p, Bevul.9G108800.1.p, Bevul.9G108800.6.p, Bevul.9G108800.5.p	Ds_00002364-RA
OG0004143	Bevul.9G201800.2.p, Bevul.9G201800.1.p	Ds_00002424-RA
OG0004144	Bevul.7G113000.1.p	Ds_00017512-RA
OG0004145	Bevul.5G039300.1.p	Ds_00015168-RA, Ds_00001332-RA
OG0004146	Bevul.1G139900.1.p	Ds_00001566-RA
OG0004147	Bevul.8G166500.1.p	Ds_00007226-RA, Ds_00015376-RA
OG0004148	Bevul.7G217600.1.p	Ds_00007521-RA
OG0004149	Bevul.8G114900.1.p	Ds_00008054-RA
OG0004150	Bevul.2G139800.1.p, Bevul.2G139800.4.p, Bevul.2G139800.2.p, Bevul.2G139800.3.p	Ds_00003446-RA
OG0004151	Bevul.1G167500.1.p	Ds_00003575-RA, Ds_00004606-RA
OG0004152	Bevul.2G134500.1.p	Ds_00017666-RA, Ds_00003426-RA
OG0004153	Bevul.9G195500.1.p	Ds_00000680-RA
OG0004153	Bevul.2G023900.1.p	Ds_00017120-RA
OG0004154	Bevul.2G175700.1.p	Ds_00004228-RA, Ds_00002606-RA
OG0004156	Bevul.1G196700.1.p, Bevul.1G196600.1.p	Ds_00002863-RA
OG0004157	Bevul.5G066000.1.p	Ds_00002688-RA
OG0004158	Bevul.3G051200.1.p	Ds_00007288-RA
OG0004159	Bevul.7G043900.1.p	Ds_00002209-RA
OG0004160	Bevul.7G161600.1.p	Ds_00002316-RA
OG0004161	Bevul.5G062800.1.p	Ds_00002787-RA
OG0004162	Bevul.9G111800.1.p, Bevul.9G111800.2.p	Ds_00000783-RA
OG0004163	Bevul.3G038300.1.p	Ds_00016888-RA, Ds_00012589-RA
OG0004166	Bevul.4G006400.1.p	Ds_00001862-RA, Ds_00008094-RA
OG0004168	Bevul.3G029500.1.p	Ds_00004531-RA
OG0004169	Bevul.3G085400.1.p, Bevul.5G042500.1.p	Ds_00012943-RA
OG0004170	Bevul.7G004100.1.p	Ds_00015988-RA
OG0004171	Bevul.2G105600.1.p, Bevul.2G105600.2.p	Ds_00003267-RA
OG0004172	Bevul.4G100100.1.p	Ds_00005475-RA
OG0004173	Bevul.9G067400.1.p	Ds_00010018-RA
OG0004174	Bevul.4G003700.1.p	Ds_00001688-RA
OG0004175	Bevul.8G084500.1.p	Ds_00009483-RA, Ds_00012748-RA
OG0004176	Bevul.3G109800.1.p	Ds_00016416-RA
OG0004179	Bevul.2G027700.1.p	Ds_00012921-RA
OG0004179	Bevul.7G004300.1.p	Ds_00014299-RA
OG0004180	Bevul.3G089200.1.p	Ds_00000248-RA
OG0004181	Bevul.2G086300.2.p, Bevul.2G086300.3.p, Bevul.2G086300.4.p, Bevul.2G086300.5.p, Bevul.2G086300.6.p, Bevul.2G086300.1.p	Ds_00016338-RA, Ds_00010464-RA, Ds_00016337-RA
OG0004183	Bevul.2G157200.1.p, Bevul.2G157200.2.p	Ds_00010368-RA
OG0004184	Bevul.6G145300.1.p	Ds_00005999-RA
OG0004185	Bevul.6G057800.1.p	Ds_00013408-RA
OG0004186	Bevul.4G046800.1.p	Ds_00010672-RA
OG0004187	Bevul.2G190800.1.p	Ds_00014215-RA
OG0004188	Bevul.2G033500.1.p, Bevul.2G033500.3.p, Bevul.2G033500.2.p	Ds_00014952-RA
OG0004189	Bevul.9G064600.1.p	Ds_00016238-RA
OG0004190	Bevul.7G062600.6.p, Bevul.7G062600.4.p, Bevul.7G062600.5.p, Bevul.7G062600.8.p, Bevul.7G062600.7.p, Bevul.7G062600.3.p, Bevul.7G062600.2.p, Bevul.7G062600.1.p	Ds_00015405-RA
OG0004191	Bevul.1G145800.1.p	Ds_00001546-RA
OG0004192	Bevul.3G131200.1.p	Ds_00004977-RA, Ds_00015641-RA
OG0004193	Bevul.2G007700.5.p, Bevul.2G007700.7.p, Bevul.2G007700.3.p, Bevul.2G007700.4.p, Bevul.2G007700.1.p, Bevul.2G007700.2.p, Bevul.2G007700.6.p	Ds_00000934-RA
OG0004194	Bevul.8G187300.1.p, Bevul.8G187600.1.p	Ds_00014797-RA
OG0004195	Bevul.8G019200.1.p	Ds_00011522-RA
OG0004196	Bevul.8G072500.1.p	Ds_00017826-RA
OG0004197	Bevul.4G055600.1.p	Ds_00017008-RA, Ds_00001768-RA
OG0004198	Bevul.6G008200.1.p	Ds_00004492-RA
OG0004199	Bevul.7G150100.1.p	Ds_00000383-RA
OG0004200	Bevul.2G085300.2.p, Bevul.2G085300.1.p	Ds_00017835-RA
OG0004202	Bevul.2G117600.1.p, Bevul.9G050800.1.p	Ds_00004118-RA
OG0004203	Bevul.6G215600.1.p	Ds_00008092-RA
OG0004204	Bevul.3G111900.1.p	Ds_00012218-RA
OG0004205	Bevul.9G000200.1.p, Bevul.9G000200.2.p	Ds_00014541-RA
OG0004206	Bevul.3G196200.1.p	Ds_00000830-RA
OG0004207	Bevul.9G060700.1.p	Ds_00005198-RA
OG0004208	Bevul.5G079900.1.p, Bevul.9G028400.1.p	Ds_00015740-RA, Ds_00015739-RA, Ds_00000157-RA
OG0004209	Bevul.9G048900.1.p, Bevul.9G048900.5.p, Bevul.9G048900.2.p, Bevul.9G048900.3.p, Bevul.9G048900.4.p	Ds_00005841-RA
OG0004210	Bevul.3G197300.1.p	Ds_00009594-RA
OG0004211	Bevul.5G134300.1.p	Ds_00010369-RA
OG0004213	Bevul.5G000700.1.p	Ds_00001306-RA
OG0004214	Bevul.6G204200.1.p	Ds_00009170-RA
OG0004215	Bevul.7G135100.1.p	Ds_00007428-RA
OG0004216	Bevul.1G059500.1.p	Ds_00014360-RA
OG0004217	Bevul.1G056400.1.p	Ds_00007865-RA, Ds_00015348-RA
OG0004218	Bevul.3G092000.1.p	Ds_00004203-RA
OG0004219	Bevul.1G201700.1.p	Ds_00015014-RA
OG0004220	Bevul.3G091200.1.p	Ds_00015629-RA, Ds_00012924-RA
OG0004220	Bevul.1G138800.1.p	Ds_00009211-RA
OG0004221	Bevul.5G028600.1.p	Ds_00001293-RA
OG0004223	Bevul.5G064500.1.p	Ds_00002777-RA
OG0004223	Bevul.3G027900.1.p	Ds_00001387-RA
OG0004224	Bevul.1G080000.1.p	Ds_00011417-RA, Ds_00003752-RA
OG0004225	Bevul.4G247500.1.p	Ds_00003073-RA
OG0004226	Bevul.3G142200.1.p	Ds_00004640-RA
OG0004227	Bevul.7G205500.1.p	Ds_00001209-RA, Ds_00014849-RA
OG0004228	Bevul.4G242700.1.p	Ds_00006095-RA
OG0004229	Bevul.3G085700.1.p, Bevul.3G085600.1.p	Ds_00006703-RA
OG0004230	Bevul.1G139800.1.p	Ds_00001565-RA
OG0004231	Bevul.2G125000.3.p, Bevul.2G125000.7.p, Bevul.2G125000.1.p, Bevul.2G125000.6.p, Bevul.2G125000.4.p, Bevul.2G125000.10.p, Bevul.2G125000.9.p, Bevul.2G125000.5.p, Bevul.2G125000.11.p, Bevul.2G125000.2.p, Bevul.2G125000.8.p	Ds_00003399-RA
OG0004232	Bevul.7G140900.1.p	Ds_00003818-RA, Ds_00013781-RA
OG0004233	Bevul.5G228700.1.p	Ds_00007781-RA
OG0004234	Bevul.4G137600.1.p, Bevul.4G069700.1.p	Ds_00012888-RA
OG0004235	Bevul.6G169800.1.p, Bevul.6G061200.1.p	Ds_00009194-RA
OG0004236	Bevul.4G131300.1.p	Ds_00006147-RA
OG0004237	Bevul.6G029700.1.p	Ds_00014483-RA
OG0004238	Bevul.1G085000.1.p	Ds_00010869-RA
OG0004239	Bevul.9G183500.1.p, Bevul.9G183500.2.p, Bevul.9G183500.3.p, Bevul.9G183500.4.p	Ds_00003151-RA
OG0004240	Bevul.6G206300.1.p	Ds_00004797-RA, Ds_00010768-RA
OG0004241	Bevul.3G092900.1.p	Ds_00012710-RA
OG0004242	Bevul.4G186400.1.p	Ds_00001313-RA
OG0004243	Bevul.9G158300.1.p, Bevul.9G158300.4.p, Bevul.9G158300.2.p, Bevul.9G158300.3.p	Ds_00011274-RA
OG0004244	Bevul.9G106000.6.p, Bevul.9G106000.5.p, Bevul.9G106000.1.p, Bevul.9G106000.9.p, Bevul.9G106000.10.p, Bevul.9G106000.2.p, Bevul.9G106000.4.p, Bevul.9G106000.7.p, Bevul.9G106000.11.p, Bevul.9G106000.8.p, Bevul.9G106000.3.p, Bevul.1G020900.1.p	Ds_00006504-RA
OG0004245	Bevul.4G179200.1.p	Ds_00003964-RA
OG0004246	Bevul.7G093200.1.p, Bevul.7G093200.3.p, Bevul.7G093200.4.p, Bevul.7G093200.2.p	Ds_00004702-RA, Ds_00016828-RA
OG0004247	Bevul.5G015700.1.p	Ds_00016380-RA
OG0004248	Bevul.3G171500.1.p, Bevul.5G046400.1.p	Ds_00006816-RA
OG0004249	Bevul.3G125800.1.p	Ds_00005027-RA
OG0004250	Bevul.6G163900.1.p	Ds_00008096-RA
OG0004251	Bevul.1G211800.1.p	Ds_00005450-RA
OG0004252	Bevul.6G052900.1.p, Bevul.7G108700.1.p	Ds_00010933-RA
OG0004253	Bevul.1G158200.1.p	Ds_00008884-RA
OG0004254	Bevul.6G092600.1.p	Ds_00011864-RA
OG0004255	Bevul.5G102900.1.p	Ds_00011145-RA
OG0004257	Bevul.5G216500.1.p	Ds_00011390-RA
OG0004258	Bevul.6G041500.1.p	Ds_00005437-RA
OG0004259	Bevul.2G213000.1.p, Bevul.6G128000.1.p	Ds_00016697-RA
OG0004260	Bevul.6G127900.1.p	Ds_00008579-RA
OG0004261	Bevul.6G028600.1.p	Ds_00014490-RA
OG0004262	Bevul.5G214600.1.p	Ds_00013804-RA
OG0004263	Bevul.2G071000.1.p, Bevul.2G071000.2.p	Ds_00013173-RA, Ds_00017509-RA
OG0004264	Bevul.2G203100.1.p, Bevul.2G203100.3.p, Bevul.2G203100.2.p, Bevul.9G014000.1.p	Ds_00011047-RA, Ds_00013487-RA
OG0004265	Bevul.2G125900.1.p, Bevul.2G125900.2.p	Ds_00012617-RA
OG0004266	Bevul.2G095000.3.p, Bevul.2G095000.2.p, Bevul.2G095000.1.p	Ds_00003302-RA
OG0004267	Bevul.6G193000.1.p	Ds_00009023-RA
OG0004268	Bevul.3G014600.1.p, Bevul.3G014700.1.p	Ds_00017435-RA
OG0004268	Bevul.5G092400.1.p	Ds_00013513-RA
OG0004269	Bevul.5G180200.1.p	Ds_00014118-RA
OG0004270	Bevul.5G205000.1.p	Ds_00003749-RA, Ds_00011421-RA
OG0004271	Bevul.5G108700.1.p	Ds_00004845-RA, Ds_00013104-RA
OG0004272	Bevul.6G187400.1.p	Ds_00009060-RA, Ds_00009056-RA
OG0004273	Bevul.5G217300.1.p	Ds_00003795-RA
OG0004274	Bevul.3G014900.1.p	Ds_00007653-RA
OG0004275	Bevul.6G208100.1.p	Ds_00004806-RA
OG0004276	Bevul.8G035900.1.p	Ds_00016729-RA
OG0004279	Bevul.7G127900.1.p	Ds_00014330-RA
OG0004280	Bevul.7G227900.1.p	Ds_00001262-RA
OG0004281	Bevul.9G190300.1.p, Bevul.9G190300.2.p, Bevul.9G190300.5.p, Bevul.9G190300.9.p, Bevul.9G190300.8.p, Bevul.9G190300.4.p, Bevul.9G190300.3.p, Bevul.9G190300.6.p, Bevul.9G190300.7.p, Bevul.9G190300.10.p	Ds_00010391-RA
OG0004284	Bevul.2G110500.1.p, Bevul.7G038200.1.p	Ds_00013475-RA, Ds_00013836-RA, Ds_00008701-RA, Ds_00007080-RA, Ds_00018078-RA, Ds_00017408-RA, Ds_00002985-RA
OG0004294	Bevul.9G146900.1.p, Bevul.1G203600.1.p	Ds_00011913-RA, Ds_00001093-RA
OG0004296	Bevul.7G087100.1.p	Ds_00000910-RA
OG0004297	Bevul.3G139700.1.p	Ds_00006389-RA
OG0004298	Bevul.1G140900.1.p	Ds_00017592-RA
OG0004299	Bevul.2G138700.3.p, Bevul.2G138700.2.p, Bevul.2G138700.1.p	Ds_00003442-RA
OG0004300	Bevul.3G193900.1.p	Ds_00000823-RA
OG0004301	Bevul.3G169500.1.p	Ds_00013249-RA, Ds_00007137-RA
OG0004302	Bevul.4G134100.1.p	Ds_00003108-RA, Ds_00004711-RA
OG0004303	Bevul.1G132400.1.p	Ds_00003836-RA
OG0004305	Bevul.4G203500.1.p	Ds_00003891-RA
OG0004306	Bevul.4G215500.1.p	Ds_00016752-RA
OG0004307	Bevul.3G161800.1.p	Ds_00007604-RA
OG0004308	Bevul.3G152800.1.p	Ds_00017786-RA
OG0004309	Bevul.3G001600.1.p	Ds_00005078-RA, Ds_00003216-RA
OG0004311	Bevul.4G103000.1.p	Ds_00016690-RA, Ds_00007089-RA
OG0004312	Bevul.7G182300.1.p	Ds_00011567-RA
OG0004313	Bevul.5G047300.1.p, Bevul.5G047100.1.p	Ds_00002457-RA
OG0004314	Bevul.9G143600.1.p	Ds_00013025-RA
OG0004315	Bevul.4G187300.2.p, Bevul.4G187300.1.p	Ds_00004707-RA, Ds_00009195-RA
OG0004316	Bevul.6G241600.1.p, Bevul.3G201800.1.p	Ds_00000845-RA
OG0004317	Bevul.7G098200.4.p, Bevul.7G098200.3.p, Bevul.7G098200.2.p, Bevul.7G098200.1.p, Bevul.7G098200.5.p	Ds_00004696-RA
OG0004318	Bevul.8G114400.1.p, Bevul.3G194100.1.p	Ds_00000824-RA
OG0004319	Bevul.3G178400.1.p	Ds_00007610-RA
OG0004320	Bevul.4G155700.1.p	Ds_00003874-RA
OG0004321	Bevul.3G234100.1.p	Ds_00007446-RA
OG0004322	Bevul.7G206700.1.p	Ds_00010079-RA
OG0004323	Bevul.1G138600.1.p	Ds_00001568-RA, Ds_00001569-RA
OG0004323	Bevul.3G009200.1.p	Ds_00006452-RA
OG0004325	Bevul.4G144600.1.p, Bevul.8G112200.1.p	Ds_00006929-RA
OG0004326	Bevul.4G079300.1.p	Ds_00000930-RA
OG0004327	Bevul.7G074000.2.p, Bevul.7G074000.1.p, Bevul.7G074000.3.p	Ds_00012399-RA
OG0004328	Bevul.7G061400.6.p, Bevul.7G061400.5.p, Bevul.7G061400.3.p, Bevul.7G061400.7.p, Bevul.7G061400.4.p, Bevul.7G061400.2.p, Bevul.7G061400.9.p, Bevul.7G061400.8.p, Bevul.7G061400.1.p, Bevul.1G166800.1.p	Ds_00017927-RA
OG0004329	Bevul.3G210500.1.p	Ds_00012675-RA
OG0004330	Bevul.1G193000.1.p	Ds_00012517-RA, Ds_00011641-RA
OG0004331	Bevul.3G158700.1.p	Ds_00003120-RA
OG0004332	Bevul.4G135000.1.p	Ds_00006172-RA
OG0004334	Bevul.5G161000.1.p, Bevul.2G182500.1.p	Ds_00004759-RA, Ds_00000880-RA
OG0004335	Bevul.2G194900.1.p, Bevul.2G194900.2.p	Ds_00011076-RA
OG0004336	Bevul.9G103100.1.p, Bevul.2G028100.1.p	Ds_00010171-RA
OG0004338	Bevul.4G027900.1.p, Bevul.6G154200.1.p	Ds_00003316-RA
OG0004339	Bevul.3G007000.1.p	Ds_00003200-RA
OG0004340	Bevul.2G085100.1.p	Ds_00010338-RA, Ds_00015415-RA
OG0004341	Bevul.5G137000.1.p	Ds_00014898-RA, Ds_00010787-RA
OG0004343	Bevul.2G044400.1.p	Ds_00008946-RA
OG0004344	Bevul.7G035300.1.p, Bevul.1G062500.1.p	Ds_00017158-RA
OG0004345	Bevul.5G131200.1.p	Ds_00015295-RA, Ds_00010806-RA
OG0004346	Bevul.4G056000.1.p	Ds_00000568-RA
OG0004346	Bevul.4G221500.1.p	Ds_00013919-RA
OG0004347	Bevul.2G229300.1.p	Ds_00014900-RA, Ds_00012106-RA, Ds_00009067-RA
OG0004348	Bevul.4G208400.1.p	Ds_00013744-RA
OG0004349	Bevul.7G094700.1.p	Ds_00017956-RA, Ds_00011997-RA
OG0004351	Bevul.4G202200.1.p	Ds_00003896-RA
OG0004352	Bevul.7G023000.1.p	Ds_00015559-RA
OG0004353	Bevul.5G259600.1.p	Ds_00005447-RA, Ds_00013657-RA
OG0004354	Bevul.3G231300.1.p	Ds_00005717-RA
OG0004355	Bevul.4G216300.1.p	Ds_00016804-RA
OG0004356	Bevul.4G205200.1.p	Ds_00003885-RA
OG0004357	Bevul.7G094300.1.p	Ds_00004697-RA
OG0004359	Bevul.4G110200.1.p	Ds_00007030-RA
OG0004360	Bevul.2G039500.1.p	Ds_00000480-RA
OG0004361	Bevul.7G128700.1.p	Ds_00003125-RA
OG0004362	Bevul.5G111600.1.p	Ds_00015293-RA, Ds_00014868-RA
OG0004363	Bevul.2G014900.2.p, Bevul.2G014900.3.p, Bevul.2G014900.1.p	Ds_00014260-RA
OG0004364	Bevul.3G203300.1.p	Ds_00005790-RA
OG0004366	Bevul.5G252500.1.p	Ds_00005964-RA
OG0004367	Bevul.7G177000.1.p	Ds_00001256-RA
OG0004368	Bevul.3G179200.1.p	Ds_00002695-RA
OG0004370	Bevul.3G209500.1.p	Ds_00005768-RA
OG0004371	Bevul.6G005400.1.p	Ds_00006762-RA
OG0004373	Bevul.9G180500.1.p	Ds_00013527-RA
OG0004375	Bevul.1G027500.1.p, Bevul.6G062900.1.p, Bevul.6G063400.1.p	Ds_00001441-RA
OG0004376	Bevul.6G151700.1.p	Ds_00003231-RA
OG0004377	Bevul.2G032800.1.p	Ds_00009476-RA
OG0004378	Bevul.9G232400.1.p	Ds_00000304-RA
OG0004379	Bevul.1G021000.1.p	Ds_00000577-RA, Ds_00000578-RA
OG0004380	Bevul.1G010200.1.p	Ds_00010397-RA
OG0004381	Bevul.9G171000.2.p, Bevul.9G171000.1.p	Ds_00016520-RA
OG0004382	Bevul.8G119300.1.p, Bevul.4G186100.1.p	Ds_00003725-RA
OG0004384	Bevul.6G208600.1.p, Bevul.2G178700.1.p	Ds_00004808-RA, Ds_00009111-RA, Ds_00008291-RA
OG0004385	Bevul.6G051600.1.p	Ds_00003637-RA
OG0004386	Bevul.7G110300.1.p	Ds_00006818-RA
OG0004387	Bevul.9G216400.1.p, Bevul.9G216400.2.p, Bevul.9G216400.3.p	Ds_00013548-RA
OG0004389	Bevul.6G074500.1.p	Ds_00013431-RA, Ds_00001431-RA
OG0004390	Bevul.9G071500.1.p	Ds_00002289-RA
OG0004391	Bevul.1G171300.1.p	Ds_00004670-RA
OG0004393	Bevul.2G191700.1.p	Ds_00016739-RA, Ds_00016693-RA
OG0004394	Bevul.6G059300.1.p	Ds_00003619-RA
OG0004394	Bevul.1G119000.1.p	Ds_00011953-RA
OG0004395	Bevul.1G062900.1.p	Ds_00000176-RA
OG0004396	Bevul.4G183000.1.p	Ds_00003988-RA
OG0004397	Bevul.6G073100.1.p	Ds_00014031-RA
OG0004399	Bevul.4G182700.1.p	Ds_00014417-RA
OG0004401	Bevul.3G092400.1.p	Ds_00003398-RA
OG0004402	Bevul.6G097000.1.p	Ds_00010952-RA
OG0004403	Bevul.6G226600.1.p	Ds_00011230-RA
OG0004404	Bevul.2G032700.4.p, Bevul.2G032700.3.p, Bevul.2G032700.2.p, Bevul.2G032700.6.p, Bevul.2G032700.5.p, Bevul.2G032700.1.p	Ds_00009151-RA, Ds_00010538-RA
OG0004405	Bevul.9G151400.3.p, Bevul.9G151400.4.p, Bevul.9G151400.5.p, Bevul.9G151400.1.p, Bevul.9G151400.2.p	Ds_00014876-RA
OG0004406	Bevul.8G195900.1.p, Bevul.2G237500.1.p	Ds_00016220-RA, Ds_00010418-RA
OG0004407	Bevul.1G209000.1.p	Ds_00002626-RA
OG0004408	Bevul.1G089400.1.p	Ds_00010881-RA, Ds_00010880-RA
OG0004409	Bevul.9G183400.1.p, Bevul.9G183400.5.p, Bevul.9G183400.3.p, Bevul.9G183400.4.p, Bevul.9G183400.2.p	Ds_00015309-RA
OG0004411	Bevul.2G149300.1.p	Ds_00011304-RA
OG0004412	Bevul.5G075000.1.p	Ds_00005134-RA
OG0004415	Bevul.2G216900.1.p, Bevul.2G216900.2.p	Ds_00006483-RA
OG0004416	Bevul.4G090900.1.p	Ds_00014162-RA
OG0004417	Bevul.4G057100.1.p	Ds_00017006-RA, Ds_00002176-RA, Ds_00001773-RA
OG0004418	Bevul.2G088700.8.p, Bevul.2G088700.6.p, Bevul.2G088700.3.p, Bevul.2G088700.5.p, Bevul.2G088700.4.p, Bevul.2G088700.2.p, Bevul.2G088700.7.p, Bevul.2G088700.1.p	Ds_00017469-RA, Ds_00017470-RA
OG0004419	Bevul.9G118900.1.p	Ds_00004574-RA
OG0004421	Bevul.4G100000.1.p	Ds_00018063-RA
OG0004422	Bevul.4G033800.1.p	Ds_00005046-RA
OG0004423	Bevul.9G075800.2.p, Bevul.9G075800.1.p	Ds_00014815-RA
OG0004424	Bevul.8G090500.1.p	Ds_00009497-RA
OG0004425	Bevul.9G069100.2.p, Bevul.9G069100.1.p	Ds_00012284-RA
OG0004426	Bevul.3G066700.1.p	Ds_00007298-RA
OG0004427	Bevul.3G074300.1.p	Ds_00009954-RA
OG0004428	Bevul.5G018000.1.p	Ds_00011902-RA
OG0004429	Bevul.5G197400.1.p, Bevul.2G133100.1.p	Ds_00010435-RA
OG0004430	Bevul.9G200300.1.p	Ds_00010382-RA
OG0004431	Bevul.3G050700.1.p	Ds_00016384-RA
OG0004432	Bevul.8G143300.1.p	Ds_00008233-RA, Ds_00016997-RA
OG0004433	Bevul.9G206400.1.p	Ds_00002417-RA
OG0004433	Bevul.8G194800.1.p	Ds_00013052-RA
OG0004434	Bevul.7G162500.1.p	Ds_00010618-RA
OG0004435	Bevul.8G130700.1.p	Ds_00016006-RA
OG0004436	Bevul.9G061200.1.p	Ds_00010000-RA, Ds_00005197-RA
OG0004438	Bevul.2G163500.1.p	Ds_00014247-RA
OG0004438	Bevul.8G195500.1.p	Ds_00000257-RA
OG0004439	Bevul.2G156800.1.p	Ds_00003853-RA
OG0004440	Bevul.2G151700.2.p, Bevul.2G151700.3.p, Bevul.2G151700.1.p, Bevul.2G151700.4.p	Ds_00003463-RA
OG0004441	Bevul.6G086000.1.p	Ds_00001300-RA
OG0004442	Bevul.3G051500.1.p	Ds_00012076-RA, Ds_00016387-RA
OG0004444	Bevul.2G170000.1.p	Ds_00002623-RA
OG0004445	Bevul.2G120800.2.p, Bevul.2G120800.4.p, Bevul.2G120800.3.p, Bevul.2G120800.1.p	Ds_00011310-RA
OG0004446	Bevul.6G239200.1.p, Bevul.5G192200.1.p	Ds_00016174-RA, Ds_00017246-RA, Ds_00012429-RA
OG0004447	Bevul.4G232400.1.p, Bevul.4G231800.1.p, Bevul.8G212300.1.p	Ds_00007962-RA
OG0004448	Bevul.1G137400.1.p	Ds_00009204-RA
OG0004449	Bevul.2G174900.1.p, Bevul.7G105800.1.p	Ds_00002610-RA
OG0004450	Bevul.8G122900.1.p	Ds_00009819-RA
OG0004451	Bevul.7G171400.1.p	Ds_00002353-RA
OG0004452	Bevul.8G120300.1.p	Ds_00015764-RA
OG0004453	Bevul.9G022100.1.p	Ds_00009532-RA
OG0004454	Bevul.4G222100.1.p	Ds_00008524-RA
OG0004455	Bevul.1G198800.1.p	Ds_00012530-RA
OG0004457	Bevul.5G169800.1.p	Ds_00002311-RA
OG0004458	Bevul.9G194200.1.p	Ds_00000677-RA, Ds_00002445-RA
OG0004459	Bevul.3G031300.1.p	Ds_00004522-RA
OG0004460	Bevul.2G015800.1.p	Ds_00014270-RA
OG0004461	Bevul.8G185200.1.p	Ds_00007286-RA, Ds_00012877-RA
OG0004462	Bevul.1G143300.1.p	Ds_00001552-RA
OG0004463	Bevul.5G043000.1.p	Ds_00001344-RA
OG0004464	Bevul.2G159800.2.p, Bevul.2G159800.1.p, Bevul.2G159800.4.p, Bevul.2G159800.3.p	Ds_00013995-RA
OG0004466	Bevul.3G100000.1.p	Ds_00004749-RA
OG0004467	Bevul.8G132000.1.p	Ds_00016012-RA
OG0004468	Bevul.3G090800.1.p	Ds_00012925-RA
OG0004469	Bevul.7G160200.1.p	Ds_00002307-RA
OG0004470	Bevul.7G232400.1.p	Ds_00000801-RA, Ds_00002372-RA
OG0004471	Bevul.8G159800.1.p	Ds_00009679-RA, Ds_00011449-RA
OG0004472	Bevul.1G148900.1.p	Ds_00016488-RA
OG0004474	Bevul.9G170500.1.p	Ds_00016522-RA
OG0004475	Bevul.3G049200.1.p	Ds_00005691-RA
OG0004476	Bevul.8G091600.1.p	Ds_00006033-RA
OG0004477	Bevul.4G087800.1.p	Ds_00014184-RA, Ds_00018053-RA, Ds_00014185-RA
OG0004478	Bevul.8G022600.1.p	Ds_00011535-RA
OG0004479	Bevul.1G049100.1.p	Ds_00003590-RA
OG0004480	Bevul.7G220100.1.p	Ds_00016463-RA
OG0004481	Bevul.8G034600.1.p	Ds_00015213-RA
OG0004482	Bevul.2G244400.2.p, Bevul.2G244400.1.p	Ds_00006616-RA
OG0004483	Bevul.7G199600.1.p	Ds_00015506-RA, Ds_00010095-RA
OG0004484	Bevul.4G000600.1.p	Ds_00004924-RA
OG0004485	Bevul.9G101900.1.p	Ds_00014836-RA
OG0004486	Bevul.7G052800.5.p, Bevul.7G052800.2.p, Bevul.7G052800.1.p, Bevul.7G052800.4.p, Bevul.7G052800.3.p	Ds_00013716-RA
OG0004487	Bevul.8G046700.1.p	Ds_00013763-RA, Ds_00009710-RA
OG0004489	Bevul.1G015100.1.p	Ds_00002480-RA
OG0004491	Bevul.1G079200.1.p, Bevul.1G079000.1.p	Ds_00002236-RA
OG0004492	Bevul.5G156100.1.p	Ds_00004796-RA, Ds_00010769-RA
OG0004493	Bevul.2G188400.1.p	Ds_00011102-RA, Ds_00017744-RA
OG0004494	Bevul.8G056100.1.p	Ds_00015098-RA
