Orthogroup	B_vulgaris.proteins	L_sativa.proteins
OG0003473	Bevul.5G237800.1.p	Lsat_1_v5_gn_5_185801.3, Lsat_1_v5_gn_5_185801.1, Lsat_1_v5_gn_5_185801.2
OG0003474	Bevul.5G144900.1.p	Lsat_1_v5_gn_8_142181.1
OG0003474	Bevul.6G135000.1.p	Lsat_1_v5_gn_1_102101.1, Lsat_1_v5_gn_8_42480.1, Lsat_1_v5_gn_3_62121.1, Lsat_1_v5_gn_4_14800.1
OG0003475	Bevul.5G197100.1.p	Lsat_1_v5_gn_5_18441.1
OG0003475	Bevul.6G243900.1.p	Lsat_1_v5_gn_4_9441.1
OG0003476	Bevul.5G209200.1.p, Bevul.5G209100.1.p	Lsat_1_v5_gn_1_26501.2, Lsat_1_v5_gn_1_26501.1, Lsat_1_v5_gn_4_73061.1
OG0003478	Bevul.8G034900.1.p, Bevul.5G094600.1.p	Lsat_1_v5_gn_2_11881.2, Lsat_1_v5_gn_2_11881.3, Lsat_1_v5_gn_2_11881.1
OG0003479	Bevul.2G060100.1.p	Lsat_1_v5_gn_2_89180.1
OG0003479	Bevul.6G237400.1.p	Lsat_1_v5_gn_8_51721.2, Lsat_1_v5_gn_8_51721.1, Lsat_1_v5_gn_4_9861.1
OG0003480	Bevul.6G121800.1.p, Bevul.6G015600.1.p, Bevul.6G015700.1.p	Lsat_1_v5_gn_8_38520.1, Lsat_1_v5_gn_4_19860.1
OG0003481	Bevul.9G007400.1.p, Bevul.9G007400.2.p, Bevul.9G007500.1.p	Lsat_1_v5_gn_8_33100.3, Lsat_1_v5_gn_8_33100.1
OG0003482	Bevul.5G177100.1.p, Bevul.6G079400.1.p	Lsat_1_v5_gn_2_90140.1
OG0003483	Bevul.3G229000.1.p, Bevul.6G116900.1.p	Lsat_1_v5_gn_3_60220.1
OG0003483	Bevul.5G169000.1.p	Lsat_1_v5_gn_1_15680.1
OG0003484	Bevul.3G091700.1.p	Lsat_1_v5_gn_4_14760.1, Lsat_1_v5_gn_9_7541.3, Lsat_1_v5_gn_9_7541.1, Lsat_1_v5_gn_9_7541.2
OG0003485	Bevul.2G239300.1.p	Lsat_1_v5_gn_4_183360.1, Lsat_1_v5_gn_4_183360.3, Lsat_1_v5_gn_2_91500.1, Lsat_1_v5_gn_0_35501.1, Lsat_1_v5_gn_0_35501.3
OG0003486	Bevul.5G174800.1.p	Lsat_1_v5_gn_5_23020.3, Lsat_1_v5_gn_5_23020.1
OG0003488	Bevul.4G005200.1.p	Lsat_1_v5_gn_7_114881.1
OG0003489	Bevul.6G136500.1.p	Lsat_1_v5_gn_8_42221.1
OG0003490	Bevul.3G017800.1.p	Lsat_1_v5_gn_8_3740.1, Lsat_1_v5_gn_8_3740.3, Lsat_1_v5_gn_8_3740.2, Lsat_1_v5_gn_9_47401.3, Lsat_1_v5_gn_9_47401.1
OG0003491	Bevul.5G217400.1.p	Lsat_1_v5_gn_1_28080.1
OG0003492	Bevul.9G144500.2.p, Bevul.9G144500.1.p	Lsat_1_v5_gn_2_65701.1
OG0003492	Bevul.2G155300.1.p	Lsat_1_v5_gn_3_104620.1, Lsat_1_v5_gn_3_104620.2, Lsat_1_v5_gn_4_23100.1, Lsat_1_v5_gn_4_23100.2
OG0003493	Bevul.5G204900.1.p	Lsat_1_v5_gn_5_17941.1, Lsat_1_v5_gn_5_17941.2
OG0003494	Bevul.1G032300.1.p	Lsat_1_v5_gn_4_13960.1, Lsat_1_v5_gn_4_13960.2, Lsat_1_v5_gn_4_13960.3
OG0003495	Bevul.4G108500.1.p	Lsat_1_v5_gn_1_6680.3, Lsat_1_v5_gn_1_6680.1
OG0003496	Bevul.3G098900.1.p	Lsat_1_v5_gn_4_19001.1, Lsat_1_v5_gn_4_19001.4, Lsat_1_v5_gn_4_19021.1
OG0003497	Bevul.4G077500.1.p	Lsat_1_v5_gn_9_60180.1, Lsat_1_v5_gn_9_60180.2, Lsat_1_v5_gn_2_126361.4, Lsat_1_v5_gn_2_126361.1
OG0003498	Bevul.5G073800.1.p	Lsat_1_v5_gn_6_67421.1, Lsat_1_v5_gn_6_67421.3
OG0003499	Bevul.5G079600.1.p	Lsat_1_v5_gn_6_88460.1, Lsat_1_v5_gn_6_88460.2
OG0003499	Bevul.1G147000.1.p	Lsat_1_v5_gn_1_83600.1, Lsat_1_v5_gn_7_12661.1, Lsat_1_v5_gn_4_38441.1
OG0003501	Bevul.4G101600.1.p	Lsat_1_v5_gn_0_34000.3, Lsat_1_v5_gn_0_34000.1, Lsat_1_v5_gn_8_500.2, Lsat_1_v5_gn_8_500.1, Lsat_1_v5_gn_8_500.3
OG0003502	Bevul.6G132900.1.p	Lsat_1_v5_gn_3_61501.1, Lsat_1_v5_gn_8_41320.2, Lsat_1_v5_gn_8_41320.4, Lsat_1_v5_gn_8_41320.3
OG0003503	Bevul.7G067700.1.p	Lsat_1_v5_gn_2_59820.3, Lsat_1_v5_gn_2_59820.1, Lsat_1_v5_gn_2_59820.2, Lsat_1_v5_gn_8_107621.1, Lsat_1_v5_gn_9_9820.3, Lsat_1_v5_gn_9_9820.1, Lsat_1_v5_gn_8_30141.1, Lsat_1_v5_gn_8_30141.3
OG0003504	Bevul.5G253400.1.p	Lsat_1_v5_gn_8_165821.3, Lsat_1_v5_gn_8_165821.1
OG0003505	Bevul.3G028100.1.p, Bevul.3G028000.1.p	Lsat_1_v5_gn_1_20880.1, Lsat_1_v5_gn_1_20880.3, Lsat_1_v5_gn_2_67061.3, Lsat_1_v5_gn_2_67061.1, Lsat_1_v5_gn_1_20100.1, Lsat_1_v5_gn_1_20740.1
OG0003506	Bevul.3G191300.1.p	Lsat_1_v5_gn_9_27420.3, Lsat_1_v5_gn_9_27420.1, Lsat_1_v5_gn_8_80200.4, Lsat_1_v5_gn_8_86081.1, Lsat_1_v5_gn_9_103221.1, Lsat_1_v5_gn_9_103221.2
OG0003526	Bevul.8G008000.1.p	Lsat_1_v5_gn_5_176920.1, Lsat_1_v5_gn_5_176920.2
OG0003527	Bevul.8G016700.1.p, Bevul.2G046900.1.p	Lsat_1_v5_gn_1_97840.3, Lsat_1_v5_gn_1_97840.1
OG0003528	Bevul.1G218800.1.p, Bevul.7G000100.1.p	Lsat_1_v5_gn_9_40081.1, Lsat_1_v5_gn_8_108400.2, Lsat_1_v5_gn_8_108400.1
OG0003529	Bevul.7G177100.1.p	Lsat_1_v5_gn_6_38401.1, Lsat_1_v5_gn_6_38401.2, Lsat_1_v5_gn_8_23480.1, Lsat_1_v5_gn_7_24261.1
OG0003530	Bevul.3G153300.1.p	Lsat_1_v5_gn_5_50001.1, Lsat_1_v5_gn_5_50001.3, Lsat_1_v5_gn_5_51120.1, Lsat_1_v5_gn_5_51120.3, Lsat_1_v5_gn_5_51020.1, Lsat_1_v5_gn_5_50820.1, Lsat_1_v5_gn_5_50121.1, Lsat_1_v5_gn_5_50201.3, Lsat_1_v5_gn_5_50201.1, Lsat_1_v5_gn_5_50161.1, Lsat_1_v5_gn_5_50161.2
OG0003531	Bevul.3G154700.1.p	Lsat_1_v5_gn_2_72960.1, Lsat_1_v5_gn_2_72960.3, Lsat_1_v5_gn_6_15121.1, Lsat_1_v5_gn_6_15121.5, Lsat_1_v5_gn_6_15121.3, Lsat_1_v5_gn_5_53581.3, Lsat_1_v5_gn_5_53581.1
OG0003532	Bevul.8G165100.1.p, Bevul.7G005000.6.p, Bevul.7G005000.5.p, Bevul.7G005000.3.p, Bevul.7G005000.4.p, Bevul.7G005000.1.p, Bevul.7G005000.8.p, Bevul.7G005000.9.p, Bevul.7G005000.2.p, Bevul.7G005000.7.p	Lsat_1_v5_gn_2_110500.1
OG0003533	Bevul.4G143600.1.p	Lsat_1_v5_gn_0_840.1, Lsat_1_v5_gn_0_840.2, Lsat_1_v5_gn_8_29340.1, Lsat_1_v5_gn_8_29340.3, Lsat_1_v5_gn_8_29340.2
OG0003534	Bevul.4G150600.1.p	Lsat_1_v5_gn_8_116041.1
OG0003535	Bevul.4G098800.1.p	Lsat_1_v5_gn_8_17860.1, Lsat_1_v5_gn_8_17860.3, Lsat_1_v5_gn_2_103201.1
OG0003536	Bevul.3G194300.1.p	Lsat_1_v5_gn_9_28720.1, Lsat_1_v5_gn_5_161621.1, Lsat_1_v5_gn_5_161621.4
OG0003537	Bevul.5G237200.1.p, Bevul.3G144500.1.p	Lsat_1_v5_gn_5_184680.1, Lsat_1_v5_gn_5_184680.2, Lsat_1_v5_gn_8_57181.1, Lsat_1_v5_gn_9_7421.1
OG0003538	Bevul.9G100200.2.p, Bevul.9G100200.1.p, Bevul.9G100200.3.p	Lsat_1_v5_gn_2_109700.4, Lsat_1_v5_gn_5_179521.2, Lsat_1_v5_gn_5_179521.1, Lsat_1_v5_gn_5_179521.3
OG0003539	Bevul.4G127700.1.p	Lsat_1_v5_gn_7_52100.1, Lsat_1_v5_gn_2_16061.3, Lsat_1_v5_gn_2_16061.2, Lsat_1_v5_gn_2_16061.1
OG0003540	Bevul.7G223800.1.p	Lsat_1_v5_gn_5_174801.1, Lsat_1_v5_gn_5_174801.2
OG0003540	Bevul.7G008300.1.p	Lsat_1_v5_gn_5_150120.1, Lsat_1_v5_gn_5_150120.3
OG0003541	Bevul.3G188300.1.p	Lsat_1_v5_gn_9_28441.1, Lsat_1_v5_gn_9_28441.2, Lsat_1_v5_gn_9_28441.3, Lsat_1_v5_gn_8_79420.1, Lsat_1_v5_gn_8_79420.2
OG0003543	Bevul.3G074000.1.p	Lsat_1_v5_gn_2_131641.3, Lsat_1_v5_gn_2_131641.1, Lsat_1_v5_gn_2_131641.2, Lsat_1_v5_gn_8_7001.2, Lsat_1_v5_gn_8_7001.1, Lsat_1_v5_gn_9_54240.2, Lsat_1_v5_gn_9_54240.3, Lsat_1_v5_gn_9_54240.1
OG0003545	Bevul.2G243400.2.p, Bevul.2G243400.1.p	Lsat_1_v5_gn_2_123560.1, Lsat_1_v5_gn_2_123560.2
OG0003545	Bevul.7G189000.1.p	Lsat_1_v5_gn_5_171201.1
OG0003546	Bevul.3G128200.1.p	Lsat_1_v5_gn_3_123940.2, Lsat_1_v5_gn_3_123940.1
OG0003547	Bevul.7G125300.1.p	Lsat_1_v5_gn_5_180300.1, Lsat_1_v5_gn_8_89921.1
OG0003548	Bevul.5G233100.1.p	Lsat_1_v5_gn_9_6280.1, Lsat_1_v5_gn_8_56781.1
OG0003549	Bevul.4G225500.1.p	Lsat_1_v5_gn_2_32240.1, Lsat_1_v5_gn_2_32240.3
OG0003551	Bevul.7G124800.1.p	Lsat_1_v5_gn_8_90001.1, Lsat_1_v5_gn_8_90001.2, Lsat_1_v5_gn_5_179460.1
OG0003552	Bevul.1G032900.1.p	Lsat_1_v5_gn_2_102601.3, Lsat_1_v5_gn_2_102601.1, Lsat_1_v5_gn_2_102541.1, Lsat_1_v5_gn_2_6821.1, Lsat_1_v5_gn_2_102621.1, Lsat_1_v5_gn_2_102500.1, Lsat_1_v5_gn_2_102500.2, Lsat_1_v5_gn_2_102500.5, Lsat_1_v5_gn_2_6840.1
OG0003553	Bevul.5G259300.1.p	Lsat_1_v5_gn_8_167361.1, Lsat_1_v5_gn_8_167361.2
OG0003554	Bevul.4G165000.1.p	Lsat_1_v5_gn_5_40480.3, Lsat_1_v5_gn_5_40480.1
OG0003555	Bevul.5G098400.1.p	Lsat_1_v5_gn_3_21081.1, Lsat_1_v5_gn_3_21081.3
OG0003556	Bevul.3G230800.1.p	Lsat_1_v5_gn_2_49120.1, Lsat_1_v5_gn_2_49120.2
OG0003558	Bevul.9G203400.1.p	Lsat_1_v5_gn_5_186601.1, Lsat_1_v5_gn_5_130581.2, Lsat_1_v5_gn_5_130581.1, Lsat_1_v5_gn_5_130141.1, Lsat_1_v5_gn_5_130141.2
OG0003559	Bevul.4G103400.1.p	Lsat_1_v5_gn_8_24480.1, Lsat_1_v5_gn_8_24480.2
OG0003560	Bevul.5G239500.1.p	Lsat_1_v5_gn_9_7940.1, Lsat_1_v5_gn_5_184780.1, Lsat_1_v5_gn_5_184780.3
OG0003561	Bevul.2G002100.3.p, Bevul.2G002100.4.p, Bevul.2G002100.1.p, Bevul.2G002100.2.p, Bevul.2G002100.5.p	Lsat_1_v5_gn_9_40241.1, Lsat_1_v5_gn_9_40241.3
OG0003562	Bevul.2G227000.1.p	Lsat_1_v5_gn_2_32301.1, Lsat_1_v5_gn_2_118081.1
OG0003563	Bevul.5G053100.1.p	Lsat_1_v5_gn_9_35001.1, Lsat_1_v5_gn_9_35001.3, Lsat_1_v5_gn_8_101001.2, Lsat_1_v5_gn_8_101001.1
OG0003564	Bevul.5G247300.1.p	Lsat_1_v5_gn_9_8660.1, Lsat_1_v5_gn_8_91140.1
OG0003564	Bevul.3G011700.1.p	Lsat_1_v5_gn_5_64120.2, Lsat_1_v5_gn_5_64120.1
OG0003565	Bevul.2G157300.1.p	Lsat_1_v5_gn_4_32481.1, Lsat_1_v5_gn_1_50180.1
OG0003566	Bevul.9G027300.2.p, Bevul.9G027300.3.p, Bevul.9G027300.1.p	Lsat_1_v5_gn_5_115460.1, Lsat_1_v5_gn_5_115440.2, Lsat_1_v5_gn_5_115440.1, Lsat_1_v5_gn_4_41160.1, Lsat_1_v5_gn_5_90120.1, Lsat_1_v5_gn_5_90120.2
OG0003567	Bevul.6G225800.1.p, Bevul.9G216900.1.p	Lsat_1_v5_gn_5_110901.1, Lsat_1_v5_gn_9_113681.1
OG0003568	Bevul.8G163200.1.p, Bevul.8G163100.1.p	Lsat_1_v5_gn_8_60480.1, Lsat_1_v5_gn_8_60440.1, Lsat_1_v5_gn_7_47820.1, Lsat_1_v5_gn_7_47800.1
OG0003569	Bevul.1G072300.1.p	Lsat_1_v5_gn_4_136181.1
OG0003570	Bevul.6G097200.1.p	Lsat_1_v5_gn_5_44521.1
OG0003571	Bevul.9G161100.1.p	Lsat_1_v5_gn_2_78480.1
OG0003572	Bevul.6G015900.1.p	Lsat_1_v5_gn_3_86600.1, Lsat_1_v5_gn_3_86600.2
OG0003573	Bevul.6G015800.1.p	Lsat_1_v5_gn_4_160081.1, Lsat_1_v5_gn_4_160081.2
OG0003573	Bevul.1G009700.1.p	Lsat_1_v5_gn_9_79200.1
OG0003574	Bevul.7G186400.1.p	Lsat_1_v5_gn_6_95701.1, Lsat_1_v5_gn_6_95701.2, Lsat_1_v5_gn_0_9581.3, Lsat_1_v5_gn_0_9581.1, Lsat_1_v5_gn_8_3821.1
OG0003575	Bevul.3G231900.1.p	Lsat_1_v5_gn_9_116381.1
OG0003576	Bevul.4G208500.1.p	Lsat_1_v5_gn_9_112301.1
OG0003578	Bevul.1G202500.1.p	Lsat_1_v5_gn_5_67120.1, Lsat_1_v5_gn_5_67120.3
OG0003579	Bevul.1G174300.1.p	Lsat_1_v5_gn_4_115701.1
OG0003580	Bevul.2G208500.1.p	Lsat_1_v5_gn_4_58100.1
OG0003581	Bevul.5G234200.1.p, Bevul.6G130700.1.p, Bevul.5G234300.1.p	Lsat_1_v5_gn_9_112421.2, Lsat_1_v5_gn_9_112421.1, Lsat_1_v5_gn_7_85621.2, Lsat_1_v5_gn_7_85621.1, Lsat_1_v5_gn_1_37961.1
OG0003582	Bevul.9G198500.1.p, Bevul.9G198500.3.p, Bevul.9G198500.2.p, Bevul.4G091900.1.p	Lsat_1_v5_gn_7_13481.2, Lsat_1_v5_gn_7_13481.1, Lsat_1_v5_gn_4_62720.1
OG0003583	Bevul.9G217500.1.p	Lsat_1_v5_gn_6_107080.1, Lsat_1_v5_gn_9_113821.1, Lsat_1_v5_gn_7_82961.1, Lsat_1_v5_gn_4_158201.1, Lsat_1_v5_gn_3_83600.1
OG0003584	Bevul.9G149100.1.p	Lsat_1_v5_gn_9_116761.1, Lsat_1_v5_gn_9_116761.3, Lsat_1_v5_gn_9_115140.1, Lsat_1_v5_gn_5_108740.1
OG0003585	Bevul.8G113100.1.p	Lsat_1_v5_gn_9_112361.1, Lsat_1_v5_gn_9_112361.3, Lsat_1_v5_gn_7_85601.1, Lsat_1_v5_gn_7_85601.2
OG0003586	Bevul.6G060500.1.p	Lsat_1_v5_gn_3_63001.1, Lsat_1_v5_gn_2_70201.1, Lsat_1_v5_gn_2_70201.2, Lsat_1_v5_gn_2_70201.3
OG0003587	Bevul.1G000700.1.p	Lsat_1_v5_gn_5_27561.2, Lsat_1_v5_gn_5_27561.1, Lsat_1_v5_gn_1_18841.3, Lsat_1_v5_gn_1_18841.1
OG0003588	Bevul.4G222600.1.p	Lsat_1_v5_gn_3_5380.3, Lsat_1_v5_gn_3_5380.2, Lsat_1_v5_gn_3_5380.1
OG0003589	Bevul.9G212200.1.p, Bevul.9G212200.2.p	Lsat_1_v5_gn_9_115681.2, Lsat_1_v5_gn_9_115681.3, Lsat_1_v5_gn_9_115681.1
OG0003590	Bevul.9G231700.4.p, Bevul.9G231700.3.p, Bevul.9G231700.2.p, Bevul.9G231700.1.p, Bevul.9G231800.1.p	Lsat_1_v5_gn_2_5441.1, Lsat_1_v5_gn_5_116340.2, Lsat_1_v5_gn_5_116340.1, Lsat_1_v5_gn_5_116340.5, Lsat_1_v5_gn_5_116360.1, Lsat_1_v5_gn_9_111920.1
OG0003591	Bevul.4G243200.1.p	Lsat_1_v5_gn_2_101240.1, Lsat_1_v5_gn_6_49181.1, Lsat_1_v5_gn_6_49181.2
OG0003591	Bevul.3G183000.1.p	Lsat_1_v5_gn_5_163380.1
OG0003592	Bevul.1G005800.1.p	Lsat_1_v5_gn_4_129301.1, Lsat_1_v5_gn_1_23380.1
OG0003593	Bevul.1G144300.1.p	Lsat_1_v5_gn_1_82341.3, Lsat_1_v5_gn_1_82341.1
OG0003593	Bevul.6G058300.1.p	Lsat_1_v5_gn_4_138020.1
OG0003594	Bevul.1G100900.1.p	Lsat_1_v5_gn_1_3881.2, Lsat_1_v5_gn_1_3881.1, Lsat_1_v5_gn_1_3881.3, Lsat_1_v5_gn_9_41700.1
OG0003595	Bevul.7G130400.1.p, Bevul.9G119200.3.p, Bevul.9G119200.5.p, Bevul.9G119200.1.p, Bevul.9G119200.6.p, Bevul.9G119200.2.p, Bevul.9G119200.4.p	Lsat_1_v5_gn_9_25720.2, Lsat_1_v5_gn_9_25720.1, Lsat_1_v5_gn_5_170960.1
OG0003596	Bevul.6G075900.1.p	Lsat_1_v5_gn_2_73920.1
OG0003597	Bevul.1G008900.1.p, Bevul.9G223800.1.p, Bevul.9G223800.2.p	Lsat_1_v5_gn_7_84920.3, Lsat_1_v5_gn_7_84920.1
OG0003598	Bevul.3G023600.1.p	Lsat_1_v5_gn_6_115420.1, Lsat_1_v5_gn_6_115420.3, Lsat_1_v5_gn_4_75560.1, Lsat_1_v5_gn_1_43881.1
OG0003599	Bevul.6G012200.1.p	Lsat_1_v5_gn_2_82860.3, Lsat_1_v5_gn_2_82860.1
OG0003600	Bevul.4G186700.1.p	Lsat_1_v5_gn_5_30740.1
OG0003601	Bevul.6G068900.1.p	Lsat_1_v5_gn_5_43700.2, Lsat_1_v5_gn_5_43700.1
OG0003602	Bevul.6G033800.1.p	Lsat_1_v5_gn_7_4361.4, Lsat_1_v5_gn_8_40821.2, Lsat_1_v5_gn_7_4361.1, Lsat_1_v5_gn_7_4361.3, Lsat_1_v5_gn_7_4361.2, Lsat_1_v5_gn_8_40821.3, Lsat_1_v5_gn_8_40821.1
OG0003603	Bevul.6G018000.1.p	Lsat_1_v5_gn_2_80541.2, Lsat_1_v5_gn_2_80541.1, Lsat_1_v5_gn_2_80541.3, Lsat_1_v5_gn_4_158301.1, Lsat_1_v5_gn_3_85440.1
OG0003604	Bevul.1G185900.1.p	Lsat_1_v5_gn_5_108040.1, Lsat_1_v5_gn_5_108040.2, Lsat_1_v5_gn_7_2481.1, Lsat_1_v5_gn_7_2481.2, Lsat_1_v5_gn_7_2481.3
OG0003606	Bevul.9G081300.1.p, Bevul.8G019700.1.p	Lsat_1_v5_gn_8_137081.1
OG0003607	Bevul.4G227600.1.p	Lsat_1_v5_gn_2_29420.1, Lsat_1_v5_gn_2_29420.3, Lsat_1_v5_gn_2_29420.2
OG0003608	Bevul.8G004400.1.p	Lsat_1_v5_gn_1_90600.2, Lsat_1_v5_gn_1_90600.1
OG0003609	Bevul.8G171700.1.p	Lsat_1_v5_gn_7_43761.1, Lsat_1_v5_gn_7_43761.2
OG0003610	Bevul.8G005600.1.p	Lsat_1_v5_gn_8_141080.1
OG0003611	Bevul.8G049800.1.p	Lsat_1_v5_gn_7_15260.4, Lsat_1_v5_gn_7_15260.2, Lsat_1_v5_gn_7_93140.1
OG0003612	Bevul.6G210200.1.p	Lsat_1_v5_gn_6_8840.3, Lsat_1_v5_gn_6_8840.1
OG0003613	Bevul.2G155700.1.p	Lsat_1_v5_gn_1_45720.1
OG0003614	Bevul.1G021200.1.p, Bevul.3G119600.1.p, Bevul.3G119300.1.p	Lsat_1_v5_gn_1_77061.1
OG0003615	Bevul.5G248800.1.p	Lsat_1_v5_gn_8_92760.2, Lsat_1_v5_gn_8_92760.1
OG0003616	Bevul.9G077600.1.p	Lsat_1_v5_gn_7_104060.1, Lsat_1_v5_gn_3_37821.2, Lsat_1_v5_gn_3_37821.1
OG0003617	Bevul.7G020500.1.p, Bevul.2G114600.1.p	Lsat_1_v5_gn_7_9821.1, Lsat_1_v5_gn_5_174200.3, Lsat_1_v5_gn_5_174200.1, Lsat_1_v5_gn_4_43380.1
OG0003618	Bevul.8G173700.1.p	Lsat_1_v5_gn_8_62220.1, Lsat_1_v5_gn_8_62220.3, Lsat_1_v5_gn_7_43900.2, Lsat_1_v5_gn_7_43900.1
OG0003619	Bevul.2G020300.7.p, Bevul.2G020300.10.p, Bevul.2G020300.8.p, Bevul.2G020300.6.p, Bevul.2G020300.9.p, Bevul.2G020300.1.p, Bevul.2G020300.3.p, Bevul.2G020300.2.p, Bevul.2G020300.4.p, Bevul.2G020300.5.p	Lsat_1_v5_gn_5_32220.3
OG0003620	Bevul.8G176800.1.p	Lsat_1_v5_gn_7_45180.3, Lsat_1_v5_gn_7_45180.1, Lsat_1_v5_gn_5_95820.1
OG0003622	Bevul.5G040500.1.p	Lsat_1_v5_gn_8_138880.3, Lsat_1_v5_gn_8_138880.4, Lsat_1_v5_gn_8_138880.1, Lsat_1_v5_gn_8_138880.2
OG0003623	Bevul.8G162700.1.p	Lsat_1_v5_gn_8_63140.1, Lsat_1_v5_gn_8_63140.4
OG0003624	Bevul.7G154600.1.p	Lsat_1_v5_gn_4_88540.4, Lsat_1_v5_gn_4_88540.1, Lsat_1_v5_gn_5_137360.1
OG0003625	Bevul.1G126700.1.p	Lsat_1_v5_gn_3_135441.3, Lsat_1_v5_gn_3_135441.1, Lsat_1_v5_gn_4_37541.1
OG0003626	Bevul.3G094400.1.p	Lsat_1_v5_gn_2_127000.1, Lsat_1_v5_gn_8_9800.1
OG0003627	Bevul.2G123300.2.p, Bevul.2G123300.5.p, Bevul.2G123300.1.p, Bevul.2G123300.3.p, Bevul.2G123300.4.p, Bevul.2G123300.6.p	Lsat_1_v5_gn_3_25521.4
OG0003628	Bevul.2G036700.1.p, Bevul.3G227800.1.p	Lsat_1_v5_gn_8_87340.1, Lsat_1_v5_gn_5_146160.3, Lsat_1_v5_gn_7_38741.1, Lsat_1_v5_gn_5_146160.1, Lsat_1_v5_gn_5_146160.2, Lsat_1_v5_gn_7_38741.3, Lsat_1_v5_gn_8_87340.2, Lsat_1_v5_gn_8_87340.3, Lsat_1_v5_gn_7_38741.2
OG0003629	Bevul.2G178800.3.p, Bevul.2G178800.4.p, Bevul.2G178800.1.p, Bevul.2G178800.2.p	Lsat_1_v5_gn_6_21360.3, Lsat_1_v5_gn_6_21360.1, Lsat_1_v5_gn_5_29520.3, Lsat_1_v5_gn_5_29520.1
OG0003630	Bevul.5G002800.1.p, Bevul.6G206000.1.p	Lsat_1_v5_gn_6_3121.1
OG0003631	Bevul.5G066100.1.p	Lsat_1_v5_gn_6_92001.1, Lsat_1_v5_gn_6_91860.1, Lsat_1_v5_gn_6_91941.1, Lsat_1_v5_gn_6_91761.1, Lsat_1_v5_gn_6_17980.1
OG0003631	Bevul.9G208800.1.p	Lsat_1_v5_gn_5_134601.1
OG0003632	Bevul.9G200400.4.p, Bevul.9G200400.2.p, Bevul.9G200400.5.p, Bevul.9G200400.3.p, Bevul.9G200400.1.p, Bevul.9G200400.6.p	Lsat_1_v5_gn_1_34140.1
OG0003633	Bevul.3G033200.1.p, Bevul.5G060300.1.p	Lsat_1_v5_gn_2_135200.1, Lsat_1_v5_gn_2_135200.2
OG0003634	Bevul.2G128000.1.p	Lsat_1_v5_gn_6_15360.1, Lsat_1_v5_gn_5_56580.1, Lsat_1_v5_gn_5_56660.1, Lsat_1_v5_gn_5_56660.2
OG0003636	Bevul.9G116300.1.p	Lsat_1_v5_gn_1_36821.1, Lsat_1_v5_gn_5_134201.1, Lsat_1_v5_gn_5_134201.3
OG0003636	Bevul.8G202500.1.p	Lsat_1_v5_gn_5_145061.1
OG0003637	Bevul.8G164400.1.p	Lsat_1_v5_gn_4_86221.1, Lsat_1_v5_gn_4_86161.1, Lsat_1_v5_gn_4_86141.1, Lsat_1_v5_gn_6_69420.1
OG0003638	Bevul.3G040100.1.p	Lsat_1_v5_gn_9_58201.1
OG0003639	Bevul.8G192100.1.p	Lsat_1_v5_gn_5_103100.1
OG0003639	Bevul.9G205100.1.p	Lsat_1_v5_gn_4_102181.1, Lsat_1_v5_gn_5_130420.2, Lsat_1_v5_gn_5_130420.1
OG0003640	Bevul.6G166000.1.p	Lsat_1_v5_gn_6_69800.1, Lsat_1_v5_gn_6_69800.2, Lsat_1_v5_gn_1_40820.1, Lsat_1_v5_gn_1_40820.3
OG0003641	Bevul.2G038200.1.p, Bevul.2G038200.2.p, Bevul.2G038200.4.p, Bevul.1G207400.1.p	Lsat_1_v5_gn_2_3700.2, Lsat_1_v5_gn_2_3700.1
OG0003642	Bevul.5G042000.1.p	Lsat_1_v5_gn_6_88800.1, Lsat_1_v5_gn_6_88800.3, Lsat_1_v5_gn_3_5140.1
OG0003643	Bevul.3G038000.1.p	Lsat_1_v5_gn_2_136081.3, Lsat_1_v5_gn_2_136081.2
OG0003644	Bevul.5G219200.1.p	Lsat_1_v5_gn_4_77061.1, Lsat_1_v5_gn_5_14121.1
OG0003644	Bevul.6G180600.1.p	Lsat_1_v5_gn_4_4420.1, Lsat_1_v5_gn_4_4420.3
OG0003645	Bevul.1G183000.1.p	Lsat_1_v5_gn_4_35321.1, Lsat_1_v5_gn_4_35321.3, Lsat_1_v5_gn_7_4000.3, Lsat_1_v5_gn_7_4000.1
OG0003646	Bevul.8G170700.1.p	Lsat_1_v5_gn_8_61021.2, Lsat_1_v5_gn_8_61021.1, Lsat_1_v5_gn_8_61021.3
OG0003647	Bevul.8G210900.1.p	Lsat_1_v5_gn_8_67840.1
OG0003648	Bevul.1G176800.1.p, Bevul.1G176900.1.p	Lsat_1_v5_gn_7_4601.3, Lsat_1_v5_gn_7_4601.1
OG0003650	Bevul.2G003700.1.p	Lsat_1_v5_gn_5_52800.1, Lsat_1_v5_gn_5_52800.2
OG0003651	Bevul.1G188200.1.p	Lsat_1_v5_gn_3_10180.1
OG0003652	Bevul.8G035200.1.p	Lsat_1_v5_gn_1_130400.2, Lsat_1_v5_gn_1_130400.1, Lsat_1_v5_gn_4_64320.1, Lsat_1_v5_gn_4_65340.1
OG0003653	Bevul.8G090900.1.p	Lsat_1_v5_gn_7_28101.1, Lsat_1_v5_gn_7_28101.2
OG0003654	Bevul.6G244000.1.p	Lsat_1_v5_gn_1_48061.1
OG0003655	Bevul.8G016200.1.p	Lsat_1_v5_gn_7_103100.1
