Orthogroup	B_vulgaris.proteins	A_hypochondriacus.proteins
OG0004340	Bevul.2G085100.1.p	AH015890-RA
OG0004341	Bevul.5G137000.1.p	AH002993-RA
OG0004342	Bevul.9G098600.1.p, Bevul.6G135600.1.p	AH015872-RA
OG0004343	Bevul.2G044400.1.p	AH019169-RA, AH015693-RA
OG0004344	Bevul.7G035300.1.p, Bevul.1G062500.1.p	AH021852-RA
OG0004345	Bevul.5G131200.1.p	AH019089-RA, AH003007-RA
OG0004346	Bevul.4G056000.1.p	AH008423-RA
OG0004347	Bevul.2G229300.1.p	AH016425-RA, AH022974-RA
OG0004348	Bevul.4G208400.1.p	AH007449-RA, AH011149-RA
OG0004349	Bevul.7G094700.1.p	AH022121-RA, AH012932-RA
OG0004350	Bevul.7G060400.1.p	AH009071-RA, AH003312-RA, AH005939-RA, AH001110-RA, AH015635-RA, AH014042-RA, AH013836-RA, AH019382-RA, AH000938-RA, AH007206-RA, AH014137-RA
OG0004350	Bevul.9G083500.1.p	AH003470-RA
OG0004350	Bevul.4G128200.1.p, Bevul.4G117200.1.p	AH013840-RA
OG0004351	Bevul.3G157900.1.p	AH006986-RA, AH020207-RA
OG0004352	Bevul.7G023000.1.p	AH012587-RA, AH021804-RA
OG0004353	Bevul.5G259600.1.p	AH017276-RA
OG0004354	Bevul.3G231300.1.p	AH020568-RA
OG0004355	Bevul.4G216300.1.p	AH007485-RA
OG0004356	Bevul.4G205200.1.p	AH010494-RA
OG0004357	Bevul.7G094300.1.p	AH012964-RA, AH022104-RA
OG0004358	Bevul.3G168800.1.p	AH020240-RA
OG0004359	Bevul.4G110200.1.p	AH007799-RA
OG0004360	Bevul.2G039500.1.p	AH015661-RA
OG0004361	Bevul.7G128700.1.p	AH013100-RA
OG0004362	Bevul.5G111600.1.p	AH018879-RA
OG0004363	Bevul.2G014900.2.p, Bevul.2G014900.3.p, Bevul.2G014900.1.p	AH018979-RA
OG0004364	Bevul.3G203300.1.p	AH006725-RA, AH020425-RA
OG0004365	Bevul.2G169900.1.p	AH016231-RA
OG0004366	Bevul.5G252500.1.p	AH002681-RA, AH015318-RA
OG0004368	Bevul.3G179200.1.p	AH020304-RA
OG0004369	Bevul.4G201000.1.p	AH010534-RA
OG0004370	Bevul.3G209500.1.p	AH020445-RA, AH006679-RA
OG0004370	Bevul.2G039800.3.p, Bevul.2G039800.2.p, Bevul.2G039800.1.p	AH018965-RA
OG0004371	Bevul.6G005400.1.p	AH003944-RA
OG0004372	Bevul.1G172200.1.p	AH008928-RA
OG0004373	Bevul.9G180500.1.p	AH000254-RA
OG0004374	Bevul.9G237300.1.p	AH001651-RA
OG0004375	Bevul.1G027500.1.p, Bevul.6G062900.1.p, Bevul.6G063400.1.p	AH003618-RA
OG0004376	Bevul.6G151700.1.p	AH004049-RA
OG0004377	Bevul.2G032800.1.p	AH015637-RA
OG0004378	Bevul.9G232400.1.p	AH001686-RA
OG0004379	Bevul.1G021000.1.p	AH000057-RA
OG0004380	Bevul.1G010200.1.p	AH008370-RA
OG0004381	Bevul.9G171000.2.p, Bevul.9G171000.1.p	AH000569-RA
OG0004382	Bevul.8G119300.1.p, Bevul.4G186100.1.p	AH010359-RA
OG0004383	Bevul.1G163100.1.p	AH023630-RA
OG0004384	Bevul.6G208600.1.p, Bevul.2G178700.1.p	AH005167-RA, AH005170-RA
OG0004385	Bevul.6G051600.1.p	AH006342-RA
OG0004386	Bevul.7G110300.1.p	AH022048-RA
OG0004387	Bevul.9G216400.1.p, Bevul.9G216400.2.p, Bevul.9G216400.3.p	AH002418-RA
OG0004388	Bevul.1G004900.1.p	AH022016-RA
OG0004389	Bevul.6G074500.1.p	AH003592-RA
OG0004390	Bevul.9G071500.1.p	AH015975-RA, AH023468-RA
OG0004391	Bevul.1G171300.1.p	AH008922-RA
OG0004392	Bevul.9G141900.1.p, Bevul.9G141900.2.p, Bevul.9G141900.3.p, Bevul.9G141900.4.p	AH002226-RA
OG0004393	Bevul.2G191700.1.p	AH016638-RA
OG0004394	Bevul.6G059300.1.p	AH003651-RA, AH005663-RA
OG0004394	Bevul.1G119000.1.p	AH008878-RA
OG0004395	Bevul.1G062900.1.p	AH008586-RA
OG0004396	Bevul.4G183000.1.p	AH003265-RA
OG0004397	Bevul.6G073100.1.p	AH005958-RA
OG0004399	Bevul.4G182700.1.p	AH010376-RA
OG0004401	Bevul.3G092400.1.p	AH010161-RA
OG0004402	Bevul.6G097000.1.p	AH003969-RA
OG0004403	Bevul.6G226600.1.p	AH004987-RA
OG0004404	Bevul.2G032700.4.p, Bevul.2G032700.3.p, Bevul.2G032700.2.p, Bevul.2G032700.6.p, Bevul.2G032700.5.p, Bevul.2G032700.1.p	AH014545-RA
OG0004405	Bevul.9G151400.3.p, Bevul.9G151400.4.p, Bevul.9G151400.5.p, Bevul.9G151400.1.p, Bevul.9G151400.2.p	AH000936-RA
OG0004406	Bevul.8G195900.1.p	AH020873-RA
OG0004406	Bevul.2G237500.1.p	AH023042-RA, AH016394-RA
OG0004408	Bevul.1G089400.1.p	AH008646-RA
OG0004409	Bevul.9G183400.1.p, Bevul.9G183400.5.p, Bevul.9G183400.3.p, Bevul.9G183400.4.p, Bevul.9G183400.2.p	AH001907-RA
OG0004410	Bevul.6G118100.1.p	AH006787-RA
OG0004411	Bevul.2G149300.1.p	AH017140-RA
OG0004412	Bevul.5G075000.1.p	AH011412-RA, AH018266-RA
OG0004414	Bevul.2G001400.2.p, Bevul.2G001400.4.p, Bevul.2G001400.5.p, Bevul.2G001400.3.p, Bevul.2G001400.1.p	AH011953-RA
OG0004415	Bevul.2G216900.1.p, Bevul.2G216900.2.p	AH022900-RA, AH016503-RA
OG0004416	Bevul.4G090900.1.p	AH010275-RA
OG0004417	Bevul.4G057100.1.p	AH010016-RA
OG0004418	Bevul.2G088700.8.p, Bevul.2G088700.6.p, Bevul.2G088700.3.p, Bevul.2G088700.5.p, Bevul.2G088700.4.p, Bevul.2G088700.2.p, Bevul.2G088700.7.p, Bevul.2G088700.1.p	AH023409-RA
OG0004419	Bevul.9G118900.1.p	AH000726-RA
OG0004420	Bevul.4G012900.1.p	AH008269-RA
OG0004421	Bevul.4G100000.1.p	AH010262-RA, AH007907-RA
OG0004422	Bevul.4G033800.1.p	AH008197-RA
OG0004423	Bevul.9G075800.2.p, Bevul.9G075800.1.p	AH000331-RA
OG0004424	Bevul.8G090500.1.p	AH014707-RA
OG0004424	Bevul.4G090100.1.p	AH007945-RA
OG0004425	Bevul.9G069100.2.p, Bevul.9G069100.1.p	AH000445-RA, AH001260-RA
OG0004426	Bevul.3G066700.1.p	AH012426-RA
OG0004427	Bevul.3G074300.1.p	AH012375-RA
OG0004427	Bevul.2G187700.1.p	AH019485-RA, AH016635-RA
OG0004429	Bevul.5G197400.1.p, Bevul.2G133100.1.p	AH016024-RA
OG0004430	Bevul.9G200300.1.p	AH002036-RA
OG0004431	Bevul.3G050700.1.p	AH019605-RA
OG0004431	Bevul.4G008700.1.p	AH009774-RA, AH012100-RA
OG0004432	Bevul.8G143300.1.p	AH021095-RA, AH014327-RA
OG0004433	Bevul.9G206400.1.p	AH002094-RA
OG0004433	Bevul.8G194800.1.p	AH014522-RA
OG0004434	Bevul.7G162500.1.p	AH013428-RA
OG0004436	Bevul.9G061200.1.p	AH005298-RA, AH005088-RA
OG0004437	Bevul.9G193200.1.p	AH001980-RA
OG0004437	Bevul.8G176300.1.p	AH014097-RA
OG0004438	Bevul.2G163500.1.p	AH023315-RA
OG0004438	Bevul.8G195500.1.p	AH014517-RA
OG0004439	Bevul.2G156800.1.p	AH005148-RA
OG0004440	Bevul.2G151700.2.p, Bevul.2G151700.3.p, Bevul.2G151700.1.p, Bevul.2G151700.4.p	AH016121-RA
OG0004441	Bevul.6G086000.1.p	AH016153-RA
OG0004442	Bevul.3G051500.1.p	AH019603-RA, AH012107-RA
OG0004443	Bevul.1G177900.1.p, Bevul.7G015500.1.p	AH009686-RA
OG0004444	Bevul.9G226800.1.p	AH000650-RA
OG0004445	Bevul.2G120800.2.p, Bevul.2G120800.4.p, Bevul.2G120800.3.p, Bevul.2G120800.1.p	AH017006-RA
OG0004446	Bevul.6G239200.1.p, Bevul.5G192200.1.p	AH002806-RA, AH004590-RA, AH005080-RA
OG0004447	Bevul.4G232400.1.p, Bevul.4G231800.1.p, Bevul.8G212300.1.p	AH014394-RA
OG0004448	Bevul.1G137400.1.p	AH009078-RA
OG0004449	Bevul.2G174900.1.p, Bevul.7G105800.1.p	AH023249-RA
OG0004450	Bevul.8G122900.1.p	AH014255-RA
OG0004451	Bevul.7G171400.1.p	AH013359-RA
OG0004452	Bevul.8G120300.1.p	AH014351-RA
OG0004453	Bevul.9G022100.1.p	AH000052-RA
OG0004454	Bevul.4G222100.1.p	AH015484-RA
OG0004454	Bevul.3G089300.1.p	AH012211-RA
OG0004455	Bevul.1G198800.1.p	AH009496-RA
OG0004456	Bevul.1G136300.1.p	AH009084-RA
OG0004457	Bevul.5G169800.1.p	AH002916-RA
OG0004458	Bevul.9G194200.1.p	AH001991-RA
OG0004458	Bevul.8G181100.1.p	AH014072-RA
OG0004459	Bevul.3G031300.1.p	AH019719-RA, AH011933-RA
OG0004460	Bevul.2G015800.1.p	AH019199-RA
OG0004461	Bevul.8G185200.1.p	AH020794-RA, AH020793-RA
OG0004462	Bevul.1G143300.1.p	AH009040-RA
OG0004463	Bevul.5G043000.1.p	AH018741-RA
OG0004464	Bevul.2G159800.2.p, Bevul.2G159800.1.p, Bevul.2G159800.4.p, Bevul.2G159800.3.p	AH022645-RA, AH022646-RA, AH022647-RA
OG0004465	Bevul.2G149400.1.p	AH017139-RA
OG0004465	Bevul.2G149500.2.p, Bevul.2G149500.1.p	AH016109-RA
OG0004465	Bevul.2G149600.1.p, Bevul.2G149700.1.p	AH017118-RA
OG0004466	Bevul.3G100000.1.p	AH022668-RA
OG0004467	Bevul.8G132000.1.p	AH020572-RA, AH014208-RA
OG0004468	Bevul.3G090800.1.p	AH012200-RA
OG0004469	Bevul.7G160200.1.p	AH022298-RA
OG0004470	Bevul.7G232400.1.p	AH013296-RA, AH022388-RA
OG0004471	Bevul.8G159800.1.p	AH020605-RA, AH020622-RA
OG0004472	Bevul.1G148900.1.p	AH009328-RA
OG0004474	Bevul.9G170500.1.p	AH001810-RA
OG0004475	Bevul.3G049200.1.p	AH008902-RA
OG0004476	Bevul.8G091600.1.p	AH014704-RA
OG0004477	Bevul.4G087800.1.p	AH007957-RA
OG0004478	Bevul.8G022600.1.p	AH015247-RA, AH021672-RA
OG0004479	Bevul.1G049100.1.p	AH016929-RA
OG0004480	Bevul.7G220100.1.p	AH022450-RA
OG0004480	Bevul.2G112400.2.p, Bevul.2G112400.1.p	AH015932-RA
OG0004481	Bevul.8G034600.1.p	AH015098-RA, AH021616-RA
OG0004482	Bevul.2G244400.2.p, Bevul.2G244400.1.p	AH023111-RA
OG0004483	Bevul.7G199600.1.p	AH013746-RA
OG0004485	Bevul.9G101900.1.p	AH001455-RA
OG0004486	Bevul.7G052800.5.p, Bevul.7G052800.2.p, Bevul.7G052800.1.p, Bevul.7G052800.4.p, Bevul.7G052800.3.p	AH022009-RA
OG0004487	Bevul.8G046700.1.p	AH021900-RA
OG0004488	Bevul.9G045800.1.p	AH000193-RA
OG0004489	Bevul.1G015100.1.p	AH006887-RA
OG0004491	Bevul.5G110100.1.p	AH018870-RA
OG0004491	Bevul.1G079200.1.p, Bevul.1G079000.1.p	AH008454-RA, AH008455-RA
OG0004492	Bevul.6G206200.1.p	AH005187-RA, AH004541-RA
OG0004493	Bevul.2G188400.1.p	AH016661-RA
OG0004494	Bevul.8G056100.1.p	AH021504-RA
OG0004495	Bevul.2G038600.1.p	AH020286-RA
OG0004496	Bevul.9G075700.1.p	AH000332-RA, AH001339-RA
OG0004497	Bevul.4G238500.1.p, Bevul.4G237500.1.p	AH011010-RA
OG0004498	Bevul.2G188200.1.p	AH015301-RA
OG0004499	Bevul.4G092000.1.p, Bevul.3G172700.1.p	AH010277-RA
OG0004500	Bevul.7G212800.1.p, Bevul.4G058500.1.p	AH013144-RA
OG0004501	Bevul.9G102200.4.p, Bevul.9G102200.2.p, Bevul.9G102200.3.p, Bevul.9G102200.1.p, Bevul.9G102200.5.p	AH001457-RA
OG0004502	Bevul.5G116400.1.p	AH023458-RA
OG0004502	Bevul.5G116300.1.p	AH018905-RA
OG0004503	Bevul.4G101000.1.p	AH007926-RA
OG0004504	Bevul.5G036400.1.p	AH018699-RA
OG0004505	Bevul.8G054000.1.p	AH014994-RA, AH021499-RA
OG0004506	Bevul.2G237400.1.p, Bevul.2G237300.1.p	AH023043-RA
OG0004507	Bevul.6G105700.1.p	AH006472-RA
OG0004508	Bevul.8G106500.1.p	AH014598-RA
OG0004509	Bevul.3G213400.1.p	AH006648-RA
OG0004510	Bevul.7G130500.1.p	AH013115-RA
OG0004511	Bevul.6G060700.1.p	AH003641-RA, AH005651-RA
OG0004512	Bevul.1G070200.1.p	AH008540-RA
OG0004513	Bevul.3G155100.1.p	AH007012-RA, AH020211-RA
OG0004514	Bevul.6G093100.1.p	AH005899-RA, AH003947-RA
OG0004515	Bevul.4G210400.1.p	AH007435-RA, AH011167-RA
OG0004516	Bevul.6G052500.1.p	AH006222-RA
OG0004517	Bevul.3G028300.1.p	AH014734-RA
OG0004518	Bevul.7G170500.1.p	AH013366-RA
OG0004519	Bevul.5G165700.1.p	AH017412-RA
OG0004519	Bevul.5G165800.1.p	AH002937-RA
OG0004520	Bevul.9G199800.1.p	AH008600-RA
OG0004521	Bevul.1G008000.1.p	AH008386-RA
OG0004522	Bevul.1G166400.1.p	AH009245-RA
OG0004523	Bevul.1G181500.1.p	AH009650-RA
OG0004524	Bevul.1G153900.1.p	AH009273-RA
OG0004525	Bevul.6G004000.1.p	AH006120-RA
OG0004526	Bevul.3G166900.1.p	AH020220-RA
OG0004527	Bevul.6G166700.1.p	AH005254-RA, AH004261-RA
OG0004528	Bevul.3G010900.1.p	AH007223-RA
OG0004528	Bevul.4G131100.1.p	AH010755-RA
OG0004529	Bevul.7G114900.1.p	AH021898-RA, AH013004-RA
OG0004530	Bevul.9G118700.1.p, Bevul.9G118700.2.p	AH002412-RA
OG0004530	Bevul.1G111000.1.p	AH008805-RA
OG0004531	Bevul.6G202400.1.p	AH005215-RA
OG0004531	Bevul.6G038000.1.p	AH006395-RA
OG0004532	Bevul.7G068500.2.p, Bevul.7G068500.1.p	AH021926-RA
OG0004533	Bevul.3G088000.1.p, Bevul.3G088100.1.p, Bevul.3G087900.1.p	AH019459-RA, AH012263-RA
OG0004533	Bevul.3G087800.1.p	AH019464-RA
OG0004534	Bevul.9G031200.1.p, Bevul.9G031200.7.p, Bevul.9G031200.11.p, Bevul.9G031200.4.p, Bevul.9G031200.10.p, Bevul.9G031200.5.p, Bevul.9G031200.2.p, Bevul.9G031200.6.p, Bevul.9G031200.3.p, Bevul.9G031200.9.p, Bevul.9G031200.8.p	AH000147-RA
OG0004535	Bevul.5G241900.1.p	AH002611-RA, AH017770-RA
OG0004536	Bevul.2G100700.1.p	AH023465-RA
OG0004536	Bevul.8G127800.1.p	AH014233-RA
OG0004537	Bevul.7G116700.1.p	AH013012-RA
OG0004538	Bevul.2G105900.3.p, Bevul.2G105900.1.p, Bevul.2G105900.2.p	AH012935-RA
OG0004539	Bevul.9G143900.1.p	AH000882-RA, AH000883-RA
OG0004540	Bevul.4G239300.1.p	AH010944-RA
OG0004541	Bevul.5G204100.1.p	AH017336-RA
OG0004541	Bevul.2G220800.1.p	AH013932-RA, AH022945-RA, AH016478-RA
OG0004542	Bevul.7G188600.1.p	AH016679-RA
OG0004543	Bevul.5G041600.1.p	AH003137-RA
OG0004544	Bevul.6G053400.1.p	AH003505-RA
OG0004544	Bevul.1G026100.1.p, Bevul.3G233900.1.p	AH023667-RA
OG0004545	Bevul.6G003000.1.p	AH006109-RA
OG0004545	Bevul.5G048300.1.p	AH018781-RA
OG0004546	Bevul.9G135500.1.p	AH002271-RA, AH002273-RA
OG0004548	Bevul.1G208200.1.p	AH009421-RA
OG0004548	Bevul.4G193500.1.p	AH010415-RA
OG0004549	Bevul.5G174100.1.p	AH002898-RA, AH017477-RA
OG0004550	Bevul.5G171900.1.p	AH017458-RA
OG0004551	Bevul.6G043900.1.p	AH006268-RA
OG0004552	Bevul.9G111600.3.p, Bevul.9G111600.2.p, Bevul.9G111600.4.p, Bevul.9G111600.1.p	AH000344-RA
OG0004553	Bevul.5G217200.1.p	AH002525-RA, AH017945-RA
OG0004554	Bevul.2G199400.1.p, Bevul.2G199400.2.p, Bevul.2G199400.3.p	AH022768-RA
OG0004555	Bevul.5G191800.1.p	AH002810-RA, AH017602-RA
OG0004556	Bevul.8G102600.1.p	AH021229-RA
OG0004557	Bevul.5G147700.1.p	AH017193-RA
OG0004558	Bevul.6G061600.1.p, Bevul.6G061700.1.p	AH003637-RA, AH005921-RA, AH005922-RA, AH005920-RA
OG0004559	Bevul.5G087100.1.p	AH018376-RA
OG0004560	Bevul.9G011400.1.p	AH000026-RA
OG0004561	Bevul.5G214800.1.p	AH017965-RA, AH002501-RA
OG0004562	Bevul.6G122900.1.p	AH004067-RA, AH005414-RA
OG0004563	Bevul.8G107800.1.p	AH014604-RA
OG0004564	Bevul.3G167300.1.p	AH020222-RA
OG0004565	Bevul.6G106800.1.p	AH005521-RA
OG0004565	Bevul.5G172900.1.p	AH002902-RA, AH017468-RA
OG0004566	Bevul.5G150000.1.p	AH021025-RA
OG0004567	Bevul.4G181200.1.p, Bevul.4G181300.1.p, Bevul.4G181100.1.p	AH020054-RA, AH020592-RA
OG0004568	Bevul.6G046000.1.p	AH003418-RA
OG0004569	Bevul.5G098700.1.p	AH018457-RA
OG0004570	Bevul.1G042100.1.p, Bevul.3G090600.1.p	AH012202-RA
OG0004571	Bevul.5G215200.1.p	AH002503-RA, AH017959-RA
OG0004572	Bevul.5G177000.1.p	AH017499-RA, AH002888-RA
OG0004573	Bevul.9G177900.1.p	AH001864-RA
OG0004573	Bevul.5G076200.1.p	AH012915-RA, AH018253-RA
OG0004574	Bevul.4G035600.1.p	AH008182-RA
OG0004575	Bevul.4G152100.1.p	AH010431-RA
OG0004575	Bevul.3G019200.1.p	AH019783-RA
OG0004576	Bevul.5G206000.1.p	AH017318-RA, AH002756-RA
OG0004577	Bevul.5G096200.1.p	AH018442-RA
OG0004578	Bevul.9G111400.2.p, Bevul.9G111400.1.p	AH000345-RA
OG0004578	Bevul.2G217400.1.p	AH022915-RA
OG0004579	Bevul.6G231100.1.p	AH005023-RA, AH004350-RA
OG0004580	Bevul.4G185900.1.p	AH010362-RA, AH010361-RA
OG0004581	Bevul.3G216900.1.p	AH006626-RA
OG0004582	Bevul.2G204600.1.p	AH016559-RA, AH022827-RA
OG0004583	Bevul.5G166600.1.p	AH017424-RA
OG0004584	Bevul.5G075300.1.p	AH018260-RA, AH018262-RA
OG0004584	Bevul.5G075400.1.p	AH018259-RA
OG0004585	Bevul.2G053500.1.p	AH019366-RA
OG0004586	Bevul.5G045700.1.p	AH018766-RA
OG0004587	Bevul.1G019200.1.p	AH008312-RA
OG0004588	Bevul.2G077900.1.p	AH015849-RA
OG0004589	Bevul.3G219900.1.p, Bevul.3G217900.1.p	AH004519-RA
OG0004589	Bevul.3G215600.1.p, Bevul.3G218400.1.p	AH006611-RA, AH006614-RA, AH006610-RA, AH006603-RA
OG0004589	Bevul.3G218800.1.p, Bevul.3G218900.1.p, Bevul.3G218100.1.p, Bevul.3G219000.1.p	AH006606-RA
OG0004590	Bevul.2G197400.1.p	AH022751-RA
OG0004592	Bevul.8G105400.1.p	AH021223-RA
OG0004593	Bevul.6G205200.1.p	AH004537-RA, AH005196-RA
OG0004593	Bevul.6G039800.1.p	AH006379-RA
OG0004594	Bevul.5G071800.1.p	AH018317-RA
OG0004595	Bevul.5G095900.1.p	AH018440-RA, AH011543-RA
OG0004596	Bevul.5G149600.1.p	AH017172-RA
OG0004597	Bevul.6G245700.1.p	AH004663-RA
OG0004599	Bevul.3G213100.1.p	AH020482-RA, AH006650-RA
OG0004600	Bevul.2G145500.1.p, Bevul.5G101600.1.p, Bevul.7G017400.1.p	AH012554-RA
OG0004601	Bevul.3G181100.1.p	AH006867-RA
OG0004620	Bevul.1G061600.1.p	AH007925-RA
OG0004622	Bevul.3G185400.1.p	AH006847-RA, AH020340-RA
OG0004623	Bevul.1G004500.1.p	AH008401-RA
OG0004624	Bevul.6G102600.1.p	AH005800-RA
OG0004628	Bevul.5G098800.1.p	AH018459-RA
OG0004629	Bevul.2G038500.1.p	AH015654-RA
OG0004630	Bevul.4G085900.1.p, Bevul.4G086200.1.p	AH000071-RA
OG0004634	Bevul.4G123800.1.p	AH015937-RA
OG0004635	Bevul.4G137300.1.p	AH010806-RA
OG0004636	Bevul.7G001000.1.p	AH012430-RA
OG0004637	Bevul.4G123400.1.p	AH010722-RA
OG0004638	Bevul.5G253800.1.p	AH017691-RA, AH019484-RA
OG0004639	Bevul.2G032900.1.p, Bevul.8G135200.1.p	AH021125-RA, AH014560-RA
OG0004640	Bevul.4G025000.1.p	AH009893-RA
OG0004641	Bevul.6G171400.1.p	AH004885-RA
OG0004642	Bevul.5G050900.1.p	AH018800-RA, AH003069-RA
OG0004643	Bevul.3G146200.1.p	AH019817-RA
OG0004644	Bevul.8G171900.1.p	AH014009-RA
OG0004644	Bevul.5G227300.1.p	AH017885-RA, AH002563-RA
OG0004645	Bevul.5G160500.1.p	AH011774-RA
OG0004646	Bevul.4G199200.1.p	AH007614-RA
OG0004647	Bevul.2G050300.2.p, Bevul.2G050300.3.p, Bevul.2G050300.1.p	AH015715-RA
OG0004647	Bevul.3G201900.1.p	AH006733-RA
OG0004648	Bevul.3G233400.1.p	AH006487-RA
OG0004649	Bevul.7G219400.1.p	AH022457-RA
OG0004650	Bevul.4G212200.1.p	AH011137-RA
OG0004652	Bevul.3G232100.1.p	AH020573-RA, AH006496-RA
OG0004653	Bevul.4G225700.1.p	AH011033-RA
OG0004654	Bevul.4G211100.1.p	AH007453-RA, AH011145-RA
OG0004655	Bevul.8G102400.1.p	AH017883-RA, AH005844-RA
OG0004655	Bevul.5G227900.1.p	AH002561-RA
OG0004656	Bevul.4G175500.1.p	AH010625-RA
OG0004657	Bevul.3G100200.1.p, Bevul.2G115800.2.p, Bevul.2G115800.1.p	AH019958-RA
OG0004658	Bevul.2G077400.1.p	AH015554-RA
OG0004659	Bevul.4G198700.1.p	AH010419-RA
OG0004660	Bevul.4G227700.1.p	AH011015-RA
OG0004661	Bevul.5G250600.1.p	AH002666-RA
OG0004663	Bevul.7G020100.2.p, Bevul.7G020100.1.p	AH012573-RA
OG0004664	Bevul.9G015700.1.p	AH001115-RA
OG0004665	Bevul.3G185800.1.p	AH006838-RA, AH020338-RA
OG0004666	Bevul.9G228400.2.p, Bevul.9G228400.1.p, Bevul.9G228400.3.p	AH017087-RA
OG0004667	Bevul.7G124200.1.p	AH013065-RA
OG0004669	Bevul.3G204400.1.p	AH006715-RA
OG0004670	Bevul.2G148100.5.p, Bevul.2G148100.2.p, Bevul.2G148100.3.p, Bevul.2G148100.4.p, Bevul.2G148100.7.p, Bevul.2G148100.6.p, Bevul.2G148100.1.p	AH020597-RA
OG0004671	Bevul.3G129300.1.p	AH011799-RA
OG0004672	Bevul.9G097000.1.p, Bevul.9G097000.2.p	AH001434-RA
OG0004673	Bevul.9G226400.1.p	AH000653-RA
OG0004676	Bevul.7G086900.2.p, Bevul.7G086900.1.p	AH012874-RA
OG0004677	Bevul.4G126800.1.p	AH010739-RA
OG0004678	Bevul.2G119100.1.p	AH021207-RA, AH003461-RA
OG0004678	Bevul.9G142400.1.p	AH020703-RA, AH021238-RA, AH021237-RA
OG0004679	Bevul.4G158000.1.p	AH007577-RA, AH007578-RA, AH007579-RA, AH010486-RA
OG0004680	Bevul.4G158900.1.p	AH010482-RA
OG0004681	Bevul.9G138600.1.p, Bevul.9G138600.2.p, Bevul.9G138600.4.p, Bevul.9G138600.3.p	AH002251-RA
OG0004682	Bevul.3G230600.1.p	AH017263-RA, AH002712-RA
OG0004683	Bevul.9G136700.4.p, Bevul.9G136700.5.p, Bevul.9G136700.2.p, Bevul.9G136700.3.p, Bevul.9G136700.1.p	AH002264-RA
OG0004684	Bevul.8G021500.1.p	AH015255-RA
OG0004685	Bevul.9G171800.1.p, Bevul.9G171800.2.p	AH000564-RA, AH001822-RA
OG0004686	Bevul.9G182600.4.p, Bevul.9G182600.2.p, Bevul.9G182600.3.p, Bevul.9G182600.1.p	AH001899-RA
OG0004687	Bevul.1G163000.1.p	AH003180-RA
OG0004688	Bevul.8G116200.1.p	AH021171-RA
OG0004689	Bevul.8G157000.1.p	AH021044-RA
OG0004690	Bevul.1G110300.1.p	AH008810-RA
OG0004691	Bevul.9G172900.1.p	AH001831-RA
OG0004691	Bevul.9G173300.1.p	AH012759-RA
OG0004692	Bevul.6G222300.1.p	AH004962-RA
OG0004693	Bevul.9G217200.2.p, Bevul.9G217200.1.p	AH002422-RA
OG0004694	Bevul.6G066700.1.p	AH003686-RA
OG0004695	Bevul.1G107800.1.p, Bevul.1G107700.1.p	AH014442-RA
OG0004696	Bevul.3G075000.1.p	AH019513-RA
OG0004697	Bevul.1G089100.1.p, Bevul.1G089000.1.p	AH011285-RA
OG0004698	Bevul.6G014300.1.p	AH005711-RA
OG0004699	Bevul.9G233500.1.p, Bevul.9G233500.3.p, Bevul.9G233500.2.p	AH001679-RA
OG0004700	Bevul.7G132200.1.p	AH013126-RA
OG0004702	Bevul.9G151300.1.p	AH001599-RA
OG0004703	Bevul.9G217600.1.p	AH002425-RA, AH000698-RA
OG0004705	Bevul.6G069700.1.p	AH005998-RA, AH003548-RA
OG0004707	Bevul.1G106600.1.p	AH008703-RA
OG0004708	Bevul.6G078600.1.p	AH005538-RA
OG0004710	Bevul.2G219600.1.p	AH016485-RA, AH022929-RA
OG0004710	Bevul.9G223300.1.p, Bevul.9G223200.1.p	AH000671-RA
OG0004711	Bevul.6G028800.1.p	AH003769-RA, AH005825-RA
OG0004712	Bevul.9G186600.1.p	AH000405-RA
OG0004713	Bevul.9G138500.1.p	AH000821-RA, AH002252-RA
OG0004714	Bevul.8G155400.1.p	AH012380-RA
OG0004715	Bevul.1G108700.1.p	AH019720-RA
OG0004715	Bevul.6G098700.1.p	AH003915-RA
OG0004716	Bevul.6G011900.1.p	AH005691-RA
OG0004717	Bevul.6G012900.1.p	AH005699-RA
OG0004718	Bevul.3G114100.1.p	AH020039-RA, AH011706-RA
OG0004719	Bevul.4G093800.1.p	AH010237-RA, AH010236-RA, AH013679-RA, AH013677-RA
OG0004721	Bevul.8G034700.1.p	AH015096-RA
OG0004722	Bevul.4G025300.1.p	AH009896-RA
OG0004724	Bevul.2G148700.1.p, Bevul.3G036400.1.p	AH017143-RA
OG0004725	Bevul.4G090500.1.p	AH010281-RA
OG0004726	Bevul.4G069800.1.p, Bevul.7G075300.1.p	AH022304-RA
OG0004727	Bevul.3G072800.1.p	AH001158-RA, AH000039-RA
OG0004728	Bevul.9G172300.1.p	AH000559-RA
OG0004729	Bevul.9G179600.1.p	AH001879-RA
OG0004730	Bevul.9G205200.2.p, Bevul.9G205200.1.p	AH000463-RA, AH002084-RA
OG0004730	Bevul.8G192500.1.p	AH014537-RA
OG0004731	Bevul.8G131300.1.p	AH014215-RA, AH021132-RA
OG0004732	Bevul.4G048700.1.p	AH008108-RA
OG0004733	Bevul.8G006100.1.p	AH014815-RA
OG0004734	Bevul.1G207600.1.p	AH009425-RA
OG0004735	Bevul.2G217000.1.p	AH022899-RA
OG0004735	Bevul.2G159000.1.p	AH023352-RA
