Orthogroup	S_lycopersicum.proteins	A_hypochondriacus.proteins
OG0005684	Solyc11g066290.2.1	AH015856-RA
OG0005685	Solyc04g079280.3.1	AH008617-RA
OG0005686	Solyc01g103010.3.1	AH005274-RA
OG0005687	Solyc01g098460.3.1	AH000833-RA
OG0005689	Solyc04g080490.3.1, Solyc02g085160.1.1	AH003830-RA
OG0005690	Solyc01g006510.3.1	AH012339-RA
OG0005691	Solyc09g089870.3.1	AH007230-RA, AH019906-RA
OG0005692	Solyc11g013460.2.1	AH002138-RA, AH002139-RA
OG0005693	Solyc05g014390.3.1	AH004499-RA
OG0005695	Solyc04g076480.3.1	AH008894-RA
OG0005696	Solyc01g095740.3.1	AH019614-RA
OG0005697	Solyc01g057570.3.1	AH010587-RA
OG0005698	Solyc11g010180.2.1, Solyc04g012155.1.1	AH023691-RA
OG0005699	Solyc09g065370.2.1, Solyc06g084220.1.1	AH017847-RA
OG0005700	Solyc02g093950.3.1	AH018884-RA
OG0005701	Solyc02g082210.3.1	AH003356-RA, AH006398-RA
OG0005702	Solyc05g054460.3.1	AH022951-RA, AH016470-RA
OG0005703	Solyc01g017490.1.1, Solyc02g093935.1.1	AH019187-RA, AH019185-RA, AH018345-RA, AH019186-RA
OG0005704	Solyc09g090900.3.1, Solyc03g005730.3.1	AH007002-RA, AH007968-RA
OG0005705	Solyc08g065160.3.1	AH018179-RA
OG0005706	Solyc11g013530.2.1	AH009015-RA
OG0005707	Solyc06g059880.3.1, Solyc07g061940.3.1, Solyc03g044330.1.1	AH017239-RA
OG0005708	Solyc12g055820.2.1	AH008450-RA
OG0005709	Solyc04g051570.3.1	AH003518-RA
OG0005710	Solyc01g097070.3.1	AH001108-RA
OG0005711	Solyc04g045630.3.1	AH004550-RA, AH005176-RA
OG0005712	Solyc06g053150.1.1, Solyc03g082640.2.1	AH011945-RA
OG0005713	Solyc02g068360.3.1	AH006474-RA
OG0005713	Solyc02g068365.1.1	AH006476-RA
OG0005714	Solyc01g098700.3.1	AH010548-RA
OG0005716	Solyc06g068700.3.1, Solyc03g118040.3.1	AH002936-RA, AH017413-RA
OG0005717	Solyc04g082840.3.1	AH017914-RA
OG0005718	Solyc04g055180.3.1	AH005999-RA
OG0005719	Solyc08g082010.3.1	AH018061-RA, AH011307-RA
OG0005720	Solyc03g096810.3.1	AH006743-RA, AH015220-RA
OG0005721	Solyc04g081900.3.1	AH016788-RA
OG0005722	Solyc09g074240.1.1	AH011061-RA, AH007510-RA
OG0005723	Solyc01g104050.3.1	AH004156-RA, AH004156-RB, AH005342-RA
OG0005724	Solyc09g064370.3.1	AH013007-RA, AH021903-RA
OG0005725	Solyc11g069340.2.1	AH000164-RA
OG0005726	Solyc02g090850.3.1	AH006101-RA
OG0005727	Solyc08g075340.3.1	AH018777-RA
OG0005728	Solyc05g054365.1.1, Solyc01g066310.3.1	AH006995-RA
OG0005729	Solyc02g091960.3.1	AH005611-RA
OG0005731	Solyc04g076020.3.1	AH008818-RA
OG0005732	Solyc01g058730.3.1	AH015601-RA
OG0005735	Solyc04g077940.3.1	AH008394-RA
OG0005736	Solyc06g084045.1.1, Solyc09g065910.2.1	AH017769-RA, AH002612-RA
OG0005737	Solyc02g087940.3.1	AH023746-RA
OG0005738	Solyc09g072710.3.1	AH022046-RA
OG0005740	Solyc06g073270.3.1	AH011237-RA, AH007404-RA
OG0005742	Solyc08g075940.3.1, Solyc03g110885.1.1	AH023260-RA
OG0005743	Solyc05g007900.2.1	AH004375-RA, AH005045-RA
OG0005744	Solyc02g089290.3.1	AH016599-RA
OG0005745	Solyc02g089280.3.1	AH022767-RA, AH016594-RA
OG0005746	Solyc05g005090.3.1	AH004441-RA
OG0005747	Solyc08g005150.3.1	AH018421-RA
OG0005748	Solyc03g115390.3.1	AH019986-RA
OG0005749	Solyc01g089903.1.1, Solyc01g089900.3.1, Solyc11g030475.1.1, Solyc01g089907.1.1	AH009383-RA
OG0005750	Solyc05g006130.3.1	AH004732-RA
OG0005751	Solyc05g006760.3.1	AH004676-RA
OG0005752	Solyc10g038170.1.1	AH009371-RA
OG0005753	Solyc08g006980.3.1, Solyc08g077100.3.1	AH018333-RA
OG0005754	Solyc02g086550.3.1	AH007901-RA
OG0005755	Solyc02g014130.2.1	AH000015-RA
OG0005756	Solyc05g006050.3.1	AH004631-RA, AH004746-RA, AH004747-RA
OG0005757	Solyc05g009900.2.1, Solyc02g089830.2.1, Solyc03g045030.1.1, Solyc03g119770.3.1	AH004076-RA
OG0005758	Solyc02g086690.3.1, Solyc02g086683.1.1	AH019077-RA
OG0005759	Solyc08g075530.3.1	AH003250-RA
OG0005760	Solyc03g116330.3.1	AH002809-RA
OG0005761	Solyc02g088800.2.1	AH015840-RA
OG0005761	Solyc03g115070.1.1	AH002886-RA, AH017501-RA
OG0005762	Solyc05g012110.3.1, Solyc01g010250.3.1	AH005534-RA, AH004031-RA
OG0005763	Solyc03g031870.2.1, Solyc02g081350.3.1, Solyc02g081360.3.1	AH007847-RA, AH010701-RA
OG0005764	Solyc03g111260.3.1	AH017237-RA
OG0005765	Solyc05g009690.3.1	AH004064-RA
OG0005766	Solyc01g010470.2.1, Solyc01g010465.1.1	AH004688-RA
OG0005767	Solyc06g069470.3.1	AH017495-RA, AH017493-RA
OG0005768	Solyc05g008790.3.1	AH012162-RA
OG0005769	Solyc03g115720.3.1	AH002855-RA
OG0005771	Solyc03g119400.3.1	AH003002-RA
OG0005772	Solyc03g116370.3.1	AH002807-RA
OG0005773	Solyc02g014190.3.1	AH001036-RA
OG0005774	Solyc04g008020.3.1	AH004167-RA, AH005339-RA
OG0005775	Solyc06g071280.3.1	AH002762-RA
OG0005776	Solyc08g006960.3.1	AH018380-RA, AH011493-RA, AH011494-RA
OG0005777	Solyc03g115950.3.1	AH017575-RA
OG0005778	Solyc08g077500.3.1	AH018230-RA
OG0005779	Solyc05g006390.1.1	AH002757-RA, AH017323-RA
OG0005780	Solyc08g078060.3.1	AH011408-RA, AH018275-RA
OG0005781	Solyc03g119050.3.1	AH019074-RA
OG0005782	Solyc05g012310.3.1, Solyc05g012320.1.1	AH002502-RA
OG0005783	Solyc05g006310.2.1	AH004637-RA, AH004713-RA
OG0005784	Solyc02g088780.3.1, Solyc01g111030.2.1	AH015835-RA
OG0005785	Solyc02g068180.3.1	AH006385-RA
OG0005786	Solyc03g112670.3.1	AH015816-RA
OG0005787	Solyc01g079860.3.1	AH011632-RA
OG0005789	Solyc04g016510.3.1	AH020434-RA
OG0005790	Solyc02g014720.3.1	AH000013-RA
OG0005791	Solyc06g071290.3.1, Solyc03g113800.3.1	AH017324-RA, AH017325-RA
OG0005792	Solyc02g081445.1.1, Solyc02g036480.1.1	AH007830-RA
OG0005793	Solyc03g007390.3.1	AH000372-RA
OG0005794	Solyc02g033090.1.1, Solyc06g005575.1.1, Solyc07g049120.2.1, Solyc07g049130.1.1, Solyc02g033110.2.1, Solyc02g036230.2.1, Solyc02g036170.2.1, Solyc02g036140.1.1, Solyc02g033120.2.1, Solyc02g036120.1.1, Solyc02g036130.2.1, Solyc02g033115.1.1, Solyc02g033100.2.1, Solyc02g032553.1.1, Solyc00g039290.2.1, Solyc00g036968.1.1	AH023196-RA
OG0005795	Solyc12g006610.2.1	AH014064-RA, AH020769-RA
OG0005796	Solyc12g040460.2.1	AH021108-RA, AH017204-RA, AH017205-RA
OG0005797	Solyc09g075650.3.1	AH017713-RA
OG0005798	Solyc12g011360.2.1, Solyc07g056650.3.1	AH010285-RA, AH007951-RA
OG0005799	Solyc01g090730.3.1, Solyc10g018780.2.1	AH009072-RA
OG0005800	Solyc05g012570.3.1	AH005573-RA, AH005571-RA, AH004000-RA
OG0005800	Solyc04g005480.1.1	AH005572-RA
OG0005824	Solyc06g053200.3.1	AH011927-RA
OG0005825	Solyc01g087900.3.1	AH016628-RA
OG0005826	Solyc01g067820.3.1	AH019054-RA
OG0005827	Solyc01g101010.3.1	AH007389-RA
OG0005829	Solyc01g098970.2.1, Solyc01g098960.2.1	AH010459-RA, AH007555-RA, AH010457-RA, AH010371-RA
OG0005830	Solyc05g052580.3.1, Solyc06g051520.3.1	AH023097-RA, AH016380-RA
OG0005831	Solyc09g007200.3.1	AH012799-RA
OG0005832	Solyc05g055740.3.1, Solyc04g056340.3.1	AH007447-RA, AH011154-RA
OG0005834	Solyc09g091560.3.1	AH022239-RA
OG0005836	Solyc10g051350.2.1, Solyc01g109620.3.1	AH000568-RA, AH001815-RA
OG0005837	Solyc09g009830.3.1	AH012602-RA, AH012601-RA
OG0005840	Solyc09g090480.2.1, Solyc03g005630.3.1	AH019893-RA, AH007179-RA
OG0005843	Solyc11g065260.2.1	AH010955-RA
OG0005844	Solyc05g055260.3.1, Solyc11g006820.2.1	AH012593-RA, AH021793-RA
OG0005845	Solyc09g090400.3.1, Solyc11g005600.2.1	AH016706-RA
OG0005847	Solyc04g009600.3.1, Solyc04g049290.2.1	AH014585-RA
OG0005848	Solyc03g063053.1.1	AH018113-RA
OG0005848	Solyc03g063057.1.1, Solyc03g063060.3.1	AH018112-RA
OG0005849	Solyc01g068410.3.1, Solyc04g056620.2.1	AH011163-RA
OG0005850	Solyc05g056255.1.1	AH007498-RA, AH011091-RA
OG0005851	Solyc07g065420.1.1	AH015651-RA, AH019343-RA
OG0005851	Solyc04g053140.2.1, Solyc05g051760.2.1	AH017216-RA
OG0005853	Solyc09g090720.3.1, Solyc05g053140.3.1	AH018500-RA, AH011583-RA
OG0005854	Solyc11g008910.2.1	AH011159-RA, AH007439-RA
OG0005855	Solyc09g090660.3.1	AH019885-RA, AH007166-RA
OG0005856	Solyc09g083020.1.1, Solyc09g083030.1.1, Solyc09g083040.1.1, Solyc01g006240.3.1	AH010293-RA, AH007297-RA
OG0005857	Solyc09g010800.4.1	AH019115-RA
OG0005858	Solyc09g092030.3.1	AH016870-RA
OG0005859	Solyc11g039880.2.1	AH002229-RA
OG0005860	Solyc02g021060.3.1	AH001100-RA
OG0005861	Solyc01g068630.3.1	AH018785-RA
OG0005863	Solyc11g064920.2.1	AH011052-RA
OG0005864	Solyc09g091945.1.1	AH020603-RA
OG0005865	Solyc00g027970.1.1, Solyc08g076350.3.1	AH018450-RA, AH011548-RA
OG0005866	Solyc06g054530.3.1	AH019264-RA
OG0005867	Solyc09g006000.3.1	AH000703-RA
OG0005868	Solyc09g090510.3.1, Solyc03g045140.3.1	AH007178-RA
OG0005869	Solyc12g099090.2.1	AH019979-RA
OG0005870	Solyc00g006900.1.1	AH022122-RA
OG0005871	Solyc12g098950.2.1	AH011784-RA
OG0005872	Solyc09g065520.3.1	AH017824-RA
OG0005873	Solyc07g017410.3.1	AH000339-RA
OG0005874	Solyc01g088327.1.1	AH015655-RA
OG0005876	Solyc08g075290.2.1	AH003085-RA
OG0005877	Solyc09g091920.3.1, Solyc12g098410.2.1	AH020596-RA
OG0005878	Solyc09g065100.2.1	AH012814-RA
OG0005879	Solyc09g090580.3.1	AH007172-RA
OG0005880	Solyc11g008900.2.1	AH011158-RA, AH007440-RA
OG0005881	Solyc09g010930.3.1	AH018957-RA
OG0005882	Solyc12g088030.2.1	AH001372-RA, AH000296-RA
OG0005883	Solyc10g037950.2.1	AH015303-RA
OG0005884	Solyc09g018900.2.1, Solyc06g082830.3.1	AH007896-RA
OG0005885	Solyc01g079450.3.1	AH002691-RA
OG0005886	Solyc08g080240.3.1	AH001553-RA, AH000524-RA
OG0005887	Solyc03g121310.2.1	AH001523-RA, AH000355-RA
OG0005888	Solyc06g048840.3.1, Solyc09g014750.1.1	AH011466-RA
OG0005889	Solyc05g052460.3.1	AH016328-RA
OG0005890	Solyc02g094090.3.1	AH017709-RA
OG0005892	Solyc08g075080.3.1	AH003139-RA, AH018763-RA
OG0005895	Solyc06g076050.3.1, Solyc11g066020.2.1	AH013674-RA
OG0005896	Solyc04g051025.1.1	AH010583-RA
OG0005897	Solyc09g055350.3.1	AH021249-RA
OG0005898	Solyc01g074010.3.1	AH007161-RA, AH019881-RA
OG0005900	Solyc01g007955.1.1, Solyc05g005000.3.1	AH004839-RA
OG0005902	Solyc11g008990.2.1	AH011139-RA
OG0005903	Solyc08g014570.3.1, Solyc12g019060.2.1, Solyc12g096670.2.1	AH020012-RA, AH011739-RA
OG0005904	Solyc04g082590.3.1	AH023750-RA
OG0005905	Solyc01g109460.3.1	AH001837-RA, AH000556-RA
OG0005906	Solyc04g049870.1.1, Solyc11g063630.1.1	AH015515-RA
OG0005907	Solyc12g094610.2.1, Solyc04g082440.3.1	AH023727-RA
OG0005908	Solyc01g110290.3.1	AH001766-RA
OG0005909	Solyc01g105240.3.1	AH002188-RA
OG0005909	Solyc04g056290.3.1	AH003554-RA
OG0005910	Solyc04g054810.3.1, Solyc05g051870.3.1	AH008776-RA
OG0005911	Solyc11g012980.1.1	AH008898-RA
OG0005912	Solyc05g018630.1.1, Solyc05g018640.3.1, Solyc05g018615.1.1	AH010662-RA, AH007352-RA
OG0005913	Solyc10g081880.2.1	AH005647-RA
OG0005914	Solyc04g077925.1.1	AH008393-RA
OG0005915	Solyc04g079000.3.1	AH021914-RA
OG0005916	Solyc01g103020.3.1	AH005276-RA
OG0005917	Solyc04g009060.3.1	AH000891-RA, AH000893-RA, AH000866-RA
OG0005918	Solyc12g056850.2.1	AH008574-RA
OG0005919	Solyc04g012060.3.1, Solyc04g051350.3.1	AH005679-RA, AH003532-RA
OG0005920	Solyc11g013845.1.1, Solyc11g013840.2.1	AH009027-RA
OG0005921	Solyc01g109940.3.1	AH001779-RA
OG0005922	Solyc10g005590.3.1	AH023420-RA
OG0005924	Solyc04g076230.3.1	AH008837-RA
OG0005925	Solyc04g079480.2.1, Solyc04g079470.3.1, Solyc04g079440.3.1	AH008558-RA
OG0005926	Solyc11g010650.3.1	AH005657-RA
OG0005926	Solyc01g106000.3.1	AH002394-RA
OG0005927	Solyc02g091940.3.1	AH005145-RA
OG0005927	Solyc04g024520.3.1	AH021579-RA, AH015140-RA
OG0005928	Solyc09g018750.3.1	AH012920-RA, AH022109-RA
OG0005929	Solyc01g108600.3.1	AH001906-RA
OG0005930	Solyc10g079250.2.1	AH020475-RA
OG0005931	Solyc01g104980.3.1	AH000681-RA
OG0005932	Solyc03g044910.1.1, Solyc02g089860.1.1	AH008435-RA
OG0005933	Solyc12g096650.2.1	AH015005-RA
OG0005934	Solyc12g056590.2.1, Solyc04g071770.3.1	AH008538-RA
OG0005935	Solyc03g063390.1.1	AH006852-RA
OG0005936	Solyc01g105010.3.1	AH021175-RA, AH014639-RA
OG0005937	Solyc01g087670.3.1	AH011898-RA
OG0005938	Solyc09g008750.1.1, Solyc09g008760.1.1, Solyc09g008740.1.1, Solyc02g064570.2.1	AH003857-RA
OG0005939	Solyc04g076950.3.1	AH016703-RA, AH008340-RA
OG0005940	Solyc07g032180.3.1	AH008944-RA
OG0005941	Solyc10g084270.2.1	AH021971-RA
OG0005942	Solyc01g112080.3.1	AH002352-RA, AH000742-RA, AH021468-RA
OG0005943	Solyc01g108180.3.1	AH010781-RA
OG0005944	Solyc08g041780.3.1	AH020697-RA
OG0005945	Solyc04g077850.3.1, Solyc12g088360.2.1	AH008389-RA, AH016687-RA
OG0005946	Solyc11g018510.2.1	AH008903-RA
OG0005947	Solyc04g081870.3.1, Solyc12g089380.2.1	AH016785-RA
OG0005949	Solyc08g014050.2.1, Solyc12g096870.1.1, Solyc01g107560.3.1	AH000986-RA, AH001681-RA
OG0005950	Solyc01g081330.3.1	AH008802-RA
OG0005951	Solyc05g006640.3.1, Solyc01g011093.1.1	AH004689-RA
OG0005952	Solyc04g080470.3.1	AH001414-RA
OG0005953	Solyc04g054290.2.1	AH012751-RA
OG0005954	Solyc08g080410.3.1	AH003154-RA, AH018683-RA
OG0005955	Solyc04g079750.3.1	AH017507-RA
OG0005956	Solyc01g104870.3.1, Solyc11g044860.2.1	AH007860-RA
OG0005957	Solyc00g007100.3.1, Solyc02g082550.3.1	AH003591-RA
OG0005958	Solyc01g107030.3.1	AH000082-RA
OG0005959	Solyc12g088240.2.1, Solyc04g077470.3.1	AH008364-RA
OG0005960	Solyc09g019970.3.1	AH021258-RA
OG0005961	Solyc08g066650.3.1	AH023353-RA
OG0005962	Solyc07g065445.1.1	AH009768-RA
OG0005963	Solyc01g079340.3.1, Solyc01g057580.1.1	AH017679-RA
OG0005964	Solyc04g015080.3.1	AH021430-RA
OG0005965	Solyc12g011370.2.1	AH010284-RA
OG0005966	Solyc10g009000.3.1	AH006539-RA
OG0005967	Solyc12g010370.1.1, Solyc12g010755.1.1	AH009996-RA
OG0005968	Solyc07g062840.3.1	AH008046-RA, AH008045-RA
OG0005969	Solyc02g079960.3.1	AH008148-RA, AH015203-RA, AH021556-RA
OG0005970	Solyc06g067960.3.1	AH008746-RA
OG0005971	Solyc07g019530.3.1	AH020971-RA
OG0005972	Solyc12g009040.2.1, Solyc07g045290.3.1	AH000118-RA
OG0005973	Solyc02g068330.2.1, Solyc02g068320.2.1, Solyc02g068310.3.1	AH015974-RA
OG0005974	Solyc07g063460.2.1	AH010003-RA, AH008084-RA
OG0005975	Solyc11g012060.1.1	AH021465-RA, AH021465-RB, AH014924-RA
OG0005976	Solyc07g045370.3.1	AH011054-RA
OG0005977	Solyc12g010040.2.1	AH020615-RA
OG0005978	Solyc06g063240.3.1	AH022261-RA, AH013473-RA
OG0005979	Solyc01g091070.3.1	AH009141-RA
OG0005980	Solyc07g006020.3.1, Solyc12g010480.2.1	AH014272-RA
OG0005982	Solyc12g007320.1.1, Solyc05g018310.1.1	AH020891-RA, AH014494-RA
OG0005983	Solyc03g026200.3.1	AH019529-RA
OG0005984	Solyc10g079580.2.1	AH017890-RA
OG0005985	Solyc03g120540.3.1	AH002113-RA, AH002114-RA
OG0005986	Solyc03g123700.3.1	AH022301-RA, AH005597-RA
OG0005987	Solyc12g055710.1.1, Solyc03g123680.1.1, Solyc06g063110.2.1, Solyc09g075320.1.1	AH022302-RA, AH013440-RA
OG0005988	Solyc08g065420.3.1	AH017147-RA
OG0005989	Solyc08g061570.2.1, Solyc08g061580.3.1	AH016033-RA
OG0005991	Solyc03g059070.3.1	AH012111-RA, AH019599-RA
OG0005992	Solyc08g062630.3.1	AH016058-RA
OG0005993	Solyc12g011180.2.1	AH020009-RA
OG0005994	Solyc05g026310.3.1	AH014463-RA
OG0005995	Solyc08g007860.3.1, Solyc08g080340.3.1, Solyc12g056420.2.1	AH019527-RA, AH012351-RA
OG0005996	Solyc04g007330.2.1	AH001977-RA
OG0005997	Solyc08g007100.3.1, Solyc08g077350.3.1	AH011467-RA
OG0005998	Solyc10g085930.2.1	AH009130-RA
OG0005999	Solyc11g020910.2.1	AH001974-RA
OG0006000	Solyc01g095995.1.1	AH009552-RA
OG0006000	Solyc08g082470.1.1	AH018102-RA
OG0006001	Solyc03g123370.3.1	AH013375-RA
OG0006002	Solyc03g083610.3.1	AH012256-RA
OG0006004	Solyc01g090480.3.1	AH000933-RA
OG0006005	Solyc05g009350.3.1	AH019270-RA
OG0006006	Solyc05g056250.3.1	AH020010-RA
OG0006008	Solyc12g010000.2.1, Solyc08g006790.3.1	AH019004-RA
OG0006009	Solyc07g006650.3.1	AH020992-RA
OG0006010	Solyc03g006840.3.1	AH012331-RA
OG0006011	Solyc07g038160.3.1, Solyc12g008830.2.1	AH017154-RA
OG0006012	Solyc03g031420.1.1	AH012335-RA
OG0006013	Solyc04g080590.3.1	AH016959-RA, AH023820-RA, AH023833-RA
OG0006014	Solyc03g119970.3.1, Solyc08g066920.2.1, Solyc12g042950.2.1	AH002047-RA
OG0006015	Solyc01g006000.3.1	AH010881-RA
OG0006016	Solyc01g090720.3.1	AH004830-RA
OG0006017	Solyc08g061100.3.1	AH008981-RA, AH019255-RA
OG0006018	Solyc03g083100.3.1, Solyc06g052010.2.1	AH011977-RA
OG0006020	Solyc08g074500.2.1	AH021626-RA
OG0006021	Solyc07g005870.3.1	AH014281-RA
OG0006022	Solyc08g007590.3.1	AH003136-RA
OG0006023	Solyc07g005790.3.1	AH021060-RA
OG0006024	Solyc08g075970.3.1	AH011571-RA, AH018491-RA
OG0006025	Solyc07g007040.3.1	AH013937-RA, AH017933-RA
OG0006026	Solyc12g008395.1.1, Solyc12g008390.2.1	AH020916-RA
OG0006027	Solyc07g042275.1.1	AH014325-RA
OG0006028	Solyc04g074800.3.1	AH016914-RA
OG0006029	Solyc09g011450.3.1	AH019559-RA
OG0006030	Solyc07g018360.3.1	AH020885-RA
OG0006031	Solyc03g007000.3.1	AH019489-RA
OG0006032	Solyc01g088370.3.1	AH010714-RA
OG0006033	Solyc06g065630.3.1	AH019216-RA
OG0006034	Solyc12g049570.2.1	AH013426-RA, AH022316-RA
OG0006036	Solyc03g117120.3.1	AH004447-RA
OG0006037	Solyc06g068230.3.1	AH001946-RA
OG0006038	Solyc08g066900.1.1, Solyc08g066880.3.1	AH023332-RA
OG0006040	Solyc07g008330.3.1	AH021162-RA
OG0006041	Solyc08g065250.3.1	AH016093-RA, AH017152-RA
OG0006042	Solyc03g122340.3.1	AH013381-RA, AH022350-RA
OG0006044	Solyc02g089175.1.1	AH016588-RA
OG0006045	Solyc08g067840.3.1	AH015332-RA
OG0006046	Solyc01g006960.3.1	AH011776-RA
OG0006048	Solyc11g066370.2.1	AH000218-RA
OG0006049	Solyc05g054600.3.1	AH023470-RA
OG0006050	Solyc07g064710.3.1	AH009924-RA
OG0006051	Solyc07g053560.3.1	AH001377-RA
OG0006052	Solyc10g078280.3.1	AH006638-RA
OG0006053	Solyc08g048500.3.1	AH002717-RA
OG0006054	Solyc07g064830.3.1	AH008222-RA
OG0006056	Solyc10g079390.1.1, Solyc10g017860.1.1, Solyc04g015850.2.1	AH020398-RA
OG0006057	Solyc06g072273.1.1	AH010015-RA
OG0006058	Solyc10g085335.1.1	AH018844-RA
OG0006059	Solyc04g074660.2.1	AH016651-RA
OG0006060	Solyc09g007340.3.1	AH021961-RA
OG0006061	Solyc06g076690.3.1, Solyc06g076680.3.1	AH013771-RA, AH022709-RA
OG0006062	Solyc11g072510.2.1	AH013190-RA
OG0006063	Solyc02g031980.3.1	AH012683-RA
OG0006064	Solyc02g069630.3.1	AH006383-RA, AH003369-RA
OG0006065	Solyc01g096830.3.1	AH008257-RA
OG0006068	Solyc08g082960.3.1	AH018159-RA
OG0006069	Solyc12g014060.2.1	AH010108-RA
OG0006070	Solyc11g073220.2.1	AH013146-RA
OG0006071	Solyc11g008470.2.1	AH013676-RA
OG0006072	Solyc11g045240.2.1	AH004086-RA
OG0006073	Solyc11g072500.2.1	AH001310-RA
OG0006074	Solyc01g049910.3.1, Solyc01g020525.1.1	AH017857-RA
OG0006075	Solyc06g082490.3.1	AH023243-RA
OG0006076	Solyc09g007445.1.1, Solyc09g007450.2.1	AH000865-RA
OG0006077	Solyc01g008070.3.1	AH010141-RA
OG0006078	Solyc09g009630.3.1	AH012617-RA
OG0006080	Solyc01g008370.3.1	AH016360-RA, AH023058-RA
OG0006081	Solyc09g011840.1.1	AH017208-RA
OG0006082	Solyc02g070860.3.1	AH021318-RA
OG0006083	Solyc11g011420.2.1	AH008230-RA
OG0006084	Solyc08g066730.3.1	AH011350-RA
OG0006086	Solyc05g052310.3.1, Solyc06g050770.3.1	AH023161-RA
OG0006087	Solyc11g006580.2.1	AH007805-RA, AH007785-RA
OG0006089	Solyc05g055610.3.1	AH014996-RA
OG0006090	Solyc08g066120.3.1, Solyc08g066140.3.1	AH006983-RA
OG0006091	Solyc09g011020.3.1	AH003033-RA, AH003036-RA
OG0006092	Solyc11g072400.2.1	AH001323-RA
OG0006093	Solyc01g016900.1.1, Solyc11g030770.1.1, Solyc05g055600.3.1	AH020271-RA
OG0006094	Solyc07g044930.3.1	AH006249-RA
OG0006095	Solyc11g012180.2.1	AH014867-RA
OG0006096	Solyc02g078640.3.1	AH021627-RA
OG0006097	Solyc03g123530.3.1	AH013406-RA
OG0006098	Solyc07g021154.1.1, Solyc07g021152.1.1, Solyc11g005260.2.1	AH015685-RA, AH007164-RA
OG0006099	Solyc02g079950.3.1	AH021557-RA, AH015200-RA
OG0006101	Solyc04g028580.2.1	AH005325-RA
OG0006102	Solyc02g062620.3.1	AH017273-RA
OG0006104	Solyc04g010260.3.1	AH014918-RA
OG0006105	Solyc12g005980.2.1	AH000048-RA
OG0006106	Solyc04g015010.3.1, Solyc11g012660.2.1	AH014874-RA
OG0006107	Solyc09g009470.1.1, Solyc10g083480.2.1	AH021820-RA
OG0006107	Solyc11g068355.1.1	AH022406-RA
OG0006108	Solyc06g051650.3.1	AH022703-RA, AH016376-RA
OG0006109	Solyc09g042260.3.1, Solyc10g075040.2.1	AH012458-RA, AH021715-RA
OG0006110	Solyc11g005000.2.1	AH001959-RA
OG0006111	Solyc10g080630.2.1	AH006907-RA
OG0006112	Solyc12g005780.2.1	AH001283-RA
OG0006113	Solyc03g097280.3.1	AH018998-RA
OG0006114	Solyc06g050930.3.1	AH023139-RA
OG0006115	Solyc09g009690.3.1	AH012633-RA
OG0006116	Solyc03g097470.3.1, Solyc08g006560.3.1	AH019095-RA, AH003028-RA
OG0006117	Solyc02g082120.3.1, Solyc10g005210.3.1	AH018533-RA
OG0006118	Solyc11g007720.2.1	AH008508-RA
OG0006119	Solyc04g015520.3.1, Solyc10g080230.2.1, Solyc10g080240.1.1	AH006790-RA
OG0006120	Solyc07g008460.3.1, Solyc07g008580.2.1, Solyc04g024600.1.1	AH003806-RA
OG0006121	Solyc10g086750.1.1, Solyc10g086740.2.1, Solyc09g011820.3.1	AH021059-RA
OG0006122	Solyc01g096110.3.1	AH009538-RA
OG0006123	Solyc11g065620.2.1	AH010987-RA, AH007705-RA
OG0006124	Solyc11g056650.2.1	AH010928-RA, AH007687-RA
OG0006125	Solyc06g054690.3.1	AH012435-RA, AH021692-RA
OG0006126	Solyc09g063130.3.1, Solyc06g083680.3.1	AH013019-RA
OG0006127	Solyc03g032120.3.1, Solyc03g032110.2.1	AH002879-RA
OG0006129	Solyc04g016370.3.1	AH006745-RA
OG0006130	Solyc08g083090.2.1	AH018177-RA
OG0006131	Solyc03g111280.1.1, Solyc03g111300.1.1, Solyc03g111290.1.1	AH017230-RA
OG0006132	Solyc03g081310.3.1	AH011902-RA
OG0006133	Solyc04g076050.3.1	AH002129-RA
OG0006134	Solyc04g024420.3.1, Solyc05g013820.3.1	AH004470-RA
OG0006135	Solyc02g090670.3.1	AH006091-RA
OG0006136	Solyc04g078500.1.1	AH016849-RA
OG0006138	Solyc04g080040.3.1	AH008681-RA, AH016963-RA, AH016963-RB
OG0006139	Solyc05g014120.1.1, Solyc10g083390.2.1	AH004891-RA
OG0006140	Solyc08g082270.3.1	AH018085-RA
OG0006141	Solyc02g083450.3.1	AH003626-RA, AH009035-RA
OG0006142	Solyc11g005440.2.1	AH003535-RA
OG0006143	Solyc02g093390.3.1	AH005314-RA
OG0006145	Solyc02g069120.3.1	AH018722-RA
OG0006147	Solyc09g090030.2.1	AH009057-RA
OG0006148	Solyc04g082880.3.1, Solyc12g095760.2.1	AH016922-RA
OG0006149	Solyc01g091040.3.1	AH009140-RA
OG0006150	Solyc03g111170.3.1	AH017170-RA
OG0006151	Solyc04g081235.1.1	AH016737-RA, AH008322-RA
OG0006152	Solyc12g087950.1.1, Solyc04g076220.3.1	AH008836-RA
OG0006153	Solyc04g049660.2.1, Solyc03g116085.1.1	AH013330-RA
OG0006154	Solyc02g090810.3.1	AH013793-RA
OG0006155	Solyc05g015220.3.1	AH004525-RA
OG0006156	Solyc01g095300.3.1	AH009620-RA
OG0006157	Solyc01g091800.3.1	AH009215-RA
OG0006158	Solyc01g006070.2.1, Solyc04g014520.1.1, Solyc01g017600.3.1, Solyc01g006050.2.1	AH010884-RA
