Orthogroup	S_lycopersicum.proteins	A_thaliana.proteins
OG0005177	Solyc03g117210.3.1	AT4G32030.2, AT4G32030.1, AT1G15800.1, AT1G80610.1
OG0005178	Solyc01g093960.3.1	AT3G61120.1, AT2G45650.1
OG0005180	Solyc01g094550.3.1, Solyc01g094530.3.1	AT1G01710.1
OG0005181	Solyc08g066860.2.1	AT4G32780.2, AT4G32780.3, AT4G32780.1
OG0005182	Solyc07g063440.3.1	AT5G54440.3, AT5G54440.1, AT5G54440.2
OG0005183	Solyc02g030080.3.1	AT5G11240.1
OG0005184	Solyc08g080400.1.1, Solyc01g009840.2.1	AT1G63100.1, AT1G63100.2
OG0005185	Solyc04g081470.3.1	AT1G19990.1
OG0005185	Solyc11g071220.2.1	AT5G11600.2, AT5G11600.1
OG0005186	Solyc05g047520.3.1, Solyc12g017860.2.1	AT2G06990.1
OG0005187	Solyc10g006600.3.1	AT2G16790.1, AT2G16790.5, AT2G16790.2, AT2G16790.4, AT2G16790.3
OG0005188	Solyc03g116460.3.1	AT1G15410.1, AT1G15410.2
OG0005189	Solyc12g044740.2.1	AT3G21280.1, AT3G21280.2, AT1G51710.2, AT1G51710.1
OG0005190	Solyc02g068120.3.1, Solyc02g094130.3.1	AT3G27090.3, AT3G27090.2, AT3G27090.1
OG0005191	Solyc03g119990.3.1, Solyc06g067890.3.1	AT1G15490.4, AT1G15490.2, AT1G15490.1, AT1G15490.3, AT1G80280.1
OG0005192	Solyc12g096030.1.1	AT5G26200.1
OG0005192	Solyc03g121920.3.1	AT1G72820.1, AT1G72820.2
OG0005193	Solyc08g080120.3.1	AT1G62990.1
OG0005194	Solyc09g010460.3.1, Solyc10g084670.2.1	AT4G11420.1
OG0005195	Solyc06g063290.3.1	AT1G51560.1, AT3G21140.1
OG0005196	Solyc06g066790.3.1, Solyc03g120350.3.1	AT1G80410.1, AT1G80410.2
OG0005197	Solyc02g082030.3.1	AT3G20320.2, AT3G20320.3, AT3G20320.1
OG0005198	Solyc03g097060.3.1	AT5G16890.1
OG0005199	Solyc08g065940.3.1	AT2G25900.2, AT2G25900.1
OG0005199	Solyc12g008660.1.1	AT4G29190.1, AT2G19810.1
OG0005200	Solyc06g065950.3.1	AT4G32150.1, AT2G25340.1, AT5G11150.1, AT5G11150.2
OG0005201	Solyc02g080500.3.1, Solyc03g031680.3.1, Solyc07g052360.2.1	AT1G61900.3, AT1G61900.1, AT1G61900.2
OG0005202	Solyc10g078760.2.1, Solyc10g078780.2.1, Solyc10g078770.2.1, Solyc03g058330.3.1	AT5G06760.1
OG0005204	Solyc03g116760.3.1	AT1G52540.1, AT1G52540.2, AT3G15890.1
OG0005205	Solyc05g050490.3.1, Solyc10g017810.2.1, Solyc01g091880.3.1	AT1G01910.3, AT1G01910.1, AT1G01910.4, AT1G01910.2
OG0005206	Solyc06g068040.3.1, Solyc03g116500.3.1	AT1G80170.2, AT1G80170.1
OG0005207	Solyc03g025880.3.1, Solyc01g009620.3.1, Solyc01g009630.3.1	AT4G25550.1
OG0005208	Solyc12g014530.2.1	AT5G14760.1
OG0005209	Solyc04g071880.3.1	AT1G16780.3, AT1G16780.2, AT1G16780.1, AT1G78920.1, AT1G78920.3, AT1G78920.2
OG0005210	Solyc07g005970.3.1	AT4G30790.1
OG0005211	Solyc07g005210.3.1	AT5G58070.1
OG0005212	Solyc03g025890.2.1	AT4G25540.1
OG0005213	Solyc03g121530.3.1	AT3G13740.5, AT3G13740.4, AT3G13740.6, AT3G13740.1, AT3G13740.3, AT3G13740.2, AT1G55140.1, AT1G55140.2
OG0005214	Solyc07g006350.3.1	AT5G57740.1
OG0005215	Solyc07g007310.3.1, Solyc07g007300.3.1	AT2G41040.1
OG0005216	Solyc03g122370.3.1	AT1G72560.3, AT1G72560.5, AT1G72560.4, AT1G72560.2, AT1G72560.7, AT1G72560.1, AT1G72560.6
OG0005217	Solyc12g056350.2.1	AT2G32500.2, AT2G32500.1
OG0005218	Solyc08g065220.3.1	AT4G33010.1, AT4G33010.2, AT2G26080.1
OG0005219	Solyc07g005180.3.1	AT4G30996.1, AT2G24290.1
OG0005220	Solyc03g121790.2.1	AT3G13898.1
OG0005221	Solyc12g007240.2.1, Solyc07g018370.2.1	AT2G20080.2, AT2G20080.1, AT2G20080.3, AT4G28840.1, AT4G28840.2, AT4G28840.3
OG0005222	Solyc08g068370.3.1, Solyc11g071270.2.1	AT4G32760.2, AT4G32760.1, AT4G32760.3
OG0005223	Solyc10g078160.2.1, Solyc10g081010.2.1	AT3G56590.2, AT3G56590.1, AT3G10810.1, AT3G10810.2
OG0005224	Solyc11g069480.2.1	AT2G37200.1, AT2G37200.2, AT2G28370.1
OG0005225	Solyc06g005000.3.1	AT5G60250.1
OG0005226	Solyc11g061760.2.1, Solyc12g100050.2.1	AT5G13070.1
OG0005227	Solyc09g013130.3.1, Solyc10g085060.2.1	AT3G09090.3, AT3G09090.2, AT3G09090.1
OG0005228	Solyc07g053700.3.1	AT4G28430.1, AT2G20590.3, AT2G20590.2, AT2G20590.1
OG0005229	Solyc11g044900.2.1, Solyc09g091860.3.1	AT3G45750.2, AT3G45750.5, AT3G45750.3, AT3G45750.4, AT3G45750.1, AT3G45760.1, AT3G45760.2
OG0005230	Solyc07g056230.3.1, Solyc07g045490.2.1, Solyc02g070660.3.1	AT4G18260.1, AT2G30890.1
OG0005231	Solyc11g068900.1.1, Solyc11g068895.1.1, Solyc06g074050.2.1	AT2G27260.1
OG0005232	Solyc02g021240.3.1, Solyc12g042300.2.1	AT2G02040.1
OG0005234	Solyc12g014100.2.1	AT5G54080.1, AT5G54080.2
OG0005235	Solyc02g091720.2.1	AT2G22690.1, AT2G22690.2, AT4G37880.1
OG0005236	Solyc10g084420.2.1	AT2G37300.6, AT2G37300.3, AT2G37300.5, AT2G37300.2, AT2G37300.4, AT2G37300.1
OG0005237	Solyc02g093590.3.1	AT5G14370.1
OG0005238	Solyc04g009820.3.1, Solyc11g006230.2.1	AT5G28640.3, AT5G28640.2, AT5G28640.1
OG0005239	Solyc03g119170.3.1	AT4G21460.2, AT4G21460.1, AT3G18240.2, AT3G18240.1
OG0005240	Solyc01g056830.3.1, Solyc01g056810.3.1, Solyc10g081580.2.1	AT3G03800.2, AT3G03800.1, AT5G08080.3, AT5G08080.4, AT5G08080.1
OG0005241	Solyc12g005760.2.1, Solyc07g052600.3.1	AT3G21865.1
OG0005242	Solyc04g015600.3.1, Solyc10g079170.2.1	AT2G41820.1
OG0005243	Solyc10g006390.3.1	AT3G20550.1
OG0005244	Solyc06g076850.3.1	AT1G07280.3, AT1G07280.1, AT1G07280.2, AT1G07280.4, AT2G29670.2, AT2G29670.1
OG0005245	Solyc01g005920.2.1, Solyc01g034080.1.1	AT3G13620.1
OG0005246	Solyc07g053870.3.1	AT1G03750.1
OG0005247	Solyc11g073130.2.1	AT5G59770.1
OG0005248	Solyc04g025825.1.1, Solyc04g009730.3.1, Solyc11g006680.2.1	AT5G04810.1, AT5G04810.2
OG0005249	Solyc08g016750.3.1, Solyc04g008590.3.1	AT1G30120.1, AT2G34590.1
OG0005251	Solyc06g049060.3.1	AT3G10915.3, AT3G10915.6, AT3G10915.7, AT3G10915.2, AT3G10915.1, AT3G10915.4, AT3G10915.5
OG0005252	Solyc11g069040.3.1	AT1G08110.2, AT1G08110.3, AT1G08110.1, AT1G08110.4
OG0005253	Solyc01g081300.3.1	AT3G21110.2, AT3G21110.3, AT3G21110.1
OG0005254	Solyc10g078300.2.1	AT3G56680.1
OG0005255	Solyc05g053220.3.1	AT5G30495.2, AT5G30495.1, AT1G54770.1, AT1G54770.2
OG0005257	Solyc02g065500.3.1	AT4G27010.1, AT4G27010.2, AT1G72270.1
OG0005258	Solyc04g015680.3.1, Solyc04g015690.3.1	AT3G57470.2, AT3G57470.1, AT3G57470.6, AT3G57470.5, AT2G41790.1
OG0005259	Solyc07g055330.3.1	AT3G58720.1, AT3G58720.4, AT3G58720.3, AT3G58720.2
OG0005260	Solyc02g093690.3.1	AT5G40660.1
OG0005261	Solyc01g068340.3.1, Solyc01g068350.3.1	AT4G30870.1
OG0005262	Solyc06g083230.3.1	AT3G07270.1, AT3G07270.2
OG0005263	Solyc07g053190.3.1	AT5G04670.1, AT5G04670.2
OG0005264	Solyc02g036300.3.1, Solyc02g036310.3.1, Solyc02g036290.3.1	AT4G04320.1, AT4G04320.2
OG0005265	Solyc10g078670.2.1, Solyc10g080410.2.1	AT5G06839.3, AT5G06839.2, AT5G06839.1
OG0005266	Solyc04g011600.3.1, Solyc05g053030.1.1	AT5G06090.1, AT3G11430.1
OG0005267	Solyc10g078270.2.1, Solyc10g080990.2.1, Solyc10g080980.2.1	AT5G07050.1
OG0005268	Solyc10g077080.2.1, Solyc10g081120.2.1	AT5G26120.1, AT3G10740.1, AT3G10740.3, AT3G10740.2, AT3G10740.4
OG0005269	Solyc05g015790.2.1, Solyc10g005200.3.1, Solyc02g082140.3.1	AT5G44670.1, AT4G20170.1
OG0005270	Solyc02g082100.3.1, Solyc10g005220.3.1	AT2G34920.1, AT2G34920.2, AT1G30860.1
OG0005271	Solyc06g061130.3.1, Solyc06g072930.4.1	AT2G38695.2, AT2G38695.4, AT2G38695.3, AT2G38695.1
OG0005272	Solyc07g064730.2.1, Solyc07g064720.3.1	AT5G55050.1
OG0005273	Solyc10g074920.2.1	AT5G01930.1
OG0005275	Solyc02g067180.3.1	AT3G01120.1
OG0005276	Solyc01g073910.3.1, Solyc10g080540.2.1	AT5G06710.1, AT5G06710.3, AT5G06710.2, AT5G06710.4
OG0005277	Solyc02g071570.3.1	AT4G18975.2, AT4G18975.4, AT4G18975.1, AT4G18975.3
OG0005278	Solyc03g063220.2.1	AT3G12810.1, AT3G12810.2
OG0005279	Solyc09g074570.1.1, Solyc06g008760.1.1	AT3G62960.1, AT2G47880.1, AT1G06830.1, AT2G30540.1
OG0005280	Solyc06g062810.1.1, Solyc03g121830.1.1	AT5G57020.1
OG0005281	Solyc08g080570.3.1	AT3G28530.1
OG0005283	Solyc02g094360.3.1	AT3G26990.2, AT3G26990.1
OG0005284	Solyc12g087970.2.1, Solyc04g076360.3.1	AT1G09710.4, AT1G09710.5, AT1G09710.3, AT1G09710.2, AT1G09710.1, AT1G58220.2, AT1G58220.1
OG0005285	Solyc01g111150.2.1, Solyc10g054880.2.1	AT2G16595.1, AT2G21160.1, AT2G21160.2
OG0005286	Solyc09g061430.3.1, Solyc06g083520.3.1	AT3G07050.1
OG0005287	Solyc10g074880.2.1, Solyc09g031940.1.1	AT3G08640.1, AT3G08630.1
OG0005288	Solyc03g117970.3.1	AT2G31320.1
OG0005289	Solyc01g095210.3.1	AT3G61570.2, AT3G61570.1, AT2G46180.1
OG0005290	Solyc12g035500.2.1, Solyc12g035475.1.1	AT1G67420.1, AT1G67420.6, AT1G67420.5, AT1G67420.2, AT1G67420.4, AT1G67420.3
OG0005291	Solyc12g009410.2.1, Solyc12g009400.2.1, Solyc07g042920.2.1	AT1G01090.1
OG0005292	Solyc01g096160.3.1	AT1G01220.6, AT1G01220.2, AT1G01220.5, AT1G01220.4, AT1G01220.3, AT1G01220.8, AT1G01220.7, AT1G01220.1
OG0005293	Solyc03g083420.3.1	AT5G53450.1, AT5G53450.3, AT5G53450.2
OG0005294	Solyc08g014600.3.1	AT2G43920.1, AT2G43920.2, AT2G43910.2, AT2G43910.1, AT2G43910.3, AT2G43920.4, AT2G43920.6, AT2G43920.5, AT2G43920.3, AT2G43940.1
OG0005295	Solyc02g078980.3.1	AT5G17570.2, AT5G17570.1, AT3G03500.2, AT3G03500.1, AT3G03500.3
OG0005296	Solyc12g015780.2.1	AT1G60620.2, AT1G60620.1, AT1G60850.3, AT1G60850.2, AT1G60850.1, AT1G60850.4
OG0005297	Solyc09g082680.3.1	AT1G04200.2, AT1G04200.1, AT1G04200.3
OG0005298	Solyc01g067790.3.1	AT3G21480.1
OG0005299	Solyc05g049900.3.1	AT3G61320.2, AT3G61320.3, AT3G61320.4, AT3G61320.1, AT2G45870.1, AT2G45870.2, AT2G45870.3
OG0005300	Solyc01g095907.1.1, Solyc10g009480.3.1	AT3G61750.1, AT3G61750.2
OG0005301	Solyc08g082430.3.1, Solyc08g008340.3.1	AT4G23895.3, AT4G23900.1, AT4G11010.1
OG0005302	Solyc06g060060.3.1	AT1G21640.2, AT1G21640.1
OG0005303	Solyc09g074930.3.1	AT2G47780.1
OG0005303	Solyc01g099680.3.1	AT3G05500.2, AT3G05500.1
OG0005304	Solyc11g005800.2.1	AT5G64630.2, AT5G64630.3, AT5G64630.1
OG0005305	Solyc12g099010.2.1	AT5G18525.1
OG0005306	Solyc09g083130.3.1, Solyc03g005340.3.1, Solyc09g083105.1.1, Solyc09g083120.3.1	AT4G14570.1
OG0005307	Solyc09g065700.3.1	AT4G02660.1, AT4G02660.3, AT4G02660.2, AT1G03060.2, AT1G03060.1, AT1G03060.4, AT1G03060.3
OG0005308	Solyc09g025250.3.1	AT2G31140.1, AT1G06200.2, AT1G06200.1
OG0005309	Solyc02g063490.3.1	AT2G22780.1
OG0005309	Solyc01g106480.3.1	AT5G09660.5, AT5G09660.1, AT5G09660.2
OG0005310	Solyc09g090670.3.1, Solyc12g096950.2.1	AT2G05590.1, AT2G05590.2
OG0005311	Solyc10g024360.2.1, Solyc01g104030.3.1	AT4G22200.2, AT4G22200.1
OG0005312	Solyc09g090800.2.1, Solyc05g053160.3.1	AT1G04560.1
OG0005313	Solyc02g082670.3.1	AT4G35550.1
OG0005314	Solyc05g015043.1.1, Solyc05g015040.3.1	AT1G27900.3, AT1G27900.2, AT1G27900.1
OG0005315	Solyc02g083600.3.1	AT5G66130.1, AT5G66130.2
OG0005316	Solyc01g100820.3.1	AT1G56590.1
OG0005317	Solyc02g081520.3.1	AT3G02680.1
OG0005318	Solyc02g087710.3.1, Solyc02g087680.1.1, Solyc02g087690.1.1	AT3G28730.1
OG0005319	Solyc05g012610.3.1, Solyc04g005490.3.1	AT1G69340.1, AT1G69340.2
OG0005320	Solyc11g065540.1.1, Solyc10g083450.2.1	AT1G69490.1
OG0005321	Solyc02g085745.1.1	AT5G38510.1, AT5G38510.2, AT5G38510.3
OG0005322	Solyc02g089230.3.1	AT5G38900.2, AT5G38900.1
OG0005324	Solyc02g086560.3.1	AT1G50170.3, AT1G50170.2, AT1G50170.1
OG0005325	Solyc03g112810.3.1	AT5G63000.1
OG0005326	Solyc04g074760.3.1	AT1G14680.1, AT4G09060.1, AT4G09060.2
OG0005327	Solyc11g011770.2.1, Solyc05g051060.3.1	AT5G16560.1
OG0005328	Solyc03g119460.3.1	AT1G73840.1, AT1G73840.2
OG0005329	Solyc03g097800.3.1	AT1G12840.1
OG0005330	Solyc02g086200.2.1	AT5G16180.1, AT5G16180.2
OG0005331	Solyc03g096840.3.1, Solyc06g072840.3.1, Solyc06g072845.1.1	AT3G03150.1, AT5G17165.1
OG0005332	Solyc05g012200.3.1	AT2G03667.2, AT2G03667.1
OG0005334	Solyc12g038630.2.1, Solyc03g114740.3.1	AT1G69030.1, AT1G26300.3, AT1G26300.2, AT1G26300.1
OG0005335	Solyc11g040040.2.1	AT1G50280.2, AT1G50280.1, AT3G19850.1
OG0005336	Solyc08g076470.3.1	AT1G32200.1, AT1G32200.2
OG0005337	Solyc10g076730.1.1	AT1G23205.1, AT1G70720.1, AT1G70720.2, AT2G01610.1, AT1G14890.1
OG0005338	Solyc03g113500.3.1	AT1G18950.3, AT1G18950.1, AT1G18950.2
OG0005339	Solyc03g110860.3.1, Solyc03g111450.2.1, Solyc06g072040.1.1	AT3G48590.1, AT5G63470.1, AT5G63470.2
OG0005340	Solyc05g052050.1.1, Solyc03g093610.1.1	AT2G44840.1
OG0005341	Solyc08g075010.3.1	AT1G31500.5, AT1G31500.1, AT1G31500.8, AT1G31500.3, AT1G31500.6, AT1G31500.4, AT1G31500.7, AT1G31500.2
OG0005342	Solyc05g005460.3.1	AT1G60420.1
OG0005343	Solyc08g075150.3.1	AT5G45310.2, AT5G45310.1
OG0005344	Solyc07g006180.3.1	AT4G30480.1, AT4G30480.3, AT4G30480.2
OG0005345	Solyc05g009140.3.1	AT1G25375.1
OG0005347	Solyc02g036370.3.1	AT5G17300.2, AT5G17300.1
OG0005348	Solyc07g045185.1.1, Solyc05g024010.3.1	AT2G33500.1, AT2G33500.2, AT1G28050.1
OG0005349	Solyc02g089720.2.1, Solyc03g046200.1.1	AT5G15870.1
OG0005350	Solyc08g076920.3.1, Solyc08g005070.3.1	AT5G46750.1, AT4G17890.1, AT4G17890.2
OG0005351	Solyc03g096910.3.1	AT3G03120.2
OG0005351	Solyc06g072800.3.1	AT5G17060.2, AT5G17060.1, AT3G03120.1
OG0005352	Solyc04g007870.3.1	AT1G70750.1
OG0005353	Solyc08g067820.3.1	AT2G27790.3, AT2G27790.4, AT2G27790.1, AT2G27790.2, AT5G27300.3, AT5G27300.2, AT5G27300.1
OG0005354	Solyc12g094490.2.1	AT4G04885.1
OG0005355	Solyc08g078510.3.1, Solyc01g009760.3.1	AT5G13200.1, AT5G13200.2
OG0005356	Solyc08g077110.3.1, Solyc06g061080.3.1	AT4G17980.2, AT4G17980.1, AT5G46590.1, AT5G46590.2
OG0005357	Solyc03g093880.3.1	AT5G51170.2, AT5G51170.1, AT5G51170.4, AT5G51170.3
OG0005358	Solyc03g098620.3.1	AT1G48380.1, AT1G48380.2
OG0005359	Solyc05g016440.3.1, Solyc05g016460.2.1	AT1G23230.2, AT1G23230.3, AT1G23230.1
OG0005360	Solyc03g115150.3.1	AT5G61060.1, AT5G61060.2, AT5G61070.1, AT5G61050.1
OG0005361	Solyc03g046590.3.1	AT5G38880.1
OG0005362	Solyc05g013500.3.1	AT1G70630.4, AT1G70630.3, AT1G70630.6, AT1G70630.7, AT1G70630.5, AT1G70630.1, AT1G70630.2
OG0005363	Solyc08g074600.3.1	AT1G31360.6, AT1G31360.1, AT1G31360.3, AT1G31360.2, AT1G31360.8, AT1G31360.4, AT1G31360.7, AT1G31360.5
OG0005365	Solyc05g052320.3.1	AT5G22900.1, AT3G44900.1
OG0005367	Solyc06g061215.1.1, Solyc07g054720.2.1	AT1G72060.1
OG0005371	Solyc04g054900.3.1	AT5G65120.2, AT5G65120.1, AT5G10110.1
OG0005373	Solyc01g007180.3.1	AT4G00695.2, AT4G00695.1, AT4G00695.5, AT4G00695.3, AT4G00695.4, AT1G80245.2, AT1G80245.5, AT1G80245.4, AT1G80245.6, AT1G80245.7, AT1G80245.3, AT1G80245.1
OG0005377	Solyc01g050040.3.1	AT4G26400.1, AT4G26400.2, AT5G56340.1, AT1G55530.1, AT1G55530.2, AT1G55530.3
OG0005395	Solyc11g067150.2.1	AT4G04190.3, AT4G04190.2, AT4G04190.1
OG0005396	Solyc03g078020.3.1	AT2G47020.4, AT2G47020.1, AT2G47020.3, AT2G47020.2, AT2G47020.5
OG0005399	Solyc12g010110.2.1	AT5G58160.1
OG0005400	Solyc11g066260.2.1	AT5G22950.1
OG0005402	Solyc07g055740.1.1, Solyc07g055750.3.1, Solyc04g040090.3.1, Solyc10g079610.2.1	AT3G57030.1
OG0005403	Solyc01g100330.3.1	AT3G05760.1, AT3G05760.2
OG0005404	Solyc02g069090.2.1, Solyc02g069100.3.1, Solyc02g069110.3.1	AT1G02300.1, AT1G02305.1, AT4G01610.2, AT4G01610.1
OG0005405	Solyc01g058170.3.1, Solyc01g058160.3.1	AT1G09320.1, AT3G06520.2, AT3G06520.1
OG0005406	Solyc10g084160.2.1	AT3G50100.2, AT3G50100.1, AT3G50090.1
OG0005407	Solyc01g080490.2.1	AT3G21550.1, AT3G21520.1
OG0005408	Solyc01g007120.3.1	AT3G51270.3, AT3G51270.4, AT3G51270.1, AT3G51270.2
OG0005409	Solyc11g065740.2.1	AT5G19855.2, AT5G19855.1
OG0005410	Solyc06g071070.1.1, Solyc06g071060.1.1, Solyc08g008445.1.1	AT5G18210.1, AT5G18210.2, AT3G03980.1
OG0005411	Solyc01g010750.3.1	AT2G39050.1
OG0005412	Solyc09g009370.3.1	AT1G48090.1, AT1G48090.2, AT1G48090.3, AT1G48090.5, AT1G48090.6, AT1G48090.4
OG0005413	Solyc06g074960.3.1	AT3G45040.2, AT3G45040.1, AT3G45040.3
OG0005414	Solyc06g008190.1.1	AT1G13040.2, AT1G13040.1
OG0005415	Solyc06g082390.3.1	AT2G30280.1
OG0005416	Solyc08g007520.3.1	AT3G07750.2, AT3G07750.1
OG0005417	Solyc07g045390.2.1	AT5G27820.1
OG0005418	Solyc09g005570.3.1	AT5G01370.1
OG0005419	Solyc06g065170.3.1	AT2G05170.1
OG0005423	Solyc12g021130.2.1	AT2G43420.1
OG0005424	Solyc12g019000.2.1, Solyc08g015650.3.1, Solyc12g096640.2.1	AT2G43970.1, AT2G43970.2
OG0005425	Solyc10g085680.2.1	AT5G01920.1, AT5G01920.2
OG0005426	Solyc09g042710.3.1	AT2G38370.2, AT2G38370.1
OG0005427	Solyc06g049080.3.1	AT3G56350.1, AT3G10920.1, AT3G10920.2
OG0005428	Solyc11g067110.2.1, Solyc11g067140.2.1	AT1G08260.2, AT1G08260.1, AT2G27120.3, AT2G27120.1, AT2G27120.2
OG0005430	Solyc07g018350.2.1	AT3G24495.2, AT3G24495.1
OG0005431	Solyc03g121180.3.1, Solyc03g121170.3.1	AT3G16370.1
OG0005432	Solyc11g068510.2.1	AT2G27730.1, AT2G27730.4, AT2G27730.3, AT2G27730.2
OG0005433	Solyc01g057850.3.1, Solyc01g057840.3.1	AT5G49930.1
OG0005434	Solyc06g073110.3.1	AT1G08760.1
OG0005435	Solyc09g005880.1.1	AT2G37380.1
OG0005435	Solyc05g054850.1.1	AT2G39370.1
OG0005436	Solyc03g095410.3.1	AT5G12370.3, AT5G12370.2, AT5G12370.1
OG0005437	Solyc01g098740.3.1	AT1G54820.3, AT1G54820.4, AT1G54820.2, AT1G54820.1
OG0005438	Solyc09g010060.3.1, Solyc10g083310.2.1	AT2G36200.1, AT2G36200.2
OG0005439	Solyc01g081380.3.1	AT5G17620.1
OG0005440	Solyc09g009130.3.1, Solyc10g083580.2.1, Solyc11g066880.2.1, Solyc06g074540.3.1	AT3G44735.1, AT3G44735.2
OG0005441	Solyc01g097730.3.1	AT3G60050.2, AT3G60050.1, AT1G55630.1
OG0005442	Solyc02g043875.1.1, Solyc02g043860.3.1	AT1G06900.1
OG0005443	Solyc06g051730.3.1	AT2G40090.1
OG0005444	Solyc06g008360.3.1, Solyc06g083850.3.1, Solyc09g025310.3.1	AT4G28530.1, AT4G28530.2
OG0005445	Solyc08g029130.3.1, Solyc06g065730.3.1	AT2G25170.3, AT2G25170.2, AT2G25170.4, AT2G25170.1
OG0005446	Solyc06g048920.3.1	AT2G40690.2, AT2G40690.3, AT2G40690.1
OG0005446	Solyc06g048900.1.1	AT2G40720.1
OG0005447	Solyc10g083530.2.1, Solyc09g009220.3.1	AT2G36420.1, AT5G03670.1, AT5G03670.2
OG0005448	Solyc05g052540.2.1, Solyc03g096030.3.1, Solyc06g051350.3.1	AT2G40150.1, AT3G55990.1
OG0005449	Solyc01g080240.3.1	AT5G19010.1
OG0005450	Solyc11g065240.2.1	AT1G50450.1
OG0005451	Solyc11g067010.2.1	AT4G21110.2, AT4G21110.1
OG0005452	Solyc10g085150.2.1	AT5G58770.1
OG0005453	Solyc03g063350.3.1	AT2G42080.1, AT3G58020.1
OG0005454	Solyc04g009920.3.1, Solyc05g055040.3.1	AT5G18480.1
OG0005455	Solyc09g008830.3.1	AT3G10040.1
OG0005457	Solyc08g014470.3.1	AT3G55850.2, AT3G55850.4, AT3G55850.3, AT3G55850.1, AT3G55850.6, AT3G55850.5
OG0005458	Solyc03g051900.3.1	AT3G11964.2, AT3G11964.1
OG0005459	Solyc10g083160.2.1	AT2G45243.1, AT4G34070.1, AT5G06260.1, AT5G06260.3, AT5G06260.2
OG0005460	Solyc09g090380.1.1	AT5G44060.1, AT1G04000.1, AT3G23440.1
OG0005461	Solyc08g074560.3.1	AT4G31390.2, AT4G31390.1
OG0005462	Solyc10g081850.2.1, Solyc01g006950.3.1	AT3G11820.1, AT3G11820.2
OG0005463	Solyc08g014060.3.1	AT1G73180.2, AT1G73180.1
OG0005464	Solyc02g078285.1.1, Solyc02g078300.3.1	AT1G02680.1
OG0005465	Solyc06g008210.3.1, Solyc09g066080.2.1, Solyc12g041980.2.1, Solyc05g016230.3.1, Solyc12g042000.2.1	AT1G04020.1, AT1G04020.2
OG0005466	Solyc09g065730.3.1, Solyc03g005230.3.1	AT3G63410.1
OG0005467	Solyc05g054620.3.1	AT2G39570.1
OG0005469	Solyc01g111710.3.1	AT1G75990.1, AT1G20200.1
OG0005470	Solyc01g006260.3.1	AT1G04635.1
OG0005471	Solyc07g044760.3.1, Solyc12g006320.2.1	AT3G22310.1, AT3G22310.2, AT3G22330.1
OG0005472	Solyc01g100500.3.1	AT5G17900.1, AT4G08580.1, AT4G08580.2
OG0005473	Solyc12g095840.2.1	AT2G25740.1, AT2G25740.2
OG0005474	Solyc01g109780.3.1, Solyc10g052650.2.1	AT4G34550.2, AT4G34550.1, AT2G16365.6, AT2G16365.2, AT2G16365.5, AT2G16365.4, AT2G16365.1, AT2G16365.3, AT2G16290.1, AT2G16300.1
OG0005475	Solyc02g030190.1.1, Solyc02g062170.3.1, Solyc02g083890.3.1	AT5G66230.1, AT5G66230.2, AT3G51230.1
OG0005476	Solyc11g013110.2.1	AT5G08640.1, AT5G08640.2
OG0005477	Solyc04g081860.3.1, Solyc12g089370.2.1, Solyc12g089360.1.1	AT5G42180.1
OG0005479	Solyc01g107880.3.1	AT4G34100.2, AT4G34100.1
OG0005480	Solyc08g015690.3.1, Solyc12g017515.1.1	AT2G44060.1, AT2G44060.2
OG0005481	Solyc10g019040.2.1	AT1G61000.1
OG0005482	Solyc04g076150.3.1, Solyc12g087930.1.1	AT1G58120.1
OG0005483	Solyc10g005820.2.1, Solyc12g015860.2.1	AT4G17190.3, AT4G17190.1, AT5G47770.1
OG0005484	Solyc11g043110.2.1	AT1G71250.1
OG0005485	Solyc01g105410.3.1	AT5G64260.1
OG0005486	Solyc08g078450.3.1, Solyc08g007310.3.1	AT4G16745.1, AT4G16745.2
OG0005487	Solyc01g005320.2.1, Solyc02g063390.3.1	AT2G46890.1
OG0005488	Solyc01g106900.3.1	AT3G19640.1
OG0005489	Solyc08g081600.1.1, Solyc09g005790.1.1, Solyc09g090450.1.1	AT1G49330.1, AT2G16190.2, AT2G16190.1
OG0005490	Solyc06g052030.3.1, Solyc03g082940.3.1	AT5G53480.1
OG0005491	Solyc01g111380.3.1	AT2G16700.1, AT2G16700.2, AT2G16700.4, AT2G16700.3, AT4G34970.1
OG0005492	Solyc02g064730.3.1, Solyc04g078070.3.1, Solyc03g045000.1.1	AT2G23090.1
OG0005493	Solyc06g065500.3.1	AT2G32230.2, AT2G32230.1
OG0005494	Solyc10g074990.2.1	AT3G52905.1
OG0005495	Solyc02g085360.3.1	AT3G50660.1, AT3G50660.2
OG0005496	Solyc11g044470.2.1	AT1G33470.2, AT1G33470.3, AT1G33470.1, AT1G22910.1, AT1G22910.4, AT1G22910.3, AT1G22910.2
OG0005497	Solyc01g102970.3.1	AT4G24270.4, AT4G24270.3, AT4G24270.1, AT4G24270.2
OG0005498	Solyc05g053100.3.1, Solyc01g100360.3.1	AT3G16950.2, AT3G16950.1, AT4G16155.1
OG0005499	Solyc01g107410.3.1	AT3G19510.2, AT3G19510.1
OG0005500	Solyc01g107350.3.1	AT3G19540.1
OG0005501	Solyc06g060420.3.1	AT1G44835.2, AT1G44835.1
OG0005502	Solyc02g065360.3.1	AT2G23470.1
