Orthogroup	A_hypochondriacus.proteins	A_coerulea.proteins
OG0006507	AH013494-RA	Aqcoe7G287800.1.p, Aqcoe7G287800.2.p
OG0006508	AH014019-RA	Aqcoe7G384400.1.p
OG0006509	AH001033-RA	Aqcoe7G045200.1.p
OG0006511	AH009181-RA	Aqcoe7G055100.2.p, Aqcoe7G055100.3.p, Aqcoe7G055100.1.p, Aqcoe7G056000.1.p
OG0006513	AH016805-RA, AH012261-RA	Aqcoe7G073900.1.p, Aqcoe7G073900.2.p
OG0006514	AH019971-RA	Aqcoe7G133800.1.p, Aqcoe7G133800.2.p
OG0006515	AH012091-RA	Aqcoe7G020900.1.p
OG0006516	AH014003-RA	Aqcoe7G382100.1.p, Aqcoe7G382100.2.p
OG0006517	AH014345-RA	Aqcoe7G254200.2.p, Aqcoe7G254200.1.p
OG0006518	AH021217-RA, AH014342-RA	Aqcoe7G237900.1.p, Aqcoe7G237900.2.p
OG0006519	AH008240-RA	Aqcoe7G082000.1.p
OG0006520	AH000486-RA, AH002128-RA	Aqcoe7G161100.1.p, Aqcoe7G161100.2.p
OG0006521	AH014102-RA	Aqcoe7G029300.2.p, Aqcoe7G029300.1.p
OG0006522	AH000642-RA	Aqcoe7G363400.1.p
OG0006523	AH014228-RA, AH016087-RA	Aqcoe7G127400.1.p
OG0006524	AH014092-RA	Aqcoe7G268200.3.p, Aqcoe7G268200.2.p, Aqcoe7G268200.1.p
OG0006525	AH011355-RA	Aqcoe7G002800.1.p
OG0006526	AH020151-RA	Aqcoe7G164400.1.p
OG0006527	AH001989-RA	Aqcoe7G276500.2.p, Aqcoe7G276500.1.p
OG0006528	AH018191-RA, AH011369-RA	Aqcoe7G000700.2.p, Aqcoe7G000700.1.p
OG0006529	AH016070-RA	Aqcoe7G125200.2.p, Aqcoe7G125200.1.p
OG0006530	AH017200-RA	Aqcoe3G024500.1.p, Aqcoe7G372900.1.p
OG0006531	AH021745-RA	Aqcoe7G356100.1.p
OG0006532	AH014638-RA	Aqcoe7G194200.1.p
OG0006533	AH017137-RA, AH020772-RA	Aqcoe7G279000.2.p, Aqcoe7G279000.1.p
OG0006534	AH018758-RA, AH012269-RA, AH019467-RA	Aqcoe7G071800.1.p
OG0006535	AH009114-RA	Aqcoe7G072600.1.p
OG0006536	AH019468-RA	Aqcoe7G072100.1.p
OG0006537	AH014190-RA, AH002074-RA	Aqcoe7G181600.1.p
OG0006538	AH017900-RA	Aqcoe7G308800.2.p, Aqcoe7G308800.1.p
OG0006539	AH020909-RA	Aqcoe7G151200.1.p
OG0006540	AH000195-RA, AH012776-RA	Aqcoe1G136300.1.p
OG0006541	AH019116-RA	Aqcoe1G461200.1.p, Aqcoe1G461300.1.p
OG0006542	AH001452-RA	Aqcoe1G120400.2.p, Aqcoe1G120400.1.p
OG0006543	AH022505-RA	Aqcoe1G468000.1.p, Aqcoe1G468100.1.p
OG0006544	AH007422-RA, AH002023-RA, AH002022-RA	Aqcoe1G055700.1.p
OG0006545	AH014514-RA	Aqcoe1G162400.1.p, Aqcoe1G162400.2.p
OG0006546	AH014013-RA	Aqcoe1G166200.1.p, Aqcoe1G166200.2.p, Aqcoe3G426500.1.p
OG0006547	AH006561-RA	Aqcoe1G011600.1.p
OG0006548	AH013716-RA	Aqcoe1G090700.3.p, Aqcoe1G090700.1.p, Aqcoe1G090700.2.p
OG0006549	AH020400-RA, AH006760-RA	Aqcoe1G025500.1.p
OG0006550	AH022594-RA	Aqcoe1G079000.1.p
OG0006551	AH011069-RA, AH019140-RA	Aqcoe1G131700.1.p, Aqcoe1G131700.2.p
OG0006552	AH014958-RA	Aqcoe1G328900.1.p, Aqcoe1G300300.1.p, Aqcoe1G328900.2.p
OG0006553	AH007936-RA	Aqcoe1G454500.4.p, Aqcoe1G454500.6.p, Aqcoe1G454500.1.p, Aqcoe1G454500.3.p, Aqcoe1G454500.5.p, Aqcoe1G454500.2.p
OG0006554	AH014290-RA, AH021068-RA, AH021067-RA	Aqcoe1G493400.1.p
OG0006555	AH021027-RA	Aqcoe1G438500.1.p
OG0006556	AH015931-RA	Aqcoe1G486400.1.p, Aqcoe1G486400.2.p
OG0006557	AH014990-RA	Aqcoe1G243900.3.p, Aqcoe1G243900.4.p, Aqcoe1G243900.1.p, Aqcoe1G243900.2.p, Aqcoe1G243900.6.p, Aqcoe1G243900.5.p
OG0006558	AH009727-RA	Aqcoe1G376700.1.p
OG0006559	AH003015-RA	Aqcoe3G102600.1.p, Aqcoe3G102600.2.p, Aqcoe1G066500.1.p, Aqcoe1G066500.2.p
OG0006560	AH017476-RA	Aqcoe1G473200.1.p, Aqcoe1G473200.2.p
OG0006561	AH001227-RA, AH001226-RA	Aqcoe1G124500.1.p
OG0006562	AH000369-RA, AH001506-RA	Aqcoe1G316300.1.p
OG0006564	AH012505-RA, AH021744-RA	Aqcoe1G395500.1.p
OG0006565	AH022625-RA	Aqcoe1G078700.1.p, Aqcoe1G078700.3.p, Aqcoe1G078700.2.p
OG0006566	AH008016-RA, AH011680-RA	Aqcoe1G085600.1.p
OG0006567	AH010235-RA, AH013678-RA	Aqcoe1G182500.1.p
OG0006568	AH017396-RA	Aqcoe1G018000.1.p
OG0006569	AH010120-RA	Aqcoe1G288900.1.p, Aqcoe1G288900.2.p
OG0006570	AH022292-RA, AH013455-RA	Aqcoe1G006700.1.p
OG0006571	AH019446-RA, AH019443-RA, AH019445-RA, AH019441-RA	Aqcoe1G183800.1.p
OG0006572	AH001147-RA	Aqcoe1G192900.2.p, Aqcoe1G192900.1.p
OG0006573	AH012755-RA	Aqcoe1G134400.2.p, Aqcoe1G134400.3.p, Aqcoe1G134400.1.p
OG0006574	AH003006-RA	Aqcoe1G002100.4.p, Aqcoe1G002100.3.p, Aqcoe1G002100.2.p, Aqcoe1G002100.1.p
OG0006575	AH022526-RA	Aqcoe1G462100.1.p
OG0006576	AH018962-RA	Aqcoe1G104700.1.p
OG0006577	AH010764-RA	Aqcoe1G145400.1.p
OG0006578	AH000264-RA	Aqcoe1G130300.1.p, Aqcoe5G058600.1.p
OG0006579	AH010323-RA	Aqcoe1G066400.2.p, Aqcoe1G066400.1.p
OG0006580	AH013134-RA	Aqcoe1G331200.1.p, Aqcoe1G331300.1.p, Aqcoe5G406000.1.p
OG0006581	AH020503-RA	Aqcoe1G156300.1.p
OG0006582	AH012564-RA, AH012566-RA	Aqcoe1G436700.1.p
OG0006583	AH001288-RA	Aqcoe1G010300.1.p, Aqcoe1G010200.1.p
OG0006584	AH013157-RA	Aqcoe1G478300.2.p, Aqcoe1G478300.1.p
OG0006585	AH001183-RA, AH001181-RA	Aqcoe1G086600.1.p
OG0006586	AH018307-RA	Aqcoe1G214200.1.p
OG0006587	AH001305-RA, AH001306-RA	Aqcoe1G092100.1.p
OG0006588	AH022661-RA	Aqcoe1G419200.1.p
OG0006589	AH020280-RA, AH007642-RA	Aqcoe1G056200.1.p
OG0006590	AH023116-RA, AH016392-RA	Aqcoe1G410200.1.p
OG0006591	AH018831-RA	Aqcoe1G147300.2.p, Aqcoe1G147300.1.p
OG0006592	AH016002-RA	Aqcoe1G169500.1.p
OG0006593	AH014706-RA	Aqcoe1G188800.2.p, Aqcoe1G188800.4.p, Aqcoe1G188800.3.p, Aqcoe1G188800.1.p, Aqcoe1G188800.5.p
OG0006594	AH013778-RA	Aqcoe1G431400.1.p, Aqcoe1G431400.2.p
OG0006595	AH013764-RA	Aqcoe1G088100.1.p
OG0006596	AH018859-RA	Aqcoe1G079700.2.p, Aqcoe1G079700.1.p
OG0006597	AH013182-RA, AH022469-RA, AH016332-RA	Aqcoe1G151400.1.p
OG0006598	AH015463-RA, AH021613-RA, AH015104-RA	Aqcoe1G325000.3.p, Aqcoe1G325000.2.p, Aqcoe1G325000.1.p
OG0006599	AH021293-RA	Aqcoe1G120800.1.p, Aqcoe1G120800.2.p
OG0006600	AH012809-RA	Aqcoe1G170400.1.p
OG0006601	AH007921-RA	Aqcoe1G115400.1.p
OG0006602	AH006850-RA, AH018856-RA	Aqcoe1G080600.1.p
OG0006603	AH014883-RA, AH001196-RA, AH011427-RA, AH018251-RA	Aqcoe1G387500.1.p
OG0006604	AH013143-RA	Aqcoe1G474200.2.p, Aqcoe1G474200.1.p, Aqcoe1G474200.6.p, Aqcoe1G474200.4.p, Aqcoe1G474200.3.p, Aqcoe1G474200.5.p
OG0006605	AH023432-RA	Aqcoe1G376000.1.p
OG0006606	AH015482-RA	Aqcoe1G046900.2.p, Aqcoe1G046900.3.p, Aqcoe1G046900.1.p, Aqcoe1G046900.4.p
OG0006607	AH021812-RA, AH012599-RA	Aqcoe1G444300.1.p
OG0006608	AH000150-RA, AH001315-RA	Aqcoe1G491000.1.p
OG0006609	AH006317-RA	Aqcoe1G158700.2.p, Aqcoe1G158700.1.p
OG0006610	AH000235-RA	Aqcoe1G375500.1.p
OG0006611	AH016298-RA	Aqcoe1G400400.1.p, Aqcoe1G400400.3.p, Aqcoe1G400400.2.p, Aqcoe1G400400.4.p
OG0006612	AH016527-RA, AH022874-RA	Aqcoe1G414200.1.p
OG0006613	AH019096-RA	Aqcoe1G026600.1.p, Aqcoe1G026600.2.p, Aqcoe5G305300.2.p, Aqcoe5G305300.1.p, Aqcoe5G305300.3.p, Aqcoe5G305300.7.p, Aqcoe5G305300.4.p, Aqcoe5G305300.6.p, Aqcoe5G305300.5.p
OG0006614	AH013727-RA	Aqcoe1G104200.1.p, Aqcoe1G104200.2.p
OG0006615	AH022640-RA, AH019073-RA	Aqcoe1G010000.1.p
OG0006616	AH017409-RA	Aqcoe1G408900.1.p
OG0006617	AH017249-RA	Aqcoe5G347700.1.p
OG0006618	AH018655-RA	Aqcoe5G433100.1.p, Aqcoe5G433400.1.p
OG0006619	AH005039-RA	Aqcoe5G191900.1.p, Aqcoe5G192000.1.p, Aqcoe5G195300.1.p, Aqcoe5G190700.1.p, Aqcoe5G191800.1.p
OG0006620	AH010830-RA	Aqcoe5G055900.1.p
OG0006621	AH020047-RA	Aqcoe3G174000.1.p, Aqcoe5G047900.2.p, Aqcoe5G047900.1.p
OG0006622	AH019850-RA	Aqcoe5G305100.4.p, Aqcoe5G305100.3.p, Aqcoe5G305100.2.p, Aqcoe5G305100.5.p, Aqcoe5G305100.1.p
OG0006623	AH006442-RA	Aqcoe5G211100.2.p, Aqcoe5G211100.1.p
OG0006624	AH009406-RA	Aqcoe5G304800.1.p
OG0006625	AH006206-RA	Aqcoe5G246900.1.p
OG0006626	AH019651-RA	Aqcoe5G456700.1.p, Aqcoe5G456700.2.p
OG0006627	AH022650-RA, AH018057-RA	Aqcoe5G449500.1.p
OG0006628	AH007062-RA, AH007064-RA, AH007061-RA	Aqcoe5G032200.3.p, Aqcoe5G032200.1.p, Aqcoe5G032200.4.p, Aqcoe5G032200.5.p, Aqcoe5G032200.2.p
OG0006629	AH017246-RA	Aqcoe5G351700.1.p
OG0006630	AH014405-RA	Aqcoe5G064900.3.p, Aqcoe5G064900.2.p, Aqcoe5G064900.5.p, Aqcoe5G064900.1.p, Aqcoe5G064900.4.p
OG0006631	AH009439-RA	Aqcoe5G269000.2.p, Aqcoe5G269000.1.p
OG0006632	AH004624-RA	Aqcoe5G324000.2.p, Aqcoe5G324000.4.p, Aqcoe5G324000.1.p, Aqcoe5G324000.3.p
OG0006633	AH003372-RA	Aqcoe5G350700.1.p, Aqcoe5G350600.1.p
OG0006634	AH007689-RA, AH010930-RA	Aqcoe5G203500.1.p
OG0006635	AH004908-RA	Aqcoe5G375900.1.p
OG0006636	AH009446-RA	Aqcoe5G300200.1.p
OG0006637	AH008510-RA	Aqcoe5G247400.1.p, Aqcoe5G247400.2.p
OG0006638	AH019754-RA	Aqcoe5G476500.3.p, Aqcoe5G476500.1.p, Aqcoe5G476500.4.p, Aqcoe5G476500.2.p
OG0006639	AH015878-RA, AH004524-RA	Aqcoe5G362400.1.p, Aqcoe3G193300.1.p
OG0006640	AH019750-RA	Aqcoe5G475100.1.p
OG0006641	AH014660-RA	Aqcoe5G284000.1.p, Aqcoe5G284000.2.p, Aqcoe5G284000.3.p
OG0006643	AH004304-RA	Aqcoe5G224200.2.p, Aqcoe5G224200.1.p
OG0006644	AH010729-RA, AH007863-RA	Aqcoe5G057800.1.p
OG0006645	AH006965-RA	Aqcoe5G000500.2.p, Aqcoe5G000500.3.p, Aqcoe5G000500.1.p
OG0006646	AH010329-RA	Aqcoe5G011200.1.p, Aqcoe5G011200.2.p
OG0006647	AH001769-RA	Aqcoe5G179100.1.p, Aqcoe5G179100.2.p
OG0006648	AH009243-RA	Aqcoe5G433900.1.p, Aqcoe5G434100.1.p
OG0006649	AH012952-RA	Aqcoe5G092200.1.p
OG0006650	AH009611-RA	Aqcoe5G442400.1.p
OG0006651	AH018081-RA	Aqcoe5G454900.2.p, Aqcoe5G454900.1.p
OG0006652	AH019571-RA, AH000146-RA	Aqcoe5G278000.1.p
OG0006653	AH007747-RA	Aqcoe5G414600.1.p
OG0006654	AH007168-RA	Aqcoe5G017400.1.p, Aqcoe5G017400.2.p, Aqcoe5G017400.3.p
OG0006655	AH005123-RA, AH004618-RA	Aqcoe5G324100.2.p, Aqcoe5G324100.1.p
OG0006656	AH019709-RA	Aqcoe5G047800.1.p
OG0006657	AH003994-RA, AH005605-RA	Aqcoe5G194900.1.p
OG0006658	AH018286-RA	Aqcoe5G410700.1.p
OG0006659	AH005898-RA, AH003948-RA	Aqcoe5G204400.2.p, Aqcoe5G204400.1.p
OG0006660	AH015660-RA, AH017376-RA	Aqcoe5G361300.1.p
OG0006661	AH002435-RA	Aqcoe5G219900.1.p
OG0006662	AH001915-RA	Aqcoe5G014400.1.p, Aqcoe5G014400.2.p, Aqcoe5G014400.3.p
OG0006663	AH004369-RA	Aqcoe5G445400.1.p
OG0006664	AH006980-RA, AH020208-RA	Aqcoe5G088200.1.p
OG0006665	AH017292-RA	Aqcoe5G291800.1.p, Aqcoe5G291800.2.p
OG0006666	AH003954-RA	Aqcoe5G205200.3.p, Aqcoe5G205200.1.p, Aqcoe5G205200.4.p, Aqcoe5G205200.2.p, Aqcoe5G205200.5.p
OG0006667	AH009386-RA	Aqcoe5G303900.1.p, Aqcoe5G303900.3.p, Aqcoe5G303900.2.p
OG0006668	AH020175-RA	Aqcoe5G316000.1.p, Aqcoe5G075900.1.p
OG0006669	AH002464-RA	Aqcoe5G314100.2.p, Aqcoe5G314100.1.p
OG0006670	AH005126-RA	Aqcoe5G339100.3.p, Aqcoe5G339100.6.p, Aqcoe5G339100.5.p, Aqcoe5G339100.4.p, Aqcoe5G339100.1.p, Aqcoe5G339100.2.p
OG0006671	AH004533-RA, AH005199-RA	Aqcoe5G350800.1.p
OG0006672	AH009656-RA	Aqcoe5G437400.1.p, Aqcoe5G437400.2.p
OG0006673	AH022132-RA	Aqcoe5G005400.1.p
OG0006674	AH007546-RA	Aqcoe5G072300.1.p, Aqcoe5G072300.2.p
OG0006676	AH015832-RA	Aqcoe5G050900.1.p, Aqcoe5G050900.2.p
OG0006677	AH003926-RA	Aqcoe5G162000.1.p
OG0006678	AH021029-RA	Aqcoe5G117600.1.p
OG0006679	AH016702-RA	Aqcoe5G315300.2.p, Aqcoe5G315300.1.p
OG0006680	AH001848-RA	Aqcoe5G200900.1.p
OG0006682	AH017161-RA, AH018430-RA	Aqcoe5G378900.1.p
OG0006683	AH003307-RA, AH010332-RA	Aqcoe5G013800.1.p
OG0006684	AH002199-RA	Aqcoe5G022200.1.p
OG0006685	AH000572-RA, AH001807-RA	Aqcoe5G190400.1.p
OG0006686	AH018714-RA	Aqcoe5G422400.1.p
OG0006687	AH009638-RA	Aqcoe5G016800.1.p
OG0006688	AH005450-RA	Aqcoe5G261600.1.p
OG0006689	AH005707-RA, AH003868-RA	Aqcoe5G101700.1.p
OG0006690	AH023710-RA	Aqcoe5G214800.1.p
OG0006691	AH004448-RA, AH004833-RA	Aqcoe5G404100.1.p, Aqcoe5G404100.2.p
OG0006692	AH002708-RA	Aqcoe5G221300.3.p, Aqcoe5G221300.4.p, Aqcoe5G221300.5.p, Aqcoe5G221300.6.p, Aqcoe5G221300.2.p, Aqcoe5G221300.1.p
OG0006693	AH022368-RA	Aqcoe5G382900.1.p, Aqcoe5G382900.2.p
OG0006694	AH016096-RA	Aqcoe5G154900.2.p, Aqcoe5G154900.1.p
OG0006695	AH004196-RA	Aqcoe5G063400.1.p
OG0006696	AH021024-RA, AH021023-RA	Aqcoe5G300600.1.p
OG0006697	AH010633-RA	Aqcoe5G234900.1.p
OG0006698	AH007840-RA	Aqcoe3G413600.1.p, Aqcoe3G413500.1.p, Aqcoe3G413700.1.p
OG0006699	AH017922-RA	Aqcoe3G141700.3.p, Aqcoe3G141700.4.p, Aqcoe3G141700.2.p, Aqcoe3G141700.1.p
OG0006700	AH004124-RA	Aqcoe3G031300.1.p
OG0006701	AH001331-RA, AH000318-RA	Aqcoe3G129600.1.p
OG0006702	AH019771-RA	Aqcoe3G255500.1.p
OG0006703	AH013102-RA	Aqcoe3G340600.1.p, Aqcoe3G340600.3.p, Aqcoe3G340600.2.p, Aqcoe3G340600.4.p
OG0006704	AH014809-RA	Aqcoe3G098800.1.p
OG0006705	AH019363-RA	Aqcoe3G102900.1.p, Aqcoe3G102900.5.p, Aqcoe3G102900.4.p, Aqcoe3G102900.3.p, Aqcoe3G102900.2.p
OG0006706	AH016541-RA, AH022885-RA	Aqcoe3G039800.1.p
OG0006707	AH005422-RA	Aqcoe3G395700.1.p
OG0006708	AH009474-RA	Aqcoe3G142100.2.p, Aqcoe3G142100.1.p
OG0006709	AH009340-RA	Aqcoe3G246400.1.p
OG0006710	AH002802-RA	Aqcoe3G330400.1.p, Aqcoe3G330400.2.p, Aqcoe3G087000.1.p, Aqcoe3G087000.2.p
OG0006711	AH017211-RA	Aqcoe3G013400.2.p, Aqcoe3G013400.1.p, Aqcoe3G183900.1.p
OG0006712	AH019375-RA	Aqcoe3G096600.1.p
OG0006713	AH009384-RA	Aqcoe3G260900.1.p
OG0006714	AH020508-RA	Aqcoe3G156000.1.p
OG0006715	AH010312-RA	Aqcoe3G202300.6.p, Aqcoe3G202300.5.p, Aqcoe3G202300.1.p, Aqcoe3G202300.2.p, Aqcoe3G202300.7.p, Aqcoe3G202300.4.p, Aqcoe3G202300.3.p
OG0006716	AH010643-RA	Aqcoe3G004700.1.p
OG0006717	AH015296-RA, AH015557-RA, AH015850-RA	Aqcoe3G416300.1.p
OG0006718	AH016602-RA, AH022754-RA	Aqcoe3G070000.1.p
OG0006719	AH003027-RA	Aqcoe3G399100.1.p, Aqcoe3G399100.2.p
OG0006720	AH017485-RA	Aqcoe3G368000.1.p
OG0006721	AH007280-RA	Aqcoe3G213800.1.p
OG0006722	AH007256-RA	Aqcoe3G166600.2.p, Aqcoe3G166600.1.p, Aqcoe3G166600.4.p, Aqcoe3G166600.3.p, Aqcoe3G166600.5.p, Aqcoe3G166600.6.p
OG0006723	AH004695-RA, AH004652-RA	Aqcoe3G103300.1.p
OG0006724	AH016490-RA	Aqcoe3G076400.1.p
OG0006725	AH012164-RA	Aqcoe3G275000.1.p, Aqcoe3G275000.2.p
OG0006726	AH002906-RA, AH017462-RA	Aqcoe3G067500.1.p, Aqcoe3G377600.2.p, Aqcoe3G377600.3.p, Aqcoe3G377600.1.p
OG0006727	AH005535-RA	Aqcoe3G367700.1.p, Aqcoe3G367700.3.p, Aqcoe3G367700.2.p, Aqcoe3G367700.4.p
OG0006728	AH017165-RA, AH015877-RA	Aqcoe3G191800.1.p
OG0006729	AH017472-RA	Aqcoe3G063200.1.p
OG0006730	AH005518-RA	Aqcoe3G376100.1.p
OG0006731	AH016566-RA, AH022814-RA	Aqcoe3G012100.1.p
OG0006733	AH016125-RA	Aqcoe3G246300.4.p, Aqcoe3G246300.1.p, Aqcoe3G246300.2.p
OG0006734	AH005508-RA, AH004176-RA	Aqcoe3G020000.2.p, Aqcoe3G020000.1.p
OG0006735	AH001099-RA	Aqcoe3G433600.2.p, Aqcoe3G433600.3.p, Aqcoe3G263100.1.p, Aqcoe3G263100.2.p, Aqcoe3G433600.1.p
OG0006736	AH019944-RA, AH007269-RA	Aqcoe3G171300.1.p
OG0006737	AH017425-RA	Aqcoe3G049100.1.p
OG0006738	AH019898-RA	Aqcoe3G231300.1.p, Aqcoe3G231300.2.p
OG0006739	AH017448-RA	Aqcoe3G388200.2.p, Aqcoe3G388200.3.p, Aqcoe3G388200.1.p
OG0006740	AH018343-RA	Aqcoe3G236700.1.p
OG0006741	AH015755-RA, AH015756-RA	Aqcoe3G331800.1.p
OG0006742	AH018452-RA, AH011552-RA	Aqcoe3G172000.1.p
OG0006743	AH018208-RA	Aqcoe3G032600.2.p, Aqcoe3G032600.1.p
OG0006744	AH014876-RA, AH000135-RA	Aqcoe3G194000.2.p, Aqcoe3G194000.1.p
OG0006745	AH002539-RA	Aqcoe3G174200.1.p, Aqcoe3G174200.2.p, Aqcoe3G174200.3.p
OG0006746	AH017983-RA	Aqcoe3G120100.3.p, Aqcoe3G120100.4.p, Aqcoe3G120100.1.p, Aqcoe3G120100.2.p
OG0006747	AH015922-RA	Aqcoe3G093100.1.p
OG0006748	AH022871-RA	Aqcoe3G031600.1.p
OG0006749	AH013562-RA, AH022371-RA	Aqcoe3G137100.1.p
OG0006750	AH001621-RA	Aqcoe3G261000.1.p, Aqcoe3G261000.2.p
OG0006751	AH016542-RA	Aqcoe3G039900.1.p
OG0006752	AH023387-RA	Aqcoe3G260500.2.p, Aqcoe3G260500.1.p
OG0006753	AH012988-RA	Aqcoe3G131200.1.p
OG0006754	AH002856-RA, AH017554-RA	Aqcoe3G352000.1.p
OG0006755	AH011120-RA	Aqcoe3G429000.1.p, Aqcoe3G429000.3.p, Aqcoe3G429000.2.p
OG0006756	AH013577-RA	Aqcoe3G104900.2.p, Aqcoe3G104900.1.p
OG0006757	AH021224-RA	Aqcoe3G444200.2.p, Aqcoe3G444200.3.p, Aqcoe3G444200.1.p
OG0006758	AH007281-RA	Aqcoe3G211300.4.p, Aqcoe3G211300.2.p, Aqcoe3G211300.3.p, Aqcoe3G211300.1.p
OG0006759	AH005077-RA	Aqcoe3G102000.5.p, Aqcoe3G102000.3.p, Aqcoe3G102000.1.p, Aqcoe3G102000.2.p, Aqcoe3G102000.4.p
OG0006760	AH004678-RA	Aqcoe3G097900.2.p, Aqcoe3G097900.1.p
OG0006761	AH016560-RA	Aqcoe3G408000.1.p
OG0006762	AH017985-RA	Aqcoe3G292500.1.p, Aqcoe3G292500.2.p
OG0006763	AH009494-RA	Aqcoe3G412800.1.p
OG0006766	AH004017-RA	Aqcoe3G076300.1.p
OG0006767	AH022313-RA, AH013430-RA	Aqcoe3G075100.1.p
OG0006768	AH013112-RA	Aqcoe3G283400.1.p
OG0006769	AH019215-RA	Aqcoe3G404600.1.p
OG0006770	AH005044-RA, AH004373-RA	Aqcoe3G342000.1.p
OG0006771	AH015175-RA	Aqcoe3G409400.1.p
OG0006772	AH004598-RA	Aqcoe3G327300.1.p
OG0006773	AH005067-RA	Aqcoe3G337300.4.p, Aqcoe3G337300.3.p, Aqcoe3G337300.2.p, Aqcoe3G337300.1.p
OG0006774	AH017986-RA	Aqcoe3G292600.1.p
OG0006775	AH013467-RA	Aqcoe3G327700.1.p, Aqcoe3G327700.3.p, Aqcoe3G327700.4.p, Aqcoe3G327700.5.p, Aqcoe3G327700.2.p
OG0006776	AH016515-RA	Aqcoe3G024900.1.p, Aqcoe3G024900.2.p
OG0006777	AH007322-RA, AH019937-RA	Aqcoe3G183300.1.p
OG0006834	AH021155-RA, AH014245-RA, AH014244-RA	Aqcoe2G007300.1.p
OG0006835	AH006943-RA	Aqcoe2G395500.1.p
OG0006836	AH000003-RA, AH013896-RA	Aqcoe2G158200.1.p
OG0006837	AH011519-RA, AH018407-RA	Aqcoe2G053700.1.p
OG0006838	AH012888-RA	Aqcoe7G191600.1.p
OG0006839	AH021835-RA, AH012622-RA	Aqcoe1G451100.1.p, Aqcoe2G132200.1.p
OG0006840	AH007065-RA	Aqcoe2G334300.1.p
OG0006841	AH015505-RA	Aqcoe2G196900.1.p
OG0006842	AH023726-RA	Aqcoe3G292900.1.p, Aqcoe2G362000.1.p
OG0006844	AH023001-RA	Aqcoe2G233200.1.p
OG0006845	AH011062-RA	Aqcoe2G048800.1.p
OG0006846	AH012754-RA	Aqcoe2G204600.1.p, Aqcoe2G204600.2.p, Aqcoe5G295700.1.p
OG0006847	AH020408-RA	Aqcoe2G412400.1.p
OG0006848	AH022402-RA, AH018752-RA	Aqcoe2G105500.1.p
OG0006849	AH020132-RA	Aqcoe2G332500.1.p
OG0006850	AH009292-RA	Aqcoe2G404600.2.p, Aqcoe2G404600.1.p
OG0006851	AH002170-RA	Aqcoe6G203700.2.p, Aqcoe6G203700.1.p, Aqcoe6G203700.3.p, Aqcoe2G260600.1.p, Aqcoe2G260600.2.p, Aqcoe2G260500.1.p, Aqcoe2G260300.1.p, Aqcoe2G260300.2.p, Aqcoe2G382300.1.p, Aqcoe2G260800.1.p
OG0006852	AH010395-RA	Aqcoe2G401800.2.p, Aqcoe2G401800.4.p, Aqcoe2G401800.3.p, Aqcoe2G401800.1.p
OG0006853	AH011020-RA	Aqcoe2G034800.2.p, Aqcoe2G034800.1.p
OG0006855	AH006854-RA, AH020332-RA	Aqcoe2G007700.1.p
OG0006856	AH003410-RA, AH006279-RA	Aqcoe2G373800.1.p
OG0006857	AH015435-RA, AH015436-RA	Aqcoe2G049000.1.p, Aqcoe2G049000.2.p
OG0006858	AH016271-RA, AH023221-RA	Aqcoe7G383200.2.p, Aqcoe7G383200.1.p, Aqcoe1G408300.1.p, Aqcoe7G308400.1.p, Aqcoe4G182900.1.p, Aqcoe2G084000.1.p
OG0006859	AH002608-RA, AH017779-RA	Aqcoe2G357600.1.p, Aqcoe2G357500.1.p, Aqcoe2G357000.1.p, Aqcoe5G043600.1.p
OG0006861	AH019988-RA	Aqcoe2G249600.4.p, Aqcoe2G249600.6.p, Aqcoe2G249600.1.p, Aqcoe2G249600.3.p, Aqcoe2G249600.2.p, Aqcoe2G249600.5.p
OG0006862	AH012133-RA	Aqcoe2G419400.2.p, Aqcoe2G419400.1.p
OG0006863	AH020154-RA, AH019427-RA	Aqcoe2G319400.1.p
OG0006864	AH021913-RA, AH012912-RA	Aqcoe2G331500.1.p
OG0006866	AH005539-RA	Aqcoe1G074100.1.p, Aqcoe2G122800.1.p, Aqcoe2G122800.2.p
OG0006867	AH022731-RA, AH016625-RA	Aqcoe2G023600.1.p, Aqcoe2G023700.1.p
OG0006868	AH011234-RA	Aqcoe2G266200.1.p, Aqcoe2G266200.2.p
OG0006869	AH012692-RA, AH021869-RA	Aqcoe2G161300.1.p, Aqcoe2G248800.1.p
OG0006870	AH016234-RA, AH023274-RA	Aqcoe2G102800.1.p
OG0006871	AH023491-RA	Aqcoe2G176900.1.p
OG0006872	AH020557-RA	Aqcoe2G423400.1.p
OG0006873	AH016985-RA	Aqcoe2G203600.1.p, Aqcoe2G203600.2.p
OG0006874	AH011642-RA	Aqcoe2G014900.1.p
OG0006875	AH022100-RA, AH012959-RA	Aqcoe2G292100.1.p
OG0006876	AH006717-RA	Aqcoe2G032500.1.p
OG0006877	AH022528-RA	Aqcoe2G149800.1.p, Aqcoe1G461900.1.p
OG0006878	AH004009-RA, AH005375-RA	Aqcoe2G121600.1.p
OG0006879	AH018518-RA	Aqcoe3G170400.1.p, Aqcoe2G135200.1.p, Aqcoe6G123200.1.p, Aqcoe3G175800.1.p
OG0006880	AH018149-RA	Aqcoe2G116400.1.p
OG0006881	AH011838-RA	Aqcoe2G431800.1.p
OG0006882	AH018913-RA	Aqcoe2G070200.1.p
