Orthogroup	A_hypochondriacus.proteins	L_sativa.proteins
OG0003737	AH003432-RA, AH006298-RA	Lsat_1_v5_gn_4_26141.2, Lsat_1_v5_gn_4_26141.1
OG0003739	AH006288-RA	Lsat_1_v5_gn_0_25980.1, Lsat_1_v5_gn_2_93020.1, Lsat_1_v5_gn_2_93020.3
OG0003740	AH002562-RA	Lsat_1_v5_gn_5_186120.3
OG0003741	AH015825-RA	Lsat_1_v5_gn_3_97940.1
OG0003742	AH009370-RA	Lsat_1_v5_gn_4_39820.1
OG0003743	AH005465-RA	Lsat_1_v5_gn_4_16321.1, Lsat_1_v5_gn_8_40701.1
OG0003743	AH022870-RA, AH016526-RA	Lsat_1_v5_gn_4_154601.1, Lsat_1_v5_gn_3_79441.1
OG0003744	AH004079-RA, AH005432-RA	Lsat_1_v5_gn_4_19380.1, Lsat_1_v5_gn_8_37500.3, Lsat_1_v5_gn_8_37500.1
OG0003745	AH008633-RA	Lsat_1_v5_gn_4_134340.3, Lsat_1_v5_gn_4_134340.1
OG0003746	AH018189-RA	Lsat_1_v5_gn_0_45861.1, Lsat_1_v5_gn_3_14761.1
OG0003747	AH012989-RA, AH022033-RA	Lsat_1_v5_gn_5_181261.1, Lsat_1_v5_gn_9_11460.1, Lsat_1_v5_gn_9_11460.3
OG0003749	AH016853-RA, AH016852-RA	Lsat_1_v5_gn_7_69540.3, Lsat_1_v5_gn_7_69540.1, Lsat_1_v5_gn_7_110860.1, Lsat_1_v5_gn_7_110860.3
OG0003750	AH009823-RA, AH009822-RA, AH009824-RA, AH009826-RA	Lsat_1_v5_gn_5_2901.1
OG0003751	AH003510-RA	Lsat_1_v5_gn_4_45560.1
OG0003769	AH013458-RA, AH022289-RA	Lsat_1_v5_gn_9_15501.1, Lsat_1_v5_gn_9_15501.2, Lsat_1_v5_gn_5_176860.1, Lsat_1_v5_gn_8_98801.1, Lsat_1_v5_gn_8_98801.2
OG0003770	AH000544-RA, AH001757-RA	Lsat_1_v5_gn_6_59880.1, Lsat_1_v5_gn_6_59880.3, Lsat_1_v5_gn_6_59880.2
OG0003771	AH011072-RA, AH007505-RA	Lsat_1_v5_gn_2_32180.1
OG0003772	AH002663-RA	Lsat_1_v5_gn_5_182940.2, Lsat_1_v5_gn_5_182940.1
OG0003773	AH021225-RA	Lsat_1_v5_gn_9_43200.1
OG0003774	AH021911-RA, AH012907-RA	Lsat_1_v5_gn_9_4320.1, Lsat_1_v5_gn_9_4320.4, Lsat_1_v5_gn_9_4320.2
OG0003775	AH002196-RA	Lsat_1_v5_gn_7_80861.1
OG0003775	AH008770-RA	Lsat_1_v5_gn_9_43801.1, Lsat_1_v5_gn_9_43801.3
OG0003776	AH016475-RA, AH016476-RA	Lsat_1_v5_gn_5_72980.1
OG0003777	AH007199-RA	Lsat_1_v5_gn_3_118301.2, Lsat_1_v5_gn_3_118301.1
OG0003778	AH010554-RA	Lsat_1_v5_gn_8_116001.1, Lsat_1_v5_gn_8_116001.2
OG0003779	AH012742-RA	Lsat_1_v5_gn_1_51541.3, Lsat_1_v5_gn_1_51541.1, Lsat_1_v5_gn_6_24401.1, Lsat_1_v5_gn_6_24401.2
OG0003780	AH006543-RA, AH020536-RA	Lsat_1_v5_gn_1_69541.1, Lsat_1_v5_gn_2_48200.4, Lsat_1_v5_gn_2_48200.1
OG0003781	AH018843-RA, AH016928-RA	Lsat_1_v5_gn_5_149520.1, Lsat_1_v5_gn_5_149520.2
OG0003782	AH012527-RA, AH021762-RA	Lsat_1_v5_gn_9_36341.1, Lsat_1_v5_gn_5_149681.1
OG0003782	AH013204-RA	Lsat_1_v5_gn_9_14620.1
OG0003783	AH005883-RA, AH020686-RA	Lsat_1_v5_gn_7_44381.3, Lsat_1_v5_gn_7_44381.1, Lsat_1_v5_gn_5_93661.1, Lsat_1_v5_gn_5_93661.3
OG0003784	AH010982-RA	Lsat_1_v5_gn_8_81481.1, Lsat_1_v5_gn_2_113881.1, Lsat_1_v5_gn_4_137940.1
OG0003785	AH015630-RA	Lsat_1_v5_gn_9_60521.1
OG0003786	AH010401-RA	Lsat_1_v5_gn_9_122580.3, Lsat_1_v5_gn_9_122580.2, Lsat_1_v5_gn_9_122580.1, Lsat_1_v5_gn_9_122640.3, Lsat_1_v5_gn_9_122640.1, Lsat_1_v5_gn_9_122640.2
OG0003787	AH015305-RA	Lsat_1_v5_gn_3_33121.1, Lsat_1_v5_gn_8_148840.3, Lsat_1_v5_gn_8_148840.1
OG0003788	AH017948-RA	Lsat_1_v5_gn_4_83740.1, Lsat_1_v5_gn_1_38660.3, Lsat_1_v5_gn_1_38660.1
OG0003788	AH015523-RA	Lsat_1_v5_gn_6_85281.2, Lsat_1_v5_gn_6_85281.1, Lsat_1_v5_gn_2_1621.1, Lsat_1_v5_gn_3_77780.1
OG0003788	AH015440-RA	Lsat_1_v5_gn_3_17381.1
OG0003789	AH020161-RA	Lsat_1_v5_gn_3_23520.1, Lsat_1_v5_gn_3_23520.3
OG0003790	AH020529-RA, AH020528-RA	Lsat_1_v5_gn_2_52561.2, Lsat_1_v5_gn_2_52561.1
OG0003791	AH016043-RA	Lsat_1_v5_gn_8_111221.1
OG0003792	AH000074-RA, AH001116-RA	Lsat_1_v5_gn_4_26940.1, Lsat_1_v5_gn_3_36200.1, Lsat_1_v5_gn_3_36200.3
OG0003793	AH020104-RA	Lsat_1_v5_gn_7_66480.1
OG0003793	AH010451-RA	Lsat_1_v5_gn_4_139381.2, Lsat_1_v5_gn_4_139381.1
OG0003794	AH000202-RA	Lsat_1_v5_gn_5_53060.2, Lsat_1_v5_gn_5_53060.3, Lsat_1_v5_gn_5_53060.1
OG0003795	AH018829-RA	Lsat_1_v5_gn_9_37481.1, Lsat_1_v5_gn_9_37481.2
OG0003796	AH018120-RA	Lsat_1_v5_gn_7_11121.3, Lsat_1_v5_gn_7_11121.2, Lsat_1_v5_gn_7_11121.1
OG0003797	AH007771-RA, AH010839-RA	Lsat_1_v5_gn_2_66580.3, Lsat_1_v5_gn_2_66580.1, Lsat_1_v5_gn_5_179580.1
OG0003798	AH013039-RA	Lsat_1_v5_gn_5_179820.1, Lsat_1_v5_gn_9_12580.1
OG0003799	AH014179-RA, AH014178-RA	Lsat_1_v5_gn_8_93701.3, Lsat_1_v5_gn_8_93701.1, Lsat_1_v5_gn_5_101600.1, Lsat_1_v5_gn_5_100700.1, Lsat_1_v5_gn_5_100700.3
OG0003801	AH005889-RA, AH008165-RA	Lsat_1_v5_gn_7_33120.3, Lsat_1_v5_gn_7_33120.1, Lsat_1_v5_gn_5_59060.1
OG0003802	AH012029-RA	Lsat_1_v5_gn_8_4880.2, Lsat_1_v5_gn_8_4880.1
OG0003803	AH021206-RA, AH014601-RA	Lsat_1_v5_gn_2_106321.1
OG0003804	AH001240-RA, AH000209-RA	Lsat_1_v5_gn_1_62940.4, Lsat_1_v5_gn_1_62940.1, Lsat_1_v5_gn_6_43741.1, Lsat_1_v5_gn_6_43741.3
OG0003805	AH010420-RA	Lsat_1_v5_gn_5_102741.1, Lsat_1_v5_gn_5_102741.2, Lsat_1_v5_gn_5_102361.1, Lsat_1_v5_gn_5_102361.2, Lsat_1_v5_gn_7_73381.1, Lsat_1_v5_gn_9_122941.1
OG0003807	AH012977-RA	Lsat_1_v5_gn_8_92380.1
OG0003808	AH012963-RA, AH022103-RA	Lsat_1_v5_gn_4_184221.1
OG0003809	AH011804-RA	Lsat_1_v5_gn_6_70541.1, Lsat_1_v5_gn_6_70541.3
OG0003810	AH007108-RA, AH019859-RA	Lsat_1_v5_gn_1_43901.3, Lsat_1_v5_gn_1_43901.1, Lsat_1_v5_gn_6_114340.3, Lsat_1_v5_gn_6_114340.1, Lsat_1_v5_gn_6_114340.2
OG0003811	AH001890-RA	Lsat_1_v5_gn_7_87541.1, Lsat_1_v5_gn_7_87541.3, Lsat_1_v5_gn_9_108981.3, Lsat_1_v5_gn_9_108981.2, Lsat_1_v5_gn_9_108981.1
OG0003812	AH005941-RA	Lsat_1_v5_gn_3_78821.1, Lsat_1_v5_gn_3_78821.3
OG0003813	AH018214-RA, AH011471-RA	Lsat_1_v5_gn_9_58040.1, Lsat_1_v5_gn_8_25240.1, Lsat_1_v5_gn_8_25240.3
OG0003815	AH006184-RA	Lsat_1_v5_gn_2_83581.3, Lsat_1_v5_gn_2_83581.1
OG0003816	AH005330-RA, AH004165-RA	Lsat_1_v5_gn_7_78961.3, Lsat_1_v5_gn_7_78961.1, Lsat_1_v5_gn_5_105641.1
OG0003818	AH001086-RA, AH000028-RA	Lsat_1_v5_gn_5_112140.1, Lsat_1_v5_gn_0_4221.1, Lsat_1_v5_gn_9_110921.1, Lsat_1_v5_gn_9_110921.2
OG0003819	AH002302-RA, AH004751-RA	Lsat_1_v5_gn_3_48941.1, Lsat_1_v5_gn_5_100681.1, Lsat_1_v5_gn_5_100541.1, Lsat_1_v5_gn_5_100601.1, Lsat_1_v5_gn_5_100601.2
OG0003821	AH008070-RA, AH010034-RA	Lsat_1_v5_gn_4_125861.2, Lsat_1_v5_gn_4_125861.1, Lsat_1_v5_gn_6_112081.3, Lsat_1_v5_gn_6_112081.1
OG0003822	AH008407-RA	Lsat_1_v5_gn_6_109441.1
OG0003824	AH005926-RA, AH003632-RA	Lsat_1_v5_gn_5_120701.1, Lsat_1_v5_gn_5_120681.1, Lsat_1_v5_gn_3_62221.2, Lsat_1_v5_gn_3_62221.1, Lsat_1_v5_gn_8_96061.1, Lsat_1_v5_gn_5_120701.4, Lsat_1_v5_gn_5_110320.1, Lsat_1_v5_gn_7_83541.1
OG0003825	AH010699-RA	Lsat_1_v5_gn_2_70281.1, Lsat_1_v5_gn_2_70281.2, Lsat_1_v5_gn_8_35321.1
OG0003826	AH003816-RA, AH005765-RA	Lsat_1_v5_gn_3_76001.1
OG0003827	AH003958-RA	Lsat_1_v5_gn_5_45360.4
OG0003828	AH013965-RA	Lsat_1_v5_gn_8_61381.1, Lsat_1_v5_gn_8_61381.2
OG0003829	AH014644-RA	Lsat_1_v5_gn_7_85901.1
OG0003829	AH006178-RA	Lsat_1_v5_gn_2_83541.1, Lsat_1_v5_gn_2_83541.3, Lsat_1_v5_gn_2_83541.4
OG0003830	AH005016-RA	Lsat_1_v5_gn_8_63421.4, Lsat_1_v5_gn_8_63421.2
OG0003831	AH002340-RA, AH000758-RA, AH002341-RA	Lsat_1_v5_gn_3_47800.1, Lsat_1_v5_gn_8_121820.3, Lsat_1_v5_gn_8_121820.1
OG0003832	AH002270-RA	Lsat_1_v5_gn_8_124401.3, Lsat_1_v5_gn_8_124401.1
OG0003833	AH003730-RA	Lsat_1_v5_gn_2_84120.1, Lsat_1_v5_gn_2_84120.2, Lsat_1_v5_gn_4_166460.3, Lsat_1_v5_gn_4_166460.1, Lsat_1_v5_gn_3_90900.1
OG0003834	AH006453-RA	Lsat_1_v5_gn_3_72520.1, Lsat_1_v5_gn_2_75821.1
OG0003835	AH003738-RA	Lsat_1_v5_gn_3_90660.1, Lsat_1_v5_gn_3_90660.2, Lsat_1_v5_gn_3_90660.3
OG0003836	AH021497-RA, AH014983-RA	Lsat_1_v5_gn_4_59381.1, Lsat_1_v5_gn_7_16240.1
OG0003837	AH012612-RA	Lsat_1_v5_gn_8_1221.1, Lsat_1_v5_gn_9_50621.3, Lsat_1_v5_gn_6_22200.1, Lsat_1_v5_gn_9_50621.1
OG0003838	AH008859-RA	Lsat_1_v5_gn_6_95841.3, Lsat_1_v5_gn_6_95841.1, Lsat_1_v5_gn_8_48581.2, Lsat_1_v5_gn_2_37261.1
OG0003839	AH005714-RA	Lsat_1_v5_gn_2_82660.3, Lsat_1_v5_gn_2_82660.1
OG0003840	AH003854-RA, AH005723-RA	Lsat_1_v5_gn_3_86581.1, Lsat_1_v5_gn_3_86581.2, Lsat_1_v5_gn_3_86581.3
OG0003841	AH019688-RA	Lsat_1_v5_gn_2_136261.2, Lsat_1_v5_gn_2_136261.1, Lsat_1_v5_gn_9_49801.1, Lsat_1_v5_gn_9_49801.2
OG0003842	AH022408-RA, AH022407-RA	Lsat_1_v5_gn_4_131841.1
OG0003844	AH010023-RA	Lsat_1_v5_gn_9_97101.2, Lsat_1_v5_gn_9_97101.3, Lsat_1_v5_gn_9_97101.1, Lsat_1_v5_gn_5_127760.1
OG0003846	AH010118-RA	Lsat_1_v5_gn_9_99180.1
OG0003848	AH015284-RA	Lsat_1_v5_gn_1_120521.1, Lsat_1_v5_gn_7_21860.1, Lsat_1_v5_gn_1_120500.3, Lsat_1_v5_gn_1_120500.1
OG0003849	AH014702-RA	Lsat_1_v5_gn_7_27760.2, Lsat_1_v5_gn_7_27760.1, Lsat_1_v5_gn_4_29661.1
OG0003850	AH015127-RA	Lsat_1_v5_gn_7_19621.1, Lsat_1_v5_gn_4_57061.2, Lsat_1_v5_gn_4_57061.1
OG0003851	AH014390-RA, AH020984-RA	Lsat_1_v5_gn_4_85240.1, Lsat_1_v5_gn_5_9201.1
OG0003853	AH009795-RA, AH008262-RA	Lsat_1_v5_gn_4_62081.2, Lsat_1_v5_gn_4_62081.1, Lsat_1_v5_gn_0_26921.3, Lsat_1_v5_gn_0_26921.1
OG0003854	AH019237-RA, AH014716-RA, AH019515-RA	Lsat_1_v5_gn_7_27220.3, Lsat_1_v5_gn_7_27220.1
OG0003855	AH016534-RA	Lsat_1_v5_gn_8_24860.1
OG0003856	AH009999-RA	Lsat_1_v5_gn_5_7061.1
OG0003857	AH008005-RA	Lsat_1_v5_gn_9_99841.3, Lsat_1_v5_gn_9_99841.1, Lsat_1_v5_gn_9_99841.2
OG0003858	AH014824-RA	Lsat_1_v5_gn_7_24040.1
OG0003859	AH009413-RA	Lsat_1_v5_gn_6_104880.2, Lsat_1_v5_gn_6_104880.1, Lsat_1_v5_gn_4_165000.1, Lsat_1_v5_gn_3_11000.1
OG0003860	AH015232-RA, AH021653-RA	Lsat_1_v5_gn_4_53520.3, Lsat_1_v5_gn_4_53520.1
OG0003861	AH014088-RA, AH020723-RA	Lsat_1_v5_gn_5_131260.1, Lsat_1_v5_gn_4_89020.1, Lsat_1_v5_gn_4_88960.1
OG0003862	AH019437-RA	Lsat_1_v5_gn_2_129181.3, Lsat_1_v5_gn_2_129181.1, Lsat_1_v5_gn_2_129181.4
OG0003863	AH015079-RA, AH021632-RA	Lsat_1_v5_gn_7_19061.1, Lsat_1_v5_gn_7_19061.2
OG0003864	AH020969-RA, AH014403-RA	Lsat_1_v5_gn_7_53761.1, Lsat_1_v5_gn_7_53761.2, Lsat_1_v5_gn_7_53761.3
OG0003865	AH009168-RA	Lsat_1_v5_gn_5_135560.1
OG0003866	AH012334-RA	Lsat_1_v5_gn_2_130241.1, Lsat_1_v5_gn_9_53821.1, Lsat_1_v5_gn_8_7700.1
OG0003867	AH019572-RA	Lsat_1_v5_gn_9_55100.1
OG0003868	AH004502-RA	Lsat_1_v5_gn_3_35500.3, Lsat_1_v5_gn_3_35500.1, Lsat_1_v5_gn_3_35520.2, Lsat_1_v5_gn_3_35520.1, Lsat_1_v5_gn_3_35520.3
OG0003869	AH001999-RA	Lsat_1_v5_gn_5_132520.4, Lsat_1_v5_gn_5_132520.2, Lsat_1_v5_gn_5_132520.3
OG0003870	AH000204-RA, AH013444-RA	Lsat_1_v5_gn_7_10180.2, Lsat_1_v5_gn_7_10180.1, Lsat_1_v5_gn_4_44381.1
OG0003871	AH002127-RA	Lsat_1_v5_gn_4_88401.2, Lsat_1_v5_gn_4_88401.1
OG0003872	AH020864-RA	Lsat_1_v5_gn_5_103081.1, Lsat_1_v5_gn_8_105101.3, Lsat_1_v5_gn_8_105101.1
OG0003873	AH003218-RA	Lsat_1_v5_gn_6_90720.1
OG0003874	AH013773-RA, AH022670-RA	Lsat_1_v5_gn_5_170900.3, Lsat_1_v5_gn_5_170900.1, Lsat_1_v5_gn_9_25741.1
OG0003875	AH016219-RA	Lsat_1_v5_gn_6_11220.2, Lsat_1_v5_gn_6_11220.1
OG0003875	AH000459-RA	Lsat_1_v5_gn_5_130261.1
OG0003876	AH018062-RA	Lsat_1_v5_gn_3_10161.1, Lsat_1_v5_gn_6_85800.1
OG0003877	AH018620-RA	Lsat_1_v5_gn_1_34361.1, Lsat_1_v5_gn_1_34361.2
OG0003878	AH018681-RA	Lsat_1_v5_gn_6_87521.1, Lsat_1_v5_gn_6_87521.2
OG0003879	AH020869-RA, AH014519-RA, AH020870-RA	Lsat_1_v5_gn_5_103481.3, Lsat_1_v5_gn_5_103481.1
OG0003880	AH019211-RA	Lsat_1_v5_gn_1_43161.1, Lsat_1_v5_gn_1_43161.2
OG0003880	AH014159-RA	Lsat_1_v5_gn_5_99201.1
OG0003881	AH010628-RA, AH007373-RA	Lsat_1_v5_gn_5_146080.2, Lsat_1_v5_gn_8_88160.1, Lsat_1_v5_gn_7_38100.1, Lsat_1_v5_gn_5_146080.1
OG0003882	AH000190-RA	Lsat_1_v5_gn_2_98901.1, Lsat_1_v5_gn_2_98901.2
OG0003883	AH012199-RA	Lsat_1_v5_gn_2_109780.1, Lsat_1_v5_gn_9_52040.2, Lsat_1_v5_gn_2_109780.2, Lsat_1_v5_gn_9_52040.1
OG0003884	AH014354-RA, AH021018-RA	Lsat_1_v5_gn_8_64521.1
OG0003885	AH011922-RA, AH018180-RA	Lsat_1_v5_gn_3_14441.1
OG0003886	AH003203-RA, AH018578-RA, AH003204-RA, AH018577-RA	Lsat_1_v5_gn_6_2821.1, Lsat_1_v5_gn_3_1441.1
OG0003888	AH017027-RA	Lsat_1_v5_gn_3_25461.3
OG0003889	AH014338-RA	Lsat_1_v5_gn_5_140420.1, Lsat_1_v5_gn_5_140420.3
OG0003890	AH018024-RA	Lsat_1_v5_gn_3_11501.3, Lsat_1_v5_gn_3_11501.1, Lsat_1_v5_gn_6_84940.3, Lsat_1_v5_gn_6_84940.1, Lsat_1_v5_gn_7_2680.3, Lsat_1_v5_gn_7_2680.1, Lsat_1_v5_gn_1_81141.1
OG0003891	AH016285-RA	Lsat_1_v5_gn_6_21420.1
OG0003893	AH021289-RA	Lsat_1_v5_gn_8_68441.1, Lsat_1_v5_gn_7_55201.3, Lsat_1_v5_gn_5_84081.1
OG0003894	AH001163-RA	Lsat_1_v5_gn_9_105540.1, Lsat_1_v5_gn_9_105540.3
OG0003895	AH015427-RA	Lsat_1_v5_gn_5_172740.1, Lsat_1_v5_gn_9_18940.1, Lsat_1_v5_gn_2_124161.2, Lsat_1_v5_gn_2_124161.1
OG0003896	AH011055-RA, AH020437-RA, AH007512-RA	Lsat_1_v5_gn_2_32541.1, Lsat_1_v5_gn_2_32541.3
OG0003897	AH023415-RA	Lsat_1_v5_gn_5_35081.1, Lsat_1_v5_gn_4_184801.1
OG0003897	AH023416-RA	Lsat_1_v5_gn_7_111061.2, Lsat_1_v5_gn_7_111061.1, Lsat_1_v5_gn_7_111061.3, Lsat_1_v5_gn_7_61541.1
OG0003898	AH015556-RA	Lsat_1_v5_gn_3_63641.1, Lsat_1_v5_gn_3_63641.3
OG0003899	AH013646-RA	Lsat_1_v5_gn_1_120601.1, Lsat_1_v5_gn_1_120601.3
OG0003900	AH022201-RA, AH013085-RA	Lsat_1_v5_gn_8_131501.1, Lsat_1_v5_gn_9_85200.1, Lsat_1_v5_gn_8_131640.1
OG0003900	AH010001-RA	Lsat_1_v5_gn_5_7081.1
OG0003901	AH022636-RA	Lsat_1_v5_gn_5_75780.5, Lsat_1_v5_gn_5_75780.4
OG0003902	AH019125-RA	Lsat_1_v5_gn_2_109100.3, Lsat_1_v5_gn_2_109100.1
OG0003903	AH021988-RA	Lsat_1_v5_gn_2_108781.1, Lsat_1_v5_gn_2_108781.3, Lsat_1_v5_gn_6_30461.1, Lsat_1_v5_gn_6_30461.3
OG0003904	AH008980-RA	Lsat_1_v5_gn_3_20261.1, Lsat_1_v5_gn_3_20261.2
OG0003905	AH021491-RA	Lsat_1_v5_gn_1_129780.1, Lsat_1_v5_gn_1_129780.2
OG0003906	AH007922-RA	Lsat_1_v5_gn_2_102840.1, Lsat_1_v5_gn_2_102840.3, Lsat_1_v5_gn_8_23081.1
OG0003907	AH020920-RA, AH002465-RA, AH000678-RA	Lsat_1_v5_gn_5_4380.1, Lsat_1_v5_gn_9_94880.1, Lsat_1_v5_gn_9_94880.2
OG0003908	AH015258-RA	Lsat_1_v5_gn_1_120800.2
OG0003909	AH008306-RA	Lsat_1_v5_gn_7_33840.1, Lsat_1_v5_gn_7_33840.3
OG0003910	AH015227-RA, AH015228-RA	Lsat_1_v5_gn_7_21341.1
OG0003911	AH013984-RA, AH020691-RA	Lsat_1_v5_gn_5_6480.1, Lsat_1_v5_gn_8_83161.1
OG0003912	AH006957-RA	Lsat_1_v5_gn_0_21141.2
OG0003914	AH001151-RA	Lsat_1_v5_gn_3_35181.1, Lsat_1_v5_gn_3_35181.2
OG0003915	AH015662-RA	Lsat_1_v5_gn_7_31581.1, Lsat_1_v5_gn_7_31581.2
OG0003916	AH023084-RA	Lsat_1_v5_gn_8_12301.1, Lsat_1_v5_gn_8_12301.2, Lsat_1_v5_gn_9_61301.2, Lsat_1_v5_gn_9_61301.1
OG0003917	AH007952-RA	Lsat_1_v5_gn_7_101201.1, Lsat_1_v5_gn_7_101201.3, Lsat_1_v5_gn_7_101201.2, Lsat_1_v5_gn_5_119821.1, Lsat_1_v5_gn_5_119821.2
OG0003918	AH020152-RA	Lsat_1_v5_gn_8_14640.1
OG0003919	AH007479-RA, AH011106-RA	Lsat_1_v5_gn_2_108501.3, Lsat_1_v5_gn_2_108501.1, Lsat_1_v5_gn_2_108561.2
OG0003921	AH002048-RA	Lsat_1_v5_gn_8_133220.1, Lsat_1_v5_gn_8_133220.2, Lsat_1_v5_gn_8_133220.3
OG0003922	AH020494-RA	Lsat_1_v5_gn_3_137821.1
OG0003923	AH021273-RA	Lsat_1_v5_gn_7_31981.1, Lsat_1_v5_gn_7_31981.2
OG0003924	AH021496-RA	Lsat_1_v5_gn_7_16340.1, Lsat_1_v5_gn_7_16340.2
OG0003925	AH016357-RA, AH023050-RA, AH016356-RA	Lsat_1_v5_gn_2_121900.1
OG0003926	AH011005-RA	Lsat_1_v5_gn_6_47501.1, Lsat_1_v5_gn_6_47501.2
OG0003927	AH007586-RA, AH017731-RA	Lsat_1_v5_gn_9_8721.1
OG0003928	AH023623-RA, AH023541-RA, AH023485-RA, AH023485-RB	Lsat_1_v5_gn_9_102580.1, Lsat_1_v5_gn_9_102580.2
OG0003929	AH010304-RA, AH007978-RA	Lsat_1_v5_gn_7_101801.1, Lsat_1_v5_gn_7_101801.3
OG0003930	AH008095-RA	Lsat_1_v5_gn_5_6601.1, Lsat_1_v5_gn_1_44300.1, Lsat_1_v5_gn_5_6601.5, Lsat_1_v5_gn_5_6601.3
OG0003931	AH007639-RA	Lsat_1_v5_gn_6_53141.1, Lsat_1_v5_gn_6_53141.2, Lsat_1_v5_gn_6_53141.3
OG0003932	AH012485-RA	Lsat_1_v5_gn_2_103740.3, Lsat_1_v5_gn_2_103740.1
OG0003933	AH020037-RA	Lsat_1_v5_gn_7_77561.1, Lsat_1_v5_gn_7_77561.2, Lsat_1_v5_gn_7_77561.3, Lsat_1_v5_gn_1_74200.1, Lsat_1_v5_gn_1_74200.2, Lsat_1_v5_gn_1_74200.3
OG0003934	AH020500-RA, AH006621-RA	Lsat_1_v5_gn_8_83860.1, Lsat_1_v5_gn_9_32200.1
OG0003935	AH013186-RA	Lsat_1_v5_gn_5_174460.3, Lsat_1_v5_gn_5_174460.1
OG0003936	AH015707-RA	Lsat_1_v5_gn_4_30541.2, Lsat_1_v5_gn_4_30541.1
OG0003937	AH023513-RA	Lsat_1_v5_gn_2_115220.7, Lsat_1_v5_gn_2_115220.2, Lsat_1_v5_gn_2_115220.3
OG0003938	AH010784-RA, AH007729-RA	Lsat_1_v5_gn_6_94380.1, Lsat_1_v5_gn_6_94380.2, Lsat_1_v5_gn_3_15460.3, Lsat_1_v5_gn_3_15460.2, Lsat_1_v5_gn_3_15460.1
OG0003939	AH003081-RA	Lsat_1_v5_gn_1_5920.1, Lsat_1_v5_gn_1_5920.2, Lsat_1_v5_gn_1_5920.3, Lsat_1_v5_gn_1_5940.4
OG0003940	AH003942-RA, AH006130-RA	Lsat_1_v5_gn_4_164600.1, Lsat_1_v5_gn_3_89881.1, Lsat_1_v5_gn_9_110721.1, Lsat_1_v5_gn_9_110721.2
OG0003941	AH016769-RA	Lsat_1_v5_gn_0_1320.2, Lsat_1_v5_gn_0_1320.1
OG0003943	AH022860-RA	Lsat_1_v5_gn_6_3380.1, Lsat_1_v5_gn_6_3380.3, Lsat_1_v5_gn_8_11621.1
OG0003944	AH009487-RA	Lsat_1_v5_gn_3_140700.1, Lsat_1_v5_gn_3_140700.3, Lsat_1_v5_gn_3_140700.2
OG0003945	AH004237-RA	Lsat_1_v5_gn_7_69720.2, Lsat_1_v5_gn_7_69720.1, Lsat_1_v5_gn_7_69720.3, Lsat_1_v5_gn_7_69720.4
OG0003946	AH005660-RA, AH003650-RA	Lsat_1_v5_gn_5_109820.1
OG0003947	AH011905-RA, AH014041-RA, AH013626-RA, AH019723-RA	Lsat_1_v5_gn_8_4480.1, Lsat_1_v5_gn_8_4480.2
OG0003949	AH001688-RA, AH000978-RA, AH016886-RA	Lsat_1_v5_gn_8_27340.1, Lsat_1_v5_gn_8_27340.2, Lsat_1_v5_gn_9_45700.3, Lsat_1_v5_gn_9_45700.1, Lsat_1_v5_gn_9_45700.2
OG0003950	AH012387-RA	Lsat_1_v5_gn_9_55980.3, Lsat_1_v5_gn_9_55980.1
OG0003951	AH005151-RA, AH004286-RA	Lsat_1_v5_gn_0_13201.1, Lsat_1_v5_gn_0_13201.3, Lsat_1_v5_gn_0_19201.1
OG0003953	AH000551-RA	Lsat_1_v5_gn_9_109321.1, Lsat_1_v5_gn_9_109321.3
OG0003954	AH006282-RA	Lsat_1_v5_gn_2_94161.1
OG0003955	AH003182-RA, AH017934-RA, AH017931-RA, AH017932-RA	Lsat_1_v5_gn_2_67821.1, Lsat_1_v5_gn_2_67821.3, Lsat_1_v5_gn_4_141681.1
OG0003956	AH007556-RA, AH010455-RA	Lsat_1_v5_gn_5_188301.1, Lsat_1_v5_gn_2_67460.1, Lsat_1_v5_gn_2_67460.2, Lsat_1_v5_gn_4_139120.1
OG0003957	AH006976-RA, AH020182-RA	Lsat_1_v5_gn_5_62360.3, Lsat_1_v5_gn_5_62360.1
OG0003959	AH003724-RA	Lsat_1_v5_gn_3_91021.1, Lsat_1_v5_gn_3_91021.3, Lsat_1_v5_gn_2_84240.1, Lsat_1_v5_gn_2_84240.3, Lsat_1_v5_gn_4_166000.3, Lsat_1_v5_gn_4_166000.2, Lsat_1_v5_gn_4_166000.1
OG0003960	AH001799-RA	Lsat_1_v5_gn_2_46281.1, Lsat_1_v5_gn_2_46281.2
OG0003961	AH013098-RA	Lsat_1_v5_gn_9_13141.1, Lsat_1_v5_gn_9_13141.3
OG0003962	AH017414-RA	Lsat_1_v5_gn_5_9480.2, Lsat_1_v5_gn_5_9480.1
OG0003963	AH000598-RA	Lsat_1_v5_gn_7_87460.3, Lsat_1_v5_gn_7_87460.2, Lsat_1_v5_gn_7_87460.1, Lsat_1_v5_gn_5_117520.3, Lsat_1_v5_gn_5_117520.1
OG0003964	AH008733-RA	Lsat_1_v5_gn_6_103260.2, Lsat_1_v5_gn_6_103260.1, Lsat_1_v5_gn_6_103260.3
OG0003965	AH020062-RA	Lsat_1_v5_gn_3_110661.2, Lsat_1_v5_gn_3_110661.1
OG0003966	AH006274-RA	Lsat_1_v5_gn_2_38821.2, Lsat_1_v5_gn_2_38821.1, Lsat_1_v5_gn_2_38821.3
