Orthogroup	A_coerulea.proteins	A_thaliana.proteins
OG0004737	Aqcoe4G023300.1.p	AT5G45650.2, AT5G45650.1, AT5G45640.1
OG0004738	Aqcoe4G237600.1.p	AT1G61810.4, AT1G61810.2, AT1G61810.3, AT1G61810.1, AT1G61810.5, AT1G61820.3, AT1G61820.1, AT4G21760.1, AT4G21760.2
OG0004739	Aqcoe1G256700.1.p, Aqcoe4G091300.1.p	AT5G53900.1, AT5G53900.3, AT5G53900.2, AT3G15240.2
OG0004740	Aqcoe4G120900.2.p, Aqcoe4G120900.3.p	AT3G48750.1
OG0004741	Aqcoe3G252900.4.p, Aqcoe3G252900.3.p, Aqcoe3G252900.5.p, Aqcoe3G252900.2.p, Aqcoe3G252900.1.p, Aqcoe7G197000.1.p	AT1G80770.6, AT1G80770.5, AT1G80770.1, AT1G80770.4, AT1G80770.3, AT1G80770.2
OG0004742	Aqcoe5G432700.2.p, Aqcoe5G432700.1.p, Aqcoe7G028500.1.p	AT4G25630.1, AT5G52470.1, AT5G52470.2
OG0004743	Aqcoe7G005000.1.p	AT5G42000.1, AT1G01230.1
OG0004744	Aqcoe5G436300.3.p, Aqcoe5G436300.1.p, Aqcoe5G436300.2.p, Aqcoe7G025900.1.p	AT5G24000.1, AT5G52540.1
OG0004745	Aqcoe7G047000.1.p	AT5G52060.1, AT5G07220.1
OG0004746	Aqcoe7G391800.1.p	AT3G15680.1, AT3G15680.2, AT5G25490.1, AT5G25490.2
OG0004747	Aqcoe7G101100.1.p	AT3G20430.1
OG0004748	Aqcoe7G064600.1.p	AT3G60860.1, AT1G01960.1
OG0004749	Aqcoe7G093600.1.p, Aqcoe7G093600.2.p	AT5G41150.4, AT5G41150.2, AT5G41150.3, AT5G41150.1
OG0004750	Aqcoe7G062900.2.p, Aqcoe7G062900.1.p	AT1G12450.1, AT4G22850.2, AT4G22850.1
OG0004751	Aqcoe7G383700.1.p	AT4G32272.2, AT4G32272.1
OG0004752	Aqcoe7G290800.3.p, Aqcoe7G290800.4.p, Aqcoe7G290800.2.p, Aqcoe7G290800.1.p	AT3G20260.1
OG0004753	Aqcoe7G367800.1.p, Aqcoe7G367700.1.p	AT5G35160.2, AT5G35160.3, AT5G35160.1, AT5G35160.4
OG0004754	Aqcoe7G412300.2.p, Aqcoe7G412300.1.p	AT2G25830.1
OG0004755	Aqcoe7G292200.1.p	AT4G31340.1, AT4G31340.2, AT2G24420.1, AT2G24420.2
OG0004756	Aqcoe7G201200.2.p, Aqcoe7G201200.1.p, Aqcoe7G201200.4.p, Aqcoe7G201200.5.p, Aqcoe7G201200.3.p, Aqcoe1G395800.1.p	AT4G16710.1, AT4G16710.3, AT4G16710.4, AT4G16710.2
OG0004757	Aqcoe7G377800.1.p	AT1G55300.1, AT1G55300.2
OG0004758	Aqcoe7G346400.1.p	AT1G80450.1
OG0004758	Aqcoe5G217300.1.p	AT5G08480.3, AT5G08480.2, AT5G08480.1
OG0004759	Aqcoe7G041100.1.p, Aqcoe7G041100.2.p	AT3G61200.1
OG0004760	Aqcoe7G108000.1.p	AT1G74930.1, AT1G19210.1
OG0004761	Aqcoe7G161400.1.p, Aqcoe7G161400.3.p, Aqcoe7G161400.2.p, Aqcoe7G161400.4.p	AT4G28910.3, AT4G28910.2, AT4G28910.1
OG0004762	Aqcoe7G382200.1.p	AT5G35430.1
OG0004763	Aqcoe7G410200.1.p	AT5G25840.1, AT1G79770.1
OG0004764	Aqcoe7G437900.1.p	AT3G14200.1
OG0004765	Aqcoe7G053200.1.p	AT4G11911.2, AT4G11911.1, AT4G11910.1, AT4G22920.2, AT4G22920.1
OG0004766	Aqcoe7G219500.1.p	AT5G57830.1
OG0004767	Aqcoe7G320200.1.p	AT3G12660.1, AT4G31370.1, AT2G24450.1
OG0004768	Aqcoe7G021800.1.p	AT4G01150.2, AT4G01150.1
OG0004769	Aqcoe5G258200.1.p, Aqcoe5G258200.2.p, Aqcoe7G005800.2.p, Aqcoe7G005800.1.p, Aqcoe7G005800.3.p, Aqcoe7G005800.4.p	AT4G27780.1, AT4G27780.2, AT5G53470.1
OG0004770	Aqcoe7G187900.1.p, Aqcoe7G177400.2.p, Aqcoe7G177400.1.p	AT1G15240.4, AT1G15240.5, AT1G15240.1, AT1G15240.3, AT1G15240.2
OG0004771	Aqcoe7G125500.2.p, Aqcoe7G125500.1.p	AT1G72880.1, AT1G72880.2
OG0004772	Aqcoe7G110300.1.p	AT3G14070.1, AT1G54115.1
OG0004774	Aqcoe5G349900.1.p, Aqcoe7G334000.2.p, Aqcoe7G334000.1.p	AT3G05870.7, AT3G05870.3, AT3G05870.5, AT3G05870.4, AT3G05870.2, AT3G05870.6, AT3G05870.1
OG0004775	Aqcoe7G100100.3.p, Aqcoe7G100100.2.p, Aqcoe7G100100.1.p	AT2G26210.5, AT2G26210.6, AT2G26210.4, AT2G26210.7, AT2G26210.1, AT2G26210.2, AT2G26210.3
OG0004776	Aqcoe7G215100.1.p, Aqcoe7G215100.2.p	AT2G28470.4, AT2G28470.2, AT2G28470.3, AT2G28470.1, AT2G28470.5
OG0004777	Aqcoe7G195000.1.p	AT1G08510.1
OG0004778	Aqcoe1G399400.1.p, Aqcoe7G293100.1.p	AT1G78900.1, AT1G78900.2
OG0004779	Aqcoe7G041400.2.p, Aqcoe7G041400.1.p	AT5G52200.2, AT5G52200.3, AT5G52200.1
OG0004780	Aqcoe7G366900.1.p	AT5G20320.3, AT5G20320.2, AT5G20320.1
OG0004781	Aqcoe7G189600.1.p, Aqcoe7G189600.2.p	AT1G52380.2, AT1G52380.4, AT1G52380.1, AT1G52380.3, AT3G15970.1, AT3G15970.2
OG0004782	Aqcoe7G062600.1.p	AT5G51690.2, AT5G51690.1, AT1G62960.1
OG0004783	Aqcoe7G304300.3.p, Aqcoe7G304300.1.p, Aqcoe7G304300.2.p	AT3G07950.1
OG0004784	Aqcoe7G169000.2.p, Aqcoe7G169000.1.p	AT1G79830.2, AT1G79830.4, AT1G79830.1, AT1G79830.3, AT1G79830.5
OG0004785	Aqcoe7G254500.1.p	AT4G28040.4, AT4G28040.5, AT4G28040.3, AT4G28040.2, AT4G28040.1, AT4G30420.2, AT4G30420.1
OG0004786	Aqcoe7G281200.1.p, Aqcoe7G394000.1.p	AT1G80230.1, AT3G15640.2, AT3G15640.1
OG0004787	Aqcoe7G223400.1.p	AT5G20270.1
OG0004788	Aqcoe5G391700.5.p, Aqcoe7G140200.2.p, Aqcoe7G140200.1.p, Aqcoe7G140200.3.p, Aqcoe5G391700.2.p, Aqcoe5G391700.3.p, Aqcoe5G391700.1.p, Aqcoe5G391700.4.p	AT4G05523.1, AT1G13120.1
OG0004789	Aqcoe7G270200.1.p	AT2G07680.6, AT2G07680.3, AT2G07680.2, AT2G07680.4, AT2G07680.5, AT2G07680.1
OG0004790	Aqcoe7G309400.1.p, Aqcoe7G309400.2.p	AT5G57360.2, AT5G57360.1
OG0004791	Aqcoe7G127800.1.p	AT2G19520.1
OG0004792	Aqcoe7G011000.1.p	AT5G24170.1, AT5G24170.2
OG0004792	Aqcoe5G216200.1.p	AT5G23550.1
OG0004793	Aqcoe7G192400.1.p	AT3G24350.1, AT3G24350.2
OG0004794	Aqcoe7G157700.1.p	AT3G01340.1, AT3G01340.2, AT2G30050.1
OG0004795	Aqcoe7G269300.2.p, Aqcoe7G269300.1.p, Aqcoe7G269300.3.p	AT3G52260.1, AT3G52260.4, AT3G52260.2, AT3G52260.3
OG0004796	Aqcoe7G302100.2.p, Aqcoe7G302100.1.p, Aqcoe7G302100.3.p	AT2G19270.1
OG0004797	Aqcoe7G422500.1.p, Aqcoe7G422500.3.p, Aqcoe7G422500.4.p, Aqcoe7G422500.2.p	AT5G57035.1, AT2G19410.1, AT2G19410.3, AT2G19410.2
OG0004798	Aqcoe7G370700.1.p, Aqcoe7G370700.2.p	AT2G15580.1, AT2G15580.2, AT2G15580.3
OG0004799	Aqcoe7G328200.1.p, Aqcoe7G256800.1.p	AT2G20140.1, AT4G29040.1
OG0004800	Aqcoe7G027200.1.p, Aqcoe7G027200.2.p	AT2G46060.1, AT2G46060.3, AT2G46060.2
OG0004801	Aqcoe7G323600.2.p, Aqcoe7G323600.1.p, Aqcoe1G228500.1.p	AT1G15710.1
OG0004802	Aqcoe7G150800.4.p, Aqcoe7G150800.2.p, Aqcoe7G150800.3.p, Aqcoe7G150800.1.p	AT5G48120.2, AT5G48120.3, AT5G48120.1
OG0004803	Aqcoe7G006900.1.p, Aqcoe7G006900.2.p	AT3G21290.2, AT3G21290.1
OG0004804	Aqcoe7G056100.1.p	AT3G03810.1, AT3G03810.2
OG0004805	Aqcoe7G120700.1.p	AT5G57070.1, AT1G72790.1
OG0004806	Aqcoe7G296400.2.p, Aqcoe7G296400.1.p	AT1G50440.1, AT1G50440.3, AT1G50440.5, AT1G50440.4, AT1G50440.2
OG0004807	Aqcoe7G201100.4.p, Aqcoe7G201100.1.p, Aqcoe7G201100.2.p, Aqcoe7G201100.3.p	AT2G25620.1, AT2G25620.2
OG0004808	Aqcoe3G269700.2.p, Aqcoe3G269700.1.p, Aqcoe7G144700.1.p	AT5G47240.1, AT5G47240.2
OG0004809	Aqcoe1G181100.1.p, Aqcoe3G092200.1.p	AT1G79030.2, AT1G79030.1, AT1G16680.1
OG0004810	Aqcoe1G470900.4.p, Aqcoe1G470900.3.p, Aqcoe1G470900.2.p, Aqcoe1G470900.1.p	AT5G59865.1
OG0004811	Aqcoe1G160300.2.p, Aqcoe1G160300.1.p	AT1G79380.1
OG0004812	Aqcoe1G048800.3.p, Aqcoe1G048800.1.p, Aqcoe1G048800.2.p, Aqcoe1G048800.4.p	AT4G00550.1, AT4G00550.2
OG0004813	Aqcoe1G431300.1.p	AT2G29630.3, AT2G29630.2, AT2G29630.1, AT2G29630.4
OG0004814	Aqcoe1G137000.1.p	AT3G45090.1, AT3G45090.2, AT5G60760.1
OG0004815	Aqcoe1G353500.1.p	AT4G27100.2, AT4G27100.1, AT5G54780.1
OG0004816	Aqcoe1G094500.1.p	AT4G12600.1, AT5G20160.1, AT4G22380.1
OG0004817	Aqcoe1G393200.1.p, Aqcoe1G393200.2.p	AT2G40410.1, AT2G40410.2, AT3G56170.1
OG0004818	Aqcoe1G448100.1.p	AT3G52760.1, AT2G36300.1
OG0004819	Aqcoe1G222000.3.p, Aqcoe1G222000.1.p, Aqcoe1G222000.2.p, Aqcoe1G222000.5.p, Aqcoe1G222000.4.p	AT1G29220.2, AT1G29220.1
OG0004820	Aqcoe1G237100.1.p, Aqcoe1G237100.2.p	AT1G11700.1, AT1G61930.1
OG0004821	Aqcoe1G091400.1.p	AT3G09230.1, AT2G39880.1, AT3G55730.1
OG0004822	Aqcoe1G179300.1.p	AT5G58230.1
OG0004823	Aqcoe1G444400.1.p, Aqcoe5G182700.1.p, Aqcoe5G182700.2.p, Aqcoe1G444400.3.p, Aqcoe1G444400.2.p	AT2G21440.1
OG0004824	Aqcoe1G145000.1.p	AT5G60600.5, AT5G60600.3, AT5G60600.4, AT5G60600.1, AT5G60600.2
OG0004825	Aqcoe1G274800.4.p, Aqcoe1G274800.5.p, Aqcoe1G274800.3.p, Aqcoe1G274800.1.p, Aqcoe1G274800.2.p	AT4G21770.2, AT4G21770.1
OG0004826	Aqcoe1G132200.1.p, Aqcoe1G132200.2.p	AT3G10390.3, AT3G10390.2, AT3G10390.1, AT3G10390.4
OG0004827	Aqcoe1G081000.1.p	AT3G44200.1, AT3G44200.2
OG0004828	Aqcoe1G170000.2.p, Aqcoe1G170000.1.p, Aqcoe1G170000.3.p, Aqcoe1G170000.4.p, Aqcoe1G170000.5.p, Aqcoe1G170000.6.p	AT1G06590.1
OG0004829	Aqcoe1G189400.2.p, Aqcoe1G189400.1.p	AT5G46210.1
OG0004830	Aqcoe1G026000.8.p, Aqcoe1G026000.6.p, Aqcoe1G026000.5.p, Aqcoe1G026000.3.p, Aqcoe1G026000.7.p, Aqcoe1G026000.1.p, Aqcoe1G026000.2.p, Aqcoe1G026000.4.p	AT3G57630.3, AT3G57630.2, AT3G57630.1
OG0004831	Aqcoe1G006400.1.p	AT2G40860.2, AT2G40860.3, AT2G40860.1, AT2G40860.4
OG0004832	Aqcoe1G147700.1.p, Aqcoe1G147700.2.p	AT5G01700.1, AT5G01700.2
OG0004833	Aqcoe1G466100.2.p, Aqcoe1G466100.1.p	AT3G46450.2, AT3G46450.3, AT3G46450.1
OG0004834	Aqcoe1G156900.3.p, Aqcoe1G156900.2.p, Aqcoe1G156900.4.p, Aqcoe1G156900.1.p	AT1G79250.3, AT1G79250.4, AT1G79250.1, AT1G79250.2, AT1G16440.1, AT3G12690.2, AT3G12690.3, AT3G12690.1
OG0004835	Aqcoe1G202200.1.p, Aqcoe1G202200.2.p, Aqcoe1G202200.3.p	AT1G78530.1, AT1G78530.2
OG0004836	Aqcoe1G385200.2.p, Aqcoe1G385200.1.p	AT5G55970.2, AT5G55970.3, AT5G55970.1, AT4G26580.1, AT4G26580.2
OG0004837	Aqcoe1G498400.1.p	AT3G10850.1
OG0004838	Aqcoe1G322500.1.p, Aqcoe1G322500.2.p	AT3G15520.3, AT3G15520.4, AT3G15520.1, AT3G15520.2
OG0004839	Aqcoe1G115900.2.p, Aqcoe1G115900.1.p	AT2G36610.1, AT5G03790.1, AT5G03790.2
OG0004840	Aqcoe1G015500.1.p	AT1G37010.1, AT5G06680.1
OG0004841	Aqcoe1G309900.1.p	AT1G61290.1, AT1G61290.2, AT1G11250.1, AT4G03330.1
OG0004842	Aqcoe1G277600.1.p	AT5G54870.2, AT5G54870.1, AT4G27020.1
OG0004843	Aqcoe1G482300.1.p, Aqcoe1G482400.1.p	AT5G02770.1
OG0004844	Aqcoe1G477300.1.p	AT2G39420.1, AT2G39410.2, AT2G39410.1, AT3G55180.1, AT2G39400.2, AT2G39400.1, AT3G55190.1
OG0004845	Aqcoe1G425300.1.p, Aqcoe1G425300.2.p	AT2G29890.2, AT2G29890.3, AT2G29890.5, AT2G29890.4, AT2G29890.1
OG0004846	Aqcoe1G456900.1.p	AT3G55480.1, AT3G55480.2
OG0004847	Aqcoe1G474900.1.p, Aqcoe1G474900.3.p, Aqcoe1G474900.2.p	AT3G55270.1
OG0004848	Aqcoe1G221400.1.p	AT2G34200.2, AT2G34200.1
OG0004849	Aqcoe3G213900.1.p, Aqcoe3G213900.2.p, Aqcoe1G065400.1.p	AT1G50920.1
OG0004850	Aqcoe1G271800.1.p, Aqcoe1G271800.4.p, Aqcoe1G271800.2.p, Aqcoe1G271800.3.p	AT4G28260.2, AT4G28260.1
OG0004851	Aqcoe1G336900.7.p, Aqcoe1G336900.3.p, Aqcoe1G336900.2.p, Aqcoe1G336900.6.p, Aqcoe1G336900.1.p, Aqcoe1G336900.5.p, Aqcoe1G336900.4.p	AT5G16850.1, AT5G16850.2
OG0004852	Aqcoe1G219000.1.p	AT1G16960.1, AT5G45740.1, AT1G53400.1
OG0004853	Aqcoe1G391800.1.p, Aqcoe1G391800.3.p, Aqcoe1G391800.4.p, Aqcoe1G391800.2.p	AT5G02850.1
OG0004854	Aqcoe1G039700.1.p, Aqcoe1G039700.2.p, Aqcoe1G039700.3.p, Aqcoe1G039700.4.p	AT3G07940.2, AT3G07940.1
OG0004855	Aqcoe1G397900.1.p	AT2G40470.2, AT2G40470.1
OG0004856	Aqcoe1G394000.3.p, Aqcoe1G394000.1.p, Aqcoe1G394000.2.p	AT5G05350.1, AT3G10980.1
OG0004857	Aqcoe1G425800.2.p, Aqcoe1G425800.3.p, Aqcoe1G425800.1.p	AT5G01260.3, AT5G01260.1, AT5G01260.2
OG0004858	Aqcoe1G003100.1.p	AT2G42070.2, AT2G42070.1
OG0004859	Aqcoe3G127200.2.p, Aqcoe1G348900.2.p, Aqcoe3G127200.1.p, Aqcoe3G127200.3.p, Aqcoe1G348900.1.p	AT5G40390.1
OG0004860	Aqcoe1G381800.2.p, Aqcoe1G381800.1.p, Aqcoe1G381800.4.p, Aqcoe1G381800.3.p, Aqcoe1G043500.1.p	AT1G55620.1, AT1G55620.2
OG0004861	Aqcoe1G052900.1.p, Aqcoe1G052900.2.p	AT2G33550.1
OG0004862	Aqcoe1G300600.2.p, Aqcoe1G300600.1.p	AT2G35620.3, AT2G35620.1, AT2G35620.2, AT2G35620.4, AT1G31420.3, AT1G31420.1, AT1G31420.2
OG0004863	Aqcoe1G061300.1.p	AT1G54385.1, AT1G54385.2, AT1G54385.3
OG0004864	Aqcoe1G431600.1.p, Aqcoe3G061400.1.p, Aqcoe3G061400.2.p	AT5G17910.3, AT5G17910.1, AT5G17910.2
OG0004865	Aqcoe1G364500.1.p	AT3G20720.1, AT3G20720.2
OG0004866	Aqcoe1G133100.1.p	AT4G05160.1
OG0004868	Aqcoe1G398100.1.p	AT2G40475.1, AT5G01790.1, AT1G06930.1
OG0004869	Aqcoe1G236800.1.p	AT3G20395.1
OG0004870	Aqcoe1G265500.1.p	AT3G04700.1, AT5G28690.1, AT5G28690.2, AT5G28690.3, AT1G08790.1
OG0004871	Aqcoe1G169700.1.p	AT2G34770.1, AT4G20870.2, AT4G20870.1
OG0004872	Aqcoe1G099900.1.p	AT2G39760.1, AT2G39760.2, AT2G39760.4, AT2G39760.3
OG0004874	Aqcoe5G325100.2.p, Aqcoe5G325100.1.p, Aqcoe5G325100.3.p	AT3G26730.8, AT3G26730.1, AT3G26730.7, AT3G26730.6, AT3G26730.5, AT3G26730.3, AT3G26730.2, AT3G26730.4
OG0004875	Aqcoe5G367400.1.p, Aqcoe5G367400.2.p, Aqcoe5G367400.3.p	AT1G22620.1
OG0004876	Aqcoe5G432600.1.p	AT5G23950.1, AT5G23950.2
OG0004877	Aqcoe5G371900.1.p	AT1G51540.1, AT3G27220.1
OG0004878	Aqcoe5G262900.1.p	AT5G63920.1
OG0004879	Aqcoe5G359100.1.p, Aqcoe5G359100.2.p	AT3G48530.1
OG0004880	Aqcoe5G281000.1.p	AT1G77740.2, AT1G77740.1, AT1G21980.1
OG0004881	Aqcoe5G380100.1.p	AT1G67720.1
OG0004882	Aqcoe5G351400.1.p	AT1G67320.1, AT1G67320.3, AT1G67320.2
OG0004883	Aqcoe5G372100.1.p, Aqcoe5G372100.2.p, Aqcoe5G372100.3.p, Aqcoe5G372100.5.p, Aqcoe5G372100.4.p, Aqcoe5G372100.6.p, Aqcoe5G372100.7.p	AT1G67590.1, AT1G67590.2
OG0004884	Aqcoe5G381500.1.p	AT1G48195.1, AT3G48440.1, AT5G63260.1, AT5G63260.2
OG0004885	Aqcoe5G337200.1.p, Aqcoe5G315800.1.p	AT3G50960.1, AT3G50960.2, AT5G66410.1
OG0004886	Aqcoe5G273300.3.p, Aqcoe5G273300.2.p, Aqcoe5G273300.1.p	AT5G64520.5, AT5G64520.4, AT5G64520.1, AT5G64520.6, AT5G64520.10, AT5G64520.9, AT5G64520.3, AT5G64520.2, AT5G64520.11, AT5G64520.7, AT5G64520.8
OG0004887	Aqcoe5G450900.1.p, Aqcoe5G450900.3.p, Aqcoe5G450900.2.p, Aqcoe5G450900.4.p	AT5G24120.1, AT5G24120.2, AT5G24120.3
OG0004888	Aqcoe5G316700.1.p	AT2G22240.2
OG0004888	Aqcoe5G316700.2.p	AT2G22240.3
OG0004889	Aqcoe5G210800.1.p, Aqcoe5G210700.1.p	AT2G21140.1, AT4G38770.1
OG0004890	Aqcoe5G471200.1.p	AT1G64720.1
OG0004891	Aqcoe5G072200.1.p	AT4G15630.1, AT4G15620.1
OG0004892	Aqcoe5G377500.1.p	AT3G49601.1
OG0004893	Aqcoe5G075300.1.p, Aqcoe5G075300.2.p	AT4G03115.3, AT4G03115.2, AT4G03115.4, AT4G03115.1, AT4G03115.6, AT4G03115.5
OG0004894	Aqcoe5G440200.1.p	AT3G14930.1, AT3G14930.2, AT3G14930.3
OG0004895	Aqcoe5G374100.2.p, Aqcoe5G374100.1.p	AT5G40770.1, AT3G27280.2, AT3G27280.1
OG0004896	Aqcoe5G051500.1.p, Aqcoe5G051500.2.p	AT1G05460.2, AT1G05460.1
OG0004897	Aqcoe5G326900.1.p, Aqcoe5G326900.2.p	AT5G07300.1, AT5G61900.3, AT5G61900.1
OG0004898	Aqcoe5G001500.1.p	AT3G59780.1
OG0004899	Aqcoe5G011800.2.p, Aqcoe5G011800.1.p, Aqcoe5G011800.3.p	AT2G20340.1, AT2G20340.2, AT4G28680.2, AT4G28680.1, AT4G28680.3
OG0004900	Aqcoe5G099700.1.p	AT1G57765.2, AT1G57765.1, AT1G09645.1
OG0004901	Aqcoe5G470900.1.p	AT1G32770.1, AT3G61910.1, AT2G46770.1
OG0004902	Aqcoe5G438000.1.p, Aqcoe5G438000.2.p	AT1G64060.1
OG0004903	Aqcoe5G144000.1.p, Aqcoe5G144000.2.p	AT3G49630.2, AT3G49630.3, AT3G49630.1, AT3G49620.1, AT3G50210.4, AT3G50210.1, AT3G50210.3, AT3G50210.2
OG0004904	Aqcoe5G012500.1.p	AT1G04120.2, AT1G04120.3, AT1G04120.1
OG0004905	Aqcoe3G094600.1.p, Aqcoe3G094600.2.p	AT1G31230.1, AT4G19710.1, AT4G19710.2
OG0004906	Aqcoe5G356900.4.p, Aqcoe5G356900.3.p, Aqcoe5G356900.2.p, Aqcoe5G356900.1.p	AT1G27385.1, AT1G27385.4, AT1G27385.3, AT1G27385.2
OG0004907	Aqcoe5G355900.1.p	AT1G67330.1, AT1G27930.1
OG0004908	Aqcoe5G241900.1.p, Aqcoe5G241900.2.p	AT3G26420.1
OG0004909	Aqcoe5G470800.1.p	AT4G00850.2, AT4G00850.1, AT1G01160.1, AT1G01160.2
OG0004910	Aqcoe5G352300.1.p	AT1G24260.2, AT1G24260.3, AT1G24260.1
OG0004911	Aqcoe5G166500.1.p	AT5G41820.1, AT5G41820.2, AT4G24490.2, AT4G24490.1
OG0004912	Aqcoe5G108000.1.p	AT1G04270.2, AT1G04270.1, AT5G09510.1, AT5G09500.1
OG0004914	Aqcoe5G082700.1.p, Aqcoe5G082700.2.p	AT4G02560.1, AT4G02560.2
OG0004915	Aqcoe5G054000.2.p, Aqcoe5G054000.1.p	AT4G17420.1, AT4G17420.2, AT4G17420.3, AT5G47420.1
OG0004916	Aqcoe3G417100.1.p, Aqcoe5G220100.1.p	AT1G34580.1, AT1G34580.2
OG0004918	Aqcoe5G370900.1.p	AT1G29320.1, AT1G29320.2
OG0004919	Aqcoe5G463600.2.p, Aqcoe5G463600.1.p	AT4G10925.5, AT4G10925.3, AT4G10925.2, AT4G10925.4, AT4G10925.1, AT4G23960.2, AT4G23960.1
OG0004920	Aqcoe5G478200.2.p, Aqcoe5G478200.1.p	AT5G23450.4, AT5G23450.5, AT5G23450.3, AT5G23450.2, AT5G23450.1
OG0004921	Aqcoe5G105900.2.p, Aqcoe5G105900.1.p	AT1G05850.2, AT1G05850.1, AT3G16920.2, AT3G16920.1
OG0004922	Aqcoe3G189100.1.p, Aqcoe5G372300.3.p, Aqcoe5G372300.4.p, Aqcoe5G372300.1.p, Aqcoe5G372300.2.p, Aqcoe5G372300.5.p	AT1G24350.4, AT1G24350.2, AT1G24350.5, AT1G24350.1, AT1G24350.3, AT1G67600.1
OG0004923	Aqcoe3G438200.1.p, Aqcoe3G438200.2.p, Aqcoe5G163500.1.p	AT4G08350.1
OG0004924	Aqcoe5G467400.3.p, Aqcoe5G467400.1.p, Aqcoe5G467400.2.p	AT5G53080.1
OG0004925	Aqcoe5G363000.3.p, Aqcoe5G363000.1.p, Aqcoe5G363000.2.p, Aqcoe5G363000.4.p	AT5G15680.1
OG0004926	Aqcoe3G437800.2.p, Aqcoe3G437800.3.p, Aqcoe3G437800.1.p, Aqcoe3G437800.4.p	AT1G50300.1, AT1G50300.2
OG0004927	Aqcoe3G015500.3.p, Aqcoe3G015500.4.p, Aqcoe3G015500.1.p, Aqcoe3G378500.1.p, Aqcoe3G015500.2.p	AT5G41270.1
OG0004928	Aqcoe3G074800.2.p, Aqcoe3G074800.1.p, Aqcoe3G074800.3.p	AT5G08170.4, AT5G08170.1, AT5G08170.5, AT5G08170.2, AT5G08170.3
OG0004929	Aqcoe3G242500.1.p	AT5G47110.1, AT4G17600.1
OG0004930	Aqcoe3G117800.1.p, Aqcoe3G294100.2.p, Aqcoe3G294100.1.p, Aqcoe3G294100.3.p	AT5G50000.2, AT5G50000.1, AT3G01490.1
OG0004931	Aqcoe3G311600.1.p	AT3G28340.1, AT1G70090.1, AT1G70090.2, AT1G24170.1
OG0004932	Aqcoe3G336600.3.p, Aqcoe3G336600.1.p, Aqcoe3G336600.2.p, Aqcoe3G079900.1.p	AT5G39840.1
OG0004933	Aqcoe3G391700.2.p, Aqcoe3G391700.1.p	AT4G35685.1, AT4G01590.3, AT4G01590.1, AT4G01590.2
OG0004934	Aqcoe3G417000.2.p, Aqcoe3G417000.1.p	AT2G39780.2, AT2G39780.1
OG0004935	Aqcoe3G080100.1.p, Aqcoe3G336300.1.p	AT1G18810.1, AT1G14280.1, AT2G02950.1
OG0004936	Aqcoe3G283200.3.p, Aqcoe3G283200.2.p, Aqcoe3G283200.1.p	AT1G23420.1, AT1G23420.2
OG0004938	Aqcoe3G244900.1.p, Aqcoe3G244900.2.p	AT4G17615.5, AT4G17615.4, AT4G17615.1, AT4G17615.2, AT5G47100.1
OG0004939	Aqcoe3G295500.1.p	AT1G10400.1, AT5G14860.1, AT2G16890.2, AT2G16890.3, AT2G16890.4, AT2G16890.1
OG0004940	Aqcoe3G153700.1.p, Aqcoe3G211400.1.p	AT4G33260.1, AT4G33260.2, AT4G33270.1
OG0004941	Aqcoe3G009800.1.p, Aqcoe3G009800.3.p, Aqcoe3G009800.2.p	AT1G73360.1
OG0004942	Aqcoe3G184800.3.p, Aqcoe3G184800.2.p, Aqcoe3G184800.4.p, Aqcoe3G184800.1.p	AT1G31880.1, AT1G31880.2, AT2G21030.1, AT2G35600.1, AT2G35600.3, AT2G35600.2
OG0004943	Aqcoe3G003900.1.p	AT1G14920.1, AT2G01570.1
OG0004943	Aqcoe3G418400.1.p	AT3G03450.1, AT5G17490.1, AT1G66350.1
OG0004944	Aqcoe3G017100.1.p, Aqcoe3G017100.2.p	AT3G03380.2, AT3G03380.1
OG0004945	Aqcoe3G403400.1.p	AT3G18160.1, AT3G18160.2, AT3G18160.3, AT1G48635.1, AT1G48635.2
OG0004946	Aqcoe3G407400.1.p	AT2G01910.2, AT2G01910.1, AT1G14690.1, AT1G14690.2
OG0004947	Aqcoe3G425200.1.p	AT1G73370.2, AT1G73370.3, AT1G73370.1, AT5G37180.1
OG0004948	Aqcoe3G394600.1.p	AT3G25690.3, AT3G25690.6, AT3G25690.2, AT3G25690.5, AT3G25690.1, AT3G25690.4
OG0004949	Aqcoe3G217000.1.p	AT3G18380.2, AT3G18380.3, AT3G18380.1
OG0004950	Aqcoe3G126800.1.p	AT5G40370.2, AT5G40370.1
OG0004950	Aqcoe3G281500.1.p	AT5G63030.1
OG0004951	Aqcoe3G291100.1.p, Aqcoe3G291100.2.p, Aqcoe3G291100.3.p	AT5G62810.1
OG0004952	Aqcoe3G232000.3.p, Aqcoe3G232000.5.p, Aqcoe3G232000.4.p, Aqcoe3G232000.6.p, Aqcoe3G232000.2.p, Aqcoe3G232000.1.p	AT1G31440.1
OG0004953	Aqcoe3G275100.1.p, Aqcoe3G275100.3.p, Aqcoe3G275100.2.p	AT4G16770.1, AT4G16765.4, AT4G16765.3, AT4G16765.6, AT4G16765.1, AT4G16765.2, AT4G16765.5
OG0004954	Aqcoe3G376400.1.p, Aqcoe3G376400.2.p	AT1G69040.1, AT1G69040.2
