Orthogroup	A_coerulea.proteins	L_sativa.proteins
OG0002981	Aqcoe1G210100.1.p	Lsat_1_v5_gn_4_46940.1, Lsat_1_v5_gn_4_46940.2, Lsat_1_v5_gn_4_46940.3, Lsat_1_v5_gn_7_27020.1, Lsat_1_v5_gn_7_27020.3, Lsat_1_v5_gn_7_27020.2
OG0002982	Aqcoe1G500400.1.p	Lsat_1_v5_gn_4_162920.1, Lsat_1_v5_gn_4_173140.1, Lsat_1_v5_gn_9_39720.1
OG0002983	Aqcoe1G192300.1.p	Lsat_1_v5_gn_9_101380.1, Lsat_1_v5_gn_9_101380.2, Lsat_1_v5_gn_5_126041.3, Lsat_1_v5_gn_5_126041.1
OG0002984	Aqcoe5G108600.1.p, Aqcoe1G169200.1.p	Lsat_1_v5_gn_4_162261.1
OG0002985	Aqcoe1G422400.1.p	Lsat_1_v5_gn_9_61260.1, Lsat_1_v5_gn_9_61260.3, Lsat_1_v5_gn_9_61260.2, Lsat_1_v5_gn_2_122961.1, Lsat_1_v5_gn_2_122961.2
OG0002986	Aqcoe1G319700.4.p, Aqcoe1G319700.3.p, Aqcoe1G319700.2.p, Aqcoe1G319700.1.p	Lsat_1_v5_gn_4_66861.1, Lsat_1_v5_gn_4_66861.2, Lsat_1_v5_gn_3_41540.3
OG0002987	Aqcoe1G141200.2.p	Lsat_1_v5_gn_9_82520.3
OG0002987	Aqcoe1G141200.1.p	Lsat_1_v5_gn_7_19480.1, Lsat_1_v5_gn_7_19480.2
OG0002988	Aqcoe1G075500.1.p, Aqcoe1G075500.2.p	Lsat_1_v5_gn_6_34841.3, Lsat_1_v5_gn_6_34841.1, Lsat_1_v5_gn_1_58500.1
OG0002989	Aqcoe1G142600.1.p, Aqcoe1G142600.2.p	Lsat_1_v5_gn_9_68900.1, Lsat_1_v5_gn_8_20201.1, Lsat_1_v5_gn_8_20201.3
OG0002990	Aqcoe1G063200.1.p	Lsat_1_v5_gn_3_113460.2, Lsat_1_v5_gn_3_113460.1, Lsat_1_v5_gn_2_38680.1
OG0002991	Aqcoe1G404900.1.p	Lsat_1_v5_gn_9_13841.1, Lsat_1_v5_gn_9_59920.3, Lsat_1_v5_gn_9_59920.2, Lsat_1_v5_gn_9_59920.1
OG0002992	Aqcoe1G313200.1.p	Lsat_1_v5_gn_1_130161.2, Lsat_1_v5_gn_1_130161.1, Lsat_1_v5_gn_4_63920.1, Lsat_1_v5_gn_4_63920.2
OG0002993	Aqcoe1G168000.2.p, Aqcoe1G168000.1.p	Lsat_1_v5_gn_7_112081.1, Lsat_1_v5_gn_7_112081.3, Lsat_1_v5_gn_7_71280.1, Lsat_1_v5_gn_7_71280.2, Lsat_1_v5_gn_7_112340.1, Lsat_1_v5_gn_7_70200.1
OG0002994	Aqcoe1G166000.1.p	Lsat_1_v5_gn_8_117141.1
OG0002995	Aqcoe1G347300.1.p	Lsat_1_v5_gn_7_17281.1, Lsat_1_v5_gn_7_109340.1
OG0002996	Aqcoe1G376300.3.p, Aqcoe1G376300.2.p, Aqcoe1G376300.1.p	Lsat_1_v5_gn_8_30540.4, Lsat_1_v5_gn_8_30540.2, Lsat_1_v5_gn_2_10861.1
OG0002997	Aqcoe1G076300.1.p	Lsat_1_v5_gn_2_105941.1, Lsat_1_v5_gn_2_105941.3, Lsat_1_v5_gn_8_21761.1, Lsat_1_v5_gn_8_21761.3, Lsat_1_v5_gn_3_115041.1, Lsat_1_v5_gn_3_115041.2, Lsat_1_v5_gn_2_35301.1
OG0002998	Aqcoe1G076200.1.p	Lsat_1_v5_gn_3_114660.2, Lsat_1_v5_gn_3_114660.3, Lsat_1_v5_gn_3_114660.1, Lsat_1_v5_gn_3_115221.3
OG0002999	Aqcoe1G071400.1.p	Lsat_1_v5_gn_1_56540.2, Lsat_1_v5_gn_1_56540.1
OG0003000	Aqcoe0204s0001.1.p, Aqcoe5G080900.1.p, Aqcoe5G081200.1.p, Aqcoe5G081500.1.p, Aqcoe5G081300.1.p	Lsat_1_v5_gn_8_54241.1, Lsat_1_v5_gn_8_54261.1, Lsat_1_v5_gn_9_2360.1, Lsat_1_v5_gn_9_47281.1
OG0003001	Aqcoe3G188900.1.p	Lsat_1_v5_gn_0_27001.1, Lsat_1_v5_gn_2_93821.1
OG0003001	Aqcoe5G372600.1.p	Lsat_1_v5_gn_1_29640.1, Lsat_1_v5_gn_5_13421.1, Lsat_1_v5_gn_4_77881.1
OG0003002	Aqcoe5G149200.1.p	Lsat_1_v5_gn_6_117721.1, Lsat_1_v5_gn_6_112181.3, Lsat_1_v5_gn_6_112181.1, Lsat_1_v5_gn_2_84821.1, Lsat_1_v5_gn_2_84821.3, Lsat_1_v5_gn_4_164841.1
OG0003003	Aqcoe5G207400.1.p, Aqcoe5G207400.2.p	Lsat_1_v5_gn_9_46241.1, Lsat_1_v5_gn_9_46241.3, Lsat_1_v5_gn_2_8501.1, Lsat_1_v5_gn_2_78861.1, Lsat_1_v5_gn_2_78861.3
OG0003005	Aqcoe5G047600.1.p	Lsat_1_v5_gn_8_55640.1, Lsat_1_v5_gn_8_55640.3, Lsat_1_v5_gn_9_7580.1
OG0003006	Aqcoe5G300700.3.p, Aqcoe5G300700.2.p, Aqcoe5G300700.1.p	Lsat_1_v5_gn_6_89680.3, Lsat_1_v5_gn_6_89680.1, Lsat_1_v5_gn_1_130380.3, Lsat_1_v5_gn_1_130380.1
OG0003007	Aqcoe5G186100.3.p, Aqcoe5G186100.1.p	Lsat_1_v5_gn_4_117401.1
OG0003008	Aqcoe5G241400.1.p	Lsat_1_v5_gn_6_96701.1, Lsat_1_v5_gn_6_96820.1, Lsat_1_v5_gn_6_96820.3, Lsat_1_v5_gn_6_96740.1, Lsat_1_v5_gn_6_96800.1
OG0003009	Aqcoe5G181700.1.p	Lsat_1_v5_gn_5_120240.1, Lsat_1_v5_gn_5_120240.3, Lsat_1_v5_gn_7_91881.1, Lsat_1_v5_gn_9_107620.1, Lsat_1_v5_gn_1_16460.3, Lsat_1_v5_gn_1_16460.1, Lsat_1_v5_gn_1_16460.2
OG0003010	Aqcoe5G048100.2.p, Aqcoe5G048100.1.p	Lsat_1_v5_gn_8_94021.1, Lsat_1_v5_gn_5_185821.2, Lsat_1_v5_gn_5_185821.1
OG0003011	Aqcoe5G004000.1.p	Lsat_1_v5_gn_2_34761.2, Lsat_1_v5_gn_2_34761.1
OG0003012	Aqcoe5G155400.1.p	Lsat_1_v5_gn_7_87121.1, Lsat_1_v5_gn_1_20380.1, Lsat_1_v5_gn_1_20380.3, Lsat_1_v5_gn_1_20300.1, Lsat_1_v5_gn_1_20300.2, Lsat_1_v5_gn_8_2421.3, Lsat_1_v5_gn_8_2421.1
OG0003013	Aqcoe5G401800.1.p, Aqcoe5G401800.2.p	Lsat_1_v5_gn_8_152201.2, Lsat_1_v5_gn_8_152201.1
OG0003014	Aqcoe5G003200.1.p	Lsat_1_v5_gn_1_69961.1, Lsat_1_v5_gn_6_58161.1
OG0003014	Aqcoe3G415700.1.p	Lsat_1_v5_gn_8_35241.1
OG0003015	Aqcoe5G093100.2.p, Aqcoe5G093100.1.p	Lsat_1_v5_gn_9_5980.1, Lsat_1_v5_gn_9_5980.3
OG0003016	Aqcoe5G045000.1.p	Lsat_1_v5_gn_3_123981.1, Lsat_1_v5_gn_3_123981.3
OG0003017	Aqcoe5G320700.1.p	Lsat_1_v5_gn_2_54721.1
OG0003018	Aqcoe5G398600.4.p, Aqcoe5G398600.2.p, Aqcoe5G398600.1.p, Aqcoe5G398600.3.p	Lsat_1_v5_gn_3_30600.4, Lsat_1_v5_gn_3_30600.3, Lsat_1_v5_gn_3_30600.1, Lsat_1_v5_gn_4_4140.1
OG0003019	Aqcoe5G458800.2.p, Aqcoe5G458800.1.p	Lsat_1_v5_gn_6_12501.3, Lsat_1_v5_gn_6_12501.1, Lsat_1_v5_gn_6_12421.1, Lsat_1_v5_gn_6_12421.3, Lsat_1_v5_gn_6_12481.1, Lsat_1_v5_gn_6_12481.2, Lsat_1_v5_gn_2_102640.3, Lsat_1_v5_gn_8_99681.1, Lsat_1_v5_gn_6_12521.1, Lsat_1_v5_gn_6_84000.1, Lsat_1_v5_gn_6_84000.2, Lsat_1_v5_gn_3_10681.1
OG0003020	Aqcoe3G279800.1.p	Lsat_1_v5_gn_4_183661.3, Lsat_1_v5_gn_4_183661.1
OG0003021	Aqcoe3G361600.3.p, Aqcoe3G361600.2.p, Aqcoe3G361600.1.p	Lsat_1_v5_gn_3_98161.1, Lsat_1_v5_gn_3_98161.3
OG0003022	Aqcoe3G013200.9.p, Aqcoe3G013200.3.p, Aqcoe3G013200.13.p, Aqcoe3G013200.12.p, Aqcoe3G013200.10.p, Aqcoe3G013200.8.p, Aqcoe3G013200.1.p, Aqcoe3G013200.4.p, Aqcoe3G013200.11.p, Aqcoe3G013200.2.p, Aqcoe3G013200.7.p, Aqcoe3G013200.6.p, Aqcoe3G013200.5.p, Aqcoe3G312400.1.p	Lsat_1_v5_gn_2_4960.1, Lsat_1_v5_gn_2_4960.3
OG0003023	Aqcoe3G396600.2.p, Aqcoe3G396600.1.p	Lsat_1_v5_gn_8_10281.3, Lsat_1_v5_gn_8_10281.1
OG0003024	Aqcoe3G226200.1.p	Lsat_1_v5_gn_8_126020.1, Lsat_1_v5_gn_3_45801.1, Lsat_1_v5_gn_3_45840.1
OG0003025	Aqcoe3G363500.1.p	Lsat_1_v5_gn_5_23221.3, Lsat_1_v5_gn_5_23221.2, Lsat_1_v5_gn_5_23221.1, Lsat_1_v5_gn_5_23221.4
OG0003026	Aqcoe3G184300.3.p, Aqcoe3G184300.1.p, Aqcoe3G184300.2.p, Aqcoe3G184300.4.p	Lsat_1_v5_gn_3_23181.1
OG0003027	Aqcoe3G036500.1.p, Aqcoe3G036500.2.p	Lsat_1_v5_gn_2_79441.3, Lsat_1_v5_gn_2_79441.1
OG0003028	Aqcoe3G314100.2.p, Aqcoe3G314100.1.p, Aqcoe3G102100.1.p, Aqcoe3G102200.1.p	Lsat_1_v5_gn_4_74501.2, Lsat_1_v5_gn_4_74501.1, Lsat_1_v5_gn_4_74501.3, Lsat_1_v5_gn_2_37820.1
OG0003029	Aqcoe3G334700.1.p, Aqcoe3G334700.2.p, Aqcoe3G083500.1.p	Lsat_1_v5_gn_3_51541.2, Lsat_1_v5_gn_3_51541.1, Lsat_1_v5_gn_3_51541.3, Lsat_1_v5_gn_4_108900.2
OG0003030	Aqcoe3G173800.1.p	Lsat_1_v5_gn_6_17640.1, Lsat_1_v5_gn_6_17640.2, Lsat_1_v5_gn_4_62320.1
OG0003031	Aqcoe3G104700.4.p, Aqcoe3G104700.1.p, Aqcoe3G104700.2.p, Aqcoe3G104700.3.p	Lsat_1_v5_gn_8_162680.1, Lsat_1_v5_gn_8_162680.4
OG0003032	Aqcoe3G243900.1.p	Lsat_1_v5_gn_8_20440.1, Lsat_1_v5_gn_6_45240.3, Lsat_1_v5_gn_6_45240.1
OG0003033	Aqcoe3G247400.1.p	Lsat_1_v5_gn_6_94900.1, Lsat_1_v5_gn_3_15700.1, Lsat_1_v5_gn_1_83741.1, Lsat_1_v5_gn_7_12581.2, Lsat_1_v5_gn_7_12581.1, Lsat_1_v5_gn_4_38180.1, Lsat_1_v5_gn_1_83741.3
OG0003034	Aqcoe3G368600.1.p	Lsat_1_v5_gn_5_43301.3, Lsat_1_v5_gn_5_43301.1, Lsat_1_v5_gn_6_60141.1, Lsat_1_v5_gn_6_60141.2, Lsat_1_v5_gn_4_110741.3, Lsat_1_v5_gn_4_110741.1
OG0003035	Aqcoe3G286700.1.p, Aqcoe3G286700.3.p, Aqcoe3G286700.2.p	Lsat_1_v5_gn_4_161060.1
OG0003036	Aqcoe3G206500.1.p	Lsat_1_v5_gn_3_32040.1, Lsat_1_v5_gn_3_32040.3
OG0003037	Aqcoe3G289800.1.p, Aqcoe3G289800.4.p, Aqcoe3G289800.3.p, Aqcoe3G289800.2.p	Lsat_1_v5_gn_2_91901.1, Lsat_1_v5_gn_4_182620.1, Lsat_1_v5_gn_4_182620.2, Lsat_1_v5_gn_0_32880.1, Lsat_1_v5_gn_0_32880.2
OG0003038	Aqcoe3G004400.1.p, Aqcoe3G004400.2.p	Lsat_1_v5_gn_4_157700.1, Lsat_1_v5_gn_4_157700.2
OG0003039	Aqcoe3G142400.3.p, Aqcoe3G142400.4.p, Aqcoe3G142400.1.p, Aqcoe3G142400.5.p, Aqcoe3G142400.2.p	Lsat_1_v5_gn_2_127081.1, Lsat_1_v5_gn_8_14040.1, Lsat_1_v5_gn_9_50600.1
OG0003066	Aqcoe2G397300.1.p, Aqcoe2G397800.1.p, Aqcoe2G397200.1.p	Lsat_1_v5_gn_9_94261.1, Lsat_1_v5_gn_9_94301.1, Lsat_1_v5_gn_9_94261.3, Lsat_1_v5_gn_9_94160.1, Lsat_1_v5_gn_2_99221.1
OG0003067	Aqcoe2G243100.1.p, Aqcoe2G243100.2.p, Aqcoe2G208600.1.p, Aqcoe2G042500.2.p, Aqcoe2G042500.1.p	Lsat_1_v5_gn_5_60361.3, Lsat_1_v5_gn_5_60361.1
OG0003068	Aqcoe2G130400.2.p, Aqcoe2G130400.3.p, Aqcoe2G130400.1.p	Lsat_1_v5_gn_8_24520.3, Lsat_1_v5_gn_8_24520.1, Lsat_1_v5_gn_6_39480.1
OG0003069	Aqcoe2G390300.1.p, Aqcoe2G390500.1.p, Aqcoe2G390500.2.p, Aqcoe2G390500.3.p	Lsat_1_v5_gn_3_33580.1, Lsat_1_v5_gn_3_33580.3
OG0003070	Aqcoe2G438300.1.p	Lsat_1_v5_gn_1_101701.2, Lsat_1_v5_gn_1_101701.1, Lsat_1_v5_gn_4_32040.1
OG0003071	Aqcoe4G244700.1.p, Aqcoe2G070700.1.p	Lsat_1_v5_gn_8_22421.1, Lsat_1_v5_gn_8_22461.3, Lsat_1_v5_gn_8_22461.1, Lsat_1_v5_gn_2_107320.1, Lsat_1_v5_gn_2_107320.7, Lsat_1_v5_gn_2_107340.1, Lsat_1_v5_gn_2_107340.3, Lsat_1_v5_gn_2_107320.9, Lsat_1_v5_gn_2_107320.8, Lsat_1_v5_gn_0_35680.1, Lsat_1_v5_gn_0_35680.3
OG0003072	Aqcoe2G379700.1.p, Aqcoe2G379200.2.p, Aqcoe2G379200.1.p	Lsat_1_v5_gn_2_39781.1, Lsat_1_v5_gn_2_39740.1, Lsat_1_v5_gn_2_39940.1, Lsat_1_v5_gn_5_182601.1
OG0003073	Aqcoe2G014200.1.p	Lsat_1_v5_gn_6_47800.1, Lsat_1_v5_gn_6_47800.2, Lsat_1_v5_gn_1_106980.1, Lsat_1_v5_gn_4_31661.1
OG0003074	Aqcoe3G201300.1.p, Aqcoe2G010200.1.p, Aqcoe3G201300.2.p, Aqcoe2G010200.2.p, Aqcoe3G173500.1.p, Aqcoe3G201300.3.p	Lsat_1_v5_gn_3_114241.1, Lsat_1_v5_gn_5_79500.2, Lsat_1_v5_gn_5_79500.1
OG0003075	Aqcoe2G019200.1.p, Aqcoe2G019500.1.p, Aqcoe2G019800.1.p, Aqcoe2G018700.1.p, Aqcoe2G392400.1.p, Aqcoe2G392000.1.p, Aqcoe2G392300.1.p, Aqcoe4G039900.1.p, Aqcoe4G054600.1.p, Aqcoe0084s0003.1.p, Aqcoe4G056700.1.p	Lsat_1_v5_gn_5_83361.1, Lsat_1_v5_gn_8_71541.3, Lsat_1_v5_gn_8_71541.1
OG0003076	Aqcoe2G236900.1.p	Lsat_1_v5_gn_9_83640.1, Lsat_1_v5_gn_9_83640.2, Lsat_1_v5_gn_9_83660.1, Lsat_1_v5_gn_9_84301.1, Lsat_1_v5_gn_9_83600.1
OG0003077	Aqcoe2G218700.1.p, Aqcoe2G218200.1.p, Aqcoe2G218100.1.p	Lsat_1_v5_gn_4_110821.1, Lsat_1_v5_gn_4_110821.3, Lsat_1_v5_gn_4_110981.1, Lsat_1_v5_gn_4_110981.3
OG0003078	Aqcoe6G119600.1.p	Lsat_1_v5_gn_4_119280.1, Lsat_1_v5_gn_4_119280.2
OG0003079	Aqcoe2G328300.1.p	Lsat_1_v5_gn_5_187461.1, Lsat_1_v5_gn_5_187461.3, Lsat_1_v5_gn_9_4461.1, Lsat_1_v5_gn_5_77001.1
OG0003080	Aqcoe1G122400.1.p	Lsat_1_v5_gn_6_28040.1, Lsat_1_v5_gn_2_103301.1, Lsat_1_v5_gn_2_103301.3
OG0003081	Aqcoe2G112800.1.p	Lsat_1_v5_gn_1_57321.1, Lsat_1_v5_gn_6_35261.1
OG0003083	Aqcoe2G360800.2.p, Aqcoe2G360800.3.p, Aqcoe2G360800.1.p	Lsat_1_v5_gn_3_36640.1, Lsat_1_v5_gn_3_36640.2
OG0003083	Aqcoe2G250800.1.p	Lsat_1_v5_gn_6_70580.1
OG0003084	Aqcoe2G098600.1.p, Aqcoe6G177800.1.p	Lsat_1_v5_gn_9_37500.1, Lsat_1_v5_gn_9_37520.1
OG0003085	Aqcoe2G429000.1.p	Lsat_1_v5_gn_3_47300.2, Lsat_1_v5_gn_3_47300.1
OG0003086	Aqcoe2G052300.2.p, Aqcoe2G052300.1.p	Lsat_1_v5_gn_6_68860.2, Lsat_1_v5_gn_6_68860.1, Lsat_1_v5_gn_6_68860.3, Lsat_1_v5_gn_9_70200.1, Lsat_1_v5_gn_9_70200.3
OG0003087	Aqcoe2G185400.1.p	Lsat_1_v5_gn_2_96621.1, Lsat_1_v5_gn_2_96621.3, Lsat_1_v5_gn_6_42741.1, Lsat_1_v5_gn_6_42741.2, Lsat_1_v5_gn_6_42741.3
OG0003088	Aqcoe2G398700.1.p	Lsat_1_v5_gn_6_60361.1, Lsat_1_v5_gn_1_72761.1
OG0003089	Aqcoe5G403700.1.p	Lsat_1_v5_gn_4_4281.2, Lsat_1_v5_gn_4_4281.1
OG0003089	Aqcoe3G145600.1.p, Aqcoe2G109100.1.p	Lsat_1_v5_gn_4_183900.1, Lsat_1_v5_gn_2_91461.1, Lsat_1_v5_gn_2_91461.2, Lsat_1_v5_gn_0_39801.1
OG0003090	Aqcoe2G332900.3.p, Aqcoe2G332900.6.p, Aqcoe2G332900.1.p, Aqcoe2G332900.7.p, Aqcoe2G332900.5.p, Aqcoe2G332900.2.p, Aqcoe2G332900.4.p	Lsat_1_v5_gn_5_76821.2, Lsat_1_v5_gn_5_76821.1, Lsat_1_v5_gn_5_76821.3
OG0003091	Aqcoe2G322600.2.p, Aqcoe2G322600.1.p	Lsat_1_v5_gn_5_51481.5, Lsat_1_v5_gn_5_51481.3, Lsat_1_v5_gn_5_51481.1
OG0003092	Aqcoe2G116100.1.p, Aqcoe2G116100.2.p, Aqcoe1G438300.1.p	Lsat_1_v5_gn_6_37161.3, Lsat_1_v5_gn_6_37161.1, Lsat_1_v5_gn_1_59961.1
OG0003093	Aqcoe2G277200.1.p	Lsat_1_v5_gn_6_19060.3, Lsat_1_v5_gn_6_19060.1, Lsat_1_v5_gn_9_2920.1, Lsat_1_v5_gn_9_2920.3
OG0003094	Aqcoe2G311600.3.p, Aqcoe2G311600.2.p, Aqcoe5G007300.1.p, Aqcoe5G007400.1.p, Aqcoe2G311600.1.p, Aqcoe2G311600.4.p, Aqcoe5G007500.1.p	Lsat_1_v5_gn_8_90041.1
OG0003095	Aqcoe2G436200.2.p, Aqcoe2G436200.1.p	Lsat_1_v5_gn_3_36701.1, Lsat_1_v5_gn_1_74581.2, Lsat_1_v5_gn_1_74581.1
OG0003096	Aqcoe1G400100.1.p	Lsat_1_v5_gn_5_174761.1, Lsat_1_v5_gn_8_108600.1
OG0003097	Aqcoe2G033500.1.p, Aqcoe2G328500.1.p, Aqcoe2G033500.3.p, Aqcoe2G033500.2.p	Lsat_1_v5_gn_4_146300.1, Lsat_1_v5_gn_4_146300.2, Lsat_1_v5_gn_4_146300.3, Lsat_1_v5_gn_2_38240.3, Lsat_1_v5_gn_2_38240.1
OG0003098	Aqcoe2G372800.1.p	Lsat_1_v5_gn_8_93000.1, Lsat_1_v5_gn_5_183400.3, Lsat_1_v5_gn_5_183400.1, Lsat_1_v5_gn_5_183400.2, Lsat_1_v5_gn_5_183361.1, Lsat_1_v5_gn_5_183361.2, Lsat_1_v5_gn_8_93000.3, Lsat_1_v5_gn_8_93000.2, Lsat_1_v5_gn_8_93000.4
OG0003099	Aqcoe2G295800.1.p	Lsat_1_v5_gn_3_24681.1, Lsat_1_v5_gn_5_62580.1, Lsat_1_v5_gn_5_62580.3
OG0003100	Aqcoe1G049000.3.p, Aqcoe1G049000.2.p, Aqcoe1G049000.1.p, Aqcoe1G049000.4.p, Aqcoe2G055400.1.p	Lsat_1_v5_gn_7_61900.1
OG0003101	Aqcoe2G389800.1.p, Aqcoe2G389800.2.p	Lsat_1_v5_gn_5_179681.1, Lsat_1_v5_gn_5_179681.2, Lsat_1_v5_gn_9_12700.3, Lsat_1_v5_gn_9_12700.1, Lsat_1_v5_gn_8_3181.3, Lsat_1_v5_gn_8_3181.1
OG0003102	Aqcoe2G433600.2.p, Aqcoe2G433600.3.p, Aqcoe2G433600.1.p	Lsat_1_v5_gn_5_176300.3, Lsat_1_v5_gn_5_176300.1
OG0003103	Aqcoe5G055300.1.p	Lsat_1_v5_gn_2_67861.1
OG0003104	Aqcoe2G437300.1.p	Lsat_1_v5_gn_9_17041.1, Lsat_1_v5_gn_8_15201.3, Lsat_1_v5_gn_9_17041.3, Lsat_1_v5_gn_5_176380.3, Lsat_1_v5_gn_5_176380.1
OG0003105	Aqcoe2G277400.1.p	Lsat_1_v5_gn_9_3020.1, Lsat_1_v5_gn_9_3020.2, Lsat_1_v5_gn_8_165980.2, Lsat_1_v5_gn_8_165980.1
OG0003107	Aqcoe2G371400.1.p	Lsat_1_v5_gn_5_182181.1, Lsat_1_v5_gn_5_182181.3
OG0003108	Aqcoe2G051500.1.p, Aqcoe5G402700.1.p	Lsat_1_v5_gn_3_28860.1, Lsat_1_v5_gn_3_28860.2, Lsat_1_v5_gn_4_4460.1, Lsat_1_v5_gn_5_14101.1, Lsat_1_v5_gn_5_14101.3
OG0003109	Aqcoe0038s0002.10.p, Aqcoe0038s0002.1.p, Aqcoe0038s0002.7.p, Aqcoe0038s0002.11.p, Aqcoe0038s0002.4.p, Aqcoe6G033900.1.p, Aqcoe6G033900.2.p, Aqcoe0038s0002.5.p, Aqcoe0038s0002.9.p, Aqcoe0038s0002.2.p, Aqcoe0038s0002.6.p, Aqcoe0038s0002.8.p, Aqcoe0038s0002.3.p, Aqcoe0038s0002.12.p	Lsat_1_v5_gn_5_99881.1, Lsat_1_v5_gn_8_161421.2, Lsat_1_v5_gn_8_161421.1
OG0003110	Aqcoe6G120200.2.p, Aqcoe6G120200.1.p	Lsat_1_v5_gn_4_119240.1, Lsat_1_v5_gn_7_89281.1, Lsat_1_v5_gn_7_89281.4, Lsat_1_v5_gn_5_118520.1, Lsat_1_v5_gn_5_118520.2
OG0003111	Aqcoe6G026200.1.p	Lsat_1_v5_gn_4_137061.3, Lsat_1_v5_gn_4_137061.1
OG0003112	Aqcoe6G231500.2.p, Aqcoe6G231500.1.p	Lsat_1_v5_gn_4_69980.1, Lsat_1_v5_gn_3_47280.1, Lsat_1_v5_gn_8_28081.1
OG0003113	Aqcoe1G036200.1.p	Lsat_1_v5_gn_1_98861.1
OG0003113	Aqcoe6G156900.1.p	Lsat_1_v5_gn_1_2320.2, Lsat_1_v5_gn_1_2320.1
OG0003114	Aqcoe6G297700.1.p	Lsat_1_v5_gn_2_84581.1, Lsat_1_v5_gn_2_84581.3, Lsat_1_v5_gn_2_84641.3, Lsat_1_v5_gn_2_84641.1, Lsat_1_v5_gn_2_84581.4, Lsat_1_v5_gn_4_162321.1
OG0003115	Aqcoe5G167900.2.p, Aqcoe5G167900.1.p, Aqcoe5G167900.3.p, Aqcoe5G167900.4.p, Aqcoe6G093300.3.p, Aqcoe6G093300.4.p, Aqcoe6G093300.1.p, Aqcoe6G093300.2.p, Aqcoe6G093300.5.p	Lsat_1_v5_gn_9_115720.2, Lsat_1_v5_gn_9_115720.1, Lsat_1_v5_gn_9_115720.3, Lsat_1_v5_gn_7_82761.1
OG0003116	Aqcoe6G016100.1.p, Aqcoe6G016100.3.p, Aqcoe6G016100.2.p	Lsat_1_v5_gn_8_141780.1, Lsat_1_v5_gn_8_141780.2
OG0003117	Aqcoe6G187500.8.p, Aqcoe6G187500.6.p, Aqcoe4G069000.6.p, Aqcoe6G187500.4.p, Aqcoe4G069000.2.p, Aqcoe4G069000.5.p, Aqcoe6G187500.5.p, Aqcoe6G187500.7.p, Aqcoe6G187500.2.p, Aqcoe4G069000.4.p, Aqcoe6G187500.3.p, Aqcoe4G069000.1.p, Aqcoe4G069000.3.p, Aqcoe6G187500.1.p	Lsat_1_v5_gn_4_50941.1, Lsat_1_v5_gn_4_50941.3
OG0003118	Aqcoe6G155400.2.p, Aqcoe6G155400.1.p, Aqcoe5G162200.1.p	Lsat_1_v5_gn_6_104860.1, Lsat_1_v5_gn_6_104860.2, Lsat_1_v5_gn_9_74021.1, Lsat_1_v5_gn_9_74021.3
OG0003119	Aqcoe6G038000.2.p, Aqcoe6G038000.1.p	Lsat_1_v5_gn_1_9720.1
OG0003120	Aqcoe6G316000.1.p, Aqcoe3G060400.1.p, Aqcoe3G361300.2.p, Aqcoe3G361300.1.p	Lsat_1_v5_gn_4_110620.3, Lsat_1_v5_gn_4_110620.1, Lsat_1_v5_gn_4_170881.1
OG0003121	Aqcoe5G279500.1.p, Aqcoe6G016400.1.p	Lsat_1_v5_gn_4_134040.3, Lsat_1_v5_gn_4_134040.1
OG0003122	Aqcoe6G013400.1.p	Lsat_1_v5_gn_9_80761.1
OG0003123	Aqcoe5G141800.1.p, Aqcoe5G141800.2.p	Lsat_1_v5_gn_5_61981.1, Lsat_1_v5_gn_5_61981.3, Lsat_1_v5_gn_5_61901.1
OG0003124	Aqcoe5G152200.4.p, Aqcoe5G152200.5.p, Aqcoe5G152200.3.p, Aqcoe5G152200.2.p, Aqcoe5G152200.1.p, Aqcoe6G141100.1.p	Lsat_1_v5_gn_5_112600.3, Lsat_1_v5_gn_5_112600.1, Lsat_1_v5_gn_6_112000.1, Lsat_1_v5_gn_6_112000.3
OG0003125	Aqcoe6G225000.1.p	Lsat_1_v5_gn_8_86420.1, Lsat_1_v5_gn_8_86420.4, Lsat_1_v5_gn_3_20541.3, Lsat_1_v5_gn_3_20541.1, Lsat_1_v5_gn_6_75460.1, Lsat_1_v5_gn_6_75460.2, Lsat_1_v5_gn_6_75460.3
OG0003126	Aqcoe1G166300.1.p, Aqcoe6G180400.1.p, Aqcoe6G180400.3.p, Aqcoe6G180400.2.p	Lsat_1_v5_gn_3_36561.3, Lsat_1_v5_gn_3_36561.1
OG0003127	Aqcoe6G246000.1.p	Lsat_1_v5_gn_4_116021.1, Lsat_1_v5_gn_4_152881.1
OG0003128	Aqcoe6G128700.1.p	Lsat_1_v5_gn_9_108041.1, Lsat_1_v5_gn_9_46540.1, Lsat_1_v5_gn_2_5961.1, Lsat_1_v5_gn_5_120481.1
OG0003129	Aqcoe6G020100.2.p, Aqcoe6G020100.1.p, Aqcoe4G037400.1.p	Lsat_1_v5_gn_2_37681.2, Lsat_1_v5_gn_2_37681.1
OG0003130	Aqcoe5G115300.1.p, Aqcoe6G167200.1.p	Lsat_1_v5_gn_4_159860.1, Lsat_1_v5_gn_8_113441.1, Lsat_1_v5_gn_2_74100.2, Lsat_1_v5_gn_2_74100.1, Lsat_1_v5_gn_2_74080.1, Lsat_1_v5_gn_3_68860.3, Lsat_1_v5_gn_3_68860.1
OG0003131	Aqcoe6G183600.1.p	Lsat_1_v5_gn_8_103640.1, Lsat_1_v5_gn_9_93401.2, Lsat_1_v5_gn_9_93401.3
