Orthogroup	A_coerulea.proteins	V_vinifera.proteins
OG0005125	Aqcoe6G062000.1.p	VIT_218s0001g05110.1
OG0005126	Aqcoe6G004900.1.p	VIT_212s0035g01790.1, VIT_212s0035g01790.2
OG0005127	Aqcoe6G063600.2.p, Aqcoe6G063600.1.p	VIT_212s0121g00280.1, VIT_212s0178g00150.1, VIT_212s0178g00130.1, VIT_212s0178g00050.5, VIT_212s0178g00050.3, VIT_212s0178g00050.1, VIT_212s0178g00050.2, VIT_212s0178g00050.4
OG0005128	Aqcoe5G176700.1.p, Aqcoe5G176700.2.p, Aqcoe6G244300.1.p	VIT_205s0094g01630.3, VIT_205s0094g01630.6, VIT_205s0094g01630.7, VIT_205s0094g01630.4, VIT_205s0094g01630.5, VIT_205s0094g01630.2, VIT_205s0094g01630.1
OG0005129	Aqcoe7G117500.2.p, Aqcoe7G117500.1.p, Aqcoe6G062900.1.p, Aqcoe7G117300.1.p, Aqcoe7G117300.2.p	VIT_202s0087g00590.2, VIT_202s0087g00590.1, VIT_202s0087g00590.5, VIT_202s0087g00590.4, VIT_202s0087g00590.3, VIT_212s0059g01230.3, VIT_212s0059g01230.2, VIT_212s0059g01230.1, VIT_212s0059g01230.4
OG0005130	Aqcoe3G188000.2.p, Aqcoe3G188000.3.p, Aqcoe3G188000.1.p, Aqcoe6G030500.1.p	VIT_200s0265g00140.1, VIT_213s0067g01510.1
OG0005131	Aqcoe6G129900.1.p	VIT_204s0023g02620.1, VIT_218s0001g13180.1
OG0005132	Aqcoe6G104300.1.p	VIT_200s0207g00220.1
OG0005132	Aqcoe5G204000.1.p	VIT_203s0063g01870.1
OG0005133	Aqcoe5G206400.1.p, Aqcoe5G206700.1.p, Aqcoe5G199000.1.p, Aqcoe5G199100.1.p, Aqcoe6G086100.1.p, Aqcoe5G199300.1.p, Aqcoe5G206600.1.p, Aqcoe6G110800.1.p	VIT_218s0001g12000.1, VIT_204s0023g01210.1
OG0005134	Aqcoe6G156500.1.p	VIT_203s0038g00270.1
OG0005135	Aqcoe5G162500.1.p, Aqcoe6G156100.1.p	VIT_200s0199g00190.2, VIT_200s0199g00190.1
OG0005136	Aqcoe6G001200.2.p, Aqcoe6G001200.1.p	VIT_200s0669g00010.1, VIT_200s0642g00010.1, VIT_200s0669g00010.2, VIT_200s0669g00010.4, VIT_200s0669g00010.3
OG0005137	Aqcoe6G093900.1.p	VIT_203s0017g00410.1, VIT_203s0017g00420.1, VIT_203s0017g00460.1, VIT_203s0017g00460.2
OG0005138	Aqcoe6G056500.4.p, Aqcoe6G056500.5.p, Aqcoe6G056500.6.p, Aqcoe6G056500.2.p, Aqcoe6G056500.1.p, Aqcoe6G056500.3.p	VIT_218s0001g04680.2, VIT_218s0001g04680.3, VIT_218s0001g04680.4, VIT_218s0001g04680.1, VIT_213s0047g00784.1
OG0005139	Aqcoe0680s0001.2.p, Aqcoe0680s0001.1.p, Aqcoe7G329300.1.p	VIT_211s0052g01660.1
OG0005140	Aqcoe4G073100.1.p, Aqcoe4G073100.2.p	VIT_219s0014g01930.2, VIT_219s0014g01930.1, VIT_219s0014g01930.3, VIT_219s0014g01930.4
OG0005141	Aqcoe4G046200.1.p	VIT_204s0008g06570.3, VIT_204s0008g06570.4, VIT_204s0008g06570.1, VIT_204s0008g06570.5, VIT_204s0008g06570.2
OG0005143	Aqcoe4G290000.1.p, Aqcoe4G291700.1.p, Aqcoe4G291700.2.p, Aqcoe4G291700.3.p	VIT_205s0029g01210.2, VIT_205s0029g01210.1
OG0005144	Aqcoe4G210600.2.p, Aqcoe4G210600.3.p, Aqcoe4G202100.1.p, Aqcoe4G210600.5.p, Aqcoe4G210600.1.p, Aqcoe4G210600.4.p	VIT_219s0090g00870.1
OG0005145	Aqcoe4G053200.1.p, Aqcoe4G053200.2.p, Aqcoe4G053900.1.p, Aqcoe4G054400.1.p, Aqcoe4G053300.2.p, Aqcoe4G053300.4.p, Aqcoe4G053300.1.p, Aqcoe4G053300.3.p	VIT_219s0027g00380.1
OG0005146	Aqcoe4G310600.1.p	VIT_200s0956g00020.1
OG0005147	Aqcoe4G197700.1.p	VIT_219s0090g00310.1
OG0005148	Aqcoe7G375300.3.p, Aqcoe7G375300.2.p, Aqcoe7G375300.1.p, Aqcoe4G168600.1.p, Aqcoe3G270200.1.p	VIT_211s0118g00510.1, VIT_211s0118g00510.4, VIT_211s0118g00510.2, VIT_211s0118g00510.3
OG0005149	Aqcoe4G200500.1.p	VIT_210s0071g00670.2, VIT_210s0071g00670.4, VIT_210s0071g00670.3, VIT_210s0071g00670.1
OG0005150	Aqcoe5G344000.1.p, Aqcoe5G344300.3.p, Aqcoe5G344300.1.p, Aqcoe5G344300.2.p, Aqcoe4G116000.1.p	VIT_217s0000g00730.1, VIT_217s0000g00730.2
OG0005151	Aqcoe4G066800.1.p, Aqcoe4G223500.1.p, Aqcoe4G067400.1.p, Aqcoe4G066900.1.p, Aqcoe4G067100.1.p	VIT_219s0014g01830.1, VIT_219s0014g01770.1, VIT_219s0014g01770.2, VIT_219s0014g01760.1
OG0005152	Aqcoe4G001300.1.p, Aqcoe7G441500.1.p, Aqcoe1G232300.2.p, Aqcoe1G232300.1.p, Aqcoe1G232300.3.p, Aqcoe1G232300.4.p	VIT_211s0016g00350.1
OG0005153	Aqcoe4G259900.1.p	VIT_219s0014g03700.2, VIT_219s0014g03700.3, VIT_219s0014g03700.1
OG0005154	Aqcoe4G311900.1.p	VIT_200s0194g00310.1, VIT_200s0194g00270.1
OG0005155	Aqcoe1G319300.4.p, Aqcoe1G319300.1.p, Aqcoe1G319300.2.p, Aqcoe1G319300.3.p, Aqcoe4G265700.2.p, Aqcoe4G265700.1.p	VIT_219s0014g03930.3, VIT_219s0014g03930.4, VIT_219s0014g03930.2, VIT_219s0014g03930.1
OG0005156	Aqcoe5G250300.1.p, Aqcoe5G250200.1.p, Aqcoe4G082000.1.p	VIT_215s0048g02150.4, VIT_215s0048g02150.2, VIT_215s0048g02150.1, VIT_215s0048g02150.3
OG0005157	Aqcoe4G111900.1.p, Aqcoe7G403000.2.p, Aqcoe7G403000.1.p	VIT_204s0008g03730.2, VIT_204s0008g03730.1, VIT_204s0008g03730.3
OG0005158	Aqcoe4G209600.2.p, Aqcoe4G209600.1.p, Aqcoe4G209600.3.p, Aqcoe4G209600.4.p	VIT_219s0090g00380.3, VIT_219s0090g00380.1, VIT_219s0090g00380.4, VIT_219s0090g00380.2
OG0005159	Aqcoe4G183900.1.p, Aqcoe4G183900.3.p, Aqcoe4G183900.2.p, Aqcoe3G065000.1.p	VIT_201s0011g00150.1
OG0005160	Aqcoe7G338700.1.p	VIT_211s0037g01100.5, VIT_211s0037g01100.8, VIT_211s0037g01100.4, VIT_211s0037g01100.6, VIT_211s0037g01100.7, VIT_211s0037g01100.2, VIT_211s0037g01100.1, VIT_211s0037g01100.3
OG0005161	Aqcoe7G193800.1.p	VIT_211s0016g04410.2, VIT_211s0016g04410.3, VIT_211s0016g04410.1
OG0005162	Aqcoe7G320900.1.p, Aqcoe7G035000.1.p	VIT_200s0220g00030.1
OG0005163	Aqcoe7G054300.1.p	VIT_215s0048g01300.1
OG0005164	Aqcoe7G170900.1.p	VIT_209s0002g04340.1, VIT_209s0002g04340.2
OG0005165	Aqcoe7G010500.4.p, Aqcoe7G010500.3.p, Aqcoe7G010500.1.p, Aqcoe7G010500.2.p	VIT_202s0025g01510.1
OG0005166	Aqcoe7G024000.1.p	VIT_215s0046g02270.1, VIT_215s0046g02270.3, VIT_215s0046g02270.2
OG0005167	Aqcoe7G084100.2.p, Aqcoe7G084100.1.p, Aqcoe7G084200.1.p	VIT_200s0229g00060.1
OG0005168	Aqcoe7G163900.1.p, Aqcoe7G163800.1.p	VIT_211s0016g03480.1
OG0005169	Aqcoe7G088400.1.p	VIT_200s0199g00200.1, VIT_200s0829g00010.1
OG0005170	Aqcoe7G043400.1.p	VIT_215s0048g01990.3, VIT_215s0048g01990.1, VIT_215s0048g01990.2
OG0005171	Aqcoe7G267300.1.p	VIT_211s0016g05300.1
OG0005172	Aqcoe7G039200.2.p	VIT_215s0046g03520.3, VIT_215s0046g03520.4
OG0005172	Aqcoe7G039200.1.p	VIT_215s0046g03520.1, VIT_215s0046g03520.2
OG0005174	Aqcoe7G245100.1.p, Aqcoe1G302900.1.p, Aqcoe1G302900.2.p, Aqcoe1G302900.3.p, Aqcoe3G092400.2.p, Aqcoe3G092400.1.p	VIT_219s0014g03060.1, VIT_219s0014g03060.4, VIT_219s0014g03060.5, VIT_219s0014g03060.6, VIT_219s0014g03060.3, VIT_219s0014g03060.2
OG0005175	Aqcoe7G385900.1.p, Aqcoe7G264300.1.p	VIT_211s0016g05570.2, VIT_211s0016g05570.4, VIT_211s0016g05570.3, VIT_211s0016g05570.1
OG0005176	Aqcoe7G339000.1.p	VIT_211s0037g01230.1
OG0005177	Aqcoe7G368200.1.p	VIT_209s0002g08840.1
OG0005178	Aqcoe7G053700.4.p, Aqcoe7G053700.1.p, Aqcoe7G053700.2.p, Aqcoe7G053700.3.p	VIT_216s0022g02330.1, VIT_215s0048g01270.1, VIT_215s0048g01270.2
OG0005179	Aqcoe7G011800.1.p	VIT_215s0046g00970.1
OG0005180	Aqcoe7G034200.1.p, Aqcoe7G034100.1.p, Aqcoe7G034200.2.p, Aqcoe7G034200.3.p, Aqcoe7G034300.2.p, Aqcoe7G034300.1.p	VIT_215s0046g02700.2, VIT_215s0046g02700.1
OG0005181	Aqcoe7G162900.5.p, Aqcoe7G162900.6.p, Aqcoe7G162900.1.p, Aqcoe7G162900.7.p, Aqcoe7G162900.4.p, Aqcoe7G162900.3.p, Aqcoe7G162900.2.p	VIT_204s0008g03570.2, VIT_204s0008g03570.5, VIT_204s0008g03570.4, VIT_204s0008g03570.1, VIT_204s0008g03570.3
OG0005182	Aqcoe7G432800.1.p	VIT_219s0014g03360.5, VIT_219s0014g03360.4, VIT_219s0014g03360.3, VIT_219s0014g03360.2, VIT_219s0014g03360.1
OG0005183	Aqcoe7G165900.3.p, Aqcoe7G165900.1.p, Aqcoe7G165900.2.p	VIT_205s0077g01710.8, VIT_205s0077g01710.7, VIT_205s0077g01710.1, VIT_205s0077g01710.3, VIT_205s0077g01710.2, VIT_205s0077g01710.4, VIT_205s0077g01710.5, VIT_205s0077g01710.6
OG0005184	Aqcoe7G045700.1.p	VIT_202s0025g04000.1
OG0005185	Aqcoe7G159900.1.p	VIT_218s0001g14320.1, VIT_204s0008g03410.1
OG0005186	Aqcoe7G283600.1.p, Aqcoe7G283600.2.p	VIT_211s0065g00340.4, VIT_211s0065g00340.1, VIT_211s0065g00340.2, VIT_211s0065g00340.5, VIT_211s0065g00340.6, VIT_211s0065g00340.3
OG0005187	Aqcoe7G096400.1.p	VIT_216s0039g02500.3, VIT_216s0039g02500.1, VIT_216s0039g02500.2, VIT_216s0039g02500.4, VIT_216s0039g02500.5
OG0005188	Aqcoe7G278800.1.p	VIT_209s0002g06280.1, VIT_209s0002g06196.1, VIT_211s0016g04960.1, VIT_211s0016g04960.2
OG0005189	Aqcoe7G135900.1.p	VIT_209s0002g02500.1
OG0005190	Aqcoe7G104100.1.p, Aqcoe5G358200.1.p, Aqcoe3G096200.2.p, Aqcoe3G096200.1.p	VIT_214s0068g02040.1
OG0005191	Aqcoe7G207500.1.p	VIT_209s0002g05740.2, VIT_209s0002g05740.3, VIT_209s0002g05740.1
OG0005192	Aqcoe7G117600.1.p	VIT_204s0008g01660.1
OG0005193	Aqcoe7G052800.1.p	VIT_202s0025g04630.1, VIT_202s0025g04630.2
OG0005194	Aqcoe7G099900.1.p	VIT_214s0060g01630.3, VIT_214s0060g01630.1, VIT_214s0060g01630.2
OG0005195	Aqcoe7G299900.1.p	VIT_209s0054g00600.3, VIT_209s0054g00600.2, VIT_209s0054g00600.1, VIT_209s0054g00600.4
OG0005196	Aqcoe7G194300.1.p	VIT_209s0002g05110.1
OG0005197	Aqcoe7G435300.1.p	VIT_205s0102g01210.4, VIT_205s0102g01210.5, VIT_205s0102g01210.6, VIT_205s0102g01210.7, VIT_205s0102g01210.2, VIT_205s0102g01210.3, VIT_205s0102g01210.1
OG0005198	Aqcoe7G070000.1.p	VIT_219s0014g00560.7, VIT_219s0014g00560.1, VIT_219s0014g00560.4, VIT_219s0014g00560.6, VIT_219s0014g00560.5, VIT_219s0014g00560.3, VIT_219s0014g00560.2
OG0005199	Aqcoe7G143600.1.p	VIT_211s0016g02790.1, VIT_204s0008g00610.1
OG0005200	Aqcoe7G380500.1.p	VIT_204s0008g05650.1
OG0005201	Aqcoe7G217300.1.p, Aqcoe7G217300.2.p	VIT_210s0116g01850.3, VIT_210s0116g01850.2, VIT_210s0116g01850.4, VIT_210s0116g01850.1
OG0005202	Aqcoe7G235200.1.p, Aqcoe3G071800.1.p, Aqcoe7G412100.1.p	VIT_208s0007g06420.1, VIT_208s0007g06430.1, VIT_208s0007g06440.1
OG0005203	Aqcoe7G022800.1.p, Aqcoe7G022800.2.p	VIT_202s0025g01010.1, VIT_202s0025g01010.2, VIT_202s0025g01010.4, VIT_202s0025g01010.3
OG0005204	Aqcoe7G383800.1.p	VIT_209s0002g07060.1
OG0005205	Aqcoe7G051200.1.p, Aqcoe7G051200.2.p	VIT_215s0048g01100.1, VIT_215s0048g01100.2
OG0005206	Aqcoe7G391200.3.p, Aqcoe7G391200.2.p, Aqcoe7G391200.1.p	VIT_209s0002g06380.2, VIT_209s0002g06380.1
OG0005207	Aqcoe7G038500.1.p	VIT_215s0046g03350.1, VIT_216s0050g00030.1, VIT_216s0050g00030.4, VIT_216s0050g00030.5
OG0005208	Aqcoe7G182800.3.p, Aqcoe7G182800.1.p, Aqcoe7G182800.2.p	VIT_214s0066g01240.3, VIT_214s0066g01240.4, VIT_214s0066g01240.1, VIT_214s0066g01240.2
OG0005209	Aqcoe7G285200.1.p	VIT_209s0054g00700.1, VIT_209s0054g00700.3, VIT_209s0054g00700.4, VIT_209s0054g00700.2
OG0005210	Aqcoe7G350700.1.p, Aqcoe7G350700.2.p	VIT_211s0037g00730.2, VIT_211s0037g00730.3, VIT_211s0037g00730.1
OG0005211	Aqcoe3G439500.1.p, Aqcoe7G362300.2.p, Aqcoe7G362200.1.p, Aqcoe7G362300.1.p	VIT_211s0206g00120.1
OG0005212	Aqcoe7G039500.2.p, Aqcoe7G039500.1.p	VIT_216s0100g01310.7, VIT_216s0100g01310.6, VIT_216s0100g01310.5, VIT_216s0100g01310.4, VIT_216s0100g01310.2, VIT_216s0100g01310.1, VIT_216s0100g01310.3
OG0005213	Aqcoe7G427700.1.p, Aqcoe7G427700.3.p, Aqcoe7G427700.2.p, Aqcoe7G427700.4.p	VIT_209s0002g02110.1, VIT_209s0002g02110.2, VIT_209s0002g02110.3
OG0005214	Aqcoe5G283400.1.p, Aqcoe7G338300.1.p	VIT_211s0037g01410.1, VIT_211s0037g01410.3, VIT_211s0037g01410.2
OG0005215	Aqcoe7G282800.1.p	VIT_211s0118g00610.4, VIT_211s0118g00610.5, VIT_211s0118g00610.10, VIT_211s0118g00610.6, VIT_211s0118g00610.1, VIT_211s0118g00610.2, VIT_211s0118g00610.3, VIT_211s0118g00610.11, VIT_211s0118g00610.8, VIT_211s0118g00610.9, VIT_211s0118g00610.7
OG0005216	Aqcoe7G430000.1.p	VIT_209s0002g01120.1, VIT_209s0002g01120.2
OG0005217	Aqcoe7G040000.4.p, Aqcoe7G040000.2.p, Aqcoe7G040000.3.p, Aqcoe7G040000.1.p	VIT_202s0025g03940.1
OG0005218	Aqcoe7G130300.2.p, Aqcoe7G130300.1.p	VIT_211s0016g02280.1, VIT_204s0008g01300.1, VIT_204s0008g01300.2
OG0005219	Aqcoe7G362400.1.p	VIT_211s0206g00100.1, VIT_200s0912g00010.1
OG0005220	Aqcoe7G125000.1.p	VIT_211s0016g01960.1, VIT_209s0002g01700.1
OG0005221	Aqcoe7G164000.1.p	VIT_211s0016g03500.2, VIT_211s0016g03500.1, VIT_211s0016g03500.3
OG0005222	Aqcoe7G170400.1.p	VIT_204s0008g03720.1, VIT_204s0008g03720.2
OG0005223	Aqcoe1G006300.2.p, Aqcoe1G006300.1.p	VIT_208s0040g00630.1, VIT_208s0040g00630.2
OG0005224	Aqcoe1G143400.2.p, Aqcoe1G143400.1.p	VIT_213s0019g04330.1, VIT_208s0040g01830.1, VIT_208s0040g01830.2, VIT_206s0004g02790.1
OG0005225	Aqcoe1G490400.1.p, Aqcoe1G490500.1.p, Aqcoe1G490300.1.p	VIT_206s0004g03320.1
OG0005226	Aqcoe1G026800.1.p	VIT_206s0004g01810.10, VIT_206s0004g01810.5, VIT_206s0004g01810.2, VIT_206s0004g01810.11, VIT_206s0004g01810.7, VIT_206s0004g01810.6, VIT_206s0004g01810.4, VIT_206s0004g01810.9, VIT_206s0004g01810.1, VIT_206s0004g01810.3, VIT_206s0004g01810.8
OG0005227	Aqcoe1G085500.1.p	VIT_208s0007g01790.2, VIT_208s0007g01790.1
OG0005228	Aqcoe1G253100.1.p, Aqcoe1G253100.2.p	VIT_212s0028g03190.1, VIT_212s0028g03190.5, VIT_212s0028g03190.3, VIT_212s0028g03190.4, VIT_212s0028g03190.2
OG0005229	Aqcoe1G162600.1.p, Aqcoe1G162600.3.p, Aqcoe1G162600.2.p	VIT_207s0031g02870.2, VIT_207s0031g02870.4, VIT_207s0031g02870.3, VIT_207s0031g02870.1
OG0005230	Aqcoe1G193200.2.p, Aqcoe1G193200.3.p, Aqcoe1G193200.4.p, Aqcoe1G193200.1.p	VIT_212s0028g00530.1, VIT_210s0003g03125.1, VIT_210s0003g03125.2
OG0005231	Aqcoe1G082000.1.p	VIT_206s0080g01220.1
OG0005232	Aqcoe3G422800.1.p, Aqcoe3G422800.2.p	VIT_201s0011g06620.1
OG0005233	Aqcoe1G107500.1.p, Aqcoe1G107500.2.p	VIT_213s0019g01820.5, VIT_213s0019g01820.4, VIT_213s0019g01820.6, VIT_213s0019g01820.3, VIT_213s0019g01820.10, VIT_213s0019g01820.7, VIT_213s0019g01820.9, VIT_213s0019g01820.11, VIT_213s0019g01820.8, VIT_213s0019g01820.2, VIT_213s0019g01820.1
OG0005234	Aqcoe1G243100.1.p, Aqcoe1G243100.3.p, Aqcoe1G243100.4.p, Aqcoe1G243100.2.p	VIT_219s0014g01800.3, VIT_219s0014g01800.1, VIT_219s0014g01800.6, VIT_219s0014g01800.7, VIT_219s0014g01800.10, VIT_219s0014g01800.8, VIT_219s0014g01800.9, VIT_219s0014g01800.5, VIT_219s0014g01800.2
OG0005235	Aqcoe1G432300.1.p, Aqcoe1G432300.2.p	VIT_203s0097g00660.1
OG0005236	Aqcoe1G482900.3.p, Aqcoe1G482900.1.p, Aqcoe1G482900.2.p	VIT_208s0040g02960.2, VIT_208s0040g02960.1
OG0005237	Aqcoe3G133800.1.p, Aqcoe3G133800.2.p	VIT_214s0219g00220.1
OG0005237	Aqcoe1G151300.1.p	VIT_206s0004g07210.2, VIT_206s0004g07210.3, VIT_206s0004g07210.1
OG0005238	Aqcoe1G310800.1.p, Aqcoe5G034000.1.p	VIT_207s0005g02950.1, VIT_214s0081g00200.2, VIT_214s0081g00200.1
OG0005239	Aqcoe1G484300.1.p	VIT_217s0000g03250.1
OG0005240	Aqcoe1G069600.1.p	VIT_208s0032g00440.1, VIT_208s0032g00440.2
OG0005241	Aqcoe1G365200.1.p, Aqcoe1G365200.2.p	VIT_212s0059g02470.1
OG0005242	Aqcoe1G032500.1.p	VIT_201s0113g00350.1, VIT_208s0007g08450.1
OG0005243	Aqcoe1G346800.2.p, Aqcoe1G346800.6.p, Aqcoe1G346800.3.p, Aqcoe1G346800.5.p, Aqcoe1G346800.7.p, Aqcoe1G346800.4.p, Aqcoe1G346800.1.p, Aqcoe5G248600.1.p	VIT_212s0059g02300.3, VIT_212s0059g02300.4, VIT_212s0059g02300.1, VIT_212s0059g02300.2
OG0005244	Aqcoe1G428600.1.p	VIT_206s0004g06290.2, VIT_206s0004g06290.1, VIT_206s0004g06290.3
OG0005245	Aqcoe1G051000.1.p	VIT_206s0004g00790.1, VIT_206s0004g00800.1
OG0005246	Aqcoe1G260100.1.p	VIT_212s0028g03440.4, VIT_212s0028g03440.3, VIT_212s0028g03440.2, VIT_212s0028g03440.1
OG0005247	Aqcoe1G472200.2.p, Aqcoe1G472200.1.p, Aqcoe1G472200.3.p	VIT_206s0004g04130.8, VIT_206s0004g04130.13, VIT_206s0004g04130.4, VIT_206s0004g04130.1, VIT_206s0004g04130.2, VIT_206s0004g04130.3, VIT_206s0004g04130.9, VIT_206s0004g04130.5, VIT_206s0004g04130.6, VIT_206s0004g04130.11, VIT_206s0004g04130.12, VIT_206s0004g04130.7, VIT_206s0004g04130.10
OG0005248	Aqcoe1G434900.1.p	VIT_213s0073g00130.2, VIT_213s0073g00130.5, VIT_213s0073g00130.3, VIT_213s0073g00130.1, VIT_213s0073g00130.4
OG0005249	Aqcoe1G188700.1.p	VIT_204s0043g00720.1, VIT_210s0003g03770.1, VIT_204s0043g00720.2
OG0005250	Aqcoe1G162700.2.p, Aqcoe1G162700.1.p	VIT_201s0011g01320.2, VIT_203s0017g01980.1
OG0005251	Aqcoe1G402000.1.p, Aqcoe1G402000.2.p	VIT_213s0067g02960.1
OG0005252	Aqcoe1G133000.2.p, Aqcoe1G133000.1.p	VIT_206s0061g00460.2, VIT_206s0061g00460.1, VIT_206s0061g00460.4, VIT_206s0061g00460.5
OG0005253	Aqcoe1G019300.5.p, Aqcoe1G019300.4.p, Aqcoe1G019300.2.p, Aqcoe1G019300.3.p, Aqcoe1G019300.1.p, Aqcoe3G021600.1.p	VIT_218s0001g07060.1
OG0005254	Aqcoe1G008100.2.p, Aqcoe1G008100.1.p	VIT_208s0040g00890.3, VIT_208s0040g00890.2, VIT_208s0040g00890.1
OG0005255	Aqcoe1G406000.2.p, Aqcoe1G406000.1.p, Aqcoe5G453800.1.p, Aqcoe5G453800.2.p, Aqcoe3G293400.1.p, Aqcoe5G435300.1.p	VIT_205s0020g00780.1
OG0005256	Aqcoe1G382500.1.p, Aqcoe1G382500.3.p, Aqcoe1G382500.2.p	VIT_200s0201g00060.1, VIT_200s0201g00060.4, VIT_200s0201g00060.3, VIT_200s0201g00060.2
OG0005257	Aqcoe1G280100.3.p, Aqcoe1G280100.2.p, Aqcoe1G280100.1.p	VIT_214s0006g00695.1, VIT_214s0036g01186.1, VIT_219s0090g00270.3, VIT_219s0090g00270.2, VIT_219s0090g00270.4, VIT_219s0090g00270.1
OG0005258	Aqcoe1G028300.1.p	VIT_208s0007g08490.1
OG0005259	Aqcoe1G219100.1.p, Aqcoe1G218000.1.p	VIT_212s0028g01560.1, VIT_212s0028g01570.2, VIT_212s0028g01570.1
OG0005260	Aqcoe1G222600.1.p, Aqcoe1G222600.2.p	VIT_214s0219g00140.3, VIT_214s0219g00140.1, VIT_214s0219g00140.2
OG0005261	Aqcoe1G032900.4.p, Aqcoe1G032900.3.p, Aqcoe1G032900.2.p, Aqcoe1G032900.1.p	VIT_213s0019g01290.1
OG0005262	Aqcoe1G408200.2.p, Aqcoe1G408200.3.p, Aqcoe1G408200.1.p, Aqcoe5G001900.1.p	VIT_203s0132g00150.1, VIT_201s0026g02630.1
OG0005263	Aqcoe1G453000.2.p, Aqcoe1G453000.1.p	VIT_213s0074g00710.4, VIT_213s0074g00710.6, VIT_213s0074g00710.5, VIT_213s0074g00710.3, VIT_213s0074g00710.1, VIT_213s0074g00710.2
OG0005264	Aqcoe1G345800.5.p, Aqcoe1G345800.4.p, Aqcoe1G345800.6.p, Aqcoe1G345800.3.p, Aqcoe1G345800.1.p, Aqcoe1G345800.2.p	VIT_210s0116g00870.1, VIT_210s0116g00870.2
OG0005265	Aqcoe1G018500.1.p	VIT_208s0007g06160.2, VIT_208s0007g06160.1
OG0005266	Aqcoe1G105100.1.p, Aqcoe1G105200.1.p, Aqcoe1G105200.2.p	VIT_213s0019g01990.1
OG0005267	Aqcoe1G006800.1.p	VIT_213s0084g00090.1, VIT_208s0040g00800.1
OG0005268	Aqcoe1G004800.1.p, Aqcoe1G004800.2.p	VIT_208s0040g00320.1
OG0005269	Aqcoe1G157600.1.p	VIT_201s0010g00060.1
OG0005270	Aqcoe1G158600.2.p, Aqcoe1G158600.1.p	VIT_201s0010g00340.4, VIT_201s0010g00340.2, VIT_201s0010g00340.3, VIT_201s0010g00340.1
OG0005271	Aqcoe1G002000.1.p	VIT_213s0067g00950.1, VIT_213s0067g02550.1, VIT_213s0067g01520.1, VIT_213s0067g02770.1, VIT_216s0039g02590.1, VIT_213s0067g01140.1, VIT_218s0122g01180.1
OG0005272	Aqcoe1G291100.1.p	VIT_219s0090g00660.1, VIT_219s0090g00660.2
OG0005273	Aqcoe1G500500.2.p, Aqcoe1G500500.1.p	VIT_208s0058g01460.1, VIT_208s0058g01480.1
OG0005274	Aqcoe3G366800.3.p	VIT_201s0011g00500.1, VIT_201s0011g00500.2
OG0005275	Aqcoe3G348200.1.p, Aqcoe1G406100.1.p, Aqcoe3G348200.2.p	VIT_214s0108g01110.1, VIT_214s0108g01110.2, VIT_214s0108g01110.4, VIT_214s0108g01110.3
OG0005276	Aqcoe1G013600.1.p	VIT_208s0007g06670.3, VIT_208s0007g06670.1, VIT_208s0007g06670.2
OG0005277	Aqcoe1G370300.1.p, Aqcoe1G370300.2.p	VIT_210s0003g02210.6, VIT_210s0003g02210.4, VIT_210s0003g02210.2, VIT_210s0003g02210.1, VIT_210s0003g02210.3, VIT_210s0003g02210.5
OG0005278	Aqcoe1G362100.2.p, Aqcoe3G285600.1.p, Aqcoe1G362100.1.p	VIT_208s0007g06370.1, VIT_208s0007g06370.3, VIT_208s0007g06370.2
OG0005279	Aqcoe0204s0002.1.p, Aqcoe0204s0003.1.p, Aqcoe5G081000.1.p	VIT_207s0104g01390.1
OG0005280	Aqcoe5G469400.1.p	VIT_209s0002g01770.2, VIT_209s0002g01770.1, VIT_209s0002g01770.4, VIT_209s0002g01770.3, VIT_211s0016g01900.1
OG0005281	Aqcoe5G424500.1.p	VIT_202s0025g01580.3, VIT_202s0025g01560.3, VIT_202s0025g04210.1
OG0005282	Aqcoe3G141400.1.p, Aqcoe5G396800.1.p	VIT_217s0000g09400.1, VIT_201s0137g00740.1, VIT_201s0137g00740.3, VIT_201s0137g00740.2
OG0005283	Aqcoe5G345700.1.p	VIT_217s0000g00860.2, VIT_217s0000g00860.1, VIT_214s0068g01560.1
OG0005284	Aqcoe5G167400.1.p, Aqcoe5G167500.1.p	VIT_218s0001g07620.1, VIT_218s0001g07620.3, VIT_218s0001g07620.2
OG0005285	Aqcoe5G210600.2.p, Aqcoe5G210600.1.p	VIT_203s0038g01820.1
OG0005286	Aqcoe5G182300.1.p	VIT_207s0005g05860.5, VIT_207s0005g05860.7, VIT_207s0005g05860.2, VIT_207s0005g05860.4, VIT_207s0005g05860.1, VIT_207s0005g05860.6, VIT_207s0005g05860.3
OG0005287	Aqcoe5G404700.1.p	VIT_208s0056g00560.3, VIT_208s0056g00560.1, VIT_208s0056g00560.2
OG0005288	Aqcoe5G031900.1.p	VIT_207s0005g03040.2, VIT_207s0005g03040.1
OG0005289	Aqcoe5G438800.1.p	VIT_215s0046g01750.2, VIT_215s0046g01750.1, VIT_215s0046g01750.3, VIT_215s0046g01750.4
OG0005290	Aqcoe5G360300.2.p, Aqcoe5G360300.3.p, Aqcoe5G360300.1.p	VIT_201s0010g03390.1, VIT_205s0051g01070.1
OG0005291	Aqcoe5G471300.1.p	VIT_215s0048g02580.3, VIT_215s0048g02580.4, VIT_215s0048g02580.2, VIT_215s0048g02580.1
