Orthogroup	G_max.proteins	A_hypochondriacus.proteins
OG0005228	GmISU01.13G257300.1.p, GmISU01.12G172500.1.p, GmISU01.12G172500.2.p, GmISU01.13G257300.2.p, GmISU01.06G246200.2.p, GmISU01.06G246200.1.p	AH007575-RA
OG0005229	GmISU01.06G145200.2.p	AH023246-RA
OG0005230	GmISU01.18G092000.1.p, GmISU01.08G275400.1.p, GmISU01.02G244700.1.p, GmISU01.14G028300.1.p, GmISU01.08G077700.1.p, GmISU01.05G105600.1.p	AH014725-RA
OG0005231	GmISU01.13G273800.1.p	AH022692-RA
OG0005232	GmISU01.05G111500.2.p	AH006261-RA
OG0005232	GmISU01.08G083700.1.p, GmISU01.08G083700.3.p, GmISU01.05G111500.1.p	AH003400-RA
OG0005233	GmISU01.14G063500.2.p, GmISU01.14G063500.1.p	AH022968-RA
OG0005234	GmISU01.06G202900.3.p, GmISU01.06G202900.2.p, GmISU01.12G129800.2.p, GmISU01.12G129800.1.p	AH008028-RA
OG0005235	GmISU01.08G247400.2.p, GmISU01.01G077000.1.p, GmISU01.13G219200.1.p, GmISU01.13G219200.2.p, GmISU01.15G057700.3.p, GmISU01.15G057700.1.p	AH020856-RA, AH014535-RA, AH020857-RA
OG0005236	GmISU01.03G138000.1.p, GmISU01.03G138000.2.p, GmISU01.19G141000.1.p, GmISU01.10G043800.3.p, GmISU01.10G043800.2.p, GmISU01.10G043800.1.p, GmISU01.13G107400.3.p, GmISU01.13G107400.2.p, GmISU01.13G107400.1.p	AH021947-RA
OG0005237	GmISU01.14G163300.2.p, GmISU01.14G163300.1.p, GmISU01.02G194500.1.p	AH013181-RA
OG0005238	GmISU01.03G205900.1.p, GmISU01.19G207100.1.p, GmISU01.20G185200.1.p, GmISU01.10G131900.1.p	AH007740-RA, AH010765-RA
OG0005239	GmISU01.08G086700.3.p, GmISU01.08G086700.1.p, GmISU01.08G086700.4.p, GmISU01.05G114300.1.p, GmISU01.08G086700.5.p	AH022014-RA
OG0005240	GmISU01.16G126700.1.p	AH003012-RA
OG0005241	GmISU01.13G268100.1.p, GmISU01.12G162700.1.p	AH001282-RA, AH000262-RA
OG0005242	GmISU01.02G157300.1.p, GmISU01.19G107800.1.p, GmISU01.19G107800.6.p, GmISU01.19G107800.4.p, GmISU01.19G107800.2.p, GmISU01.19G107800.8.p, GmISU01.19G107800.5.p, GmISU01.19G107800.3.p, GmISU01.19G107800.7.p, GmISU01.03G103100.1.p	AH006780-RA
OG0005243	GmISU01.18G087700.1.p, GmISU01.09G084300.1.p	AH008170-RA
OG0005244	GmISU01.08G297700.1.p, GmISU01.18G061500.1.p, GmISU01.18G061500.3.p	AH013792-RA, AH022681-RA
OG0005245	GmISU01.08G104300.1.p, GmISU01.05G129600.1.p	AH010874-RA
OG0005245	GmISU01.14G146200.1.p, GmISU01.02G176300.1.p	AH010093-RA
OG0005248	GmISU01.20G051400.2.p, GmISU01.20G051400.1.p, GmISU01.10G098300.1.p	AH006617-RA
OG0005249	GmISU01.17G200000.1.p, GmISU01.14G088300.1.p, GmISU01.08G088300.1.p, GmISU01.05G115800.2.p, GmISU01.05G115800.1.p, GmISU01.05G115800.3.p	AH014610-RA
OG0005250	GmISU01.09G047700.1.p, GmISU01.15G143900.1.p	AH003450-RA
OG0005250	GmISU01.13G004100.1.p, GmISU01.14G002900.1.p, GmISU01.02G268100.1.p	AH006306-RA, AH003446-RA
OG0005251	GmISU01.13G040800.1.p, GmISU01.19G020800.1.p	AH019272-RA
OG0005252	GmISU01.11G155300.1.p, GmISU01.12G072500.1.p, GmISU01.11G155300.2.p, GmISU01.11G155300.3.p, GmISU01.11G155200.9.p	AH000206-RA, AH000207-RA
OG0005253	GmISU01.14G147500.1.p, GmISU01.02G177900.1.p	AH008803-RA
OG0005254	GmISU01.03G091300.3.p, GmISU01.03G091300.1.p, GmISU01.19G096100.1.p, GmISU01.10G083200.1.p, GmISU01.02G144200.1.p, GmISU01.02G144200.2.p	AH020480-RA, AH006645-RA
OG0005255	GmISU01.01G176600.1.p, GmISU01.14G107600.1.p, GmISU01.11G022500.2.p, GmISU01.11G022500.1.p	AH023298-RA, AH010815-RA
OG0005256	GmISU01.04G155700.2.p, GmISU01.04G155700.1.p, GmISU01.06G158300.1.p	AH017174-RA
OG0005257	GmISU01.18G083400.3.p, GmISU01.18G083400.1.p, GmISU01.18G083450.1.p, GmISU01.08G281700.1.p	AH021450-RA
OG0005258	GmISU01.19G107500.1.p, GmISU01.03G102900.1.p	AH006783-RA, AH020785-RA
OG0005259	GmISU01.06G229200.1.p, GmISU01.06G229200.2.p, GmISU01.06G230800.2.p, GmISU01.06G230800.1.p, GmISU01.12G112000.1.p, GmISU01.12G112000.3.p	AH000412-RA
OG0005260	GmISU01.16G059300.1.p	AH018888-RA
OG0005261	GmISU01.11G162400.3.p, GmISU01.11G162400.2.p, GmISU01.11G162400.1.p	AH015723-RA
OG0005262	GmISU01.16G078000.1.p, GmISU01.18G123100.1.p, GmISU01.08G310000.1.p	AH013129-RA, AH013094-RA
OG0005263	GmISU01.10G090800.1.p, GmISU01.10G090800.2.p, GmISU01.02G142600.1.p, GmISU01.02G142600.2.p, GmISU01.02G142600.3.p	AH007937-RA
OG0005264	GmISU01.15G103200.3.p, GmISU01.15G103200.1.p, GmISU01.15G103200.4.p, GmISU01.09G006300.2.p, GmISU01.09G006300.1.p	AH014953-RA
OG0005265	GmISU01.03G107200.1.p, GmISU01.19G111800.1.p, GmISU01.19G111800.2.p, GmISU01.19G111800.4.p, GmISU01.10G078100.2.p, GmISU01.10G078100.1.p, GmISU01.02G153100.2.p, GmISU01.02G153100.1.p	AH020335-RA
OG0005266	GmISU01.14G062900.1.p, GmISU01.02G211100.1.p	AH003141-RA, AH022977-RA, AH016427-RA
OG0005267	GmISU01.06G264900.1.p, GmISU01.04G107500.2.p, GmISU01.04G107500.1.p, GmISU01.13G158900.1.p, GmISU01.15G192100.1.p, GmISU01.19G095600.1.p, GmISU01.03G090300.1.p	AH020478-RA, AH006637-RA
OG0005268	GmISU01.19G094100.2.p, GmISU01.19G094100.3.p, GmISU01.19G094100.1.p, GmISU01.19G094100.4.p, GmISU01.03G088500.8.p, GmISU01.03G088500.4.p	AH020509-RA, AH006587-RA
OG0005269	GmISU01.09G045000.1.p, GmISU01.15G142200.1.p, GmISU01.08G243600.1.p, GmISU01.16G081900.1.p	AH010710-RA, AH021933-RA
OG0005270	GmISU01.15G142400.2.p, GmISU01.15G142400.1.p, GmISU01.09G045200.1.p, GmISU01.09G045200.2.p	AH012829-RA
OG0005272	GmISU01.08G283800.1.p, GmISU01.18G081900.1.p, GmISU01.14G021200.1.p	AH009917-RA
OG0005273	GmISU01.16G188100.1.p, GmISU01.16G188100.4.p, GmISU01.03G001800.2.p, GmISU01.03G001800.3.p, GmISU01.16G188100.2.p, GmISU01.16G188100.3.p, GmISU01.03G001800.1.p, GmISU01.03G001800.4.p, GmISU01.18G163500.1.p, GmISU01.09G228300.1.p	AH012439-RA
OG0005274	GmISU01.01G051600.5.p, GmISU01.01G051600.4.p, GmISU01.01G051600.3.p, GmISU01.01G051600.1.p, GmISU01.01G051600.2.p, GmISU01.01G051600.6.p	AH018854-RA
OG0005275	GmISU01.09G192800.1.p, GmISU01.09G192800.3.p, GmISU01.18G205200.1.p	AH015795-RA
OG0005277	GmISU01.15G083000.1.p, GmISU01.13G190300.1.p	AH021346-RA
OG0005278	GmISU01.09G091200.1.p, GmISU01.09G091200.2.p, GmISU01.09G091200.5.p, GmISU01.09G091200.3.p, GmISU01.09G091200.4.p, GmISU01.09G091200.6.p, GmISU01.09G091200.7.p, GmISU01.02G151400.1.p	AH020549-RA
OG0005279	GmISU01.10G019700.2.p, GmISU01.02G137800.1.p, GmISU01.19G171200.1.p, GmISU01.03G169400.2.p, GmISU01.03G169400.1.p	AH006958-RA
OG0005280	GmISU01.08G176700.2.p, GmISU01.08G176700.4.p, GmISU01.15G156000.4.p, GmISU01.09G059400.3.p, GmISU01.09G059400.2.p, GmISU01.09G059400.4.p	AH007328-RA, AH012719-RA
OG0005281	GmISU01.12G132400.1.p, GmISU01.18G160000.1.p, GmISU01.10G056100.1.p	AH018669-RA, AH003158-RA, AH018100-RA
OG0005282	GmISU01.06G161900.2.p, GmISU01.06G161900.1.p, GmISU01.04G151800.1.p, GmISU01.17G114500.1.p, GmISU01.17G114500.2.p, GmISU01.05G038300.1.p	AH017927-RA
OG0005283	GmISU01.19G072100.2.p, GmISU01.19G072100.7.p, GmISU01.19G072100.3.p, GmISU01.19G072100.6.p, GmISU01.19G072100.5.p, GmISU01.16G047900.1.p	AH003358-RA, AH006397-RA
OG0005284	GmISU01.02G180900.1.p, GmISU01.04G086900.3.p, GmISU01.06G088700.1.p, GmISU01.06G088700.2.p, GmISU01.04G086900.1.p	AH011696-RA
OG0005285	GmISU01.11G090400.1.p, GmISU01.12G022600.1.p	AH000856-RA, AH002228-RA
OG0005286	GmISU01.20G051200.1.p, GmISU01.10G098400.1.p, GmISU01.10G098400.2.p	AH013030-RA
OG0005287	GmISU01.09G226700.1.p, GmISU01.09G226700.2.p, GmISU01.18G165100.4.p, GmISU01.18G165100.1.p	AH011122-RA, AH007469-RA
OG0005288	GmISU01.19G128500.4.p, GmISU01.19G128500.3.p, GmISU01.19G128500.2.p, GmISU01.19G128500.5.p, GmISU01.19G128500.6.p, GmISU01.19G128500.1.p, GmISU01.03G124600.2.p, GmISU01.03G124600.5.p, GmISU01.03G124600.7.p, GmISU01.03G124600.6.p, GmISU01.03G124600.4.p, GmISU01.03G124600.9.p, GmISU01.03G124600.8.p	AH002646-RA
OG0005289	GmISU01.09G209300.3.p, GmISU01.09G209300.1.p, GmISU01.18G184700.4.p, GmISU01.18G184700.1.p, GmISU01.07G057100.1.p, GmISU01.16G027200.4.p, GmISU01.16G027200.3.p, GmISU01.16G027200.1.p	AH009628-RA
OG0005290	GmISU01.05G120900.1.p, GmISU01.08G094500.1.p	AH005164-RA
OG0005292	GmISU01.19G216900.1.p, GmISU01.03G215700.1.p	AH009526-RA
OG0005293	GmISU01.06G116600.2.p, GmISU01.06G116600.3.p, GmISU01.06G116600.4.p, GmISU01.06G116600.1.p, GmISU01.04G194600.5.p, GmISU01.04G194600.4.p, GmISU01.04G194600.2.p, GmISU01.04G194600.1.p	AH012003-RA
OG0005295	GmISU01.16G123700.2.p, GmISU01.16G123700.1.p, GmISU01.16G123500.1.p	AH021602-RA
OG0005296	GmISU01.08G296100.1.p, GmISU01.18G067800.1.p	AH016595-RA
OG0005297	GmISU01.10G205300.1.p, GmISU01.20G115300.1.p, GmISU01.20G115300.2.p	AH007049-RA
OG0005298	GmISU01.13G181300.1.p, GmISU01.13G181500.2.p, GmISU01.15G091700.2.p, GmISU01.15G091700.1.p, GmISU01.15G091700.4.p, GmISU01.15G091700.3.p, GmISU01.15G091700.7.p, GmISU01.15G091700.5.p, GmISU01.15G091700.6.p	AH020162-RA
OG0005299	GmISU01.07G065300.1.p	AH009698-RA
OG0005300	GmISU01.07G051600.1.p, GmISU01.07G051600.2.p, GmISU01.16G022000.2.p, GmISU01.16G022000.1.p, GmISU01.19G215100.1.p, GmISU01.19G215100.2.p, GmISU01.03G214100.1.p	AH009560-RA
OG0005302	GmISU01.04G202500.1.p, GmISU01.04G202500.2.p, GmISU01.06G107500.1.p, GmISU01.13G014200.1.p, GmISU01.14G126200.3.p, GmISU01.14G126200.1.p, GmISU01.14G126200.2.p	AH008648-RA
OG0005303	GmISU01.15G068700.1.p, GmISU01.13G206800.1.p, GmISU01.15G068700.2.p, GmISU01.13G151200.1.p	AH007605-RA
OG0005304	GmISU01.05G161500.1.p, GmISU01.05G161500.2.p, GmISU01.08G144700.2.p, GmISU01.08G144700.1.p	AH003500-RA
OG0005305	GmISU01.10G204800.1.p, GmISU01.20G115600.3.p, GmISU01.20G115600.1.p, GmISU01.20G115600.2.p, GmISU01.20G115600.5.p, GmISU01.20G115600.4.p	AH011792-RA
OG0005306	GmISU01.10G001000.2.p, GmISU01.10G001000.1.p, GmISU01.10G001000.3.p, GmISU01.10G001100.3.p, GmISU01.10G001100.1.p, GmISU01.10G001100.2.p	AH000817-RA
OG0005307	GmISU01.10G028200.3.p, GmISU01.02G129300.2.p, GmISU01.02G129300.1.p, GmISU01.10G028200.1.p	AH017802-RA
OG0005308	GmISU01.13G095700.1.p, GmISU01.12G055200.1.p	AH023843-RA, AH019912-RA, AH002672-RA
OG0005309	GmISU01.11G039500.1.p	AH005578-RA, AH004005-RA
OG0005310	GmISU01.20G160700.1.p, GmISU01.20G160700.2.p, GmISU01.10G155700.1.p	AH019886-RA
OG0005311	GmISU01.12G140200.1.p, GmISU01.08G174400.2.p, GmISU01.08G174400.3.p, GmISU01.08G174400.6.p, GmISU01.08G174400.5.p, GmISU01.08G174400.1.p	AH004050-RA
OG0005312	GmISU01.20G146000.1.p, GmISU01.10G170100.1.p	AH007011-RA
OG0005313	GmISU01.18G230200.1.p, GmISU01.02G084200.1.p, GmISU01.10G246600.1.p, GmISU01.20G069500.1.p, GmISU01.06G014900.1.p, GmISU01.04G016200.1.p	AH005965-RA
OG0005314	GmISU01.05G120400.2.p, GmISU01.05G120400.1.p	AH004930-RA
OG0005315	GmISU01.16G102200.1.p	AH006461-RA
OG0005316	GmISU01.10G115200.1.p, GmISU01.19G190100.1.p, GmISU01.19G190100.2.p, GmISU01.03G188400.2.p, GmISU01.03G188400.1.p, GmISU01.03G188400.3.p, GmISU01.03G188400.5.p, GmISU01.03G188400.4.p, GmISU01.03G188400.6.p	AH007405-RA
OG0005317	GmISU01.02G202000.5.p, GmISU01.02G202000.1.p, GmISU01.02G202000.6.p, GmISU01.02G202000.2.p, GmISU01.02G202000.4.p, GmISU01.14G173000.1.p, GmISU01.14G173000.2.p	AH021256-RA
OG0005318	GmISU01.01G103600.1.p, GmISU01.03G028100.1.p, GmISU01.03G028100.2.p, GmISU01.03G028100.4.p, GmISU01.01G103600.2.p, GmISU01.03G028100.5.p, GmISU01.03G028100.6.p	AH017822-RA, AH002588-RA
OG0005319	GmISU01.07G192200.5.p, GmISU01.07G192200.3.p, GmISU01.07G192200.1.p, GmISU01.20G022700.4.p, GmISU01.20G022700.3.p, GmISU01.20G022700.1.p, GmISU01.01G048700.1.p, GmISU01.02G101900.1.p	AH004008-RA
OG0005320	GmISU01.07G194700.1.p, GmISU01.20G026700.1.p, GmISU01.01G045700.1.p, GmISU01.02G098500.1.p	AH005032-RA
OG0005321	GmISU01.13G026300.1.p, GmISU01.19G038400.2.p, GmISU01.19G038400.7.p, GmISU01.19G038400.4.p, GmISU01.19G038400.6.p, GmISU01.19G038400.1.p, GmISU01.19G038400.3.p, GmISU01.19G038400.5.p	AH022906-RA
OG0005322	GmISU01.18G216700.3.p, GmISU01.18G216700.2.p, GmISU01.18G216700.1.p, GmISU01.08G230200.1.p, GmISU01.08G230200.2.p	AH022774-RA
OG0005324	GmISU01.05G004700.3.p, GmISU01.05G004700.2.p, GmISU01.05G004700.1.p, GmISU01.19G005300.1.p, GmISU01.05G004700.4.p	AH018985-RA
OG0005325	GmISU01.17G080800.1.p, GmISU01.05G035300.2.p, GmISU01.05G035300.3.p	AH002227-RA
OG0005326	GmISU01.04G089500.3.p, GmISU01.04G089500.2.p, GmISU01.04G089500.1.p, GmISU01.06G091300.1.p, GmISU01.14G146400.1.p, GmISU01.02G176500.1.p	AH008696-RA
OG0005328	GmISU01.08G038300.3.p, GmISU01.08G038300.1.p, GmISU01.10G037400.2.p, GmISU01.10G037400.1.p, GmISU01.05G200600.1.p, GmISU01.13G100200.1.p	AH002852-RA
OG0005329	GmISU01.16G119800.2.p, GmISU01.02G059200.1.p, GmISU01.16G119800.1.p, GmISU01.19G075400.1.p	AH012378-RA, AH019548-RA
OG0005330	GmISU01.18G236000.5.p, GmISU01.18G236000.2.p, GmISU01.02G079600.1.p	AH016518-RA
OG0005331	GmISU01.01G188400.1.p, GmISU01.01G188400.2.p, GmISU01.11G011800.1.p	AH019772-RA, AH019769-RA, AH007330-RA
OG0005332	GmISU01.20G021200.1.p	AH005541-RA
OG0005333	GmISU01.16G071900.1.p, GmISU01.03G070800.1.p	AH009294-RA, AH001199-RA, AH009295-RA
OG0005334	GmISU01.02G108900.1.p, GmISU01.01G055700.1.p, GmISU01.05G016100.1.p	AH017460-RA, AH002907-RA
OG0005335	GmISU01.09G235300.1.p, GmISU01.20G003900.2.p, GmISU01.20G003900.1.p, GmISU01.12G026900.1.p, GmISU01.12G026900.2.p, GmISU01.11G095800.1.p, GmISU01.11G095800.3.p, GmISU01.11G095800.2.p, GmISU01.11G095800.5.p	AH001097-RA
OG0005336	GmISU01.09G168200.2.p, GmISU01.09G168200.5.p, GmISU01.09G168200.3.p, GmISU01.09G168200.1.p, GmISU01.01G013100.3.p, GmISU01.01G013100.4.p, GmISU01.01G013100.2.p	AH018447-RA
OG0005337	GmISU01.09G098100.1.p, GmISU01.08G040400.1.p, GmISU01.05G202900.1.p	AH014922-RA
OG0005338	GmISU01.17G087400.1.p, GmISU01.05G028500.2.p, GmISU01.05G028500.1.p, GmISU01.04G142500.3.p, GmISU01.04G142500.2.p, GmISU01.04G142500.1.p, GmISU01.06G172000.1.p	AH002783-RA, AH017640-RA
OG0005339	GmISU01.06G155400.1.p, GmISU01.04G158500.2.p	AH002982-RA
OG0005340	GmISU01.17G133400.1.p, GmISU01.05G058200.1.p, GmISU01.01G166200.1.p, GmISU01.11G033100.2.p	AH011404-RA, AH018320-RA
OG0005341	GmISU01.09G175900.1.p, GmISU01.09G175900.2.p, GmISU01.01G115301.1.p	AH003242-RA
OG0005342	GmISU01.08G256500.1.p	AH004424-RA
OG0005343	GmISU01.09G176700.2.p, GmISU01.09G176700.1.p, GmISU01.01G116200.8.p, GmISU01.01G116200.1.p, GmISU01.01G116200.7.p, GmISU01.01G116200.2.p, GmISU01.01G116200.5.p, GmISU01.01G116200.4.p, GmISU01.01G116200.3.p, GmISU01.01G116200.6.p	AH018767-RA
OG0005344	GmISU01.15G019100.1.p, GmISU01.13G312300.3.p, GmISU01.13G312300.1.p, GmISU01.13G312300.4.p, GmISU01.13G312300.2.p, GmISU01.08G318500.1.p, GmISU01.18G131100.1.p	AH021028-RA, AH014270-RA
OG0005345	GmISU01.20G085400.3.p, GmISU01.20G085400.1.p	AH004129-RA
OG0005346	GmISU01.07G089400.5.p, GmISU01.07G089400.1.p, GmISU01.07G089400.4.p, GmISU01.07G089400.7.p, GmISU01.07G089400.3.p, GmISU01.07G089400.2.p, GmISU01.07G089400.6.p, GmISU01.09G141800.2.p	AH006656-RA
OG0005347	GmISU01.11G192500.1.p, GmISU01.18G041700.1.p, GmISU01.02G203700.1.p, GmISU01.14G175100.2.p, GmISU01.02G203700.3.p, GmISU01.14G175100.1.p	AH007850-RA, AH010708-RA
OG0005348	GmISU01.19G074500.1.p, GmISU01.16G046300.1.p	AH005226-RA, AH004578-RA
OG0005349	GmISU01.19G036700.1.p, GmISU01.13G028500.3.p, GmISU01.13G028500.2.p, GmISU01.13G028400.1.p	AH022936-RA
OG0005350	GmISU01.01G076000.3.p, GmISU01.01G076000.5.p, GmISU01.08G246200.1.p, GmISU01.08G246200.2.p	AH018397-RA, AH011506-RA
OG0005351	GmISU01.11G084600.1.p, GmISU01.12G017000.1.p, GmISU01.01G187400.1.p, GmISU01.11G010732.1.p, GmISU01.11G010732.2.p	AH007318-RA
OG0005352	GmISU01.08G086900.2.p, GmISU01.08G086900.1.p, GmISU01.05G114500.2.p, GmISU01.05G114500.1.p, GmISU01.09G097500.4.p, GmISU01.09G097500.3.p, GmISU01.09G097500.1.p, GmISU01.09G097500.2.p	AH017856-RA
OG0005353	GmISU01.12G045900.1.p, GmISU01.12G045900.4.p, GmISU01.12G045900.6.p, GmISU01.12G045900.5.p	AH004433-RA, AH004432-RA
OG0005354	GmISU01.20G108100.1.p, GmISU01.20G108100.2.p, GmISU01.10G212500.2.p, GmISU01.10G212500.1.p	AH015024-RA
OG0005355	GmISU01.16G046100.2.p, GmISU01.16G046100.1.p, GmISU01.19G074700.1.p	AH005230-RA
OG0005356	GmISU01.17G141200.1.p, GmISU01.05G091600.1.p	AH018336-RA
OG0005357	GmISU01.01G064400.5.p	AH013008-RA
OG0005358	GmISU01.09G129500.2.p, GmISU01.09G129500.3.p, GmISU01.09G129500.4.p, GmISU01.16G181500.3.p, GmISU01.16G181500.4.p, GmISU01.16G181500.2.p, GmISU01.16G181500.1.p	AH021216-RA
OG0005360	GmISU01.17G071800.1.p, GmISU01.05G019100.1.p	AH017510-RA
OG0005361	GmISU01.08G230400.1.p, GmISU01.18G216900.1.p	AH022773-RA
OG0005362	GmISU01.08G253100.2.p, GmISU01.08G253100.1.p	AH004820-RA
OG0005363	GmISU01.09G174400.1.p	AH003248-RA
OG0005365	GmISU01.05G127800.2.p, GmISU01.05G127800.1.p, GmISU01.08G102350.1.p, GmISU01.18G001400.1.p, GmISU01.02G184100.1.p, GmISU01.20G032700.1.p, GmISU01.20G032600.1.p, GmISU01.14G035600.1.p, GmISU01.14G035800.1.p, GmISU01.14G035500.2.p, GmISU01.14G035500.1.p	AH022715-RA
OG0005366	GmISU01.06G183200.2.p, GmISU01.06G183200.5.p, GmISU01.06G183200.1.p, GmISU01.06G183200.3.p, GmISU01.06G183200.8.p, GmISU01.06G183200.7.p, GmISU01.06G183000.1.p, GmISU01.06G183000.2.p, GmISU01.04G133700.2.p, GmISU01.04G133700.1.p, GmISU01.06G183200.4.p, GmISU01.06G183200.6.p	AH017512-RA
OG0005369	GmISU01.16G015000.3.p, GmISU01.16G015000.4.p, GmISU01.16G015000.5.p, GmISU01.16G015000.6.p, GmISU01.16G015000.7.p, GmISU01.16G015000.8.p, GmISU01.16G015000.9.p, GmISU01.16G015000.2.p, GmISU01.16G015000.1.p, GmISU01.07G045000.2.p, GmISU01.07G045000.1.p	AH009475-RA
OG0005371	GmISU01.08G128000.3.p, GmISU01.08G128000.1.p, GmISU01.08G128000.2.p, GmISU01.05G151600.1.p	AH003526-RA, AH005944-RA
OG0005372	GmISU01.03G213100.1.p, GmISU01.03G213100.2.p, GmISU01.03G213100.4.p, GmISU01.03G213100.5.p, GmISU01.03G213100.6.p, GmISU01.19G213900.1.p, GmISU01.19G213900.3.p, GmISU01.19G213900.4.p, GmISU01.19G213800.1.p	AH000599-RA
OG0005373	GmISU01.08G163500.1.p, GmISU01.15G207600.1.p	AH000044-RA
OG0005395	GmISU01.13G278100.1.p, GmISU01.12G150900.1.p	AH022397-RA
OG0005397	GmISU01.15G193000.1.p, GmISU01.13G160600.2.p, GmISU01.13G160600.1.p, GmISU01.04G111300.1.p, GmISU01.11G168600.1.p	AH015653-RA, AH008978-RA
OG0005399	GmISU01.02G170100.1.p, GmISU01.17G068600.7.p, GmISU01.17G068600.8.p	AH020617-RA
OG0005400	GmISU01.04G122700.1.p, GmISU01.06G189100.1.p, GmISU01.06G189100.2.p, GmISU01.12G072800.1.p	AH013310-RA, AH022227-RA
OG0005402	GmISU01.03G097100.1.p, GmISU01.19G100800.1.p	AH020454-RA
OG0005402	GmISU01.03G097200.1.p	AH020453-RA
OG0005403	GmISU01.19G191500.1.p, GmISU01.03G189800.2.p, GmISU01.03G189800.1.p	AH010407-RA
OG0005404	GmISU01.03G184700.1.p, GmISU01.19G186000.1.p, GmISU01.03G184700.2.p, GmISU01.03G184700.3.p	AH022372-RA, AH013564-RA
OG0005405	GmISU01.20G066100.1.p	AH007407-RA, AH011605-RA
OG0005406	GmISU01.17G153100.1.p	AH006151-RA
OG0005407	GmISU01.13G179900.1.p	AH021045-RA
OG0005408	GmISU01.11G193900.1.p, GmISU01.11G193900.2.p, GmISU01.18G040600.1.p	AH002120-RA, AH000483-RA
OG0005409	GmISU01.18G063800.1.p, GmISU01.08G299100.1.p, GmISU01.14G009600.1.p	AH007702-RA
OG0005410	GmISU01.16G037900.1.p	AH020251-RA
OG0005411	GmISU01.16G038800.1.p, GmISU01.19G080900.1.p, GmISU01.19G080900.2.p, GmISU01.16G038700.1.p	AH014023-RA
OG0005412	GmISU01.07G197500.1.p, GmISU01.07G197500.4.p, GmISU01.07G197500.3.p, GmISU01.07G197500.2.p	AH006132-RA
OG0005413	GmISU01.12G145500.1.p, GmISU01.13G283200.1.p	AH000198-RA
OG0005414	GmISU01.08G122000.1.p, GmISU01.08G122000.2.p, GmISU01.05G146200.4.p, GmISU01.05G146200.5.p, GmISU01.05G146200.2.p, GmISU01.05G146200.3.p	AH002703-RA
OG0005415	GmISU01.19G021100.3.p, GmISU01.19G021100.2.p, GmISU01.19G021100.1.p	AH011658-RA
OG0005416	GmISU01.02G063100.1.p, GmISU01.16G124100.1.p	AH012446-RA, AH009007-RA
OG0005417	GmISU01.02G265400.1.p, GmISU01.14G005900.1.p	AH008713-RA, AH010525-RA, AH007611-RA
OG0005418	GmISU01.03G044400.1.p, GmISU01.01G091600.1.p, GmISU01.18G151200.1.p, GmISU01.07G131800.1.p	AH018805-RA
OG0005419	GmISU01.07G106100.1.p	AH022252-RA
OG0005421	GmISU01.20G062900.1.p, GmISU01.10G112700.1.p, GmISU01.19G187500.1.p, GmISU01.03G186300.1.p	AH011816-RA
OG0005422	GmISU01.11G132500.1.p, GmISU01.09G097600.1.p, GmISU01.13G290500.1.p	AH022490-RA
OG0005423	GmISU01.11G115700.2.p, GmISU01.11G115700.1.p, GmISU01.11G115700.3.p, GmISU01.12G046300.1.p	AH020085-RA
OG0005424	GmISU01.03G221100.2.p, GmISU01.03G221100.1.p, GmISU01.19G222400.2.p, GmISU01.19G222400.1.p	AH020007-RA, AH011745-RA
OG0005425	GmISU01.18G163400.1.p, GmISU01.03G001900.2.p, GmISU01.03G001900.1.p, GmISU01.16G188000.4.p, GmISU01.16G188000.5.p, GmISU01.16G188000.1.p	AH012440-RA
OG0005426	GmISU01.03G032900.1.p, GmISU01.03G033400.1.p, GmISU01.01G100000.1.p, GmISU01.19G083100.1.p, GmISU01.09G231800.1.p, GmISU01.18G160100.1.p	AH021737-RA
OG0005427	GmISU01.04G180000.1.p, GmISU01.06G132000.1.p	AH019268-RA
OG0005429	GmISU01.13G160900.4.p, GmISU01.15G193900.1.p, GmISU01.15G193900.3.p, GmISU01.13G160900.2.p, GmISU01.13G160900.3.p, GmISU01.13G160900.1.p	AH011053-RA, AH007513-RA
OG0005430	GmISU01.09G150300.1.p, GmISU01.09G150300.3.p, GmISU01.09G150300.4.p, GmISU01.09G150300.2.p, GmISU01.07G079300.1.p, GmISU01.07G079300.2.p, GmISU01.07G079300.3.p	AH020841-RA
OG0005431	GmISU01.13G311500.1.p, GmISU01.08G185500.1.p, GmISU01.07G012700.2.p	AH001557-RA, AH023067-RA, AH000521-RA
OG0005432	GmISU01.12G082000.1.p, GmISU01.12G082000.2.p, GmISU01.11G146100.1.p	AH013244-RA
OG0005433	GmISU01.09G030200.1.p, GmISU01.09G030200.5.p, GmISU01.15G126800.2.p, GmISU01.09G030200.6.p, GmISU01.09G030200.3.p, GmISU01.15G126800.1.p, GmISU01.15G126800.3.p	AH011805-RA
OG0005434	GmISU01.11G115400.2.p, GmISU01.11G115400.1.p, GmISU01.12G046000.2.p, GmISU01.12G046000.1.p, GmISU01.15G027300.1.p, GmISU01.13G304600.2.p, GmISU01.13G304600.1.p	AH020082-RA
OG0005436	GmISU01.07G042500.4.p, GmISU01.07G042500.2.p, GmISU01.07G042500.3.p, GmISU01.07G042500.1.p, GmISU01.16G012300.1.p	AH018867-RA
OG0005437	GmISU01.20G190800.1.p, GmISU01.10G124700.2.p, GmISU01.10G124700.3.p, GmISU01.10G124700.1.p	AH010437-RA
OG0005438	GmISU01.19G159600.1.p, GmISU01.03G157400.1.p	AH021796-RA
