Orthogroup	P_amilis.proteins	A_coerulea.proteins
OG0005727	FUN_017985-T1, FUN_017985-T2	Aqcoe5G376900.2.p, Aqcoe5G376900.1.p
OG0005728	FUN_007555-T1, FUN_007554-T1, FUN_007554-T2	Aqcoe5G092300.1.p
OG0005729	FUN_003942-T1, FUN_003942-T2, FUN_003942-T3	Aqcoe5G095900.1.p
OG0005730	FUN_040035-T1	Aqcoe5G407100.1.p
OG0005731	FUN_038026-T1	Aqcoe5G163200.1.p, Aqcoe5G163200.3.p, Aqcoe5G163200.2.p
OG0005732	FUN_003054-T1	Aqcoe5G134400.2.p, Aqcoe5G134400.3.p, Aqcoe5G134400.1.p
OG0005733	FUN_002261-T2, FUN_002261-T1	Aqcoe5G192900.3.p, Aqcoe5G192900.1.p, Aqcoe5G192900.2.p
OG0005734	FUN_036909-T3, FUN_036909-T1, FUN_036909-T2	Aqcoe5G413500.3.p, Aqcoe5G413500.1.p, Aqcoe5G413500.2.p
OG0005735	FUN_042674-T1, FUN_042673-T1	Aqcoe5G100500.4.p, Aqcoe5G100500.5.p, Aqcoe5G100500.2.p, Aqcoe5G100500.3.p, Aqcoe5G100500.1.p
OG0005736	FUN_011583-T1, FUN_050825-T1	Aqcoe5G039800.1.p
OG0005737	FUN_025636-T1	Aqcoe5G118200.2.p, Aqcoe5G118200.1.p
OG0005738	FUN_024832-T1, FUN_024832-T4, FUN_024832-T3, FUN_024832-T2	Aqcoe5G020100.3.p, Aqcoe5G020100.1.p, Aqcoe5G020100.2.p
OG0005739	FUN_040777-T1	Aqcoe5G423900.2.p, Aqcoe5G423900.3.p, Aqcoe5G423900.1.p
OG0005740	FUN_036056-T1, FUN_052384-T1	Aqcoe5G298500.1.p, Aqcoe5G298500.2.p
OG0005742	FUN_004153-T1	Aqcoe5G266400.1.p
OG0005743	FUN_025875-T1, FUN_023381-T1, FUN_032586-T1	Aqcoe3G341500.1.p
OG0005744	FUN_053176-T1	Aqcoe3G068800.2.p, Aqcoe3G068800.3.p, Aqcoe3G068800.1.p
OG0005745	FUN_025408-T1	Aqcoe3G288900.1.p
OG0005746	FUN_032159-T1, FUN_032161-T1, FUN_009289-T1, FUN_032163-T1	Aqcoe3G280300.1.p
OG0005747	FUN_017639-T1, FUN_017639-T2	Aqcoe3G166300.3.p, Aqcoe3G166300.1.p, Aqcoe3G166300.2.p, Aqcoe3G165600.1.p, Aqcoe3G165800.2.p, Aqcoe3G165800.3.p, Aqcoe3G165800.1.p, Aqcoe3G165400.1.p
OG0005748	FUN_045446-T1	Aqcoe3G360600.1.p
OG0005749	FUN_049490-T3, FUN_049490-T2, FUN_049490-T1	Aqcoe3G261300.4.p, Aqcoe3G261300.1.p, Aqcoe3G261300.3.p, Aqcoe3G261300.2.p
OG0005750	FUN_009159-T1	Aqcoe3G107000.2.p, Aqcoe3G107000.1.p
OG0005751	FUN_047764-T1, FUN_023019-T1, FUN_023019-T4, FUN_023019-T3, FUN_023019-T2	Aqcoe3G321300.3.p, Aqcoe3G321300.2.p, Aqcoe3G321300.1.p, Aqcoe3G321300.4.p
OG0005752	FUN_049515-T1	Aqcoe3G265800.1.p
OG0005753	FUN_041471-T1, FUN_017433-T1	Aqcoe3G226600.1.p, Aqcoe3G226000.1.p
OG0005754	FUN_011830-T1	Aqcoe3G277700.1.p
OG0005755	FUN_034146-T1	Aqcoe3G434600.1.p
OG0005756	FUN_009163-T1, FUN_032320-T1	Aqcoe3G304000.1.p, Aqcoe3G304000.2.p, Aqcoe3G107700.1.p
OG0005757	FUN_029942-T1, FUN_047097-T1, FUN_033670-T1	Aqcoe3G395500.1.p
OG0005758	FUN_026988-T1	Aqcoe3G287200.1.p
OG0005759	FUN_017927-T1	Aqcoe3G169900.7.p, Aqcoe3G169900.4.p, Aqcoe3G169900.1.p, Aqcoe3G169900.6.p, Aqcoe3G169900.5.p, Aqcoe3G169900.3.p, Aqcoe3G169900.2.p
OG0005760	FUN_047559-T2, FUN_047559-T1	Aqcoe3G335000.2.p, Aqcoe3G335000.1.p
OG0005761	FUN_025482-T1, FUN_045505-T1	Aqcoe3G060900.1.p
OG0005762	FUN_033831-T1, FUN_023525-T1	Aqcoe3G367200.1.p, Aqcoe3G367200.2.p, Aqcoe3G367200.3.p
OG0005763	FUN_022465-T1	Aqcoe3G427300.1.p
OG0005764	FUN_011464-T2, FUN_011464-T1, FUN_011464-T3	Aqcoe3G192900.1.p, Aqcoe3G192900.2.p
OG0005765	FUN_033607-T1	Aqcoe3G044600.1.p
OG0005766	FUN_032434-T1, FUN_023096-T2, FUN_023096-T1	Aqcoe3G323800.1.p
OG0005767	FUN_045510-T1, FUN_011209-T1	Aqcoe3G370700.1.p
OG0005768	FUN_012746-T1, FUN_012745-T1	Aqcoe3G273000.2.p, Aqcoe3G273000.5.p, Aqcoe3G273000.3.p, Aqcoe3G273000.4.p, Aqcoe3G273000.7.p, Aqcoe3G273000.6.p, Aqcoe3G273000.1.p
OG0005769	FUN_041207-T1, FUN_041207-T2, FUN_045355-T3, FUN_045355-T2, FUN_045355-T1	Aqcoe3G350900.1.p, Aqcoe3G350900.2.p, Aqcoe3G350900.3.p
OG0005771	FUN_046850-T3, FUN_046850-T2, FUN_046850-T1	Aqcoe3G035600.1.p
OG0005772	FUN_047557-T1	Aqcoe3G334000.1.p, Aqcoe3G334000.2.p
OG0005773	FUN_034148-T3, FUN_034148-T2, FUN_034148-T1	Aqcoe3G434900.3.p, Aqcoe3G434900.4.p, Aqcoe3G434900.2.p, Aqcoe3G434900.1.p
OG0005774	FUN_033305-T1	Aqcoe3G010000.1.p
OG0005775	FUN_047496-T2, FUN_047496-T1	Aqcoe3G311700.2.p, Aqcoe3G311700.1.p
OG0005776	FUN_005689-T1, FUN_041546-T1	Aqcoe3G230200.1.p
OG0005777	FUN_037424-T1, FUN_023383-T1	Aqcoe3G060100.1.p, Aqcoe3G342500.1.p
OG0005778	FUN_017374-T1	Aqcoe3G249100.3.p, Aqcoe3G249100.5.p, Aqcoe3G249100.1.p, Aqcoe3G249100.6.p, Aqcoe3G249100.4.p, Aqcoe3G249100.2.p
OG0005779	FUN_010938-T1	Aqcoe3G308500.1.p
OG0005780	FUN_017283-T1, FUN_041256-T1	Aqcoe3G265200.1.p
OG0005781	FUN_011657-T1	Aqcoe3G054500.1.p, Aqcoe3G054500.2.p, Aqcoe3G402700.2.p, Aqcoe3G402700.1.p, Aqcoe3G402700.3.p
OG0005782	FUN_047373-T1	Aqcoe3G280500.5.p, Aqcoe3G280500.4.p, Aqcoe3G280500.1.p, Aqcoe3G280500.3.p, Aqcoe3G280500.2.p
OG0005783	FUN_009114-T1, FUN_032348-T1, FUN_002942-T1	Aqcoe3G306600.2.p, Aqcoe3G306600.3.p, Aqcoe3G306600.1.p
OG0005784	FUN_031649-T1	Aqcoe3G287800.1.p
OG0005785	FUN_020628-T1	Aqcoe3G180100.4.p, Aqcoe3G180100.8.p, Aqcoe3G180100.7.p, Aqcoe3G180100.1.p, Aqcoe3G180100.5.p, Aqcoe3G180100.3.p, Aqcoe3G180100.2.p, Aqcoe3G180100.6.p
OG0005786	FUN_029131-T1	Aqcoe3G278600.2.p, Aqcoe3G278600.1.p
OG0005787	FUN_031597-T1, FUN_031597-T2, FUN_014730-T2, FUN_014730-T1	Aqcoe3G110400.3.p, Aqcoe3G110400.1.p, Aqcoe3G110400.2.p
OG0005788	FUN_023875-T3, FUN_023875-T2, FUN_023875-T1	Aqcoe3G400900.2.p, Aqcoe3G400900.3.p, Aqcoe3G400900.1.p
OG0005789	FUN_004541-T1	Aqcoe3G003800.1.p
OG0005790	FUN_034141-T1	Aqcoe3G434300.6.p, Aqcoe3G434300.4.p, Aqcoe3G434300.1.p, Aqcoe3G434300.2.p, Aqcoe3G434300.7.p, Aqcoe3G434300.8.p, Aqcoe3G434300.5.p, Aqcoe3G434300.3.p
OG0005791	FUN_039485-T1, FUN_039485-T2	Aqcoe3G309100.1.p
OG0005792	FUN_040411-T1, FUN_007538-T1	Aqcoe3G441500.1.p
OG0005793	FUN_052725-T1	Aqcoe3G201900.7.p, Aqcoe3G201900.6.p, Aqcoe3G201900.4.p, Aqcoe3G201900.2.p, Aqcoe3G201900.5.p, Aqcoe3G201900.1.p, Aqcoe3G201900.3.p
OG0005824	FUN_044972-T1, FUN_008779-T1, FUN_008777-T1	Aqcoe7G002600.1.p, Aqcoe2G035700.1.p
OG0005825	FUN_014550-T2, FUN_014550-T1, FUN_020771-T1	Aqcoe1G037000.3.p, Aqcoe1G037000.6.p, Aqcoe1G037000.1.p, Aqcoe2G179900.1.p
OG0005826	FUN_036408-T1	Aqcoe2G317300.1.p
OG0005827	FUN_045846-T1, FUN_036029-T1, FUN_045845-T1	Aqcoe2G261000.2.p, Aqcoe2G261000.1.p, Aqcoe2G258100.1.p
OG0005828	FUN_052761-T1, FUN_052685-T1	Aqcoe2G010300.1.p
OG0005829	FUN_051425-T1, FUN_051433-T1, FUN_051427-T1, FUN_051429-T1	Aqcoe2G338700.1.p, Aqcoe2G338800.1.p
OG0005830	FUN_030336-T1, FUN_019110-T1	Aqcoe2G093300.1.p
OG0005831	FUN_014601-T1, FUN_014601-T3, FUN_014601-T2, FUN_014605-T1	Aqcoe2G167500.1.p
OG0005832	FUN_036186-T1, FUN_052491-T1	Aqcoe2G427600.1.p
OG0005834	FUN_050274-T1, FUN_052989-T1	Aqcoe3G147900.1.p, Aqcoe2G387600.3.p, Aqcoe2G387600.2.p, Aqcoe2G387600.1.p
OG0005836	FUN_002258-T1	Aqcoe2G123700.1.p
OG0005837	FUN_039065-T1	Aqcoe1G444600.1.p, Aqcoe2G108500.1.p, Aqcoe2G108500.2.p, Aqcoe2G108500.4.p, Aqcoe2G108500.3.p
OG0005838	FUN_024576-T1	Aqcoe5G060100.1.p, Aqcoe2G335200.1.p
OG0005839	FUN_024803-T1	Aqcoe2G282200.1.p
OG0005840	FUN_015042-T1, FUN_040508-T1	Aqcoe2G382800.1.p, Aqcoe2G381000.1.p
OG0005841	FUN_003453-T1	Aqcoe2G398600.1.p
OG0005842	FUN_015317-T1	Aqcoe2G188300.1.p
OG0005843	FUN_052694-T1, FUN_046960-T1, FUN_036374-T2, FUN_036374-T1	Aqcoe2G025000.1.p
OG0005844	FUN_039045-T1, FUN_035998-T2, FUN_035998-T1	Aqcoe2G122200.1.p
OG0005845	FUN_034692-T2	Aqcoe2G036500.2.p, Aqcoe2G036500.1.p
OG0005846	FUN_022834-T1, FUN_022349-T1	Aqcoe7G048600.1.p, Aqcoe7G262900.1.p, Aqcoe2G137500.1.p, Aqcoe3G288400.1.p
OG0005847	FUN_027404-T1	Aqcoe2G132100.1.p, Aqcoe1G451200.1.p
OG0005848	FUN_036231-T1	Aqcoe1G316700.3.p, Aqcoe1G316700.4.p, Aqcoe1G316700.1.p, Aqcoe1G316700.2.p
OG0005849	FUN_036178-T1, FUN_052482-T2, FUN_052482-T1	Aqcoe2G425700.1.p
OG0005850	FUN_051749-T1	Aqcoe7G032000.1.p, Aqcoe2G225500.1.p
OG0005851	FUN_030729-T1, FUN_018884-T1	Aqcoe2G047000.1.p
OG0005852	FUN_050846-T3, FUN_050846-T1, FUN_050846-T2, FUN_050846-T4	Aqcoe5G043100.1.p
OG0005853	FUN_017906-T1, FUN_041814-T1	Aqcoe2G273500.1.p, Aqcoe2G186100.1.p, Aqcoe2G421300.1.p
OG0005854	FUN_036180-T1	Aqcoe2G426400.1.p
OG0005855	FUN_015018-T1, FUN_015018-T2	Aqcoe2G383700.1.p
OG0005856	FUN_029230-T1, FUN_052338-T1	Aqcoe2G273300.1.p, Aqcoe2G312800.1.p, Aqcoe2G273200.1.p
OG0005857	FUN_039824-T1	Aqcoe2G149900.1.p, Aqcoe2G149900.2.p, Aqcoe2G150000.1.p
OG0005858	FUN_003465-T1	Aqcoe2G002900.1.p, Aqcoe2G002900.2.p, Aqcoe2G002900.3.p
OG0005859	FUN_045675-T1, FUN_045675-T2, FUN_045675-T3, FUN_043234-T1	Aqcoe2G114700.1.p
OG0005860	FUN_031714-T2, FUN_031714-T3, FUN_031714-T1	Aqcoe2G431000.1.p, Aqcoe1G191000.1.p, Aqcoe3G092000.1.p, Aqcoe3G092000.2.p
OG0005861	FUN_041903-T1, FUN_041903-T2	Aqcoe2G238600.2.p, Aqcoe2G238600.3.p, Aqcoe2G238600.1.p
OG0005862	FUN_009688-T1, FUN_009688-T2	Aqcoe2G223900.1.p, Aqcoe1G107400.1.p, Aqcoe1G107400.2.p, Aqcoe1G107400.3.p
OG0005863	FUN_036322-T1, FUN_036324-T1, FUN_036323-T1	Aqcoe2G043900.1.p, Aqcoe2G043900.2.p
OG0005864	FUN_003446-T1, FUN_037583-T1	Aqcoe2G396900.1.p
OG0005865	FUN_041731-T1, FUN_017767-T1	Aqcoe2G109700.4.p, Aqcoe2G109700.3.p, Aqcoe2G109700.2.p, Aqcoe2G109700.1.p
OG0005866	FUN_020171-T1	Aqcoe2G314000.2.p, Aqcoe2G314000.1.p
OG0005867	FUN_052065-T1	Aqcoe2G171000.1.p, Aqcoe2G171000.3.p, Aqcoe2G171000.6.p, Aqcoe2G171000.4.p, Aqcoe2G171000.5.p, Aqcoe2G171000.2.p
OG0005868	FUN_012145-T1, FUN_012145-T2, FUN_012145-T3, FUN_012145-T4	Aqcoe2G381100.1.p, Aqcoe2G381100.2.p, Aqcoe2G381100.3.p
OG0005869	FUN_014235-T1	Aqcoe2G257600.1.p
OG0005870	FUN_042913-T1, FUN_012520-T1	Aqcoe2G297100.1.p
OG0005871	FUN_014218-T1	Aqcoe2G251300.1.p
OG0005872	FUN_050982-T1	Aqcoe2G350400.1.p
OG0005872	FUN_014548-T1	Aqcoe5G050000.1.p
OG0005873	FUN_001416-T1	Aqcoe1G264000.4.p, Aqcoe2G085100.1.p, Aqcoe1G264000.6.p, Aqcoe1G264000.2.p, Aqcoe1G264000.7.p, Aqcoe1G264000.5.p, Aqcoe1G264000.1.p, Aqcoe1G264000.3.p
OG0005874	FUN_030736-T2, FUN_030736-T3, FUN_030736-T1	Aqcoe2G045100.1.p
OG0005875	FUN_020490-T1	Aqcoe2G168500.1.p, Aqcoe6G183500.1.p
OG0005876	FUN_017975-T1	Aqcoe2G354100.1.p
OG0005877	FUN_003463-T1	Aqcoe2G414600.1.p
OG0005878	FUN_024574-T1, FUN_024574-T2	Aqcoe2G335600.1.p
OG0005879	FUN_015024-T2, FUN_015024-T1, FUN_040353-T1, FUN_040353-T2	Aqcoe2G381800.1.p
OG0005880	FUN_036182-T2, FUN_036182-T1, FUN_052487-T1	Aqcoe2G426500.1.p
OG0005881	FUN_018728-T2, FUN_018728-T1, FUN_040260-T1	Aqcoe2G222500.1.p
OG0005882	FUN_015786-T1	Aqcoe2G329500.1.p, Aqcoe6G071200.1.p
OG0005883	FUN_012839-T1, FUN_012839-T2	Aqcoe2G012300.1.p, Aqcoe2G012300.2.p
OG0005884	FUN_039579-T1	Aqcoe3G422900.1.p, Aqcoe2G439000.1.p, Aqcoe4G171200.1.p, Aqcoe4G171200.2.p
OG0005886	FUN_015884-T1, FUN_033205-T1	Aqcoe2G318900.1.p, Aqcoe5G070400.1.p
OG0005887	FUN_053092-T2, FUN_053092-T1	Aqcoe2G396400.1.p
OG0005888	FUN_008035-T1	Aqcoe2G089300.1.p, Aqcoe2G089300.2.p
OG0005889	FUN_030443-T2, FUN_030443-T1	Aqcoe2G083900.1.p, Aqcoe2G083900.4.p, Aqcoe2G083900.5.p, Aqcoe2G083900.2.p, Aqcoe2G083900.3.p
OG0005890	FUN_004982-T1	Aqcoe5G102200.1.p, Aqcoe2G078100.4.p, Aqcoe2G078100.2.p, Aqcoe2G078100.3.p, Aqcoe2G078100.1.p
OG0005891	FUN_005937-T1, FUN_005937-T2, FUN_052985-T1, FUN_052985-T2	Aqcoe1G495500.1.p, Aqcoe2G178200.2.p
OG0005892	FUN_017964-T2, FUN_017964-T1	Aqcoe2G215800.1.p, Aqcoe4G062600.1.p
OG0005893	FUN_011973-T1	Aqcoe6G305600.1.p, Aqcoe1G299800.1.p, Aqcoe2G229200.1.p, Aqcoe1G329200.1.p
OG0005894	FUN_036017-T2, FUN_036017-T1, FUN_036017-T3, FUN_035724-T1, FUN_036013-T1	Aqcoe5G294100.1.p, Aqcoe5G452400.1.p, Aqcoe2G254400.1.p
OG0005895	FUN_047887-T1	Aqcoe1G462900.1.p, Aqcoe1G462900.2.p
OG0005896	FUN_000387-T1	Aqcoe2G317400.1.p
OG0005897	FUN_001923-T2, FUN_001923-T1	Aqcoe2G075800.1.p
OG0005898	FUN_033135-T1, FUN_033135-T2	Aqcoe2G008900.1.p, Aqcoe2G008900.3.p, Aqcoe2G008900.2.p
OG0005899	FUN_002665-T1	Aqcoe5G032900.1.p, Aqcoe2G368100.1.p, Aqcoe7G264200.1.p
OG0005900	FUN_032145-T2, FUN_032145-T1, FUN_009324-T1	Aqcoe2G319000.1.p, Aqcoe2G319000.2.p, Aqcoe5G070300.1.p
OG0005901	FUN_014379-T1, FUN_000656-T1	Aqcoe2G333300.1.p, Aqcoe2G333300.2.p
OG0005902	FUN_036206-T1, FUN_052515-T2, FUN_052515-T1	Aqcoe2G435500.1.p
OG0005903	FUN_000723-T1, FUN_014160-T1	Aqcoe7G135100.1.p, Aqcoe2G438100.1.p, Aqcoe2G438100.2.p
OG0005904	FUN_025633-T1	Aqcoe6G170900.1.p
OG0005905	FUN_007484-T1, FUN_002281-T1, FUN_002280-T1	Aqcoe6G114900.1.p, Aqcoe6G115000.1.p
OG0005906	FUN_006696-T1, FUN_034552-T1	Aqcoe5G244800.1.p, Aqcoe6G262800.1.p
OG0005907	FUN_042652-T1	Aqcoe6G182600.2.p, Aqcoe6G182600.1.p
OG0005908	FUN_050678-T1, FUN_050678-T2, FUN_002180-T1	Aqcoe6G298700.2.p, Aqcoe6G298700.1.p
OG0005909	FUN_045622-T1, FUN_029584-T1	Aqcoe6G084500.1.p
OG0005910	FUN_038204-T1	Aqcoe6G061600.1.p
OG0005911	FUN_048509-T1, FUN_037943-T1	Aqcoe6G018900.1.p
OG0005912	FUN_052267-T1	Aqcoe6G033700.1.p
OG0005913	FUN_021127-T1	Aqcoe6G090400.1.p, Aqcoe6G090400.2.p
OG0005914	FUN_024487-T2, FUN_024487-T3, FUN_024487-T1	Aqcoe6G284700.1.p, Aqcoe6G283800.3.p, Aqcoe6G283800.1.p, Aqcoe6G283800.2.p
OG0005915	FUN_027225-T3, FUN_027225-T1, FUN_027225-T2	Aqcoe6G142800.1.p, Aqcoe6G142800.2.p, Aqcoe6G142800.3.p, Aqcoe6G142800.4.p
OG0005916	FUN_008162-T1	Aqcoe6G003000.3.p, Aqcoe6G003000.4.p, Aqcoe6G003000.2.p, Aqcoe6G003000.1.p
OG0005917	FUN_032712-T1, FUN_045630-T1, FUN_045630-T2, FUN_051841-T1	Aqcoe6G087000.1.p
OG0005918	FUN_001419-T1	Aqcoe5G116700.2.p, Aqcoe5G116700.1.p, Aqcoe6G054400.1.p, Aqcoe6G054400.2.p
OG0005919	FUN_052222-T1	Aqcoe5G252700.1.p, Aqcoe6G043100.1.p
OG0005920	FUN_037861-T1, FUN_037862-T1	Aqcoe6G290300.2.p, Aqcoe6G290300.1.p, Aqcoe5G273000.1.p, Aqcoe5G273000.3.p, Aqcoe5G273000.5.p, Aqcoe5G273000.4.p, Aqcoe5G273000.2.p
OG0005921	FUN_050598-T2, FUN_002210-T1, FUN_002210-T4, FUN_002210-T2, FUN_050598-T1	Aqcoe6G129000.1.p, Aqcoe5G185900.1.p
OG0005922	FUN_002885-T2, FUN_002885-T1	Aqcoe6G011600.2.p, Aqcoe6G011600.1.p
OG0005923	FUN_005262-T1, FUN_027859-T1	Aqcoe6G002700.1.p
OG0005924	FUN_037995-T1, FUN_048527-T1, FUN_048527-T2	Aqcoe6G154100.1.p
OG0005925	FUN_027104-T1, FUN_027103-T1, FUN_027086-T1, FUN_027085-T1, FUN_018128-T1, FUN_027084-T1	Aqcoe6G096400.1.p
OG0005926	FUN_031173-T1, FUN_052030-T1	Aqcoe6G093000.2.p, Aqcoe6G093000.1.p
OG0005927	FUN_020445-T1, FUN_008565-T1	Aqcoe6G019600.1.p
OG0005928	FUN_042933-T1	Aqcoe6G000700.1.p
OG0005929	FUN_046065-T1	Aqcoe6G145500.2.p, Aqcoe6G145500.3.p, Aqcoe6G145500.1.p, Aqcoe6G145500.4.p
OG0005930	FUN_004543-T1, FUN_004543-T2	Aqcoe1G038100.3.p, Aqcoe1G038100.1.p, Aqcoe1G038100.2.p, Aqcoe6G209800.1.p, Aqcoe6G209800.3.p, Aqcoe6G209800.2.p, Aqcoe6G210100.2.p, Aqcoe6G210100.1.p
OG0005931	FUN_005590-T1, FUN_052127-T1	Aqcoe6G056800.1.p
OG0005932	FUN_039705-T1, FUN_031282-T1	Aqcoe6G108700.1.p
OG0005933	FUN_035233-T1	Aqcoe6G032000.1.p
OG0005934	FUN_001338-T1, FUN_026976-T1	Aqcoe5G252800.2.p, Aqcoe5G252800.1.p, Aqcoe6G043200.1.p
OG0005936	FUN_001965-T1	Aqcoe6G061100.1.p
OG0005937	FUN_036360-T1	Aqcoe6G066200.1.p, Aqcoe6G066200.2.p
OG0005938	FUN_009590-T1, FUN_030604-T1	Aqcoe6G269800.3.p, Aqcoe6G269800.2.p, Aqcoe6G269800.1.p
OG0005939	FUN_024263-T1	Aqcoe6G064800.2.p, Aqcoe6G064800.1.p, Aqcoe6G064800.3.p
OG0005940	FUN_038545-T1	Aqcoe6G245900.1.p, Aqcoe6G245900.2.p
OG0005940	FUN_049814-T1	Aqcoe6G245900.3.p
OG0005941	FUN_039387-T1	Aqcoe6G230800.1.p, Aqcoe6G230800.2.p
OG0005942	FUN_046145-T1, FUN_046145-T2, FUN_002410-T1	Aqcoe6G188700.1.p
OG0005943	FUN_032251-T1	Aqcoe6G182800.2.p, Aqcoe6G182800.1.p
OG0005944	FUN_002066-T3, FUN_002066-T1, FUN_002066-T2	Aqcoe7G371200.2.p, Aqcoe7G371200.1.p, Aqcoe6G119800.1.p
OG0005945	FUN_024481-T1	Aqcoe3G178300.1.p, Aqcoe5G101500.1.p, Aqcoe6G281000.1.p
OG0005946	FUN_043107-T1	Aqcoe6G027200.9.p, Aqcoe6G027200.8.p, Aqcoe6G027200.2.p, Aqcoe6G027200.3.p, Aqcoe6G027200.4.p, Aqcoe6G027200.6.p, Aqcoe6G027200.7.p, Aqcoe6G027200.1.p, Aqcoe6G027200.5.p
OG0005947	FUN_025746-T1	Aqcoe6G215000.1.p
OG0005949	FUN_047246-T1, FUN_051701-T1	Aqcoe6G306700.1.p, Aqcoe6G306800.1.p
OG0005950	FUN_048575-T2, FUN_048575-T1, FUN_048575-T3	Aqcoe6G072700.3.p, Aqcoe6G072700.1.p, Aqcoe6G072700.4.p, Aqcoe6G072700.6.p, Aqcoe6G072700.5.p, Aqcoe6G072700.2.p
OG0005951	FUN_022990-T3, FUN_022990-T4, FUN_022990-T1, FUN_022990-T2, FUN_032394-T2, FUN_032394-T1	Aqcoe3G100600.2.p, Aqcoe3G100600.1.p, Aqcoe6G004800.2.p, Aqcoe6G004800.1.p
OG0005952	FUN_001611-T1, FUN_001611-T2	Aqcoe6G121300.1.p
OG0005953	FUN_007831-T1	Aqcoe6G055900.1.p
OG0005954	FUN_040756-T2, FUN_040756-T1, FUN_040765-T2, FUN_040765-T1	Aqcoe6G180600.1.p
OG0005955	FUN_045499-T1	Aqcoe6G104200.2.p, Aqcoe6G104200.1.p
OG0005956	FUN_007581-T3, FUN_007581-T2, FUN_007581-T1, FUN_022421-T1	Aqcoe7G384500.1.p, Aqcoe6G036900.1.p, Aqcoe5G235400.1.p
OG0005957	FUN_004179-T1, FUN_004179-T2	Aqcoe6G172200.1.p
OG0005958	FUN_007547-T1	Aqcoe6G280800.1.p
OG0005959	FUN_024348-T1	Aqcoe5G095100.1.p, Aqcoe6G313600.1.p
OG0005960	FUN_031576-T1	Aqcoe4G236200.3.p, Aqcoe4G236200.1.p, Aqcoe4G236200.2.p
OG0005961	FUN_000014-T1	Aqcoe7G159700.1.p, Aqcoe7G159600.1.p, Aqcoe7G159600.2.p, Aqcoe4G271000.1.p, Aqcoe4G212100.1.p
OG0005962	FUN_042609-T1, FUN_042608-T1	Aqcoe4G312300.1.p
OG0005963	FUN_044748-T1, FUN_044748-T2	Aqcoe4G171000.1.p
OG0005964	FUN_027858-T1	Aqcoe4G309600.1.p, Aqcoe4G309600.2.p
OG0005965	FUN_011689-T1	Aqcoe1G190600.1.p
OG0005965	FUN_049906-T1	Aqcoe4G038600.1.p, Aqcoe4G038600.2.p
OG0005966	FUN_003582-T1, FUN_003582-T2	Aqcoe5G213500.1.p, Aqcoe4G222500.1.p
OG0005967	FUN_045817-T1, FUN_045818-T1	Aqcoe4G164700.1.p
OG0005968	FUN_046658-T1	Aqcoe4G090300.1.p
OG0005969	FUN_012553-T1	Aqcoe4G248200.1.p
OG0005970	FUN_035487-T1	Aqcoe1G269000.1.p, Aqcoe1G269000.2.p, Aqcoe1G269000.3.p, Aqcoe1G269000.4.p, Aqcoe4G272600.1.p
OG0005971	FUN_026819-T1, FUN_026819-T3, FUN_026819-T2	Aqcoe7G319900.2.p, Aqcoe7G319900.1.p, Aqcoe4G257100.1.p
OG0005972	FUN_034718-T2, FUN_034718-T3, FUN_034718-T4	Aqcoe4G305000.2.p, Aqcoe4G305000.1.p
OG0005973	FUN_007828-T1	Aqcoe4G123200.2.p, Aqcoe4G123200.1.p
OG0005974	FUN_045810-T1	Aqcoe4G157800.1.p
OG0005975	FUN_035784-T1, FUN_012239-T1	Aqcoe3G180000.1.p, Aqcoe4G293600.1.p
OG0005976	FUN_052635-T1, FUN_052637-T1	Aqcoe7G310100.1.p, Aqcoe0637s0002.1.p, Aqcoe1G045200.1.p
OG0005977	FUN_015570-T2, FUN_015570-T1	Aqcoe7G358100.1.p, Aqcoe7G358100.2.p
OG0005978	FUN_050241-T1, FUN_025215-T1	Aqcoe7G261700.1.p, Aqcoe7G261700.2.p
OG0005979	FUN_036946-T1, FUN_036946-T2, FUN_049642-T2, FUN_049642-T1	Aqcoe7G077300.5.p, Aqcoe7G077300.2.p, Aqcoe7G077300.1.p, Aqcoe7G077300.3.p, Aqcoe7G077300.4.p
OG0005980	FUN_012997-T1, FUN_052831-T2, FUN_052831-T1	Aqcoe7G345500.2.p, Aqcoe7G345500.1.p
OG0005982	FUN_026448-T1, FUN_013001-T1	Aqcoe7G414000.1.p, Aqcoe7G413800.1.p
OG0005983	FUN_022644-T1	Aqcoe7G046800.1.p
OG0005984	FUN_044740-T1	Aqcoe7G309800.1.p, Aqcoe7G309800.4.p, Aqcoe7G309800.6.p, Aqcoe7G309800.3.p, Aqcoe7G309800.2.p, Aqcoe7G309800.5.p, Aqcoe7G284700.1.p
OG0005985	FUN_006345-T2, FUN_006345-T1, FUN_006346-T3, FUN_006346-T1, FUN_006346-T2, FUN_006348-T1	Aqcoe7G166800.1.p, Aqcoe7G166800.2.p
OG0005986	FUN_050193-T1, FUN_024087-T2, FUN_024087-T1	Aqcoe7G100700.1.p
OG0005987	FUN_024077-T1, FUN_018464-T1	Aqcoe7G442700.1.p
OG0005988	FUN_005202-T1, FUN_039219-T1	Aqcoe7G132200.1.p, Aqcoe7G132200.2.p
OG0005989	FUN_005376-T2, FUN_005376-T1, FUN_021327-T1	Aqcoe7G421700.1.p
OG0005989	FUN_021329-T1	Aqcoe7G421800.1.p
OG0005990	FUN_033425-T1	Aqcoe3G403500.1.p
OG0005991	FUN_013820-T1, FUN_022892-T1	Aqcoe7G025500.1.p
