Orthogroup	P_amilis.proteins	A_hypochondriacus.proteins
OG0005395	FUN_005486-T1	AH022397-RA
OG0005396	FUN_016196-T1	AH017290-RA
OG0005397	FUN_030733-T1, FUN_030733-T2	AH015653-RA, AH008978-RA
OG0005400	FUN_001113-T2, FUN_001113-T1	AH013310-RA, AH022227-RA
OG0005402	FUN_032710-T1	AH020454-RA
OG0005402	FUN_032709-T1	AH020453-RA
OG0005403	FUN_051569-T2, FUN_051569-T3, FUN_036817-T1, FUN_051569-T1	AH010407-RA
OG0005404	FUN_050326-T1, FUN_025113-T1	AH022372-RA, AH013564-RA
OG0005405	FUN_052389-T1	AH007407-RA
OG0005405	FUN_031653-T1	AH011605-RA
OG0005406	FUN_030461-T1	AH006151-RA
OG0005408	FUN_046762-T1	AH002120-RA
OG0005409	FUN_036422-T1, FUN_052741-T1	AH007702-RA
OG0005410	FUN_033173-T1	AH020251-RA
OG0005411	FUN_007772-T1	AH014023-RA
OG0005412	FUN_041409-T1, FUN_052823-T1	AH006132-RA
OG0005413	FUN_043829-T1, FUN_043830-T1	AH000198-RA
OG0005414	FUN_043878-T1	AH002703-RA
OG0005415	FUN_033082-T1, FUN_033082-T2	AH011658-RA
OG0005416	FUN_033673-T1	AH012446-RA, AH009007-RA
OG0005417	FUN_051501-T1, FUN_014311-T1	AH008713-RA, AH010525-RA, AH007611-RA
OG0005418	FUN_041935-T1, FUN_018046-T1	AH018805-RA
OG0005419	FUN_050228-T1, FUN_050228-T2	AH022252-RA
OG0005420	FUN_003551-T1	AH006520-RA
OG0005422	FUN_049339-T1	AH022490-RA
OG0005423	FUN_006524-T2, FUN_006524-T1, FUN_022350-T2, FUN_022350-T1	AH020085-RA
OG0005424	FUN_000714-T1	AH020007-RA
OG0005425	FUN_004093-T1	AH012440-RA
OG0005426	FUN_020314-T2, FUN_020314-T3, FUN_020314-T1	AH021737-RA
OG0005427	FUN_029253-T1	AH019268-RA
OG0005428	FUN_045794-T1	AH013273-RA
OG0005429	FUN_052638-T1	AH011053-RA, AH007513-RA
OG0005430	FUN_026382-T1, FUN_026382-T2	AH020841-RA
OG0005431	FUN_015893-T1	AH001557-RA, AH023067-RA, AH000521-RA
OG0005432	FUN_048755-T1	AH013244-RA
OG0005433	FUN_014248-T2, FUN_014248-T1	AH011805-RA
OG0005434	FUN_022338-T1, FUN_006527-T1	AH020082-RA
OG0005435	FUN_039139-T1	AH023509-RA, AH023778-RA, AH023508-RA
OG0005436	FUN_012152-T5, FUN_012152-T1, FUN_012152-T3, FUN_045950-T2, FUN_045950-T1	AH018867-RA
OG0005437	FUN_002418-T2, FUN_002418-T1	AH010437-RA
OG0005438	FUN_020343-T1	AH021796-RA
OG0005439	FUN_037173-T1	AH009246-RA
OG0005440	FUN_042324-T1	AH012660-RA
OG0005441	FUN_036630-T1	AH003057-RA
OG0005442	FUN_007713-T1, FUN_007713-T2, FUN_007713-T3, FUN_007714-T1	AH013225-RA
OG0005443	FUN_030321-T1	AH023087-RA
OG0005444	FUN_010319-T1, FUN_051266-T1	AH017718-RA
OG0005445	FUN_010371-T1, FUN_010371-T2, FUN_004838-T1	AH023272-RA, AH016236-RA
OG0005446	FUN_029229-T1, FUN_029229-T2	AH015621-RA
OG0005447	FUN_005849-T1	AH012652-RA
OG0005448	FUN_019099-T1, FUN_030371-T1, FUN_030371-T2	AH023109-RA, AH016388-RA
OG0005449	FUN_014298-T1	AH011831-RA, AH020143-RA
OG0005450	FUN_052693-T2, FUN_052693-T1, FUN_052693-T4, FUN_052693-T3	AH007714-RA
OG0005451	FUN_014551-T1, FUN_048013-T1	AH017710-RA
OG0005452	FUN_049321-T1	AH022485-RA
OG0005452	FUN_018014-T1, FUN_038255-T1	AH018792-RA
OG0005453	FUN_003678-T1	AH006864-RA
OG0005454	FUN_000227-T2, FUN_000227-T1	AH010744-RA
OG0005455	FUN_001371-T1	AH012679-RA, AH021863-RA
OG0005457	FUN_030776-T1	AH019160-RA
OG0005458	FUN_003716-T1	AH021884-RA
OG0005459	FUN_020264-T1	AH021776-RA
OG0005460	FUN_015063-T1	AH007186-RA
OG0005461	FUN_006126-T6, FUN_006126-T2, FUN_006126-T1, FUN_006126-T5, FUN_006126-T4, FUN_006126-T7, FUN_006126-T3	AH017025-RA
OG0005462	FUN_042071-T1	AH018872-RA
OG0005462	FUN_008106-T1	AH018871-RA
OG0005463	FUN_024377-T1	AH020055-RA
OG0005464	FUN_016179-T1	AH017705-RA
OG0005465	FUN_043752-T1, FUN_043750-T1, FUN_024838-T1	AH022045-RA, AH013544-RA
OG0005466	FUN_011549-T1, FUN_050873-T1	AH017792-RA, AH002599-RA
OG0005467	FUN_049281-T1, FUN_013107-T1	AH022504-RA, AH013642-RA
OG0005468	FUN_018731-T1, FUN_038703-T2, FUN_038703-T1	AH018497-RA, AH018499-RA
OG0005469	FUN_025745-T1	AH023712-RA, AH016786-RA
OG0005470	FUN_045144-T1, FUN_012108-T1	AH019757-RA
OG0005471	FUN_031690-T2, FUN_031690-T1	AH001119-RA, AH000065-RA
OG0005472	FUN_046962-T1	AH019313-RA, AH015629-RA
OG0005473	FUN_021300-T3, FUN_021300-T1, FUN_001237-T1, FUN_021300-T2	AH016159-RA
OG0005475	FUN_031081-T1	AH006424-RA
OG0005476	FUN_048493-T1	AH008984-RA
OG0005477	FUN_025522-T1	AH005934-RA, AH003623-RA
OG0005479	FUN_047186-T3, FUN_047186-T1	AH001638-RA, AH000958-RA
OG0005480	FUN_000677-T1	AH011754-RA
OG0005481	FUN_044228-T1	AH021252-RA
OG0005482	FUN_038006-T1	AH008832-RA
OG0005483	FUN_046395-T2, FUN_046395-T1	AH009784-RA
OG0005484	FUN_038253-T1, FUN_038247-T1	AH001028-RA
OG0005484	FUN_021747-T1	AH003296-RA
OG0005485	FUN_048613-T1	AH008721-RA
OG0005485	FUN_051819-T1, FUN_045601-T1	AH000909-RA, AH001576-RA
OG0005486	FUN_019280-T1, FUN_040037-T1	AH018297-RA
OG0005487	FUN_037601-T2, FUN_037601-T1, FUN_048311-T1, FUN_048311-T2	AH009466-RA
OG0005488	FUN_005578-T1, FUN_052138-T2, FUN_052138-T1	AH000664-RA
OG0005490	FUN_008824-T1, FUN_013627-T1	AH011957-RA
OG0005493	FUN_005862-T1	AH011661-RA
OG0005494	FUN_040853-T1, FUN_026421-T1	AH003174-RA
OG0005495	FUN_003943-T2, FUN_003943-T1, FUN_030226-T1	AH005609-RA
OG0005497	FUN_007809-T1	AH005271-RA
OG0005498	FUN_014956-T1, FUN_014956-T3, FUN_014956-T2	AH007109-RA
OG0005499	FUN_050798-T2, FUN_050798-T1, FUN_050798-T3	AH017891-RA
OG0005500	FUN_024512-T1	AH016682-RA
OG0005501	FUN_048504-T2, FUN_048504-T1, FUN_010832-T1	AH015824-RA
OG0005502	FUN_031230-T2, FUN_031230-T1	AH003955-RA
OG0005503	FUN_044122-T1, FUN_014413-T1, FUN_030000-T1, FUN_014394-T1, FUN_014412-T1, FUN_030001-T1	AH013471-RA
OG0005504	FUN_004182-T1	AH003597-RA
OG0005504	FUN_027693-T1	AH000009-RA
OG0005506	FUN_048503-T2, FUN_048503-T1, FUN_044103-T1	AH023595-RA
OG0005507	FUN_040605-T1, FUN_040605-T2	AH018749-RA
OG0005508	FUN_024462-T1	AH005919-RA
OG0005509	FUN_038644-T1	AH008895-RA
OG0005510	FUN_025626-T2, FUN_025626-T1	AH023755-RA, AH023756-RA
OG0005511	FUN_013123-T2, FUN_013123-T1	AH005700-RA
OG0005512	FUN_051682-T1, FUN_050801-T1	AH001692-RA
OG0005512	FUN_031741-T1, FUN_052781-T1	AH006170-RA
OG0005514	FUN_027452-T2, FUN_027452-T1	AH001318-RA
OG0005515	FUN_042666-T1	AH023672-RA
OG0005516	FUN_012193-T1	AH014898-RA
OG0005517	FUN_027270-T1	AH001263-RA
OG0005519	FUN_024948-T1	AH000428-RA
OG0005520	FUN_007527-T1	AH008788-RA
OG0005521	FUN_047622-T1, FUN_047622-T2	AH004992-RA
OG0005522	FUN_037549-T1	AH009506-RA, AH007979-RA
OG0005523	FUN_036281-T1	AH011089-RA
OG0005525	FUN_036712-T1, FUN_043253-T1, FUN_043253-T2	AH015263-RA
OG0005526	FUN_038237-T1, FUN_038237-T2	AH009312-RA
OG0005527	FUN_015601-T1, FUN_015601-T2, FUN_015601-T3, FUN_015602-T1	AH000411-RA
OG0005528	FUN_002002-T1	AH007905-RA
OG0005529	FUN_012255-T1	AH014936-RA
OG0005530	FUN_037029-T1	AH020806-RA, AH005293-RA
OG0005531	FUN_036194-T1, FUN_035749-T1	AH001172-RA
OG0005532	FUN_012232-T1	AH014916-RA
OG0005532	FUN_031770-T1	AH004563-RA
OG0005533	FUN_036748-T1, FUN_036748-T2	AH016015-RA
OG0005534	FUN_012268-T1	AH021477-RA, AH014946-RA
OG0005535	FUN_046781-T3	AH011717-RA, AH020032-RA
OG0005536	FUN_045826-T1, FUN_045826-T2	AH008135-RA
OG0005537	FUN_018852-T1, FUN_008113-T1, FUN_008114-T1	AH005114-RA, AH005115-RA
OG0005538	FUN_008255-T1	AH019037-RA
OG0005539	FUN_049706-T1	AH009105-RA
OG0005541	FUN_011810-T3, FUN_011810-T2, FUN_011810-T1	AH001512-RA
OG0005542	FUN_005453-T1	AH001923-RA
OG0005543	FUN_021061-T1, FUN_008396-T1	AH015368-RA, AH015367-RA
OG0005544	FUN_028451-T1, FUN_012751-T1	AH014308-RA
OG0005545	FUN_026337-T2, FUN_026337-T1	AH020824-RA
OG0005546	FUN_010900-T1	AH022591-RA
OG0005547	FUN_030144-T1, FUN_030144-T2, FUN_003844-T3, FUN_003844-T1, FUN_003844-T4, FUN_003844-T2	AH023008-RA
OG0005548	FUN_008812-T1	AH019699-RA
OG0005549	FUN_001831-T1	AH002134-RA
OG0005550	FUN_026779-T2, FUN_026779-T3, FUN_026779-T1	AH017101-RA
OG0005551	FUN_036943-T1, FUN_049640-T1	AH003253-RA
OG0005552	FUN_006083-T1	AH017051-RA
OG0005553	FUN_004690-T2, FUN_004690-T1, FUN_032914-T1	AH006824-RA, AH020352-RA
OG0005554	FUN_017636-T1	AH000989-RA
OG0005555	FUN_013040-T1, FUN_026907-T1	AH021011-RA
OG0005556	FUN_037079-T2, FUN_037079-T3, FUN_037079-T1	AH007532-RA
OG0005557	FUN_010728-T1, FUN_044930-T1	AH003363-RA, AH003364-RA, AH018571-RA
OG0005558	FUN_017115-T2, FUN_017115-T1	AH003188-RA
OG0005559	FUN_047059-T1	AH017395-RA
OG0005560	FUN_013005-T1, FUN_013005-T2, FUN_052860-T2, FUN_052860-T1	AH021031-RA
OG0005561	FUN_020857-T2, FUN_020857-T3, FUN_020857-T1	AH016255-RA
OG0005562	FUN_049130-T1	AH009697-RA
OG0005563	FUN_033297-T1, FUN_033297-T2	AH013189-RA
OG0005564	FUN_030692-T1	AH010858-RA
OG0005565	FUN_001814-T1	AH002116-RA
OG0005567	FUN_026425-T1	AH014529-RA
OG0005568	FUN_019410-T1	AH016996-RA
OG0005569	FUN_050084-T1	AH013390-RA
OG0005570	FUN_011273-T1	AH022422-RA, AH012085-RA
OG0005571	FUN_050247-T1	AH013488-RA
OG0005572	FUN_020507-T1	AH018982-RA
OG0005573	FUN_028702-T1, FUN_028702-T2, FUN_028702-T3	AH014295-RA
OG0005574	FUN_037165-T1	AH009253-RA
OG0005575	FUN_005370-T1, FUN_005370-T2	AH016032-RA
OG0005576	FUN_041249-T1, FUN_017267-T1	AH018324-RA, AH011406-RA
OG0005577	FUN_018336-T1	AH011321-RA, AH015434-RA, AH018090-RA
OG0005578	FUN_050253-T1	AH013496-RA
OG0005578	FUN_006057-T1	AH017059-RA
OG0005579	FUN_004528-T1	AH020424-RA
OG0005580	FUN_012431-T2, FUN_012431-T1, FUN_035259-T1	AH015019-RA, AH021512-RA
OG0005581	FUN_028147-T1	AH014589-RA
OG0005582	FUN_008982-T1, FUN_008982-T2	AH012036-RA
OG0005583	FUN_025195-T1	AH022249-RA, AH013486-RA
OG0005584	FUN_022835-T2, FUN_022835-T3, FUN_022835-T1, FUN_013901-T1	AH012413-RA, AH012412-RA
OG0005585	FUN_040734-T2, FUN_040734-T1, FUN_040734-T3	AH003151-RA, AH018697-RA
OG0005586	FUN_005003-T1, FUN_005001-T2, FUN_005001-T1	AH023331-RA, AH023325-RA, AH023330-RA
OG0005587	FUN_034875-T1	AH021333-RA, AH014751-RA
OG0005588	FUN_052432-T1	AH011211-RA, AH011209-RA
OG0005589	FUN_023543-T1	AH019254-RA
OG0005590	FUN_004459-T2, FUN_004459-T3, FUN_004459-T1, FUN_004458-T1, FUN_032688-T1	AH020446-RA, AH006680-RA
OG0005591	FUN_025686-T1	AH019003-RA
OG0005592	FUN_024098-T2, FUN_024098-T1	AH013445-RA, AH022299-RA
OG0005593	FUN_040046-T1	AH011398-RA
OG0005594	FUN_005078-T1, FUN_005078-T2	AH023360-RA
OG0005595	FUN_050243-T1	AH022250-RA
OG0005596	FUN_040627-T1, FUN_018627-T1, FUN_036579-T1	AH018738-RA
OG0005597	FUN_026856-T1, FUN_034040-T1	AH014380-RA, AH020993-RA
OG0005598	FUN_040096-T1	AH003190-RA, AH018602-RA
OG0005599	FUN_039987-T1, FUN_039987-T2	AH011344-RA
OG0005600	FUN_016705-T1	AH022837-RA
OG0005601	FUN_019257-T1, FUN_040055-T1, FUN_040055-T2	AH018209-RA, AH011388-RA
OG0005603	FUN_026302-T1, FUN_026302-T2	AH014171-RA
OG0005604	FUN_032212-T1, FUN_006042-T1, FUN_006042-T2	AH016021-RA
OG0005605	FUN_042395-T1, FUN_015856-T1	AH000358-RA, AH001517-RA
OG0005607	FUN_021089-T1	AH019228-RA
OG0005608	FUN_053307-T1	AH021897-RA
OG0005609	FUN_032084-T1	AH002126-RA
OG0005610	FUN_026122-T1	AH014017-RA
OG0005611	FUN_047350-T1	AH001501-RA, AH001499-RA
OG0005612	FUN_031635-T1	AH012933-RA, AH004208-RA
OG0005613	FUN_039771-T2, FUN_039771-T1	AH016832-RA
OG0005614	FUN_018041-T1, FUN_041929-T1	AH003068-RA, AH018799-RA
OG0005615	FUN_047856-T1, FUN_047856-T2	AH009317-RA
OG0005616	FUN_015536-T2, FUN_015536-T1	AH000103-RA
OG0005617	FUN_012851-T1, FUN_012851-T2	AH008226-RA
OG0005618	FUN_046443-T1	AH013051-RA
OG0005619	FUN_027557-T1, FUN_027557-T2	AH002880-RA, AH001143-RA
OG0005620	FUN_049340-T1	AH013165-RA
OG0005621	FUN_033959-T1, FUN_004415-T1	AH020481-RA, AH006646-RA, AH006647-RA
OG0005622	FUN_011567-T1	AH012686-RA, AH021865-RA
OG0005623	FUN_001654-T1	AH021267-RA
OG0005624	FUN_020725-T1	AH006290-RA
OG0005624	FUN_014306-T1	AH011827-RA
OG0005625	FUN_004065-T2, FUN_004065-T4, FUN_004065-T3, FUN_004065-T1	AH021705-RA
OG0005626	FUN_040261-T2, FUN_040261-T1	AH020413-RA, AH019110-RA
OG0005627	FUN_013128-T1	AH020671-RA
OG0005628	FUN_014148-T1, FUN_000762-T1, FUN_024150-T1, FUN_015492-T1	AH015766-RA
OG0005629	FUN_030032-T4, FUN_030032-T1, FUN_030032-T2	AH016464-RA, AH022955-RA
OG0005630	FUN_020277-T2, FUN_020277-T1, FUN_038972-T1	AH012552-RA, AH021770-RA
OG0005631	FUN_046363-T1	AH009780-RA
OG0005632	FUN_008647-T1	AH015122-RA
OG0005633	FUN_006662-T1	AH022704-RA
OG0005634	FUN_027293-T1, FUN_027293-T2	AH000176-RA, AH001248-RA
OG0005635	FUN_041417-T1, FUN_042456-T1	AH021270-RA, AH014685-RA
OG0005636	FUN_003986-T2, FUN_003986-T1	AH012501-RA, AH021740-RA
OG0005637	FUN_007517-T1	AH001828-RA
OG0005638	FUN_035721-T1, FUN_033758-T1, FUN_033758-T4	AH010591-RA
OG0005639	FUN_049070-T2	AH022672-RA, AH011514-RA, AH011516-RA, AH011515-RA
OG0005640	FUN_035771-T1	AH021461-RA
OG0005641	FUN_028144-T1, FUN_028144-T2	AH000340-RA
OG0005642	FUN_008189-T1	AH019084-RA
OG0005643	FUN_027914-T1	AH019097-RA
OG0005644	FUN_039291-T1, FUN_039291-T2, FUN_039291-T3	AH001929-RA
OG0005645	FUN_004552-T1	AH000757-RA, AH006979-RA
OG0005646	FUN_036490-T1	AH003093-RA
OG0005647	FUN_025035-T1	AH012770-RA, AH022002-RA, AH013127-RA
OG0005648	FUN_042790-T2, FUN_042790-T1, FUN_042790-T3	AH012821-RA
OG0005649	FUN_030124-T1	AH022991-RA
OG0005650	FUN_049957-T1	AH013272-RA
OG0005651	FUN_019100-T2, FUN_019100-T3, FUN_019100-T1	AH016386-RA
OG0005651	FUN_008800-T1	AH011944-RA
OG0005652	FUN_036738-T1	AH015282-RA
OG0005653	FUN_018167-T1	AH017066-RA
OG0005654	FUN_032649-T1, FUN_032649-T2	AH010068-RA
OG0005655	FUN_002078-T2, FUN_002078-T3, FUN_002078-T1	AH007917-RA
OG0005656	FUN_019109-T2, FUN_019109-T1, FUN_030337-T3, FUN_030337-T2, FUN_030337-T1	AH016381-RA
OG0005657	FUN_008104-T1	AH018881-RA
OG0005657	FUN_017486-T1	AH010668-RA
OG0005659	FUN_042568-T1	AH008280-RA
OG0005660	FUN_045820-T2, FUN_045820-T1	AH008079-RA
OG0005661	FUN_052624-T1, FUN_052624-T4, FUN_052624-T2, FUN_052624-T3	AH011065-RA
OG0005662	FUN_036414-T1	AH010986-RA
OG0005663	FUN_036282-T1	AH007499-RA
OG0005664	FUN_035698-T1	AH010882-RA
OG0005665	FUN_027475-T1	AH000225-RA
OG0005667	FUN_001774-T1	AH001731-RA
OG0005668	FUN_016727-T1	AH022833-RA, AH016551-RA
OG0005669	FUN_045502-T1, FUN_011194-T1	AH017503-RA, AH002884-RA
OG0005670	FUN_012955-T1	AH004210-RA, AH005301-RA
OG0005671	FUN_047615-T1	AH007965-RA
OG0005672	FUN_001658-T1	AH014671-RA
OG0005673	FUN_027553-T2, FUN_027553-T3, FUN_027553-T1	AH016639-RA
OG0005674	FUN_046154-T1	AH009894-RA
OG0005674	FUN_016797-T1, FUN_016797-T2	AH022810-RA
OG0005676	FUN_004472-T1	AH006698-RA
OG0005677	FUN_010916-T1, FUN_010916-T2	AH015843-RA
OG0005678	FUN_036202-T1	AH011140-RA
OG0005679	FUN_052803-T2, FUN_052803-T1	AH006150-RA
OG0005679	FUN_047201-T1, FUN_051737-T1	AH001650-RA
OG0005680	FUN_032090-T1, FUN_032090-T2	AH004861-RA, AH004454-RA
OG0005681	FUN_013121-T1	AH003873-RA
OG0005682	FUN_017490-T1	AH000734-RA, AH002368-RA
OG0005683	FUN_036945-T1	AH000124-RA
OG0005684	FUN_029044-T2, FUN_029044-T1	AH015856-RA
OG0005685	FUN_001492-T2, FUN_001492-T1	AH008617-RA
OG0005686	FUN_009359-T1	AH005274-RA
OG0005687	FUN_036671-T4, FUN_036671-T1, FUN_036671-T2, FUN_036671-T3	AH000833-RA
OG0005688	FUN_020391-T1, FUN_020391-T2	AH004256-RA
OG0005689	FUN_030683-T1, FUN_009477-T1	AH003830-RA
OG0005690	FUN_022070-T1	AH012339-RA
OG0005691	FUN_051355-T1	AH007230-RA
OG0005691	FUN_015168-T1, FUN_015168-T2	AH019906-RA
OG0005692	FUN_016204-T1, FUN_016211-T1	AH002138-RA
OG0005692	FUN_036624-T1, FUN_016210-T1	AH002139-RA
OG0005693	FUN_025365-T4, FUN_025365-T2, FUN_025365-T3, FUN_025365-T1	AH004499-RA
OG0005694	FUN_028955-T1	AH004301-RA
OG0005694	FUN_003872-T1, FUN_003872-T2, FUN_003872-T4, FUN_003872-T3	AH004968-RA
OG0005695	FUN_044206-T1, FUN_038638-T1, FUN_038638-T2, FUN_038638-T3, FUN_038638-T5, FUN_038638-T4	AH008894-RA
OG0005696	FUN_037411-T2, FUN_037411-T1	AH019614-RA
OG0005697	FUN_002474-T1	AH010587-RA
OG0005698	FUN_030731-T1	AH023691-RA
OG0005699	FUN_010556-T1	AH017847-RA
OG0005699	FUN_014495-T1	AH022097-RA, AH012956-RA
OG0005700	FUN_031950-T1	AH004514-RA, AH004932-RA
OG0005700	FUN_042087-T1	AH018884-RA
OG0005701	FUN_027040-T1	AH003356-RA, AH006398-RA
OG0005702	FUN_030014-T1	AH022951-RA, AH016470-RA
OG0005703	FUN_017465-T1, FUN_017465-T2, FUN_041492-T1, FUN_041492-T2	AH019187-RA, AH019185-RA, AH018345-RA, AH019186-RA
OG0005704	FUN_033134-T4, FUN_033134-T1	AH007002-RA
OG0005704	FUN_033134-T2	AH007968-RA
OG0005705	FUN_041209-T2, FUN_041209-T1	AH018179-RA
OG0005706	FUN_037896-T1	AH009015-RA
OG0005707	FUN_035841-T1, FUN_033901-T1	AH017239-RA
OG0005708	FUN_026926-T2, FUN_026926-T1	AH008450-RA
OG0005709	FUN_004366-T1	AH003518-RA
OG0005710	FUN_031706-T1	AH001108-RA
OG0005710	FUN_004877-T2, FUN_004877-T1, FUN_004876-T1	AH005137-RA
OG0005711	FUN_031902-T1	AH004550-RA, AH005176-RA
OG0005712	FUN_048216-T1, FUN_037514-T1	AH009519-RA
OG0005712	FUN_026077-T1, FUN_013624-T1	AH011945-RA
OG0005713	FUN_004215-T1	AH006474-RA, AH006476-RA
OG0005714	FUN_002428-T1, FUN_002428-T2	AH010548-RA
OG0005715	FUN_025580-T1, FUN_025580-T2	AH003770-RA
OG0005716	FUN_047083-T2, FUN_047083-T1, FUN_011315-T1	AH002936-RA, AH017413-RA
OG0005718	FUN_017008-T2, FUN_017008-T1, FUN_017008-T3, FUN_029592-T1, FUN_029592-T2	AH005999-RA
OG0005719	FUN_018271-T1, FUN_041097-T1	AH018061-RA, AH011307-RA
OG0005720	FUN_027882-T1	AH006743-RA, AH015220-RA
OG0005721	FUN_025735-T1, FUN_025735-T2	AH016788-RA
OG0005722	FUN_024635-T1, FUN_024636-T1, FUN_024634-T1	AH011061-RA, AH007510-RA
OG0005723	FUN_002221-T1	AH004156-RA, AH004156-RB, AH005342-RA
OG0005724	FUN_024921-T3, FUN_024921-T4, FUN_024921-T2, FUN_024921-T1, FUN_043664-T2, FUN_043664-T1	AH013007-RA, AH021903-RA
OG0005725	FUN_027458-T2, FUN_027458-T1	AH000164-RA
OG0005726	FUN_019215-T2, FUN_019215-T1	AH006101-RA
OG0005727	FUN_017985-T1, FUN_017985-T2	AH018777-RA
OG0005728	FUN_007555-T1, FUN_007554-T1, FUN_007554-T2	AH006995-RA
OG0005729	FUN_003942-T1, FUN_003942-T2, FUN_003942-T3	AH005611-RA
OG0005730	FUN_040035-T1	AH018298-RA
OG0005731	FUN_038026-T1	AH008818-RA
OG0005732	FUN_003054-T1	AH015601-RA
OG0005733	FUN_002261-T2, FUN_002261-T1	AH001816-RA, AH000567-RA
OG0005735	FUN_042674-T1	AH008394-RA
OG0005736	FUN_011583-T1, FUN_050825-T1	AH017769-RA, AH002612-RA
OG0005737	FUN_025636-T1	AH023746-RA
OG0005738	FUN_024832-T1, FUN_024832-T4, FUN_024832-T3, FUN_024832-T2	AH022046-RA
OG0005740	FUN_036056-T1, FUN_052384-T1	AH007404-RA
OG0005742	FUN_004153-T1	AH023260-RA
OG0005743	FUN_025875-T1, FUN_023381-T1, FUN_032586-T1	AH004375-RA, AH005045-RA
OG0005744	FUN_053176-T1	AH016599-RA
OG0005745	FUN_025408-T1	AH022767-RA, AH016594-RA
OG0005746	FUN_032159-T1, FUN_032161-T1, FUN_009289-T1	AH004441-RA
OG0005747	FUN_017639-T1, FUN_017639-T2	AH018421-RA
OG0005748	FUN_045446-T1	AH019986-RA
OG0005749	FUN_049490-T3, FUN_049490-T2, FUN_049490-T1	AH009383-RA
OG0005750	FUN_009159-T1	AH004732-RA
OG0005751	FUN_023019-T1, FUN_023019-T4, FUN_023019-T3, FUN_023019-T2	AH004676-RA
OG0005752	FUN_049515-T1	AH009371-RA
OG0005753	FUN_041471-T1, FUN_017433-T1	AH018333-RA
OG0005754	FUN_011830-T1	AH007901-RA
OG0005755	FUN_034146-T1	AH000015-RA
OG0005756	FUN_009163-T1, FUN_032320-T1	AH004631-RA, AH004746-RA, AH004747-RA
OG0005757	FUN_029942-T1, FUN_047097-T1	AH004076-RA
OG0005758	FUN_026988-T1	AH019077-RA
OG0005759	FUN_017927-T1	AH003250-RA
OG0005760	FUN_047559-T2, FUN_047559-T1	AH002809-RA
OG0005761	FUN_025482-T1	AH015840-RA
OG0005761	FUN_045505-T1	AH002886-RA, AH017501-RA
OG0005762	FUN_033831-T1, FUN_023525-T1	AH005534-RA, AH004031-RA
OG0005763	FUN_022465-T1	AH007847-RA, AH010701-RA
OG0005764	FUN_011464-T2, FUN_011464-T1, FUN_011464-T3	AH017237-RA
OG0005765	FUN_033607-T1	AH004064-RA
OG0005766	FUN_032434-T1, FUN_023096-T2, FUN_023096-T1	AH004688-RA
OG0005767	FUN_045510-T1	AH017495-RA
OG0005767	FUN_011209-T1	AH017493-RA
OG0005768	FUN_012745-T1	AH012162-RA
OG0005769	FUN_045355-T3, FUN_045355-T2, FUN_045355-T1	AH002855-RA
OG0005771	FUN_046850-T3, FUN_046850-T2, FUN_046850-T1	AH003002-RA
OG0005772	FUN_047557-T1	AH002807-RA
OG0005773	FUN_034148-T3, FUN_034148-T2, FUN_034148-T1	AH001036-RA
OG0005774	FUN_033305-T1	AH004167-RA, AH005339-RA
OG0005775	FUN_047496-T2, FUN_047496-T1	AH002762-RA
OG0005776	FUN_041546-T1	AH011493-RA
OG0005778	FUN_017374-T1	AH018230-RA
OG0005779	FUN_010938-T1	AH002757-RA, AH017323-RA
OG0005780	FUN_017283-T1, FUN_041256-T1	AH011408-RA, AH018275-RA
OG0005781	FUN_011657-T1	AH019074-RA
OG0005782	FUN_047373-T1	AH002502-RA
OG0005783	FUN_009114-T1, FUN_032348-T1	AH004637-RA, AH004713-RA
OG0005784	FUN_031649-T1	AH015835-RA
OG0005785	FUN_020628-T1	AH006385-RA
OG0005786	FUN_029131-T1	AH015816-RA
OG0005787	FUN_031597-T1, FUN_031597-T2, FUN_014730-T2, FUN_014730-T1	AH011632-RA
OG0005788	FUN_023875-T3, FUN_023875-T2, FUN_023875-T1	AH004059-RA
OG0005789	FUN_004541-T1	AH020434-RA
OG0005790	FUN_034141-T1	AH000013-RA
OG0005791	FUN_039485-T1, FUN_039485-T2	AH017324-RA, AH017325-RA
OG0005792	FUN_040411-T1	AH021219-RA
OG0005792	FUN_007538-T1	AH007830-RA
OG0005793	FUN_052725-T1	AH000372-RA
OG0005794	FUN_029257-T1	AH023196-RA
OG0005795	FUN_007856-T2, FUN_007856-T1, FUN_026262-T1	AH014064-RA, AH020769-RA
OG0005796	FUN_010450-T1, FUN_046806-T1	AH021108-RA, AH017204-RA
OG0005796	FUN_010448-T1, FUN_010449-T1	AH017205-RA
OG0005797	FUN_034452-T1	AH003323-RA
OG0005797	FUN_010329-T1	AH017713-RA
OG0005798	FUN_011684-T1	AH010285-RA, AH007951-RA
OG0005799	FUN_049585-T1	AH009072-RA
OG0005800	FUN_032678-T1	AH005571-RA, AH004000-RA
OG0005824	FUN_044972-T1, FUN_008779-T1	AH011927-RA
OG0005825	FUN_014550-T2, FUN_014550-T1, FUN_020771-T1	AH016628-RA
OG0005826	FUN_036408-T1	AH019054-RA
OG0005827	FUN_045846-T1, FUN_036029-T1, FUN_045845-T1	AH007389-RA
OG0005828	FUN_052761-T1, FUN_052685-T1	AH000229-RA
OG0005829	FUN_051425-T1, FUN_051433-T1, FUN_051427-T1, FUN_051429-T1	AH010459-RA, AH007555-RA, AH010457-RA, AH010371-RA
