Orthogroup	P_amilis.proteins	L_sativa.proteins
OG0006534	FUN_040585-T1, FUN_015434-T1	Lsat_1_v5_gn_2_129361.3, Lsat_1_v5_gn_8_9421.1
OG0006535	FUN_049653-T1	Lsat_1_v5_gn_4_43461.2, Lsat_1_v5_gn_4_43461.1, Lsat_1_v5_gn_4_43461.3, Lsat_1_v5_gn_7_9680.3, Lsat_1_v5_gn_7_9680.1
OG0006536	FUN_006600-T1	Lsat_1_v5_gn_8_9401.1, Lsat_1_v5_gn_8_9401.3
OG0006537	FUN_026392-T1, FUN_006283-T1	Lsat_1_v5_gn_5_130241.1, Lsat_1_v5_gn_5_130241.2
OG0006538	FUN_019001-T4, FUN_019001-T3, FUN_019001-T2, FUN_019001-T1	Lsat_1_v5_gn_5_178381.1, Lsat_1_v5_gn_5_178381.4
OG0006539	FUN_026665-T2, FUN_026665-T1	Lsat_1_v5_gn_7_39841.3, Lsat_1_v5_gn_7_39841.1, Lsat_1_v5_gn_5_144920.3, Lsat_1_v5_gn_5_144920.1, Lsat_1_v5_gn_5_144920.2
OG0006540	FUN_040478-T1	Lsat_1_v5_gn_2_99540.1
OG0006540	FUN_009177-T1	Lsat_1_v5_gn_2_106641.3, Lsat_1_v5_gn_2_106641.1
OG0006541	FUN_039818-T1	Lsat_1_v5_gn_9_69940.1, Lsat_1_v5_gn_9_69940.2
OG0006542	FUN_015638-T2, FUN_015638-T1	Lsat_1_v5_gn_6_42160.1, Lsat_1_v5_gn_6_42160.2
OG0006543	FUN_049284-T1	Lsat_1_v5_gn_9_22360.2, Lsat_1_v5_gn_9_22360.1, Lsat_1_v5_gn_8_77921.1
OG0006544	FUN_014758-T1	Lsat_1_v5_gn_7_37701.1
OG0006545	FUN_024553-T1	Lsat_1_v5_gn_2_60941.1, Lsat_1_v5_gn_8_117920.1, Lsat_1_v5_gn_8_117920.2
OG0006546	FUN_001640-T1	Lsat_1_v5_gn_5_36560.1, Lsat_1_v5_gn_5_36560.2
OG0006547	FUN_034016-T1, FUN_003596-T1, FUN_003597-T1	Lsat_1_v5_gn_8_85260.1
OG0006548	FUN_020379-T1	Lsat_1_v5_gn_8_80661.1
OG0006549	FUN_032819-T1	Lsat_1_v5_gn_9_30600.3, Lsat_1_v5_gn_9_30600.2, Lsat_1_v5_gn_9_30600.1
OG0006550	FUN_048886-T2, FUN_048886-T3, FUN_048886-T1, FUN_048886-T5, FUN_048886-T4	Lsat_1_v5_gn_2_35701.1, Lsat_1_v5_gn_2_35701.2
OG0006551	FUN_029118-T1	Lsat_1_v5_gn_7_97041.1
OG0006552	FUN_035097-T1, FUN_035097-T4, FUN_035097-T3, FUN_035097-T2	Lsat_1_v5_gn_4_61541.2, Lsat_1_v5_gn_4_61541.1
OG0006553	FUN_002090-T1	Lsat_1_v5_gn_0_7340.1, Lsat_1_v5_gn_4_48181.2
OG0006554	FUN_028722-T1	Lsat_1_v5_gn_7_50060.1, Lsat_1_v5_gn_8_63740.1, Lsat_1_v5_gn_8_63740.2
OG0006555	FUN_042828-T3, FUN_042828-T2, FUN_042828-T4, FUN_042828-T1	Lsat_1_v5_gn_2_107601.2, Lsat_1_v5_gn_2_107601.1
OG0006556	FUN_000901-T1	Lsat_1_v5_gn_2_115481.3, Lsat_1_v5_gn_2_115481.1, Lsat_1_v5_gn_8_21240.2, Lsat_1_v5_gn_8_21240.1
OG0006557	FUN_046408-T1	Lsat_1_v5_gn_7_114160.1
OG0006558	FUN_032791-T1, FUN_053293-T1	Lsat_1_v5_gn_7_116460.3, Lsat_1_v5_gn_7_116460.1
OG0006559	FUN_039933-T1	Lsat_1_v5_gn_1_56161.1
OG0006560	FUN_045534-T1, FUN_011237-T1	Lsat_1_v5_gn_5_23660.3, Lsat_1_v5_gn_5_23660.1, Lsat_1_v5_gn_5_23660.4
OG0006561	FUN_026751-T1	Lsat_1_v5_gn_6_43460.1
OG0006562	FUN_047088-T1	Lsat_1_v5_gn_5_108061.1, Lsat_1_v5_gn_5_108061.3
OG0006563	FUN_014607-T2, FUN_014607-T3, FUN_014607-T1	Lsat_1_v5_gn_2_109921.2, Lsat_1_v5_gn_2_109921.1
OG0006564	FUN_003983-T1, FUN_020302-T2, FUN_020302-T1	Lsat_1_v5_gn_8_118661.2, Lsat_1_v5_gn_8_118661.1, Lsat_1_v5_gn_9_38121.1
OG0006565	FUN_020073-T1	Lsat_1_v5_gn_2_34521.2, Lsat_1_v5_gn_2_34521.3, Lsat_1_v5_gn_2_34521.1
OG0006566	FUN_014487-T1	Lsat_1_v5_gn_9_120400.1, Lsat_1_v5_gn_7_76100.1, Lsat_1_v5_gn_7_76100.2
OG0006567	FUN_011724-T1, FUN_011724-T2	Lsat_1_v5_gn_7_116141.1
OG0006568	FUN_047061-T1, FUN_011330-T1	Lsat_1_v5_gn_4_84501.1, Lsat_1_v5_gn_4_84501.2, Lsat_1_v5_gn_5_10121.1
OG0006569	FUN_046689-T2, FUN_046689-T1	Lsat_1_v5_gn_5_127380.1, Lsat_1_v5_gn_5_127380.2, Lsat_1_v5_gn_7_103340.1
OG0006570	FUN_025222-T1	Lsat_1_v5_gn_5_175961.1, Lsat_1_v5_gn_9_15641.1
OG0006571	FUN_026114-T1, FUN_026115-T1, FUN_015659-T1, FUN_026116-T1	Lsat_1_v5_gn_6_96180.1, Lsat_1_v5_gn_6_96180.2
OG0006572	FUN_031694-T1	Lsat_1_v5_gn_8_159361.1, Lsat_1_v5_gn_8_159361.3
OG0006573	FUN_028733-T1, FUN_030255-T1	Lsat_1_v5_gn_2_99521.3, Lsat_1_v5_gn_2_99521.1
OG0006574	FUN_036176-T1, FUN_036176-T2	Lsat_1_v5_gn_9_108940.2, Lsat_1_v5_gn_9_108940.3, Lsat_1_v5_gn_9_108940.1
OG0006575	FUN_009643-T1	Lsat_1_v5_gn_8_75741.1, Lsat_1_v5_gn_8_75741.3
OG0006576	FUN_039773-T1	Lsat_1_v5_gn_5_154881.3, Lsat_1_v5_gn_5_154881.1
OG0006577	FUN_014672-T1	Lsat_1_v5_gn_2_114381.1
OG0006578	FUN_014630-T1, FUN_012917-T1, FUN_012918-T1, FUN_031879-T1	Lsat_1_v5_gn_5_90640.1
OG0006579	FUN_030332-T1	Lsat_1_v5_gn_5_36980.2, Lsat_1_v5_gn_5_36980.1
OG0006580	FUN_047735-T1	Lsat_1_v5_gn_5_177860.1, Lsat_1_v5_gn_5_177840.1
OG0006581	FUN_004422-T2, FUN_004422-T1, FUN_033956-T2, FUN_033956-T5, FUN_033956-T4, FUN_033956-T1, FUN_033956-T3	Lsat_1_v5_gn_7_68120.1, Lsat_1_v5_gn_7_68120.2
OG0006582	FUN_038986-T1	Lsat_1_v5_gn_2_54741.3, Lsat_1_v5_gn_2_54741.1
OG0006583	FUN_027392-T1	Lsat_1_v5_gn_2_38521.1, Lsat_1_v5_gn_2_38521.3
OG0006584	FUN_037519-T1	Lsat_1_v5_gn_8_78740.1
OG0006585	FUN_049093-T1	Lsat_1_v5_gn_5_171020.1, Lsat_1_v5_gn_8_72140.1
OG0006586	FUN_042093-T1	Lsat_1_v5_gn_6_34681.1
OG0006588	FUN_041843-T1	Lsat_1_v5_gn_9_20000.1, Lsat_1_v5_gn_9_20000.3
OG0006589	FUN_005679-T2, FUN_005679-T1	Lsat_1_v5_gn_2_52420.2, Lsat_1_v5_gn_2_52420.1, Lsat_1_v5_gn_6_52980.1
OG0006590	FUN_040775-T1	Lsat_1_v5_gn_2_129661.1, Lsat_1_v5_gn_9_62281.2, Lsat_1_v5_gn_9_62281.1, Lsat_1_v5_gn_9_62341.1
OG0006590	FUN_030385-T1, FUN_019090-T1	Lsat_1_v5_gn_2_124020.1
OG0006591	FUN_008053-T1, FUN_041993-T1	Lsat_1_v5_gn_5_173280.1, Lsat_1_v5_gn_5_173280.2
OG0006592	FUN_039325-T1	Lsat_1_v5_gn_7_110680.1
OG0006593	FUN_019025-T1	Lsat_1_v5_gn_4_29400.1
OG0006594	FUN_049067-T1, FUN_035944-T3, FUN_035944-T1, FUN_035944-T2	Lsat_1_v5_gn_8_71240.1
OG0006595	FUN_048017-T1	Lsat_1_v5_gn_8_72241.3, Lsat_1_v5_gn_8_72241.1
OG0006596	FUN_042055-T2, FUN_042055-T1	Lsat_1_v5_gn_2_54440.1, Lsat_1_v5_gn_2_54440.3
OG0006597	FUN_007641-T1	Lsat_1_v5_gn_9_18361.1
OG0006598	FUN_008687-T1, FUN_008687-T2	Lsat_1_v5_gn_1_41861.1
OG0006599	FUN_044506-T1	Lsat_1_v5_gn_9_71060.3, Lsat_1_v5_gn_9_71060.1
OG0006601	FUN_002068-T2, FUN_002068-T1, FUN_002068-T3	Lsat_1_v5_gn_2_102920.1, Lsat_1_v5_gn_2_102920.2
OG0006602	FUN_014254-T1	Lsat_1_v5_gn_6_113040.2, Lsat_1_v5_gn_6_113040.1, Lsat_1_v5_gn_1_58161.1, Lsat_1_v5_gn_1_58161.3
OG0006603	FUN_012175-T1	Lsat_1_v5_gn_5_121740.1
OG0006604	FUN_045904-T1	Lsat_1_v5_gn_5_166481.2, Lsat_1_v5_gn_5_166481.1
OG0006605	FUN_039261-T1	Lsat_1_v5_gn_5_44941.1, Lsat_1_v5_gn_5_44941.3
OG0006606	FUN_036329-T1, FUN_036329-T2, FUN_036329-T4, FUN_036329-T3	Lsat_1_v5_gn_5_65341.1, Lsat_1_v5_gn_5_65341.2
OG0006607	FUN_039064-T1, FUN_026124-T1	Lsat_1_v5_gn_8_77361.1, Lsat_1_v5_gn_9_20601.1, Lsat_1_v5_gn_5_164981.1
OG0006610	FUN_027406-T1, FUN_027406-T2	Lsat_1_v5_gn_4_65361.1, Lsat_1_v5_gn_7_98980.1
OG0006611	FUN_029265-T1	Lsat_1_v5_gn_8_13561.1, Lsat_1_v5_gn_2_125300.1, Lsat_1_v5_gn_2_125300.3
OG0006612	FUN_029856-T1	Lsat_1_v5_gn_3_79681.1
OG0006613	FUN_040513-T1	Lsat_1_v5_gn_8_83700.1
OG0006614	FUN_009716-T1	Lsat_1_v5_gn_9_24720.3, Lsat_1_v5_gn_9_24720.1
OG0006615	FUN_039878-T1	Lsat_1_v5_gn_4_177141.1, Lsat_1_v5_gn_5_154461.1
OG0006616	FUN_047073-T1, FUN_011316-T1	Lsat_1_v5_gn_1_30120.1, Lsat_1_v5_gn_4_84280.1
OG0006617	FUN_052777-T1, FUN_017990-T2, FUN_017990-T3, FUN_017990-T1	Lsat_1_v5_gn_4_82541.1
OG0006618	FUN_040820-T1, FUN_040820-T3, FUN_040820-T2	Lsat_1_v5_gn_6_87160.1, Lsat_1_v5_gn_6_87160.2
OG0006619	FUN_032600-T1	Lsat_1_v5_gn_1_9001.3, Lsat_1_v5_gn_1_9001.1, Lsat_1_v5_gn_1_7361.1, Lsat_1_v5_gn_1_7361.2, Lsat_1_v5_gn_1_7301.3, Lsat_1_v5_gn_1_7301.1
OG0006620	FUN_035658-T1	Lsat_1_v5_gn_3_28040.1
OG0006621	FUN_008624-T2, FUN_008624-T1	Lsat_1_v5_gn_4_43240.3, Lsat_1_v5_gn_4_43240.2, Lsat_1_v5_gn_4_43240.1
OG0006622	FUN_032296-T1, FUN_032296-T2, FUN_036103-T1	Lsat_1_v5_gn_6_16801.2, Lsat_1_v5_gn_6_16801.3, Lsat_1_v5_gn_6_16801.1
OG0006623	FUN_031097-T1, FUN_031097-T2	Lsat_1_v5_gn_2_76041.1, Lsat_1_v5_gn_2_76041.3
OG0006624	FUN_048402-T2, FUN_048402-T1, FUN_037798-T1	Lsat_1_v5_gn_6_110641.1
OG0006625	FUN_004369-T1, FUN_004369-T2	Lsat_1_v5_gn_2_66680.2, Lsat_1_v5_gn_2_66680.1
OG0006626	FUN_013701-T1	Lsat_1_v5_gn_2_135821.3, Lsat_1_v5_gn_2_135821.1, Lsat_1_v5_gn_8_4981.1
OG0006627	FUN_041100-T2, FUN_041100-T1	Lsat_1_v5_gn_6_11921.1
OG0006628	FUN_040490-T1	Lsat_1_v5_gn_5_71940.1, Lsat_1_v5_gn_3_122300.1
OG0006629	FUN_046940-T1	Lsat_1_v5_gn_1_33020.3, Lsat_1_v5_gn_1_33020.2, Lsat_1_v5_gn_1_33020.1
OG0006630	FUN_026805-T2, FUN_026805-T3, FUN_026805-T1	Lsat_1_v5_gn_6_14820.1, Lsat_1_v5_gn_6_14820.2
OG0006631	FUN_048354-T1, FUN_037692-T1	Lsat_1_v5_gn_4_135821.2, Lsat_1_v5_gn_4_135821.1
OG0006632	FUN_001137-T1	Lsat_1_v5_gn_4_1681.1
OG0006633	FUN_020630-T1	Lsat_1_v5_gn_2_94301.1, Lsat_1_v5_gn_2_94301.3
OG0006634	FUN_019022-T1, FUN_051341-T1	Lsat_1_v5_gn_2_87221.1, Lsat_1_v5_gn_4_179201.1
OG0006635	FUN_053193-T1, FUN_053193-T2	Lsat_1_v5_gn_8_151441.1
OG0006636	FUN_048340-T1, FUN_037641-T1	Lsat_1_v5_gn_1_25881.3, Lsat_1_v5_gn_1_25881.2, Lsat_1_v5_gn_1_25881.1
OG0006637	FUN_010226-T1, FUN_010226-T2	Lsat_1_v5_gn_6_99680.1
OG0006638	FUN_043956-T1, FUN_043956-T2	Lsat_1_v5_gn_2_5220.3, Lsat_1_v5_gn_2_5220.2, Lsat_1_v5_gn_3_16701.1, Lsat_1_v5_gn_2_5220.1, Lsat_1_v5_gn_2_5220.6, Lsat_1_v5_gn_2_5220.5
OG0006639	FUN_031313-T1, FUN_031935-T1	Lsat_1_v5_gn_0_30021.1, Lsat_1_v5_gn_0_30021.3, Lsat_1_v5_gn_2_94100.3, Lsat_1_v5_gn_2_94100.1
OG0006640	FUN_043949-T1, FUN_043948-T1, FUN_043946-T1, FUN_045136-T1	Lsat_1_v5_gn_2_135521.1
OG0006642	FUN_050763-T1, FUN_051645-T2, FUN_051645-T1	Lsat_1_v5_gn_4_67521.1, Lsat_1_v5_gn_8_127140.1, Lsat_1_v5_gn_8_127140.2, Lsat_1_v5_gn_8_127140.3
OG0006643	FUN_011823-T1, FUN_011823-T2	Lsat_1_v5_gn_2_67580.1, Lsat_1_v5_gn_2_67580.2
OG0006644	FUN_002748-T1	Lsat_1_v5_gn_5_169980.1, Lsat_1_v5_gn_9_3581.1, Lsat_1_v5_gn_9_3581.2, Lsat_1_v5_gn_9_3581.3
OG0006645	FUN_022359-T1	Lsat_1_v5_gn_3_125361.1
OG0006646	FUN_051622-T1	Lsat_1_v5_gn_9_46781.1, Lsat_1_v5_gn_9_46781.3
OG0006647	FUN_002168-T1, FUN_050693-T1	Lsat_1_v5_gn_4_67320.3, Lsat_1_v5_gn_4_67320.1
OG0006648	FUN_049215-T1	Lsat_1_v5_gn_4_36480.1, Lsat_1_v5_gn_4_36480.2
OG0006649	FUN_024782-T1, FUN_042974-T1	Lsat_1_v5_gn_9_5920.1, Lsat_1_v5_gn_8_163780.2, Lsat_1_v5_gn_8_163780.1
OG0006650	FUN_048104-T1, FUN_037338-T1	Lsat_1_v5_gn_7_1500.1, Lsat_1_v5_gn_7_30240.2
OG0006651	FUN_041130-T1, FUN_041130-T2, FUN_018309-T1	Lsat_1_v5_gn_3_10401.1, Lsat_1_v5_gn_3_10401.3, Lsat_1_v5_gn_6_12221.1, Lsat_1_v5_gn_6_12221.3
OG0006652	FUN_037020-T1	Lsat_1_v5_gn_9_118301.1
OG0006653	FUN_010442-T1, FUN_046797-T1, FUN_046798-T1	Lsat_1_v5_gn_4_14441.3, Lsat_1_v5_gn_4_14441.1
OG0006654	FUN_015020-T2, FUN_015020-T1, FUN_040350-T2, FUN_040350-T1	Lsat_1_v5_gn_6_68581.1, Lsat_1_v5_gn_6_68581.3
OG0006655	FUN_031762-T1	Lsat_1_v5_gn_4_84620.1, Lsat_1_v5_gn_4_1580.1
OG0006656	FUN_052444-T2, FUN_052444-T1	Lsat_1_v5_gn_8_2981.3, Lsat_1_v5_gn_8_2981.1
OG0006657	FUN_030222-T2, FUN_030222-T1	Lsat_1_v5_gn_2_76601.1, Lsat_1_v5_gn_2_76601.2
OG0006658	FUN_019274-T2, FUN_019274-T1, FUN_019274-T3	Lsat_1_v5_gn_6_18021.2, Lsat_1_v5_gn_6_18021.1
OG0006659	FUN_031255-T2, FUN_031255-T1	Lsat_1_v5_gn_4_177820.1, Lsat_1_v5_gn_4_177820.3
OG0006660	FUN_011366-T1, FUN_047035-T2, FUN_047035-T1	Lsat_1_v5_gn_4_185120.1, Lsat_1_v5_gn_4_185120.4, Lsat_1_v5_gn_4_185120.3
OG0006661	FUN_052084-T1	Lsat_1_v5_gn_7_83320.1, Lsat_1_v5_gn_7_83320.3
OG0006662	FUN_005469-T4, FUN_005469-T2, FUN_005469-T3, FUN_005469-T5, FUN_005469-T1	Lsat_1_v5_gn_2_41221.1, Lsat_1_v5_gn_2_41221.2, Lsat_1_v5_gn_2_41221.4
OG0006663	FUN_032604-T1, FUN_032603-T1, FUN_032605-T1, FUN_032605-T2	Lsat_1_v5_gn_3_52040.2, Lsat_1_v5_gn_3_52040.1
OG0006664	FUN_033187-T1	Lsat_1_v5_gn_6_95721.1
OG0006665	FUN_012617-T1	Lsat_1_v5_gn_9_6900.1
OG0006666	FUN_031236-T1	Lsat_1_v5_gn_3_94181.1, Lsat_1_v5_gn_3_94181.3
OG0006667	FUN_037828-T1	Lsat_1_v5_gn_1_10481.1
OG0006668	FUN_020256-T1	Lsat_1_v5_gn_5_50761.1
OG0006669	FUN_005585-T1	Lsat_1_v5_gn_7_84560.1, Lsat_1_v5_gn_7_84560.2, Lsat_1_v5_gn_9_113920.3, Lsat_1_v5_gn_9_113920.1, Lsat_1_v5_gn_9_113920.2
OG0006670	FUN_016504-T1	Lsat_1_v5_gn_4_151180.3
OG0006671	FUN_031831-T1	Lsat_1_v5_gn_3_31340.2, Lsat_1_v5_gn_3_31340.1, Lsat_1_v5_gn_3_31340.3
OG0006672	FUN_037282-T3, FUN_037282-T4, FUN_037282-T1	Lsat_1_v5_gn_7_3220.1, Lsat_1_v5_gn_7_3220.2
OG0006673	FUN_024884-T1	Lsat_1_v5_gn_8_90281.1
OG0006674	FUN_002516-T1	Lsat_1_v5_gn_6_56241.2, Lsat_1_v5_gn_6_56241.1, Lsat_1_v5_gn_6_56241.3
OG0006675	FUN_024105-T1	Lsat_1_v5_gn_9_122000.1
OG0006676	FUN_023995-T1	Lsat_1_v5_gn_5_187201.1, Lsat_1_v5_gn_9_49380.4
OG0006677	FUN_031190-T1, FUN_025472-T1	Lsat_1_v5_gn_2_70900.1, Lsat_1_v5_gn_3_61281.1
OG0006678	FUN_013008-T1	Lsat_1_v5_gn_5_88220.3, Lsat_1_v5_gn_5_88220.2, Lsat_1_v5_gn_5_88220.1, Lsat_1_v5_gn_7_51181.1
OG0006679	FUN_024265-T2, FUN_024265-T1	Lsat_1_v5_gn_1_221.1
OG0006680	FUN_002299-T1, FUN_002299-T2, FUN_002299-T3, FUN_009865-T1	Lsat_1_v5_gn_7_89801.3, Lsat_1_v5_gn_7_89801.1, Lsat_1_v5_gn_7_89821.3, Lsat_1_v5_gn_9_109300.1, Lsat_1_v5_gn_9_109300.2, Lsat_1_v5_gn_9_109300.4
OG0006682	FUN_031338-T4, FUN_031338-T2, FUN_031338-T1, FUN_031338-T3	Lsat_1_v5_gn_2_93500.3, Lsat_1_v5_gn_2_93500.1
OG0006683	FUN_051625-T2, FUN_051625-T1	Lsat_1_v5_gn_2_16740.1, Lsat_1_v5_gn_2_16740.3, Lsat_1_v5_gn_2_16740.2, Lsat_1_v5_gn_2_16740.4
OG0006684	FUN_002713-T1	Lsat_1_v5_gn_2_108321.3, Lsat_1_v5_gn_2_108321.1
OG0006685	FUN_050490-T1	Lsat_1_v5_gn_5_118821.1, Lsat_1_v5_gn_9_108501.1
OG0006686	FUN_049242-T1, FUN_018696-T1	Lsat_1_v5_gn_7_59201.3, Lsat_1_v5_gn_7_59201.1, Lsat_1_v5_gn_7_6120.1
OG0006687	FUN_037305-T1	Lsat_1_v5_gn_4_131820.1, Lsat_1_v5_gn_9_69440.1, Lsat_1_v5_gn_9_69440.3
OG0006688	FUN_023776-T1, FUN_037984-T1	Lsat_1_v5_gn_5_109981.2, Lsat_1_v5_gn_5_109981.1
OG0006689	FUN_030569-T1	Lsat_1_v5_gn_4_161681.1
OG0006690	FUN_017128-T1, FUN_017128-T2, FUN_025744-T1	Lsat_1_v5_gn_2_7381.3, Lsat_1_v5_gn_2_7381.1
OG0006691	FUN_032138-T3, FUN_009332-T1	Lsat_1_v5_gn_8_150760.1, Lsat_1_v5_gn_8_150760.3
OG0006692	FUN_044771-T1	Lsat_1_v5_gn_5_191360.2, Lsat_1_v5_gn_5_191360.1, Lsat_1_v5_gn_5_191360.4
OG0006693	FUN_025130-T1, FUN_025130-T3, FUN_025130-T2	Lsat_1_v5_gn_5_13060.1, Lsat_1_v5_gn_5_13060.3
OG0006694	FUN_005217-T1	Lsat_1_v5_gn_3_24381.1
OG0006695	FUN_031385-T1, FUN_031387-T1, FUN_004478-T1	Lsat_1_v5_gn_7_12720.1, Lsat_1_v5_gn_7_12720.3
OG0006696	FUN_051350-T1, FUN_041225-T1, FUN_038212-T1, FUN_025294-T1, FUN_001138-T1	Lsat_1_v5_gn_9_63460.1
OG0006697	FUN_035208-T1, FUN_052312-T1, FUN_052311-T1	Lsat_1_v5_gn_6_9421.1
OG0006698	FUN_022476-T1	Lsat_1_v5_gn_2_72161.1, Lsat_1_v5_gn_2_72161.3, Lsat_1_v5_gn_2_72161.5, Lsat_1_v5_gn_5_96540.1, Lsat_1_v5_gn_2_72121.1, Lsat_1_v5_gn_2_72121.2
OG0006699	FUN_047327-T1, FUN_010716-T1	Lsat_1_v5_gn_4_77360.1
OG0006700	FUN_020132-T1	Lsat_1_v5_gn_3_57900.1, Lsat_1_v5_gn_1_95200.1
OG0006701	FUN_000735-T1	Lsat_1_v5_gn_4_184781.1, Lsat_1_v5_gn_0_30740.1
OG0006702	FUN_015249-T2, FUN_015249-T1	Lsat_1_v5_gn_8_9541.1
OG0006703	FUN_032585-T1	Lsat_1_v5_gn_4_145980.3, Lsat_1_v5_gn_4_145980.1
OG0006704	FUN_035812-T1, FUN_035812-T2, FUN_035875-T1, FUN_035876-T1	Lsat_1_v5_gn_4_105560.1, Lsat_1_v5_gn_4_105560.3
OG0006705	FUN_030848-T1	Lsat_1_v5_gn_4_180400.2, Lsat_1_v5_gn_4_180400.3, Lsat_1_v5_gn_4_180400.1
OG0006706	FUN_029904-T1	Lsat_1_v5_gn_3_79201.3, Lsat_1_v5_gn_3_79201.1
OG0006707	FUN_033663-T1, FUN_023843-T1	Lsat_1_v5_gn_3_58041.1, Lsat_1_v5_gn_3_58041.2, Lsat_1_v5_gn_4_19561.1
OG0006708	FUN_038304-T1	Lsat_1_v5_gn_0_32180.3, Lsat_1_v5_gn_0_32180.2, Lsat_1_v5_gn_0_32180.1, Lsat_1_v5_gn_2_91301.3, Lsat_1_v5_gn_2_91301.2, Lsat_1_v5_gn_2_91301.1
OG0006709	FUN_049461-T1	Lsat_1_v5_gn_1_82780.3, Lsat_1_v5_gn_1_82780.1, Lsat_1_v5_gn_4_38480.1
OG0006710	FUN_047551-T1	Lsat_1_v5_gn_5_19040.1, Lsat_1_v5_gn_5_19040.2
OG0006711	FUN_011671-T1, FUN_011670-T1	Lsat_1_v5_gn_8_144040.2, Lsat_1_v5_gn_8_144040.1
OG0006712	FUN_030898-T3, FUN_030898-T1, FUN_030898-T2	Lsat_1_v5_gn_3_102300.3, Lsat_1_v5_gn_3_102300.1
OG0006713	FUN_039694-T1	Lsat_1_v5_gn_4_39241.1, Lsat_1_v5_gn_4_171100.2, Lsat_1_v5_gn_1_82301.1
OG0006714	FUN_003642-T2, FUN_003642-T1	Lsat_1_v5_gn_9_32341.2, Lsat_1_v5_gn_9_32341.1
OG0006715	FUN_002094-T1	Lsat_1_v5_gn_4_183381.2, Lsat_1_v5_gn_4_183381.1
OG0006716	FUN_002915-T1	Lsat_1_v5_gn_9_105860.3, Lsat_1_v5_gn_9_105860.2, Lsat_1_v5_gn_9_105860.1, Lsat_1_v5_gn_2_93981.1, Lsat_1_v5_gn_2_93981.5
OG0006717	FUN_029056-T1, FUN_008429-T1	Lsat_1_v5_gn_3_65121.1, Lsat_1_v5_gn_3_65121.2, Lsat_1_v5_gn_8_115481.2, Lsat_1_v5_gn_8_115481.1, Lsat_1_v5_gn_8_115481.3
OG0006718	FUN_029706-T1	Lsat_1_v5_gn_3_94961.3, Lsat_1_v5_gn_3_94961.1, Lsat_1_v5_gn_2_89480.2, Lsat_1_v5_gn_2_89480.1
OG0006719	FUN_011512-T4, FUN_011512-T2, FUN_011512-T1	Lsat_1_v5_gn_8_147101.1
OG0006720	FUN_011233-T1, FUN_011225-T3, FUN_011225-T2, FUN_011225-T1	Lsat_1_v5_gn_5_22901.1
OG0006721	FUN_036978-T1	Lsat_1_v5_gn_3_600.1
OG0006722	FUN_045267-T3, FUN_045267-T5, FUN_045267-T2, FUN_045267-T1, FUN_045267-T4	Lsat_1_v5_gn_2_95061.1, Lsat_1_v5_gn_2_95061.3
OG0006723	FUN_022952-T1, FUN_032383-T1	Lsat_1_v5_gn_3_49320.1
OG0006724	FUN_029982-T2, FUN_029982-T1	Lsat_1_v5_gn_3_94620.1
OG0006725	FUN_037516-T1	Lsat_1_v5_gn_8_9940.1, Lsat_1_v5_gn_8_9940.3
OG0006726	FUN_011254-T2, FUN_011254-T1, FUN_047140-T1	Lsat_1_v5_gn_5_23380.1, Lsat_1_v5_gn_5_23380.3
OG0006727	FUN_033833-T1	Lsat_1_v5_gn_8_46480.1, Lsat_1_v5_gn_8_46480.3, Lsat_1_v5_gn_8_46480.2
OG0006728	FUN_011469-T1, FUN_031312-T1	Lsat_1_v5_gn_4_185320.1
OG0006729	FUN_016819-T1	Lsat_1_v5_gn_4_173241.1
OG0006729	FUN_011240-T1	Lsat_1_v5_gn_1_14620.1, Lsat_1_v5_gn_1_14620.3
OG0006731	FUN_029764-T2, FUN_029764-T1, FUN_016790-T1	Lsat_1_v5_gn_3_81141.1
OG0006732	FUN_011000-T2, FUN_011000-T1	Lsat_1_v5_gn_4_106820.1, Lsat_1_v5_gn_4_106820.2
OG0006733	FUN_017388-T1	Lsat_1_v5_gn_6_69020.2, Lsat_1_v5_gn_6_69020.1
OG0006734	FUN_033423-T1	Lsat_1_v5_gn_3_54221.1, Lsat_1_v5_gn_3_54221.2, Lsat_1_v5_gn_4_15400.1
OG0006735	FUN_027615-T1, FUN_027615-T2	Lsat_1_v5_gn_4_26421.1
OG0006736	FUN_045252-T1	Lsat_1_v5_gn_9_47621.1, Lsat_1_v5_gn_9_47621.2
OG0006738	FUN_045279-T1	Lsat_1_v5_gn_9_47781.1, Lsat_1_v5_gn_9_47781.3
OG0006739	FUN_011276-T1	Lsat_1_v5_gn_1_15601.4, Lsat_1_v5_gn_1_15601.1
OG0006740	FUN_017441-T1, FUN_041491-T1	Lsat_1_v5_gn_6_88140.1, Lsat_1_v5_gn_6_64820.1
OG0006741	FUN_033703-T3, FUN_033703-T2, FUN_033703-T1	Lsat_1_v5_gn_5_56640.1, Lsat_1_v5_gn_3_53141.1, Lsat_1_v5_gn_0_26800.2, Lsat_1_v5_gn_0_26800.4, Lsat_1_v5_gn_4_177200.1
OG0006742	FUN_017769-T1, FUN_041735-T1	Lsat_1_v5_gn_4_42380.1, Lsat_1_v5_gn_6_3400.1
OG0006743	FUN_040453-T1, FUN_001982-T1	Lsat_1_v5_gn_4_241.1, Lsat_1_v5_gn_4_241.3, Lsat_1_v5_gn_8_147381.2, Lsat_1_v5_gn_8_147381.1
